   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
   eṣvevāntarbhavitumarhantīlyarthaḥ /	ezu eva antar Bavitum arhan tIli arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra nirvedaḥ  	tatra nirvedaH  
   tattvajñānāpadīrṣyādernirvedaḥ svāvamānanam /	tattva jQAna apadIrzya AdeH nirvedaH sva avamAnanam /
   dainyacintāśruniḥ śvāsavaivarṇyocchavasitādikṛt // VisSd_3.142 //	dEnya cintA aSruniH SvAsa vEvarNya ucCa vasita Adi kRt // VisSd _3.142 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ga) tattvajñāneti   tattvajñānāpadīrṣyāderiti ādipadāt	(vi, ga) tattva jQAna iti    tattva jQAna apadIrzi a AdeH iti AdipadAt 
   yogābhyāsapravṛtteśca svasyāvamānanamityarthaḥ /	yoga aByAsa pravRtteH ca svasya avamAnanam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tattvajñānānnirvedo yathā  	tattva jQAnAt nirvedaH yaTA  
   Locanā:	LocanA:
   (lo, ḷ) tattveti   ayamarthaḥ /	(lo, ?) tattva iti   ayam arTaH /
   nirvedākhyasaṃcāribhāvasya svasyātmano 'vamānasvarūpam /	nirveda AKya saMcAri BAvasya svasya AtmanaH avamAna svarUpam /
   saca tatvajñānādervibhāvādutpadyate /	saca tatu a jQAna AdeH viBAvAt utpadyate /
   dainyādikamanubhāvaṃ karoti /	dEnya Adikam anuBAvam karoti /
   ucchvāso niśvāsa eva muhurutkaṭatayā upalabdhaḥ /	ucCvAsaH niSvAsaH eva muhur utkawa tayA upalabDaH /
   evameṣāñca sarveṣāmapi vyabhicāriṇāṃ svarūpakathanaprastāve	evam ezAQca sarvezAm api vyaBicAriNAm svarUpa kaTana prastAve
   vibhāvānubhāvayoḥ kathanaṃ vakṣyamāṇasvaśabdavācyatvadoṣarītyā	viBAva anuBAvayoH kaTanam vakzyamANa sva Sabda vAcya tva doza rItyA
   mahākavibhistadradvāreṇa nirdeśenāpi mahākāvyeṣu svapratipattyartham /	mahA kaviBiH tat radvAreNa nirdeSena api mahAkAvyezu sva pratipatti arTam /
   kiṃcaivaṃ svarūpapritijñānamapi atisugamaṃ bhavatītyāśayaḥ /	kiMca evam svarUpa priti jQAnam api ati sugamam Bavati iti ASayaH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   "mṛtkumbhavālukārandhrapidhānaracanārthinā /	"mRd kumBa vAlukA ranDra piDAna racanA arTinA /
   dakṣiṇāvartaśaṅkho 'yaṃ hanta ! cūrṇokṛto mayā" //	dakziNa Avarta SaFKaH ayam hanta ! cUrNokRtaH mayA" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, gha) mṛtkumbheti sugamam /	(vi, Ga) mRd kumBa iti sugamam /
        anenānyāpadeśena aihikasvalpaduḥ khanivāraṇāya kukarma kurvatā	anena anya apadeSena Ehika svalpa duH Ka ni vAraNAya kukarma kurvatA
   mayādhamena pāratrikātyantasukhaṃ vināśitamiti labhyate /	mayA aDamena pAratrikA atyanta suKam vinASitam iti laByate /
        atra ca svasya kukarmakāritvena nindā svāvamānanameva /	atra ca svasya ku karma kAri tvena nindA sva avamAnanam eva /
        Locanā:	LocanA:
        (lo, e) mṛtkumbheti /	(lo, e) mRd kumBa iti /
        atra tucchasaṃsārabhogapravaṇatayā niḥ śreyasasādhanasamartho 'yaṃ	atra tucCa saMsAra Boga pravaNa tayA niH Sreyasa sADana samarTaH ayam
   deho mayā nāśitaḥ /	dehaH mayA nASitaH /
        tan māṃ dhigiti svāvamānanam /	tat mAm Dik iti sva avamAnanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   athāvegaḥ  	aTa AvegaH  
   āvegaḥ saṃbhramastatra varṣaje piṇḍitāṅgatā /	AvegaH saMBramaH tatra varza je piNxita aFga tA /
   utpātaje straratatāṅge, dhūmādyākulatāgnije // VisSd_3.143 //	utpAta je stra ratatA aFge, DUma At yAkulatA agni je // VisSd _3.143 //
   rājavidravajādestu śastranāgādiyojanam /	rAja vidrava ja AdeH tu Sastra nAga Adi yojanam /
   gajādeḥ stambhakampādi, pāṃsvādyākulatānilāt // VisSd_3.144 //	gaja AdeH stamBa kampa Adi, pAMsvAdya Akula tA anilAt // VisSd _3.144 //
   iṣṭāddharṣāḥ, śuco 'niṣṭājjñeyāścānye yathāyatham /	izwAt harzAH, SucaH anizwAt jQeyAH ca anye yaTAyaTam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṅa) āvega iti /	(vi, Fa) AvegaH iti /
        atarkitavastūpasthityā vyākulatā saṃbhramaḥ /	atarkita vastu upasTityA vyAkula tA saMBramaH /
        vibhinnakāraṇajanyasya tasya kāryāṇi vibhinnānyāha /	viBinna kAraNa janyasya tasya kAryANi viBinnAni Aha /
        varṣajeti /	varzajA iti /
        varṣaje tasmin sati piṇḍitāṅgatā bhavatītyarthaḥ /	varzaje tasmin sati piNxita aFga tA Bavati iti arTaH /
        Locanā:	LocanA:
        (lo, ai) varṣaje vṛṣṭibhave strastatā anāyattatayā stabdhatā /	(lo, E) varza je vRzwi Bave strasta tA anAyatta tayA stabDa tA /
        śastraiḥ śarādibhiḥ, nāgairgajaiścamiyojanaṃ samantādākramaṇam /	SastrEH Sara AdiBiH, nAgEH gajEH cami yojanam samantAt AkramaNam /
        anye etajjanitā lokaprasiddhāḥ śreṣṭā ityarthaḥ /	anye etat janitAH loka prasidDAH SrezwAH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra śatrujo yathā  	tatra Satru jaH yaTA  
   "arghyamarghyamiti vādinaṃ nṛpaṃ so 'navekṣya bharatāgrajo yataḥ /	"arGyam arGyam iti vAdinam nRpam saH anavekzya Barata agrajaH yatas /
   kṣatrakopadahanārciṣaṃ tataḥ sandhe dṛśamudagratārakam" //	kzatra kopa dahana arcizam tatas sanDe dRSam udagra tArakam" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ca) aryyamarghyamiti rāmasya śatrubhāvena upasthitaṃ paraśurāmaṃ	(vi, ca) aryyam arGyam iti rAmasya Satru BAvena upasTitam paraSurAmam
   dṛṣṭavā daśarathasya saṃbhramāduktiḥ /	dRzwavA daSaraTasya saMBramAt uktiH /
        prathamacaraṇaṃ kathayantaṃ daśarathamanādṛtya bhatāgrajo rāmaḥ yato	praTama caraNam kaTayantam daSaraTam anAdRtya BatAgrajaH rAmaH yatas 
   yasyāṃ diśi varttate tatrodagratārakāṃ dṛśaṃ saṃdadhe sannihitavān /	yasyAm diSi varttate tatra udagra tArakAm dRSam saMdaDe sannihitavAn /
        kīdṛśīṃ dṛśa kṣatrakopadahanasyārcciḥ svarūpām /	kIdRSIm dRSa kzatra kopa dahanasya arcciH svarUpAm /
        atra vidrāvaṇāderityādipadagrāhyamunijanye saṃbhrame sati	atra vidrAvaNa AdeH iti Adi pada grAhya muni janye saMBrame sati
   arghyānayanāditvam /	arGya Anayana Adi tvam /
        Locanā:	LocanA:
        (lo, o) ardhyamityatra prathamapāde evāvegaḥ /	(lo, o) arDyam iti atra praTama pAde eva AvegaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   evamanyadūhyam /	evam anya dUhyam /
   atha dainyam  	aTa dEnyam  
   daurgatyādyairanaujasyaṃ dainyaṃ malinatādikṛt // VisSd_3.145 //	dOrgatya AdyEH anOjasyam dEnyam malina tA Adi kRt // VisSd _3.145 //
   Locanā:	LocanA:
   (lo, au) dairgatyaṃ dāridryam /	(lo, O) dErgatyam dAridryam /
   anaujasyam ojo hāniḥ /	anOjasyam ojaH hAniH /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā  	yaTA  
   "vṛddho 'ndhaḥ patireṣa mañcakagataḥ, sthūṇāvaśeṣaṃ gṛhaṃ, kālo	"vRdDaH anDaH patiH eza maQcaka gataH, sTUNa avaSezam gRhaM, kAlaH 
   'bhyarṇajalāgamaḥ kuśalinī vatsasya vārtāpi no /	aByarNa jala AgamaH kuSalinI vatsasya vArtA api naH /
   yatnātsañcitatailabindughaṭikā bhagneti paryākulā dṛṣṭvā garbhabharālasaṃ	yatnAt saQcita tEla bindu GawikA Bagna iti paryAkulAH dRzwvA garBa Bara alasam
   nijabadhūṃ śvaśrūściraṃ roditi" //	nija baDUm SvaSrUH ciram roditi" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, cha) daurgatyādyairityādi /	(vi, Ca) dOrgatya AdyEH ityAdi /
        ādyapadāt iṣṭālābhena cintayā ca /	Adya padAt izwa alABena cintayA ca /
        anaujasyaṃ durbalatā /	anOjasyam durbala tA /
        vṛddho 'ndha iti   vṛddhāndhadaridrabharttṛkāyāḥ proṣitaputrāyāḥ	vRdDaH anDaH iti   vRdDa anDa daridra BarttRkAyAH prozita putrAyAH
   tailaghaṭikābhaṅgena rodanasya varṇanamidam /	tEla GawikA BaFgena rodanasya varNanam idam /
        sthūṇāstambhaḥ uparipaṭalabhaṅgena tadavaśeṣatā /	sTUNA stamBaH upari pawala BaFgena tad avaSeza tA /
        vatsasya putrasya proṣitasya /	vatsasya putrasya prozitasya /
        tailabindurnatu bahutailam, tacca vadhūprasavārthaṃ sañcitam /	tEla binduH na tu bahu tElam, tat ca vaDU prasava arTam saQcitam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha śramaḥ  	aTa SramaH  
   khedo ratyadhvagatyādeḥ śvāsanidrādikṛcchramaḥ /	KedaH rati aDva gati AdeH SvAsa nidrA Adi kRcCramaH /
   yathā  	yaTA  
   "sadyaḥ purīparisare 'pi śirīṣamṛdvī sītā javātrtricaturāṇi padāni gatvā /	"sadyas purI parisare api SirIza mRdvI sItA javAtH tri caturANi padAni gatvA /
   Locanā:	LocanA:
   (lo, a) trīṇi ca caturāṇi ca tricaturāṇi /	(lo, a) trINi ca caturANi ca tricaturANi /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   gantavyamasti kiyadityasakṛdbruvāṇā rāmāśruṇaḥ kṛtavatī prathamāvatāram"	gantavyam asti kiyaditi asakRt bruvANA rAma aSruNaH kRtavatI praTama avatAram"
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ja) sadyaḥ purīti   vanavāse calitāyāḥ sītāyāḥ purīvahireva	(vi, ja) sadyas purIti    vana vAse calitAyAH sItAyAH purI vahiH eva
   varṇanamidam /	varNanam idam /
        parisareṣu samīpeṣu /	parisarezu samIpezu /
        prathamāvatāramiti /	praTama avatAram iti /
        sītāharaṇe tūttarottaraṃ bahvaśrupātaḥ syāt /	sItA haraNe tu uttarottaram bahu aSru pAtaH syAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha madaḥ  	aTa madaH  
   saṃmohānandasaṃbhedo mado madyopayogajaḥ // VisSd_3.146 //	saMmoha Ananda saMBedaH madaH madya upayoga jaH // VisSd _3.146 //
   amunā cottamaḥ śete madhyo hasati gāyati /	amunA ca uttamaH Sete maDyaH hasati gAyati /
   adhamaprakṛtiścāpi paruṣaṃ vakti roditi // VisSd_3.147 //	aDama prakRtiH ca api paruzam vakti roditi // VisSd _3.147 //
   yathā  	yaTA  
   "prātibhaṃ trisarakeṇa gatānāṃ vakravākyāracanāmaṇīyaḥ /	"prAtiBam tri sarakeNa gatAnAm vakravAkya aracanAmaNIyaH /
   gūḍhasūcitarahasyasahāsaḥ subhruvāṃ pravavṛte parihāsaḥ" //	gUXa sUcita rahasya sahAsaH suBruvAm pravavRte parihAsaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, jha) sammohānandeti   prakṛtabuddhito 'nyādṛśabuddhiḥ sammohaḥ /	(vi, Ja) sammoha Ananda iti    prakRta budDitaH anyAdRSa budDiH sammohaH /
        sambhedo milanam /	samBedaH milanam /
        amuneti   amunā madena uttamādayo madyapātāraḥ /	amunA iti   amunA madena uttama AdayaH madya pAtAraH /
        prātibhamiti trisarakaṃ madhumadirā tena pratibhaṃ pratibhāsamūhaṃ	prAtiBam iti tri sarakam maDu madirA tena pratiBam pratiBA sam Uham
   gatānāṃ subhruvāṃ parihāsaḥ pravavṛte /	gatAnAm suBruvAm parihAsaH pravavRte /
        gūḍhasūcitarahasyavṛttāntaścāsau sahasaśca iti vigrahaḥ /	gUXa sUcita rahasya vRttAntaH ca asO sahasaH ca iti vigrahaH /
        atra pratibhāsamūhaprāptyā vakravākyena madhumadyopayogavaśāt	atra pratiBA sam Uha prAptyA vakra vAkyena maDum adya upayoga vaSAt
   prakṛtabuddhyādṛśabuddhiḥ parihāsahāsābhyāṃ cānandaḥ /	prakRta budDyA adRSa budDiH parihAsa hAsAByAm ca AnandaH /
        Locanā:	LocanA:
        (lo, ā) sammohānandayoḥ saṃbhedo miśraṇaḥ /	(lo, A) sammoha AnandayoH saMBedaH miSraNaH /
        pratibhā eva prātibham /	pratiBA eva prAtiBam /
        trividhaḥ sarako madhu "gauḍī mādhvī paiṣṭī'; ca /	triviDaH sarakaH maDu "gOxI mADvI pEzwI a; ca /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha jaḍatā  	aTa jaxa tA  
   apratipattirjaḍatā syādiṣṭāniṣṭadarśanaśrutibhiḥ /	apratipattiH jaxatA syAt izwa anizwa darSana SrutiBiH /
   animiṣanayananirīkṣaṇatūṣṇīṃbhāvādayastatra // VisSd_3.148 //	animiza nayana nirIkzaNa tUzNIMBAva AdayaH tatra // VisSd _3.148 //
   yathā mama kuvalayāśvacarite prākṛtakāvye  	yaTA mama kuvalaya aSva carite prAkRta kAvye  
   "ṇavaria taṃ juajualaṃ aṇṇoṇṇaṃ ṇihidasajalamantharadiṭiṃṭha /	"Navaria tam juajualam aNNoNNam Nihidasa jala manTara diwiMWa /
   ālekkhaopitrtraṃ via khaṇamettaṃ tattha saṃṭṭhiaṃ muasaṇṇāṃ" //	Alek Kaopitrtram via KaNamet tam tatTa saMwWiam muasaNNAM" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ña) ṇavari tamiti    kevalaṃ tadyuvayugalamanyo	(vi, Qa) Navari tam iti   kevalam tat yuva yugalam anyo
   'nyanihitasajalamantharadṛṣṭi /	anya nihita sajala manTara dRzwi /
        ālekhyārpitamiva kṣaṇamātraṃ tatra sthitamāsannakam //	AleKya arpitam iva kzaNa mAtram tatra sTitam Asannakam //
        iti saṃskṛtam /	iti saMskRtam /
        cirapravāsāgatapatigṛhasthitapatnīrūpaṃ tadyuvayugalaṃ ca	cira pravAsa Agatapati gRha sTita patnI rUpam tat yuva yugalam ca
   kevalamālekhyārpitabhiva kṣaṇamātramāsannakaṃ tatra sthitamityarthaḥ /	kevalam AleKya arpita Biva kzaNa mAtram Asannakam tatra sTitam iti arTaH /
        cirapravāsāgatapatigṛhasthitapatnirūpaṃ tat yuvayugalam /	cira pravAsa Agatapati gRha sTita patni rUpam tat yuva yugalam /
        navariśabdaḥ kevale deśī /	navari SabdaH kevale deSI /
        kīdṛśam anyo 'nyanihitasajalamantharadṛṣṭi /	kIdRSam anyaH anya nihita sajala manTara dRzwi /
        atreṣṭadarśanājjaḍatā /	atra izwa darSanAt jaxatA /
        Locanā:	LocanA:
        (lo, i) ṇavarīti  anantaraṃ tat	(lo, i) NavarI iti  anantaram tat 
   yuvayugalamanyonyanikṣiptasajalamantharadṛṣṭi /	yuvayugalam anyonya nikzipta sajala manTara dRzwi /
        ālekhyārpitabhiva kṣaṇamātraṃ sthitama uktasaṃjñam /	AleKya arpita Biva kzaNa mAtram sTitamaH ukta saMjQam /
        yuvā ca yuvatiśca yuvānau tayoryugalam /	yuvA ca yuvatiH ca yuvAnO tayoH yugalam /
        atreṣṭadarśanāt jaḍatā /	atra izwa darSanAt jaxa tA /
        evama	evam a
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   athogratā  	aTa ugra tA  
   śauryāparādhādibhavaṃ bhaveccaṇḍatvamugratā /	SOrya aparADa Adi Bavam Bavet caNxa tvam ugra tA /
   tatra svedaśiraḥ kampatarjanātāḍanādayaḥ // VisSd_3.149 //	tatra svedaSiraH kampa tarjanA tAxana AdayaH // VisSd _3.149 //
   yathā  	yaTA  
   "praṇayisakhīsalīlaparihāsarasādhigata  rlalitaśirīṣapuṣpahananairapi	"praNayi saKI sa lIla parihAsa rasa aDigata rlalita SirIza puzpa hananEH api
   tāmyati yat /	tAmyati yat /
   vapuṣi vadhāya tatra tava śastramupakṣipataḥ patatu śirasyakāṇḍayamadaṇḍa	vapuzi vaDAya tatra tava Sastram upakzipataH patatu Sirasi akANxayama daNxa
   ivaiṣa bhujaḥ" //	iva eza BujaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭa) mālatīṃ chettumudyatamaghoraghaṇṭaṃ prati mādhavasyoktiriyam	(vi, wa) mAlatIm Cettum udyatam aGora GaNwam prati mADavasya uktiH iyam
        yadasyā mālatyā vapuḥ praṇayinīnāṃ sakhīnāṃ	yat asyAH mAlatyAH vapuH praNayinInAm saKInAm
   sīlapārahāsarasenādhigatairlalitaśirīṣapuṣpahananairapi tāmyati /	sIla pArahAsa rasena aDigatEH lalita SirIza puzpa hananEH api tAmyati /
        atra vapuṣi vadhāya śastramupakṣipatastava śirasi mama eṣa bhujo	atra vapuzi vaDAya Sastram upakzipataH tava Sirasi mama eza BujaH 
   'kāṇḍayamadaṇḍa iva patatu ityarthaḥ /	akANxayam a daNxaH iva patatu iti arTaH /
        akāṇḍa ākasmikaḥ /	akANxaH AkasmikaH /
        atra mādhavasya śauryam aghoraghaṇṭasyāparādhaḥ /	atra mADavasya SOryam aGora GaNwasya aparADaH /
        caṇḍatvaṃ mādhavasya /	caNxa tvam mADavasya /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha mohaḥ  	aTa mohaH  
   moho vicittatā bhītiduḥ khāvegānucintataiḥ /	mohaH vicitta tA BItiduH Ka Avega anucintatEH /
   mūrcchanājñānapatanabhramaṇādarśanādikṛt // VisSd_3.150 //	mUrcCanA jQAna patana BramaNA darSana Adi kRt // VisSd _3.150 //
   yathā  	yaTA  
   "tivrābhiṣaṅgaprabhaveṇa vṛttiṃ mohena saṃstambhayatendriyāṇām	"ti vra aBizaFga praBaveNa vRttim mohena saMstamBayata indriyANAm
   ajñātabhartṛvyasanā muhūrtaṃ kṛtopakāreva ratirbabhūva" //	ajQAta BartR vyasanAH muhUrtam kRta upakArA iva ratiH baBUva" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṭha) moha iti /	(vi, Wa) mohaH iti /
        vicittatā viṣayāt vigatacittatā jñānalopa iti yāvat /	vicitta tA vizayAt vigata citta tA jQAna lopaH iti yAvat /
        tīvrābhiṣaṅgeti  hareṇa dagdhe kāmadeve ratirmohena jñānalopāt kṣaṇaṃ	tIvra aBizaFga iti  hareNa dagDe kAmadeve ratiH mohena jQAna lopAt kzaNam
   kṛto	kRtaH 
        pakāreva babhuva /	pakAra iva baBuvaH /
        upakāraṃ darśayati   ujñāneti /	upakAram darSa yati    ujQAna iti /
        mohena kīdṛśena tīvreṇābhiṣaṅgeṇa āpadā (patimṛnyunā ) jānitena /	mohena kIdRSena tIvreNa aBizaFgeNa ApadA (pati mRnyunA ) jAnitena /
        punaḥ kīdṛśena /	punar kIdRSena /
        indriyāṇāṃ vṛttiṃ grāhakatāṃ saṃstambhayatā pratibaghnatā /	indriyANAm vRttim grAhaka tAm saMstamBayatA pratibaGna tA /
        Locanā:	LocanA:
        (lo, ī) tīvrati /	(lo, I) tIvrati /
        abhaiṣaṅgaḥ parābhavaḥ /	aBEzaFgaH parABavaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   atha vibodhaḥ  	aTa viboDaH  
   nidrāpagamahetubhyo vibodhaścetanāgamaḥ /	nidrA apagama hetuByaH viboDaH cetanA AgamaH /
   jambhāṅgabhaṅganayanamīlanāṅgāvalokakṛt // VisSd_3.151 //	jamBa aFga BaFga nayana mIlana aFga avaloka kRt // VisSd _3.151 //
   yathā  	yaTA  
   "ciraratiparikhedaprāptanidrāsukhānāṃ caramamapi śayitvā pūrvameva	"cira rati pariKeda prApta nidrA suKAnAm caramam api SayitvA pUrvam eva
   prabuddhāḥ /	prabudDAH /
   aparicalitagātrāḥ kurvate na priyāṇāmaśithilabhujacakrāśleṣabhedaṃ	aparicalita gAtrAH kurvate na priyANAm aSiTila Buja cakra ASleza Bedam
   taruṇyaḥ" //	taruNyaH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ḍa) ciraratiparikhedeti /	(vi, xa) cirarati pariKeda iti /
        taruṇyaḥ caramaṃ nāyakaśayanataḥ paścād śayitvā tajjāgaraṇāt	taruNyaH caramam nAyaka SayanataH paScAt SayitvA tad jAgaraNAt 
   pūrvameva prabuddhāpyaparicalitagātrāḥ satyaḥ	pUrvam eva prabudDA api aparicalita gAtrAH satyaH
   priyāṇāmaśithilabhujacakrasya āśleṣabhaṅgaṃ na kurvate ityarthaḥ /	priyANAm aSiTila Buja cakrasya ASleza BaFgam na kurvate iti arTaH /
        atra vibodhaḥ vācya eva /	atra viboDaH vAcyaH eva /
