   Bhaiṣajyavastu	BhEzajya vastu
   rudanyāṃ saumanasyena samuttāraḥ / hasanyāṃ tūṣṇīṃbhāvena / āśīviṣāyāṃ	rudanyAm sOmanasyena samuttAraH / hasanyAm tUzNIMBAvena / ASIvizAyAm
   sarpaviṣamantraprayogena samuttāro vetranadyāṃ (Divy 457)	sarpa viza mantra prayogena samuttAraH vetra nadyAm (Di vI 457)
   tīkṣṇaśastrasaṃpātayogena samuttāraḥ / nadīm atikramya pañcayakṣaśatānāṃ	tIkzNa Sastra saMpAta yogena samuttAraH / nadIm atikramya paQca yakza SatAnAm
   gulmakasthānam* / tad dhairyam āsthāya vidrāvyam* / tato drumasya	gulmaka sTAnam* / tat DEryam AsTAya vidrAvyam* / tatas drumasya
   kinnararājasya bhavanam iti /	kinnara rAjasya Bavanam iti /
   tataḥ sudhanaḥ kumāro yathopadiṣṭān oṣadhamantrāgadaprayogān samudānīya	tatas suDanaH kumAraH yaTA upadizwAn ozaDa mantra agada prayogAn samudAnIya
   tasya ṛṣeḥ pādābhivandanaṃ kṛtvā prakrāntaḥ / tatas tena yathopadiṣṭāḥ	tasya RzeH pAda aBivandanam kRtvA prakrAntaH / tatas tena yaTA upadizwAH
   sarve samudānītāḥ sthāpayitvā vānaram* / tatas tān ādāya punar api tasya	sarve samudAnItAH sTApayitvA vAnaram* / tatas tAn AdAya punar api tasya
   ṛṣeḥ sakāśam upasaṃkrāntaḥ / uktaś ca / alaṃ kumāra kim anena vyavasāyena	RzeH sakASam upasaMkrAntaH / uktaH ca / alam kumAra kim anena vyavasAyena
   kiṃ manoharayā / tvam ekākī asahāyaḥ śārīrasaṃśayam avāpsyasīti / kumāraḥ	kim manoharayA / tvam ekAkI asahAyaH SArIra saMSayam avApsyasi iti / kumAraH
   prāha / maharṣe 'vaśyam evāhaṃ prayāsyāmīti / kutaḥ	prAha / mahA Rze avaSyam eva aham prayAsyAmi iti / kutas 
   candrasya khe vicarataḥ kva sahāyabhāvaḥ daṃṣṭrābalena balinaś ca	candrasya Ke vicarataH kva sahAya BAvaH daMzwrA balena balinaH ca
   mṛgādhipasya /	mRgADipasya /
   agneś ca dāvadahena kva sahāyabhāvaḥ asmadvidhasya ca sahāyabalena kiṃ	agneH ca dAva dahena kva sahAya BAvaH asmadviDasya ca sahAya balena kim
   syāt* //	syAt* //
   kiṃ bho mahārṇavajalaṃ na vigāhitavyaṃ kiṃ sarpaduṣṭa iti naiva	kim Bo mahA arNava jalam na vigAhitavyam kim sarpa duzwaH iti na eva
   cikitsanīyaḥ /	cikitsanIyaH /
   vīryaṃ bhajeta sumahadūrjitasatvadṛṣṭaṃ yatne kṛto yadi na sidhyati ko	vIryam Bajeta su mahat Urjita satva dRzwam yatne kRtaH yadi na siDyati kaH 
   'tra doṣaḥ // iti /	atra dozaH // iti /
   tataḥ sudhanaḥ kumāro manoharopadiṣṭena vidhinā saṃprasthito 'nupūrveṇa	tatas suDanaH kumAraH manohara upadizwena viDinA saMprasTitaH anupUrveNa
   parvatanadīguhāprapātādīni bhaiṣajyamantrāgadaprayogena vinirjitya (MSV I	parvata nadI guhA prapAta AdIni BEzajya mantra agada prayogena vinirjitya (MSV I
   155) drumasya kinnararājasya bhavanasamīpaṃ gataḥ / kumāro 'pasyat	155) drumasya kinnara rAjasya Bavana samIpam gataH / kumAraH apasyat 
   tan nagaram adūraṃ śrīmadudyānopaśobhitam* /	tat nagaram adUram SrImat udyAna upaSoBitam* /
   nānāpuṣpaphalopetaṃ nānāvihagasevitam* //	nAnA puzpa Pala upetam nAnA vihaga sevitam* //
   taḍāgadīrghikāvāpīkinnaraiḥ samupāvṛtam* /	taxAga dIrGikA vApI kinnarEH samupAvRtam* /
   kinnarīs tatra cāpaśyat pānīyārtham upāgatāḥ //	kinnarIH tatra ca apaSyat pAnIya arTam upAgatAH //
   tatas tāḥ sudhanakumāreṇābhihitāḥ / kim anena bahunā pānīyena kriyata iti	tatas tAH su Dana kumAreNa aBihitAH / kim anena bahunA pAnIyena kriyate iti
   / tāḥ kathayati / asti drumasya kinnararājasya duhitā manoharā nāma / sā	/ tAH kaTayati / asti drumasya kinnara rAjasya duhitA manoharA nAma / sA
   manuṣyahastagatā babhūva / tasyāḥ sa manuṣyagandho naśyati / sudhanaḥ	manuzya hasta gatAH baBUva / tasyAH sa manuzya ganDaH naSyati / suDanaH
   kumāraḥ pṛcchati / kim ete ghaṭāḥ samastāḥ sarve tasyā upari nipātyante	kumAraH pRcCati / kim ete GawAH samastAH sarve tasyAH upari nipAtyante
   āhosvid ānupūrveṇeti / tāḥ kathayanti / ānupūrvyā / sa saṃlakṣayati /	Ahosvit AnupUrveNa iti / tAH kaTayanti / AnupUrvyA / sa saMlakzayati /
   śobhano 'yam (Divy 458) upāya imām aṃgulimudrām ekasmin ghaṭe prakṣipāmīti	SoBanaH ayam (DivI 458) upAyaH imAm aMguli mudrAm ekasmin Gawe prakzipAmi iti
   / tenaikasyāḥ kinnaryā ghaṭe 'nālakṣitaṃ prakṣiptā / sā ca kinnarī	/ tena ekasyAH kinnaryA Gawe anAlakzitam prakziptA / sA ca kinnarI
   abhihitā / anena tvayā ghaṭena manoharā tatprathamataraṃ snāpayitavyā / sā	aBihitA / anena tvayA Gawena manoharA tat praTamataram snApayitavyA / sA
   saṃlakṣayati / nūnam atra kāryeṇa bhavitavyam* / tatas tayāsau ghaṭaḥ	saMlakzayati / nUnam atra kAryeNa Bavitavyam* / tatas tayA asO GawaH
   prathamataraṃ manoharāyā mūrdhni nipātito yāvad aṃgulimudrā utsaṅge	praTamataram manoharAyAH mUrDni nipAtitaH yAvat aMguli mudrA utsaFge
   nipatitā / sā manoharayā pratyabhijñātā / tataḥ kinnarīṃ pṛcchati / mā	nipatitA / sA manoharayA pratyaBijQAtA / tatas kinnarIm pRcCati / mA
   tatra kaścin manuṣyo 'bhyāgataḥ / sāha / abhyāgataḥ / gacchainaṃ	tatra kaScid manuzyaH aByAgataH / sA Aha / aByAgataH / gacCa enam
   pracchannaṃ praveśaya / tayā praveśitaḥ sugupte pradeśe sthāpitaḥ /	pracCannam praveSaya / tayA praveSitaH su gupte pradeSe sTApitaH /
   tato manoharā pituḥ pādayor nipatya kathayati / tāta yady asau sudhanaḥ	tatas manoharA pituH pAdayoH nipatya kaTayati / tAta yadi asO suDanaH
   kumāra āgacched yenāhaṃ hṛtā tasya tvaṃ kiṃ kuryāḥ / sa kathayati / tam	kumAraH AgacCet yena aham hRtA tasya tvam kim kuryAH / sa kaTayati / tam
   ahaṃ khaṇḍaśataṃ kṛtvā catasṛṣu dikṣu kṣipeyaṃ manuṣyaḥ (MSV I 156) asau	aham KaNxa Satam kRtvA catasRzu dikzu kzipeyam manuzyaH (MSV I 156) asO
   kiṃ teneti / manoharā kathayati / tāta manuṣyabhūtasya kuta ihāgamanam* /	kim tena iti / manoharA kaTayati / tAta manuzya BUtasya kutas iha Agamanam* /
   aham eva bravīmīti / tato drumasya kinnararājasya paryavasthāno vigataḥ /	aham eva bravImi iti / tatas drumasya kinnara rAjasya paryavasTAnaH vigataH /
   tato vigataparyavasthānaḥ kathayati / yady asau kumāra āgacchet tasya hi	tatas vigata paryavasTAnaH kaTayati / yadi asO kumAraH AgacCet tasya hi
   tvāṃ sarvālaṅkāravibhūṣitāṃ prabhūtacittopakaraṇaiḥ	tvAm sarva alaFkAra viBUzitAm praBUta citta upakaraNEH
   kinnarīsahasraparivṛtāṃ bhāryāratnaṃ dadyām iti / tato manoharayā	kinnarI sahasra parivRtAm BAryA ratnam dadyAm iti / tatas manoharayA
   hṛṣṭatuṣṭapramuditayā sudhanaḥ kumāro divyālaṅkāravibhūṣito drumasya	hRzwa tuzwa pramuditayA suDanaH kumAraH divya alaFkAra viBUzitaH drumasya
   kinnararājasyopadarśitaḥ / tato drumaḥ kinnararājaḥ sudhanaṃ kumāraṃ	kinnara rAjasya upadarSitaH / tatas drumaH kinnara rAjaH su Danam kumAram
   dadarśābhirūpaṃ darśanīyaṃ prāsādikaṃ paramayā śubhavarṇapuṣkalatayā	dadarSa aBirUpam darSanIyam prAsAdikam paramayA SuBa varNa puzkala tayA
   samanvāgatam* / dṛṣṭvā ca punaḥ paraṃ vismayam upagataḥ / tatas tasya	samanvAgatam* / dRzwvA ca punar param vismayam upagataH / tatas tasya
   vijñāsāṃ kartukāmena sauvarṇāstambhā ucchritāḥ sapta tālāḥ sapta bheryaḥ	vijQAsAm kartu kAmena sOvarNa astamBAH ucCritAH sapta tAlAH sapta BeryaH
   sapta śūkarāḥ / āha ca /	sapta SUkarAH / Aha ca /
   Cf. KAvk 64.313 316	Cf. Ka avk 64.313 316
   tvayā kāntyā jitās tāvad ete kinnaradārakāḥ /	tvayA kAntyA jitAH tAvat ete kinnara dArakAH /
   saṃdarśitaprabhāvas tu divyasaṃbandham arhasi //	saMdarSita praBAvaH tu divya saMbanDam arhasi //
   atyāyataṃ śaravaṇaṃ kṛtvoddhṛtya śaraṃ kṣaṇāt* /	atyAyatam SaravaNam kRtvA udDRtya Saram kzaNAt* /
   vyuptam anyūnam uccitya punar dehi tilāḍhakam* /	vyuptam anyUnam uccitya punar dehi tila AXakam* /
   saṃdarśaya dhanurvede dṛḍhalakṣyādikauśalam* /	saMdarSaya Danurvede dRXa lakzya Adi kOSalam* /
   tataḥ kīrtipatākeyaṃ tavāyattā manoharā //	tatas kIrti patAkA iyam tava AyattA manoharAH //
   (Divy 459)	(Di vI 459)
   sudhanaḥ kumāro bodhisatvaḥ / kuśalāś ca bhavanti bodhisatvās teṣu teṣu	suDanaH kumAraH boDisatvaH / kuSalAH ca Bavanti boDisatvAH tezu tezu
   śilpasthānakarmasthāneṣu devatāś caiṣām autsukyam āpatsyante	Silpa sTAna karma sTAnezu devatAH ca ezAm Otsukyam Apatsyante
   avighnabhāvāya / tato bodhisatvo	aviGna BAvAya / tatas boDisatvaH 
   nṛtyagītavīṇāpaṇavasughoṣakavallarīmṛdaṅgādinānāvidhena (MSV I 157)	nRtya gIta vINA paNava suGozaka vallarI mRdaFga Adi nAnAviDena (MSV I 157)
   daivatyopasaṃhatena vāditraviśeṣeṇa samantād āpūryamāṇo 'nekaiḥ	dEvatya upasaMhatena vAditra viSezeNa samantAt ApUryamANaH anekEH
   kinnarasahasraiḥ parivṛtāḥ /	kinnara sahasrEH parivRtAH /
   Cf. KAvk 64.320 321	Cf. Ka avk 64.320 321
   śatakratusamādiṣṭair yakṣaiḥ śūkararūpibhiḥ /	Satakratu samAdizwEH yakzEH SUkara rUpiBiH /
   utpāṭite śaravaṇe same vyuptaṃ tilāḍhakam* //	utpAwite SaravaNe same vyuptam tila AXakam* //
   ekīkṛtaṃ samuccitya śakrasṛṣṭaiḥ pipīlakaiḥ /	ekIkRtam samuccitya Sakra sRzwEH pipIlakEH /
   kumāraḥ kinnarendrāya vismitāya nyavedayat* //	kumAraH kinnara indrAya vismitAya nyavedayat* //
   nīlotpaladalābhenāsinā gṛhītena paśyato drumasya kinnararājasya	nIlotpaladala ABena asinA gRhItena paSyataH drumasya kinnara rAjasya
   sauvarṇastambhasamīpaṃ gatvā tān stambhān kadalīcchedena khaṇḍakhaṇḍaṃ	sOvarNa stamBa samIpam gatvA tAn stamBAn kadalI icCedena KaNxa KaNxam
   chettum ārabdhaḥ / tatas tān tilaśo 'vakīrya sapta tālān sapta bherīḥ	Cettum ArabDaH / tatas tAn tilaSas avakIrya sapta tAlAn sapta BerIH
   sapta ca śūkarān bāṇena vidhya sumeruvad akampyo 'vasthitaḥ / tato	sapta ca SUkarAn bANena viDya sumeru vat akampyaH avasTitaH / tatas 
   gaganatalasthābhir devatābhiś ca kinnaraśatasahasrair	gagana tala sTABiH devatABiH ca kinnara Sata sahasrEH 
   hāhākārakilikilāprakṣveḍoccair nādo mukto yaṃ dṛṣṭvā ca kinnararājaḥ paraṃ	hAhAkAra kili kilA prakzvexA uccEs nAdaH muktaH yam dRzwvA ca kinnara rAjaH param
   vismayam upagataḥ / tataḥ kinnarīsahasrasya manoharāsamānarūpasya madhye	vismayam upagataH / tatas kinnarI sahasrasya manohara asamAna rUpasya maDye
   manoharāṃ sthāpayitvā sudhanaḥ kumāro 'bhihitaḥ / ehi kumāra	manoharAm sTApayitvA su DanaH kumAraH aBihitaH / ehi kumAra
   pratyabhijānāsi manoharām iti / tataḥ sudhanaḥ kumāras tāṃ pratyabhijñāya	pratyaBijAnAsi manoharAm iti / tatas suDanaH kumAraH tAm pratyaBijQAya
   gāthābhigītenoktavān* /	gATA aBigItena uktavAn* /
   yathā drumasya duhitā mameha tvaṃ manoharā /	yaTA drumasya duhitA mama iha tvam manoharA /
   śīghram etena satyena padaṃ vraja manohare //	SIGram etena satyena padam vraja manohare //
   tataḥ sā drutapadam abhikrāntā / kinnarāḥ kathayanti / devāyaṃ sudhanaḥ	tatas sA druta padam aBikrAntAH / kinnarAH kaTayanti / devAyam suDanaH
   kumāro balavīryaparākramasamanvito manoharāyāḥ pratirūpaḥ / kimarthaṃ	kumAraH bala vIrya parAkrama samanvitaH manoharAyAH pratirUpaH / kim arTam
   vipralabhya / dīyatām asya manohareti / tato drumaḥ kinnararājaḥ	vipralaBya / dIyatAm asya manoharA iti / tatas drumaH kinnara rAjaH
   kinnaragaṇena saṃvarṇitaḥ sudhanaṃ kinnarābhimatena mahatā (MSV I 158)	kinnara gaNena saMvarNitaH suDanam kinnara aBimatena mahatA (MSV I 158)
   satkāreṇa puraskṛtya manoharāṃ divyālaṅkāravibhūṣitāṃ vāmena pāṇinā	satkAreNa puraskRtya manoharAm divya alaFkAra viBUzitAm vAmena pANinA
   gṛhītvā dakṣiṇena sauvarṇabhṛṅgāraṃ (Divy 460) sudhanaḥ kumāro 'bhihitaḥ /	gRhItvA dakziNena sOvarNa BRFgAram (DivI 460) suDanaH kumAraH aBihitaH /
   kumāra eṣā te manoharā kinnarīparivṛtā bhāryārthāya dattā / aparicitā	kumAraH ezA te manoharA kinnarI parivRtA BAryA arTAya dattA / aparicitA
   mānuṣāḥ / yathaināṃ na parityakṣyasīti / paraṃ tāteti sudhanaḥ kumāro	mAnuzAH / yaTA enAm na parityakzyasi iti / param tAta iti su DanaH kumAraH 
   drumasya kinnararājasya pratiśrutya kinnarabhavanastho manoharayā sārdhaṃ	drumasya kinnara rAjasya pratiSrutya kinnara Bavana sTaH manoharayA sArDam
   niṣpuruṣeṇa tūryeṇa kṛīḍate ramate paricārayati /	nizpuruzeNa tUryeNa kRIxate ramate paricArayati /
   so 'pareṇa samayena svadeśam anusmṛtya mātāpitṛviyogajena duḥkhenātyāhato	saH apareNa samayena sva deSam anusmRtya mAtA pitR viyoga jena duHKena ati AhataH 
   manoharāyā nivedayati / mātāpitṛviyogajaṃ me duḥkhaṃ bādhata iti / tato	manoharAyAH nivedayati / mAtA pitR viyoga jam me duHKam bADataH iti / tatas 
   manoharayā eṣa vṛttānto vistareṇa pitur niveditaḥ / sa kathayati / gaccha	manoharayA eza vRttAntaH vistareNa pituH niveditaH / sa kaTayati / gacCa
   kumāreṇa sārdham apakrāntayā te bhavitavyaṃ vipralambhakā manuṣyāḥ / tato	kumAreNa sArDam apakrAntayA te Bavitavyam vipralamBakAH manuzyAH / tatas 
   drumeṇa kinnararājena prabhūtaṃ maṇimuktāsuvarṇādīn datvānupreṣitaḥ / sa	drumeNa kinnara rAjena praBUtam maNi muktA suvarNa AdIn datvA anuprezitaH / sa
   manoharayā sārdham uparivihāyasā kinnarakhagapathena saṃprasthito	manoharayA sArDam upari vihAyasA kinnara Kaga paTena saMprasTitaH 
   'nupūrveṇa hastināpuranagaram anuprāptaḥ / tato hastināpuraṃ nagaraṃ	anupUrveNa hastinApura nagaram anuprAptaH / tatas hastinApuram nagaram
   nānāmanohareṇa surabhiṇā gandhaviśeṣeṇa sarvadig āmoditam* / śrutvā	nAnA manohareNa suraBiNA ganDa viSezeNa sarva diS Amoditam* / SrutvA
   dhanena rājñānandabheryaś ca tāḍitāḥ / sarvaṃ ca tan nagaram	Danena rAjQA AnandaBeryaH ca tAxitAH / sarvam ca tat nagaram
   apagatapāṣāṇaśarkarakaṭhallaṃ kāritaṃ candanavārisiktam	apagata pAzANa Sarkara kaWallam kAritam candana vAri siktam
   āmuktapaṭṭadāmakalāpasamucchritadhvajapatākaṃ	Amukta pawwa dAma kalApa samucCrita Dvaja patAkam
   surabhidhūpaghaṭikopanibaddhaṃ nānāpuṣpāvakīrṇaramaṇīyam* / tataḥ kumāro	suraBi DUpa Gawi kA upanibadDam nAnA puzpa avakIrNa ramaNIyam* / tatas kumAraH 
   'nekanaravarasahasraparivṛto manoharayā sārdhaṃ hastināpuraṃ (MSV I 159)	aneka nara vara sahasra parivRtaH manoharayA sArDam hastinApuram (MSV I 159)
   nagaraṃ praviṣṭaḥ / tato mārgaśramaṃ prativinodya vividhāni ratnāny ādāya	nagaram pravizwaH / tatas mArga Sramam prativinodya viviDAni ratnAni AdAya
   pituḥ sakāśam upasaṃkrāntaḥ / pitrā kaṇṭhe pariṣvaktaḥ pārśve rājāsane	pituH sakASam upasaMkrAntaH / pitrA kaNWe parizvaktaH pArSve rAja Asane
   niṣaṇṇaḥ / kinnaranagaragamanāgamanaṃ ca vistareṇa samākhyātam* /	nizaNNaH / kinnara nagara gamana Agamanam ca vistareNa samAKyAtam* /
   tato dhanena rājñātibalavīryaparākrama iti viditvā rājyābhiṣekeṇābhiṣiktaḥ	tatas Danena rAjQA ati bala vIrya parAkramaH iti viditvA rAjya aBizekeNa aBiziktaH
   / sudhanaḥ kumāraḥ saṃlakṣayati / yan mama manoharayā sārdhaṃ samāgamaḥ	/ suDanaH kumAraH saMlakzayati / yat mama manoharayA sArDam samAgamaH
   saṃvṛtto rājyābhiṣekaś cānuprāptas tat pūrvakṛtahetuviśeṣād yanv aham	saMvRttaH rAjya aBizekaH ca anuprAptaH tat pUrva kRta hetu viSezAt yanu aham
   idānīṃ dānāni dadyāṃ puṇyāni kuryām iti / tena hastināpure nagare	idAnIm dAnAni dadyAm puNyAni kuryAm iti / tena hastinApure nagare
   dvādaśavarṣāṇi nirargalo yajña iṣṭaḥ /	dvAdaSa varzANi nirargalaH yajQaH izwaH /
   syāt kalu te mahārājānyaḥ sa tena kālena tena samayena sudhanaḥ kumāro	syAt kalu te mahA rAjAnyaH sa tena kAlena tena samayena suDanaH kumAraH 
   veti / na khalv evaṃ draṣṭavyam* / api tv aham eva tena (Divy 461) kālena	vA iti / na Kalu evam drazwavyam* / api tu aham eva tena (DivI 461) kAlena
   tena samayena bodhisatvacaryāyāṃ vartamānaḥ sudhano nāma rājā babhūva /	tena samayena boDisatva caryAyAm vartamAnaH suDanaH nAma rAjA baBUva /
   yan mayā manoharānimittaṃ balavīryaparākramo darśito dvādaśavarṣāṇi	yat mayA manohara animittam bala vIrya parAkramaH darSitaH dvAdaSa varzANi
   nirargalo yajña iṣṭo na tena mayānuttarā samyaksaṃbodhir adhigatā kin tu	nirargalaH yajQaH izwaH na tena mayA anuttarA samyaksaMboDiH aDigatA kin tu
   tad dānaṃ tac ca vīryam anuttarāyāḥ samyaksaṃbodher hetumātrakaṃ	tat dAnam tat ca vIryam anuttarAyAH samyaksaMboDeH hetu mAtrakam
   pratyayamātrakaṃ saṃbhāramātrakam* /	pratyaya mAtrakam saMBAra mAtrakam* /
   [folios 181 198 are missing]	[folioH 181 198 are missing]
   (fol. 199r1; MSV,Wi 69; MSV I 161) darśanīyā prāsādikā / caṃcā māṇavikā /	(fol. 199r1; MSV,Wi 69; MSV I 161) darSanIyA prAsAdikA / caMcA mANavikAH /
   tāṃ protsāhayāmaḥ sā tair dūtair āhūyoktā / yat khalu bhagini pūrvaṃ no	tAm protsAhayAmaH sA tEH dUtEH AhUya uktA / yat Kalu Bagini pUrvam no
   lābhasatkāra evam evāsīt* idānīṃ lokāḥ śramaṇasya gautamasya sakāśaṃ	lABa satkAraH evam eva AsIt* idAnIm lokAH SramaNasya gOtamasya sakASam
   gacchanti / tasya satkāraṃ kurvanti / asmākaṃ lābhasatkāraḥ sarveṇa sarvaṃ	gacCanti / tasya satkAram kurvanti / asmAkam lABa satkAraH sarveNa sarvam
   samucchinnaḥ sā tvam adhyupekṣase | caṃcā māṇavikā kathayati / āryakā mayā	samucCinnaH sA tvam aDyupekzase | caMcA mANavikA kaTayati / AryakAH mayA
   kiṃ karaṇīyam* bhagini tava jñātīnāṃ kṛte śramaṇena gautamena saha	kim karaNIyam* Bagini tava jQAtInAm kRte SramaNena gOtamena saha
   abrahmacaryaṃ caritavyam* / apavādaś ca tasya dātavyaḥ / etena naḥ	abrahmacaryam caritavyam* / apavAdaH ca tasya dAtavyaH / etena naH
   pūrvavat* lābhasatkāro bhaved ity evam ukte caṃcā māṇavikā parivrājikā	pUrvavat* lABa satkAraH Bavet iti evam ukte caMcA mANavikA parivrAjikA
   saṃbahulānām anyatīrthikaparivrājakānām evam āha / āryakāḥ śramaṇasya	saMbahulAnAm anya tIrTika parivrAjakAnAm evam Aha / AryakAH SramaNasya
   gautamasyāpavādam ahaṃ na utsahe / bhagini yāvat tvaṃ śramaṇasya	gOtamasya apavAdam aham naH utsahe / Bagini yAvat tvam SramaNasya
   gautamasyāpavādaṃ notsahase tāvad vayaṃ tvayā saha nālapiṣyāmo na	gOtamasya apavAdam na utsahase tAvat vayam tvayA saha na Ala pizyAmaH na
   saṃlapiṣyāmo nālokayiṣyāmo na vyavalokayiṣyāmo na ca te sarvāvāseṣu	saMlapizyAmaH na AlokayizyAmaH na vyavalokayizyAmaH na ca te sarva AvAsezu
   prajñapayiṣyasi āsanāni / athānuśocantī tvaṃ narakagatim avāpsyasi /	prajQapayizyasi AsanAni / aTa anuSocantI tvam naraka gatim avApsyasi /
   alpaprajñāḥ striyaḥ / sā bhītā kathayaty eṣāham āryakā yan mayā karaṇīyam	alpa prajQAH striyaH / sA BItA kaTayati ezA aham AryakAH yat mayA karaNIyam
   ehi tvaṃ bhagini jetavanam abhīkṣṇaṃ gaccha kaṃcit kālaṃ gatvā śramaṇasya	ehi tvam Bagini jetavanam aBIkzNam gacCa kaMcid kAlam gatvA SramaNasya
   gautamasya apavādaṃ dāpaya / sā pratyaham utthāya jetavanaṃ gatā / yāvat	gOtamasya apavAdam dApaya / sA pratyaham utTAya jetavanam gatA / yAvat 
   sā bhājanam ekaṃ baddhvā yena bhagavāṃs tenopasaṃkrāntā / tena khalu	sA BAjanam ekam badDvA yena BagavAn tena upasaMkrAntA / tena Kalu
   samayena bhagavān anekaśatānāṃ purastān niṣaṇṇo dharmaṃ deśayati |	samayena BagavAn aneka SatAnAm purastAt nizaNNaH Darmam deSayati |
   adrakṣīḍ bhagavān dūrataś caṃcā māṇavikām* / dṛṣṭvā tasyaitad abhavat* /	adrakzIj BagavAn dUratas caMcA mANa vikAm* / dRzwvA tasya etat aBavat* /
   adya mama karmāṇi kṛtāny upacitāni (MSV I 162) labdhasaṃbhārāṇī	adya mama karmANi kRtAni upacitAni (MSV I 162) labDa saMBArANI
   pariṇatapratyayāny oghavat pratyupasthitāny avaśyabhāvīni ko 'nyaḥ	pariNata pratyayAni oGavat pratyupasTitAni avaSya BAvIni kaH anyaH
   pratyanubhaviṣyatīti / tataś caṃcā māṇavikā parivrājikā bhagavataḥ purataḥ	pratyanuBavizyati iti / tatas caMcA mANavikA parivrAjikA BagavataH puratas 
   sthitvāha /	sTitvA Aha /
   aham āpannasatvāsmi tvayā kāmopasevanāt* /	aham ApannasatvA asmi tvayA kAma upasevana at* /
   ratir labdhā yaśo ghuṣṭaṃ dharmaṃ vadasi sāmpratam iti /	ratiH labDA yaSaH Guzwam Darmam vadasi sAmpratam iti /
   bhagavān āha // abhūtavādī narakān upaiti / caṃcā māṇavikā prāha / yaś	BagavAn Aha // aBUta vAdI narakAn upEti / caMcA mANavikA prAha / yaH 
   cāpi kṛtvā na karomīti cāha // bhagavān āha /	ca api kRtvA na karomi iti ca Aha // BagavAn Aha /
   hīno hi dharmair ubhayatra loke	hInaH hi DarmEH uBayatra loke
   tulyām avasthāṃ samupaiti martyaḥ //	tulyAm avasTAm samupEti martyaH //
   atha śakro devendraḥ aho vateyaṃ caṃcā māṇavikā bhagavantaṃ viheṭhayiṣyati	aTa SakraH deva indraH aho vateyam caMcA mANavikAH Bagavantam viheWayizyati
