   BhP_02.01.001/0 śrīśuka uvāca	BhP_02.01.001/0 SrI-SukaH uvAca
   BhP_02.10.046/1 ayaṃ tu brahmaṇaḥ kalpaḥ savikalpa udāhṛtaḥ	Bhu-_02.10.046/1 ayam tu brahmaNaH kalpaH sa-vikalpaH udAhRtaH
   BhP_02.10.046/3 vidhiḥ sādhāraṇo yatra sargāḥ prākṛtavaikṛtāḥ	Bhu-_02.10.046/3 viDiH sADAraNaH yatra sargAH prAkRta-vEkRtAH
   BhP_02.10.047/1 parimāṇaṃ ca kālasya kalpalakṣaṇavigraham	Bhu-_02.10.047/1 parimANam ca kAlasya kalpa-lakzaNa-vigraham
   BhP_02.10.047/3 yathā purastādvyākhyāsye pādmaṃ kalpam atho śṛṇu	Bhu-_02.10.047/3 yaTA purastAt-vyAKyAsye pAdmam kalpam aTo SRNu
   BhP_02.10.048/0 śaunaka uvāca	BhP_02.10.048/0 SOnakaH uvAca
   BhP_02.10.048/1 yadāha no bhavān sūta kṣattā bhāgavatottamaḥ	Bhu-_02.10.048/1 yat-Aha naH BavAn sUta kzattA BAgavata-uttamaH
   BhP_02.10.048/3 cacāra tīrthāni bhuvastyaktvā bandhūn sudustyajān	Bhu-_02.10.048/3 cacAra tIrTAni BuvaH-tyaktvA banDUn su-dustyajAn
   BhP_02.10.049/1 kṣattuḥ kauśāravestasya saṃvādo 'dhyātmasaṃśritaḥ	Bhu-_02.10.049/1 kzattuH kOSAraveH-tasya saMvAdaH aDyAtma-saMSritaH
   BhP_02.10.049/3 yadvā sa bhagavāṃstasmai pṛṣṭastattvam uvāca ha	Bhu-_02.10.049/3 yat-vA sa BagavAn=-tasmE pRzwaH-tattvam uvAca ha
   BhP_02.10.050/1 brūhi nastadidaṃ saumya vidurasya viceṣṭitam	Bhu-_02.10.050/1 brUhi naH-tat-idam sOmya vidurasya vicezwitam
   BhP_02.10.050/3 bandhutyāganimittaṃ ca yathaivāgatavān punaḥ	Bhu-_02.10.050/3 banDu-tyAga-nimittam ca yaTA-eva-AgatavAn punar-
   BhP_02.10.051/0 sūta uvāca	BhP_02.10.051/0 sUtaH uvAca
   BhP_02.10.051/1 rājñā parīkṣitā pṛṣṭo yadavocan mahāmuniḥ	Bhu-_02.10.051/1 rAjQA parIkzitA pRzwaH yat-avocat mahA-muniH
   BhP_02.10.051/3 tadvo 'bhidhāsye śṛṇuta rāajñaḥ praśnānusārataḥ	Bhu-_02.10.051/3 tat-vaH aBiDAsye SRNuta rAa-jQaH praSna-anusArataH
