   akathyamapi deveśi Ras_1.13c	akaTyam-api deveSi RaH-_1.13c
   nātra kāryā vicāraṇā Ras_11.40d	na-atra kAryA vicAraNAH RaH-_11.40d
   nātra kāryā vicāraṇā Ras_11.41d	na-atra kAryA vicAraNAH RaH-_11.41d
   nātra kāryā vicāraṇā Ras_11.73d	na-atra kAryA vicAraNAH RaH-_11.73d
   nānādrumalatākīrṇe Ras_1.2c	nAnA-druma-latA-AkIrNe RaH-_1.2c
   nānāpuṣpadrumānvite Ras_2.41d	nAnA-puzpa-druma-anvite RaH-_2.41d
   nānāratnavibhūṣite Ras_1.2b	nAnA-ratna-viBUzite RaH-_1.2b
   nānāvarṇaṃ tathā svacchaṃ Ras_11.201a	nAnA-varNam taTA svacCam RaH-_11.201a
   nānāvarṇaḥ sureśvari Ras_11.209b	nAnA-varNaH sureSvari RaH-_11.209b
   nānāvarṇā mahābalāḥ Ras_6.66d	nAnA-varNAH mahA-balAH RaH-_6.66d
   nānāvidhaphalaṃ ca syāt Ras_12.338a	nAnAviDa-Palam ca syAt RaH-_12.338a
   nāma carmāragandhikam Ras_7.50d	nAma carmAraganDikam RaH-_7.50d
   nāmnā kṛṣṇagiriśceti Ras_12.238a	nAmnA kRzNagiriH-ca-iti RaH-_12.238a
   nāmnā caṭulaparṇīti Ras_12.97c	nAmnA cawulaparNI-iti RaH-_12.97c
   nāmnāṃ tu kulakhecarī Ras_3.19d	nAmnAm tu kula-KecarI RaH-_3.19d
   nāraṅgaṃ tintiṇīkaṃ ca Ras_5.31c	nAraFgam tintiNIkam ca RaH-_5.31c
   nāraṅgāmlapariplutam Ras_7.9b	nAraFga-amla-pariplutam RaH-_7.9b
   nārikele mahābhāge Ras_12.377a	nArikele mahABAge RaH-_12.377a
   nārīkṣīrasamanvitam Ras_12.100b	nArI-kzIra-samanvitam RaH-_12.100b
   nārīṇāṃ hṛdayaṃ yathā Ras_3.30f	nArINAm hRdayam yaTA RaH-_3.30f
   nārīhaste na pātayet Ras_2.124b	nArI-haste na pAtayet RaH-_2.124b
   nāryai guhyaṃ na vaktavyaṃ Ras_2.124c	nAryE guhyam na vaktavyam RaH-_2.124c
   nāloḍya rasakaṃ pacet Ras_7.30b	na-Aloxya rasakam pacet RaH-_7.30b
   nāśayet sakalān rogān Ras_10.5c	nASayet sakalAn rogAn RaH-_10.5c
   nāstikenānubhāvena Ras_1.48a	nAstikena-anuBAvena RaH-_1.48a
   nāsti nāstīti yo vadet Ras_1.48b	na-asti na-asti-iti yaH vadet RaH-_1.48b
   nāhaṃkāraṃ samācaret Ras_1.58d	na-ahaMkAram samAcaret RaH-_1.58d
   nāhaṃ trātā bhave tasya Ras_1.49c	na-aham trAtA Bave tasya RaH-_1.49c
   nāhni jvalati pārvati Ras_12.109d	na-ahni jvalati pArvati RaH-_12.109d
   nikaṣe kuṅkumaprabham Ras_7.100d	nikaze kuFkuma-praBam RaH-_7.100d
   nikṣiptā martyaloke sā Ras_12.235a	nikziptA martya-loke sA RaH-_12.235a
   nikṣipyāmle dinatrayam Ras_6.38b	nikzipya-amle dina-trayam RaH-_6.38b
   niculakṣāravāriṇi Ras_6.21b	nicula-kzAra-vAriNi RaH-_6.21b
   niculaṃ citrakaṃ tathā Ras_7.133b	niculam citrakam taTA RaH-_7.133b
   nicule kakubhe caiva Ras_12.328a	nicule kakuBe ca-eva RaH-_12.328a
   nijagandhena tān sarvān Ras_7.63e	nija-ganDena tAn sarvAn RaH-_7.63e
   nijasthānaṃ samāśrayet Ras_12.244d	nija-sTAnam samASrayet RaH-_12.244d
   nityamevaṃ tu kārayet Ras_12.258d	nityam-evam tu kArayet RaH-_12.258d
   nityābhyāsaṃ kuru priye Ras_1.31d	nitya-aByAsam kuru priye RaH-_1.31d
   nityodyamasamanvitāḥ Ras_2.13b	nitya-udyama-samanvitAH RaH-_2.13b
   nidāghe gharmasaṃtaptā Ras_7.19a	nidAGe Garma-saMtaptAH RaH-_7.19a
   nidhāya kharpare nāgaṃ Ras_8.75a	niDAya Karpare nAgam RaH-_8.75a
   nidhāya tāmrapātre tu Ras_11.35a	niDAya tAmra-pAtre tu RaH-_11.35a
   nipuṇena tu labhyate Ras_10.16b	nipuNena tu laByate RaH-_10.16b
   nipetuḥ svedabindavaḥ Ras_12.203b	nipetuH sveda-bindavaH RaH-_12.203b
   nimbukasya rase tathā Ras_7.73b	nimbukasya rase taTA RaH-_7.73b
   niyamito na prayāti Ras_10.21a	niyamitaH na prayAti RaH-_10.21a
   niyamito bhavatyeṣa Ras_10.22c	niyamitaH Bavati-eza RaH-_10.22c
   niyāmakagaṇauṣadhyā Ras_10.20c	niyAmaka-gaNa-ozaDyA RaH-_10.20c
   niyāmanādikaṃ karma Ras_2.109c	niyAmana-Adikam karma RaH-_2.109c
   niyāmanādikaṃ karma Ras_5.1a	niyAmana-Adikam karma RaH-_5.1a
   nirutthaṃ bhasma jāyate Ras_7.149d	nirutTam Basma jAyate RaH-_7.149d
   nirutthe pannage hemni Ras_8.61a	nirutTe pannage hemni RaH-_8.61a
   nirudgāre tu pāṣāṇe Ras_10.46c	nirudgAre tu pAzANe RaH-_10.46c
   nirgacchati mahīṃ bhittvā Ras_12.192c	nirgacCati mahIm BittvA RaH-_12.192c
   nirgacchanti mahīṃ bhittvā Ras_12.190c	nirgacCanti mahIm BittvA RaH-_12.190c
   nirgandhā jāyate sā tu Ras_12.39a	nirganDA jAyate sA tu RaH-_12.39a
   nirguṇaṃ guṇagocaram Ras_2.116b	nirguNam guNa-gocaram RaH-_2.116b
   nirguṇḍī grīṣmasundaraḥ Ras_10.54d	nirguNxI grIzmasundaraH RaH-_10.54d
   nirjīvatvaṃ gataḥ sūtaḥ Ras_12.79a	nirjIva-tvam gataH sUtaH RaH-_12.79a
   nirjīvena tu nirjīvaḥ Ras_12.79c	nirjIvena tu nirjIvaH RaH-_12.79c
   nirdagdhaṃ śaṅkhacūrṇaṃ tu Ras_9.3a	nirdagDam SaFKa-cUrNam tu RaH-_9.3a
   nirdagdhaṃ śaṅkhacūrṇaṃ tu Ras_9.5a	nirdagDam SaFKa-cUrNam tu RaH-_9.5a
   nirbījaṃ kanakaṃ bhavet Ras_12.228:2d	nirbIjam kanakam Bavet RaH-_12.228:2d
   nirmalaṃ svacchavārivat Ras_7.131d	nirmalam svacCa-vAri-vat RaH-_7.131d
   nirmalāni ca jāyante Ras_7.145c	nirmalAni ca jAyante RaH-_7.145c
   nirmalā balavattarāḥ Ras_6.74f	nirmalAH balavattarAH RaH-_6.74f
   nirmalā rasasādhane Ras_2.32b	nirmalA rasa-sADane RaH-_2.32b
   nirmalīkaraṇārthaṃ tu Ras_11.68a	nirmalIkaraNa-arTam tu RaH-_11.68a
   nirmalo jāyate sūtaḥ Ras_10.48a	nirmalaH jAyate sUtaH RaH-_10.48a
   nirmāpayedekatalaṃ Ras_2.47a	nirmApayet-eka-talam RaH-_2.47a
   nirmāṃsamūrdhapiṇḍīkān Ras_2.11a	nirmAMsa-mUrDa-piNxIkAn RaH-_2.11a
   nirmukhaṃ grasate kṣaṇam Ras_11.40b	nirmuKam grasate kzaNam RaH-_11.40b
   nirmukhaṃ ca varānane Ras_12.42b	nirmuKam ca varAnane RaH-_12.42b
   nirmukhaṃ samukhaṃ caiva Ras_11.15a	nirmuKam samuKam ca-eva RaH-_11.15a
   nirmukho bhakṣayeddevi Ras_11.16c	nirmuKaH Bakzayet-devi RaH-_11.16c
   niryāsaṃ ca vimuñcanti Ras_7.19c	niryAsam ca vimuQcanti RaH-_7.19c
   niryāse tu puṭaṃ kuryāt Ras_12.231c	niryAse tu puwam kuryAt RaH-_12.231c
   nirleparasasannibham Ras_6.21d	nirlepa-rasa-sanniBam RaH-_6.21d
   nirvalīpalito bhavet Ras_12.344d	nirvalI-palitaH Bavet RaH-_12.344d
   nirvāte toyamādāya Ras_12.252a	nirvAte toyam-AdAya RaH-_12.252a
   nirvāhaṇaṃ prakurvīta Ras_4.46c	nirvAhaNam prakurvIta RaH-_4.46c
   nirvighnaṃ rasabhairavaḥ Ras_2.85d	nirviGnam rasaBEravaH RaH-_2.85d
   nirvyaṅgā nirupadravāḥ Ras_6.74d	nirvyaFgAH nirupadravAH RaH-_6.74d
   nirvyūḍhastāṃ ca raktatām Ras_8.68b	nirvyUXaH-tAm ca rakta-tAm RaH-_8.68b
   nirvyūḍhaṃ nāgavaṅgābhyāṃ Ras_8.55a	nirvyUXam nAga-vaFgAByAm RaH-_8.55a
   nirvyūḍhe śataśo gaṇe Ras_8.61b	nirvyUXe SataSas gaNe RaH-_8.61b
   niveśya suranāyike Ras_2.109b	niveSya sura-nAyike RaH-_2.109b
   niśācararase kṣiptaṃ Ras_12.24a	niSAcara-rase kziptam RaH-_12.24a
   niśācararase jāryaṃ Ras_12.86a	niSAcara-rase jAryam RaH-_12.86a
   niśācararase devi Ras_12.8a	niSAcara-rase devi RaH-_12.8a
   niśācararase bhāvyaṃ Ras_12.13a	niSAcara-rase BAvyam RaH-_12.13a
   niśācarasya pattrāṇi Ras_12.4a	niSAcarasya pattrANi RaH-_12.4a
   niśācarasya puṣpāṇi Ras_12.16a	niSAcarasya puzpANi RaH-_12.16a
   niśārdhaṃ hema cobhayam Ras_12.120b	niSA-arDam hema ca-uBayam RaH-_12.120b
   niśārdhaṃ hema śodhayet Ras_12.121b	niSA-arDam hema SoDayet RaH-_12.121b
   niśāsu prajvalennityaṃ Ras_12.109c	niSAsu prajvalet-nityam RaH-_12.109c
   niścitā rasasādhane Ras_2.27b	niScitA rasa-sADane RaH-_2.27b
   niṣiktaṃ tacca varte 'yaṃ Ras_12.227c	niziktam tat-ca varte ayam RaH-_12.227c
   niṣiktaṃ tena toyena Ras_12.268a	niziktam tena toyena RaH-_12.268a
   niṣiktaṃ hematāṃ vrajet Ras_12.269d	niziktam hema-tAm vrajet RaH-_12.269d
   niṣekastadanantaram Ras_4.53b	nizekaH-tad-anantaram RaH-_4.53b
   niṣekaṃ majjanaṃ viduḥ Ras_4.53d	nizekam majjanam viduH RaH-_4.53d
   niṣekaḥ sarvalohānāṃ Ras_7.117e	nizekaH sarva-lohAnAm RaH-_7.117e
   niṣekād bhāskarapriye Ras_12.43d	nizekAt BAskara-priye RaH-_12.43d
   niṣecayecchataṃ vāraṃ Ras_11.21c	nizecayet-Satam vAram RaH-_11.21c
   niṣkampo nirupadravaḥ Ras_11.148d	nizkampaH nirupadravaH RaH-_11.148d
   niṣkalaṃ nirmalaṃ nityaṃ Ras_2.115c	nizkalam nirmalam nityam RaH-_2.115c
   niṣkaṃ niṣkārdhameva ca Ras_12.362b	nizkam nizka-arDam-eva ca RaH-_12.362b
   niṣṭhurā kalahapriyā Ras_2.15b	nizWurA kalaha-priyA RaH-_2.15b
   niṣpīḍya rasamuttamam Ras_12.172b	nizpIxya rasam-uttamam RaH-_12.172b
   niṣprapañcaṃ nirādhāraṃ Ras_2.116a	nizprapaQcam nirADAram RaH-_2.116a
   nistaraṅgaṃ nirāmayam Ras_2.115d	nistaraFgam nirAmayam RaH-_2.115d
   nispṛhā mandabuddhayaḥ Ras_1.30b	nispRhA manda-budDayaH RaH-_1.30b
   nispṛho nirahaṃkāro Ras_2.2a	nispRhaH nirahaMkAraH RaH-_2.2a
   nihanyādgandhamātreṇa Ras_7.150c	nihanyAt-ganDa-mAtreNa RaH-_7.150c
   niḥsattvaḥ pannago bhavet Ras_12.39d	niHsattvaH pannagaH Bavet RaH-_12.39d
   nītaṃ madhye payonidheḥ Ras_7.62d	nItam maDye payoniDeH RaH-_7.62d
   nīlakaṇṭhaṃ trilocanam Ras_1.3b	nIlakaNWam trilocanam RaH-_1.3b
   nīlakuñcitakeśaśca Ras_12.317c	nIla-kuQcita-keSaH-ca RaH-_12.317c
   nīlagrīvā vṛṣadhvajāḥ Ras_2.60d	nIla-grIvAH vRzaDvajAH RaH-_2.60d
   nīlagrīvāṃ kṛpāmayīm Ras_2.71d	nIlagrIvAm kRpA-mayIm RaH-_2.71d
   nīlajyotis tṛṇajyotir Ras_5.19a	nIlajyotiH tRNajyotiH RaH-_5.19a
   nīlapītāruṇacchaviḥ Ras_11.137d	nIla-pIta-aruNa=-CaviH RaH-_11.137d
   nīlaṃ kṛṣṇamiti snigdhaṃ Ras_7.108a	nIlam kRzNam-iti snigDam RaH-_7.108a
   nīlaṃ bhasmanibhaṃ tathā Ras_11.205b	nIlam Basma-niBam taTA RaH-_11.205b
   nīlaḥ pārāvataprabhaḥ Ras_6.127b	nIlaH pArAvata-praBaH RaH-_6.127b
   nīlī niryāsamiśritam Ras_11.133d	nIlI niryAsa-miSritam RaH-_11.133d
   nīlotpalāni liptāni Ras_11.134a	nIlotpalAni liptAni RaH-_11.134a
   netayaḥ prabhavanti ca Ras_2.129d	na-itayaH praBavanti ca RaH-_2.129d
   netradoṣavināśanam Ras_7.38d	netra-doza-vinASanam RaH-_7.38d
   nairṛtyāṃ peṣaṇādikam Ras_2.107d	nErRtyAm pezaNa-Adikam RaH-_2.107d
   naiva jānanti mūḍhāste Ras_12.73c	na-eva jAnanti mUXAH-te RaH-_12.73c
   naiva tiṣṭhati kāñcane Ras_12.77b	na-eva tizWati kAQcane RaH-_12.77b
   naiva dadyāttu tat priye Ras_12.78d	na-eva dadyAt-tu tat priye RaH-_12.78d
   naiva dravyaṃ karoti saḥ Ras_12.76b	na-eva dravyam karoti saH RaH-_12.76b
   naiva baddhaṃ kadācana Ras_12.75b	na-eva badDam kadAcana RaH-_12.75b
   naiva siddhiḥ prajāyate Ras_12.71d	na-eva sidDiH prajAyate RaH-_12.71d
   naivedyena ca pūjayet Ras_2.100f	nEvedyena ca pUjayet RaH-_2.100f
   nyagrodhaśaṅkhadugdhena Ras_6.105c	nyagroDa-SaFKa-dugDena RaH-_6.105c
   nyaset krodhaṃ ca kaṅkālaṃ Ras_2.97c	nyaset kroDam ca kaFkAlam RaH-_2.97c
   nyastavyaṃ koṣṭhake priye Ras_3.27b	nyastavyam kozWake priye RaH-_3.27b
   nyastavyā vīravandite Ras_3.25d	nyastavyAH vIra-vandite RaH-_3.25d
   nyāsaṃ rasāṅkuśenaiva Ras_2.51c	nyAsam rasAFkuSena-eva RaH-_2.51c
   paktvā tenāmbhasā pathyāḥ Ras_12.308a	paktvA tena-amBasA paTyAH RaH-_12.308a
   pakvadhātrīphalarasaiḥ Ras_7.124a	pakva-DAtrI-Pala-rasEH RaH-_7.124a
   pakvabījānyataḥ śṛṇu Ras_8.50b	pakva-bIjAni-atas SRNu RaH-_8.50b
   pakvaṃ niviḍitaṃ devi Ras_8.20e	pakvam nivixitam devi RaH-_8.20e
   pakvaṃ śreṣṭhaṃ samaṃ garbhe Ras_8.87a	pakvam SrezWam samam garBe RaH-_8.87a
   pakṣamāsādiṣaṇmāsa- Ras_12.278c	pakza-m-Asa-Adizaz-mAsa RaH-_12.278c
   pakṣe pakṣe rajasvalā Ras_2.25b	pakze pakze rajasvalA RaH-_2.25b
   pacedaṣṭāvaśeṣitam Ras_12.296b	pacet-azwa-avaSezitam RaH-_12.296b
   pañcakṣāraistathā mūtrair Ras_4.29a	paQca-kzArEH-taTA mUtrEH RaH-_4.29a
   pañcagavyena bhāvitā Ras_6.15d	paQcagavyena BAvitAH RaH-_6.15d
   pañcagavyena bhāvitāḥ Ras_7.94d	paQcagavyena BAvitAH RaH-_7.94d
   pañcatāraṃ varārohe Ras_12.352a	paQcatAram varArohe RaH-_12.352a
   pañcadrāvakasaṃyutam Ras_7.9d	paQca-drAvaka-saMyutam RaH-_7.9d
   pañcanādeṣu saṃsthitā Ras_3.9d	paQca-nAdezu saMsTitAH RaH-_3.9d
   pañcaniṣkaṃ tu ṭaṅkaṇam Ras_6.59d	paQca-nizkam tu waFkaNam RaH-_6.59d
   pañcabījātmikāṃ vidyāṃ Ras_2.84c	paQca-bIja-AtmikAm vidyAm RaH-_2.84c
   pañcabhir daśakoṭiḥ syāt Ras_12.335a	paQcaBiH daSa-kowiH syAt RaH-_12.335a
   pañcabhūtātmakaḥ sūtas Ras_12.83a	paQcaBUta-AtmakaH sUtaH RaH-_12.83a
   pañcamastu caturthāṃśaḥ Ras_11.51a	paQcamaH-tu caturTa-aMSaH RaH-_11.51a
   pañcamaṃ tu gṛhaṃ devi Ras_3.2c	paQcamam tu gRham devi RaH-_3.2c
   pañcamāhiṣayuktayā Ras_7.94b	paQca-mAhiza-yuktayA RaH-_7.94b
   pañcamī tu niśācarī Ras_5.28d	paQcamI tu niSAcarI RaH-_5.28d
   pañcame carite grāse Ras_11.54a	paQcame carite grAse RaH-_11.54a
   pañcame lakṣakoṭistu Ras_12.70a	paQcame lakza-kowiH-tu RaH-_12.70a
   pañcaratnamidaṃ devi Ras_5.28e	paQcaratnam-idam devi RaH-_5.28e
   pañcaratnasamopetaṃ Ras_2.79a	paQcaratna-samopetam RaH-_2.79a
   pañcaratnaṃ śṛṇu priye Ras_5.27f	paQcaratnam SRNu priye RaH-_5.27f
   pañcaratnāni suvrate Ras_5.29d	paQcaratnAni suvrate RaH-_5.29d
   pañcavaktraṃ tryambakam Ras_2.63d	paQcavaktram tryambakam RaH-_2.63d
   pañcavaktrās tryambakāḥ Ras_2.60b	paQcavaktrAH tryambakAH RaH-_2.60b
   pañcavāsarabhāvitā Ras_7.102b	paQca-vAsara-BAvitA RaH-_7.102b
   pañcaviṃśaddinānte tu Ras_12.165a	paQcaviMSat-dina-ante tu RaH-_12.165a
   pañcāṅgaṃ mūlakasya ca Ras_9.11d	paQcAFgam mUlakasya ca RaH-_9.11d
   pañcāvaraṇasaṃyutam Ras_3.11d	paQca-AvaraNa-saMyutam RaH-_3.11d
   pañcāvasthaṃ kuru priye Ras_12.34d	paQca-avasTam kuru priye RaH-_12.34d
   pañcāvasthā rasasya tu Ras_10.18d	paQca-avasTAH rasasya tu RaH-_10.18d
   pañcāvasthā rasasya tu Ras_11.75d	paQca-avasTAH rasasya tu RaH-_11.75d
   pañcaite tu mahāviṣāḥ Ras_5.33d	paQca-ete tu mahA-vizAH RaH-_5.33d
   pañcaivopaviṣā mukhyāḥ Ras_5.34c	paQca-eva-upavizAH muKyAH RaH-_5.34c
   paṭolī bilvameva ca Ras_5.16d	pawolI bilvam-eva ca RaH-_5.16d
   paṭṭabaddho mahārasaḥ Ras_12.22b	pawwa-badDaH mahArasaH RaH-_12.22b
   paṭṭabandhastu pañcamaḥ Ras_11.198d	pawwabanDaH-tu paQcamaH RaH-_11.198d
   paṭṭabandhasya lakṣaṇam Ras_11.204d	pawwabanDasya lakzaNam RaH-_11.204d
   paṭvamlakṣāragomūtra- Ras_11.61a	pawu-amla-kzAra-go-mUtra RaH-_11.61a
   patatyabhrakasattvaṃ tu Ras_6.16c	patati-aBraka-sattvam tu RaH-_6.16c
   pataṃgo madayantikā Ras_5.39f	pataMgaH madayantikAH RaH-_5.39f
   patitā bhūmimaṇḍale Ras_6.66b	patitA BUmi-maNxale RaH-_6.66b
   patito 'patitaśceti Ras_7.18a	patitaH apatitaH-ca-iti RaH-_7.18a
   patet sattvaṃ sutālakāt Ras_7.77d	patet sattvam sutAlakAt RaH-_7.77d
   pattrakalkaniṣecanaiḥ Ras_8.20d	pattra-kalka-nizecanEH RaH-_8.20d
   pattralepapramāṇena Ras_12.141c	pattra-lepa-pramANena RaH-_12.141c
   pattralepaṃ tu kārayet Ras_12.117d	pattra-lepam tu kArayet RaH-_12.117d
   pattralepe tathā raṅge Ras_4.41a	pattra-lepe taTA raFge RaH-_4.41a
   pattralepe raviṃ haret Ras_12.10b	pattra-lepe ravim haret RaH-_12.10b
   pattraṃ kanakatārayoḥ Ras_8.22d	pattram kanaka-tArayoH RaH-_8.22d
   pattraṃ rañjitanāgasya Ras_11.187a	pattram raQjita-nAgasya RaH-_11.187a
   pattrābhrajāraṇaṃ sattva- Ras_11.14c	pattra-aBra-jAraNam sattva RaH-_11.14c
   pattre tasya ca gālayet Ras_12.175b	pattre tasya ca gAlayet RaH-_12.175b
   pattre pāke kaṭe chede Ras_12.77a	pattre pAke kawe Cede RaH-_12.77a
   pattraiḥ snuhīsamaiḥ snigdhaiḥ Ras_12.168c	pattrEH snuhI-samEH snigDEH RaH-_12.168c
   patrābhraṃ kāṃsyabhājane Ras_6.36b	patra-aBram kAMsya-BAjane RaH-_6.36b
   pathyāgugguludhātavaḥ Ras_7.91d	paTyA-guggulu-DAtavaH RaH-_7.91d
   pathyācūrṇapalaṃ tathā Ras_12.355b	paTyA-cUrNa-palam taTA RaH-_12.355b
   padmayantre niveśyātha Ras_11.194c	padmayantre niveSya-aTa RaH-_11.194c
   padmarāgaṃ tu sūtake Ras_11.102b	padmarAgam tu sUtake RaH-_11.102b
   padmarāgaṃ prayatnena Ras_11.101c	padmarAgam prayatnena RaH-_11.101c
   padmarāge vyavasthitāḥ Ras_8.11d	padmarAge vyavasTitAH RaH-_8.11d
   padmasūtreṇa veṣṭayet Ras_12.348d	padma-sUtreNa vezwayet RaH-_12.348d
   padmākāraṃ mukhaṃ yasyā Ras_2.21c	padma-AkAram muKam yasyAH RaH-_2.21c
   padminīsadṛśī pattraiḥ Ras_12.123a	padminI-sadRSI pattrEH RaH-_12.123a
   padminī sā tu vijñeyā Ras_2.24c	padminI sA tu vijQeyAH RaH-_2.24c
   panase saptasaṃkhyakam Ras_12.376b	panase sapta-saMKyakam RaH-_12.376b
   pannagaṃ triguṇaṃ priye Ras_12.45d	pannagam triguNam priye RaH-_12.45d
   pannagaṃ devi secayet Ras_12.44d	pannagam devi secayet RaH-_12.44d
   pannagaḥ kāñcanaṃ bhavet Ras_12.20d	pannagaH kAQcanam Bavet RaH-_12.20d
   pampātīre tṛṇodakam Ras_12.286b	pampA-tIre tRNa-udakam RaH-_12.286b
   payasā ca samāyuktaṃ Ras_12.258c	payasA ca samAyuktam RaH-_12.258c
   payasā sahitenaiva Ras_12.158c	payasA sahitena-eva RaH-_12.158c
   payaḥpūrṇaṃ phalānvitam Ras_2.78d	payaH-pUrNam Pala-anvitam RaH-_2.78d
   paradārānna saṃspṛśet Ras_2.125b	para-dArAt-na saMspRSet RaH-_2.125b
   paradravyair na kartavyaṃ Ras_2.125a	para-dravyEH na kartavyam RaH-_2.125a
   paramabhrakasattvasya Ras_11.46a	param-aBraka-sattvasya RaH-_11.46a
   parasya kathanena ca Ras_2.132d	parasya kaTanena ca RaH-_2.132d
   parasya harate kālaṃ Ras_12.81a	parasya harate kAlam RaH-_12.81a
   parānnaṃ naiva bhuñjīta Ras_2.125c	para-annam na-eva BuQjIta RaH-_2.125c
   parārthaṃ sādhakottamaiḥ Ras_1.35d	para-arTam sADaka-uttamEH RaH-_1.35d
   parā śaktirbalā smṛtā Ras_2.62d	parA SaktiH-balA smRtAH RaH-_2.62d
   parāṃścaiva na viśvaset Ras_2.125d	parAn=-ca-eva na viSvaset RaH-_2.125d
   paricchinnārasena tu Ras_7.130b	paricCinnA-rasena tu RaH-_7.130b
   pariṇāmakramais tribhiḥ Ras_11.60d	pariNAma-kramEH triBiH RaH-_11.60d
   paripakvāni saṃgṛhet Ras_12.177b	paripakvAni saMgRhet RaH-_12.177b
   paripūrṇaṃ dṛḍhāṅgāraiḥ Ras_4.57c	paripUrNam dRXa-aFgArEH RaH-_4.57c
   paribālaṃ tu yallohaṃ Ras_7.153a	paribAlam tu yat-loham RaH-_7.153a
   parīkṣyeta surārcite Ras_12.239b	parIkzyeta sura-arcite RaH-_12.239b
   paryaṅkākhye śilātale Ras_12.282b	paryaFka-AKye SilA-tale RaH-_12.282b
   palamekaṃ viḍaṅgasya Ras_12.355a	palam-ekam vixaFgasya RaH-_12.355a
   palaṃ kṣīrasya nikṣipet Ras_12.293f	palam kzIrasya nikzipet RaH-_12.293f
   palāni daśa cūrṇasya Ras_12.16c	palAni daSa cUrNasya RaH-_12.16c
   palārdhenaiva saṃskāraḥ Ras_10.38a	pala-arDena-eva saMskAraH RaH-_10.38a
   palāśapuṣpatoyena Ras_11.110a	palASa-puzpa-toyena RaH-_11.110a
   palāśabhasmāpāmārgo Ras_11.87a	palASa-Basma-apAmArgaH RaH-_11.87a
   palāśaśigrumocikāḥ Ras_5.30d	palASa-Sigru-mocikAH RaH-_5.30d
   palāśaśuṣkāpāmārga- Ras_7.114a	palASa-Suzka-apAmArga RaH-_7.114a
   palitaṃ nātra saṃśayaḥ Ras_12.347d	palitam na-atra saMSayaH RaH-_12.347d
   palaikenāmbunā yutam Ras_12.295b	pala-ekena-ambunA yutam RaH-_12.295b
   pallavair upaśobhitam Ras_2.80b	pallavEH upaSoBitam RaH-_2.80b
   pavanaṃ nairṛte tathā Ras_2.56b	pavanam nErRte taTA RaH-_2.56b
   pavitrā dakṣiṇāpathe Ras_12.236b	pavitrA dakziNApaTe RaH-_12.236b
   pavītaṃ vṛṣabhadhvajam Ras_2.65d	pavItam vRzaBaDvajam RaH-_2.65d
   paśuryatra na vidyate Ras_2.40b	paSuH-yatra na vidyate RaH-_2.40b
   paścāt kacchapayantreṇa Ras_11.120c	paScAt kacCapayantreNa RaH-_11.120c
   paścātkarma vidhātavyam Ras_2.130c	paScAt-karma viDAtavyam RaH-_2.130c
   paścāttaṃ devi nikṣipya Ras_11.121c	paScAt-tam devi nikzipya RaH-_11.121c
   paścāduṣṇodake kuṇḍe Ras_12.262e	paScAt-uzNa-udake kuNxe RaH-_12.262e
   paśyanti devatā dīpe Ras_2.102c	paSyanti devatAH dIpe RaH-_2.102c
   paśyecca tārakāyuktaṃ Ras_12.124c	paSyet-ca tArakA-yuktam RaH-_12.124c
   paśyecchidrāṃ mahīṃ sarvāṃ Ras_12.254a	paSyet-CidrAm mahIm sarvAm RaH-_12.254a
   paśyeduṣṇodakaṃ yatra Ras_12.259c	paSyet-uzNa-udakam yatra RaH-_12.259c
   paśyedgaganamaṇḍalam Ras_12.124b	paSyet-gagana-maNxalam RaH-_12.124b
   pācayecca dinatrayam Ras_12.119:1b	pAcayet-ca dina-trayam RaH-_12.119:1b
   pācayeddinamekaṃ tu Ras_12.329c	pAcayet-dinam-ekam tu RaH-_12.329c
   pācayeddhṛtaśeṣitam Ras_12.296d	pAcayet-hRta-Sezitam RaH-_12.296d
   pācitaṃ gālitaṃ caitat Ras_8.85c	pAcitam gAlitam ca-etat RaH-_8.85c
   pāṭalīpippalīkāma- Ras_8.83c	pAwalI-pippalI-kAma RaH-_8.83c
   pāṭhayedrasasādhakam Ras_2.82b	pAWayet-rasa-sADakam RaH-_2.82b
   pāṭhā cāmalakī nīlī Ras_5.5a	pAWA ca-AmalakI nIlI RaH-_5.5a
   pāṭhā cottaravāruṇī Ras_7.140d	pAWA ca-uttaravAruNI RaH-_7.140d
   pātayeccapalaṃ yathā Ras_7.22d	pAtayet-capalam yaTA RaH-_7.22d
   pātayetpūrvavidhinā Ras_11.186a	pAtayet-pUrva-viDinA RaH-_11.186a
   pātayet saptavāraṃ ca Ras_10.50c	pAtayet sapta-vAram ca RaH-_10.50c
   pātayet salilāśaye Ras_7.49b	pAtayet salilASaye RaH-_7.49b
   pātayedūrdhvapātane Ras_10.56b	pAtayet-UrDvapAtane RaH-_10.56b
   pātayenmṛnmaye bhāṇḍe Ras_11.38c	pAtayet-mRd-maye BANxe RaH-_11.38c
   pātālayantre tattailaṃ Ras_12.59e	pAtAlayantre tat-tElam RaH-_12.59e
   pātre bhāskaranirmite Ras_12.53f	pAtre BAskara-nirmite RaH-_12.53f
   pātre 'lābumaye tataḥ Ras_12.226b	pAtre alAbu-maye tatas RaH-_12.226b
   pātre 'lābumaye 'thavā Ras_12.293d	pAtre alAbu-maye aTavA RaH-_12.293d
   pātre 'lābumaye 'pi vā Ras_12.220b	pAtre alAbu-maye api vE RaH-_12.220b
