   ṣaṭ sandarbha nāmaka 	zaw sandarBa nAmaka 
   | avabodha rasodayena śaśvan nibhṛtam tamo yasmāt tasya tava yad etad	| avaboDa  rasa udayena SaSvat niBRtam tamaH yasmAt tasya tava yat etat 
   rūpaṃ tvayaiva svātantryeṇa satām upāsakānām anugrahāya gṛhītam	rUpam tvayA eva svAtantryeNa satAm upAsakAnAm anugrahAya gRhItam
   āviṣkṛtam | avatāra śatasya śuddha sattvātmakasya yad ekaṃ bījaṃ mūlam,	AvizkRtam | avatAra  Satasya SudDa  sattva Atmakasya yat ekam bIjam mUlam,
   tat prakāśanārthaṃ guṇāvatāra bījatvaṃ darśayati yan mābhātīti | he parama	tat  prakASana arTam guNa avatAra  bIja tvam darSayati yat mA aBAti iti | he parama 
   abiddha varcaḥ anāvṛta prakāśam avikalpaṃ nirbhedam ataevānanda mātram	abidDa  varcaH anAvRta  prakASam avikalpam nirBedam ataeva Ananda  mAtram
   | evambhūtaṃ yad bhavataḥ svarūpaṃ tat ato rūpāt paraṃ bhinnaṃ na paśyāmi	| evamBUtam yat BavataH svarUpam tat atas rUpAt param Binnam na paSyAmi
   kintu idam eva tat | ataḥ kāraṇāt te tava ada idaṃ rūpam āśrito'smi |	kintu idam eva tat | atas kAraNAt te tava adaH idam rUpam ASritaH asmi |
   yogyatvād apīty āha ekam upāsyeṣu mukhyaṃ yad viśva sṛjam | ataeva	yogya tvAt api iti Aha ekam upAsyezu muKyam yat viSva sRjam | ataeva
   aviśvaṃ viśvasmād anyat | kiṃ ca, bh”tendriyātmakaṃ bhūtānām indriyāṇāṃ	aviSvam viSvasmAt anyat | kim ca, B”ta indriya Atmakam BUtAnAm indriyANAm
   cātmānaṃ kāraṇam ity arthaḥ |	ca AtmAnam kAraNam iti arTaH |
   nanv evam api sopādhikam etad arvācīnam evety āśaṅkyāha tad evedaṃ he	nanu evam api sa upADikam etat arvAcInam eva iti ASaFkya Aha tat eva idam he
   bhuvana maṅgala yatas te tvayā asmākam upāsakānāṃ maṅgalāya dhyāne	Buvana  maFgala yatas te tvayA asmAkam upAsakAnAm maFgalAya DyAne
   darśitam | na hy avyakta vartmābhiniveśita cittānām asmākaṃ sopādhikaṃ	darSitam | na hi avyakta  vartma aBiniveSita  cittAnAm asmAkam sa upADikam
   darśanaṃ yuktam iti bhāvaḥ | atas tubhyaṃ namo'nuvidhema anuvṛttyā	darSanam yuktam iti BAvaH | atas tuByam namaH anuviDema anuvRttyA
   karavāma | tarhi kim iti kecin māṃ nādriyante, tatrāha yo'nādṛta iti |	karavAma | tarhi kim iti kecid mAm na Adriyante, tatra Aha yaH anAdRtaH iti |
   asat 	asat 
   prasaṅgair nirīśvara kutarka niṣṭhaiḥ | ity eṣā ||	prasaFgEH nirISvara  kutarka   nizWEH | iti ezA ||
   atra kalpitam apy arthāntaraṃ yasya vidvad guṇa gurutvān na sambhavaty	atra kalpitam api arTa antaram yasya vidvat   guNa guru tvAt na samBavati 
   eveti vyañjitam | na hy avyakta vartmeti | uktaṃ caitat stutitaḥ prāk	eva iti vyaQjitam | na hi avyakta  vartmA iti | uktam ca etat stutitaH prAk 
   avyakta 	avyakta 
   vartmābhiniveśitātmā [BhP 3.8.33] iti | māṃ nādriyante iti vigraharūpaṃ	vartma aBiniveSita AtmA [Bhu 3.8.33] iti | mAm na Adriyante iti vigraha rUpam
   mām	mAm
   ity evārthaḥ | vigrahyaiva para brahmatvena sthāpitatvāt | ataeva ye	iti eva arTaH | vigrahyA eva para  brahma tvena sTApita tvAt | ataeva ye
   vigraham	vigraham
   etādṛśatayā na manyante te vidvad anubhava viruddha matayo neśvaram api	etAdRSa tayA na manyante te vidvat anuBava  virudDa matayaH na ISvaram api
   manyanta ity ata āha nirīśvara iti | yata eva   	manyante iti atas Aha nirISvaraH iti | yatas eva   
   ye tu tvadīya caraṇāmbuja koṣa gandhaṃ	ye tu tvadIya  caraNa ambuja  koza  ganDam
   jighranti karṇa vivaraiḥ śruti vāta nītam |	jiGranti karNa vivarEH Sruti  vAta  nItam |
   bhaktyā gṛhīta caraṇaḥ parayā ca teṣāṃ	BaktyA gRhIta  caraNaH parayA ca tezAm
   nāpaiṣi nātha hṛdayāmbu ruhāt sva puṃsām || [BhP 3.9.5]	na apEzi nATa hRdaya ambu ruhAt sva puMsAm || [Bhj 3.9.5]
   ity anantara padye tu śabdena yo'nādṛta ity ādy uktebhyo bahirmukha 	iti anantara  padye tu  Sabdena yaH anAdRtaH iti  Adi  ukteByaH bahirmuKa 
   janebhyo vilakṣaṇatvena nirdiṣṭānāṃ tādṛśa śrī bhagavad rūpa niṣṭhānām	janeByaH vilakzaNa tvena nirdizwAnAm tAdRSa  SrI  Bagavat  rUpa nizWAnAm
   eva śruti vāta nītam iti śabdena pramāṇena bhaktyā gṛhīta caraṇa ity	eva Sruti vAta  nItam iti Sabdena pramANena BaktyA gRhIta  caraNaH iti 
   anubhavena ca prāśastyam uktam || 3.9 || brahmā śrī nārāyaṇam ||53||	anuBavena ca prASastyam uktam || 3.9 || brahmA SrI nArAyaNam ||53||
   āveśāvatāratayā pratītasya śrī ṛṣabhadevasyāpi vigraha evaṃ yojyate, yathā	AveSa avatAra tayA pratItasya SrI  RzaBa devasya api vigrahaH evam yojyate, yaTA
   idaṃ śarīraṃ mama durvibhāvyaṃ	idam SarIram mama durviBAvyam
   sattvaṃ hi me hṛdayaṃ yatra dharmaḥ |	sattvam hi me hRdayam yatra DarmaH |
   pṛṣṭhe kṛto me yad adharma ārād	pRzWe kRtaH me yat aDarmaH ArAd
   ato hi mām ṛṣabhaṃ prāhur āryāḥ || [BhP 5.5.19]	atas hi mAm RzaBam prAhuH AryAH || [Bhj 5.5.19]
   idaṃ manuṣyākāra śarīraṃ hi niścitaṃ durvibhāvyaṃ durvitarkyaṃ yat tattvaṃ	idam manuzya AkAra  SarIram hi niScitam durviBAvyam durvitarkyam yat tattvam
   tad eva | yatraiva dharmo bhāgavata lakṣaṇas tatraiva me hṛdayaṃ manaḥ |	tat eva | yatra eva DarmaH BAgavata  lakzaNaH tatra eva me hRdayam manaH |
   yad	yat 
   yasmāt tad viparītādi lakṣaṇo'dharmo mayā pṛṣṭhe kṛtaḥ | tataḥ parāṅ 	yasmAt tad  viparIta Adi  lakzaNaH aDarmaH mayA pRzWe kRtaH | tatas parAF 
   mukho'ham ity arthaḥ | ataeva vaktur asya ṛṣabhadevasya ca	muKaH aham iti arTaH | ataeva vaktuH asya RzaBadevasya ca
   sarvāntima līlāpi	sarvAntim a lIlA api
   vyājenāntardhānam eva prākṛta loka pratīty anusāreṇaiva tu tathā varṇitam	vyAjena antarDAnam eva prAkRta  loka  prati iti  anusAreNa eva tu taTA varNitam
   | ātmārāmatā rīti darśanārtham | tad uktam    yogināṃ sāmparāya vidhim	| Atma arAma tA rIti darSana arTam | tat uktam   yoginAm sAmparAya  viDim
   anuśikṣayan iti [BhP 5.6.6] | ataḥ svakalevaraṃ jihāsur ity atra kaevara 	anuSikzayan iti [Bhj 5.6.6] | atas sva kalevaram jihAsuH iti atra kaevara 
   śabdasya prapañca evārthaḥ | upāsanā śāstre tasya tathā prasiddheḥ |	Sabdasya prapaQca eva arTaH | upAsanA SAstre tasya taTA prasidDeH |
   tathā    atha samīra vega vidhūta veṇu vikarṣaṇa jātogra dāvānalas tad	taTA   aTa samIra  vega  viDUta veNu  vikarzaNa  jAta ugra dAva analaH tat 
   vanam ālelihānaḥ saha tena dadāha ity [BhP 5.6.8] asya vāstavārthe tu tena	vanam AlelihAnaH saha tena dadAhaH iti [Bhu 5.6.8] asya vAstava arTe tu tena
   saheti kartṛ sāhāyye tṛtīyā | gauṇa mukhya nyāyena kartary eva prāthamika 	saha iti kartR sAhAyye tRtIyA | gONa muKya  nyAyena kartari eva prATamika 
   pravṛtteḥ | tataś ca dāvānalas tad vana vartitarvādi jīvānāṃ sthūlaṃ dehaṃ	pravRtteH | tatas ca dAva analaH tad  vana varti tarvAdi  jIvAnAm sTUlam deham
   dadāha, ṛṣabhadevas tu sūkṣmaṃ deham iti tasya sarv=moksadatvam	dadAha, RzaBa devaH tu sUkzmam deham iti tasya sarv=moksada tvam
   anusandheyam |	anusanDeyam |
   sa yaiḥ spṛṣṭo 'bhidṛṣṭo vā saṃviṣṭo 'nugato 'pi vā |	sa yEH spRzwaH aBidRzwaH vA saMvizwaH anugataH api vA |
   kosalās te yayuḥ sthānaṃ yatra gacchanti yoginaḥ || [BhP 9.11.22] itivat |	kosalAH te yayuH sTAnam yatra gacCanti yoginaH || [Bhj 9.11.22] iti vat |
   tato'nala sādharmyaṃ varṇayitvā tadvad antardhānam eva tasyeti ca	tatas anala  sADarmyam varNayitvA tadvat antarDAnam eva tasya iti ca
   vyañjitam	vyaQjitam
   | ataeva ṛṣabha devāvirbhāvas tṛtīyo'dhyāya ity evoktaṃ na tu taj janmeti	| ataeva RzaBa  devAvirBAvaH tRtIyaH aDyAyaH iti eva uktam na tu taj janma iti
   5|5|| śrī ṛṣabhadevaḥ sva putrān ||54||	5|5|| SrI RzaBa devaH sva putrAn ||54||
   tad evaṃ ṛṣabhasyāpi vigrahe tādṛśatā cet kim uta svayaṃ bhagavata ity āha	tat evam RzaBasya api vigrahe tAdRSatA ced kim uta svayam BagavataH iti Aha
   muni gaṇa nṛpa varya saṅkule 'ntaḥ 	muni  gaNa  nRpa varya  saFkule antaH 
   sadasi yudhiṣṭhira rājasūya eṣām |	sadasi yuDizWira rAjasUyaH ezAm |
   arhaṇam upapeda īkṣaṇīyo	arhaNam upapedaH IkzaNIyaH 
   mama dṛśi gocara eṣa āvir ātmā || [BhP 1.9.41]	mama dRSi  gocaraH ezaH Avis AtmA || [Bhj 1.9.41]
   ṭīkā ca   eṣa jagatām ātmā mama dṛśi gocaro dṛṣṭi pathaḥ sann āviḥ	wIkA ca  eza jagatAm AtmA mama dRSi  gocaraH dRzwi paTaH san AviH
   prakaṭo vartate | aho bhāgyam iti bhāvaḥ ity eṣā || 1|9|| śrī bhīṣmaḥ śrī 	prakawaH vartate | aho BAgyam iti BAvaH iti ezA || 1|9|| SrI BIzmaH SrI 
   bhagavantam ||55||	Bagavantam ||55||
   tathaiva ca    rūpaṃ yat tad ity ādau sa tvaṃ sākṣād viṣṇur adhyātma dīpaḥ	taTA eva ca   rUpam yat tat iti AdO sa tvam sAkzAt vizNuH aDyAtma dIpaH
   [BhP 10.3.24] iti |[*ENDNOTE #15]	[Bhj 10.3.24] iti |[*ENDNOTEH #15]
   yat tat kim api rūpaṃ vastu prāhur vedāḥ | kiṃ tad vastu, tad āha avyaktam	yat tat kim api rUpam vastu prAhuH vedAH | kim tat vastu, tat Aha avyaktam
   ity ādi | evambhūtaṃ kim api kārya kalpaṃ vastu yat sa eva sākṣād aiṣi 	iti Adi | evamBUtam kim api kArya  kalpam vastu yat saH eva sAkzAt Ezi 
   gocaras tvaṃ viṣṇur iti | tathā ca pādme nirmāṇa khaṇḍe śrī bhagavantaṃ	gocaraH tvam vizNuH iti | taTA ca pAdme nirmANa KaNxe SrI  Bagavantam
   prati śrī veda vyāsa vākyam    	prati SrI  veda  vyAsa  vAkyam    
   tvām ahaṃ draṣṭum icchāmi cakṣurbhyāṃ madhusūdana |	tvAm aham drazwum icCAmi cakzurByAm maDusUdana |
   yat tat satyaṃ paraṃ brahma jagad yoniṃ jagat patim |	yat tat satyam param brahma jagat  yonim jagat patim |
   vadanti veda śirasaś cākṣuṣaṃ nātha me'stu tad || iti |	vadanti veda SirasaH cAkzuzam nATa me astu tat || iti |
   tatra hetuḥ adhyātma dīpaḥ dehi tat kāraṇa kārya saṅgha 	tatra hetuH aDyAtma  dIpaH dehi tat kAraNa  kArya  saFGa 
   prakāśakatvenāvabhāsana ity arthaḥ | evambhūtasya na tava bhaya śaṅketi	prakASaka tvena avaBAsanaH iti arTaH | evamBUtasya na tava Baya SaFkA iti
   bhāvaḥ | ity eṣa prakaraṇānurūpaḥ śrī svāmi darśita bhāvārtho'pi śrī 	BAvaH | iti eza prakaraNa anurUpaH SrI  svAmi darSi ta BAva arTaH api SrI 
   vigraha para eva | anyatra bhaya sambhāvanānutpatteḥ ||	vigraha  paraH eva | anyatra Baya  samBAvana anutpatteH ||
   10.3 śrī devakī śrībhagavantam ||56||	10.3 SrI  devakI SrI Bagavantam ||56||
   atas tad aṃśānām api tādṛśatvam āha  	atas tad  aMSAnAm api tAdRSa tvam Aha  
   satya jñānānantānanda 	satya  jQAna ananta Ananda 
   mātraika rasa mūrtayaḥ |	mAtrA eka rasa  mUrtayaH |
   aspṛṣṭa bhūri māhātmyā	aspRzwa  BUri mAhAtmyA
   api hy upaniṣad dṛśām || [BhP 10.13.54]	api hi upanizad  dRSAm || [Bhj 10.13.54]
   ṭīkā ca   sarveṣāṃ mūrtimattve'py aviśeṣam āha satya jñāneti | satyāś ca	wIkA ca  sarvezAm mUrtimat tve api aviSezam Aha satya jQAna iti | satyAH ca
   jñāna rūpāś ca anantāś ca ānanda rūpāś ca | tatrāpi tad eka mātrā	jQAna  rUpAH ca anantAH ca Ananda  rUpAH ca | tatra api tad  eka  mAtrA
   vijātīya 	vijAtIya 
   sambheda rahitāḥ | tatrāpi ca eka rasāḥ sadaikarūpā mūrtayo yeṣāṃ te | yad	samBeda  rahitAH | tatra api ca eka rasAH sadA eka rUpAH mUrtayaH yezAm te | yat 
   vā satya jñānādi mātraika rasaṃ yad brahma tad eva mūrtir yeṣām iti |	vA satya  jQAna Adi  mAtra eka rasam yat brahma tat eva mUrtiH yezAm iti |
   ataeva	ataeva
   upaniṣat ātma jñānaṃ saiva dṛk cakṣur yeṣāṃ teṣām api hi niścitam |	upanizad Atma  jQAnam sA eva dRS cakzuH yezAm tezAm api hi niScitam |
   aspṛṣṭa bhūr māhātmyāḥ na spṛṣṭaṃ sparśa yogyaṃ bhūri māhātmyaṃ	aspRzwa  BUr  mAhAtmyAH na spRzwam sparSa  yogyam BUri mAhAtmyam
   yeṣāṃ te tathā bhūtāḥ sarve vyadṛśyanteti | ity eṣā |	yezAm te taTA BUtAH sarve vyadRSyanta iti | iti ezA |
   atra mātra padaṃ tad varṇādīnāṃ svarūpāntaraṅga dharmatvaṃ bodhayati |	atra mAtra  padam tad  varNa AdInAm svarUpa antaraFga  Darma tvam boDayati |
   na hy atrāparasminn arthe mūrti śabdaḥ kevalātma para iti svāminaḥ śrī 	na hi atra aparasmin arTe mUrti  SabdaH kevala Atma paraH iti svAminaH SrI 
   śuka devasya vā matam, lakṣaṇāyāḥ kaṣṭa kalpanāmayatvāt | aspṛṣṭety atra	Suka devasya vA matam, lakzaNAyAH kazwa kalpanA Amaya tvAt | aspRzwA iti atra
   aspṛṣṭeti bhūri māhātmyeti apīti upaniṣad dṛg iti pada catuṣṭayasyaiva	aspRzwA iti BUri mAhAtmya iti api iti upanizad  dRS iti pada  catuzwayasya eva
   vyastasya samastasya ca svārasya bhaṅga prasaṅgāt ukta prakārānurodhāt	vyastasya samastasya ca svArasya  BaFga  prasaFgAt ukta  prakAra anuroDAt
   te'cakṣatākṣa viṣayaṃ sva samādhi bhāgyam ity ady udāhariṣyamāṇānusārāt	te acakzata akza  vizayam sva  samADi  BAgyam iti ady udAharizyamANa anusArAt 
   [BhP 3.15.38] sva sukhety ādi [BhP 12.12.68] śrī śuka hṛdaya virodhāc ca |	[Bhj 3.15.38] sva  suKa iti Adi [Bhj 12.12.68] SrI  Suka  hRdaya  viroDAt ca |
   ataeva viśuddha vijñāna ghanaṃ [BhP 10.37.20] viśuddha jñāna mūrtaye [BhP	ataeva viSudDa  vijQAna  Ganam [Bhj 10.37.20] viSudDa  jQAna  mUrtaye [BhP
   10.27.21] tvayy eva nitya sukha bodha tanāv [BhP 10.14.22] ity ādi vākyāni	10.27.21] tvayi eva nitya  suKa  boDa tanO [Bhj 10.14.22] iti Adi vAkyAni
   ca	ca
   na lākṣaṇikatayā kadarthanīyāni |	na lAkzaNika tayA kadarTanIyAni |
   tathaiva ānanda mūrtim upaguhya dṛśātma labdham ity ādau [BhP 10.41.25]	taTA eva Ananda  mUrtim upaguhya dRSA Atma  labDam iti AdO [Bhj 10.41.25]
   dorbhyāṃ stanāntaragataṃ parirabhya kāntam	dorByAm stanAntara gatam pariraBya kAntam
   ānanda mūrtim ajahād atidīrghatāpam | ity ādau [BhP 10.48.6] ca	Ananda  mUrtim ajahAt ati dIrGa tApam | iti AdO [Bhj 10.48.6] ca
   darśanāliṅganābyām anyārthatvaṃ vyavacchidyate | uktaṃ ca mahāvārāhe   	darSana AliFganAbyAm anya arTa tvam vyavacCidyate | uktam ca mahA vArAhe   
   sarve nityāḥ śāśvatāś ca dehās tasya parātmanaḥ |	sarve nityAH SASvatAH ca dehAH tasya para AtmanaH |
   heyopādeya rahitā naiva prakṛtijāḥ kvacit ||	heya upAdeya  rahitAH na eva prakRti jAH kvacid ||
   paramānanda sandohā jñāna mātrāś ca sarvataḥ |	parama Ananda  sandohAH jQAna  mAtrAH ca sarvatas |
   deha dehi bhidā cātra neśvare vidyate kvacit || iti ||	deha  dehi BidA ca atra na ISvare vidyate kvacid || iti ||
   10.13 || śrī śukaḥ ||57||	10.13 || SrI SukaH ||57||
   ittham evābhipretyāha   	itTam eva aBipretya Aha   
   kṛṣṇam enam avehi tvam ātmānam akhilātmanām |	kRzNam enam avehi tvam AtmAnam aKila AtmanAm |
   jagad dhitāya so'py atra dehīvābhāti māyayā || [BhP 10.14.55]	jagat  DitAya saH api atra dehi iva ABAti mAyayA || [Bhj 10.14.55]
   enaṃ naumīḍya te'bhra vapuṣe ity [BhP 10.14.1] ādi varṇita rūpam avehi	enam nOmIxya te aBra  vapuze iti [Bhj 10.14.1] Adi varNita rUpam avehi
   mat 	mat 
   prasāda labdha vidvattayaivānubhavo na tu tarkādīnāṃ vicārayety arthaḥ |	prasAda   labDa  vidvat tayA eva anuBavaH na tu tarka AdInAm vicAraya iti arTaH |
   evambhūto'pi māyayā kṛpayā jagad dhitāya sarvasyāpi svātmānaṃ prati	evamBUtaH api mAyayA kRpayA jagat  DitAya sarvasya api sva AtmAnam prati
   cittākarṣaṇāya dehīva jīva ivābhāti krīḍati | iva śabdena śrī kṛṣṇas tu	citta AkarzaNAya dehi iva jIvaH iva ABAti krIxati | iva Sabdena SrI  kRzNaH tu
   jīvavat pṛthag dehaṃ praviṣṭavān iti gamyate | ataeva śrī vigrahasya	jIva vat pRTak  deham pravizwavAn iti gamyate | ataeva SrI  vigrahasya
   parama 	parama 
   puruṣārtha lakṣaṇatvam uktaṃ śrī dhruveṇa  	puruza arTa  lakzaNa tvam uktam SrI  DruveNa  
   satyāśiṣo hi bhagavaṃs tava pāda padmam	satya ASizaH hi Bagavan tava pAda  padmam
   āśīs tathānubhajataḥ puruṣārtha mūrteḥ [BhP 4.9.17] ity atra |	ASIH taTA anuBajataH puruza arTa  mUrteH [Bhj 4.9.17] iti atra |
   ṭīkā ca   he bhagavan puruṣārthaḥ paramānandaḥ sa eva mūrtir yasya tasy	wIkA ca  he Bagavan puruza arTaH parama AnandaH saH eva mUrtiH yasya tasy
   atava pāda padmam āśiṣo rājyādeḥ sakāśāt satyā | āśīḥ paramārtha phalaṃ	atava pAda  padmam ASizaH rAjya AdeH sakASAt satyA | ASIH paramArTa  Palam
   hi niścitaṃ kasya tena prakāreṇa tvam eva puruṣārtha ity evaṃ niṣkāmatayā	hi niScitam kasya tena prakAreNa tvam eva puruza arTaH iti evam nizkAma tayA
   anubhjataḥ | ity eṣā ||	anuBjataH | iti ezA ||
   10.14 || śrī śukaḥ ||58||	10.14 || SrI SukaH ||58||
   ataḥ śabda pratipādyaṃ yad brahma tac chrī vigraha evety upasaṃhāra yogyaṃ	atas Sabda  pratipAdyam yat brahma tat SrI vigrahaH eva iti upasaMhAra  yogyam
   vākyam āha  	vAkyam Aha  
   tāvat prasanno bhagavān	tAvat prasannaH BagavAn
   puṣkarākṣaḥ kṛte yuge |	puzkara akzaH kRte yuge |
   darśayām āsa taṃ kṣattaḥ	darSayAm Asa tam kzattar 
   śābdaṃ brahma dadhad vapuḥ || [BhP 3.21.7]	SAbdam brahma daDat vapuH || [Bhj 3.21.7]
   tad vapur dadhat prakāśayann asau śuklākhyo bhagavān kṛte yuge vartate |	tat vapuH daDat prakASayan asO Sukla AKyaH BagavAn kRte yuge vartate |
   tad eva śabda pratipādyaṃ brahma parama tattvaṃ taṃ kardamaṃ prati	tat eva Sabda  pratipAdyam brahma parama  tattvam tam kardamam prati
   darśayāmāsety arthaḥ ||	darSayAmAsa iti arTaH ||
   || 3.21 || śrī maitreyaḥ ||59||	|| 3.21 || SrI mEtreyaH ||59||
   tad evaṃ siddhe bhagavatas tādṛśe vailakṣaṇye dṛśyatvāt ghaṭavad ity ādya 	tat evam sidDe BagavataH tAdRSe vElakzaNye dRSya tvAt Gawa vat iti Adya 
   sad anumānaṃ na sambhavati kālātyayopadiṣṭatvāt | tad etad abhipretya	sat  anumAnam na samBavati kAla atyaya upadizwa tvAt | tat etat aBipretya
   tasmin satyatā puraskṛtaṃ ṣaḍ bhāva vikārādya bhāvaṃ sthāpayan pūrṇa 	tasmin satya tA  puraskRtam zaz  BAva  vikAra At ya BAvam sTApayan pUrNa 
   svarūpatvam abhupagacchati |	svarUpa tvam aBupagacCati |
   ekas tvam ātmā puruṣaḥ purāṇaḥ	ekaH tvam AtmA puruzaH purANaH
   satyaḥ svayaṃ jyotir ananta ādyaḥ |	satyaH svayam jyotiH anantaH AdyaH |
   nityo'kṣaro'jasra sukho nirañjanaḥ	nityaH akzaraH ajasra  suKaH niraQjanaH
   pūrṇo'dvayo mukta upādhito'mṛtaḥ || [BhP 10.14.20]	pUrNaH advayaH muktaH upADitaH amRtaH || [Bhj 10.14.20]
   naumīḍya te [BhP 10.14.1] ity ādinā stutyatvena pratijñā rūpo'yam abhra 	nOmIxya te [Bhj 10.14.1] iti AdinA stutya tvena pratijQA  rUpaH ayam aBra 
   vapur ādi lakṣaṇatvam eka eva sarveṣām ātmā paramāśrayaḥ | tad uktam  	vapuH  Adi lakzaNa tvam ekaH eva sarvezAm AtmA parama ASrayaH | tat uktam  
   eko'si prathamam iti [BhP 10.14.18] iti ca | kṛṣṇam enam avehi tvam	ekaH asi praTamam iti [Bhj 10.14.18] iti ca | kRzNam enam avehi tvam
   ātmānam	AtmAnam
   akhilātmanām iti ca [BhP 10.14.55] | yatas tvam ātmā tata eva satyaḥ |	aKila AtmanAm iti ca [Bhj 10.14.55] | yatas tvam AtmA tatas eva satyaH |
   paramāśrayasya satyatām abalambyaivānyeṣāṃ satyatvāt tvayy eva satyatvasya	parama ASrayasya satyatAm abalambya eva anyezAm satya tvAt tvayi eva satya tvasya
   mukhyā viśrāntir iti bhāvaḥ | tad uktam   satya vrataṃ satya param ity ādi	muKyA viSrAntiH iti BAvaH | tat uktam  satya  vratam satya  param iti Adi
   [BhP 10.2.26] |	[Bhj 10.2.26] |
   satye pratiṣṭhitaḥ kṛṣṇaḥ satyam atra pratiṣṭhitam |	satye pratizWitaH kRzNaH satyam atra pratizWitam |
   satyāt satyaṃ ca govindas tasmāt satyo hi nāmataḥ || ity udyama parvaṇi	satyAt satyam ca govindaH tasmAt satyaH hi nAmataH || iti udyama  parvaNi
   [MBh	[MBh
   5.68.12] ca |	5.68.12] ca |
   na ca tvayi janmādayo vikārāḥ santīty āha ādyaḥ kāraṇam | eko'si	na ca tvayi janma AdayaH vikArAH santi iti Aha AdyaH kAraNam | ekaH asi
   prathamam ity ādau [BhP 10.14.18] tādṛśatva dṛṣṭeḥ | ato na janma, kintu	praTamam iti AdO [Bhj 10.14.18] tAdRSa tva  dRzweH | atas na janma, kintu
   pratyakṣatvaṃ harer janma na vikāraḥ kathañcana iti pādma rītikam eva |	pratyakza tvam hareH janma na vikAraH kaTaQcanaH iti pAdma rItikam eva |
   ataeva skānde   	ataeva skAnde   
   avijñāya paraṃ deham ānandātmānam avyayam |	avijQAya param deham Ananda AtmAnam avyayam |
   āropayanti janimat pañca bhūtātmakaṃ jaḍam || iti ||	Aropayanti janimat paQca BUta Atmakam jaxam || iti ||
   ādyatve hetuḥ | puruṣaḥ puruṣākāra eva san purāṇaḥ purāpi navaḥ kāryāt	Adya tve hetuH | puruzaH puruza AkAraH eva san purANaH purA api navaH kAryAt 
   pūrvam api vartamāna ity arthaḥ | śrutiś ca    ātmaivedam agra āsīt	pUrvam api vartamAnaH iti arTaH | SrutiH ca   AtmA eva idam agre AsIt 
   puruṣa 	puruza 
   vidha [AitU 1.1.1] iti | ataeva janmāntarāstitva lakṣaṇaṃ vikāraṃ vārayati	viDaH [AitU 1.1.1] iti | ataeva janma antara astitva  lakzaNam vikAram vArayati
   nityaḥ sanātana mūrtiḥ | tathā pūrvavan madhyamākāratve'pi pūrṇa iti	nityaH sanAtana  mUrtiH | taTA pUrvavat maDyamAkAra tve api pUrNaH iti
