   <B1> dvitīyaḥ pādaḥ /	<B1> dvitIyaH pAdaH /
   mukhavāyumārgeṇa mā gā ityarthāvagamāt samyagjaraṇaṃ vinā tadanupapatteḥ	muKa-vAyu-mArgeNa mA gAH iti-arTa-avagamAt samyak-jaraNam vinA tad-anupapatteH
   gātraprīṇanaphalībhūtasamyagjaraṇapratipādakatvañca saṃbhavatīti	gAtra-prINana-PalIBUta-samyak-jaraNa-pratipAdaka-tvaQca saMBavati-iti
   tadarthatvenaiva viniyoga ityarthaḥ /	tad-arTa-tvena-eva viniyogaH iti-arTaH /
   yadyapyagnaye juṣṭamiti mantrasya devatānirvāpaprakāśakatvavadasyāpi	yadi-api-agnaye juzwam-iti mantrasya devatA-nirvApa-prakASaka-tva-vadasya-api
   grahaṇādiviśiṣṭabhakṣaṇaprakāśakatvāṅgīkāreṇa mantraikatvamabhyupagamyāpi	grahaNa-Adi-viSizwa-BakzaNa-prakASaka-tva-aFgIkAreNa mantra-eka-tvam-aByupagamya-api
   grahaṇānaṅgatvaṃ śakyate vaktum; tathāpi	grahaNa-anaFga-tvam Sakyate vaktum; taTA-api
   upakramopasaṃhāraikyādirūpaikavākyatopagamanasāmarthyābhāve svarasataḥ	upakrama-upasaMhAra-Ekya-Adi-rUpa-eka-vAkyatA-upagamana-sAmarTya-aBAve svarasataH
   pratīyamānatattadākhyātagatamukhyaviśeṣyārthakatvabādha eva pramāṇābhāvo	pratIyamAna-tat-tad-AKyAta-gata-muKya-viSezya-arTaka-tva-bADaH eva pramANa-aBAvaH-
   mantrabhedāṅgīkāre kathaṃ cicchabdena sūcitaḥ /	mantra-Beda-aFgIkAre kaTam cit-Sabdena sUcitaH /
   vamanavireketi //	vamana-vireka-iti //
   "somaindraṃ caruṃ nirvapet śyāmākaṃ somavāmina" iti	"somEndram carum nirvapet SyAmAkam soma-vAmina" iti
   samyagjaraṇābhāvanimittavyaṅgatāsamādhitsayā vamane prāyaścittasya vireke	samyak-jaraNa-aBAva-nimitta-vyaFga-tA-samADit-sayA vamane prAyaScittasya vireke
   'pi kvacit prāyaścittasya cāmnānāt bhakṣaṇasya	api kvacid prAyaScittasya ca-AmnAnAt BakzaNasya
   udasthāpanarūpapratipattyarthatvāvagamena tasya samyagjaraṇaṃ	uda-sTApana-rUpa-pratipatti-arTa-tva-avagamena tasya samyak-jaraNam
   vinānupapatteḥ tadanukūlāsanaviśeṣasya vidheyasya bhakṣopayogitetyarthaḥ /	vinA-anupapatteH tad-anukUla-Asana-viSezasya viDeyasya Bakza-upayogitA-iti-arTaH /
   etena -------- tṛptivadānuṣaṅgikatayā ananuṣṭheyatvānna mantrāpekṣā iti	etena ------- tRpti-vada-anuzaFgika-tayA ananuzWeya-tvAt-na mantra-apekzAH iti
   ------- apāstam; grahaṇādivat pṛthakprayatnānuṣṭheyatvena	------ apAstam; grahaNa-Adi-vat pRTak-prayatna-anuzWeya-tvena
   tadapekṣopapatteḥ /	tad-apekza-upapatteH /
   evañca bhakṣānuvākasamākhyā sākṣāt paraṃparayā ca neyeti bhāvaḥ //	evaQca Bakza-anuvAka-samAKyA sAkzAt paraMparayA ca neyA-iti BAvaH //
   prayojanaṃ pūrvapakṣe grahaṇādeḥ na niyamaḥ /	prayojanam pUrva-pakze grahaNa-AdeH na niyamaH /
   mantrapāṭhakrameṇa pāṭhānte bhakṣaṇaṃ siddham /	mantra-pAWa-krameNa pAWA-ante BakzaNam sidDam /
   siddhānte grahaṇādeḥ naiyatyena pūrvoktatattanmantrānte anuṣṭhānam /	sidDAnte grahaNa-AdeH nEyatyena pUrva-ukta-tad-tad-mantra-ante anuzWAnam /
   bhāṣyalikhitamantrapāṭhakramasya arthakrameṇa bādhāt	BAzya-liKita-mantra-pAWa-kramasya arTa-krameNa bADAt-
   mandrābhibhūtirityasyānantaraṃ hinva ma iti mantrapāṭhaśceti	mandra-aBiBUtiH-iti-asya-anantaram hinva me iti mantra-pAWaH-ca-iti
   spaṣṭatvānnoktam //	spazwa-tvAt-na-uktam //
   iti navamaṃ bhakṣamantrasya grahaṇādyaṅgatādhikaraṇam	iti navamam Bakza-mantrasya grahaNa-Adi-aFga-tA-aDikaraNam
   (liṅgasamākhyānādhikaraṇam) //	(liFga-samAKyAna-aDikaraNam) //
   <B1> (10 adhikaraṇam / ) (a.3 pā.2 adhi.10) guṇābhidhānāt //	<B1> (10 aDikaraNam / ) (a.3 pA.2 aDi.10) guNa-aBiDAnAt //
   tasminnevānuvāke mandrābhibhūtirityādistṛpyatvityantastṛptau viniyoktavyo	tasmin=-eva-anuvAke mandra-aBiBUtiH-iti-AdiH-tRpyatu-iti-antaH-tRptO viniyoktavyaH-
   grahaṇādāviveti prāpte ----------	grahaNa-AdO=-iveti prApte ----------
   grahaṇādivadanuṣṭheyatvābhāvāttṛpteraprakāśyatvam /	grahaNa-Adi-vat-anuzWeya-tva-aBAvAt-tRpteH-aprakASya-tvam /
   naca samyagjaraṇavattṛptyanukūlavyāpārarūpabhakṣaṇa- bāhulyākṣepakatvam;	na-ca samyak-jaraNa-vat-tRpti-anukUla-vyApAra-rUpa-BakzaNa bAhulyAkzepaka-tvam;
   alpaṃ bhakṣayatīti vacanavirodhena tatkalpanānupapatteḥ /	alpam Bakzayati-iti vacana-viroDena tad-kalpanA-anupapatteH /
   ataeva tṛpterbhakṣaṇenājananānna tasyāḥ svargavajjanyatvamātreṇa	ataeva tRpteH-BakzaNena-ajananAt-na tasyAH svarga-vat-janya-tva-mAtreNa
   prakāśyatvopapattiḥ /	prakASya-tva-upapattiH /
   ataśca liṅgaviniyogāsaṃbhavātsatyapi ākhyātadvayasya svato nirākāṅkṣatve	atas-ca liFga-viniyoga-asaMBavAt-sati-api AKyAta-dvayasya svatas nirAkAFkza-tve
   itikaraṇādhyāhāreṇa tṛpyatvityetadarthaṃ bhakṣayāmītyevaṃ	iti-karaNa-aDyAhAreNa tRpyatu-iti-etad-arTam BakzayAmi-iti-evam
   bhakṣamantraikavākyatāṃ prakalpya	Bakza-mantra-eka-vAkyatAm prakalpya
   svārthaviśiṣṭabhakṣaṇaprakāśakatvamevāṅgīkartavyam /	sva-arTa-viSizwa-BakzaNa-prakASaka-tvam-eva-aFgIkartavyam /
   svārthaśca śrutyā tṛptireva /	sva-arTaH-ca SrutyA tRptiH-eva /
   tatprakāśanāṃśe cādṛṣṭārthatvam /	tad-prakASana-aMSe ca-adRzwa-arTa-tvam /
   athavā lakṣaṇayā bhakṣaṇastutiḥ /	aTavA lakzaNayA BakzaNa-stutiH /
   sarvathā na liṅgādviniyogaḥ // 10 // 25 //	sarvaTA na liFgAt-viniyogaH // 10 // 25 //
   iti daśamaṃ guṇābhidhānādhikaraṇam //	iti daSamam guNa-aBiDAna-aDikaraNam //
   <B2> pūrvavat pādādhyāyasaṅgatī āpavādakīmanantarasaṅgatiñca	<B2> pUrvavat pAda-aDyAya-saFgatI ApavAdakIm-anantara-saFgatiQca
   spaṣṭatvādanuktvā pūrvoktānuvākagataikadeśaviṣayatvaṃ darśayan	spazwa-tvAt-anuktvA pUrva-ukta-anuvAka-gata-eka-deSa-vizaya-tvam darSayan
   pūrvapakṣamāha --------- tasminneveti //	pUrva-pakzam-Aha -------- tasmin=-eva-iti //
   prāyaḥ spaṣṭārthamadhikaraṇāntam //	prAyas spazwa-arTam-aDikaraNa-antam //
   prayojanaṃ tu pūrvapakṣe vasumadgaṇasyetyādi bhakṣayāmītyantena bhakṣaṇaṃ	prayojanam tu pUrva-pakze vasumat-gaNasya-ityAdi BakzayAmi-iti-antena BakzaNam
   kṛtvā pāṭhakramabādhenopariṣṭāt mandrābhibhūtirityādi	kRtvA pAWa-krama-bADena-uparizwAt mandra-aBiBUtiH-ityAdi
   tṛpyatvityantamantrasya pāṭhaḥ /	tRpyatu-iti-anta-mantrasya pAWaH /
   siddhāntetu yathā'mrānamiti spaṣṭam //	sidDAntetu yaTA-amrAnam-iti spazwam //
   iti daśamaṃ mandrābhibhūtergrahaṇānaṅgatādhikaraṇam guṇābhidhānādhikaraṇam	iti daSamam mandra-aBiBUteH-grahaNAnaFga-tA-aDikaraNam guNa-aBiDAna-aDikaraNam
   - - - - - - - <B1> (11 adhikaraṇam / ) (a.3 pā.2 adhi.11)	       <B1> (11 aDikaraNam / ) (a.3 pA.2 aDi.11)
   liṅgaviśeṣanirdeśāt //	liFga-viSeza-nirdeSAt //
   bhakṣamantraḥ kiṃ indradevatyābhyāsa evāṅgaṃ tadbhinnābhyāseṣvamantrakaṃ	Bakza-mantraH kim indra-devatya-aByAsaH eva-aFgam tad-Binna-aByAsezu-amantrakam
   bhakṣaṇaṃ uta teṣūhenotānūhena veti cintāyām /	BakzaNam uta tezu-uhena-uta-anUhena vA-iti cintAyAm /
   prakaraṇādbhakṣamantrasya sarvapradānārthatvāvagame 'pi indrapītasyeti	prakaraNAt-Bakza-mantrasya sarva-pradAna-arTa-tva-avagame api indra-pItasya-iti
   liṅgenendradevatyapradānamātrāṅgatvam /	liFgena-indra-devatya-pradAna-mAtra-aFga-tvam /
   naca ------- indreṇa yasminsavane pīta iti bahuvrīhisvīkāreṇa	na-ca ------ indreNa yasmin-savane pItaH iti bahu-vrIhi-svIkAreNa
   somasambandhisavanaviśeṣaṇatvāṅgīkārālliṅgāvirodha iti ------ vācyam;	soma-sambanDi-savana-viSezaNa-tva-aFgIkArAt-liFga-aviroDaH iti ----- vAcyam;
   padadvayalakṣaṇāpādaka -------- lakṣaṇānanugata --------	pada-dvaya-lakzaNa-ApAdakaH ------- lakzaNAn-anugataH --------
   vyadhikaraṇabahuvrīhyapekṣayā pūrvapada eva saṃbandhilakṣaṇāpādakasya	vyaDikaraNa-bahu-vrIhi-apekzayA pUrva-padaH eva saMbanDi-lakzaNa-ApAdakasya
   lakṣaṇānugatasyendreṇa pītaḥ svīkṛta ityevaṃ tatpuruṣasyaiva	lakzaNa-anugatasya-indreNa pItaH svIkRtaH iti-evam tatpuruzasya-eva
   laghubhūtatvāt /	laGu-BUta-tvAt /
   vidyante ca devatāyāḥ pratigrahābhāve 'pi devasvaṃ na	vidyante ca devatAyAH pratigraha-aBAve api deva-svam na
   gṛhṇīyādityādivacanabalena saṃbandhaviśeṣarūpaḥ svīkāraḥ /	gRhNIyAt-ityAdi-vacana-balena saMbanDa-viSeza-rUpaH svIkAraH /
   naca sthūlapṛṣatīpadavatsvarādeva bahuvrīhitvanirṇayaḥ; tadvadiha	na-ca sTUla-pRzatI-pada-vat-svarAt-eva bahu-vrIhi-tva-nirNayaH; tadvat-iha
   samāsasya lakṣaṇānugatatvābhāvena svarasyaiva bādhyamānatvāt /	samAsasya lakzaNa-anugata-tva-aBAvena svarasya-eva bADyamAna-tvAt /
   yathāca tatpuruṣapakṣe 'pi svarāvirodhastathā kaustubha evopapāditam /	yaTA-ca tatpuruza-pakze api svara-aviroDaH-taTA kOstuBaH eva-upapAditam /
   ataśca liṅgādindradevatyapradāna eva mantrasyāṅgatvāvagamādanaindrāṇāṃ ca,	atas-ca liFgAt-indra-devatya-pradAnaH eva mantrasya-aFga-tva-avagamAt-anEndrANAm ca,
   karmaṇa ekatvena prakṛtivikārabhāvābhāvādūhānupapattervrīhīṇāṃ medhaiti	karmaNaH eka-tvena prakRti-vikAra-BAva-aBAvAt-Uha-anupapatteH-vrIhINAm meDA-eti
   vadanaindrāṇāmamantrakaṃ, bhakṣaṇamityādyaḥ pakṣaḥ /	vadana-EndrANAm-amantrakaM, BakzaNam-iti-AdyaH pakzaH /
   dvitīyastu satyapi karmaikatve pradānānāṃ bhinnatvādaviruddhaḥ	dvitIyaH-tu sati-api karma-ekatve pradAnAnAm Binna-tvAt-avirudDaH
   prakṛtivikārabhāvaḥ /	prakRti-vikAra-BAvaH /
   indrāya tvā vasumata ityādimānagrahaṇamantrāṇāṃ ca	indrAya tvA vasumataH iti-Adi-mAna-grahaNa-mantrANAm ca
   liṅgādindramātraviṣayatvāttadanurodhena ca	liFgAt-indra-mAtra-vizaya-tvAt-tad-anuroDena ca
   tatprakāśyayormānagrahaṇayostatsaṃskāryasya somasya tatsaṃskārāṇāṃ	tad-prakASyayoH-mAna-grahaNayoH-tad-saMskAryasya somasya tad-saMskArANAm
   cābhiṣavādīnāṃ tanmiśrāṇāṃ	ca-aBizava-AdInAm tat-miSrANAm
   cāṅgāntarāṇāmaindramātraviṣayatvapratīteritareṣāmadharmakāṇāṃ yukto	ca-aFga-antarANAm-Endra-mAtra-vizaya-tva-pratIteH-itarezAm-aDarmakANAm yuktaH-
   'tideśaḥ /	ati-deSaH /
   bhavati cāṅgavaśenāpi pradhānasaṃkocaḥ; agnyādyanurodhena	Bavati ca-aFga-vaSena-api praDAna-saMkocaH; agni-Adi-anuroDena
   kratūnāmāhitāgniviṣayatvāt /	kratUnAm-AhitAgni-vizaya-tvAt /
   ataśca prakṛtāpūrvīyadevatāprakāśakasya bhakṣamantrasya kāryamukhena	atas-ca prakRta-ApUrvIya-devatA-prakASakasya Bakza-mantrasya kArya-muKena
   vikṛtāvāgatasya bhavatyeva yathādevatamūha iti /	vikRtO=-Agatasya Bavati-eva yaTAdevatam-UhaH iti /
   evaṃ sthite 'ntarā cintā // 11 // 26 //	evam sTite antarA cintA // 11 // 26 //
   ityekādaśaṃ liṅgaviśeṣanirdeśādhikaraṇam /	iti-ekAdaSam liFga-viSeza-nirdeSa-aDikaraNam /
   (indrapītādhikaraṇam) <B2> atracānaindrapradāneṣu	(indra-pIta-aDikaraNam) <B2> atracAn-Endra-pradAnezu
   liṅgapramāṇakamantraviniyogasya siddhānte pratipādyasya pūrvapakṣadvaye	liFga-pramANaka-mantra-viniyogasya sidDAnte pratipAdyasya pUrva-pakza-dvaye
   'pyanaṅgīkārāt pādādhyāyasaṅgatī prāsaṅgikīṃ cānantarasaṅgatiṃ	api-anaFgIkArAt pAda-aDyAya-saFgatI prAsaFgikIm ca-anantara-saFgatim
   spaṣṭatvādanuktvā tanmantrameva viṣayatvena darśayan saṃśayamāha --------	spazwa-tvAt-anuktvA tad-mantram-eva vizaya-tvena darSayan saMSayam-Aha --------
   bhakṣamantra iti //	Bakza-mantraH iti //
   teṣūheneti //	tezu-uhena-iti //
   etena -------- ūhapakṣasya pādalakṣaṇāsaṅgatatvānna svatantrakoṭitvam,	etena ------- Uha-pakzasya pAda-lakzaNa-asaFgata-tvAt-na svatantra-kowi-tvam,
   apitvādyakoṭiphalībhūtasyānaindrāṇāṃ amantrakatvasyā'kṣepamātramiti	api-tvA-Adi-a-kowi-PalIBUtasya-anEndrANAm amantraka-tvasya-aakzepa-mAtram-iti
   nyāyasudhoktaṃ --------- apāstam; pūrvoktarītyā siddhāntyabhipretasya	nyAya-suDA-uktam -------- apAstam; pUrva-ukta-rItyA sidDAnti-aBipretasya
   pakṣasya pratipakṣatayohopanyāsena	pakzasya pratipakzatayoha-upanyAsena
   saṅgatyupapatterasthāyipūrvapakṣaphalākṣepasya niṣprayojanatvācca /	saFgati-upapatteH-asTAyi-pUrva-pakza-PalAkzepasya nizprayojana-tvAt-ca /
   ataḥ tasyāpi svatantrakoṭitvamityarthaḥ //	atas tasya-api svatantra-kowi-tvam-iti-arTaH //
   liṅgāvirodha iti //	liFga-aviroDaH iti //
   anyadevatyasyāpi somasyoktavidhasavanasaṃbandhitvena	anya-devati-asya-api somasya-ukta-viDa-savana-saMbanDi-tvena
   prakāśanopapattestadavirodha ityarthaḥ /	prakASana-upapatteH-tat-aviroDaH iti-arTaH /
   padadvayeti //	pada-dvaya-iti //
   tatpuruṣe pūrvapada eva saṃbandhini lakṣaṇā /	tatpuruze pUrva-padaH eva saMbanDini lakzaNA /
   bahuvrīhau tu padadvaye 'pyanyapadārthalakṣaṇetipadadvayalakṣaṇāpādakatvam	bahuvrIhO tu pada-dvaye api-anya-padArTa-lakzaNa-iti-pada-dvaya-lakzaNa-ApAdaka-tvam
   bahuvrīhāvekasminneva pade	bahu-vrIhO=-ekasmin=-eva pade
   viśiṣṭārthalakṣaṇetarattātparyagrāhakamityaṅgīkāre 'pi	viSizwa-arTa-lakzaNa-itarat-tAtparya-grAhakam-iti-aFgIkAre api
   lakṣyatāvacchedakagauravam; itarasya tātparyagrāhakasya vākyārthānvaye 'pi	lakzya-tAvacCedaka-gOravam; itarasya tAtparyagrAhakasya vAkya-arTa-anvaye api
   arthāt pratipadikatvamiti doṣaḥ /	arTAt pratipadika-tvam-iti dozaH /
   yadyapi bahuvrīhāvanyapadārthe śaktiḥ;	yadi-api bahu-vrIhO=-anya-padArTe SaktiH;
   tathāpyavayavārthopasthitisāpekṣatvādanyapadārthopasthitestatra gauravam /	taTA-api-avayava-arTa-upasTiti-sApekza-tvAt-anya-padArTa-upasTiteH-tatra gOravam /
   sarvathā tatpuruṣo laghubhūta evetyarthaḥ //	sarvaTA tatpuruzaH laGu-BUtaH eva-iti-arTaH //
   lakṣaṇānanugatatvamapi doṣamāha --------- ananugateti //	lakzaNAn-anugata-tvam-api dozam-Aha -------- ananugata-iti //
   samānādhikaraṇānāṃ bahuvrīhiriṣyata iti kātyāyanasmaraṇāt	samAna-aDikaraNAnAm bahuvrIhiH-izyate iti kAtyAyana-smaraNAt-
   vyadhikaraṇapadānāṃ tadanupapatteḥ "saptamīviśeṣaṇe bahuvrīhā" viti	vyaDikaraNa-padAnAm tad-anupapatteH "saptamI-viSezaNe bahu-vrIhA" viti
   jñāpakabalāt kaṇṭhekāla ityādau saptamyantabahuvrīhyāśrayaṇe 'pīha	jQApaka-balAt kaNWekAle iti-AdO saptamI-anta-bahu-vrIhi-ASrayaNe api-iha
   tathā'śrayaṇe pramāṇābhāvātlakṣaṇānanugatatvam, tatpuruṣetu "kartṛkaraṇe	taTA-aSrayaNe pramANa-aBAvAt-lakzaNAn-anugata-tvam, tatpuruzetu "kartR-karaNe
   kṛtā bahulami"ti anuśāsanaśiṣṭatvam //	kRtA bahulam-i"ti anuSAsana-Sizwa-tvam //
   kiñca mantrasya bhakṣaṇāṅgatānirvāhāya avaśyāpekṣite bhakṣaṇasya	kiQca mantrasya BakzaNa-aFgatA-nirvAhAya avaSya-apekzite BakzaNasya
   tatsaṃbandhinaḥ karmakārakasya somasya vā prakāśane prayojane	tad-saMbanDinaH karma-kArakasya somasya vA prakASane prayojane
   tatpuruṣapakṣe saṃbhavati na	tatpuruza-pakze saMBavati na
   bahuvrīhyāśrayaṇenāpradhānānākāṅkṣitasavanaprakāśanaparatvaṃ	bahu-vrIhi-ASrayaNena-apraDAnAn-AkAFkzita-savana-prakASana-para-tvam
   yuktamityarthaḥ //	yuktam-iti-arTaH //
   nanu śabdasya devatātvāt kathaṃ svīkṛta ityarthopapattirityāśaṅkāṃ	nanu Sabdasya devatA-tvAt kaTam svIkRtaH iti-arTa-upapattiH-iti-ASaFkAm
   bahuvrīhāvapyavaśyāpekṣitaprakāreṇa pariharati ---------- vidyate ceti //	bahu-vrIhO=-api-avaSya-apekzita-prakAreNa pariharati --------- vidyate ca-iti //
   nanu nāyaṃ tatpuruṣaḥ; tathātve samāsasyeti sūtreṇāntodāttatvāpatteḥ,	nanu na-ayam tatpuruzaH; taTA-tve samAsasya-iti sUtreNa-anta-udAttatva-ApatteH,
   ādyudāttaṃ caitatpītapadam, indrapratipādakantu svata eva ādyudāttam,	Adi-udAttam ca-etat-pIta-padam, indrapratipAdakantu svatas eva Adi-udAttam,
   tathā sati bahuvrīhau prakṛtyā pūrvapadamiti sūtreṇa	taTA sati bahuvrIhO prakRtyA pUrva-padam-iti sUtreNa
   pūrvapadaprakṛtisvaravidhānāt samastameva padamādyudāttaṃ saṃpadyate /	pUrva-pada-prakRti-svara-viDAnAt samastam-eva padam-Adi-udAttam saMpadyate /
   ataḥ sthūlapṛṣatītyatreva svarāt bahuvrīhinirṇaye sati	atas sTUla-pRzati-iti-atra-iva svarAt bahu-vrIhi-nirNaye sati
   savanaparatvopapattirityabhipretyāśaṅkate -------- naceti //	savana-paratva-upapattiH-iti-aBipretya-aSaFkate ------- na-ca-iti //
   bahuvrīherapi sāmānādhikaraṇyasaṃbhavena lakṣaṇānugatatvābhāvāt	bahu-vrIheH-api sAmAnADikaraNya-saMBavena lakzaNa-anugata-tva-aBAvAt
   samāsasvarayoranyatarasyāgatikatve kalpanīye aṅgadharmatvāt svarasyaiva	samAsa-svarayoH-anyatarasya-Agatika-tve kalpanIye aFga-Darma-tvAt svarasya-eva
   bādhyatvena tasyaiva chāndasatvakalpanayā nirvāho yuktaḥ, natu	bADya-tvena tasya-eva CAndasatva-kalpanayA nirvAhaH yuktaH, na-tu
   pradhānabhūtasvārthatyāga ityarthaḥ /	praDAna-BUta-sva-arTa-tyAgaH iti-arTaH /
   yathāceti //	yaTAca-iti //
   "tṛtīyā karmaṇī"ti sūtreṇa karmaṇi ktānte upapade pare tṛtīyāntaṃ	"tRtIyA karmaNI"ti sUtreNa karmaNi ktAnte upapade pare tRtIya-antam
   pūrvapadaṃ prakṛtisvaraṃ bhavatīti vidhānāt tathā "ktece" ti sūtreṇāpi	pUrva-padam prakRti-svaram Bavati-iti viDAnAt taTA "ktece" ti sUtreNa-api
   tatsvaravidhānāt tatpuruṣapakṣe 'pi svarāvirodhaḥ kaustubhe upapādita	tad-svara-viDAnAt tatpuruza-pakze api svara-aviroDaH kOstuBe upapAdita
   ityarthaḥ /	iti-arTaH /
   ādyaṃ pūrvapakṣamupasaṃharati --------- ataśceti //	Adyam pUrva-pakzam-upasaMharati -------- atas-ca-iti //
   vrīhīṇāṃ medha itivaditi //	vrIhINAm meDaH iti-vat-iti //
   vrīhīṇāṃ medha ityasya yavaprayoga ivehānupapatterityarthaḥ /	vrIhINAm meDaH iti-asya yava-prayogaH iva-iha-anupapatteH-iti-arTaH /
   anaindrāṇāmiti //	anEndrANAm-iti //
   sāmānyoktyā camasapradhānaśeṣāṇāmiva	sAmAnya-uktyA camasapraDAna-SezANAm-iva
   grahapradānaśeṣāṇāmapyamantrakatvoktisūcanena	graha-pradAna-SezANAm-api-amantraka-tva-ukti-sUcanena
   mitrāvaruṇādidevatyahutaśeṣāṇāmamantrakam, tatrāpi pitṛpītasyetyādipadānāṃ	mitrAvaruNa-Adi-devati-ahuta-SezANAm-amantrakam, tatra-api pitR-pItasya-ityAdi-padAnAm
   taddevatyapradāneṣu prāptāvapi taditarapadānāṃ vibhajya viniyoge 'pi	tat-devatya-pradAnezu prAptO=-api tad-itara-padAnAm viBajya viniyoge api
   savanatrayepyaindrapradānānāmindrapītapadaprayogeṇa samantrakaṃ bhakṣaṇaṃ	savana-trayepi-Endra-pradAnAnAm-indra-pIta-pada-prayogeNa sa-mantrakam BakzaNam
   natvanyeṣāṃ pradānānāmityarthaḥ //	na-tu-anyezAm pradAnAnAm-iti-arTaH //
   tatraindrapradānānāṃ prakṛtitvaṃ sādhayitumāha -------- indrāya tveti //	tatra-Endra-pradAnAnAm prakRti-tvam sADayitum-Aha ------- indrAya tvA-iti //
   "indrāya tvā vasumate minomī"ti mānamantrasyādipadopāttasya "indrāya tvā	"indrAya tvA vasumate minomI"ti mAna-mantrasya-Adi-pada-upAttasya "indrAya tvA
   vasumate gṛhṇāmī"ti grahaṇamantrasya ca indrapradānāṅgatvaṃ liṅgāt	vasumate gRhNAmi-i"ti grahaNa-mantrasya ca indra-pradAna-aFga-tvam liFgAt-
   pratīyate ityaviśeṣapravṛttasomavākyamapi tanmātraviṣayamevetyarthaḥ /	pratIyate iti-aviSeza-pravRtta-soma-vAkyam-api tanmAtra-vizayam-eva-iti-arTaH /
   aṅgavaśenāpīti //	aFga-vaSena-api-iti //
   mantrarūpāṅgavaśena mānagrahaṇādeḥ pradhānasya saṃkoca ityarthaḥ /	mantra-rUpa-aFga-vaSena mAna-grahaNa-AdeH praDAnasya saMkocaH iti-arTaH /
   yathādevatamiti //	yaTAdevatam-iti //
   mitrāvaruṇapītasyetyādyūhitamantrapāṭhena samantrakaṃ teṣāmapi	mitrAvaruNa-pItasya-ityAdyUhita-mantra-pAWena sa-mantrakam tezAm-api
   bhakṣaṇamityarthaḥ /	BakzaNam-iti-arTaH /
   ūhapūrvapakṣanirāse sati tadviṣayottaravicārāsaṃbhavādanirasta eva	Uha-pUrva-pakza-nirAse sati tad-vizaya-uttara-vicAra-asaMBavAt-aniraste eva
   ūhapakṣe avasaralābhāt pañcabhiradhikaraṇaistadviṣayaṃ viśeṣavicāraiḥ	Uha-pakze avasara-lABAt paQcaBiH-aDikaraNEH-tad-vizayam viSeza-vicArEH
   kartumantarāgarbhiṇīṃ kṛtvā cintāmārabhate ------- evamiti //	kartum-antarA-garBiNIm kRtvA cintAm-AraBate ------ evam-iti //
   iti ekādaśaṃ liṅgaviśeṣanirdeśādhikaraṇam //	iti ekAdaSam liFga-viSeza-nirdeSa-aDikaraNam //
   - - - - - - - <B1> (12 adhikaraṇam / ) (a.3 pā.2 adhi.12)	       <B1> (12 aDikaraNam / ) (a.3 pA.2 aDi.12)
   punarabhyunnīteṣu //	punar-aByunnItezu //
   savanamukhīyeṣu camaseṣvaindreṣu sarveṣu huteṣu ye hotṛkāṇāṃ	savana-muKIyezu camasezu-Endrezu sarvezu hutezu ye hotRkANAm
   maitrāvaruṇādīnāṃ camasāsteṣvabhakṣiteṣveva punaḥ somo 'bhyunnīya	mEtrAvaruNa-AdInAm camasAH-tezu-aBakzitezu-eva punar somaH aByunnIya
   devatāntarebhyo mitrāvaruṇādibhyo hutvā bhakṣyate /	devatA-antareByaH mitrAvaruNa-AdiByaH hutvA Bakzyate /
   tatra pūrvapradānadevatābhūta indro 'pyupalakṣaṇīyo na veti cintāyām	tatra pUrva-pradAna-devatA-BUtaH indraH api-upalakzaNIyaH na vA-iti cintAyAm
   -------- unnayanakāle na devatāntaroddeśaḥ, yenonnītasyaiva tatsaṃbandhāt	------- unnayana-kAle na devatA-antara-uddeSaH, yena-unnItasya-eva tad-saMbanDAt
   pūrvaśeṣasya pūrvadevatāsaṃbandho nāpeyāt, pradānakāle tu saṃsṛṣṭasyaiva	pUrva-Sezasya pUrva-devatA-saMbanDaH na-apeyAt, pradAna-kAle tu saMsRzwasya-eva
   devatāntarasaṃbandhātpūrvadevatāsaṃbandhāpanayapratīternopalakṣaṇamiti	devatA-antara-saMbanDAt-pUrva-devatA-saMbanDa-apanaya-pratIteH-na-upalakzaNam-iti
   prāpte -------- unnayanakāle devatāsaṃkalpābhāve 'pi	prApte ------- unnayana-kAle devatA-saMkalpa-aBAve api
   sāmarthyādevonnayanasya kariṣyamāṇakarmārthatvapratīteḥ pūrvaśeṣasya	sAmarTyAt-eva-unnayanasya karizyamANa-karma-arTa-tva-pratIteH pUrva-Sezasya
   saṃsṛṣṭatve 'pyetadarthatve pramāṇābhāvādanapanītasaṃbandhā	saMsRzwa-tve api-etad-arTa-tve pramANa-aBAvAt-anapanIta-saMbanDA
   pūrvadevatāpyupalakṣaṇīyā // 12 // 27 // iti dvādaśamabhyunnītādhikaraṇam	pUrvadevatA-api-upalakzaNIyAH // 12 // 27 // iti dvAdaSam-aByunnIta-aDikaraNam
   <B2> atra bhakṣamantrasya liṅgādaindrapradānāṅgatvasya	<B2> atra Bakza-mantrasya liFgAt-Endra-pradAna-aFga-tvasya
   pūrvādhikaraṇapūrvapakṣoktasyākṣipya samādhānāt pādādhyāyānantarasaṅgatīḥ	pUrva-aDikaraNa-pUrva-pakza-uktasya-Akzipya samADAnAt pAda-aDyAya-anantara-saFgatIH
   spaṣṭatvādanuktvā viṣayamāha --------- savanamukhīyeṣviti //	spazwa-tvAt-anuktvA vizayam-Aha -------- savana-muKIyezu-iti //
