   akāmakṛtapāpasya Par_8.1c	akAma-kRta-pApasya Par_8.1c
   yas tu kruddhaḥ pumān brūyāj Par_12.57(56)a	yaH tu krudDaH pumAn brUyAt Par_12.57(56)a
   yas tu dharmaparāṅmukhaḥ Par_4.21d	yaH tu Darma-parAFmuKaH Par_4.21d
   yas tu prāṇān parityajet Par_8.35b	yaH tu prANAn parityajet Par_8.35b
   yas tu bhagneṣu sainyeṣu Par_3.33a	yaH tu Bagnezu sEnyezu Par_3.33a
   yas trirātram upāvaset Par_5.4b	yaH tri-rAtram upAvaset Par_5.4b
   yasya kṣetre prarohati Par_4.22b	yasya kzetre prarohati Par_4.22b
   yasya cecchati pārthivaḥ Par_3.21d	yasya ca-icCati pArTivaH Par_3.21d
   yasya cchedakṣataṃ gātraṃ Par_3.34a	yasya cCeda-kzatam gAtram Par_3.34a
   yasya chatraṃ hayaś caiva Par_1.54a	yasya Catram hayaH ca-eva Par_1.54a
   yasya bhāryā surāṃ pibet Par_10.26b	yasya BAryA surAm pibet Par_10.26b
   yasyāhave tu praviśec ca vaktram Par_3.38b	yasya-Ahave tu praviSet ca vaktram Par_3.38b
   yaṃ brūyur vedapāragāḥ Par_8.7b	yam brUyuH vedapAragAH Par_8.7b
   yaṃ yajñasaṃghais tapasā ca viprāḥ Par_3.36a	yam yajQa-saMGEH tapasA ca viprAH Par_3.36a
   yaḥ kanyāṃ na prayacchati Par_7.5d	yaH kanyAm na prayacCati Par_7.5d
   yaḥ karoty ekarātreṇa Par_7.8c	yaH karoti eka-rAtreNa Par_7.8c
   yaḥ śūdryā pācayen nityaṃ Par_12.36(35)a	yaH SUdryA pAcayet nityam Par_12.36(35)a
   yājñavalkyāt tathaiva ca Par_1.14b	yAjQavalkyAt taTA-eva ca Par_1.14b
   yājyavarṇasya niṣkṛtiḥ Par_11.26d	yAjya-varNasya nizkRtiH Par_11.26d
   yā nārī kurute tataḥ Par_10.17b	yA nArI kurute tatas Par_10.17b
   yā nārī kurute vratam Par_4.18b	yA nArI kurute vratam Par_4.18b
   yāni romāṇi mānuṣe Par_4.32b	yAni romANi mAnuze Par_4.32b
   yāvakānnena śudhyati Par_11.11d	yAvaka-annena SuDyati Par_11.11d
   yāvat tat syād anirdaśam Par_3.28d	yAvat tat syAt anirdaSam Par_3.28d
   yāvat puṣpavatī bhavet Par_10.21b	yAvat puzpavatI Bavet Par_10.21b
   yāvat saṃpūrṇasarvāṅgas Par_9.21a	yAvat saMpUrNa-sarva-aFgaH Par_9.21a
   yāvad dṛḍhabalo bhavet Par_9.20d	yAvat dRXa-balaH Bavet Par_9.20d
   yāvantaḥ prekṣakā janāḥ Par_9.47b	yAvantaH prekzakAH janAH Par_9.47b
   yāvanmāsaṃ sthito garbho Par_3.15c	yAvat-mAsam sTitaH garBaH Par_3.15c
   yāś cāpy anyonyavipruṣaḥ Par_7.32b	yAH ca-api anyonya-vipruzaH Par_7.32b
   yāṃ diśaṃ vrajate somas Par_5.8c	yAm diSam vrajate somaH Par_5.8c
   yugarūpānusārataḥ Par_1.22d	yuga-rUpa-anusArataH Par_1.22d
   yugarūpā hi te dvijāḥ Par_1.33d	yuga-rUpAH hi te dvijAH Par_1.33d
   yugarūpā hi te dvijāḥ Par_11.51b	yuga-rUpAH hi te dvijAH Par_11.51b
   yugaṃ yugadvayaṃ caiva Par_12.54(53)a	yugam yuga-dvayam ca-eva Par_12.54(53)a
   yuge yuge ca ye dharmās Par_1.33a	yuge yuge ca ye DarmAH Par_1.33a
   yuge yuge tu ye dharmās Par_11.50c	yuge yuge tu ye DarmAH Par_11.50c
   yuge yuge tu sāmarthyaṃ Par_1.34a	yuge yuge tu sAmarTyam Par_1.34a
   yujyate nātra saṃśayaḥ Par_4.15d	yujyate na-atra saMSayaH Par_4.15d
   ye ca garbhād viniḥsṛtāḥ Par_3.14b	ye ca garBAt viniHsRtAH Par_3.14b
   ye dagdhā veśmakeṣu ca Par_9.44b	ye dagDA veSmakezu ca Par_9.44b
   ye dvijā nāmadhārakāḥ Par_8.20b	ye dvijAH nAmaDArakAH Par_8.20b
   ye dharmaṃ pravadanti vai Par_8.8b	ye Darmam pravadanti vE Par_8.8b
   yena kena ca dharmeṇa Par_7.37a	yena kena ca DarmeNa Par_7.37a
   ye paṭhanti dvijā vedaṃ Par_8.21a	ye paWanti dvijAH vedam Par_8.21a
   ye vahanti dvijātayaḥ Par_3.39b	ye vahanti dvijAtayaH Par_3.39b
   yoktradāmakadoraiś ca Par_9.6a	yoktra-dAmaka-dorEH ca Par_9.6a
   yoktreṣu pādahīnaṃ syāc Par_9.4a	yoktrezu pAda-hInam syAt Par_9.4a
   yoktro bhavati tadvadhaḥ Par_9.8b	yoktraH Bavati tad-vaDaH Par_9.8b
   yo 'gnivedasamanvitaḥ Par_3.5b	yaH agniveda-samanvitaH Par_3.5b
   yo 'gre pātraṃ vimuñcati Par_12.42(41)b	yaH agre pAtram vimuQcati Par_12.42(41)b
   yo na dadyād dvijātibhyo Par_2.11c	yaH na dadyAt dvijAtiByaH Par_2.11c
   yo naraḥ khātam icchati Par_9.41b	yaH naraH KAtam icCati Par_9.41b
   yo bhuṅkte dakṣiṇāmukhaḥ Par_1.59b	yaH BuFkte dakziNAmuKaH Par_1.59b
   yo veṣṭitaśirā bhuṅkte Par_1.59a	yaH vezwita-SirAH BuFkte Par_1.59a
   yo vai samācared vipraḥ Par_4.9a	yaH vE samAcaret vipraH Par_4.9a
   raktavastrādikāni ca Par_7.30b	rakta-vastra-AdikAni ca Par_7.30b
   raktāyā gṛhyate dadhi Par_11.29d	raktAyAH gRhyate daDi Par_11.29d
   rakṣed eva svadehādi- Par_7.36c	rakzet eva sva-deha-Adi Par_7.36c
   rajakī carmakārī ca Par_6.44a	rajakI carmakArI ca Par_6.44a
   rajasā śudhyate nārī Par_7.2c	rajasA SuDyate nArI Par_7.2c
   rajonivṛttau gamyā strī Par_7.18a	rajaH-nivRttO gamyA strI Par_7.18a
   rajo yāvat pravartate Par_7.17d	rajaH yAvat pravartate Par_7.17d
   raṇe cābhimukho hataḥ Par_3.30d	raNe ca-aBimuKaH hataH Par_3.30d
   rathyākardamatoyāni Par_7.34a	raTyA-kardama-toyAni Par_7.34a
   rasapūrṇaṃ tu yad bhāṇḍaṃ Par_6.47a	rasa-pUrNam tu yat BANxam Par_6.47a
   rājā kartuṃ yad icchati Par_8.29b	rAjA kartum yat icCati Par_8.29b
   rājā tu pṛthivīpatiḥ Par_12.72(71)b	rAjA tu pRTivIpatiH Par_12.72(71)b
   rājānam anugacchati Par_8.29d	rAjAnam anugacCati Par_8.29d
   rājānaḥ śrotriyāś caiva Par_3.20c	rAjAnaH SrotriyAH ca-eva Par_3.20c
   rājā bhikṣur mahodadhiḥ Par_12.47(46)b	rAjA BikzuH mahodaDiH Par_12.47(46)b
   rājābhyāśaṃ vadhāya tu Par_12.78(77)b	rAjA-aByASam vaDAya tu Par_12.78(77)b
   rājā vā rājaputro vā Par_9.53c	rAjA vA rAja-putraH vA Par_9.53c
   rājñaś ca sūtakaṃ nāsti Par_3.21c	rAjQaH ca sUtakam na-asti Par_3.21c
   rājñaś cānumate sthitvā Par_8.28a	rAjQaH ca-anumate sTitvA Par_8.28a
   rājñāsau mukta eva ca Par_12.78(77)d	rAjQA-asO muktaH eva ca Par_12.78(77)d
   rājñe dattvā tu ṣaḍbhāgaṃ Par_2.12c	rAjQe dattvA tu zaz-BAgam Par_2.12c
   rātrau dīpaṃ vinā tathā Par_12.44(43)d	rAtrO dIpam vinA taTA Par_12.44(43)d
   rāmacandrasamādiṣṭa- Par_12.70(69)c	rAmacandra-samAdizwa Par_12.70(69)c
   rāśimūlam upāgataḥ Par_2.11d	rASi-mUlam upAgataH Par_2.11d
   rāhugraste divākare Par_12.30(29)b	rAhu-graste divAkare Par_12.30(29)b
   rāhor anyatra darśanāt Par_12.22(21)d	rAhoH anyatra darSanAt Par_12.22(21)d
   rāhoś ca darśane dānaṃ Par_12.26(25)c	rAhoH ca darSane dAnam Par_12.26(25)c
   ruditvā snānam ācaret Par_12.29(28)b	ruditvA snAnam Acaret Par_12.29(28)b
   rudhireṇa malena ca Par_12.14d	ruDireNa malena ca Par_12.14d
   rūpyaṃ sauvarṇabhājanam Par_7.26b	rUpyam sOvarNa-BAjanam Par_7.26b
   retasaḥ skhalanaṃ bhuvi Par_12.64(63)d	retasaH sKalanam Buvi Par_12.64(63)d
   rogeṇa yad rajaḥ strīṇām Par_7.16c	rogeNa yat rajaH strINAm Par_7.16c
   rodhanaṃ bandhanaṃ caiva Par_9.31a	roDanam banDanam ca-eva Par_9.31a
   rodhabandhanayoktrāṇi Par_9.3a	roDa-banDana-yoktrANi Par_9.3a
   romakūpeṣv avasthāpya Par_12.14a	romakUpezu avasTApya Par_12.14a
   rauravaṃ yāti sa dvijaḥ Par_12.36(35)d	rOravam yAti sa dvijaH Par_12.36(35)d
   lalāṭadeśe rudhiraṃ sravac ca Par_3.38a	lalAwa-deSe ruDiram sravat ca Par_3.38a
   lavaṇaṃ tailasarpiṣī Par_6.40b	lavaNam tEla-sarpizI Par_6.40b
   lavaṇaṃ madhutailaṃ ca Par_1.65a	lavaNam maDu-tElam ca Par_1.65a
   lāṅgūle pādakṛcchraṃ tu Par_9.18a	lAFgUle pAda-kRcCram tu Par_9.18a
   lābhakarma tathā ratnaṃ Par_1.63a	lABa-karma taTA ratnam Par_1.63a
   lālā bhavati daṣṭeṣu Par_9.50c	lAlA Bavati dazwezu Par_9.50c
   lāvikāraktapakṣeṣu Par_6.6c	lAvika-Arakta-pakzezu Par_6.6c
   lubdhakī veṇujīvinī Par_6.44b	lubDakI veNujIvinI Par_6.44b
   lokāgnau mantravarjitam Par_5.11b	loka-agnO mantra-varjitam Par_5.11b
   lopo yadi na dṛśyate Par_7.3b	lopaH yadi na dRSyate Par_7.3b
   lohadaṇḍaś ca dakṣiṇā Par_6.9d	lohadaNxaH ca dakziNA Par_6.9d
   vadanti kṣitidevatāḥ Par_6.51d	vadanti kziti-devatAH Par_6.51d
   vadanti niyamaṃ tu ye Par_6.57d	vadanti niyamam tu ye Par_6.57d
   vadanty aniyamaṃ tu ye Par_6.58d	vadanti aniyamam tu ye Par_6.58d
   vada satyavatīsuta Par_1.2d	vada satyavatI-suta Par_1.2d
   vanaṃ gatvā catuṣpathe Par_12.7b	vanam gatvA catuzpaTe Par_12.7b
   varuṇaś caiva gomūtre Par_11.39a	varuNaH ca-eva go-mUtre Par_11.39a
   varjayitvā vikarmasthāṃś Par_12.67(66)a	varjayitvA vikarma-sTAn Par_12.67(66)a
   varjitaḥ pitṛdevebhyo Par_12.36(35)c	varjitaH pitR-deveByaH Par_12.36(35)c
   varṇāḥ śudhyanti te trayaḥ Par_12.6d	varNAH SuDyanti te trayaH Par_12.6d
   varṇe varṇe vinirdiśet Par_11.16d	varNe varNe vinirdiSet Par_11.16d
   vartamāne kalau yuge Par_1.2b	vartamAne kalO yuge Par_1.2b
   valguṇīṭiṭṭibhānāṃ ca Par_6.6a	valguNI-wiwwiBAnAm ca Par_6.6a
   vastraniṣpīḍane kṛte Par_12.13b	vastra-nizpIxane kRte Par_12.13b
   vastraṃ kāṣṭhaṃ ca śodhayet Par_10.37b	vastram kAzWam ca SoDayet Par_10.37b
   vahitvā ca dahitvā ca Par_3.41c	vahitvA ca dahitvA ca Par_3.41c
   vājapeyaśatair mukhaiḥ Par_12.52(51)b	vAjapeya-SatEH muKEH Par_12.52(51)b
   vātoddhūtāś ca reṇavaḥ Par_7.35b	vAta-udDUtAH ca reNavaH Par_7.35b
   vānte tu kṣurakarmaṇi Par_12.1b	vAnte tu kzura-karmaNi Par_12.1b
   vāpīkūpataḍāgādyair Par_12.52(51)a	vApI-kUpa-taxAga-AdyEH Par_12.52(51)a
   vāpīkūpataḍāgeṣu Par_7.3c	vApI-kUpa-taxAgezu Par_7.3c
   vāmapāde karaṃ nyasya Par_1.59c	vAma-pAde karam nyasya Par_1.59c
   vāme tūpabhṛtaṃ nyaset Par_5.19d	vAme tu-upaBRtam nyaset Par_5.19d
   vāyavyaṃ gorajaḥ smṛtam Par_12.10d	vAyavyam gorajaH smRtam Par_12.10d
   vāyavyaṃ divyam eva ca Par_12.9d	vAyavyam divyam eva ca Par_12.9d
   vāyubhakṣo dinatrayam Par_4.7d	vAyuBakzaH dina-trayam Par_4.7d
   vāyubhakṣo dinatrayam Par_6.11d	vAyuBakzaH dina-trayam Par_6.11d
   vāyubhūtās tu gacchanti Par_12.12c	vAyu-BUtAH tu gacCanti Par_12.12c
   vāsārtham upasarpati Par_12.72(71)d	vAsa-arTam upasarpati Par_12.72(71)d
   vāsiṣṭhā kāśyapās tathā Par_1.12d	vAsizWA kASyapAH taTA Par_1.12d
   vāso viparidhāya ca Par_12.18d	vAsaH vipariDAya ca Par_12.18d
   vāhane mocane tathā Par_9.27b	vAhane mocane taTA Par_9.27b
   vāhayed divasasyārdhaṃ Par_2.4c	vAhayet divasasya-arDam Par_2.4c
   vikarma kurvate śūdrā Par_2.14c	vikarma kurvate SUdrA Par_2.14c
   vikarmasthaṃ dvijottamam Par_6.18b	vikarma-sTam dvijottamam Par_6.18b
   vikalaṃ yā na gacchati Par_7.2d	vikalam yA na gacCati Par_7.2d
   vikrīṇan madhyamāṃsāni hy Par_1.66a	vikrINan maDya-mAMsAni hi Par_1.66a
   vikreyā dhānyatatsamāḥ Par_2.7b	vikreyAH DAnya-tad-samAH Par_2.7b
   vijñāte tu7pasannasya Par_6.34c	vijQAte tu7pa-sannasya Par_6.34c
   viḍvarāhakharoṣṭrakam Par_11.42b	vixvarAha-Kara-uzwrakam Par_11.42b
   viṇmūtrabhojī śudhyarthaṃ Par_12.4a	viz-mUtra-BojI SuDi-arTam Par_12.4a
   vidyamāneṣu hasteṣu Par_12.56(55)a	vidyamAnezu hastezu Par_12.56(55)a
   vidravatsu samantataḥ Par_3.33b	vidravatsu samantataH Par_3.33b
   vidhavā ca punaḥ punaḥ Par_4.14d	viDavA ca punar punar Par_4.14d
   vidhivad brahmaghātake Par_12.65(64)d	viDivat brahma-GAtake Par_12.65(64)d
   vinā yajñopavītena Par_12.16c	vinA yajQopavItena Par_12.16c
   vinirvartya yadā śūdrā Par_3.47a	vinirvartya yadA SUdrA Par_3.47a
   vipraghnaḥ pitṛghātakaḥ Par_1.58b	vipraGnaH pitR-GAtakaH Par_1.58b
   vipramadhye tu śrāvayet Par_12.57(56)d	vipra-maDye tu SrAvayet Par_12.57(56)d
   viprasaṃpāditaṃ yasya Par_6.64a	vipra-saMpAditam yasya Par_6.64a
   viprasya dakṣiṇe karṇe Par_12.20c	viprasya dakziNe karNe Par_12.20c
   viprasyaivaṃvidhā vṛttis Par_2.7c	viprasya-evaMviDA vRttiH Par_2.7c
   vipraḥ śudhyet trirātreṇa Par_11.44c	vipraH SuDyet tri-rAtreNa Par_11.44c
   vipraḥ saṃbhāṣate yadi Par_6.22b	vipraH saMBAzate yadi Par_6.22b
   viprāṇām anuśāsanam Par_10.5d	viprANAm anuSAsanam Par_10.5d
   viprāṇām anuśāsanāt Par_5.12b	viprANAm anuSAsanAt Par_5.12b
   viprāṇāṃ tarpaṇena ca Par_6.13d	viprANAm tarpaNena ca Par_6.13d
   viprāṇāṃ triṃśakaṃ bhāgaṃ Par_2.13a	viprANAm triMSakam BAgam Par_2.13a
   viprāṇāṃ dakṣiṇāṃ dadyāt Par_8.41c	viprANAm dakziNAm dadyAt Par_8.41c
   viprāṇāṃ brahmaghoṣeṇa Par_6.74a	viprANAm brahma-GozeNa Par_6.74a
   viprāṇāṃ saha bhojane Par_11.7b	viprANAm saha Bojane Par_11.7b
   viprān daśa varān kṛtvā Par_10.17c	viprAn daSa varAn kRtvA Par_10.17c
   vipreṇābhihatau yadi Par_6.21b	vipreNa-aBihatO yadi Par_6.21b
   vipraiś cakṣurnirīkṣitaḥ Par_5.5d	viprEH cakzuH-nirIkzitaH Par_5.5d
   vibhajet tac caturvidham Par_8.36d	viBajet tat caturviDam Par_8.36d
   vibhave satyavāritam Par_1.52d	viBave satya-vAritam Par_1.52d
   vimukto narakāt tasmān Par_9.60a	vimuktaH narakAt tasmAt Par_9.60a
   vivādenāpi nirjitya Par_11.53a	vivAdena-api nirjitya Par_11.53a
   vivāhotsavayajñeṣu tv Par_3.27a	vivAha-utsava-yajQezu tu Par_3.27a
   viṣeṇātmahato yadi Par_5.10d	vizeNa-Atma-hataH yadi Par_5.10d
   vṛkakākakapotānāṃ Par_6.4a	vRka-kAka-kapotAnAm Par_6.4a
   vṛkajambūkaṛkṣāṇāṃ Par_6.11a	vRka-jambUka-RkzANAm Par_6.11a
   vṛkaśvānasṛgālādyair Par_5.1a	vRka-SvAna-sRgAla-AdyEH Par_5.1a
   vṛkṣacchedeṣu pātayan Par_9.36b	vRkza=-Cedezu pAtayan Par_9.36b
   vṛkṣaṃ chittvā mahīṃ bhittvā Par_2.10c	vRkzam CittvA mahIm BittvA Par_2.10c
   vṛthā tasyopavāsaḥ syān Par_6.60a	vRTA tasya-upavAsaH syAt Par_6.60a
   vṛntākaphalagṛñjane Par_11.9b	vRntAka-Pala-gRQjane Par_11.9b
   vṛntākaphalabhakṣī cāpy Par_6.10c	vRntAka-Pala-BakzI ca-api Par_6.10c
   vṛṣalīsevanaṃ dvijaḥ Par_7.8d	vRzalI-sevanam dvijaH Par_7.8d
   vṛṣaṃ pradakṣiṇīkṛtya Par_5.9c	vRzam pradakziNIkRtya Par_5.9c
   vṛṣaṃ vipro na vāhayet Par_2.3d	vRzam vipraH na vAhayet Par_2.3d
   vṛṣaikādaśadakṣiṇā Par_6.16d	vRza-ekAdaSa-dakziNA Par_6.16d
   vṛṣaikādaśadānena Par_12.6c	vRza-ekAdaSa-dAnena Par_12.6c
   veṇuvalkalacīrāṇāṃ Par_7.28a	veNu-valkala-cIrANAm Par_7.28a
   vedakhaḍgadharā dvijāḥ Par_8.26b	veda-Kaxga-DarAH dvijAH Par_8.26b
   vedavanto 'gnihotriṇaḥ Par_8.11b	vedavantaH agnihotriNaH Par_8.11b
   vedavidyāvratasnātaḥ Par_5.3a	veda-vidyA-vrata-snAtaH Par_5.3a
   vedavedāṅgapāragāḥ Par_8.12b	veda-vedAFga-pAragAH Par_8.12b
   vedavedāṅgaviduṣāṃ Par_8.2a	veda-vedAFga-viduzAm Par_8.2a
   vedavedāṅgavidviprair Par_6.70a	veda-vedAFga-vid-viprEH Par_6.70a
   vedavrateṣu snātānām Par_8.13c	veda-vratezu snAtAnAm Par_8.13c
   vedaṃ caaivānadhīyānāḥ Par_12.32(31)c	vedam caa-eva-anaDIyAnAH Par_12.32(31)c
   vedaṃ smṛtvā caturmukhaḥ Par_1.21b	vedam smRtvA caturmuKaH Par_1.21b
   vedākṣaravicāreṇa Par_1.67c	veda-akzara-vicAreNa Par_1.67c
   vedābhyāsarato nityaṃ Par_1.49c	veda-aByAsa-rataH nityam Par_1.49c
   veśmadvāre nivāseṣu Par_9.41a	veSma-dvAre nivAsezu Par_9.41a
   veśmabhaṅgān nipātane Par_9.43b	veSma-BaFgAt nipAtane Par_9.43b
   vaiyāghram ārkṣaṃ saiṃhaṃ vā Par_11.43a	vEyAGram Arkzam sEMham vA Par_11.43a
   vaiśyakanyāsamutpanno Par_11.24a	vESya-kanyA-samutpannaH Par_11.24a
   vaiśyavṛttir udāhṛtā Par_1.63d	vESya-vRttiH udAhRtA Par_1.63d
   vaiśyaṃ vā kṣatriyaṃ vāpi Par_6.17a	vESyam vA kzatriyam vA-api Par_6.17a
   vaiśyaṃ śūdraṃ kriyāsaktaṃ Par_6.18a	vESyam SUdram kriyA-Asaktam Par_6.18a
   vaiśyaḥ pañcadaśāhakaiḥ Par_3.2b	vESyaH paQcadaSa-ahakEH Par_3.2b
   vaiśyaḥ pañcadaśāhena Par_3.4c	vESyaH paQcadaSa-ahena Par_3.4c
   vaiśyaḥ śūdras tathā kuryāt Par_2.14a	vESyaH SUdraH taTA kuryAt Par_2.14a
   vaiśye pañcasahasreṇa Par_11.17c	vESye paQca-sahasreNa Par_11.17c
   vaiśvadeva upasthitam Par_1.41b	vESvadevaH upasTitam Par_1.41b
   vaiśvadevakṛtaṃ pāpaṃ Par_1.55a	vESvadeva-kRtam pApam Par_1.55a
   vaiśvadevavihīnā ye Par_1.57a	vESvadeva-vihInAH ye Par_1.57a
   vaiśvadeve tu saṃprāptaḥ Par_1.58c	vESvadeve tu saMprAptaH Par_1.58c
   vaiśvadeve tu saṃprāpte Par_1.50a	vESvadeve tu saMprApte Par_1.50a
   vaiśvadevo vyapohati Par_1.55d	vESvadevaH vyapohati Par_1.55d
   voḍhāraś cāgnidāś ca ye Par_4.5b	voXAraH ca-agni-dAH ca ye Par_4.5b
   voḍhāro 'gnipradātāraḥ Par_4.3c	voXAraH agni-pradAtAraH Par_4.3c
   vyādhaḥ śākunikas tathā Par_2.9d	vyADaH SAkunikaH taTA Par_2.9d
   vyādhigrastaḥ kṛśo bhavet Par_9.50b	vyADi-grastaH kRSaH Bavet Par_9.50b
   vyādhivyasanini.śrānte Par_6.53c	vyADi-vyasani-ni.SrAnte Par_6.53c
   vyādhiṣu vyasaneṣv api Par_7.36b	vyADizu vyasanezu api Par_7.36b
   vyāpannānāṃ bahūnāṃ ca Par_9.46a	vyApannAnAm bahUnAm ca Par_9.46a
   vyāpādayati yo gāṃ tu Par_9.23c	vyApAdayati yaH gAm tu Par_9.23c
   vyālagrāhī yathā vyālaṃ Par_4.33a	vyAla-grAhI yaTA vyAlam Par_4.33a
   vyāsam ekāgram āsīnam Par_1.1c	vyAsam ekAgram AsInam Par_1.1c
   vyāsavākyāvasāne tu Par_1.18c	vyAsa-vAkya-avasAne tu Par_1.18c
   vyāsas tu ṛṣibhiḥ saha Par_1.9b	vyAsaH tu RziBiH saha Par_1.9b
   vyāsaḥ pṛcchaty anantaram Par_1.11b	vyAsaH pRcCati anantaram Par_1.11b
   vraṇabhaṅge ca kartavyaḥ Par_9.20a	vraNa-BaFge ca kartavyaH Par_9.20a
   vratam eva samācaret Par_9.57b	vratam eva samAcaret Par_9.57b
   vrataśeṣaṃ samāpayet Par_5.4d	vrata-Sezam samApayet Par_5.4d
   vrataṃ carati tad yāvat Par_10.21c	vratam carati tat yAvat Par_10.21c
   vrataṃ tat tu vinirdiśet Par_6.33d	vratam tat tu vinirdiSet Par_6.33d
   śaktiputraṃ parāśaram Par_1.8b	Sakti-putram parASaram Par_1.8b
   śakto bhikṣur vyapohitum Par_1.55b	SaktaH BikzuH vyapohitum Par_1.55b
   śaṅkitaṃ pratiṣiddhānnaṃ Par_11.4c	SaFkitam pratizidDa-annam Par_11.4c
   śaṅkhasya likhitasya ca Par_1.14d	SaFKasya liKitasya ca Par_1.14d
   śaṅkhasya vacanaṃ yathā Par_4.29d	SaFKasya vacanam yaTA Par_4.29d
   śaṇasya phalacarmaṇām Par_7.29b	SaNasya Pala-carmaNAm Par_7.29b
   śatayojanam āyatam Par_12.70(69)b	Sata-yojanam Ayatam Par_12.70(69)b
   śataṃ tu jaghane dadyād Par_5.17a	Satam tu jaGane dadyAt Par_5.17a
   śatrubhiḥ pariveṣṭitaḥ Par_3.31b	SatruBiH parivezwitaH Par_3.31b
   śamyaṃ śiśne viniḥkṣipya Par_5.19a	Samyam SiSne viniHkzipya Par_5.19a
   śaramudgarayaṣṭibhiḥ Par_3.34b	Sara-mudgara-yazwiBiH Par_3.34b
   śarīrasyātyaye prāpte Par_6.57c	SarIrasya-atyaye prApte Par_6.57c
   śarīre yasya jīryati Par_6.28b	SarIre yasya jIryati Par_6.28b
   śarvaryāṃ dānam asty eva Par_12.25(24)c	SarvaryAm dAnam asti eva Par_12.25(24)c
   śavaṃ ca vaiśyam ajñānād Par_3.44a	Savam ca vESyam ajQAnAt Par_3.44a
   śastrapāṇiḥ pradaṇḍavān Par_1.61b	Sastra-pANiH pradaNxavAn Par_1.61b
   śastreṇaivoddhato balāt Par_9.23b	SastreNa-eva-udDataH balAt Par_9.23b
   śaṃkhapuṣpīlatāmūlaṃ Par_10.20a	SaMKapuzpI-latA-mUlam Par_10.20a
   śātātapāc ca hārītād Par_1.14a	SAtAtapAt ca hArItAt Par_1.14a
   śāritittirighātakaḥ Par_6.4b	SAri-tittiri-GAtakaH Par_6.4b
   śiraso muṇḍanaṃ smṛtam Par_9.55b	SirasaH muNxanam smRtam Par_9.55b
   śiraḥ prāvṛttya kaṇṭhaṃ vā Par_12.16a	SiraH prAvRttya kaNWam vA Par_12.16a
   śilpinaṃ kārukaṃ śūdraṃ Par_6.16a	Silpinam kArukam SUdram Par_6.16a
   śilpinaḥ kārukā vaidyā Par_3.20a	SilpinaH kArukA vEdyA Par_3.20a
   śivaṃ pūjya viśudhyati Par_6.7d	Sivam pUjya viSuDyati Par_6.7d
   śiśumāraṃ tathā godhāṃ Par_6.10a	SiSumAram taTA goDAm Par_6.10a
   śukapārāvatāv api Par_6.3b	Suka-pArAvatO api Par_6.3b
   śuddhir evam udāhṛtā Par_7.27b	SudDiH evam udAhRtA Par_7.27b
   śuddhir droṇāḍhake bhavet Par_6.72b	SudDiH droNa-AXake Bavet Par_6.72b
   śuddhiṃ samuddharet paścāt Par_7.38c	SudDim samudDaret paScAt Par_7.38c
   śuddhiḥ syāc chūdrasūtake Par_11.17b	SudDiH syAt SUdra-sUtake Par_11.17b
   śuddhyartham aṣṭame caiva Par_4.13a	SudDi-arTam azwame ca-eva Par_4.13a
   śuddhyai cāndrāyaṇaṃ caret Par_10.1d	SudDyE cAndrAyaNam caret Par_10.1d
   śudhyate 'gnyupalekhanaiḥ Par_7.23b	SuDyate agni-upaleKanEH Par_7.23b
   śudhyate naktabhojanāt Par_6.3d	SuDyate naktaBojanAt Par_6.3d
   śudhyate naktabhojanāt Par_6.6d	SuDyate naktaBojanAt Par_6.6d
   śudhyate nātrasaṃśayaḥ Par_11.6d	SuDyate na-atra-saMSayaH Par_11.6d
   śudhyate sa trirātreṇa Par_6.13c	SuDyate sa tri-rAtreNa Par_6.13c
   śudhyanti daśabhiḥ kṣāraiḥ Par_7.24a	SuDyanti daSaBiH kzArEH Par_7.24a
   śudhyanti malinā janāḥ Par_6.62b	SuDyanti malinAH janAH Par_6.62b
   śudhyante brāhmaṇādayaḥ Par_10.40d	SuDyante brAhmaNa-AdayaH Par_10.40d
   śudhyet pārāśaro 'bravīt Par_10.24d	SuDyet pArASaraH abravIt Par_10.24d
   śunā ghrātāvalīḍhasya Par_5.6a	SunA GrAta-avalIXasya Par_5.6a
   śunā tu brāhmaṇī daṣṭā Par_5.7a	SunA tu brAhmaNI dazwA Par_5.7a
   śunā daṣṭaḥ śucir bhavet Par_5.2d	SunA dazwaH SuciH Bavet Par_5.2d
   śunā daṣṭo dvijottamaḥ Par_5.9b	SunA dazwaH dvijottamaH Par_5.9b
   śunā daṣṭo dvijo yadi Par_5.3b	SunA dazwaH dvijaH yadi Par_5.3b
   śunā daṣṭo bhaved dvijaḥ Par_5.5b	SunA dazwaH Bavet dvijaH Par_5.5b
   śunā śūdreṇa vā dvijaḥ Par_7.20d	SunA SUdreNa vA dvijaH Par_7.20d
   śuṣkānnaṃ gorasaṃ snehaṃ Par_11.19a	Suzka-annam gorasam sneham Par_11.19a
   śūdrakanyāsamutpanno Par_11.22a	SUdra-kanyA-samutpannaH Par_11.22a
   śūdraveśmana āgatam Par_11.19b	SUdra-veSmanaH Agatam Par_11.19b
   śūdraś cāṇḍālatāṃ vrajet Par_1.67d	SUdraH cANxAla-tAm vrajet Par_1.67d
   śūdraś caiva pramādataḥ Par_6.30d	SUdraH ca-eva pramAdataH Par_6.30d
