   [I. dānapāramitā]	[I. dAna pAramitA]
   kathaṃ svāmiṣu teṣu teṣu karomi mānaṃ na tu dāsabhāvam ||	kaTam svAmizu tezu tezu karomi mAnam na tu dAsa BAvam ||
   yeṣāṃ sukhe yānti mudaṃ munīndrāḥ yeṣāṃ vyathāyāṃ praviśanti manyum |	yezAm suKe yAnti mudam muni indrAH yezAm vyaTAyAm praviSanti manyum |
   tattoṣaṇāt sarvamunīndratuṣṭis tatrāpakāre 'pakṛtaṃ munīnāṃ ||	tad tozaNAt sarva munIndra tuzwiH tatra apakAre apakRtam munInAm ||
   ādīptakāyasya yathā samantān | na sarvakāmair api saumanasyam |	AdIpta kAyasya yaTA samantAn | na sarva kAmEH api sOmanasyam |
   satvavyathāyām api tadvad eva na prītyupāyo 'sti mahākṛpāṇām ||	satva vyaTAyAm api tadvat eva na prIti upAyaH asti mahA kRpANAm ||
   tasmān mayā yajjanaduṣkhanena | duṣkhaṃ kṛtaṃ sarvamahādayānāṃ | tad adya	tasmAt mayA yat jana duzKanena | duzKam kRtam sarva mahA dayAnAm | tat adya
   pāpaṃ pratideśayāmi yatkheditās te munayaḥ kṣamantām ||	pApam pratideSayAmi yat KeditAH te munayaH kzamantAm ||
   ārādhanāyādya tathāgatānāṃ sarvātmanā dāsyam upaimi loke | kurvantu me	ArADanAya adya taTAgatAnAm sarva AtmanA dAsyam upEmi loke | kurvantu me
   mūrdhni padaṃ janaughāḥ nighnantu vā tuṣyatu lokanāthāḥ ||	mUrDni padam jana oGAH niGnantu vA tuzyatu loka nATAH ||
   ātmīkṛtaṃ sarvam idaṃ jagat taiḥ kṛpātmabhir naiva hi saṃśayo 'tra |	AtmIkRtam sarvam idam jagat tEH kRpA AtmaBiH na eva hi saMSayaH atra |
   dṛśyantae ete nanu satvarūpās | tae eva nāthāḥ kim annādaro 'tra ||	dRSyantae ete nanu satva rUpAH | tae eva nATAH kim anna AdaraH atra ||
   tathāgatārādhanam etad eva svārthasya saṃsādhanam etad eva | lokasya	taTAgata ArADanam etat eva sva arTasya saMsADanam etat eva | lokasya
   duṣkhāpaham etad eva tasmān mamāstu vratam etad eva ||	duzKa apaham etat eva tasmAt mama astu vratam etat eva ||
   yathaiko rājapuruṣaḥ pramathnāti mahājanaṃ | vikaroti na śaknoti	yaTA ekaH rAja puruzaH pramaTnAti mahAjanam | vikaroti na Saknoti
   dīrghadarśī mahājanaḥ ||	dIrGadarSI mahAjanaH ||
   yasmān naiva sa ekākī tasya rājabalaṃ balaṃ | tathā na durbalaṃ kaṃcid	yasmAt na eva saH ekAkI tasya rAja balam balam | taTA na durbalam kaMcid 
   aparāddhaṃ vimānayet ||	aparAdDam vimAnayet ||
   yasmān narakapālāś ca kṛpāvantaś ca tadbalaṃ | tasmād ārādhayet satvān	yasmAt naraka pAlAH ca kRpAvantaH ca tat balam | tasmAt ArADayet satvAn
   bhṛtyaś caṇḍanṛpaṃ yathā ||	BRtyaH caNxa nRpam yaTA ||
   kupitaḥ kiṃ nṛpaḥ kuryād yena syān narakavyathā | yatsatvadaurmanasyena	kupitaH kim nRpaH kuryAt yena syAt naraka vyaTA | yat satva dOrmanasyena
   kṛtena hy anubhūyate ||	kRtena hi anuBUyate ||
   tuṣṭaḥ kiṃ nṛpatir dadyād yad buddhatvasamaṃ bhavet | yat	tuzwaH kim nRpatiH dadyAt yat budDa tva samam Bavet | yat 
   satvasaumanasyena kṛtena hy anubhūyate ||	satva sOmanasyena kRtena hi anuBUyate ||
   āstāṃ bhaviṣyadbuddhatvaṃ satvārādhanasaṃbhavaṃ | ihaiva saubhāgyayaśaḥ	AstAm Bavizyat budDa tvam satva ArADana saMBavam | iha eva sOBAgya yaSaH
   sausthityaṃ kiṃ na paśyasi ||	sOsTityam kim na paSyasi ||
   prāsādikatvam ārogyam prāmodyaṃ cirajīvitaṃ | cakravartisukhaṃ sphītaṃ	prAsAdika tvam Arogyam prAmodyam cira jIvitam | cakravarti suKam sPItam
   kṣamī prāpnoti saṃsaran ||	kzamI prApnoti saMsaran ||
   maitrāśayaś ca yat pūjyaḥ satvamāhātmyam eva tat | buddhaprasādād yat	mEtrASayaH ca yat pUjyaH satva mAhAtmyam eva tat | budDa prasAdAt yat 
   puṇyaṃ buddhamāhātmyam eva tat ||	puNyam budDa mAhAtmyam eva tat ||
   ata eva hi candrapradīpasūtre maitrībhāvaphalam udbhāvitam | yāvanti pūjāṃ	atas eva hi candra pradIpa sUtre mEtrI BAva Palam udBAvitam | yAvanti pUjAm
   bahuvidha aprameyāḥ | kṣetraṃ śateṣu niyuta ca bimbareṣū | tāṃ pūja kṛtvā	bahuviDa aprameyAH | kzetram Satezu niyuta ca bimbarezU | tAm pUja kRtvA
   atuliyanāyakānāṃ | saṃkhyākalāpī [doubtful] na bhavati maitracitte ||	atuliya nAyakAnAm | saMKyA kalApI [doubtful] na Bavati mEtra citte ||
   tasmād evaṃvidheṣu mahādakṣiṇīyeṣūnnatiṃ varjayet sadā | eṣā connatir	tasmAt evaMviDezu mahA dakziNIyezu unnatim varjayet sadA | ezA ca unnatiH 
   ayoniśomanaḥkārāt saṃbhavatīti ||	ayoni Soma naH kArAt saMBavati iti ||
   tasyānnavatāre yatnaḥ kāryaḥ | yathoktaṃ ratnameghe | kathaṃ ca kulaputra	tasyAt navatAre yatnaH kAryaH | yaToktam ratna meGe | kaTam ca kula putra
   bodhisatvo 'yoniśomanaḥkārāpagato bhavati | iha bodhisatva ekākī rahogataḥ	boDisatvaH ayoni Soma naH kAra apagataH Bavati | iha boDisatvaH ekAkI rahaH gataH
   pravivekasthito naivaṃ cittam utpādayati | ahaṃ asaṃkīrṇavihārī | ahaṃ	praviveka sTitaH na evam cittam utpAdayati | aham asaMkIrNa vihArI | aham
   pravivekasthitaḥ | ahaṃ pratipannas tāthāgate dharmavinaye | ye tv anye	praviveka sTitaH | aham pratipannaH tATAgate Darma vinaye | ye tu anye
   śramaṇā vā brāhmaṇā vā sarve te saṃkīrṇavihāriṇaḥ | saṃsargabahulā	SramaNAH vA brAhmaNAH vA sarve te saMkIrNa vihAriNaH | saMsarga bahulA
   uddhurās tāthāgatād dharmavinayāt ||	udDurAH tATAgatAt Darma vinayAt ||
   evaṃ hi bodhisatvo 'yoniśomanaḥkārāpagato bhavati ||	evam hi boDisatvaH ayoni Soma naH kAra apagataH Bavati ||
   punar atraivoktam | iha bodhisatvo vīryam ārabhamāṇo na tan mahad vīryam	punar atra eva uktam | iha boDisatvaH vIryam AraBamANaH na tat mahat vIryam
   āsvādayati | na ca tena vīryeṇātmānam utkarṣayati | na parān paṃsayati |	AsvAdayati | na ca tena vIryeNa AtmAnam utkarzayati | na parAn paMsayati |
   tasyaivaṃ bhavati | ko hi nāma saprajñajātīyaḥ svakarmābhiyuktaḥ parāṃś	tasya evam Bavati | kaH hi nAma sa prajQa jAtIyaH sva karma aBiyuktaH parAn= 
   codayet ||	codayet ||
   evaṃ hi bodhisatvo 'nnunnatavīryo bhavati ||	evam hi boDisatvaH annunnata vIryaH Bavati ||
   eṣa tu puṇyarakṣāyāḥ saṃkṣepo yad bodhipariṇāmanā ||	eza tu puNya rakzAyAH saMkzepaH yat boDi pariNAmanAH ||
   tathā hy uktam āryākṣayamatisūtre | na hi bodhipariṇāmitasya	taTA hi uktam Arya akzayam atisUtre | na hi boDi pariNAmitasya
   kuśalamūlasyāntarā kaścit parikṣayo yāvad bodhimaṇḍaniṣadanāt | tad	kuSala mUlasya antarA kaScid parikzayaH yAvat boDimaNxa nizadanAt | tat 
   yathāpi nāma bhadanta śāradvatīputra mahāsamudrapatitasyodakabindor	yaTA api nAma Badanta SAradvatI putra mahA samudra patitasya udaka bindoH 
   nāntarāsti kṣayo yāvan na kalpaparyavasāna | iti ||	na antarA asti kzayaH yAvat na kalpa paryavasAnaH | iti ||
   iti śikṣāsamuccaye bhogapuṇyarakṣā saptamaḥ paricchedaḥ ||	iti SikzAsamuccaye Boga puNya rakzA saptamaH paricCedaH ||
   [VIII. pāpaśodhana]	[VIII. pApa SoDana]
   pāpaśodhanaṃ aṣṭamaḥ paricchedaḥ | uktā trayāṇām apy ātmabhāvādīnāṃ rakṣā	pApa SoDanam azwamaH paricCedaH | uktA trayANAm api Atma BAva AdInAm rakzA
   | śuddhir adhunā vaktavyā | kim artham | śodhitasyātmabhāvasya bhogaḥ	| SudDiH aDunA vaktavyA | kim arTam | SoDitasya Atma BAvasya BogaH
   pathyo bhaviṣyati | samyaksiddhasya bhaktasya niṣkaṇasyeva dehinām ||	paTyaH Bavizyati | samyak sidDasya Baktasya nizkaNasya iva dehinAm ||
   yathoktam āryatathāgataguhyasūtre | yāni ca tāni mahānagareṣu	yaTA uktam Arya taTAgata guhya sUtre | yAni ca tAni mahA nagarezu
   mahāśmaśānāni bhavanty annekaprāṇiśatasahasrākīrṇāni | tatrāpi sa	mahA SmaSAnAni Bavanti anneka prANi Sata sahasra AkIrNAni | tatra api sa
   bodhisatvo mahāsatvo mahāntam ātmabhāvaṃ mṛtaṃ kālagatam upadarśayati |	boDisatvaH mahAsatvaH mahAntam Atma BAvam mRtam kAlagatam upadarSayati |
   tatra te tiryagyonigatāḥ satvā yāvad arthaṃ māṃsaṃ paribhujyāyuḥparyante	tatra te tiryagyoni gatAH satvAH yAvat arTam mAMsam pariBujya AyuH paryante
   mṛtāḥ kālagatāḥ sugatau svargaloke deveṣūpapadyante | sa caiva teṣāṃ hetur	mRtAH kAlagatAH sugatO svarga loke devezu upapadyante | sa ca eva tezAm hetuH 
   bhavati yāvat parinirvāṇāya | yad idaṃ | tasyaiva bodhisatvasya	Bavati yAvat parinirvANAya | yat idam | tasya eva boDisatvasya
   pūrvapraṇidhānapariśuddhyā | yena dīrgharātram evaṃ praṇidhānaṃ kṛtaṃ | ye	pUrva praNiDAna pariSudDyA | yena dIrGarAtram evam praNiDAnam kRtam | ye
   me mṛtasya kālagatasya māṃsaṃ paribhuñjīran | sa eva teṣāṃ hetur bhavet	me mRtasya kAlagatasya mAMsam pariBuQjIran | saH eva tezAm hetuH Bavet 
   svargotpattaye yāvat parinirvāṇāya tasya śīlavataḥ | ṛdhyati cetanā |	svarga utpattaye yAvat parinirvANAya tasya SIlavataH | RDyati cetanA |
   ṛdhyati prārthanā | ṛdhyati praṇidhānam iti ||	RDyati prArTanA | RDyati praNiDAnam iti ||
   punar atraivoktaṃ | sa dharmakāyaprabhāvito darśanenāpi satvānām arthaṃ	punar atra eva uktam | sa Darma kAya praBAvitaH darSanena api satvAnAm arTam
   karoti | śravaṇenāpi sparśanenāpi satvānām arthaṃ karoti | tad yathāpi	karoti | SravaNena api sparSanena api satvAnAm arTam karoti | tat yaTA api
   nāma śāntamate jīvakena vaidyarājena sarvabhaiṣajyāni samudānīya	nAma SAnta mate jIvakena vEdya rAjena sarva BEzajyAni samudAnIya
   bhaiṣajyatarusaṃhātam ayaṃ dārikārūpaṃ kṛtaṃ prāsādikaṃ darśanīyaṃ sukṛtaṃ	BEzajya taru saMhAtam ayam dArikA rUpam kRtam prAsAdikam darSanIyam sukRtam
   suniṣṭhitaṃ suparikarmakṛtaṃ | sāgacchati gacchati tiṣṭhati niṣīdati	su nizWitam su parikarma kRtam | sA AgacCati gacCati tizWati nizIdati
   śayyāṃ ca kalpayati | tatra ye āgacchanty āturā mahātmāno rājāno vā	SayyAm ca kalpayati | tatra ye AgacCanti AturAH mahAtmAnaH rAjAnaH vA
   rājamātrā vā śreṣṭhigṛhapatyamātyakoṭṭarājāno vā | tān sa jīvako	rAjamAtrA vA SrezWi gRhapati amAtya kowwa rAjAnaH vA | tAn sa jIvakaH 
   vaidyarājas tayā bhaiṣajyadārikayā sārddhaṃ saṃyojayati | teṣāṃ	vEdya rAjaH tayA BEzajya dArikayA sArdDam saMyojayati | tezAm
   samanantarasaṃyogam āpannānāṃ sarvavyādhayaḥ prasrabhyante 'rāgāś ca	samanantara saMyogam ApannAnAm sarva vyADayaH prasraByante arAgAH ca
   bhavanti sukhino nirvikārāḥ | paśya śāntamate jīvakasya vaidyarājasya	Bavanti suKinaH nirvikArAH | paSya SAnta mate jIvakasya vEdya rAjasya
   laukikavyādhicikitsājñānaṃ yady anyeṣāṃ vaidyānāṃ saṃvidyate | evam eva	lOkika vyADi cikitsA jQAnam yadi anyezAm vEdyAnAm saMvidyate | evam eva
   śāntamate tasya dharmakāyaprabhāvitasya bodhisatvasya yāvantaḥ satvāḥ	SAnta mate tasya Darma kAya praBAvitasya boDisatvasya yAvantaH satvAH
   strīpuruṣadārakadārikā rāgadoṣamohasaṃtaptāḥ kāyaṃ spṛśanti | teṣāṃ	strI puruza dAraka dArikAH rAga doza moha saMtaptAH kAyam spRSanti | tezAm
   saṃspṛṣṭamātrāṇāṃ sarvakleśāḥ prasrabhyante vigatasaṃtāpaṃ ca kāyaṃ	saMspRzwa mAtrANAm sarva kleSAH prasraByante vigata saMtApam ca kAyam
   saṃjānanti ||	saMjAnanti ||
   yad idaṃ tasyaiva bodhisatvasya pūrvapraṇidhānasupariśuddhatvāt |	yat idam tasya eva boDisatvasya pUrva praNiDAna su pariSudDa tvAt |
   etadartham ātmabhāvaḥ śodhyaḥ ||	etad arTam Atma BAvaH SoDyaH ||
   kiṃ ca aśodhane doṣam āha |tṛṇachannaṃ yathā śasyaṃ rogaiḥ sīdati naidhate	kim ca aSoDane dozam Aha |tRNa Cannam yaTA Sasyam rogEH sIdati na eDate
   | buddhāṅkuras tathā vṛddhiṃ kleśachanno na gacchati ||	| budDa aFkuraH taTA vRdDim kleSa CannaH na gacCati ||
   pratipakṣanirāsena vṛddhyarthaṃ cety abhiprāyaḥ ||	pratipakza nirAsena vRdDi arTam ca iti aBiprAyaH ||
   ātmabhāvasya kā śuddhiḥ | pāpakleśaviśodhanaṃ | saṃbuddhoktyarthasāreṇa |	Atma BAvasya kA SudDiH | pApa kleSa viSoDanam | saMbudDa ukti arTa sAreNa |
   yatnābhāve tv apāyagaḥ ||	yatna aBAve tu apAya gaH ||
   tatra pāpaśodhanaṃ caturdharmakasūtre deśitaṃ | caturbhir maitreya	tatra pApa SoDanam caturDarmaka sUtre deSitam | caturBiH mEtreya
   dharmaiḥ samanvāgato bodhisatvo mahāsatvaḥ kṛtopacitaṃ pāpam abhibhavati |	DarmEH samanvAgataH boDisatvaH mahAsatvaH kRta upacitam pApam aBiBavati |
   katamaiś caturbhiḥ | yad uta | vidūṣaṇāsamudācāreṇa pratipakṣasamudācāreṇa	katamEH caturBiH | yat uta | vidUzaNa asamudAcAreNa pratipakza samudAcAreNa
   | pratyāpattibalena | āśrayabalena ca ||	| pratyApatti balena | ASraya balena ca ||
   tatra vidūṣaṇāsamudācāro 'kuśalaṃ karmādhyacārati tatra tatraiva ca	tatra vidUzaNa asamudAcAraH akuSalam karma aDyacArati tatra tatra eva ca
   vipratisārabahulī bhavati ||	vipratisAra bahulI Bavati ||
   tatra pratipakṣasamudācāraḥ kṛtvāpy akuśalaṃ karma kuśale karmaṇy	tatra pratipakza samudAcAraH kRtvA api akuSalam karma kuSale karmaNi 
   atyarthābhiyogaṃ gataḥ ||	atyarTa aBiyogam gataH ||
   pratyāpattibalaṃ saṃvarasamādānād akaraṇasaṃvaralābhaḥ ||	pratyApatti balam saMvara samAdAnAt akaraNa saMvara lABaH ||
   tatrāśrayabalaṃ buddhadharmasaṃghaśaraṇagamanam annutsṛṣṭabodhicittatā ca	tatra ASraya balam budDa Darma saMGa SaraNa gamanam annutsRzwa boDi citta tA ca
   | subalavatsaṃniśrayeṇa na śakyate pāpenābhibhavituṃ | ebhir maitreya	| subalavat saMniSrayeNa na Sakyate pApena aBiBavitum | eBiH mEtreya
   caturbhir dharmaiḥ samanvāgato bodhisatvo mahāsatvaḥ kṛtopacitaṃ pāpam	caturBiH DarmEH samanvAgataH boDisatvaH mahAsatvaH kRta upacitam pApam
   abhibhavatīti ||	aBiBavati iti ||
   tatra kathaṃ vidūṣaṇāsamudācāro bhāvayitavyaḥ | yathā	tatra kaTam vidUzaNa asamudAcAraH BAvayitavyaH | yaTA
   suvarṇaprabhāsottamasūtre 'bhihitaṃ ||	suvarNa praBAsA uttama sUtre aBihitam ||
   samanvāharantu māṃ buddhāḥ kṛpākāruṇyacetasaḥ | ye ca daśadiśi loke	samanvAharantu mAm budDAH kRpA kAruNya cetasaH | ye ca daSa diSi loke
   tiṣṭhanti dvipadottamāḥ ||	tizWanti dvipada uttamAH ||
   yac ca me pāpakaṃ karma kṛtaṃ pūrvaṃ sudāruṇaṃ | tat sarvaṃ deśayiṣyāmi	yat ca me pApakam karma kRtam pUrvam su dAruNam | tat sarvam deSayizyAmi
   sthito daśabalāgrataḥ ||	sTitaH daSa bala agratas ||
   mātāpitṝn ajānatā buddhānām aprajānatā | kuśalaṃ cāprajānatā yat tu pāpaṃ	mAtA pitLn ajAnatA budDAnAm aprajAnatA | kuSalam ca aprajAnatA yat tu pApam
   kṛtaṃ mayā ||	kRtam mayA ||
   aiśvaryamadamattena kulabhogamadena ca | tāruṇyamadamattena yat tu pāpaṃ	ESvarya mada mattena kula Boga madena ca | tAruNya mada mattena yat tu pApam
   kṛtaṃ mayā ||	kRtam mayA ||
   duścintitaṃ duruktaṃ ca duṣkṛtenāpi karmaṇā | annādīnavadarśinā yat tu	duScintitam duruktam ca duzkRtena api karmaNA | anna AdIn ava darSinA yat tu
   pāpaṃ kṛtaṃ mayā ||	pApam kRtam mayA ||
   bālabuddhipracāreṇa ajñānāvṛtacetasā | pāpamitravaśāc caiva	bAla budDi pracAreNa ajQAna AvRta cetasA | pApa mitra vaSAt ca eva
   kleśavyākulacetasā ||	kleSa vyAkula cetasA ||
   krīḍārativaśāc caiva śokarogavaśena vā | atṛptadhanadoṣeṇa yat tu pāpaṃ	krIxA arati vaSAt ca eva Soka roga vaSena vA | atRpta Dana dozeNa yat tu pApam
   kṛtaṃ mayā ||	kRtam mayA ||
   annāryajanasaṃsargair īrṣyāmātsaryahetunā | śāṭhyadāridryadoṣeṇa yat tu	anna Arya jana saMsargEH IrzyA mAtsarya hetunA | SAWya dAridrya dozeNa yat tu
   pāpaṃ kṛtaṃ mayā ||	pApam kRtam mayA ||
   vyasanāgamakāle 'smin kāmānāṃ bhayahetunā | annaiśvaryagatenāpi yat tu	vyasana Agama kAle asmin kAmAnAm Baya hetunA | anna ESvarya gatena api yat tu
   pāpaṃ kṛtaṃ mayā ||	pApam kRtam mayA ||
   calacittavaśenaiva kāmakrodhavaśena vā | kṣutpipāsārditenāpi yat tu pāpaṃ	cala citta vaSena eva kAma kroDa vaSena vA | kzuD pipAsA arditena api yat tu pApam
   kṛtaṃ mayā ||	kRtam mayA ||
   pānārthaṃ bhojanārthaṃ ca vastrārthaṃ strīṣu hetunā | vicitraiḥ	pAna arTam Bojana arTam ca vastra arTam strIzu hetunA | vicitrEH
   kleśasaṃtāpair yat tu pāpaṃ kṛtaṃ mayā ||	kleSa saMtApEH yat tu pApam kRtam mayA ||
   kāyavāṅmanasāṃ pāpaṃ tridhā duścaritaṃ cittaṃ | yat kṛtam īdṛśai rūpais	kAya vAc manasAm pApam triDA duScaritam cittam | yat kRtam IdRSEH rUpEH 
   tat sarvaṃ deśayāmy aham ||	tat sarvam deSayAmi aham ||
   yat tu buddheṣu dharmeṣu śrāvakeṣu tathaiva ca | agauravaṃ kṛtaṃ syād dhi	yat tu budDezu Darmezu SrAvakezu taTA eva ca | agOravam kRtam syAt Di
   tat sarvaṃ deśayāmy aham ||	tat sarvam deSayAmi aham ||
   yat tu pratyekabuddheṣu bodhisatveṣu vā punaḥ |agauravaṃ kṛtaṃ syād dhi	yat tu pratyekabudDezu boDisatvezu vA punar |a gOravam kRtam syAt Di
   tat srvaṃ deśayāmy aham ||	tat srvam deSayAmi aham ||
   saddharmabhāṇakeṣv eva anyeṣu guṇavatsu vā | agauravaṃ kṛtaṃ syād dhi tat	sat Darma BANakezu eva anyezu guNavatsu vA | agOravam kRtam syAt Di tat 
   sarvaṃ deśayāmy aham ||	sarvam deSayAmi aham ||
   saddharmaḥ pratikṣiptaḥ syād ajñānaṃ tena me sadā | mātāpitṛṣv agauravaṃ	sadDarmaH pratikziptaH syAt ajQAnam tena me sadA | mAtA pitRzu agOravam
   tat sarvaṃ deśayāmy aham ||	tat sarvam deSayAmi aham ||
   mūrkhatvena bālatvena mānadarpāvṛtena ca | rāgadveṣeṇa mohena tat sarvaṃ	mUrKa tvena bAla tvena mAna darpa AvRtena ca | rAga dvezeNa mohena tat sarvam
   deśayāmy aham ||	deSayAmi aham ||
   vyavalokayantu māṃ buddhāḥ samanvāhṛtacetasaḥ | atyayaṃ pratigṛhṇantu	vyavalokayantu mAm budDAH samanvAhRta cetasaH | atyayam pratigRhNantu
   kāruṇyārpitacetasaḥ ||	kAruNya arpita cetasaH ||
   yat tu pāpaṃ kṛtaṃ pūrvaṃ mayā kalpaśateṣu ca | tasyārthaṃ śokacitto 'haṃ	yat tu pApam kRtam pUrvam mayA kalpa Satezu ca | tasya arTam Soka cittaH aham
   krpaṇīyo bhayārditaḥ ||	krpaNIyaH Baya arditaH ||
   bhavāmi pāpakarmāṇāṃ satataṃ dīnamānasaḥ | yatra yatra cariṣyāmi na cāsti	BavAmi pApa karmANAm satatam dIna mAnasaH | yatra yatra carizyAmi na ca asti
   me balaṃ kvacit ||	me balam kvacid ||
   sarve kāruṇikā buddhāḥ sarve bhayaharā jage | atyayaṃ pratigṛhṇantu	sarve kAruNikAH budDAH sarve Baya harAH jage | atyayam pratigRhNantu
   mocayantu ca māṃ bhayāt ||	mocayantu ca mAm BayAt ||
   kleśakarmaphalaṃ mahyaṃ pravāhayantu tathāgatāḥ | snāpayantu ca māṃ	kleSa karma Palam mahyam pravAhayantu taTAgatAH | snApayantu ca mAm
   buddhāḥ kāruṇyasaritodakaiḥ ||	budDAH kAruNya sarita udakEH ||
   sarvaṃ pāpaṃ deśayāmi yat tu pūrvaṃ kṛtaṃ mayā | yac ca etarhi me pāpaṃ	sarvam pApam deSayAmi yat tu pUrvam kRtam mayA | yat ca etarhi me pApam
   tat sarvaṃ deśayāmy aham ||	tat sarvam deSayAmi aham ||
   āyatyāṃ saṃvaram āpadye sarvaduṣkṛtakarmaṇām | na chādayāmi tat pāpaṃ yad	AyatyAm saMvaram Apadye sarva duzkRta karmaNAm | na CAdayAmi tat pApam yat 
   bhaven mama duṣkṛtam ||	Bavet mama duzkRtam ||
   trividhaṃ kāyikaṃ karma vacasā ca caturvidham | manasā triprakāreṇa tat	triviDam kAyikam karma vacasA ca caturviDam | manasA tri prakAreNa tat 
   sarvaṃ deśayāmy aham ||	sarvam deSayAmi aham ||
   kāyakṛtaṃ vācakṛtaṃ manasā ca vicintitaṃ | kṛtaṃ daśavidhaṃ karma tat	kAya kRtam vAca kRtam manasA ca vicintitam | kRtam daSaviDam karma tat 
   sarvaṃ deśayāmy aham ||	sarvam deSayAmi aham ||
   yac ca me pāpakaṃ karma anniṣṭaphaladāyakaṃ | tat sarvaṃ deśayiṣyāmi	yat ca me pApakam karma annizwa Pala dAyakam | tat sarvam deSayizyAmi
   buddhānāṃ purataḥ sthitaḥ ||	budDAnAm puratas sTitaH ||
   bhavagatisaṃkaṭe bālabuddhinā pāpaṃ yan me kṛtaṃ sudāruṇam | daśabalam	Bava gati saMkawe bAla budDinA pApam yat me kRtam su dAruNam | daSa balam
   agrataḥ sthitaḥ tat sarvaṃ pāpaṃ pratideśayāmi | deśayāmi ca tat pāpaṃ yan	agratas sTitaH tat sarvam pApam pratideSayAmi | deSayAmi ca tat pApam yat 
   mayā saṃcitaṃ janmasaṃkaṭe vividhaiḥ kāyapracārasaṃkaṭair	mayA saMcitam janma saMkawe viviDEH kAya pracAra saMkawEH 
   bhavasaṃkaṭalokasaṃkaṭe cāpalacalacittasaṃkaṭe mūrkhabālakṛtakleśasaṃkaṭe	Bava saMkawa loka saMkawe cApala cala citta saMkawe mUrKa bAla kRta kleSa saMkawe
   | pāpamitrāgamasaṃkaṭe ca | bhayasaṃkaṭarāgasaṃkaṭe doṣamohatamasaṃkaṭair	| pApa mitra Agama saMkawe ca | Baya saMkawa rAga saMkawe doza mohatama saMkawEH 
