   akalādhipabhṛtyadarśitaṃ BhKir_3.59a	akala-aDipa-BRtya-darSitam BhKiH-_3.59a
   bhūtānām anabhidruhaḥ BhKir_11.16d	BUtAnAm anaBidruhaH BhKiH-_11.16d
   bhūtāni bhartrā dhanur antakasya BhKir_17.24b	BUtAni BartrA DanuH antakasya BhKiH-_17.24b
   bhūdharasthiram upeyam āgataṃ BhKir_13.53c	BUDara-sTiram upeyam Agatam BhKiH-_13.53c
   bhūpatiḥ samayasetuvāritaḥ BhKir_13.70d	BUpatiH samaya-setu-vAritaH BhKiH-_13.70d
   bhūbhartuḥ śirasi nabhonadīva reje BhKir_7.18d	BUBartuH Sirasi naBaH-nadI-iva reje BhKiH-_7.18d
   bhūbhartuḥ samadhikam ādadhe tadorvyāḥ BhKir_7.27a	BUBartuH samaDikam AdaDe tadA-urvyAH BhKiH-_7.27a
   bhūyate bhartur ājñayā BhKir_11.75d	BUyate BartuH AjQayA BhKiH-_11.75d
   bhūyaḥ samādhānavivṛddhatejā BhKir_17.7a	BUyas samADAna-vivRdDa-tejAH BhKiH-_17.7a
   bhūri durgatibhayaṃ bhuvanānām BhKir_18.30b	BUri durgati-Bayam BuvanAnAm BhKiH-_18.30b
   bhūridhāma vimalaṃ tapaḥ śrutam BhKir_13.37b	BUri-DAma vimalam tapaH Srutam BhKiH-_13.37b
   bhūriprabhāveṇa raṇābhiyogāt BhKir_17.2a	BUri-praBAveNa raNa-aBiyogAt BhKiH-_17.2a
   bhūruhān mṛdukarair avalambya BhKir_9.7b	BUruhAt mRdu-karEH avalambya BhKiH-_9.7b
   bhūreṇunā rāsabhadhūsareṇa BhKir_16.7a	BU-reNunA rAsaBa-DUsareNa BhKiH-_16.7a
   bhūṣitair api vibhūṣaṇam īṣe BhKir_9.34d	BUzitEH api viBUzaNam Ize BhKiH-_9.34d
   bhūṣitaiva rajanī himabhāsā BhKir_9.25d	BUzitA-eva rajanI hima-BAsA BhKiH-_9.25d
   bhṛśakusumaśareṣupātamohād BhKir_10.61a	BRSa-kusuma-Sara-izu-pAta-mohAt BhKiH-_10.61a
   bhṛśam aratim avāpya tatra cāsyās BhKir_10.49c	BRSam aratim avApya tatra ca-asyAH BhKiH-_10.49c
   bhṛśam asmai raṇavegaśāline BhKir_15.48b	BRSam asmE raNa-vega-SAline BhKiH-_15.48b
   bhṛśam āyāmiyāmāsu BhKir_11.48c	BRSam AyAmi-yAmAsu BhKiH-_11.48c
   bhṛśam ārādhane yattaḥ BhKir_11.46c	BRSam ArADane yattaH BhKiH-_11.46c
   bhṛśam āsevitayā ruṣā na muktaḥ BhKir_13.5b	BRSam AsevitayA ruzA na muktaH BhKiH-_13.5b
   bhṛśarayā iva sahyamahībhṛtaḥ BhKir_18.5c	BRSa-rayAH iva sahya-mahIBRtaH BhKiH-_18.5c
   bhṛśaṃ dadarśāśramamaṇḍapopamāḥ BhKir_4.19c	BRSam dadarSa-ASrama-maNxapa-upamAH BhKiH-_4.19c
   bhṛśaṃ nṛpopāyanadantināṃ madaḥ BhKir_1.16d	BRSam nRpa-upAyana-dantinAm madaH BhKiH-_1.16d
   bhṛśaṃ babhūvopacito bṛhatphalaiḥ BhKir_14.52c	BRSam baBUva-upacitaH bRhat-PalEH BhKiH-_14.52c
   bhṛśādhirūḍhasya samañjasaṃ janam BhKir_14.12b	BRSa-aDirUXasya samaQjasam janam BhKiH-_14.12b
   bheje diśaḥ parityakta- BhKir_15.1c	Beje diSaH parityakta BhKiH-_15.1c
   bhedaṃ yayav ākṛtir īśvarasya BhKir_17.22b	Bedam yayau AkRtiH ISvarasya BhKiH-_17.22b
   bhogān bhogān ivāheyān BhKir_11.23c	BogAn BogAn iva-AheyAn BhKiH-_11.23c
   bhogaiḥ praśastāsitaratnanīlaiḥ BhKir_16.38b	BogEH praSasta-asita-ratna-nIlEH BhKiH-_16.38b
   bhrātur jyeṣṭhasya śāsane BhKir_11.45d	BrAtuH jyezWasya SAsane BhKiH-_11.45d
   bhrūbhedarekhāḥ sa babhāra tisraḥ BhKir_17.9b	BrU-Beda-reKAH sa baBAra tisraH BhKiH-_17.9b
   bhrūvilāsasubhagān anukartuṃ BhKir_9.56a	BrU-vilAsa-suBagAn anukartum BhKiH-_9.56a
   makheṣv akhinno 'numataḥ purodhasā BhKir_1.22c	maKezu aKinnaH anumataH puroDasA BhKiH-_1.22c
   magnāṃ dviṣacchadmani paṅkabhūte BhKir_3.39a	magnAm dvizat-Cadmani paFka-BUte BhKiH-_3.39a
   maṇijālam ambhasi nimagnam api BhKir_6.9c	maNi-jAlam amBasi nimagnam api BhKiH-_6.9c
   maṇimayūkhacayāṃśukabhāsurāḥ BhKir_5.5a	maNi-mayUKa-caya-aMSuka-BAsurAH BhKiH-_5.5a
   maṇḍanaṃ lulitamaṇḍanataiva BhKir_9.41d	maNxanam lulita-maNxana-tA-eva BhKiH-_9.41d
   maṇḍalaṃ bhuva ivādivarāhaḥ BhKir_9.22d	maNxalam BuvaH iva-AdivarAhaH BhKiH-_9.22d
   maṇḍalīkṛtapṛthustanabhāraṃ BhKir_9.48c	maNxalIkRta-pRTu-stana-BAram BhKiH-_9.48c
   mataṅgajasyeva nagāśmarandhre BhKir_17.36d	mataFga-jasya-iva naga-aSma-ranDre BhKiH-_17.36d
   mataṅgajena srag ivāpavarjitā BhKir_1.29d	mataFga-jena sraj iva-apavarjitAH BhKiH-_1.29d
   matam ālambanam ātmapauruṣam BhKir_2.13d	matam Alambanam Atma-pOruzam BhKiH-_2.13d
   matam eṣāṃ na vilaṅghayanti ye BhKir_2.45b	matam ezAm na vilaFGayanti ye BhKiH-_2.45b
   matā phalavato 'vato rasaparā BhKir_5.27c	matA PalavataH avataH rasa-parA BhKiH-_5.27c
   matibhedatamastirohite BhKir_2.33a	mati-Beda-tamaH-ti-rohite BhKiH-_2.33a
   matimān vinayapramāthinaḥ BhKir_2.52a	matimAn vinaya-pramATinaH BhKiH-_2.52a
   matir ādarśa ivābhidṛśyate BhKir_2.26d	matiH AdarSaH iva-aBidRSyate BhKiH-_2.26d
   mattamatta iva vibhramam āpa BhKir_9.72d	matta-mattaH iva viBramam Apa BhKiH-_9.72d
   mathitāmbhaso rayavikīrṇa- BhKir_12.51a	maTita-amBasaH raya-vikIrNa BhKiH-_12.51a
   madagandham utthitavatāṃ payasaḥ BhKir_6.14b	mada-ganDam utTitavatAm payasaH BhKiH-_6.14b
   madanam upadadhe sa eva tāsāṃ BhKir_10.40c	madanam upadaDe saH eva tAsAm BhKiH-_10.40c
   madamadhure ca śikhaṇḍināṃ nināde BhKir_10.23b	mada-maDure ca SiKaNxinAm ninAde BhKiH-_10.23b
   madamānasamuddhataṃ nṛpaṃ BhKir_2.49a	mada-mAna-samudDatam nRpam BhKiH-_2.49a
   madam uttambhayituṃ vibhūtayaḥ BhKir_2.48d	madam uttamBayitum viBUtayaH BhKiH-_2.48d
   madasiktamukhair mṛgādhipaḥ BhKir_2.18a	mada-sikta-muKEH mRgADipaH BhKiH-_2.18a
   madasrutikṣāmam ivaikavāraṇam BhKir_14.35b	mada-sruti-kzAmam iva-eka-vAraNam BhKiH-_14.35b
   madasrutiśyāmitagaṇḍalekhāḥ BhKir_16.2a	mad-a-sruti-SyAmita-gaNxa-leKAH BhKiH-_16.2a
   madād iva praskhalataḥ pade pade BhKir_8.22d	madAt iva prasKalataH pade pade BhKiH-_8.22d
   madupāsanaṃ vihitavān mahat tapaḥ BhKir_12.34d	mad-upAsanam vihitavAn mahat tapaH BhKiH-_12.34d
   madena mīlannayanāḥ salīlaṃ BhKir_16.30c	madena mIlat-nayanAH sa-lIlam BhKiH-_16.30c
   madoddhateneva hitaṃ priyaṃ vacaḥ BhKir_14.63b	mada-udDatena-iva hitam priyam vacaH BhKiH-_14.63b
   madhurair avaśāni lambhayann BhKir_2.55a	maDurEH avaSAni lamBayan BhKiH-_2.55a
   madhusurabhiṇi ṣaṭpadena puṣpe BhKir_10.34c	maDu-suraBiNi zawpadena puzpe BhKiH-_10.34c
   madhyamopalanibhe lasadaṃśāv BhKir_9.2a	maDyama-upala-niBe lasat-aMSO BhKiH-_9.2a
   madhye 'py ahnaḥ sphaṭikarajatabhitticchāyā BhKir_5.31d	maDye api ahnaH sPawika-rajata-Bitti=-CAyA BhKiH-_5.31d
   manasaḥ kṣobham upāttaraṃhasaḥ BhKir_2.40b	manasaH kzoBam upAtta-raMhasaH BhKiH-_2.40b
   manasaḥ prasattim iva mūrdhni gireḥ BhKir_6.17c	manasaH prasattim iva mUrDni gireH BhKiH-_6.17c
   manasaḥ priyaṃ priyasutasya tapaḥ BhKir_6.38b	manasaH priyam priya-sutasya tapaH BhKiH-_6.38b
   manasā japaiḥ praṇatibhiḥ prayataḥ BhKir_6.22a	manasA japEH praNatiBiH prayataH BhKiH-_6.22a
   manasijajaitraśaraṃ vilocanārdham BhKir_10.52d	manasija-jEtra-Saram vilocana-arDam BhKiH-_10.52d
   manasīmaṃ muhur ādade vitarkam BhKir_13.2d	manasi-imam muhur Adade vitarkam BhKiH-_13.2d
   manaso 'py āśutaraṃ yataḥ piśaṅgaiḥ BhKir_13.22b	manasaH api ASutaram yatas piSaFgEH BhKiH-_13.22b
   manaḥprasādāñjalinā nikāmaṃ BhKir_3.37c	manaH-prasAda-aQjalinA nikAmam BhKiH-_3.37c
   manaḥśilābhaṅganibhena paścān BhKir_16.45a	manaHSilA-BaFga-niBena paScAn BhKiH-_16.45a
   manaḥ samādhāya jayopapattau BhKir_3.10b	manaH samADAya jaya-upapattO BhKiH-_3.10b
   manāṃsi ca manasvinām BhKir_11.54d	manAMsi ca manasvinAm BhKiH-_11.54d
   manāṃsi jahruḥ surarājayoṣitām BhKir_8.12b	manAMsi jahruH surarAja-yozitAm BhKiH-_8.12b
   manuṣyabhāve puruṣaṃ purātanaṃ BhKir_14.41c	manuzya-BAve puruzam purAtanam BhKiH-_14.41c
   manuṣyasaṃkhyām ativartituṃ vā BhKir_3.40b	manuzya-saMKyAm ativartitum vA BhKiH-_3.40b
   manogataṃ vāci niveśayanti ye BhKir_14.4b	manogatam vAci niveSayanti ye BhKiH-_14.4b
   manodhināthasya manaḥ samādade BhKir_8.18d	manoDinATasya manaH samAdade BhKiH-_8.18d
   mano bhayaikapravaṇaṃ sa bhīṣmaḥ BhKir_3.19d	manaH Baya-eka-pravaNam sa BIzmaH BhKiH-_3.19d
   manobhiḥ sodvegaiḥ praṇayavihataidhvastarucayaḥ BhKir_10.63c	manoBiH sa-udvegEH praNaya-vihata-eDvastarucayaH BhKiH-_10.63c
   manobhuvā tapta ivābhipāṇḍutām BhKir_4.34d	manoBuvA taptaH iva-aBipANxu-tAm BhKiH-_4.34d
   manorathān naḥ saphalīkuruṣva BhKir_3.54b	manoraTAn naH saPalIkuruzva BhKiH-_3.54b
   manoramaṃ nṛtyam iva pravepitam BhKir_8.43d	manoramam nRtyam iva pravepitam BhKiH-_8.43d
   manoramaṃ prāpitam antaraṃ bhruvor BhKir_4.7a	manoramam prApitam antaram BruvoH BhKiH-_4.7a
   manoramām ātmavadhūm iva śriyam BhKir_1.31d	manoramAm Atma-vaDUm iva Sriyam BhKiH-_1.31d
   mano 'sya jahruḥ śapharīvivṛttayaḥ BhKir_4.3d	manaH asya jahruH SaParI-vivRttayaH BhKiH-_4.3d
   manoharocchāyanitambaśobhayā BhKir_8.23b	manohara-ucCAya-nitamba-SoBayA BhKiH-_8.23b
   mantreṇa tārkṣyodayakāraṇena BhKir_16.42b	mantreNa tArkzya-udaya-kAraNena BhKiH-_16.42b
   mandamandam uditaḥ prayayau khaṃ BhKir_9.26c	manda-mandam uditaH prayayO Kam BhKiH-_9.26c
   mandam asyann iṣulatāṃ BhKir_15.13a	mandam asyan izu-la-tAm BhKiH-_15.13a
   mandam evānviyāya saḥ BhKir_15.6b	mandam eva-anviyAya saH BhKiH-_15.6b
   mandāramālā viralīkaroti BhKir_16.11d	mandAra-mAlA viralIkaroti BhKiH-_16.11d
   manmathasya lasadaṃśujalaughaḥ BhKir_9.32b	manmaTasya lasat-aMSu-jala-oGaH BhKiH-_9.32b
   manmathena pariluptamatīnāṃ BhKir_9.37c	manmaTena parilupta-matInAm BhKiH-_9.37c
   manmatho madhumadaḥ śaśibhāsaḥ BhKir_9.71b	manmaTaH maDumadaH SaSi-BAsaH BhKiH-_9.71b
   mamaivādhyeti nṛpatis BhKir_11.74c	mama-eva-aDyeti nRpatiH BhKiH-_11.74c
   mayā mṛgān hantur anena hetunā BhKir_14.25a	mayA mRgAn hantuH anena hetunA BhKiH-_14.25a
   mayi tāṃ sutarām ayaṃ vidhatte BhKir_13.4c	mayi tAm sutarAm ayam viDatte BhKiH-_13.4c
   marutaḥ kopaparītamānasam BhKir_2.25b	marutaH kopa-parIta-mAnasam BhKiH-_2.25b
   marutaḥ śivā navatṛṇā jagatī BhKir_6.33a	marutaH SivA nava-tRNA jagatI BhKiH-_6.33a
   marutāṃ patiḥ svid ahimāṃśur BhKir_12.15a	marutAm patiH svid ahimAMSuH BhKiH-_12.15a
   marudupasukhayāṃbabhūveśvaram BhKir_18.20d	marut-upasuKayAMbaBUva-ISvaram BhKiH-_18.20d
   marmacchidā no vacasā BhKir_11.49c	marma=-CidA naH vacasA BhKiH-_11.49c
   malinayati sma vinīlabandhanāni BhKir_10.26d	malinayati sma vinIla-banDanAni BhKiH-_10.26d
   mahatā mayūkhanicayena BhKir_12.13a	mahatA mayUKa-nicayena BhKiH-_12.13a
   mahatāṃ kena tuṅgatā BhKir_11.60d	mahatAm kena tuFga-tA BhKiH-_11.60d
   mahatāṃ hi dhairyam avibhāvyavaibhavam BhKir_12.3d	mahatAm hi DEryam aviBAvya-vEBavam BhKiH-_12.3d
   mahatī vanecaracamūr vinirmame BhKir_12.43d	mahatI vanecara-camUH vinirmame BhKiH-_12.43d
   mahate jayāya maghavann anaghaḥ BhKir_6.31c	mahate jayAya maGavan anaGaH BhKiH-_6.31c
   mahate phalāya tad avekṣya śivaṃ BhKir_6.28a	mahate PalAya tat avekzya Sivam BhKiH-_6.28a
   mahate rujann api guṇāya mahān BhKir_6.7d	mahate rujan api guNAya mahAn BhKiH-_6.7d
   mahato 'bhrād iva vaidyutaḥ kṛśānuḥ BhKir_13.20d	mahataH aBrAt iva vEdyutaH kRSAnuH BhKiH-_13.20d
   mahattvayogāya mahāmahimnām BhKir_3.23a	mahat-tva-yogAya mahA-mahimnAm BhKiH-_3.23a
   maharṣabhaskandham anūnakaṃdharaṃ BhKir_14.40a	mahA-RzaBa-skanDam anUna-kaMDaram BhKiH-_14.40a
   maharṣiṇā tena tirobabhūve BhKir_3.30b	mahA-RziNA tena tirobaBUve BhKiH-_3.30b
   maharṣisaṃghair bubudhe dhanaṃjayaḥ BhKir_15.51d	mahA-Rzi-saMGEH bubuDe DanaMjayaH BhKiH-_15.51d
   mahasā gotrabhidāyudhakṣatīḥ BhKir_3.58b	mahasA gotra-Bid-AyuDa-kzatIH BhKiH-_3.58b
   mahādhvare vidhyapacāradoṣaḥ BhKir_16.48c	mahA-aDvare viDi-apacAra-dozaH BhKiH-_16.48c
   mahānale bhinnasitābhrapātibhiḥ BhKir_16.57a	mahA-anale Binna-sita-aBra-pAtiBiH BhKiH-_16.57a
   mahānileneva nidāghajaṃ rajaḥ BhKir_14.59d	mahA-anilena-iva nidAGa-jam rajaH BhKiH-_14.59d
   mahāniveśau paritaḥ payodharau BhKir_4.8b	mahA-niveSO paritas payoDarO BhKiH-_4.8b
   mahānubhāvaḥ pratihanti pauruṣam BhKir_14.43d	mahA-anuBAvaH pratihanti pOruzam BhKiH-_14.43d
   mahāpakārāya ripor vivṛddhiḥ BhKir_16.24d	mahA-apakArAya ripoH vivRdDiH BhKiH-_16.24d
   mahārathaḥ satyadhanasya mānasaṃ BhKir_1.34c	mahA-raTaH satya-Danasya mAnasam BhKiH-_1.34c
   mahārathānāṃ pratidantyanīkam BhKir_16.14a	mahA-raTAnAm pratidanti-anIkam BhKiH-_16.14a
   mahārathaughena na saṃniruddhāḥ BhKir_16.3c	mahA-raTa-oGena na saMnirudDAH BhKiH-_16.3c
   mahāvanād unmanasaḥ khagā iva BhKir_14.45c	mahA-vanAt unmanasaH KagAH iva BhKiH-_14.45c
   mahāvanānīva ca kiṃśukānām BhKir_16.52c	mahA-vanAni-iva ca kiMSukAnAm BhKiH-_16.52c
   mahāvanānīva mahātamisrā BhKir_16.26c	mahA-vanAni-iva mahA-tamisrA BhKiH-_16.26c
   mahāvarāhaṃ mahato 'rṇavād iva BhKir_14.40d	mahAvarAham mahataH arNavAt iva BhKiH-_14.40d
   mahāstradurge śithilaprayatnaṃ BhKir_16.36a	mahA-astra-durge SiTila-prayatnam BhKiH-_16.36a
   mahimānam atra mahite jagatām BhKir_5.24b	mahimAnam atra mahite jagatAm BhKiH-_5.24b
   mahiṣakṣatāgurutamāla- BhKir_12.50a	mahiza-kzata-aguru-tamAla BhKiH-_12.50a
   mahībhujāṃ saccaritaiś caraiḥ kriyāḥ BhKir_1.20a	mahIBujAm sat-caritEH carEH kriyAH BhKiH-_1.20a
   mahībhṛtā pakṣavateva bhinnā BhKir_16.13a	mahIBRtA pakzavatA-iva BinnA BhKiH-_16.13a
   mahīyasī vṛṣṭir ivānileritā BhKir_14.47c	mahIyasI vRzwiH iva-anila-IritA BhKiH-_14.47c
   mahīruhaḥ puṣpasugandhir ādade BhKir_8.21c	mahIruhaH puzpa-suganDiH Adade BhKiH-_8.21c
   mahīṃ gatau tāv iṣudhī tadānīṃ BhKir_17.47c	mahIm gatO tO izuDI tadAnIm BhKiH-_17.47c
   maheṣujaladhau śatror BhKir_15.32a	mahA-izu-jalaDO SatroH BhKiH-_15.32a
   maheṣujālāny akhilāni jiṣṇor BhKir_17.35c	mahA-izu-jAlAni aKilAni jizNoH BhKiH-_17.35c
   maheṣudhī dhanur bhīmaṃ BhKir_11.16c	mahA-izuDI DanuH BImam BhKiH-_11.16c
   maheṣudhī vītamaheṣujālau BhKir_17.39b	mahA-izuDI vIta-mahA-izu-jAlO BhKiH-_17.39b
   maheṣvāsā ca sā camūḥ BhKir_15.1d	mahA-izvAsA ca sA camUH BhKiH-_15.1d
   mahodayānām api saṃghavṛttitāṃ BhKir_14.44c	mahA-udayAnAm api saMGa-vRtti-tAm BhKiH-_14.44c
   mahodayais tasya hitānubandhibhiḥ BhKir_1.20c	mahA-udayEH tasya hita-anubanDiBiH BhKiH-_1.20c
   mahaujaso mānadhanā dhanārcitā BhKir_1.18a	mahA-ojasaH mAna-DanA Dana-arcitAH BhKiH-_1.18a
   mā kṛthāḥ punar amūm apakriyām BhKir_13.64b	mA kRTAH punar amUm apakriyAm BhKiH-_13.64b
   mā gaman madavimūḍhadhiyo naḥ BhKir_9.70a	mA gamat mada-vimUXa-DiyaH naH BhKiH-_9.70a
   mā gāś cirāyaikacaraḥ pramādaṃ BhKir_3.53a	mA gAH cirAya-eka-caraH pramAdam BhKiH-_3.53a
   māñjiṣṭhaṃ vasanam ivāmbu nirbabhāse BhKir_7.36d	mAQjizWam vasanam iva-ambu nirbaBAse BhKiH-_7.36d
   mātaṅgahastair vriyate na panthāḥ BhKir_16.14d	mAtaFga-hastEH vriyate na panTAH BhKiH-_16.14d
   mātaṅgonmathitasarojareṇupiṅgaṃ BhKir_7.36c	mAtaFga-unmaTita-saroja-reNu-piFgam BhKiH-_7.36c
   mā tapaḥ sādhi nīnaśaḥ BhKir_11.31b	mA tapaH sADi nInaSaH BhKiH-_11.31b
   mātsaryarāgopahatātmanāṃ hi BhKir_3.53c	mAtsarya-rAga-upahata-AtmanAm hi BhKiH-_3.53c
   mādhuryavisrambhaviśeṣabhājā BhKir_3.3c	mADurya-visramBa-viSeza-BAjA BhKiH-_3.3c
   mānaprāṃśum alaṅghyatā BhKir_11.63d	mAna-prAMSum alaFGyatA BhKiH-_11.63d
   mānam āśu śithilīkṛtalajjaḥ BhKir_9.42b	mAnam ASu SiTilIkRta-lajjaH BhKiH-_9.42b
   mānavaty api yayau dayitāṅkam BhKir_9.68b	mAnavatI api yayO dayitA-aFkam BhKiH-_9.68b
   māninim abhimukhāhitacittāṃ BhKir_9.46c	mAninim aBimuKa-Ahita-cittAm BhKiH-_9.46c
   māninījana upāhitasaṃdhau BhKir_9.52c	mAninI-janaH upAhita-saMDO BhKiH-_9.52c
   māninījanavilocanapātān BhKir_9.26a	mAninI-jana-vilocana-pAtAn BhKiH-_9.26a
   māninībhir apahastitadhairyaḥ BhKir_9.36c	mAninIBiH apahastita-DEryaH BhKiH-_9.36c
   māninīratividhau kusumeṣur BhKir_9.72c	mAninI-rati-viDO kusumezuH BhKiH-_9.72c
   mānuṣyakaparigrahaiḥ BhKir_15.21b	mAnuzyaka-parigrahEH BhKiH-_15.21b
   mābhīdā bata dāyata BhKir_15.20d	mABIdA bata dAyata BhKiH-_15.20d
   mā bhūvann apathahṛtas tavendriyāśvāḥ BhKir_5.50a	mA BUvan apaTa-hRtaH tava-indriya-aSvAH BhKiH-_5.50a
   māyā svid eṣā mativibhramo vā BhKir_16.18a	mAyA svid ezA mati-viBramaH vA BhKiH-_16.18a
   mārutāpūrṇatūṇīra- BhKir_15.26c	mAruta-ApUrNa-tUNIra BhKiH-_15.26c
   mārgaṇair atha tava prayojanaṃ BhKir_13.59a	mArgaNEH aTa tava prayojanam BhKiH-_13.59a
   mārgaṃ mārgam upeyuṣām BhKir_15.10b	mArgam mArgam upeyuzAm BhKiH-_15.10b
   mārgātītāyendriyāṇāṃ namas te BhKir_18.40c	mArga-atItAya-indriyANAm namaH te BhKiH-_18.40c
   māvamaṃsta suhṛdaṃ mahīpatim BhKir_13.53d	mA-avamaMsta suhRdam mahIpatim BhKiH-_13.53d
   mā vihāsiṣṭa samaraṃ BhKir_15.8a	mA vihAsizwa samaram BhKiH-_15.8a
   mā sañji bhavatā jane BhKir_11.29d	mA saQji BavatA jane BhKiH-_11.29d
   māhātmyam anukampayā BhKir_15.4d	mAhAtmyam anukampayA BhKiH-_15.4d
   māhātmyaṃ bhava bhavate namaskriyāyāḥ BhKir_18.36d	mAhAtmyam Bava Bavate namaskriyAyAH BhKiH-_18.36d
   māhendraṃ nagam abhitaḥ kareṇuvaryāḥ BhKir_7.20a	mAhendram nagam aBitas kareNu-varyAH BhKiH-_7.20a
   māṃ śrotum icchā mukharīkaroti BhKir_3.9d	mAm Srotum icCA muKarIkaroti BhKiH-_3.9d
   mitram iṣṭam upakāri saṃśaye BhKir_13.51a	mitram izwam upakAri saMSaye BhKiH-_13.51a
   mitralābham anu lābhasampadaḥ BhKir_13.52d	mitra-lABam anu lABa-sampadaH BhKiH-_13.52d
   mitreṣv ivāstreṣu tirohiteṣu BhKir_17.1b	mitrezu iva-astrezu tirohitezu BhKiH-_17.1b
   mukulitam atiśayya bandhujīvaṃ BhKir_10.27a	mukulitam atiSayya banDujIvam BhKiH-_10.27a
   muktaniśitaviśikhaḥ prasabhaṃ BhKir_12.38c	mukta-niSita-viSiKaH prasaBam BhKiH-_12.38c
   muktamūlalaghur ujjhitapūrvaḥ BhKir_9.5a	mukta-mUla-laGuH ujJita-pUrvaH BhKiH-_9.5a
   muktā vitānena balāhakānāṃ BhKir_16.34c	muktAH vitAnena balAhakAnAm BhKiH-_16.34c
   muktāv uttiṣṭhate manaḥ BhKir_11.13d	muktO uttizWate manaH BhKiH-_11.13d
   mukha iva śālalatāvadhūś cucumbe BhKir_10.34d	muKaH iva SAla-latA-vaDUH cucumbe BhKiH-_10.34d
   mukham adhirūṣitapāṇḍugaṇḍalekham BhKir_10.46b	muKam aDirUzita-pANxu-gaNxa-leKam BhKiH-_10.46b
   mukharatāvasare hi virājate BhKir_5.16d	muKara-tA-avasare hi virAjate BhKiH-_5.16d
   mukharasam utsukahaṃsasārasāni BhKir_10.4d	muKa-rasam utsuka-haMsa-sArasAni BhKiH-_10.4d
   mukhaṃ nimīlannayanaṃ natabhruvaḥ BhKir_8.50c	muKam nimIlat-nayanam nata-BruvaH BhKiH-_8.50c
   mukhaṃ svid etad vikasan nu paṅkajam BhKir_8.36b	muKam svid etat vikasat nu paFkajam BhKiH-_8.36b
   mukhāny anutphullavilocanāni ca BhKir_8.25d	muKAni anutPulla-vilocanAni ca BhKiH-_8.25d
   mukhair asau vidrumabhaṅgalohitaiḥ BhKir_4.36a	muKEH asO vidruma-BaFga-lohitEH BhKiH-_4.36a
   mukhaiś calatkuṇḍalaraśmirañjitair BhKir_4.14c	muKEH calat-kuNxala-raSmi-raQjitEH BhKiH-_4.14c
   mukhaiḥ sarojāni ca dīrghalocanaiḥ BhKir_8.29c	muKEH sarojAni ca dIrGa-locanEH BhKiH-_8.29c
   muñcatīśe śarāñ jiṣṇau BhKir_15.34a	muQcati-ISe SarAn jizNO BhKiH-_15.34a
   mudam asya māṅgalikatūryakṛtāṃ BhKir_6.4c	mudam asya mAFgalika-tUrya-kRtAm BhKiH-_6.4c
   muditamadhuliho vitānīkṛtāḥ BhKir_18.20a	mudita-maDulihaH vitAnIkRtAH BhKiH-_18.20a
   muditāliyoṣiti madasrutibhiḥ BhKir_6.7b	mudita-ali-yoziti mada-srutiBiH BhKiH-_6.7b
   munayas tato 'bhimukham etya BhKir_12.25a	munayaH tatas aBimuKam etya BhKiH-_12.25a
   munitā dharmarodhinī BhKir_11.76b	muni-tA Darma-roDinI BhKiH-_11.76b
   munitāvirodhi na ca nāsya rājate BhKir_12.27d	muni-tA-viroDi na ca na-asya rAjate BhKiH-_12.27d
   munidanutanayān vilobhya sadyaḥ BhKir_10.16a	muni-danu-tanayAn viloBya sadyas BhKiH-_10.16a
   muniprabhāvakṣatatejasaḥ pare BhKir_14.43b	muni-praBAva-kzata-tejasaH pare BhKiH-_14.43b
   munibhis tulyam icchasi BhKir_11.42d	muniBiH tulyam icCasi BhKiH-_11.42d
   munim abhimukhatāṃ ninīṣavo yāḥ BhKir_10.40a	munim aBimuKa-tAm ninIzavaH yAH BhKiH-_10.40a
   munir api tulyarucis trilokabhartuḥ BhKir_10.14d	muniH api tulya-ruciH triloka-BartuH BhKiH-_10.14d
   munir asmi nirāgasaḥ kuto me BhKir_13.7a	muniH asmi nirAgasaH kutas me BhKiH-_13.7a
   munirūpo 'nurūpeṇa BhKir_11.2a	muni-rUpaH anurUpeNa BhKiH-_11.2a
   muniś cacāla kṣayakāladāruṇaḥ BhKir_14.50c	muniH cacAla kzaya-kAla-dAruNaH BhKiH-_14.50c
   muniṣu vacanaṃ samādade BhKir_12.32b	munizu vacanam samAdade BhKiH-_12.32b
   munīṣudahanātaptāṃl BhKir_15.30a	munIzu-dahana-AtaptAn BhKiH-_15.30a
   muner babhūvāgaṇiteṣurāśer BhKir_17.49c	muneH baBUva-agaNita-izu-rASeH BhKiH-_17.49c
   muner vicitrair iṣubhiḥ sa bhūyān BhKir_17.19a	muneH vicitrEH izuBiH sa BUyAn BhKiH-_17.19a
   muneḥ śaraugheṇa tadugraraṃhasā BhKir_14.59a	muneH Sara-oGeNa tad-ugra-raMhasA BhKiH-_14.59a
   muṣṭer asambheda ivāpavarge BhKir_16.20d	muzweH asamBedaH iva-apavarge BhKiH-_16.20d
   muhur anupatatā vidhūyamānaṃ BhKir_10.33a	muhur anupatatA viDUyamAnam BhKiH-_10.33a
   muhur anusmarayantam anukṣapaṃ BhKir_5.14c	muhur anusmarayantam anukzapam BhKiH-_5.14c
   muhur abhāvabhayād iva bhūbhṛtā BhKir_18.10d	muhur aBAva-BayAt iva BUBRtA BhKiH-_18.10d
   muhur alasatāṃ nu cādade BhKir_12.5b	muhur alasa-tAm nu ca-Adade BhKiH-_12.5b
   muhuś calatpallavalohinībhir BhKir_16.53a	muhur calat-pallava-lohinIBiH BhKiH-_16.53a
