   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   hitvā brahmabilādhiṣṭhātṛbrahmādhiṣṭhitamaṇḍaṃ muktvā ūrdhvakavāṭāntāṃ	hitvA brahmabila-aDizWAtR-brahma-aDizWita-maNxam muktvA UrDva-kavAwa-antAn
   dehavyāptiṃ tyaktvā tadā collaṅghitadehavyāptike 'ta eva prakarṣeṇa līnāv	deha-vyAptim tyaktvA tadA ca-ullaFGita-deha-vyAptike atas eva prakarzeNa lInO=-
   uktarūpau śaśibhāskarau yatra tasmin mahāvyomni niḥśeṣavedyopaśamarūpe	ukta-rUpO SaSi-BAskarO yatra tasmin mahA-vyomni niHSeza-vedya-upaSama-rUpe
   paramākāśe prāpte 'pi yaḥ śithilaprayatnatayā khecaryādyātmanā	parama-AkASe prApte api yaH SiTila-prayatna-tayA KecarI-Adi-AtmanA
   guṇādispandaniḥṣyandena vyāmohitatvāt sauṣuptapadavad bhavati sauṣuptena	guNa-Adi-spanda-niHzyandena vyAmohita-tvAt sOzupta-pada-vat Bavati sOzuptena
   ca suptamapy upalakṣitaṃ tena ca svapnasuṣuptavat yaḥ śūnyādibhūmim	ca suptam-api upalakzitam tena ca svapna-suzupta-vat yaH SUnya-Adi-BUmim
   evādhitiṣṭhati sa yogī samyaganabhivyaktasvasvabhāvo mūḍha ity ucyate ||	eva-aDitizWati sa yogI samyak-anaBivyakta-sva-svaBAvaH mUXaH iti ucyate ||
   VSpkC_1.23-35:1	VSpkC_1.23-35:1
   * yathoktaṃ śrībhaṭṭakallaṭena /	* yaToktam SrI-Bawwa-kallawena /
   * yāṃ spandātmikām avasthām avalambya /	* yAm spanda-AtmikAm avasTAm avalambya /
   * iti yoginaḥ || VSpkC_1.23-35:2	* iti yoginaH || VSpkC_1.23-35:2
   * iti ca /	* iti ca /
   * yasya svasvabhāvābhivyaktir na samyak vṛttā sa svapnādinā muhyamāno	* yasya sva-svaBAva-aBivyaktiH na samyak vRttA sa svapna-AdinA muhyamAnaH-
   'prabuddho niruddhaḥ syāt /	aprabudDaH nirudDaH syAt /
   * iti || VSpkC_1.23-35:3	* iti || VSpkC_1.23-35:3
   * yastu tatrāpi prayatnapāṭavād udyantṛtābalāt kṣaṇamapi na śithilībhavati	* yaH-tu tatra-api prayatna-pAwavAt udyantR-tA-balAt kzaNam-api na SiTilIBavati
   sa tamasānabhibhūtatvāt cidākāśamayatvenaivāvasthitaḥ prabuddha ucyate ata	sa tamasA-anaBiBUta-tvAt cit-AkASa-maya-tvena-eva-avasTitaH prabudDaH ucyate ata
   eva satatodyogavataiva yoginā bhavitavyam ityādiṣṭaṃ gurubhiḥ iti śivam ||	eva satata-udyogavatA-eva yoginA Bavitavyam iti-Adizwam guruBiH iti Sivam ||
   VSpkC_1.23-35:4]	VSpkC_1.23-35:4]
   spandakārikā, dvitīyo niḥṣyandaḥ	spanda-kArikA, dvitIyaH niHzyandaH
   tadākramya balaṃ mantrāḥ sarvajñabalaśālinaḥ /	tat-Akramya balam mantrAH sarvajQa-bala-SAlinaH /
   pravartante'dhikārāya karaṇānīva dehinām // VSpk_2.1 //	pravartante-aDikArAya karaNAni-iva dehinAm // VSpc-_2.1 //
   tatraiva sampralīyante śāntarūpā nirañjanāḥ /	tatra-eva sampralIyante SAnta-rUpAH niraQjanAH /
   sahārādhakacittena tenaite śivadharmiṇaḥ // VSpk_2.2 //	saha-ArADaka-cittena tena-ete Siva-DarmiNaH // VSpc-_2.2 //
   * tat spandatattvātmakaṃ balaṃ prāṇarūpaṃ vīryamākramya abhedena	* tat spanda-tattva-Atmakam balam prANa-rUpam vIryam-Akramya aBedena
   āśrayatayāvaṣṭabhya bhagavanto 'nantavyomavyāpyādayo mantrāḥ	ASrayatayA-avazwaBya BagavantaH ananta-vyoma-vyApya-AdayaH mantrAH
   sarvajñabalena sarvajñatvādisāmarthyena ślāghamānā jṛmbhamāṇā adhikārāya	sarvajQa-balena sarvajQa-tva-Adi-sAmarTyena SlAGamAnA jRmBamANAH aDikArAya
   dehināṃ pravartante sṛṣṭisaṃhāratirodhānānugrahādi kurvantītyarthaḥ ||	dehinAm pravartante sRzwi-saMhAra-tiroDAna-anugraha-Adi kurvanti-iti-arTaH ||
   VSpkC_2.1:1	VSpkC_2.1:1
   * sarvajñaśabdo bhāvapradhānaḥ sarvakartṛtvādy upalakṣayati || VSpkC_2.1:2	* sarvajQa-SabdaH BAva-praDAnaH sarva-kartR-tva-Adi upalakzayati || VSpkC_2.1:2
   * yathā dehināṃ karaṇāny upapāditadṛśā tadbalamākramya viṣayaprakāśādau	* yaTA dehinAm karaNAni upapAdita-dRSA tat-balam-Akramya vizaya-prakASa-AdO
   pravartante iti dṛṣṭāntaḥ || VSpkC_2.1:3	pravartante iti dRzwAntaH || VSpkS_2.1:3
   * tathā nirañjanāḥ kṛtakṛtyatvān nivṛttādhikāramalāḥ	* taTA niraQjanAH kRtakRtya-tvAt nivRtta-aDikAra-malAH
   śāntaviśiṣṭavācakātmasvarūpās tatraiva spandātmake bale samyagabhedāpattyā	SAnta-viSizwa-vAcaka-Atma-svarUpAH tatra-eva spanda-Atmake bale samyak-aBeda-ApattyA
   prakarṣeṇāpunarāvṛttyā līyante adhikamalānmucyante ārādhakacittena	prakarzeNa-apunarAvRttyAH lIyante aDi-kamalAt-mucyante ArADaka-cittena
   upāsakalokasaṃvedanena saha || VSpkC_2.1:4	upAsaka-loka-saMvedanena saha || VSpkC_2.1:4
   * yathoktam /	* yaToktam /
   * anugṛhyāṇusaṃghātaṃ yātāḥ padam anāmayam || VSpkC_2.1:5	* anugRhya-aNu-saMGAtam yAtAH padam anAmayam || VSpkC_2.1:5
   * iti || VSpkC_2.1:6	* iti || VSpkC_2.1:6
   * yataśca tata evoditāstadbalena visṛṣṭās tatraiva līyante tenaite	* yatas-ca tatas eva-uditAH-tad-balena visRzwAH tatra-eva lIyante tena-ete
   mantramantreśvarādayaḥ śivasya parameśvarasya sambandhī dharmaḥ svabhāvo	mantra-mantreSvara-AdayaH Sivasya parameSvarasya sambanDI DarmaH svaBAvaH-
   vidyate yeṣāṃ te tathā sāmānyaspandasārā ityarthaḥ || VSpkC_2.1:7	vidyate yezAm te taTA sAmAnya-spanda-sArAH iti-arTaH || VSpkS_2.1:7
   * nanu karaṇānāṃ mantrāṇāṃ ca tat udayādau tulye kimiti karaṇāni na	* nanu karaNAnAm mantrANAm ca tat udaya-AdO tulye kim-iti karaNAni na
   sarvajñādirūpāṇi || VSpkC_2.1:8	sarvajQa-Adi-rUpANi || VSpkC_2.1:8
   * ucyate parameśvaro māyāśaktyā śarīrakaraṇāni bhedamayāni nirmimīte	* ucyate parameSvaraH mAyA-SaktyA SarIra-karaNAni Beda-mayAni nirmimIte
   vidyāśaktyā tv ākāśīyavicitravācakaparāmarśaśarīrān mantrān || VSpkC_2.1:9	vidyA-SaktyA tu AkASIya-vicitra-vAcaka-parAmarSa-SarIrAn mantrAn || VSpkC_2.1:9
   * vācakasya māyāpade 'pi || VSpkC_2.1:10	* vAcakasya mAyA-pade api || VSpkC_2.1:10
   * ghaṭo 'yam ityadhyavasā nāmarūpātirekiṇī /	* GawaH ayam iti-aDyavasA nAma-rUpa-ati-rekiNI /
   * pareśaśaktirātmeva bhāsate na tv idaṃtayā || VSpkC_2.1:11	* pareSa-SaktiH-AtmA-iva BAsate na tu idaMtayA || VSpkC_2.1:11
   * iti pratyabhijñoktanītyā pramātṛbhūmyanatikrānter na	* iti pratyaBijQA-ukta-nItyA pramAtR-BUmi-anatikrAnteH na
   śarīrapuryaṣṭakādivadbodhasaṃkocakatvam astīti yuktamevaiṣāṃ sarvajñatvādi	SarIra-puryazwaka-Adi-vat-boDa-saMkocaka-tvam asti-iti yuktam-eva-ezAm sarvajQa-tva-Adi
   || VSpkC_2.1:12	|| VSpkC_2.1:12
   * etac ca /	* etat ca /
   * bhede tv ekarase bhāte || VSpkC_2.1:13	* Bede tu eka-rase BAte || VSpkC_2.1:13
   * iti śrīpratyabhijñākārikāṭīkāyāṃ vitatya darśitam || VSpkC_2.1:14	* iti SrI-pratyaBijQA-kArikAwIkAyAm vitatya darSitam || VSpkC_2.1:14
   * evaṃ vidyāpadāvasthitasṛṣṭyādikāryanantabhaṭṭārakādyapekṣayaitad	* evam vidyA-pada-avasTita-sRzwi-Adi-kArI-ananta-BawwAraka-Adi-apekzayA-etat-
   vyākhyeyam || VSpkC_2.1:15	vyAKyeyam || VSpkC_2.1:15
   * tathā dīkṣādipravṛttānām ācāryādīnāṃ karaṇarūpāḥ sarve mantrās	* taTA dIkzA-Adi-pravRttAnAm AcArya-AdInAm karaNa-rUpAH sarve mantrAs
   tatspandatattvarūpaṃ balam ākramya anuprāṇakatvena avaṣṭabhya ācāryādīnām	tad-spanda-tattva-rUpam balam Akramya anuprANaka-tvena avazwaBya AcArya-AdInAm
   eva sambandhinārādhakacittena saha mokṣabhogasādhanādyadhikārāya	eva sambanDinA-ArADaka-cittena saha mokza-Boga-sADana-Adi-aDikArAya
   pravartante tatraiva śāntavācakaśabdātmakaśarīrarūpā ata eva ca nirañjanāḥ	pravartante tatra-eva SAnta-vAcaka-Sabda-Atmaka-SarIra-rUpAH atas eva ca niraQjanAH
   śuddhāḥ samyak pralīyante viśrāmyanti || VSpkC_2.1:16	SudDAH samyak pralIyante viSrAmyanti || VSpkC_2.1:16
   * atra vyākhyāne sahārādhakacittena iti pūrvaślokena yojyam ||	* atra vyAKyAne saha-ArADaka-cittena iti pUrva-Slokena yojyam ||
   VSpkC_2.1:17	VSpkC_2.1:17
   * evaṃ ca mantrāṇāmudayapralayakoṭivyāpi pravṛttāv api bhittibhūtamiti	* evam ca mantrANAm-udaya-pralaya-kowi-vyApi pravRttO api Bitti-BUtam-iti
   abhihitam || VSpkC_2.1:18	aBihitam || VSpkC_2.1:18
   * evaṃ ca daśāṣṭādaśādibhedena bhinne śaive mantrāṇāṃ	* evam ca daSa-azwAdaSa-Adi-Bedena Binne SEve mantrANAm
   spandatattvasārataivetyuktaṃ bhavati || VSpkC_2.1:19	spanda-tattva-sAratA-eva-iti-uktam Bavati || VSpkC_2.1:19
   * evaṃ mantramantreśvarādirūpā śuddhābhimatā sṛṣṭiḥ śivasvabhāveti	* evam mantra-mantreSvara-Adi-rUpA SudDa-aBimatA sRzwiH Siva-svaBAva-iti
   pratipādyādhunā aśuddhābhimatāpi sā māyādirūpā śivasvarūpaiva iti	pratipAdya-aDunA aSudDa-aBimatA-api sA mAyA-Adi-rUpA Siva-svarUpA-eva iti
   upapādayan śrīmataśāstrādirahasyadṛṣṭim api upakṣipati || VSpkC_2.1:20]	upapAdayan SrImata-SAstra-Adi-rahasya-dRzwim api upakzipati || VSpkC_2.1:20]
   yasmātsarvamayo jīvaḥ sarvabhāvasamudbhavāt /	yasmAt-sarva-mayaH jIvaH sarva-BAva-samudBavAt /
   tatsaṃvedanarūpeṇa tādātmyapratipattitaḥ // VSpk_2.3 //	tad-saMvedana-rUpeNa tAdAtmya-pratipattitaH // VSpc-_2.3 //
   tasmācchabdārthacintāsu na sāvasthā na yā śivaḥ /	tasmAt-Sabda-arTa-cintAsu na sA-avasTA na yA SivaH /
   bhoktaiva bhogyabhāvena sadā sarvatra saṃsthitaḥ // VSpk_2.4 //	BoktA-eva Bogya-BAvena sadA sarvatra saMsTitaH // VSpc-_2.4 //
   * yato jīvo grāhakaḥ sarvamayaḥ śivavad viśvarūpaḥ tena hetunā śabdeṣu	* yatas jIvaH grAhakaH sarva-mayaH Siva-vat viSva-rUpaH tena hetunA Sabdezu
   vācakeṣu artheṣu vācyeṣu cintāsu vikalpajñānādirūpāsu ādimadhyāntarūpā	vAcakezu arTezu vAcyezu cintAsu vikalpa-jQAna-Adi-rUpAsu Adi-maDya-anta-rUpA
   sāvasthā nāsti yā śivo na bhavati sarvameva śivasvarūpam ityarthaḥ ||	sA-avasTA na-asti yA SivaH na Bavati sarvam-eva Siva-svarUpam iti-arTaH ||
   VSpkC_2.3-4:1	VSpkC_2.3-4:1
   * yataś caivamato bhoktaiva cidātmā grāhako bhogyabhāvena dehanīlādirūpeṇa	* yatas ca-evam-atas BoktA-eva cit-AtmA grAhakaH Bogya-BAvena deha-nIla-Adi-rUpeNa
   sadā nityaṃ sarvatra vicitratattvabhuvanādipade samyaganūnādhikatayā	sadA nityam sarvatra vicitra-tattva-Buvana-Adi-pade samyak-anUna-aDika-tayA
   sthitaḥ na tu bhogyaṃ nāma kiṃcidbhoktur bhinnam asti || VSpkC_2.3-4:2	sTitaH na tu Bogyam nAma kiMcid-BoktuH Binnam asti || VSpkC_2.3-4:2
   * jīva ityupakramya śiva ityupasaṃhāreṇa jīvaśivayorvāstavo na ko 'pi	* jIvaH iti-upakramya SivaH iti-upasaMhAreNa jIva-SivayoH-vAstavaH na kaH api
   bhedaḥ iti dehādyavasthāsu na kāsucid apyapūrṇamanyatā mantavyā api tu	BedaH iti deha-Adi-avasTAsu na kAsucid api-apUrNamanyatA mantavyAH api tu
   cidghanaśivasvabhāvataiveti bhaṅgyopadiśati || VSpkC_2.3-4:3	cit-Gana-Siva-svaBAva-tA-eva-iti BaFgyA-upadiSati || VSpkC_2.3-4:3
   * yathoktam śarīramapi ye ṣaṭtriṃśattattvamayaṃ śivarūpatayā paśyanti	* yaTA-uktam SarIram-api ye zawtriMSat-tattva-mayam Siva-rUpa-tayA paSyanti
   arcayanti ca te sidhyanti ghaṭādikam iva tathābhiniviśya paśyanti	arcayanti ca te siDyanti Gawa-Adikam iva taTA-aBiniviSya paSyanti
   arcayanti ca te 'pīti nāstyatra vivādaḥ iti śrīpratyabhijñāṭīkāyām ||	arcayanti ca te api-iti na-asti-atra vivAdaH iti SrI-pratyaBijQAwIkAyAm ||
   VSpkC_2.3-4:4	VSpkC_2.3-4:4
   * bhaṭṭaśrīvāmanenāpyuktam /	* Bawwa-SrI-vAm-anena-api-uktam /
   * ālambya saṃvidaṃ yasmāt saṃvedyaṃ na svabhāvataḥ /	* Alambya saMvidam yasmAt saMvedyam na svaBAvataH /
   * tasmātsaṃviditaṃ sarvamiti saṃvinmayo bhavet || VSpkC_2.3-4:5	* tasmAt-saMviditam sarvam-iti saMvid-mayaH Bavet || VSpkC_2.3-4:5
   * iti || VSpkC_2.3-4:6	* iti || VSpkC_2.3-4:6
   * kasmāt jīvaḥ sarvamayaḥ ityatra hetuḥ sarvabhāvānāṃ samudbhavād	* kasmAt jIvaH sarva-mayaH iti-atra hetuH sarva-BAvAnAm samudBavAt-
   utpattihetutvāt apādānabhāvapradhānaśca nirdeśaḥ || VSpkC_2.3-4:7	utpatti-hetu-tvAt apAdAna-BAva-praDAnaH-ca nirdeSaH || VSpkS_2.3-4:7
   * pramātṛmitimānameyamayabhedajātasya te vihāra iha hetutāṃ samupayāti	* pramAtR-miti-mAna-meya-maya-Beda-jAtasya te vihAraH iha hetu-tAm samupayAti
   yasmāt tvayi /	yasmAt tvayi /
   * nivṛttavivṛtau kvacit tad apayāti tenādhvādhunā nayena punarīkṣyate	* nivRtta-vivRtO kvacid tat apayAti tena-aDvA-aDunA nayena punar-Ikzyate
   jagati jātucitkenacit || VSpkC_2.3-4:8	jagati jAtucit-kenacid || VSpkC_2.3-4:8
   * iti śrījñānagarbhastotroktanītyā saṃvidyeva prasṛtāyāṃ jagataḥ sadbhāvāt	* iti SrI-jQAna-garBa-stotra-ukta-nItyA saMvidyeva prasRtAyAm jagataH sadBAvAt
   sarvabhāvasamudbhavatvaṃ jīvasya yataśca jīvādeva udayati viśvamato'yaṃ	sarva-BAva-samudBava-tvam jIvasya yatas-ca jIvAt-eva udayati viSvam-atas-ayam
   sarvamayo viśvaśaktiriti yāvat || VSpkC_2.3-4:9	sarva-mayaH viSva-SaktiH-iti yAvat || VSpkC_2.3-4:9
   * nirṇītaṃ caitad dvitīyasūtravṛttau || VSpkC_2.3-4:10	* nirNItam ca-etat dvitIya-sUtra-vRttO || VSpkC_2.3-4:10
   * sarvamayatve hetvantaramāha tatsaṃvedana ityardhena || VSpkC_2.3-4:11	* sarva-maya-tve hetu-antaram-Aha tad-saMvedanaH iti-arDena || VSpkC_2.3-4:11
   * tasya sarvasya nīlasukhāderyatsaṃvedanaṃ prakāśastena rūpeṇa svabhāvena	* tasya sarvasya nIla-suKa-AdeH-yat-saMvedanam prakASaH-tena rUpeNa svaBAvena
   tādātmyapratipatteḥ sarvamayatvasyopalambhāt || VSpkC_2.3-4:12	tAdAtmya-pratipatteH sarva-maya-tvasya-upalamBAt || VSpkC_2.3-4:12
   * evamanena ślokadvayena rahasyacaryāḥ	* evam-anena Sloka-dvayena rahasya-caryAH
   sarvabhedapādaponmūlopapattiparighaṭitāś ca jñānopadeśakathāḥ	sarva-Beda-pAdapa-unmUla-upapatti-pariGawitAH ca jQAna-upadeSa-kaTAH
   prathamacaramasūtrābhyāṃ mahārthatattvaṃ jāgradādisūtreṇa	praTama-carama-sUtrAByAm mahA-arTa-tattvam jAgrat-Adi-sUtreNa
   ṣaḍardhaparamārthaḥ tadākramya ity anena sarvopāsāsāratetyādyupakṣiptam	zaz-arDa-parama-arTaH tad-Akramya iti anena sarva-upAsAsAra-tA-ityAdi-upakziptam
   iti spandatattvenaiva viśvopadeśāḥ svīkṛtāḥ || VSpkC_2.3-4:13	iti spanda-tattvena-eva viSva-upadeSAH svIkRtAH || VSpkC_2.3-4:13
   * athaitatpratipattisārataiva mokṣa ityādiśati || VSpkC_2.3-4:14]	* aTa-etat-pratipatti-sAra-tA-eva mokzaH iti-AdiSati || VSpkC_2.3-4:14]
   iti vā yasya saṃvittiḥ krīḍātvenākhilaṃ jagat /	iti vA yasya saMvittiH krIxA-tvena-aKilam jagat /
   sa paśyansatataṃ yukto jīvanmukto na saṃśayaḥ // VSpk_2.5 //	sa paSyan-satatam yuktaH jIvanmuktaH na saMSayaH // VSpc-_2.5 //
   * vāśabdaḥ prathamaniḥṣyandoktanimīlanasamādhiprakāraṃ vikalpayan asyāḥ	* vA-SabdaH praTama-niHzyanda-ukta-nimIlana-samADi-prakAram vikalpayan asyAH
   samāpatter durlabhatāṃ dhvanayati || VSpkC_2.5:1	samApatteH durlaBa-tAm Dvanayati || VSpkC_2.5:1
   * tenāyamarthaḥ īdṛśī tāvatsaṃvittiḥ durlabhā yasya kasyacid	* tena-ayam-arTaH IdRSI tAvat-saMvittiH durlaBAH yasya kasyacid-
   evāpaścimajanmano bhavati so 'khilaṃ jagatkrīḍātvena paśyan	eva-apaScima-janmanaH Bavati saH aKilam jagat-krIxA-tvena paSyan
   nijasaṃvidunmeṣanimeṣābhyāṃ sṛjan saṃharaṃś ca /	nija-saMvid-unmeza-nimezAByAm sRjan saMharan ca /
   * mayyāveśya mano ye māṃ nityayuktā upāsate || VSpkC_2.5:2	* mayi-AveSya manaH ye mAm nitya-yuktAH upAsate || VSpkC_2.5:2
   * iti sthityā satatasamāviṣṭo mahāyogī jīvann eva prāṇādimān api	* iti sTityA satata-samAvizwaH mahA-yogI jIvan eva prANa-AdimAn api
   vijñānāgninirdagdhāśeṣabandhano dehapāte tu śiva eva jīvaṃścedṛṅmukta eva	vijQAna-agni-nirdagDa-aSeza-banDanaH dehapAte tu SivaH eva jIvan=-ca-IdRS-muktaH eva
   na tu kathaṃcid api baddhaḥ || VSpkC_2.5:3	na tu kaTaMcid api badDaH || VSpkS_2.5:3
   * na saṃśayaḥ ityanena idaṃ dhvanayati dīkṣādinā gurupratyayato muktiḥ	* na saMSayaH iti-anena idam Dvanayati dIkzA-AdinA guru-pratyayataH muktiH
   īdṛśāt tu jñānāt samācārādvā svapratyayata eveti || VSpkC_2.5:4	IdRSAt tu jQAnAt samAcArAt-vA sva-pratyayataH eva-iti || VSpkS_2.5:4
   * iyameva mahāsamāpattiḥ sādhakācāryādīnām abhīṣṭaprāptihetuḥ iti	* iyam-eva mahA-samApattiH sADaka-AcArya-AdInAm aBIzwa-prApti-hetuH iti
   ślokadvayenāha || VSpkC_2.5:5]	Sloka-dvayena-Aha || VSpkC_2.5:5]
   ayamevodayastasya dhyeyasya dhyāyicetasi /	ayam-eva-udayaH-tasya Dyeyasya DyAyi-cetasi /
   tadātmatāsamāpattir icchataḥ sādhakasya yā // VSpk_2.6 //	tad-AtmatA-samApattiH icCataH sADakasya yA // VSpc-_2.6 //
   yamevāmṛtaprāptir ayam evātmano grahaḥ /	yam-eva-amRta-prAptiH ayam eva-AtmanaH grahaH /
   iyaṃ nirvāṇadīkṣā ca śivasadbhāvadāyinī // VSpk_2.7 //	iyam nirvANa-dIkzA ca Siva-sadBAva-dAyinI // VSpc-_2.7 //
   * iha śivo bhūtvā śivaṃ yajet iti yad udghoṣyate tatra dhyāyinaś cetasi	* iha SivaH BUtvA Sivam yajet iti yat udGozyate tatra DyAyinaH cetasi
   saṃvedane tasyeti na sāvasthā na yā śivaḥ iti pratipāditaśivasvabhāvasya	saMvedane tasya-iti na sA-avasTA na yA SivaH iti pratipAdita-Siva-svaBAvasya
   dhyeyasya anyasya vā kasyacit tattatsiddhihetor mantradevatāviśeṣasya ayam	Dyeyasya anyasya vA kasyacid tad-tad-sidDi-hetoH mantradevatA-viSezasya ayam
   evodayaḥ prakaṭībhāvaḥ yā sādhakasya dhyāturācāryādeḥ /	eva-udayaH prakawIBAvaH yA sADakasya DyAtuH-AcAryAdeH /
   * tasmācchabdārthacintāsu na sāvasthā na yā śivaḥ || VSpkC_2.6-7:1	* tasmAt-Sabda-arTa-cintAsu na sA-avasTA na yA SivaH || VSpkC_2.6-7:1
   * iti pratipāditarūpā tadātmatāsamāpattiḥ śivaikyāveśo na tu	* iti pratipAdita-rUpA tad-AtmatA-samApattiH Siva-Ekya-AveSaH na tu
   pañcavaktrādervyatiriktasyākārasya darśanaṃ na tu niścayamātreṇa	paQcavaktra-AdeH-vyatiriktasya-AkArasya darSanam na tu niScaya-mAtreNa
   tadātmatāsamāpattiḥ api tu icchato	tad-AtmatA-samApattiH api tu icCataH-
   'vikalpaviśvāhaṃtātmakaśivaikyarūpecchāparāmarśādhirūḍhasya ||	avikalpa-viSva-ahaMtA-Atmaka-Siva-Ekya-rUpa-icCA-parAmarSa-aDirUXasya ||
   VSpkC_2.6-7:2	VSpkC_2.6-7:2
   * etad uktaṃ bhavati ahameva tatsaṃvedanarūpeṇa tādātmyapratipattito	* etat uktam Bavati aham-eva tad-saMvedana-rUpeNa tAdAtmya-pratipattitaH-
   viśvaśarīraś cidānandaghanaḥ śiva iti saṃkalpo yasyāvikalpaśeṣībhūtatvena	viSva-SarIraH cit-Ananda-GanaH SivaH iti saMkalpaH yasya-avikalpa-SezIBUta-tvena
   phalati tasya dhyeyamantradevatādi kiṃ na nāma abhimukhībhavati	Palati tasya Dyeya-mantra-devatA-Adi kim na nAma aBimuKIBavati
   sarvasyaitadadvayaprathālagnatvāt || VSpkC_2.6-7:3	sarvasya-etat-advaya-praTA-lagna-tvAt || VSpkC_2.6-7:3
   * yathoktamasmatparameṣṭhipādaiḥ /	* yaTA-uktam-asmad-paramezWi-pAdEH /
   * sākṣādbhavanmaye nātha sarvasmin bhuvanāntare /	* sAkzAt-Bavat-maye nATa sarvasmin Buvana-antare /
   * kiṃ na bhaktimatāṃ kṣetraṃ mantraḥ kvaiṣāṃ na sidhyati || VSpkC_2.6-7:4	* kim na BaktimatAm kzetram mantraH kva-ezAm na siDyati || VSpkC_2.6-7:4
   * iti || VSpkC_2.6-7:5	* iti || VSpkC_2.6-7:5
   * iyameva ca samāpattiḥ paramādvayarūpasyāmṛtasya prāptiḥ anyasmiṃs tv	* iyam-eva ca samApattiH parama-advaya-rUpasya-amRtasya prAptiH anyasmin tu-
   amṛte katipayakālaśarīradārḍhyadāyini prāpte'pi	amRte katipaya-kAla-SarIra-dArXya-dAyini prApte-api
   sādhakairmaraṇamavaśyamavāpyata evety evakārāśayaḥ || VSpkC_2.6-7:6	sADakEH-maraNam-avaSyam-avApyate eva-iti evakAra-ASayaH || VSpkS_2.6-7:6
   * evaṃ sarvatrānenaivāśayena śrīsvacchande sthūladṛṣṭyāmṛtaprāptiprakaraṇe	* evam sarvatra-anena-eva-ASayena SrI-svacCande sTUla-dRzwyA-amRta-prApti-prakaraNe
   * naiva cāmṛtayogena kālamṛtyujayo bhavet || VSpkC_2.6-7:7	* na-eva ca-amRta-yogena kAla-mRtyu-jayaH Bavet || VSpkC_2.6-7:7
   * ityuktyopasaṃhṛtya tāttvikas tatprāptiprakāraḥ /	* iti-uktyA-upasaMhRtya tAttvikaH tad-prApti-prakAraH /
   * athavā paratattvasthaḥ sarvakālairna bādhyate || VSpkC_2.6-7:8	* aTavA para-tattva-sTaH sarva-kAlEH-na bADyate || VSpkS_2.6-7:8
   * ityādinā || VSpkC_2.6-7:9	* ityAdinA || VSpkC_2.6-7:9
   * sarvaṃ śivaśaktimayaṃ smaret || VSpkC_2.6-7:10	* sarvam Siva-Sakti-mayam smaret || VSpkC_2.6-7:10
   * iti madhyena /	* iti maDyena /
   * jīvann eva vimukto 'sau yasyeyaṃ bhāvanā sadā /	* jIvan eva vimuktaH asO yasya-iyam BAvanA sadA /
   * yaḥ śivaṃ bhāvayen nityaṃ na kālaḥ kalayettu tam /	* yaH Sivam BAvayet nityam na kAlaH kalayet-tu tam /
   * yogī svacchandayogena svacchandagaticāriṇā /	* yogI svacCanda-yogena svacCanda-gati-cAriNA /
   * sa svacchandapade yuktaḥ svacchandasamatāṃ vrajet /	* sa svacCanda-pade yuktaH svacCanda-sama-tAm vrajet /
   * svacchandaścaiva svacchandaḥ svacchando vicaret sadā || VSpkC_2.6-7:11	* svacCandaH-ca-eva svacCandaH svacCandaH vicaret sadA || VSpkC_2.6-7:11
   * ityanena sahajasaṃdarbheṇa sapraśaṃsaṃ paścādupadiṣṭaḥ || VSpkC_2.6-7:12	* iti-anena sahaja-saMdarBeNa sa-praSaMsam paScAt-upadizwaH || VSpkC_2.6-7:12
   * ayamevātmano graho jñānaṃ yaducyate ātmā jñātavya iti tatredam eva	* ayam-eva-AtmanaH grahaH jQAnam yat-ucyate AtmA jQAtavyaH iti tatra-idam eva
   sarvajñasarvakartṛsvatantraśivasvarūpatayā pratyabhijñānam ātmano jñānaṃ	sarvajQa-sarva-kartR-svatantra-Siva-svarUpa-tayA pratyaBijQAnam AtmanaH jQAnam
   na tu /	na tu /
   * puruṣa evedaṃ sarvam || VSpkC_2.6-7:13	* puruzaH eva-idam sarvam || VSpkC_2.6-7:13
   * iti śrutyantaviduktam /	* iti Sruti-anta-vid-uktam /
   * ta ātmopāsakāḥ sarve na gacchanti paraṃ padam || VSpkC_2.6-7:14	* te Atma-upAsakAH sarve na gacCanti param padam || VSpkC_2.6-7:14
   * ityāmnāyokteḥ || VSpkC_2.6-7:15	* iti-AmnAya-ukteH || VSpkC_2.6-7:15
   * tathā dīkṣāvasare yojanikādyarthamayameva śiṣyātmano'nugrahaḥ imāmeva	* taTA dIkzA-avasare yojanikA-Adi-arTa-m-ayam-eva Sizya-AtmanaH-anugrahaH imAm-eva
   samāpattiṃ vidvānācāryaḥ śiṣyātmānaṃ śive yojayannācāryo bhavatītyarthaḥ	samApattim vidvAn-AcAryaH Sizya-AtmAnam Sive yojayan=-AcAryaH Bavati-iti-arTaH
   || VSpkC_2.6-7:16	|| VSpkC_2.6-7:16
   * iyaṃ svapratyayasiddhā putrakādeḥ śivātmanaḥ sadbhāvasya	* iyam sva-pratyaya-sidDA putraka-AdeH Siva-AtmanaH sadBAvasya
   pāramārthikasvarūpasya dāyinī nirvāṇadīkṣā || VSpkC_2.6-7:17	pAramArTika-svarUpasya dAyinI nirvANa-dIkzA || VSpkC_2.6-7:17
   * yathoktam /	* yaToktam /
