   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   puṇyair aho bata nṛpo navasāhasāṅkaḥ Pnc_18.10d	puNyEH aho bata nRpaH nava sAhasa aFkaH Pn= _18.10d
   putro yayos tvaṃ naralokapālaḥ Pnc_9.5d	putraH yayoH tvam nara lokapAlaH Pn= _9.5d
   punaruktacāṭupaṭubhiḥ priyaiḥ saha Pnc_15.33d	punar ukta cAwu pawuBiH priyEH saha Pn= _15.33d
   punaruktīkṛtonnidra  Pnc_6.33c	punaruktIkRta unnidra Pn= _6.33c
   punaḥpuna iti svādu Pnc_6.12a	punar punaH iti svAdu Pn= _6.12a
   punaḥ punas tasya vilokya śoṇatām Pnc_13.23b	punar punar tasya vilokya SoNa tAm Pnc_13.23b
   punaḥ punaḥ prārthitayāpi yat tvayā Pnc_13.50b	punar punar prArTitayA api yat tvayA Pn= _13.50b
   punaḥ punaḥ ṣaṭpadarājimecakāṃ Pnc_4.3a	punar punar zawpada rAji mecakAm Pnd _4.3a
   punaḥ punaḥ saṃspṛśatīva kautukāt Pnc_7.50c	punar punar saMspRSati iva kOtukAt Pn= _7.50c
   punaḥ prasabhavardhiṣṇu  Pnc_2.13c	punar prasaBa varDizNu Pn= _2.13c
   punaḥ samāgacchatu patralekhā Pnc_9.63d	punar samAgacCatu patra leKA Pn= _9.63d
   puno 'pi tathā tatpratyāśānimīlitalocanaḥ Pnc_12.81b	punaH api taTA tad pratyASA nimIlita locanaH Pn= _12.81b
   puno 'pi tam avekṣituṃ niśānte Pnc_2.100c	punaH api tam avekzitum niSA ante Pn= _2.100c
   puno 'py āpatiṣyati Pnc_2.56d	punaH api Apatizyati Pn= _2.56d
   pumāṃsam agre na hariṃ tam aikṣata Pnc_13.28d	pumAMsam agre na harim tam Ekzata Pn= _13.28d
   purata imām ayam abjinīm upetaḥ Pnc_3.33b	puratas imAm ayam abjinIm upetaH Pnd _3.33b
   purataḥ śuko 'sya puna ity abhāṣata Pnc_10.45d	puratas SukaH asya punas iti aBAzata Pn= _10.45d
   purato rāgahṛte vivasvati Pnc_12.26b	puratas rAga hRte vivasvati Pnd _12.26b
   purandhribimbādharakānticoraḥ Pnc_14.44b	puranDri bimba aDara kAnti coraH Pnc_14.44b
   purandhribhiḥ saudhatalasthitābhiḥ Pnc_1.42b	puranDriBiH sODa tala sTitABiH Pnd _1.42b
   puram uta parvatapakṣaśātanasya Pnc_3.68b	puram uta parvata pakza SAtanasya Pnc_3.68b
   puraṃ kālakramāt tena Pnc_11.98a	puram kAla kramAt tena Pn= _11.98a
   puraḥ patākeyam ayugmapatriṇaḥ Pnc_7.6d	puras patAkA iyam ayugma patriNaH Pn= _7.6d
   puraḥ pade pade tasya Pnc_2.9a	puras pade pade tasya Pn= _2.9a
   puraḥ paścāt tu jīvitam Pnc_2.22d	puras paScAt tu jIvitam Pn= _2.22d
   puraḥ puṣkariṇī tava Pnc_2.68d	puras puzkariNI tava Pn= _2.68d
   puraḥ puṣpitayānayā Pnc_6.76b	puras puzpitayA anayA Pn= _6.76b
   puraḥ prasarpattatsainya  Pnc_16.63c	puras prasarpat tat sEnya Pn= _16.63c
   puraḥ śirasy āhitamanmathājñayā Pnc_7.32a	puras Sirasi Ahita manmaTa AjQayA Pn= _7.32a
   puraḥ sandhyeva pāṭalā Pnc_6.98d	puras sanDyA iva pAwalA Pn= _6.98d
   purā kila brahmakamaṇḍalor yat Pnc_1.48a	purA kila brahma kamaNxaloH yat Pnd _1.48a
   purāṇakūrmaśeṣaṃ yaś Pnc_11.72c	purANa kUrma Sezam yaH Pn= _11.72c
   purātanālekhyam ivāsphuṭaṃ hṛdi Pnc_13.2d	purAtana AleKyam iva asPuwam hRdi Pn= _13.2d
   purī vihāyasy amarāvatīva Pnc_1.17b	purI vihAyasi amarAvatI iva Pnc_1.17b
   purīṃ ratnavatīm prati Pnc_16.60d	purIm ratnavatIm prati Pn= _16.60d
   purukutsasya bhūpateḥ Pnc_11.111d	purukutsasya BUpateH Pn= _11.111d
   puroḍāśasugandhayaḥ Pnc_11.18d	puroxASa suganDayaH Pn= _11.18d
   puro raṇotsekabhṛtāṃ niruddham Pnc_17.5a	puras raNa utseka BRtAm nirudDam Pnc_17.5a
   puro vimuñcannayane yadṛcchayā Pnc_4.9a	puras vimuQcat nayane yadRcCayA Pn= _4.9a
   pulakaḥ kapolaphalake ca subhruvām Pnc_15.54d	pulakaH kapola Palake ca suBruvAm Pn= _15.54d
   pulakālaṅkṛtapīvarastanīm Pnc_12.68b	pulaka alaFkRta pIvara stanIm Pnc_12.68b
   pulakiny adhikaṃ vimuñcatīṃ Pnc_12.13c	pulakini aDikam vimuQcatIm Pn= _12.13c
   pulakena cumbitakapolam ānanam Pnc_10.5b	pulakena cumbita kapolam Ananam Pnc_10.5b
   pulinasthalīkanakavallidhāmasu Pnc_15.35d	pulina sTalI kanaka vat liDAmasu Pn= _15.35d
   pulinaṃ prāpa pāṭalā Pnc_16.1b	pulinam prApa pAwalA Pnc_16.1b
   pulinaṃ somabhuvas taraṅgavatyāḥ Pnc_5.57b	pulinam soma BuvaH taraFgavatyAH Pnc_5.57b
   Pulinādrau ca payodhavelayā Pnc_12.62d	PulinAdrO ca payoDa velayA Pn= _12.62d
   puline saritaḥ śaśāṅkasūteḥ Pnc_5.28c	puline saritaH SaSAFka sUteH Pn= _5.28c
   pulomakanyāpatikārmukair iva Pnc_13.39d	pulomakanyA pati kArmukEH iva Pn= _13.39d
   puṣpakesaraśobhinā Pnc_2.91b	puzpakesara SoBinA Pnc_2.91b
   puṣpadāma dadhatī saṣaṭpadaṃ Pnc_8.72a	puzpadAma daDatI sa zawpadam Pn= _8.72a
   puṣpapravālāṅkuramaṇḍalaṃ tat Pnc_14.78a	puzpa pravAla aFkura maNxalam tat Pnc_14.78a
   puṣpaśarataralitā dadhire Pnc_15.45c	puzpa Sara taralitAH daDire Pn= _15.45c
   puṣpāñjaliḥ saḥ puram ujjayinīṃ viveśa Pnc_18.58d	puzpAQjaliH saH puram ujjayinIm viveSa Pn= _18.58d
   puṣpāṇi cinvaty atimuktakasya Pnc_14.52a	puzpANi cinvati atimuktakasya Pnd _14.52a
   puṣpāṇi nānāvidhavarṇabhāñji Pnc_14.58a	puzpANi nAnAviDa varNa BAQji Pn= _14.58a
   Puṣpeṣutalpe iva vakṣasi vallabhānāṃ Pnc_15.73c	Puzpa izu talpe iva vakzasi vallaBAnAm Pn= _15.73c
   puṣpair itaḥ kalpitam ātitheyam Pnc_14.55d	puzpEH itas kalpitam AtiTeyam Pn= _14.55d
   puṣpoccaye loladṛśaḥ pravṛttāḥ Pnc_14.38d	puzpa uccaye lola dRSaH pravRttAH Pn= _14.38d
   puṣpodgameneva latā Pnc_6.112a	puzpa udgamena iva latA Pn= _6.112a
   pustakalpita ivābhavat kṣaṇam Pnc_8.27d	pusta kalpitaH iva aBavat kzaNam Pn= _8.27d
   puṃḥkokilakulollāpa  Pnc_11.13 nc	puMHkokila kula ulla apa Pn= _11.13 nc
   pūganāgalatādalān Pnc_11.10d	pUga nAga latA dalAn Pn= _11.10d
   pūtām avabhṛtais tanum Pnc_11.78b	pUtAm avaBRtEH tanum Pnc_11.78b
   pūrapravṛddhārṇavapīḍitāni Pnc_17.30d	pUra pravRdDa arNava pIxitAni Pn= _17.30d
   pūrṇapratijñam uragādhipatiṃ vidhehi Pnc_18.40d	pUrNa pratijQam uraga aDipatim viDehi Pn= _18.40d
   pūrṇam indum iva siṃhikāsutaḥ Pnc_8.50d	pUrNam indum iva siMhikAsutaH Pn= _8.50d
   pūrṇendukānti sahasā nigṛhītaśatrur Pnc_18.53c	pUrNa indu kAnti sahasA nigRhIta SatruH Pn= _18.53c
   pūrṇendubimbād api sundarāṇi Pnc_1.6a	pUrNa indu bimbAt api sundarANi Pnd _1.6a
   pūrvopakāriṇi jane 'nupakṛtya kiṃ cid Pnc_13.66c	pUrva upakAriNi jane anupakRtya kim cit Pn= _13.66c
   pūṣā darśa ivendunā Pnc_16.61d	pUzA darSaH iva indunA Pn= _16.61d
   pṛthag asmi deva na hi te paricchadāt Pnc_10.50c	pRTak asmi deva na hi te paricCadAt Pn= _10.50c
   pṛthivībhṛtaḥ prathitavikrameṇa ye Pnc_10.13a	pRTivIBRtaH praTita vikrameNa ye Pnc_10.13a
   pṛthivīṃ durvilakṣatām Pnc_2.44d	pRTivIm durvilakza tAm Pn= _2.44d
   pṛthivīṃ yatra saḥ śeṣanāgarājaḥ Pnc_5.11b	pRTivIm yatra saH Seza nAga rAjaH Pn= _5.11b
   pṛthupratāpaḥ savitā yathaiva Pnc_9.24a	pRTu pratApaH savitA yaTA eva Pn= _9.24a
   pṛthur jaṭājūṭa ivāndhakadviṣaḥ Pnc_13.37d	pRTuH jawA jUwaH iva anDaka dvizaH Pn= _13.37d
   pṛthuhāratārataralāṃśupallavaḥ Pnc_15.24d	pRTuhAra tAra tarala aMSu pallavaH Pn= _15.24d
   pṛthvītalāgamanahetum ajānateva Pnc_13.65b	pRTvI tala Agamana hetum ajAnatA iva Pn= _13.65b
   pṛthvī doṣṇi niveśitā Pnc_11.98d	pRTvI dozNi niveSitA Pn= _11.98d
   pṛṣatachadmanā dṛśaḥ Pnc_16.26d	pRzata CadmanA dRSaH Pn= _16.26d
   pṛṣṭaḥ sa vismayasamutsukamānasena Pnc_18.42b	pRzwaH sa vismaya samutsuka mAnasena Pn= _18.42b
   petur amarasaritaḥ puline Pnc_15.66c	petuH amara saritaH puline Pn= _15.66c
   petur netraparamparāḥ Pnc_6.32d	petuH netra paramparAH Pn= _6.32d
   peśaloktinipuṇasya pakṣiṇas Pnc_8.78a	peSala ukti nipuNasya pakziNaH Pnd _8.78a
   paurastrīparidevanā Pnc_16.115b	pOra strI paridevanA Pn= _16.115b
   pauraiś ciram adṛśyata Pnc_16.68d	pOrEH ciram adRSyata Pn= _16.68d
   paulastyabhujasampradā Pnc_11.58d	pOlastya Buja sampradA Pn= _11.58d
   Paulomīramaṇasyeva Pnc_11.84a	POlomI ramaNasya iva Pn= _11.84a
   prakaṭaṃ dadhaj jhaṭiti rāgam Pnc_15.48a	prakawam daDat Jawiti rAgam Pnc_15.48a
   prakāśanāyātra vinirmiteva Pnc_1.57d	prakASanAya atra vinirmitA iva Pn= _1.57d
   prakāśayantaḥ karaṇaprapanncaṃ Pnc_17.11a	prakASayantaH karaNa prapanncam Pn= _17.11a
   prakāśayantī pṛthivīpatiṃ prati Pnc_7.70b	prakASayantI pRTivIpatim prati Pnd _7.70b
   prakāśitāśaṃ paritaḥ prajānāṃ Pnc_1.79a	prakASitASam paritas prajAnAm Pnd _1.79a
   prakṛtiḥ kila yasya te parītā Pnc_5.34a	prakRtiH kila yasya te parItA Pn= _5.34a
   pracchannaśaraśāsanalocanāya Pnc_18.16b	pracCanna Sara SAsana locanAya Pnd _18.16b
   Prajāpater adbhutaśilpakarmaṇi Pnc_7.7b	PrajApateH adButa Silpa karmaNi Pnd _7.7b
   prajāpuṇyair mahodayam Pnc_11.87b	prajA puNyEH mahA udayam Pnc_11.87b
   praṇanāma mahībhuje Pnc_16.7b	praNanAma mahIBuje Pnc_16.7b
   praṇayanihitapādayāvakāṅkaṃ Pnc_3.10c	praNaya nihita pAda yAvaka aFkam Pn= _3.10c
   praṇayārpitalocanā sanāmany Pnc_5.44c	praNaya arpita locanA sa nAmani Pn= _5.44c
   praṇayibhyo dadau dṛśā Pnc_11.96b	praNayiByaH dadO dRSA Pn= _11.96b
   praṇayena naiva saḥ samarpayiṣyati Pnc_10.30b	praNayena na eva saH samarpayizyati Pnd _10.30b
   praṇayoktibhir munir atha prasedivān Pnc_10.47a	praNaya uktiBiH muniH aTa prasedivAn Pnd _10.47a
   praṇāmam asmai saś cakāra sādaram Pnc_13.12d	praNAmam asmE saH cakAra sa Adaram Pn= _13.12d
   praṇāmalagnās tava pādapāṃsavaḥ Pnc_13.16b	praNAma lagnAH tava pAda pAMsavaH Pnc_13.16b
   pratāpajvalanāv iva Pnc_16.73d	pratApa jvalanO iva Pn= _16.73d
   pratikriyāṃ tatra na kartum asmy alam Pnc_13.61b	pratikriyAm tatra na kartum asmi alam Pnc_13.61b
   pratikṣaṇaṃ yā galitāṃśukānām Pnc_1.30a	pratikzaNam yA galita aMSukAnAm Pnd _1.30a
   pratipaccandra iva uditas tvam eva Pnc_5.4d	pratipad candraH iva uditaH tvam eva Pn= _5.4d
   pratipadam atidīrghahārabhārāt Pnc_3.12a	pratipadam ati dIrGa hAra BArAt Pn= _3.12a
   pratiprahāraṃ radajaḥ kṛṣānuḥ Pnc_17.54b	pratiprahAram rada jaH kRzAnuH Pn= _17.54b
   pratibaddharūkṣamalinaikaveṇayaḥ Pnc_10.18b	pratibadDa rUkza malina eka veNayaH Pn= _10.18b
   pratibimbagarbham abhikārpitaṃ papau Pnc_15.56d	pratibimba garBam aBikA arpitam papO Pn= _15.56d
   pratibhāti kiṃ cana mamaiva tatra te Pnc_10.36c	pratiBAti kim cana mama eva tatra te Pn= _10.36c
   pratibhāti dadhan phaṇākalāpe Pnc_5.11a	pratiBAti daDan PaNA kalApe Pn= _5.11a
   pratibhānti puras te 'pi Pnc_11.63a	pratiBAnti puras te api Pnd _11.63a
   pratimandriram evam eva yasyām Pnc_5.18c	pratimandriram evam eva yasyAm Pn= _5.18c
   pratimam upāntacare nidhāya cakṣuḥ Pnc_3.19b	pratimam upAnta care niDAya cakzuH Pnc_3.19b
   pratimāgatendukarajāla  Pnc_15.55a	pratimA Agata indu kara jAla Pn= _15.55a
   pratimendur iva ambhasi Pnc_6.36d	pratima induH iva amBasi Pn= _6.36d
   pratilatam āyatamauktikaprabhāsu Pnc_3.58b	pratilatam Ayata mOktika praBAsu Pnc_3.58b
   prativaktuṃ pracakrame Pnc_16.104d	prativaktum pracakrame Pn= _16.104d
   pratyagradāvānalalīḍhakoṭi  Pnc_17.4c	pratyagra dAvAnala lIXa kowi Pn= _17.4c
   pratyabhāṣata sāvajñaṃ Pnc_16.92c	pratyaBAzata sa avajQam Pn= _16.92c
   pratyuktakarṇārjunayor jayaśrīḥ Pnc_17.67b	pratyukta karNa arjunayoH jaya SrIH Pnc_17.67b
   pratyudyayāv adhipatiḥ phaṇinām anargha  Pnc_18.1c	pratyudyayO aDipatiH PaNinAm anarGa Pn= _18.1c
   pratyuptakalpatarupallavam eṣa pāṇim Pnc_18.13c	pratyupta kalpa taru pallavam eza pANim Pn= _18.13c
   pratyuptamuktāphaladanturāṇi Pnc_14.72c	pratyupta muktAPala danturANi Pn= _14.72c
   pratyuptaratnam abhitaḥ pramadāvakīrṇaṃ Pnc_18.29a	pratyupta ratnam aBitas pramadA avakIrNam Pn= _18.29a
   prathamaṃ madhuny adharapallave tataḥ Pnc_15.62d	praTamam maDuni aDara pallave tatas Pn= _15.62d
   prathamaṃ hi maṇḍalam akhaṇḍaśāktibhir Pnc_10.8a	praTamam hi maNxalam aKaNxa SAktiBiH Pnd _10.8a
   pradīpaśobhāṃ kabarīṃ niśāmukhe Pnc_7.14b	pradIpa SoBAm kabarIm niSA muKe Pnc_7.14b
   pradhāvadaśvīyakhurāhatānām Pnc_17.17a	praDAvat aSvIya Kura AhatAnAm Pnd _17.17a
   pradhāvamānena mayāntarāntarā Pnc_13.47a	praDA avamAnena mayA antara antarA Pn= _13.47a
   prapannā vidhurāṃ daśām Pnc_16.48b	prapannAH viDurAm daSAm Pnc_16.48b
   prapedire pūrvasurojjhitāni Pnc_17.14c	prapedire pUrva sura ujJitAni Pn= _17.14c
   prapede kusumāśleṣa  Pnc_16.64c	prapede kusuma ASleza Pn= _16.64c
   prabodhe yadanaṅgāgneḥ Pnc_6.14c	praboDe yat anaFga agneH Pn= _6.14c
   prabhayā māṃ na tathety asūyayeva Pnc_5.9b	praBayA mAm na taTA iti asUyayA iva Pn= _5.9b
   prabhavanti tatra tava pādapāṃsavaḥ Pnc_10.40b	praBavanti tatra tava pAda pAMsavaH Pnc_10.40b
   prabhāṅkuraprāśitam andhakāram Pnc_14.10d	praBA aFkura prASitam anDakAram Pn= _14.10d
   prabhāmaṇḍalaparyasta  Pnc_11.23a	praBA maNxala paryasta Pn= _11.23a
   prabhuśāktir udyamaparatvam arpita  Pnc_10.25a	praBu SAktiH udyama paratvam arpita Pn= _10.25a
   prabhus tava nayajño 'pi Pnc_16.98a	praBuH tava naya jQaH api Pn= _16.98a
   pramadevārdranakhāṅkarekhayā Pnc_12.49d	pramadA iva Ardra naKa aFka reKayA Pn= _12.49d
   pramanāḥ kelinagendrakandaram Pnc_12.66d	pramanAH keli naga indra kandaram Pn= _12.66d
   pramāṇīkriyatāṃ vacaḥ Pnc_16.91d	pramANIkriyatAm vacaH Pn= _16.91d
   pramuditamunikanyakāmuktanīvāralājāñjaliḥ Pnc_13.72b	pramudita muni kanyakA mukta nIvAra lAja aQjaliH Pnc_13.72b
   pramṛṣṭakāntākucapatralekhe Pnc_17.56c	pramRzwa kAntA kuca patra leKe Pn= _17.56c
   pramṛṣṭabāṣpā sumukhī nakhābhyāṃ Pnc_14.56c	pramRzwa bAzpA sumuKI naKAByAm Pn= _14.56c
   pramṛṣtamṛgayāreṇu Pnc_2.75a	pramRzta mRgayA reNu Pn= _2.75a
   pramodam āpteyam ito vilokite Pnc_7.62c	pramodam Apteyam itas vilokite Pn= _7.62c
   pramodavistaritayā dṛśā nṛpaḥ Pnc_7.72d	pramoda vistaritayA dRSA nRpaH Pn= _7.72d
   pramododyānam idaṃ nimīlati Pnc_12.42d	pramoda udyAnam idam nimIlati Pn= _12.42d
   prayāṇatūryadhvanir eṣa kiṃ te Pnc_14.9a	prayANa tUrya DvaniH eza kim te Pn= _14.9a
   prayāti sāsūyam iyaṃ kathaṃcana Pnc_4.20c	prayAti sa asUyam iyam kaTaMcana Pn= _4.20c
   pralayāmbudharadhvāna  Pnc_16.52c	pralaya ambuDara DvAna Pn= _16.52c
   pravartitātivistīrṇa  Pnc_11.72a	pravartita ati vistIrNa Pn= _11.72a
   pravālatāmrāṅgulir āyatākṣyāḥ Pnc_14.48b	pravAla tAmra aFguliH Ayata akzyAH Pnc_14.48b
   pravālalīlāstaraṇe niṣaṇṇā Pnc_10.66c	pravAla lIlA AstaraNe nizaNNA Pn= _10.66c
   praviveśa tayāsamaṃ kila Pnc_12.66c	praviveSa tayA asamam kila Pn= _12.66c
   pravṛttapatiśokārta  Pnc_16.115a	pravRtta pati Soka Arta Pn= _16.115a
   praśasti parito viśvam Pnc_11.99a	praSasti paritas viSvam Pnc_11.99a
   praśāntacintāsantāne Pnc_11.74a	praSAnta cintA santAne Pn= _11.74a
   praśāntaye vighnatamaśchaṭānāṃ Pnc_1.3c	praSAntaye viGnatamaH CawAnAm Pn= _1.3c
   praśnair anena vihito na tavopacāraḥ Pnc_4.62b	praSnEH anena vihitaH na tava upacAraH Pnc_4.62b
   prasaktam āścaryam iyaṃ vanasthalī Pnc_4.25d	prasaktam AScaryam iyam vanasTalI Pn= _4.25d
   prasabham abhajyata pārthivasya nidrā Pnc_12.80d	prasaBam aBajyata pArTivasya nidrA Pn= _12.80d
   prasabham upāhṛtam ātmano yaśobhiḥ Pnc_3.14d	prasaBam upAhRtam AtmanaH yaSoBiH Pn= _3.14d
   prasabhaṃ vihitās tvayā yad ete Pnc_5.60c	prasaBam vihitAH tvayA yat ete Pn= _5.60c
   prasaram idaṃ jagade ramāṅgadena Pnc_3.26d	prasaram idam jagade rama aFgadena Pn= _3.26d
   prasareyaṃ bhāratī ullasati kasya bhāratī Pnc_10.42b	prasareyam BAratI ullasati kasya BAratI Pnc_10.42b
   prasavollāsavasantavāsareṇa Pnc_5.58b	prasava ullAsa vasanta vAsareNa Pnd _5.58b
   prasādam asmākam araṇyadurlabhair Pnc_4.17a	prasAdam asmAkam araNya durlaBEH Pnc_4.17a
   prasādam āptena cirād vilīne Pnc_9.63a	prasAdam Aptena cirAt vilIne Pn= _9.63a
   prasādayan dantamarīcibhir diśaḥ Pnc_13.31b	prasAdayan danta marIciBiH diSaH Pnc_13.31b
   prasādavat tadvadanaṃ vilokya Pnc_1.39b	prasAda vat tat vadanam vilokya Pnd _1.39b
   prasādahṛdyālaṅkārais Pnc_2.93a	prasAda hRdya alaFkArEH Pnd _2.93a
   prasādeneva bhāratī Pnc_6.112b	prasAdena iva BAratI Pnc_6.112b
   prasādhitā yena ca bālya eva Pnc_1.66a	prasADitAH yena ca bAlyaH eva Pn= _1.66a
   prasuptajūṭāhimukhāniloṣmaṇā Pnc_4.49c	prasupta jUwA ahi muKa anila UzmaNA Pn= _4.49c
   prasūnam apy atra na jātu vīrudhāṃ Pnc_13.55a	prasUnam api atra na jAtu vIruDAm Pn= _13.55a
   prasūnam iva mādhavī Pnc_6.43d	prasUnam iva mADavI Pn= _6.43d
   prasṛtaṃ saṃprati sarvatas tamaḥ Pnc_12.41d	prasRtam saMprati sarvatas tamaH Pn= _12.41d
   prasṛtā iva nirgatya Pnc_11.32c	prasRtAH iva nirgatya Pn= _11.32c
   prasṛteva vilocanodare Pnc_12.58a	prasRtA iva vilocana udare Pn= _12.58a
   prasṛtair girikandarodarāt Pnc_12.43a	prasRtEH giri kandara udarAt Pn= _12.43a
   prastitau raviniśākarāv iva Pnc_8.43d	prastitO ravi niSAkarO iva Pn= _8.43d
   prasthānamaṅgalavidhir masṛṇaṃ pratasthe Pnc_13.69d	prasTAna maFgala viDiH masRNam pratasTe Pn= _13.69d
   prasthānalājāñjalayas tavaite Pnc_14.12c	prasTAna lAja aQjalayaH tava ete Pn= _14.12c
   prasthānaśaṃsī sahasā Pnc_16.52a	prasTAna SaMsI sahasA Pn= _16.52a
   prasthitas tad anu sodyamaṃ puraḥ Pnc_8.60a	prasTitaH tat anu sa udyamam puras Pn= _8.60a
   prasthitenāmbikāpateḥ Pnc_11.98b	prasTitena ambikApateH Pnd _11.98b
   praharan kelimṛge kṛtavyālīkaḥ Pnc_5.53d	praharan keli mRge kRta vyAlIkaH Pn= _5.53d
   prahitanijāyudhacitrapuṣpamudraḥ Pnc_3.60d	prahita nija AyuDa citra puzpa mudraH Pn= _3.60d
   prākāravapracchalataḥ śarīram Pnc_1.19a	prAkAra va pracCalataH SarIram Pnc_1.19a
   prāgbhārasāgarasamuttaraṇaikapotaḥ Pnc_18.12b	prAgBAra sAgara samuttaraNa ekapotaH Pnc_18.12b
   prāñjaleḥ śaṃsitas tayā Pnc_11.110b	prAQjaleH SaMsitaH tayA Pn= _11.110b
   prāpa puṣkariṇītīram Pnc_2.72c	prApa puzkariNI tIram Pn= _2.72c
   prāpa mekalasutā samānatām Pnc_8.44c	prApa mekala sutA samAna tAm Pn= _8.44c
   prāpa ratnavatīṃ purīm Pnc_16.66d	prApa ratnavatIm purIm Pn= _16.66d
   prāpi ratiramaṇavilāsatulā Pnc_15.10c	prApi rati ramaNa vilAsa tulA Pn= _15.10c
   prāpur atipṛthudṛśāṃ sahasā Pnc_15.63c	prApuH ati pRTu dRSAm sahasA Pn= _15.63c
   prāptasthitir vikaṭakāñcanaviṣṭareṣu Pnc_18.26b	prApta sTitiH vikawa kAQcana vizwarezu Pnd _18.26b
   prāptaḥ paryutsuko bhavān Pnc_6.107b	prAptaH paryutsukaH BavAn Pnc_6.107b
   prāptāvakāśaḥ kāmo 'pi Pnc_6.83c	prApta avakASaH kAmaH api Pn= _6.83c
   prāpto mṛṇālahāro 'pi Pnc_16.41c	prAptaH mRNAla hAraH api Pn= _16.41c
   prāyo vastv anyathāpadi Pnc_16.41b	prAyas vastu anyaTA Apadi Pnd _16.41b
   prārthanīyapriyasparśāṃ Pnc_6.79c	prArTanIya priya sparSAm Pn= _6.79c
   prālambamālām avalagnamadhyā Pnc_9.20b	prAlamba mAlAm avalagna maDyA Pn= _9.20b
   prālambimuktāphalajālakāni Pnc_1.21b	prAlambi muktAPala jAlakAni Pnd _1.21b
   prālambocchaladacchakāntinikarasmerām avāpat purīm Pnc_17.76d	prAlamba ucCalat acCa kAnti nikara smerAm avApat purIm Pn= _17.76d
   prāvṛḍvilāsasmitam udvahantī Pnc_14.50a	prAvRz vilAsa smitam udvahantI Pn= _14.50a
   prāvṛḍvilāsālāsyānām Pnc_11.55c	prAvRz vilAsa AlAsyAnAm Pn= _11.55c
   prāṃśu vaṃśalatayā saḥ sānugaḥ Pnc_8.59b	prAMSu vaMSala tayA saH sa anugaH Pnc_8.59b
   priyakīrtayo jayapavitritāśayās Pnc_10.12a	priya kIrtayaH jaya pavitri ta ASayAH Pn= _10.12a
   priyapāṇipaṅkajadhṛteṣu Pnc_15.47a	priya pANi paFkaja DRtezu Pn= _15.47a
   priyayā cānasūyayā Pnc_11.36b	priyayA ca anasUyayA Pn= _11.36b
   priyayā sāśrur ayaṃ vihaṅgamaḥ Pnc_12.24d	priyayA sa aSruH ayam vihaFgamaH Pn= _12.24d
   priyalocanāny aramayan mṛgīdṛśaḥ Pnc_15.34d	priya locanAni aramayan mRgI dRSaH Pn= _15.34d
   priyasomaḥ sadāyuktaḥ Pnc_11.36a	priyasomaH sadA yuktaH Pn= _11.36a
   priyaṃ naḥ sa ayam āyāti Pnc_6.102a	priyam naH saH ayam AyAti Pnd _6.102a
   priyaṃvadatvena tavāmunā ca Pnc_9.6b	priyaMvada tvena tava amunA ca Pnc_9.6b
   priyā iyam ārūḍhaguṇā suvaṃśabhūr Pnc_4.32a	priyA iyam ArUXa guNA su vaMSa BUH Pnc_4.32a
   priyā yayāce praṇipatya mālatī Pnc_13.34 >d	priyA yayAce praNipatya mAlatI Pn= _13.34 >d
   priyārpitaḥ kāntanipītamukta  Pnc_14.44a	priya arpitaH kAnta nipIta mukta Pn= _14.44a
   priyāvataṃsīkṛtacandralekhā Pnc_14.50c	priya avataMsIkRta candra leKA Pn= _14.50c
   premarasamṛduṣu dīrghadṛśāṃ Pnc_15.61c	prema rasa mRduzu dIrGa dRSAm Pn= _15.61c
   preyasī tava hṛtāntikād iti Pnc_8.26b	preyasI tava hRta antikAt iti Pnd _8.26b
   preyān vipañcīraṇitaṃ Pnc_6.88c	preyAn vipaQcI raNitam Pn= _6.88c
   preṣitaḥ prabhuṇāviśat Pnc_16.67b	prezitaH praBuNA AviSat Pnc_16.67b
   pronmīlitorunayaneva purī babhūva Pnc_18.63d	pronmIlita Uru nayanA iva purI baBUva Pn= _18.63d
   plavaṅgaśāve 'dhigate vimānam Pnc_14.51b	plavaFga SAve aDigate vimAnam Pnc_14.51b
   phaṇāratnāṃśusūcayaḥ Pnc_16.63d	PaNA ratna aMSu sUcayaH Pn= _16.63d
   phaṇāvalīṣv āpatitoragāṇām Pnc_17.15a	PaNa AvalIzu Apatita uragANAm Pnc_17.15a
   phaṇikanyāsu muhūrtaviklavāsu Pnc_5.35d	PaNi kanyAsu muhUrta viklavAsu Pn= _5.35d
   phaṇikanyocitā patnī Pnc_16.109c	PaNi kanya ucitA patnI Pn= _16.109c
   phaṇikāntārdhavilokitāni vīṇāḥ Pnc_5.13b	PaNikA anta arDa vilokitAni vINAH Pnc_5.13b
   phaṇinām anamramaṇitoraṇāṃ purīm Pnc_10.49d	PaNinAm anamra maNi toraNAm purIm Pn= _10.49d
   phaṇināṃ bhartur upoḍhavismayā sā Pnc_5.64b	PaNinAm BartuH upoXa vismayA sA Pnd _5.64b
   phaṇino 'ruṇakāntibhiḥ śirasthair Pnc_5.8c	PaNinaH aruNa kAntiBiH Sira sTEH Pn= _5.8c
   phaṇirājasutākathān Pnc_11.12d	PaNi rAja sutA kaTAn Pn= _11.12d
   phaṇirājasutākarṇaṃ Pnc_16.17a	PaNi rAja sutAkarNam Pnd _16.17a
   phaṇirājasutām eṣa Pnc_16.87a	PaNi rAja sutAm eza Pnc_16.87a
