   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   gandhapuṣpendukalikā dalapuṣpā tripañcadhā // Rajni_10.68	ganDa puzpa indu kalikA dala puzpA tri paQcaDA // Rajni_10.68
   svarṇādiketakī tv anyā jñeyā sā hemaketakī /	svarNa Adi ketakI tu anyA jQeyA sA hema ketakI /
   kanakaprasavā puṣpī haimī chinnaruhā tathā /	kanakaprasavA puzpI hEmI CinnaruhA taTA /
   viṣṭaruhā svarṇapuṣpī kāmakhaḍgadalā ca sā // Rajni_10.69	vizwaruhA svarNapuzpI kAma Kaxga dalA ca sA // Rajni_10.69
   ketakīkusumaṃ varṇyaṃ keśadaurgandhyanāśanam /	ketakI kusumam varNyam keSa dOrganDya nASanam /
   hemābhaṃ madanonmādavarddhanaṃ saukhyakāri ca // Rajni_10.70	hema ABam madana unmAda vardDanam sOKya kAri ca // Rajni_10.70
   tasyāḥ stano 'tiśiśiraḥ kaṭuḥ pittakaphāpahaḥ /	tasyAH stanaH ati SiSiraH kawuH pitta kaPa apahaH /
   rasāyanakaro balyo dehadārḍhyakaraḥ paraḥ // Rajni_10.71	rasAyana karaH balyaH deha dArXya karaH paraH // Rajni_10.71
   sindūrī vīrapuṣpaś ca tṛṇapuṣpī karacchadaḥ /	sindUrI vIrapuzpaH ca tRNapuzpI karacCadaH /
   sindūrapuṣpī śoṇādipuṣpī ṣaḍāhvayaḥ smṛtaḥ // Rajni_10.72	sindUrapuzpI SoNa Adi puzpI zaz AhvayaH smRtaH // Rajni_10.72
   sindūrī kaṭukā tiktā kaṣāyā śleṣmavātajit /	sindUrI kawukA tiktA kazAyA Slezma vAta jit /
   śiraārtiśamanī bhūtanāśā caṇḍīpriyā bhavet // Rajni_10.73	Sira A Arti SamanI BUta nASA caNxIpriyA Bavet // Rajni_10.73
   jātī surabhigandhā syāt sumanā tu surapriyā /	jAtI suraBiganDA syAt sumanA tu surapriyA /
   cetakī sukumārā tu sandhyāpuṣpī manoharā // Rajni_10.74	cetakI sukumArA tu sanDyApuzpI manoharAH // Rajni_10.74
   rājaputrī manojñā ca mālatī tailabhāvinī /	rAjaputrI manojQA ca mAlatI tEla BAvinI /
   janeṣṭā hṛdyagandhā ca nāmāny asyāś caturdaśa /	janezwA hRdyaganDA ca nAmAni asyAH caturdaSa /
   mālatī śītatiktā syāt kaphaghnī mukhapākanut /	mAlatI SIta tiktA syAt kaPa GnI muKa pAka nud /
   kudmalaṃ netrarogaghnaṃ vraṇavisphoṭakuṣṭhanut // Rajni_10.75	kudmalam netra roga Gnam vraNa visPowa kuzWa nud // Rajni_10.75
   mudgaro gandhasāras tu saptapatraś ca kardamī /	mudgaraH ganDasAraH tu sapta patraH ca kardamI /
   vṛttapuṣpo 'tigandhaś ca gandharājo viṭapriyaḥ /	vRttapuzpaH atiganDaH ca ganDarAjaH viwapriyaH /
   geyapriyo janeṣṭaś ca mṛgeṣṭo rudrasammitaḥ // Rajni_10.76	geyapriyaH janezwaH ca mRgezwaH rudra sammitaH // Rajni_10.76
   mudgaro madhuraḥ śītaḥ surabhiḥ saukhyadāyakaḥ /	mudgaraH maDuraH SItaH suraBiH sOKya dAyakaH /
   manojño madhupānandakārī pittaprakopahṛt // Rajni_10.77	manojQaH maDupa Ananda kArI pitta prakopa hRt // Rajni_10.77
   śatapatrī tu sumanā suśītā śivavallabhā /	SatapatrI tu sumanA suSItA Siva vallaBA /
   saumyagandhā śatadalā suvṛttā śatapatrikā // Rajni_10.78	sOmyaganDA SatadalA su vRttA SatapatrikA // Rajni_10.78
   śatapatrī himā tiktā kaṣāyā kuṣṭhanāśanī /	SatapatrI himA tiktA kazAyA kuzWa nASanI /
   mukhasphoṭaharā rucyā surabhiḥ pittadāhanut // Rajni_10.79	muKa sPowa harA rucyA suraBiH pitta dAha nud // Rajni_10.79
   mallikā bhadravallī tu gaurī ca vanacandrikā /	mallikA BadravallI tu gOrI ca vana candrikA /
   śītabhīruḥ priyā saumyā nārīṣṭā girijā sitā /	SItaBIruH priyA sOmyA nArIzwA girijA sitA /
   mallī ca damayantī ca candrikā modinī manuḥ // Rajni_10.80	mallI ca damayantI ca candrikA modinI manuH // Rajni_10.80
   mallikā kaṭutiktā syāc cakṣuṣyā mukhapākanut /	mallikA kawu tiktA syAt cakzuzyA muKa pAka nud /
   kuṣṭhavisphoṭakaṇḍūtiviṣavraṇaharā parā // Rajni_10.81	kuzWa visPowa kaNxUti viza vraNa harA parA // Rajni_10.81
   vallikā modinī cānyā vaṭapatrā kumārikā /	vallikA modinI ca anyA vawa patrA kumArikAH /
   sugandhāḍhyā vṛttapuṣpā muktābhā vṛttamallikā // Rajni_10.82	suganDAXyA vRttapuzpA mukta ABA vRttamallikA // Rajni_10.82
   netrarogāpahantrī syāt kaṭūṣṇā vṛttamallikā /	netra roga apahantrI syAt kawu uzNA vRttamallikA /
   vraṇaghnī gandhabahalā dārayaty āsyajān gadān // Rajni_10.83	vraNa GnI ganDa bahalA dArayati Asya jAn gadAn // Rajni_10.83
   vārṣikā tripuṭā tryasrā surūpā sulabhā priyā /	vArzikA tripuwA tri asrA surUpA sulaBA priyA /
   śrīvallī ṣaṭpadānandā muktabandhā navābhidhā // Rajni_10.84	SrIvallI zawpada AnandA muktabanDA nava aBiDA // Rajni_10.84
   vārṣikā śiśirā hṛdyā sugandhiḥ pittanāśanī /	vArzikA SiSirA hRdyA suganDiH pitta nASanI /
   kaphavātaviṣasphoṭakrimidoṣāmanāśanī // Rajni_10.85	kaPa vAta viza sPowa krimi doza Ama nASanI // Rajni_10.85
   sā dīrghavarttulapuṣpaviśeṣād anekanirdeśā /	sA dIrGa vart tula puzpa viSezAt aneka nirdeSAH /
   mṛgamadavāsā tv anyā kastūrīmallikā jñeyā // Rajni_10.86	mRgamada vAsA tu anyA kastUrI mallikA jQeyAH // Rajni_10.86
   prātarvikasvaraikā sāyodbhidurāpi mallikā kāpi /	prAtar vikasvarA ekA sAya udBidurA api mallikA kA api /
   vanamallikā nu sā syād āsphotā kintu samaguṇopetā // Rajni_10.87	vanamallikA nu sA syAt AsPotA kintu sama guNa upetAH // Rajni_10.87
   vāsantī prahasantī vasantajā mādhavī mahājātiḥ /	vAsantI prahasantI vasanta jA mADavI mahAjAtiH /
   śītasahā madhubahalā vasantadūtī ca vasunāmnī // Rajni_10.88	SItasahA maDubahalA vasantadUtI ca vasu nAmnI // Rajni_10.88
   vāsantī śiśirā hṛdyā surabhiḥ śramahāriṇī /	vAsantI SiSirA hRdyA suraBiH Srama hAriNI /
   dhammillāmodinī mandamadanonmādadāyinī // Rajni_10.89	Dammilla AmodinI manda madana unmAda dAyinI // Rajni_10.89
   navamallikātimodā graiṣmī grīṣmodbhavā ca sā /	navamallikA atimodA grEzmI grIzmodBavA ca sA /
   saptalā sukumārā ca surabhī sūcimallikā /	saptalA sukumArA ca suraBI sUcimallikA /
   sugandhā śikhariṇī syān nevālī cendubhūhvayā // Rajni_10.90	suganDA SiKariNI syAt nevAlI ca indu BU hvayA // Rajni_10.90
   navamallikātiśaityā surabhiḥ sarvarogahṛt // Rajni_10.91	nava mallikA atiSEtyA suraBiH sarva roga hRt // Rajni_10.91
   saivātimuktakākhyā puṇḍrakanāmnī ca kācid uktānyā /	sA eva atimuktaka AKyA puNxraka nAmnI ca kAcid uktA anyAH /
   madanī bhramarānandā kāmakāntā ca pañcākhyā // Rajni_10.92	madanI BramarAnandA kAmakAntA ca paQca AKyA // Rajni_10.92
   atimuktaḥ kaṣāyaḥ syāc chiśiraḥ śramanāśanaḥ /	atimuktaH kazAyaH syAt SiSiraH Srama nASanaH /
   pittadāhajvaronmādahikkācchardinivāraṇaḥ // Rajni_10.93	pitta dAha jvara unmAda hikkA a= Cardi nivAraNaH // Rajni_10.93
   yūthikā gaṇikāmbaṣṭhā māgadhī bālapuṣpikā /	yUTikA gaNikA ambazWA mAgaDI bAlapuzpikA /
   modanī bahugandhā ca bhṛṅgānandā gajāhvayā // Rajni_10.94	modanI bahuganDA ca BRFga AnandAH gajAhvayAH // Rajni_10.94
   anyā yūthī suvarṇāhvā sugandhā hemayūthikā /	anyA yUTI suvarNAhvA suganDA hema yUTikA /
   yuvatīṣṭā vyaktagandhā śikhaṇḍī nāgapuṣpikā // Rajni_10.95	yuvatIzwA vyaktaganDA SiKaNxI nAgapuzpikA // Rajni_10.95
   hariṇī pītayūthī ca potikā kanakaprabhā /	hariNI pItayUTI ca potikA kanaka praBA /
   manoharā ca gandhāḍhyā proktā trayodaśāhvayā // Rajni_10.96	manoharA ca ganDAXyA proktA trayodaSa AhvayA // Rajni_10.96
   yūthikāyugalaṃ svādu śiśiraṃ śarkarārtinut /	yUTikA yugalam svAdu SiSiram SarkarA Arti nud /
   pittadāhatṛṣāhāri nānātvagdoṣanāśanam // Rajni_10.97	pitta dAha tRzA hAri nAnA tvac doza nASanam // Rajni_10.97
   sitapītanīlamecakanāmnyaḥ kusumena yūthikāḥ kathitāḥ /	sita pIta nIla mecaka nAmnyaH kusumena yUTikAH kaTitAH /
   tiktahimapittakaphāmayajvaraghnyo vraṇādidoṣaharāḥ // Rajni_10.98	tikta hima pitta kaPa Amaya jvara GnyaH vraNa Adi doza harAH // Rajni_10.98
   sarvāsāṃ yūthikānāṃ tu rasavīryādisāmyatā /	sarvAsAm yUTikAnAm tu rasa vIrya Adi sAmya tA /
   surūpaṃ tu sugandhāḍhyaṃ svarṇayūthyā viśeṣataḥ // Rajni_10.99	surUpam tu suganDa AXyam svarNa yUTyAH viSezataH // Rajni_10.99
   kubjako bhadrataruṇo vṛttapuṣpo 'tikesaraḥ /	kubjakaH BadrataruNaH vRttapuzpaH ati kesaraH /
   mahāsahaḥ kaṇṭakāḍhyaḥ kharvo 'likulasaṅkulaḥ // Rajni_10.100	mahAsahaH kaNwaka AXyaH KarvaH ali kula saFkulaH // Rajni_10.100
   kubjakaḥ surabhiḥ śīto raktapittakaphāpahaḥ /	kubjakaH suraBiH SItaH rakta pitta kaPa apahaH /
   puṣpaṃ tu śītalaṃ varṇyaṃ dāhaghnaṃ vātapittajit // Rajni_10.101	puzpam tu SItalam varNyam dAha Gnam vAta pitta jit // Rajni_10.101
   mucakundo bahupatraḥ sudalo harivallabhaḥ supuṣpaś ca /	mucakundaH bahupatraH sudalaH harivallaBaH supuzpaH ca /
   arghyārho lakṣmaṇako raktaprasavaś ca vasunāmā // Rajni_10.102	arGya arhaH lakzmaNakaH raktaprasavaH ca vasu nAmA // Rajni_10.102
   mucakundaḥ kaṭutiktaḥ kaphakāsavināśanaś ca kaṇṭhadoṣaharaḥ /	mucakundaH kawu tiktaH kaPa kAsa vinASanaH ca kaNWa doza haraH /
   tvagdoṣaśophaśamano vraṇapāmāvināśanaś caiva // Rajni_10.103	tvac doza SoPa SamanaH vraNa pAmA vinASanaH ca eva // Rajni_10.103
   karuṇī grīṣmapuṣpī syād raktapuṣpī ca vāruṇī /	karuNI grIzmapuzpI syAt raktapuzpI ca vAruNI /
   rājapriyā rājapuṣpī sūkṣmā ca brahmacāriṇī // Rajni_10.104	rAjapriyA rAjapuzpI sUkzmA ca brahmacAriNI // Rajni_10.104
   karuṇī kaṭutiktoṣṇā kaphamārutanāśinī /	karuNI kawu tikta uzNA kaPa mAruta nASinI /
   ādhmānaviṣavicchardijatrūrdhvaśvāsahāriṇī // Rajni_10.105	ADmAna viza vicCardi jatru UrDva SvAsa hAriNI // Rajni_10.105
   mādhavī candravallī ca sugandhā bhramarotsavā /	mADavI candravallI ca suganDA Bramara utsavAH /
   bhṛṅgapriyā bhadralatā bhūmimaṇḍapabhūṣaṇī // Rajni_10.106	BRFgapriyA BadralatA BUmi maNxapa BUzaNI // Rajni_10.106
   mādhavī kaṭukā tiktā kaṣāyā madagandhikā /	mADavI kawukA tiktA kazAyA madaganDikA /
   pittakāsavraṇān hanti dāhaśoṣavināśinī // Rajni_10.107	pitta kAsa vraNAn hanti dAha Soza vinASinI // Rajni_10.107
   gaṇikārī kāñcanikā kāñcanapuṣpī vasantadūtī ca /	gaNikArI kAQcanikA kAQcanapuzpI vasantadUtI ca /
   gandhakusumātimodā vāsantī madamādinī caiva // Rajni_10.108	ganDakusumA atimodA vAsantI madamAdinI ca eva // Rajni_10.108
   gaṇikārī surabhitarā tridoṣaśamanī ca dāhaśoṣaharā /	gaNikArI suraBitarA tridoza SamanI ca dAha Soza harAH /
   kāmakrīḍāḍambaraśambaraharacāpalaprasarā // Rajni_10.109	kAma krIxA Axambara Sambara hara cApala prasarAH // Rajni_10.109
   kundas tu makarandaś ca mahāmodo manoharaḥ /	kundaH tu makarandaH ca mahAmodaH manoharaH /
   muktāpuṣpaḥ sadāpuṣpas tārapuṣpo 'ṭṭahāsakaḥ // Rajni_10.110	muktApuzpaH sadApuzpaH tArapuzpaH awwahAsakaH // Rajni_10.110
   damano vanahāsaś ca manojño rudrasammitaḥ // Rajni_10.111	damanaH vanahAsaH ca manojQaH rudra sammitaH // Rajni_10.111
   kundo 'timadhuraḥ śītaḥ kaṣāyaḥ kaiśyabhāvanaḥ /	kundaH ati maDuraH SItaH kazAyaH kESya BAvanaH /
   kaphapittaharaś caiva saro dīpanapācanaḥ // Rajni_10.112	kaPa pitta haraH ca eva saraH dIpana pAcanaH // Rajni_10.112
   bakaḥ pāśupataḥ śaivaḥ śivapiṇḍaś ca suvrataḥ /	bakaH pASupataH SEvaH Siva piNxaH ca suvrataH /
   vasukaś ca śivāṅkaś ca śiveṣṭaḥ kramapūrakaḥ /	vasukaH ca SivAFkaH ca SivezwaH kramapUrakaH /
   śivamallī śivāhlādaḥ śāmbhavo ravisammitaḥ // Rajni_10.113	SivamallI SivAhlAdaH SAmBavaH ravi sammitaH // Rajni_10.113
   bako 'tiśiśiras tikto madhuro madhugandhakaḥ /	bakaH ati SiSiraH tiktaH maDuraH maDu ganDakaH /
   pittadāhakaphaśvāsaśramahārī ca dīpanaḥ // Rajni_10.114	pitta dAha kaPa SvAsa Srama hArI ca dIpanaH // Rajni_10.114
   kevikā kavikā kevā bhṛṅgārir nṛpavallabhā /	kevikA kavikA kevA BRFgAriH nRpa vallaBA /
   bhṛṅgamārī mahāgandhā rājakanyālimohinī // Rajni_10.115	BRFgamArI mahAganDA rAjakanyA ali mohinI // Rajni_10.115
   kevikā madhurā śītā dāhapittaśramāpahā /	kevikA maDurA SItA dAha pitta Srama apahAH /
   vātaśleṣmarujāṃ hantrī pittacchardivināśinī // Rajni_10.116	vAta Slezma rujAm hantrI pitta= Cardi vinASinI // Rajni_10.116
   bandhūko bandhujīvaḥ syād oṣṭhapuṣpo 'rkavallabhaḥ /	banDUkaH banDujIvaH syAt ozWapuzpaH arka vallaBaH /
   madhyandino raktapuṣpo rāgapuṣpo haripriyaḥ // Rajni_10.117	maDyandinaH raktapuzpaH rAgapuzpaH haripriyaH // Rajni_10.117
   asitasitapītalohitapuṣpaviśeṣāc caturvidho bandhūkaḥ /	asita sita pIta lohita puzpa viSezAt caturviDaH banDUkaH /
   jvarahārī vividhagrahapiśācaśamanaḥ prasādanaḥ savituḥ syāt //	jvara hArI viviDa graha piSAca SamanaH prasAdanaH savituH syAt //
   Rajni_10.118	Rajni_10.118
   trisandhiḥ sāndhyakusumā sandhivallī sadāphalā /	tri sanDiH sAnDyakusumA sanDivallI sadAPalA /
   trisandhyakusumā kāntā sukumārā ca sandhijā // Rajni_10.119	tri sanDyakusumA kAntA sukumArA ca sanDi jAH // Rajni_10.119
   trisandhis trividhā jñeyā raktā cānyā sitāsitā /	trisanDiH triviDA jQeyA raktA ca anyA sita asitAH /
   kaphakāsaharā rucyā tvagdoṣaśamanī parā // Rajni_10.120	kaPa kAsa harA rucyA tvak doza SamanI parA // Rajni_10.120
   japākhyā oḍrakākhyā ca raktapuṣpī javā ca sā /	japA AKyA oxraka AKyA ca raktapuzpI javA ca sA /
   arkapriyā raktapuṣpī prātikā harivallabhā // Rajni_10.121	arkapriyA raktapuzpI prAtikAH harivallaBA // Rajni_10.121
   japā tu kaṭur uṣṇā syād indraluptakanāśakṛt /	japA tu kawuH uzNA syAt indraluptaka nASa kRt /
   vicchardijantujananī sūryārādhanasādhanī // Rajni_10.122	vicCardi jantu jananI sUrya ArADana sADanI // Rajni_10.122
   bhramarārir bhṛṅgamārī bhṛṅgārir māṃsapuṣpikā /	BramarAriH BRFgamArI BRFgAriH mAMsapuzpikA /
   kuṣṭhārir bhramarī caiva jñeyā yaṣṭilatā muniḥ // Rajni_10.123	kuzWAriH BramarI ca eva jQeyA yazwilatA muniH // Rajni_10.123
   tiktā bhramaramārī syād vātaśleṣmajvarāpahā /	tiktA BramaramArI syAt vAta Slezma jvara apahA /
   śophakaṇḍūtikuṣṭhaghnī vraṇadoṣāsthidoṣanut // Rajni_10.124	SoPa kaNxUti kuzWa GnI vraNa doza asTi doza nud // Rajni_10.124
   taruṇī sahā kumārī gandhāḍhyā cārukesarā bhṛṅgeṣṭā /	taruNI sahA kumArI ganDAXyA cAru kesarA BRFgezwA /
   rāmataruṇī tu sudalā bahupatrā bhṛṅgavallabhā ca daśāhvā // Rajni_10.125	rAmataruNI tu sudalA bahu patrA BRFgavallaBA ca daSAhvA // Rajni_10.125
   taruṇī śiśirā snigdhā pittadāhajvarāpahā /	taruNI SiSirA snigDA pitta dAha jvara apahA /
   madhurā mukhapākaghnī tṛṣṇāvicchardivāriṇī // Rajni_10.126	maDurA muKapAka GnI tRzNA vicCardi vAriNI // Rajni_10.126
   mahatī tu rājataruṇī mahāsahā varṇyapuṣpako 'mlānaḥ /	mahatI tu rAjataruNI mahAsahA varNyapuzpakaH amlAnaH /
   amilātakaḥ supuṣpaḥ suvarṇapuṣpaś ca saptāhvaḥ // Rajni_10.127	amilAtakaH supuzpaH suvarNapuzpaH ca saptAhvaH // Rajni_10.127
   vijñeyā rājataruṇī kaṣāyā kaphakāriṇī /	vijQeyA rAjataruNI kazAyA kaPa kAriNI /
   cakṣuṣyā harṣadā hṛdyā surabhiḥ suravallabhā // Rajni_10.128	cakzuzyA harza dA hRdyA suraBiH sura vallaBA // Rajni_10.128
   atha raktāmlānaḥ syād raktasahākhyaḥ sa cāparimlānaḥ /	aTa raktAmlAnaH syAt raktasaha AKyaH sa ca aparimlAnaH /
   raktāmalāntako 'pi ca raktaprasavaś ca kuravakaś caiva // Rajni_10.129	rakta amala antakaH api ca raktaprasavaH ca kuravakaH ca eva // Rajni_10.129
   rāmāliṅganakāmo rāgaprasavo madhūtsavaḥ prasavaḥ /	rAma AliFgana kAmaH rAga prasavaH maDUtsavaH prasavaH /
   subhago bhramarānandaḥ syād ity ayaṃ pakṣacandramitaḥ // Rajni_10.130	suBagaH Bramara AnandaH syAt iti ayam pakza candra mitaH // Rajni_10.130
   uṣṇaḥ kaṭuḥ kuravako vātāmayaśophanāśano jvaranut /	uzNaH kawuH kuravakaH vAta Amaya SoPa nASanaH jvara nud /
   ādhmānaśūlakāsaśvāsārtipraśamano varṇyaḥ // Rajni_10.131	ADmAna SUla kAsa SvAsa Arti praSamanaH varNyaH // Rajni_10.131
   pītaḥ sa kiṅkirātaḥ pītāmlānaḥ kuraṇṭakaḥ kanakaḥ /	pItaH sa kiFkirAtaH pItAmlAnaH kuraNwakaH kanakaH /
   pītakuravaḥ supītaḥ sa pītakusumaś ca saptasaṃjñakaḥ syāt // Rajni_10.132	pIta kuravaH supItaH sa pItakusumaH ca sapta saMjQakaH syAt // Rajni_10.132
   kiṅkirātaḥ kaṣāyoṣṇastiktaś ca kaphavātajit /	kiFkirAtaH kazAya uzNaH tiktaH ca kaPa vAta jit /
   dīpanaḥ śophakaṇḍūtiraktatvagdoṣanāśanaḥ // Rajni_10.133	dIpanaH SoPa kaNxUti rakta tvac doza nASanaH // Rajni_10.133
   nīlapuṣpā tu sā dāsī nīlāmlānas tu chādanaḥ /	nIlapuzpA tu sA dAsI nIlAmlAnaH tu CAdanaH /
   bālā cārttagalā caiva nīlapuṣpā ca ṣaḍvidhā // Rajni_10.134	bAlA ca ArttagalA ca eva nIlapuzpA ca zaxviDAH // Rajni_10.134
   ārttagalā kaṭus tiktā kaphamārutaśūlanut /	ArttagalA kawuH tiktA kaPa mAruta SUla nud /
   kaṇḍūkuṣṭhavraṇān hanti śophatvagdoṣanāśanī // Rajni_10.135	kaNxU kuzWa vraNAn hanti SoPa tvak doza nASanI // Rajni_10.135
   kaṇṭakaraṇṭo jhiṇṭī sā vanyasahacarī tu sā pītā /	kaNwakaraNwaH JiNwI sA vanya sahacarI tu sA pItA /
   śoṇī kuravakanāmnī kaṇṭakinī śoṇajhiṇṭikā caiva // Rajni_10.136	SoNI kuravaka nAmnI kaNwakinI SoNaJiNwikA ca eva // Rajni_10.136
   sānyā tu nīlajhiṇṭī nīlakuraṇṭaś ca nīlakusumā ca /	sA anyA tu nIlaJiNwI nIlakuraNwaH ca nIlakusumA ca /
   bāṇo bāṇā dāsī kaṇṭārttagalā ca saptasaṃjñā syāt // Rajni_10.137	bANaH bANA dAsI kaNwA ArttagalA ca sapta saMjQA syAt // Rajni_10.137
   jhiṇṭikāḥ kaṭukās tiktā dantāmayaśāntidāś ca śūlaghnāḥ /	JiNwikAH kawukAH tiktAH danta Amaya SAnti dAH ca SUla GnAH /
   vātakaphaśophakāsatvagdoṣavināśakāriṇyaḥ // Rajni_10.138	vAta kaPa SoPa kAsa tvak doza vinASa kAriNyaH // Rajni_10.138
   uṣṭrakāṇḍī raktapuṣpī jñeyā karabhakāṇḍikā /	uzwrakANxI raktapuzpI jQeyA karaBa kANxikA /
   raktā lohitapuṣpī ca varṇapuṣpī ṣaḍāhvayā // Rajni_10.139	raktA lohitapuzpI ca varNapuzpI zaz AhvayA // Rajni_10.139
   uṣṭrakāṇḍī tu tiktoṣṇā rucyā hṛdrogahāriṇī /	uzwrakANxI tu tikta uzNA rucyA hRd roga hAriNI /
   tadbījaṃ madhuraṃ śītaṃ vṛṣyaṃ santarpaṇaṃ smṛtam // Rajni_10.140	tad bIjam maDuram SItam vRzyam santarpaNam smRtam // Rajni_10.140
   tagaraṃ kuṭilaṃ vakraṃ vinamraṃ kuñcitaṃ natam /	tagaram kuwilam vakram vinamram kuQcitam natam /
   śaṭhaṃ ca nahuṣākhyaṃ ca dadruhastaṃ ca barhaṇam // Rajni_10.141	SaWam ca nahuza AKyam ca dadru hastam ca barhaNam // Rajni_10.141
   piṇḍītagarakaṃ caiva pārthivaṃ rājaharṣaṇam /	piNxItagarakam ca eva pArTivam rAjaharzaNam /
   kālānusārakaṃ kṣatraṃ dīnaṃ jihmaṃ munīndudhā // Rajni_10.142	kAlAnusArakam kzatram dInam jihmam muni induDA // Rajni_10.142
   tagaraṃ śītalaṃ tiktaṃ dṛṣṭidoṣavināśanam /	tagaram SItalam tiktam dRzwi doza vinASanam /
   viṣārtiśamanaṃ pathyaṃ bhūtonmādabhayāpaham // Rajni_10.143	viza Arti Samanam paTyam BUta unmAda Baya apaham // Rajni_10.143
   atha damanakas tu damano dānto gandhotkaṭo munir jaṭilaḥ /	aTa damanakaH tu damanaH dAntaH ganDotkawaH muniH jawilaH /
   daṇḍī ca pāṇḍurāgo brahmajaṭā puṇḍarīkaś ca // Rajni_10.144	daNxI ca pANxu rAgaH brahmajawA puNxarIkaH ca // Rajni_10.144
   tāpasapatraḥ patrī pavitrako devaśekharaś caiva /	tApasa patraH patrI pavitrakaH devaSeKaraH ca eva /
   kulapatraś ca vinītastapasvipatraś ca saptadhātrīkaḥ // Rajni_10.145	kula patraH ca vinItaH tapasvi patraH ca saptaDAtrIkaH // Rajni_10.145
   damanaḥ śītalatiktaḥ kaṣāyakaṭukaś ca kuṣṭhadoṣaharaḥ /	damanaH SItala tiktaH kazAya kawukaH ca kuzWa doza haraH /
   dvandvatridoṣaśamano viṣavisphoṭavikāraharaṇaḥ syāt // Rajni_10.146	dvandva tridoza SamanaH viza visPowa vikAra haraNaH syAt // Rajni_10.146
   anyaś ca vanyadamano vanādināmā ca damanaparyāyaḥ /	anyaH ca vanyadamanaH vana Adi nAmA ca damana paryAyaH /
   vīryastambhanakārī baladāyī cāmadoṣahārī ca // Rajni_10.147	vIrya stamBana kArI bala dAyI ca Ama doza hArI ca // Rajni_10.147
   tulasī subhagā tīvrā pāvanī viṣṇuvallabhā /	tulasI suBagA tIvrA pAvanI vizNuvallaBA /
   surejyā surasā jñeyā kāyasthā suradundubhī // Rajni_10.148	surejyA surasA jQeyA kAyasTA suradunduBI // Rajni_10.148
   surabhir bahupatrī ca mañjarī sā haripriyā /	suraBiH bahupatrI ca maQjarI sA haripriyA /
   apetarākṣasī śyāmā gaurī tridaśamañjarī /	apeta rAkzasI SyAmA gOrI tridaSa maQjarI /
   bhūtaghnī pūtapatrī ca jñeyā caikonaviṃśatiḥ // Rajni_10.149	BUtaGnI pUtapatrI ca jQeyA ca ekonaviMSatiH // Rajni_10.149
   tulasī kaṭutiktoṣṇā surabhiḥ śleṣmavātajit /	tulasI kawu tikta uzNA suraBiH Slezma vAta jit /
   jantubhūtakrimiharā rucikṛd vātaśāntikṛt // Rajni_10.150	jantu BUta krimi harAH ruci kRt vAta SAnti kRt // Rajni_10.150
   kṛṣṇā tu kṛṣṇatulasī śvetā lakṣmīḥ sitāhvayā /	kRzNA tu kRzNa tulasI SvetA lakzmIH sitAhvayA /
   kāsavātakrimivamibhūtāpahāriṇī pūtā // Rajni_10.151	kAsa vAta krimi vami BUta apahAriNI pUtAH // Rajni_10.151
   maruvaḥ kharapatras tu gandhapatraḥ phaṇiñjhakaḥ /	maruvaH Kara patraH tu ganDapatraH PaNiQJakaH /
   bahuvīryaḥ śītalakaḥ surāhvaś ca samīraṇaḥ // Rajni_10.152	bahu vIryaH SItalakaH surAhvaH ca samIraNaH // Rajni_10.152
   jambīraḥ prasthakusumo jñeyo maruvakas tathā /	jambIraH prasTa kusumaH jQeyaH maruvakaH taTA /
   ājanmasurabhipatro marīcaś ca trayodaśa // Rajni_10.153	Ajanma suraBi patraH marIcaH ca trayodaSa // Rajni_10.153
   dvidhā maruvakaḥ proktaḥ śvetaś caiva sitetaraḥ /	dviDA maruvakaH proktaH SvetaH ca eva sitetaraH /
   śveto bheṣajakārye syād aparaḥ śivapūjane // Rajni_10.154	SvetaH Bezaja kArye syAt aparaH Siva pUjane // Rajni_10.154
   maruvaḥ kaṭutiktoṣṇaḥ kṛmikuṣṭhavināśanaḥ /	maruvaH kawu tikta uzNaH kRmi kuzWa vinASanaH /
   viḍbandhādhmānaśūlaghno māndyatvagdoṣanāśanaḥ // Rajni_10.155	vixbanDa ADmAna SUla GnaH mAndya tvac doza nASanaH // Rajni_10.155
   arjakaḥ kṣudratulasī kṣudraparṇo mukhārjakaḥ /	arjakaH kzudratulasI kzudraparNaH muKArjakaH /
   ugragandhaś ca jambīraḥ kuṭheraś ca kaṭhiñjaraḥ // Rajni_10.156	ugraganDaH ca jambIraH kuWeraH ca kaWiQjaraH // Rajni_10.156
