   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   'tṛptāśayo yadbodhisattva ekasattvasyaikakṣaṇe gaṃgānadībālukāsamān	atRpta ASayaH yat boDisattvaH eka sattvasya ekakzaNe gaMgA nadI bAlukA samAn
   lokadhātūn saptaratnaparipūrṇān kṛtvā pratipādayet |	lokaDAtUn sapta ratna paripUrNAn kRtvA pratipAdayet |
   gaṃgānadībālikāsamāṃścātmabhāvān | evaṃ ca pratikṣaṇaṃ	gaMgA nadI bAlikA samAn= ca Atma BAvAn | evam ca pratikzaNam
   gaṃgānadīvālikāsamānkalpānpratipādayet | yathā caikasya sattvasyaivaṃ	gaMgA nadI vAlikA samAn kalpAn pratipAdayet | yaTA ca ekasya sattvasya evam
   yāvān sattvadhāturanuttarāyāṃ samyaksaṃbodhau paripācayitavyastamanena	yAvAn sattva DAtuH anuttarAyAm samyaksaMboDO paripAcayitavyastam anena
   paryāyeṇa pratipādayet | atṛpta eva bodhisattvasya dānāśaya iti | ya	paryAyeNa pratipAdayet | atRptaH eva boDisattvasya dAna ASayaH iti | ya
   evaṃrūpa āśayo 'yaṃ bodhisattvasya dāne 'tṛptāśayaḥ | na ca bodhisattva	evaMrUpaH ASayaH ayam boDisattvasya dAne atRpta ASayaH | na ca boDisattva
   evaṃrūpāṃ dānaparaṃparāṃ kṣaṇamātramapi hāpayati | na vicchinattyā	evaMrUpAm dAna paraMparAm kzaNa mAtram api hApayati | na vicCinattyA
   bodhimaṇḍaniṣadanāditi | ya evaṃrūpa āśayo 'yaṃ bodhisattvasya dāne	boDimaNxa nizadanAt iti | yaH evaMrUpaH ASayaH ayam boDisattvasya dAne
   vipulāśaya iti | muditataraśca bodhisattvo bhavati tānsattvāndānena	vipula ASayaH iti | muditataraH ca boDisattvaH Bavati tAn sattvAn dAnena
   tathānugṛhṇan | na tveva te satvāstena dānenānugṛhyamāṇā iti | ya evaṃrūpa	taTA anugRhNan | na tu eva te satvAH tena dAnena anugRhyamANAH iti | yaH evaMrUpa
   āśayo 'yaṃ bodhisattvasya dāne muditāśayaḥ | upakārakatarāṃśca sa	ASayaH ayam boDisattvasya dAne mudita ASayaH | upakArakatarAn= ca sa
   bodhisattvastānsattvānātmanaḥ samanupaśyati | yeṣāṃ tathā dānenopakaroti	boDisattvaH tAn sattvAn AtmanaH samanupaSyati | yezAm taTA dAnena upakaroti
   nātmānaṃ | teṣāmanuttarasamyaksaṃbodhyupastambhatāmupādāya iti | ya	na AtmAnam | tezAm anuttara samyaksaMboDi upastamBa tAm upAdAya iti | ya
   evaṃrūpa āśayo 'yaṃ bodhisattvasya dāne upakārāśayaḥ | na ca bodhisattvaḥ	evaMrUpaH ASayaH ayam boDisattvasya dAne upakAra ASayaH | na ca boDisattvaH
   sattveṣu tathā vipulamapi dānamayaṃ puṇyamabhisaṃskṛtya pratikāreṇa vā	sattvezu taTA vipulam api dAna mayam puNyam aBisaMskRtya pratikAreNa vA
   artho[rthī] bhavati vipākena vā iti | ya evaṃrūpa āśayo 'yaṃ	arTaH [rTI] Bavati vipAkena vA iti | yaH evaMrUpaH ASayaH ayam
   bodhisattvasya dānapāramitābhāvanāyāṃ nirlepāśayaḥ | yadbodhisattvastathā	boDisattvasya dAna pAramitA BAvanAyAm nirlepa ASayaH | yat boDisattvaH taTA
   vipulasyāpi dānaskandhasya vipākaṃ satveṣvabhinandati nātmanaḥ |	vipulasya api dAna skanDasya vipAkam satvezu aBinandati na AtmanaH |
   sarvasattvasādhāraṇaṃ ca kṛtvānuttarāyāṃ samyaksaṃbodhau pariṇāmayati iti	sarva sattva sADAraNam ca kRtvA anuttarAyAm samyaksaMboDO pariNAmayati iti
   | ya evaṃrūpa āśayo 'yaṃ bodhisattvasya dānapāramitābhāvanāyāṃ	| yaH evaMrUpaH ASayaH ayam boDisattvasya dAna pAramitA BAvanAyAm
   kalyāṇāśayaḥ | tatra bodhisattvasya (MSA_Bagchi 101)	kalyANa ASayaH | tatra boDisattvasya (MSA_BagCi 101)
   śīlapāramitābhāvanāyāṃ yāvatprajñāpāramitābhāvanāyāmatṛptāśayaḥ |	SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanA AyAm atRpta ASayaH |
   yadvodhisattvo gaṃgānadībālikāsameṣvātmabhāveṣu	yat voDisattvaH gaMgA nadI bAlikA samezu Atma BAvezu
   gaṃgānadībālikāsamakalpāyuṣpramāṇeṣu sarvopakaraṇanirantaravighātī	gaMgA nadI bAlikA sama kalpa AyuzpramANezu sarva upakaraNa nirantara viGAtI
   trisāhasramahāsāhasralokadhātāvagnipratipūrṇe caturvidhamīryāpathaṃ	tri sAhasra mahA sAhasra loka DAtO= agni pratipUrNe caturviDam IryA paTam
   kalpayannekaṃ śīlapāramitākṣaṇaṃ yāvatprajñāpāramitākṣaṇaṃ bhāvayedetena	kalpayan= ekam SIla pAramitA akzaNam yAvat prajQApAramitA akzaNam BAvayet etena
   paryāyeṇa yāvāṃśchīlaskandho yāvān ca prajñāskandho yenānuttarāṃ	paryAyeNa yAvAn= CIla skanDaH yAvAn ca prajQA skanDaH yena anuttarAm
   samyaksaṃbodhimabhisaṃbudhyate śīlaskandhaṃ yāvatprajñāskandhaṃ	samyaksaMboDim aBisaMbuDyate SIla skanDam yAvat prajQA skanDam
   bhāvayedatṛpta eva bodhisattvasya śīlapāramitābhāvanāyāmāśayo	BAvayet atRpte eva boDisattvasya SIla pAramitA BAvanAyAm ASayaH 
   yāvatprajñāpāramitābhāvanāyāmāśaya iti | ya evaṃrūpa āśayo 'yaṃ	yAvat prajQApAramitA BAvanAyAm ASayaH iti | yaH evaMrUpaH ASayaH ayam
   bodhisattvasya śīlapāramitābhāvanāyāmatṛptāśayo	boDisattvasya SIla pAramitA BAvanA AyAm atRpta ASayaH 
   yāvatprajñāpāramitābhāvanāyāmatṛptāśayaḥ | yadbodhisattvastāṃ	yAvat prajQApAramitA BAvanA AyAm atRpta ASayaH | yat boDisattvaH tAm
   śīlapāramitābhāvanāparaṃparāṃ	SIla pAramitA BAvanA paraMparAm
   yāvatprajñāpāramitābhāvanāparaṃparāmābodhimaṇḍaniṣadanānna sraṃsayati na	yAvat prajQApAramitA BAvanA paraMparAma AboDi maNxa nizadanAt na sraMsayati na
   vicchinatti iti | ya evaṃrūpa āśayo 'yaṃ bodhisattvasya	vicCinatti iti | yaH evaMrUpaH ASayaH ayam boDisattvasya
   śīlapāramitābhāvanāyāṃ yāvatprajñāpāramitābhāvanāyāṃ vipulāśayaḥ |	SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanAyAm vipula ASayaH |
   muditataraśca bodhisattvo bhavati tayā śīlapāramitābhāvanayā	muditataraH ca boDisattvaH Bavati tayA SIla pAramitA BAvanayA
   yāvatprajñāpāramitābhāvanayā sattvānanugṛhṇan | na tveva[vaṃ] te sattvā	yAvat prajQApAramitA BAvanayA sattvAn anugRhNan | na tu eva[vaM] te sattvA
   anugṛhyamāṇā iti | ya evaṃrūpa āśayo 'yaṃ bodhisattvasya	anugRhyamANAH iti | yaH evaMrUpaH ASayaH ayam boDisattvasya
   śīlapāramitābhāvanāyāṃ yāvatprajñāpāramitābhāvanāyāṃ muditāśayaḥ |	SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanAyAm mudita ASayaH |
   upakārakatarāṃśca bodhisattvastān sattvānātmanaḥ samanupaśyati | yeṣāṃ	upakArakatarAn= ca boDisattvaH tAn sattvAn AtmanaH samanupaSyati | yezAm
   tathā śīlapāramitābhāvanayā yāvatprajñāpāramitābhāvanayā upakaroti	taTA SIla pAramitA BAvanayA yAvat prajQApAramitA BAvanayA upakaroti
   nātmānaṃ | teṣāmanuttarasamyaksaṃbodhyupastambhatāmupādāya iti | ya	na AtmAnam | tezAm anuttara samyaksaMboDi upastamBa tAm upAdAya iti | ya
   evaṃrūpa āśayo 'yaṃ bodhisattvasya śīlapāramitābhāvanāyāṃ	evaMrUpaH ASayaH ayam boDisattvasya SIla pAramitA BAvanAyAm
   yāvatprajñāpāramitābhāvanāyāmupakārāśayaḥ | na ca bodhisattvastathā	yAvat prajQApAramitA BAvanAyAm upakAra ASayaH | na ca boDisattvaH taTA
   vipulamapi śīlapāramitābhāvanāmayaṃ yāvatprajñāpāramitābhāvanāmayaṃ	vipulam api SIla pAramitA BAvanA mayam yAvat prajQApAramitA BAvanA mayam
   puṇyamabhisaṃskṛtya pratikāreṇa vārthī bhavati vipāke na vā iti | ya	puNyam aBisaMskRtya pratikAreNa vA arTI Bavati vipAke na vA iti | ya
   evaṃrūpa āśayo 'yaṃ bodhisattvasya śīlāpāramitābhāvanāyāṃ	evaMrUpaH ASayaH ayam boDisattvasya SIla apAramitA BAvanAyAm
   yāvatprajñāpāramitābhāvanāyāṃ nirlepāśayaḥ | tatra yadbodhisattva evaṃ	yAvat prajQApAramitA BAvanAyAm nirlepa ASayaH | tatra yat boDisattvaH evam
   śīlapāramitābhāvanāmayasya yāvatprajñāpāramitābhāvanāmayapuṇyaskandhasya	SIla pAramitA BAvanA mayasya yAvat prajQApAramitA BAvanA maya puNya skanDasya
   vipākaṃ sattveṣvevābhinandati nātmanaḥ | sarvasattvasādhāraṇaṃ ca	vipAkam sattvezu eva aBinandati na AtmanaH | sarva sattva sADAraNam ca
   kṛtvānuttarāyāṃ samyaksambodhau pariṇāmayatīti | ya evaṃrūpa āśayo 'yaṃ	kRtvA anuttarAyAm samyaksamboDO pariNAmayati iti | yaH evaMrUpaH ASayaH ayam
   bodhisattvasya śīlapāramitābhāvanāyāṃ yāvatprajñāpāramitābhāvanāyāṃ	boDisattvasya SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanAyAm
   kalyāṇāśayaḥ | upāyasaṃniśritā bhāvanā tryākārā | nirvikalpena jñānena	kalyANa ASayaH | upAya saMniSritA BAvanA tri AkArAH | nirvikalpena jQAnena
   trimaṇḍalapariśuddhipratyavekṣaṇatāmupādāya | tathā hi sa upāyaḥ	tri maNxala pariSudDi pratyavekzaNa tAm upAdAya | taTA hi saH upAyaH
   sarvamanasikārāṇāmabhiniṣpattaye | vibhutvasaṃniśritā pāramitābhāvanā	sarva manasikArANAm aBinizpattaye | viBu tva saMniSritA pAramitA BAvanA
   tryākārā | kāyavibhutvataḥ | caryāvibhutvataḥ | deśanāvibhutvataśca |	tri AkArAH | kAya viBu tvataH | caryA viBu tvataH | deSanA viBu tvataH ca |
   tatra kāyavibhutvaṃ tathāgate dvau kāyau draṣṭavyau svābhāvikaḥ	tatra kAya viBu tvam taTAgate dvO kAyO drazwavyO svABAvikaH
   sāṃbhogikaśca | tatra caryāvibhutvaṃ nairmāṇikaḥ kāyo draṣṭavyaḥ | yena	sAMBogikaH ca | tatra caryA viBu tvam nErmANikaH kAyaH drazwavyaH | yena
   sarvākārāṃ sarvasattvānāṃ sahadhārmikacaryāṃ darśayati | deśanāvibhutvaṃ	sarva AkArAm sarva sattvAnAm saha DArmika caryAm darSayati | deSanA viBu tvam
   ṣaṭpāramitāsarvākāradeśanāyāmavyāghātaḥ | prabhedasaṃgrahe dvādaśaślokāḥ |	zaz pAramitA sarva AkAra deSanAyAm avyAGAtaH | praBeda saMgrahe dvAdaSa SlokAH |
   dānādīnāṃ pratyekaṃ ṣaḍarthaprabhedataḥ | (MSA_Bagchi 102) ṣaḍarthāḥ	dAna AdInAm pratyekam zaz arTa praBedataH | (MSAH _BagCi 102) zaz arTAH
   svabhāvahetuphalakarmayogavṛttyarthāḥ |	svaBAva hetu Pala karma yoga vRtti arTAH |
   tatra dānaprabhede dvau ślokau |	tatra dAna praBede dvO SlokO |
   pratipādanamarthasya cetanā mūlaniścitā |	pratipAdanam arTasya cetanA mUla niScitAH |
   bhogātmabhāvasaṃpattī dvayānugrahapūrakaṃ || Msa_16.17 ||	Boga Atma BAva saMpattI dvaya anugrahapUrakam || Msa_16.17 ||
   amātsaryayutaṃ tacca dṛṣṭadharmāmiṣābhaye |	amAtsarya yutam tat ca dRzwa Darma Amiza aBaye |
   dānameva[vaṃ] parijñāya paṇḍitaḥ samudānayet || Msa_16.18 ||	dAnam eva[vaM] parijQAya paNxitaH samudAnayet || Msa_16.18 ||
   arthapratipādanaṃ pratigrāhakeṣu dānasya svabhāvaḥ | alobhādisahajā cetanā	arTa pratipAdanam pratigrAhakezu dAnasya svaBAvaH | aloBa Adi sahajA cetanA
   hetuḥ | bhogasaṃpattirātmabhāvasaṃpattiścāyurādisaṃgṛhītā phalaṃ	hetuH | Boga saMpattiH Atma BAva saMpattiH ca AyuH Adi saMgRhItA Palam
   pañcasthānasūtravat | svaparānugraho mahābodhisaṃbhāraparipūriśca karma |	paQca sTAna sUtra vat | sva para anugrahaH mahA boDi saMBAra paripUriH ca karma |
   amātsaryayogo amatsariṣu vartate | dṛṣṭadharmāmiṣābhayapradānaprabhedena	amAtsarya yogaH amatsarizu vartate | dRzwa Darma Amiza aBaya pradAna praBedena
   ceti vṛttiḥ |	ca iti vRttiH |
   śīlaprabhede dvau ślokau |	SIla praBede dvO SlokO |
   ṣaḍaṅga[ṅgaṃ]śamabhāvāntaṃ sugatisthitidāyakaṃ |	zaxaFga [FgaM]Sama BAva antam su gati sTiti dAyakam |
   pratiṣṭhāśāntanirbhītaṃ puṇyasaṃbhārasaṃyutaṃ || Msa_16.19 ||	pratizWA SAnta nirBItam puNya saMBAra saMyutam || Msa_16.19 ||
   saṃketadharmatālabdhaṃ saṃvarastheṣu vidyate |	saMketa Darma tA labDam saMvara sTezu vidyate |
   śīlamevaṃ parijñāya paṇḍitaḥ samudānayet || Msa_16.20 ||	SIlam evam parijQAya paNxitaH samudAnayet || Msa_16.20 ||
   ṣaḍaṅgamiti svabhāvaḥ | ṣaḍaṅgīti śīlavān viharati yāvatsamādāya śikṣate	zaxaFgam iti svaBAvaH | zaxaFgI iti SIlavAn viharati yAvat samAdAya Sikzate
   śikṣāpadeṣviti | śamabhāvāntamiti hetuḥ | nirvāṇābhiprāyeṇa samādānāt |	SikzA padezu iti | Sama BAva antam iti hetuH | nirvANa aBiprAyeNa samAdAnAt |
   sugatisthitidāyakamiti phalaṃ | śīlena sugatigamanāt |	sugati sTiti dAyakam iti Palam | SIlena sugati gamanAt |
   avipratisārādikrameṇa cittasthitilābhācca | pratiṣṭhāśāntanirbhītamiti	avipratisAra Adi krameNa citta sTiti lABAt ca | pratizWA SAnta nirBItam iti
   karma | śīlaṃ hi sarvaguṇānāṃ pratiṣṭhā bhavati | kleśaparidāhaśāntyā ca	karma | SIlam hi sarva guNAnAm pratizWA Bavati | kleSa paridAha SAntyA ca
   śāntaṃ | prāṇātipātādipratyayānāṃ ca bhayāvadyavairāṇāmaprasavānnirbhītaṃ	SAntam | prANa atipAta Adi pratyayAnAm ca Baya avat ya vErANAm aprasavAt nirBItam
   | puṇyasaṃbhārasaṃyutamiti yogaḥ sarvakālaṃ	| puNya saMBAra saMyutam iti yogaH sarvakAlam
   kāyavāṅmanaskarmasamāva[ca]raṇāt | saṃketadharmatālabdhaṃ saṃvarastheṣu	kAya vAc manaskarma samAva[ca]raNAt | saMketa Darma tA labDam saMvara sTezu
   vidyata iti vṛttistatra saṃketalabdhaṃ prātimokṣasaṃvarasaṃgṛhītaṃ |	vidyate iti vRttiH tatra saMketa labDam prAtimokza saMvara saMgRhItam |
   dharmatāpratilabdhaṃ dhyānānāsravasaṃvarasaṃgṛhītameṣāsya prabhedavṛttiḥ	DarmatA pratilabDam DyAna an Asrava saMvara saMgRhIta m eza asya praBeda vRttiH
   trividhena prabhedena vartanāt | saṃvarastheṣu vidyata ityācā[dhā]ravṛttiḥ	triviDena praBedena vartanAt | saMvara sTezu vidyate iti AcA[ DA]ra vRttiH
   kṣāntiprabhede dvau ślokau |	kzAnti praBede dvO SlokO |
   marṣādhivāsanajñānaṃ kāruṇyāddharmasaṃśrayāt |	marza aDivAsana jQAnam kAruNyAt Darma saMSrayAt |
   pañcānuśaṃsamākhyātaṃ dvayorarthakaraṃ ca tat || Msa_16.21 ||	paQca anuSaMsam AKyAtam dvayoH arTa karam ca tat || Msa_16.21 ||
   tapaḥ prābalyasaṃyuktaṃ teṣu tattrividhaṃ mataṃ |	tapaH prAbalya saMyuktam tezu tat triviDam matam |
   kṣāntimevaṃ parijñāya paṇḍitaḥ samudānayet || Msa_16.22 ||	kzAntim evam parijQAya paNxitaH samudAnayet || Msa_16.22 ||
   (MSA_Bagchi 103)	(MSA_BagCi 103)
   marṣādhivāsajñānamiti trividhāyāḥ kṣānteḥ svabhāvaḥ |	marza aDivAsa jQAnam iti triviDAyAH kzAnteH svaBAvaH |
   apakāramarṣaṇakṣāntermarṣaṇaṃ marṣa iti kṛtvā |	apakAra marzaNa kzAnteH marzaNam marzaH iti kRtvA |
   duḥkhādhivāsakṣānterdharmanidhyānakṣānteśca yathākramaṃ |	duHKa aDivAsakza anteH Darma niDi AnakzAnteH ca yaTAkramam |
   kārūṇyāddharmasaṃśrayāditi hetuḥ | dharmasaṃśrayaḥ punaḥ | śīlasamādānaṃ	kArUNyAt Darma saMSrayAt iti hetuH | Darma saMSrayaH punar | SIla samAdAnam
   śrutaparyavāptiśca | pañcānuśaṃsamākhyātamiti phalaṃ | yathoktaṃ sūtre |	Sruta paryavAptiH ca | paQca anuSaMsam AKyAtam iti Palam | yaToktam sUtre |
   pañcānuśaṃsāḥ kṣāntau | na vairabahulo bhavati | na bhedabahulo bhavati |	paQca anuSaMsAH kzAntO | na vEra bahulaH Bavati | na Beda bahulaH Bavati |
   sukhasaumanasyabahulo bhavati | avipratisārī kālaṃ karoti | kāyasya ca	suKa sOmanasya bahulaH Bavati | avipratisArI kAlam karoti | kAyasya ca
   bhedāt sugatau svargaloke deveṣūpapadyate iti | dvayorarthakaraṃ ca taditi	BedAt sugatO svarga loke devezu upapadyate iti | dvayoH arTa karam ca tat iti
   marṣādhivāsanamityadhikṛtaṃ idaṃ karma | yathoktam |	marza aDivAsanam iti aDikRtam idam karma | yaToktam |
   dvayorarthaṃ sa kurūte ātmanaśca parasya ca |	dvayoH arTam sa kurUte AtmanaH ca parasya ca |
   yaḥ paraṃ kupitaṃ jñātvā svayaṃ tatropaśāmyati || iti ||	yaH param kupitam jQAtvA svayam tatra upaSAmyati || iti ||
   tapaḥ prābalyasaṃyuktamiti yogaḥ | yathoktaṃ | kṣāntiḥ paramaṃ tapa iti |	tapaH prAbalya saMyuktam iti yogaH | yaToktam | kzAntiH paramam tapaH iti |
   teṣu tadityādhāravṛttiḥ kṣamiṣu tadvṛtteḥ | trividhaṃ matamiti	tezu tad iti ADAra vRttiH kzamizu tad vRtteH | triviDam matam iti
   prabhedavṛttistrividhakṣāntiprabhedena yathoktaṃ prāk |	praBeda vRttiH triviDa kzAnti praBedena yaToktam prAk |
   vīryaprabhede dvau ślokau |	vIrya praBede dvO SlokO |
   utsāhaḥ kuśale samyak śraddhācchandapratiṣṭhitaḥ |	utsAhaH kuSale samyak SradDAcCanda pratizWitaH |
   smṛtyādiguṇavṛddhau ca saṃkleśaprātipakṣikaḥ || Msa_16.23 ||	smRti Adi guNa vRdDO ca saMkleSa prAtipakzikaH || Msa_16.23 ||
   alobhādiguṇopetasteṣu saptavidhaśca saḥ |	aloBa Adi guNa upetaH tezu saptaviDaH ca saH |
   vīryamevaṃ parijñāya paṇḍitaḥ samudānayeta || Msa_16.24 ||	vIryam evam parijQAya paNxitaH samudAnayeta || Msa_16.24 ||
   utsāhaḥ kuśale samyagiti svabhāvaḥ | kuśala iti	utsAhaH kuSale samyak iti svaBAvaH | kuSalaH iti
   tadanyakṛtyotsāhavyudāsātha[rthaṃ]	tad anya kRtya utsAha vyudAsA aTa [rTaM]
   samyagityanyatīrthikamokṣārthotsāhavyudāsārthaṃ |	samyak iti anya tIrTika mokza arTa utsAha vyudAsa arTam |
   śraddhācchandapratiṣṭhita iti hetuḥ śraddadhāno hyatīva[hyarthiko]	SradDAcCanda pratizWitaH iti hetuH SraddaDAnaH hi atIva[hi arTi ko]
   vīryamārabhati | smṛtyādiguṇavṛddhāviti phalam | ārabdhavīryasya	vIryam AraBati | smRti Adi guNa vRdDO= iti Palam | ArabDa vIryasya
   smṛtisamādhyādiguṇodbhavāt | saṃkleśaprātipakṣika iti karma | yathoktam |	smRti samADi Adi guNa udBavAt | saMkleSa prAtipakzikaH iti karma | yaToktam |
   ārabdhavīryastu sukhaṃ viharatyavyavakīrṇaḥ pāpakairakuśalairdharmairiti |	ArabDa vIryaH tu suKam viharati avyavakIrNaH pApakEH akuSalEH DarmEH iti |
   alobhādiguṇopeta iti yogaḥ | teṣvityārabdhavīryeṣu iyamādhāravṛttiḥ |	aloBa Adi guNa upetaH iti yogaH | tezu iti ArabDa vIryezu iyam ADAra vRttiH |
   saptavidha iti prabhedavṛttiḥ | sa punaradhiśīlādi śikṣātraye kāyikaṃ	saptaviDaH iti praBeda vRttiH | sa punar aDi SIla Adi SikzA traye kAyikam
   cetasikaṃ ca sātatyena satkṛtya ca yadvīryam |	cetasikam ca sAtatyena satkRtya ca yat vIryam |
   dhyānaprabhede dvau ślokau |	DyAna praBede dvO SlokO |
   sthitiścetasa adhyātmaṃ smṛtivīryapratiṣṭhitaṃ |	sTitiH cetasaH aDyAtmam smRti vIrya pratizWitam |
   sukhopapattaye 'bhijñāvihāravaśavartakam || Msa_16.25 ||	suKa upapattaye aBijQA vihAra vaSavartakam || Msa_16.25 ||
   (MSA_Bagchi 104)	(MSA_BagCi 104)
   dharmāṇāṃ pramukhaṃ teṣu vidyate trividhaśca saḥ |	DarmANAm pramuKam tezu vidyate triviDaH ca saH |
   dhyānamevaṃ parijñāya paṇḍitaḥ samudānayet || Msa_16.26 ||	DyAnam evam parijQAya paNxitaH samudAnayet || Msa_16.26 ||
   sthitiścetasa adhyātmamiti svabhāvaḥ | smṛtivīryapratiṣṭhitamiti hetuḥ |	sTitiH cetasaH aDyAtmam iti svaBAvaH | smRti vIrya pratizWitam iti hetuH |
   ālambanāsaṃpramoṣe sati vīryaṃ niśritya samāpattyabhinirhārāt |	Alambana asaMpramoze sati vIryam niSritya samApatti aBinirhArAt |
   sukhopapattaye iti phalaṃ dhyānasyāvyābādhopapattiphalatvāt |	suKa upapattaye iti Palam DyAnasya avyAbADa upapatti Pala tvAt |
   abhijñāvihāravaśavartakamiti karma | dhyānenābhijñāvaśavartanāt |	aBijQA vihAra vaSavartakam iti karma | DyAnena aBijQA vaSa vartanAt |
   āryadivyabrāhmavihāravaśavartanācca | dharmāṇāṃ pramukhamiti prāmukhyena	Arya divya brAhma vihAra vaSa vartanAt ca | DarmANAm pramuKam iti prAmuKyena
   yogaḥ | yathoktaṃ | samādhipramukhāḥ sarvadharmā iti | teṣu vidyata iti	yogaH | yaToktam | samADi pramuKAH sarva DarmAH iti | tezu vidyate iti
   dhyāyiṣviyamādhāravṛttiḥ | triviśca sa iti savitarkaḥ savicāraḥ avitarko	DyAyizu iyama ADAra vRttiH | triviH ca saH iti savitarkaH sa vicAraH avitarkaH 
   vicāramātraḥ | avitarko avicāraḥ | punaḥ prītisahagataḥ | sātasahagataḥ |	vicAra mAtraH | avitarkaH avicAraH | punar prIti sahagataH | sAta sahagataH |
   upekṣāsahagataśca | iyaṃ prabhedavṛttiḥ |	upekzA sahagataH ca | iyam praBeda vRttiH |
   prajñāprabhede dvau ślokau |	prajQA praBede dvO SlokO |
   samyakpravicayo jñeyaḥ śa[sa]mādhānapratiṣṭhitaḥ |	samyak pravicayaH jQeyaH Sa[sa]m ADAna pratizWitaH |
   suvimokṣāya saṃkleśātprajñājīvasudeśanaḥ || Msa_16.27 ||	su vimokzAya saMkleSAt prajQA jIva sudeSanaH || Msa_16.27 ||
   dharmāṇāmuttarasteṣu vidyate trividhaśca saḥ |	DarmANAm uttaraH tezu vidyate triviDaH ca saH |
   prajñāmevaṃ parijñāya paṇḍitaḥ samudānayet || Msa_16.28 ||	prajQAm evam parijQAya paNxitaH samudAnayet || Msa_16.28 ||
   samyak pravicayo jñeya iti svabhāvaḥ | samyagiti na mithyā jñeya iti	samyak pravicayaH jQeyaH iti svaBAvaH | samyak iti na miTyA jQeyaH iti
   laukikakṛtyasamyakpravicayavyudāsārthaṃ | samādhānapratiṣṭhita iti hetuḥ |	lOkika kRtya samyak pravicaya vyudAsa arTam | samADAna pratizWitaH iti hetuH |
   samāhitacitto yathābhūtaṃ prajānāti | yasmātsuvimokṣāya saṃkleśāditi	samAhita cittaH yaTABUtam prajAnAti | yasmAt suvimokzAya saMkleSAt iti
   phalaṃ | tena hi saṃkleśātsu vimokṣo bhavati |	Palam | tena hi saMkleSAtsu vimokzaH Bavati |
   laukikahīnalokottaramahālokottareṇa pravicayena | prajñājīvasudeśana iti	lOkika hIna loka uttara mahA loka uttareNa pravicayena | prajQA jIva sudeSanaH iti
   prajñājīvaḥ sudeśanā cāsya karma | tena hyanuttara[raḥ] prajñājīvakānāṃ	prajQAjIvaH sudeSanA ca asya karma | tena hi anuttara[raH] prajQA jIvakAnAm
   jīvati | samyag dharmaṃ deśayatīti | dharmāṇāmuttara ityuttaratvena yogaḥ	jIvati | samyak Darmam deSayati iti | DarmANAm uttaraH iti uttara tvena yogaH
   | yathoktaṃ | prajñottarāḥ sarvadharmā iti | teṣu vidyate trividhaśca sa	| yaToktam | prajQA uttarAH sarva DarmAH iti | tezu vidyate triviDaH ca sa
   iti vṛttiḥ | prājñeṣu vartanāt trividhena ca prabhedena | laukiko	iti vRttiH | prAjQezu vartanAt triviDena ca praBedena | lOkikaH 
