   Mahāsāhasrapramardanī	MahAsAhasra-pramardanI
   subhūṣitāya ahorātro vapuṣṭāya pañcaśikṣāpadaparigṛhītayā lohitaṃ sūtraṃ	su-BUzitAya ahorAtraH vapuzwAya paQca-SikzA-pada-parigRhItayA lohitam sUtram
   caturguṇaṃ kārayitvā mantradhāreṇa vidyā smarayitavyā / granthiṃ kṛtvā tat	caturguNam kArayitvA mantra-DAreNa vidyA smarayitavyA / granTim kRtvA tat-
   sūtraṃ navena śastreṇa cchitvā dagdhā ratnabhaṇḍo vā udakaparipūrṇaṃ kṛtvā	sUtram navena SastreNa cCitvA dagDA ratna-BaNxaH vA udaka-paripUrNam kRtvA
   puṣpair ācchādayitvā nānāgandhena dhūpayitvā iyaṃ vidyā āvartayitavyā /	puzpEH AcCAdayitvA nAnA-ganDena DUpayitvA iyam vidyA AvartayitavyA /
   yāvat taj jātaṃ sūtraṃ bhājane prādurbhavati / tac ca pāṇau bandhayitvā	yAvat tat jAtam sUtram BAjane prAdurBavati / tat ca pANO banDayitvA
   vācyam //	vAcyam //
   (Msp 42)	(Msp 42)
   brahmaṇair vipralabdhena śākyasiṃhena tāyinā /	brahmaNEH vipralabDena SAkya-siMhena tAyinA /
   sa viṣaṃ giriguptena bhojanam upanāmitam //	sa vizam giri-guptena Bojanam upanAmitam //
   pratigṛhya tataḥ śāstā nirviṣīkṛtya bhojinām /	pratigRhya tatas SAstA nirvizIkRtya BojinAm /
   etena satyavākyena amṛtaṃ bhontu bhojanam //	etena satya-vAkyena amRtam Bontu Bojanam //
   vipaśyino devatāyāḥ śikhino viśvabhuvas tathā /	vipaSyinaH devatAyAH SiKinaH viSvaBuvaH taTA /
   krakucchandaprasannāc ca devatāyā mahābalāḥ //	krakucCanda-prasannAt ca devatAyAH mahA-balAH //
   kanakākhyadevendrāḥ śrīmataḥ kāśyapasya ca /	kanaka-AKya-deva-indrAH SrImataH kASyapasya ca /
   prasannāḥ śākyasiṃhasya brahmendrās trideśeśvarāḥ //	prasannAH SAkya-siMhasya brahma-indrAH trideSa-ISvarAH //
   catvāro lokapālāś ca māṇibhadro maheśvaraḥ /	catvAraH lokapAlAH ca mANiBadraH maheSvaraH /
   rākṣasī ca mahākālī caṇḍacaṇḍālinī tathā //	rAkzasI ca mahAkAlI caNxacaNxAlinI taTA //
   idaṃ puṣpaṃ ca gandhaṃ ca pratigṛhṇantu mamāhutim /	idam puzpam ca ganDam ca pratigRhNantu mama-Ahutim /
   prīṇitā pūjitā bhūtvā ete śodhantu bhojanam //	prINitA pUjitAH BUtvA ete SoDantu Bojanam //
   pañcāmiṣeṇa saṃsṛṣṭam asaṃsṛṣṭaṃ karontu me /	paQca-AmizeNa saMsRzwam asaMsRzwam karontu me /
   apañcāmiṣasaṃsṛṣṭaṃ sarvaṃ bhujāmi bhojanam //	apaQca-Amiza-saMsRzwam sarvam BujAmi Bojanam //
   sarveṣāṃ bījagrāmāṇāṃ pratiṣṭhā pṛthivīrasāḥ /	sarvezAm bIja-grAmANAm pratizWA pRTivI-rasAH /
   sarvabhojanasaṃsṛṣṭam asaṃsṛṣṭaṃ bhavantu me //	sarva-Bojana-saMsRzwam asaMsRzwam Bavantu me //
   chinnaṃ dagdhaṃ yathā sūtraṃ tādṛśaṃ bhavate punaḥ /	Cinnam dagDam yaTA sUtram tAdRSam Bavate punar /
   tathā bhojanasaṃsṛṣṭam asaṃsṛṣṭaṃ karontu me //	taTA Bojana-saMsRzwam asaMsRzwam karontu me //
   syād yathedam /	syAt yaTA-idam /
   khakhame / khakha khakha / khukhume / sime sime / sihune / simi sime /	Ka-Kame / KaKa KaKe / KuKume / sime sime / sihune / simi sime /
   svasti svasti svasti svasti / śānti śānti sārāgri / pañcāmiṣeṇa saṃsṛṣṭaṃ	svasti svasti svasti svasti / SAnti SAnti sAra-agri / paQca-AmizeNa saMsRzwam
   yathā hāra nirāmiṣam / yena dagdhaṃ yathā sūtraṃ satyaṃ kurvantu tādṛśam	yaTA hAra nirAmizam / yena dagDam yaTA sUtram satyam kurvantu tAdRSam
   syād yathedam //	syAt yaTA-idam //
   kalake / kalale / balanikaruṇalāye / khalume / agnisaṃkrāmani svāhā //	kalake / kalale / bala-nikaruNa-lAye / Kalume / agni-saMkrAmani svAhA //
   vipaśyibuddhaṃ śaraṇam upaimi / śikhinaṃ ca buddhaṃ sugataṃ ca viśvabhum /	vipaSyi-budDam SaraNam upEmi / SiKinam ca budDam sugatam ca viSvaBum /
   krakucchandabuddhaṃ kanakamuniṃ ca kāśyapam / viśāradaṃ śakyamuniṃ ca	krakucCanda-budDam kanaka-munim ca kASyapam / viSAradam Sakya-munim ca
   gautamam / etena saptān narottamānāṃ puṣpaiś ca gandhaiś ca śarīrapūjāṃ	gOtamam / etena saptAn nara-uttamAnAm puzpEH ca ganDEH ca SarIra-pUjAm
   kāyena vācā (Msp 43) manasā ca kṛtvā prasannacittaśaraṇaṃ hy upaimi /	kAyena vAcA (Msp 43) manasA ca kRtvA prasanna-citta-SaraNam hi upEmi /
   eteṣu buddheṣu maharddhikeṣu yā devatāḥ santi abhiprasannāḥ / tā devatā	etezu budDezu mahardDikezu yAH devatAH santi aBiprasannAH / tAH devatA
   āttamanā udagrāḥ kurvanti śāntiṃ ca nityam / svasty astu mama	Atta-manAH udagrAH kurvanti SAntim ca nityam / svasti astu mama
   sarvasatvānāṃ ca svāhā //	sarva-satvAnAm ca svAhA //
   idam avocad bhagavān āttamanās te ca bhikṣavo bodhisatvā sā ca sarvāvatī	idam avocat BagavAn Atta-manAH te ca BikzavaH boDisatvA sA ca sarvAvatI
   parṣat sadevamānuṣāsuragandharvaś ca loko bhagavato bhāṣitam abhyanandann	parzad sa-deva-mAnuza-asura-ganDarvaH ca lokaH BagavataH BAzitam aByanandan=-
   iti //	iti //
   āryamahāsāhasrapramardanī nama mahāyānasūtraṃ samāptam //	Arya-mahA-sAhasra-pramardanI nama mahAyAna-sUtram samAptam //
