   oṃ namo bhāratyai ||	om namaH BAratyE ||
   | yayātir āhitapāṇigrahaṇaḥ papāta | sudyumnaḥ strīmaya ivābhavat |	| yayAtiH Ahita-pANigrahaNaH papAta | sudyumnaH strI-mayaH iva-aBavat |
   somasya prakhyātā jantuvadhanirghṛṇatā | purukutsaḥ kutsita ivāsīt |	somasya praKyAtAH jantu-vaDa-nirGRNa-tA | purukutsaH kutsitaH iva-AsIt |
   kuvalayāśvo nāśvatarakanyām api parijahāra | nṛgaḥ kṛkalāsatām agamat |	kuvalayASvaH na-aSvatara-kanyAm api parijahAraH | nRgaH kRkalAsa-tAm agamat |
   nalaṃ kalir abhibhūtavān | saṃvaraṇo mitraduhitari viklavatām agāt |	nalam kaliH aBiBUtavAn | saMvaraNaH mitra-duhitari viklava-tAm agAt |
   daśaratha iṣṭarāmonmādena mṛtyum avāpa | kārtavīryo gobrāhmaṇapīḍayā	daSaraTaH izwa-rAma-unmAdena mRtyum avApa | kArtavIryaH go-brAhmaNa-pIxayA
   pañcatvam ayāsīt | manuḥ suvarṇavyasanī nanāśa | śantanur ativyasanād	paQcatvam ayAsIt | manuH suvarNa-vyasanI nanASa | SantanuH ati-vyasanAt-
   vipine vilalāpa | yudhiṣṭhiraḥ samaraśirasi satyam utsasarja | nāsty	vipine vilalApa | yuDizWiraH samara-Sirasi satyam utsasarja | na-asti-
   akalaṅkaḥ ko 'pi prāyaḥ | dehatyāge na kalaṅkī bhavāmīti" vicintya	akalaFkaH kaH api prAyas | dehatyAge na kalaFkI BavAmi-iti" vicintya
   kurarakharanakharaśikharakhaṇḍitapṛthulapṛthuromāvilam,	kurara-Kara-naKara-SiKara-KaNxita-pRTula-pRTuH-oma-Avilam,
   aviralaśakulaśalkasaṅkulajalanakulakuloccāraṃ,	avirala-Sakula-Salka-saFkula-jala-nakula-kula-uccAraM,
   kroṣṭukulocchiṣṭhavikaṭakarkaṭakarparaparamparāparigataprāntam,	krozwu-kula-ucCizWa-vikawa-karkawa-karpara-paramparA-parigata-prAntam,
   atitaralatarajalarayalulitacaṭulaśapharakulakavalanakṛtam,	ati-tara-latara-jala-raya-lulita-cawula-SaPara-kula-kavalana-kRtam,
   atinibhṛtabakaśakuninivahadhavalitaparisaram,	ati-niBRta-baka-Sakuni-nivaha-Davalita-parisaram,
   aticapalajalakapikulaviharaṇalulitasalilakaṇanikarajaḍitaparimalitaśiśiritam,	ati-capala-jala-kapikula-viharaNa-lulita-salila-kaNa-nikara-jaxita-parimalita-SiSiritam,
   anudivasanipatadatitaruṇavanamahiṣaśṛṅgaśikharalikhitaviṣamataṭam,	anudivasa-nipatat-ati-taruNa-vana-mahiza-SRFga-SiKara-liKita-vizama-tawam,
   anavaratacaradasitamukhacaraṇavihaganivahamadhuraninadamukharitam,	anavarata-cara-dasita-muKa-caraNa-vihaga-nivaha-maDura-ninada-muKaritam,
   ahimakarakiraṇarucijalamanujaśayanamṛditajaladharaṇītalam,	ahi-makara-kiraNa-ruci-jala-manuja-Sayana-mRdita-jala-DaraNI-talam,
   atibahalamadajalaśabalakaraṭataṭakarivaraśatanipatitamadhukaranikaramadhuravirutaratakaram,	ati-bahala-mada-jala-Sabala-karawa-tawa-karivara-Sata-nipatita-maDukara-nikara-maDura-viruta-rata-karam,
   atijavanapavanavidhutajalavinaṭananipatitamaṇigaṇaparigataparisaraṃ,	ati-javana-pavana-viDuta-jala-vinawana-nipatita-maNi-gaNa-parigata-parisaraM,
   jalanidhibhujaganirmuktanirmokapaṭṭam iva, darpaṇam iva vasundharāyāḥ,	jalaniDi-Bujaga-nirmukta-nirmoka-pawwam iva, darpaNam iva vasunDarAyAH,
   sphaṭikakuṭṭimam iva varuṇasya pulinatalam āsasāda |	sPawika-kuwwimam iva varuNasya pulina-talam AsasAda |
   47) tataḥ kṛtasnānādir jalam avataritum ārebhe śarīratyāgāya |	47) tatas kRta-snAna-AdiH jalam avataritum AreBe SarIra-tyAgAya |
   48) atha sānugraheṣu grāheṣu, nirmatsareṣumatsyeṣu, akṣudreṣu kṣudreṣu,	48) aTa sa-anugrahezu grAha-izu, nirmatsara-izu-matsya-izu, akzudrezu kzudra-izu,
   vatsaleṣu kacchapeṣu, akrūreṣu nakreṣu, abhayaṅkareṣu makareṣu, amāreṣu	vatsalezu kacCapezu, akrUrezu nakrezu, aBayaFkarezu makarezu, amArezu
   śiśumāreṣu, ākāśāt Sarasvatī samudacarat | "ārya Kandarpaketo punar api	SiSumArezu, AkASAt SarasvatI samudacarat | "Arya Kandarpaketo punar api
   tava priyayā saṃgamo bhaviṣyatīty acireṇa | tad virama maraṇavyavasāyād"	tava priyayA saMgamaH Bavizyati-iti acireNa | tat virama maraNa-vyavasAyAt-"
   iti | tad upaśrutya maraṇārambhād virarāma | punaḥ priyayā samāgamāśayā	iti | tat upaSrutya maraNa-AramBAt virarAma | punar priyayA samAgama-ASayA
   saṃsthitihetubhūtam aśanaṃ cikīrṣuḥ kacchopāntabhuvaṃ jagāma | tatra tata	saMsTiti-hetu-BUtam aSanam cikIrzuH kacCa-upAnta-Buvam jagAma | tatra tata
   itaḥ paribhraman phalamūlādinā vane vartayan kālaṃ nināya |	itas pariBraman Pala-mUla-AdinA vane vartayan kAlam ninAya |
   49) ekadā tu katipayamāsāpagame kākalīgāyana iva samṛddhanimnagānadaḥ,	49) ekadA tu katipaya-mAsa-apagame kAkalI-gAyanaH iva samRdDa-nimna-gAnadaH,
   sandhyāsamaya iva nartitanīlakaṇṭhaḥ, kumāramayūra iva samūḍhaśarajanmā,	sanDyA-samayaH iva nartita-nIla-kaNWaH, kumAra-mayUraH iva sa-mUXa-Sara-janmA,
   mahātapasvīva praśamitarajaḥprasaraḥ, tāpasa iva dhṛtajaladakarakaḥ,	mahA-tapasvI-iva praSamita-rajaH-prasaraH, tApasaH iva DRta-jalada-karakaH,
   pralayakāla iva darśitānekataraṇivibhramaḥ, nirupadravakānanoddeśa iva	pralaya-kAle iva darSita-aneka-taraNi-viBramaH, nirupadrava-kAnana-uddeSaH iva
   ghanotsukitasāraṅgaḥ, revatīkarapallava iva halidhṛtakaraḥ ājagāma	Gana-utsukita-sAraFgaH, revatIkara-pallavaH iva hali-DRta-karaH AjagAma
   varṣāsamayaḥ |	varzA-samayaH |
   50) nirbhinnameghanīlotpalakānane krīḍāsarasīva nabhasi smarasya	50) nirBinna-meGa-nIlotpala-kAnane krIxA-sarasi-iva naBasi smarasya
   ratnanaukeva, kulaṭalakṣmīmātaṅgakanyānartanacalarajjur iva,	ratna-nOkeva, kulawa-lakzmI-mAtaFga-kanyA-nartana-cala-rajjuH iva,
   nabhaḥsaudhatoraṇamālikeva, pravasatānidāghena divaḥpayodhare smaraṇāya	naBaH-sODa-toraNa-mAlikA-iva, pravasatA-nidAGena divaH-payoDare smaraNAya
   kṣatā nakhapadāvalir iva, gaganalakṣmīratnaraśanāmāleva,	kzatA naKa-pada-AvaliH iva, gagana-lakzmI-ratna-raSanAma-Aleva,
   nabhomandārakusumamañjarīva, ratinakhamārjanaratnaśalākeva, ratnaśuktir	naBaH-mandAra-kusuma-maQjarI-iva, rati-naKa-mArjana-ratna-SalAkeva, ratna-SuktiH-
   iva kusumaketor indradhanurlatā rarāja |	iva kusumaketoH indraDanuH-latA rarAja |
   51) ativeganipītajaladhiśaṅkhamālām iva balākācchalād udvamann ivādṛśyata	51) ati-vega-nipIta-jalaDi-SaFKa-mAlAm iva balAkA=-CalAt udvaman iva-adRSyata
   jaladharanikaraḥ | āpītaharitaiḥ kṛṣṇāsu kedārikākoṣṭhikāsu	jalaDara-nikaraH | ApIta-haritEH kRzNAsu kedArikA-kozWikAsu
   samutphaladbhir jātuśabalair iva dardurair vidyutā samaṃ cikrīḍa	samutPaladBiH jAtu-SabalEH iva dardurEH vidyutA samam cikrIxa
   varṣākālaḥ | ravidīpakajjalanicayanikaṣopala iva meghe	varzA-kAlaH | ravi-dIpa-kajjala-nicaya-nikaza-upalaH iva meGe
   samayasuvarṇakāranikaṣitasuvarṇalekheva taḍid aśobhata | virahiṇāṃ hṛdayaṃ	samaya-suvarNakAra-nikazita-suvarNa-leKA-iva taxit aSoBata | virahiNAm hRdayam
   vidārayituṃ karapatram iva kusumāyudhasya krakacacchadam aśobhata |	vidArayitum kara-patram iva kusumAyuDasya krakaca=-Cadam aSoBata |
   jaladadāruṇi lolataḍillatāpatranipātavidārite vegadhūtāś cūrṇacayā iva	jalada-dAruNi lola-taxit-la-tA-patra-nipAta-vidArite vega-DUtAH cUrNa-cayAH iva
   jalareṇavo babhuḥ | vicchinnadigvadhūhāramukta iva	jala-reNavaH baBuH | vicCinna-diS-vaDU-hAra-muktaH iva
   kharapavanavegabhramitaghanagharaghaṭṭanasañcūrṇitās tārānikarā iva	Kara-pavana-vega-Bramita-Gana-Gara-Gawwana-saQcUrNitAH tArA-nikarAH iva
   bhuvanavijigīṣor makaradhvajasya prasthānalājāñjalaya iva karakā	Buvana-vijigIzoH makaraDvajasya prasTAna-lAja-aQjalayaH iva karakA
   vyarājanta |	vyarAjanta |
   52) anantaram akhañjakhañjarīṭe 'kuñcitakrauñcasañcāre,	52) anantaram aKaQja-KaQjarIwe akuQcita-krOQca-saQcAre,
   nirbharabharadvājadvijavācāṭaviṭape, pātrabhrāntaśukakalamakedāre,	nirBara-BaradvAja-dvija-vAcAwa-viwape, pAtra-BrAnta-Suka-kalama-kedAre,
   praveśitāveśikarājahaṃse, kaṃsāridehadyutidyutale,	praveSita-AveSika-rAjahaMse, kaMsAri-deha-dyuti-dyutale,
   haṃsatūlatulitarājajjalamuci, sāndrīkṛtendumahākāmukamudi,	haMsa-tUla-tulita-rAjat-jala-muci, sAndrIkRta-indu-mahA-kAmuka-mudi,
   madhuramadhutṛṇavīrudhi, sarasasārasarasitasārakāsāre,	maDura-maDu-tRNa-vIruDi, sarasa-sArasa-rasita-sAraka-AsAre,
   kaśerukandalubdhapotripotapautrotkhātataṭataḍāgasañcaranmāṣaputrikāpatrīpaṭalamadhurasādhvanivihitamudi,	kaSeru-kanda-lubDa-potri-pota-pOtra-utKAta-tawa-taxAga-saQcarat-mAza-putrikApatrI-pawala-maDu-ra-sADvanivihita-mudi,
   kadarthitakadambe kambudviṣi, prasṛtabisaprasūne, cakitacātake,	kadarTita-kadambe kambu-dvizi, prasRta-bisa-prasUne, cakita-cAtake,
   viralavāride, tārataratārake, vāruṇīcārucandramasi, svādurasasalile,	virala-vAri-de, tAratara-tArake, vAruNI-cAru-candram-asi, svAdu-rasa-salile,
   sphuritaśapharatarkubakoṭe, ghūkamaṇḍūkamaṇḍale, saṅkocitakañcukini,	sPurita-SaPara-tarku-bakowe, GUka-maNxUka-maNxale, saFkocita-kaQcukini,
   kāñcanacchedagauraśālini, krośadutkrośe,	kAQcana=-Ceda-gOra-SAlini, kroSat-utkroSe,
   surabhigandhisaugandhikagandhahārihariṇāśve kumudāmodini kaumudīkṛtamudi,	suraBi-ganDi-sOganDika-ganDa-hArihariNa-aSve kumuda-Amodini kOmudIkRta-mudi,
   nibarhabarhiṇi, kūjatkoyaṣṭike, dhṛtadhārtarāṣṭre,	nibarha-barhiNi, kUjat-koyazwike, DRta-DArtarAzwre,
   hṛṣṭakalamagopikāgītasukhitamṛgayūthe, kathākṛtakiṃśuke,	hRzwa-kalama-gopikA-gIta-suKita-mRga-yUTe, kaTA-kRta-kiMSuke,
   mlāpitamālatīlatāmukule, bandhūkabāndhave, sañjātakamuñjānake,	mlApita-mAla-tIla-tA-mukule, banDUka-bAnDave, saQjAtaka-muQjAnake,
   visūtritasautrāmaṇadhanuṣi, smerakāśmīrarajaḥpiñjaritadiśi, vikasvarasare	visUtrita-sOtrAmaNa-Danuzi, smera-kASmIra-rajaH-piQjarita-diSi, vikasvarasare
   śaratsamayārambhe Kandarpaketuḥ paribhraman śilāmayīṃ putrikāṃ kautukena,	Sarad-samaya-AramBe Kandarpa-ketuH pariBraman SilA-mayIm putrikAm kOtukena,
   mohena, śokena, vegena svapriyānukāriṇīti hastena pasparśa |	mohena, Sokena, vegena sva-priya-anukAriNI-iti hastena pasparSaH |
   53) anantaraṃ spṛṣṭamātrā sā śilāmayīṃ mūrtim utsṛjya, punar Vāsavadattā	53) anantaram spRzwa-mAtrA sA SilA-mayIm mUrtim utsRjya, punar VAsavadattA
   svarūpam āpede | tām avalokya Kandarpaketur amṛtārṇavamagna iva suciram	sva-rUpam Apede | tAm avalokya Kandarpa-ketuH amRta-arNava-magnaH iva su-ciram
   āliṅgya papraccha | "priye kathaya kim idaṃ vṛttāntam" |	AliFgya papracCa | "priye kaTaya kim idam vRttAntam" |
   54) sā tu dīrgham uṣṇaṃ ca niḥśvasya kathayitum ārebhe | "āryaputrāpuṇyāyā	54) sA tu dIrGam uzNam ca niHSvasya kaTayitum AreBe | "Arya-putra-apuNyAyA
   mama mandabhāginyāḥ "kṛte mahābhāga ujjhitarājya" iti ekākī jana iva	mama mandaBAginyAH "kRte mahABAgaH ujJita-rAjya" iti ekAkI janaH iva
   vāṅmanasayor agocaraṃ duḥkham anubhūtavān | anekadivasān āhāraśūnyatayā	vAc-manasayoH agocaram duHKam anuBUtavAn | aneka-divasAn AhAra-SUnyatayA
   kṛśataro nidrānte yadi kadācit phalamūlādikaṃ milati, tadā śarīrasthitiṃ	kRSataraH nidrA-ante yadi kadAcid Pala-mUla-Adikam milati, tadA SarIra-sTitim
   karotīti vicintya phalānveṣaṇāyopavanatarūn avalokayantī	karoti-iti vicintya Pala-anvezaNAya-upavana-tarUn avalokayantI
   katipayanalvagocaram agaccham |	katipayanalva-gocaram agacCam |
   55) krameṇa ca gulmāntaritakriyamāṇakāyamānikaṃ, viracyamāneśvaragṛhaṃ,	55) krameNa ca gulma-antarita-kriyamANa-kAya-mAnikaM, viracyamAneSvara-gRhaM,
   avatāryamāṇakaṇṭhālakaṃ, ārabhyamāṇapaṭukaṭukaṃ,	avatAryamANa-kaNWa-alakaM, AraByamANa-pawu-kawukaM,
   vyavasthāpyamānaveśyāsaṃniveśaṃ, śrūyamāṇaturagaheṣāravaṃ,	vyavasTApyamAna-veSyA-saMniveSaM, SrUyamANa-turaga-heza-AravaM,
   vādyamānaviśrāmaḍhakkāpuṣkaraṃ, anviṣyamāṇasvādusalilāśayaṃ,	vAdyamAna-viSrAma-XakkA-puzkaraM, anvizyamANa-svAdu-salila-ASayaM,
   uddiśyamānavipaṇiketuvāṃśaṃ senāsanniveśam apaśyam | tam avalokyāham	uddiSya-mAna-vipaNi-ketuva-aMSam senA-AsanniveSam apaSyam | tam avalokya-aham
   acintayam | "kim ayaṃ mamānveṣaṇāya tātasya vyūha āhosvid āryaputrasya	acintayam | "kim ayam mama-anvezaNAya tAtasya vyUhaH Ahosvit Arya-putrasya
   vāhinīsambhāra" iti cintayantyāṃ mayi paricārakakathitodanto mām uddiśya	vAhinI-samBAra" iti cintayantyAm mayi paricAraka-kaTita-udantaH mAm uddiSya
   senāpatir dhāvitaḥ | tato 'nantaraṃ kirātasainyasenāpatis tādṛśa eva	senApatiH DAvitaH | tatas anantaram kirAta-sEnya-senApatiH tAdRSaH eva
   senāsamanvito mṛgayāvyājenāgataḥ so 'pi dāvitaḥ |	senA-samanvitaH mRgayA-vyAjena-AgataH saH api dAvitaH |
   56) anantaraṃ cintitaṃ mayā | "yady aham āryaputrāya kathayāmi tadaikāky	56) anantaram cintitam mayA | "yadi aham Arya-putrAya kaTayAmi tad-EkAky
   ebhir avaśyam eva hantavyaḥ | atha na kathayāmi tadāham evaibhir	eBiH avaSyam eva hantavyaH | aTa na kaTayAmi tadA-aham eva-eBiH-
   hantavyeti" cintākṣaṇa eva dvayoḥ sainyayor yuddham abhūd	hanta-vyA-iti" cintA-akzaNaH eva dvayoH sEnyayoH yudDam aBUt-
   ekāmiṣābhiyuktayor gṛdhrayor iva | tataḥ	eka-Amiza-aBiyuktayoH gRDrayoH iva | tatas-
   pravṛttapratiśarāsāradurdinahṛtadinakarakiraṇe,	pravRtta-pratiSara-AsAra-durdina-hRta-dinakara-kiraNe,
   rathakarmaviśāradadviradakaradūrotkṣiptakhaḍgadharasubhaṭaśliṣyamāṇavidyādharavibhrame,	raTakarma-viSArada-dvirada-kara-dUra-utkzipta-Kaxga-Dara-su-Bawa-SlizyamANa-vidyADara-viBrame,
   samaradarśanasañcaradanekanabhaścaracāraṇacakravāle,	samara-darSana-saQcarat-aneka-naBaH-cara-cAraNa-cakravAle,
   vetālasamākrāntaskandhakabandhacakrakriyamāṇacārupracāre,	vetAla-samAkrAnta-skanDaka-banDa-cakra-kriyamANa-cAru-pracAre,
   cārabhaṭakhaḍgakhaṇḍitadviradapādasamāptapiśācīkarṇolūkhalābharaṇakautuke,	cAra-Bawa-Kaxga-KaNxita-dvirada-pAda-samApta-piSAcI-karNa-ulU-Kala-ABaraNa-kOtuke,
   samutphullaphalakini, nadannāndīke, kāndiśīkabhīruṇi raṇakhale,	samutPulla-Pala-kini, nadannAndIke, kAndiSIka-BIruNi raNa-Kale,
   sṛgālīprārthanīyeṣv āmiṣapiṇḍeṣv iva vatsadantakṣateṣu tṛṇeṣv iva,	sRgAlI-prArTanIyezu Amiza-piNxezu iva vatsadanta-kzatezu tRNezu iva,
   jihmagadaṣṭeṣv iva śarīreṣv anāsthāṃ kalayantaḥ samaṃ dviṣāṃ dhanuṣāṃ ca	jihma-gadazwezu iva SarIrezu anAsTAm kalayantaH samam dvizAm DanuzAm ca
   jīvākarṣaṇaṃ cakruḥ |	jIvAkarzaNam cakruH |
   57) tyāgina iva dānavanto mārgaṇasantāpam asahantaḥ mahāmṛgā utkupitā iva	57) tyAginaH iva dAnavantaH mArgaNa-santApam asahantaH mahA-mRgAH utkupitAH iva
   kṣamāṃ muñcantas turagā rejuḥ | karṇābhyāṃ	kzamAm muQcantaH turagAH rejuH | karNAByAm
   paraparivādaśravaṇakutūhalibhyāṃ, netrābhyām ālokitasādhuvipattibhyāṃ,	para-parivAda-SravaNa-kutUhaliByAM, netrAByAm Alokita-sADu-vipattiByAM,
   mūrdhnā cāsthāne praṇamatā "tyakto 'ham" iti harṣād eva nanarta ciraṃ	mUrDnA ca-AsTAne praNamatA "tyaktaH aham" iti harzAt eva nanarta ciram
   kabandhaḥ |	kabanDaH |
   58) tataḥ parihāseneva cakṣuṣī pidadhatā parāpavādaśravaṇāruṇeva	58) tatas parihAsena-iva cakzuzI pidaDatA para-apavAda-SravaNa-aruNA-iva
   śrotravṛttiṃ sthagayatā, sonmādeneva vāyuvegavikṣiptena, palitaṅkaraṇeneva	Srotra-vRttim sTagayatA, sa-unmAdena-iva vAyu-vega-vikziptena, palitaFkaraNena-iva
   surayoṣitāṃ, andhaṃkaraṇeneva yodhānāṃ, timireṇeva samarapradoṣasya,	sura-yozitAM, anDaMkaraNena-iva yoDAnAn, timireNa-iva samara-pradozasya,
   patiteneva vimuktagotreṇa, mīmāṃsakadarśaneneva	patitena-iva vimukta-gotreNa, mImAMsaka-darSanena-iva
   tiraskṛtadigambaradarśanena, satpuruṣeṇeva viṣṇupadāvalambinā samarajena	tiraskRta-digambara-darSanena, sat-puruzeNa-iva vizNu-pada-avalambinA samarajena
   rajasā jajṛmbhe |	rajasA jajRmBe |
   tatra samarasambhāre kaścid āśaṅkitorubhaṅgaḥ suyodhana iva yodhaḥ payasi	tatra samara-samBAre kaScid ASaFkita-uru-BaFgaH suyoDanaH iva yoDaH payasi
   viveśa | kaścic charatalpaśayo bhīṣma iva cirāya śvasann āsīt | kaścit	viveSa | kaScid Sara-talpa-SayaH BIzmaH iva cirAya Svasan AsIt | kaScid-
   karṇa iva viklavībhūtasarvāṅgaḥ śaktimokṣaṇam akarot | tato	karNaH iva viklavIBUta-sarva-aFgaH Sakti-mokzaNam akarot | tatas-
   vidhvastadhvajapaṭaṃ patatpatākaṃ cyutacāpacāmarāpīḍaṃ	viDvasta-Dvaja-pawam patat-patAkam cyuta-cApa-cAmara-ApIxam
   skhalatkhaḍgadhenukaṃ tatsamastasainyam anyonyaṃ nidhanam avāpa |	sKalat-Kaxga-Denukam tad-samasta-sEnyam anyonyam niDanam avApa |
   59) anantaraṃ yasyāśramas tena muninā puṣpādikam ādāyāgatena	59) anantaram yasya-ASramaH tena muninA puzpa-Adikam AdAya-Agatena
   pratipannasarvavṛttāntena "mamāyam āśramo bhagna iti śilāmayī bhaveti"	pratipanna-sarva-vRttAntena "mama-ayam ASramaH BagnaH iti SilA-mayI Bava-iti"
   śaptāham | anantaraṃ "varākī bahuduḥkham anubhavatīti" karuṇayāryaputrasya	SaptA-aham | anantaram "varAkI bahu-duHKam anuBavati-iti" karuNayA-Arya-putrasya
   sparśāvadhi śāpāntam akarot |"	sparSa-avaDi SApa-antam akarot |"
   60) tataḥ Kandarpaketuḥ samāgatena Makarandena Vāsavadattayā saha svapuraṃ	60) tatas Kandarpa-ketuH samAgatena Makarandena VAsavadattayA saha sva-puram
   gatvā hṛdayābhilaṣitāni tāni tāni suratasukhāny anubhavan kālaṃ nināya ||	gatvA hRdaya-aBilazitAni tAni tAni surata-suKAni anuBavan kAlam ninAya ||
   iti mahākavi-Subandhu-viracitā Vāsavadattā nāma kathā samāptā |	iti mahA-kavi-SubanDu--viracitA VAsavadattA nAma kaTA samAptAH |
