   caturthaḥ paricchedaḥ	caturTaH paricCedaH
   kulakarūpamahāvakyavyaṅgyāḥ dvādaśapadaikadeśādivyaṅgyāḥ catvāra	kulaka-rUpa-mahA-vakya-vyaFgyAH dvAdaSa-pada-eka-deSa-Adi-vyaFgyAH catvAra
   ityekapañcāśat eṣāṃ parasparayojane saṃkhyāṃ darśayati---saṅkareti /	iti-ekapaQcASat ezAm paraspara-yojane saMKyAm darSayati---saFkara-iti /
        aṅgāṅgitvarūpeṇa ekāśrayānupraveśarūpeṇa saṃdigdharūpeṇa ca	aFga-aFgi-tva-rUpeNa eka-ASraya-anupraveSa-rUpeNa saMdigDa-rUpeNa ca
   trividhena saṃkareṇa yojane tasya trirūpatā /	triviDena saMkareNa yojane tasya trirUpa-tA /
        kimayam--ayaṃ veti saṃśayāspadatvarūpaḥ ekaḥ, tayoḥ	kim-ayam---ayam vA-iti saMSaya-Aspadatva-rUpaH ekaH, tayoH
   parasparānugrāhakānugrāhyabhāvarūpo dvitīyaḥ, tayorekavyañjakena	paraspara-anugrAhaka-anugrAhya-BAva-rUpaH dvitIyaH, tayoH-eka-vyaQjakena
   vyañjanarūpastṛtīyaḥ /	vyaQjana-rUpaH-tRtIyaH /
        saṃsṛṣṭiḥ tu etat tritayarāhityenaikapade sthitiḥ /	saMsRzwiH tu etat tritaya-rAhityena-eka-pade sTitiH /
        ebiryāḥ saṃkhyā bhavanti tā āhavedeti---"aṅkānāṃ vāmataḥ krama'; iti	ebiryAH saMKyAH Bavanti tAH Ahavet-eti----"aFkAnAm vAmatas krama-a; iti
   rītyāvedāścatvāraḥ tadvāme khaṃ śūnyam /	rItyA-vedAH-catvAraH tat-vAme Kam SUnyam /
        tadvāme 'gnayastrayaḥ /	tat-vAme agnayaH-trayaH /
        tadvāme śarāḥ pañca /	tat-vAme SarAH paQca /
        nanvevamitthamekapañcāśat caturguṇena caturadhikadviśatameva bhavati	nanu-evam-itTam-ekapaQcASat caturguNena catur-aDika-dvi-Satam-eva Bavati
        tatkathametādṛśī saṃkhyeti cenna /	tat-kaTam-etAdRSI saMKyA-iti ced-na /
        ekasyaiva svajātīyena ekena svasvajātīyaiḥ pañcāśatā ca caturguṇane	ekasya-eva sva-jAtIyena ekena sva-sva-jAtIyEH paQcASatA ca caturguNane
   ekasyaiva caturadhikadviśatarūpatvam /	ekasya-eva catur-aDika-dvi-Sata-rUpa-tvam /
        evaṃ taduttarasya pūrveṇa saha cāturvidhyaṃ pūrvagaṇanāyāṃ	evam tat-uttarasya pUrveNa saha cAturviDyam pUrva-gaNanAyAm
   praviṣṭamityataḥ tasya cāturvidhyasya agaṇyatvāt tasya dviśatarūpatvam /	pravizwam-iti-atas tasya cAturviDyasya agaNya-tvAt tasya dvi-Sata-rUpa-tvam /
        evaṃ taduttarasya pūrvaddhābhyāṃ catuścaturvidhatvasya agaṇyatvāt	evam tat-uttarasya pUrvadDAByAm catuScaturviDa-tvasya agaNya-tvAt-
   caturnyūnadviśatarūpatvam /	catur-nyUna-dvi-Sata-rUpa-tvam /
        evaṃ rītyā caramasya caturūpatvamātraṃ guṇyamiti bhavatyuktarūpā	evam rItyA caramasya caturUpatva-mAtram guNyam-iti Bavati-ukta-rUpA
   saṃkhyā /	saMKyA /
        kāvyaprakāśe tu darśitakrameṇa kramaśo hrasamāvicāryya sarveṣāmeva	kAvya-prakASe tu darSita-krameNa kramaSas hrasamAvicAryya sarvezAm-eva
   caturadhikadviśatarūpatvena ekapañcāśata eva tādṛśasaṃkhyātvena	catur-aDika-dvi-Sata-rUpa-tvena ekapaQcASataH eva tAdRSa-saMKyA-tvena
   "vedakhāgniviyaccandrāḥ'; ityevaṃ saṃkhyā eva utsargasiddhā darśitāḥ /	"vedaKA-agni-viyat-candrAH-a; iti-evam saMKyAH eva utsarga-sidDAH darSitAH /
        vastutastu atyantavicāre vedakhāgniśararūpā yā saṃkhyā granthakṛtā	vastutas-tu atyanta-vicAre veda-Ka-agni-Sara-rUpA yA saMKyA granTa-kRtA
   darśitā sāpi na sambhavati /	darSitA sA-api na samBavati /
        tathā hi ekapañcāśata eva uktacāturvidhyaṃ na sambhavati,	taTA hi ekapaQcASataH eva ukta-cAturviDyam na samBavati,
   padaikadeśapadavyaṅgyayoḥ padavākyavyaṅgyayośca	pada-eka-deSa-pada-vyaFgyayoH pada-vAkya-vyaFgyayoH-ca
   śabdaśaktyutthavyaṅgyayorarthāntarasaṃkramitavācyātyantatiraskṛtavācyavyaṅgyayośca	Sabda-Sakti-utTa-vyaFgyayoH-arTa-antara-saMkramita-vAcyA-atyanta-tiraskRta-vAcI-avyaFgyayoH-ca
   ekavyañjakānupraveśarūpasaṃkarāsambhāvāt cāturvidhyābhāvāt /	eka-vyaQjaka-anupraveSa-rUpa-saMkara-asamBAvAt cAturviDyA-aBAvAt /
        eṣu śuddhaikapañcāśanmīlanena saṃkhyāmāha---śuddhairiṣubāṇeti /	ezu SudDa-eka-paQcASat-mIlanena saMKyAm-Aha----SudDEH-izu-bANa-iti /
        vyācaṣṭe--śuddhairiti /	vyAcazwe---SudDEH-iti /
        yojanena saṃsthātuṃ yojanena /	yojanena saMsTAtum yojanena /
        Locanā:	LocanA:
        (lo, ū) tadevamiti---evaṃ vyaṅgyasya padavākyagatatveṅgavṛttau	(lo, U) tat-evam-iti---evam vyaFgyasya pada-vAkya-gata-tva-iFga-vRttO
   pañcatriṃśadbhedāḥ saṃkhyātāḥ /	paQcatriMSat-BedAH saMKyAtAH /
        tadanantaramarthaśaktyudbhavasya prabandhagatatvena dvādaśa /	tad-anantaram-arTa-Sakti-udBavasya prabanDa-gata-tvena dvAdaSa /
        rasasya padāṃśavarṇaracanāprabandhagatatvena catvāra iti militvā	rasasya pada-aMSa-varNa-racanA-prabanDa-gata-tvena catvAraH iti militvA
   dhvanikāvyasya ekapañcaśadbhedāḥ śuddhā ityarthaḥ /	DvanikA-vyasya eka-paQcaSadBedAH SudDAH iti-arTaH /
        saṃkareṇeti /	saMkareNa-iti /
        saṃkarasyāṅgāṅgibhāvaikavyañjakānupraveśasandehabhedāt tribhiḥ	saMkarasya-aFga-aFgi-BAva-eka-vyaQjaka-anupraveSa-sandeha-BedAt triBiH
   prakāraiḥ parasparanirapekṣayaikaprakārayā saṃsṛṣṭyā cānyo 'nyamiśraṇe	prakArEH paraspara-nirapekzaya-eka-prakArayA saMsRzwyA ca-anyaH anya-miSraNe
   śuddhabhedānāmeva pañcāśataḥ sambhūya vedāścatvāraḥ, kha śūnyam,	SudDa-BedAnAm-eva paQcASataH samBUya vedAH-catvAraH, Ka SUnyam,
   agnayastrayaḥ, śarāḥ pañca; evaṃ"cāṅkavinyāse vailomyasya	agnayaH-trayaH, SarAH paQca; evan"ca-aFka-vinyAse vElomyasya
   gaṇitaśāstraprasiddhatvāt"pañcasahastrāṇi; śatatrayaṃ catvāraśca	gaNita-SAstra-prasidDa-tvAt"-paQca-sahaH-trANi; Sata-trayam catvAraH-ca
   bhedāḥ"5304" /	BedAH"5304" /
        tathā hi prathamabhedasya sajātīyamiśraṇe catvāro bhedāḥ; vijātīyaiḥ	taTA hi praTama-Bedasya sajAtIya-miSraNe catvAraH BedAH; vijAtIyEH
   pañcāśatā pratyekaṃ dhvaninā vimaśraṇe catvāro bhedāḥ iti militvā	paQcASatA pratyekam DvaninA vimaSraNe catvAraH BedAH iti militvA
   caturadhikaṃ bhedaśatadvayaṃ dvitīyasya bhedaśatadvayameva /	catur-aDikam Beda-Sata-dvayam dvitIyasya Beda-Sata-dvayam-eva /
        yadi prathamabhedasya dvitīyabhedena saha miśrayaṇaṃ; dvitīyabhedasya	yadi praTama-Bedasya dvitIya-Bedena saha miSrayaNan; dvitIya-Bedasya
   prathamabhedena saha tattadeveti /	praTama-Bedena saha tat-tat-eva-iti /
        dvitīyabhede prathamabhedāpekṣayā catvāro bhedāḥ pātanīyāḥ /	dvitIya-Bede praTama-Beda-apekzayA catvAraH BedAH pAtanIyAH /
        evaṃ tṛtīye 'ṣṭau caturthe dvādaśa iti krameṇānyeṣāmapi	evam tRtIye azwO caturTe dvAdaSaH iti krameNa-anyezAm-api
   svakīyādyabhedāpekṣayā sarveṣāṃ bhedacatuṣṭayapātanam /	svakIya-Adi-aBeda-apekzayA sarvezAm Beda-catuzwaya-pAtanam /
        śuddhairiti /	SudDEH-iti /
        iṣavaḥ pañcabāṇāḥ; pañca agrayaḥ trayaḥ sāyakāḥ pañca evaṃ	izavaH paQcabANAH; paQca agrayaH trayaH sAyakAH paQca evam
   pañcasahastrāṇi śatatrayaṃ pañcāśat pañca ca;"5355"	paQca-sahastrANi Sata-trayam paQcASat paQca ca;"5355"
        jratra agrimāgrimabhedasya yojane ekaikabhedahrāsāt evaṃ prakāreṇa	jratra agrima-agrim-a-Bedasya yojane ekEka-Beda-hrAsAt evam prakAreNa
   evaṃ yojanaṃ bhavati /	evam yojanam Bavati /
        "eko rāśirdvidhā sthāpya ekamekādhikaṃ kuru /	"ekaH rASiH-dviDA sTApya ekam-eka-aDikam kuru /
        samārddhenāsamo guṇyaḥ etat saṃkalitaṃ laghu" //	samArdDena-asamaH guNyaH etat saMkalitam laGu" //
        ityuktadiśā dvipañcāśadarddhena ṣaḍviṃśatyā ekapañcāśataṃ guṇayet /	iti-ukta-diSA dvipaQcASat-ardDena zaxviMSatyA ekapaQcASatam guNayet /
        tathā ( 51n2 )	taTA ( 51n2 )
        --2u26 / 51n26u1326saṃkhyā jāyante /	--2u26 / 51n26u1326-saMKyAH jAyante /
        teṣu caturbhirguṇiteṣu (1326u4u5304pañcasahastrāṇi caturadhikaṃ	tezu caturBiH-guNitezu (1326u4u5304paQcasahastrANi catur-aDikam
   śatatrayaṃ saṃkīrṇṇabhedāḥ /	Sata-trayam saMkIrNNa-BedAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   diṅmātraṃ dūdāhriyate---	diS-mAtram dUda-ahriyate---
   "atyunnatastayugā taralāyatākṣī dvāri sthitā tadupayānamahotsavāya /	"ati-unnataH-tayugA tarala-Ayata-akzI dvAri sTitA tad-upayAna-mahA-utsavAya /
   sā pūrṇakumbhanavanīrajatoraṇastraksaṃbhāramaṅgalamayatnakṛtaṃ vidhatte"	sA pUrNa-kumBa-nava-nIraja-toraNa-strac-saMBAra-maFgalam-ayatna-kRtam viDatte"
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṣa) atyunnateti---pravāsādāgacchantaṃ patiṃ dvāri sthitvā	(vi, za) ati-unnatA-iti----pravAsAt-AgacCantam patim dvAri sTitvA
   dṛṣṭavatīṃ nāyikāṃ kasmiṃścinnivedayataḥ kasyaciduktiriyam /	dRzwavatIm nAyikAm kasmiMScid-nivedayatas kasyacid-uktiH-iyam /
        stanayugaṃ pūrṇṇakumbhau āyatamakṣiyugaṃ	stana-yugam pUrNNa-kumBO Ayatam-akzi-yugam
   navanīrajatoraṇastraksambhāraḥ /	nava-nIraja-toraNa-H-trac-samBAraH /
        rasadhvanyoriti---etat vākyavyaṅgyatvāt śṛṅgārasya /	rasa-DvanyoH-iti----etat vAkya-vyaFgya-tvAt SRFgArasya /
        vvanipadamatra vyaṅgyarasaparam /	vvani-padam-atra vyaFgya-rasa-param /
        ekāśraya etat vākyam /	eka-ASrayaH etat vAkyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra stanāveva pūrṇakumbhau, dṛṣṭaya eva navanīrajastraja iti	atra stanO=-eva pUrNa-kumBO, dRzwayaH eva nava-nIraja-H-tra-jaH iti
   rūpakadhvanirasadhvanyorekāśrayānupraveśaḥ saṅkaraḥ /	rUpaka-Dvani-rasa-DvanyoH-eka-ASraya-anupraveSaH saFkaraH /
   "dhinvantyamūni madamūrcchadalidhvanīni dhūtādhvanīnahṛdayāni madhordināni	"Dinvanti-amUni mada-mUrcCa-t-ali-DvanIni DUta-aDvanIna-hRdayAni maDoH-dinAni
   nistandracandravadanāvadanāravindasaurabhyasauhṛdasagarvasamīraṇāni" //	nistandra-candra-vadanAvadana-aravinda-sOraBya-sOhRdasa-garva-samIraNa-ani" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, sa) dhvanyoḥ saṃsṛṣṭimāha---dhinvantyamūni iti /	(vi, sa) DvanyoH saMsRzwim-Aha---Dinvanti-amUni iti /
        amūni madhaurdināni dhinvanti lokān prīṇayanti /	amUni maDOH-dinAni Dinvanti lokAn prINayanti /
        kīdṛśāni-madena mūrcchan varddhamānaḥ alidhvaniryeṣu /	kIdRSa-ani-madena mUrcCan vardDamAnaH aliDvaniH-yezu /
        tathā nistandra unnidraḥ candraḥ tādṛśavadanāyāḥ yad vadanāravindaṃ	taTA nistandraH unnidraH candraH tAdRSa-vadanAyAH yat vadana-aravindam
   tasya saurabhyaṃ saugandhyaṃ tasya sauhṛdena saṃparkeṇa sagarvāḥ samīraṇā	tasya sOraByam sOganDyam tasya sOhRdena saMparkeNa sa-garvAH samIraNA
   yatra tādṛśāni /	yatra tAdRSAni /
        atreti candrasya nidrābhāvāt tandrāpadasyāprakāśe lakṣaṇā	atra-iti candrasya nidrA-aBAvAt tandrA-padasya-aprakASe lakzaNA
   samīraṇasyotkṛṣṭatvaṃ tadvyaṅgyam, tathā samīraṇasya garvābhāvāt utkṛṣṭe	samIraNasya-utkRzwa-tvam tat-vyaFgyam, taTA samIraNasya garva-aBAvAt utkRzwe
   lakṣaṇā sukhasparśatvaṃ tadvyaṅgyam /	lakzaNA suKa-sparSa-tvam tat-vyaFgyam /
        eṣāṃ vyaṅgyānāṃ trividhasaṃkarābhāvāt ekapadasaṃsthitirūpā saṃsṛṣṭiḥ	ezAm vyaFgyAnAm triviDa-saMkara-aBAvAt eka-pada-saMsTiti-rUpA saMsRzwiH
        tadāha--nistandretyādīti /	tadA-aha---nistandrA-ityAdi-iti /
        idamupalakṣaṇam /	idam-upalakzaNam /
        alidhvanicandrasamīraṇaiḥ kāmoddīpakaiḥ vyaṅgyasya śṛṅgārasya apyatra	ali-Dvani-candra-samIraNEH kAma-uddIpakEH vyaFgyasya SRFgArasya api-atra
   pratītirityatastasya candrojjvalatvena samīraṇotkṛṣṭatvena tasya	pratItiH-iti-atas-tasya candra-ujjvala-tvena samIraNa-utkRzwa-tvena tasya
   sukhasparśatvena ca lakṣaṇāmūlakavyaṅgye na	suKa-sparSa-tvena ca lakzaNA-mUlaka-vyaFgye na
   prakarṣaṇādanugrāhyānugrāhakabhāvarupasaṃkaropyatraiva śloke bodhyaḥ /	prakarzaNAt-anugrAhya-anugrAhaka-BAvarupa-saMkara-upyatra-eva Sloke boDyaH /
        saṃśayāspadarūpasaṅkarāścātra nodāhṛtaḥ /	saMSaya-Aspada-rUpa-saFkarAH-ca-atra na-udAhRtaH /
        tadudāharaṇaṃ ca kāvyaprakāśakṛtā dattamanveṣṭavyam /	tad-udAharaNam ca kAvya-prakASa-kRtA dattam-anvezwavyam /
        yathā--- khaṇapāhuṇiā deara jāāe kiṃ pide bhāṇiā /	yaTA-- KaNa-pAhuNiA deara jAAe kim pide BANiA /
        ruai paḍāhepilahīdharammi aṇuṇijvau vārāī //	ruEH paxAhepilahIDarammi aNuNijvO vArAI //
        "iti /	"iti /
        kṣaṇaprāghuṇikā devara jāyayā kimapi te bhaṇitā /	kzaNa-prAGuNikA devara jAyayA kim-api te BaNitA /
        roditi paścād bhāgavalabhīgṛhe-anunīyatāṃ varākī //	roditi paScAt BAgavalaBI-gRhe-anunIyatAm varAkI //
        iti saṃskṛtam /	iti saMskRtam /
        gṛhapatiprasaktāmupanāyikāmutsave tadgṛhāgatāṃ tatpatnyā bhartsitāṃ	gRhapati-prasaktAm-upanAyikAm-utsave tad-gRha-AgatAm tad-patnyA BartsitAm
   paścāt gṛhe rudatīmanunetuṃ gṛhapatijyeṣṭhabhrātṛpatnyāḥ sopahāsoktiriyam	paScAt gRhe rudatIm-anunetum gRhapati-jyezWa-BrAtR-patnyAH sa-upahAsa-uktiH-iyam
        atra kṣaṇa utsavastatra prāghuṇakā abhyāgatā utsavāgatetyarthaḥ /	atra kzaNaH utsavaH-tatra prAGuNakAH aByAgatAH utsava-AgatA-iti-arTaH /
        taddevara sā te tava jāyayākimapyapriyaṃ bhaṇitā satī	tat-devara sA te tava jAyayAkim-api-apriyam BaNitA satI
   paścādvalabhīgṛhe roditīti /	paScAt-valaBI-gRhe roditi-iti /
        tādṛśī varākī duḥ khitā anunīyatāmityarthaḥ /	tAdRSI varAkI duH KitA anunIyatAm-iti-arTaH /
        bhavatā iti śeṣaḥ /	BavatA iti SezaH /
        atra ca anunayo vācyārthaḥ /	atra ca anunayaH vAcya-arTaH /
        tadvyaṅgya upabhoga iti /	tad-vyaFgyaH upaBogaH iti /
        ayaṃ kiṃ svataḥ sambhavivastuvyaṅgyavastudhvaniḥ kiṃvā anunayapade	ayam kim svatas samBavi-vaH-tuvyaFgya-vastu-DvaniH kiMvA anunaya-pade
   upabhogalakṣaṇā; tadvyaṅgya tasyāḥ duḥ	upaBoga-lakzaNA; tat-vyaFgya tasyAH duH
   khāpasāraṇamityayamarthāntarasaṃkramitavācyalakṣaṇā mūladhvaniriti	Ka-apasAraNam-iti-ayam-arTa-antara-saMkramita-vAcya-lakzaNA mUla-DvaniH-iti
   dhvanyoḥ saṃśayāspadatvam /	DvanyoH saMSaya-Aspada-tvam /
        etādṛśavyaṅgayopayogāya paścādgṛhamuktaṃ nirjanatvāt /	etAdRSa-vyaFgayA-upayogAya paScAt-gRham-uktam nirjana-tvAt /
        Locanā:	LocanA:
        (lo, ṛ) dhinvantīti---dhinvanti prāṇayanti /	(lo, R) Dinvanti-iti---Dinvanti prANayanti /
        adhvanīnāḥ pathikāḥ nastandrasauhṛdasagarvaśabdā	aDvanInAH paTikAH naH-tandra-sOhRda-sagarva-SabdA
   nirmalādyabhāvaprauḍharūpārthaparyyavasānādatyantatiraskṛtavācyāḥ /	nirmala-Adi-aBAva-prOXa-rUpa-arTa-paryyavasAnAt-atyanta-tiraskRta-vAcyAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra nistandretyādilakṣaṇāmūladhvanīnāṃ saṃsṛṣṭiḥ /	atra nistandra-ityAdi-lakzaNA-mUla-DvanInAm saMsRzwiH /
   atha guṇībhūtavyaṅgyam---	aTa guNIBUta-vyaFgyam---
   aparaṃ tu guṇībhūtavyaṅgyaṃ vācyādanuttame vyaṅgye /	aparam tu guNIBUta-vyaFgyam vAcyAt-anuttame vyaFgye /
   aparaṃ kāvyam /	aparam kAvyam /
   anuttamatvaṃ nyūnatayā sāmyena ca saṃbhavati /	anuttama-tvam nyUna-tayA sAmyena ca saMBavati /
   tatra syāditarāṅgakākvākṣiptaṃ ca vācyasiddhyṅgam // VisSd_4.13 //	tatra syAt-itara-aFga-ka-akvAkziptam ca vAcya-sidDi-Fgam // VisSd-_4.13 //
   saṃdigdhaprādhānyaṃ tulyaprādhānyamasphuṭamagūḍham /	saMdigDa-prADAnyam tulya-prADAnyam-asPuwam-agUXam /
   vyaṅgyamasundaramevaṃ bhedāstasyoditā aṣṭau // VisSd_4.14 //	vyaFgyam-asundaram-evam BedAH-tasya-uditAH azwO // VisSd-_4.14 //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ha) guṇī bhūtavyaṅgyakāvyamāha--atheti /	(vi, ha) guNI BUta-vyaFgI-a-kAvyam-Aha--aTa-iti /
        kāvyamanuttamatvamiti /	kAvyam-anuttama-tvam-iti /
        vyaṅgyānuttamatvena kāvyānuttamatvam /	vyaFgyAnuttama-tvena kAvyAn-uttama-tvam /
        bhedāstasyoditi iti--tasya guṇībhūtavyaṅgyakāvyasya	BedAH-tasya-uditi iti--tasya guNIBUta-vyaFgyakAvyasya
   evamaṣṭavidhavyaṅgyabhedāt tasyāṣṭau bhedā uditā ityarthaḥ /	evam-azwaviDa-vyaFgya-BedAt tasya-azwO BedAH uditAH iti-arTaH /
        Locanā:	LocanA:
        (lo, ṝ) evaṃ dhvanyākhyaṃ kāvyasya bhedaṃ nirupya	(lo, L) evam DvanyAKyam kAvyasya Bedam nirupya
   guṇībhūtavyaṅgyamavatārayati atheti--tatra syāditi---kākkā ākṣiptaṃ	guNIBUta-vyaFgyam-avatArayati aTa-iti--tatra syAt-iti---kAkkAH Akziptam
   vācyavat sphuṭīkṛtam /	vAcya-vat sPuwIkRtam /
        vācyasiddheraṅgaṃ kāraṇam /	vAcya-sidDeH-aFgam kAraNam /
        asphuṭaṃ sahṛdayānāmapi kleśapratyeyam /	asPuwam sahRdayAnAm-api kleSa-pratyeyam /
        evaṃ pūrvavyaṅgyādbhedaḥ /	evam pUrva-vyaFgyAt-BedaH /
        asundaraṃ vācyāpakṛṣṭacamatkārakam /	asundaram vAcya-apakRzwa-camatkArakam /
        vyaṅgyamiti pratipadamanvayaḥ /	vyaFgyam-iti pratipadam-anvayaH /
        bhedāḥ viśeṣāḥ /	BedAH viSezAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   itarasya rasāderaṅgarasādivyaṅgyam /	itarasya rasa-AdeH-aFga-rasa-Adi-vyaFgyam /
   yathā--	yaTA--
   "ayaṃ sarasanotkarṣo pīnastanavimardanaḥ /	"ayam sarasana-utkarzaH pIna-stana-vimardanaH /
   nābhyūjaghanasparśo nīvīvistraṃsanaḥ karaḥ" //	na-aBi-UjaGana-sparSaH nIvIvis-traMsanaH karaH" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ka) rasāderaṅgaṃ rasādi ityubhayatra ādipadāt bhāvādyaṅgatāpi	(vi, ka) rasa-AdeH-aFgam rasa-Adi iti-uBayatra Adi-padAt BAva-Adi-aFga-tA-api
   rasādeḥ, evaṃ vācyāṅgatvamapi vastvalaṅkārayorityuktam /	rasa-AdeH, evam vAcya-aFga-tvam-api vastu-alaFkArayoH-iti-uktam /
        ayaṃ sa iti---bhūriśravasaḥ samarapatitaṃ hastamādāya	ayam saH iti---BUriSravasaH samara-patitam hastam-AdAya
   rudatyāstatpatnyā uraktiriyam /	rudatyAH-tad-patnyA uraktiH-iyam /
        atreti---rasotkarṣaṇādinā vyaṅgyaḥ śṛṅgāraḥ mṛtālambanakatvena	atra-iti---rasa-utkarzaNa-AdinA vyaFgyaH SRFgAraH mRta-Alambanaka-tvena
   rasatāmanāpanno mṛtālambanakasya karuṇasyāṅgam /	rasa-tAm-anApannaH mRta-Alambanakasya karuNasya-aFgam /
        rasatāpannasya tasya śṛṅgāreṇa prakarṣaṇāt pūrvānubhūtasukhasmaraṇe	rasa-tA-Apannasya tasya SRFgAreNa prakarzaNAt pUrva-anuBUta-suKa-smaraNe
   hi karuṇaprakarṣaḥ /	hi karuNa-prakarzaH /
        Locanā:	LocanA:
        (lo, ḷ) yathoddeśamudājihīrṣuritarāṅgamiti vivṛṇoti, itarasyārthāt	(lo, ?) yaTA-uddeSam-udAji-hIrzuH-itarAFgam-iti vivRNoti, itarasya-arTAt-
   pradhānabhūtasya rasādeḥ, rasaśabdenātra bhāvādīnāmupagrahaḥ ādiśabdena	praDAna-BUtasya rasa-AdeH, rasa-Sabdena-atra BAva-AdInAm-upagrahaH Adi-Sabdena
   vācyasyāṅgam utkarṣakārirasādi atrādiśabdādanuraṇanarūpam / ayaṃ sa iti	vAcyasya-aFgam utkarza-kAri-rasa-Adi atra-Adi-SabdAt-anuraNana-rUpam / ayam saH iti
   ---idaṃ hi mahābhārate, samaracchinnaṃ bhūriśravaso hastamādāya tatkāntāyā	---idam hi mahABArate, samara=-Cinnam BUriSravasaH hastam-AdAya tad-kAntAyAH-
   vilapanam /	vilapanam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra śṛṅgāraḥ karuṇasyāṅgam /	atra SRFgAraH karuNasya-aFgam /
   "mānonnatāṃ praṇayinīmanunetukāmastvasainyasāgararavodratakarṇatāpaḥ /	"mAna-unnatAm praNayinIm-anunetu-kAmaH-tu-asEnya-sAgara-rava-udrata-karNa-tApaH /
   hā !hā! kathaṃ nu bhavato ripurājadhānīprāsādasaṃtatiṣu tiṣṭhati kāmilokaḥ	hA !hA! kaTam nu BavataH ripu-rAjaDAnI-prAsAda-saMtatizu tizWati kAmi-lokaH
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, kha) bhāvasyāṅgaṃ karuṇamāha---mānonnatāmiti /	(vi, Ka) BAvasya-aFgam karuNam-Aha---mAna-unnatAm-iti /
        unnatamānāmityarthaḥ /	unnata-mAnAm-iti-arTaH /
        hāheti trāsavijñāturvaktustadviṣayakaśokaḥ /	hAhA-iti trAsa-vijQAtuH-vaktuH-tad-vizaya-ka-SokaH /
        bhavato ripurājadhānīprasādasantatiṣu kathaṃ kamilokastiṣṭhati iti	BavataH ripu-rAjaDAnI-prasAda-santatizu kaTam kami-lokaH-tizWati iti
   anvayaḥ /	anvayaH /
        atreti autsukyaṃ māninyanunayakāmanayā vyaṅgyam /	atra-iti Otsukyam mAnini-anunaya-kAmanayA vyaFgyam /
        tadviruddhaḥ trāsaḥ yathoktakarṇatāpapadavyaṅgya ityanayoḥ siddhiḥ /	tad-virudDaH trAsaH yaTA-ukta-karNa-tApa-pada-vyaFgyaH iti-anayoH sidDiH /
        tādṛśasandiviśiṣṭānāṃ ripurājadhānīkāmilokānāṃ	tAdRSa-sandi-viSizwAnAm ripu-rAjaDAnI-kAmi-lokAnAm
   śocyāvasthājñāturvaktuḥ śokarūpaḥ karuṇo	Socya-avasTA-jQAturvaktuH Soka-rUpaH karuNaH-
