   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   buddhīndriyāṇi, tāni viśeṣāviśeṣaviṣayīṇi / śabdādayaḥ pañca viṣayā	budDIndriyANi, tAni viSeza-aviSeza-vizayINi / Sabda-AdayaH paQca vizayA
   dvividhāḥ - viśeṣā aviśeṣāśca / tatra ye sūkṣmāstanmātralakṣaṇāste	dviviDAH  viSezAH aviSezAH-ca / tatra ye sUkzmAH-tad-mAtra-lakzaNAH-te
   'viśeṣāḥ / ye sthūlāḥ pṛthivyādayaste viśeṣāḥ / viśeṣāścāviśeṣāśceti	aviSezAH / ye sTUlAH pRTivI-AdayaH-te viSezAH / viSezAH-ca-aviSezAH-ca-iti
   dvaṃdvaḥ / ta eva viṣayā vidyante yeṣāmiti matvarthopaḥ /	dvaMdvaH / te eva vizayAH vidyante yezAm-iti matu-arTa-upaH /
   viśiṣṭānaviśiṣṭāṃśca viṣayān gṛhyantītyarthaḥ / tatra śrotraṃ sthūlān	viSizwAn-aviSizwAn=-ca vizayAn gRhyanti-iti-arTaH / tatra Srotram sTUlAn
   nānāśabdānavikalān gṛhṇāti, śabdatanmātraṃ ca / nāsikā sthūlān	nAnA-SabdAn-avikalAn gRhNAti, Sabda-tanmAtram ca / nAsikA sTUlAn
   surabhyādigandhān, tanmātraṃ ca gṛhṇātīti //	suraBi-a-Adi-ganDAn, tanmAtram ca gRhNAti-iti //
   'vāgbhavati'; / kevalaḥ śabdo viṣayo yasyāḥ, na viṣayāntaramityarthaḥ //	avAgBavati-a; / kevalaH SabdaH vizayaH yasyAH, na vizaya-antaram-iti-arTaH //
   śeṣāṇi pāṇyādīni catvāri, pañca viṣayīṇi / pañca viṣayā eṣāmiti / tatra	SezANi pANi-AdIni catvAri, paQca vizayINi / paQca vizayAH ezAm-iti / tatra
   pāṇiḥ śabdasparśarūparasavantaṃ ghaṭādikamādatte / pādau śabdādimatyāṃ	pANiH Sabda-sparSa-rUpa-rasavantam Gawa-Adikam-Adatte / pAdO Sabda-Adi-matyAm
   bhūmau viharataḥ / pāyurupasthaśca śabdādimadeva malaṃ śukraṃ ca visṛjati	BUmO viharataH / pAyuH-upasTaH-ca Sabda-Adimat-eva malam Sukram ca visRjati
   / anena dvāreṇa tu sarvaṃ bāhyaṃ karaṇaṃ pañcaviṣayameva draṣṭavyam / yaṃ	/ anena dvAreNa tu sarvam bAhyam karaNam paQca-vizayam-eva drazwavyam / yam
   hi yadevamāśritya (?) sphītaṃ tasya śabdasparśarūparasagandhavattvāt,	hi yat-evam-ASritya (?) sPItam tasya Sabda-sparSa-rUpa-rasa-ganDavat-tva-at,
   'bāhyaṃ trayasya viṣayākhyam'; ityuktam // 34 //	abAhyam trayasya vizaya-AKyam-a; iti-uktam // 34 //
   kārikā 35	kArikA 35
   tatkathaṃ tasya viṣaya ityāha-	tat-kaTam tasya vizayaH iti-Aha-
   sāntaḥkaraṇā buddhiḥ sarvaṃ viṣayamavagāhate yasmāt /	sa-antaHkaraNA budDiH sarvam vizayam-avagAhate yasmAt /
   tasmāt trividhaṃ karaṇaṃ dvāri, dvārāṇi śeṣāṇi // ISk_35 //	tasmAt triviDam karaNam dvAri, dvArANi SezANi // ISc-_35 //
   'sāntaḥkaraṇā'; ityādi / buddherupāttatvāccheṣamahaṅkāro	asAntaHkaraNA-a; ityAdi / budDeH-upAtta-tvAt-Sezam-ahaFkAraH-
   manaścāntaḥkaraṇam / tābhyāṃ yuktā buddhiḥ //	manaH-ca-antaHkaraNam / tAByAm yuktA budDiH //
   'sarvam'; iti / triṣvapi kāleṣu vyavasthitaṃ viṣayamavagāhate gṛhṇāti	asarvam-a; iti / trizu-api kAlezu vyavasTitam vizayam-avagAhate gRhNAti
   yasmāt , tasmāt trividhamantaḥkaraṇaṃ buddhyādi dvāri bhavati /	yasmAt , tasmAt triviDam-antaHkaraNam budDi-Adi dvAri Bavati /
   dvārāṇyasya santīti kṛtvā / śeṣāṇi tu buddhīyakarmendriyāṇi (?) dvārāṇi /	dvArANi-asya santi-iti kRtvA / SezANi tu budDIya-karmendriyANi (?) dvArANi /
   ebhirdvārabhūtairantaḥkaraṇaṃ viṣayān gṛhṇāti // 35 //	eBiH-dvAra-BUtEH-antaHkaraNam vizayAn gRhNAti // 35 //
   kārikā 36	kArikA 36
   nanu ca yadyantaḥkaraṇaṃ bāhyakaraṇadvāreṇa sarvaṃ viṣayamavagāhate,	nanu ca yadi-antaHkaraNam bAhya-karaNa-dvAreNa sarvam vizayam-avagAhate,
   tasmin kiṃ lakṣaṇamityāha-	tasmin kim lakzaNam-iti-Aha-
   ete pradīpakalpāḥ parasparavilakṣaṇā guṇaviśeṣāḥ /	ete pradIpa-kalpAH paraspara-vilakzaNAH guNa-viSezAH /
   kṛtsnaṃ puruṣasyārthaṃ prakāśya buddhau prayacchanti // ISk_36 //	kRtsnam puruzasya-arTam prakASya budDO prayacCanti // ISc-_36 //
   'ete'; ityādi / śrotrādayo vāgādayo buddhyādayaścetyete trayodaśa	aete-a; ityAdi / Srotra-AdayaH vAc-AdayaH budDi-AdayaH-ca-iti-ete trayodaSa
   guṇaviśeṣāḥ, traya eva guṇā anyo 'nyābhibhavadvāreṇa pariṇatāḥ	guNa-viSezAH, trayaH eva guNAH anyaH anya-aBiBava-dvAreNa pariNatAH
   śrotrādivyapadeśabhāja ityarthaḥ / pradīpakalpāḥ, svavṛttyā viṣayasya	Srotra-Adi-vyapadeSa-BAjaH iti-arTaH / pradIpa-kalpAH, sva-vRttyA vizayasya
   prakāśakatvāt / parasparavilakṣaṇāḥ / ekasya yā vṛttiḥ svarūpaṃ ca, na	prakASaka-tvAt / paraspara-vilakzaNAH / ekasya yA vRttiH svarUpam ca, na
   taditareṣāmapi yadi syādetenaiva viṣayāvagāhanaṃ siddhaṃ kimanyena //	tad-itarezAm-api yadi syAt-etena-eva vizaya-avagAhanam sidDam kim-anyena //
   'kṛtsnam'; iti / trailokyagataṃ puruṣasyārthaṃ sūkṣmasthūlaviṣayalakṣaṇaṃ	akRtsnam-a; iti / trElokya-gatam puruzasya-arTam sUkzma-sTUla-vizaya-lakzaNam
   prakāśyābhivyaktiṃ nītvā paścādahaṅkārādayo dvādaśa buddhau prayacchanti,	prakASya-aBivyaktim nItvA paScAt-ahaFkAra-AdayaH dvAdaSa budDO prayacCanti,
   sthāpayantītyarthaḥ / avagāhanaphalametat / tasyāṃ ca	sTApayanti-iti-arTaH / avagAhana-Palam-etat / tasyAm ca
   viṣayopadhānoparaktyāṃ buddhau puruṣa upalabhate / tatredamucyate -	vizaya-upaDAna-uparaktyAm budDO puruzaH upalaBate / tatra-idam-ucyate -
   buddhyādhyavasitamarthaṃ puruṣa...ta iti // 36 //	budDyA-aDyavasitam-arTam puruza-...te iti // 36 //
   kārikā 37	kArikA 37
   nanu ca tulye karaṇatve kimityahaṅkārādayo buddhau prayacchanti /	nanu ca tulye karaNa-tve kim-iti-ahaFkAra-AdayaH budDO prayacCanti /
   prādhānyāttadeva darśayannāha -	prADAnyAt-tat-eva darSayan=-Aha -
   sarvaṃ pratyupabhogaṃ yasmātpuruṣasya sādhayati buddhiḥ /	sarvam pratyupaBogam yasmAt-puruzasya sADayati budDiH /
   saiva ca viśinaṣṭi punaḥ pradhānapuruṣāntaraṃ sūkṣmam // ISk_37 //	sA-eva ca viSinazwi punar praDAna-puruza-antaram sUkzmam // ISc-_37 //
   'sarvam'; ityādi / upabhogamupabhogaṃ prati pratyupabhogam /	asarvam-a; ityAdi / upaBogam-upaBogam prati pratyupaBogam /
   devamanuṣyatiryagyoniśu yo viṣayasyopabhogastaṃ prati sarvaṃ	deva-manuzya-tiryagyoni-Su yaH vizayasya-upaBogaH-tam prati sarvam
   trailokyagataviṣayaṃ puruṣasya sādhayati, sampādayati / yasmādbuddhiḥ	trElokya-gata-vizayam puruzasya sADayati, sampAdayati / yasmAt-budDiH
   pradhānabhūtā satī nānyaḥ kaścit, tasmāt tāni karaṇāni buddhau	praDAna-BUtA satI na-anyaH kaScit, tasmAt tAni karaNAni budDO
   prayacchanti / (yathā grāme hiraṇyādipratyayaṃ kuṭumbinaḥ pradhānāya	prayacCanti / (yaTA grAme hiraNya-Adi-pratyayam kuwumbinaH praDAnAya
   prayacchanti) / pradhāno 'pyāsannavarttitvādbhogapataya iti //	prayacCanti) / praDAnaH api-Asanna-vartti-tvAt-Boga-patayaH iti //
   'saiva ca viśinaṣṭi'; iti / yadā tamasvatī buddhirbhavati tadā	asA-eva ca viSinazwi-a; iti / yadA tamasvatI budDiH-Bavati tadA
   sarvamupanītaṃ sampādayati / yadā sattvādhikā buddhirbhavati, tadā	sarvam-upanItam sampAdayati / yadA sattva-aDikA budDiH-Bavati, tadA
   jñānasaṅgatā pradhānapuruṣāntaraṃ viśinaṣṭi / pradhānapuruṣayorvibhāgaṃ	jQAna-saFga-tA praDAna-puruza-antaram viSinazwi / praDAna-puruzayoH-viBAgam
   karotītyarthaḥ / anyat pradhānamanyaḥ puruṣa iti //	karoti-iti-arTaH / anyat praDAnam-anyaH puruzaH iti //
   'sūkṣmam'; / sāṃsārikajñānasyāviṣayatvāt // 37 //	asUkzmam-a; / sAMsArika-jQAnasya-avizaya-tvAt // 37 //
   kārikā 38	kArikA 38
   viśeṣāviśeṣaviṣayiṇītyuktam, tatra ke viśeṣāḥ ke 'viśeṣāścetyatrāha-	viSeza-aviSeza-vizayiNI-iti-uktam, tatra ke viSezAH ke aviSezAH-ceti-atra-Aha-
   tanmātrāṇyaviśeṣāḥ, tebhyo bhūtāni pañca pañcabhyaḥ /	tanmAtrANi-aviSezAH, teByaH BUtAni paQca paQcaByaH /
   ete smṛtā viśeṣāḥ, śāntā ghorāśca mūḍhāśca // ISk_38 //	ete smRtAH viSezAH, SAntAH GorAH-ca mUXAH-ca // ISc-_38 //
   'tanmātrāṇi'; ityādi / sūkṣmaviṣayāstanmātrāṇītyucyante / tairna	atanmAtrANi-a; ityAdi / sUkzma-vizayAH-tanmAtrANi-iti-ucyante / tEH-na
   kaścidviśiṣyata ityaviśeṣāḥ / yathā sūkṣmatṛṇāgrāvasthitaṃ tejo na	kaScid-viSizyate iti-aviSezAH / yaTA sUkzma-tRNa-agra-avasTitam tejaH na
   lakṣyate, na ca kiñcit prakāśayati, tadvat te 'pyaviśeṣāḥ //	lakzyate, na ca kiQcid prakASayati, tadvat te api-aviSezAH //
   'tebhyo bhūtāni pañca pañcabhyaḥ'; iti / tanmātrebhyaḥ pañca	ateByaH BUtAni paQca paQcaByaH-a; iti / tanmAtreByaH paQca
   mahābhūtānyutpadyante //	mahABUtAni-utpadyante //
   'ete smṛtā viśeṣāḥ'; iti / śabdatanmātrādekaguṇamākāśamutpadyate / evaṃ	aete smRtAH viSezAH-a; iti / Sabda-tanmAtrAt-ekaguNam-AkASam-utpadyate / evam
   sparśāditanmātrād dvitricatuḥpañcaguṇā vāyvādaya utpadyante / taiśca	sparSa-Adi-tad-mAtrAt dvi-tri-catur-paQca-guNAH vAyu-AdayaH utpadyante / tEH-ca
   tanmātrāṇi / viśiṣyanta iti viśeṣāḥ //	tanmAtrANi / viSizyante iti viSezAH //
   te ca kiṃsvarūpā ityāha- 'śāntā ghorāśca mūḍhāśca'; iti / śāntāḥ	te ca kiMsvarUpAH iti-Aha aSAntAH GorAH-ca mUXAH-ca-a; iti / SAntAH
   sukhapradāha ghorā duḥkhapradāḥ, mūḍhā mohapradā iti // 38 //	suKa-pradAha GorAH duHKa-pradAH, mUXAH moha-pradAH iti // 38 //
   kārikā 39	kArikA 39
   kimetāvanta eva viṣeṣā utānye 'pītyāha-	kim-etAvantaH eva vizezAH uta-anye api-iti-Aha-
   sūkṣmā mātāpitṛjāḥ, saha prabhūtaistridhā viśeṣāḥ syuḥ /	sUkzmAH mAtA-pitR-jAH, saha praBUtEH-triDA viSezAH syuH /
   sūkṣmāsteṣāṃ niyatā, mātāpitṛjā nivartante // ISk_39 //	sUkzmAH-tezAm niyatA, mAtA-pitR-jAH nivartante // ISc-_39 //
   'sūkṣmāḥ'; ityādi / ye sūkṣmāstanmātralakṣaṇāḥ saṃsāriṇaḥ	asUkzmAH-a; ityAdi / ye sUkzmAH-tad-mAtra-lakzaNAH saMsAriNaH
   śarīrasyāśrayatāṃ gatāste 'pi viśeṣāḥ, sūkṣmaśarīrasyārabdhatvāt //	SarIrasya-ASraya-tAm gatAH-te api viSezAH, sUkzma-SarIrasya-ArabDa-tvAt //
   'mātāpitṛjāḥ'; iti / mātāpitṛjāḥ ṣaṭ / tatra mātṛto lomalohitamāṃsāni	amAtA-pitR-jAH-a; iti / mAtA-pitR-jAH zaw / tatra mAtRtaH loma-lohita-mAMsAni
   pitṛtaḥ snāyvasthimajjānaḥ / te 'pi viśeṣāḥ, taiḥ sthūlaśarīrasya	pitRtaH snAyu-asTi-majjAnaH / te api viSezAH, tEH sTUla-SarIrasya
   ṣaṭkośikasyārabdhatvāt / ete dvividhā viśeṣā ādhyātmikāḥ //	zaz-koSikasya-ArabDa-tvAt / ete dviviDAH viSezAH ADyAtmikAH //
   'sahaprabhūtaiḥ'; iti / yāni mahābhūtāni bāhyāni śāntaghoramūḍhānyuktāni	asaha-praBUtEH-a; iti / yAni mahABUtAni bAhyAni SAnta-Gora-mUXAni-uktAni
   tāni sthūlaśarīrasyāvakāśavyūhanapattikledanadhāraṇakartṛtvena	tAni sTUla-SarIrasya-avakASa-vyUhana-patti-kledana-DAraNa-kartR-tvena
   prakṛṣṭabhūtānyucynte / taiḥ saha trayo viśeṣāḥ //	prakRzwa-BUtAni-ucynte / tEH saha trayaH viSezAH //
   'sūkṣmāsteṣāṃ niyatā mātāpitṛjā nivartante'; iti / sūkṣmaśarīraniyataṃ	asUkzmAH-tezAm niyatAH mAtA-pitR-jAH nivartante-a; iti / sUkzma-SarIra-niyatam
   jñānaprāpteḥ prāk, tasya sāṃsarikatvāt / sthūlaśarīraniyataṃ tu nivartate,	jQAna-prApteH prAk, tasya sAMsarika-tvAt / sTUla-SarIra-niyatam tu nivartate,
   tasya pratimaraṇaṃ patitasya rasabhasmaniṣṭhāntatvāt // 39 //	tasya pratimaraNam patitasya rasa-Basma-nizWAnta-tvAt // 39 //
   kārikā 40	kArikA 40
   yadetat sūkṣmaśarīraṃ tatkathamutpannamityāha-	yat-etat sUkzmaSarIram tat-kaTam-utpannam-iti-Aha-
   pūrvotpannamasaktaṃ niyatammahadādisūkṣmaparyantam /	pUrva-utpannam-asaktam niyatam-mahat-Adi-sUkzma-paryantam /
   saṃsarati nirupabhogaṃ bhāvairadhivāsitaṃ liṅgam // ISk_40 //	saMsarati nirupaBogam BAvEH-aDivAsitam liFgam // ISc-_40 //
   'pūrvotpannam'; ityādi / pradhānenādisarge pratipuruṣamutpāditatvāt	apUrva-utpannam-a; ityAdi / praDAnena-Adisarge prati-puruzam-utpAdita-tvAt-
   pūrvotpannam / asaktamapyāha / tanna kvacidvihanyate, parvatamapi bhittvā	pUrva-utpannam / asaktam-api-Aha / tat-na kvacid-vihanyate, parvatam-api BittvA
   gacchati //	gacCati //
   'niyatam'; / nityam, jñānotpatteḥ prāgityarthaḥ //	aniyatam-a; / nityam, jQAna-utpatteH prAk-iti-arTaH //
   kiṃparimāṇamidamityāha- 'mahadādisūkṣmaparyantam'; iti / buddhirādiryasya	kiMparimANam-idam-iti-Aha amahat-Adi-sUkzma-paryantam-a; iti / budDiH-AdiH-yasya
   tat, mahadādisūkṣmaviṣayāstanmātralakṣaṇāḥ paryantaṃ yasya tat	tat, mahat-Adi-sUkzma-vizayAH-tanmAtra-lakzaNAH paryantam yasya tat-
   sūkṣmaparyantam / buddhirahaṅkāra ekādaśendriyāṇi pañca	sUkzma-paryantam / budDiH-ahaFkAraH ekAdaSa-indriyANi paQca
   tanmātrāṇītyetatparimāṇamityarthaḥ //	tanmAtrANi-iti-etat-parimANam-iti-arTaH //
   'saṃsarati'; / triṣu lokeṣu //	asaMsarati-a; / trizu lokezu //
   'nirupabhogam'; iti / bāhyena sthūlaśarīreṇa	anirupaBogam-a; iti / bAhyena sTUla-SarIreNa
   vikalatvādviṣayabhogasamarthaṃ na bhavatītyarthaḥ //	vikala-tvAt-vizaya-Boga-samarTam na Bavati-iti-arTaH //
   'bhāvairadhivāsitam'; iti / dharmādibhiruparaktamityarthaḥ //	aBAvEH-aDivAsitam-a; iti / Darma-AdiBiH-uparaktam-iti-arTaH //
   'liṅgam'; itu / pralayakāle layaṃ gacchatīti kṛtvā // 40 //	aliFgam-a; itu / pralaya-kAle layam gacCati-iti kRtvA // 40 //
   kārikā 41	kArikA 41
   nanu karaṇamātrameva saṃsarati, kiṃ sūkṣmaśarīreṇetyāha-	nanu karaNa-mAtram-eva saMsarati, kim sUkzma-SarIreNa-iti-Aha-
   citraṃ yathāśrayamṛte sthāṇvādibhyo vinā yathā cchāyā /	citram yaTA-ASrayam-Rte sTANu-AdiByaH vinA yaTA cCAyA /
   tadvadvinā 'viśeṣairna tiṣṭhati nirāśrayaṃ liṅgam // ISk_41 //	tadvat-vinA aviSezEH-na tizWati nirASrayam liFgam // ISc-_41 //
   'citram'; ityādi / yathā kuḍyādikamāśrayamṛte citraṃ na tiṣṭhati //	acitram-a; ityAdi / yaTA kuxya-Adikam-ASraya-m-Rte citram na tizWati //
   'sthāṇvādibhyaḥ'; iti / ādiśabdena vṛkṣastambādayaḥ /	asTANu-AdiByaH-a; iti / Adi-Sabdena vRkza-stamba-AdayaH /
   'pṛthagvinānānābhistṛtīyānyatarasyām'; iti pañcamyapi bhavati / tairvinā	apRTak-vinAnA-nABiH-tRtIyA-anyatarasyAm-a; iti paQcamI-api Bavati / tEH-vinA
   yathā cchāyā snigdhā paruṣā vā na tiṣṭhati //	yaTA cCAyA snigDA paruzAH vA na tizWati //
   'tadvadvinā 'viśeṣairna tiṣṭhati nirāśrayaṃ liṅgam'; iti /	atadvat-vinA aviSezEH-na tizWati nirASrayam liFgam-a; iti /
   aviśeṣāstanmātrāṇi / liṅgaṃ trayodaśavidhaṃ karaṇamiha gṛhyate / na	aviSezAH-tanmAtrANi / liFgam trayodaSaviDam karaNam-iha gRhyate / na
   tiṣṭhati nirāśrayatvāt / (tairhi sūkṣmaśarīramārabdham, tadabhāvāttadapi	tizWati nirASraya-tvAt / (tEH-hi sUkzmaSarIram-ArabDam, tad-aBAvAt-tat-api
   nāstīti nirāśrayatvāt) / na saṃsarati / na ca nirādhāreṇa karaṇena	na-asti-iti nirASraya-tvAt) / na saMsarati / na ca nirADAreNa karaNena
   puruṣasya saṃyogaḥ sambhavati / puruṣo 'pi niṣkriyatvānna saṃsarati // 41	puruzasya saMyogaH samBavati / puruzaH api nizkriya-tvAt-na saMsarati // 41
   kārikā 42	kArikA 42
   tadeva sūkṣmaśarīraṃ kimarthaṃ saṃsaratītyāha-	tat-eva sUkzmaSarIram kim-arTam saMsarati-iti-Aha-
   puruṣārthahetukamidaṃ nimittanaimittikaprasaṅgena /	puruza-arTa-hetukam-idam nimitta-nEmittika-prasaFgena /
   prakṛtervibhutvayogānnaṭavadvyavatiṣṭhate liṅgam // ISk_42 //	prakRteH-viBu-tva-yogAn-nawa-vat-vyavatizWate liFgam // ISc-_42 //
   'puruṣārthahetukam'; ityādi / puruṣārtho dvividha uktaḥ / sa heturyasyeti	apuruza-arTa-hetukam-a; ityAdi / puruza-arTaH dviviDaH uktaH / sa hetuH-yasya-iti
   / samāsāntaḥ kap //	/ samAsa-antaH kaB //
   'idam'; iti / mahadādi sūkṣmaparyantaṃ liṅgamuktam, tannaṭavadavatiṣṭhate	aidam-a; iti / mahat-Adi sUkzma-paryantam liFgam-uktam, tat-nawa-vat-avatizWate
   / yathaika eva naṭastaṃ taṃ viśeṣamāsthāya yavanikānto nirgatya	/ yaTA-ekaH eva nawaH-tam tam viSezam-AsTAya yava-nikAntaH nirgatya
   rājāmātyaviduṣakādibhāvenānuviddho 'vatiṣṭhate, tathā liṅgamapi taṃ taṃ	rAjA-amAtya-viduzaka-Adi-BAvena-anuvidDaH avatizWate, taTA liFgam-api tam tam
   dehamāsthāya devamanuṣyatiryagbhāvena vyavatiṣṭhate //	deham-AsTAya deva-manuzya-tiryagBAvena vyavatizWate //
   tadeva kathaṃ bhavatītyāha- 'nimittanaimittikaprasaṅgena'; iti / nimittaṃ	tat-eva kaTam Bavati-iti-Aha animitta-nEmittika-prasaFgena-a; iti / nimittam
   dharmādharmādi, naimittikamūrdhvādhogamanādi / vakṣyati ca / tayoḥ	Darma-aDarma-Adi, nEmittikam-UrDva-aDas-gamana-Adi / vakzyati ca / tayoH
   prasaṅgeneti //	prasaFgena-iti //
   kimetatsarvamīśvarāt kiṃ vā svabhāvādityatrāha- 'prakṛteḥ vibhutvayogāt';	kim-etat-sarvam-ISvarAt kim vA svaBAva-Aditya-trAha aprakRteH viBu-tva-yogAt-a;
   iti / prakṛtiḥ pradhānam, tasyā vibhutvaṃ jagatkartṛtvam / tadyogāt	iti / prakRtiH praDAnam, tasyAH viBu-tvam jagat-kartR-tvam / tad-yogAt
   naṭavadvyavatiṣṭhate / pradhānenaiva hi puruṣasyārthaḥ kartavya iti	nawa-vat-vyavatizWate / praDAnena-eva hi puruzasya-arTaH kartavyaH iti
   mahadādisūkṣmaparyantaṃ liṅgamutpādya dharmādibhiradhivāsayati /	mahat-Adi-sUkzma-paryantam liFgam-utpAdya Darma-AdiBiH-aDivAsayati /
   tadadhivāsitaṃ ca naṭavat vyavatiṣṭhate / neśvarānna svabhāvāditi	tad-aDivAsitam ca nawa-vat vyavatizWate / na-ISvarAt-na svaBAvAt-iti
   bhāvairadhivāsitamityuktam // 42 //	BAvEH-aDivAsitam-iti-uktam // 42 //
   kārikā 43	kArikA 43
   te punaḥ kiyantaḥ kimāśritā ityāha-	te punar kiyantaH kim-ASritAH iti-Aha-
   sāṃsiddhikāśca bhāvāḥ prākṛtikā vaikṛtāśca dharmādyāḥ /	sAMsidDikAH-ca BAvAH prAkRtikAH vEkRtAH-ca Darma-AdyAH /
   dṛṣṭā karaṇāśrayiṇaḥ kāryāśrayiṇaḥ kalalādyāḥ // ISk_43 //	dRzwA karaNa-ASrayiNaH kArya-ASrayiNaH kalala-AdyAH // ISc-_43 //
   'sāṃsiddhikāśca'; ityādi / ye prākṛtasvabhāvāste sāṃsiddhikā ucyante / te	asAMsidDikAH-ca-a; ityAdi / ye prAkRta-svaBAvAH-te sAMsidDikAH ucyante / te
   ca kapilasyaiva mahāmunernānyasya / tasya hyutpadyamānasyaivādisarge	ca kapilasya-eva mahA-muneH-na-anyasya / tasya hi-utpadyamAnasya-eva-Adisarge
   sahotpannā dharmajñānavairāgyaiśvaryasaṃjñakāścatvāro bhāvāḥ / ye	saha-utpannAH Darma-jQAna-vErAgya-ESvarya-saMjQakAH-catvAraH BAvAH / ye
   tvādisargāduttarakālamutpannakāryakāraṇānāmasmadvidhānāṃ prayatnapūrvakā	tu-AdisargAt-uttara-kAlam-utpanna-kArya-kAraNAnAm-asmadviDAnAm prayatna-pUrvakA
   utpadyante, te vaikṛtāḥ //	utpadyante, te vEkRtAH //
   te ca dvividhāḥ / yadāha- 'dharmādyā dṛṣṭāḥ karaṇāśrayiṇaḥ kāryāśrayiṇaśca	te ca dviviDAH / yat-A-aha aDarma-AdyAH dRzwAH karaNa-ASrayiNaH kArya-ASrayiNaH-ca
   kalalādyāḥ'; iti / dharmādayaścatvāraḥ, viparītāścādharmādayaścatvāra	kalala-AdyAH-a; iti / Darma-AdayaH-catvAraH, viparItAH-ca-aDarma-AdayaH-catvAra
   ityaṣṭau / ete trayodaśavidhaṃ karaṇamāśritya pravartante / kāryaṃ pañca,	iti-azwO / ete trayodaSaviDam karaNam-ASritya pravartante / kAryam paQca,
   kukṣisthasyāsya nicchuritasya tu kaumārayauvanavārddhakāni trayaḥ,	kukzi-sTasya-asya nicCuritasya tu kOmAra-yOvana-vArdDakAni trayaH,
   ityaṣṭau bhāvāḥ / tatra vaikṛte dharmādibhiradhivāsitaṃ saṃsaratīti jñeyam	iti-azwO BAvAH / tatra vEkRte Darma-AdiBiH-aDivAsitam saMsarati-iti jQeyam
   kārikā 44	kArikA 44
   nimittanaimittikaprasaṅgenetyuktam / tadubhayamapi darśayitumāha-	nimitta-nEmittika-prasaFgena-iti-uktam / tat-uBayam-api darSayitum-Aha-
   dharmeṇa gamanamūrdhvaṃ, gamanamadhastādbhavatyadharmeṇa /	DarmeNa gamanam-UrDvan, gamanam-aDastAt-Bavati-aDarmeNa /
   jñānena cāpavargo, viparyayādiṣyate bandhaḥ // ISk_44 //	jQAnena ca-apavargaH-, viparyayAt-izyate banDaH // ISc-_44 //
   'dharmeṇa'; ityādi / dharmādinimittamūrdhvagamanādi naimittikam / tatra	aDarmeNa-a; ityAdi / Darma-Adi-nimittam-UrDva-gamana-Adi nEmittikam / tatra
   dharmeṇa yamaniyamalakṣaṇena gamanamūrdhvamiti, sūkṣmaśarīrasya	DarmeNa yama-niyama-lakzaNena gamanam-UrDvamiti, sUkzma-SarIrasya
   devādivyavasthitirityarthaḥ //	deva-Adi-vyavasTitiH-iti-arTaH //
   'gamanamadhastādbhavayadharmeṇa'; iti / tiryagyoniṣu sthitiḥ /	agamanam-aDastAt-Bavaya-DarmeNa-a; iti / tiryagyonizu sTitiH /
   miśrānmanuṣyaloke sthitirityarthoktam //	miSrAn-manuzya-loke sTitiH-iti-arTa-uktam //
   'jñānena cāpavargaḥ'; iti / pradhānapuruṣāntarajñānākhyena jñānena liṅgaṃ	ajQAnena ca-apavargaH-a; iti / praDAna-puruza-antara-jQAna-AKyena jQAnena liFgam
   nivartate / tataḥ kevalaḥ puruṣo bhavati //	nivartate / tatas kevalaH puruzaH Bavati //
   'viparyayādiṣyate bandhaḥ'; iti / jñānaviparyayādajñānāt	aviparyayAt-izyate banDaH-a; iti / jQAna-viparyayAt-ajQAnAt
   saṃsāracakrabandhaḥ, punaḥ punarāvartanam / sa ca triprakāraḥ -	saMsAra-cakra-banDaH, punar punar-Avartanam / sa ca tri-prakAraH -
   prakṛtibandhaḥ, dakṣiṇābandhaḥ, vikārabandhaśceti / yeṣāṃ prakṛtireva	prakRti-banDaH, dakziNAbanDaH, vikAra-banDaH-ca-iti / yezAm prakRtiH-eva
   paratattvaṃ nānyat, teṣāṃ prakṛtivādināṃ prākṛtiko bandhaḥ /	para-tattvam na-anyat, tezAm prakRti-vAdinAm prAkRtikaH banDaH /
   yeṣāmiṣṭāpūrtabhāvina eva divyādivyamānuṣabhogāḥ puruṣārtha iti, teṣāṃ	yezAm-izwApUrta-BAvinaH eva divya-Adivya-mAnuza-BogAH puruza-arTaH iti, tezAm
   karmavādināṃ dakṣiṇābandhaḥ / iṣṭāpūrtaṃ dakṣiṇeti / tathā coktam-	karma-vAdinAm dakziNAbanDaH / izwApUrtam dakziNA-iti / taTA ca-uktam-
   agnihotraṃ tapaḥ satyaṃ devānāṃ paripālanam /	agnihotram tapaH satyam devAnAm paripAlanam /
   atithirvaiśvadevaṃ ca iṣṭamityabhidhīyate //	atiTiH-vESvadevam ca izwam-iti-aBiDIyate //
   puṣkariṇyaḥ sabhā vāpyo devatāyatanāni ca /	puzkariNyaH saBA vApyaH devatAyatanAni ca /
   annapradānamārāmaḥ pūrtamityabhidhīyate //	anna-pradAnam-ArAmaH pUrtam-iti-aBiDIyate //
   yeṣāṃ vikāra evaiśvaryalakṣaṇaḥ puruṣārtha iti, teṣāṃ vikāratvavādināṃ	yezAm vikAraH eva-ESvarya-lakzaNaH puruza-arTaH iti, tezAm vikAra-tva-vAdinAm
   vaikāriko bandhaḥ // 44 //	vEkArikaH banDaH // 44 //
   kārikā 45	kArikA 45
