   caturtha uddyotaḥ	caturTaH uddyotaH
   tathaiva padārtharūpāṇītyatra nāpūrvāṇi ghaṭayituṃ śakyante ityādi	taTA-eva padArTa-rUpANi-iti-atra na-apUrvANi Gawayitum Sakyante ityAdi
   virudhyantītyevamantaṃ prāktanaṃ vākyamabhisandhānīyam // 15 // // //	viruDyanti-iti-evam-antam prAktanam vAkyam-aBisanDAnIyam // 15 // // //
   'lokye'ti vyācaṣṭe--sahṛdayānāmiti /	alokye-ati vyAcazwe---sahRdayAnAm-iti /
   camatkṛtiriti /	camatkRtiH-iti /
   āsvādapradhānā buddhirityarthaḥ /	AsvAda-praDAnA budDiH-iti-arTaH /
   'abhyujjīhīta' iti vyācaṣṭe--utpadyata iti /	aaByujjIhIta-a iti vyAcazwe--utpadyate iti /
   udetītyarthaḥ /	udeti-iti-arTaH /
   buddherevākāraṃ darśayati--sphuraṇeyaṃ kāciditi /	budDeH-eva-AkAram darSayati---sPuraNeyam kAcid-iti /
   yadapi tadapi ramyaṃ yatra lokasya kiñci- tsphuritamidamitīyaṃ	yat-api tat-api ramyam yatra lokasya kiQci tsPuritam-idamiti-iyam
   buddhirabhyujjihīte /	budDiH-aByujjihIte /
   bālapriyā arthā iti /	bAla-priyAH arTAH iti /
   vivakṣitā iti śeṣaḥ /	vivakzitAH iti SezaH /
   tāni tvityādikaṃ vivṛṇoti--akṣarāṇītyādi /	tAni tu-iti-Adikam vivRNoti--akzarANi-ityAdi /
   tānyevopanibaddhānītyasya vivaraṇam--tenaivetyādi /	tAni-eva-upanibadDa-Ani-iti-asya vivaraNam---tena-eva-ityAdi /
   vyākhyāyeti /	vyAKyAya-iti /
   na hītyādinā virudhyantītyanteneti śeṣaḥ /	na hi-ityAdinA viruDyanti-iti-antena-iti SezaH /
   sadvṛttetyādi /	sat-vRttA-ityAdi /
   sadvṛttādayo hi śabdā nānārthakāḥ /	sat-vRtta-AdayaH hi SabdAH nAnA-arTakAH /
   nibaddhā ityādi /	nibadDAH ityAdi /
   pūrvairupamānatvena nibaddhāścandrādayaścādyatanairupamānatvena	pUrvEH-upamAna-tvena nibadDAH-candra-AdayaH-ca-At-yatanEH-upamAna-tvena
   nibadhyanta ityarthaḥ /	nibaDyante iti-arTaH /
   abhisandhānīyamiti /	aBisanDAnIyam-iti /
   anuṣañjanīyamityarthaḥ /	anuzaQjanIyam-iti-arTaH /
   kārikāyāṃ yatretyuktyā tatretyadhyāhṛtya kāvyavastunītyanena yojyam /	kArikAyAm yatra-iti-uktyA tatra-iti-aDyAhRtya kAvya-vastuni-iti-anena yojyam /
   yatretyasya sthāne yā tviti vā pāṭhaḥ /	yatra-iti-asya sTAne yA tu-iti vA pAWaH /
   kārikāyāṃ 'yadapī'tyādi /	kArikAyAm ayat-apI-atyAdi /
   'yadapi tadapi' yatkiñcittadvastvapi /	ayat-api tat-api-a yat-kiQcit-tat-vastu-api /
   'ramyaṃ' kāvye cāru bhavati /	aramyama kAvye cAru Bavati /
   tatpadārthaṃ vivṛṇoti--'yatre'tyādi /	tad-padArTam vivRNoti---ayatre-atyAdi /
   'yatra' nibaddhe yasmin vastuni /	ayatra-a nibadDe yasmin vastuni /
   idaṃ kiñcit sphuritamitīyaṃ buddhiḥ lokasya ujjihīte ityanvayaḥ /	idam kiQcid sPuritam-iti-iyam budDiH lokasya ujjihIte iti-anvayaH /
   tadanugatamapi pūrvacchāyayā vastu tādṛk tādṛkṣaṃ	tad-anugatam-api pUrva=-CAyayA vastu tAdRS tAdRkzam
   sukavirvivakṣitavyaṅgyavācyārthasamarpaṇasamarthaśabdaracanārūpayā	su-kaviH-vivakzita-vyaFgI-avAcya-arTa-samarpaNa-samarTa-Sabda-racanA-rUpayA
   bandhacchāyayopanibadhnannindhatāṃ naiva yāti /	banDa=-CAyayA-upanibaDnan=-inDa-tAm na-eva yAti /
   taditthaṃ sthitam--- pratāyantāṃ vāco nimitavividhārthāmṛtarasā na sādaḥ	tat-itTam sTitam--- pratAyantAm vAcaH nimita-viviDa-arTa-amRta-rasAH na sAdaH
   kartavyaḥ kavibhiranavadye svaviṣaye /	kartavyaH kaviBiH-anavat-ye sva-vizaye /
   santi navāḥ kāvyārthāḥ paropanibaddhārthaviracane na kaścitkaverguṇa iti	santi navAH kAvya-arTAH para-upanibadDa-arTa-viracane na kaScid-kaveH-guNaH iti
   bhāvayitvā /	BAvayitvA /
   parasvādānecchā-virata-manaso vastu sukaveḥ	para-sva-AdAna-icCA-virata-manasaH vastu su-kaveH
   sarasvaty evaiṣā ghaṭayati yatheṣṭaṃ bhagavatī // DhvK_4.17 //	sarasvatI eva-ezA Gawayati yaTezwam BagavatI // DhvK_4.17 //
   parasvādānecchāviratamanaso vastu sukaveḥ /	para-sva-AdAna-icCA-virata-manasaH vastu su-kaveH /
   sarasvatyevaiṣā ghaṭayati yatheṣṭaṃ bhagavatī // 17 //	sarasvatI-eva-ezA Gawayati yaTezwam BagavatI // 17 //
   locanam anugatamipi pūrvacchāyayā vastu tādṛksukavirupanibadhnannindyatāṃ	locanam anugatam-ipi pUrva=-CAyayA vastu tAdRS-sukaviH-upanibaDnat-nindya-tAm
   nopayati // //	na-upayati // //
   iti kārikā khaṇḍīkṛtya paṭhitā // 16 //	iti kArikA KaNxIkRtya paWitAH // 16 //
   svaviṣaya iti /	sva-vizayaH iti /
   svayantātkālikatvenāsphurita ityarthaḥ /	svayantAt-kAlika-tvena-AsPuritaH iti-arTaH /
   parasvādānecchetyādidvitīyaṃ ślokārdhaṃ pūrvopaskārema saha	para-sva-AdAna-icCa-iti-Adi-dvitIyam Sloka-arDam pUrva-upaskArema saha
   paṭhati--parasvādānecchāviratamanaso bālapriyā tatra	paWati--para-sva-AdAna-icCA-virata-manasaH bAla-priyA tatra
   lokasyetyādervivaraṇaṃ vṛttau 'sphuraṇeyam' ityādi /	lokasya-ityAdeH-vivaraNam vRttO asPuraNeyam-a ityAdi /
   tadetaddarśayannāha locanelokasyetyādi /	tat-etat-darSayan=-Aha loca-nelokasya-ityAdi /
   khaṇḍīkṛtya paṭhiteti /	KaNxIkRtya paWitA-iti /
   'yadapī'tyādikārikāpūrvārdhaṃ pāṭhānantaraṃ	ayat-apI-ati-Adi-kArikA-pUrva-arDam pAWA-anantaram
   'sphuraṇeya'mityādivṛttigranthapāṭhaḥ, stadanantaraṃ	asPuraNa-iya-amiti-Adi-vRtti-granTa-pAWaH, stad-anantaram
   'anugatamapī'tyādyuttarārdhapāṭhaḥ, tadanamtaraṃ 'gatam'	aanugatam-apI-ati-Adi-uttara-arDa-pAWaH, tad-anamtaram agatam-a
   ityādivṛtitagranthapāṭhaśceti bhāvaḥ // 16 //	ityAdi-vRtita-granTa-pAWaH-ca-iti BAvaH // 16 //
   'pratāyamtām' iti /	apratAyamtAma iti /
   nimitāḥ tulitāḥ vividhārthāmṛtarasāḥ amṛtarasatulyāḥ vividhārthāḥ yābhiḥ	nimitAH tulitAH viviDa-arTa-amRta-rasAH amRta-rasa-tulyAH viviDa-arTAH yABiH
   tāḥ, yāvanto 'rthāstāvatya iti bhāvaḥ /	tAH, yAvantaH arTAH-tAvatyaH iti BAvaH /
   yathā mādhe 'yāvadarthapadāṃ vācam' iti /	yaTA mADe ayAvat-arTa-padAm vAcam-a iti /
   vācaḥ kāvyarūpāḥ /	vAcaH kAvya-rUpAH /
   kavibhiḥ 'pratāyantāṃ' savistarāḥ nibadhyantām /	kaviBiH apratAyantAM-a sa-vistarAH nibaDyantAm /
   'anavadye' bhirdeṣe /	aanavadye-a BiH-deze /
   'svaviṣaye' kāvyavastuni viṣaye kavibhiḥ 'sādaḥ' manassādaḥ, kutaḥ	asvavizaye-a kAvya-vastuni vizaye kaviBiH asAdaH-a manassAdaH, kutas-
   khalvapūrvamānayamītyādicintayā viṣāda iti yāvat; na kartavyaḥ, kuta	Kalu-a-pUrvam-Anayami-ityAdi-cintayA vizAdaH iti yAvat; na kartavyaH, kuta
   ityatrāha--'parasve'tyādi /	iti-atra-aha---apara-sve-atyAdi /
   'vastu' kāvyam /	avastu-a kAvyam /
   sukaverghaṭayatīti sambandhaḥ /	sukaveH-Gawayati-iti sambanDaH /
   'yatheṣṭaṃ' kaveriṣṭamanatikramya iti kārikārthaṃ spaṣṭaṃ matvā svaviṣaya	ayaTezwama kaveH-izwam-anatikramya iti kArikA-arTam spazwam matvA sva-vizaya
   ityatra pūrayati locane--svayaṃ tātkālikatvenāsphurita iti /	iti-atra pUrayati locane---svayam tAtkAlika-tvena-AsPuritaH iti /
   tatkāle kaverasphurita ityarthaḥ /	tad-kAle kavera-sPuritaH iti-arTaH /
   anena sādasya heturdarśitaḥ /	anena sAdasya hetuH-darSitaH /
   pūrvopaskāreṇa saha paṭhatīti /	pUrva-upaskAreNa saha paWati-iti /
   karikāpūrvārdhapāṭhānantaraṃ santī parasvādānecchāviratamanasaḥ sukaveḥ	karikA-pUrva-arDa-pAWA-anantaram santI para-sva-AdAna-icCA-virata-manasaH su-kaveH
   sarasvatyeṣā bhagavatī yatheṣṛṃ ghaṭayati vastu /	sarasvatI-ezA BagavatI yaTezRm Gawayati vastu /
   yeṣāṃ sukavīnāṃ prāktanapuṇyābhyāsaparipākavaśena pravṛttisteṣāṃ	yezAm su-kavInAm prAktana-puNya-aByAsa-paripAka-vaSena pravRttiH-tezAm
   paroparacatārthaparigrahaniḥspṛhāṇāṃ svavyāpāro na kvacidupayujyate /	para-upara-cata-arTa-parigraha-niHspRhANAm sva-vyApAraH na kvacid-upayujyate /
   saivabhagavatī sarasvatī svayamabhimatamarthamāvirbhāvayati /	sA-eva-BagavatI sarasvatI svayam-aBimatam-arTam-AvirBAvayati /
   etadiva hi mahākavitvaṃ mahākavīnāmityom /	etat-iva hi mahA-kavi-tvam mahA-kavInAm-ityom /
   ityakliṣṭarasāśrayocitaguṇālaṅkāraśobhābhṛto yasmādvastu samīhitaṃ	iti-aklizwa-rasa-ASraya-ucita-guNa-alaFkAra-SoBA-BRtaH yasmAt-vastu samIhitam
   sukṛtibhiḥ sarvaṃ samāsādyate /	sukRtiBiH sarvam samAsAdyate /
   locanam vastu sukaveriti tṛtīyaḥ pādaḥ /	locanam vastu sukaveH-iti tRtIyaH pAdaH /
   kutaḥ khalvapūrvamānayāmītyāśayena nirudyogaḥ paropanibaddhavastūpajīvako	kutas Kalu-a-pUrvam-AnayAmi-iti-ASayena nirudyogaH para-upanibadDa-vastu-upajIva-kaH-
   vā syādatyāśaṅkyāha--sarasvatyeveti /	vA syAt-ati-ASaFkya-aha---sarasvati-eva-iti /
   kārikāyāṃ suveriti jātāvekavacanamityabhiprāyeṇa vyācaṣṭe--sukavināmiti /	kArikAyAm suveH-iti jAtO=-eka-vacanam-iti-aBiprAyeNa vyAcazwe---su-kavinAm-iti /
   etadeva spaṣṭayati--prāktanetyādi /	etat-eva spazwayati---prAktanA-ityAdi /
   na teṣāmityantena /	na tezAm-iti-antena /
   āvirbhāvayatīti /	AvirBAvayati-iti /
   nūtanameva sṛjatītyarthaḥ // 17 // // //	nUtanam-eva sRjati-iti-arTaH // 17 // // //
   itīti /	iti-iti /
   kārikātadvṛttinirūpaṇaprakāreṇetyarthaḥ /	kArikA-tad-vRtti-nirUpaNa-prakAreNa-iti-arTaH /
   akliṣṭā rasāśrayeṇa ucitā ye guṇālaṅkārāstato yā śobhā tāṃ bibharti kāvyam	aklizwAH rasa-ASrayeNa ucitAH ye guNa-alaFkArAH-tatas yA SoBA tAm biBarti kAvyam
   udyānamapyakliṣṭaḥ kālocito yo lasaḥ sekādikṛtaḥ tadāśrayastatkṛto yo	udyAnam-api-aklizwaH kAla-ucitaH yaH lasaH seka-Adi-kRtaH tad-ASrayaH-tad-kRtaH yaH-
   guṇānāṃ saukumāryacchāyāvatvasaugandhyaprabhṛtīnamalaṅkāraḥ	guNAnAm sOkumArya=-CAyAvatva-sOganDya-praBRtInam-alaFkAraH
   paryāptatākāraṇaṃ tena ca yā śobhā tāṃ bibharti /	paryApta-tA-kAraNam tena ca yA SoBA tAm biBarti /
   yasmāditi kāvyākhyādudyānāt /	yasmAt-iti kAvya-AKyAt-udyAnAt /
   sarve samīhitamiti /	sarve samIhitam-iti /
   vyutpattikīrtiprītilakṣaṇamityarthaḥ /	vyutpatti-kIrti-prIti-lakzaNam-iti-arTaH /
   bālapriyā tyādibhāvayitvetyantasya vṛttigranthasya pāṭhaḥ /	bAla-priyA tyAdi-BAvayitvA-iti-antasya vRtti-granTasya pAWaH /
   tasya parasvādānecchāviratamanasa ityatra viratetyanena sambandhaśceti	tasya para-sva-AdAna-icCA-virata-manasaH iti-atra virata-iti-anena sambanDaH-ca-iti
   bhāvaḥ /	BAvaH /
   avatārayati--kuta ityādi /	avatArayati---kutaH ityAdi /
   āśayena cintayā /	ASayena cintayA /
   nirudyogaḥ kāvyaviṣayakodyogarahitaḥ /	nirudyogaH kAvya-vizaya-ka-udyoga-rahitaH /
   syāditi /	syAt-iti /
   kuto na syāt, syādevetyarthaḥ // 17 //	kutas na syAt, syAt-eva-iti-arTaH // 17 //
   ityakliṣṭetyādiślokasthasyetipadasya vivaraṇam---kāriketyādi /	iti-aklizwa-ityAdi-Sloka-sTasya-itipadasya vivaraNam---kArika-ityAdi /
   kārikā ca tadvṛttiśca tābhyāṃ yannirūpaṇaṃ tatprakāreṇetyarthaḥ /	kArikA ca tad-vRttiH-ca tAByAm yat-nirUpaNam tad-prakAreNa-iti-arTaH /
   asya dhvanirdarśita ityanena sambandhaḥ /	asya DvaniH-darSitaH iti-anena sambanDaH /
   akliṣṭeti śobhāyāḥ rasāśrayociteti guṇālaṅkārayośca viśeṣaṇamiti darśayan	aklizwa-iti SoBAyAH rasa-ASraya-ucitA-iti guNa-alaFkArayoH-ca viSezaNam-iti darSayan
   vyācaṣṭe--akliṣṭetyādi /	vyAcazwe--aklizwa-ityAdi /
   tata iti /	tatas iti /
   guṇālaṅkārahetuketyarthaḥ /	guNa-alaFkAra-hetukA-iti-arTaH /
   tatkṛta iti /	tad-kRtaH iti /
   tatprayukta ityarthaḥ /	tad-prayuktaH iti-arTaH /
   kālocitajalasekena hi pallavapatrapuṣpādisamṛddhyā	kAla-ucita-jala-sekena hi pallava-patra-puzpa-Adi-samRdDyA
   latāvṛkṣādisamudāyarūpasyodyānasya saukumāryādiguṇasampattirbhavati /	latA-vRkza-Adi-samudAya-rUpasya-udyAnasya sOkumArya-Adi-guNa-sampattiH-Bavati /
   alaṃśabdo 'tra paryāptatāvācītyāśayena vivṛṇoti--paryāptatākaraṇamiti /	alaMSabdaH atra paryApta-tA-vAcI-iti-ASayena vivRNoti--paryApta-tA-karaNam-iti /
   paripūrṇatāprāpaṇamityarthaḥ /	paripUrNa-tA-prApaNam-iti-arTaH /
   kāvyākhye 'khilasaukhyadhāmni vibudhodyāne dhvanirdarśitaḥ so 'yaṃ	kAvya-AKye aKila-sOKya-DAmni vibuDa-udyAne DvaniH-darSitaH saH ayam
   kalparūpamānamahimā bhogyo 'stu bhavyātmanām //	kalpa-rUpa-mAna-mahimA BogyaH astu Bavya-AtmanAm //
   satkāvyatattvanayavartmaciraprasupta- kalpaṃ manassu paripakvadhiyāṃ	sat-kAvya-tattva-naya-vartma-cira-prasupta kalpam manassu paripakva-DiyAm
   yadāsīt /	yadA-AsIt /
   locanam etacca sarvaṃ pūrvameva vitatyoktamiti ślokārthamātraṃ vyākhyātam	locanam etat-ca sarvam pUrvam-eva vitatya-uktam-iti Sloka-arTa-mAtram vyAKyAtam
   sukṛtibhiriti /	sukRtiBiH-iti /
   ye kaṣṭopadeśenāpi vinā tathāvi dhaphalabhājaḥ tairityarthaḥ /	ye kazwa-upadeSena-api vinA taTAvi DaPala-BAjaH tEH-iti-arTaH /
   akhilasaukhyadhāmnīti /	aKila-sOKya-DAmni-iti /
   akhilaṃ duḥkhaleśenāpyananuviddhaṃ yatsaukhyaṃ tasya dhāmni ekāyatana	aKilam duHKa-leSena-api-ananuvidDam yat-sOKyam tasya DAmni eka-Ayatana
   ityarthaḥ /	iti-arTaH /
   sarvathā priyaṃ sarvathā ca hitaṃ durlabhaṃ jagatīti bhāvaḥ /	sarvaTA priyam sarvaTA ca hitam durlaBam jagati-iti BAvaH /
   vibudhodyānaṃ nandanam /	vibuDa-udyAnam nandanam /
   sukṛtīnāṃ kṛtajyotiṣṭomādīnāmeva samīhitāsādanimittam /	su-kRtInAm kRtajyotizwoma-AdInAm-eva samIhita-AsAda-nimittam /
   vibudhāśca kāvyatatvavidaḥ /	vibuDAH-ca kAvyatatva-vidaH /
   darśita iti /	darSitaH iti /
   sthita eva san prakāśitaḥ, aprakāśitasya hi kathaṃ bhogyatvam /	sTitaH eva san prakASitaH, aprakASitasya hi kaTam Bogya-tvam /
   kalpataruṇā upamānaṃ yasya tādṛṅmahimā yasyeti bahuvrīhigarbho bahuvrīhiḥ	kalpa-taruNA upamAnam yasya tAdRS-mahimA yasya-iti bahuvrIhi-garBaH bahuvrIhiH
   sarvasamīhitaprāptirhi kāvye tadekāyattā /	sarva-samIhita-prAptiH-hi kAvye tat-eka-AyattA /
   etaccoktaṃ vistarataḥ //	etat-ca-uktam vistarataH //
   satkāvyatatvanayavartma cirapramuktakalpaṃ manassu paripakvadhiyāṃ yadāsīt	satkAvyatatu-anaya-vartma cira-pramukta-kalpam manassu paripakva-DiyAm yadA-AsIt
   bālapriyā tathāvidhaphalabhāja iti /	bAlapriyA taTAviDa-Pala-BAjaH iti /
   tathāvidhāni vyutpatyādīni phalāni bhajante tadbhajanaśīlāḥ tadarhā	taTAviDAni vyutpatya-AdIni PalAni Bajante tad-Bajana-SIlAH tad-arhA
   ityarthaḥ /	iti-arTaH /
   tairiti /	tEH-iti /
   rājakumārādibhirityarthaḥ /	rAja-kumAra-AdiBiH-iti-arTaH /
   khilaśabdo 'tra duḥkhārthakaḥ /	Kila-SabdaH atra duHKa-arTakaH /
   nāsti khilaṃ yasmiṃstadakhilaṃ iti bahuvrīhiścetyāśayena	na-asti Kilam yasmin=-tat-aKilam iti bahuvrIhiH-ca-iti-ASayena
   vivṛṇoti--duḥkhetyādi /	vivRNoti---duHKa-ityAdi /
   bhāvamāha--sarvarthatyādi /	BAva-mAha---sarvarTatyAdi /
   kṛtajyotiṣṭometyādinā udyānapakṣe sukṛtipadārtho vivṛtaḥ /	kRtajyotizwoma-ityAdinA udyAna-pakze sukRti-padArTaH vivRtaH /
   udyānasyeva kāvyasyāpi vibudhapadārthasambandho 'rthādvivakṣita	udyAnasya-iva kAvyasya-api vibuDa-padArTa-sambanDaH arTAt-vivakzita
   ityāśayenāha---vibudhāścetyādi /	iti-ASayena-aha---vibuDAH-ca-ityAdi /
   kāvyatatvavidaśceti yojanā /	kAvyatatva-vidaH-ca-iti yojanAH /
   cakāreṇa devā ityarthasya samuccayaḥ /	cakAreNa devAH iti-arTasya samuccayaH /
   darśita iti bhogyatvopapādakamiti darśayannāha--aprakāśitasyetyādi /	darSitaH iti Bogya-tva-upapAdakam-iti darSayan=-Aha--a-prakASitasya-ityAdi /
   upamānapadasyopamityarthakatvābhiprāyeṇa vigrahamāha--kalpataruṇotyādi /	upamAna-padasya-upamiti-arTaka-tva-aBiprAyeNa vigraha-mAha---kalpataruNa-utyAdi /
   upamānapadasyopamitikaraṇāthakatve tu kalpatarurupamānamiti vigrahaḥ /	upamAna-padasya-upamiti-karaNa-ATaka-tve tu kalpataruH-upamAnam-iti vigrahaH /
   bahuvrīhiriti /	bahuvrIhiH-iti /
   atra kalpatarusāmyasya mahimni śabdena bodhane 'pi mahimāśraye dhvanau	atra kalpataru-sAmyasya mahimni Sabdena boDane api mahima-ASraye DvanO
   tasya paryavasānaṃ bodhyam /	tasya paryavasAnam boDyam /
   kāvyaṃ nandanodyānena tulyaṃ dhvaniḥ kalpatarutulyaśceti bhāvaḥ /	kAvyam nandana-udyAnena tulyam DvaniH kalpa-taru-tulyaH-ca-iti BAvaH /
   ata eva dhvaneḥ kalpatarusāmyaprayojakaṃ darśayannāha---sarvetyādi /	atas eva DvaneH kalpa-taru-sAmya-prayojakam darSayan=-Aha----sarva-ityAdi /
   samīhitaṃ prītyādi /	samIhitam prIti-Adi /
   tadekāyattā dhvanyekaprayuktā /	tat-eka-AyattA Dvani-eka-prayuktAH /
   satkāvye'ti /	satkAvye-ati /
   satkāvyatvasya dhvanisvarūpasya 'nayavartma, nyāyyamārgaḥ sādhakaṃ	sat-kAvya-tvasya Dvani-svarUpasya anaya-vartma, nyAyya-mArgaH sADakam
   yuktijātamityarthaḥ /	yukti-jAtam-iti-arTaH /
   'cire'ti /	acire-ati /
   cirakālādārabhya prasuptatulyaṃ sphuṭamaprakāśamityarthaḥ /	cira-kAlAt-AraBya prasupta-tulyam sPuwam-aprakASam-iti-arTaH /
   'paripakvadhiyāṃ' pariṇataparojñātāṃ pūrveṣāṃ granthakṛtām /	aparipakva-DiyAma pariNata-parojQAtAm pUrvezAm granTa-kRtAm /
   'tadi'ti /	atadi-ati /
   dhvanisvarūpaṃ tatsā tadyvākarotsahṛdayodayalābhaheto- rānandavardhana iti	Dvani-svarUpam tat-sA tad-yva-akarot-sahRdaya-udaya-lABa-heto rAnanda-varDanaH iti
   prathitābhidhānaḥ //	praTita-aBiDAnaH //
   iti śrīrājānakānandavardhanācāryaviracite dhvanyāloke caturtha uddyotaḥ	iti SrI-rAjAnaka-Ananda-varDana-AcArya-viracite Dvani-Aloke caturTaH uddyotaH
   samāpto 'yaṃ granthaḥ //	samAptaH ayam granTaH //
   locanam tadvyākarotsahṛdayodayalābhahetoḥ iti	locanam tad-vyAkara-utsahRdaya-udaya-lABa-hetoH iti
   sambandhābhidheyaprayojanopasaṃhāraḥ /	sambanDa-aBiDeya-prayojana-upasaMhAraH /
   iha bāhulyena loko lokaprasiṣyā sambhāvanāpratyayabalena pravartate /	iha bAhulyena lokaH loka-prasizyA samBAvanA-pratyaya-balena pravartate /
   sa ca sambhāvanāpratyayo	sa ca samBAvanA-pratyayaH-
   nāmaśravaṇavaśātprasiddhānyatadīyasamācārakavitvavidvattādisamanusamaraṇena	nAma-SravaNa-vaSAt-prasidDa-anyatadIya-samAcAra-kavi-tva-vidvatta-Adi-samanusa-maraNena
   bhavati /	Bavati /
   tathāhi--bhartṛhariṇedaṃ kṛtam--yasyāyamaudāryamahimā yasyāsmiñchāstre /	taTA-hi--BartR-hariNA-idam kRtam---yasya-ayam-OdArya-mahimA yasya-asmin-SAstre /
   evaṃvidhassāro dṛśyate tasyāyaṃ ślokaprabandhastasmādādaraṇīyametadita	evaMviDassAraH dRSyate tasya-ayam Sloka-prabanDaH-tasmAt-AdaraNIyam-etat-ita
   lokaḥ pravartamāno dṛśyate /	lokaH pravartamAnaH dRSyate /
   lokaścāvaśyaṃ pravartanīyaḥ tacchāstroditaprayojanasampattaye /	lokaH-ca-avaSyam pravartanIyaH tad-SAstra-udita-prayojana-sampattaye /
   tadanugrāhyaśrotṛjanapravartanāṅgatvādgranthakārāḥ svanāmanibandhanaṃ	tad-anugrAhya-SrotR-jana-pravartana-aFga-tvAt-granTakArAH sva-nAma-nibanDanam
   kurvanti, tadabhiprāyeṇāha--ānandanavardhana iti /	kurvanti, tad-aBiprAyeNa-aha--a-Anandana-varDanaH iti /
   prathitaśabdenaitadeva prathitaṃ yattu bālapriyā dhakaṃ yuktajātaṃ	praTita-Sabdena-etat-eva praTitam yat-tu bAlapriyA Dakam yukta-jAtam
   cetyarthaḥ /	ca-iti-arTaH /
   'vyākarot' viśadīkṛtavān /	avyAkarota viSadIkRtavAn /
   'sahṛdaye'ti /	asahRdaye-ati /
   sahṛdayānāṃ ya udaya abhyudayaḥ dhvanisvarūpāvabodhahetukā prītiḥ	sahRdayAnAm yaH udaya aByudayaH Dvani-svarUpa-avaboDa-hetukA prItiH
   tallābhasya hetoḥ /	tad-lABasya hetoH /
   tallābharūpaprayojanāyetyarthaḥ /	tad-lABa-rUpa-prayojanAya-iti-arTaH /
   'tena brūmaḥ sahṛdayamanaḥ prītaye tatsvarūpam' ityupakramānurūpo	atena brUmaH sahRdaya-manaH prItaye tad-svarUpam-a iti-upakrama-anurUpaH-
   'yamupasaṃhāraḥ /	ayam-upasaMhAraH /
   ślokārthaṃ spaṣṭaṃ matvā vaktavyamaṃśaṃ vivṛṇoti locane---satkāvyetyādi /	Sloka-arTam spazwam matvA vaktavyam-aMSam vivRNoti loca-ne---satkAvya-ityAdi /
   itisambandhābhidheyaprayojanopasaṃhāra iti /	itisambanDa-aBiDeya-prayojana-upasaMhAraH iti /
   sambandhaḥ dhvanisvarūpasyaitadganthasya ca pratipādyapratipādakabhāvaḥ /	sambanDaH Dvani-svarUpasya-etat-ganTasya ca pratipAdya-pratipAdaka-BAvaH /
   abhidheyaṃ dhvanisvarūpaṃ, prayojanaṃ dhvanisvarūpajñānahetukā prītiḥ /	aBiDeyam Dvani-svarUpaM, prayojanam Dvani-svarUpa-jQAna-hetukA prItiH /
   tadyvākarotsahṛdayodayalābhahetorityanenābhidheyaprayojane spaṣṭamukte,	tat-i-va-akarot-sahRdaya-udaya-lABa-hetoH-iti-anena-aBiDeya-prayojane spazwa-mukte,
   sambandhastvarthāllabhyate /	sambanDaH-tu-arTAt-laByate /
   athānandetyādicaturthapādamavatārayati--ihetyādi /	aTa-Ananda-ityAdi-caturTa-pAdam-avatArayati--iha-ityAdi /
   sambhāvanāpratyayeti /	samBAvanA-pratyaya-iti /
   bahumānetyarthaḥ /	bahu-mAnA-iti-arTaH /
   nāmeti /	nAma-iti /
   granthakāranāmno yacchrāvaṇaṃ tadvaśādityarthaḥ /	granTakAra-nAmnaH yat-SrAvaNam tad-vaSAt-iti-arTaH /
   prasiddheti /	prasidDA-iti /
   prasiddhamanyannāmno 'nyat /	prasidDam-anyat-nAmnaH anyat /
   yadvā--prasaddhānyamasādhāraṇamityarthaḥ /	yat-vA---prasadDAn-yam-asa-ADAraNam-iti-arTaH /
   tathāvidhaṃ yattadīyaṃ granthakārasambandhisamācārassadācāraḥ tadādi	taTAviDam yat-tadIyam granTakAra-sambanDi-samAcAra-ssat-AcAraH tad-Adi
   tatsmaraṇenetyarthaḥ /	tad-smaraNena-iti-arTaH /
   sa ca sambhāvanā pratyayo bhavatīti sambandha- /	sa ca samBAvanA pratyayaH Bavati-iti sambanDa /
   uktaṃ sadṛṣṭāntamāha---tathāhītyādi /	uktam sa-dRzwAntam-Aha---taTA-Ahi-ityAdi /
   bhartṛhariṇedaṃ kṛtamityādikaṃ lokabuddhyākārakathanam /	BartR-hariNA-idam kRtam-iti-Adikam loka-budDi-AkAra-kaTanam /
   yasya bhartṛhareḥ /	yasya BartR-hareH /
   ayamiti granthamuddiśyoktiḥ /	ayam-iti granTam-uddiSya-uktiH /
   itīti /	iti-iti /
   iti buddhyetyarthaḥ /	iti budDyA-iti-arTaH /
   sampattaye pravartanīya iti sambandhaḥ /	sampattaye pravartanIyaH iti sambanDaH /
   locanam tadeva nāmaśravaṇaṃ keṣāñcannivṛttiṃ karoti,	locanam tat-eva nAma-SravaNam kezAQcat-nivRttim karoti,
   tanmātsaryavijṛmbhitaṃ nātra gaṇanīyam, niśreyasaprayojanādeva hi śrutātko	tad-mAtsarya-vijRmBitam na-atra gaNanIyam, niSreyasa-prayojanAt-eva hi SrutAt-ko
   'pi rāgāndho yadi nivartate kimetāvatā prayojanamaprayojanamapyavaśyaṃ	api rAga-anDaH yadi nivartate kim-etAvatA prayojanam-aprayojanam-api-avaSyam
   vaktavyameva syāt /	vaktavyam-eva syAt /
   tasmādarthināṃ pravṛtyaṅgannāma prasiddham /	tasmAt-arTinAm pravRti-aFgat-nAma prasidDam /
