   prastāvanā /	prastAvanA /
   vyākulīkurvataḥ svabhāvo nibaddhaḥ kṣaṇamaparidṛśyamānatvamardhakāyena	vyAkulIkurvataH svaBAvaH nibadDaH kzaNam-aparidRSyamAna-tvam-arDa-kAyena
   parivṛttiḥ śṛṅgeṇa ca nodanamityevamātmā //	parivRttiH SRFgeNa ca nodanam-iti-evam-AtmA //
   iti	iti
   śrīmahāpratīhārendurājaviracitāyāmudbhaṭālaṅkārasārasaṃgrahalaghuvivṛttau	SrI-mahA-pratIhAra-indu-rAja-viracitAyAm-udBawa-alaFkAra-sAra-saMgraha-laGu-vivRttO
   tṛtīyo vargaḥ //	tRtIyaH vargaH //
   atha caturtho vargaḥ /	aTa caturTaH vargaH /
   preyorasavadūrjasava paryāyoktaṃ samāhitam /	preya-urasa-vat-Urjasava paryAya-uktam samAhitam /
   dvidhodāttaṃ tathā śliṣṭamalaṅkārānpare viduḥ // UKss_4.1 //	dviDA-udAttam taTA Slizwam-alaFkArAn-pare viduH // UKsH-_4.1 //
   preyorasavaditi samudāyānmatup /	preya-urasa-vat-iti samudAyAt-matuB /
   śliṣṭamiti /	Slizwam-iti /
   tathā udāttavaddvavidhaṃ śliṣṭamityarthaḥ /	taTA udAtta-vat-dvaviDam Slizwam-iti-arTaH /
   vipratipattinirāsārthaṃ cātra śliṣṭasya dvaividhyamuktam /	vipratipatti-nirAsa-arTam ca-atra Slizwasya dvEviDyam-uktam /
   bhāmaho hi "tatsahoktyupamāhetunirdeśātrrividhaṃ yathā"iti śliṣṭasya	BAm-ahaH hi "tad-sahokti-upamA-hetu-nirdeSa-atrriviDam yaTA"iti Slizwasya
   traividhyamāha /	trEviDyam-Aha /
   ato vipratipattinirāsāya tathetyuktam /	atas vipratipatti-nirAsAya taTA-iti-uktam /
   udātte tu dvidhetyayamanuvādo dṛṣṭāntatvārthaḥ /	udAtte tu dviDA-iti-ayam-anuvAdaH dRzwAntatva-arTaH /
   yathā udāttasya dvaividhyaṃ pramāṇopapannatvādaṅgīkṛtaṃ tathā śliṣṭasyāpi	yaTA udAttasya dvEviDyam pramANa-upapanna-tvAt-aFgIkRtam taTA Slizwasya-api
   tadaṅgīkartavyamityarthaḥ //	tad-aFgIkartavyam-iti-arTaH //
   preyasvat tāvat----	preya-svat tAvat----
   ratyādikānāṃ bhāvānāmanubhāvādisūcanaiḥ /	rati-AdikAnAm BAvAnAm-anuBAva-Adi-sUcanEH /
   yatkāvyaṃ badhyate sadbhistatpreyasvadudāhṛtam // UKss_4.2 //	yat-kAvyam baDyate sadBiH-tad-preya-svat-udAhRtam // UKsH-_4.2 //
   ratyādayo bhāvāstrividhāḥ sthāyino vyabhicāriṇaḥ sātvikāśca /	rati-AdayaH BAvAH-triviDAH sTAyinaH vyaBicAriNaH sAtvikAH-ca /
   tatra"ratirhāsaśca śokaśca krodhotsāhau bhayaṃ tathā /	tatra"ratiH-hAsaH-ca SokaH-ca kroDa-utsAhO Bayam taTA /
   jugupsāvismayasamāḥ sthāyibhāvāḥ prakīrtitāḥ //	jugupsA-vismaya-samAH sTAyi-BAvAH prakIrtitAH //
   nirvedagalāniśaṅkākhyāstathāsūyāmadaśramāḥ /	nirveda-gala-aniSaFkA-AKyAH-taTA-asUyA-mada-SramAH /
   ālasyaṃ caiva dainyaṃ ca cintā mohaḥ smṛtirdhṛtiḥ //	Alasyam ca-eva dEnyam ca cintA mohaH smRtiH-DRtiH //
   vrīḍā capalata harṣa āvego jaḍatā tathā /	vrIxA capalata harzaH AvegaH jaxa-tA taTA /
   garvo viṣāda autsukyaṃ nidrāpasmāra eva ca //	garvaH vizAdaH Otsukyam nidrA-apasmAraH eva ca //
   suptaṃ vibodho 'marṣaścāpyavahitthamathogratā /	suptam viboDaH amarzaH-ca-api-avahitTam-aTa-ugra-tA /
   matirvyādhistathonmādastathā maraṇameva /	matiH-vyADiH-taTA-unmAdaH-taTA maraNam-eva /
   ca //	ca //
   trāsaścaiva vitarkaśca vijñeyā vyabhicāriṇaḥ /	trAsaH-ca-eva vitarkaH-ca vijQeyAH vyaBicAriNaH /
   trayastriṃśadamī bhāvāḥ //	trayastriMSat-amI BAvAH //
   stambhaḥ svedo 'tha romāñcaḥ svarabhedo 'tha vepathuḥ /	stamBaH svedaH aTa romAQcaH svaraBedaH aTa vepaTuH /
   vaivarṇyamaśru pralaya ityaṣṭau sātvikāḥ smṛtāḥ" //	vEvarNyam-aSru pralayaH iti-azwO sAtvikAH smRtAH" //
   eteṣāṃ pañcāśatsaṃkhyānāṃ bhāvānāṃ sūcakāścatvāro 'nubhāvādayaḥ /	etezAm paQcASat-saMKyAnAm BAvAnAm sUcakAH-catvAraH anuBAva-AdayaH /
   te cānubhāvo vibhāvo vyabhicārī svaśabdaśca /	te ca-anuBAvaH viBAvaH vyaBicArI sva-SabdaH-ca /
   tatrānubhāvaścaturvidhaḥ /	tatra-anuBAvaH-caturviDaH /
   āṅgiko vācikaḥ sāttvika āhāryaśca /	AFgikaH vAcikaH sAttvikaH AhAryaH-ca /
   āṅgiko hastābhinayādiḥ /	AFgikaH hasta-aBinaya-AdiH /
   vācikaḥ kākvādiprayogaḥ /	vAcikaH kAku-Adi-prayogaH /
   sātvikaḥ stambhādiḥ /	sAtvikaH stamBa-AdiH /
   āhāryastu pratiśīrṣakañcukādiḥ /	AhAryaH-tu pratiSIrza-kaQcuka-AdiH /
   evamayamanubhāvaścatuḥsaṃkhyaḥ kāryatvātkāraṇabhūtānmabhāvān gamayati //	evam-ayam-anuBAvaH-catur-saMKyaH kArya-tvAt-kAraNa-BUtAn-maBAvAn gamayati //
   vibhāvastu dvividhaḥ /	viBAvaH-tu dviviDaH /
   ālambanoddīpanarūpatvāt /	Alambana-uddIpana-rUpa-tvAt /
   tatrālamvanavibhāvo yadāśrayeṇa ratyādīnāmudayaḥ, yathā rāmādeḥ sītādiḥ /	tatra-alam-vana-viBAvaH yad-ASrayeNa rati-AdInAm-udayaH, yaTA rAma-AdeH sItA-AdiH /
   uddīpanavibhāvastu yadvaśena ratyādīnāṃ bhāvānāmatiśayena dīptatā bhavati,	uddIpana-viBAvaH-tu yad-vaSena rati-AdInAm BAvAnAm-atiSayena dIpta-tA Bavati,
   yathā ṛtumālyānulepanādiḥ /	yaTA Rtu-mAlya-anulepana-AdiH /
   evameṣa dvividho vibhāvo ratyādīnāṃ kāraṇabhūtaḥ /	evam-eza dviviDaH viBAvaH rati-AdInAm kAraNa-BUtaH /
   sa ca kāraṇatvātkāryabhūtān ratyādīn	sa ca kAraNa-tvAt-kArya-BUtAn rati-AdIn
   gamayati yathātibahalanīlajaladodayo vṛṣṭim /	gamayati yaTA-ati-bahala-nIla-jalada-udayaH vRzwim /
   yathā hi kāryasya suvivecitasya kāraṇaṃ pratyavyabhicāritā evaṃ	yaTA hi kAryasya su-vivecitasya kAraNam pratyavyaBicAritAH evam
   kāraṇasyāpi suvivecitasya kāryaṃ pratyavyabhicāritā vyavahāre bāhulyena	kAraNasya-api su-vivecitasya kAryam pratyavyaBicAritA vyavahAre bAhulyena
   dṛśyate /	dRSyate /
   ato vibhāvaḥ kāraṇatvāt ratyādīnkāryabhūtān gamayati /	atas viBAvaH kAraNa-tvAt rati-AdIn-kArya-BUtAn gamayati /
   vyabhicārī tu ratyādikānāṃ sthāyināṃ bhāvānāmavasthāviśeṣarūpo nirvedādiḥ	vyaBicArI tu rati-AdikAnAm sTAyinAm BAvAnAm-avasTA-viSeza-rUpaH nirveda-AdiH
   sa ca sahacāritvāt sthāyināṃ bhāvānāmavasthāviśeṣarūpo nirvedādiḥ /	sa ca sahacAri-tvAt sTAyinAm BAvAnAm-avasTA-viSeza-rUpaH nirveda-AdiH /
   sa ca sahacāritvāt sthāyino bhāvānpratapādayati rathasyaikamiva cakraṃ	sa ca sahacAri-tvAt sTAyinaH BAvAn-pratapAdayati raTasya-ekam-iva cakram
   cakrāntaram /	cakra-antaram /
   svaśabdastu ratyādiḥ /	sva-SabdaH-tu rati-AdiH /
   sa ca vācakatvādbhāvān gamayati /	sa ca vAcaka-tvAt-BAvAn gamayati /
   ratyādīnāṃ ca śabdānāṃ	rati-AdInAm ca SabdAnAm
   yadyapyanubhāvaikagocarasvalakṣaṇasvabhāvaratyādyavagatinibandhanatvaṃ	yadi-api-anuBAva-eka-gocara-sva-lakzaNa-svaBAva-rati-Adi-avagati-nibanDana-tvam
   nopalabhyate, tathāpyaṃśena	na-upalaByate, taTA-api-aMSena
   ratyādyavagatinibandhanatvamanubhāvādivadvidyata eva /	rati-Adi-avagati-nibanDana-tvam-anuBAva-Adi-vat-vidyate eva /
   yathā khalvanubhāvādayo na svalakṣaṇatayā bhāvānavagamayanti apitu	yaTA Kalu-anuBAva-AdayaH na sva-lakzaNa-tayA BAvAn-avagamayanti apitu
   sāmānyarūpatayā tadvatsvaśabdā apītyāstām /	sAmAnya-rUpa-tayA tadvat-sva-SabdAH api-iti-AstAm /
   evamete bhāvānāmavagatihetavaścātvāraḥ /	evam-ete BAvAnAm-avagati-hetavaH-ca-atvAraH /
   yaduktaṃ bhaṭṭodbhaṭena "catūrūpā bhāvā"iti /	yat-uktam Bawwa-udBawena "catU-rUpA BAvA"-iti /
   tadeṣāṃ ratyādikānāṃ bhāvānāṃ pañcāśatsaṃkhyānāṃ	tat-ezAm rati-AdikAnAm BAvAnAm paQcASat-saMKyAnAm
   yānyanubhāvādibhiścatuḥsaṃkhyaiḥ samastatvena vyastatvena ca yathāyogaṃ	yAni-anuBAva-AdiBiH-catur-saMKyEH samasta-tvena vyasta-tvena ca yaTAyogam
   sūcanāni svalakṣaṇasvarūpāṇāṃ sāmānyāvasthāpāditānāṃ pratipādanāni taiḥ	sUcanAni sva-lakzaNa-svarUpANAm sAmAnya-avasTA-pAditAnAm pratipAdanAni tEH
   kāvyamupanibadhyamānaṃ preyasvat /	kAvyam-upanibaDyamAnam preya-svat /
   preyaḥśabdavācyena priyatareṇa ratyālambanena vibhāvanena ratirupalakṣyate	preyaH-Sabda-vAcyena priyatareNa rati-Alambanena viBAvanena ratiH-upalakzyate
   tayā ca sāhacaryādratyādayo bhāvāḥ pañcāśadavagamyante /	tayA ca sAhacarya-adrati-AdayaH BAvAH paQcASat-avagamyante /
   evaṃ ca bhāvakāvyasya preyasvaditi lakṣaṇayā vyapadeśaḥ /	evam ca BAva-kAvyasya preya-svat-iti lakzaNayA vyapadeSaH /
   atra ca bhāvānāmalaṅkāratā, kāvyamalaṅkāryam /	atra ca BAvAnAm-alaFkAra-tA, kAvyam-alaFkAryam /
   tasyodāharaṇam----	tasya-udAharaNam-----
   iyaṃ ca sutavātsalyānnirviśeṣā spṛhāvatī /	iyam ca suta-vAtsalyAt-nirviSezA spRhAvatI /
   ullāpayitumārabdhā kṛtvemaṃ kroḍa ātmanaḥ // UKss_4.*1 //	ullApayitum-ArabDA kRtvA-imam kroxaH AtmanaH // UKsH-_4.*1 //
   ātmanaḥ kroḍe kṛtveti saṃbandhaḥ /	AtmanaH kroxe kRtvA-iti saMbanDaH /
   atrātmano vakṣasi nidhānamāṅgīko 'bhinayaḥ, ullāpanaṃ sāntvanaṃ vācikaḥ /	atra-AtmanaH vakzasi niDAnam-AFgIkaH aBinayaH, ullApanam sAntvanam vAcikaH /
   imamiti idaṃśabdena parāmṛṣṭo yo mṛgārbhakaḥ sa ālambanavibhāvaḥ /	imam-iti idaMSabdena parAmRzwaH yaH mRgArBakaH saH Alambana-viBAvaH /
   vātsalyonmīlitaścautsukyātmā vyabhicārībhāvaḥ /	vAtsalya-unmIlitaH-ca-Otsukya-AtmA vyaBicArIBAvaH /
   sutavāllabhyanirviśeṣatvena hi spṛhāyā	sutavAllaBya-nirviSeza-tvena hi spRhAyA
   raterautsukyabhedābhisaṃbandhaḥ pratīyate /	rateH-Otsukya-Beda-aBisaMbanDaH pratIyate /
   svaśabdastu spṛheti /	sva-SabdaH-tu spRhA-iti /
   evamayaṃ ratyātmako bhāvo	evam-ayam rati-AtmakaH BAvaH-
   vātsalyasvabhāvaścaturbhiranubhāvādibhiratrāvagamitaḥ /	vAtsalya-svaBAvaH-caturBiH-anuBAva-AdiBiH-atra-avagamitaH /
   anyeṣvapi bhāveṣvevamudāhāryam /	anyezu-api BAvezu-evam-udAhAryam /
   rasavat---	rasavat---
   rasavaddarśitaspaṣṭaśṛṅgārādirasādayam /	rasavat-darSita-spazwa-SRFgAra-Adi-rasAt-ayam /
   svaśabdasthāyisaṃcārivibhāvābhinayāspadam // UKss_4.3 //	sva-Sabda-sTAyi-saMcAri-viBAva-aBinaya-Aspadam // UKsH-_4.3 //
   śṛṅgārahāsyakaraṇaraudravīrabhayānakāḥ /	SRFgAra-hAsya-karaNa-rOdra-vIra-BayAnakAH /
   bībhatsādbhutaśāntāśca nava nāṭye rasāḥ smṛtāḥ // UKss_4.4 //	bIBatsa-adButa-SAntAH-ca nava nAwye rasAH smRtAH // UKsH-_4.4 //
   ete ca śṛṅgārādayo nava yathāyogaṃ caturvargaprāptyupāyatayā	ete ca SRFgAra-AdayaH nava yaTAyogam caturvarga-prApti-upAyatayA
   taditaraparihāranibandhanataya ca ratyādīnāṃ sthāyināṃ navānāṃ bhāvānāṃ	tad-itara-parihAra-nibanDana-taya ca rati-AdInAm sTAyinAm navAnAm BAvAnAm
   yaḥ paripoṣastadātmakāḥ /	yaH paripozaH-tad-AtmakAH /
   atastathāvidhena rūpeṇāsvādyatvādāsvādabhedanibandhanena tāntrikeṇa	atas-taTAviDena rUpeNa-AsvAdya-tvAt-AsvAda-Beda-nibanDanena tAntrikeNa
   rasaśabdenābhidhīyante /	rasa-Sabdena-aBiDIyante /
   nirvedādau tu	nirveda-AdO tu
   tathāvidhasyāsvādyasyābhāvātpravṛttinimittabhedanibandhanasya tāntrikasya	taTAviDasya-AsvAdyasya-aBAvAt-pravRtti-nimitta-Beda-nibanDanasya tAntrikasya
   rasaśabdasyāpravṛttiḥ /	rasa-Sabdasya-apravRttiH /
   āsvādyatvamātravivakṣayā tu tatrāpi	AsvAdya-tva-mAtra-vivakzayA tu tatra-api
   madhurāmlādivadrasaśabdapravṛttiraviruddhā /	maDura-amla-Adi-vat-rasa-Sabda-pravRttiH-avirudDAH /
   yaduktaṃ śṛṅgārādīn rasānanukramya---"rasanādrasatvameṣāṃ	yat-uktam SRFgAra-AdIn rasAn-anukramya----"rasanAt-rasa-tvam-ezAm
   madhurādīnāmivoktamācāryaiḥ /	maDura-AdInAm-iva-uktam-AcAryEH /
   nirvedādiṣvapi tatprakāmamastīti te 'pi rasāḥ"iti //	nirveda-Adizu-api tad-prakAmam-asti-iti te api rasAH"iti //
   tadāhuḥ----	tat-AhuH----
   caturvargetarau prāpya parihāryau kramādyataḥ /	caturvarga-itarO prApya parihAryO kramAt-yatas /
   caitanyabhedādasvādyātsa rasastādṛśo mataḥ //	cEtanya-BedAt-asvAdyAt-sa rasaH-tAdRSaH mataH //
   iti	iti
   sa iti /	saH iti /
   caitanyabheda ityarthaḥ /	cEtanya-BedaH iti-arTaH /
   tādṛśa ityanena āsvādaviśeṣanibandhanatvaṃ śṛṅgarādiṣu tāntrikasya	tAdRSaH iti-anena AsvAda-viSeza-nibanDana-tvam SRFgara-Adizu tAntrikasya
   rasaśabdasyoktam /	rasa-Sabdasya-uktam /
   eṣāṃ ca śṛṅgārādīnāṃ navānāṃ rasānāṃ svaśabdādibhiḥ	ezAm ca SRFgAra-AdInAm navAnAm rasAnAm sva-Sabda-AdiBiH
   pañcabhiravagatirbhavati /	paQcaBiH-avagatiH-Bavati /
   yaduktaṃ bhaṭṭodbhaṭena--"pañcarūpā rasā"iti /	yat-uktam Bawwa-udBawena--"-paQca-rUpA rasA"-iti /
   tatra svaśabdāḥ śṛṅgārādervācakāḥ śṛṅgārādayaḥ śabdāḥ /	tatra sva-SabdAH SRFgAra-AdeH-vAcakAH SRFgAra-AdayaH SabdAH /
   sthāyino rasānāmupādānakāraṇaprakhyā ratyādayo nava bhāvāḥ /	sTAyinaH rasAnAm-upAdAnakAraNa-praKyAH rati-AdayaH nava BAvAH /
   saṃcāriṇastu nirvedādayo rasānāmavasthāviśeṣarūpāḥ /	saMcAriNaH-tu nirveda-AdayaH rasAnAm-avasTA-viSeza-rUpAH /
   vibhāvāstu teṣāṃ nimittakāraṇabhūtā yoṣidādayaḥ ṛtumālyānulepanādayaśca /	viBAvAH-tu tezAm nimitta-kAraNa-BUtAH yozit-AdayaH Rtu-mAlya-anulepana-AdayaH-ca /
   āṅgikādayastu catvāro rasānāṃ kāryabhūtā abhinayāḥ /	AFgikA-AdayaH-tu catvAraH rasAnAm kArya-BUtAH aBinayAH /
   eteṣāṃ ca svaśabdādīnāṃ pañcānāṃ samastavyastatayā āspadatvādyena kāvyena	etezAm ca sva-Sabda-AdInAm paQcAnAm samasta-vyasta-tayA Aspada-tvAt-yena kAvyena
   sphuṭarūpatayā śṛṅgārādirasāvirbhāvo darśyate tatkāvyaṃ rasavat /	sPuwa-rUpa-tayA SRFgAra-Adi-rasa-AvirBAvaH darSyate tat-kAvyam rasavat /
   rasāḥ khalu tasyālaṅkārāḥ /	rasAH Kalu tasya-alaFkArAH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   iti bhāvayatastasya samastānpārvatīguṇān /	iti BAvayataH-tasya samastAn-pArvatI-guNAn /
   saṃbhṛtānalpasaṃkalpaḥ kandarpaḥ prabalo 'bhavat // UKss_4.*2 //	saMBRtAn-alpa-saMkalpaH kandarpaH prabalaH aBavat // UKsH-_4.*2 //
   svidyatāpi sa gātreṇa babhāra pulakotkaram /	svidyatA-api sa gAtreNa baBAra pulaka-utkaram /
   kadambakalikākośakesaraprakaropamam // UKss_4.*3 //	kadamba-kalikA-koSa-kesara-prakara-upamam // UKsH-_4.*3 //
   kṣaṇamautsukyagarbhiṇyā cintāniścalayā kṣaṇam /	kzaNam-Otsukya-garBiNyA cintA-niScalayA kzaNam /
   kṣaṇaṃ pramodālasayā dṛśāsyāsyamabhūṣyata // UKss_4.*4 //	kzaNam pramoda-alasayA dRSAsya-Asyam-aBUzyata // UKsH-_4.*4 //
   kadambakalikākośaḥ kadambakalikābhyantaram /	kadamba-kalikA-koSaH kadamba-kalikA-aByantaram /
   atra bhagavata ābhilāṣikavipralambhaśṛṅgāro nibaddhaḥ /	atra BagavataH ABilAzika-vipralamBa-SRFgAraH nibadDaH /
   tasya svaśabdaḥ 'kandarpaḥ prabala'iti /	tasya sva-SabdaH akandarpaH prabala-aiti /
   sthāyī tatraiva svaśabdenonmīlitaḥ kandarpa iti /	sTAyI tatra-eva sva-Sabdena-unmIlitaH kandarpaH iti /
   ratiparipoṣātmako hi śṛṅgāro rasaḥ /	rati-paripoza-AtmakaH hi SRFgAraH rasaH /
   ratiśca yūnāṃ manmathātmikā /	ratiH-ca yUnAm manmaTa-AtmikA /
   ato rativiśeṣasya vācakatvātkandarpaśabdaḥ sthāyino 'tra svaśabdaḥ /	atas rati-viSezasya vAcaka-tvAt-kandarpa-SabdaH sTAyinaH atra sva-SabdaH /
   saṃcāriṇaścautsukyacintāharṣāḥ svaśabdenonmīlitāḥ. svedaromāñcau ca	saMcAriNaH-ca-Otsukya-cintA-harzAH sva-Sabdena-unmIlitAH. sveda-romAQcO ca
   sātvikau svaśabdopāttau /	sAtvikO sva-Sabda-upAttO /
   tayorapi ca saṃcāritvam /	tayoH-api ca saMcAri-tvam /
   sātvikānāṃ sthāyibhāvāvasthāviśeṣatvena nirvedādivatsaṃcāritvāt /	sAtvikAnAm sTAyi-BAva-avasTA-viSeza-tvena nirveda-Adi-vat-saMcAri-tvAt /
   vibhāvastu 'iti bhāvayatastasya'iti nirdiṣṭaḥ /	viBAvaH-tu aiti BAvayataH-tasya-aiti nirdizwaH /
   bhagavatī hi tattadguṇopetatvena vibhāvyamānā vibhāvaḥ /	BagavatI hi tad-tad-guNa-upeta-tvena viBAvyamAnAH viBAvaH /
   abhinayastvatrāpāṅgābhinayo nirdiṣṭo 'dṛśā'iti /	aBinayaH-tu-atra-apAFga-aBinayaH nirdizwaH adRSA-aiti /
   ato 'trābhilāṣikaḥ śṛṅgārarasaḥ svaśabdādibhiḥ pañcabhirabhivyajyate /	atas atra-aBilAzikaH SRFgAra-rasaH sva-Sabda-AdiBiH paQcaBiH-aBivyajyate /
   evamanye 'pi rasā udāhāryāḥ /	evam-anye api rasAH udAhAryAH /
   rasānāṃ bhāvānāṃ ca kāvyaśobhātiśayahetutvāt kiṃ kāvyālaṅkāratvamuta	rasAnAm BAvAnAm ca kAvya-SoBA-atiSaya-hetu-tvAt kim kAvya-alaFkAra-tvam-uta
   kāvyajīvitatvamiti na	kAvya-jIvita-tvam-iti na
   tāvadvicāryate granthagauravabhayāt /	tAvat-vicAryate granTa-gOrava-BayAt /
   rasabhāvasvarūpaṃ cātra na vivecitamaprakṛtatvādbahuvaktavyatvācca //	rasa-BAva-svarUpam ca-atra na vivecitam-aprakRta-tvAt-bahu-vaktavya-tvAt-ca //
   ūrjasvi-----	Urjasvi-----
   anaucityapravṛttānāṃ kāmakrodhādikāraṇāt /	anOcitya-pravRttAnAm kAma-kroDa-Adi-kAraNAt /
   bhāvānāṃ ca rasānāṃ ca bandha ūrjasvi kathyate // UKss_4.5 //	BAvAnAm ca rasAnAm ca banDaH Urjasvi kaTyate // UKsH-_4.5 //
   kvacitkhalu rasabhāvānāṃ śāstrasaṃvidaviruddhena rūpeṇopanibandhaḥ	kvacid-Kalu rasa-BAvAnAm SAstra-saMvid-avirudDena rUpeNa-upanibanDaH
   kriyate, kvacittu tadviruddhena /	kriyate, kvacid-tu tad-virudDena /
   tatra yatra śāstrasaṃvidaviruddhena rūpeṇa teṣāmupanibandhastatra preyo	tatra yatra SAstra-saMvid-avirudDena rUpeNa tezAm-upanibanDaH-tatra preyaH-
   'laṅkāro rasavadalaṅkāraścābhihitaḥ /	alaFkAraH rasavat-alaFkAraH-ca-aBihitaH /
   yatra tu tadviruddhatvaṃ tanmūlakalokavyavahāraviruddhatvaṃ ca	yatra tu tad-virudDa-tvam tad-mUlaka-loka-vyavahAra-virudDa-tvam ca
   tadviṣayāṇāṃ rasabhāvanāmupanibandhe satyūrjasvikāvyaṃ bhavati /	tad-vizayANAm rasa-BAvanAm-upanibanDe sati-Urjasvi-kAvyam Bavati /
   tatra hi rāgadveṣamohakāraṇakā anaucityena rasabhāvā upanibadhyante /	tatra hi rAga-dveza-moha-kAraNakAH anOcityena rasa-BAvAH upanibaDyante /
   ata eva tatra svakalpanāparikalpitatvena ūrjaso balasya	atas eva tatra sva-kalpanA-parikalpita-tvena UrjasaH balasya
   vidyāmānatvādūrjakhivyapadeśaḥ /	vidyA-mAna-tvAt-Urja-Ki-vyapadeSaH /
   'jyotsnātamisre'tyatra urjasviśabdaḥ (pā. a. 5 / 2 / 114) //	ajyotsnA-tamisre-atyatra urjasvi-SabdaH (pA. a. 5 / 2 / 114) //
   tasyodāharaṇam /	tasya-udAharaNam /
   tathā kāmo 'sya vavṛdhe yathā himagireḥ sutām /	taTA kAmaH asya vavRDe yaTA himagireH sutAm /
   saṃgrahītuṃ pravavṛte haṭhenopāsya satyatham // UKss_4.*5 //	saMgrahItum pravavRte haWena-upAsya satyaTam // UKsH-_4.*5 //
   atra sakalalokātiśāyino bhagavato 'kṛtavivāhakamārīviṣayatayā	atra sakala-loka-atiSAyinaH BagavataH akRta-vivAhakamArI-vizaya-tayA
   haṭhasaṃgrahaḥ śāstrasaṃvidviruddhaḥ pravṛddharāgakāraṇaku upanibaddhaḥ /	haWa-saMgrahaH SAstra-saMvid-virudDaH pravRdDa-rAga-kAraNaku upanibadDaH /
   tena ūrjastitā /	tena UrjastitAH /
   tatra kāmo vavṛdhe ityayaṃ śṛṅgārasya svaśabdaḥ /	tatra kAmaH vavRDe iti-ayam SRFgArasya sva-SabdaH /
   tasya ratiparipoṣātmakatvena kāmavṛddhisvabhāvatvāt	tasya rati-paripoza-Atmaka-tvena kAma-vRdDi-svaBAva-tvAt
   kāmaśabdastvetadantargataḥ /	kAma-SabdaH-tu-etat-antargataH /
   śṛṅgārasya yāsau sthāyibhūtā ratistasyāḥ svaśabdaḥ himagireḥ	SRFgArasya yA-asO sTAyi-BUtA ratiH-tasyAH sva-SabdaH himagireH
   sutāmityālambanavibhāvaḥ /	sutAm-iti-Alambana-viBAvaH /
   haṭhenetyanenāvegalakṣaṇo vyabhicārībhāvaḥ pratipāditaḥ /	haWena-iti-anena-Avega-lakzaNaH vyaBicArIBAvaH pratipAditaH /
   apāsya satpathamiti tu mogaḥ, saṃgrahītuṃ pravṛtta iti āṅgako 'nubhāvaḥ /	apAsya sat-paTam-iti tu mogaH, saMgrahItum pravRttaH iti AFgakaH anuBAvaH /
   evamayamatra pañcabhiḥ svaśabdādibhirurjasvilakṣaṇaḥ śṛṅgāraḥ sūcitaḥ /	evam-ayam-atra paQcaBiH sva-Sabda-AdiBiH-urjasvilakzaNaH SRFgAraH sUcitaH /
   evamanyeṣvapi rasabhāveṣūrjasvi udāhāryam /	evam-anyezu-api rasa-BAvezu-Urjasvi udAhAryam /
   paryāyoktam----	paryAya-uktam-----
   paryāyoktaṃ yadanyena prakāreṇābhidhīyate /	paryAya-uktam yat-anyena prakAreNa-aBiDIyate /
   vācyavācakavṛttibhyāṃ śūnyenāvagamātmanā // UKss_4.6 //	vAcya-vAcaka-vRttiByAm SUnyena-avagama-AtmanA // UKsH-_4.6 //
   vācakasyābhidhāyakasya svaśabdasya vṛttirvyāpāro vācyārthapratyāyanam /	vAcakasya-aBiDAyakasya sva-Sabdasya vRttiH-vyApAraH vAcya-arTa-pratyAyanam /
   vācyasya tvabhidheyasya vyāpāro vācyāntareṇa	vAcyasya tu-aBiDeyasya vyApAraH vAcya-antareNa
   sahākāṅkṣāsaṃnidhiyogyatāmāhātmyātsaṃsargagamanam /	saha-AkAFkzA-saMniDi-yogya-tA-mAhAtmyAt-saMsarga-gamanam /
   evaṃvidhaśca yo vācyavācakayorvyāpārastamantareṇāpi	evaMviDaH-ca yaH vAcya-vAcakayoH-vyApAraH-tam-antareNa-api
   prakārāntareṇārthasāmarthyātmanāvagamasvabhāvena yadavagamyate	prakAra-antareNa-arTa-sAmarTya-AtmanA-avagama-svaBAvena yat-avagamyate
   tatparyāyeṇa svakaṇṭhānabhihitamapi sāntareṇa	tad-paryAyeNa sva-kaNWa-anaBihitam-api sAntareNa
   śabdavyāpāreṇāvagamyamānatvāt paryāyoktaṃ vastu /	Sabda-vyApAreNa-avagamyamAna-tvAt paryAya-uktam vastu /
   tena ca svasaṃśleṣavaśena kāvyārtho 'laṅkiyate /	tena ca sva-saMSleza-vaSena kAvya-arTaH alaFkiyate /
   tasyodāharaṇam----	tasya-udAharaNam-----
   yena lambālakaḥ sāsraḥ karaghātāruṇastanaḥ /	yena lambAlakaH sa-asraH kara-GAta-aruNa-stanaH /
   akāri bhagnavalayo gajāsuravadhūjanaḥ // UKss_4.*6 //	akAri Bagna-valayaH gaja-asura-vaDU-janaH // UKsH-_4.*6 //
   so 'pa yena kṛtaḥ pluṣṭadehenāpyevamākulaḥ /	saH apa yena kRtaH pluzwa-dehena-api-evam-AkulaH /
   namo 'stvavāryavīryāya tasmai makaraketave // UKss_4.*7 //	namaH astu-avArya-vIryAya tasmE makara-ketave // UKsH-_4.*7 //
   atra lambālakatvādayaḥ kāryarūpatvāt kāraṇabhūtaṃ gajāsuravadhaṃ	atra lamba-alaka-tva-AdayaH kArya-rUpa-tvAt kAraNa-BUtam gaja-asura-vaDam
   vācyavācakavyāpārāspṛṣṭamapi gamayanti /	vAcya-vAcaka-vyApArA-spRzwam-api gamayanti /
