   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   bhogān bhuṅkte śive pure SUp_6.269b	BogAn BuFkte Sive pure SUp_6.269b
   bhogān bhuṅkte śive pure SUp_6.272b	BogAn BuFkte Sive pure SUp_6.272b
   bhogaiḥ śivapure divyaiḥ SUp_6.100c	BogEH Siva-pure divyEH SUp_6.100c
   bhojanaṣṭhīvamārjanam SUp_7.33b	Bojana-zWIva-mArjanam SUp_7.33b
   bhojane bhojanādhāraṃ SUp_6.268a	Bojane Bojana-ADAram SUp_6.268a
   bhojayīta yathāśaktyā SUp_6.215c	BojayIta yaTASaktyA SUp_6.215c
   bhojayed vratinaś cātra SUp_7.77c	Bojayet vratinaH ca-atra SUp_7.77c
   bhrāmayed rājamārgeṇa SUp_6.143a	BrAmayet rAjamArgeNa SUp_6.143a
   makuṭābharaṇādiṣu SUp_6.96b	makuwa-ABaraNa-Adizu SUp_6.96b
   maṅgalānīha kānicit SUp_7.89b	maFgalAni-iha kAnicid SUp_7.89b
   mañjaryaṅgularāśinā SUp_2.12b	maQjarI-aFgula-rASinA SUp_2.12b
   mañjaryā ardhabhāgasthaṃ SUp_2.10a	maQjaryAH arDa-BAga-sTam SUp_2.10a
   maṇḍapastambhaparyante SUp_6.129a	maNxapa-stamBa-paryante SUp_6.129a
   maṇḍapas tasya vāmataḥ SUp_2.12d	maNxapaH tasya vAmatas SUp_2.12d
   maṇḍapāt pādavistīrṇā SUp_2.13a	maNxapAt pAda-vistIrNA SUp_2.13a
   matsaṇḍikāṃ mahāśuddhāṃ SUp_6.31c	mad-saNxikAm mahA-SudDAm SUp_6.31c
   madbhāvāc ca vimucyante SUp_1.13c	mad-BAvAt ca vimucyante SUp_1.13c
   madhurān vahnidaivate SUp_6.79d	maDurAn vahni-dEvate SUp_6.79d
   madhūkakusumāni ca SUp_6.16b	maDUka-kusumAni ca SUp_6.16b
   madhyamāṅgulimadhyena SUp_5.47a	maDyama-aFguli-maDyena SUp_5.47a
   madhye chidrasamanvitam SUp_6.149d	maDye Cidra-samanvitam SUp_6.149d
   manaḥśilāṃ harītālaṃ SUp_6.65c	manaHSilAm harItAlam SUp_6.65c
   mantrasnānaṃ paraṃ smṛtam SUp_5.33d	mantra-snAnam param smRtam SUp_5.33d
   mantreṇa marudātmanā SUp_5.34d	mantreNa marut-AtmanA SUp_5.34d
   mantrais tu navabhiḥ kramāt SUp_2.26b	mantrEH tu navaBiH kramAt SUp_2.26b
   mantro 'yaṃ dvyakṣaraḥ paraḥ SUp_1.20d	mantraH ayam dvi-akzaraH paraH SUp_1.20d
   mandabuddhivimuktyarthaṃ SUp_1.4c	manda-budDi-vimukti-arTam SUp_1.4c
   mandaṃ pariharan karma SUp_7.124a	mandam pariharan karma SUp_7.124a
   manvantarāṇi tāvanti SUp_2.21a	manvantarANi tAvanti SUp_2.21a
   mameti dvyakṣaraṃ mṛtyus SUp_7.115c	mama-iti dvi-akzaram mRtyuH SUp_7.115c
   mameti na mameti ca SUp_7.114b	mama-iti na mama-iti ca SUp_7.114b
   mameti badhyate jantur SUp_7.114c	mama-iti baDyate jantuH SUp_7.114c
   maricāḍhena kurvīta SUp_6.73a	marica-AXena kurvIta SUp_6.73a
   masūramātram api yaḥ SUp_6.99a	masUra-mAtram api yaH SUp_6.99a
   mahataḥ pātakād api SUp_6.221d	mahataH pAtakAt api SUp_6.221d
   mahatā jñānasaṅghena SUp_6.188a	mahatA jQAna-saFGena SUp_6.188a
   mahaty ambhasi homayet SUp_4.63b	mahatI amBasi homayet SUp_4.63b
   mahadbhiḥ pātakair drutam SUp_7.99d	mahadBiH pAtakEH drutam SUp_7.99d
   mahākālaḥ prabhāṣate SUp_1.4d	mahAkAlaH praBAzate SUp_1.4d
   mahākālād avāptavān SUp_7.131b	mahAkAlAt avAptavAn SUp_7.131b
   mahācchattraṃ mahādhvajam SUp_6.138b	mahAcCattram mahA-Dvajam SUp_6.138b
   mahādānanivedane SUp_6.34b	mahA-dAna-nivedane SUp_6.34b
   mahānty āyatanāni ca SUp_2.21d	mahAnti AyatanAni ca SUp_2.21d
   mahāpūjāviśeṣaiś ca SUp_6.153a	mahA-pUjA-viSezEH ca SUp_6.153a
   mahāpratimaliṅgāni SUp_2.21c	mahA-pratima-liFgAni SUp_2.21c
   mahābhairavarūpiṇīm SUp_6.119b	mahABErava-rUpiNIm SUp_6.119b
   mahābhogaiḥ pramodate SUp_6.30b	mahA-BogEH pramodate SUp_6.30b
   mahābhogaiḥ pramodate SUp_6.36b	mahA-BogEH pramodate SUp_6.36b
   mahāyaṣṭisamāśritam SUp_6.146b	mahA-yazwi-samASritam SUp_6.146b
   mahāratnāni sapta vai SUp_6.90d	mahAratnAni sapta vE SUp_6.90d
   mahāratnānvitaṃ nṛpaḥ SUp_6.91b	mahAratna-anvitam nRpaH SUp_6.91b
   mahāratnānvitāṃ mahīm SUp_6.89b	mahAratna-anvitAm mahIm SUp_6.89b
   mahārathavimāne 'smin SUp_6.139a	mahA-raTa-vimAne asmin SUp_6.139a
   mahārathopamair yānaiḥ SUp_6.182c	mahA-raTa-upamEH yAnEH SUp_6.182c
   mahāvāditranirghoṣaiḥ SUp_6.142c	mahA-vAditra-nirGozEH SUp_6.142c
   mahāvāditraniḥsvanaiḥ SUp_6.172b	mahA-vAditra-niHsvanEH SUp_6.172b
   mahāvimānayātraiṣā SUp_6.144c	mahA-vimAna-yAtrA-ezA SUp_6.144c
   mahāvimānaiḥ śrīmadbhir SUp_6.179c	mahA-vimAnEH SrImadBiH SUp_6.179c
   mahāśabdaṃ tataḥ kuryāt SUp_6.155a	mahA-Sabdam tatas kuryAt SUp_6.155a
   mahāśilpivinirmitām SUp_6.133d	mahA-Silpi-vinirmitAm SUp_6.133d
   mahāsarāṃsi yaḥ kuryād SUp_6.37c	mahA-sarAMsi yaH kuryAt SUp_6.37c
   mahāsnāpanapūjāṃ ca SUp_2.26c	mahA-snApana-pUjAm ca SUp_2.26c
   mahiṣīṃ supayasvinīm SUp_6.199b	mahizIm su-payasvinIm SUp_6.199b
   māṇikyaṃ kalaśaṃ pātrīṃ SUp_6.56c	mANikyam kalaSam pAtrIm SUp_6.56c
   mātuḥ pituḥ sahopāyair SUp_6.127a	mAtuH pituH saha-upAyEH SUp_6.127a
   mātropakaraṇāsanam SUp_6.217b	mAtrA-upakaraNa-Asanam SUp_6.217b
   mānasaṃ śāntitoyaṃ ca SUp_5.31c	mAnasam SAnti-toyam ca SUp_5.31c
   mārīcaṃ nāma parvatam SUp_6.73b	mArIcam nAma parvatam SUp_6.73b
   mārgaśobhāṃ prakalpayet SUp_6.153d	mArga-SoBAm prakalpayet SUp_6.153d
   mārjāramūṣikādyaiś ca SUp_5.9c	mArjAra-mUzika-AdyEH ca SUp_5.9c
   māsaṃ nivedya śarvāya SUp_6.33a	mAsam nivedya SarvAya SUp_6.33a
   mitrabhṛtyair upetaś ca SUp_7.97c	mitra-BRtyEH upetaH ca SUp_7.97c
   mitrasvajanabandhūnāṃ SUp_1.22a	mitra-sva-jana-banDUnAm SUp_1.22a
   mitrasvajanabhṛtyaiś ca SUp_5.25c	mitra-sva-jana-BRtyEH ca SUp_5.25c
   muktaḥ śivapuraṃ vrajet SUp_4.55d	muktaH Siva-puram vrajet SUp_4.55d
   muktaḥ svātmani tiṣṭhati SUp_6.113d	muktaH sva-Atmani tizWati SUp_6.113d
   muktāhārapralambibhiḥ SUp_6.148d	mukta-AhAra-pralambiBiH SUp_6.148d
   mukhatrayaṃ ca badhnīyād SUp_6.140a	muKa-trayam ca baDnIyAt SUp_6.140a
   mukhaṃ baddhaṃ ca kurvīta SUp_6.146c	muKam badDam ca kurvIta SUp_6.146c
   mucyate pañcabhir ghorair SUp_7.99c	mucyate paQcaBiH GorEH SUp_7.99c
   mucyate bhavasāgarāt SUp_4.54d	mucyate Bava-sAgarAt SUp_4.54d
   mudābdasalilotthitam SUp_6.114b	mudA-abda-salila-utTitam SUp_6.114b
   muninā hitakāmyayā SUp_7.140d	muninA hita-kAmyayA SUp_7.140d
   munīndrātreyabhāṣitam SUp_7.134b	muni-indra-Atreya-BAzitam SUp_7.134b
   musalenābhihanyate SUp_7.104d	musalena-aBihanyate SUp_7.104d
   musalolūkhalādyāni SUp_6.210a	musala-ulUKala-AdyAni SUp_6.210a
   muhurmuhuḥ śiraḥ śmaśru SUp_7.55a	muhur-muhur SiraH SmaSru SUp_7.55a
   mūrtinaivedyadīpānāṃ SUp_3.7c	mUrti-nEvedya-dIpAnAm SUp_3.7c
   mūrtimantraiś ca mūrtiṣu SUp_2.25b	mUrti-mantrEH ca mUrtizu SUp_2.25b
   mūrdhānaṃ pāṇinālabhya SUp_5.33a	mUrDAnam pANinA-AlaBya SUp_5.33a
   mūlakaṃ madhyataḥ sthāpya SUp_6.83a	mUlakam maDyatas sTApya SUp_6.83a
   mṛtaḥ śivapuraṃ gacchet SUp_1.29c	mRtaH Siva-puram gacCet SUp_1.29c
   mṛtkāṣṭhavaṃśakhaṇḍāni SUp_6.55c	mRd-kAzWa-vaMSa-KaNxAni SUp_6.55c
   mṛtkumbhapīṭikāṃ dadyād SUp_6.59a	mRd-kumBa-pIwikAm dadyAt SUp_6.59a
   mṛduromāñcitāṃ kṛṣṇāṃ SUp_6.202a	mRdu-roma-AQcitAm kRzNAm SUp_6.202a
   mṛduvarmaprakalpite SUp_7.46b	mRdu-varma-prakalpite SUp_7.46b
   mṛddārujaṃ tṛṇacchannaṃ SUp_4.20a	mRd-dAru-jam tRNa=-Cannam SUp_4.20a
   mṛdbhasmagomayajalaṃ SUp_7.26a	mRd-Basma-gomaya-jalam SUp_7.26a
   mṛdvastratarujāni vā SUp_6.57d	mRdvastrataru-jAni vA SUp_6.57d
   mekhalātrayabhūṣitam SUp_4.8d	meKalA-traya-BUzitam SUp_4.8d
   mekhalādivibhūṣitā SUp_4.13d	meKalA-Adi-viBUzitA SUp_4.13d
   medhyāmedhyarasaṃ yadvad SUp_5.42a	meDya-ameDya-rasam yadvat SUp_5.42a
   meruprāsādam ity evaṃ SUp_6.109a	meru-prAsAdam iti evam SUp_6.109a
   meruprāsādam uttamam SUp_6.106b	meru-prAsAdam uttamam SUp_6.106b
   maitrasthānasamanvitam SUp_2.16d	mEtra-sTAna-samanvitam SUp_2.16d
   mokṣārthaṃ pūjayet tasmād SUp_7.74a	mokza-arTam pUjayet tasmAt SUp_7.74a
   mokṣārthī na vicintayet SUp_7.117d	mokza-arTI na vicintayet SUp_7.117d
   mokṣopagamanaṃ prati SUp_1.18d	mokza-upagamanam prati SUp_1.18d
   mokṣopāyaṃ vicintayet SUp_7.116d	mokza-upAyam vicintayet SUp_7.116d
   modate kālam akṣayam SUp_6.99d	modate kAlam akzayam SUp_6.99d
   modate kālam akṣayam SUp_6.101d	modate kAlam akzayam SUp_6.101d
   modate vividhair bhogaiḥ SUp_6.98c	modate viviDEH BogEH SUp_6.98c
   modate sa śive pure SUp_6.18d	modate sa Sive pure SUp_6.18d
   modate sa śive pure SUp_6.239d	modate sa Sive pure SUp_6.239d
   modate sa śive pure SUp_6.253b	modate sa Sive pure SUp_6.253b
   modate sa śive loke SUp_6.55a	modate sa Sive loke SUp_6.55a
   modate sa śive loke SUp_6.103c	modate sa Sive loke SUp_6.103c
   modate sa śive loke SUp_6.199c	modate sa Sive loke SUp_6.199c
   mohastambhabalīyasā SUp_7.103d	moha-stamBa-balIyasA SUp_7.103d
   mohāt kuṭumbasaṃsaktas SUp_7.104a	mohAt kuwumba-saMsaktaH SUp_7.104a
   mohād dhi cintayaty evaṃ SUp_7.105c	mohAt Di cintayati evam SUp_7.105c
   mohāl lokasya kevalam SUp_7.111d	mohAt lokasya kevalam SUp_7.111d
   mohenātmani manyate SUp_7.112d	mohena-Atmani manyate SUp_7.112d
   mlānalakṣmīm ivāmbubhiḥ SUp_6.197b	mlAna-lakzmIm iva-ambuBiH SUp_6.197b
   yakṣarakṣaḥpiśācānāṃ SUp_5.3a	yakza-rakzaH-piSAcAnAm SUp_5.3a
   yac chuddhaṃ śaṅkhacūrṇaṃ vā SUp_6.48c	yat SudDam SaFKa-cUrNam vA SUp_6.48c
   yajec chivam anantaram SUp_5.52d	yajet Sivam anantaram SUp_5.52d
   yajñas tapāṃsi niyamāt SUp_7.40a	yajQaH tapAMsi niyamAt SUp_7.40a
   yataś cānyā na vardhate SUp_6.169d	yatas ca-anyA na varDate SUp_6.169d
   yataḥ pramucyate kṣipraṃ SUp_1.20c	yatas pramucyate kzipram SUp_1.20c
   yataḥ sarvaiḥ parityaktaṃ SUp_6.167c	yatas sarvEH parityaktam SUp_6.167c
   yatiḥ sārvāṅgikaṃ snānam SUp_5.20c	yatiH sArvAFgikam snAnam SUp_5.20c
   yatīnāṃ ca samastānāṃ SUp_2.27c	yatInAm ca samastAnAm SUp_2.27c
   yatīnāṃ parikīrtitāḥ SUp_7.101b	yatInAm parikIrtitAH SUp_7.101b
   yat kuryād gurur īśvaraḥ SUp_7.39b	yat kuryAt guruH ISvaraH SUp_7.39b
   yatnād viśramayed gurum SUp_7.32b	yatnAt viSramayet gurum SUp_7.32b
   yatnena vinivedayet SUp_6.2b	yatnena vinivedayet SUp_6.2b
   yat puṇyaṃ tad avāpnuyāt SUp_6.72d	yat puNyam tat avApnuyAt SUp_6.72d
   yat puṇyaṃ parikīrtitam SUp_6.33d	yat puNyam parikIrtitam SUp_6.33d
   yat puṣpadhūpabhaṣyānna- SUp_4.38a	yat puzpa-DUpa-BazyAn-na SUp_4.38a
   yat phalaṃ candanasyoktam SUp_4.37c	yat Palam candanasya-uktam SUp_4.37c
   yat phalaṃ tad avāpnuyāt SUp_6.70d	yat Palam tat avApnuyAt SUp_6.70d
   yatra paśyed guruḥ sthitaḥ SUp_7.18d	yatra paSyet guruH sTitaH SUp_7.18d
   yat sukhaṃ dhyāyataḥ śivam SUp_7.130b	yat suKam DyAyataH Sivam SUp_7.130b
   yat svayaṃ prāktanaṃ karma SUp_7.109c	yat svayam prAktanam karma SUp_7.109c
   yathā kṣāntyā viśuddhyati SUp_5.38d	yaTA kzAntyA viSudDi-ati SUp_5.38d
   yathā yathā priyaṃ vastraṃ SUp_6.278c	yaTA yaTA priyam vastram SUp_6.278c
   yathā yathā mahāratnaṃ SUp_6.104a	yaTA yaTA mahAratnam SUp_6.104a
   yathā yathā mahāliṅgaṃ SUp_3.13c	yaTA yaTA mahA-liFgam SUp_3.13c
   yathā yaṣṭiṃ tu kīlayet SUp_6.134b	yaTA yazwim tu kIlayet SUp_6.134b
   yathā śivas tathaivāyaṃ SUp_6.112c	yaTA SivaH taTA-eva-ayam SUp_6.112c
   yathā saṃkhyā na vidyate SUp_6.110b	yaTA saMKyA na vidyate SUp_6.110b
   yad adhaḥ kanyakāyāś ca SUp_5.46a	yat aDas kanyakAyAH ca SUp_5.46a
   yad anuktaṃ bhavet kiṃcit SUp_7.133c	yat anuktam Bavet kiMcid SUp_7.133c
   yad annam ātmanāśnīyāt SUp_6.1c	yat annam AtmanA-aSnIyAt SUp_6.1c
   yad arpayed guruḥ kiṃci SUp_7.21a	yat arpayet guruH kiMci SUp_7.21a
   yad avaśyaṃ parādhīnais SUp_7.121a	yat avaSyam para-aDInEH SUp_7.121a
   yadā tallakṣaṇaṃ kṛtī SUp_2.22d	yadA tad-lakzaNam kRtI SUp_2.22d
   yad ādiśed guruḥ kiṃcit SUp_7.30a	yat AdiSet guruH kiMcid SUp_7.30a
   yadā sarvaṃ parityajya SUp_6.165a	yadA sarvam parityajya SUp_6.165a
   yadi ced rājyam ākaṅkṣet SUp_6.94a	yadi ced rAjyam AkaFkzet SUp_6.94a
   yad iṣṭam ātmanaḥ kiṃcid SUp_6.38c	yat izwam AtmanaH kiMcid SUp_6.38c
   yadi syātāṃ samaṃ kvacit SUp_7.23b	yadi syAtAm samam kvacid SUp_7.23b
   yad dattvā tat phalaṃ labhet SUp_6.228d	yat dattvA tat Palam laBet SUp_6.228d
   yad yad ātmani rocate SUp_6.42d	yat yat Atmani rocate SUp_6.42d
   yad vastu kurute tena SUp_6.255a	yat vastu kurute tena SUp_6.255a
   yaś ca taṃ parvatavaraṃ SUp_6.66c	yaH ca tam parvata-varam SUp_6.66c
   yaś ca bhuṅkte dvijaḥ kṛtvā SUp_5.4a	yaH ca BuFkte dvijaH kRtvA SUp_5.4a
   yaś ca yāṃ śivayajñāya SUp_6.223a	yaH ca yAm Siva-yajQAya SUp_6.223a
   yaś ca siṃhāsanaṃ dadyān SUp_6.91a	yaH ca siMhAsanam dadyAn SUp_6.91a
   yaś cūeṇādhārasatpātraṃ SUp_6.54c	yaH cUeNa-ADArasat-pAtram SUp_6.54c
   yaś chattraṃ dhārayed grīṣme SUp_6.216a	yaH Cattram DArayet grIzme SUp_6.216a
   yaṣṭer madhye sthitaṃ kāryaṃ SUp_6.134c	yazweH maDye sTitam kAryam SUp_6.134c
   yaṣṭyardhaṃ ca dhvajāṣṭakam SUp_6.150d	yazwi-arDam ca Dvaja-azwakam SUp_6.150d
   yas tāmrakāṃsyapātrāṇi SUp_6.266c	yaH tAmra-kAMsya-pAtrANi SUp_6.266c
   yasmāc chivaḥ susaṃpūrṇaḥ SUp_1.15a	yasmAt SivaH su-saMpUrNaH SUp_1.15a
   yasmāj jñānopadeśārthaṃ SUp_7.45c	yasmAt jQAna-upadeSa-arTam SUp_7.45c
   yasmād dānaṃ prayacchati SUp_7.2b	yasmAt dAnam prayacCati SUp_7.2b
   yasmād vilakṣaṇās tebhyas SUp_1.10c	yasmAt vilakzaNAH teByaH SUp_1.10c
   yasyaiva niścito bhāvas SUp_7.38c	yasya-eva niScitaH BAvaH SUp_7.38c
   yaḥ kārayed vanopetaṃ SUp_6.109c	yaH kArayet vana-upetam SUp_6.109c
   yaḥ kuryād bhasmanā snānaṃ SUp_5.23c	yaH kuryAt BasmanA snAnam SUp_5.23c
   yaḥ kṛtvā dāmanīyoktraṃ SUp_6.276a	yaH kRtvA dAmanI-yoktram SUp_6.276a
   yaḥ kṛtvā na punaḥ kuryān SUp_7.126c	yaH kRtvA na punar kuryAt SUp_7.126c
   yaḥ kṛtvā bhakṣyabhojyāni SUp_6.2a	yaH kRtvA Bakzya-BojyAni SUp_6.2a
   yaḥ pakvaṃ dāḍimaṃ caikaṃ SUp_6.8a	yaH pakvam dAximam ca-ekam SUp_6.8a
   yaḥ pakvaṃ śrīphalaṃ dadyāc SUp_6.3a	yaH pakvam SrIPalam dadyAt SUp_6.3a
   yaḥ pakvānīkṣudaṇḍāni SUp_6.25c	yaH pakvAni-ikzu-daNxAni SUp_6.25c
   yaḥ pattrapuṣpavastūnāṃ SUp_6.253c	yaH pattra-puzpa-vastUnAm SUp_6.253c
   yaḥ panthānaṃ diśet pṛṣṭaṃ SUp_6.279c	yaH panTAnam diSet pRzwam SUp_6.279c
   yaḥ puṣpadhūpagandhānāṃ SUp_6.59c	yaH puzpa-DUpa-ganDAnAm SUp_6.59c
   yaḥ puṣpapaṭṭasaṃyuktaṃ SUp_6.256c	yaH puzpa-pawwa-saMyuktam SUp_6.256c
   yaḥ pradadyāg kuṭhārādyaṃ SUp_6.241c	yaH pradadyAk kuWAra-Adyam SUp_6.241c
   yaḥ pradadyāc chivāśrame SUp_6.55d	yaH pradadyAt Siva-ASrame SUp_6.55d
   yaḥ pradadyāt tripādikām SUp_6.267d	yaH pradadyAt tripAdikAm SUp_6.267d
   yaḥ pradadyāt triviṣṭambhaṃ SUp_6.270c	yaH pradadyAt tri-vizwamBam SUp_6.270c
   yaḥ pradadyād gavāṃ samyak SUp_7.93a	yaH pradadyAt gavAm samyak SUp_7.93a
   yaḥ pradātāram uddiśet SUp_6.281d	yaH pradAtAram uddiSet SUp_6.281d
   yaḥ prapaśyati bhaktitaḥ SUp_6.185b	yaH prapaSyati BaktitaH SUp_6.185b
   yaḥ prāntaraṃ videśaṃ vā SUp_6.215a	yaH prAntaram videSam vA SUp_6.215a
   yaḥ phalāni nivedayet SUp_6.19b	yaH PalAni nivedayet SUp_6.19b
   yaḥ śambhor vinivedayet SUp_6.6b	yaH SamBoH vinivedayet SUp_6.6b
   yaḥ śivasyottamā gṛhe SUp_6.174b	yaH Sivasya-uttamA gRhe SUp_6.174b
   yaḥ śivaṃ śivam ity evaṃ SUp_1.21a	yaH Sivam Sivam iti evam SUp_1.21a
   yaḥ śivāya guror vāpi SUp_6.43c	yaH SivAya guroH vA-api SUp_6.43c
   yaḥ śivāya nivedayet SUp_6.7b	yaH SivAya nivedayet SUp_6.7b
   yaḥ śivāya nivedayet SUp_6.10b	yaH SivAya nivedayet SUp_6.10b
   yaḥ śivāya nivedayet SUp_6.18b	yaH SivAya nivedayet SUp_6.18b
   yaḥ śivāya nivedayet SUp_6.250b	yaH SivAya nivedayet SUp_6.250b
   yaḥ śivāya vanaṃ kṛtvā SUp_6.114a	yaH SivAya vanam kRtvA SUp_6.114a
   yaḥ śīghraṃ na prasādhayet SUp_7.120b	yaH SIGram na prasADayet SUp_7.120b
   yaḥ śeṣām abhivardhayet SUp_6.168b	yaH SezAm aBivarDayet SUp_6.168b
   yaḥ śeṣām abhivardhayet SUp_6.169b	yaH SezAm aBivarDayet SUp_6.169b
   yaḥ śaucapītavastrāṇi SUp_6.255c	yaH SOca-pIta-vastrANi SUp_6.255c
   yaḥ samuddharate janam SUp_7.41b	yaH samudDarate janam SUp_7.41b
   yaḥ samuddharate mārge SUp_6.217a	yaH samudDarate mArge SUp_6.217a
   yaḥ sarvadhātusaṃyuktaṃ SUp_6.62c	yaH sarva-DAtu-saMyuktam SUp_6.62c
   yaḥ sarvadhānyaśikharair SUp_6.68a	yaH sarva-DAnya-SiKarEH SUp_6.68a
   yaḥ sruksruvādipātrāṇi SUp_6.61c	yaH sruc-sruva-Adi-pAtrANi SUp_6.61c
   yaḥ svātmabhogabhṛtyarthaṃ SUp_6.245a	yaH sva-Atma-Boga-BRti-arTam SUp_6.245a
   yā gatir bhasmaśāyinaḥ SUp_5.19b	yA gatiH Basma-SAyinaH SUp_5.19b
   yāti tenaiva dehena SUp_7.120c	yAti tena-eva dehena SUp_7.120c
   yāni caiṣāṃ prakārāṇi SUp_7.89a	yAni ca-ezAm prakArANi SUp_7.89a
   yāni siddhāni lokataḥ SUp_6.229b	yAni sidDAni lokataH SUp_6.229b
   yāmyāyāṃ kṣāravāstukam SUp_6.83d	yAmyAyAm kzAra-vAstukam SUp_6.83d
   yāvac chivāya tadvittaṃ SUp_6.248a	yAvat SivAya tat-vittam SUp_6.248a
   yāvac chivāya tad vittaṃ SUp_6.251a	yAvat SivAya tat vittam SUp_6.251a
   yāvat karma na tad bhavet SUp_1.34d	yAvat karma na tat Bavet SUp_1.34d
   yāvatkesarasaṃkhyānaṃ SUp_4.36a	yAvat-kesara-saMKyAnam SUp_4.36a
   yāvat tatpattrakusuma- SUp_7.94a	yAvat tad-pattra-kusuma SUp_7.94a
   yāvat tat pattrapuṣpāṇāṃ SUp_6.44c	yAvat tat pattra-puzpANAm SUp_6.44c
   yāvat tatpattrasaṃkhyānam SUp_6.46c	yAvat tad-pattra-saMKyAnam SUp_6.46c
   yāvat tatpalasaṃkhyānaṃ SUp_6.268c	yAvat tad-pala-saMKyAnam SUp_6.268c
   yāvat tatphalasaṃkhyānam SUp_6.11a	yAvat tad-Pala-saMKyAnam SUp_6.11a
   yāvat tatphalasaṃkhyānaṃ SUp_6.82a	yAvat tad-Pala-saMKyAnam SUp_6.82a
   yāvat tatphalasaṃkhyānaṃ SUp_6.242a	yAvat tad-Pala-saMKyAnam SUp_6.242a
   yāvat tatphalasaṃkhyānaṃ SUp_6.252c	yAvat tad-Pala-saMKyAnam SUp_6.252c
   yāvat tatsūkṣmavastrāṇāṃ SUp_6.259c	yAvat tad-sUkzma-vastrANAm SUp_6.259c
   yāvat taddīpasaṃkhyānaṃ SUp_6.77a	yAvat tad-dIpa-saMKyAnam SUp_6.77a
   yāvat tadbālavatsānāṃ SUp_6.226a	yAvat tad-bAla-vatsAnAm SUp_6.226a
   yāvat tadbījasaṃkhyānaṃ SUp_6.9a	yAvat tad-bIja-saMKyAnam SUp_6.9a
   yāvat tadbījasaṃkhyānaṃ SUp_6.24c	yAvat tad-bIja-saMKyAnam SUp_6.24c
   yāvat tadrajjusaṃkhyānaṃ SUp_6.277c	yAvat tad-rajju-saMKyAnam SUp_6.277c
   yāvat tadromasaṃkhyānaṃ SUp_6.201a	yAvat tad-roma-saMKyAnam SUp_6.201a
   yāvat tanmūlanālānāṃ SUp_6.86a	yAvat tad-mUla-nAlAnAm SUp_6.86a
   yāvat tāmbulapattrāṇi SUp_6.47c	yAvat tAmbula-pattrANi SUp_6.47c
   yāvat tāmbūlapattrāṇi SUp_6.49c	yAvat tAmbUla-pattrANi SUp_6.49c
   yāvat satgandhaguṭikā SUp_4.34a	yAvat satganDa-guwikA SUp_4.34a
   yāvatsaṃkhyā vidhīyate SUp_6.257d	yAvat-saMKyA viDIyate SUp_6.257d
   yāvat surauṣadhīrajñas SUp_4.45a	yAvat sura-ozaDI-rajQaH SUp_4.45a
   yāvad agnau hutaṃ bhavet SUp_4.41b	yAvat agnO hutam Bavet SUp_4.41b
   yāvad anyo'nyasaṃbandhās SUp_6.246a	yAvat anyaH-anya-saMbanDAH SUp_6.246a
   yāvad ābhūtasaṃplavam SUp_4.27d	yAvat ABUtasaMplavam SUp_4.27d
   yāvantaḥ paramāṇavaḥ SUp_3.14d	yAvantaH paramANavaH SUp_3.14d
   yāval liṅgasya dairghyaṃ syāt SUp_2.2a	yAvat liFgasya dErGyam syAt SUp_2.2a
   yāhutir dīyate vahnau SUp_4.51c	yAhutiH dIyate vahnO SUp_4.51c
   yāṃ yām avasthām āpnoti SUp_7.123c	yAm yAm avasTAm Apnoti SUp_7.123c
   yugakoṭiśataṃ naraḥ SUp_6.199d	yuga-kowi-Satam naraH SUp_6.199d
   ye 'tiramyāṇy araṇyāni SUp_7.129a	ye ati-ramyANi araNyAni SUp_7.129a
   ye tiṣṭhanti suniścalāḥ SUp_7.125b	ye tizWanti su-niScalAH SUp_7.125b
   yena caiva vivardhitam SUp_7.108b	yena ca-eva vivarDitam SUp_7.108b
   ye namanti dine dine SUp_5.28b	ye namanti dine dine SUp_5.28b
   yena yatra kṛtaṃ karma SUp_7.110a	yena yatra kRtam karma SUp_7.110a
   ye narā mandabuddhayaḥ SUp_1.3b	ye narAH manda-budDayaH SUp_1.3b
   ye narāḥ śivam āśritāḥ SUp_1.32d	ye narAH Sivam ASritAH SUp_1.32d
   yenaitad yojitaṃ garbhe SUp_7.108a	yena-etat yojitam garBe SUp_7.108a
   yenottamā gṛhītā syāc SUp_6.171a	yena-uttamA gRhItA syAt SUp_6.171a
   ye śrāvayanti satataṃ SUp_7.138a	ye SrAvayanti satatam SUp_7.138a
   yeṣāṃ karma na vidyate SUp_1.34b	yezAm karma na vidyate SUp_1.34b
   yeṣāṃ karmāsti nirmalam SUp_1.33b	yezAm karma-asti nirmalam SUp_1.33b
   ye samutthāya śṛṇvanti SUp_7.139a	ye samutTAya SRNvanti SUp_7.139a
   yaiva prāptis tapasvinām SUp_5.40b	yA-eva prAptiH tapasvinAm SUp_5.40b
   yaiva brahmavidāṃ prāptir SUp_5.40a	yA-eva brahma-vidAm prAptiH SUp_5.40a
   yaiva yogābhiyuktānāṃ SUp_5.40c	yA-eva yoga-aBiyuktAnAm SUp_5.40c
   yogināṃ vijane vane SUp_2.20b	yoginAm vijane vane SUp_2.20b
   yogīndrāṇāṃ viśeṣeṇa SUp_7.102c	yogi-indrANAm viSezeNa SUp_7.102c
   yogīndrāvasathaṃ mahat SUp_2.16b	yogi-indra-AvasaTam mahat SUp_2.16b
