   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   tamaḥ pānaṃ tathā kartuṃ prakṛtyākhyā tadābhavat // GarP_3,16.5 //	tamaH pAnam taTA kartum prakRti AKyA tadA Bavat // GarP_3,16.5 //
   vāsudevasya bhāryā tu māyā nāmnī prakīrtitā /	vAsudevasya BAryA tu mAyA nAmnI prakIrtitA /
   saṃkarṣaṇasya bhāryā tu jayeti parikīrtitā // GarP_3,16.6 //	saMkarzaNasya BAryA tu jaya iti parikIrtitAH // GarP_3,16.6 //
   aniruddhasya bhāryā tu śāntā nāmnīti kīrtitā /	anirudDasya BAryA tu SAntA nAmni iti kIrtitA /
   kṛtiḥ pradyumnabhāryāpiṃ sṛṣṭiṃ kartuṃ babhūvaha // GarP_3,16.7 //	kRtiH pradyumna BAryA apim sRzwim kartum baBUvaha // GarP_3,16.7 //
   viṣṇupatnī kīrtitā ca śrīdevī sattvamāninī /	vizNu patnI kIrtitA ca SrI devI sattva mAninI /
   tamobhimāninī durgā kanyaketi prakīrtitā // GarP_3,16.8 //	tamoBimAninI durgA kanyakA iti prakIrtitAH // GarP_3,16.8 //
   kṛṣṇāvatāre kanyeva nandaputrānujā hi sā /	kRzNa avatAre kanyA iva nanda putra anujAH hi sA /
   rajobhimānibhūdevī bhāryā sā sūkarasya ca // GarP_3,16.9 //	rajaH BimAniBUdevI BAryA sA sUkarasya ca // GarP_3,16.9 //
   vedābhimāninī vīndra annapūrṇā prakīrtitā /	veda aBimAninI vi indra anna pUrNA prakIrtitA /
   nārāyaṇasya bhāryā tu lakṣmīrūpā tvajā smṛtā // GarP_3,16.10 //	nArAyaNasya BAryA tu lakzmI rUpA tu ajA smRtAH // GarP_3,16.10 //
   yajñākhyasya harerbhāryā dakṣiṇā saṃprakīrtitā // GarP_3,16.11 //	yajQa AKyasya hareH BAryA dakziNA saMprakIrtitAH // GarP_3,16.11 //
   jayantī vṛṣabhasyaiva patnī saṃparikīrtitā /	jayantI vRzaBasya eva patnI saMparikIrtitA /
   videhaputrī sītā tu rāmabhāryā prakīrtitā // GarP_3,16.12 //	videha putrI sItA tu rAma BAryA prakIrtitAH // GarP_3,16.12 //
   rukmiṇīsatyabhāmā ca bhārye kṛṣṇasya kīrtite /	rukmiNI satyaBAmA ca BArye kRzNasya kIrtite /
   ityādikā hyanantāścāpyāvatārāḥ pṛthagvidhāḥ // GarP_3,16.13 //	iti AdikAH hi anantAH ca Api AvatArAH pRTagviDAH // GarP_3,16.13 //
   ramāyāḥ saṃti viprendra bhedahīnāḥ parasparam /	ramAyAH saMti vipra indra Beda hInAH parasparam /
   anantānantaguṇakādviṣṇornyūnāḥ prakīrtitāḥ // GarP_3,16.14 //	ananta ananta guNakAt vizNoH nyUnAH prakIrtitAH // GarP_3,16.14 //
   atha brahmā ca vāyuśca śriyaḥ koṭiguṇādhamau /	aTa brahmA ca vAyuH ca SriyaH kowi guNa aDamO /
   vakṣye ca brahmaṇo rūpaṃ śṛṇu pakṣīndrasattama // GarP_3,16.15 //	vakzye ca brahmaNaH rUpam SRNu pakzi indra sattamaH // GarP_3,16.15 //
   vāsudevātsamutpanno māyāyāṃ ca khageśvara /	vAsudevAt samutpannaH mAyAyAm ca KageSvara /
   sa eva puruṣonāma viriñca iti kīrtitaḥ // GarP_3,16.16 //	saH eva puruzaH nAma viriQcaH iti kIrtitaH // GarP_3,16.16 //
   aniruddhāttu śāntāyāṃ mahattattvatanustvabhūt /	anirudDAt tu SAntAyAm mahat tattva tanuH tu aBUt /
   tadā mahānviriñceti saṃjñāmāpa khageśvara // GarP_3,16.17 //	tadA mahAn viriQca iti saMjQAm Apa KageSvara // GarP_3,16.17 //
   rajasātra samutpanno māyāyāṃ vāsudevataḥ /	rajasA atra samutpannaH mAyAyAm vAsudevataH /
   vidhisaṃjño viriñcaḥ sa jñātavyaḥ pakṣisattama // GarP_3,16.18 //	viDi saMjQaH viriQcaH sa jQAtavyaH pakzi sattamaH // GarP_3,16.18 //
   brahmāṇḍāntaḥ padmanābho yo jātaḥ kamalāsanaḥ /	brahmANxa antar padmanABaH yaH jAtaH kamalAsanaH /
   sa cartumukhasaṃjñāṃ cāpyavāpa khagasattama // GarP_3,16.19 //	sa ca Rtu muKa saMjQAm ca api avApa Kaga sattamaH // GarP_3,16.19 //
   evaṃ catvārirūpāṇi brahmaṇaḥ kīrtitāni ca /	evam catvAri rUpANi brahmaNaH kIrtitAni ca /
   vāyornāmāni vakṣyehaṃ śṛṇu pakṣīndrasattama // GarP_3,16.20 //	vAyoH nAmAni vakzya Iham SRNu pakzi indra sattamaH // GarP_3,16.20 //
   saṃkarṣaṇācca garuḍa jayāyāṃ yo vabhūva ha /	saMkarzaNAt ca garuxa jayAyAm yaH vaBUva ha /
   sa vāyuḥ prathamo jñeyo pradhāna iti kīrtitaḥ // GarP_3,16.21 //	sa vAyuH praTamaH jQeyaH praDAnaH iti kIrtitaH // GarP_3,16.21 //
   lokaceṣṭāpradatvātsa sūtranāmnāpi kīrtitaḥ /	loka cezwA pradatvAt sa sUtra nAmnA api kIrtitaH /
   badarīsthasya viṣṇośca dhairyeṇa stavanāya saḥ // GarP_3,16.22 //	badarI sTasya vizNoH ca DEryeNa stavanAya saH // GarP_3,16.22 //
   dhṛtirūpaṃ yayau vāyustasmāddhṛtiriti smṛtaḥ /	DRti rUpam yayO vAyuH tasmAt DRtiH iti smRtaH /
   yogyānāṃ haribhaktānāṃ dhṛtirūpeṇa saṃsthitaḥ // GarP_3,16.23 //	yogyAnAm hari BaktAnAm DRti rUpeNa saMsTitaH // GarP_3,16.23 //
   yato hṛdi sthito vāyustato vai dhṛtisaṃjñakaḥ /	yatas hRdi sTitaH vAyuH tatas vE DRti saMjQakaH /
   sarveṣāṃ ca dṛdi sthitvā smarate sarvadā harim // GarP_3,16.24 //	sarvezAm ca dRdi sTitvA smarate sarvadA harim // GarP_3,16.24 //
   ato vāyuḥsthitirnāma babhūva khagasattama /	atas vAyuHsTitiH nAma baBUva Kaga sattamaH /
   athavā vāyurevaikaḥ śvetadvīpagataṃ harim // GarP_3,16.25 //	aTavA vAyuH eva ekaH SvetadvIpa gatam harim // GarP_3,16.25 //
   sadā smarati vai vīndra atosau smṛtisaṃjñakaḥ /	sadA smarati vE vi indra atosO smRti saMjQakaH /
   sarveṣāṃ ca hṛdisthitvā jñāto viṣṇorudīraṇāt // GarP_3,16.26 //	sarvezAm ca hRdisTitvA jQAtaH vizNoH udIraNAt // GarP_3,16.26 //
   ato me muktināmābhūdvāyureva na saṃśayaḥ /	atas me mukti nAmA aBUt vAyuH eva na saMSayaH /
   jñānadvāreṇa bhaktānāṃ muktido madanujñayā // GarP_3,16.27 //	jQAna dvAreNa BaktAnAm mukti daH mad anujQayA // GarP_3,16.27 //
   yato sau vāyurevaiko muktināmā bhūvaha /	yatas sO vAyuH eva ekaH mukti nAmA BUvaha /
   viṣṇau bhaktiṃ vardhyati bhaktānāṃ hṛdi saṃsthitaḥ // GarP_3,16.28 //	vizNO Baktim varDyati BaktAnAm hRdi saMsTitaH // GarP_3,16.28 //
   atosau viṣṇubhaktaśca kīrtito nātra saṃśayaḥ /	atosO vizNu BaktaH ca kIrtitaH na atra saMSayaH /
   eṣosau sarvajīvānāṃ cittasaṃjñānameva ca // GarP_3,16.29 //	ezA UsO sarva jIvAnAm citta saMjQAnam eva ca // GarP_3,16.29 //
   cittarūpo yato vāyurataścittamiti smṛtaḥ /	citta rUpaH yatas vAyuH atas cittam iti smRtaH /
   prabhuḥ prabhūṇāṃ garuḍa sodarāṇāṃ ca sarvaśaḥ // GarP_3,16.30 //	praBuH praBUNAm garuxa sodarANAm ca sarvaSas // GarP_3,16.30 //
   atastu vāyurevaiko mahāprabhuriti smṛtaḥ /	atas tu vAyuH eva ekaH mahApraBuH iti smRtaH /
   sarveṣāṃ ca hṛhi sthitvā balaṃ paśyati sattama // GarP_3,16.31 //	sarvezAm ca hRhi sTitvA balam paSyati sattamaH // GarP_3,16.31 //
   ato balamiti hyākhyāmavāpa vinatāsuta /	atas balam iti hi AKyAm avApa vinatA sutaH /
   sarveṣāṃ ca hṛdi sthitvā putrapautrādikairjanaiḥ // GarP_3,16.32 //	sarvezAm ca hRdi sTitvA putra pOtra AdikEH janEH // GarP_3,16.32 //
   yājanaṃ kurute nityamatosau yaṣṭṛsaṃjñakaḥ /	yAjanam kurute nitya matosO yazwR saMjQakaH /
   anantakalpamārabhya vāyuparyantameva ca // GarP_3,16.33 //	ananta kalpam AraBya vAyu paryantam eva ca // GarP_3,16.33 //
   vakratvaṃ nāsti yogasya ṛjuryogya iti smṛtaḥ /	vakra tvam na asti yogasya RjuH yogyaH iti smRtaH /
   yogasya vakratā nāma kāmyatā haripūjane /	yogasya vakratA nAma kAmya tA hari pUjane /
   īśarudrādikānāṃ ca kāmyena haripūjanam // GarP_3,16.34 //	ISa rudra AdikAnAm ca kAmyena hari pUjanam // GarP_3,16.34 //
   kasyacittvatha pakṣīndra hyatastvanṛjavaḥ smṛtāḥ // GarP_3,16.35 //	kasyacid tu aTa pakzi indra hi atas tu anRjavaH smRtAH // GarP_3,16.35 //
   ṛṣyādīnāṃ ca madhyepi kāmyena haripūjanam /	Rzi AdInAm ca maDyepi kAmyena hari pUjanam /
   ato na ṛjavo jñeyā manuṣyāṇāṃ ca kā kathā // GarP_3,16.36 //	atas na RjavaH jQeyA manuzyANAm ca kA kaTAH // GarP_3,16.36 //
   yāvatkāmyasaparyāṃ vai na jahāti narottamaḥ /	yAvat kAmya saparyAm vE na jahAti nara uttamaH /
   tathā ṛṣyādayaścaiva mokṣasya paripanthinīm // GarP_3,16.37 //	taTA Rzi AdayaH ca eva mokzasya paripanTinIm // GarP_3,16.37 //
   anādikālamārabhya karmajanyā ca vāsanā /	anAdi kAlam AraBya karma janyA ca vAsanA /
   mokṣādhikāriṇaḥ sarve kurvate kasya pūjanam // GarP_3,16.38 //	mokza aDikAriNaH sarve kurvate kasya pUjanam // GarP_3,16.38 //
   naṣṭaprāyaṃ ca tatsarvaṃ guroḥ saṃjñānabodhakāt /	nazwa prAyam ca tat sarvam guroH saMjQAna boDakAt /
   prāpyayogaṃ samācarya ante mokṣamavāpnuyāt // GarP_3,16.39 //	prApya yogam samAcarya ante mokzam avApnuyAt // GarP_3,16.39 //
   kāmyena pūjanaṃ viṣṇoraiśvaryaṃ pradadāti ca /	kAmyena pUjanam vizNoH ESvaryam pradadAti ca /
   jñānaṃ ca viparītaṃ syāttena yātyadharaṃ tamaḥ // GarP_3,16.40 //	jQAnam ca viparItam syAt tena yAti aDaram tamaH // GarP_3,16.40 //
   tadeva viparītaṃ cejjñānāya parikīrtitam /	tat eva viparItam ced jQAnAya parikIrtitam /
   śilāyāṃ viṣṇubuddhistu viṣṇubuddhirdvije tathā // GarP_3,16.41 //	SilAyAm vizNu budDiH tu vizNu budDiH dvije taTA // GarP_3,16.41 //
   salile tīrthabuddhistu roṇukāyāṃ tathaiva ca /	salile tIrTa budDiH tu roNukAyAm taTA eva ca /
   śive sūrye paṇmukhe ca viṣṇubuddhiḥ khageśvara // GarP_3,16.42 //	Sive sUrye paNmuKe ca vizNu budDiH KageSvara // GarP_3,16.42 //
   ityādyamakhilaṃ jñānaṃ viparītamiti smṛtam /	ityAdyam aKilam jQAnam viparItam iti smRtam /
   śilādyeṣu ca sarveṣu aikyenava vicintanam // GarP_3,16.43 //	SilA Adyezu ca sarvezu Ekyenava vicintanam // GarP_3,16.43 //
   viṣṇubuddhiriti proktaṃ na tu tatrasthavedanam /	vizNu budDiH iti proktam na tu tatrasTa vedanam /
   anādyanantakālepi kāmyena haripūjanam // GarP_3,16.44 //	anAdi ananta kAlepi kAmyena hari pUjanam // GarP_3,16.44 //
   yato nāsti tato vāyurṛjuryogyaḥ prakīrtitaḥ /	yatas na asti tatas vAyuH RjuH yogyaH prakIrtitaH /
   anyeṣāṃ sarvadā nāsti ato na ṛjavaḥ smṛtāḥ // GarP_3,16.45 //	anyezAm sarvadA na asti atas na RjavaH smRtAH // GarP_3,16.45 //
   hariṃ darśayate vāpi aparokṣeṇa sarvadā /	harim darSayate vA api aparokzeNa sarvadA /
   mokṣādhikāriṇāṃ kāle ataḥ prajñeti kathyate // GarP_3,16.46 //	mokza aDikAriNAm kAle atas prajQA iti kaTyate // GarP_3,16.46 //
   parokṣeṇāpi sarveṣāṃ hariṃ darśayate sadā /	parokzeNa api sarvezAm harim darSayate sadA /
   ato vāyuḥ sadā vīndra jñānamityeva kīrtitaḥ // GarP_3,16.47 //	atas vAyuH sadA vi indra jQAnam iti eva kIrtitaH // GarP_3,16.47 //
   hitāhitopadeṣṭṛtvādbhaktānāṃ hṛdaye sthitaḥ /	hita ahita upadezwR tvAt BaktAnAm hRdaye sTitaH /
   tataśca gurusaṃjñāṃ cāpyavāpa sa ca mārutaḥ // GarP_3,16.48 //	tatas ca guru saMjQAm ca api avApa sa ca mArutaH // GarP_3,16.48 //
   yogināṃ hṛdaye sthitvā sadhyāyati hariṃ param /	yoginAm hRdaye sTitvA saDyAyati harim param /
   pārthakyenāpi taṃ dhyāyanmahādhyāteti sa smṛtaḥ // GarP_3,16.49 //	pArTakyena api tam DyAyan mahA DyAtA iti sa smRtaH // GarP_3,16.49 //
   yadyogyatānusāreṇa vijānāti paraṃ harim /	yad yogyata anusAreNa vijAnAti param harim /
   rudrādau vidyamānāṃśca guṇāñjānāti sarvadā // GarP_3,16.50 //	rudra AdO vidyamAnAn= ca guNAn jAnAti sarvadA // GarP_3,16.50 //
   ato vai vijñanāmāsau prokto hi khagasattama /	atas vE vijQa nAmA asO proktaH hi Kaga sattamaH /
   kāmyānāṃ karmaṇāṃ tyāgādvirāga iti sa smṛtaḥ // GarP_3,16.51 //	kAmyAnAm karmaNAm tyAgAt virAgaH iti sa smRtaH // GarP_3,16.51 //
   athavāyogināṃ nityaṃ hṛdi sthitvā sa mārutaḥ /	aTavA ayoginAm nityam hRdi sTitvA sa mArutaH /
   vairāgyaṃ saṃjanayati virāga iti sa smṛtaḥ // GarP_3,16.52 //	vErAgyam saMjanayati virAgaH iti sa smRtaH // GarP_3,16.52 //
   devānāṃ puṇyapāpābhyāṃ sukhamevottarottaram /	devAnAm puNya pApAByAm suKam eva uttarottaram /
   tatsukhaṃ tūttareṣāṃ ca vāyuparyantameva ca // GarP_3,16.53 //	tad suKam tu uttarezAm ca vAyu paryantam eva ca // GarP_3,16.53 //
   devānāṃ ca ṛṣīṇāṃ ca uttamānāṃ nṛṇāṃ tathā /	devAnAm ca RzINAm ca uttamAnAm nRNAm taTA /
   sukhāṃśaṃ janayedvāyuryatotaḥ sukhasaṃjñakaḥ // GarP_3,16.54 //	suKa aMSam janayet vAyuH yatotaH suKa saMjQakaH // GarP_3,16.54 //
   bhunakti sarvadā vīdraṃ tatra mukhyastu mārutaḥ /	Bunakti sarvadA vIdram tatra muKyaH tu mArutaH /
   duḥ khaśokādikaṃ kiñciddevānāṃ bhavati prabho // GarP_3,16.55 //	duH Ka Soka Adikam kiQcid devAnAm Bavati praBo // GarP_3,16.55 //
   taccāsurāveśavaśādityavehi na saṃśayaḥ /	tat ca asura AveSa vaSa At itya vehi na saMSayaH /
   tajjīvasya bhavetkiñciddaityānāṃ kramaśo bhavet // GarP_3,16.56 //	tad jIvasya Bavet kiQcid dEtyAnAm kramaSas Bavet // GarP_3,16.56 //
   yataḥ kaliścādhikaḥ syādato duḥ khīti sa smṛtaḥ /	yatas kaliH ca aDikaH syAt atas duH KI iti sa smRtaH /
   daityānāṃ puṇyapāpābhyāṃ duḥ kha mevottarottaram // GarP_3,16.57 //	dEtyAnAm puNya pApAByAm duH Ka mA iva uttarottaram // GarP_3,16.57 //
   tadduḥ khamuttareṣāṃ ca kaliparyantameva ca /	tat duH Kam uttarezAm ca kali paryantam eva ca /
   bhunakti sarvadā vīndra tataḥ kaliriti smṛtaḥ // GarP_3,16.58 //	Bunakti sarvadA vi indra tatas kaliH iti smRtaH // GarP_3,16.58 //
   sukhaharṣādikaṃ kiṃ ciddaityānāṃ bhavati prabho /	suKa harza Adikam kim cit dEtyAnAm Bavati praBo /
   devāveśo bhavettasya nātra kāryā vicāraṇā // GarP_3,16.59 //	deva AveSaH Bavet tasya na atra kAryA vicAraNAH // GarP_3,16.59 //
   devānāṃ nirayo nāsti daityānāṃ vinatāsuta /	devAnAm nirayaH na asti dEtyAnAm vinatA sutaH /
   sukhasvarūpaṃ tannāsti viṣayotthamapi dvija // GarP_3,16.60 //	suKa svarUpam tat na asti vizaya utTam api dvija // GarP_3,16.60 //
   viṣayotthaṃ kiñcidapi devāveśādudīritam /	vizaya utTam kiQcid api deva AveSAt udIritam /
   tamo nāstyeva devānāṃ duḥ khaṃ nāsti svarūpataḥ // GarP_3,16.61 //	tamaH na asti eva devAnAm duH Kam na asti svarUpataH // GarP_3,16.61 //
   viṣayotthaṃ mahāduḥ khaṃ devānāṃ nāsti sarvadā /	vizaya utTam mahA duH Kam devAnAm na asti sarvadA /
   duḥ khaśokādikaṃ kiṃ cidasurāveśato bhavet // GarP_3,16.62 //	duH Ka Soka Adikam kim cit asuH AveSataH Bavet // GarP_3,16.62 //
   ataḥ kaliḥ sadā duḥ khī sukhī vāyustu sarvadā /	atas kaliH sadA duH KI suKI vAyuH tu sarvadA /
   manuṣyāṇā mṛṣīṇāṃ ca sukhaṃ duḥ khaṃ khageśvara // GarP_3,16.63 //	manuzyANAH mRzINAm ca suKam duH Kam KageSvara // GarP_3,16.63 //
   bhavettatpuṇyipāpābhyāṃ puṇyabhogī ca mārutaḥ /	Bavet tad puNyi pApAByAm puNya BogI ca mArutaH /
   kaṣṭabhaṅgaḥ kalilayo nātra kāryā vicāraṇā // GarP_3,16.64 //	kazwa BaFgaH kalilayaH na atra kAryA vicAraNAH // GarP_3,16.64 //
   prāṇādisukhaparyantā aṃśā ekonaviṃśatiḥ /	prANa Adi suKa paryantA aMSAH ekonaviMSatiH /
   praviṣṭāḥ saṃti lokeṣu pṛthaksaṃti khageśvara // GarP_3,16.65 //	pravizwAH saMti lokezu pRTak saMti KageSvara // GarP_3,16.65 //
   mārutarevatārāṃśca śṛṇu pakṣīndrasattama /	mAruta reva tArAn= ca SRNu pakzi indra sattamaH /
   caturdaśasu candreṣu dvitīyauyo virocanaḥ // GarP_3,16.66 //	caturdaSasu candrezu dvitIyOyaH virocanaH // GarP_3,16.66 //
   sa vāyuriti saṃprokta indrādīnāṃ khageśvara /	sa vAyuH iti saMproktaH indra AdInAm KageSvara /
   haritattveṣu sarveṣu sa viṣvagyāvyatekṣaṇaḥ // GarP_3,16.67 //	hari tattvezu sarvezu sa vizvagyA avyata IkzaNaH // GarP_3,16.67 //
   ato rocananāmāsau marudaṃśaḥ prakīrtitaḥ rāmāvatāre	atas rocana nAmA asO marut aMSaH prakIrtitaH rAma avatAre
   hanumānrāmakāryārthasādhakaḥ /	hanumAn rAma kArya arTa sADakaH /
   sa eva bhīmasenastu jāto bhūmyāṃ mahābalaḥ // GarP_3,16.68 //	saH eva BImasenaH tu jAtaH BUmyAm mahA balaH // GarP_3,16.68 //
   kṛṣṇāvatāre vijñeyo marudaṃśaḥ prakīrtitaḥ // GarP_3,16.69 //	kRzNa avatAre vijQeyaH marut aMSaH prakIrtitaH // GarP_3,16.69 //
   maṇimānnāma daityastu saṃrākhyo bhaviṣyati /	maNimAn nAma dEtyaH tu saMrAKyaH Bavizyati /
   sarveṣāṃ saṃkaraṃ yastu kariṣyati na saṃśayaḥ // GarP_3,16.70 //	sarvezAm saMkaram yaH tu karizyati na saMSayaH // GarP_3,16.70 //
   tena saṃkaranāmāsau bhaviṣyati khageśvara /	tena saMkara nAmA asO Bavizyati KageSvara /
   dharmānbhāgavatānsarvānvināśayati sarvathā // GarP_3,16.71 //	DarmAn BAgavatAn sarvAn vinASayati sarvaTA // GarP_3,16.71 //
   tadā bhūmau vāsudevo bhaviṣyati na saṃśayaḥ /	tadA BUmO vAsudevaH Bavizyati na saMSayaH /
   yajñārthaiḥ sadṛśo yasya nāsti loke caturdaśe // GarP_3,16.72 //	yajQa arTEH sadRSaH yasya na asti loke caturdaSe // GarP_3,16.72 //
   ataḥ sa prajñayā pūrṇo bhaviṣyati na saṃśayaḥ /	atas sa prajQayA pUrNaH Bavizyati na saMSayaH /
   avatārāstrayo vāyormataṃ bhāgavatābhidham // GarP_3,16.73 //	avatArAH trayaH vAyoH matam BAgavata aBiDam // GarP_3,16.73 //
   sthāpanaṃ duṣṭadamanaṃ dvayameva prayojanam /	sTApanam duzwa damanam dvayam eva prayojanam /
   nānyatprayojanaṃ vāyostathā vairocanātmake // GarP_3,16.74 //	na anyat prayojanam vAyoH taTA vErocana Atmake // GarP_3,16.74 //
   avatāratraye vīndra duḥ khaṃ garbhādisaṃbhavam /	avatAra traye vi indra duH Kam garBa Adi saMBavam /
   nāsti nāstyeva vāyostu tathā vairocanādike // GarP_3,16.75 //	na asti na asti eva vAyoH tu taTA vErocana Adike // GarP_3,16.75 //
   śukraśoṇitasaṃbandho hyavatāracatuṣṭaye /	Sukra SoNita saMbanDaH hi avatAra catuzwaye /
   nāsti nāstyeva pakṣīndra yato nāstyaśubhaṃ tataḥ // GarP_3,16.76 //	na asti na asti eva pakzi indra yatas na asti aSuBam tatas // GarP_3,16.76 //
   pūrvaṃ garbhaṃ samāśoṣya samaye prabhavasya ca /	pUrvam garBam samASozya samaye praBavasya ca /
   prādurbhavati deveśī hyavatāracatuṣṭaye // GarP_3,16.77 //	prAdurBavati deveSI hi avatAra catuzwaye // GarP_3,16.77 //
   trayoviṃśatirūpāṇāṃ vāyoścaiva khageśvara /	trayoviMSati rUpANAm vAyoH ca eva KageSvara /
   rūpairṛjusvarūpaiśca brahmaṇaḥ parameṣṭhinaḥ // GarP_3,16.78 //	rUpEH Rju svarUpEH ca brahmaNaH paramezWinaH // GarP_3,16.78 //
   satyameva na saṃdeho nityānandasukhādiṣu /	satyam eva na saMdehaH nitya Ananda suKa Adizu /
   evameva vijānīyānnānyathā tu kathañcana // GarP_3,16.79 //	evam eva vijAnIyAt na anyaTA tu kaTaQcana // GarP_3,16.79 //
   etasya śravaṇādeva mokṣaṃ yānti na saṃśayaḥ /	etasya SravaNAt eva mokzam yAnti na saMSayaH /
   tadanantarajānvakṣye śṛṇu pakṣīndrasattama // GarP_3,16.80 //	tad anantara jAn vakzye SRNu pakzi indra sattamaH // GarP_3,16.80 //
   kṛtau pradyumnataścaiva samutpanne khageśvara /	kRtO pradyumnataH ca eva samutpanne KageSvara /
   striyau dve yamale caiva tayormadhye tu yadyikā // GarP_3,16.81 //	striyO dve yamale ca eva tayoH maDye tu yadyikA // GarP_3,16.81 //
   vāṇītisaṃjñakāṃ vīndra brahmāṇīsaṃjñakāṃ viduḥ /	vANIti saMjQakAm vi indra brahmANI saMjQakAm viduH /
   puruṣākhyaviriñcasya bhāryā sāvitrikā matā /	puruza AKya viriQcasya BAryA sAvitrikA matA /
   caturmukhasya bhāryā tu kīrtitā sā sarasvatī // GarP_3,16.82 //	caturmuKasya BAryA tu kIrtitA sA sarasvatI // GarP_3,16.82 //
   evaṃ trirūpaṃ vijñeyaṃ vāṇyāśca khagasattama /	evam trirUpam vijQeyam vANyAH ca Kaga sattamaH /
   vakṣye 'vatārān bhāratyāḥ samāhitamanāḥ śṛṇu // GarP_3,16.83 //	vakzye avatArAn BAratyAH samAhita manAH SRNu // GarP_3,16.83 //
   sarvavedābhimānitvātsarvavedātmikā smṛtā /	sarva veda aBimAni tvAt sarva veda AtmikA smRtA /
   mahādhyātuśca vāyostu bhāryāsā parikīrtitā // GarP_3,16.84 //	mahADyAtuH ca vAyoH tu BAryAsA parikIrtitAH // GarP_3,16.84 //
   jñānarūpasya vāyostu bhāryā sā parikīrtitā /	jQAna rUpasya vAyoH tu BAryA sA parikIrtitA /
   sadā sukhasvarūpatvādbhāratī tu sukhātmikā // GarP_3,16.85 //	sadA suKa svarUpa tvAt BAratI tu suKa AtmikAH // GarP_3,16.85 //
   sukhasvarūpa vāyostu bhāryā sā parikīrtitā /	suKa svarUpa vAyoH tu BAryA sA parikIrtitA /
   gurustu vāyurevoktastasmin bhaktiyutā satī // GarP_3,16.86 //	guruH tu vAyuH eva uktaH tasmin Bakti yutA satI // GarP_3,16.86 //
   tatastu bhāratī nityā gurubhaktiriti smṛtā /	tatas tu BAratI nityA guru BaktiH iti smRtA /
   mahāgurorhi vāyośca bhāryā vai parikīrtitā // GarP_3,16.87 //	mahA guroH hi vAyoH ca BAryA vE parikIrtitAH // GarP_3,16.87 //
   harau snehayutatvācca hariprītiriti smṛtā /	harO sneha yuta tvAt ca hariprItiH iti smRtA /
   dhṛtirūpasya vāyośca bhāryā sā parikīrtitā // GarP_3,16.88 //	DRti rUpasya vAyoH ca BAryA sA parikIrtitAH // GarP_3,16.88 //
   sarvamantrābhimānitvātsarvamantrātmikā smṛtā /	sarva mantra aBimAni tvAt sarva mantra AtmikA smRtA /
   mahāprabhośca vāyośca bhāryā vai sā prakīrtitā // GarP_3,16.89 //	mahA praBoH ca vAyoH ca BAryA vE sA prakIrtitAH // GarP_3,16.89 //
   bhujyante sarvabhogāstu viṣṇuprītyarthamevaca /	Bujyante sarva BogAH tu vizNu prIti arTam eva ca /
   atastu bhāratī jñeyā bhujināmnā prakīrtitā // GarP_3,16.90 //	atas tu BAratI jQeyA Buji nAmnA prakIrtitAH // GarP_3,16.90 //
   citrarūpasya vāyostu bhāryā sā parikīrtitā /	citra rUpasya vAyoH tu BAryA sA parikIrtitA /
   rocanendrasya bhāryā ca śraddhākhyā parikīrtitā // GarP_3,16.91 //	rocanA indrasya BAryA ca SradDA AKyA parikIrtitAH // GarP_3,16.91 //
   hanumāṃśca tadā jajñe tretāyāṃ pakṣisattama /	hanumAn= ca tadA jajQe tretAyAm pakzi sattamaH /
   tadā śivākhyaviprācca jajñe sā bhāratī smṛtā // GarP_3,16.92 //	tadA Siva AKya viprAt ca jajQe sA BAratI smRtAH // GarP_3,16.92 //
   na kevalaṃ bhāratī sāśacyādyaiścaiva saṃyutā /	na kevalam BAratI sa aSacya AdyEH ca eva saMyutAH /
