   namaḥ sarvajñāya //	namaH sarvajQAya //
   verglichen mit den Parallelversionen anderer Schulen, Auf Grund von	vergliCet mid den Parat-lelveH-sionet andereH SCulen, Auf Grund vA-un
   Turfan-Handschriften hrsg., Göttingen 1989 (Sanskrittexte aus den	TuH-fan-HandsSriftet hrsg., Göttinget 1989 (San-skritta-Ixte OH den
   Turfanfunden, 13).	Turfanfunden, 13).
   uddiṣṭaṃ me āyuṣmantaḥ prātimokṣasūtroddeśasya nidānaṃ // uddiṣṭāś	uddizwam me AyuzmantaH prAtimokza-sUtra-uddeSasya nidAnam // uddizwAH-
   catvāraḥ pārājikā dharmās trayodaśa saṃghāvaśeṣā dharmā dvāv aniyatau	catvAraH pArAjikAH DarmAH trayodaSa saMGa-avaSezAH DarmAH dvO aniyatO
   dharmau | triṃśan naiḥsargikapāyantikā dharmāḥ navati pāyantikā dharmāś	DarmO | triMSat nEHsargika-pAyantikAH DarmAH navati pAyantikAH DarmAS
   catvāraḥ pratideśanīyā dharmāḥ saṃbahulā śaikṣā dharmāḥ	catvAraH pratideSanIyAH DarmAH saMbahulA SEkzAH DarmAH
   saptādhikaraṇaśamathā dharmā etāvat tasya bhagavatas tathāgatasyārhataḥ	sapta-aDikaraNa-SamaTA DarmAH etAvat tasya BagavataH taTAgatasya-arhataH
   samyaksaṃbuddhasya sūtragataṃ sūtraparyāpannam iti yo vā punar anyo 'py	samyaksaMbudDasya sUtra-gatam sUtra-paryApannam iti yaH vA punar anyaH api-
   āgacched dharmasyānudharmaḥ tatra sahitaiḥ samagraiḥ saṃmodamānair	AgacCet Darmasya-anuDarmaH tatra sahitEH samagrEH saMmodamAnEH-
   avivadamānais tīvraś cetasa ārakṣāsmṛtyapramāde yogaḥ karaṇīyaḥ // //	avivadamAnEH tIvraH cetasaH ArakzA-smRtyapramAde yogaH karaNIyaH // //
        kṣāntiḥ paramaṃ tapas titikṣā nirvāṇaṃ paramaṃ vadanti buddhāḥ /	kzAntiH paramam tapaH titikzAH nirvANam paramam vadanti budDAH /
        na hi pravrajitaḥ paropatāpī śramaṇo bhavati parān viheṭhayānaḥ // 1	na hi pravrajitaH para-upatApI SramaNaH Bavati parAn viheWayAnaH // 1
        cakṣuṣmān viṣamāṇīva vidyamāne parākrame /	cakzuzmAn vizamANi-iva vidyamAne parAkrame /
        paṇḍito jīvaloke 'smin pāpāni parivarjayet // 2	paNxitaH jIva-loke asmin pApAni parivarjayet // 2
        anopavādī nopaghātī prātimokṣe ca saṃvaraḥ {B: anupavādo 'nupaghātaḥ}	anopavAdI na-upaGAtI prAtimokze ca saMvaraH {B: anupavAdaH anupaGAtaH}
        mātrajñatā ca bhakte 'smin prāntaṃ ca śayanāsanam*	mAtra-jQa-tA ca Bakte asmin prAntam ca Sayana-Asanam*
        adhicitte samāyoga etad buddhānuśāsanam* // 3	aDicitte samAyogaH etat budDa-anuSAsanam* // 3
        yathāpi bhramaraḥ puṣpād varṇagandhāv aheṭhayan* [yathā hi] /	yaTA-api BramaraH puzpAt varNa-ganDO aheWayan* [yaTA hi] /
        ḍayate rasam ādāya evaṃ grāme muniś caret* // 4	xayate rasam AdAya evam grAme muniH caret* // 4
        na pareṣāṃ vilomāni na pareṣāṃ kṛtākṛtam* /	na parezAm vilomAni na parezAm kRta-akRtam* /
        ātmanas tu samīkṣeta samāni viṣamāṇi ca // 5	AtmanaH tu samIkzeta samAni vizamANi ca // 5
        adhicetasi mā pramādyato munino maunapadeṣu śikṣataḥ {B:prāmodyato;	aDicetasi mA pramAdyataH muninaH mOna-padezu SikzataH {B:prAmodyataH-;
   maunipadeṣu} /	mOni-padezu} /
        śokā na bhavanti tāyina upaśāntasya sadā smṛtimataḥ // 6	SokAH na Bavanti tAyinaH upaSAntasya sadA smRtimataH // 6
        dadataḥ puṇyaṃ pravardhate vairaṃ saṃyamato na cīyate /	dadataH puNyam pravarDate vEram saMyamataH na cIyate /
        kuśalī prajahāti pāpakaṃ kleśānāṃ kṣayatas tu nirvṛtiḥ {B: kṣayitas}	kuSalI prajahAti pApakam kleSAnAm kzayataH tu nirvRtiH {B: kzayitas}
        sarvapāpasyākaraṇaṃ kuśalasyopasaṃpadā /	sarva-pApasya-akaraNam kuSalasya-upasaMpadA /
        svacittaparidamanam etad buddhānuśāsanam* // 8	sva-citta-paridamanam etat budDa-anuSAsanam* // 8
        kāyena saṃvaraḥ sādhu sādhu vācātha saṃvaraḥ {B: vācā ca} /	kAyena saMvaraH sADu sADu vAcA-aTa saMvaraH {B: vAcA ca} /
        manasā saṃvaraḥ sādhu sādhu sarvatra saṃvaraḥ /	manasA saMvaraH sADu sADu sarvatra saMvaraH /
        sarvatra saṃvṛto bhikṣuḥ sarvaduḥkhāt pramucyate // 9	sarvatra saMvRtaH BikzuH sarva-duHKAt pramucyate // 9
        vācānurakṣī manasā susaṃvṛtaḥ kāyena caivākuśalaṃ na kuryāt* /	vAcA-anurakzI manasA su-saMvRtaH kAyena ca-eva-akuSalam na kuryAt* /
        etāṃs trīn karmapathān viśodhya nārāgayen mārgam ṛṣipraveditam* // 10	etAn trIn karma-paTAn viSoDya na-ArAgayet mArgam Rzi-praveditam* // 10
        buddho vipaśyī ca śikhī ca viśvabhu krakutsundaḥ kanakamuniś ca	budDaH vipaSyI ca SiKI ca viSvaBu krakutsundaH kanakamuniH ca
   kāśyapaḥ {B: krakutsandaḥ} /	kASyapaH {B: krakutsandaH} /
        anuttaraḥ śākyamuniś ca gautamo devātidevo naradamyasārathiḥ // 11	anuttaraH SAkyamuniH ca gOtamaH deva-atidevaH nara-damya-sAraTiH // 11
        saptānāṃ buddhavīrāṇāṃ lokanāthāgratāyināṃ /	saptAnAm budDa-vIrANAm lokanATa-agra-tAyinAm /
        uddiṣṭaḥ prātimokṣo 'yaṃ vistareṇa yaśasvinām* // 12	uddizwaH prAtimokzaH ayam vistareNa yaSasvi-nAm* // 12
        asmin sagauravā buddhā buddhānāṃ śrāvakāś ca ye /	asmin sa-gOravAH budDAH budDAnAm SrAvakAH ca ye /
        asmin sagauravā bhūtvā prāpnumadhvam asaṃskṛtam* {B: prāptamadhvam}	asmin sa-gOravAH BUtvA prApnumaDvam asaMskRtam* {B: prAptam-aDvam}
        ārabhadhvaṃ niṣkrāmata yujyadhvaṃ buddhaśāsane /	AraBaDvam nizkrAmata yujyaDvam budDa-SAsane /
        dhunīta mṛtyunaḥ sainyaṃ naḍāgāram iva kuñjaraḥ // 14	DunIta mRtyunaH sEnyam naxa-AgAram iva kuQjaraH // 14
        yo hy asmin dharmavinaye apramattaś cariṣyati /	yaH hi asmin Darma-vinaye apramattaH carizyati /
        prahāya jātisaṃsāraṃ duḥkhasyāntaṃ kariṣyati // 15	prahAya jAti-saMsAram duHKasya-antam karizyati // 15
        anyonyaṃ śīlaguptyarhaṃ śāsanasya ca vṛddhaye /	anyonyam SIla-gupti-arham SAsanasya ca vRdDaye /
        uddiṣṭaḥ prātimokṣo 'yaṃ kṛtaḥ saṃghena poṣadhaḥ // 16	uddizwaH prAtimokzaH ayam kRtaH saMGena pozaDaH // 16
        yasyārthe sūtram uddiṣṭaṃ yasyārthe poṣadhaḥ kṛtaḥ /	yasya-arTe sUtram uddizwam yasya-arTe pozaDaH kRtaH /
        tac chīlam anurakṣadhvaṃ bālāgraṃ camaro yathā // 17	tat SIlam anurakzaDvam bAla-agram camaraH yaTA // 17
        prātimokṣasamuddeśād yat puṇyaṃ samupārjitaṃ /	prAtimokza-samuddeSAt yat puNyam samupArjitam /
        aśeṣas tena loko 'yaṃ maunīndraṃ padam āpnuyāt // 18	aSezaH tena lokaH ayam mOni-indram padam ApnuyAt // 18
   /// prātimokṣaḥ samāptaḥ ///	/// prAtimokzaH samAptaH ///
