   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   mānavaiḥ sudurāsadam NsP_31.58d	mAnavEH su durAsadam NsP_31.58d
   mānasas trividhaḥ smṛtaḥ NsP_58.79b	mAnasaH triviDaH smRtaH NsP_58.79b
   mānasāni hi tīrthāni NsP_67.1c	mAnasAni hi tIrTAni NsP_67.1c
   mānuṣas tāpasākṛtiḥ NsP_52.78d	mAnuzaH tApasa AkRtiH NsP_52.78d
   mānuṣair vatsarair dvija NsP_2.21d	mAnuzEH vatsarEH dvija NsP_2.21d
   mānuṣo vatsaraḥ smṛtaḥ NsP_2.10d	mAnuzaH vatsaraH smRtaH NsP_2.10d
   mānena paribṛṃhitam NsP_31.11abb	mAnena paribRMhitam NsP_31.11abb
   māndhātuḥ kṣetram ucyate NsP_26.3d	mAnDAtuH kzetram ucyate NsP_26.3d
   māndhātṛpramukhā nṛpāḥ NsP_32.17b	mAnDAtR pramuKAH nRpAH NsP_32.17b
   mā bhūñjane 'pīttham asādhuvādaḥ NsP_31.95b	mA BUQjane api itTam asADuvAdaH NsP_31.95b
   mām adya karuṇākara NsP_48.81b	mAm adya karuNA kara NsP_48.81b
   mā māṃ rakṣati puṇyātmā NsP_63.92a	mA mAm rakzati puNya AtmA NsP_63.92a
   mām uddiśya mahābhāgām NsP_43.23a	mAm uddiSya mahABAgAm NsP_43.23a
   mām uddhara mahābāho NsP_11.46c	mAm udDara mahA bAho NsP_11.46c
   māyayā tava mohitaḥ NsP_11.39b	mAyayA tava mohitaH NsP_11.39b
   māyayāntar dadhe hariḥ NsP_43.86b	mAyayA antar daDe hariH NsP_43.86b
   māyām adhiṣṭhāya sṛjaty anantaḥ NsP_3.29b	mAyAm aDizWAya sRjati anantaH NsP_3.29b
   māyāmaya namo 'stu te NsP_11.46b	mAyA maya namaH astu te NsP_11.46b
   māyārūpadharā śubhā NsP_49.36d	mAyA rUpa DarA SuBA NsP_49.36d
   māyārūpeṇa cāpy aham NsP_49.64d	mAyA rUpeNa ca api aham NsP_49.64d
   māyināṃ ca mahotsavaḥ NsP_42.9d	mAyinAm ca mahA utsavaH NsP_42.9d
   māyaiṣāsya durātmanaḥ NsP_33.38d	mAyA ezA asya durAtmanaH NsP_33.38d
   mā rāma śokaṃ kuru bhūmipāla NsP_49.123c	mA rAma Sokam kuru BUmipAla NsP_49.123c
   mārīcaś ca subāhuś ca NsP_47.89c	mArIcaH ca subAhuH ca NsP_47.89c
   mārīcas tatra sauvarṇaṃ NsP_49.70a	mArIcaH tatra sOvarNam NsP_49.70a
   mārīcaṃ prāha durbuddhiḥ NsP_49.60a	mArIcam prAha durbudDiH NsP_49.60a
   mārīcaṃ bhallakena tu NsP_47.91d	mArIcam Ballakena tu NsP_47.91d
   mārīcaṃ māyayāgatam NsP_49.111b	mArIcam mAyayA Agatam NsP_49.111b
   mārīcaṃ hantum ārebhe NsP_49.68a	mArIcam hantum AreBe NsP_49.68a
   mārīcaḥ parvatākāras NsP_49.75c	mArIcaH parvata AkAraH NsP_49.75c
   mārīco 'py āha rāvaṇam NsP_49.68b	mArIcaH api Aha rAvaNam NsP_49.68b
   mārīco vākyam abravīt NsP_49.66b	mArIcaH vAkyam abravIt NsP_49.66b
   mārkaṇḍeya kathaṃ śukraḥ NsP_55.1a	mArkaNxeya kaTam SukraH NsP_55.1a
   mārkaṇḍeya mahāprājña NsP_41.1a	mArkaNxeya mahA prAjQa NsP_41.1a
   mārkaṇḍeya mahāmate NsP_34.1b	mArkaNxeya mahAmate NsP_34.1b
   mārkaṇḍeyam uvāca ha NsP_10.41d	mArkaNxeyam uvAca ha NsP_10.41d
   mārkaṇḍeyavacaḥ śrutvā NsP_33.82a	mArkaNxeya vacaH SrutvA NsP_33.82a
   mārkaṇḍeyasya ca munes NsP_11.64c	mArkaNxeyasya ca muneH NsP_11.64c
   mārkaṇḍeyasya dhīmataḥ NsP_7.55b	mArkaNxeyasya DImataH NsP_7.55b
   mārkaṇḍeyasya dhīmataḥ NsP_12.2b	mArkaNxeyasya DImataH NsP_12.2b
   mārkaṇḍeyasya babhrāma NsP_7.59c	mArkaNxeyasya baBrAma NsP_7.59c
   mārkaṇḍeyahitārthāya NsP_7.73c	mArkaNxeya hita arTAya NsP_7.73c
   mārkaṇḍeyaṃ tadā śiśum NsP_7.27d	mArkaNxeyam tadA SiSum NsP_7.27d
   mārkaṇḍeyaṃ niyujyātha NsP_33.10c	mArkaNxeyam niyujya aTa NsP_33.10c
   mārkaṇḍeyaṃ mahābhāgaṃ NsP_10.16c	mArkaNxeyam mahABAgam NsP_10.16c
   mārkaṇḍeyaṃ sa mādhavaḥ NsP_11.63b	mArkaNxeyam sa mADavaH NsP_11.63b
   mārkaṇḍeyaṃ haripriyam NsP_8.17d	mArkaNxeyam haripriyam NsP_8.17d
   mārkaṇḍeyādikāḥ kathāḥ NsP_18.3b	mArkaNxeya AdikAH kaTAH NsP_18.3b
   mārkaṇḍeyāya vai tataḥ NsP_67.19d	mArkaNxeyAya vE tatas NsP_67.19d
   mārkaṇḍeyena dhīmatā NsP_7.72b	mArkaNxeyena DImatA NsP_7.72b
   mārkaṇḍeyena dhīmatā NsP_10.29b	mArkaNxeyena DImatA NsP_10.29b
   mārkaṇḍeyena dhīmatā NsP_11.54b	mArkaNxeyena DImatA NsP_11.54b
   mārkaṇḍeyena pārthivaḥ NsP_63.121b	mArkaNxeyena pArTivaH NsP_63.121b
   mārkaṇḍeyena muninā NsP_7.1a	mArkaNxeyena muninA NsP_7.1a
   mārkaṇḍeyena muninā NsP_7.7a	mArkaNxeyena muninA NsP_7.7a
   mārkaṇḍeyena muninā NsP_7.8a	mArkaNxeyena muninA NsP_7.8a
   mārkaṇḍeyena vai proktaṃ NsP_67.20a	mArkaNxeyena vE proktam NsP_67.20a
   mārkaṇḍeyo 'pi dharmātmā NsP_10.48c	mArkaNxeyaH api Darma AtmA NsP_10.48c
   mārkaṇḍeyo 'bhituṣṭāva NsP_11.1c	mArkaNxeyaH aBituzwAva NsP_11.1c
   mārkaṇḍeyo mahātejā NsP_7.39c	mArkaNxeyaH mahA tejAH NsP_7.39c
   mārkaṇḍeyo mahātejās NsP_10.4c	mArkaNxeyaH mahA tejAH NsP_10.4c
   mārkaṇḍeyo mahāmatiḥ NsP_7.11d	mArkaNxeyaH mahAmatiH NsP_7.11d
   mārkaṇḍeyo mahāmatiḥ NsP_7.19b	mArkaNxeyaH mahAmatiH NsP_7.19b
   mārkaṇḍeyo mahāmatiḥ NsP_7.25d	mArkaNxeyaH mahAmatiH NsP_7.25d
   mārkaṇḍeyo mahāmatiḥ NsP_7.29b	mArkaNxeyaH mahAmatiH NsP_7.29b
   mārkaṇḍeyo mahāmatiḥ NsP_7.61b	mArkaNxeyaH mahAmatiH NsP_7.61b
   mārkaṇḍeyo mahāmatiḥ NsP_8.10b	mArkaNxeyaH mahAmatiH NsP_8.10b
   mārkaṇḍeyo mahāmatiḥ NsP_10.1d	mArkaNxeyaH mahAmatiH NsP_10.1d
   mārkaṇḍeyo mahāmatiḥ NsP_10.6d	mArkaNxeyaH mahAmatiH NsP_10.6d
   mārkaṇḍeyo mahāmuniḥ NsP_7.17d	mArkaNxeyaH mahA muniH NsP_7.17d
   mārkaṇḍeyo mahāmuniḥ NsP_7.48b	mArkaNxeyaH mahA muniH NsP_7.48b
   mārgam ālokayan dūrād NsP_51.5c	mArgam Alokayan dUrAt NsP_51.5c
   mārge gacchati satvaram NsP_43.19d	mArge gacCati sa tvaram NsP_43.19d
   mārgeṇānena harayas NsP_50.147a	mArgeNa anena harayaH NsP_50.147a
   mārgo datto mayā te 'dya NsP_52.16a	mArgaH dattaH mayA te adya NsP_52.16a
   mārjanaṃ kuru rāmasya NsP_28.35a	mArjanam kuru rAmasya NsP_28.35a
   mārjāra iva mūṣakān NsP_41.59d	mArjAraH iva mUzakAn NsP_41.59d
   mā laṅghaya mahāmate NsP_28.37b	mA laFGaya mahAmate NsP_28.37b
   mālākārasya dhīmataḥ NsP_28.13d	mAlAkArasya DImataH NsP_28.13d
   mālākāreṇa bhaktyā tu NsP_53.45a	mAlAkAreNa BaktyA tu NsP_53.45a
   mālākāro 'py acintayat NsP_28.18b	mAlAkAraH api acintayat NsP_28.18b
   mālākāro ravir nāmnā NsP_28.10c	mAlAkAraH raviH nAmnA NsP_28.10c
   mālāṃ kṛtvā yathālābham NsP_34.21a	mAlAm kRtvA yaTAlABam NsP_34.21a
   mālāṃ kṛtvā sugandhāḍhyāṃ NsP_25.65a	mAlAm kRtvA suganDa AXyAm NsP_25.65a
   mālyajīvī vane 'bhavat NsP_28.21b	mAlya jIvI vane aBavat NsP_28.21b
   mālyodapāne vaikuṇṭhaṃ NsP_65.8a	mAlya uda pAne vEkuNWam NsP_65.8a
   māvamāne matiṃ kṛthāḥ NsP_31.24d	mA avamAne matim kRTAH NsP_31.24d
   māsapakṣadvayātmakaḥ NsP_2.8b	mAsa pakza dvaya AtmakaH NsP_2.8b
   māsānte vā parākakṛt NsP_59.5d	mAsa ante vA parAka kRt NsP_59.5d
   māsārdham adhikaṃ gatam NsP_50.162d	mAsa arDam aDikam gatam NsP_50.162d
   māsi cakre yathāvidhi NsP_13.13d	mAsi cakre yaTAviDi NsP_13.13d
   māsi māsi tu dvādaśyāṃ NsP_17.15a	mAsi mAsi tu dvAdaSyAm NsP_17.15a
   māhātmyavacanaiḥ svayam NsP_43.50b	mAhAtmya vacanEH svayam NsP_43.50b
   māhātmyaṃ tasya ko vadet NsP_66.20b	mAhAtmyam tasya kaH vadet NsP_66.20b
   māhātmyaṃ yaḥ paṭhen naraḥ NsP_44.40b	mAhAtmyam yaH paWet naraH NsP_44.40b
   māhiṣākhyaṃ guggulaṃ ca NsP_34.24c	mAhiza AKyam guggulam ca NsP_34.24c
   māhiṣmatīṃ purīṃ prāpya NsP_46.33c	mAhizmatIm purIm prApya NsP_46.33c
   māhiṣmatyāṃ hutāśanam NsP_65.22d	mAhizmatyAm hutASanam NsP_65.22d
   māṃ ca preṣitavān rāmo NsP_49.83c	mAm ca prezitavAn rAmaH NsP_49.83c
   māṃ dṛṣṭvā tatra kākutstho NsP_50.58c	mAm dRzwvA tatra kAkutsTaH NsP_50.58c
   māṃ yācasvādya vāmana NsP_45.30d	mAm yAcasva adya vAmana NsP_45.30d
   māṃ viddhi janakātmajām NsP_48.67d	mAm vidDi janakAtmajAm NsP_48.67d
   māṃ vihāya suduḥkhitam NsP_48.119d	mAm vihAya su duHKitam NsP_48.119d
   māṃ samuddhara govinda NsP_11.47e	mAm samudDara govinda NsP_11.47e
   māṃ hi duṣṭena rakṣasā NsP_49.91b	mAm hi duzwena rakzasA NsP_49.91b
   mitrasya yasmād varuṇasya retaḥ NsP_6.36d	mitrasya yasmAt varuNasya retaH NsP_6.36d
   mitraṃ te mama sanmitraṃ NsP_50.19c	mitram te mama sat mitram NsP_50.19c
   mitraṃ punaḥ puṣkarakaṃ sa rāmaḥ NsP_53.50b	mitram punar puzkarakam sa rAmaH NsP_53.50b
   mitrāṇi yāni te deva NsP_50.46a	mitrANi yAni te deva NsP_50.46a
   mitrāvaruṇakau devau NsP_6.39a	mitrAvaruNakO devO NsP_6.39a
   mitrāvaruṇaputratvam NsP_6.41c	mitrAvaruNa putra tvam NsP_6.41c
   mitrāvaruṇaputratvaṃ NsP_5.2a	mitrAvaruNa putra tvam NsP_5.2a
   mitrāvaruṇaputratvaṃ NsP_6.2c	mitrAvaruNa putra tvam NsP_6.2c
   mitrāvaruṇayoḥ putra NsP_67.14c	mitrAvaruNayoH putra NsP_67.14c
   mitreṇa sahito vanam NsP_6.20d	mitreNa sahitaH vanam NsP_6.20d
   mitraiś ca hitakāribhiḥ NsP_41.4d	mitrEH ca hita kAriBiH NsP_41.4d
   mitro 'tha varuṇas tathā NsP_5.51b	mitraH aTa varuNaH taTA NsP_5.51b
   mitro 'tha varuṇas tathā NsP_6.10d	mitraH aTa varuNaH taTA NsP_6.10d
   mitro me pavanātmajaḥ NsP_52.89d	mitraH me pavanAtmajaH NsP_52.89d
   mithilādhipatis tataḥ NsP_47.123d	miTilA aDipatiH tatas NsP_47.123d
   mithilādhipatis taṃ ca NsP_47.126c	miTilA aDipatiH tam ca NsP_47.126c
   mithilādhipater gṛham NsP_47.108d	miTilA aDipateH gRham NsP_47.108d
   mithilām ājagāmāśu NsP_47.129c	miTilAm AjagAma ASu NsP_47.129c
   miśreṇa snāpitena ca NsP_33.4d	miSreNa snApitena ca NsP_33.4d
   mīnakacchapasevitaḥ NsP_6.25b	mIna kacCapa sevitaH NsP_6.25b
   mukuṭaṃ pañcadaśabhiś NsP_52.56a	mukuwam paQcadaSaBiH NsP_52.56a
   mukuṭābharaṇādyaiś ca NsP_34.40c	mukuwa ABaraNa AdyEH ca NsP_34.40c
   mukuṭena virājitam NsP_25.42d	mukuwena virAjitam NsP_25.42d
   mukulitakarakuḍmalaiḥ surendraiḥ NsP_9.8a	mukulita kara kuxmalEH sura indrEH NsP_9.8a
   muktakaṇṭhaṃ ruroda ha NsP_31.16b	mukta kaNWam ruroda ha NsP_31.16b
   muktādāmavilambinā NsP_64.108b	muktA dAma vilambinA NsP_64.108b
   muktikāmair viśeṣataḥ NsP_65.3d	mukti kAmEH viSezataH NsP_65.3d
   muktir bhavati sattama NsP_33.15d	muktiH Bavati sattama NsP_33.15d
   muktiś cātraiva niṣkāmaiḥ NsP_30.10c	muktiH ca atra eva nizkAmEH NsP_30.10c
   muktis tasya kare sthitā NsP_34.59b	muktiH tasya kare sTitA NsP_34.59b
   muktis te bhavitā nṛpa NsP_25.59b	muktiH te BavitA nRpa NsP_25.59b
   muktiṃ yānti narā iti NsP_67.27b	muktim yAnti narAH iti NsP_67.27b
   mukto bhavati bandhanāt NsP_61.12d	muktaH Bavati banDanAt NsP_61.12d
   mukto 'si surasūdana NsP_42.4b	muktaH asi surasUdana NsP_42.4b
   mukto hy aṣṭākṣarāj japāt NsP_63.10d	muktaH hi azwa akzarAt japAt NsP_63.10d
   muktyai kimarthaṃ kriyate na yatnaḥ NsP_62.19d	muktyE kimarTam kriyate na yatnaH NsP_62.19d
   muktvā nānyā vicārayet NsP_42.11d	muktvA na anyA vicArayet NsP_42.11d
   muktvaikaṃ nāradaṃ munim NsP_4.4d	muktvA ekam nAradam munim NsP_4.4d
   muktvaikaṃ viṣṇupūjanam NsP_63.115d	muktvA ekam vizNu pUjanam NsP_63.115d
   mukhajasya tu yat karma NsP_61.17a	muKa jasya tu yat karma NsP_61.17a
   mukhalakṣmyaiva cājñāsīd NsP_31.15a	muKa lakzmyA eva ca ajQAsIt NsP_31.15a
   mukhaśuddhir vidhīyate NsP_58.52b	muKa SudDiH viDIyate NsP_58.52b
   mukhe paryuṣite nityaṃ NsP_58.46a	muKe paryuzite nityam NsP_58.46a
   mukhyasargaś caturthas tu NsP_3.24c	muKya sargaH caturTaH tu NsP_3.24c
   mukhyasargaḥ sa vijñeyaḥ NsP_3.17e	muKya sargaH sa vijQeyaH NsP_3.17e
   mukhyā vai sthāvarāḥ smṛtāḥ NsP_3.24d	muKyAH vE sTAvarAH smRtAH NsP_3.24d
   mucyatām atra te senā NsP_46.6c	mucyatAm atra te senA NsP_46.6c
   mucyate nātra saṃśayaḥ NsP_17.17b	mucyate na atra saMSayaH NsP_17.17b
   mucyate nātra saṃśayaḥ NsP_66.29b	mucyate na atra saMSayaH NsP_66.29b
   mucyate sarvapātakaiḥ NsP_44.40d	mucyate sarva pAtakEH NsP_44.40d
   mucyate sarvapāpebhyo NsP_9.9c	mucyate sarva pApeByaH NsP_9.9c
   muñcantam aśrudhārāṇi NsP_48.65c	muQcantam aSru DArANi NsP_48.65c
   muñcantī dīrgham uṣṇaṃ ca NsP_48.37c	muQcantI dIrGam uzNam ca NsP_48.37c
   muñca muñcātra maithilīm NsP_49.93b	muQca muQcA atra mETilIm NsP_49.93b
   muñcemāṃ mahilāṃ vane NsP_63.93b	muQca imAm mahilAm vane NsP_63.93b
   mudaṃ prāpyātiharṣitaḥ NsP_48.16b	mudam prApya ati harzitaH NsP_48.16b
   mudānvitā sitā sītā NsP_48.17a	mudA anvitA sitA sItA NsP_48.17a
   muditās te svam ālayam NsP_61.15d	muditAH te svam Alayam NsP_61.15d
   munayaḥ pāpam āhus taṃ NsP_12.27c	munayaH pApam AhuH tam NsP_12.27c
   munayo dharmakāṅkṣiṇaḥ NsP_57.11d	munayaH Darma kAFkziNaH NsP_57.11d
   munayo bālakasya tu NsP_31.56b	munayaH bAlakasya tu NsP_31.56b
   munayo mama yo bandhur NsP_31.53cda	munayaH mama yaH banDuH NsP_31.53cda
   munayo vedapāragāḥ NsP_1.4b	munayaH vedapAragAH NsP_1.4b
   munidiṣṭena vartmanā NsP_31.72d	muni dizwena vartmanA NsP_31.72d
   munidhārmikasiddhāṃś ca NsP_47.74a	muni DArmika sidDAn ca NsP_47.74a
   muninā prerito rāmas NsP_47.82c	muninA preritaH rAmaH NsP_47.82c
   munipatnī suduḥkhārtā NsP_46.29a	muni patnI su duHKa ArtA NsP_46.29a
   muniprasādād adhunā NsP_47.65c	muni prasAdAt aDunA NsP_47.65c
   munibhāvena bhārgavaḥ NsP_47.153d	muni BAvena BArgavaH NsP_47.153d
   munibhir vedapāragaiḥ NsP_47.35b	muniBiH vedapAragEH NsP_47.35b
   munibhiḥ saha saṃvādaṃ NsP_57.10c	muniBiH saha saMvAdam NsP_57.10c
   munibhiḥ siddhacāraṇaiḥ NsP_16.31b	muniBiH sidDa cAraNEH NsP_16.31b
   munir apsarasas tathā NsP_5.59d	muniH apsarasaH taTA NsP_5.59d
   munirūpadharo 'paraḥ NsP_33.25d	muni rUpa DaraH aparaH NsP_33.25d
   munivaryam uvāca ha NsP_47.55d	muni varyam uvAca ha NsP_47.55d
   muniśāpabhayān nṛpaḥ NsP_47.69b	muni SApa BayAt nRpaH NsP_47.69b
   muniśāpāc cirāgatam NsP_49.130d	muni SApAt cira Agatam NsP_49.130d
   muniśiṣyaiḥ samāvṛtam NsP_7.4b	muni SizyEH samAvRtam NsP_7.4b
   muniś ca dugdhvānnamayaṃ mahāgiriṃ NsP_46.14c	muniH ca dugDvA anna mayam mahA girim NsP_46.14c
   munisvarūpī ca sṛjaty anantaḥ NsP_4.9d	muni svarUpI ca sRjati anantaH NsP_4.9d
   muniṃ hatvā tu taṃ nṛpa NsP_46.27d	munim hatvA tu tam nRpa NsP_46.27d
   muniḥ punaḥ pārthivam ābabhāṣe NsP_46.11d	muniH punar pArTivam AbaBAze NsP_46.11d
   muniḥ prāha mahīpatim NsP_47.113b	muniH prAha mahIpatim NsP_47.113b
   muniḥ sa dhenuṃ ca dudoha dogdhrīm NsP_46.7d	muniH sa Denum ca dudoha dogDrIm NsP_46.7d
   muniḥ sthūlaśirāḥ sthitaḥ NsP_33.38b	muniH sTUlaSirAH sTitaH NsP_33.38b
   munīnām agratas tadā NsP_1.14f	munInAm agratas tadA NsP_1.14f
   munīnām api sarveṣāṃ NsP_25.33a	munInAm api sarvezAm NsP_25.33a
   munīnām āśramaṃ ramyaṃ NsP_64.24a	munInAm ASramam ramyam NsP_64.24a
   munīnām āśrameṣu ca NsP_50.126d	munInAm ASramezu ca NsP_50.126d
   munīnām ūrdhvaretasām NsP_6.22b	munInAm UrDvaretasAm NsP_6.22b
   munīnāṃ darśanaṃ nātha NsP_33.24c	munInAm darSanam nATa NsP_33.24c
   munīnāṃ bhāvayām āsa NsP_10.50a	munInAm BAvayAm Asa NsP_10.50a
   munīnāṃ bhāvitātmanām NsP_1.12b	munInAm BAvitAtmanAm NsP_1.12b
   munīnāṃ bhāvitātmanām NsP_47.72d	munInAm BAvitAtmanAm NsP_47.72d
   munīnāṃ saṃnidhau puṇyaṃ NsP_67.22a	munInAm saMniDO puNyam NsP_67.22a
   munīnāṃ saṃnidhau mayā NsP_67.17d	munInAm saMniDO mayA NsP_67.17d
   munīṃś caiva sa dhārmikaḥ NsP_7.26b	munIn ca eva sa DArmikaH NsP_7.26b
   mune kadācit taṃ deśaṃ NsP_64.37a	mune kadAcid tam deSam NsP_64.37a
   muner asya mahātmanaḥ NsP_46.17b	muneH asya mahAtmanaH NsP_46.17b
   muneḥ pārśve mahātmanaḥ NsP_33.33b	muneH pArSve mahAtmanaH NsP_33.33b
   muneḥ sāmarthyam apy asti NsP_46.18c	muneH sAmarTyam api asti NsP_46.18c
   mumukṣubhir bhavakleśān NsP_42.15a	mumukzuBiH Bava kleSAn NsP_42.15a
   mumucuḥ śarajālāni NsP_47.121a	mumucuH Sara jAlAni NsP_47.121a
   mumoca yakṣabhavanaṃ NsP_63.109c	mumoca yakza Bavanam NsP_63.109c
   muṣṭiprahāreṇa jaghāna vīraḥ NsP_53.50d	muzwi prahAreNa jaGAna vIraH NsP_53.50d
   muhuḥ parāvṛttya samīkṣamāṇaḥ NsP_31.97d	muhur parAvRttya samIkzamANaH NsP_31.97d
   muhūrtāyāṃ muhūrtajāḥ NsP_5.43d	muhUrtAyAm muhUrta jAH NsP_5.43d
   muhūrtā siṃhikā muniḥ NsP_6.6d	muhUrtA siMhikA muniH NsP_6.6d
   muhūrtair mānuṣaṃ smṛtam NsP_2.7d	muhUrtEH mAnuzam smRtam NsP_2.7d
   mūḍha nityaṃ parityaja NsP_41.53b	mUXa nityam parityaja NsP_41.53b
   mūḍha muñca pativratām NsP_43.20d	mUXa muQca pativratAm NsP_43.20d
   mūḍha re śṛṇu madvākyam NsP_44.7c	mUXa re SRNu mad vAkyam NsP_44.7c
   mūḍhāḥ prāñjalayaḥ prāhur NsP_42.36c	mUXAH prAQjalayaH prAhuH NsP_42.36c
   mūrdhni cakrāṅkitā paṭṭī NsP_41.36c	mUrDni cakra aFkitA pawwI NsP_41.36c
   mūrdhni chatrākṛti sthitam NsP_30.24d	mUrDni Catra AkRti sTitam NsP_30.24d
   mṛkaṇḍur nāma vai sutaḥ NsP_7.10b	mRkaNxuH nAma vE sutaH NsP_7.10b
   mṛkaṇḍos tu mahātmanaḥ NsP_7.10d	mRkaNxoH tu mahAtmanaH NsP_7.10d
   mṛgapotaṃ nṛpātmaja NsP_49.72b	mRga potam nRpa Atmaja NsP_49.72b
   mṛgabālaṃ tu vaidehi NsP_49.84c	mRga bAlam tu vEdehi NsP_49.84c
   mṛgam āsthāya cāgrataḥ NsP_49.70b	mRgam AsTAya ca agratas NsP_49.70b
   mṛgāḥ prāṇivihiṃsakāḥ NsP_64.104b	mRgAH prANi vihiMsakAH NsP_64.104b
   mṛge padme ca tādṛśe NsP_24.27d	mRge padme ca tAdRSe NsP_24.27d
   mṛtabhāryaś ca saṃnyasya NsP_13.62c	mRta BAryaH ca saMnyasya NsP_13.62c
   mṛtabhāryo gatas tīrthaṃ NsP_14.2c	mRta BAryaH gataH tIrTam NsP_14.2c
   mṛtasya mallasya ca muṣṭikasya NsP_53.50a	mRtasya mallasya ca muzwikasya NsP_53.50a
   mṛtaṃ rajakalevaram NsP_48.105b	mRtam raja kalevaram NsP_48.105b
   mṛtaṃ vijñāya daityendraṃ NsP_43.18c	mRtam vijQAya dEtya indram NsP_43.18c
   mṛtaḥ svargam avāptavān NsP_33.74b	mRtaH svargam avAptavAn NsP_33.74b
   mṛte pitari kṛtvā tu NsP_13.39c	mRte pitari kRtvA tu NsP_13.39c
   mṛte bhartari tanmātā NsP_13.20a	mRte Bartari tad mAtA NsP_13.20a
   mṛte rāme tu mām icchann NsP_49.80a	mRte rAme tu mAm icCan NsP_49.80a
   mṛto gacchet triviṣṭapam NsP_30.31b	mRtaH gacCet trivizwapam NsP_30.31b
   mṛttoyena vicakṣaṇaḥ NsP_58.73d	mRd toyena vicakzaNaH NsP_58.73d
   mṛttoyena svakaṃ deham NsP_58.65c	mRd toyena svakam deham NsP_58.65c
   mṛtyunā ca mahāmate NsP_8.8b	mRtyunA ca mahAmate NsP_8.8b
   mṛtyunā saha vai prabho NsP_8.6d	mRtyunA saha vE praBo NsP_8.6d
   mṛtyupraśamanaṃ śubham NsP_7.73b	mRtyu praSamanam SuBam NsP_7.73b
   mṛtyum adyeti saṃsthitāḥ NsP_7.60d	mRtyum adya iti saMsTitAH NsP_7.60d
   mṛtyum evāśrayann iva NsP_44.7b	mRtyum eva ASrayan iva NsP_44.7b
   mṛtyur asya bhaviṣyati NsP_7.13d	mRtyuH asya Bavizyati NsP_7.13d
   mṛtyur evāgamiṣyati NsP_7.57d	mRtyuH eva Agamizyati NsP_7.57d
   mṛtyuś ca kiṃkarāś caiva NsP_8.1a	mRtyuH ca kiMkarAH ca eva NsP_8.1a
   mṛtyuś cānye ca me vacaḥ NsP_8.9b	mRtyuH ca anye ca me vacaH NsP_8.9b
   mṛtyusattānivāraṇam NsP_7.36d	mRtyu sattA nivAraNam NsP_7.36d
   mṛtyusaṃsārasāgarāt NsP_16.9b	mRtyu saMsAra sAgarAt NsP_16.9b
   mṛtyus tatra gataḥ punaḥ NsP_8.5b	mRtyuH tatra gataH punar NsP_8.5b
   mṛtyus te duṣṭa rākṣasa NsP_49.98d	mRtyuH te duzwa rAkzasaH NsP_49.98d
   mṛtyus te nirjitaḥ pūrve NsP_10.46a	mRtyuH te nirjitaH pUrve NsP_10.46a
   mṛtyuṃ ca purataḥ sthitam NsP_8.19b	mRtyum ca puratas sTitam NsP_8.19b
   mṛtyuṃjayam idaṃ puṇyaṃ NsP_7.73a	mRtyuMjayam idam puNyam NsP_7.73a
   mṛtyuṃ yenāpaneṣyati NsP_7.44d	mRtyum yena apanezyati NsP_7.44d
   mṛtyuṃ sadyo 'paneṣyati NsP_7.40f	mRtyum sadyas apanezyati NsP_7.40f
   mṛtyuṃ sa yogī jitavāṃs tadaiva NsP_7.75d	mRtyum sa yogI jitavAn tadA eva NsP_7.75d
   mṛtyuṃ saṃsthāpya dūrataḥ NsP_8.2d	mRtyum saMsTApya dUratas NsP_8.2d
   mṛtyuḥ pārśvaṃ mahātmanaḥ NsP_7.59b	mRtyuH pArSvam mahAtmanaH NsP_7.59b
   mṛtyor mukham ivāparam NsP_47.75b	mRtyoH muKam iva aparam NsP_47.75b
   mṛdācchādya pralepayet NsP_35.9b	mRdA AcCAdya pralepayet NsP_35.9b
   mṛdugambhīrabhāṣiṇam NsP_31.50d	mRdu gamBIra BAziNam NsP_31.50d
   mṛdunā vāyunā caiva NsP_6.32a	mRdunA vAyunA ca eva NsP_6.32a
   mṛdvaṅgīm udvahet striyam NsP_58.43d	mRdu aFgIm udvahet striyam NsP_58.43d
   mekhalābhiḥ samanvitāḥ NsP_66.4d	meKalABiH samanvitAH NsP_66.4d
   mekhalāṃ copavītakam NsP_58.22b	meKalAm ca upavItakam NsP_58.22b
   mekhalī kavacī dhvajī NsP_40.47d	meKalI kavacI DvajI NsP_40.47d
   meghasvanaṃ sāparādhaṃ NsP_49.23c	meGa svanam sa aparADam NsP_49.23c
   meḍhībhūtaḥ samastasya NsP_31.105c	meXI BUtaH samastasya NsP_31.105c
   medinīti tataḥ saṃjñām NsP_37.33c	medinI iti tatas saMjQAm NsP_37.33c
   menāṃ vai dhāriṇīṃ tathā NsP_5.35d	menAm vE DAriNIm taTA NsP_5.35d
   merupṛṣṭhaṃ tadā yayuḥ NsP_47.34b	meru pRzWam tadA yayuH NsP_47.34b
   merupṛṣṭhe ca bhāskaram NsP_65.21d	meru pRzWe ca BAskaram NsP_65.21d
   merubhūdharadakṣiṇam NsP_33.27d	meru BUDara dakziNam NsP_33.27d
   merumandararūpāya NsP_25.11c	meru mandara rUpAya NsP_25.11c
   merur ulbam abhūt tasya NsP_1.63c	meruH ulbam aBUt tasya NsP_1.63c
   meruśṛṅgam ivāruḍhaḥ NsP_64.107c	meru SRFgam iva AruXaH NsP_64.107c
