   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   hetoḥ? yaduta lokātiśayātikrāntatvānmahāmate dṛṣṭānto 'dṛṣṭāntaḥ	hetoH? yat uta loka atiSaya atikrAnta tvAt mahAmate dRzwAntaH adRzwAntaH
   sadṛśāsadṛśatvāt / na ca mahāmate tathāgatā arhantaḥ samyaksaṃbuddhāḥ	sadRSA sadRSa tvAt / na ca mahAmate taTAgatAH arhantaH samyaksaMbudDAH
   sadṛśāsadṛśaṃ lokātiśayātikrāntaṃ dṛṣṭāntaṃ prāviṣkurvanti / anyatra	sadRSA sadRSam loka atiSaya atikrAntam dRzwAntam prAvizkurvanti / anyatra
   upamāmātrametanmahāmate mayopanyastam, taiśca tathāgataiḥ / yathā	upamA mAtram etat mahAmate mayA upanyastam, tEH ca taTAgatEH / yaTA
   gaṅgānadīvālukāsamāstathāgatā arhantaḥ samyaksaṃbuddhā iti	gaFgA nadI vAlukA samAH taTAgatAH arhantaH samyaksaMbudDAH iti
   nityānityābhiniveśābhiniviṣṭānāṃ bālapṛthagjanānāṃ	nitya anitya aBiniveSa aBinivizwAnAm bAla pRTagjanAnAm
   tīrthakarāśayakudṛṣṭiyuktānāṃ saṃsārabhavacakrānusāriṇāmudvejanārtham  	tIrTakara ASaya kudRzwi yuktAnAm saMsAra Bava cakra anusAriNAm udvejana arTam  
   kathamete udvignā bhavagaticakrasaṃkaṭādviśeṣārthino viśeṣamārabheranniti	kaTam ete udvignA Bava gati cakra saMkawAt viSeza arTinaH viSezam AraBeH an= iti
   sulabhabuddhatvapradarśanārthaṃ na nodumbarapuṣpatulyastathāgatānāmutpāda	sulaBa budDa tva pradarSana arTam na na udumbara puzpa tulyaH taTAgatAnAm utpAda
   (Vaidya 94) iti kṛtvā vīryamārapsyante / deśanāpāṭhe tu mayā	(VEdyaH 94) iti kRtvA vIryam Arapsyante / deSanA pAWe tu mayA
   vaineyajanatāpekṣayā udumbarapuṣpasudurlabhaprādurbhāvāstathāgatā iti	vEneya jana ta apekzayA udumbara puzpa su durlaBa prAdurBAvAH taTAgatAH iti
   deśitam / na ca mahāmate udumbarapuṣpaṃ kenaciddṛṣṭapūrvaṃ na drakṣyate /	deSitam / na ca mahAmate udumbara puzpam kenacid dRzwa pUrvam na drakzyate /
   tathāgatāḥ punarmahāmate loke dṛṣṭāḥ, dṛśyante caitarhi / na	taTAgatAH punar mahAmate loke dRzwAH, dRSyante ca etarhi / na
   svanayapratyavasthānakathāmadhikṛtya	sva naya pratyavasTAna kaTAm aDikRtya
   udumbarapuṣpasudurlabhaprādurbhāvāstathāgatā iti /	udumbara puzpa su durlaBa prAdurBAvAH taTAgatAH iti /
   svanayapratyavasthānakathāyāṃ mahāmate nirdiśyamānāyāṃ lokātiśayātikrāntā	sva naya pratyavasTAna kaTAyAm mahAmate nirdiSyamAnAyAm loka atiSaya atikrAntA
   dṛṣṭāntā yuktāḥ kriyante 'śraddheyatvāt / aśraddheyaṃ	dRzwAntAH yuktAH kriyante aSradDeya tvAt / aSradDeyam
   syādbālapṛthagjanānāṃ ca / svapratyātmāryajñānagocare na dṛṣṭāntā na	syAt bAla pRTagjanAnAm ca / sva pratyAtma Arya jQAna gocare na dRzwAntAH na
   pravartante / tattvaṃ ca tathāgatāḥ / atasteṣu dṛṣṭāntā nopanyasyante //	pravartante / tattvam ca taTAgatAH / atas tezu dRzwAntAH na upanyasyante //
   kiṃ tu upamāmātrametanmahāmate kṛtaṃ yaduta gaṅgānadīvālukāsamāstathāgatāḥ	kim tu upamA mAtram etat mahAmate kRtam yat uta gaFgA nadI vAlukA samAH taTAgatAH
   samā na viṣamā akalpāvikalpanataḥ / tadyathā mahāmate gaṅgāyāṃ nadyāṃ	samAH na vizamAH akalpa avikalpanataH / tat yaTA mahAmate gaFgAyAm nadyAm
   vālukā mīnakacchapaśiśumāranakramahiṣasiṃhahastyādibhiḥ saṃkṣobhyamāṇā na	vAlukA mIna kacCapa SiSumAra nakra mahiza siMha hasti AdiBiH saMkzoByamANAH na
   kalpayanti na vikalpayanti   saṃkṣobhyāmahe na veti nirvikalpāḥ svacchā	kalpayanti na vikalpayanti  saMkzoByAmahe na vA iti nirvikalpAH su acCA
   malavyapetāḥ / evameva mahāmate tathāgatānāmarhatāṃ samyaksaṃbuddhānāṃ	mala vyapetAH / evam eva mahAmate taTAgatAnAm arhatAm samyaksaMbudDAnAm
   svapratyātmāryajñānagaṅgāmahānadībalābhijñāvaśitāvālukāḥ	sva pratyAtma Arya jQAna gaFgA mahA nadI bala aBijQA vaSitA vAlukAH
   sarvatīrthakarabālamīnaparapravādibhiḥ saṃkṣobhyamāṇā na kalpayanti na	sarva tIrTakara bAla mIna para pravAdiBiH saMkzoByamANAH na kalpayanti na
   vikalpayanti / tathāgatapūrvapraṇihitatvātsarvasukhasamāpattiparipūryā	vikalpayanti / taTAgata pUrva praNihita tvAt sarva suKa samApatti paripUryA
   sattvānāṃ na kalpayanti na vikalpayanti / ataste	sattvAnAm na kalpayanti na vikalpayanti / atas te
   gaṅgānadīvālukāsamāstathāgatā nirviśiṣṭā anunayapratighāpagatatvāt //	gaFgA nadI vAlukA samAH taTA AgatAH nirviSizwAH anunaya pratiGApa gata tvAt //
   tadyathā mahāmate gaṅgāyāṃ nadyāṃ vālukā	tat yaTA mahAmate gaFgAyAm nadyAm vAlukA
   pṛthivīlakṣaṇasvabhāvatvātpṛthivī, kalpoddāhe dahyamānāpi na	pRTivI lakzaNa svaBAva tvAt pRTivI, kalpa uddAhe dahyamAnA api na
   pṛthivīsvabhāvaṃ vijahāti / na ca mahāmate pṛthivī dahyate	pRTivI svaBAvam vijahAti / na ca mahAmate pRTivI dahyate
   tejodhātupratibaddhatvādanyatra bālapṛthagjanā vitathatāpatitayā saṃtatyā	tejaH DAtu pratibadDa tvAt anyatra bAla pRTagjanA vitaTa tA pati tayA saMtatyA
   dahyamānāṃ kalpayanti, na ca dahyate tadagnihetubhūtatvāt / evameva	dahyamAnAm kalpayanti, na ca dahyate tad agni hetu BUta tvAt / evam eva
   mahāmate tathāgatānāṃ dharmakāyo gaṅgānadīvālukāsamo 'vināśī / tadyathā	mahAmate taTAgatAnAm Darma kAyaH gaFgA nadI vAlukA samaH avinASI / tat yaTA
   mahāmate nadyāṃ gaṅgāyāṃ vālukā apramāṇāḥ, evameva mahāmate tathāgatānāṃ	mahAmate nadyAm gaFgAyAm vAlukAH apramANAH, evam eva mahAmate taTAgatAnAm
   raśmyāloko 'pramāṇaḥ sattvaparipākasaṃcodanamupādāya	raSmi AlokaH apramANaH sattva paripAka saMcodanam upAdAya
   sarvabuddhaparṣanmaṇḍaleṣu prasarpyate tathāgataiḥ / tadyathā mahāmate	sarva budDa parzad maNxalezu prasarpyate taTAgatEH / tat yaTA mahAmate
   gaṅgāyāṃ nadyāṃ vālukā na vālukāsvabhāvāntaramārabhante, vālukāvasthā eva	gaFgAyAm nadyAm vAlukA na vAlukA svaBAva antaram AraBante, vAlukA avasTA eva
   vālukāḥ, evameva mahāmate tathāgatānāmarhatāṃ samyaksaṃbuddhānāṃ saṃsāre	vAlukAH, evam eva mahAmate taTAgatAnAm arhatAm samyaksaMbudDAnAm saMsAre
   na pravṛttirna nivṛttiḥ, bhavapravṛttyucchinnahetutvāt / tadyathā mahāmate	na pravRttiH na nivRttiH, Bava pravRtti ucCinna hetu tvAt / tat yaTA mahAmate
   gaṅgāyāṃ nadyāṃ vālukā apakṛṣṭā api na prajñāyante, prakṣiptā api na	gaFgAyAm nadyAm vAlukAH apakRzwAH api na prajQAyante, prakziptAH api na
   prajñāyante, mahāmate evameva tathāgatānāṃ jñānaṃ sattvaparipākayogena na	prajQAyante, mahAmate evam eva taTAgatAnAm jQAnam sattva paripAka yogena na
   kṣīyate na vardhate, aśarīratvāddharmasya / śarīravatāṃ hi mahāmate nāśo	kzIyate na varDate, aSarIra tvAt Darmasya / SarIravatAm hi mahAmate na ASo
   bhavati nāśarīravatām / dharmaścāśarīraḥ / tadyathā mahāmate gaṅgāyāṃ	Bavati na aSarIravatAm / DarmaH ca aSarIraH / tat yaTA mahAmate gaFgAyAm
   nadyāṃ vālukā niṣpīḍyamānā ghṛtatailārthibhirghṛtatailādivirahitāḥ,	nadyAm vAlukAH nizpIxyamAnAH GRta tEla arTiBiH GRta tEla Adi virahitAH,
   evameva mahāmate tathāgatāḥ sattvaduḥkhairniṣpīḍyamānā	evam eva mahAmate taTAgatAH sattva duHKEH nizpIxyamAnA
   dharmadhātvīśvarapraṇidhānasukhaṃ na vijahati mahāmate mahākaruṇopetatvāt,	DarmaDAtu ISvara praNiDAna suKam na vijahati mahAmate mahA karuNa upeta tva at,
   yāvatsarvasattvā na nirvāpyante tathāgataiḥ / tadyathā mahāmate gaṅgāyāṃ	yAvat sarva sattvAH na nirvApyante taTAgatEH / tat yaTA mahAmate gaFgAyAm
   nadyāṃ vālukāḥ pravāhānukūlāḥ pravahanti nānudake, evameva mahāmate	nadyAm vAlukAH pravAha anukUlAH pravahanti na anudake, evam eva mahAmate
   tathāgatānāṃ sarvabuddhadharmadeśanā nirvāṇapravāhānukūlā saṃvartate /	taTAgatAnAm sarva budDa Darma deSanA nirvANa pravAha anukUlA saMvartate /
   tena gaṅgānadīvālukāsamāstathāgatā ityucyante / nāyaṃ mahāmate	tena gaFgA nadI vAlukA samAH taTAgatAH iti ucyante / na ayam mahAmate
   gatyarthastathāgateṣu pravartate / vināśo (Vaidya 95) mahāmate gatyartho	gati arTaH taTAgatezu pravartate / vinASaH (VEdyaH 95) mahAmate gati arTaH 
   bhavati / na ca mahāmate saṃsārasya pūrvā koṭiḥ prajñāyate / aprajñāyamānā	Bavati / na ca mahAmate saMsArasya pUrvA kowiH prajQAyate / aprajQAyamAnA
   kathaṃ gatyarthena nirdekṣyāmi? gatyartho mahāmate ucchedaḥ / na ca	kaTam gati arTena nirdekzyAmi? gati arTaH mahAmate ucCedaH / na ca
   bālapṛthagjanāḥ saṃprajānanti //	bAla pRTagjanAH saMprajAnanti //
   mahāmatirāha   tadyadi bhagavan pūrvā koṭirna prajñāyate sattvānāṃ	mahAmatiH Aha  tat yadi Bagavan pUrvA kowiH na prajQAyate sattvAnAm
   saṃsaratām, tatkathaṃ mokṣaḥ prajñāyate prāṇinām? bhagavānāha  	saMsara tAm, tat kaTam mokzaH prajQAyate prANi nAm? BagavAn Aha  
   anādikālaprapañcadauṣṭhulyavikalpavāsanāhetuvinivṛttirmahāmate	anAdi kAla prapaQca dOzWulya vikalpa vAsanA hetu vinivRttiH mahAmate
   svacittadṛśyabāhyārthaparijñānādvikalpasyāśrayaparāvṛttirmahāmate mokṣo na	sva citta dRSya bAhya arTa parijQAnAt vikalpasya ASraya parAvRttiH mahAmate mokzaH na
   nāśaḥ / ato nānantakathā mahāmate kiṃcitkārī bhavati / vikalpasyaiva	nASaH / atas na ananta kaTA mahAmate kiMcid kArI Bavati / vikalpasya eva
   mahāmate paryāyo 'nantakoṭiriti / na cātra	mahAmate paryAyaH ananta kowiH iti / na ca atra
   vikalpādanyatkiṃcitsattvāntaramasti, adhyātmaṃ vā bahirdhā vā	vikalpAt anyat kiMcid sattva antaram asti, aDyAtmam vA bahirDA vA
   parīkṣyamāṇaṃ buddhyā / jñānajñeyaviviktā hi mahāmate sarvadharmāḥ /	parIkzyamANam budDyA / jQAna jQeya viviktAH hi mahAmate sarva DarmAH /
   anyatra svacittavikalpāparijñānādvikalpaḥ pravartate,	anyatra sva citta vikalpA parijQAnAt vikalpaH pravartate,
   tadavabodhānnivartate //	tad avaboDAt nivartate //
   tatredamucyate  	tatra idam ucyate  
   gaṅgāyāṃ vālukāsamān ye paśyanti vināyakān /	gaFgAyAm vAlukA samAn ye paSyanti vinAyakAn /
   anāśagatiniṣṭhān vai te paśyanti tathāgatān // Lank_6.7 //	anASa gati nizWAn vE te paSyanti taTAgatAn // Lank _6.7 //
   gaṅgāyāṃ vālukā yadvatsarvadoṣairvivarjitāḥ /	gaFgAyAm vAlukAH yadvat sarva dozEH vivarjitAH /
   vāhānukūlā nityāśca tathā buddhasya buddhatā // Lank_6.8 //	vAha anukUlAH nityAH ca taTA budDasya budDa tA // Lank _6.8 //
   atha khalu mahāmatirbodhisattvo mahāsattvaḥ punarapi bhagavantametadavocat	aTa Kalu mahAmatiH boDisattvaH mahAsattvaH punar api Bagavantam etat avocat 
     deśayatu bhagavān, deśayatu me sugatastathāgato 'rhan samyaksaṃbuddhaḥ	 deSayatu BagavAn , deSayatu me sugataH taTAgataH arhan samyaksaMbudDaH
   sarvadharmāṇāṃ kṣaṇabhaṅgaṃ bhedalakṣaṇaṃ caiṣām / tatkathaṃ bhagavan	sarva DarmANAm kzaNa BaFgam Beda lakzaNam ca ezAm / tat kaTam Bagavan
   sarvadharmāḥ kṣaṇikāḥ? bhagavānāha   tena hi mahāmate śṛṇu, sādhu ca	sarva DarmAH kzaNikAH? BagavAn Aha  tena hi mahAmate SRNu, sADu ca
   suṣṭhu ca manasikuru / bhāṣiṣye 'haṃ te / sādhu bhagavanniti	suzWu ca manasikuru / BAzizye aham te / sADu Bagavan= iti
   mahāmatirbodhisattvo mahāsattvo bhagavataḥ pratyaśrauṣīt /	mahAmatiH boDisattvaH mahAsattvaH BagavataH pratyaSrOzIt /
   bhagavāṃstasyaitadavocat   sarvadharmāḥ sarvadharmā iti mahāmate yaduta	BagavAn= tasya etat avocat  sarva DarmAH sarva DarmAH iti mahAmate yat uta
   kuśalākuśalāḥ saṃskṛtāsaṃskṛtā laukikalokottarāḥ sāvadyānavadyāḥ	kuSala akuSalAH saMskRta AsaMskRtAH lOkika lokottarAH sAvadyAnavadyAH
   sāsravānāsravā upāttānupāttāḥ / saṃkṣepeṇa mahāmate	sa Asrava anAsravAH upAtta anupAttAH / saMkzepeNa mahAmate
   pañcopādānaskandhāścittamanomanovijñānavāsanāhetukāścittamanomanovijñānavāsanāpuṣṭairbālapṛthagjanaiḥ	paQca upAdAna skanDAH citta manaH manaH vijQAna vAsanA hetukAH citta manaH manaH vijQAna vAsanA puzwEH bAla pRTagjanEH
   kuśalākuśalena parikalpyante / samādhisukhasamāpattayo mahāmate	kuSala akuSalena parikalpyante / samADi suKa samApattayaH mahAmate
   dṛṣṭadharmasukhavihārabhāvena āryāṇāṃ kuśalānāsravā ityucyante /	dRzwa Darma suKa vihAra BAvena AryANAm kuSala anAsravAH iti ucyante /
   kuśalākuśalāḥ punarmahāmate yaduta aṣṭau vijñānāni / katamānyaṣṭau? yaduta	kuSala akuSalAH punar mahAmate yat uta azwO vijQAnAni / katamAni azwO? yat uta
   tathāgatagarbha ālayavijñānasaṃśabdito mano manovijñānaṃ ca pañca ca	taTAgata garBaH Alaya vijQAna saMSabditaH manaH manaH vijQAnam ca paQca ca
   vijñānakāyāstīrthyānuvarṇitāḥ / tatra mahāmate pañca vijñānakāyā	vijQAna kAyAH tIrTya anuvarNitAH / tatra mahAmate paQca vijQAna kAyA
   manovijñānasahitā kuśalākuśalakṣaṇaparaṃparābhedabhinnāḥ	manaH vijQAna sahitA kuSala akuSa lakzaNa paraMpara aBeda BinnAH
   saṃtatiprabandhanābhinnaśarīrāḥ pravartamānāḥ pravartante / pravṛtya ca	saMtati prabanDana aBinna SarIrAH pravartamAnAH pravartante / pravRtya ca
   vinaśyanti / svacittadṛśyānavabodhātsamanantaranirodhe 'nyadvijñānaṃ	vinaSyanti / sva citta dRSyAnavaboDAt samanantara niroDe anyat vijQAnam
   pravartate / saṃsthānākṛtiviśeṣagrāhakaṃ manovijñānaṃ	pravartate / saMsTAna AkRti viSeza grAhakam manaH vijQAnam
   pañcabhirvijñānakāyaiḥ saha saṃprayuktaṃ pravartate kṣaṇakālānavasthāyi /	paQcaBiH vijQAna kAyEH saha saMprayuktam pravartate kzaNa kAlAn avasTAyi /
   tatkṣaṇikamiti vadāmi / kṣaṇikaṃ punarmahāmate ālayavijñānaṃ	tad kzaNikam iti vadAmi / kzaNikam punar mahAmate Alaya vijQAnam
   tathāgatagarbhasaṃśabditaṃ manaḥsahitaṃ pravṛttivijñānavāsanābhiḥ	taTAgata garBa saMSabditam manaH sahitam pravRtti vijQAna vAsanABiH
   kṣaṇikamanāsravavāsanābhirakṣaṇikam / na ca bālapṛthagjanā avabudhyante	kzaNikam ana Asrava vAsana aBirakzaNikam / na ca bAla pRTagjanAH avabuDyante
   kṣaṇikavādābhiniviṣṭā kṣaṇikākṣaṇikatāmimāṃ sarvadharmāṇām /	kzaNika vAda aBinivizwA kzaNikA kzaNika tAm imAm sarva DarmANAm /
   tadanavabodhāducchedadṛṣṭyā asaṃskṛtānapi dharmānnāśayiṣyanti / (Vaidya	tad anavaboDAt ucCeda dRzwyA asaMskRtAn api DarmAn nASayizyanti / (VEdya
   96) asaṃsāriṇo mahāmate pañca vijñānakāyā ananubhūtasukhaduḥkhā	96) asaMsAriNaH mahAmate paQca vijQAna kAyAH ananuBUta suKa duHKA
   anirvāṇahetavaḥ / tathāgatagarbhaḥ punarmahāmate	anirvANa hetavaH / taTAgata garBaH punar mahAmate
   anubhūtasukhaduḥkhahetusahitaḥ pravartate nivartate ca	anuBUta suKa duHKa hetu sahitaH pravartate nivartate ca
   catasṛbhirvāsanābhiḥ saṃmūrcchitaḥ / na ca bālā avabudhyante	catasRBiH vAsanABiH saMmUrcCitaH / na ca bAlAH avabuDyante
   kṣaṇikadṛṣṭivikalpavāsitamatayaḥ //	kzaNika dRzwi vikalpa vAsita matayaH //
   punaraparaṃ mahāmate samadhāraṇaṃ kalpasthitāḥ	punar aparam mahAmate sama DAraNam kalpa sTitAH
   suvarṇavajrajinadhātuprāptiviśeṣā abhaṅginaḥ / yadi punarmahāmate	suvarNa vajra jina DAtu prApti viSezAH aBaFginaH / yadi punar mahAmate
   abhisamayaprāptiḥ kṣaṇikā syāt, anāryatvamāryāṇāṃ syāt / na ca	aBisamaya prAptiH kzaNikA syAt, anArya tvam AryANAm syAt / na ca
   anāryatvamāryāṇāṃ bhavati / suvarṇaṃ vajraṃ ca mahāmate samadhāraṇaṃ	anArya tvam AryANAm Bavati / suvarNam vajram ca mahAmate sama DAraNam
   kalpasthitā api tulyamānā na hīyante na vardhante / tatkathaṃ bālaiḥ	kalpa sTitAH api tulyamAnAH na hIyante na varDante / tat kaTam bAlEH
   kṣaṇikārthe vikalpyate ādhyātmikabāhyānāṃ	kzaNikA arTe vikalpyate ADyAtmika bAhyAnAm
   sarvadharmāṇāmasaṃdhābhāṣyakuśalaiḥ?	sarva DarmANAm asaMDA BAzya kuSalEH?
   punarapi mahāmatirāha   yatpunaretaduktaṃ bhagavatā   ṣaṭpāramitāṃ	punar api mahAmatiH Aha  yat punar etat uktam BagavatA  zaz pAramitAm
   paripūrya buddhatvamavāpyata iti / tatkatamāstāḥ ṣaṭpāramitāḥ? kathaṃ ca	paripUrya budDa tvam avApyate iti / tad katamAH tAH zaz pAramitAH? kaTam ca
   paripūriṃ gacchanti? bhagavānāha   traya ete mahāmate pāramitābhedāḥ /	paripUrim gacCanti? BagavAn Aha  trayaH ete mahAmate pAramitA BedAH /
   katame trayaḥ? yaduta laukikalokottaralokottaratamāḥ / tatra mahāmate	katame trayaH? yat uta lOkika loka uttara loka uttaratamAH / tatra mahAmate
   laukikyaḥ pāramitā ātmātmīyagrāhābhiniveśābhiniviṣṭāḥ / antadvayagrāhiṇo	lOkikyaH pAramitAH Atma AtmIya grAha aBiniveSa aBinivizwAH / anta dvaya grAhiNaH 
   vicitrabhavopapattyāyatanārthaṃ rūpādiviṣayābhilāṣiṇo dānapāramitāṃ	vicitra Bava upapatti Ayatana arTam rUpa Adi vizaya aBilAziNaH dAna pAramitAm
   paripūrayanti / evaṃ śīlakṣāntivīryadhyānaprajñāpāramitāṃ mahāmate	paripUrayanti / evam SIla kzAnti vIrya DyAna prajQApAramitAm mahAmate
   paripūrayanti bālāḥ / abhijñāścābhinirharanti brahmatvāya / tatra	paripUrayanti bAlAH / aBijQAH ca aBinirharanti brahma tvAya / tatra
   lokottarābhiḥ pāramitābhiḥ śrāvakapratyekabuddhā nirvāṇagrāhapatitāśayā	loka uttarABiH pAramitABiH SrAvaka pratyekabudDA nirvANa grAha patita ASayA
   dānādiṣu prayujyante yathaiva bālā ātmasukhanirvāṇābhilāṣiṇaḥ /	dAna Adizu prayujyante yaTA eva bAlAH Atma suKa nirvANa aBilAziNaH /
   lokottaratamāḥ punarmahāmate	loka uttaratamAH punar mahAmate
   svacittadṛśyavikalpamātragrahaṇātsvacittadvayāvabodhādapravṛttervikalpasya	sva citta dRSya vikalpa mAtra grahaNAt sva citta dvaya avaboDAt apravRtteH vikalpasya
   upādānagrahaṇābhāvātsvacittarūpalakṣaṇānabhiniveśāddānapāramitā	upAdAna grahaNa aBAvAt sva citta rUpa lakzaNa anaBiniveSAt dAna pAramitA
   sarvasattvahitasukhārthamājāyate bodhisattvānāṃ mahāsattvānāṃ	sarva sattva hita suKa arTam AjAyate boDisattvAnAm mahAsattvAnAm
   paramayogayoginām / yattatraivālambane vikalpasyāpravṛttiṃ śīlayanti,	parama yoga yoginAm / yat tatra eva Alambane vikalpasya apravRttim SIlayanti,
   tacchīlaṃ pāramitā ca sā / yā tasyaiva vikalpasyāpravṛttikṣamaṇatā	tat SIlam pAramitA ca sA / yA tasya eva vikalpasya apravRtti kzamaNa tA
   grāhyagrāhakaparijñayā, sā kṣāntipāramitā / yena vīryeṇa	grAhya grAhaka parijQayA, sA kzAnti pAramitA / yena vIryeNa
   pūrvarātrāpararātraṃ ghaṭate yogānukūladarśanādvikalpasya vyāvṛtteḥ, sā	pUrvarAtra apararAtram Gawate yoga anukUla darSanAt vikalpasya vyAvRtteH, sA
   vīryapāramitā / yadvikalpanivṛttestīrthyanirvāṇagrāhāpatanaṃ sā	vIrya pAramitA / yad vikalpa nivRtteH tIrTya nirvANa grAha Apatanam sA
   dhyānapāramitā / tatra prajñāpāramitā yadā	DyAna pAramitA / tatra prajQApAramitA yadA
   svacittavikalpābhāvādābuddhipravicayātprativicinvan antadvaye na patati	sva citta vikalpa aBAvAt a abudDi pravicayAt prativicinvan anta dvaye na patati
   āśrayaparāvṛttipūrvakarmavināśataḥ, svapratyātmāryagatipratilambhāya	ASraya parAvRtti pUrva karma vinASataH, sva pratyAtma Arya gati pratilamBAya
   prayujyate, sā prajñāpāramitā / etā mahāmate pāramitāḥ / eṣa pāramitārthaḥ	prayujyate, sA prajQApAramitA / etAH mahAmate pAramitAH / eza pAramitA arTaH
   / tatredamucyate  	/ tatra idam ucyate  
   śūnyamanityaṃ kṣaṇikaṃ bālāḥ kalpenti saṃskṛtam /	SUnyam anityam kzaNikam bAlAH kalpenti saMskRtam /
   nadīdīpabījadṛṣṭāntaiḥ kṣaṇikārtho vikalpyate // Lank_6.9 //	nadI dIpa bIja dRzwAntEH kzaNikA arTaH vikalpyate // Lank _6.9 //
   nirvyāpāraṃ kṣaṇikaṃ viviktaṃ kṣayavarjitam /	nirvyApAram kzaNikam viviktam kzaya varjitam /
   anutpattiśca dharmāṇāṃ kṣaṇikārthaṃ vadāmyaham // Lank_6.10 //	anutpattiH ca DarmANAm kzaNikA arTam vadAmi aham // Lank _6.10 //
   (Vaidya 97)	(VEdyaH 97)
   utpattyanantaraṃ bhaṅgaṃ na vai deśemi bāliśān /	utpatti anantaram BaFgam na vE deSemi bAliSAn /
   nairantaryeṇa bhāvānāṃ vikalpaḥ spandate gatau // Lank_6.11 //	nErantaryeNa BAvAnAm vikalpaH spandate gatO // Lank _6.11 //
   sā vidyā kāraṇaṃ teṣāṃ cittānāṃ saṃpravartikam /	sA vidyA kAraNam tezAm cittAnAm saMpravartikam /
   antarā kimavasthāsau yāvadrūpaṃ na jāyate // Lank_6.12 //	antarA kimavasTA asO yAvat rUpam na jAyate // Lank _6.12 //
   samanantarapradhvastaṃ cittamanyatpravartate /	samanantara praDvastam cittam anyat pravartate /
   rūpaṃ na tiṣṭhate kāle kimālambya pravartsyate // Lank_6.13 //	rUpam na tizWate kAle kim Alambya pravartsyate // Lank _6.13 //
   yasmādyatra pravartate cittaṃ vitathahetukam /	yasmAt yatra pravartate cittam vitaTa hetukam /
   na prasiddhaṃ kathaṃ tasya kṣaṇabhaṅgo 'vadhāryate // Lank_6.14 //	na prasidDam kaTam tasya kzaNa BaFgaH avaDAryate // Lank _6.14 //
   yogināṃ hi samāpattiḥ suvarṇaṃ jinadhātavaḥ /	yoginAm hi samApattiH suvarNam jina DAtavaH /
