   ātmasiddhiḥ /	Atma sidDiH /
   dravyādibhedakānumānato dravyatvādivyudāse dravyādibhedaviśiṣṭaṃ	dravya Adi Bedaka anumAnataH dravya tva Adi vyudAse dravya Adi Beda viSizwam
   padārthatvameva pariśiṣyamāṇaṃ guṇatvaṃ vyavasthāpayatītyarthaḥ /	padArTa tvam eva pariSizyamANam guNa tvam vyavasTApayati iti arTaH /
   itarabhedānumānānyāha na sāmānye ti / abhāvabhedasādhane	itara Beda anumAnAni Aha na sAmAnye ti / aBAva Beda sADane
   'nityatvamutpattivināśavattvarūpaṃ vācyam / nātaḥ prāgabhāve pradhvaṃse vā	anitya tvam utpatti vinASavat tva rUpam vAcyam / na atas prAc aBAve praDvaMse vA
   vyabhicāraḥ / vyāpake ti / vibhusamavetatvādityarthaḥ / naiyāyikamatenāyaṃ	vyaBicAraH / vyApake ti / viBu samaveta tvAt iti arTaH / nEyAyika matena ayam
   hetuḥ siddhaḥ / na karma, saṃyogavibhāgayoranapekṣakāraṇatvābhāvāt, na	hetuH sidDaH / na karma, saMyoga viBAgayoH anapekza kAraNa tva aBAvAt, na
   dravyaṃ asaṃyogitvāditi vā heturvācyaḥ / guṇatvaṃ prasādhya viśeṣaguṇatvaṃ	dravyam asaMyogi tvAt iti vA hetuH vAcyaH / guNa tvam prasADya viSeza guNa tvam
   prasādhayati viśeṣe ti/ rūpatvādau vyabhi	prasADayati viSeze ti/ rUpa tva AdO vyaBi
   cārasya vāraṇāyānityatve satīti / saṃyogādau tadvāraṇāya viśeṣyadalam /	cArasya vAraNAya anitya tve sati iti / saMyoga AdO tad vAraNAya viSezya dalam /
   evamapi prabhāyāṃ vyabhicāraḥ syāt, cakṣurmātragrāhyatvāttasyāḥ / ato	evam api praBAyAm vyaBicAraH syAt, cakzuH mAtra grAhya tvAt tasyAH / atas 
   guṇatve satīti vācyam / evamapi prabhābhittisaṃyoge tatprasaṅgaḥ / ata	guNa tve sati iti vAcyam / evam api praBA Bitti saMyoge tad prasaFgaH / ata
   ekondriyamātragrāhyajātimattvaṃ viśeṣyaṃ vaktavyam / evaṃ	eka undriya mAtra grAhya jAtimat tvam viSezyam vaktavyam / evam
   cānityatvaviśeṣaṇasya vaiyarthyam / guṇatvadalasyāpi / prabhātvajātau	ca anitya tva viSezaNasya vEyarTyam / guNa tva dalasya api / praBAtu a jAtO
   mānābhāvāt, tejastvādeśca dvīndriyagrāhyatvāt / parantu prabhātvajāteḥ	mAna aBAvAt, tejaH tu AdeH ca dvi indriya grAhya tvAt / parantu praBAtu a jAteH
   prāmāṇikatve vāyoḥ spārśanopagame vā guṇatvadalamāvaśyakameveti bodhyam /	prAmANika tve vAyoH spArSana upagame vA guNa tva dalam AvaSyakam eva iti boDyam /
   yogināṃ manasāpi rūpādergrahādasmadādīti viśeṣaṇam ayogyabhiprāyam /	yoginAm manasA api rUpa AdeH grahAt asmad Adi iti viSezaNam ayogi aBiprAyam /
   sāmānyato  dṛṣṭānumānasyāśrayaviśeṣaparyavasānasiddhaye	sAmAnyato dRzwa anumAnasya ASraya viSeza paryavasAna sidDaye
   pariśeṣānumānānyāha evam iti / pratyācakṣāṇaiḥ pratikṣipadbhiḥ /	pariSeza anumAnAni Aha evam iti / pratyAcakzANEH pratikzipadBiH /
   sāmānyatodṛṣṭamanvayyanumānamevetarabhedānumānasahakṛtaṃ	sAmAnyatodRzwam anvayi anumAnam eva itara Beda anumAna sahakRtam
   viśeṣānumāpakamityekaḥ pakṣaḥ / sāmānyatodṛṣṭetarabhedānumānato 'gre	viSeza anumApakam iti ekaH pakzaH / sAmAnyatodRzwa itara Beda anumAnataH agre
   prasidhyan viśiṣṭahetuḥ kevalavyatirekirūpastatheti cāparaḥ / anena ca	prasiDyan viSizwa hetuH kevala vyatireki rUpaH taTA iti ca aparaH / anena ca
   vākyenādyaḥ pakṣaḥ sphoryate / ye bhūtaguṇā iti / atra yogyā	vAkyena AdyaH pakzaH sPoryate / ye BUta guNAH iti / atra yogyA
   ityapyanusandheyam / vyatirekyupanayanigamane na tathe ti / dikkāle ti /	iti api anusanDeyam / vyatireki upanaya nigamane na taTe ti / diS kAle ti /
   icchādayo na dikkālamanoguṇāḥ, viśeṣaguṇatvāt, pratyakṣatvādvā; ye	icCA AdayaH na diS kAla manaH guNAH, viSeza guNa tvAt, pratyakza tvAt vA; ye
   punardigādiguṇāḥ saṅkhyādayaḥ, na te pratyakṣā, viśeṣaguṇā vā / akāraṇe ti	punar diS Adi guNAH saFKI A AdayaH, na te pratyakzA, viSeza guNAH vA / akAraNe ti
   / anukraṣṭavyāḥ anukarṣaṇīyāḥ / nānānumānaphalitaṃ sāmānyaprayogamāha tene	/ anukrazwavyAH  anukarzaNIyAH / nAnA anumAna Palitam sAmAnya prayogam Aha tene
   ti / pakṣāntaramapi pratipādayati vimatipade ti /	ti / pakza antaram api pratipAdayati vimati pade ti /
   vimatipadam vipratipatteḥ sthānam nimittaṃ nānāvādaḥ, tadāspadebhyaḥ 	vimati padam  vipratipatteH sTAna m nimittan nAnAvAdaH, tad AspadeByaH 
   tadviṣayebhya ityarthaḥ / atrāyaṃ prayogaḥ icchādayaḥ tadāśrayatvena	tad vizayeByaH iti arTaH / atra ayam prayogaH  icCA AdayaH tad ASraya tvena
   vipratipannaśarīrādivyatiriktaguṇāḥ	vipratipanna SarIra Adi vyatirikta guNAH
   tadguṇatvabādhakapramāṇaviṣayaguṇatvāditi / udāharaṇaṃ ce ti /	tad guNa tva bADaka pramANa vizaya guNa tvAt iti / udAharaNam ce ti /
   vyatirekītyādiḥ / prasiddhadravyabhinnasyādravyasya prasiddhāvapi	vyatirekI ityAdiH / prasidDa dravya Binnasya adravyasya prasidDO= api
   tadguṇatvasyāprasiddhyā nānvayyudāharaṇaṃ sambhavati / na caivaṃ	tad guNa tvasya aprasidDyA na anvayi udAharaNam samBavati / na ca evam
   sādhyavyatirekasyāpyanumānātpūrvamaprasiddhyā vyatirekyudāharaṇaṃ vā	sADya vyatirekasya api anumAnAt pUrvam aprasidDyA vyatireki udAharaNam vA
   kathaṃ ghaṭata iti vācyam / prasiddhadravyavyatiriktasamavetatvasyaiva	kaTam GawataH iti vAcyam / prasidDa dravya vyatirikta samaveta tvasya eva
   sādhyatvāt tadvyatirekasya rūpādau prasiddhisambhavācceti hṛdayam /	sADya tvAt tad vyatirekasya rUpa AdO prasidDi samBavAt ca iti hRdayam /
   anvayavyāptirvā sāmānyamukhī sambhavatītyāha sāmānyato ve ti /	anvaya vyAptiH vA sAmAnya muKI samBavati iti Aha sAmAnyatas ve ti /
   vilakṣaṇaśabdāśrayasiddhyupajīvanenedam / tadanumāne ca	vilakzaNa Sabda ASraya sidDi upajIvanena idam / tad anumAne ca
   gandhādyantarbhāveṇa vyāptigrahaṇamiti bhāvaḥ / evaṃ ca	ganDa Adi antarBAveNa vyApti grahaNam iti BAvaH / evam ca
   kevalavyatirekyanupagame 'pi na kṣatiriti dhyeyam /	kevala vyatireki anupagame api na kzatiH iti Dyeyam /
   naiyāyikābhimatāṃ vilakṣaṇātmasiddhimānumānikīṃ pratikṣipanti śrotriyāḥ	nEyAyika aBimatAm vilakzaNa Atma sidDim AnumAnikIm pratikzipanti SrotriyAH
   idamapī ti / anvayināśrayamātrasya siddhāvapi	idam apI ti / anvayina ASraya mAtrasya sidDO= api
   kevalavyatirekiṇā'śrayaviśeṣaḥ setsyatītyatrāha kevale ti /	kevala vyatirekiNA aSraya viSezaH setsyati iti atra Aha kevale ti /
   sādhanadaśām anumāpakatvāvasthām, nāsādayati na prāptoti,	sADana daSAm anumApaka tva avasTAm, na AsAdayati na prApta uti,
   sapakṣānvayavirahāt sādhyena sahacāradarśanasthalasambandhābhāvādityarthaḥ	sa pakza anvaya virahAt  sADyena sahacAra darSana sTala sambanDa aBAvAt iti arTaH
   / asādhāraṇava diti / pakṣamātravṛttihetorasādhāraṇasya	/ asADAraNava diti / pakza mAtra vRtti hetorasADAraNasya
   sādhyasahacāragrahavirahādagṛhītavyāptikasya yathā na gamakatvam, evaṃ	sADya sahacAra graha virahAt agRhIta vyAptikasya yaTA na gamaka tvam, evam
   kevalavyatirekiṇo 'pi vyāptigrahāyogāt na gamakatvamiti bhāvaḥ / nanu sati	kevala vyatirekiNaH api vyApti graha ayogAt na gamaka tvam iti BAvaH / nanu sati
   sapakṣe hetoravṛtterasādhāraṇasya sadoṣatvam / kevalavyatirekiṇi tu	sa pakze hetoH avRtteH asADAraNasya sa doza tvam / kevala vyatirekiNi tu
   sapakṣasyaiva virahānna doṣa iti cet; maivam; kevalavyatirekiṇi sādhyasya	sa pakzasya eva virahAt na dozaH iti cet; mA evam; kevala vyatirekiNi sADyasya
   prasiddhirasti na vānumānātpūrvam / asti cedyatra prasiddhiḥ tatra hetoḥ	prasidDiH asti na vA anumAnAt pUrvam / asti ced yatra prasidDiH tatra hetoH
   sattve 'nvayitvam, asattve tu asādhāraṇatvameva / nāsti cet	sattve anvayitvam, asattve tu asADAraNa tvam eva / na asti ced 
   sādhyavyatirekasyāpyaprasiddheḥ kevalavyatirekitvamapi durghaṭamiti dik /	sADya vyatirekasya api aprasidDeH kevala vyatireki tvam api durGawam iti diS /
   vistarastu nyāyapariśuddhyādāvanusandheyaḥ / śaṅkate na caivam iti /	vistaraH tu nyAya pariSudDi AdO= anusanDeyaH / SaFkate na ca evam iti /
   vipakṣavyatirekaḥ vipakṣāsattvam / sādhāraṇavat pakṣatrayavṛttihetuvat /	vipakza vyatirekaH vipakzA sattvam / sADAraNavat  pakza traya vRtti hetu vat /
   sādhāraṇe yathā vipakṣesattvāddhetorasādhakatvam, kevalānvayinyapi	sADAraNe yaTA vipakzesattvAt hetoH asADaka tvam, kevala anvayinI api
   vipakṣasyaivāprasiddheḥ tatsattvābhāvasyāpyaprasiddhestathāgamakatvaṃ	vipakzasya eva aprasidDeH tad sattva aBAvasya api aprasidDeH taTA Agamaka tvam
   syādityarthaḥ / anvayavyatirekiṇi	syAt iti arTaH / anvaya vyatirekiNi
   ubhayavidhasahacāradarśanādvyāptigrahasya dṛṣṭeḥ sādhyahetvo	uBayaviDa sahacAra darSanAt vyApti grahasya dRzweH sADya hetvo
   sahacārādarśanātkevalavyatirekiṇo 'sādhakatvaṃ cedabhimatam, tarhi	sahacAra adarSanAt kevala vyatirekiNaH asADaka tvam ced aBimatam, tarhi
   sādhyābhāvasādhanābhāvayoḥ sahacārādarśanātkevalānvayino 'pyasādhakatvaṃ	sADya aBAva sADana aBAvayoH sahacAra adarSanAt kevala anvayinaH api asADaka tvam
   syāditi cākūtam / pariharati deśakālādī ti / kasmiṃściddeśe kāle vā hetuḥ	syAt iti ca AkUtam / pariharati deSa kAla AdI ti / kasmiMScid deSe kAle vA hetuH
   sādhyamantarāpi prayojakāntarāt syāditi deśakālaviśeṣāntarbhāveṇa	sADyam antarA api prayojaka antarAt syAt iti deSa kAla viSeza antarBAveNa
   śaṅkitopādheranukūlatarkeṇa nivartane sati sādhyahetvoḥ	SaFkita upADeH anukUla tarkeNa nivartane sati sADya hetvoH
   sahacāradarśanamātrato 'pi anvayavyāptirniścīyata ityarthaḥ /	sahacAra darSana mAtrataH api anvayavyAptiH niScIyate iti arTaH /
   apirbhinnakramaḥ / anvayadarśanenetyanantaraṃyojyaḥ /	apiH Binna kramaH / anvaya darSanena iti anantar aMyojyaH /
   sādhyānvitasvabhāvatayā sādhyavyāpyatayā / vyatirekavyāptigraha eva	sADya anvita svaBAva tayA a sADya vyApya tayA / vyatireka vyApti grahaH eva
   vyatirekasahacāragrahasyāpekṣayā kevalānvayini anvayavyāptigrahasya	vyatireka sahacAra grahasya apekzayA kevala anvayini anvaya vyApti grahasya
   vyatirekāprasiddhāvapi nānupapattiriti ca bhāvaḥ /	vyatireka aprasidDO= api na anupapattiH iti ca BAvaH /
   vipakṣasattksyaivāprasiddhyaiva rūpapañcakasampattiḥ kevalānvayina iti	vipakza sattksya eva aprasidDyA eva rUpa paQcaka sampattiH kevalAn vayinaH iti
   cāśayaḥ siddhāntinām / nanvevaṃ sādhyasādhanavyatirekayoḥ	ca ASayaH sidDAntinAm / nanu evam sADya sADana vyatirekayoH
   sahacāradarśanata eva vyatirekavyāptigraha upapadyata iti śaṅkate na ca	sahacAra darSanataH eva vyatireka vyApti grahaH upapadyate iti SaFkate na ca
   sādhanābhāva iti / sādhyānvitasvabhāvatvam sādhanasya	sADana aBAvaH iti / sADya anvita svaBAva tvam  sADanasya
   sādhyanirūpitavyatirekavyāptimattvaṃ	sADya nirUpita vyatireka vyAptimat tvam
   sādhyābhāvavyāpakābhāvapratiyogitvalakṣaṇam / vyāptiniścayāyoge hetumāha	sADya aBAva vyApaka aBAva pratiyogi tva lakzaNam / vyApti niScaya ayoge hetum Aha
   abhāvasye ti / vyatirekiṇoḥ sādhyasādhanayoradhikaraṇapekṣayā	aBAvasye ti / vyatirekiNoH sADya sADanayoH aDikaraNa pekzayA
   tadabhāvādhikaraṇānāmānantyāt kalayāṃ'śena kkacidapi sādhyābhāvavati	tad aBAva aDikaraNAnAm AnantyAt kalayAM aSena kkacid api sADya aBAvavati
   hetorvṛttau	hetoH vRttO
   vyatirekasāhacaryaniyamalakṣaṇavyatirekavyāpterasambhavādityarthaḥ /	vyatireka sAha carya niyama lakzaNa vyatireka vyApteH asamBavAt iti arTaH /
   vyatirekisādhyasādhanavataḥ parimitatvena kvacitkārtsnyena grahaṇamapi	vyatireki sADya sADanavataH parimita tvena kvacid kArtsnyena grahaNam api
   sambhavediti ca hārdam / nanu yāvatsu pratyakṣeṣvadhikaraṇeṣu vyatirekayoḥ	samBavet iti ca hArdam / nanu yAvatsu pratyakzezu aDikaraNezu vyatirekayoH
   sahacāradarśanata eva vyāptirniścīyetetyatrāha sandehe ti /	sahacAra darSanataH eva vyAptiH niScIyeta iti atra Aha sandehe ti /
   vyatirekavyāptirhi sādhyābhāve hetvabhāvavyāptigarbhitā / sādhyābhāvo	vyatireka vyAptiH hi sADya aBAve hetu aBAva vyApti garBitA / sADya aBAvaH 
   'stu, hetvabhāvo māstviti śaṅkāyāṃ ca na sādhanābhāvavyāpyatvaṃ	astu, hetu aBAvaH mA astu iti SaFkAyAm ca na sADana aBAva vyApya tvam
   sādhyābhāve gṛhyetānukūlatarkavirahe / sādhyasyā	sADya aBAve gRhyeta anukUla tarka virahe / sADyasya a
   sādhananīmittatvasādhananiyatasvabhāvatvādyanyathānupapattilakṣaṇatarkabalācchaṅkānivāraṇaṃ	sADana nImitta tva sADana niyata svaBAva tva Adi anyaTA anupapatti lakzaNa tarka balAt SaFkA nivAraNam
   ca sādhyasādhanayoḥ sahacāradarśanamūlahetuhetumadbhāvādyavadhāraṇamantarā	ca sADya sADanayoH sahacAra darSana mUla hetu hetum at BAva Adi avaDAraNam antarA
   na ghaṭata iti kevalavyatirekyasiddhiriti ca hārdam / viśiṣṭahetunā	na GawataH iti kevala vyatirekya sidDiH iti ca hArdam / viSizwa hetunA
   pṛthivyādivyatiriktaguṇatvānumāne ca sādhyāprasiddhimāha pṛthivyādibhya	pRTivI Adi vyatirikta guNa tva anumAne ca sADya aprasidDim Aha pRTivI AdiBya
   iti / arthāntarasya guṇādeḥ prasiddhāvapi tadvṛttiguṇatvalakṣaṇaṃ	iti / arTa antarasya guNa AdeH prasidDO= api tad vRtti guNa tva lakzaNam
   sādhyamaprasiddhameva / na ca pṛthivyādyarthāntarasamevatatvameva sādhyate	sADyam aprasidDam eva / na ca pRTivI Adi arTa antara samevata tvam eva sADyate
   / tacca rūpatvādau prasiddhameveti vācyam / niruktasamavetatvasya	/ tat ca rUpa tva AdO prasidDam eva iti vAcyam / nirukta samaveta tvasya
   guṇakriyābhinna eva prasiddherguṇe jñānādau tatsādhanāyogaḥ /	guNa kriyA BinnaH eva prasidDeH guNe jQAna AdO tad sADana ayogaH /
   arthāntaradravyasamavetatvaṃ cānumānātprāgaprasiddhameveti hārdam /	arTa antara dravya samaveta tvam ca anumAnAt prAgaprasidDam eva iti hArdam /
   naiyāyikoktātmānumānadūṣaṇāni sāṅkhyoktātmānumāneṣvapyatidiśati etene ti /	nEyAyika ukta Atma anumAna dUzaNAni sAFKya ukta Atma anumAnezu api atidiSati etene ti /
   tathā ce ti / vilakṣaṇātmasādhakatvena sāṅkhyābhimatāneva hetūn prathamaṃ	taTA ce ti / vilakzaNa Atma sADaka tvena sAFKya aBimatAn eva hetUn praTamam
   vivṛṇumahe śiṣyavaiśadyāya kṣepasaukaryāya ceti bhāvaḥ /	vivRNumahe Sizya vESadyAya kzepa sOkaryAya ca iti BAvaH /
   saṅghātaparārthatvā dityādiḥ sāṅkhyakārikā / enāṃ vyākhyāti ayamartha	saFGAta para arTatvA diti AdiH sAFKya kArikA / enAm vyAKyAti ayam arTa
   ityādinā / śaraṇaṃ gṛham / saṅghātatvam avayavasamudāyātmakatvam /	ityAdinA / SaraNam gRham / saFGAta tvam  avayava samudAya Atmaka tvam /
   bhūtānāṃ pañcānāṃ mahābhūtānām / avyakte ti / sukhaduḥkhamohātmatvaṃ	BUtAnAn paQcAnAm mahABUtAnAm / avyakte ti / suKa duHKa moha Atma tvam
   sukhādisvarūpatvam, sukhādijanakatvarūpaṃ vā / tena	suKa Adi svarUpa tvam, suKa Adi janaka tva rUpam vA / tena
   tathātvaṃ sattvarajastamorūpaguṇatrayasaṅghātātmakatvam anumeyaṃ	taTA atvaM sattva rajaH tamaH rUpa guNa traya saFGAta Atmaka tvam anumeyam
   kāryarūpeṇa śarīrādivadevetyarthaḥ / saṅghātatvahetorviruddhatvaṃ śaṅkate	kArya rUpeNa SarIra Adi vat eva iti arTaH / saFGAta tva hetoH virudDa tvam SaFkate
   na cendriyāṇām iti /	na ca indriyANAm iti /
   ubhayaviśeṣaviruddhatvam pakṣasādhyayorabhimataviśeṣaviruddhākārāpādakatvam	uBaya viSeza virudDa tvam  pakza sADyayoH aBi mata viSeza virudDa AkAra ApAdaka tvam
   / anāhaṅkārikatvena saṅghātatvasya bhūtabhautikeṣu, saṃhataparārthatvena	/ anAhaFkArika tvena saFGAta tvasya BUta BOtikezu, saMhata parArTa tvena
   ca gehaśayyādiṣu bhūyaḥsahacāradṛṣṭervyāptergṛhītatayā	ca geha SayyA Adizu BUyas sahacAra dRzweH vyApteH gRhIta tayA
   pakṣāntargatendriyāṇāmabhimatāhaṅkārikatvaviruddhasyānāhaṅkārikatvasya,	pakza antargata indriyANAm aBimata ahaFkArika tva virudDa sya anAhaFkArika tvasya,
   sādhyaghaṭakasya ca parasyābhimatāsaṃhatatvaviruddhasya	sADya Gawakasya ca parasya aBimata asaMhata tva virudDasya
   saṃhatatvasyā'pādakatvādviruddhatvaṃ saṅghātatvahetoriti bhāvaḥ /	saMhata tvasyAH apAdaka tvAt virudDa tvam saFGAta tva hetoH iti BAvaH /
   hetorubhayaviśeṣaviruddhatvaṃ ca netyanvayaḥ / aviruddhatvamupapādayati	hetoH uBaya viSeza virudDa tvam ca na iti anvayaH / avirudDa tvam upapAdayati
   ahaṅkāre tyādinā / ahaṅkāravṛttau satyāmevendriyāṇāṃ manaḥparyantānāṃ	ahaFkAre tyAdinA / ahaFkAra vRttO satyAm eva indriyANAm manaH paryantAnAm
   vṛtterdarśanāttadabhāve ca svāpe 'darśanādāhaṅkārikatvaṃ teṣāmavasīyate /	vRtteH darSanAt tad aBAve ca svApe adarSana Ada ahaFkArika tvam tezAm avasIyate /
   tatrāpi sattvaṅkāryalāghavaprakāśayogātsātvikāhaṅkārakāryatvamiti bhāvaḥ /	tatra api sattvaFkArya lAGava prakASa yogAt sAtvika ahaFkAra kArya tvam iti BAvaH /
   āgamaśca devā vaikārikā daśa, ekādaśaṃ manaśce ti smṛtirūpaḥ /	AgamaH ca devAH vEkArikAH daSa, ekAdaSam manaH ce ti smRti rUpaH /
   devāḥ indriyāṇi prakāśayogāddevādhiṣṭhitatvādvā / vaikārikasya	devAH indriyANi prakASa yogAt deva aDizWita tvAt vA / vEkArikasya
   sāttvikāhaṅkārasyeme kāryabhūtā iti vaikārikāḥ /	sAttvika ahaFkArasya ime kArya BUtAH iti vEkArikAH /
   apavādānupapatteḥ bādhanānupapatteḥ / saṅghātatvasyānuhaṅkārikatvena na	apavAda anupapatteH bADana anupapatteH / saFGAta tvasya anuhaFkArika tvena na
   vyāptiḥ / traiguṇyātmakasyendriyajātasyā'haṅkārikatvena	vyAptiH / trEguNya Atmakasya indriya jAtasyA ahaFkArika tvena
   pramāṇapratipannatvenānaikāntyāditi bhāvaḥ / pakṣaviśeṣaviruddhatvaṃ	pramANa pratipanna tvena anEkAntyAt iti BAvaH / pakza viSeza virudDa tvam
   parihṛtyasādhyaviśeṣaviruddhatvaṃ pariharati	parihRti asADya viSeza virudDa tvam pariharati
   ātmanastvi ti / aprayojakatvācce ti / asaṃhatasyāpyātmanaścetanatvādeva	AtmanaH tvi ti / aprayojaka tvAt ce ti / asaMhatasya api AtmanaH cetana tvAt eva
   bhoktṛtvasyopapatteḥ bhoktatvalakṣaṇe paratve prādhānye	BoktR tvasya upapatteH Boktatva lakzaNe paratve prADAnye
   saṅghātatvasyāprayojakatvamiti bhāvaḥ / yadi saṅghātatvasya paratve	saFGAta tvasya aprayojaka tvam iti BAvaH / yadi saFGAta tvasya paratve
   prayojakatvaṃ syāttarhi saṃhataparārthatvena vyāptiḥ sambhavennāma	prayojaka tvam syAt tarhi saMhata para arTa tvena vyAptiH samBavet nAma
   saṅghātatvasya / vyāptibalādanekasaṅghātakalpanāpi soḍhavyā bhavet / na	saFGAta tvasya / vyApti balAt aneka saFGAta kalpanA api soXavyA Bavet / na
   caivam / tathā ca saṃhataparārthatve saṅghātatvasya vyāpyatvāsiddhatvamiti	ca evam / taTA ca saMhata para arTa tve saFGAta tvasya vyApya tva asidDatvam iti
   hārdam / saṅghātaparatvenānumitasyātmanaḥ saṅghātatvaṃ	hArdam / saFGAta paratvena anumitasya AtmanaH saFGAta tvam
   yogyānupalabdhibādhitañceti bodhyam / saṅghātatvasya parārthatvena	yogyA an upalabDi bADitaQca iti boDyam / saFGAta tvasya parArTa tvena
   vyāptistu pramāṇāntaravirodhābhāvātprasetsyatītyāha na ca pramāṇāntare ti	vyAptiH tu pramANa antara viroDa aBAvAt prasetsyati iti Aha na ca pramANa antare ti
   / saṅghātaparārthatvānumānenātmāsiddhiṃ nigamayati evaṃ ce ti /	/ saFGAta para arTatva anumAnena Atma asidDim nigamayati evam ce ti /
   saṅghātatvavyāpakaparārthatvavatsattvādiguṇatrayatatkāryarahita iti	saFGAta tva vyApaka para arTa tva vat sattva Adi guNatraya tatkArya rahitaH iti
   saṃhatatve tyāderarthaḥ / parasya saṃhatatve 'navasthāprasakteḥ	saMhata tve tyAdeH arTaH / parasya saMhata tve anavasTA prasakteH
   traiguṇyaviparyayaḥ atraiguṇyātmakatvarūpo mantavya ityuktam asaṃhata iti	trEguNya viparyayaH atrEguNya Atmaka tva rUpaH mantavyaH iti uktam asaMhataH iti
   / triguṇādiviparyayādityantaḥ kārikāṃśo vivṛtaḥ /	/ triguNa Adi viparyayAt iti antaH kArika aMSaH vivRtaH /
   athādhiṣṭhānādityaṃśaṃ vivṛṇoti tathā dehādaya iti /	aTa aDizWAnAt iti aMSam vivRNoti taTA deha AdayaH iti /
   sukhaduḥkhamohātmakatayā sukhādyātmakasattvādisaṅghātarūpatayā /	suKa duHKa moha Atmaka tayA  suKa Adi Atmaka sattva Adi saFGAta rUpa tayA /
   pareṇa svabhinnena cetanena / adhiṣṭhīyante kāryānuguṇatayā preryante /	pareNa  sva Binnena cetanena / aDizWIyante  kArya anuguNa tayA preryante /
   yantrādibhiḥ sārathiprabhṛtibhiḥ / bhoktṛbhāvādityetadvivṛṇoti api	yantra AdiBiH sAraTi praBRtiBiH / BoktR BAvAt iti etat vivRNoti api
   cānukūle ti / anukūlanīyaḥ anukūlabuddhibhāk /	ca anukUle ti / anukUlanIyaH  anukUla budDi BAj /
   anukūlavedanīyaḥ anukūlatvaprakārakabuddhiviṣayaḥ / evaṃ	anukUla vedanIyaH  anukUla tva prakAraka budDi vizayaH / evam
