   Udīcya Śyāmilaka: Pāḍatāḍitaka	UdIcya ŚyAmilaka: PAxa-tAxitaka
   (d) ibhyāntaḥpurasundarīkararuhakṣepāḥ samāsvāditāḥ	(d) iByA-antaHpura-sundarI-kararuha-kzepAH samAsvAditAH
   yāvad enam upasarpāmi (upetya) kiṃ brāvīṣi -	yAvat enam upasarpAmi (upetya) kim brAvIzi -
   139 (a) jaghanarathanitambavaijayantī	139 (a) jaGana-raTa-nitamba-vEjayantI
   (b) surataraṇavyatiṣaṅgayogavīṇā	(b) sura-taraNa-vyatizaFga-yoga-vINA
   (c) kva ca maṇiraśanā varāṅganānāṃ	(c) kva ca maNi-raSanA vara-aFganAnAm
   (d) kva ca caraṇāv aśubhasya gardabhasya iti	(d) kva ca caraNO aSuBasya gardaBasya iti
   (parivartakena) ayam idānīṃ dākṣiṇātyaḥ kavir āryakaḥ prāyaścittam	(parivartakena) ayam idAnIm dAkziNAtyaH kaviH AryakaH prAyaScittam
   upadiśati kiṃ bravīṣi -	upadiSati kim bravIzi -
   140 (a) vibhramāceṣṭitenaiva	140 (a) viBrama-Acezwitena-eva
   dṛṣṭikṣepeṇa bhūyasā	dRzwi-kzepeNa BUyasA
   (b) śiraḥ karṇotpalenāsya	(b) SiraH karNa-utpalena-asya
   [p.137] (d) tāḍyatāṃ mattayā tayā iti	[p.137] (d) tAxyatAm mattayA tayA iti
   etad api pratihatam anena gāndhārakeṇa hastimūrkheṇa kim idam ucyate	etat api pratihatam anena gAnDArakeNa hasti-mUrKeNa kim idam ucyate
   bhavatā -	BavatA -
   l41 (a) nakhavilikhitaṃ karṇe nāryā niveśitabandhanaṃ	l41 (a) naKa-viliKitam karNe nAryAH niveSita-banDanam
   (b) khacitaśabalaṃ dṛṣṭikṣepair apāṅgavilambibhiḥ	(b) Kacita-Sabalam dRzwi-kzepEH apAFga-vilambiBiH
   (c) yadi narapaśor asyedaṃ bhoḥ śirasy abhipātyate	(c) yadi nara-paSoH asya-idam BoH Sirasi aBipAtyate
   (d) surabhirajasā prāyaścittaṃ kim asya bhaviṣyati iti	(d) suraBi-H-ajasA prAyaScittam kim asya Bavizyati iti
   bāḍham evam etad iti pratipannā viṭamukhyāḥ (parivartakena) imāv aparau	bAXam evam etat iti pratipannAH viwa-muKyAH (parivartakena) imO aparO
   mām āhvayataḥ	mAm AhvayataH
   142 (a) guptamaheśvaradattau	142 (a) gupta-maheSvaradattO
   suhṛdāv ekāsanasthitāv etau	suhRdO eka-Asana-sTitO etO
   (b) upagatakāvyapratibhau	(b) upagata-kAvya-pratiBO
   vararucikāvyānusāreṇa	vararuci-kAvya-anusAreNa
   yāvad upasarpāmi (upasṛtya) haṇḍe guptaromaśa, kim āha bhavān -	yAvat upasarpAmi (upasRtya) haNxe gupta-romaSa, kim Aha BavAn -
   143 (a) pādaprakṣālanenāsyāḥ	143 (a) pAda-prakzAlanena-asyAH
   śiraḥ prakṣālyatām iti	SiraH prakzAlyatAm iti
   katham etad api pratiṣiddhaṃ traividyavṛddhair atisuhṛdbhir anugṛhītanāmnā	kaTam etat api pratizidDam trEvidya-vRdDEH ati-suhRdBiH anugRhIta-nAmnA
   maheśvaradattena	maheSvara-dattena
   (b) pādaprakṣālanaṃ tasyāḥ	(b) pAda-prakzAlanam tasyAH
   pātum apy eṣa nārhati iti	pAtum api eza na-arhati iti
   [p.138] ayam aparo 'smatsuhṛt sauvīrako vṛddhaviṭaḥ svacchandasmitodagrayā	[p.138] ayam aparaH asmad-suhRd sOvIrakaH vRdDa-viwaH svacCanda-smita-udagrayA
   vācā mantrayate kim āha bhavān -	vAcA mantrayate kim Aha BavAn -
   144 (a) nirbhūṣaṇāvayavacārutarāṅgayaṣṭiṃ	144 (a) nirBUzaNa-avayava-cAru-tara-aFga-yazwim
   (b) snānārdramuktajaghanasthitakeśahastām	(b) snAna-Ardra-mukta-jaGana-sTita-keSa-hastAm
   (c) tām ānayāmy aham ayaṃ tu dadhātu tasyāḥ	(c) tAm AnayAmi aham ayam tu daDAtu tasyAH
   (d) netraprabhāśabalamaṇḍalam ātmadarśam iti	(d) netra-praBASa-bala-maNxalam Atma-darSam iti
   idam api pratiṣiddham anena kavinā dāśerakeṇa rudravarmaṇā kiṃ bravīṣi -	idam api pratizidDam anena kavinA dASerakeNa rudravarmaNA kim bravIzi -
   l45 (a) vidvān ayaṃ mahati kokikule prasūto	l45 (a) vidvAn ayam mahati koki-kule prasUtaH-
   (b) mantrādhikārasacivo nṛpasattamasya	(b) mantra-aDikAra-sacivaH nRpa-sattamasya
   (c) veśyāṅganācaraṇapātarajo'vadhūtān	(c) veSyA-aFganA-caraNa-pAta-rajaH-avaDUtAn
   (d) keśān na dhārayitum arhati muṇḍyatāṃ sa iti	(d) keSAn na DArayitum arhati muNxyatAm saH iti
   eṣa khalv anugṛhīto 'smīty uktvā viṣṇunāgo vijñāpayati kiṃ kila sadānandam	eza Kalu anugRhItaH asmi-iti uktvA vizNu-nAgaH vijQApayati kim kila sadAnandam
   idaṃ dāsīpadanyāsadharṣitaṃ śiro vicchinnam icchāmi prāg eva tu	idam dAsI-pada-nyAsa-Darzitam SiraH vicCinnam icCAmi prAk eva tu
   śiroruhāṇīti katham etad apy asya pratihatam anena viṭamahattareṇa	SiroruhANi-iti kaTam etat api asya pratihatam anena viwa-mahattareNa
   bhaṭṭijīmūtena kim āha bhavān -	Bawwi-jImUtena kim Aha BavAn -
   146 (a) skhalitavalayaśabdair añcitabhrūlatānāṃ	146 (a) sKalita-valaya-SabdEH aQcita-BrU-latAnAm
   (b) khacitanakhamayūkhair aṅgulīyaprabhābhiḥ	(b) Kacita-naKa-mayUKEH aFgulIya-praBABiH
   (c) kisalayasukumāraiḥ pāṇibhiḥ sundarīṇāṃ	(c) kisalaya-sukumArEH pANiBiH sundarINAm
   (d) suciram anabhimṛṣṭān dhārayatv eṣa keśān	(d) su-ciram anaBimRzwAn DArayatu eza keSAn
   api cedam asya prāyaścittaṃ śrūyatām	api ca-idam asya prAyaScittam SrUyatAm
   147 (a) tasyā madālasavighūrṇitalocanāyāḥ	147 (a) tasyAH mada-alasa-viGUrNita-locanAyAH
   (b) śroṇyarpitaikakarasaṃhatamekhalāyāḥ	(b) SroNi-arpita-eka-kara-saMhata-meKalAyAH
   [p.139] (c) sālaktakena caraṇena sanūpureṇa	[p.139] (c) sa-alaktakena caraNena sa-nUpureNa
   ( d) paśyatv ayaṃ śirasi mām anugṛhyamāṇam iti	( d) paSyatu ayam Sirasi mAm anugRhyamANam iti
   ete viṭāḥ sādhuvādānuyātrā etad eva prāyaścittam iti vādinaḥ saṃbhāvayanti	ete viwAH sADu-vAda-anuyAtrA etat eva prAyaScittam iti vAdinaH saMBAvayanti
   viṭamahattaraṃ bhaṭṭijīmūtam eṣa sarvathānugṛhīto 'smīty uktvā prasthitas	viwa-mahattaram Bawwi-jImUtam eza sarvaTA-anugRhItaH asmi-iti uktvA prasTitas
   tauṇḍikokir viṣṇunāgaḥ eṣa mām āhvayati viṭamahattaro bhaṭṭijīmūtaḥ ayam	tONxikokiH vizNu-nAgaH eza mAm Ahvayati viwa-mahattaraH Bawwi-jImUtaH ayam
   asmi kim āha bhavān - anuṣṭhitam idam kiṃ te bhūyaḥ priyam upaharāmīti	asmi kim Aha BavAn  anuzWitam idam kim te BUyas priyam upaharAmi-iti
   bhoḥ śrūyatām	BoH SrUyatAm
   148 (a) kuṭṭinyaś caturakathā bhavantv arogā	148 (a) kuwwinyaH catura-kaTA Bavantu arogA
   (b) dhūrtānām adhikaśatāḥ paṇā bhavantu	(b) DUrtAnAm aDika-SatAH paNAH Bavantu
   (c) bhūyāsuḥ priyaviṭasaṃgamāḥ pure 'smin	(c) BUyAsuH priya-viwa-saMgamAH pure asmin
   (d) vārastrīpraṇayamahotsavāḥ pradoṣāḥ	(d) vAra-strI-praNaya-mahA-utsavAH pradozAH
   (niṣkrānto viṭaḥ) iti kaver udīcyasya viśveśvaradattaputra-	(nizkrAntaH viwaH) iti kaveH udIcyasya viSveSvara-datta-putra-
   syāryaśyāmilakasya kṛtiḥ pādatāḍitakaṃ nāma bhāṇaḥ samāptaḥ //	sya-Arya-SyAmilakasya kRtiH pAdatAxitakam nAma BANaH samAptaH //
