   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   | tathā ca sati sarvathā gamyagamakabhāvaḥ prāpnoti | agneḥ	| taTA ca sati sarvaTA gamya gamaka BAvaH prApnoti | agneH
   sāmānyadharmavad viśeṣadharmā api tārṇapārṇādayo gamyāḥ syuḥ | dhūmasyāpi	sAmAnya Darma vat viSeza DarmAH api tArNa pArNa AdayaH gamyAH syuH | DUmasya api
   viśeṣadharmavad dravyatvapārthivatvādayo 'pi sāmānyadharmā gamakā bhaveyuḥ	viSeza Darma vat dravya tva pArTiva tva AdayaH api sAmAnya DarmA gamakAH BaveyuH
   | kutaḥ? sarvathājanyajanakabhāvāt | janyajanakabhāvo hi kāryakāraṇabhāva	| kutas ? sarvaTA janya janaka BAvAt | janya janaka BAvaH hi kArya kAraNa BAva
   ucyate | sa ca nāgnidhūmayor aṃśena api tu sarveṇa prakāreṇa | tathā hi   	ucyate | sa ca na agni DUmayoH aMSena api tu sarveNa prakAreNa | taTA hi   
   yathā agnir agnitvadravyatvasatvādibhiḥ sāmānyadharmair janakaḥ tathā	yaTA agniH agni tva dravya tva satva AdiBiH sAmAnya DarmEH janakaH taTA
   tārṇapārṇatvādibhir viśeṣadharmair api, yathā ca dhūmo	tArNa pArNa tva AdiBiH viSeza DarmEH api, yaTA ca DUmaH 
   dhūmatvapāṇḍutvādibhiḥ svaniyatair viśeṣadharmair janyaḥ tathā [S. 145b.]	DUma tva pANxu tva AdiBiH sva niyatEH viSeza DarmEH janyaH taTA [S. 145b.]
   sāmānyadharmair api sattvadravyatvādibhiḥ | tataś ca yathā tayoḥ	sAmAnya DarmEH api sattva dravya tva AdiBiH | tatas ca yaTA tayoH
   kāryakāraṇabhāvaḥ tathaiva gamyagamakabhāvaḥ prāpnoti, tasyaiva	kArya kAraNa BAvaH taTA eva gamya gamaka BAvaH prApnoti, tasya eva
   tannibandhanatvād iti pūrvapakṣāśaṅkā | atrāha    na	tad nibanDana tvAt iti pUrva pakza ASaFkA | atra Aha   na
   sarvathājanyajanakabhāvaḥ tataś ca kutas tathā gamyagamakabhāvaḥ syāt? |	sarvaTA janya janaka BAvaH tatas ca kutas taTA gamya gamaka BAvaH syAt? |
   kasmāt? iti cet, {p. 151.1} tadbhāve teṣāṃ tārṇapārṇatvādīnāṃ	kasmAt? iti cet, {p. 151.1} tad BAve tezAm tArNa pArNa tva AdInAm
   viśeṣadharmāṇām abhāve bhavato dhūmamātrasya tebhya eva viśeṣadharmebhyo	viSeza DarmANAm aBAve BavataH DUma mAtrasya teByaH eva viSeza DarmeByaH 
   bhavatīti evam ātmanaḥ tadutpattiniyamasyābhāvāt | tathā tadabhāve	Bavati iti evam AtmanaH tad utpatti niyamasya aBAvAt | taTA tad aBAve
   agnyabhāve bhavato dravyatvādeḥ [T. 313a.] sāmānyadharmasyāgner evāyaṃ	agni aBAve BavataH dravya tva AdeH [T. 313a.] sAmAnya Darmasya agneH eva ayam
   bhavatīty evaṃrūpasya tadutpattiniyamasyābhāvāt kutaḥ sarvathā	Bavati iti evaMrUpasya tad utpatti niyamasya aBAvAt kutas sarvaTA
   janyajanakabhāvaḥ?, yataḥ sarvathā gamyagamakabhāvaḥ syāt | na hy asati	janya janaka BAvaH?, yatas sarvaTA gamya gamaka BAvaH syAt | na hi asati
   tadutpattiniyame janyajanakabhāvo vyavasthāpayituṃ yuktaḥ[579]| yata evaṃ	tad utpatti niyame janya janaka BAvaH vyavasTApayitum yuktaH[579]| yatas evam
   tasmāt kāryaṃ dhūmādikaṃ svabhāvair yāvadbhir dhūmatvādibhiḥ svagataiḥ |	tasmAt kAryam DUma Adikam svaBAvEH yAvadBiH DUma tva AdiBiH sva gatEH |
   itthambhūtalakṣaṇā ca tṛtīyā | avinābhāvi vinā na bhavati | kair vinā na	itTam BUta lakzaNA ca tRtIyA | avinABAvi vinA na Bavati | kEH vinA na
   bhavati? | `kāraṇe yāvadbhiḥ svabhāvaiḥ' ity atrāpi sambadhyate |	Bavati? | `kAraNe yAvadBiH svaBAvEH a iti atra api sambaDyate |
   kāraṇāśritair yāvadbhiḥ [S. 146a.] svabhāvair vinā te kāryagatāḥ svabhāvā	kAraNa ASritEH yAvadBiH [S. 146a.] svaBAvEH vinA te kArya gatAH svaBAvA
   na bhavanti hetuḥ tais teṣām iti gamyate | kva avinābhāvi? | kāraṇe	na Bavanti hetuH tEH tezAm iti gamyate | kva avinABAvi? | kAraNe
   kāraṇaviṣaye aparo 'rthaḥ kāraṇe ādhārasaptamī | idānīṃ kāraṇasthaiḥ	kAraNa vizaye aparaH arTaH kAraNe ADArasaptamI | idAnIm kAraNa sTEH
   svabhāvair yāvadbhir agnitvadravyatvādibhir avinābhāvi teṣāṃ kāraṇagatānāṃ	svaBAvEH yAvadBiH agni tva dravya tva AdiBiH avinABAvi tezAm kAraNa gatAnAm
   sāmānyadharmāṇāṃ hetuḥ kāryaṃ gamakam | kasmāt? ity āha   	sAmAnya DarmANAm hetuH kAryam gamakam | kasmAt? iti Aha   
   tatkāryatvaniyamāt teṣām eva kāraṇagatānāṃ sāmānyadharmāṇāṃ tat kāryam ity	tad kAryatva niyamAt tezAm eva kAraNa gatAnAm sAmAnya DarmANAm tat kAryam iti 
   evaṃrūpasya niyamasya sadbhāvāt | na hi tān sāmānyadharmān kadācid api	evaMrUpasya niyamasya sadBAvAt | na hi tAn sAmAnya DarmAn kadAcid api
   kāryaṃ vyabhicarati |	kAryam vyaBicarati |
   evaṃkāraṇagatam aṃśaṃ pāścātyenārthena[580]nirūpya	evaMkAraNa gatam aMSam pAScAtyena arTena[580]nirUpya
   prāktanenārthena^2 kāryagatam aṃśaṃ nirūpayann āha    tair eva ca ityādi |	prAktanena arTena^2 kArya gatam aMSam nirUpayan Aha   tEH eva ca ityAdi |
   kāryam api tair eva dharmaiḥ [T. 313b.] svagataiḥ kāraṇagatānāṃ dharmāṇāṃ	kAryam api tEH eva DarmEH [T. 313b.] sva gatEH kAraNa gatAnAm DarmANAm
   gamakam yathā 'ntarā sambhavino	gamakam yaTA antarA samBavinaH 
   dhūmatvapāṇḍupārṇatvādayo[581]viśeṣarūpāstaiḥ kāraṇagataiḥ sāmānyadharmair	DUma tva pANxu pArNa tvAt ayaH [581] viSeza rUpAH tEH kAraNa gatEH sAmAnya DarmEH 
   vinā na bhavanti | atrāpi `tatkāryatvaniyamāt' ity apekṣyate | teṣām eva	vinA na Bavanti | atra api `tad kArya tva niyamAt a iti apekzyate | tezAm eva
   kāryagatānāṃ viśeṣadharmāṇāṃ kāraṇagatasāmānyadharmāpekṣayā	kArya gatAnAm viSeza DarmANAm kAraNa gata sAmAnya Darma apekzayA
   kāryatvaniyamāt | na hi te viśeṣadharmāḥ kāryagatāḥ [S. 146b.]	kAryatva niyamAt | na hi te viSeza DarmAH kArya gatAH [S. 146b.]
   kāraṇasthasāmānyadharmair vinā kadācid api bhavanti | tatas teṣām eva	kAraNa sTa sAmAnya DarmEH vinA kadAcid api Bavanti | tatas tezAm eva
   kāryatvaniyamaḥ, nānyeṣāṃ {p. 152.1} dravyatvādīnāṃ	kAryatva niyamaH, na anyezAm {p. 152.1} dravya tva AdInAm
   kāraṇasthasāmānyadharmair vinā bhavatām | tad evaṃ kāraṇasya sāmānyadharmā	kAraNa sTa sAmAnya DarmEH vinA BavatAm | tat evam kAraNasya sAmAnya DarmA
   eva gamyā na viśeṣadharmāḥ, kāryasyāpi viśeṣadharmā eva gamakā na	eva gamyAH na viSeza DarmAH, kAryasya api viSeza DarmAH eva gamakAH na
   sāmānyadharmāḥ, tatkāryatvaniyamāt | ye tu kāraṇasya viśeṣadharmā yais	sAmAnya DarmAH, tad kAryatva niyamAt | ye tu kAraNasya viSeza DarmA yEH 
   tatkāryatvaniyamaḥ kāryamātrasya nāstīti na te gamyāḥ | ye ca kāryasya	tad kAryatva niyamaH kArya mAtrasya na asti iti na te gamyAH | ye ca kAryasya
   sāmānyadharmā dravyatvādayas teṣām api tatkāryatvaniyamābhāvād eva	sAmAnya DarmAH dravya tva AdayaH tezAm api tad kAryatva niyama aBAvAt eva
   gamakatvaṃ nāstīti kāryakāraṇabhāvena gamakatve kutaḥ sarvathā	gamaka tvam na asti iti kArya kAraNa BAvena gamaka tve kutas sarvaTA
   gamyagamakabhāvaḥ pareṣām iva prasajyeta? |	gamya gamaka BAvaH parezAm iva prasajya ita? |
   __________NOTES__________	__________NOTEH __________
   [577] p. 18.21	[577] p. 18.21
   [578]  nā prāk yaḥ    T.	[578]  nA prAk yaH   T.
   [579] śakyaḥ    T.	[579] SakyaH   T.
   [580]  nārthinā    T.	[580]  na arTinA   T.
   [581] pāṇḍutvapārṇa    T.	[581] pANxu tvapa arNaH   T.
   [ § 2. janyajanakabhāvasya sarvathā sattve 'pi gamyagamakabhāvasya na	[ § 2. janya janaka BAvasya sarvaTA sattve api gamya gamaka BAvasya na
   tathātvam |]	taTAtvam |]
   parasyāniṣṭāpādanam āśaṅkyāha    aṃśena ityādi | yadi hi kāraṇasya	parasya anizwa ApAdanam ASaFkya Aha   aMSena ityAdi | yadi hi kAraNasya
   sāmānyadharmā eva gamyāḥ kāryasyāpi viśeṣadharmā eva gamakāḥ	sAmAnya DarmAH eva gamyAH kAryasya api viSeza DarmAH eva gamakAH
   tatkāryatvaniyamād iṣyante, hanta tarhy aṃśena janyajanakabhāvaḥ prāptaḥ |	tad kAryatva niyamAt izyante, hanta tarhi aMSena janya janaka BAvaH prAptaH |
   kāraṇasya sāmānyadharmā eva janakā na viśeṣadharmāḥ, kāryasyāpi	kAraNasya sAmAnya DarmAH eva janakAH na viSeza DarmAH, kAryasya api
   viśeṣadharmā eva janyā na sāmānyadharmā iti syāt | sarvathā ca	viSeza DarmAH eva janyA na sAmAnya DarmAH iti syAt | sarvaTA ca
   janyajanakabhāvo 'bhimata [T. 314a.] ity abhyupagamavirodhaḥ | etat	janya janaka BAvaH aBimataH [T. 314a.] iti aByupagama viroDaH | etat 
   pariharati    nāṃśena janyajanakabhāvaprasaṅgaḥ, niraṃśatvena vastunaḥ	pariharati   na aMSena janya janaka BAva prasaFgaH, niraMSa tvena vastunaH
   sarvātmanā tadabhyupagamāt, gamyagamakabhāvasyāpi sarvathā 'bhimatatvāt |	sarva AtmanA tad aByupagamAt, gamya gamaka BAvasya api sarvaTA aBimata tvAt |
   tad āha    tajjanya    ityādi | yadi hi kāryasya taiḥ kāraṇagatair	tat Aha   tad janyaH   ityAdi | yadi hi kAryasya tEH kAraNa gatEH 
   viśeṣadharmair janyo yo viśeṣaḥ sa grahītuṃ śakyate, tadā	viSeza DarmEH janyaH yaH viSezaH sa grahItum Sakyate, tadA
   tajjanyaviśeṣagrahaṇe 'bhimatatvāt [S. 147a.] kāraṇagataviśeṣadharmāṇāṃ	tad janya viSeza grahaNe aBimata tvAt [S. 147a.] kAraNa gata viSeza DarmANAm
   gamyatvasya | tathā liṅgaviśeṣo dhūmatvādiḥ upādhir viśeṣaṇaṃ yeṣāṃ	gamya tvasya | taTA liFga viSezaH DUma tva AdiH upADiH viSezaNam yezAm
   dravyatvādīnāṃ sāmānyānāṃ kāryagatānāṃ teṣāṃ cābhimatatvād gamakatvasya |	dravya tva AdInAm sAmAnyAnAm kArya gatAnAm tezAm ca aBimata tvAt gamaka tvasya |
   tathā hi    agurudhūmagrahaṇe bhavaty eva tadagner anumānaṃ	taTA hi   aguru DUma grahaNe Bavati eva tad agneH anumAnam
   dhūmatvaviśeṣaṇena ca dravyatvādinā 'gner anumānam | na hi sarvathā	DUma tva viSezaNena ca dravya tva AdinA agneH anumAnam | na hi sarvaTA
   janyajanakabhāvo 'stīty eva tathaiva gamyagamakabhāvo bhavati, tasya	janya janaka BAvaH asti iti eva taTA eva gamya gamaka BAvaH Bavati, tasya
   jñānāpekṣatvāt | tathā hi    na sattāmātreṇa liṅgasya gamakatvam, tasya	jQAna apekza tvAt | taTA hi   na sattA mAtreNa liFgasya gamaka tvam, tasya
   jñāpakatvāt[582]| jñāpako hi svaniścayāpekṣo jñāpyam arthaṃ jñāpayati,	jQApaka tva at[582]| jQApakaH hi sva niScaya apekzaH jQApyam arTam jQApayati,
   nānyathā | kathaṃ {p. 153.1} tarhy uktaṃ ^2tadabhāve	na anyaTA | kaTam {p. 153.1} tarhi uktam ^2tad aBAve
   bavataḥtadutpattiniyama(mā)bhāvāt[583]iti? | sarvathā	bavataHtad utpatti niyama(mA)Ba avAt[583]iti? | sarvaTA
   janyajanakabhāvābhyupagame [T. 314b.] tadabhāve bhāvasyaivābhāvād ity	janya janaka BAva aByupagame [T. 314b.] tad aBAve BAvasya eva aBAvAt iti 
   ata[h13]āha    aviśiṣta ityādi | yadi hi tajjanyaviśeṣagrahaṇarahitam	ata[h13]Aha   aviSiztaH ityAdi | yadi hi tad janya viSeza grahaNa rahitam
   aviśiṣṭaṃ kāryamātram upādīyate liṅgaviśeṣopādhirahitaṃ vā dravyādikaṃ	aviSizwam kArya mAtram upAdIyate liFga viSeza upADi rahitam vA dravya Adikam
   tadā aviśiṣṭasāmānyavivakṣāyāṃ kāraṇagataviśeṣābhāve 'pi dhūmamātrasya	tadA aviSizwa sAmAnya vivakzAyAm kAraNa gata viSeza aBAve api DUma mAtrasya
   bhāvāt tadaviśiṣṭasya ca dravyatvāder agnyabhāve 'pi bhāvād vyabhicāra iti	BAvAt tad aviSizwasya ca dravya tva AdeH agni aBAve api BAvAt vyaBicAraH iti
   sarvathā [S. 147b.] janyajanakabhāvo neṣyate, tadabhāvād gamyagamakabhāvaś	sarvaTA [S. 147b.] janya janaka BAvaH na izyate, tad aBAvAt gamya gamaka BAvaH 
   ca | na tu viśeṣavivakṣāyām, tatra vyabhicārābhāvāt | tathā hi    yadi	ca | na tu viSeza vivakzAyAm, tatra vyaBicAra aBAvAt | taTA hi   yadi
   nāma dhūmamātraṃ tārṇapārṇādiviśeṣābhāve bhavati, na tu tajjanyo viśeṣaḥ,	nAma DUma mAtram tArNa pArNa Adi viSeza aBAve Bavati, na tu tat janyaH viSezaH,
   sa yadi grahītuṃ śakyate, tadā viśeṣasya gamyatvam asty eva, niścitasyaiva	sa yadi grahItum Sakyate, tadA viSezasya gamya tvam asti eva, niScitasya eva
   liṅgatvāt | tathā yady api dravyatvasattvamātram agnyabhāve 'pi bhavati na	liFga tvAt | taTA yadi api dravya tva sattva mAtram agni aBAve api Bavati na
   tu dhūmātmakam iti tadviśiṣṭasyāvyabhicārād gamakatvam api na vāryata iti	tu DUma Atmakam iti tad viSizwasya avyaBicArAt gamaka tvam api na vAryatas iti
   __________NOTES__________	__________NOTEH __________
   [582] jñāpakāpekṣatvāt    T.	[582] jQApaka apekza tvAt   T.
   [583] p. 151.1.	[583] p. 151.1.
   [ § 3. kāryakāraṇabhāvapratīter atidurlabhatvāśaṅkāyā nirāsaḥ |]	[ § 3. kArya kAraNa BAva pratIteH ati durlaBa tva ASaFkAyAH nirAsaH |]
       atra parasya vacanāvakāśam āśaṅkyāha    kasyacit dhūmādeḥ kadācit	atra parasya vacana avakASam ASaFkya Aha   kasyacid DUma AdeH kadAcid 
   kasmiṃścit kāle kutaścit agnyādeḥ bhāve 'pi sati sarvo dhūmādiḥ tādṛśo	kasmiMScid kAle kutaScid agni AdeH BAve api sati sarvaH DUma AdiH tAdRSaH 
   yādṛśa ekadā 'gnyāder bhavan dṛṣṭaḥ tajjātīyaḥ, tathāvidhajanmā	yAdRSaH ekadA agni AdeH Bavan dRzwaH tad jAtIyaH, taTAviDa janmA
   yathāvidhāt sa eko bhavan dṛṣṭaḥ tādṛśād eva janma yasya sa |	yaTAviDAt saH ekaH Bavan dRzwaH tAdRSAt eva janma yasya sa |
   tathāvidhajanmety etat kutaḥ pramāṇād avasitam? yenocyate [T. 315a.]	taTAviDa janma iti etat kutas pramANAt avasitam? yena ucyate [T. 315a.]
   `kāryahetau kāryakāraṇabhāvasiddhinibandhanāv anvayavyatirekau' iti |	`kArya hetO kArya kAraNa BAva sidDi nibanDanO anvayavyatirekO a iti |
   tathā hi    yadi nāma pratyakṣānupalambhābhyāṃ	taTA hi   yadi nAma pratyakza anupalamBAByAm
   kasyaciddhūmasyāgnyādisāmagrīkāryatvam avagataṃ kim etāvatā 'nyasyāpi [S.	kasyacid DUmasya agni Adi sAmagrI kArya tvam avagatam kim etAvatA anyasya api [S.
   148a.] tādṛśasya tādṛśakāryatā sidhyati, tatra	148a.] tAdRSasya tAdRSa kArya tA siDyati, tatra
   tannibandhanayoḥ[584]pratyakṣānupalambhayor avyāpārāt | tatraiva hi tayor	tad nibanDanayoH [584] pratyakza anupalamBayoH avyApArAt | tatra eva hi tayoH 
   vyāpāras tasyaiva tatkāryatā bhavatu, tad anyasya tu kim āyātam? yena	vyApAraH tasya eva tad kAryatA Bavatu, tat anyasya tu kim AyAtam? yena
   tathāvidhād asya janma syāt | evaṃ hi kasyāściddhūmavyakter agnyādijanyatā	taTAviDAt asya janma syAt | evam hi kasyAScid DUma vyakteH agni Adi janya tA
   dṛṣṭeti kinna ghaṭāder api sā 'bhyupagamyate? {p. 154.1} anyatvena	dRzwA iti kin na Gawa AdeH api sA aByupagamyate? {p. 154.1} anya tvena
   viśeṣābhāvāt | ka evaṃ sati doṣaḥ? iti cet; tathā ca pramāṇābhāvena	viSeza aBAvAt | kaH evam sati dozaH? iti cet; taTA ca pramANa aBAvena
   tathāvidhajanmatvāniścayād atādṛśād api janmāśaṅkāyāṃ tādṛśasya dhūmāder	taTAviDa janma tvA niScayAt atAdRSAt api janma ASaFkAyAm tAdRSasya DUma AdeH 
   agnyādinā 'nvayavyatirekau na niścitāv iti kutaḥ kāryahetor ggamakatvam? |	agni AdinA anvaya vyatirekO na niScitO iti kutas kArya hetoH ggamaka tvam? |
   na hi yo 'smāv eko deśakālāvasthāniyato 'gniviśeṣahetuko dhūmo 'dhigataḥ	na hi yaH asmO ekaH deSa kAla avasTA niyataH agni viSeza hetukaH DUmaH aDigataH
   pratyakṣānupalambhābhyāṃ tasyaivānvayavyatirekau pratipattavyau | tasya	pratyakza anupalamBAByAm tasya eva anvaya vyatirekO pratipattavyO | tasya
   deśāntarādāv asambhavāt | kiṃ tarhi? | tādṛśasya sāmānyātmana eva	deSa antara AdO asamBavAt | kim tarhi? | tAdRSasya sAmAnya AtmanaH eva
   liṅgatvāt tasya cātathāvidhād api janmāśaṅkāyāṃ kutas tathāvidhenānvayo	liFga tvAt tasya ca ataTAviDAt api janmASaFkAyAm kutas taTAviDena anvayaH 
   vyatireko vā? | tad uktam  	vyatirekaH vA? | tat uktam  
        avasthādeśakālānāṃbhedād bhinnāsuśaktiṣu | [T. 315b.]	avasTA deSa kAlAnAMBedAt BinnAsu Saktizu | [T. 315b.]
   bhāvānām anumānena pratītir[585] atidurllabhā|| [Vākya  1.32] iti[586]|	BAvAnAm anumAnena pratItiH [585] ati durllaBA|| [VAkya 1.32] iti[586]|
       siddhāntavādy āha    na, atadbhāvinaḥ ityādi | evaṃ manyate   	sidDAnta vAdi Aha   na, atadBAvinaH ityAdi | evam manyate   
   ihaikadā dhūmāder agnyādisāmagrījanyatayā [S. 148b.]	iha ekadA DUma AdeH agni Adi sAmagrI janya tayA [S. 148b.]
   pratyakṣānupalambhābhyāṃ niścitarūpatve 'pi tādṛśasyātādṛśād api bhāvaḥ	pratyakza anupalamBAByAm niScita rUpa tve api tAdRSasya AtAdRSAt api BAvaH
   samāśaṅkyate yathāparidṛṣṭād anyatvena | tatra yo 'sāv	samASaFkyate yaTA paridRzwAt anya tvena | tatra yaH asO= 
   agnyādisāmagrījanyo dhūmaviśeṣa ekadā niścitas tadapekṣayā yathā 'nyo	agni Adi sAmagrI janyaH DUma viSezaH ekadA niScitaH tad apekzayA yaTA anyaH 
   dhūmaviśeṣas tādṛśo yo 'nyādṛśād api    bhāvānāṃ vicitraśaktitayā   	DUma viSezaH tAdRSaH yaH anyAdRSAt api   BAvAnAm vicitra Sakti tayA   
   bhaved iti śaṅkyate, tathā so 'py ekadā 'gnyādisāmagrījanyatayā niścitas	Bavet iti SaFkyate, taTA saH api ekadA agni Adi sAmagrI janya tayA niScitas
   tadanyāpekṣayā tādṛśa eva | tatra yadi tad anyasya tādṛśasyātādṛśāj janma	tad anya apekzayA tAdRSaH eva | tatra yadi tat anyasya tAdRSasya atAdRSAt janma
   syāt ^3tadā tādṛśasya[587]svabhāvasya ^4nāgnyādisāmagrījanyasvabhāvateti	syAt ^3tadA tAdRSasya[587]svaBAvasya ^4nA agni Adi sAmagrI janya svaBAva tA iti
   paridṛṣṭasyāpi[588]dhūmasya nā 'gnyādisāmagrī kāraṇam ity āyātam |	paridRzwasya api[588]DUm asya nA agni Adi sAmagrI kAraNam iti AyAtam |
   tādṛśasya svabhāvasyā 'gnyādisāmagrīvilakṣaṇakāraṇajanyasvabhāvatvāt |	tAdRSasya svaBAvasyAH agni Adi sAmagrI vilakzaNa kAraNa janya svaBAva tvAt |
   tataś cāgnyādisāmagryā akāraṇatvāt yo mayaikadā tato bhavan dṛṣṭo dhūmaḥ	tatas ca agni Adi sAmagryAH akAraNa tvAt yaH mayA ekadA tatas Bavan dRzwaH DUmaH
   so 'pi na bhavet | na hi yad yasya kāraṇaṃ na bhavati tat tataḥ sakṛd api	saH api na Bavet | na hi yat yasya kAraNam na Bavati tat tatas sakRt api
   jāyate, tasyāhetukatvaprasaṅgād iti | atadbhāvinaḥ iti tacchabdena	jAyate, tasya ahetuka tva prasaFgAt iti | atadBAvinaH iti tad Sabdena
   vivakṣitam agnyādikāraṇaṃ parigṛhyate, na tat atat, tadvilakṣaṇaṃ atādṛśaṃ	vivakzitam agni Adi kAraNam parigRhyate, na tat atat, tad vilakzaNam atAdRSam
   śakramūrddhādikam, atasmād[589]bhavituṃ [T. 316a.] śīlaṃ {p. 155.1} yasya	Sakra mUrdDa Adikam, atasmAt [589]Bavitum [T. 316a.] SIlam {p. 155.1} yasya
   tasyātadbhāvinas tādṛśasya tallakṣaṇasya dhūmavastunaḥ sakṛd api ekadā 'pi	tasya atad BAvinaH tAdRSasya tad lakzaNasya DUma vastunaH sakRt api ekadA api
   [S. 149a.] tataḥ agnyādeḥ abhāvād bhāvavirodhāt | bhavati ca tādṛśo	[S. 149a.] tatas agni AdeH aBAvAt BAva viroDAt | Bavati ca tAdRSaH 
   'gnyādisāmagrītaḥ tatas tādṛśasya svabhāvasya tādṛśam eva kāraṇam ity	agni Adi sAmagrItaH tatas tAdRSasya svaBAvasya tAdRSam eva kAraNam iti 
   avagamyate sakṛtpravṛttābhyām eva pratyakṣānupalambhābhyām iti kuto	avagamyate sakRt pravRttAByAm eva pratyakza anupalamBAByAm iti kuto
   vyabhicārāśaṅkā? | tena yādṛśo dhūmo 'gnyādisāmagryā bhavan dṛṣṭaḥ sakṛt	vyaBicAra ASaFkA? | tena yAdRSaH DUmaH agni Adi sAmagryA Bavan dRzwaH sakRt 
   tādṛśasya tasya tajjanyasvabhāvatayā tādṛśād eva bhāvāt `yatra dhūmas	tAdRSasya tasya tad janya svaBAva tayA tAdRSAt eva BAvAt `yatra DUmas
   tatrāgnyādisāmagrī' ity anvayavyatirekaniścayaḥ |	tatra agni Adi sAmagrI a iti anvaya vyatireka niScayaH |
       athavā 'nyathā vyākhyāyate    iha pratyakṣānupalambhanibandhanā	aTavA anyaTA vyAKyAyate   iha pratyakza anupalamBa nibanDanA
   kāryakāraṇabhāvasiddhiḥ prāguktā tannibandhanāv anvayavyatirekau	kArya kAraNa BAva sidDiH prAk uktA tad nibanDanO anvaya vyatirekO
   ^6pratipādayitum, tac cāyuktam[590]| tathā hi    kasyacit	^6pratipAdayitum, tat ca ayuktam [590]| taTA hi   kasyacid 
   dhūmasyāgnyādisāmagryanantarabhāvina ādyasya kadācit prathamotpādakāle	DUmasya agni Adi sAmagrI anantara BAvinaH Adyasya kadAcid praTama utpAda kAle
   kutaścid agnyādisāmagryāḥ bhāve 'pi utpāde 'pi sarvas ^7tādṛśo	kutaScid agni Adi sAmagryAH BAve api utpAde api sarvaH ^7tAdRSaH 
   yādṛśaḥ[591]prathamakṣaṇabhāvī dhūmo dvitīyādikṣaṇeṣv api tādṛśaḥ	yAdRSaH [591]praTama kzaNa BAvI DUmaH dvitIya Adi kzaNezu api tAdRSaH
   pratyakṣata eva tasya pūrvakṣaṇāvilakṣaṇatayā pratīteḥ | tathāvidhajanmā	pratyakzatas eva tasya pUrvakzaNa avilakzaNa tayA pratIteH | taTAviDa janmA
   iti yathāvidhād agnīndhanasāmagrīlakṣaṇāt kāraṇād ādyo dhūmakṣaṇa utpannas	iti yaTAviDAt agni inDana sAmagrI lakzaNAt kAraNAt AdyaH DUma kzaNaH utpannas
   tathāvidhāj janma yasya sa tathāvidhajanmety etat kutaḥ naiva tasya	taTAviDAt janma yasya sa taTAviDa janma iti etat kutas na eva tasya
   dhūmāder abhāvāt [T. 316b.] | evaṃ ca yadyato dṛṣṭaṃ tasyānyato 'pi	DUma AdeH aBAvAt [T. 316b.] | evam ca yadi atas dRzwam tasya anyatas api
