   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   pāraṃparyād apabhraṃśā Vp_1.181a	pAraMparyAt apaBraMSAH Vp_1.181a
   pārārthyasyāviśiṣṭatvān Vp_2.338a	pArArTyasya-aviSizwa-tvAn Vp_2.338a
   pikādi yad avijñātaṃ tat Vp_2.72c	pikA-Adi yat avijQAtam tat Vp_2.72c
   pitṛrakṣaḥpiśācānāṃ Vp_1.36c	pitR-rakzaH-piSAcAnAm Vp_1.36c
   pitroḥ kartṛtvam ucyate Vp_3,7.19b	pitroH kartR-tvam ucyate Vp_3,7.19b
   pītaṃ na gamayet svargaṃ Vp_1.154c	pItam na gamayet svargam Vp_1.154c
   pīyūṣāpūryamāṇāpi Vp_1.168a	pIyUza-ApUryamANA-api Vp_1.168a
   puṇyaṃ rūpaṃ prajāpateḥ Vp_1.126d	puNyam rUpam prajApateH Vp_1.126d
   putrasya janmani yathā Vp_3,7.19a	putrasya janmani yaTA Vp_3,7.19a
   punar evāvalambate Vp_3,6.19d	punar eva-avalambate Vp_3,6.19d
   punar vākye tam evārtham Vp_2.239c	punar vAkye tam eva-arTam Vp_2.239c
   punar vibhajate vaktā Vp_3,7.4c	punar viBajate vaktA Vp_3,7.4c
   punaś ca karmabhāvena Vp_3,3.45c	punar ca karma-BAvena Vp_3,3.45c
   purāṇair āgamair vinā Vp_2.490b	purANEH AgamEH vinA Vp_2.490b
   purārād iti bhinne 'rthe Vp_2.268a	purArAt iti Binne arTe Vp_2.268a
   puruṣasya viparyaye Vp_3,7.120b	puruzasya viparyaye Vp_3,7.120b
   puruṣeṇa kathaṃ ca na Vp_3,3.38b	puruzeNa kaTam ca na Vp_3,3.38b
   puruṣeṣu vyavasthitā Vp_1.126b	puruzezu vyavasTitA Vp_1.126b
   puruṣe ṣoḍaśakale Vp_1.169c	puruze zoxaSa-kale Vp_1.169c
   puṣpādiṣu tathā vākye 'py Vp_2.89c	puzpa-Adizu taTA vAkye api Vp_2.89c
   puṃvadbhāvo na sidhyati Vp_3,6.10b	puMvat-BAvaH na siDyati Vp_3,6.10b
   pūrvabuddhir yato dik sā Vp_3,6.7c	pUrva-budDiH yatas diS sA Vp_3,6.7c
   pūrvam as yeti ṣaṣṭhy eva Vp_3,6.21c	pUrvam as yA-iti zazWI eva Vp_3,6.21c
   pūrvam ity abhidhīyate Vp_3,6.9d	pUrvam iti aBiDIyate Vp_3,6.9d
   pūrvasmāt pracyutā dharmād Vp_3,1.39a	pUrvasmAt pracyutAH DarmAt Vp_3,1.39a
   pūrvasmin yā kriyā saiva Vp_3,7.17a	pUrvasmin yA kriyA sA-eva Vp_3,7.17a
   pūrvasyārthasya tena syād Vp_2.396c	pUrvasya-arTasya tena syAt Vp_2.396c
   pūrvaṃ padeṣv asaṃsṛṣṭo Vp_2.249a	pUrvam padezu asaMsRzwaH Vp_2.249a
   pūrvaṃ buddhiḥ pravartate Vp_1.93d	pUrvam budDiH pravartate Vp_1.93d
   pūrvādināṃ viparyāso Vp_3,6.22a	pUrva-AdinAm viparyAsaH Vp_3,6.22a
   pūrvādīnāṃ yathā ṣaṣṭer Vp_3,6.11c	pUrva-AdInAm yaTA zazweH Vp_3,6.11c
   pūrvāvasthām avijahat Vp_3,7.118a	pUrva-avasTAm avijahat Vp_3,7.118a
   pūrvāṃ pūrvāṃ kriyāṃ prati Vp_3,7.131b	pUrvAm pUrvAm kriyAm prati Vp_3,7.131b
   pūrveṣāṃ bahudhā matāḥ Vp_2.116d	pUrvezAm bahuDA matAH Vp_2.116d
   pūrvair arthair anugato Vp_2.415a	pUrvEH arTEH anugataH Vp_2.415a
   pṛcchyāder loḍ vidhīyate Vp_3,7.126b	pRcCya-AdeH low viDIyate Vp_3,7.126b
   pṛthaktvād bhinnalakṣaṇam Vp_3,7.39b	pRTaktvAt Binna-lakzaNam Vp_3,7.39b
   pṛthaktvena prakalpanam Vp_2.180b	pRTaktvena prakalpanam Vp_2.180b
   pṛthaktveneva vartate Vp_1.2d	pRTaktvena-iva vartate Vp_1.2d
   pṛthaktvaikatvarūpeṇa Vp_3,7.39c	pRTaktvA-ekatva-rUpeNa Vp_3,7.39c
   pṛthak pratyavabhāsante Vp_1.137c	pRTak pratyavaBAsante Vp_1.137c
   pṛthaksthitaparigrahāḥ Vp_1.21d	pRTak-sTita-parigrahAH Vp_1.21d
   pṛthag apratiṣiddhatvāt Vp_2.386c	pRTak apratizidDa-tvAt Vp_2.386c
   pṛthagarthaniveśinām Vp_2.424b	pRTak-arTa-niveSinAm Vp_2.424b
   pṛthagarthaprakalpane Vp_2.192b	pRTak-arTa-prakalpane VB-_2.192b
   pṛthagarthānupātinām Vp_2.423b	pRTak-arTa-anupAtinAm Vp_2.423b
   pṛthag bhāṣye nidarśitā Vp_3,3.51d	pRTak BAzye nidarSitAH Vp_3,3.51d
   pṛthaṅniviṣṭatattvānāṃ Vp_2.423a	pRTak-nivizwa-tattvAnAm Vp_2.423a
   pṛthivyādiṣv abhivyaktau Vp_3,1.41a	pRTivI-Adizu aBivyaktO Vp_3,1.41a
   paurvāparyavivarjite Vp_3,2.18b	pOrvAparya-vivarjite Vp_3,2.18b
   paurvāparyādirūpeṇa Vp_3,1.37c	pOrvAparya-Adi-rUpeNa Vp_3,1.37c
   prakarṣaṃ praty anarthakam Vp_3,5.7d	prakarzam prati anarTakam Vp_3,5.7d
   prakarṣe vyāpṛtaṃ yadi Vp_3,5.7b	prakarze vyApRtam yadi Vp_3,5.7b
   prakarṣo niyamābhāvāt Vp_3,5.5c	prakarzaH niyama-aBAvAt Vp_3,5.5c
   prakarṣo vidyate nāpi Vp_3,5.3c	prakarzaH vidyate na-api Vp_3,5.3c
   prakalpayati saṃnidhim Vp_2.337d	prakalpayati saMniDim Vp_2.337d
   prakāśakaprakāśyatvaṃ Vp_2.32a	prakASaka-prakASya-tvam Vp_2.32a
   prakāśakānāṃ bhedāṃś ca Vp_1.102a	prakASakAnAm BedAn ca Vp_1.102a
   prakāśate tadanyeṣāṃ Vp_2.419c	prakASate tad-anyezAm Vp_2.419c
   prakāśayati saṃnidheḥ Vp_2.301d	prakASayati saMniDeH Vp_2.301d
   prakāśaṃ yam upāsate Vp_1.19d	prakASam yam upAsate Vp_1.19d
   prakāśaḥ pravibhajyate Vp_2.7b	prakASaH praviBajyate VB-_2.7b
   prakāśāntarakāraṇam Vp_1.47b	prakASa-antara-kAraNam Vp_1.47b
   prakāśyo 'rtho 'nuvartate Vp_1.102b	prakASyaH arTaH anuvartate Vp_1.102b
   prakṛtipratyayādayaḥ Vp_2.10b	prakRti-pratyaya-AdayaH Vp_2.10b
   prakṛtipratyayādivat Vp_3,1.1d	prakRti-pratyaya-Adi-vat Vp_3,1.1d
   prakṛtipratyayārthavat Vp_3,4.1d	prakRti-pratyaya-arTa-vat Vp_3,4.1d
   prakṛtir veti saṃśaye Vp_3,7.114b	prakRtiH vA-iti saMSaye Vp_3,7.114b
   prakṛtiṃ prāṇināṃ tāṃ hi Vp_3,6.18c	prakRtim prANinAm tAm hi Vp_3,6.18c
   prakṛtiḥ pariṇāminī Vp_3,7.47b	prakRtiH pariNAminI Vp_3,7.47b
   prakṛtiḥ pratipadyate Vp_2.280b	prakRtiH pratipadyate Vp_2.280b
   prakṛtes tu vivakṣāyāṃ Vp_3,7.48a	prakRteH tu vivakzAyAm Vp_3,7.48a
   prakṛteḥ syād viparyaye Vp_3,6.19b	prakRteH syAt viparyaye Vp_3,6.19b
   prakṛtau pravilīneṣu Vp_3,1.43a	prakRtO pravilInezu Vp_3,1.43a
   prakṛtau vinivṛttāyāṃ Vp_2.229c	prakRtO vinivRttAyAm Vp_2.229c
   prakṛtyarthānuvādinaḥ Vp_2.191d	prakRti-arTa-anuvAdinaH Vp_2.191d
   prakṛtyucchedasaṃbhūtaṃ Vp_3,7.50a	prakRti-ucCeda-saMBUtam Vp_3,7.50a
   prakṛṣṭatvaṃ pratīyate Vp_1.65d	prakRzwa-tvam pratIyate Vp_1.65d
   prakramānavadhāraṇāt Vp_2.414d	prakramAnavaDAraNAt Vp_2.414d
   prakrame jātibhāgasya Vp_2.463c	prakrame jAti-BAgasya Vp_2.463c
   prakramyate tadā jñānaṃ Vp_3,3.24c	prakramyate tadA jQAnam Vp_3,3.24c
   prakramyante tathāvidhāḥ Vp_2.181d	prakramyante taTAviDAH Vp_2.181d
   prakrāntā darśanādikā Vp_2.271d	prakrAntA darSana-AdikAH Vp_2.271d
   prakrāntā pratipattṝṇāṃ Vp_2.418c	prakrAntA pratipattLNAm Vp_2.418c
   prakrāntā māṭharād vinā Vp_2.349b	prakrAntA mAWarAt vinA Vp_2.349b
   prakrānto 'rtho na gamyate Vp_3,3.25d	prakrAntaH arTaH na gamyate Vp_3,3.25d
   prakriyā jagato yataḥ Vp_1.1d	prakriyA jagataH yatas Vp_1.1d
   prakriyāyāṃ na vidyate Vp_3,6.23d	prakriyAyAm na vidyate Vp_3,6.23d
   prakṣālane śarāvāṇāṃ Vp_2.313a	prakzAlane SarAvANAm Vp_2.313a
   prakhyā tām ākṛtiṃ viduḥ Vp_3,1.19b	praKyA tAm AkRtim viduH Vp_3,1.19b
   pracayāpacayātmakaḥ Vp_1.106d	pracaya-apacaya-AtmakaH Vp_1.106d
   prajñāyā vāca eva vā Vp_3,7.109b	prajQAyAH vAcaH eva vA Vp_3,7.109b
   prajñā vivekaṃ labhate Vp_2.489a	prajQA vivekam laBate Vp_2.489a
   prajñusaṃjñvādyavayavair Vp_2.220a	prajQu-saMjQva-Adi-avayavEH Vp_2.220a
   praṇīto guruṇāsmākam Vp_2.487c	praNItaH guruNA-asmAkam Vp_2.487c
   pratikriyaṃ samāptatvād Vp_3,1.99a	pratikriyam samApta-tvAt Vp_3,1.99a
   pratidravyam avasthitam Vp_1.101d	pratidravyam avasTitam Vp_1.101d
   pratipattāv akāraṇam Vp_2.304d	pratipattO akAraNam Vp_2.304d
   pratipattinibandhanam Vp_2.443b	pratipatti-nibanDanam Vp_2.443b
   pratipattir anekadhā Vp_2.134d	pratipattiH anekaDA Vp_2.134d
   pratipattiṃ samīhate Vp_2.235b	pratipattim samIhate Vp_2.235b
   pratipattur aśaktiḥ sā Vp_1.87c	pratipattuH aSaktiH sA Vp_1.87c
   pratipattur bhavaty arthe Vp_3,3.2a	pratipattuH Bavati arTe Vp_3,3.2a
   pratipattṛṣu bhidyate Vp_2.474d	pratipattRzu Bidyate Vp_2.474d
   pratipatter upāyo 'sau Vp_2.414c	pratipatteH upAyaH asO Vp_2.414c
   pratipattau tu bhinnānām Vp_2.458c	pratipattO tu BinnAnAm Vp_2.458c
   pratipannaḥ pravartate Vp_2.130b	pratipannaH pravartate Vp_2.130b
   pratipādayatā vṛttim Vp_2.226a	pratipAdayatA vRttim Vp_2.226a
   pratipādyaṃ na tat tatra Vp_3,3.26c	pratipAdyam na tat tatra Vp_3,3.26c
   pratibandhe svatantratā Vp_3,7.150b	pratibanDe svatantra-tA Vp_3,7.150b
   pratibimbaṃ tu dṛśyate Vp_2.294d	pratibimbam tu dRSyate Vp_2.294d
   pratibimbaṃ yathānyatra Vp_1.50a	pratibimbam yaTA-anyatra Vp_1.50a
   pratibodhābhyupāyās tu Vp_2.333a	pratiboDa-aByupAyAH tu Vp_2.333a
   pratibhānyaiva jāyate Vp_2.143b	pratiBAnyA-eva jAyate Vp_2.143b
   pratibhāvaṃ vyavasthitau Vp_3,1.32b	pratiBAvam vyavasTitO Vp_3,1.32b
   pratibhās tadvatāṃ tathā Vp_2.148d	pratiBAH tadvatAm taTA Vp_2.148d
   pratibhāṃ ṣaḍvidhāṃ viduḥ Vp_2.152d	pratiBAm zaxviDAm viduH Vp_2.152d
   pratibhedaṃ pṛthak sthitāḥ Vp_2.465d	pratiBedam pRTak sTitAH Vp_2.465d
   pratibhedaṃ samāpyate Vp_2.18b	pratiBedam samApyate Vp_2.18b
   pratibhedaṃ samāpyate Vp_2.43b	pratiBedam samApyate Vp_2.43b
   pratibhedaṃ samāpyate Vp_2.395b	pratiBedam samApyate Vp_2.395b
   prativarṇam asaṃvedyaḥ Vp_2.60a	prativarNam asaMvedyaH Vp_2.60a
   prativarṇaṃ tv asau nāsti Vp_2.53c	prativarNam tu asO na-asti Vp_2.53c
   pratiśabdam avasthitaḥ Vp_2.398b	pratiSabdam avasTitaH Vp_2.398b
   pratiṣedhaprakḷptaye Vp_3,3.42b	pratizeDa-prak?ptaye Vp_3,3.42b
   pratiṣedhaḥ pravartate Vp_3,3.42d	pratizeDaH pravartate Vp_3,3.42d
   pratiṣedhopadeśane Vp_2.386b	pratizeDa-upadeSane VB-_2.386b
   pratisvatantraṃ vākyaṃ vā Vp_2.457c	pratisvatantram vAkyam vA Vp_2.457c
   pratyakṣam anumānaṃ ca Vp_1.36a	pratyakzam anumAnam ca Vp_1.36a
   pratyakṣam iva kaṃsādīn Vp_3,7.5c	pratyakzam iva kaMsa-AdIn Vp_3,7.5c
   pratyakṣaṃ pratibimbake Vp_1.102d	pratyakzam pratibimbake Vp_1.102d
   pratyakṣān na viśiṣyate Vp_1.37d	pratyakzAt na viSizyate Vp_1.37d
   pratyaṅmukhasya yat paścāt Vp_3,6.8c	pratyaFmuKasya yat paScAt Vp_3,6.8c
   pratyayasya pradhānasya Vp_3,1.91a	pratyayasya praDAnasya Vp_3,1.91a
   pratyayānteṣu lakṣyate Vp_2.212b	pratyaya-antezu lakzyate Vp_2.212b
   pratyayārthaś ca dhātubhiḥ Vp_2.229d	pratyaya-arTaH ca DAtuBiH Vp_2.229d
   pratyayārthātmaniyatāḥ Vp_2.446a	pratyaya-arTa-Atma-niyatAH Vp_2.446a
   pratyayārthā nibandhana Vp_2.231b	pratyaya-arTAH nibanDana Vp_2.231b
   pratyayāv eka eva ta Vp_2.230b	pratyayO ekaH eva te Vp_2.230b
   pratyayenābhidhīyate Vp_2.229b	pratyayena-aBiDIyate Vp_2.229b
   pratyayenābhidhīyate Vp_3,7.82b	pratyayena-aBiDIyate Vp_3,7.82b
   pratyaye hetur ucyate Vp_2.328d	pratyaye hetuH ucyate Vp_2.328d
   pratyayair anupākhyeyair Vp_1.85a	pratyayEH anupAKyeyEH Vp_1.85a
   pratyayotpattihetavaḥ Vp_1.177b	pratyaya-utpatti-hetavaH Vp_1.177b
   pratyayo vācakatve 'pi Vp_2.194c	pratyayaH vAcaka-tve api Vp_2.194c
   pratyarthaṃ yataśaktayaḥ Vp_1.155b	pratyarTam yata-SaktayaH Vp_1.155b
   pratyavāye tathāvidhe Vp_2.322b	pratyavAye taTAviDe Vp_2.322b
   pratyavāyo 'bhidhīyate Vp_2.321d	pratyavAyaH aBiDIyate Vp_2.321d
   pratyastamitabhedāyā Vp_1.18a	pratyasta-mita-BedAyAH Vp_1.18a
   pratyastarūpā bhāveṣu Vp_3,6.7a	pratyasta-rUpAH BAvezu Vp_3,6.7a
   pratyākhyānaṃ samaṃ bhavet Vp_3,7.134d	pratyAKyAnam samam Bavet Vp_3,7.134d
   pratyātmavṛtti siddhā sā Vp_2.144c	pratyAtma-vRtti sidDA sA Vp_2.144c
   pratyāyayati vācakaḥ Vp_2.123b	pratyAyayati vAcakaH Vp_2.123b
   pratyāyyena kva cid bhedo Vp_2.98c	pratyAyyena kva cit BedaH Vp_2.98c
   pratyāyye 'rthe vivakṣite Vp_2.301b	pratyAyye arTe vivakzite Vp_2.301b
   pratyāvṛtti nirūpyate Vp_1.84d	pratyAvRtti nirUpyate Vp_1.84d
   pratyāśrayam avasthānaṃ Vp_2.375c	pratyASrayam avasTAnam Vp_2.375c
   pratyāśrayaṃ samāptāyāṃ Vp_3,1.62a	pratyASrayam samAptAyAm Vp_3,1.62a
   pratyekam avatiṣṭhate Vp_2.222b	pratyekam avatizWate Vp_2.222b
   pratyekam avatiṣṭhate Vp_2.457b	pratyekam avatizWate Vp_2.457b
   pratyekaṃ tu samāpto 'rthaḥ Vp_2.115c	pratyekam tu samAptaH arTaH Vp_2.115c
   pratyekaṃ pratipadyante Vp_2.377c	pratyekam pratipadyante Vp_2.377c
   pratyekaṃ pravibhajyate Vp_2.222d	pratyekam praviBajyate Vp_2.222d
   pratyekaṃ vā bahutvena Vp_2.472c	pratyekam vA bahu-tvena Vp_2.472c
   pratyekaṃ vā samastair vā Vp_2.387c	pratyekam vA samastEH vA Vp_2.387c
   pratyekaṃ vā samāpyate Vp_2.471b	pratyekam vA samApyate Vp_2.471b
   pratyekaṃ vyañjakā bhinnā Vp_1.91a	pratyekam vyaQjakAH BinnA Vp_1.91a
   pratyekaṃ saṃhatānāṃ ca Vp_2.385c	pratyekam saMhatAnAm ca Vp_2.385c
   pratyekaṃ syād vikalpanam Vp_3,1.76b	pratyekam syAt vikalpanam Vp_3,1.76b
   prathamaṃ chandasām aṅgam Vp_1.11c	praTamam CandasAm aFgam Vp_1.11c
   prathamāṃ tāṃ pracakṣate Vp_3,6.13d	praTamAm tAm pracakzate Vp_3,6.13d
   pradeśasyaikadeśaṃ vā Vp_3,3.52a	pradeSasya-eka-deSam vA Vp_3,3.52a
   pradeśeṣūpatiṣṭhate Vp_1.70d	pradeSezu-upatizWate Vp_1.70d
   pradhānakarma kathitaṃ Vp_3,7.71a	praDAna-karma kaTitam Vp_3,7.71a
   pradhānatvaṃ na hīyate Vp_3,7.162d	praDAna-tvam na hIyate Vp_3,7.162d
   pradhānam anurudhyate Vp_3,7.81d	praDAnam anuruDyate Vp_3,7.81d
   pradhānaviṣayā śaktiḥ Vp_3,7.82a	praDAna-vizayA SaktiH Vp_3,7.82a
   pradhānasya prasiddhaye Vp_3,7.92d	praDAnasya prasidDaye Vp_3,7.92d
   pradhānaṃ bhavati kriyā Vp_3,1.83d	praDAnam Bavati kriyA Vp_3,1.83d
   pradhānaṃ syāt prayojitam Vp_3,1.84d	praDAnam syAt prayojitam Vp_3,1.84d
   pradhānāni parasparam Vp_2.352b	praDAnAni parasparam Vp_2.352b
   pradhānāntarasiddhaye Vp_3,1.88b	praDAna-antara-sidDaye Vp_3,1.88b
   pradhānetarayor yatra Vp_3,7.81a	praDAna-itarayoH yatra Vp_3,7.81a
   pradhāne 'py upayujyate Vp_3,7.157d	praDAne api upayujyate Vp_3,7.157d
   pradhāne yāti śeṣatām Vp_3,7.162b	praDAne yAti Seza-tAm Vp_3,7.162b
   pradhāne yānti kartṛtām Vp_3,7.21d	praDAne yAnti kartR-tAm Vp_3,7.21d
   pramāṇatvena tāṃ lokaḥ Vp_2.147a	pramANa-tvena tAm lokaH Vp_2.147a
   pramāṇam ardhahrasvādāv Vp_2.307c	pramANam arDa-hrasva-AdO Vp_2.307c
   pramāṇādīva śiṣyate Vp_3,1.4b	pramANa-Adi-iva Sizyate Vp_3,1.4b
   pramāṇādyanuśāsanam Vp_3,1.5d	pramANa-Adi-anuSAsanam Vp_3,1.5d
   prayatnena samīritāḥ Vp_1.114b	prayatnena samIritAH Vp_1.114b
   prayoktā pratipattā vā Vp_3,3.19c	prayoktA pratipattA vA Vp_3,3.19c
   prayoktā mṛgapakṣiṇām Vp_2.150d	prayoktA mRga-pakziNAm Vp_2.150d
   prayoktṝṇāṃ vivakṣitaḥ Vp_2.434b	prayoktLNAm vivakzitaH Vp_2.434b
   prayoktaivābhisaṃdhatte Vp_2.432a	prayoktA-eva-aBisaMDatte Vp_2.432a
   prayoktrā pratipāditāḥ Vp_2.475d	prayoktrA pratipAditAH Vp_2.475d
   prayogakālābhede 'pi Vp_2.465c	prayoga-kAla-aBede api Vp_2.465c
   prayogadarśanābhyāsād Vp_2.120a	prayoga-darSana-aByAsAt Vp_2.120a
   prayogamātre nyagbhāvaṃ Vp_3,7.123a	prayoga-mAtre nyagBAvam Vp_3,7.123a
   prayogas tv anuniṣpādī Vp_2.124c	prayogaH tu anunizpAdI Vp_2.124c
   prayogād abhisaṃdhānam Vp_2.410a	prayogAt aBisaMDAnam Vp_2.410a
   prayogārheṣu siddhaḥ san Vp_2.183a	prayoga-arhezu sidDaH san Vp_2.183a
   prayoge tantralakṣaṇaḥ Vp_2.474b	prayoge tantra-lakzaNaH Vp_2.474b
   prayoge bhidyate śrutiḥ Vp_2.469d	prayoge Bidyate SrutiH Vp_2.469d
   prayoge samavasthitau Vp_2.467b	prayoge samavasTitO Vp_2.467b
   prayogo vinivartate Vp_2.160d	prayogaH vinivartate Vp_2.160d
   prayojakam idaṃ teṣām Vp_2.81c	prayojakam idam tezAm Vp_2.81c
   prayojako 'rthaḥ śabdasya Vp_2.303c	prayojakaH arTaH Sabdasya Vp_2.303c
   pravādā bahudhāgatāḥ Vp_1.8d	pravAdAH bahuDA-AgatAH Vp_1.8d
   pravādeṣv anavasthitaḥ Vp_1.110d	pravAdezu anavasTitaH Vp_1.110d
   pravibhaktam iva sthitam Vp_3,1.37d	praviBaktam iva sTitam Vp_3,1.37d
   pravibhaktaṃ vivakṣayā Vp_2.130d	praviBaktam vivakzayA Vp_2.130d
   pravibhaktuṃ na śakyate Vp_3,3.12d	praviBaktum na Sakyate Vp_3,3.12d
   pravibhajyātmanātmānaṃ Vp_1.140a	praviBajya-AtmanA-AtmAnam Vp_1.140a
   pravibhāgaprakalpanā Vp_2.454d	praviBAga-prakalpanA Vp_2.454d
   pravibhāgas tathā sūtra Vp_2.479c	praviBAgaH taTA sUtra Vp_2.479c
   pravibhāge yathā kartā Vp_1.139a	praviBAge yaTA kartA Vp_1.139a
   pravibhāgo na kaś ca na Vp_1.74d	praviBAgaH na kaH ca na Vp_1.74d
   pravibhāgo 'nugamyate Vp_2.444b	praviBAgaH anugamyate Vp_2.444b
   pravibhāgo yathāśruti Vp_2.472d	praviBAgaH yaTASruti Vp_2.472d
   praviveke ca darśanāt Vp_3,7.102b	praviveke ca darSanAt Vp_3,7.102b
   praviveke na kalpate Vp_2.357d	praviveke na kalpate Vp_2.357d
   pravivektuṃ na śakyate Vp_2.302d	pravivektum na Sakyate Vp_2.302d
   pravṛttasyāsti vācyatā Vp_3,3.26b	pravRttasya-asti vAcya-tA Vp_3,3.26b
   pravṛttānāṃ nivartanāt Vp_3,7.101d	pravRttAnAm nivartanAt Vp_3,7.101d
   pravṛttir upalabhyate Vp_2.155d	pravRttiH upalaByate Vp_2.155d
   pravṛttir upalabhyate Vp_3,1.81b	pravRttiH upalaByate Vp_3,1.81b
   pravṛttir eva prathamaṃ Vp_3,7.33a	pravRttiH eva praTamam Vp_3,7.33a
   pravṛttir na virudhyate Vp_2.386d	pravRttiH na viruDyate Vp_2.386d
   pravṛttihetuṃ sarveṣāṃ Vp_3,3.50c	pravRtti-hetum sarvezAm Vp_3,3.50c
   pravṛttiḥ puruṣasyāsti Vp_3,7.117c	pravRttiH puruzasya-asti Vp_3,7.117c
   praveśaḥ pratiṣidhyate Vp_2.385d	praveSaH pratiziDyate Vp_2.385d
   praśna eva kriyā tatra Vp_2.271c	praSnaH eva kriyA tatra Vp_2.271c
   prasajyapratiṣedho 'yaṃ Vp_2.84a	prasajya-pratizeDaH ayam Vp_2.84a
   prasavaḥ kva cid ucyate Vp_3,6.10d	prasavaH kva cit ucyate Vp_3,6.10d
   prasiddha iva jāyate Vp_2.286d	prasidDaH iva jAyate Vp_2.286d
   prasiddhaṃ rajjusarpayoḥ Vp_2.288b	prasidDam rajju-sarpayoH Vp_2.288b
   prasiddhārthaviparyāsa- Vp_2.289a	prasidDa-arTa-viparyAsa Vp_2.289a
   prasiddhibhedād gauṇatvaṃ Vp_2.253c	prasidDi-BedAt gONa-tvam Vp_2.253c
   prasiddhim āgatā yena Vp_1.181c	prasidDim AgatAH yena Vp_1.181c
   prasiddhir atidurlabhā Vp_1.32d	prasidDiH ati-durlaBAH Vp_1.32d
   prasiddhiṃ karaṇatvasya Vp_3,7.99c	prasidDim karaNa-tvasya Vp_3,7.99c
   prasiddher avivakṣātaḥ Vp_3,7.88c	prasidDeH avivakzAtaH Vp_3,7.88c
   prasiddher udvamikarīty Vp_2.232a	prasidDeH udvami-karI-iti Vp_2.232a
   prasiddher nyūnatāṃ kva cit Vp_2.272d	prasidDeH nyUna-tAm kva cit Vp_2.272d
   'prasiddhes teṣu gauṇatā Vp_2.281d	aprasidDeH tezu gONa-tA Vp_2.281d
   prasiddhaiḥ parvatādibhiḥ Vp_2.294b	prasidDEH parvata-AdiBiH Vp_2.294b
   prasiddho yasya gamyate Vp_2.265b	prasidDaH yasya gamyate Vp_2.265b
   prākṛtasya dhvaneḥ kālaḥ Vp_1.77c	prAkRtasya DvaneH kAlaH Vp_1.77c
   prākṛtaḥ sa vidhīyate Vp_3,7.117d	prAkRtaH sa viDIyate Vp_3,7.117d
   prākṛte 'rthe ṇij ucyate Vp_3,7.60d	prAkRte arTe Nit ucyate Vp_3,7.60d
   prākṛte vyavatiṣṭhate Vp_3,7.61d	prAkRte vyavatizWate Vp_3,7.61d
   prākṛto dhvanir iṣyate Vp_1.78b	prAkRtaH DvaniH izyate Vp_1.78b
   prāk ca sattābhisaṃbandhān Vp_3,3.48a	prAk ca sattA-aBi-saMbanDAn Vp_3,3.48a
   prāk ca sādhanasaṃbandhāt Vp_2.183c	prAk ca sADana-saMbanDAt Vp_2.183c
   prākpravṛttir naño bhavet Vp_2.244b	prAc-pravRttiH naQaH Bavet Vp_2.244b
   prāk samjñinābhisaṃbandhāt Vp_1.67a	prAk samjQina-aBisaMbanDAt Vp_1.67a
   prāg anyataḥ śaktilābhān Vp_3,7.101a	prAk anyatas Sakti-lABAn Vp_3,7.101a
   prāg avastheti na hy etad Vp_3,3.79c	prAk avasTA-iti na hi etat Vp_3,3.79c
   prāg vibhaktes tadantasya Vp_2.211c	prAk viBakteH tad-antasya Vp_2.211c
   prāṅ nimittāntarodbhūtaṃ Vp_3,7.32a	prAk nimitta-antara-udBUtam Vp_3,7.32a
   prājāpatyaṃ mahat tejas Vp_1.127a	prAjApatyam mahat tejaH Vp_1.127a
   prājāpatyā navety evam- Vp_3,1.58c	prAjApatyA nava-iti evam Vp_3,1.58c
   prājāpatyeṣu sāmarthyāt Vp_2.456c	prAjApatyezu sAmarTyAt Vp_2.456c
   prāṇavṛttinibandhanā Vp_1.165d	prANa-vRtti-nibanDanAH Vp_1.165d
   prāṇavṛttim atikramya Vp_1.166c	prANa-vRttim atikramya Vp_1.166c
   prāṇavṛttim atikrānte Vp_1.145a	prANa-vRttim atikrAnte Vp_1.145a
   prāṇasyordhvaṃ samīraṇam Vp_1.130b	prANasya-UrDvam samIraNam Vp_1.130b
   prāṇāpānāntare nityam Vp_1.161c	prANa-apAna-antare nityam Vp_1.161c
   prāṇinām iva sā caiṣā Vp_1.28c	prANinAm iva sA ca-ezA Vp_1.28c
   prāṇenāpyāyitā saivaṃ Vp_1.163a	prANena-ApyAyitA sA-evam Vp_1.163a
   prāṇo varṇān abhivyajya Vp_1.118c	prANaH varNAn aBivyajya Vp_1.118c
   prāṇyāśritās tu tāḥ prāptau Vp_3,1.45c	prANi-ASritAH tu tAH prAptO Vp_3,1.45c
   prātilomyānulomyābhyāṃ Vp_3,7.27a	prAtilomya-AnulomyAByAm Vp_3,7.27a
   prādhānyam avasīyate Vp_3,1.69b	prADAnyam avasIyate Vp_3,1.69b
   prādhānyam upadarśitam Vp_2.226d	prADAnyam upadarSitam Vp_2.226d
   prādhānyaṃ bahudhā bhāṣye Vp_2.227c	prADAnyam bahuDA BAzye Vp_2.227c
   prādhānyaṃ svaguṇe labdhvā Vp_3,7.162a	prADAnyam sva-guNe labDvA Vp_3,7.162a
   prādhānyāt tu kriyā pūrvam Vp_2.431a	prADAnyAt tu kriyA pUrvam Vp_2.431a
   prādhānyenāvatiṣṭhate Vp_2.129d	prADAnyena-avatizWate Vp_2.129d
