   ADHYAYA 1	ADHYAYAH 1
   nainena kiṃ canāsaṃvṛtam || BrhUp_2,5.18 ||	na enena kim canA saMvRtam || BrhUp_2,5.18 ||
   BrhUpBh_2,5.18	Brhu upBh_2,5.18
   idaṃ vai tanmadhviti pūrvavat /	idam vE tad maDu iti pUrvavat /
   uttkau dvau mantrau pravargyasambandhyākhyāyikopasaṃhartārau /	uttkO dvO mantrO pravargya sambanDyA KyAyi kA upasaMhartArO /
   dvayoḥ pravargyakarmārthayoradhyāyayorartha ākhyāyikābhūtābhyāṃ	dvayoH pravargya karma arTayoH aDyAyayoH arTaH AKyAyikA BUtAByAm
   mantrābhyāṃ prakāśitaḥ /	mantrAByAm prakASitaH /
   brahmavidyārthayostvadhyāyayorarthauttarābhyāmṛgbhyāṃ prakāśayitavyaḥ,	brahma vidyA arTayoH tu aDyAyayoH arTa OttarAByAm RgByAm prakASayitavyaH,
   ityataḥ pravartate /	iti atas pravartate /
   yat kakṣyaṃ ca madhuttkavānātharvaṇo yuvābhyāmityuttkam /	yat kakzyam ca maDuttkavAn ATarvaNaH yuvAByAm iti uttkam /
   kiṃ punasdanmadhu? ityucyate 	kim punar dat maDu? iti ucyate 
   puraścakre puraḥ purāṇi śarīrāṇi yata iyamacyākṛtavyākaraṇaprakriyā sa	puras cakre puras purANi SarIrANi yatas iyam acya akRta vyAkaraNa prakriyA sa
   parameśvaro nāmarūpe avyākrate vyākurvāṇaḥ prathamaṃ bhūrādīṃ llokān	parameSvaraH nAma rUpe avyAkrate vyAkurvANaH praTamam BUH AdIm llokAn
   sṛṣṭvā cakre kṛtavāna dvipado dvipādapalakṣitāni manuṣyaśarīrāṇi	sRzwvA cakre kRtavAnaH dvipadaH dvi pAda palakzitAni manuzya SarIrANi
   pakṣiśarīrāṇi /	pakzi SarIrANi /
   tavā puraḥ śarīrāṇi cakre catuṣpadaścatuṣpādupalakṣitāni paśuśarīrāṇi /	tavA puras SarIrANi cakre catuzpadaH catuzpAd upalakzitAni paSu SarIrANi /
   puraḥ purastān sa īśvaraḥ pakṣī liṅgaśarīraṃ bhūtvā puraḥ śarīrāṇipuruṣa	puras purastAn saH ISvaraH pakzI liFga SarIram BUtvA puras SarIrANi puruza
   āviśadityasyārthamācaṣṭe śrutiḥ sa vā ayaṃ puruṣaḥ sarvāsuyūrṣu	AviSat iti asya arTam Acazwe SrutiH sa vE ayam puruzaH sarva asuyUrzu
   sarvaśarīreṣu puriśayaḥ, puriśeta iti puriśayaḥ san puruṣa ityucyate /	sarva SarIrezu puriSayaH, puriSetaH iti puriSayaH san puruzaH iti ucyate /
   nainenānena kiñacana kiñcidapyanāvṛtamanācchaditam /	na enena anena kiQacana kiQcid api anAvRta manAt Saditam /
   tathā nainena kiñcanāsaṃvṛtamantarananupraveśitaṃ bāhyabhūtenāntarbhūtena	taTA na enena kiQcana asaMvRtam antarananu praveSitam bAhya BUtena antarBUtena
   ca na anāvṛtam /	ca na anAvRtam /
   evaṃ sa eva nāmakhyātmanā antarvahirbhāvena kāryakaraṇarūpeṇa vyavasthitaḥ	evam saH eva nAmaKya AtmanA antarvahiH BAvena kArya karaNa rUpeNa vyavasTitaH
   puraścakre ityādimantraḥ saṅkṣepata ātmaikatvamācaṣṭaityarthaḥ //18//	puras cakre ityAdi mantraH saFkzepataH AtmA eka tvam AcazwA eti arTaH //18//
   START BrhUp 2,5.19	START BrhUp 2,5.19
   idaṃ vai tan madhu dadhyaṅṅ ātharvaṇo 'śvibhyām uvāca |	idam vE tat maDu daDyaF ATarvaNaH aSviByAm uvAca |
   tad etad ṛṣiḥ paśyann avocat    rūpaṃrūpaṃ pratirūpo babhūva tad asya	tat etat RziH paSyan avocat   rUpaMrUpam pratirUpaH baBUva tat asya
   rūpaṃ praticakṣaṇāya |	rUpam praticakzaNAya |
   indro māyābhiḥ pururūpa īyate yuktā hy asya harayaḥ śatā daśeti |	indraH mAyABiH puru rUpaH Iyate yuktAH hi asya harayaH SatA daSa iti |
   ayaṃ vai harayo 'yaṃ vai daśa ca sahasraṇi bahūni cānantāni ca |	ayam vE harayaH ayam vE daSa ca sahasraNi bahUni ca anantAni ca |
   tad etad brahmāpūrvam anaparam anantaram abāhyam |	tat etat brahma apUrvam anaparam anantaram abAhyam |
   ayam ātmā brahma sarvānubhūḥ |	ayam AtmA brahma sarva anuBUH |
   ity anuśāsanam || BrhUp_2,5.19 ||	iti anuSAsanam || BrhUp_2,5.19 ||
   BrhUpBh_2,5.19	Brhu upBh_2,5.19
   idaṃ vai tanmadhvityādi pūrvavat /	idam vE tad maDu ityAdi pUrvavat /
   rūpaṃ rūpaṃ pratirūpo rūpāntaraṃ babhūvetyarthaḥ /	rUpam rUpam pratirUpaH rUpa antaram baBUva iti arTaH /
   pratirūpo 'nurūpo vā yādṛksaṃmathānau mātāpitarau tatsaṃsthānastadanurūpa	pratirUpaH anurUpaH vA yAdRS saMmaTAnO mAtA pitarO tad saMsTAnaH tad anurUpa
   eva putro jāyate /	eva putraH jAyate /
   na hi catuṣpado dvipājjāyate dvipado vā catuṣpāt /	na hi catuzpadaH dvipAd jAyate dvipadaH vA catuzpAd /
   sa eva hi parameśvaro nāmarūpe vyākurvāṇo rūpaṃ rūpaṃ pratirūpo babhūva /	saH eva hi parameSvaraH nAma rUpe vyAkurvANaH rUpam rUpam pratirUpaH baBUva /
   kimartha punaḥ pratirūpamāgamanaṃ tasya? ityucyate  tadasyātmano rūpaṃ	kim arTa punar pratirUpam Agamanam tasya? iti ucyate   tadasya AtmanaH rUpam
   praticakṣaṇāya pratikhyāpanāya /	praticakzaNAya pratiKyApanAya /
   yadi hi nāmarūpe na vyākriyete, tadā asyātmano nirūpādhikaṃ rūpaṃ	yadi hi nAma rUpe na vyAkriyete, tadA asya AtmanaH nirUpa aDikam rUpam
   prajñānaghanākhyaṃ na pratikhyāyeta /	prajQA ana Gana AKyam na pratiKyAyeta /
   yadā punaḥ kāryakaraṇātmanā nāmarūpe vyāka te bhavataḥ, tadāsya rūpaṃ	yadA punar kArya karaNa AtmanA nAma rUpe vyAka te BavataH, tadA asya rUpam
   pratikhyāyeta /	pratiKyAyeta /
   indraḥ parameśvaro māyābhiḥ prajñābhiḥ nāmarūpabhūtakṛtamithyābhimānairvā,	indraH parameSvaraH mAyABiH prajQABiH nAma rUpa BUta kRta miTyA aBimAnEH vA,
   na tu paramārthataḥ; pururūpo bahurūpa īyate gabhyate, ekarūpa eva	na tu paramArTataH; puru rUpaH bahu rUpaH Iyate gaByate, eka rUpaH eva
   prajñānaghanaḥ sannavidyāprajñābhiḥ /	prajQAna GanaH sanna vidyA prajQABiH /
   kasmāt punaḥ kāraṇāt? yuttkā ratha iva vājinaḥ svavipayaprakāśanāya, hi	kasmAt punar kAraNAt? yuttkAH raTaH iva vAjinaH sva vipaya prakASanAya, hi
   yasmāndasya harayo haraṇādindriyāṇi, śatā śatāni, daśa ca	yasmAt dasya harayaH haraNAt indriyANi, SatA SatAni, daSa ca
   prāṇibhedabāhulyācchatāna daśa ca bhavanti /	prANi Beda bAhulyAt SatAna daSa ca Bavanti /
   tasmādindriyavipayabāhulyāttatprakāśanāyeva ca yuttkāna tāni na	tasmAt indriya vipaya bAhulyAt tad prakASanAyA iva ca yuttkAna tAni na
   ātmaprakāśanāya /	Atma prakASanAya /
   "parāñci khāni vyatṛṇat svayambhūḥ"iti hi kāṭhake /	"parAQci KAni vyatRNat svayamBUH"iti hi kAWake /
   tasmātaireva vipayasvarūpairīyate na prajñānaghanaikarasena svarūpeṇa /	tasmAtEH eva vipaya svarUpEH Iyate na prajQAna Gana eka rasena svarUpeNa /
   evaṃ tahi ayamanyaḥ parameśvaro 'nye haraya ityevaṃ prāpte ucyate ayaṃ vai	evam tahi ayam anyaH parameSvaraH anye harayaH iti evam prApte ucyate ayam vE
   harayo 'yaṃ vai daśa ca sahasrāṇi bahūni cānantāni ca prāṇibhedasyānantyāt	harayaH ayam vE daSa ca sahasrANi bahUni ca anantAni ca prANi Bedasya anantyAt 
   kiṃ bahunā, tadetadbrahma ya ātmā /	kim bahunA, tat etat brahma yaH AtmA /
   apūrvaṃ nāsya kāraṇaṃ pūrva vidyata ityapūrvam /	apUrvam na asya kAraNam pUrva vidyate iti apUrvam /
   nāsyāparaṃ kāryaṃ vidyata ityanaparam /	na asya aparam kAryam vidyate iti anaparam /
   nāsya jātyantaramantarāle vidyata ityanaltaram /	na asya jAti antaram antarAle vidyate iti analtaram /
   tathā bahirasya na vidyata ityavāhyam /	taTA bahis asya na vidyate iti avAhyam /
   kiṃ punastannirantaraṃ brahma? ayamātmanā /	kim punar tad nirantaram brahma? ayam AtmanA /
   ko 'sau? yaḥ pratyagātmā draṣṭā śrotā mantā bodvā vijñātā sarvānubhūḥ,	kaH asO? yaH pratyagAtmA drazwA SrotA mantA bA udvA vijQAtA sarva anuBUH,
   sarvātmanā sarvamanubhavatīti sarvamanubhūḥ /	sarva AtmanA sarvam anuBavati iti sarvam anuBUH /
   ityetadanuśāsanaṃ sarvavedāntopadeśaḥ /	iti etat anuSAsanam sarva vedAnta upadeSaH /
   eṣa sarvavedāntānāmupasaṃhrator'thaḥ /	eza sarva vedAntAnAm upasaMhrator aTaH /
   etadamṛtamabhayam /	etat amRtam aBayam /
   parisamāptaśca śāstrārthaḥ //19 //	parisamAptaH ca SAstra arTaH //19 //
   // iti pañcamaṃ brāhmaṇam //	// iti paQcamam brAhmaNam //
   START BrhUp 2,6.1	START BrhUp 2,6.1
   atha vaṃśaḥ:	aTa vaMSaH:
   pautimāṣyo gaupavanāt |	pOtimAzyaH gOpavanAt |
   gaupavanaḥ paśutimāṣyāt |	gOpavanaH paSutimAzyAt |
   paśutimāṣyo gaupavanāt |	paSutimAzyaH gOpavanAt |
   gaupavanaḥ kauśikāt |	gOpavanaH kOSikAt |
   kauśikaḥ kauṇḍinyāt |	kOSikaH kONxinyAt |
   kauṇḍinyaḥ śāṇḍilyāt |	kONxinyaH SANxilyAt |
   śāṇḍilyaḥ kauśikāc ca gautamāc ca |	SANxilyaH kOSikAt ca gOtamAt ca |
   gautamaḥ || BrhUp_2,6.1 ||	gOtamaH || BrhUp_2,6.1 ||
   BrhUpBh_2,6.1	Brhu upBh_2,6.1
   ayedānīṃ brahmavidyārthasya madhukāṇḍasya vaṃśaḥ stutyartho brahmavidyāyāḥ	ayA idAnIm brahma vidyA arTasya maDu kANxasya vaMSaH stuti arTaH brahma vidyAyAH
   mantraścāyaṃ svādhyāyārtho japārthaśca /	mantraH ca ayam svADyAya arTaH japa arTaH ca /
   tatra vaṃśa iva vaṃśaḥ yathā veṇurvaṃśaḥ parvaṇaḥ parvaṇo hi bhidyate	tatra vaMSaH iva vaMSaH yaTA veNuH vaMSaH parvaNaH parvaNaH hi Bidyate
   tadvadagratprabhṛti āmūlaprāpterayaṃ vaṃśaḥ /	tadvat agrat praBRti AmUla prApteH ayam vaMSaH /
   adhyāyacatuṣṭayasya ācāryaparamparākramo vaṃśa ityucyate /	aDyAya catuzwayasya AcArya paramparA kramaH vaMSaH iti ucyate /
   tatra prathamāntaḥ śiṣyaḥ pañcamayantaḥ ācāryaḥ /	tatra praTama antaH SizyaH paQcamayantaH AcAryaH /
   parameṣṭhī virāṭ, brāhmaṇo hiraṇyagarbhāt /	paramezWI virAw, brAhmaNaH hiraNyagarBAt /
   tataḥ paramācāryaparamparānāsti /	tatas parama AcArya paramparAna asti /
   yatpunarbrahma tannityaṃ svayambhū, tasmai brahmaṇai svayambhuve namaḥ	yat punar brahma tat nityam svayamBU, tasmE brahmaNE svayamBuve namaH
   START BrhUp 2,6.2 3	START BrhUp 2,6.2 3
   āgniveśyāt |	AgniveSyAt |
   āgniveśyaḥ śāṇḍilyāc cānabhimlātāc ca |	AgniveSyaH SANxilyAt ca anaBimlAtAt ca |
   ānabhimlāta ānabhimlātāt |	AnaBimlAtaH AnaBimlAtAt |
   ānabhimlāta ānabhimlātāt |	AnaBimlAtaH AnaBimlAtAt |
   ānabhimlāto gautamāt |	AnaBimlAtaH gOtamAt |
   gautamaḥ saitavaprācīnayogyābhyām |	gOtamaH sa etava prAcInayogyAByAm |
   saitavaprācīnayogyau pārāśaryāt |	sEtava prAcIna yogyO pArASaryAt |
   pārāśaryo bhāradvājāt |	pArASaryaH BAradvAjAt |
   bhāradvājo bhāradvājāc ca gautamāc ca |	BAradvAjaH BAradvAjAt ca gOtamAt ca |
   gautamo bhāradvājāt |	gOtamaH BAradvAjAt |
   bhāradvājaḥ pārāśaryāt |	BAradvAjaH pArASaryAt |
   pārāśaryo vaijavāpāyanāt |	pArASaryaH vEjavApAyanAt |
   vaijavāpāyanaḥ kauśikāyaneḥ |	vEjavApAyanaH kOSikAyaneH |
   kauśikāyaniḥ || BrhUp_2,6.2 ||	kOSikAyaniH || BrhUp_2,6.2 ||
   ghṛtakauśikāt |	GRta kOSikAt |
   ghṛtakauśikaḥ prāśaryāyaṇāt |	GRta kOSikaH prASaryAyaNAt |
   pāraśaryāyaṇaḥ pārāśaryāt |	pAraSaryAyaNaH pArASaryAt |
   pārāśaryo jātūkarṇyāt |	pArASaryaH jAtUkarNyAt |
   jātūkarṇya āsurāyaṇāc ca yāskāc ca |	jAtUkarNyaH AsurAyaNAt ca yAskAt ca |
   āsurāyaṇas traivaṇeḥ |	AsurAyaNaH trEvaNeH |
   traivaṇir aupajandhaneḥ |	trEvaNiH OpajanDaneH |
   aupajandhanir āsureḥ |	OpajanDaniH AsureH |
   āsurir bhāradvājāt |	AsuriH BAradvAjAt |
   bhāradvāja ātreyāt |	BAradvAjaH AtreyAt |
   ātreyo māṇṭeḥ |	AtreyaH mANweH |
   māṇṭir gautamāt |	mANwiH gOtamAt |
   gautamo vātsyāt |	gOtamaH vAtsyAt |
   vātsyaḥ śāṇḍilyāt |	vAtsyaH SANxilyAt |
   śāṇḍilyaḥ kaiśoryāt kāpyāt |	SANxilyaH kESoryAt kApyAt |
   kaiśoryaḥ kāpyaḥ kumārahāritāt |	kESoryaH kApyaH kumAra hAritAt |
   kumārahārito gālavāt |	kumArahAritaH gAlavAt |
   gālavo vidarbhīkauṇḍinyāt |	gAlavaH vidarBIkONxinyAt |
   vidarbhīkauṇḍinyo vatsanapāto bābhravāt |	vidarBIkONxinyaH vatsana pAtaH bABravAt |
   vatsanapād bābhravaḥ pathaḥ saubharāt |	vatsanapAt bABravaH paTaH sOBarAt |
   panthāḥ saubharo 'yāsyād āṅgirasāt |	panTAH sOBaraH ayAsyAt AFgirasAt |
   ayāsya āṅgirasa ābhūtes tvāṣṭrāt |	ayAsyaH AFgirasaH ABUteH tvAzwrAt |
   ābhūtis tvāṣṭro viśvarūpāt tvāṣṭrāt |	ABUtiH tvAzwraH viSva rUpAt tvAzwrAt |
   viśvarūpas tvāṣṭro 'vśibhyām |	viSvarUpaH tvAzwraH avSiByAm |
   aśvinau dadhīca ātharvaṇāt |	aSvinO daDIcaH ATarvaNAt |
   dadhyaṅṅ ātharvaṇo 'tharvaṇo daivāt |	daDyaF ATarvaNaH aTarvaNaH dEvAt |
   atharvā daivo mṛtyoḥ prādhvaṃsanāt |	aTarvA dEvaH mRtyoH prADvaMsanAt |
   mṛtyuḥ prādhvaṃsanaḥ pradhvaṃsanāt |	mRtyuH prADvaMsanaH praDvaMsanAt |
   pradhvaṃsana ekarṣeḥ |	praDvaMsane eka rzeH |
   ekarṣir vipracitteḥ |	eka rziH vipracitteH |
   vipracittir vyaṣṭer |	vipracittiH vyazweH |
   vyaṣṭiḥ sanāroḥ |	vyazwiH sa nAroH |
   sanāruḥ sanātanāt |	sanAruH sanAtanAt |
   sanātanaḥ sanagāt |	sanAtanaH sanagAt |
   sanagaḥ parameṣṭhinaḥ |	sanagaH paramezWinaH |
   parameṣṭhī brahmaṇaḥ |	paramezWI brahmaNaH |
   brahma svayaṃbhu |	brahma svayaMBu |
   brahmaṇe namaḥ || BrhUp_2,6.3 ||	brahmaNe namaH || BrhUp_2,6.3 ||
   BrhUpBh_2,6.3	Brhu upBh_2,6.3
   ayedānīṃ brahmavidyārthasya madhukāṇḍasya vaṃśaḥ stutyartho brahmavidyāyāḥ	ayA idAnIm brahma vidyA arTasya maDu kANxasya vaMSaH stuti arTaH brahma vidyAyAH
   mantraścāyaṃ svādhyāyārtho japārthaśca /	mantraH ca ayam svADyAya arTaH japa arTaH ca /
   tatra vaṃśa iva vaṃśaḥ yathā veṇurvaṃśaḥ parvaṇaḥ parvaṇo hi bhidyate	tatra vaMSaH iva vaMSaH yaTA veNuH vaMSaH parvaNaH parvaNaH hi Bidyate
   tadvadagratprabhṛti āmūlaprāpterayaṃ vaṃśaḥ /	tadvat agrat praBRti AmUla prApteH ayam vaMSaH /
   adhyāyacatuṣṭayasya ācāryaparamparākramo vaṃśa ityucyate /	aDyAya catuzwayasya AcArya paramparA kramaH vaMSaH iti ucyate /
   tatra prathamāntaḥ śiṣyaḥ pañcamayantaḥ ācāryaḥ /	tatra praTama antaH SizyaH paQcamayantaH AcAryaH /
   parameṣṭhī virāṭ, brāhmaṇo hiraṇyagarbhāt /	paramezWI virAw, brAhmaNaH hiraNyagarBAt /
   tataḥ paramācāryaparamparānāsti /	tatas parama AcArya paramparAna asti /
   yatpunarbrahma tannityaṃ svayambhū, tasmai brahmaṇai svayambhuve namaḥ	yat punar brahma tat nityam svayamBU, tasmE brahmaNE svayamBuve namaH
   iti ṣaṣṭhaṃ brāhmaṇam //	iti zazWam brAhmaNam //
   ADHYAYA 3	ADHYAYAH 3
   janako ha vaideha ityādi yājñavalkoyaṃ kāṇḍamārabhyate /	janakaH ha vEdehaH ityAdi yAjQavalkoyam kANxam AraByate /
   upapattipradhānatvādatikrāntena madhukāṇḍena samānārthatve 'pi sati na	upapatti praDAna tvAt atikrAntena maDu ka aNxena samAna arTa tve api sati na
   punaruktatā /	punarukta tA /
   madhukāṇḍaṃ hyāgemapradhānam /	maDu kANxam hi Agema praDAnam /
   āgamopapattī hyātmaikatvaprakāśanāya pravṛtte śaknutaḥ	Agama upapattI hi AtmA ekatva prakASanAya pravRtte SaknutaH
   karatalagatabilvamiva darśayitum /	kara tala gata bilvam iva darSayitum /
   śrotavyo mantavya iti hyuktam /	SrotavyaH mantavyaH iti hi uktam /
   tasmādāgamārthasyaiva parīkṣāpūrvakaṃ nirdhāraṇāya yājñavalkīyaṃ	tasmAt Agama arTasya eva parIkzA pUrvakam nirDAraNAya yAjQavalkIyam
   kāṇḍamupapattipradhānamārabhyate /	kANxam upapatti praDAnam AraByate /
   ākhyāyikā tu vijñānastutyarthopāyavidhiparā vā /	AKyAyikA tu vijQAna stuti arTa upAya viDi parA vA /
   prasiddho hyupāyo vidvadbhiḥ śāstreṣu ca dṛṣṭo dānam /	prasidDaH hi upAyaH vidvadBiH SAstrezu ca dRzwaH dAnam /
   dānena hṛyupanamante prāṇinaḥ /	dAnena hRyupanam ante prANinaH /
   prabhūtaṃ hiraṇyaṃ gosahasradānaṃ cehopalabhyate /	praBUtam hiraNyam go sahasra dAnam ca iha upalaByate /
   tasmādanyapareṇāpi śāstreṇa	tasmAt anya pareNa api SAstreNa
   vidyāprāptyupāyadānapradarśanārthā'khyāyikā'rabdhā /	vidyA prApti upAya dAna pradarSana arTA aKyAyikA arabDAH /
   api ca tadvidyasaṃyogastaiśva saha vādakaraṇaṃ vidyāprāptyupāyo	api ca tad vidya saMyogaH tESva saha vAda karaNam vidyA prApti upAyaH 
   nyāyavidyāyāṃ dṛṣṭaḥ /	nyAya vidyAyAm dRzwaH /
   taccāsminnadyāye prābalyena pradarśyate /	tat ca asmin= adyAye prAbalyena pradarSyate /
   pratyakṣā ca vidvatsaṃyoge prajñāvṛddhiḥ /	pratyakzA ca vidvat saMyoge prajQA vRdDiH /
   tasmādvidyāprāptyupāyapradarśanārthaivākhyāyikā /	tasmAt vidyA prApti upAya pradarSana arTA eva AKyAyikA /
   START BrhUp 3,1.1	START BrhUp 3,1.1
   janako ha vaideho bahudakṣiṇena yajñeneje |	janakaH ha vEdehaH bahu dakziNena yajQeneje |
   tatra ha kurupañcālānāṃ brāhmaṇā abhisametā babhūvuḥ |	tatra ha kuru paQcAlAnAm brAhmaNAH aBisametAH baBUvuH |
   tasya ha janakasya vaidehasya vijijñāsā babhūva    kaḥ svid eṣāṃ	tasya ha janakasya vEdehasya vijijQAsA baBUva   kaH svid ezAm
   brāhmaṇānām anūcānatama iti |	brAhmaNAnAm anUcAnatamaH iti |
   sa ha gavāṃ sahasram avarurodha |	sa ha gavAm sahasram avaruroDa |
   daśadaśa pādā ekaikasyāḥ śṛṅgayor ābaddhā babhūvuḥ || BrhUp_3,1.1 ||	daSa daSa pAdAH ekEkasyAH SRFgayoH AbadDAH baBUvuH || BrhUp_3,1.1 ||
   BrhUpBh_3,1.1 janako nāma ha kila samrāḍrājā babhūva videhānāṃ tatra bhavo	Brhu upBh_3,1.1 janakaH nAma ha kila samrAj rAjAH baBUva videhAnAm tatra BavaH 
   vaidehaḥ /	vEdehaH /
   sa ca bahudakṣiṇena yajñena śākhāntaraprasiddho vā bahudakṣiṇo nāma yajño	sa ca bahu dakziNena yajQena SAKA antara prasidDaH vA bahu dakziNaH nAma yajQaH 
   'śvamedho vā dakṣiṇābāhulyādbahudakṣiṇa ihocyate teneje 'yajat /	aSvameDaH vA dakziNA bAhulyAt bahu dakziNaH iha ucyate tena ije ayajat /
   tatra tasminyajñe nimantritā darśanakāmā vā kurūṇāṃ deśānāṃ pañcālānāṃ ca	tatra tasmin yajQe nimantritA darSana kAmAH vA kurUNAm deSAnAm paQcAlAnAm ca
   brāhmaṇāsteṣu hi viduṣāṃ bāhulyaṃ prasiddhamabhisametā abhisaṃgatā	brAhmaNAH tezu hi viduzAm bAhulyam prasidDam aBisametAH aBisaMgatA
   babhūvuḥ /	baBUvuH /
   tatra mahāntaṃ vidvatsamudāyaṃ dṛṣṭvā tasya ha kila janakasya vaidehasya	tatra mahAntam vidvat samudAyam dRzwvA tasya ha kila janakasya vEdehasya
   yajamānasya ko nu khalvatra brahmiṣṭha iti viśeṣeṇa jñātumicchā vijijñāsā	yajamAnasya kaH nu Kalu atra brahmizWaH iti viSezeNa jQAtum icCA vijijQAsA
   babhūva /	baBUva /
   kathaṃ, kaḥsvitko nu khalveṣāṃ brāhmaṇānāmanūcānatamaḥ sarva ime 'nūcānāḥ	kaTaM, kaH svitkaH nu Kalu ezAm brAhmaNAnAm anUcAnatamaH sarve ime anUcAnAH
   kaḥsvideṣāmatiśayenānūcāna iti /	kaH su i dezAm atiSayena anUcAnaH iti /
   sa hānūcānatamaviṣayotpannijijñāsaḥ saṃstadvijñānopāyārthaṃ gavāṃ sahasraṃ	sa hAnUcAnatam avizaya utpad nijijQAsaH san= tad vijQAna upAya arTam gavAm sahasram
   prathamavayasāmavarurodha goṣṭhe 'varodhaṃ kārayāmāsa /	praTama vayasAm avaru roDa gozWe avaroDam kArayAmAsa /
   kiṃviśiṣṭāstā gāvo 'varuddhā ityucyate /	kiMviSizwAH tAH gAvaH avarudDA iti ucyate /
   palacaturthabhāgaḥ pādaḥ suvarṇasya /	pala caturTa BAgaH pAdaH suvarNasya /
   daśa daśa pādā ekaikasyā goḥ śṛṅgayorābaddhā babhūvuḥ /	daSa daSa pAdAH ekEkasyAH goH SRFgayoH AbadDAH baBUvuH /
   pañca pañca pādā ekaikasmiñśṛṅge //1//	paQca paQca pAdAH ekEkasmin SRFge //1//
   START BrhUp 3,1.2	START BrhUp 3,1.2
   tān hovāca    brāhmaṇā bhagavanto yo vo brahmiṣṭhaḥ sa etā gā udajatām iti	tAn ha uvAca   brAhmaNAH BagavantaH yaH vaH brahmizWaH saH etAH gAH udajatAm iti
   te ha brāhmaṇā na dadhṛṣuḥ |	te ha brAhmaNAH na daDRzuH |
   atha ha yājñavalkyaḥ svam eva brahmacāriṇam uvāca    etāḥ saumyodaja	aTa ha yAjQavalkyaH svam eva brahmacAriNam uvAca   etAH sOmya udaja
   sāmaśravā3 iti |	sAmaSravA3 iti |
   tā hodācakāra |	tAH ha udAcakAra |
   te ha brāhmaṇāś cukrudhuḥ:    kathaṃ nu no brahmiṣṭho bruvīteti |	te ha brAhmaNAH cukruDuH:   kaTam nu naH brahmizWaH bruvIta iti |
   atha ha janakasya vaidehasya hotāśvalo babhūva |	aTa ha janakasya vEdehasya hotA aSvalaH baBUva |
   sa hainaṃ papraccha    tvaṃ nu khalu no yājñavalkya brahmiṣṭho 'sī3 iti |	sa ha enam papracCa   tvam nu Kalu naH yAjQavalkya brahmizWaH asI3 iti |
   sa hovāca    namo vayaṃ brahmiṣṭhāya kurmo gokāmā eva vayaṃ sma iti |	sa ha uvAca   namaH vayam brahmizWAya kurmaH go kAmAH eva vayam smaH iti |
   taṃ ha tata eva praṣṭuṃ dadhre hotāśvalaḥ || BrhUp_3,1.2 ||	tam ha tatas eva prazwum daDre hotA aSvalaH || BrhUp_3,1.2 ||
   BrhUpBh_3,1.2 gā evamavarudhya brāhmaṇāṃstānhovāca /	Brhu upBh_3,1.2 gAH evam avaruDya brAhmaNAn= tAn ha uvAca /
   he brāhmaṇā bhagavanta ityāmantratha yo vo yuṣmākaṃ brahmiṣṭhaḥ sarve	he brAhmaNAH BagavantaH iti AmantraTa yaH vaH yuzmAkam brahmizWaH sarve
   yūyaṃ brahmāṇo 'tiśayena yuṣmākaṃ brahmā yaḥ sa etā gā udajatāmutkālayatu	yUyam brahmANaH atiSayena yuzmAkam brahmA yaH saH etAH gAH udajatAm utkAlayatu
   svagṛhaṃ prati /	sva gRham prati /
   te ha brāhmaṇā na dadhṛṣuḥ ha kilaivamuktā brāhmaṇā brahmiṣṭhatāmātmanaḥ	te ha brAhmaNAH na daDRzuH ha kila evam uktA brAhmaNAH brahmizWa tAm AtmanaH
   pratijñātuṃ na dadhṛpurna pragalbhāḥ saṃvṛttāḥ /	pratijQAtum na daDRpuH na pragalBAH saMvRttAH /
   apragalbhabhūteṣu brāhmaṇeṣvatha ha yājñavalkyaḥ svamātmīyameva	apragalBa BUtezu brAhmaNezu aTa ha yAjQavalkyaH sva mAtmIyam eva
