   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   ajñānādbhakṣayanmāṃsaṃ sa preto jāyate naraḥ // GarP_2,22.70 //	ajQAnAt Bakzayan mAMsam sa pretaH jAyate naraH // GarP_2,22.70 //
   devadravyaṃ ca brahmasvaṃ gurudravyaṃ tathaiva ca /	deva dravyam ca brahma svam guru dravyam taTA eva ca /
   kanyāṃ dadāti śulkena sa preto jāyate naraḥ // GarP_2,22.71 //	kanyAm dadAti Sulkena sa pretaH jAyate naraH // GarP_2,22.71 //
   mātaraṃ bhaginīṃ bhāryāṃ snuṣāṃ duhitaraṃ tathāḥ /	mAtaram BaginIm BAryAm snuzAm duhitaram taTAH /
   adṛṣṭadoṣāstyajati sa preto jādṛ // GarP_2,22.72 //	adRzwa dozAH tyajati sa pretaH jAdR // GarP_2,22.72 //
   nyāsāpahartā mitradhrukparadārarataḥ sadā /	nyAsa apahartA mitra Druj para dAra rataH sadA /
   viśvāsaghātī kūṭaśca sa predṛ // GarP_2,22.73 //	viSvAsa GAtI kUwaH ca sa predR // GarP_2,22.73 //
   bhrātṛdhrugbrahmahā goghnaḥ surāpo gurutalpagaḥ /	BrAtRDruj brahma hA go GnaH surApaH guru talpa gaH /
   kulamārgaṃ parityajya hyanṛtoktau sadā rataḥ /	kula mArgam parityajya hi anRta uktO sadA rataH /
   hartā hemnaśca bhūmeśca sa predṛ // GarP_2,22.74 //	hartA hemnaH ca BUmeH ca sa predR // GarP_2,22.74 //
   bhīṣma uvāca /	BIzmaH uvAca /
   evaṃ bruvati vai vipre ākāśe dundubhisvanaḥ /	evam bruvati vE vipre AkASe dunduBi svanaH /
   apatatpuṣpavarṣaṃ ca devarmuktaṃ dvijopari // GarP_2,22.75 //	apatat puzpa varzam ca devarmuktam dvija upari // GarP_2,22.75 //
   pañca devavimānāni pretānāmāgatāni vai /	paQca deva vimAnAni pretAnAm AgatAni vE /
   svargaṃ gatā vimānaiste divyaiḥ saṃpṛcchya taṃ munim // GarP_2,22.76 //	svargam gatAH vimAnEH te divyEH saMpRcCya tam munim // GarP_2,22.76 //
   jñānaṃ viprasya sambhāṣātpuṇyasaṃkīrtanena ca /	jQAnam viprasya samBAzAt puNya saMkIrtanena ca /
   pretāḥ pāpavinirmuktāḥ paraṃ padamavāpnuyuḥ // GarP_2,22.77 //	pretAH pApa vinirmuktAH param padam avApnuyuH // GarP_2,22.77 //
   sūta uvāca /	sUtaH uvAca /
   idamākhyānakaṃ śrutvā kampito 'śvatthapatravat /	idam AKyAnakam SrutvA kampitaH aSvatTa patra vat /
   mānuṣāṇāṃ hitārthāya garuḍaḥ pṛṣṭavānpunaḥ // GarP_2,22.78 //	mAnuzANAm hita arTAya garuxaH pRzwavAn punar // GarP_2,22.78 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe dharmakāṇḍe pretakalpe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe Darma kANxe preta kalpe
   bhīṣma yudhiṣṭhirasaṃvāde pretatvotpattitanmuktipeñcapretopākhyāna	BIzma yuDizWira saMvAde preta tva utpatti tad mukti peQca preta upAKyAna
   nirūpaṇaṃ nāma dvāviṃśo 'dhyāyaḥ	nirUpaNam nAma dvAviMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  23	SrI garuxa mahApurANam 23
   garuḍa uvāca /	garuxaH uvAca /
   kiṅkiṃ kurvanti vai pretāḥ piśācatvevyavasthitāḥ /	kiFkim kurvanti vE pretAH piSAca tvevyavasTitAH /
   vadanti vā kadācitkiṃ tadvadasva sureśvara // GarP_2,23.1 //	vadanti vA kadAcid kim tat vadasva sureSvara // GarP_2,23.1 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   teṣāṃ svarūpaṃ vakṣyāmi cihnaṃ svapnaṃ yathātatham /	tezAm svarUpam vakzyAmi cihnam svapnam yaTAtaTam /
   kṣutpipāsārditāste vai praviśeyuḥ svaveśmani // GarP_2,23.2 //	kzuD pipAsA arditAH te vE praviSeyuH sva veSmani // GarP_2,23.2 //
   pratiṣṭhā vāyudeheṣu śayānāṃstu svavaṃśajān /	pratizWA vAyu dehezu SayAnAn= tu sva vaMSa jAn /
   tatra yacchanti liṅgāni darśayanti khageśvara // GarP_2,23.3 //	tatra yacCanti liFgAni darSayanti KageSvara // GarP_2,23.3 //
   svaputrasvakalatrāṇi svabandhuntatra gacchati /	sva putra sva kalatrANi sva banDun tatra gacCati /
   hayo gajo vṛṣo martyodṛśyate vikṛtānanaḥ // GarP_2,23.4 //	hayaH gajaH vRzaH martya udRSyate vikRta AnanaH // GarP_2,23.4 //
   śayānaṃ viparītaṃ tu ātmānaṃ ca viparyayam /	SayAnam viparItam tu AtmAnam ca viparyayam /
   utthitaḥ paśyati yastu tadvindyātpretanirmitam // GarP_2,23.5 //	utTitaH paSyati yaH tu tad vindyAt preta nirmitam // GarP_2,23.5 //
   svapne narau hi nigaḍairbadhyate bahudhā yadi /	svapne narO hi nigaxEH baDyate bahuDA yadi /
   annaṃ ca yācate svapne kuveṣaḥ pūrvajo mṛtaḥ // GarP_2,23.6 //	annam ca yAcate svapne ku vezaH pUrvajaH mRtaH // GarP_2,23.6 //
   svapne yo bhujyamānasya gṛhītvānnaṃ palāyate /	svapne yaH BujyamAnasya gRhItvA annam palAyate /
   ātmanastu paro vāpi tṛṣārtastu jalaṃ pibet // GarP_2,23.7 //	AtmanaH tu paraH vA api tRzA ArtaH tu jalam pibet // GarP_2,23.7 //
   vṛṣabhārohaṇaṃ svapne vṛṣabhaiḥ saha gacchati /	vRzaBa ArohaNam svapne vRzaBEH saha gacCati /
   utpatya gaganaṃ yāti tīrthe yāti kṣudhāturaḥ // GarP_2,23.8 //	utpatya gaganam yAti tIrTe yAti kzuDA AturaH // GarP_2,23.8 //
   svavācā vadate yastu govṛṣadvijāvājiṣu /	sva vAcA vadate yaH tu go vRza dvija avAjizu /
   liṅge gaje tathā deve bhūte prete niśācare // GarP_2,23.9 //	liFge gaje taTA deve BUte prete niSAcare // GarP_2,23.9 //
   svapnamadhye tu pakṣīndra pretaliṅgānyanekadhā /	svapna maDye tu pakzi indra preta liFgAni anekaDA /
   svakalatraṃ svabandhuṃ vā svasutaṃ svapatiṃ vibhum /	sva kalatram sva banDum vA sva sutam sva patim viBum /
   vidyamānaṃ mṛtaṃ paśyetpretadoṣeṇa niścitam // GarP_2,23.10 //	vidyamAnam mRtam paSyet preta dozeNa niScitam // GarP_2,23.10 //
   yācate yaḥ paraṃ svapne kṣuttṛḍbhyāṃ ca pariplutaḥ /	yAcate yaH param svapne kzut tRxByAm ca pariplutaH /
   tīrthe gatvā dahetpiṇḍānpretadauṣairna saṃśayaḥ // GarP_2,23.11 //	tIrTe gatvA dahet piNxAn preta dOzEH na saMSayaH // GarP_2,23.11 //
   nirgacchedvā gṛhādvāpi svapne putrastathā paśuḥ /	nirgacCet vA gRhAt vA api svapne putraH taTA paSuH /
   pitā bhrātā kalatraṃ ca pretadoṣaistu paśyati // GarP_2,23.12 //	pitA BrAtA kalatram ca preta dozEH tu paSyati // GarP_2,23.12 //
   cihnānyetāni pakṣīndra prāyaścittaṃ nivedayet /	cihnAni etAni pakzi indra prAyaScittam nivedayet /
   kṛtvā snānaṃ gṛhe tīrthe śrīvṛkṣe tarpaṇaṃ jalaiḥ // GarP_2,23.13 //	kRtvA snAnam gRhe tIrTe SrIvRkze tarpaNam jalEH // GarP_2,23.13 //
   kṛṣṇadhānyāni pūjāṃ ca pradadyādvedapārage /	kRzNaDAnyAni pUjAm ca pradadyAt vedapArage /
   homaṃ kuryādyathāśakti sampūrṇaṃ vācayetsudhīḥ // GarP_2,23.14 //	homam kuryAt yaTASakti sampUrNam vAcayet suDIH // GarP_2,23.14 //
   etaddhi śraddhayā yastu pretaliṅganidarśanam /	etat hi SradDayA yaH tu preta liFga nidarSanam /
   paṭhate śṛṇute vāpi pretacihnaṃ vinaśyati // GarP_2,23.15 //	paWate SRNute vA api preta cihnam vinaSyati // GarP_2,23.15 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśe dharmakāṇḍe pretakalpe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSe Darma kANxe preta kalpe
   śrīkṛṣṇagaruḍasaṃvāde pretakṛtitaduktitaccihnatadvimuktyupāyanirūpaṇaṃ	SrI kRzNa garuxa saMvAde preta kRti ta dukti tad cihna tad vimukti upAya nirUpaNam
   nāma trayoviṃśo 'dhyāyaḥ	nAma trayoviMSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  24	SrI garuxa mahApurANam 24
   garuḍa uvāca /	garuxaH uvAca /
   nākāle mriyate kaściditi vedānuśāsanam /	na akAle mriyate kaScid iti veda anuSAsanam /
   kasmānmṛtyumavāpnoti rājā vā śrotriyopi vā // GarP_2,24.1 //	kasmAt mRtyum avApnoti rAjA vA Srotriyopi vA // GarP_2,24.1 //
   yaduktaṃ brāhmaṇā pūrvamanṛtaṃ taddhi dṛśyate /	yat uktam brAhmaNA pUrvam anRtam tat hi dRSyate /
   vedairuktaṃ tu yadvākyaṃ śataṃ jīvati mānuṣe // GarP_2,24.2 //	vedEH uktam tu yat vAkyam Satam jIvati mAnuze // GarP_2,24.2 //
   jīvanti mānuṣe loke sarve varṇā dvijātayaḥ /	jIvanti mAnuze loke sarve varNAH dvijAtayaH /
   antyajāmlecchajāścaiva khaṇḍe bhāratasaṃjñake // GarP_2,24.3 //	antyaja amla icCa jAH ca eva KaNxe BArata saMjQake // GarP_2,24.3 //
   na dṛśyate kalau tacca kasmāddeva samādiśa /	na dRSyate kalO tat ca kasmAt deva samAdiSa /
   (ādhānānmṛtyumāpnoti bālo vā sthaviro yubā // GarP_2,24.4 //	(ADAnAt mRtyum Apnoti bAlaH vA sTaviraH yubA // GarP_2,24.4 //
   sadhano nirdhano vāpi sukumāraḥ surūpavān /	sa DanaH nirDanaH vA api sukumAraH surUpavAn /
   avidvāṃścaiva vidvāṃśca brāhmaṇastvitaro janaḥ // GarP_2,24.5 //	avidvAn= ca eva vidvAn= ca brAhmaNaH tu itaraH janaH // GarP_2,24.5 //
   taporato yogaśīlo mahājñānī ca yo naraḥ /	taporataH yoga SIlaH mahA jQAnI ca yaH naraH /
   sarvajñānarataḥ śrīmāndharmātmātulavikramaḥ // GarP_2,24.6 // )	sarva jQAna rataH SrImAn Darma Atma atula vikramaH // GarP_2,24.6 // )
   sarvametadaśaṣeṇa jāyate vasudhātale /	sarvam etat aSazeNa jAyate vasuDA tale /
   kasmānmṛtyumavāpnoti rājā vā śrotriyo 'pi vā // GarP_2,24.7 //	kasmAt mRtyum avApnoti rAjA vA SrotriyaH api vA // GarP_2,24.7 //
   śrībhagavānuvāca /	SrI BagavAn uvAca /
   sādhusādhu mahāprājña yastvaṃ bhakto 'si me priyaḥ /	sADu sADu mahA prAjQa yaH tvam BaktaH asi me priyaH /
   śrūyatāṃ vacanaṃ guhyaṃ nānādeśavināśanam // GarP_2,24.8 //	SrUyatAm vacanam guhyam nAnA deSa vinASanam // GarP_2,24.8 //
   vidhātṛvihito mṛtyuḥ śīghramādāya gacchati /	viDAtR vihitaH mRtyuH SIGram AdAya gacCati /
   tato vakṣyāmi pakṣīndra kāśyapeya mahādyute // GarP_2,24.9 //	tatas vakzyAmi pakzi indra kASyapeya mahA dyute // GarP_2,24.9 //
   mānuṣaḥ śatajīvīti purā vedena bhāṣitam /	mAnuzaH Sata jIvI iti purA vedena BAzitam /
   vikarmaṇaḥ prabhāveṇa śīghraṃ cāpi vinaśyati // GarP_2,24.10 //	vikarmaNaH praBAveNa SIGram ca api vinaSyati // GarP_2,24.10 //
   vedānabhyasanenaiva kulācāraṃ na sevate /	veda an aByasanena eva kula AcAram na sevate /
   ālasyātkarmaṇāṃ tyāgo niṣiddhe 'pyādaraḥ sadā // GarP_2,24.11 //	AlasyAt karmaNAm tyAgaH nizidDe api AdaraH sadA // GarP_2,24.11 //
   yatra tatra gṛhe 'śrāti parakṣetraratastathā /	yatra tatra gRhe aSrAti para kzetra rataH taTA /
   etairanyairmahādoṣairjāyate cāyuṣaḥ kṣayaḥ // GarP_2,24.12 //	etEH anyEH mahA dozEH jAyate ca AyuzaH kzayaH // GarP_2,24.12 //
   aśraddadhānamaśuciṃ nāstikaṃ tyaktamaṅgalam /	aSraddaDAnam aSucim nAstikam tyakta maFgalam /
   paradrohānṛtaraṃ brāhmaṇaṃ yata (ma) mandiram // GarP_2,24.13 //	para droha anRtaram brAhmaNam yatas (ma) mandiram // GarP_2,24.13 //
   arakṣitāraṃ rājānaṃ nityaṃ dharmavivarjitam /	arakzitAram rAjAnam nityam Darma vivarjitam /
   krūraṃ vyasaninaṃ mūrkhaṃ vedavādabahiṣkṛtam /	krUram vyasaninam mUrKam veda vAda bahizkRtam /
   prajāpīḍanakartāraṃ rājānaṃ yamaśāsanam // GarP_2,24.14 //	prajA pIxana kartAram rAjAnam yama SAsanam // GarP_2,24.14 //
   prāpayanti vaśaṃ mṛtyostato yāti ca yātanām /	prApayanti vaSam mRtyoH tatas yAti ca yAtanAm /
   svakarmāṇi parityajya mukhyavṛttāni yāni ca // GarP_2,24.15 //	sva karmANi parityajya muKya vRttAni yAni ca // GarP_2,24.15 //
   parakarmarato nityaṃ yamalokaṃ sa gacchati /	para karma rataH nityam yama lokam sa gacCati /
   śūdraḥ karotiḥ yatkiñcidvijaśuśrūṣaṇaṃ vinā // GarP_2,24.16 //	SUdraH karotiH yat kiQci dvija SuSrUzaNam vinA // GarP_2,24.16 //
   uttamādhamamadhye vā yamaloke sa pacyate /	uttama aDama maDye vA yama loke sa pacyate /
   snānaṃ dānaṃ japo homo svādhyāyo davartāccanam // GarP_2,24.17 //	snAnam dAnam japaH homaH svADyAyaH davartAt canam // GarP_2,24.17 //
   yasmindine na sevyante sa vṛthā divaso nṛṇām /	yasmin dine na sevyante sa vRTA divasaH nRNAm /
   anityamadhruvaṃ dehamanādhāraṃ rasodbhavam // GarP_2,24.18 //	anityam aDruvam deham anADAram rasodBavam // GarP_2,24.18 //
   annodakamaye dehe guṇānetānvadāmyaham /	anna udaka maye dehe guNAn etAn vadAmi aham /
   yatprātaḥ saṃskṛtaṃ sāyaṃ nūnamannaṃ vinaśyati // GarP_2,24.19 //	yat prAtar saMskRtam sAyam nUnam annam vinaSyati // GarP_2,24.19 //
   tadīyarasasampuṣṭakāye kā bata nityatā /	tadIya rasa sampuzwa kAye kA bata nityatA /
   gataṃ jñātvā tu pakṣīndra vapurardhaṃ svakarmabhiḥ // GarP_2,24.20 //	gatam jQAtvA tu pakzi indra vapuH arDam sva karmaBiH // GarP_2,24.20 //
   naraḥ pāpavināśāya kurvīta paramauṣadham /	naraH pApa vinASAya kurvIta parama OzaDam /
   dehaḥ kimannadātuḥ svinniṣekturmātureva vā // GarP_2,24.21 //	dehaH kim anna dAtuH svid nizektuH mAtuH eva vA // GarP_2,24.21 //
   ubhayorvā prabhorvāpi bālanogneḥ śuno 'pi vā /	uBayoH vA praBoH vA api bAlana ugneH SunaH api vA /
   kastatra paramo yajñaḥ kṛmiviḍbhasmasaṃjñake // GarP_2,24.22 //	kaH tatra paramaH yajQaH kRmi viz Basma saMjQake // GarP_2,24.22 //
   kartavyaḥ paramo yatnaḥ pātakasya vināśane /	kartavyaH paramaH yatnaH pAtakasya vinASane /
   anekabhavasambhūtaṃ pātakaṃ tu tridhā kṛtam // GarP_2,24.23 //	aneka Bava samBUtam pAtakam tu triDA kRtam // GarP_2,24.23 //
   yadā prāpnoti mānuṣyaṃ tadā sarvaṃ tapatyapi /	yadA prApnoti mAnuzyam tadA sarvam tapati api /
   sarvajanmāni saṃsmṛtya viṣādī kṛtacetanaḥ // GarP_2,24.24 //	sarva janmAni saMsmRtya vizAdI kRta cetanaH // GarP_2,24.24 //
   avekṣya garbhavāsāṃśca karmajā gatayastathā /	avekzya garBa vAsAn= ca karma jAH gatayaH taTA /
   mānuṣodaravāsī cettadā bhavati pātakī // GarP_2,24.25 //	mAnuza udara vAsI ced tadA Bavati pAtakI // GarP_2,24.25 //
   aṇḍajādiṣu bhūteṣu yatrayatra prasarpati /	aNxaja Adizu BUtezu yatra yatra prasarpati /
   ādhayo vyādhayaḥ kleśā jarārūpaviparyayaḥ // GarP_2,24.26 //	ADayaH vyADayaH kleSAH jarA rUpa viparyayaH // GarP_2,24.26 //
   garbhavāsādvinirmuktastvajñānatimirāvṛtaḥ /	garBa vAsAt vinirmuktaH tu ajQAna timira AvRtaH /
   na jānātiḥ khagaśreṣṭha bālabhāvaṃ samāśritaḥ // GarP_2,24.27 //	na jAnAtiH Kaga SrezWa bAla BAvam samASritaH // GarP_2,24.27 //
   yauvane timirāndhaśca yaḥ paśyati sa muktibhāk /	yOvane timira anDaH ca yaH paSyati sa mukti BAj /
   ādhānānmṛtyumāpnoti bālo vā sthaviro yuvā // GarP_2,24.28 //	ADAnAt mRtyum Apnoti bAlaH vA sTaviraH yuvA // GarP_2,24.28 //
   sadhano nirdhanaścaiva sukumāraḥ kurūpavān /	sa DanaH nirDanaH ca eva sukumAraH ku rUpavAn /
   avidvāṃścaiva vidvāṃśca brāhmaṇāstvitaro janaḥ // GarP_2,24.29 //	avidvAn= ca eva vidvAn= ca brAhmaNAH tu itaraH janaH // GarP_2,24.29 //
   taporato yogaśīlo mahājñānī ca yo naraḥ /	taporataH yoga SIlaH mahA jQAnI ca yaH naraH /
   mahādānarataḥ śrīmāndharmātmātulavikramaḥ /	mahAdAna rataH SrImAn Darma Atma atula vikramaH /
   vinā mānupadehaṃ tu sukhaṃ duḥ khaṃ na vindati // GarP_2,24.30 //	vinA mA anupadeham tu suKam duH Kam na vindati // GarP_2,24.30 //
   prākṛtaiḥ karmapāśaistu mṛtyumāpnoti mānavaḥ /	prAkRtEH karma pASEH tu mRtyum Apnoti mAnavaH /
   ādhānātpañca varṣāṇi svalpapāpairvipacyate // GarP_2,24.31 //	ADAnAt paQca varzANi su alpa pApEH vipacyate // GarP_2,24.31 //
   pañcavarṣādhiko bhūtvā mahāpāpairvipacyate /	paQca varza aDikaH BUtvA mahA pApEH vipacyate /
   yoniṃ pūrayate yasmānmṛto 'pyāyāti yāti ca // GarP_2,24.32 //	yonim pUrayate yasmAt mRtaH api AyAti yAti ca // GarP_2,24.32 //
   mṛto dānaprabhāveṇa jīvanmartyaściraṃ bhuvi /	mRtaH dAna praBAveNa jIvan martyaH ciram Buvi /
   sūta uvāca /	sUtaH uvAca /
   iti kṛṣṇavacaḥ śrutvā garuḍo vākyamabravīt // GarP_2,24.33 //	iti kRzNa vacaH SrutvA garuxaH vAkyam abravIt // GarP_2,24.33 //
   garuḍa uvāca /	garuxaH uvAca /
   mṛte bāle kathaṃ kuryātpiṇḍadānādikāḥ kriyāḥ /	mRte bAle kaTam kuryAt piNxa dAna AdikAH kriyAH /
   garbheṣu ca vipannānāmācūḍākaraṇācchiśoḥ // GarP_2,24.34 //	garBezu ca vipannAnAm AcUxa AkaraNAt SiSoH // GarP_2,24.34 //
   kathaṃ kiṃ kena dātavyaṃ mṛtānte ko vidhiḥ smṛtaḥ /	kaTam kim kena dAtavyam mRtAnte kaH viDiH smRtaH /
   garuḍoktamiti śrutvā viṣṇurvākyamathābravīt // GarP_2,24.35 //	garuxa uktam iti SrutvA vizNuH vAkyam aTa abravIt // GarP_2,24.35 //
   śrīviṣṇuruvāca /	SrI vizNuH uvAca /
   yadi garbho vipadyate stravate vāpi yoṣitaḥ /	yadi garBaH vipadyate stravate vA api yozitaH /
   yāvanmāsaṃ sthito garbhastāvaddinamaśaucakam // GarP_2,24.36 //	yAvat mAsam sTitaH garBaH tAvat dinam aSOcakam // GarP_2,24.36 //
   tasya kiñcinna kartavyamātmanaḥ śreya icchatā /	tasya kiQcid na kartavyam AtmanaH SreyaH icCatA /
   tato jāte vipanne tu ā cūḍākaraṇācchiśoḥ // GarP_2,24.37 //	tatas jAte vipanne tu A cUxAkaraNAt SiSoH // GarP_2,24.37 //
   dugdhaṃ bhojyaṃ tāśakti bālānāṃ ca pradīyate /	dugDam Bojyam tASakti bAlAnAm ca pradIyate /
   ā cūḍātpañcavarṣe tu dehadāho vidhīyate // GarP_2,24.38 //	A cUxAt paQca varze tu deha dAhaH viDIyate // GarP_2,24.38 //
   dugdhaṃ tasya pradeyaṃ syādbālānāṃ bhojanaṃ śubham /	dugDam tasya pradeyam syAt bAlAnAm Bojanam SuBam /
   pañcavarṣādhike prete svajātivihitāni ca // GarP_2,24.39 //	paQca varza aDike prete sva jAti vihitAni ca // GarP_2,24.39 //
   kuryātkarmāṇi sarvāṇi codakumbhādi pāyasam /	kuryAt karmANi sarvANi ca uda kumBa Adi pAyasam /
   dātavyaṃ tu khagaśreṣṭha ṛṇasambandhakastu saḥ // GarP_2,24.40 //	dAtavyam tu Kaga SrezWaH RNa sambanDakaH tu saH // GarP_2,24.40 //
   jātasya hi dhruvo mṛtyurdhruvaṃ janma mṛtasya ca /	jAtasya hi DruvaH mRtyuH Druvam janma mRtasya ca /
   kartavyaṃ pakṣiśārdūla punardehakṣayāya vai // GarP_2,24.41 //	kartavyam pakzi SArdUla punar deha kzayAya vE // GarP_2,24.41 //
   tasmai yadrocate deyamadattvā nirdhane kule /	tasmE yat rocate deyam adattvA nirDane kule /
   svalpāyurnirdhano bhūtvā ratibhaktivivarjitaḥ // GarP_2,24.42 //	su alpa AyuH nirDanaH BUtvA rati Bakti vivarjitaH // GarP_2,24.42 //
   punarjanmāpnuyānmartyastasmāddeyamṛte śiśoḥ /	punar janma ApnuyAt martyaH tasmAt deyam Rte SiSoH /
   purāṇe gīyate gāthā sarvathā pratibhāti me // GarP_2,24.43 //	purANe gIyate gATA sarvaTA pratiBAti me // GarP_2,24.43 //
   miṣṭānnaṃ bhojanaṃ deyaṃ dāne śaktistu durlabhā /	mizwa annam Bojanam deyam dAne SaktiH tu durlaBA /
   bhojye bhojanaśaktiśca ratiśaktirvarastriyaḥ // GarP_2,24.44 //	Bojye Bojana SaktiH ca rati SaktiH vara striyaH // GarP_2,24.44 //
   vibhave dānaśaktiśca nālpasya tapasaḥ phalam /	viBave dAna SaktiH ca na alpasya tapasaH Palam /
   dānādbhogānavāpnoti saukhyaṃ tīrthasya sevanāt /	dAnAt BogAn avApnoti sOKyam tIrTasya sevanAt /
   subhāṣaṇānmṛto yastu sa vidvāndharmavittamaḥ // GarP_2,24.45 //	su BAzaNAt mRtaH yaH tu sa vidvAn Darma vittamaH // GarP_2,24.45 //
   adattadānācca bhaveddaridro daridrabhāvācca karotipāpam /	adatta dAnAt ca Bavet daridraH daridra BAvAt ca karoti pApam /
   pāpaprabhāvānnarakaṃ prayāti punardaridraḥ punareva pāpī // GarP_2,24.46	pApa praBAvAt narakam prayAti punar daridraH punar eva pApI // GarP_2,24.46
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśākhye dharmakāṇḍe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSa AKye Darma kANxe
   pretakalpe śrīkṛṣṇagaruḍasaṃvāde 'lpāyurmaraṇahe tubālāntyeṣṭyornirūpaṇaṃ	preta kalpe SrI kRzNa garuxa saMvAde alpa AyuH maraNa he tubAla antya izwyoH nirUpaNam
   nāma caturviśo 'dhyāyaḥ	nAma caturviSaH aDyAyaH
   śrīgaruḍamahāpurāṇam  25	SrI garuxa mahApurANam 25
   śrīviṣṇuruvāca /	SrI vizNuH uvAca /
   ataḥ paraṃ pravakṣyāmi puruṣastrī vinirṇayam /	atas param pravakzyAmi puruza strI vinirNayam /
   jīvanvāpi mṛto vāpi pañcavarṣādhiko 'pi vā // GarP_2,25.1 //	jIvan vA api mRtaH vA api paQca varza aDikaH api vA // GarP_2,25.1 //
   pūrṇe tu pañcame varṣe pumāṃścaiva pratiṣṭhitaḥ /	pUrNe tu paQcame varze pumAn= ca eva pratizWitaH /
   sarvaindriyāṇi jānāti rūpārūpaviparyayau // GarP_2,25.2 //	sarva EndriyANi jAnAti rUpA rUpa viparyayO // GarP_2,25.2 //
   pūrvakarmavipākena prāṇināṃ vadhabandhanam /	pUrva karma vipAkena prANinAm vaDa banDanam /
   viprādīnantyajānsarvānpāpaṃ mārayati dhruvam // GarP_2,25.3 //	vipra AdIn antyajAn sarvAn pApam mArayati Druvam // GarP_2,25.3 //
   garbhe naṣṭe kriyā nāsti dugdhaṃ deyaṃ mṛte śiśau /	garBe nazwe kriyA na asti dugDam deyam mRte SiSO /
   paraṃ ca pāyasaṃ kṣīraṃ dadyādvalavipattitaḥ // GarP_2,25.4 //	param ca pAyasam kzIram dadyAt vala vipattitaH // GarP_2,25.4 //
   ekādaśāhaṃ dvādaśāhaṃ vṛṣaṃ vṛṣavidhiṃ vinā /	ekAdaSa aham dvAdaSa aham vRzam vRza viDim vinA /
   mahādānavihīnaṃ ca kumāre kṛtyamādiśet // GarP_2,25.5 //	mahA dAna vihInam ca kumAre kRtyam AdiSet // GarP_2,25.5 //
   kumārāṇāṃ caiva bālānāṃ bhojanaṃ vastraveṣṭanam /	kumArANAm ca eva bAlAnAm Bojanam vastra vezwanam /
   bāle vā taruṇe vṛddhe ghaṭo bhavati vai mṛte // GarP_2,25.6 //	bAle vA taruNe vRdDe GawaH Bavati vE mRte // GarP_2,25.6 //
   bhūmau viniḥ kṣipedbālaṃ dvimāsonaṃ dvivārṣikam /	BUmO viniH kzipet bAlam dvi mAsa Unam dvi vArzikam /
   tataḥ paraṃ khagaśreṣṭha dehadāho vidhoyate // GarP_2,25.7 //	tatas param Kaga SrezWa deha dAhaH viDoyate // GarP_2,25.7 //
   śiśurā dantajananādbālaḥ syādyāvadāśikham /	SiSurAH danta jananAt bAlaH syAt yAvadASiKam /
   kathyate sarvaśāstreṣu kumāro mauñjibandhanāt // GarP_2,25.8 //	kaTyate sarva SAstrezu kumAraH mOQjibanDanAt // GarP_2,25.8 //
   śūdrādīnāṃ kathaṃ kuryātsaṃśayo mauñjivarjanāt /	SUdra AdInAm kaTam kuryAt saMSayaH mOQji varjanAt /
