   darpadalanam	darpa-dalanam
   saṃbhāro 'yaṃ bhuvanabhavanavyāptiparyāptabhogaḥ sarvāśāsu	saMBAraH ayam Buvana-Bavana-vyApti-paryApta-BogaH sarva-ASAsu
   pratatajanatāpūraṇe 'tyantatucchaḥ /	pratata-janatA-pUraNe atyanta-tucCaH /
   āpannārtipraśamanavidhau sattvaśuddhipradāne saṃnaddhānāmapi tṛṇakaṇaḥ	Apanna-Arti-praSamana-viDO sattva-SudDi-pradAne saMnadDAnAm-api tRNa-kaNaH
   kāñcanādritvameti // KDarp_6.37 //	kAQcana-adri-tvam-eti // KDarp_6.37 //
   śrūyatām yanmayā dṛṣṭaṃ bhūpate svayamadbhutam /	SrUyatAm yat-mayA dRzwam BUpate svayam-adButam /
   udetyudīrite yasmin kāye romāñcakañcukaḥ // KDarp_6.38 //	udeti-udIrite yasmin kAye romAQca-kaQcukaH // KDarp_6.38 //
   śiloñchavṛttinā pūrvaṃ vipreṇa kṣetracāriṇā /	Sila-uQCa-vRttinA pUrvam vipreNa kzetra-cAriNA /
   upavāsakṛśenāptaṃ yavastokaṃ kalatriṇā // KDarp_6.39 //	upavAsa-kRSena-Aptam yava-stokam kalatriNA // KDarp_6.39 //
   saktupātre tataḥ siddhe kṛtadevapitṛkriyaḥ /	saktu-pAtre tatas sidDe kRta-deva-pitR-kriyaH /
   jāyāputravibhāgena svaṃ bhāgaṃ bhoktumudyayau // KDarp_6.40 //	jAyA-putra-viBAgena svam BAgam Boktum-udyayO // KDarp_6.40 //
   sa prāṇāhutitoyārthī dadarśātithimāgatam /	sa prANa-Ahuti-toya-arTI dadarSa-atiTim-Agatam /
   kṣutkṣāmakukṣiṃ saṃkṣipta- sarvāṅgaśithilākṛtim // KDarp_6.41 //	kzuD-kzAma-kukzim saMkzipta sarva-aFga-SiTila-AkRtim // KDarp_6.41 //
   tasmai vihitasatkāraḥ saprasādena cetasā /	tasmE vihita-satkAraH sa-prasAdena cetasA /
   śraddhāsudhāvasiktaṃ tat sa dadau nijabhojanam // KDarp_6.42 //	SradDA-suDA-avasiktam tat sa dadO nija-Bojanam // KDarp_6.42 //
   nigīrṇo 'tithinā tasminn akṣīṇakṣudvikāriṇā /	nigIrNaH atiTinA tasmin akzINa-kzuD-vikAriNA /
   tadbhāryāpyādaravatī tasmai svamaśanaṃ dadau // KDarp_6.43 //	tad-BAryA-api-AdaravatI tasmE svam-aSanam dadO // KDarp_6.43 //
   tenāpyatṛptimālokya tatsūnuḥ śraddhayātithim /	tena-api-atRptim-Alokya tad-sUnuH SradDayA-atiTim /
   svabhojanena vidadhe saṃpūrṇāśananirvṛttam // KDarp_6.44 //	sva-Bojanena vidaDe saMpUrNa-aSana-nirvRttam // KDarp_6.44 //
   gate bhuktvātithau tasminn upavāsakṛśo dvijaḥ /	gate BuktvA-atiTO tasmin upavAsa-kRSaH dvijaH /
   sattvotsāhayutastasthau klānto 'pi niśi nirvyathaḥ // KDarp_6.45 //	sattva-utsAha-yutaH-tasTO klAntaH api niSi nirvyaTaH // KDarp_6.45 //
   athāhaṃ saktugandhena nirgataḥ kṣudhito bilāt /	aTa-aham saktu-ganDena nirgataH kzuDitaH bilAt /
   prāptastatparṇakuṭikām utsṛṣṭocchiṣṭavartinīm // KDarp_6.46 //	prAptaH-tad-parNa-kuwikAm utsRzwa-ucCizwa-vartinIm // KDarp_6.46 //
   tatrācamanatoyena spṛṣṭamātrasya me nṛpa /	tatra-Acamana-toyena spRzwa-mAtrasya me nRpa /
   pasya me dakṣiṇaṃ pārśvaṃ jataṃ hemamayacchavi // KDarp_6.47 //	pasya me dakziNam pArSvam jatam hemam-aya=-Cavi // KDarp_6.47 //
   tato 'haṃ vāmapārśvasya hemacchāyāptaye sadā /	tatas aham vAma-pArSvasya hema=-CAyA-Aptaye sadA /
   nirnidraścintayā yātaḥ kṛśatāmeva kevalam // KDarp_6.48 //	nirnidraH-cintayA yAtaH kRSa-tAm-eva kevalam // KDarp_6.48 //
   yadyatprāpnoti puruṣaḥ karmayogātsamīhitam /	yat-yat-prApnoti puruzaH karma-yogAt-samIhitam /
   tattatsaṃpūraṇāyaiva yāti cintāvidheyatām // KDarp_6.49 //	tad-tad-saMpUraNAya-eva yAti cintA-viDeya-tAm // KDarp_6.49 //
   adhunā vartamāne 'sminn aśvamedhe tava kratau /	aDunA vartamAne asmin aSvameDe tava kratO /
   hemapārśvāśayāyāto viprocchiṣṭāmahīmaham // KDarp_6.50 //	hema-pArSva-ASaya-AyAtaH vipra-ucCizwAmahIm-aham // KDarp_6.50 //
   ratnakāñcanapātrāmbu- siktasya luṭhataściram /	ratna-kAQcana-pAtra-ambu siktasya luWataH-ciram /
   mama kāntilavo 'pyaṅge na kaścidiha dṛśyate // KDarp_6.51 //	mama kAnti-lavaH api-aFge na kaScid-iha dRSyate // KDarp_6.51 //
   sarvathā sattvaśuddhāya dānāyātilaghīyase /	sarvaTA sattva-SudDAya dAnAya-ati-laGIyase /
   namo mahāphalāyaiva na bhogāṅgaprasaṅgine // KDarp_6.52 //	namaH mahA-PalAya-eva na Boga-aFga-prasaFgine // KDarp_6.52 //
   ityuktvā nakule yāte tattatheti yudhiṣṭhiraḥ /	iti-uktvA nakule yAte tat-taTA-iti yuDizWiraH /
   vicintya saṃtatocchvāsaḥ kṣaṇaṃ stimitatāṃ yayau // KDarp_6.53 //	vicintya saMtata-ucCvAsaH kzaNam stimita-tAm yayO // KDarp_6.53 //
   tasmātsuvarṇāmbararatnabhūmi- dānairna darpaḥ puruṣeṇa kāryaḥ /	tasmAt-suvarNa-ambara-ratna-BUmi dAnEH-na darpaH puruzeNa kAryaH /
   bhavatyudāraṃ karuṇārdrasattvaṃ dānaṃ sadā kasyacideva puṇyaiḥ //	Bavati-udAram karuNA-Ardra-sattvam dAnam sadA kasyacid-eva puNyEH //
   KDarp_6.54 //	KDarp_6.54 //
   saptamo vicāraḥ	saptamaH vicAraH
   tapaḥ sadā rāgadhanābhimāna- mohaprahāṇāya satāmabhīṣṭam /	tapaH sadA rAga-Dana-aBimAna moha-prahANAya satAm-aBIzwam /
   tenaiva darpo yadi kiṃ vṛthaiva tyakto nikāyaḥ kṣapitaśca kāyaḥ //	tena-eva darpaH yadi kim vRTA-eva tyaktaH nikAyaH kzapitaH-ca kAyaH //
   KDarp_7.1 //	KDarp_7.1 //
   sarvātmanā śuddhadhiyā vidheyaḥ saṃsāradoṣapraśamāya yatnaḥ /	sarva-AtmanA SudDa-DiyA viDeyaH saMsAra-doza-praSamAya yatnaH /
   kopopataptaṃ dhanarāgadigdhaṃ karoti tīvraṃ na tapaḥ praśāntim //	kopa-upataptam Dana-rAga-digDam karoti tIvram na tapaH praSAntim //
   KDarp_7.2 //	KDarp_7.2 //
   cittaṃ viraktaṃ yadi kiṃ tapobhiś cittaṃ sarāgaṃ yadi kiṃ tapobhiḥ /	cittam viraktam yadi kim tapoBiH cittam sa-rAgam yadi kim tapoBiH /
   cittaṃ prasannaṃ yadi kiṃ tapobhiś cittaṃ sakopaṃ yadi kiṃ tapobhiḥ //	cittam prasannam yadi kim tapoBiH cittam sa-kopam yadi kim tapoBiH //
   KDarp_7.3 //	KDarp_7.3 //
   kopena śāpaśpuritādharāṇāṃ kāmena kampasphuritādharāṇām /	kopena SApa-Spurita-aDarANAm kAmena kampa-sPurita-aDarANAm /
   svedāmbhasā tulyasamudbhavena nistejasāṃ kiṃ tapasā munīnām // KDarp_7.4	sveda-amBasA tulya-samudBavena nistejasAm kim tapasA munInAm // KDarp_7.4
   bhāryāpyahalyā kila gautamasya kruddhasya śāpena śilā babhūva /	BAryA-api-ahalyA kila gOtamasya krudDasya SApena SilA baBUva /
   nīto vasiṣṭhena ruṣābhiśaptaś caṇḍālatāṃ bhūmipatistraśaṅkuḥ // KDarp_7.5	nItaH vasizWena ruzA-aBiSaptaH caNxAla-tAm BUmipatistraSaFkuH // KDarp_7.5
   bhūmagnamūrtirvararatnalobhād vipāṭayantīṃ nayane sukanyām /	BU-magna-mUrtiH-vara-ratna-loBAt vipAwayantIm nayane sukanyAm /
   tatpāṇisaṃsparśasukhādareṇa sehe nikāraṃ cyavanaḥ sarāgaḥ // KDarp_7.6 //	tad-pANi-saMsparSa-suKa-AdareNa sehe nikAram cyavanaH sa-rAgaH // KDarp_7.6 //
   pāṇḍuḥ priyākaṇṭhavilambibāhur yayau stananyastatanuryadastam /	pANxuH priyA-kaNWa-vilambi-bAhuH yayO stananyasta-tanuH-yat-astam /
   dagdhaḥ parīkṣitphaṇiphūtkṛtairyat tapasvikopasya vijṛmbhitaṃ tat //	dagDaH parIkzit-PaNiPUtkRtEH-yat tapasvi-kopasya vijRmBitam tat //
   KDarp_7.7 //	KDarp_7.7 //
   visārasaṃsāratarorna yena niḥśeṣamunmūlitameva mūlam /	visAra-saMsAra-taroH-na yena niHSezam-unmUlitam-eva mUlam /
   śāpopatāpaprabhuṇā pareṣāṃ kiṃ tena mithyātapasā munīnām // KDarp_7.8 //	SApa-upatApa-praBuNA parezAm kim tena miTyA-tapasA munInAm // KDarp_7.8 //
   na rājasevārajasā viluptaṃ na bhūmividyādivivādataptam /	na rAja-sevA-rajasA viluptam na BUmi-vidyA-Adi-vivAda-taptam /
   na dambhadīkṣākuhakākulaṃ yat kalyāṇamittraṃ vimalaṃ vrataṃ tat //	na damBa-dIkzA-kuhaka-Akulam yat kalyANa-mittram vimalam vratam tat //
   KDarp_7.9 //	KDarp_7.9 //
   sasaṃcayaṃ guptakalatraputraṃ punargṛhītavyavāharabhāram /	sa-saMcayam gupta-kalatra-putram punar-gRhIta-vyavAhara-BAram /
   dambhābhimānodbhavakaṣṭabhūtaṃ mithyāvrataṃ jīvitavṛttyupāyaḥ //	damBa-aBimAna-udBava-kazwa-BUtam miTyA-vratam jIvita-vRtti-upAyaH //
   KDarp_7.10 //	KDarp_7.10 //
   sarāgarogaṃ bahulapramohaṃ sarogasaṃbhāramakharvagarvam /	sa-rAga-rogam bahula-pramoham sa-roga-saMBAram-aKarva-garvam /
   pradveṣadoṣoṣṇamameyamāyaṃ saṃsāracihnaṃ vratametadagryam // KDarp_7.11 //	pradveza-doza-uzNam-ameya-mAyam saMsAra-cihnam vratam-etat-agryam // KDarp_7.11 //
   jaṭākṣasūtrājinayogapaṭṭa- kanyādṛḍhagranthinipīḍyamānam /	jawA-akza-sUtra-ajina-yoga-pawwa kanyA-dRXa-granTi-nipIxyamAnam /
   vivekahīnaṃ virataprakāśaṃ vrataṃ bṛhadbandhanamāmananti // KDarp_7.12 //	viveka-hInam virata-prakASam vratam bRhadbanDanam-Amananti // KDarp_7.12 //
   sarāgakāṣāyakaṣāyacittaṃ śīlāṃśukatyāgadigambaraṃ vā /	sa-rAga-kAzAya-kazAya-cittam SIla-aMSuka-tyAga-digambaram vA /
   laulyodbhavadbhasmabharaprahāsaṃ vrataṃ na veṣodbhaṭatulyavṛttam //	lOlya-udBavat-Basma-Bara-prahAsam vratam na veza-udBawa-tulya-vRttam //
   KDarp_7.13 //	KDarp_7.13 //
   niḥsaṅgayogaṃ dhanabhogasaṅgaṃ vilambikaṅkālakapālamālam /	niHsaFga-yogam Dana-Boga-saFgam vilambi-kaFkAla-kapAla-m-Alam /
   kopākulaṃ sparśavivarjanīyaṃ bhāravrataṃ tatkathayanti pāpam // KDarp_7.14	kopa-Akulam sparSa-vivarjanIyam BAra-vratam tat-kaTayanti pApam // KDarp_7.14
   bālastapasvī kimato 'sti hāsyaṃ yuvā vanaiṣī kimato 'styayogyam /	bAlaH-tapasvI kim-atas asti hAsyam yuvA vana-ezI kim-atas asti-ayogyam /
   vṛddha sarāgaḥ kimato 'sti nindyaṃ mūrkhaḥ pramātā kimato 'sti śocyam //	vRdDa sa-rAgaH kim-atas asti nindyam mUrKaH pramAtA kim-atas asti Socyam //
   KDarp_7.15 //	KDarp_7.15 //
   kṣamā śamaḥ śāsanamindriyāṇāṃ manaḥ prasiktaṃ karuṇāmṛtena /	kzamA SamaH SAsanam-indriyANAm manaH prasiktam karuNA-amRtena /
   tapo 'rhametatsajane vane vā kāyasya saṃśoṣaṇamanyadāhuḥ // KDarp_7.16 //	tapaH arham-etat-sajane vane vA kAyasya saMSozaNam-anyat-AhuH // KDarp_7.16 //
   himācale śyāmaladevadāru- vane purā nirjharacāruhāsye /	himAcale SyAmala-devadAru vane purA nirJara-cAru-hAsye /
   tapasyatāṃ śoṣajuṣāṃ munīnāṃ kālo yayau varṣasahasrasaṃkhyaḥ // KDarp_7.17	tapasyatAm Soza-juzAm munInAm kAlaH yayO varza-sahasra-saMKyaH // KDarp_7.17
   tataḥ kadācidbhagavānbhavārti- hārī vihārāya nabhaḥpathena /	tatas kadAcid-BagavAn-Bava-Arti hArI vihArAya naBaH-paTena /
   samaṃ bhavānyā vṛṣabhādhirūḍhaḥ samāyayau śītamayūkhamauliḥ // KDarp_7.18	samam BavAnyA vRzaBa-aDirUXaH samAyayO SItamayUKa-mOliH // KDarp_7.18
   tasyoditānāṃ vadanaprabhāṇāṃ dīrghīkṛtānekaśaśiprabhāṇām /	tasya-uditAnAm vadana-praBANAm dIrGIkRta-aneka-SaSi-praBANAm /
   vilāsahāsyena nabho babhūva vibhaktisaṃsaktasitottarīyam // KDarp_7.19 //	vilAsa-hAsyena naBaH baBUva viBakti-saMsakta-sita-uttarIyam // KDarp_7.19 //
   devī vilokyātha tapaḥprayatna- tīvraprayāsaprakaṭāsthiśeṣān /	devI vilokya-aTa tapaH-prayatna tIvra-prayAsa-prakawa-asTi-SezAn /
   munīnkṛpāveśaviṣaṇṇacittā śaśāṅkalekhābharaṇaṃ babhāṣe // KDarp_7.20 //	munIn-kRpa-AveSa-vizaNNa-cittA SaSAFka-leKA-ABaraNam baBAze // KDarp_7.20 //
   deva tvadārādhananiścalānāṃ saṃtyaktasarvāgrahanigrahāṇām /	deva tvad-ArADana-niScalAnAm saMtyakta-sarva-Agraha-nigrahANAm /
   tapa kriyāśoṣitavigrahāṇāṃ nādyāpi muktiḥ kimaho munīnām // KDarp_7.21 //	tapa kriyA-Sozita-vigrahANAm na-adya-api muktiH kim-aho munInAm // KDarp_7.21 //
   kasmādamī varṣasahasralagna- kleśāvalagnāstanuśoṣamagnāḥ /	kasmAt-amI varza-sahasra-lagna kleSa-avalagnAH-tanu-Soza-magnAH /
   bhavatpadaṃ nityasukhāya naiva nirāmayaṃ tanmunayaḥ prayānti // KDarp_7.22	Bavat-padam nitya-suKAya na-eva nirAmayam tat-munayaH prayAnti // KDarp_7.22
   pṛthuḥ prasādaḥ prathamāgateṣu nirādaratvaṃ cirasaṃśriteṣu /	pRTuH prasAdaH praTama-Agatezu nirAdara-tvam cira-saMSritezu /
   svācchandyalīlāvipulāvalepād eṣu svabhāvaḥ sulabhaḥ prabhūṇām //	svAcCandya-lIlA-vipula-avalepAt ezu svaBAvaH sulaBaH praBUNAm //
   KDarp_7.23 //	KDarp_7.23 //
   iti priyāyāḥ praṇayopapannam ākarṇya vākyaṃ giriśo 'bravīttām /	iti priyAyAH praNaya-upapannam AkarNya vAkyam giriSaH abravIt-tAm /
   kurvanviṣaśyāmalakaṇṭhakāntiṃ dantaprabhābhiḥ pratibhāvihīnam //	kurvan-viza-SyAmala-kaNWa-kAntim danta-praBABiH pratiBA-vihInam //
   KDarp_7.24 //	KDarp_7.24 //
   devi tvayoktam dayayā munīnāṃ bhaktānurodhāducitaṃ mamaitat /	devi tvayA-uktam dayayA munInAm Bakta-anuroDAt-ucitam mama-etat /
   eṣāṃ bhavollaṅganavighnabhūtau śāntiṃ gatau kiṃ tu na kāmakopau //	ezAm Bava-ullaFgana-viGna-BUtO SAntim gatO kim tu na kAma-kopO //
   KDarp_7.25 //	KDarp_7.25 //
   vanapraveśairniyamairaśeṣaiḥ kriyāviśeṣaiḥ kṛtakāyaśoṣaiḥ /	vana-praveSEH-niyamEH-aSezEH kriyA-viSezEH kRta-kAya-SozEH /
   na nirvikāraṃ padamāpnuvanti kopena kāmena ca kṛṣyamāṇāḥ // KDarp_7.26 //	na nirvikAram padam-Apnuvanti kopena kAmena ca kRzyamANAH // KDarp_7.26 //
   pratyakṣameṣāṃ manaso vikāraṃ saṃdarśayāmyeṣa niṣaktamantaḥ /	pratyakzam-ezAm manasaH vikAram saMdarSayAmi-eza nizaktam-antar /
   tīvravrataiḥ śuṣyati kāya eva na vāsanālīnaghanapramohaḥ // KDarp_7.27 //	tIvra-vratEH Suzyati kAyaH eva na vAsanA-lIna-Gana-pramohaH // KDarp_7.27 //
   saṃtyaktabhogāḥ spṛhayā vimuktāḥ snehe 'pyarāgāḥ sujane 'pyasaṅgāḥ /	saMtyakta-BogAH spRhayA vimuktAH snehe api-arAgAH su-jane api-asaFgAH /
   bhajantyavikleśatapaḥprasaktā yuktāḥ prakāmaṃ padamavyayaṃ tat //	Bajanti-avikleSa-tapaH-prasaktAH yuktAH prakAmam padam-avyayam tat //
   KDarp_7.28 //	KDarp_7.28 //
   uktveti śaṃbhurvṛṣabhātsalīlaṃ girerivāgrādavatīrya bhūmim /	uktvA-iti SaMBuH-vRzaBAt-sa-lIlam gireH-iva-agrAt-avatIrya BUmim /
   kṣaṇādabhūdadbhutarūparāśir nagnavrataḥ kāntisudhāvadātaḥ // KDarp_7.29 //	kzaNAt-aBUt-adButa-rUpa-rASiH nagna-vrataH kAnti-suDA-avadAtaH // KDarp_7.29 //
   tasyāmarādhīśakirīṭaratna- śoṇaprabhārdrāviva pādapadmau /	tasya-amara-aDISa-kirIwa-ratna SoNa-praBA-ArdrO=-iva pAda-padmO /
   pracakraturvidrumabālavallī- navaprarohādbhutagarvamurvyām // KDarp_7.30	pracakratuH-vidruma-bAla-vallI nava-praroha-adButa-garvam-urvyAm // KDarp_7.30
   suspaṣṭajānu pracitoruśobhi nābhihradāvartavibhaktamadhyam /	su-spazwa-jA-anu pracita-uru-SoBi na-aBihradAvarta-viBakta-maDyam /
   tattasya rūpaṃ pravilambibāhoḥ pīnāṃsamāsīnmukhapūrṇacandram // KDarp_7.31	tat-tasya rUpam pravilambi-bAhoH pIna-aMsam-AsIt-muKa-pUrNa-candram // KDarp_7.31
   ananyalāvaṇyasudhābdhimadhya- snātairivāṅgaiḥ sphaṭikāvadātaiḥ /	ananya-lAvaNya-suDA-abDi-maDya snAtEH-iva-aFgEH sPawika-avadAtEH /
   cakre daśāśāḥ sa pṛthuprakāśā digambaratvādiva jātahāsāḥ // KDarp_7.32 //	cakre daSa-ASAH sa pRTu-prakASAH digambara-tvAt-iva jAta-hAsAH // KDarp_7.32 //
   pāṇisthitaśyāmamayūrapicchacchāyācchaṭāvicchurito 'sya kaṇṭhaḥ /*	pANi-sTita-SyAma-mayUra-picCa=-CAyAt-CawA-vicCuritaH asya kaNWaH /*
   rarāja līnāntarakālakūṭamiṣāgninevārpitadhūmalekhaḥ // KDarp_7.33 //*	rarAja lIna-antara-kAla-kUwa-miza-agninA-iva-arpita-DUma-leKaH // KDarp_7.33 //*
   sa locanābhyāṃ pṛthupakṣmalābhyām āraktaparyantamanoharābhyām /	sa locanAByAm pRTu-pakzmalAByAm Arakta-paryanta-manoharAByAm /
   vyadhādivānaṅganavāṅgasaṅge digaṅganānāmanurāgadīkṣām // KDarp_7.34 //	vyaDAt-iva-anaFga-navAFga-saFge diS-aFganAnAm-anurAga-dIkzAm // KDarp_7.34 //
   dṛṣṭvā trilokīkalitābhilāṣaṃ vapuḥ smarārerjanitasmaraṃ tat /	dRzwvA trilokI-kalita-aBilAzam vapuH smara-areH-janitasmaram tat /
   pūrvāpakārasmṛtijātalajjaṃ cakṣuḥ kṣaṇaṃ kvāpi yayau tṛtīyam // KDarp_7.35	pUrva-apakAra-smRti-jAta-lajjam cakzuH kzaNam kvApi yayO tRtIyam // KDarp_7.35
   babhau sa kāntaḥ kuṭilāsitena skandhaspṛśā kuntalasaṃcayena /	baBO sa kAntaH kuwila-asitena skanDa-spRSA kuntala-saMcayena /
   anveṣṭumiṣṭāṃ mukuṭendulekhāṃ niśāgaṇeneva samāgatena // KDarp_7.36 //	anvezwum-izwAm mukuwa-indu-leKAm niSA-gaNena-iva samAgatena // KDarp_7.36 //
   latāvadhūpallavapāṇimuktaiḥ smitāvadātairvibabhau ca puṣpaiḥ /	latA-vaDU-pallava-pANi-muktEH smita-avadAtEH-vibaBO ca puzpEH /
   rūpāntare nihnutajahnukanyā- phenāvaśeṣairiva kīrṇakeśaḥ // KDarp_7.37 //	rUpa-antare nihnuta-jahnu-kanyA Pena-avaSezEH-iva kIrNa-keSaH // KDarp_7.37 //
   tenānyarūpeṇa kṛtā navaiva kāntiścakāśe nijarūpaguptyai /	tena-anya-rUpeNa kRtA nava-eva kAntiH-cakASe nija-rUpa-guptyE /
   jūṭādivendurmṛditaḥ karābhyāṃ sarvāṅgamabhyaṅgapade niyuktaḥ // KDarp_7.38	jUwa-Adi-venduH-mRditaH karAByAm sarva-aFgam-aByaFga-pade niyuktaH // KDarp_7.38
   rūpaṃ virūpīkṛtamanmathasya tattasya kāntyā kamanīyamāsīt /	rUpam virUpIkRta-manmaTasya tat-tasya kAntyA kamanIyam-AsIt /
   lajjāpahārādvanadevatānāṃ savismayo yena navābhilāṣaḥ // KDarp_7.39 //	lajjA-apahArAt-vana-devatAnAm sa-vismayaH yena nava-aBilAzaH // KDarp_7.39 //
   vivāsasastasya sasaṅgamaṅge lajjāvatīnāṃ spṛhayaiva petuḥ /	vivAsasaH-tasya sa-saFgam-aFge lajjAvatInAm spRhayA-eva petuH /
   netrāṇi vidyādharasundarīṇāṃ līlāravindārdhatiraskṛtāni // KDarp_7.40 //	netrANi vidyADara-sundarINAm lIlA-aravinda-arDa-tiraskRtAni // KDarp_7.40 //
   nabhaḥsthitānāṃ tridaśāṅganānāṃ tadgātrasaundaryavaśīkṛtānām /	naBaH-sTitAnAm tridaSa-aFganAnAm tad-gAtra-sOndarya-vaSIkRtAnAm /
   prakampaśiñjānavibhūṣaṇānāṃ netrotsavo 'bhūdgativighnabhūtaḥ // KDarp_7.41	prakampa-SiQjAna-viBUzaNAnAm netra-utsavaH aBUt-gati-viGna-BUtaH // KDarp_7.41
   susiddhakanyāñjalipallavāgra- vimuktanīlotpalapuṣpakuñjam /	su-sidDa-kanyA-aQjali-pallava-agra vimukta-nIlotpala-puzpa-kuQjam /
   aṅge jagallocanavargamasya saundaryasaṃsaktamivābabhāse // KDarp_7.42 //	aFge jagat-locana-vargam-asya sOndarya-saMsaktam-iva-AbaBAse // KDarp_7.42 //
   taddarśane kautukaniścalānāṃ karṇāvataṃsīkṛtalocanānām /	tad-darSane kOtuka-niScalAnAm karNa-avataMsIkRta-locanAnAm /
   mṛgāṅganānāmapi saspṛhābhūn nitāntamantaḥkaraṇapravṛttiḥ // KDarp_7.43 //	mRga-aFganAnAm-api sa-spRhA-aBUt nitAntam-antaHkaraNa-pravRttiH // KDarp_7.43 //
   tasya praveśe vadanādhivāsa- lobhabhramadbhṛṅgagaṇāñcitānām /	tasya praveSe vadana-aDivAsa loBa-Bramat-BRFga-gaNa-AQcitAnAm /
   abhūtsajṛmbhaśvasanākulānāṃ muhurlatānāṃ kusumeṣu kampaḥ // KDarp_7.44 //	aBUt-sa-jRmBa-Svasana-AkulAnAm muhur-latAnAm kusumezu kampaH // KDarp_7.44 //
   śanaiḥ śanairāśramasaṃnikarṣaṃ taṃ yauvanaṃ mūrtamivāpatantam /	SanEs SanEs-ASrama-saMnikarzam tam yOvanam mUrtam-iva-Apatantam /
   vilokya kāntaṃ munikāminīnāṃ manaḥ praharṣocchalitaṃ babhūva // KDarp_7.45	vilokya kAntam muni-kAminInAm manaH praharza-ucCalitam baBUva // KDarp_7.45
   tāsāṃ tadālokananirnimeṣā dṛṣṭiḥ paraṃ karṇapathapraviṣṭā /*	tAsAm tad-Alokana-nirnimezA dRzwiH param karNa-paTa-pravizwAH /*
   utsṛṣṭalajjāvipulābhilāṣādasūcayanmugdhamṛgīvilāsam // KDarp_7.46 //*	utsRzwa-lajjA-vipula-aBilAzA-da-sUcayat-mugDa-mRgI-vilAsam // KDarp_7.46 //*
   tāsāṃ tadarcārabhasotthitānāṃ srastāṃśukotkampighanastanīnām /	tAsAm tad-arcA-AraBasa-utTitAnAm srasta-aMSuka-utkampi-Gana-stanInAm /
   navena kāmena khalīkṛtānāṃ jṛmbhābhavo 'bhūdbhujayorvilāsaḥ // KDarp_7.47	navena kAmena KalIkRtAnAm jRmBA-BavaH aBUt-BujayoH-vilAsaH // KDarp_7.47
   tāsāṃ babhau romalatā mukhendu- bhītā tamaḥśrīḥ stanarakṣiteva /	tAsAm baBO romalatA muKa-indu BItA tamaH-SrIH stana-rakzitA-iva /
   rāgāgnidhūmaprasarāgryalekhā tanīyasī nābhivinirgateva // KDarp_7.48 //	rAga-agni-DUma-prasara-agrya-leKA tanIyasI nABi-vinirgatA-iva // KDarp_7.48 //
   tasyādhare cumbanalālaseva kaṇṭhe haṭhāliṅganasaspṛheva /	tasya-aDare cumbana-lAla-sA-iva kaNWe haWa-aliFganasa-spRhA-iva /
   hṛdi stananyāsasamutsukeva papāta dṛṣṭiḥ sahasaiva tāsām // KDarp_7.49 //	hRdi stana-nyAsa-samutsukA-iva papAta dRzwiH sahasA-eva tAsAm // KDarp_7.49 //
   bhṛṅgasvanairāhitahuṃkṛtābhiḥ puṣpyatprasūnaiḥ prasṛtasmitābhiḥ /	BRFga-sva-nErAhita-huMkRtABiH puzpyat-prasUnEH prasRta-smitABiH /
   vātāñcitaiḥ pallavapaṇibhistā nivāryamāṇā iva mañjarībhiḥ // KDarp_7.50 //	vAta-AQcitEH pallava-paNiBiH-tAH nivAryamANAH iva maQjarIBiH // KDarp_7.50 //
   saṃtarjyamānā iva homadhūma- lekhāvalībhrūbhramaṇena digbhiḥ /	saMtarjyamAnAH iva homaDUma leKA-AvalI-BrU-BramaNena digBiH /
   tasyāntike śīladukūlamukti- sajjā vilajjāḥ prasabhaṃ babhūvuḥ //	tasya-antike SIla-dukUla-mukti sajjAH vilajjAH prasaBam baBUvuH //
   KDarp_7.51 //	KDarp_7.51 //
   niḥśvāsinīnāṃ smarabāṇapuṅkha- pakṣāntavātairiva kampitānām /	niHSvAsinInAm smara-bANa-puFKa pakza-anta-vAtEH-iva kampitAnAm /
   tāsāṃ vilokyaiva manovikāraṃ bhrūbhaṅgabhīmā muniparṣadāsīt // KDarp_7.52	tAsAm vilokya-eva manaH-vikAram BrU-BaFga-BImA muni-parzada-AsIt // KDarp_7.52
   kopotkaṭavyāghravidīryamāṇa- kṣamāmṛgīraktaciteva teṣām /	kopa-utkawa-vyAGra-vidIryamANa kzamA-mRgI-rakta-citA-iva tezAm /
   āsannadoṣāgamavāsarānta- saṃdhyānibhābhūtsahasaiva dṛṣṭiḥ // KDarp_7.53 //	Asanna-doza-Agama-vAsara-anta saMDyA-niBA-aBUt-sahasA-eva dRzwiH // KDarp_7.53 //
   daṣṭādharāḥ kampavidhūrṇamānāḥ svedārdradehā viṣamaṃ śvasantaḥ /	dazwa-aDarAH kampa-viDUrNamAnAH sveda-Ardra-dehAH vizamam SvasantaH /
   te bhejire rāgasamudgaterṣyāḥ kopākulāḥ kāmukavṛttameva // KDarp_7.54 //	te Bejire rAga-samudgata-IrzyAH kopa-AkulAH kAmuka-vRttam-eva // KDarp_7.54 //
   antarjvalatkopakṛśānudhūma- saṃkāśakṛṣṇājinabaddhakakṣaḥ /	antar-jvalat-kopa-kRSAnu-DUma saMkASa-kRzNa-ajina-badDa-kakzaH /
   tridaṇḍamudyamya javena kaścid abhyādravannagnatanuṃ vṛṣāṅkam //	tridaNxam-udyamya javena kaScid aByAdravat-nagna-tanum vRzAFkam //
   KDarp_7.55 //	KDarp_7.55 //
