   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   karmabhedako yo nirarthakaḥ, iha tūṣastabrāhmaṇoktātmana	karma BedakaH yaH nirarTakaH, iha tu Uzasta brAhmaNa ukta Atmana
   evāśanāyādyatyayarūpaviśeṣakathanārthatvādabhyāso 'nyathāsiddho na	eva aSanAya Adi atyaya rUpa viSeza kaTana arTa tvAt aByAsaH anyaTA asidDaH na
   vidyābhedaka iti samudāyārthaḥ //36//	vidyA BedakaH iti samudAya arTaH //36//
   END BsRp_3,3.22.36	END BsRp _3,3.22.36
   START BsRp_3,3.23.37ḥ	START BsRp _3,3.23.37H
   vyatihāro viśiṃṣanti hītaravat | BBs_3,3.37 |	vyatihAraH viSiMzanti hi itara vat | BBH _3,3.37 |
   vyatihāraḥ /	vyatihAraH /
   jīveśayormitho viśeṣaṇaviśeṣyabhāvo vyatihāraḥ, tasya śrutatvāt,	jIveSayoH miTaH viSezaNa viSezya BAvaH vyatihAraH, tasya Sruta tvAt,
   utkṛṣṭadṛṣṭirnikṛṣṭe kṛtā phalavatīti nyāyācca saṃśaye jīve	utkRzwa dRzwiH nikRzwe kRtA PalavatI iti nyAyAt ca saMSaye jIve
   īśvaratvamatireva kāryā uktanyāyāt, vyatihāraśrutistu tasyā eva	ISvara tva matiH eva kAryA ukta nyAyAt, vyatihAra SrutiH tu tasyAH eva
   dṛḍhīkaraṇārthatvenābhyāsavadanyathāsiddheti dṛṣṭāntena pūrvapakṣaḥ /	dRXIkaraNa arTa tvena aByAsa vat anyaTA asidDA iti dRzwAntena pUrva pakzaH /
   tatra lāghavaṃ phalaṃ liddhānte tu śrutyarthavattvamiti vivekaḥ /	tatra lAGavam Palam lidDAnte tu Sruti arTavat tvam iti vivekaH /
   ekenaiva tvamahamasmītyuccāraṇenaikatvamateḥ kṛtatvādahaṃ tvamasi iti	ekena eva tvam aham asmi iti uccAraNena eka tva mateH kRta tvAt aham tvam asi iti
   vṛthā syādityarthaḥ /	vRTA syAt iti arTaH /
   uktadoṣaṃ smārayati nanviti /	ukta dozam smArayati nanu iti /
   saṃdigdher'the nyāyaḥ sāvakāśaḥ, iha tu śrutatvādanyonyātmatvaṃ, dhyeyaṃ,	saMdigDer aTe nyAyaH sa avakASaH, iha tu Sruta tvAt anyonya Atma tvaM, DyeyaM,
   brahmaṇi manomayatvādivajjīvātmatvasya dhyānārthamārope 'pi	brahmaNi manaH maya tva Adi vat jIvA Atma tvasya DyAna arTam Arope api
   nikarṣaprasaktyabhāvāditi pariharati naiṣa doṣa iti /	nikarza prasakti aBAvAt iti pariharati na eza dozaH iti /
   brahmaṇi nikarṣaṃ hitvā jīvatādātmyadhyāne maduktamevāgatamiti	brahmaNi nikarzam hitvA jIva tAdAtmya DyAne mad uktam eva Agatam iti
   śaṅkate nanvevamiti /	SaFkate nanu evam iti /
   materdvirūpatvaṃ tvadanuktamasmābhirucyate dhyānaparaṃ vākyamidamekatvaṃ	mateH dvi rUpa tvam tvad anuktam asmABiH ucyate DyAna param vAkyam idam eka tvam
   tu mānāntarāvirodhātsidhyatīti samādhatte na vayamiti /	tu mAna antara aviroDAt siDyati iti samADatte na vayam iti /
   ahaṅgrahopāstiṣvayaṃ vyatihāra upasaṃhartavya ityāha tasmāditi //37//	ahaFgraha upAstizu ayam vyatihAraH upasaMhartavyaH iti Aha tasmAt iti //37//
   END BsRp_3,3.23.37	END BsRp _3,3.23.37
   START BsRp_3,3.24.38ḥ	START BsRp _3,3.24.38H
   saiva hi satyādayaḥ | BBs_3,3.38 |	sA eva hi satya AdayaH | BBH _3,3.38 |
   saiva hi satyādayaḥ /	sA eva hi satya AdayaH /
   sa yaḥ kaścidadhikārī mahadvyāpakaṃ yakṣaṃ pūjyaṃ bhautikeṣu	sa yaH kaScid aDikArI mahat vyApakam yakzam pUjyam BOtikezu
   prathamajametatsacca tyacceti sattyaṃ brahma hiraṇyagarbhākhyaṃ vedopāste	praTama jam etat sat ca tyat ca iti sattyam brahma hiraNyagarBa AKyam veda upAste
   tasya lokajayaḥ phalamityarthaḥ /	tasya loka jayaH Palam iti arTaH /
   satyamiti nāma tryakṣaraṃ satiyamiti, tatra prathamottame akṣare satyaṃ,	satyam iti nAma tri akzaram satiyam iti, tatra praTama uttame akzare satyaM,
   madhyasthamakṣaramanṛtamubhayataḥ satyena saṃpuṭitatvātsattyaprāyameva	maDyasTam akzaram anRtam uBayatas satyena saMpuwita tvAt sattya prAyam eva
   bhavatīti nāmākṣaropāsanā satyavidyāṅgatvenoktā /	Bavati iti nAma akzara upAsanA satya vidyA aFga tvena uktAH /
   yattatpūrvaprakṛtaṃ hṛdayākhyaṃ tatsaṃpratyuktayakṣatvādiguṇakaṃ, so	yat tat pUrva prakRtam hRdaya AKyam tad saMprati ukta yakza tva Adi guNakaM, saH 
   'sāvādityamaṇḍale 'kṣiṇi ca puruṣastasyāharityahamiti ca	asO= Aditya maNxale akziNi ca puruzaH tasya ahar iti aham iti ca
   nāmadvayajñānātpāpakṣayaḥ phalamityarthaḥ /	nAma dvaya jQAnAt pApa kzayaH Palam iti arTaH /
   atra pūrvottaravākyayoḥ phalabhedaśruteḥ prakṛtākarṣaṇācca	atra pUrva uttara vAkyayoH Pala Beda SruteH prakRta AkarzaNAt ca
   saṃśayamāha tatreti /	saMSayam Aha tatra iti /
   pūrvapakṣe guṇānāṃ vyavasthayānuṣṭhānaṃ, siddhānte tvanuṣṭhānaikyamiti	pUrva pakze guNAnAm vyavasTayA anuzWAnaM, sidDAnte tu anuzWAnEkyam iti
   phalam /	Palam /
   yathā jīveśayoranyenyātmatvaśrutibhedānmatidvairūpyamuktaṃ, tathātra	yaTA jIva ISayoH anyeni Atma tva Sruti BedAt mati dvErUpya m uktaM, taTA atra
   phalaśrutibhedādvidyābheda iti dṛṣṭāntena pūrvapakṣayati dve iti /	Pala Sruti BedAt vidyA BedaH iti dRzwAntena pUrva pakzayati  dve iti /
   viśeṣyabrahmamātrākarṣaṇamayuktaṃ, tadyattaditi sarvanāmabhiḥ	viSezya brahma mAtra AkarzaNam ayuktan, tat yat tat iti sarva nAmaBiH
   pūrvoktaguṇaviśiṣṭaṃ brahma ākṛṣyādityākṣisthānādiguṇavidhānāt, tathāca	pUrva ukta guNa viSizwam brahma AkRzya Aditya akzi sTAna Adi guNa viDAnAt, taTA ca
   vākyādeva vidyaikyasiddhiriti siddhāntayati ekaiveti /	vAkyAt eva vidyA Ekya sidDiH iti sidDAntayati  ekA eva iti /
   yathā daharaśāṇḍilyavidyayorbrahmaikyapratyabhijñānamātraṃ tathātra	yaTA dahara SANxilya vidyayoH brahma Ekya pratyaBijQAna mAtram taTA atra
   netyāha naitaditi /	na iti Aha na etat iti /
   kāraṇāntaraṃ prakaraṇabhedādikam /	kAraNa antaram prakaraNa Beda Adikam /
   evaṃ vidyābhede 'pyetadupāsyaikyajñānaṃ syādatra tūbhayathāsaṃbhave	evam vidyA Bede api etat upAsi a Ekya jQAnam syAt atra tu uBa yaTA saMBave
   vidyaikyanānātvasaṃśaye satyamityupāsyarūpaikyajñānādvidyaikyaniścaya	vidya Ekya nAnA tva saMSaye satyam iti upAsya rUpa Ekya jQAnAt vidya Ekya niScaya
   ityakṣarārthaḥ /	iti akzara arTaH /
   asatyapavādakāraṇe rūpaikyādvidyaikyotsargasiddhirna ca	asati apavAda kAraNe rUpa EkyAt vidya Ekya utsarga sidDiH na ca
   phalabhedādapavādaḥ /	Pala BedAt apavAdaH /
   aṅge phalaśruteḥ śrutimātratayā phalabhedāsiddhirityāha yatpunarityādinā /	aFge Pala SruteH Sruti mAtra tayA Pala Beda asidDiH iti Aha yat punar ityAdinA /
   kiñca yatra pradhānavidhāvevaṅkāma iti phalaṃ śrutaṃ, tatra	kiQca yatra praDAna viDO= evaFkAmaH iti Palam SrutaM, tatra
   pradhānaphalenaivāṅgānāṃ phalākāṅkṣānivṛtteraṅge phalaśruteḥ	praDAna Palena eva aFgAnAm Pala AkAFkzA nivRtteH aFge Pala SruteH
   stutimātratvaṃ, iha tu prathamaja satyaṃ brahmeti vedeti	stuti mAtra tvan, iha tu praTama ja satyam brahma iti veda iti
   pradhānavidyāvidhisthatvaṃ lokajayaphalasyābhyupetyāsmābhirnāmarūpāṅgasya	praDAna vidyA viDi sTa tvam loka jaya Palasya aByupetya asmABiH nAma rUpa aFgasya
   phalaśruteḥ stutitvamuktam /	Pala SruteH stuti tvam uktam /
   vastutastu pradhānavidhāvapyevaṅkāmapadābhāvādrātrisatranyāyena phale	vastutas tu praDAnaviDO= api evaFka Ama pada aBAvAt rAtri satra nyAyena Pale
   kalpanīye sati pradhāne tadaṅge vā yatkiñcitphalaṃ śrutaṃ tasya sarvasyāpi	kalpanIye sati praDAne tad aFge vA yat kiQcit Palam Srutam tasya sarvasya api
   śrutatvāviśeṣājjāteṣṭiphalanyāyena samuccityaikapradhānaphalatvabhedo	Sruta tva aviSezAt jAta izwi Pala nyAyena samuccitya eka praDAna Pala tva BedaH 
   'siddha ityāha apiceti /	asidDaH iti Aha apicA iti /
   sūtraṃ yojayati tasmāditi /	sUtram yojayati tasmAt iti /
   ekadeśivyākhyāmudbhāvya dūṣayati kecidityādinā /	eka deSivyAKyAm udBAvya dUzayati kecid ityAdinA /
   chāndogye karmāṅgodgīthe hiraṇyamayapuruṣadṛṣṭirityatra liṅgamāha tatreti	CAndogye karma aFga udgITe hiraNya maya puruza dRzwiH iti atra liFgam Aha tatra iti
   pṛthivyagnyātmanā dṛṣṭe ṛksāme geṣṇau, tasmādṛksāmageṣṇatvāt, puruṣa	pRTivI agni AtmanA dRzwe Rc sAme gezNO, tasmAt RS sAmagezNa tvAt, puruza
   udgītha ityevaṃ vidvānudgātā karmaphalasamṛddhisamartha iti śrutyarthaḥ /	udgITaH iti evam vidvAn udgAtA karma Pala samRdDi samarTaH iti Sruti arTaH /
   satyavidyā tu na karmāṅgaśritetyāha naivamiti /	satya vidyA tu na karma aFga SritA iti Aha na evam iti /
   aṅgavidyātaḥ svatantrahiraṇyagarbhavidyāyā bhedānna guṇopasaṃhāra	aFga vidyAtaH svatantra hiraNyagarBa vidyAyAH BedAt na guNa upasaMhAra
   ityarthaḥ //38//	iti arTaH //38//
   END BsRp_3,3.24.38	END BsRp _3,3.24.38
   START BsRp_3,3.25.39ḥ	START BsRp _3,3.25.39H
   kāmādītaratra tatra cāyatanādibhyaḥ | BBs_3,3.39 |	kAma Adi itaratra tatra ca Ayatana AdiByaH | BBH _3,3.39 |
   kāmādītaratra /	kAma Adi itaratra /
   saguṇanirguṇavidyayoḥ śrutāḥ satyakāmādayo vaśitvādayaśca guṇā mitha	sa guNa nirguNa vidyayoH SrutAH satya kAma AdayaH vaSi tva AdayaH ca guNAH miTa
   upasaṃhartavyā na vetyupasaṃhārasya phalabhāvābhāvābhyāṃ saṃdehe	upasaMhartavyA na vA iti upasaMhArasya Pala BAva aBAvAByAm saMdehe
   satyavidyāyā ekatvādguṇasāṃkarye 'pyatra vidyayoḥ saguṇanirguṇarūpabhedena	satya vidyAyAH eka tvAt guNa sAMkarye api atra vidyayoH sa guNa nirguNa rUpa Bedena
   bhedānnirguṇavidyāyāṃ guṇopasaṃhārasya phalābhāvāccānupasaṃhāra iti	BedAt nirguNa vidyAyAm guNa upasaMhArasya Pala aBAvAt ca anupasaMhAraH iti
   bahireva prāpte siddhāntayati tatredamityādinā /	bahis eva prApte sidDAntayati tatra idam ityAdinA /
   evaṃ vidyābhede sphuṭe kathaṃ guṇopasaṃhāraḥ, tatrāha guṇavatastviti /	evam vidyA Bede sPuwe kaTam guNa upasaMhAraH, tatra aha  guNavataH tu iti /
   bhinnāvidyāsthānāmapi guṇānāmāyatanādisāmyena nirguṇasthale buddhisthānāṃ	Binna avidyA sTAnAm api guNAnAm Ayatana Adi sAmyena nirguNa sTale budDi sTAnAm
   stutyarthamupasaṃhāro yuktaḥ, jñānastutiprakarṣasyākāṅkṣitatvāt, yatra	stuti arTam upasaMhAraH yuktaH, jQAna stuti prakarzasya AkAFkzita tva at, yatra
   kvaciddṛṣṭaguṇaiḥ stuteḥ kartuṃ yogyatvāt /	kvacid dRzwa guNEH stuteH kartum yogya tvAt /
   yadyapi saguṇasthasatyakāmādiṣu nirguṇasthaguṇā antarbhūtā eva tathāpi	yadi api sa guNa sTa satya kAma Adizu nirguNa sTaguNAH antarBUtAH eva taTA api
   nopasaṃhāroktervaiyarthyaṃ nirguṇastāvakatvena	na upasaMhAra ukteH vEyarTyam nirguNaH tAvaka tvena
   śrutaguṇānāmanyatrāpyadhyeyatvamiti	Sruta guNAnAm anyatra api aDyeya tvam iti
   śaṅkanirāsenāntarbhāvadārḍhyātvādityanavadyam //39//	SaFka nirAsena antar BAva dArXyAtu a Aditi anavadyam //39//
   END BsRp_3,3.25.39	END BsRp _3,3.25.39
   START BsRp_3,3.26.40ḥ	START BsRp _3,3.26.40H
   ādarādalopaḥ | BBs_3,3.40 |	AdarAt alopaH | BBH _3,3.40 |
   ādarādalopaḥ /	AdarAt alopaH /
   atra yacchabdāgnihotraśabdābhyāṃ saṃśayamāha tatredaṃ vicāryata iti /	atra yat Sabda agnihotra SabdAByAm saMSayam Aha tatra idam vicAryate iti /
   vaiśvānaropāsakenātithibhojanātprākkāryātvena	vESvAnara upAsakena atiTi BojanAt prAkkAryA tvena
   vidyāṅgaprāṇāgnihotravicārātpādasaṃgatiḥ /	vidyA aFga prANa agnihotra vicArAt pAda saMgatiH /
   pūrvapakṣe bhojanalope 'pi dravyāntareṇa prāṇāgnihotrānuṣṭhānaṃ, siddhānte	pUrva pakze Bojana lope api dravya antareNa prANa agnihotra anuzWAnaM, sidDAnte
   tallepa iti bhedaḥ /	tad lepaH iti BedaH /
   nanu yadbhaktamiti yacchabdena bhojanākṣiptaṃ bhaktamanūdya yaddhomīyamiti	nanu yat Baktam iti yat Sabdena Bojana Akziptam Baktam anUdya yat homIyam iti
   homasaṃyogavidhinādākṣepakabhojanalope tadākṣiptabhaktāśritahomalopa iti	homa saMyoga viDinAdAkzepaka Bojana lope tad Akzipta Bakta ASrita homa lopaH iti
   siddhāntī śaṅkate tadyaditi /	sidDAntI SaFkate  tat yat iti /
   nirguṇasyopāstilope 'pi stutyarthaguṇasthairyavadbhojanalope 'pi	nirguNasya upAsti lope api stuti arTa guNa sTErya vat Bojana lope api
   prāṇāgnihotrasyādareṇa stutinirvāhārthamalopa iti dṛṣṭāntena	prANa agni hotrasya AdareNa stuti nirvAha arTam alopaH iti dRzwAntena
   pūrvapakṣasūtreṇa pariharati evaṃ prāpta iti /	pUrva pakza sUtreNa pariharati  evam prAptaH iti /
   evaṃ taditi svayaṃ prāṇāgnihotramakṛtvātithīnāṃ tatkaraṇamityarthaḥ /	evam tat iti svayam prANa agnihotram akRtvA atiTInAm tat karaNam iti arTaH /
   uktaṃ smārayitvā pariharati nanvityādinā /	uktam smArayitvA pariharati nanu ityAdinA /
   yathā kuṇḍapāyisatragate māsāgnihotre	yaTA kuNxapAyi satra gate mAsa agnihotre
   'gnihotraśabdādgauṇānnityāgnihotravācakānnityāgnihotradharmāṇāṃ	agnihotra SabdAt gONAn nitya agnihotra vAcakAn nitya agnihotra DarmANAm
   payodravyādīnāṃ prāptistathehāpi	payaH dravya AdInAm prAptiH taTA iha api
   prāṇāhutiṣvagnihotraśabdavaśātpayodravyādīnāmutsargataḥ prāptau satyāṃ	prANa Ahutizu agnihotra Sabda vaSAt payaH dravya AdInAm utsargataH prAptO satyAm
   bhojanārthabhaktadravyavidhināpavādaḥ kṛtaḥ, ato	Bojana arTa Bakta dravya viDinA apavAdaH kRtaH, atas 
   bhaktavidherapavādārthatvādbhojanalope bhaktākhyaguṇasyāṅgasya lope 'pi na	Bakta viDeH apavAda arTa tvAt Bojana lope Bakta AKya guNasya aFgasya lope api na
   mukhyasyāgnihotrasya lopaḥ, apavādābhāve utsargaprāptapayādinā tasya	muKyasya agnihotrasya lopaH, apavAda aBAve utsarga prApta paya AdinA tasya
   niṣpattisaṃbhavāditi prāptamityarthaḥ /	nizpatti saMBavAt iti prAptam iti arTaH /
   'guṇalope na mukhyasya'iti jaiminisūtram /	aguNa lope na muKyasya aiti jEmini sUtram /
   ādhāne santi pavamāneṣṭyastatrāgnaye pavamānāya puroḍāśamaṣṭākapālaṃ	ADAne santi pavamAna izwyaH tatra agnaye pavamAnAya puroxASam azwAkapAlam
   nirvapediti nirvāpaḥ śrutastadaṅgatvenāgnihotrahavaṇyāṃ havīṃṣi	nirvapet iti nirvApaH SrutaH tad aFga tvena agni hotra havaNyAm havIMzi
   nirvapediti darśapūrṇāmāsākhyaprakṛtau vihitāgnihotra havaṇyatideśena	nirvapet iti darSa pUrNa AmAsa AKya prakRtO vihita agnihotra havaNi atideSena
   prāpta ādhānakāle cāgnihotrābhāvāttasyā guṇabhūtāyā lope 'pi mukhyasya	prAptaH ADAna kAle ca agnihotra aBAvAt tasyAH guNa BUtAyAH lope api muKyasya
   nirvāpasya na lopa ityarthaḥ /	nirvApasya na lopaH iti arTaH /
   ārabdhanityādikarmaṇo 'vaśyānuṣṭheyatvācchrutadravyālābhe	ArabDa nitya Adi karmaNaH avaSya anuzWeya tvAt Sruta dravya alABe
   pratinihitadravyeṇāpi karma kartavyamiti pratinidhinyāyaḥ //40//	pratinihita dravyeNa api karma kartavyam iti pratiniDi nyAyaH //40//
   END BsRp_3,3.26.40	END BsRp _3,3.26.40
   START BsRp_3,3.26.41ḥ	START BsRp _3,3.26.41H
   upasthite 'tastadvacanāt | BBs_3,3.41 |	upasTite atas tad vacanAt | BBH _3,3.41 |
   siddhāntayati upasthite 'tastadvacanāditi /	sidDAntayati  upasTite atas tad vacanAt iti /
   taddhomīyamiti tacchabdena bhojanārthasiddhabhaktamāśritya	tat homIyam iti tad Sabdena Bojana arTa sidDa Baktam ASritya
   homavidhānādityarthaḥ /	homa viDAnAt iti arTaH /
   siddhavadbhaktopanipātaḥ prakṛtabhaktāgamanaṃ, tasya tacchabdena	sidDa vat Bakta upanipAtaH prakRta Bakta Agamanan, tasya tad Sabdena
   parāmarśenetyarthaḥ /	parAmarSena iti arTaH /
   āśritya vihitāhutīnāmāśrayalope lopa eva na dravyāntarākṣepakatvaṃ, yathā	ASritya vihita AhutInAm ASraya lope lopaH eva na dravya antara Akzepaka tvan, yaTA
   kratuprayuktātpraṇayanāśritasya godohanasya kratulope lope na	kratu prayuktAt praNayana ASritasya go dohanasya kratu lope lope na
   tvāśrayāntaraprayojakatvaṃ tatheti phalitamāha tā	tu ASraya antara prayojaka tvam taTA iti Palitam Aha tA
   itiyaduktamagnihotraśabdāddravyāntaraprāptiriti, tatrāha na cātreti /	itiyat uktam agnihotra SabdAt dravya antara prAptiH iti, tatra aha na ca atra iti /
   tadvadbhāvo nityāgnihotrasādṛśyamarthavādasthaśabdasya	tadvat BAvaH nitya agnihotra sAdRSyam arTavAda sTa Sabdasya
   stutitvenopapatterityarthaḥ /	stuti tvena upapatteH iti arTaH /
   dharmaprāpakatve doṣamāha taddharmaprāptau ceti /	Darma prApaka tve doza mAha  tad Darma prAptO ca iti /
   ava eveti taddharmaprāptyabhāvādevetyarthaḥ /	avaH eva iti tad Darma prApti aBAvAt eva iti arTaH /
   prāptau saṃpādanaṃ vṛthā syāditi bhāvaḥ /	prAptO saMpAdanam vRTA syAt iti BAvaH /
   mukhyāgnihotrāṅgāni saṃpādyante cetkathaṃ tadanaṅgaṃ vediratra saṃpādyate	muKya agnihotra aFgAni saMpAdyante ced kaTam tad anaFgam vediH atra saMpAdyate
   tatrāha vediśrutiśceti /	tatra aha vedi SrutiH ca iti /
   mukhyāgnihotrasyāgnyuddharaṇavatsāyaṃprātaḥkāladvayasyāpi na	muKya agnihotrasya agni udDaraNa vatsAyaMprAtar kAla dvayasya api na
   prāptiriti bhojaneneti /	prAptiH iti Bojanena iti /
   upasthānaparistaraṇādayo 'pyagnyabhāvānna prāpnuvantītyāha evamiti /	upasTAna paristaraNa AdayaH api agni aBAvAt na prApnuvanti iti Aha evam iti /
   yasmāttaddharmaprāptyabhāvastasmādbhojanadravyeṇaiva homa ityusaṃhāraḥ /	yasmAt tad Darma prApti aBAvaH tasmAt Bojana dravyeNa eva homaH iti usaMhAraH /
   prāṇāya svāhā ityādayo mantrāḥ /	prANAya svAhA ityAdayaH mantrAH /
   nanu svāmibhojanasyottarakālatvaṃ śrutyādivihitaṃ kathaṃ pūrvo 'tidhibhyo	nanu svAmi Bojanasya uttara kAla tvam Sruti Adi vihitam kaTam pUrvaH atiDiByaH 
   'śnīyāditivacane bādhyate tatrāha na hyastīti /	aSnIyAt iti vacane bADyate tatra aha na hi asti iti /
   upāsakānyasvāmiviṣayamuttarakālatvavidhānamityarthaḥ /	upAsaka ani asvAmi vizayam uttara kAlatva viDAnam iti arTaH /
   na tviti prāthamyamātreṇetyarthaḥ /	na tu iti prATamya mAtreNa iti arTaH /
   prāṇopāsakasya prāpte bhojane prāthamyārthatayādarasyānyathāsiddhau	prANa upAsakasya prApte Bojane prATamyArTa tayA Adarasya anyaTA sidDO
   phalitamāha tasmāditi //41//	Palitam Aha tasmAt iti //41//
   END BsRp_3,3.26.41	END BsRp _3,3.26.41
   START BsRp_3,3.27.42ḥ	START BsRp _3,3.27.42H
   tannirdhāraṇāniyamastaddṛṣṭeḥ pṛthagghyapratibandhaḥ phalam | BBs_3,3.42 |	tad nirDAraNA niyamaH tat dRzweH pRTak hya pratibanDaH Palam | BBH _3,3.42 |
   tannirdhāraṇā /	tad nirDAraNA /
   ubhayathā dṛṣṭāntadarśanātsaṃśayamāha kiṃ tānīti /	uBayaTA dRzwAnta darSanAt saMSaya mAha kim tAni iti /
   yathānārābhyādhītaparṇamayītvaṃ juhūdvārā kratvaṅgatayā karmasu nityaṃ	yaTA nArABya aDIta parNa mayI tvam juhUdvArA kratu aFga tayA karmasu nityam
   prayujyate, tathāṅgāśritopāsanānyudrīthādidvārāṅgatayā nityāni, uta	prayujyate, taTA aFga ASrita upAsanAni udrITa Adi dvAra aFga tayA nitya ani, uta
   kratvaṅgāppraṇayanaśrayo godohanasaṃyogaḥ paśuphalārthatvādanityatvena	kratu aFgAp praNayana SrayaH go dohana saMyogaH paSu Pala arTa tvAt anitya tvena
   yathā prayujyate yathā vā paśvaṅgayūpāśrayaṃ	yaTA prayujyate yaTA vA paSu aFga yUpa ASrayam
   bailvatvamannādyaphalatvādanityaṃ tathā	bElva tvam annAdya Pala tvAt anityam taTA
   karmasamṛdyādiphalakatvādupāsanānyanaṅgatvenānityānīti saṃśayārthaḥ /	karma samRdya Adi Palaka tvAt upAsanAni anaFga tvena anityAni iti saMSaya arTaH /
   pūrvapakṣe upāsanānāṃ prayoganityatvaṃ, siddhānte tvanityatvamiti	pUrva pakze upAsanAnAm prayoga nitya tvaM, sidDAnte tu anitya tvam iti
   phalabhedaḥ /	Pala BedaH /
   anityabhojanāśrayaprāṇāgnihotrasyānityatvavannityakarmāṅgopāstīnāṃ	anitya Bojana ASraya prANa agni hotrasya anitya tva vat nitya karma aFga upAstInAm
   nityatvamiti pratyudāharaṇadṛṣṭāntena pūrvapakṣamāha kiṃ tāvaditi /	nitya tvam iti pratyudAharaNa dRzwAntena pUrva pakza mAha kim tAvat iti /
   upāsanāni karmāṅgāni, aphalatve sati karmāṅgāśritatvātparṇamayītvādivat /	upAsanAni karma aFgAni, aPala tve sati karma aFga ASrita tvAt parNa mayI tva Adi vat /
   tathā cāṅgatayā prayogavidhinā nityena prayujyanta iti prāpte	taTA ca aFgatayA prayoga viDinA nityena prayujyante iti prApte
   siddhāntasūtraṃ vyācaṣṭe yānītyādinā /	sidDAnta sUtram vyAcazwe yAni ityAdinA /
   udgīthādayaḥ karmaṇāṃ guṇāḥ aṅgāni teṣāṃ yāthātmayaṃ rasatamatvādikaṃ	udgITa AdayaH karmaNAm guNAH aFgAni tezAm yATAtmayam rasatama tva Adikam
   tannirdhāraṇānyupāsanāni yāni tāni karmasu nityaparṇamayītvādivanna	tad nirDAraNAni upAsanAni yAni tAni karmasu nitya parNa mayItva Adi vat na
   niyamyerannityarthaḥ /	niyamyeran= iti arTaH /
   eṣāṃ karmāṅgatve taddhīnasyāviduṣaḥ karma na syādaṅgalopāt, tasmādaviduṣo	ezAm karma aFga tve tad hInasya aviduzaH karma na syAt aFgala upAt, tasmAt aviduzaH 
   'pi karmakartṛtvaśrutiliṅgairaṅgatvānumānabādha ityāha taddṛṣṭeriti /	api karma kartR tva Sruti liFgEH aFgatva anumAna bADaH iti Aha tat dRzweH iti /
   tasyāniyamasya darśanādityarthaḥ /	tasya aniyamasya darSanAt iti arTaH /
   tāṃ cedavidvānprastoṣyasi mūrdhā te vyapatiṣyatīti	tAm ced avidvAn prastozyasi mUrDA te vyapatizyati iti
   cākrāyaṇenartvijāmākṣiptatvādanupāsakānāmapi karmaprayogo	cAkrAyaNena RtvijAm Akzipta tvAt anupAsakAnAm api karma prayogaH 
   'stītyāha prastāvādīti /	asti iti Aha prastAva Adi iti /
   upāstīnāṃ karmaphalāt pṛthakphalaśruterna karmāṅgatvamityāha apiceti /	upAstInAm karma PalAt pRTak Pala SruteH na karma aFga tvam iti Aha apicA iti /
   tenomityakṣareṇa yaścaitadakṣaramevaṃ rasatamatvādirūpeṇa vedopāste yaśca	tenom iti akzareNa yaH ca etat akzaram evam rasatama tva Adi rUpeNa veda upAste yaH ca
