   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
   tatraikādaśendriyavadhāḥ bādhiryamandhatāprasuptirupahvikāghrāṇapāko	tatra-ekAdaSa-indriya-vaDAH bADiryam-anDatA-prasuptiH-upahvikA-GrANa-pAkaH-
   mūkatā kuṇitvaṃ khāṃjyaṃ klaibyamunmāda iti / saha	mUka-tA kuNi-tvam KAMjyam klEbyam-unmAdaH iti / saha
   buddhivadhairaśaktiruddiṣṭā ye buddhivadhāstaiḥ sahāśakteraṣṭāviṃśatibhedā	budDi-vaDEH-aSaktiH-uddizwAH ye budDi-vaDAH-tEH saha-aSakteH-azwAviMSati-BedA
   bhavanti saptadaśavadhā buddheḥ saptadaśavadhāste	Bavanti saptadaSa-vaDAH budDeH saptadaSa-vaDAH-te
   tuṣṭibhedasiddhibhedavaiparītyena tuṣṭibhedā nava siddhibhedā aṣṭau ye te	tuzwi-Beda-sidDi-Beda-vEparItyena tuzwi-BedAH nava sidDi-BedAH azwO ye te
   viparītaiḥ saha ekādaśa vidhā evamaṣṭāviṃśativikalpā aśaktiriti viparyayāt	viparItEH saha ekAdaSa viDA evam-azwAviMSati-vikalpA aSaktiH-iti viparyayAt-
   siddhituṣṭīnāmeva bhedakramo draṣṭavyaḥ // 49 //	sidDi-tuzwInAm-eva Beda-kramaH drazwavyaH // 49 //
   tatra tuṣṭirnavadhā kathyate /	tatra tuzwiH-navaDA kaTyate /
   ādhyātmikāścatasraḥ prakṛtyupādānakālabhāgyākhyāḥ /	ADyAtmikAH-catasraH prakRti-upAdAna-kAla-BAgya-AKyAH /
   bāhyā viṣayoparamātpañca nava ca tuṣṭayo 'bhihitāḥ // ISk_50 //	bAhyAH vizaya-uparamAt-paQca nava ca tuzwayaH aBihitAH // ISc-_50 //
   ādhyātmikāścatasraḥ tuṣṭayo 'dhyātmani bhavā ādhyātmikā tāśca	ADyAtmikAH-catasraH tuzwayaH aDyAtmani BavAH ADyAtmikA tAH-ca
   prakṛtyupādānakālabhāgyākhyāḥ / tatra prakṛtyākhyā yathā kaścit prakṛtiṃ	prakRti-upAdAna-kAla-BAgya-AKyAH / tatra prakRti-AKyA yaTA kaScid prakRtim
   vetti tasyāḥ saguṇanirguṇatvaṃ ca tena tattvaṃ tat kāryaṃ vijñāyaiva	vetti tasyAH sa-guNa-nirguNa-tvam ca tena tattvam tat kAryam vijQAya-eva
   kevalaṃ tuṣṭastasya nāsti mokṣa eṣā prakṛtyākhyā / upādānākhyā yathā	kevalam tuzwaH-tasya na-asti mokzaH ezA prakRti-AKyA / upAdAna-AKyA yaTA
   kaścidavijñāyaiva tattvānyupādānagrahaṇaṃ karoti	kaScid-avijQAya-eva tattvAni-upAdAna-grahaNam karoti
   tridaṇḍakamaṇḍaluvividikābhyo mokṣa iti tasyāpi nāstyeṣā upādānākhyā /	tridaNxa-kamaNxalu-vividikAByaH mokzaH iti tasya-api na-asti-ezA upAdAna-AKyA /
   tathā kālākhyā kālena mokṣo bhaviṣyatīti kiṃ tattvābhyāsenetyeṣā kālākhyā	taTA kAla-AKyA kAlena mokzaH Bavizyati-iti kim tattva-aByAsena-iti-ezA kAla-AKyA
   tuṣṭistasya nāsti mokṣa iti / tathā bhāgyākhyā bhāgyenaiva mokṣo	tuzwiH-tasya na-asti mokzaH iti / taTA BAgya-AKyA BAgyena-eva mokzaH-
   bhaviṣyatīti bhāgyākhyā / caturddhā tuṣṭiriti / bāhyāviṣayoparamācca pañca	Bavizyati-iti BAgya-AKyA / caturdDA tuzwiH-iti / bAhya-avizaya-uparamAt-ca paQca
   / bāhyāstuṣṭayaḥ pañca viṣayoparamāt śabdasparśarūparasagandhebhya uparato	/ bAhyAH-tuzwayaH paQca vizaya-uparamAt Sabda-sparSa-rUpa-rasa-ganDeByaH uparataH-
   'rjanarakṣaṇakṣayasaṃgahiṃsādarśanāt / vṛddhinimittaṃ	arjana-rakzaNa-kzaya-saMga-hiMsA-darSanAt / vRdDi-nimittam
   pāśupālyavāṇijyapratigrahasevāḥ kāryā etadarjanaṃ duḥkhamarjitānāṃ rakṣaṇe	pASupAlya-vANijya-pratigraha-sevAH kAryAH etat-arjanam duHKam-arjitAnAm rakzaNe
   duḥkhamupabhogāt kṣīyata iti kṣayaduḥkham / tathā viṣayopabhogasaṃge kṛte	duHKam-upaBogAt kzIyate iti kzaya-duHKam / taTA vizaya-upaBoga-saMge kRte
   nāstīndriyāṇāmupaśama iti saṃgadoṣaḥ / tathā na anupahatya bhūtānyupabhoga	na-asti-indriyANAm-upaSamaH iti saMga-dozaH / taTA na anupahatya BUtAni-upaBoga
   ityeṣa hiṃsādoṣaḥ / evamarjjanādidoṣadarśanāt pañcaviṣayoparamāt pañca	iti-eza hiMsA-dozaH / evam-arjjana-Adi-doza-darSanAt paQca-vizaya-uparamAt paQca
   tuṣṭayaḥ / evamādhyātmikabāhyabhedānnava tuṣṭayastāsāṃ nāmāni śāstrāntare	tuzwayaH / evam-ADyAtmika-bAhya-BedAt-nava tuzwayaH-tAsAm nAmAni SAstra-antare
   proktāni / ambhaḥ salilamogho vṛṣṭiḥ sutamo pāraṃ sunetraṃ	proktAni / amBaH salilamoGaH vRzwiH sutamaH pAram sunetram
   nārīkamanuttamāṃbhasikamiti / āsāṃ tuṣṭīnāṃ viparītāśaktibhedādbuddhibadhā	nArIkam-anuttama-aMBasikam-iti / AsAm tuzwInAm viparIta-aSakti-BedAt-budDi-baDA
   bhavanti // 50 //	Bavanti // 50 //
   tadyathā anambhaso 'salilamanogha ityādivaiparītyādbuddhivadhā iti /	tat-yaTA anamBasaH asalilam-anoGaH ityAdi-vEparItyAt-budDi-vaDAH iti /
   siddhirucyate /	sidDiH-ucyate /
   ūhaḥ śabdo 'dhyayanaṃ duḥkhavighātāstrayaṃ suhṛtprāptiḥ /	UhaH SabdaH aDyayanam duHKa-viGAtAH-trayam suhRd-prAptiH /
   dānaṃ ca siddhayo 'ṣṭau siddheḥ pūrvo 'ṅkuśastrividhaḥ // ISk_51 //	dAnam ca sidDayaH azwO sidDeH pUrvaH aFkuSaH-triviDaH // ISc-_51 //
   ūho yathā kaścinnatyamūhate kimiha satyaṃ kiṃ paraṃ kiṃ naiśreyasaṃ kiṃ	UhaH yaTA kaScid-natyam-Uhate kim-iha satyam kim param kim nESreyasam kim
   kṛtārthaḥ syāmiti cintayato jñānamutpadyate pradhānādanya eva puruṣa	kRtArTaH syAm-iti cintayataH jQAnam-utpadyate praDAnAt-anyaH eva puruza
   ityanyā buddhiranyo 'haṃkāro 'nyāni tanmātrāṇīndriyāṇi	iti-anyA budDiH-anyaH ahaMkAraH anyAni tanmAtrANi-indriyANi
   pañcamahābhūtānītyevaṃ tattvajñānamutpadyate yena mokṣo bhavati eṣā	paQca-mahABUtAni-iti-evam tattva-jQAnam-utpadyate yena mokzaH Bavati ezA
   ūhākhyā prathamā siddhiḥ / tathā śabdajñānāt	UhA-AKyA praTamA sidDiH / taTA Sabda-jQAnAt-
   pradhānapuruṣabuddhyahaṃkāratanmātrendriyapañcamahābhūtaviṣayaṃ jñānaṃ	praDAna-puruza-budDi-ahaMkAra-tanmAtra-indriya-paQca-mahABUta-vizayam jQAnam
   bhavati tato mokṣa ityeṣā śabdākhyā siddhiḥ /	Bavati tatas mokzaH iti-ezA Sabda-AKyA sidDiH /
   adhyayanādvedādiśāstrādhyayanāt pañcaviṃśatitattvajñānaṃ prāpya mokṣaṃ	aDyayanAt-veda-Adi-SAstra-aDyayanAt paQcaviMSati-tattva-jQAnam prApya mokzam
   yāti ityeṣā tṛtīyā siddhiḥ /	yAti iti-ezA tRtIyA sidDiH /
   duḥkhavighātatrayamādhyātmikādhibhautikādhidaivikaduḥkhatrayavighātāya	duHKa-viGAta-trayam-ADyAtmika-ADiBOtika-ADidEvika-duHKa-traya-viGAtAya
   guruṃ samupagamya tata upadeśānmokṣaṃ yātyeṣā caturthī siddhiḥ / eṣaiva	gurum samupagamya tatas upadeSAt-mokzam yAti-ezA caturTI sidDiH / ezA-eva
   duḥkhatrayabhedāt tridhā kalpanīyā iti ṣaṭ siddhayaḥ / tathā	duHKa-traya-BedAt triDA kalpanIyAH iti zaw sidDayaH / taTA
   suhṛtprāptiryathā kaścit suhṛt jñānamadhigamya mokṣaṃ gacchati eṣā saptamī	suhRd-prAptiH-yaTA kaScid suhRd jQAnam-aDigamya mokzam gacCati ezA saptamI
   siddhiḥ / dānaṃ yathā kaścidbhagavatāṃ	sidDiH / dAnam yaTA kaScid-BagavatAm
   pratyāśrayauṣadhitridaṇḍakuṇḍikādīnāṃ grāsācchādanādīnāṃ ca dānenopakṛtya	pratyASraya-ozaDi-tridaNxa-kuNxikA-AdInAm grAsa-AcCAdana-AdInAm ca dAnena-upakRtya
   tebhyo jñānamavāpya mokṣaṃ yātyeṣāṣṭamī siddhiḥ / āsāmaṣṭānāṃ siddhīnāṃ	teByaH jQAnam-avApya mokzam yAti-ezA-azwamI sidDiH / AsAm-azwAnAm sidDInAm
   śāstrāntare saṃjñāḥ kṛtāstāraṃ sutāraṃ tāratāraṃ pramodaṃ pramuditaṃ	SAstra-antare saMjQAH kRtAH-tAram sutAram tAra-tAram pramodam pramuditam
   pramodamānaṃ ramyakaṃ sadāpramuditamiti / āsāṃ viparyayāt budderbandhā ye	pramodamAnam ramyakam sadA-pramuditam-iti / AsAm viparyayAt buddeH-banDAH ye
   viparītāsta aśaktau nikṣiptā	viparItAH-ta aSaktO nikziptA
   yathātāramasutāramatāratāramityādidraṣṭavyamaśaktibhedā	yaTAtAram-asuta-aram-atAra-tAram-ityAdi-drazwavyam-aSakti-BedA
   aṣṭāviṃśatiruktāste saha buddhibandhairekādaśendriyabandhā iti / tatra	azwAviMSatiH-uktAH-te saha budDi-banDEH-ekAdaSa-indriya-banDAH iti / tatra
   tuṣṭiviparyayā nava siddhīnāṃ viparyayā aṣṭau evamete saptadaśa	tuzwi-viparyayAH nava sidDInAm viparyayAH azwO evam-ete saptadaSa
   buddhibandhā etaiḥ sahendriyabandhā aṣṭāviṃśatiraśaktibhedāḥ paścāt	budDi-banDAH etEH saha-indriya-banDAH azwAviMSatiH-aSakti-BedAH paScAt-
   kathitā iti viparyayāśaktituṣṭisiddhīnāmevoddeśo nirdeśaśca kṛta iti / kiṃ	kaTitAH iti viparyaya-aSakti-tuzwi-sidDInAm-eva-uddeSaH nirdeSaH-ca kRtaH iti / kim
   cānyat siddheḥ pūrvo 'ṅkuśastrividhaḥ siddheḥ pūrvā yā	ca-anyat sidDeH pUrvaH aFkuSaH-triviDaH sidDeH pUrvA yA
   viparyayāśaktituṣṭayastā eva siddheraṃkuśastadbhedādevaṃ trividho yathā	viparyaya-aSakti-tuzwayaH-tAH eva sidDeH-aMkuSaH-tad-BedAt-evam triviDaH yaTA
   hastī gṛhītāṃkuśena vaśo bhavatyeva viparyayāśaktituṣṭibhirgṛhīto loko	hastI gRhIta-aMkuSena vaSaH Bavati-eva viparyaya-aSakti-tuzwiBiH-gRhItaH lokaH-
   'jñānamāpnoti tasmādetāḥ parityajya siddhiḥ sevyā	ajQAnam-Apnoti tasmAt-etAH parityajya sidDiH sevyA
   sasiddhestattvajñānamutpadyate tanmokṣa iti // 51 //	sa-sidDeH-tattva-jQAnam-utpadyate tat-mokzaH iti // 51 //
   atha yaduktaṃ bhāvairadhivāsitaṃ liṃgaṃ tatra bhāvā dharmādayo 'ṣṭāvuktā	aTa yat-uktam BAvEH-aDivAsitam liMgam tatra BAvAH Darma-AdayaH azwO=-uktA
   buddhipariṇāmā viparyayāśaktituṣṭisiddhipariṇatāḥ sa bhāvākhyaḥ	budDi-pariNAmAH viparyaya-aSakti-tuzwi-sidDi-pariNatAH sa BAva-AKyaH
   pratyayasargaḥ liṃgaṃ ca tanmātrasargaścaturdaśabhūtaparyanta	pratyaya-sargaH liMgam ca tanmAtra-sargaH-caturdaSa-BUta-paryanta
   uktastatraikenaiva sargeṇa puruṣārthasiddhau kimubhayavidhasargeṇetyata	uktaH-tatra-ekena-eva sargeNa puruza-arTa-sidDO kim-uBayaviDa-sargeNa-ityata
   āha /	Aha /
   na vinā bhāvairliṅgaṃ na vinā liṅgena bhāvanirvṛttiḥ /	na vinA BAvEH-liFgam na vinA liFgena BAva-nirvRttiH /
   liṅgākhyo bhāvākhyastasmādvividhaḥ pravarttate sargaḥ // ISk_52 //	liFga-AKyaH BAva-AKyaH-tasmAt-viviDaH pravarttate sargaH // ISc-_52 //
   bhāvaiḥ pratyayasargairvinā liṃgaṃ na tanmātrasargo na	BAvEH pratyaya-sargEH-vinA liMgam na tanmAtra-sargaH na
   pūrvapūrvasaṃskārādṛṣṭakāritatvāduttarottaradehalambhasya liṃgena	pUrva-pUrva-saMskAra-adRzwa-kArita-tvAt-uttara-uttara-deha-lamBasya liMgena
   tanmātrasargeṇa ca vinā bhāvanirvṛttirna	tanmAtra-sargeNa ca vinA BAva-nirvRttiH-na
   sthūlasūkṣmadehasādhyatvāddharmāderanāditvācca sargasya	sTUla-sUkzma-deha-sADya-tvAt-Darma-AdeH-anAdi-tvAt-ca sargasya
   bījāṃkurāvanyonyāśrayau na doṣāya tattajjātīyāpekṣitatve 'pi	bIjAMkurO=-anyonya-ASrayO na dozAya tad-tad-jAtIya-apekzita-tve api
   tattadvyaktīnāṃ parasparānapekṣitvāttasmādbhāvākhyo liṃgākhyaśca dvividhaḥ	tad-tad-vyaktInAm parasparAnapekzi-tvAt-tasmAt-BAva-AKyaH liMga-AKyaH-ca dviviDaH
   pravarttate sarga iti // 52 //	pravarttate sargaH iti // 52 //
   kiṃ cānyat /	kim ca-anyat /
   aṣṭavikalpo daivastairyagyonaśca pañcadhā bhavati /	azwa-vikalpaH dEvaH-tEryagyonaH-ca paQcaDA Bavati /
   mānuṣyaścaikavidhaḥ samāsato bhautikaḥ sargaḥ // ISk_53 //	mAnuzyaH-ca-ekaviDaH samAsatas BOtikaH sargaH // ISc-_53 //
   tatra daivamaṣṭaprakāraṃ brāhmaṃ prājāpatyaṃ saumyamaindraṃ gāndharvaṃ	tatra dEvam-azwa-prakAram brAhmam prAjApatyam sOmyam-Endram gAnDarvam
   yākṣaṃ rākṣasaṃ paiśācamiti / paśumṛgapakṣisarīsṛpasthāvarāṇi bhūtānyeva	yAkzam rAkzasam pESAcam-iti / paSu-mRga-pakzi-sarIsRpa-sTAvarANi BUtAni-eva
   pañcavidhastairaśca / mānuṣayonirekaiva iti caturdaśabhūtāni // 53 //	paQcaviDaH-tEraH-ca / mAnuza-yoniH-ekA-eva iti caturdaSa-BUtAni // 53 //
   triṣvapi lokeṣu guṇatrayamasti tatra kasmin kimadhikamucyate /	trizu-api lokezu guNatrayam-asti tatra kasmin kim-aDikam-ucyate /
   ūrdhvaṃ sattvaviśālastamoviśālaśca mūlataḥ sargaḥ /	UrDvam sattva-viSAlaH-tamaH-viSAlaH-ca mUlataH sargaH /
   madhye rajoviśālo brahmādistambaparyantaḥ // ISk_54 //	maDye rajaH-viSAlaH brahma-Adi-stamba-paryantaH // ISc-_54 //
   ūrddhvamityaṣṭasu devasthāneṣu sattvaviśālaṃ sattvavistāraḥ sattvotkaṭa	UrdDvam-iti-azwasu deva-sTAnezu sattva-viSAlam sattva-vistAraH sattva-utkawa
   ūrddhvasattva iti / tatrāpi rajastamasī staḥ / tamoviśālo mūlataḥ	UrdDva-sattvaH iti / tatra-api rajaH-tamasI staH / tamaH-viSAlaH mUlataH
   paśvādiṣu sthāvarānteṣu sarvaḥsargastamasādhikyena vyāptastatrāpi	paSu-Adizu sTAvara-antezu sarvaHsargaH-tamasA-ADikyena vyAptaH-tatra-api
   sattvarajasī staḥ / madhye mānuṣye raja utkaṭaṃ tatrāpi sattvatamasī	sattva-rajasI staH / maDye mAnuzye rajaH utkawam tatra-api sattva-tamasI
   vidyete tasmādduḥkhaprāyā manuṣyāḥ / evaṃ brahmādistambaparyantaḥ	vidyete tasmAt-duHKa-prAyAH manuzyAH / evam brahma-Adi-stamba-paryantaH
   brahmādisthāvarāntaḥ ityarthaḥ / evamabhautikaḥ sargo liṃgasargo	brahma-Adi-sTAvara-antaH iti-arTaH / evam-aBOtikaH sargaH liMga-sargaH-
   bhāvasargo bhūtasargo daivamānuṣatairyagyonaya ityeṣaḥ pradhānakṛtaḥ	BAva-sargaH BUta-sargaH dEva-mAnuza-tEryagyonayaH iti-ezaH praDAna-kRtaH
   ṣoḍaśaḥ sargaḥ // 54 //	zoxaSaH sargaH // 54 //
   tatra jarāmaraṇakṛtaṃ duḥkhaṃ prāpnoti cetanaḥ puruṣaḥ /	tatra jarA-maraNa-kRtam duHKam prApnoti cetanaH puruzaH /
   liṅgasyāvinivṛttestasmādduḥkhaṃ samāsena // ISk_55 //	liFgasya-avinivRtteH-tasmAt-duHKam samAsena // ISc-_55 //
   tatreti teṣu devamānuṣatiryagyoniṣu jarākṛtaṃ maraṇakṛtaṃ caiva duḥkhaṃ	tatra-iti tezu deva-mAnuza-tiryagyonizu jarA-akRtam maraNa-kRtam ca-eva duHKam
   cetanaḥ caitanyavān puruṣaḥ prāpnoti na pradhānaṃ na buddhirnāhaṃkāro na	cetanaH cEtanyavAn puruzaH prApnoti na praDAnam na budDiH-na-ahaMkAraH na
   tanmātrāṇīndriyāṇi mahābhūtāni ca / kiyantaṃ kālaṃ puruṣo duḥkhaṃ	tanmAtrANi-indriyANi mahABUtAni ca / kiyantam kAlam puruzaH duHKam
   prāpnotīti tadvivinakti / liṃgasyāvinivṛtteryattanmahadādi	prApnoti-iti tat-vivinakti / liMgasya-avinivRtteH-yat-tat-mahat-Adi
   liṃgaśarīreṇāviśya tatra vyaktībhavati tadyāvannivarttate	liMga-SarIreNa-AviSya tatra vyaktIBavati tat-yAvat-nivarttate
   saṃsāraśarīramiti saṃkṣepeṇa triṣu sthāneṣu puruṣo jarāmaraṇakṛtaṃ duḥkhaṃ	saMsAra-SarIram-iti saMkzepeNa trizu sTAnezu puruzaH jarA-maraNa-kRtam duHKam
   prāpnoti liṃgasyāvinivṛtteḥ liṃgasya vinivṛttiṃ yāvat / liṃganivṛttau	prApnoti liMgasya-avinivRtteH liMgasya vinivRttim yAvat / liMga-nivRttO
   mokṣo mokṣaprāptau nāsti duḥkhamiti / tatpunaḥ kena nivarttate yadā	mokzaH mokza-prAptO na-asti duHKam-iti / tat-punar kena nivarttate yadA
   pañcaviṃśatitattvajñānaṃ syāt sattvapuruṣānyathākhyātilakṣaṇamidaṃ	paQcaviMSati-tattva-jQAnam syAt sattva-puruza-ani-aTa-AKyAti-lakzaNam-idam
   pradhānamiyaṃ buddhirayamahaṃkāra imāni pañcatanmātrāṇyekādaśendriyāṇi	praDAnam-iyam budDiH-ayam-ahaMkAraH imAni paQca-tanmAtrANi-ekAdaSa-indriyANi
   pañca mahābhūtāni yebhyo 'nyaḥ puruṣo visadṛśa ityevaṃ	paQca mahABUtAni yeByaH anyaH puruzaH visadRSaH iti-evam
   jñānālliṃganivṛttistato mokṣa iti // 55 //	jQAnAt-liMga-nivRttiH-tatas mokzaH iti // 55 //
   pravṛtteḥ kiṃ nimittamārabhya ityucyate /	pravRtteH kim nimittam-AraByaH iti-ucyate /
   ityeṣa prakṛtikṛto mahadādiviṣayabhūtaparyantaḥ /	iti-eza prakRti-kRtaH mahat-Adi-vizaya-BUta-paryantaH /
   pratipuruṣavimokṣārthaṃ svārtha iva parārtha ārambhaḥ // ISk_56 //	prati-puruza-vimokza-arTam sva-arTaH iva para-arTe AramBaH // ISc-_56 //
   ityeṣa parisamāptau nirddeśe ca prakṛtivikṛtau prakṛtikaraṇe	iti-eza parisamAptO nirddeSe ca prakRti-vikRtO prakRti-karaNe
   prakṛtikriyāyāṃ ya ārambho mahadādiviśeṣabhūtaparyantaḥ prakṛtermahān	prakRti-kriyAyAm yaH AramBaH mahat-Adi-viSeza-BUta-paryantaH prakRteH-mahAn
   mahato 'haṃkārastasmāttanmātrāṇyekādaśendriyāṇi tanmātrebhyaḥ	mahataH ahaMkAraH-tasmAt-tanmAtrANi-ekAdaSa-indriyANi tanmAtreByaH
   pañcamahābhūtānītyeṣaḥ pratipuruṣavimokṣārthaṃ puruṣaṃ prati	paQca-mahABUtAni-iti-ezaH prati-puruza-vimokza-arTam puruzam prati
   devamanuṣyatiryagbhāvaṃ gatānāṃ vimokṣārthamārambhaḥ kathaṃ svārtha iva	deva-manuzya-tiryagBAvam gatAnAm vimokza-arTam-AramBaH kaTam sva-arTaH iva
   parārthamārambhaḥ yathā kaścit svārthaṃ tyaktvā mitrakāryāṇi karoti evaṃ	para-arTam-AramBaH yaTA kaScid sva-arTam tyaktvA mitra-kAryANi karoti evam
   pradhānam / puruṣo 'tra pradhānasya na kiñcit pratyupakāraṃ karoti /	praDAnam / puruzaH atra praDAnasya na kiQcid pratyupakAram karoti /
   svārtha iva na ca svāthaḥ parārtha evārthaḥ	sva-arTaH iva na ca svATaH para-arTaH eva-arTaH
   śabdādiviṣayopalabdhirguṇapuruṣāntaropalabdhiśca triṣu lokeṣu	Sabda-Adi-vizaya-upalabDiH-guNa-puruza-antara-upalabDiH-ca trizu lokezu
   śabdādiviṣayaiḥ puruṣā yojayitavyā ante ca mokṣeṇeti pradhānasya	Sabda-Adi-vizayEH puruzAH yojayitavyAH ante ca mokzeNa-iti praDAnasya
   pravṛttistathā coktam / kumbhavat pradhānaṃ puruṣārthaṃ kṛtvā nivarttata	pravRttiH-taTA ca-uktam / kumBa-vat praDAnam puruza-arTam kRtvA nivarttata
   iti // 56 //	iti // 56 //
   atrocyate 'cetanaṃ pradhānaṃ cetanaḥ puruṣa iti mayā triṣu lokeṣu	atra-ucyate acetanam praDAnam cetanaH puruzaH iti mayA trizu lokezu
   śabdādibhirviṣayaiḥ puruṣo yojyo 'nte mokṣaḥ karttavya iti kathaṃ	Sabda-AdiBiH-vizayEH puruzaH yojyaH ante mokzaH karttavyaH iti kaTam
   cetanavat pravṛtiḥ / satyaṃ kiṃtvacetanānāmapi pravṛttirdṛṣṭā nivṛttiśca	cetana-vat pravRtiH / satyam kiMtu-acetanAnAm-api pravRttiH-dRzwA nivRttiH-ca
   yasmādityāha /	yasmAt-iti-Aha /
   vatsavivṛddhinimittaṃ kṣīrasya yathā pravṛttirajñasya /	vatsa-vivRdDi-nimittam kzIrasya yaTA pravRttiH-ajQasya /
   puruṣavimokṣanimittaṃ tathā pravṛttiḥ pradhānasya // ISk_57 //	puruza-vimokza-nimittam taTA pravRttiH praDAnasya // ISc-_57 //
   yathā tṛṇādikaṃ gavā bhakṣitaṃ kṣīrabhāvena pariṇamya vatsavivṛddhiṃ	yaTA tRNa-Adikam gavA Bakzitam kzIra-BAvena pariNamya vatsa-vivRdDim
   karoti puṣṭe ca vatse nivarttata evaṃ puruṣavimokṣanimittaṃ pradhānam /	karoti puzwe ca vatse nivarttate evam puruza-vimokza-nimittam praDAnam /
   ajñasya pravṛttirita // 57 //	ajQasya pravRttiH-itas // 57 //
   kiṃca /	kiMca /
   autsukyanivṛttyarthaṃ yathā kriyāsu pravartate lokaḥ /	Otsukya-nivRtti-arTam yaTA kriyAsu pravartate lokaH /
   puruṣasya vimokṣārthaṃ pravartate tadvadavyaktam // ISk_58 //	puruzasya vimokza-arTam pravartate tadvat-avyaktam // ISc-_58 //
   yathā loka ityaustukye sati tasya nivṛttyarthaṃ kriyāsu pravarttate	yaTA lokaH iti-Ostukye sati tasya nivRtti-arTam kriyAsu pravarttate
   gamanāgamanakriyāsu kṛtakāryo nivarttate tathā puruṣasya vimokṣārthaṃ	gamana-Agamana-kriyAsu kRta-kAryaH nivarttate taTA puruzasya vimokza-arTam
   śabdādiviṣayopabhogopalabdhilakṣaṇaṃ guṇapuruṣāntaropalabdhilakṣaṇaṃ ca	Sabda-Adi-vizaya-upaBoga-upalabDi-lakzaNam guNa-puruza-antara-upalabDi-lakzaNam ca
   dvividhamapi puruṣārthaṃ kṛtvā pradhānaṃ nivartate // 58 //	dviviDam-api puruza-arTam kRtvA praDAnam nivartate // 58 //
   kiṃ cānyat /	kim ca-anyat /
   raṅgasya darśayitvā nivartate nartakī yathā nṛtyāt /	raFgasya darSayitvA nivartate nartakI yaTA nRtyAt /
   puruṣasya tathātmānaṃ prakāśya nivartate prakṛtiḥ // ISk_59 //	puruzasya taTA-AtmAnam prakASya nivartate prakRtiH // ISc-_59 //
   yathā narttakī śṛṅgārādirasauritihāsādibhāvaiśca	yaTA narttakI SRFgArAdiH-asOH-itihAsa-Adi-BAvEH-ca
   nibaddhagītavāditravṛttāni raṅgasya darśayitvā kṛtakāryā nṛtyānnivarttate	nibadDa-gIta-vAditra-vRttAni raFgasya darSayitvA kRta-kAryAH nRtyAt-nivarttate
   tathā prakṛtirapi puruṣasyātmānaṃ prakāśya	taTA prakRtiH-api puruzasya-AtmAnam prakASya
   buddhyahaṃkāratanmātrendiyamahābhūtabhedena nivartate // 59 //	budDi-ahaMkAra-tanmAtra-indiya-mahABUta-Bedena nivartate // 59 //
   kathaṃ ko vā syānnivarttako hetustadāha /	kaTam kaH vA syAt-nivarttakaH hetuH-tat-Aha /
   nānāvidhairupāyairupakāriṇyanupakāriṇaḥ puṃsaḥ /	nAnAviDEH-upAyEH-upakAriNI-anupakAriNaH puMsaH /
   guṇavatyaguṇasya satastasyārthamapārthakaṃ carati // ISk_60 //	guNavati-aguNasya sataH-tasya-arTam-apArTakam carati // ISc-_60 //
   nānāvidhairupāyaiḥ prakṛtiḥ puruṣasyopakāriṇyanupakāriṇaḥ puṃsaḥ kathaṃ	nAnAviDEH-upAyEH prakRtiH puruzasya-upakAriNI-anupakAriNaH puMsaH kaTam
   devamānuṣatiryagbhāvena sukhaduḥkhamohātmakabhāvena śabdādiviṣayabhāvena	deva-mAnuza-tiryagBAvena suKa-duHKa-moha-Atmaka-BAvena Sabda-Adi-vizaya-BAvena
   evaṃ nānāvidhairupāyairātmānaṃ prakāśyāhamanyā tvamanya iti nivarttate 'to	evam nAnAviDEH-upAyEH-AtmAnam prakASya-aham-anyA tvam-anyaH iti nivarttate atas-
   nityasya tasyārthamapārthaṃ kurute carati ca yathā kaścit paropakārī	nityasya tasya-arTam-apArTam kurute carati ca yaTA kaScid para-upakArI
   sarvasyopakurute nātmanaḥ pratyupakāramīhata evaṃ prakṛtiḥ puruṣārthaṃ	sarvasya-upakurute na-AtmanaH pratyupakAram-IhataH evam prakRtiH puruza-arTam
   kurute karotyapārthakam // 60 //	kurute karoti-apArTakam // 60 //
   paścāduktamātmānaṃ prakāśya nivarttate nivṛtta ca kiṃ karotītyāha /	paScAt-uktam-AtmAnam prakASya nivarttate nivRtta ca kim karoti-iti-Aha /
   prakṛteḥ sukumārataraṃ na kiñcidastīti me matirbhavati /	prakRteH sukumArataram na kiQcid-asti-iti me matiH-Bavati /
   yā dṛṣṭāsmīti punarna darśanamupaiti puruṣasya // ISk_61 //	yA dRzwA-asmi-iti punar-na darSanam-upEti puruzasya // ISc-_61 //
   loke prakṛteḥ sukumārataraṃ na kiñcidastītyevaṃ me matirbhavati yena	loke prakRteH sukumArataram na kiQcid-asti-iti-evam me matiH-Bavati yena
   parārtha evaṃ matirutpannā kasmādahamanena puruṣeṇa dṛṣṭāsmītyasya puṃso	para-arTaH evam matiH-utpannA kasmAt-aham-anena puruzeNa dRzwA-asmi-iti-asya puMso
   punardarśanaṃ nopaiti puruṣasyādarśanamupayātītyarthaḥ / tatra	punar-darSanam na-upEti puruzasya-adarSanam-upayAti-iti-arTaH / tatra
   sukumārataraṃ varṇayati / īśvaraṃ kāraṇaṃ bruvate / "ajo janturanīśo	sukumArataram varNayati / ISvaram kAraNam bruvate / "ajaH jantuH-anISaH-
