   brahmasūtraśāṅkarabhāṣyam	brahmasUtra SAFkara BAzyam
   śrīrasyetyabhiśrīrīśvaraḥ, tasmāttasya vaiśvānarasya sumatau vayaṃ syāma	SrIH asya iti aBiSrIH ISvaraH, tasmAt tasya vESvAnarasya sumatO vayam syAma
   tasyāsmadviṣayā śubhamatirbhavatvityarthaḥ /	tasya asmad vizayA SuBa matiH Bavatu iti arTaH /
   pakṣatraye 'pyaruciṃ vadankalpāntaramāha athetyādinā /	pakza traye api arucim vadan kalpa antaram Aha aTa ityAdinA /
   'ātmā vaiśvānaraḥ'iti śruterityarthaḥ /	aAtmA vESvAnaraH aiti SruteH iti arTaH /
   kevalatvaṃ vaiśvānaraśabdaśūnyatvam /	kevala tvam vESvAnara Sabda SUnya tvam /
   atra jāṭharo vaiśvānara iti mukhyaḥ pūrvapakṣaḥ,	atra jAWaraH vESvAnaraH iti muKyaH pUrva pakzaH,
   prāṇāgnihotrahomādhāratvaliṅgat /	prANa agnihotra homa ADAra tva liFgat /
   tasya dehavyāpitvādātmatvaṃ śrutyā dyumūrdhatvādikalpanayā	tasya deha vyApi tvAt Atma tvam SrutyA dyu mUrDa tva Adi kalpanayA
   bṛhattvādbrahmatvamiti dhyeyam /	bRhat tvAt brahma tvam iti Dyeyam /
   sidvāntayati tata idamiti /	sidvAntayati tatas idam iti /
   sādhāraṇaśrutyorūpakramasthayorviśeṣātprathamaśrutamukhyatrailokyaśarīraliṅgātsarvātmakeśvaraparatvaṃ	sADAraNa SrutyaH rUpa krama sTayoH viSezAt praTama Sruta muKya trElokya SarIra liFgAt sarva AtmakeSvara para tvam
   yuktaṃ, na caramaśrutakalpitahomādhāratvaliṅgena jāṭharatvamityarthaḥ /	yuktaM, na carama Sruta kalpita homa ADAra tva liFgena jAWara tvam iti arTaH /
   nanu nirviśeṣasya kuto viśeṣa ityata āha atra hīti /	nanu nirviSezasya kutas viSezaH iti atas Aha atra hi iti /
   avasthāntaragataḥ trailokyātmanā sthita ityarthaḥ /	avasTA antara gataH trElokya AtmanA sTitaH iti arTaH /
   jāṭharasyāpi dhyānārthaṃ viśeṣakalpaneti cet, na, asatkalpanāpatteḥ /	jAWarasya api DyAna arTam viSeza kalpanA iti cet, na, asat kalpanA patteH /
   īśvarasya tu upādānatvādviśeṣaḥ sanneva	ISvarasya tu upAdAna tvAt viSezaH san= A iva
   dhyānārthamucyatāmityāha kāraṇatvāditi /	DyAna arTam ucya tAm iti Aha kAraNa tvAt iti /
   liṅgāntarāṇyāha sa sarveṣvityādinā /	liFga antarANi Aha sa sarvezu ityAdinA /
   yathāgnau nikṣiptamiṣīkātūlaṃ dahyate evaṃ hāsya viduṣa ityarthaḥ //24//	yaTA agnO nikziptam izIkAtUlam dahyate evam ha asya viduzaH iti arTaH //24//
   END BsRp_1,2.7.24	END BsRp _1,2.7.24
   START BsRp_1,2.7.25	START BsRp _1,2.7.25
   smaryamāṇam anumānaṃ syād iti | BBs_1,2.25 |	smaryamANam anumAnam syAt iti | BBH _1,2.25 |
   nanvasadāropeṇāpi stutisaṃbhavānna mūlaśrutyapekṣetyāśaṅkyāha yadyapi	nanu asat AropeNa api stuti saMBavAt na mUlaSruti apekzA iti ASaFkya aha yadi api
   stutiriti /	stutiH iti /
   tathāpītipadamarthataḥ paṭhati stutitvamapīti /	taTA apIti padam arTataH paWati  stuti tvam api iti /
   dyumūrdhatvādirūpeṇa stutirnaramātreṇa kartumaśakyā vinā śrutimityarthaḥ /	dyu mUrDa tva Adi rUpeNa stutiH nara mAtreNa kartum aSakyA vinA Srutim iti arTaH /
   satā rūpeṇa stuti saṃbhavānnāsadāropa iti bhāvaḥ //25//	satA rUpeNa stuti saMBavAn na asat AropaH iti BAvaH //25//
   END BsRp_1,2.7.25	END BsRp _1,2.7.25
   START BsRp_1,2.7.26	START BsRp _1,2.7.26
   śabdādibhyo 'ntaḥpratiṣṭhānāc ca neti cen na tathā dṛṣṭyupadeśād	Sabda AdiByaH antar pratizWAnAt ca na iti ced na taTA dRzwi upadeSAt 
   asambhavāt puruṣamapi cainam adhīyate | BBs_1,2.26 |	asamBavAt puruzam api ca enam aDIyate | BBH _1,2.26 |
   śabdādīnāṃ gatiṃ vaktumuktasidvāntamākṣipya samādhatte śabdādibhya iti /	Sabda AdInAm gatim vaktum ukta sidvAntam Akzipya samADatte  Sabda AdiByaH iti /
   'sa eṣo 'gnirvaiśvānaraḥ'ityagnirahasye vaiśvānaravidyāyāṃ śruto 'gniśabda	asaH ezaH agniH vESvAnaraH aiti agni rahasye vESvAnara vidyAyAm SrutaH agni Sabda
   īśvare na saṃbhavatītyanvayaḥ /	ISvare na saMBavati iti anvayaH /
   sūtrasthādiśabdārthamāha ādiśabdāditi /	sUtra sTa Adi Sabda arTamAha a Adi SabdAt iti /
   bhaktamannaṃ, homīyaṃ homasādhanaṃ, tena prāṇāgnihotraṃ kāryamityarthaḥ /	Baktam annaM, homIyam homa sADanaM, tena prANa agnihotram kAryam iti arTaH /
   vājasaneyināmagnirahasye saprapañcāṃ vaiśvānaravidyāmuktvā 'sa yo	vAjasaneyinAm agni rahasye sa prapaQcAm vESvAnara vidyAm uktvA asa yaH 
   haitamagniṃ vaiśvānaraṃ puruṣavidhaṃ puruṣe 'ntaḥpratiṣṭhitaṃ veda sa	ha etam agnim vESvAnaram puruzaviDam puruze antar pratizWitam veda sa
   sarvatrānnamatti'ityuktaṃ dehāntaḥsthatvaṃ jāṭhare saṃbhavati,	sarvatra anna matti aiti uktam deha antar sTa tvam jAWare saMBavati,
   prasiddherityāha tatheti /	prasidDeH iti Aha  taTA iti /
   atra sūtre ādipadenaivāntaḥpratiṣṭhānasya grahe saṃbhavati pṛthaguktiḥ	atra sUtre Adipadena eva antar pratizWAnasya grahe saMBavati pRTak uktiH
   sādhāraṇaliṅgatvadyotanārthā /	sADAraNa liFga tvad yotana arTAH /
   śabdādibalādidamapi jāṭharaṃ gamayatītyabhyuccayaḥ /	Sabda Adi balAt idam api jAWaram gamayati iti aByuccayaH /
   yadyapi dyumūrdhatvādiviśeṣa īśvarapakṣapātī	yadi api dyu mUrDa tva Adi viSezaH ISvara pakzapAtI
   homādhāratvādirjāṭharapakṣapātīti pratibhānaṃ samaṃ tathāpi pārameśvaro	homa ADAra tva AdiH jAWara pakzapAtI iti pratiBAnam samam taTA api pArameSvaraH 
   viśeṣo jāṭhare na saṃbhavatīti balavānityata āha athaveti /	viSezaH jAWare na saMBavati iti balavAn iti atas Aha aTavA iti /
   eṣa dyumūrdhatvādinirdeśa ityarthaḥ /	eza dyu mUrDa tva Adi nirdeSaH iti arTaH /
   imāṃ pṛthivīṃ dyāmapi te eva dyāvāpṛthivyau rodasī tathormadhyamantarikṣaṃ	imAm pRTivIm dyAm api te eva dyAvApRTivyO rodasI taTA UH maDyam antarikzam
   ca yo bhūtāgnirbhānurūpeṇātatāna vyāptavān sa dhyātavya ityarthaḥ /	ca yaH BUta agniH BAnu rUpeNa AtatAna vyAptavAn sa DyAtavyaH iti arTaH /
   jaḍamātrasya na dhyeyatvamityata āha athaveti /	jaxa mAtrasya na Dyeya tvam iti atas Aha aTavA iti /
   siddhāntayati na tathādṛṣṭyupadeśāditīti /	sidDAntayati na taTA adRzwi upadeSa At iti iti /
   parameśvaradṛṣṭyopāsyajāṭharāgnipratīkavācakābhyāmagnivaiśvānaraśabdābhyāṃ	parameSvara dRzwyA upAsya jAWara agni pratIkavAcakAByAm agni vESvAnara SabdAByAm
   dyumūrdhatvādimānīśvaro lakṣya ityuktvā kalpāntaramāha athavā jāṭhareti /	dyu mUrDa tva AdimAn i ISvaraH lakzyaH iti uktvA kalpa antaram Aha aTavA jAWara iti /
   asminpakṣe prādhānyeneśvaropāsyatā pūrvatra guṇatayeti bhedaḥ /	asmin pakze prADAnyena ISvara upAsyatA pUrvatra guNa tayA iti BedaH /
   upādhivācibhyāṃ padābhyāmupahito lakṣya ityarthaḥ /	upADi vAciByAm padAByAm upahitaH lakzyaH iti arTaH /
   lakṣaṇābījamasaṃbhavaṃ vyācaṣṭe yadi ceti /	lakzaNAbIjam asaMBavam vyAcazwe yadi ca iti /
   puruṣamapītyādisūtraśeṣaṃ vyācaṣṭe yadi ca kevala iti /	puruzam api ityAdi sUtra Sezam vyAcazwe yadi ca kevalaH iti /
   īśvarapratīkatvopādhitvaśūnyaityartho vivakṣyeta tadeti śeṣaḥ /	ISvara pratIkatva upADi tva SUnya eti arTaH vivakzyeta tadA iti SezaH /
   yat yaḥ, puruṣaḥ, sa eṣo 'gnirvaiśvānaraśabditajāṭharopādhika iti	yat yaH, puruzaH, saH ezaH agniH vESvAnara Sabdita jAWara upADikaH iti
   śrutyarthaḥ /	Sruti arTaH /
   yo veda sa sarvatra bhuṅkta ityarthaḥ /	yaH veda sa sarvatra BuFkte iti arTaH /
   puruṣatvaṃ pūrṇatvamacetanasya jāṭharasya netyuktvā pāṭhāntare	puruza tvam pUrNa tvam acetanasya jAWarasya na iti uktvA pAWa antare
   puruṣavidhatvaṃ dehākāratvaṃ tasya netyāha ye tviti /	puruzaviDa tvam deha AkAra tvam tasya na iti Aha ye tu iti /
   nanu jāṭharasyāpi dehavyāpitvāttadvidhatvaṃ syādityata āha puruṣavidhatvaṃ	nanu jAWarasya api deha vyApi tvAt tadviDa tvam syAt iti atas Aha puruzaviDa tvam
   ca prakaraṇāditi /	ca prakaraNAt iti /
   na dehavyāpitvaṃ puruṣavidhatvaṃ kintu virāḍdehākāratvaṃ, adhidaivaṃ	na deha vyApi tvam puruzaviDa tvam kintu virAj da iha AkAra tvan, aDidEvam
   puruṣavidhatvamadhyātmaṃ copāsakamūrdhādicubukānteṣvaṅgeṣu	puruzaviDa tvam aDyAtmam ca upAsaka mUrDa Adi cubuka antezu aFgezu
   saṃpannatvamīśvarasya puruṣavidhatvamityarthaḥ //26//	saMpanna tvam ISvarasya puruzaviDa tvam iti arTaH //26//
   END BsRp_1,2.7.26	END BsRp _1,2.7.26
   START BsRp_1,2.7.27	START BsRp _1,2.7.27
   ata eva na devatā bhūtaṃ ca | BBs_1,2.27 |	atas eva na devatAH BUtam ca | BBH _1,2.27 |
   īśvarasyāṅgeṣu saṃpattirvakṣyate /	ISvarasya aFgezu saMpattiH vakzyate /
   evaṃ jāṭharaṃ nirasya pakṣadvayaṃ nirasyati ata eveti /	evam jAWaram nirasya pakza dvayam nirasyati atas eva iti /
   sūtraṃ vyācaṣṭe yatpunarityādinā /	sUtram vyAcazwe yat punar ityAdinA /
   dyumūrdhatvādiḥ, sarvalokaphalabhāktvaṃ, sarvapāpmapradāhaḥ,	dyu mUrDa tva AdiH, sarva loka Pala BAj tvaM, sarva pApma pradAhaH,
   ātmabrahmaśabdopakrama uktahetavaḥ /	Atma brahma Sabda upakramaH ukta hetavaH /
   tāneva smārayati na hi bhūtāgnerityādinā /	tAn eva smArayati na hi BUtAgneH ityAdinA /
   'yo bhānunā'iti mantreṇeśvaradṛṣṭyā mahimokta iti bhāvaḥ //27//	ayaH BAnunA aiti mantreNa ISvara dRzwyA mahimA uktaH iti BAvaH //27//
   END BsRp_1,2.7.27	END BsRp _1,2.7.27
   START BsRp_1,2.7.28	START BsRp _1,2.7.28
   sākṣād apy avirodhaṃ jaiminiḥ | BBs_1,2.28 |	sAkzAt api aviroDam jEminiH | BBH _1,2.28 |
   pūrvamagnivaiśvānaraśabdāvīśvaralakṣakāvityuktam /	pUrvam agni vESvAnara SabdO= ISvara lakzakO= iti uktam /
   adhunā pratīkopādhiparītyāgena virāṭpuruṣākārasya bhagavato	aDunA pratIka upADi parI tyAgena virAj puruza AkArasya BagavataH 
   vaiśvānarasyādhyātmaṃ mūrdhādicubukānteṣu saṃpādyopāsyatvāṅgīkāre 'pi na	vESvAnarasya aDyAtmam mUrDa Adi cubuka antezu saMpAdya upAsya tva aFgIkAre api na
   śabdādivirodhaḥ śabdayorīśvare yogavṛttyā mukhyatvāt, antaḥsthatvādīnāṃ ca	Sabda Adi viroDaH SabdayoH ISvare yoga vRttyA muKya tva at, antar sTa tva AdInAm ca
   tatra saṃbhavādityāha sākṣādapīti /	tatra saMBavAt iti Aha  sAkzAt api iti /
   sākṣātpadasyārthamāha vinaiveti /	sAkzAt padasya arTam Aha vinA eva iti /
   jāṭharāgnisaṃbandhaṃ vineśvarasyopāsyatve 'pi śabdādyavirodhaṃ	jAWara agni saMbanDam vineSvarasya upAsya tve api Sabda Adi aviroDam
   jaiminirmanyata ityarthaḥ /	jEminiH manyate iti arTaH /
   idamantasthatvamudarasthatvarūpaṃ nocyate kintu	idam anta sTa tvam udara sTa tva rUpam na ucyate kintu
   nakhādiśikhāntāvayavasamudāyātmakapuruṣaśarīre mūrdhādicibukāntāṅgāni	naKa Adi SiKAnta avayava samudAya Atmaka puruza SarIre mUrDa Adi cibu ka anta aFgAni
   vṛkṣe śākhāvatpratiṣṭhitāni, teṣu saṃpanno vaiśvānaraḥ puruṣe	vRkze SAKA vat pratizWitAni, tezu saMpannaH vESvAnaraH puruze
   'ntaḥpratiṣṭhita ityucyate /	antar pratizWitaH iti ucyate /
   ato yathā śākhāsthasya pakṣiṇo vṛkṣāntaḥsthatvaṃ tathā vaiśvānarasya	atas yaTA SAKA sTasya pakziNaH vRkza antaHsTa tvam taTA vESvAnarasya
   puruṣāntaḥsthatvamityāha na hīha puruṣavidhamityādinā /	puruza antar sTa tvam iti Aha na hi iha puruzaviDam ityAdinA /
   agnyādiśabdasyeśvaravācitvājjāṭharāgnerasaṃśabditatvam /	agni Adi Sabdasya ISvara vAci tvAt jAWara agneH asaMSabdita tvam /
   atreśvarasya puruṣāvayaveṣu saṃpādanātpuruṣavidhatvamantaḥsthatvaṃ	atra ISvarasya puruza avayavezu saMpAdanAt puruzaviDa tvam antar sTa tvam
   cetyarthaḥ /	ca iti arTaH /
   pakṣāntaramāha athaveti /	pakza antaram Aha aTavA iti /
   puruṣavidhatvaṃ pūrvavat /	puruzaviDa tvam pUrvavat /
   antaḥ sthatvaṃ mādhyasthyaṃ sākṣitvamityarthaḥ /	antar sTa tvam mADyasTyam sAkzi tvam iti arTaH /
   evamantaḥsthatvamīśvare vyākhyāya śabdādīni vyācaṣṭe niścite ceti /	evam antar sTa tvam ISvare vyAKyAya Sabda AdIni vyAcazwe  niScite ca iti /
   viśvaścāyaṃ naro jīvaśca sarvātmatvāt /	viSvaH ca ayam naraH jIvaH ca sarva Atma tvAt /
   viśveṣāṃ vikārāṇāṃ vā naraḥ kartā /	viSvezAm vikArANAm vA naraH kartA /
   viśve sarve narā jīvā asyātmatvena niyamyatvena vā santīti viśvānaraḥ /	viSve sarve narAH jIvAH asya Atma tvena niyamya tvena vA santi iti viSvAnaraH /
   rakṣa eva rākṣasa itivatsvārthe taddhitapratyayaḥ /	rakzaH eva rAkzasaH iti vat sva arTe tad hita pratyayaH /
   'nare saṃjñāyāṃ'iti pūrvapadasya dīrghatā /	anare saMjQAyAM aiti pUrva padasya dIrGa tA /
   agidhātorgatyarthasya nipratyayāntasya rūpamagniriti /	agi DAtoH gati arTasya nipratyaya antasya rUpam agniH iti /
   aṅgayati gamayatyagraṃ karmaṇaḥ phalaṃ prāpayatīti agniragraṇīruktaḥ /	aFgayati gamayati agram karmaNaH Palam prApayati iti agniH agraNIH uktaH /
   abhito 'ga iti vā agniḥ /	aBitas agaH iti vE agniH /
   vaiśvānaropāsakasyātithibhojanātpūrvaṃ prāṇāgnihotraṃ vidyāṅgatvena	vESvAnara upAsakasya atiTi BojanAt pUrvam prANa agnihotram vidyA aFga tvena
   vihitaṃ, tadarthamagnitretādikalpanaṃ pradhānāvirodhena	vihitan, tad arTam agni treta Adi kalpanam praDAna aviroDena
   netavyamityāha gārhapatyeti //28//	netavyam iti Aha gArhapatyA iti //28//
   END BsRp_1,2.7.28	END BsRp _1,2.7.28
   START BsRp_1,2.7.29	START BsRp _1,2.7.29
   abhivyakter ity āśmarathyaḥ | BBs_1,2.29 |	aBivyakteH iti ASmaraTyaH | BBH _1,2.29 |
   mātrāṃ parimāṇamatikrānto 'timātraḥ tasya vibhorityarthaḥ /	mAtrAm parimANam atikrAntaH atimAtraH tasya viBoH iti arTaH /
   upāsakānāṃ kṛte 'nugrahāya prādeśamātro 'bhivyajyate, pradeśeṣu vā mīyate	upAsakAnAm kRte anugrahAya prAdeSa mAtraH aBivyajyate, pradeSezu vA mIyate
   'bhivyajyata iti prādeśamātraḥ //29//	aBivyajyate iti prAdeSa mAtraH //29//
   END BsRp_1,2.7.29	END BsRp _1,2.7.29
   START BsRp_1,2.7.30	START BsRp _1,2.7.30
   anusmṛter bādariḥ | BBs_1,2.30 |	anusmRteH bAdariH | BBH _1,2.30 |
   matāntaramāha anusmṛteriti /	mata antaram Aha anusmRteH iti /
   prādeśena manasā mitaḥ prādeśamātra ityarthaḥ /	prAdeSena manasA mitaH prAdeSa mAtraH iti arTaH /
   yathākathañciditi /	yaTA kaTaQcit iti /
   manaḥsthaṃ prādeśamātratvaṃ smṛtidvārā smaryamāṇe kalpitaṃ	manaH sTam prAdeSa mAtra tvam smRti dvArA smaryamANe kalpitam
   śruterālambanamityarthaḥ /	SruteH Alambanam iti arTaH /
   sūtrasyārthantaramāha prādeśeti //30//	sUtrasya arTantaram Aha  prAdeSa iti //30//
   END BsRp_1,2.7.30	END BsRp _1,2.7.30
   START BsRp_1,2.7.31	START BsRp _1,2.7.31
   saṃpatter iti jaiminis tathā hi darśayati | BBs_1,2.31 |	saMpatteH iti jEminiH taTA hi darSayati | BBH _1,2.31 |
   saṃprati śrutyuktāṃ prādeśamātraśrutergatimāha saṃpatteriti /	saMprati Sruti uktAm prAdeSa mAtra SruteH gati mAha  saMpatteH iti /
   brāhmaṇaṃ paṭhati prādeśamātramiveti /	brAhmaNam paWati  prAdeSa mAtram iva iti /
   aparicchinnamapīśvaraṃ prādeśamātratvena saṃpattyā kalpitaṃ	aparicCinnam api ISvaram prAdeSa mAtra tvena saMpattyA kalpitam
   samyagviditavanto devāstameveśvaramabhi pratyaktvena saṃpannāḥ	samyak viditavantaH devAH tam eva ISvaram aBi pratyaktvena saMpannAH
   prāptavantaḥ, ha vai pūrvakāle, tato vo yuṣmabhyaṃ, tathā	prAptavantaH, ha vE pUrva kAle, tatas vaH yuzmaByan, taTA
   dyuprabhṛtīnavayavānvakṣyāmi yathā prādeśamātraṃ	dyu praBRtIn avayavAn vakzyAmi yaTA prAdeSa mAtram
   prādeśaparimāṇamanatikramya mūrdhādyadhyātmāṅgeṣu vaiśvānaraṃ	prAdeSa parimANam anatikramya mUrDa Adi aDyAtma aFgezu vESvAnaram
   saṃpādayiṣyāmīti prācīnaśāladīnprati rājā pratijñāya	saMpAdayizyAmi iti prAcIna SAladIn prati rAjA pratijQAya
   svakīyamūrdhānamupadiśan kareṇa darśayannuvāca eṣa vai me mūrdhā	svakIya mUrDAnam upadiSan kareNa darSayan= uvAca  eza vE me mUrDA
   bhūrādīṃllokānatītya upari tiṣṭhatītyatiṣṭāsau dyuloko vaiśvānaraḥ /	BUH AdIn= lokAn atItyaH upari tizWati iti atizwAsO dyulokaH vESvAnaraH /
   tasya mūrdheti yāvat /	tasya mUrDA iti yAvat /
   adhyātmamūrdhābhedenādhidaivamūrdhā saṃpādya dhyeya ityarthaḥ /	aDyAtma mUrDA Bedena aDidEva mUrDA saMpAdya DyeyaH iti arTaH /
   evaṃ cakṣurādiṣūhanīyam /	evam cakzuH AdizUhanIyam /
   svakīyacakṣuṣī darśayan 'eṣa vai sutejāḥ sūryo vaiśvānarasya	svakIya cakzuzI darSayan aeza vE su tejAH sUryaH vESvAnarasya
   cakṣurityuvāca' /	cakzuH iti uvAca a /
   nāsikāpadena tanniṣṭhaḥ prāṇe lakṣyate tasminnādhyātmikaprāṇe	nAsikA padena tad nizWaH prANe lakzyate tasmin= ADyAtmika prANe
   'dhidaivaprāṇasya vāyordṛṣṭimāha nāsika iti /	aDidEva prANasya vAyoH dRzwi mAha  nAsikaH iti /
   atra sarvatra vaiśvānaraśabdastadaṅgaparaḥ /	atra sarvatra vESvAnara SabdaH tad aFga paraH /
   mukhasthaṃ mukhyaṃ tasminnadhidaivaṃ bahulākaśadṛṣṭiḥ	muKa sTam muKyam tasmin= aDidEvam bahulAkaSa dRzwiH
   mukhasthalālārūpāsvapsu raiśabditatadīyabastisthodakadṛṣṭiḥ cibuke	muKa sTa lAlA rUpAsu apsu rESabdita tadIya basti sTa udaka dRzwiH cibuke
   pratiṣṭhā pādarūpā pṛthivī draṣṭavyā /	pratizWA pAda rUpA pRTivI drazwavyA /
   nanu guṇāvaiṣamyeṇa vidyayorbhedādagnirahasye śrutyanusāreṇa	nanu guNa avEzamyeNa vidyayoH BedAt agni rahasye Sruti anusAreNa
   chāndogyasthaprādeśamātrakṣutiḥ kathaṃ vyākhyeyetyāśaṅkyāha yadyapītyādinā	CAndogya sTa prAdeSa mAtra kzutiH kaTam vyAKyeya iti ASaFkya aha yadi api ityAdinA
   etāvatālpavaiṣamyeṇa bahutarapratyabhijñāsiddhaṃ vidyaikyaṃ na hīyate /	etAvatA alpa vEzamyeNa bahutara pratyaBijQA sidDam vidya Ekyam na hIyate /
   śākhābhede 'pi sarvaśākhāsu pratīyamānaṃ vaiśvānarādyupāsanamekamiti	SAKA Bede api sarva SAKAsu pratIyamAnam vESvAnara Adi upAsanam ekam iti
   nyāyasya vakṣyamāṇatvācca /	nyAyasya vakzyamANa tvAt ca /
   atiṣṭhātvaguṇaśchāndogya upasaṃhartavyaḥ /	atizWAtva guNaH CAndogyaH upasaMhartavyaH /
   viśvarūpatvaguṇaśca vājibhirgrāhyaḥ /	viSvarUpa tva guNaH ca vAjiBiH grAhyaH /
   tathāca dyusūryayoḥ sutejastvaṃ samamatiṣṭhātvaviśvarūpatvayorvyavasthā /	taTA ca dyu sUryayoH sutejaH tvam samam atizWAtu aviSva rUpa tvayoH vyavasTA /
   yadvā śākhābhedena guṇavyavasthāstu na vidyābheda iti bhāvaḥ //31//	yat vA SAKA Bedena guNa vyavasTAH tu na vidyA BedaH iti BAvaH //31//
   END BsRp_1,2.7.31	END BsRp _1,2.7.31
   START BsRp_1,2.7.32	START BsRp _1,2.7.32
   āmananti cainam asmin | BBs_1,2.32 |	Amananti ca enam asmin | BBH _1,2.32 |
   prādeśatvasya saṃpattiprayuktatve śrutyantaraṃ saṃvādayati āmantīti /	prAdeSa tvasya saMpatti prayukta tve Sruti antaram saMvAdayati Amanti iti /
   ya eṣo 'nanto 'paricchinnaḥ ato 'vyakto durvijñeyastaṃ kathaṃ	yaH ezaH anantaH aparicCinnaH atas avyaktaH durvijQeyaH tam kaTam
   jānīyāmityatreḥ praśne yājñavalkyasyottaraṃ, sa īśvaro 'vimukte	jAnIyAm iti atreH praSne yAjQavalkyasya uttaran, saH ISvaraH avimukte
   kāmādibhirbaddhe jīve bhedakalpanayā pratiṣṭhita upāsyaḥ /	kAma AdiBiH badDe jIve Beda kalpanayA pratizWitaH upAsyaH /
   punaratripraśnaḥ sa iti, uttaraṃ varaṇāyāmiti /	punar atri praSnaH saH iti, uttaram varaNAyAm iti /
   evaṃ praśnottare agre 'pi jñeye /	evam praSna uttare agre api jQeye /
   tatra ca śrutau imāmeva bhrūsahitāṃ nāsikāṃ nirucyeti bhāṣyayojanā /	tatra ca SrutO imAm eva BrU sahitAm nAsikAm nirucya iti BAzya yojanA /
   sarvānindrayakṛtāndoṣānvārayatīti varaṇā bhrūḥ, sarvāndoṣānnāśayatīti nāsī	sarvAn indraya kRtAn dozAn vArayati iti varaNA BrUH, sarvAn dozAn nASayati iti na AsI
   nāsiketi nirvacanaṃ śrutam /	nAsikA iti nirvacanam Srutam /
   nāsābhruvorjīvadvāreśvarasthānatvadhyānātpāpavārakatvamiti mantavyam /	nAsA BruvoH jIva dvAra ISvara sTAna tva DyAnAt pApa vAraka tvam iti mantavyam /
   tayormadhye 'pi viśiṣya jīvasya sthānaṃ pṛcchati katamaditi,	tayoH maDye api viSizya jIvasya sTAnam pRcCati katamat iti,
   bhruvorityuttaram /	BruvoH iti uttaram /
   prāṇasyeti pāṭhe 'pi ghrāṇasyetyarthaḥ /	prANasya iti pAWe api GrANasya iti arTaH /
   sa eṣa saṃdhirdyulokasya svargasya parasya ca brahmalokasya saṃdhitvena	saH eza saMDiH dyu lokasya svargasya parasya ca brahma lokasya saMDi tvena
   dhyeya ityāha sa eṣa iti /	DyeyaH iti Aha saH ezaH iti /
   ābhimukhyenāhaṃ brahmeti vimīyate jñāyate ityabhivimānaḥ pratyagātmā /	ABimuKyena aham brahma iti vimIyate jQAyate iti aBivimAnaH pratyagAtmA /
   abhigataścāsau vimānaśca, sarvasvarūpatve satyānantyāt /	aBigataH ca asO vimAnaH ca, sarva svarUpa tve satya AnantyAt /
   mānamatra parimāṇam /	mAnam atra parimANam /
   abhivimimīte nirmimīte /	aBivimimIte nirmimIte /
   tasmādvaiśvānaravākyamupāsye brahmaṇi samanvitamiti siddham //32//	tasmAt vESvAnara vAkyam upAsye brahmaNi samanvitam iti sidDam //32//
   END BsRp_1,2.7.32	END BsRp _1,2.7.32
   iti śrīmatparamahaṃsaparivrājakācāryaśrīgovindānandabhagavatpādakṛtau	iti SrImat paramahaMsa parivrAjaka AcArya SrI govinda Ananda Bagavat pAda kRtO
   śrīmacchārīrakamīmāṃsāvyākhyāyāṃ bhāṣyaratnaprabhāyāṃ prathamādhyāyasya	SrImat SArIrakamI mAMsa avyAKyAyAm BAzya ratna praBAyAm praTama aDyAyasya
   dvitīyaḥ pādaḥ //2//	dvitIyaH pAdaH //2//
   iti prathamādhyāyasya upāsyabrahmavācakāspaṣṭaśrutisamanvayākhyo dvitīyaḥ	iti praTama aDyAyasya upAsyabrahma vAcaka aspazwa Sruti samanvaya AKyaH dvitIyaH
   pādaḥ //	pAdaH //
   prathamādhyāye tṛtīyaḥ pādaḥ /	praTama aDyAye tRtIyaH pAdaH /
