   Abhidharmakośabhāṣyam	ABiDarma-koSa-BAzyam
   caturṇāṃ daśa naikasya yojyā dharmāḥ punardaśa // VAkK_7.17 //	caturNAm daSa na-ekasya yojyAH DarmAH punar-daSa // VAkK_7.17 //
   traidhātukāmalā dharmā akṛtāśca dvidhā dvidhā /	trEDAtuka-amalAH DarmAH akRtAH-ca dviDA dviDA /
   sāṃvṛtaṃ svakalāpānyadekaṃ vidyādanātmataḥ // VAkK_7.18 //	sAMvRtam sva-kalApa-anyat-ekam vidyAt-anAtmataH // VAkK_7.18 //
   ekajñānānvito rāgī prathame 'nāsravakṣaṇe /	eka-jQAna-anvitaH rAgI praTame anAsra-vakzaNe /
   dvitīye tribhiḥ ūrdhvastu caturṣvekaikavṛddhimān // VAkK_7.19 //	dvitIye triBiH UrDvaH-tu caturzu-eka-eka-vRdDimAn // VAkK_7.19 //
   yathotpannāni bhāvyante kṣāntijñānāni darśane /	yaTA-utpannAni BAvyante kzAnti-jQAnAni darSane /
   anāgatāni tatraiva sāṃvṛtaṃ cānvayatraye // VAkK_7.20 //	anAgatAni tatra-eva sAMvRtam ca-anvaya-traye // VAkK_7.20 //
   ato 'bhisamayāntyākhyaṃ tadānutpattidharmakam /	atas aBisamaya-anti-a-AKyam tadA-anutpatti-Darmakam /
   svādhobhūmi nirodhe 'ntyaṃ svasatyākāraṃ yātnikam // VAkK_7.21 //	sva-aDoBUmi niroDe antyam svasati-AkAram yAtnikam // VAkK_7.21 //
   ṣoḍaśe ṣaṭ sarāgasya vītarāgasya sapta tu /	zoxaSe zax sa-rAgasya vIta-rAgasya sapta tu /
   sarāgabhāvanā mārge tadūrdhvaṃ saptabhāvanā // VAkK_7.22 //	sa-rAga-BAvanA mArge tad-UrDvam sapta-BAvanA // VAkK_7.22 //
   saptabhūmijayābhijñākopyāptyākīrṇabhāvite	sapta-BUmi-jayA-aBijQAkA-upya-Apti-AkIrNa-BAvite
   ānantaryapatheṣūrdhvaṃ muktimārgāṣṭake 'pi ca // VAkK_7.23 //	Anantarya-paTezu-UrDvam mukti-mArga-azwake api ca // VAkK_7.23 //
   śaikṣottāpanamuktau vā ṣaṭ saptajñānabhāvanā /	SEkza-uttApana-muktO vA zaw sapta-jQAna-BAvanA /
   ānantaryapathe ṣaṇṇāṃ bhavāgravijaye tathā // VAkK_7.24 //	Anantarya-paTe zaNNAm Bava-agra-vijaye taTA // VAkK_7.24 //
   navānāṃ tu kṣayajñāne akopyasya daśa bhāvanā /	navAnAm tu kzaya-jQAne akopyasya daSa BAvanA /
   tatsaṃcare 'ntyamuktau ca proktaśeṣe 'ṣṭabhāvanā // VAkK_7.25 //	tad-saMcare antya-m-uktO ca prokta-Seze azwa-BAvanA // VAkK_7.25 //
   yadvairāgyāya yallābhastatra cādhaśca bhāvyate /	yat-vErAgyAya yat-lABaH-tatra ca-aDas-ca BAvyate /
   sāsravāśca kṣayajñāne labdhapūrvaṃ na bhāvyate // VAkK_7.26 //	sa-AsravAH-ca kzaya-jQAne labDa-pUrvam na BAvyate // VAkK_7.26 //
   pratilambhaniṣevākhye śubhasaṃskṛtabhāvane /	pratilamBa-nizeva-AKye SuBa-saMskRta-BAvane /
   pratipakṣavinirdhāvabhāvane sāsravasya tu // VAkK_7.27 //	pratipakza-vinirDAva-BAvane sa-Asravasya tu // VAkK_7.27 //
   aṣṭādaśāveṇikāstu buddhadharmā balādayaḥ /	azwAdaSa-AveNikAH-tu budDa-DarmA bala-AdayaH /
   sthānāsthāne daśa jñānāni aṣṭau karmaphale nava // VAkK_7.28 //	sTAna-AsTAne daSa jQAnAni azwO karma-Pale nava // VAkK_7.28 //
   dhyānādyakṣādhimokṣeṣu dhātau ca pratipatsu tu /	DyAnAt-yakza-aDimokzezu DAtO ca pratipatsu tu /
   daśa vā saṃvṛtijñānaṃ dvayoḥ ṣaṭ daśa vā kṣaye // VAkK_7.29 //	daSa vA saMvRti-jQAnam dvayoH zaw daSa vA kzaye // VAkK_7.29 //
   prāṅinavisacyutotpādabaladhyāneṣu śeṣitam /	prAFinavisa-cyuta-utpAda-bala-DyAnezu Sezitam /
   sarvabhūmiṣu kenāsya balamavyāhataṃ yataḥ // VAkK_7.30 //	sarva-BUmizu kena-asya balam-avyAhatam yatas // VAkK_7.30 //
   nārāyaṇabalaṃ kāye saṃdhiṣvanye daśādhikam /	nArAyaNa-balam kAye saMDizu-anye daSa-aDikam /
   hastyādisaptakabalam spraṣṭavyāyatanaṃ ca tat // VAkK_7.31 //	hasti-Adi-saptaka-balam sprazwavya-Ayatanam ca tat // VAkK_7.31 //
   vaiśāradyaṃ caturdhā tu yathādyadaśame bale /	vESAradyam caturDA tu yaTAdya-daSame bale /
   dvitīyasaptame caiva smṛtiprajñātmakaṃ trayam // VAkK_7.32 //	dvitIya-saptame ca-eva smRti-prajQA-Atmakam trayam // VAkK_7.32 //
   mahākṛpā saṃvṛtidhīḥ saṃbhārākāragocaraiḥ /	mahA-kRpA saMvRti-DIH saMBAra-AkAra-gocarEH /
   samatvādādhimātryācca nānākaraṇamaṣṭadhā // VAkK_7.33 //	sama-tvAt-ADimAtryAt-ca nAnA-karaNam-azwaDA // VAkK_7.33 //
   saṃbhāradharmakāyābhyāṃ jagataścārthacaryayā /	saMBAra-Darma-kAyAByAm jagataH-ca-arTa-caryayA /
   samatā sarvabuddhānāṃ nāyurjātipramāṇataḥ // VAkK_7.34 //	sama-tA sarva-budDAnAm na-AyuH-jAti-pramANataH // VAkK_7.34 //
   śiṣyasādhāraṇā anye dharmāḥ kecit pṛthagjanaiḥ /	Sizya-sADAraNAH anye DarmAH kecid pRTagjanEH /
   araṇāpraṇidhijñānapratisaṃvidguṇādayaḥ // VAkK_7.35 //	araNa-apraNiDi-jQAna-pratisaMvid-guNa-AdayaH // VAkK_7.35 //
   saṃvṛtijñānamaraṇā dhyāne 'ntye akopyadharmaṇaḥ /	saMvRti-jQAna-maraNAH DyAne antye akopya-DarmaNaH /
   nṛjā anutpannakāmāptasavastukleśagocarāḥ // VAkK_7.36 //	nR-jAH anutpanna-kAma-Apta-savastu-kleSa-gocarAH // VAkK_7.36 //
   tathaiva praṇidhijñānaṃ sarvālambaṃ tu tat tathā /	taTA-eva praNiDi-jQAnam sarva-Alambam tu tat taTA /
   dharmārthayorniruktau ca pratibhāne ca saṃvidaḥ // VAkK_7.37 //	Darma-arTayoH-niruktO ca pratiBAne ca saMvidaH // VAkK_7.37 //
   tisro nāmāthavāgjñānamavivartyaṃ yathākramam /	tisraH nAma-aTa-vAgjQAnam-avivartyam yaTAkramam /
   caturthīyuktamuktābhilāpamārgavaśitvayoḥ // VAkK_7.38 //	caturTI-yukta-muktA-aBilApa-mArga-vaSitvayoH // VAkK_7.38 //
   vāṅmārgālambanā cāsau nava jñānāni sarvabhūḥ /	vAc-mArga-AlambanA ca-asO nava jQAnAni sarva-BUH /
   daśa ṣaḍvārthasaṃvit sā sarvatra anye tu sāṃvṛtam // VAkK_7.39 //	daSa zaxvA-arTa-saMvid sA sarvatra anye tu sAMvRtam // VAkK_7.39 //
   kāmadhyāneṣu dharme vit vāci prathamakāmayoḥ /	kAma-DyAnezu Darme vid vAci praTama-kAmayoH /
   vikalābhirna tallābhī ṣaḍete prāntakoṭikāḥ // VAkK_7.40 //	vikalABiH-na tad-lABI zaw-ete prAnta-kowikAH // VAkK_7.40 //
   tatṣaḍ vidhaṃ sarvabhūmyanulomitam /	tad-zaz viDam sarva-BUmi-anulomitam /
   vṛddhikāṣṭhāgataṃ tacca buddhānyasya prayogajāḥ // VAkK_7.41 //	vRdDi-kAzWA-gatam tat-ca budDAni-asya prayoga-jAH // VAkK_7.41 //
   ṛddhiśrotramanaḥpūrvajanmacyutyudayakṣaye /	RdDi-Srotra-manaH-pUrva-janma-cyuti-udaya-kzaye /
   jñāta sākṣīkriyābhijñā ṣaḍ vidhā muktimārgadhīḥ // VAkK_7.42 //	jQAta sAkzIkriyA-aBijQA zaw viDAH mukti-mArgaDIH // VAkK_7.42 //
   catasraḥ saṃvṛtijñānaṃ cetasi jñānapañcakam /	catasraH saMvRti-jQAnam cetasi jQAna-paQcakam /
   kṣayābhijñā balaṃ yadvat pañca dhyānacatuṣṭaye // VAkK_7.43 //	kzaya-aBijQAH balam yadvat paQca DyAna-catuzwaye // VAkK_7.43 //
   svādhobhūviṣayāḥ labhyā ucitāstu virāgataḥ /	sva-aDas-BU-vizayAH laByAH ucitAH-tu virAgataH /
   tṛtīyā trīpyupasthānāni ādyaṃ śrotraddhircakṣuṣi // VAkK_7.44 //	tRtIyA trIpi-upasTAnAni Adyam SrotradDiH-cakzuzi // VAkK_7.44 //
   avyākṛte śrotracakṣurabhijñe itarāḥ śubhāḥ /	avyAkRte Srotra-cakzuH-aBijQe itarAH SuBAH /
   tisro vidyāḥ avidyāyāḥ pūrvāntādau nivarttanāt // VAkK_7.45 //	tisraH vidyAH avidyAyAH pUrva-anta-AdO nivarttanAt // VAkK_7.45 //
   aśaikṣyantyā tadākhye dve tatsaṃtānamudbhavāt /	aSEkzyantyA tad-AKye dve tad-saMtAnam-udBavAt /
   iṣṭe śaikṣasya nokte tu vidye sāvidyasaṃtateḥ // VAkK_7.46 //	izwe SEkzasya na-ukte tu vidye sa-avidya-saMtateH // VAkK_7.46 //
   ādyā tṛtīyā ṣaṣṭhī ca prātihāryāṇi śāsanam /	AdyA tRtIyA zazWI ca prAtihAryANi SAsanam /
   agyram avyabhicāritvāddhiteṣṭaphalayojanāt // VAkK_7.47 //	agyram avyaBicAri-tvAt-hitezwa-Pala-yojanAt // VAkK_7.47 //
   ṛddhiḥ samādhiḥ gamanaṃ nirmāṇaṃ ca gatistridhā /	RdDiH samADiH gamanam nirmANam ca gatiH-triDA /
   śāsturmanojavā anyeṣāṃ vāhinyapyādhimokṣikī // VAkK_7.48 //	SAstuH-manaH-javAH anyezAm vAhinI-api-ADi-mokzikI // VAkK_7.48 //
   kāmāptaṃ nirmitaṃ bāhyaṃ caturāyatanaṃ dvidhā /	kAma-Aptam nirmitam bAhyam catur-Ayatanam dviDA /
   rūpāptaṃ dve tu nirmāṇacittaistāni caturdaśa // VAkK_7.49 //	rUpa-Aptam dve tu nirmANa-cittEH-tAni caturdaSa // VAkK_7.49 //
   yathākramaṃ dhyānaphalaṃ dve yāvat pañca nordhvajam /	yaTAkramam DyAna-Palam dve yAvat paQca na-UrDvajam /
   tallābho dhyānavat śuddhāttatsvataśca tato 'pi te // VAkK_7.50 //	tad-lABaH DyAna-vat SudDAt-tat-svatas-ca tatas api te // VAkK_7.50 //
   svabhūmikena nirmāṇaṃ bhāṣaṇaṃ tvadhareṇa ca /	sva-BUmikena nirmANam BAzaNam tu-aDareNa ca /
   nirmātraiva sahāśāstuḥ adhiṣṭhāyānyavarttanāt // VAkK_7.51 //	nirmAtra-eva saha-ASAstuH aDizWAya-anya-varttanAt // VAkK_7.51 //
   mṛtasyāpyastyadhiṣṭhānaṃ nāsthirasya apare tu na /	mRtasya-api-asti-aDizWAnam na-asTirasya apare tu na /
   ādāvekamanekena jitāyāṃ tu viparyayāt // VAkK_7.52 //	AdO=-ekam-anekena jitAyAm tu viparyayAt // VAkK_7.52 //
   avyākṛtaṃ bhāvanājaṃ trividhaṃ tūpapattijam /	avyAkRtam BAvanA-jam triviDam tu-upapatti-jam /
   ṛddhirmantrauṣadhābhyāṃ ca karmajā ceti pañcadhā // VAkK_7.53 //	RdDiH-mantra-OzaDAByAm ca karma-jA ca-iti paQcaDA // VAkK_7.53 //
   divyaśrotrākṣiṇī rūpaprasādau dhyānabhūmikau /	divya-Srotra-akziNI rUpa-prasAdO DyAna-BUmikO /
   sabhāgāvikale nityaṃ dūrasūkṣmādigocare // VAkK_7.54 //	sa-BAga-avi-kale nityam dUra-sUkzma-Adi-gocare // VAkK_7.54 //
   durasthamāvṛtaṃ sūkṣmaṃ sarvataśca na paśyati /	durasTam-AvRtam sUkzmam sarvatas-ca na paSyati /
   māṃsacakṣuryato rūpamato divyaṃ dṛgiṣyate //	mAMsa-cakzuH-yatas rUpam-atas divyam dRS-izyate //
   dvitrisāhasrakāsaṃkhyadṛśo 'rhatkhaḍgadaiśikāḥ /	dvi-tri-sAhasraka-asaMKya-dRSaH arhat-Kaxga-dESikAH /
   anyadapyupapattyāptaṃ taddṛśyo nāntarībhavaḥ // VAkK_7.55 //	anyat-api-upapatti-Aptam tat-dRSyaH na-antarIBavaH // VAkK_7.55 //
   cetojñānaṃ tu tattredhā tarkavidyākṛtaṃ ca yat /	cetaH-jQAnam tu tat-treDA tarka-vidyA-kRtam ca yat /
   jānate nārakā ādau nṛṇāṃ notpattilabhikam // VAkK_7.56 //	jAnate nArakAH AdO nRNAm na-utpatti-laBikam // VAkK_7.56 //
   abhidharmakośe jñānanirdeśo nāma saptamaṃ kośasthānam //	aBiDarmakoSe jQAna-nirdeSaH nAma saptamam koSa-sTAnam //
   aṣṭamaṃ kośasthānam	azwamam koSa-sTAnam
   oṃ namo buddhāya //	om namaH budDAya //
   dvidhā dhyānāni catvāri proktāstadupapattayaḥ /	dviDA DyAnAni catvAri proktAH-tad-upapattayaH /
   samāpattiḥ śubhaikāgyraṃ pañcaskandhāstu sānugam // VAkK_8.1 //	samApattiH SuBa-ekAgyram paQca-skanDAH-tu sa-anugam // VAkK_8.1 //
   vicāraprītisukhavat pūrvapūrvāṅgavarjitam /	vicAra-prIti-suKa-vat pUrva-pUrva-aFga-varjitam /
   tathārūpyāḥ catuskandhāḥ adhobhūmivivekajāḥ // VAkK_8.2 //	taTArUpyAH catuskanDAH aDas-BUmi-viveka-jAH // VAkK_8.2 //
   vibhūtarūpasaṃjñākhyāḥ saha sāmantakaistribhiḥ /	viBUta-rUpa-saMjQA-AKyAH saha sAmantakEH-triBiH /
   nārūpye rūpasadbhāvaḥ rūpotpattistu cittataḥ // VAkK_8.3 //	na-ArUpye rUpa-sadBAvaH rUpa-utpattiH-tu cittataH // VAkK_8.3 //
   ākāśānantyavijñānanatyākiṃcanyasaṃjñakāḥ /	AkASa-Anantya-vijQAna-nati-AkiMcanya-saMjQakAH /
   tathāprayogāt māndyāttu nasaṃjñānāpyasaṃjñakaḥ // VAkK_8.4 //	taTA-aprayogAt mAndyAt-tu na-saMjQAna-api-asaMjQakaH // VAkK_8.4 //
   iti maulaṃ samāpattidravyamaṣṭavidhaṃ tridhā /	iti mOlam samApatti-dravyam-azwaviDam triDA /
   sapta āsvādanavacchuddhānāsravāṇi aṣṭamaṃ dvidhā // VAkK_8.5 //	sapta AsvAdana-vat-SudDAnAsravANi azwamam dviDA // VAkK_8.5 //
   āsvādanāsaṃprayuktaṃ satṛṣṇaṃ laukikaṃ śubham /	AsvAdanA-saMprayuktam sa-tRzNam lOkikam SuBam /
   śuddhakaṃ tattadāsvādyaṃ lokattaramanāsravam // VAkK_8.6 //	SudDakam tat-tad-AsvAdyam lokattaram-anAsravam // VAkK_8.6 //
   pañcādye tarkacārau ca prītisaukhyasamādhayaḥ /	paQca-Adye tarka-cArO ca prIti-sOKya-samADayaH /
   prītyādayaḥ prasādaśca dvitīye 'ṅgacatuṣṭayam // VAkK_8.7 //	prIti-AdayaH prasAdaH-ca dvitIye aFga-catuzwayam // VAkK_8.7 //
   tṛtīye pañca tūpekṣā smṛtiḥ prajñā sukhaṃ sthitiḥ /	tRtIye paQca tu-upekzA smRtiH prajQA suKam sTitiH /
   catvāryante 'sukhāduḥkhopekṣāsmṛtisamādhayaḥ // VAkK_8.8 //	catvAri-ante asuKa-aduHKa-upekzA-smRti-samADayaH // VAkK_8.8 //
   dravyato daśa caikaṃ ca prasrabdhi sukhamādyayoḥ /	dravyataH daSa ca-ekam ca prasrabDi suKam-AdyayoH /
   śraddhā prasādaḥ prītistu saumanasyaṃ dvidhāgamāt // VAkK_8.9 //	SradDA prasAdaH prItiH-tu sOmanasyam dviDA-AgamAt // VAkK_8.9 //
   kliṣṭeṣva satprītisukhaṃ prasādaḥ saṃpradhīḥ smṛtiḥ /	klizwezva sat-prIti-suKam prasAdaH saMpraDIH smRtiH /
   upekṣāsmṛtiśuddhiśca kecit prasrabdhyupekṣaṇe // VAkK_8.10 //	upekzA-smRti-SudDiH-ca kecid prasrabDi-upekzaNe // VAkK_8.10 //
   aṣṭāpakṣālamuktatvādāniñjaṃ tu caturthakam /	azwApakzAla-mukta-tvAt-An-iQjam tu caturTakam /
   vitarkacārau śvāsau ca sukhādi ca catuṣṭayam // VAkK_8.11 //	vitarka-cArO SvAsO ca suKa-Adi ca catuzwayam // VAkK_8.11 //
   saumanasyasukhopekṣā upekṣāsumanaskate /	sOmanasya-suKa-upekzAH upekzA-asumanaskate /
   sukhopekṣe upekṣā pravido dhyānopapattiṣu // VAkK_8.12 //	suKa-upekze upekzA pravidaH DyAna-upapattizu // VAkK_8.12 //
   kāyākṣiśrotravijñānaṃ vijñaptyutthāpakaṃ ca yat /	kAya-akzi-Srotra-vijQAnam vijQapti-utTApakam ca yat /
   dvitīyādau tadādyāptaṃ akliṣṭāvyākṛtaṃ ca tat // VAkK_8.13 //	dvitIya-AdO tad-Adya-Aptam aklizwa-avyAkRtam ca tat // VAkK_8.13 //
   atadvān labhate śuddhaṃ vairāgyeṇopapattitaḥ /	atadvAn laBate SudDam vErAgyeNa-upapattitaH /
   anāsravaṃ tu vairāgyāt kliṣṭaṃ hānyupapattitaḥ // VAkK_8.14 //	anAsravam tu vErAgyAt klizwam hAni-upapattitaH // VAkK_8.14 //
   tṛtīyādyāvadūrdhvādho 'nāsravānantaraṃ śubham /	tRtIyAt-yAvat-UrDva-aDas anAsrava-anantaram SuBam /
   utpadyate tathā śuddhāt kliṭaṃ cāpi svabhūmikam // VAkK_8.15 //	utpadyate taTA SudDAt kliwam ca-api sva-BUmikam // VAkK_8.15 //
   kliṣṭāt svaṃ śuddakaṃ kliṣṭaṃ evaṃ cādharaśuddhakam /	klizwAt svam Suddakam klizwam evam ca-aDara-SudDakam /
   cyutau tu śuddhakāt kliṣṭaṃ sarvaṃ kliṣṭāttu nottaram // VAkK_8.16 //	cyutO tu SudDakAt klizwam sarvam klizwAt-tu na-uttaram // VAkK_8.16 //
   caturdhā śuddhakaṃ hānabhāgīyādi yathākramam /	caturDA SudDakam hAna-BAgIya-Adi yaTAkramam /
   kleśotpattisvabhūmyūrdhvānāsravānuguṇaṃ hi tat // VAkK_8.17 //	kleSa-utpatti-sva-BUmi-UrDva-anAsrava-anuguNam hi tat // VAkK_8.17 //
   dve trīṇi trīṇi caikaṃ ca hāna bhāgādyanantaram /	dve trINi trINi ca-ekam ca hAna BAga-Adi-anantaram /
   gatvāgamya dvidhā bhūmīraṣṭau śliṣṭai kalaṅghitāḥ // VAkK_8.18 //	gatvA-Agamya dviDA BUmIH-azwO SlizwEH kalaFGitAH // VAkK_8.18 //
   vyutkrāntakasamāpattirvisabhāgatṛtīyagā /	vyutkrAntaka-samApattiH-visaBAga-tRtIya-gA /
   svādhobhūmyāśrayā eva dhyānārūpyāḥ vṛthādharam // VAkK_8.19 //	sva-aDas-BUmi-ASrayAH eva DyAna-ArUpyAH vRTA-aDaram // VAkK_8.19 //
   āryākiṃcanyasāṃmukhyāt bhavāgre tvāsravakṣayaḥ /	AryA-kiMcanya-sAMmuKyAt Bava-agre tu-Asrava-kzayaH /
   satṛṣṇāḥ svabhavālambāḥ dhyānaṃ sadviṣayaṃ śubham // VAkK_8.20 //	sa-tRzNAH svaBava-AlambAH DyAnam sat-vizayam SuBam // VAkK_8.20 //
   na maulāḥ kuśalārūpyāḥ sāsravādharagocarāḥ /	na mOlAH kuSala-arUpyAH sa-asrava-aDara-gocarAH /
   anāsraveṇa hīyante kleśāḥ sāmantakena ca // VAkK_8.21 //	anAsraveNa hIyante kleSAH sAmantakena ca // VAkK_8.21 //
   aṣṭau sāmantakānyeṣāṃ śuddhāduḥkhāsukhāni hi /	azwO sAmantakAni-ezAm SudDA-duHKa-asuKAni hi /
   ārya cādyaṃ tridhā kecit atarka dhyānamantaram // VAkK_8.22 //	Arya ca-Adyam triDA kecid atarka DyAnam-antaram // VAkK_8.22 //
   tridhā aduḥkhāsukhaṃtacca mahābrahmaphalaṃ ca tat /	triDA aduHKa-asuKaMtat-ca mahA-brahma-Palam ca tat /
   savitarkavicāro 'dhaḥsamādhiḥ parato 'dvayaḥ // VAkK_8.23 //	sa-vitarka-vicAraH aDas-samADiH paratas advayaH // VAkK_8.23 //
   ānimittaḥ samākāraiḥ śūnyatānātmaśūnyataḥ /	AnimittaH sama-AkArEH SUnyatAnAtma-SUnyataH /
   pravartate apraṇihitaḥ satyākārairataḥ paraiḥ // VAkK_8.24 //	pravartate apraNihitaH satya-AkArEH-atas parEH // VAkK_8.24 //
   śuddhāmalāḥ nirmalāstu te vimokṣamukhatrayam /	SudDa-amalAH nirmalAH-tu te vimokza-muKa-trayam /
   śūnyatāśunyatādyākhyāstrayo 'parasamādhayaḥ // VAkK_8.25 //	SUnyatA-Sunyata-Adya-AKyAH-trayaH apara-samADayaH // VAkK_8.25 //
   ālambete aśaikṣaṃ dvau śūnyataścāpyanityataḥ /	Alambete aSEkzam dvO SUnyataH-ca-api-anityatas /
   ānimittānimittastu śāntato 'saṃkhyayā kṣayam // VAkK_8.26 //	Animitta-animittaH-tu SAntataH asaMKyayA kzayam // VAkK_8.26 //
   sāsravāḥ nṛṣu akopyasya saptasāmantavarjitāḥ /	sa-AsravAH nRzu akopyasya sapta-sAmanta-varjitAH /
   samādhibhāvanā dhyānaṃ subhamādyaṃ sukhāya hi // VAkK_8.27 //	samADi-BAvanA DyAnam suBama-Adyam suKAya hi // VAkK_8.27 //
   darśanāyākṣyabhijñeṣṭā dhībhedāya prayogajāḥ /	darSana-aya-akzI-aBijQA-izwA DI-BedAya prayoga-jAH /
   vajropamo 'ntye yo dhyāne sāsravakṣayabhāvanā // VAkK_8.28 //	vajra-upamaH antye yaH DyAne sa-Asrava-kzaya-BAvanA // VAkK_8.28 //
   apramāṇāni catvāri vyāpādādivipakṣataḥ /	apramANAni catvAri vyApAda-Adi-vipakzataH /
   maitryadveṣaḥ api karuṇā muditā sumanaskatā // VAkK_8.29 //	mEtryadvezaH api karuNA muditA sumanaskatA // VAkK_8.29 //
   upekṣālobhaḥ ākāraḥ sukhitā duḥkhitā vata /	upekzA-loBaH AkAraH suKitAH duHKitA vataH /
   modantāmiti sattvācca kāmasattvāstu gocaraḥ // VAkK_8.30 //	modantAm-iti sattvAt-ca kAma-sattvAH-tu gocaraH // VAkK_8.30 //
   dhyānayormuditā anyāni ṣaṭ su kecittu pañcasu /	DyAnayoH-muditAH anyAni zaw su kecid-tu paQcasu /
   na taiḥ prahāṇaṃ nṛṣveva janyante tryanvito dhruvam // VAkK_8.31 //	na tEH prahANam nRzu-eva janyante tri-anvitaH Druvam // VAkK_8.31 //
   aṣṭau vimokṣāḥ prathamāvaśubhā dhyānayordvayoḥ /	azwO vimokzAH praTamO=-aSuBA DyAnayoH-dvayoH /
   tṛtīyo 'ntye sa cālobhaḥ śubhārūpyāḥ samāhitāḥ // VAkK_8.32 //	tRtIyaH antye sa ca-aloBaH SuBa-arUpyAH samAhitAH // VAkK_8.32 //
   nirodhastu samāpattiḥ sūkṣmasūkṣmādanantaram /	niroDaH-tu samApattiH sUkzma-sUkzmAt-anantaram /
   svaśuddhakādharāryeṇa vyutthānaṃ cetasā tataḥ // VAkK_8.33 //	sva-SudDaka-aDara-AryeNa vyutTAnam cetasA tatas // VAkK_8.33 //
   kāmāptadṛśyaviṣayāḥ prathamāḥ ye tvarūpiṇaḥ /	kAma-Apta-dRSya-vizayAH praTamAH ye tu-arUpiNaH /
   te 'nvayajñānapakṣordhvasvabhūduḥkhādigocarāḥ // VAkK_8.34 //	te anvaya-jQAna-pakza-UrDva-sva-BU-duHKa-Adi-gocarAH // VAkK_8.34 //
   abhibhvāyatanānyaṣṭau dvayamādyavimokṣavat /	aBiBva-AyatanAni-azwO dvayam-Adya-vimokza-vat /
   dve dvitīyavat anyāni punaḥ śubhavimokṣavat // VAkK_8.35 //	dve dvitIya-vat anyAni punar SuBa-vimokza-vat // VAkK_8.35 //
   daśa kṛtsnāni alobhāṣṭau dhyāne 'ntye gocaraḥ punaḥ /	daSa kRtsnAni aloBa-azwO DyAne antye gocaraH punar /
   kāmāḥ dve śuddhākārūpye svacatuḥskandhagocare // VAkK_8.36 //	kAmAH dve SudDa-akArUpye sva-catur-skanDa-gocare // VAkK_8.36 //
   nirodha uktaḥ vairāgyaprayogāptaṃ tu śeṣitam /	niroDaH uktaH vErAgya-prayoga-Aptam tu Sezitam /
   tridhātvāśrayamārūpyasaṃjñaṃ śeṣaṃ manuṣyajam // VAkK_8.37 //	triDAtu-ASrayam-ArUpya-saMjQam Sezam manuzya-jam // VAkK_8.37 //
   hetukarmabālāddhātvorārupyotpādanaṃ dvayoḥ /	hetu-karma-bAlAt-DAtvoH-Arupya-utpAdanam dvayoH /
   dhyānānāṃ rūpadhātau tu tābhyāṃ dharmatayāpi ca // VAkK_8.38 //	DyAnAnAm rUpa-DAtO tu tAByAm Darma-tayA-api ca // VAkK_8.38 //
   saddharmo dvividhaḥ śāsturāgamādhigamātmakaḥ /	sadDarmaH dviviDaH SAstuH-Agama-aDigama-AtmakaH /
   dhātārastasya vaktāraḥ pratipattāra eva ca // VAkK_8.39 //	DAtAraH-tasya vaktAraH pratipattAraH eva ca // VAkK_8.39 //
   kāśmīravaibhāṣikanītisiddhaḥ prāyo mayāyaṃ kathito 'bhidharmaḥ /	kASmIra-vEBAzika-nIti-sidDaH prAyas mayA-ayam kaTitaH aBiDarmaH /
   yaddurguhītaṃ tadihāsmadāgaḥ saddharmanītau munayaḥ pramāṇam // VAkK_8.40	yat-durguhItam tat-iha-asmad-AgaH sadDarma-nItO munayaH pramANam // VAkK_8.40
   nimīlite śāstari lokacakṣuṣi kṣayaṃ gate sākṣijane ca bhūyasā /	nimIlite SAstari loka-cakzuzi kzayam gate sAkzi-jane ca BUyasA /
   adṛṣṭatattvairniravagrahaiḥ kṛtaṃ kutārkikaiḥ śāsanametadākulam //	adRzwa-tattvEH-niravagrahEH kRtam ku-tArkikEH SAsanam-etat-Akulam //
   VAkK_8.41 //	VAkK_8.41 //
   gate 'tha śāntiṃ paramāṃ svayaṃbhuvi svayaṃbhuvaḥ śāsanadhūrdhareṣu ca /	gate aTa SAntim paramAm svayaMBuvi svayaMBuvaH SAsana-DUrDarezu ca /
   jagatyanāthe gaṇaghātibhirmataiḥ niraṅkuśaiḥ svairamihādya caryate //	jagati-anATe gaNa-GAtiBiH-matEH niraFkuSEH svEram-iha-adya caryate //
   VAkK_8.42 //	VAkK_8.42 //
   iti kaṇṭhagataprāṇaṃ viditvā śāsanaṃ muneḥ /	iti kaNWa-gata-prANam viditvA SAsanam muneH /
   balakālaṃ malānāṃ ca na pramādyaṃ mumukṣubhiḥ // VAkK_8.43 //	bala-kAlam malAnAm ca na pramAdyam mumukzuBiH // VAkK_8.43 //
   abhidharmakośe samāpattinirdeśo nāmāṣṭamakośasthānamiti //	aBiDarmakoSe samApattinirdeSaH nAma-azwama-koSa-sTAnam-iti //
