   akartṛbhāvādbhoktuśca MrgT_1,2.15c	akartR-BAvAt-BoktuH-ca MrgT_1,2.15c
   madhuraḥ ṣaḍvidhaḥ kṣitau MrgT_1,12.29b	maDuraH zaxviDaH kzitO MrgT_1,12.29b
   madhyasthānyavagatya ca MrgT_4.38d	maDyasTAni-avagatya ca MrgT_4.38d
   madhyasthārātimitrāṇi MrgT_4.43c	maDyasTa-ara-ati-mitrANi MrgT_4.43c
   madhye manovatī nāma MrgT_1,13.57c	maDye manovatI nAma MrgT_1,13.57c
   manaso na tathetaraḥ MrgT_4.29b	manasaH na taTA-itaraH MrgT_4.29b
   manastatpāriśeṣyataḥ MrgT_1,12.10d	manaH-tad-pAriSezyataH MrgT_1,12.10d
   manaḥ śabdādiviṣaye MrgT_1,12.7c	manaH Sabda-Adi-vizaye MrgT_1,12.7c
   manusāhasrikī parā MrgT_1,13.44d	manusAhasrikI parA MrgT_1,13.44d
   manodevārthasadbhāve MrgT_1,11.10c	manaH-deva-arTa-sadBAve MrgT_1,11.10c
   manovāktanuceṣṭayā MrgT_1,10.28d	manaH-vAc-tanu-cezwayA MrgT_1,10.28d
   mantramantreśvareśvaraiḥ MrgT_1,1.27b	mantra-mantreSvara-ISvarEH MrgT_1,1.27b
   mantrasādhanasaṃsiddheḥ MrgT_3.28c	mantra-sADana-saMsidDeH MrgT_3.28c
   mantrāścaivamadhaḥ sthitāḥ MrgT_1,4.5d	mantrAH-ca-evam-aDas sTitAH MrgT_1,4.5d
   mantrāstaṃ nādhitiṣṭhanti MrgT_3.80c	mantrAH-tam na-aDitizWanti MrgT_3.80c
   mantrāṃśca parame 'dhvani MrgT_1,1.24d	mantrAn=-ca parame aDvani MrgT_1,1.24d
   mantrāḥ sthūleṣu saṃsthitāḥ MrgT_1,13.197f	mantrAH sTUlezu saMsTitAH MrgT_1,13.197f
   mantriṇaḥ sādhyamantreṇa MrgT_3.6c	mantriNaH sADya-mantreNa MrgT_3.6c
   mantrī sānucaraścaret MrgT_3.127d	mantrI sa-anucaraH-caret MrgT_3.127d
   mantreśeśacidāviṣṭa- MrgT_1,13.158a	mantreSa-ISa-cit-Avizwa MrgT_1,13.158a
   mantreśvarāṇāmūrdhvādhva- MrgT_1,1.25c	mantreSvarANAm-UrDva-aDva MrgT_1,1.25c
   mantryādiṣu na vāryate MrgT_3.65d	mantrI-Adizu na vAryate MrgT_3.65d
   mande 'gnau jaṭhare 'nalam MrgT_4.41b	mande agnO jaWare analam MrgT_4.41b
   marīcyādimunivrajaḥ MrgT_1,13.115d	marIci-Adi-muni-vrajaH MrgT_1,13.115d
   malasya sādhikārasya MrgT_1,7.22c	malasya sADikArasya MrgT_1,7.22c
   malasyāṇoranugraham MrgT_1,7.15b	malasya-aNoH-anugraham MrgT_1,7.15b
   malīmasamapi spṛhan MrgT_1,10.12b	malImasam-api spRhan MrgT_1,10.12b
   mahattamaśca kriyate MrgT_1,13.171a	mahattamaH-ca kriyate MrgT_1,13.171a
   mahardvikoṭiryatrāste MrgT_1,13.115c	mahA-Rdvi-kowiH-yatra-Aste MrgT_1,13.115c
   mahājanākulaṃ dūra- MrgT_3.95c	mahA-jana-Akulam dUra MrgT_3.95c
   mahātantraṃ jagatpatiḥ MrgT_1,2.2b	mahAtantram jagatpatiH MrgT_1,2.2b
   mahātantrārthapādapaḥ MrgT_3.49d	mahA-tantra-arTa-pAdapaH MrgT_3.49d
   mahātalaṃ rasāṅkaṃ ca MrgT_1,13.28a	mahAtalam rasAFkam ca MrgT_1,13.28a
   mahānyaśca mahattaraḥ MrgT_1,13.170d	mahAn-yaH-ca mahattaraH MrgT_1,13.170d
   mahāpadānugo 'vīcī MrgT_1,13.20a	mahA-padAnugaH avIcI MrgT_1,13.20a
   mahāpātakasaṃyoge MrgT_3.119c	mahApAtaka-saMyoge MrgT_3.119c
   mahāpuracatuḥṣaṣṭi- MrgT_1,13.152c	mahApura-catuHzazwi MrgT_1,13.152c
   mahābalamahābāhu- MrgT_1,13.130a	mahA-bala-mahA-bAhu MrgT_1,13.130a
   mahāyogīśvaraṃ siddhyai MrgT_1,13.59c	mahA-yogi-ISvaram sidDyE MrgT_1,13.59c
   mahāyogī sanandanaḥ MrgT_1,13.116d	mahA-yogI sa-nandanaH MrgT_1,13.116d
   mahāvīryāḥ padadruhaḥ MrgT_1,13.158d	mahA-vIryAH pada-druhaH MrgT_1,13.158d
   mahāśabdapadānugāḥ MrgT_1,13.17b	mahA-Sabda-padAnugAH MrgT_1,13.17b
   mahāsvāpe samastasya MrgT_1,13.181a	mahA-svApe samastasya MrgT_1,13.181a
   mahendrabhīmavimala- MrgT_1,13.138c	mahA-indra-BIma-vimala MrgT_1,13.138c
   maheśaśaktinunnānāṃ MrgT_3.23a	maheSa-Sakti-nunnAnAm MrgT_3.23a
   mahodayā candramasaḥ MrgT_1,13.53a	mahA-udayA candramasaH MrgT_1,13.53a
   mākoṭamaṇḍaleśāna- MrgT_1,13.141c	mAkowa-maNxala-ISAna MrgT_1,13.141c
   mātṛlokeśakīlitam MrgT_3.94d	mAtR-loka-ISa-kIlitam MrgT_3.94d
   mātrābhūtānyanukramāt MrgT_1,10.1d	mAtrA-BUtAni-anukramAt MrgT_1,10.1d
   mātrārakṣaṇamekasya MrgT_3.18c	mAtrA-rakzaNam-ekasya MrgT_3.18c
   mātrebhyo bhūtapañcakam MrgT_1,12.2d	mAtreByaH BUtapaQcakam MrgT_1,12.2d
   mādhūkarīṃ caredbhikṣāṃ MrgT_3.79a	mADUkarIm caret-BikzAm MrgT_3.79a
   mānasyābhyeti kasyacit MrgT_1,3.6d	mAnasya-aByeti kasyacid MrgT_1,3.6d
   mānenābdaparārdhake MrgT_1,13.182d	mAnena-abda-para-arDake MrgT_1,13.182d
   māyākāryaṃ caturvidham MrgT_1,2.7b	mAyA-kAryam caturviDam MrgT_1,2.7b
   māyādhikāriṇo rudrā MrgT_1,13.154a	mAyA-aDikAriNaH rudrAH MrgT_1,13.154a
   māyāyāmapi paṭhyante MrgT_1,13.3a	mAyAyAm-api paWyante MrgT_1,13.3a
   māyāyāśca paraḥ śivaḥ MrgT_1,13.192d	mAyAyAH-ca paraH SivaH MrgT_1,13.192d
   māyāyāṃ vartate cānte MrgT_1,8.5c	mAyAyAm vartate ca-ante MrgT_1,8.5c
   māyāyāḥ sādhikārāyāḥ MrgT_1,7.23c	mAyAyAH sADikArAyAH MrgT_1,7.23c
   māyāśaktīrvyaktiyogyāḥ prakurvan MrgT_1,4.15c	mAyA-SaktIH-vyakti-yogyAH prakurvan MrgT_1,4.15c
   māyāṃ vikṣobhya kurute MrgT_1,10.4c	mAyAm vikzoBya kurute MrgT_1,10.4c
   mārgakṣīṇe ripugraste MrgT_3.17a	mArga-kzINe ripu-graste MrgT_3.17a
   mālyavadgandhamādanau MrgT_1,13.66b	mAlyavat-ganDamAdanO MrgT_1,13.66b
   māsavṛddhyayanādiṣu MrgT_3.16b	mAsa-vRdDi-ayana-Adizu MrgT_3.16b
   māhendraṃ ca maharddhimat MrgT_1,13.143b	mAhendram ca mahA-RdDimat MrgT_1,13.143b
   māṃsayoṣinmadhutyāgo MrgT_3.18a	mAMsa-yozit-maDu-tyAgaH MrgT_3.18a
   mitārthādamitārthasya MrgT_1,12.19a	mita-arTAt-amita-arTasya MrgT_1,12.19a
   mithyājñānaṃ nivartate MrgT_1,2.22b	miTyAjQAnam nivartate MrgT_1,2.22b
   mithyārūpatayā sa ca MrgT_1,11.7b	miTyA-rUpa-tayA sa ca MrgT_1,11.7b
   miṣṭānnapracurāṃ bhīkṣāṃ MrgT_3.82a	mizwa-anna-pracurAm BIkzAm MrgT_3.82a
   muktatve baddhamuktayoḥ MrgT_1,7.3d	mukta-tve badDa-muktayoH MrgT_1,7.3d
   muktaśabdo nivartate MrgT_1,7.2d	mukta-SabdaH nivartate MrgT_1,7.2d
   muktasya śiva eva saḥ MrgT_1,3.6b	muktasya SivaH eva saH MrgT_1,3.6b
   muktaḥ sṛṣṭau punarabhyeti nādhaḥ MrgT_1,2.29b	muktaH sRzwO punar-aByeti na-aDas MrgT_1,2.29b
   muktirbhavati kasyacit MrgT_1,7.16b	muktiH-Bavati kasyacid MrgT_1,7.16b
   muktisādhanasaṃdoho MrgT_1,7.4c	mukti-sADana-saMdohaH MrgT_1,7.4c
   muktau dveṣo bhavasthitau MrgT_1,5.4d	muktO dvezaH Bava-sTitO MrgT_1,5.4d
   muktyarthamitare trayaḥ MrgT_3.128b	mukti-arTam-itare trayaH MrgT_3.128b
   mukhabimbakamudgītaṃ MrgT_3.46c	muKa-bimbakam-udgItam MrgT_3.46c
   munayaśca mahaujasaḥ MrgT_1,13.59b	munayaH-ca mahA-ojasaH MrgT_1,13.59b
   municāraṇasevitau MrgT_1,13.85d	muni-cAraNa-sevitO MrgT_1,13.85d
   munibhiśca tadicchayā MrgT_3.38d	muniBiH-ca tad-icCayA MrgT_3.38d
   munisiddhaniṣevite MrgT_3.96d	muni-sidDa-nizevite MrgT_3.96d
   mūtraraktakaphasveda- MrgT_1,12.30c	mUtra-rakta-kaPa-sveda MrgT_1,12.30c
   mūtrādyutsṛjya vidhivad MrgT_4.15a	mUtra-Adi-utsRjya viDivat MrgT_4.15a
   mūrtatvadasmadādivat MrgT_1,1.8d	mUrta-tvad-asmad-Adi-vat MrgT_1,1.8d
   mūrtaṃ pralayadharmi ca MrgT_1,13.4d	mUrtam pralaya-Darmi ca MrgT_1,13.4d
   mūrdhā nāvayavastanoḥ MrgT_1,3.10b	mUrDA na-avayavaH-tanoH MrgT_1,3.10b
   mūrdhni devādidevasya MrgT_1,13.62a	mUrDni deva-Adidevasya MrgT_1,13.62a
   mūlaṃ sarvasya tattataḥ MrgT_4.12d	mUlam sarvasya tat-tatas MrgT_4.12d
   mūlādyasambhavācchāktaṃ MrgT_1,3.8a	mUla-Adi-asamBavAt-SAktam MrgT_1,3.8a
   mūle caitrarathaṃ vanam MrgT_1,13.77b	mUle cEtraraTam vanam MrgT_1,13.77b
   mūle ṣoḍaśa vistṛtaḥ MrgT_1,13.43b	mUle zoxaSa vistRtaH MrgT_1,13.43b
   mṛgaśākhāmṛgādayaḥ MrgT_1,13.75b	mRga-SAKAmRga-AdayaH MrgT_1,13.75b
   mṛgyate tattrayaṃ punaḥ MrgT_1,5.7b	mRgyate tat-trayam punar MrgT_1,5.7b
   mṛtaḥ pretatvamaśnute MrgT_3.53b	mRtaH preta-tvam-aSnute MrgT_3.53b
   mṛtyumūrcchāmalāñjanaiḥ MrgT_1,7.7b	mRtyu-mUrcCA-mala-aQjanEH MrgT_1,7.7b
   mṛtyoḥ saṃyamanī tuṅga- MrgT_1,13.49a	mRtyoH saMyamanI tuFga MrgT_1,13.49a
   mṛdardhaṃ cārdhamāyasam MrgT_1,13.22d	mRd-arDam ca-arDam-Ayasam MrgT_1,13.22d
   mṛdbhirliṅgagudāsavya- MrgT_4.15c	mRdBiH-liFga-gudAsavya MrgT_4.15c
   merutastāvadantarau MrgT_1,13.66d	merutaH-tAvat-antarO MrgT_1,13.66d
   meruṃ paryetya nimnagā MrgT_1,13.74b	merum paryetya nimnagA MrgT_1,13.74b
   meruḥ suraniṣevitaḥ MrgT_1,13.42b	meruH sura-nizevitaH MrgT_1,13.42b
   merordakṣiṇato nīlaḥ MrgT_1,13.64c	meroH-dakziNatas nIlaH MrgT_1,13.64c
   meroḥ sthairyāya vedhasā MrgT_1,13.71b	meroH sTEryAya veDasA MrgT_1,13.71b
   mervālokopalabdhārtho MrgT_1,13.81c	mervAloka-upalabDa-arTaH MrgT_1,13.81c
   mokṣe yatnastato mṛṣā MrgT_1,7.9d	mokze yatnaH-tatas mRzA MrgT_1,7.9d
   mokṣo nirhetuko 'pi vā MrgT_1,2.4d	mokzaH nirhetukaH api vA MrgT_1,2.4d
   mocakastatkriyākṛcca MrgT_1,13.173a	mocakaH-tad-kriyA-kRt-ca MrgT_1,13.173a
   mocikā tatpadaṃ ca yat MrgT_1,13.172d	mocikA tat-padam ca yat MrgT_1,13.172d
   moho vāpyupajāyate MrgT_1,11.18d	mohaH vA-api-upajAyate MrgT_1,11.18d
   yacca tatpoṣakaṃ param MrgT_4.9d	yat-ca tat-pozakam param MrgT_4.9d
   yajetparvasu śaṃkaram MrgT_3.91d	yajet-parvasu SaMkaram MrgT_3.91d
   yajedantarghanacchadam MrgT_3.103b	yajet-antar-Gana=-Cadam MrgT_3.103b
   yajñavāṭe 'sya tā gāvo MrgT_1,13.104c	yajQa-vAwe asya tAH gAvaH MrgT_1,13.104c
   yatā yativibhūṣaṇaiḥ MrgT_1,13.33d	yatA yati-viBUzaNEH MrgT_1,13.33d
   yaterannatmavattāyai MrgT_4.1c	yateH-annatma-vat-tAyE MrgT_4.1c
   yato nāgāmyahetumat MrgT_1,8.1d	yatas na-AgAmi-ahetumat MrgT_1,8.1d
   yatkaivalyaṃ puṃsprakṛtyor vivekād MrgT_1,2.28a	yat-kEvalyam puMsprakRtyoH vivekAt MrgT_1,2.28a
   yattajjīvanamucyate MrgT_1,11.22b	yat-tat-jIvanam-ucyate MrgT_1,11.22b
   yattajjyotiṣkamityāhuḥ MrgT_1,13.60c	yat-tat-jyotizkam-iti-AhuH MrgT_1,13.60c
   yattadūhaṃ matiḥ puṃsāṃ MrgT_1,11.22c	yat-tat-Uham matiH puMsAm MrgT_1,11.22c
   yattadgauṇasya kāraṇam MrgT_1,10.19d	yat-tat-gONasya kAraNam MrgT_1,10.19d
   yattaddharmānuvartanam MrgT_1,7.20b	yat-tat-Darma-anuvartanam MrgT_1,7.20b
   yatnenopacaredgurum MrgT_3.73d	yatnena-upacaret-gurum MrgT_3.73d
   yatprāpya na punarduḥkha- MrgT_4.63a	yat-prApya na punar-duHKa MrgT_4.63a
   yatra nāryastato 'pi vā MrgT_3.82d	yatra nAryaH-tatas api vA MrgT_3.82d
   yatra bīja ivārūḍho MrgT_3.49c	yatra bIjaH iva-ArUXaH MrgT_3.49c
   yatra vedāśca sānugāḥ MrgT_1,13.118d	yatra vedAH-ca sa-anugAH MrgT_1,13.118d
   yatrāntakālatīkṣṇāṃśu- MrgT_1,13.10a	yatra-anta-kAla-tIkzNa-aMSu MrgT_1,13.10a
   yatrāśeṣajanakṣayaḥ MrgT_1,9.12d	yatra-aSeza-jana-kzayaH MrgT_1,9.12d
   yatraitadubhayaṃ tatra MrgT_1,2.13c	yatra-etat-uBayam tatra MrgT_1,2.13c
   yatroparamate cittaṃ MrgT_4.60a	yatra-uparamate cittam MrgT_4.60a
   yatsadbhāvādbhavajalanidhau jantujātasya pātaḥ MrgT_3.0b	yat-sadBAvAt-Bava-jalaniDO jantu-jAtasya pAtaH MrgT_3.0b
   yatsākṣādyatpadāntarāt MrgT_1,10.2b	yat-sAkzAt-yat-pada-antarAt MrgT_1,10.2b
   yathā kaṭādigūḍhasya MrgT_1,9.21c	yaTA kawa-Adi-gUXasya MrgT_1,9.21c
   yathā kimpuruṣādyeṣu MrgT_1,13.106c	yaTA kimpuruza-Adyezu MrgT_1,13.106c
   yathā kṣārādinā vaidyas MrgT_1,7.18a	yaTA kzAra-AdinA vEdyaH MrgT_1,7.18a
   yathā yunakti yaddhetos MrgT_1,10.2c	yaTA yunakti yat-hetoH MrgT_1,10.2c
   yathā sagarbhaḥ sthairyāya MrgT_4.29a	yaTA sagarBaH sTEryAya MrgT_4.29a
   yadanekamacittattu MrgT_1,9.6a	yat-anekam-acit-tat-tu MrgT_1,9.6a
   yadanyatsādhanaṃ kiṃcid MrgT_4.13c	yat-anyat-sADanam kiMcid MrgT_4.13c
   yadanyadatiricyate MrgT_1,10.15d	yat-anyat-atiricyate MrgT_1,10.15d
   yadā yadupapadyate MrgT_1,4.1d	yadA yat-upapadyate MrgT_1,4.1d
   yadā yeṣāṃ sa yujyate MrgT_1,4.6d	yadA yezAm sa yujyate MrgT_1,4.6d
   yadā vetti padaṃ heyam MrgT_4.9a	yadA vetti padam heyam MrgT_4.9a
   yadi tannikhilātyaye MrgT_1,9.10b	yadi tad-niKila-atyaye MrgT_1,9.10b
   yaduttare śṛṅgavataḥ MrgT_1,13.70c	yat-uttare SRFgavataH MrgT_1,13.70c
   yadūcurupasaṃhṛtya MrgT_3.40a	yat-UcuH-upasaMhRtya MrgT_3.40a
   yadonmīlanamādhatte MrgT_1,7.12c	yadA-unmIlanam-ADatte MrgT_1,7.12c
   yadyathā yādṛśaṃ yāvat MrgT_1,3.2c	yat-yaTA yAdRSam yAvat MrgT_1,3.2c
   yadyadvastu yathoddiṣṭa- MrgT_4.51c	yat-yat-vastu yaTA-uddizwa MrgT_4.51c
   yadyanityamidaṃ kāryaṃ MrgT_1,9.5a	yadi-anityam-idam kAryam MrgT_1,9.5a
   yanna vyāptaṃ guṇairyasminn MrgT_1,10.22c	yat-na vyAptam guNEH-yasmin MrgT_1,10.22c
   yamākṣo vikaṭānanaḥ MrgT_1,13.31d	yamAkzaH vikawa-AnanaH MrgT_1,13.31d
   yamādyairbhūtavedhasam MrgT_1,13.59d	yama-AdyEH-BUta-veDasam MrgT_1,13.59d
   yayā jñānaṃ dadātyaṇoḥ MrgT_1,13.168d	yayA jQAnam dadAti-aNoH MrgT_1,13.168d
   yayā prācyāvalakṣaṇā MrgT_1,13.167d	yayA prAcya-avalakzaNAH MrgT_1,13.167d
   yayā sāsya nivartikā MrgT_1,13.166d	yayA sA-asya nivartikAH MrgT_1,13.166d
   yayāsya kurute haraḥ MrgT_1,13.169d	yayA-asya kurute haraH MrgT_1,13.169d
   yayeśānaṃ karoti tam MrgT_1,13.173b	yayA-ISAnam karoti tam MrgT_1,13.173b
   yavanyādīni netarat MrgT_4.36b	yavani-AdIni na-itarat MrgT_4.36b
   yavīyān madhyamo jyeṣṭhaḥ MrgT_4.27c	yavIyAn maDyamaH jyezWaH MrgT_4.27c
   yavīyāṃsaṃ guṇādhikam MrgT_3.124b	yavIyAMsam guNa-aDikam MrgT_3.124b
   yaśca nābhyarcayecchivam MrgT_4.64f	yaH-ca na-aByarcayet-Sivam MrgT_4.64f
   yasmānnācetanaṃ tattvaṃ MrgT_4.32c	yasmAt-na-acetanam tattvam MrgT_4.32c
   yasminnudvṛttatejasi MrgT_1,13.11b	yasmin=-udvRtta-tejasi MrgT_1,13.11b
   yasminsati ca sattvādvā MrgT_1,6.5c	yasmin-sati ca sattvAt-vA MrgT_1,6.5c
   yasya vaśyaḥ payonidhiḥ MrgT_1,1.15d	yasya vaSyaH payoniDiH MrgT_1,1.15d
   yasyāsau vāmaguhyakaḥ MrgT_1,3.12f	yasya-asO vAma-guhyakaH MrgT_1,3.12f
   yasyecchātastena sadyo 'bhidhānaḥ MrgT_1,3.13b	yasya-icCAtaH-tena sadyas aBiDAnaH MrgT_1,3.13b
   yaṃ stuvanti priyaprāptyai MrgT_1,13.33c	yam stuvanti priya-prAptyE MrgT_1,13.33c
   yaḥ patyā nānuvartate MrgT_1,7.20d	yaH patyA na-anuvartate MrgT_1,7.20d
   yaḥ prāgavyāpakaḥ so 'nte MrgT_1,2.21a	yaH prAc-avyApakaH saH ante MrgT_1,2.21a
   yaḥ prāptastapasā devair MrgT_3.129a	yaH prAptaH-tapasA devEH MrgT_3.129a
   yāgadhāma vidhāyādā- MrgT_3.98c	yAga-DAma viDAya-adA MrgT_3.98c
   yā cakārāruṇānuccair MrgT_1,13.58a	yA cakAra-aruNAn-uccEs MrgT_1,13.58a
   yājyo 'bhūdvahnikalpānām MrgT_1,13.103a	yAjyaH aBUt-vahni-kalpAnAm MrgT_1,13.103a
   yāni vyañjakamīkṣante MrgT_1,5.15a	yAni vyaQjakam-Ikzante MrgT_1,5.15a
   yānvimocayati svāpe MrgT_1,5.2a	yAn-vimocayati svApe MrgT_1,5.2a
   yāmyato gandhamādanaḥ MrgT_1,13.72b	yAmyataH ganDamAdanaH MrgT_1,13.72b
   yāmyato niṣadhādudak MrgT_1,13.67d	yAmyataH nizaDAt-udak MrgT_1,13.67d
   yāmyato hemakūṭataḥ MrgT_1,13.69b	yAmyataH hemakUwataH MrgT_1,13.69b
   yāmyadharmeśasaṃyoktṛ- MrgT_1,13.128a	yAmya-Darma-ISa-saMyoktR MrgT_1,13.128a
   yāmyādrimūle gandharva- MrgT_1,13.78a	yAmya-adri-mUle ganDarva MrgT_1,13.78a
   yāmyottarau prākpratīcyor MrgT_1,13.66c	yAmya-uttarO prAk-pratIcyoH MrgT_1,13.66c
   yā vā kāścinmuktayaḥ pāśajanyās MrgT_1,2.28c	yAH vA kAScid-muktayaH pASa-janyAH MrgT_1,2.28c
   yuktito 'pyavasīyate MrgT_1,12.9d	yuktitaH api-avasIyate MrgT_1,12.9d
   yuktyagamye 'pi sadvākyāt MrgT_1,12.18c	yukti-agamye api sat-vAkyAt MrgT_1,12.18c
   yugapanna kṣamaṃ śaktiḥ MrgT_1,7.13c	yugapad-na kzamam SaktiH MrgT_1,7.13c
   yugapanmuktyadarśanāt MrgT_1,7.10d	yugapad-mukti-adarSanAt MrgT_1,7.10d
   yugānurūpaprajñāyus MrgT_1,13.91c	yuga-anurUpa-prajQAyuH MrgT_1,13.91c
   yugmaprasūtiḥ kuruṣu MrgT_1,13.84c	yugma-prasUtiH kuruzu MrgT_1,13.84c
   yugmādriśālmalīloha- MrgT_1,13.18a	yugma-adri-SAlmalI-loha MrgT_1,13.18a
   yujyate tunnatodanam MrgT_1,7.14d	yujyate tunna-todanam MrgT_1,7.14d
   yunakti svārthasiddhyarthaṃ MrgT_1,4.12c	yunakti sva-arTa-sidDi-arTam MrgT_1,4.12c
   yena ketakapuṣpāder MrgT_1,12.27a	yena ketaka-puzpa-AdeH MrgT_1,12.27a
   yenatadyoginīkaulaṃ MrgT_3.41a	yena-tad-yoginI-kOlam MrgT_3.41a
   yenāṇūnāmuṣitamamalaṃ dṛkkriyākhyasvarūpaṃ MrgT_3.0a	yena-aNUnAm-uzitam-amalam dRkkriyA-AKya-svarUpam MrgT_3.0a
   yenopalabhyate yo 'rthaḥ MrgT_1,12.15c	yena-upalaByate yaH arTaH MrgT_1,12.15c
   ye 'pi tatpadamāpannāḥ MrgT_1,13.174a	ye api tad-padam-ApannAH MrgT_1,13.174a
   yebhyaḥ sarvamidaṃ yeṣāṃ MrgT_1,4.10c	yeByaH sarvam-idam yezAm MrgT_1,4.10c
   yeṣāmapāye patayo MrgT_1,7.1c	yezAm-apAye patayaH MrgT_1,7.1c
   yeṣāṃ ciddharmakāddhetor MrgT_1,9.8a	yezAm cit-DarmakAt-hetoH MrgT_1,9.8a
   yeṣāṃ śarīriṇāṃ śaktiḥ MrgT_1,5.4a	yezAm SarIriNAm SaktiH MrgT_1,5.4a
   yeṣāṃ sāvadhikaṃ vratam MrgT_3.8b	yezAm sO=-aDikam vratam MrgT_3.8b
   yogapīṭhavyavasthitāḥ MrgT_3.80d	yoga-pIWa-vyavasTitAH MrgT_3.80d
   yogapīṭheṣṭaśaṃkaraḥ MrgT_3.62b	yoga-pIWezwa-SaMkaraH MrgT_3.62b
   yogametyaśivāvaham MrgT_4.63b	yogama-iti-aSiva-Avaham MrgT_4.63b
   yogasiddheśca kathyatām MrgT_4.13d	yoga-sidDeH-ca kaTyatAm MrgT_4.13d
   yoginīsiddhakaulaṃ ca MrgT_3.37a	yoginI-sidDa-kOlam ca MrgT_3.37a
   yoginyo lebhire jñānaṃ MrgT_3.40c	yoginyaH leBire jQAnam MrgT_3.40c
   yogī vyastasamastāni MrgT_4.39a	yogI vyasta-samastAni MrgT_4.39a
   yogī saṃsādhayenmatam MrgT_4.24b	yogI saMsADayet-matam MrgT_4.24b
   yogodbhavamacintyakam MrgT_3.43d	yoga-udBavam-acintyakam MrgT_3.43d
   yogyatātrayamapyetat MrgT_1,5.9a	yogyatA-trayam-api-etat MrgT_1,5.9a
   yogyānāṃ kurute 'ṣṭakam MrgT_1,4.2b	yogyAnAm kurute azwakam MrgT_1,4.2b
   yojanānāṃ tadardhena MrgT_1,13.12c	yojanAnAm tad-arDena MrgT_1,13.12c
   yojanānāṃ svayaṃbhuvaḥ MrgT_1,13.57b	yojanAnAm svayaMBuvaH MrgT_1,13.57b
   yojanāyutaviṣkambhas MrgT_1,13.111a	yojana-ayuta-vizkamBaH MrgT_1,13.111a
   yojayediṣṭasiddhaye MrgT_4.44b	yojayet-izwa-sidDaye MrgT_4.44b
   yonikrāntirnirayāvāptibandhau MrgT_1,10.29d	yoni-krAntiH-niraya-avApti-banDO MrgT_1,10.29d
   yonirviśvasya vāgīśāḥ MrgT_1,13.162a	yoniH-viSvasya vAgISAH MrgT_1,13.162a
   yo 'pyadhastātpuṭastasyā MrgT_1,13.22c	yaH api-aDastAt-puwaH-tasyAH MrgT_1,13.22c
   yo miśro miśra eva saḥ MrgT_3.41d	yaH miSraH miSraH eva saH MrgT_3.41d
   yo yajjānāti kurute MrgT_1,5.13c	yaH yat-jAnAti kurute MrgT_1,5.13c
   yo 'rthaḥ samupapadyate MrgT_1,1.26d	yaH arTaH samupapadyate MrgT_1,1.26d
   yo vā sarvaṃ brahma matvā virāmaḥ MrgT_1,2.28b	yaH vA sarvam brahma matvA virAmaH MrgT_1,2.28b
   yau neṣṭāvātmavādibhiḥ MrgT_1,2.14d	yO na-izwO=-Atma-vAdiBiH MrgT_1,2.14d
   raktapītamaṇiprāya- MrgT_1,13.48a	rakta-pIta-maNi-prAya MrgT_1,13.48a
   rakṣodānavamānavāḥ MrgT_4.11b	rakzaH-dAnava-mAnavAH MrgT_4.11b
   rajatadyutirikṣvādas MrgT_1,13.89c	rajata-dyutiH-ikzvAdaH MrgT_1,13.89c
   rajo vilokyate tiryag- MrgT_1,13.6a	rajaH vilokyate tiryag MrgT_1,13.6a
   rajoṃśaprabhavapi ca MrgT_1,11.4d	rajoMSa-praBavapi ca MrgT_1,11.4d
   ratnacitreṣu saṃsthitāḥ MrgT_1,13.61b	ratna-citrezu saMsTitAH MrgT_1,13.61b
   ratnajaṃ na paraṃ tataḥ MrgT_3.App.2b	ratna-jam na param tatas MrgT_3.App.2b
   ratnajā rudrasevitā MrgT_1,13.54d	ratna-jAH rudra-sevitAH MrgT_1,13.54d
   ramyakākhyamudaṅnīlād MrgT_1,13.70a	ramyaka-AKyam-udak-nIlAt MrgT_1,13.70a
   ramyake dvādaśasthitiḥ MrgT_1,13.88d	ramyake dvAdaSa-sTitiH MrgT_1,13.88d
   rasamadhvāmṛtodakaiḥ MrgT_1,13.97d	rasa-maDva-amRta-udakEH MrgT_1,13.97d
   raso gandhaśca pañcamaḥ MrgT_1,12.5b	rasaH ganDaH-ca paQcamaH MrgT_1,12.5b
   rahasyaśca svabhāvataḥ MrgT_1,3.12d	rahasyaH-ca svaBAvataH MrgT_1,3.12d
   rākṣasaṃ yākṣagāndharvaṃ MrgT_1,13.143a	rAkzasam yAkza-gAnDarvam MrgT_1,13.143a
   rākṣaso dakṣaṇāparām MrgT_1,13.121d	rAkzasaH dakzaNa-aparAm MrgT_1,13.121d
   rāgadveṣau mamatvaṃ ca MrgT_1,2.22c	rAga-dvezO mamatvam ca MrgT_1,2.22c
   rāgamutsṛjya tāmasāḥ MrgT_1,10.24d	rAgam-utsRjya tAmasAH MrgT_1,10.24d
   rāgayugme sapūruṣe MrgT_1,13.195d	rAga-yugme sa-pUruze MrgT_1,13.195d
   rāgastatpūrvakālataḥ MrgT_1,11.19b	rAgaH-tad-pUrva-kAlataH MrgT_1,11.19b
   rāgo 'pi satyavairāgye MrgT_1,11.9c	rAgaH api satya-vErAgye MrgT_1,11.9c
   rāgo 'rtheṣvabhilāṣo yo MrgT_1,11.16a	rAgaH arTezu-aBilAzaH yaH MrgT_1,11.16a
