   (Hbṭ 1)	(Hbj 1)
   tena yaducyate  ‘yadi sahakāriṇāṃ bhede 'pyabhinnaṃ kāryaṃ bhavati	tena yat ucyate ‘yadi sahakAriNAm Bede api aBinnam kAryam Bavati
   sāmagrībhede 'pyabhinnamastu, atha sāmagrībhedād bhinnaṃ bhavati	sAmagrI Bede api aBinnam astu, aTa sAmagrI BedAt Binnam Bavati
   sahakāribhedādapi kimiti bhinnaṃ na bhavati viśeṣābhāvāt?'; iti tadapāstaṃ	sahakAri BedAt api kim iti Binnam na Bavati viSeza aBAvAt? a; iti tad apAstam
   bhavati | tathā hi  parasparopasarpaṇādyāśrayāt	Bavati | taTA hi paraspara upasarpaNa Adi ASrayAt 
   pratyayaviśeṣādekakāryoddeśenetaretarasantānopakārācca sahakāriṇāṃ	pratyaya viSezAt eka kArya uddeSena itara itara santAna upakArAt ca sahakAriNAm
   pratiniyataśaktināmudayādekaṃ kāryaṃ samājāyate | sāmagryantarasya (Hbṭ	pratiniyata SaktinAm udayAt ekam kAryam samAjAyate | sAmagrI antarasya (H bw
   112) tu kāryāntaraprabhavaśaktinibandhanebhyo hetvantarebhyaḥ	112) tu kArya antara praBava Sakti nibanDaneByaH hetu antareByaH
   svabhāvabhedavato bhāvād bhinnakāryaprasūtiriti kuto viśeṣābhāvaḥ? |	svaBAva BedavataH BAvAt Binna kArya prasUtiH iti kutas viSeza aBAvaH? |
   [33. janakatvamevādhāratvaṃ na tu sthāpakatvam |]	[33. janaka tvam eva ADAra tvam na tu sTApaka tvam |]
   nanu ca sarvaṃ kāryaṃ sādhāraṃ yathā upādāyarūpam | taddhi bhūtebhyo	nanu ca sarvam kAryam sa ADAram yaTA upAdAya rUpam | tat hi BUteByaH 
   jāyamānaṃ tānyevāśrayata iti bhavadbhiriṣyate | tathānyadapi vijñānādikaṃ	jAyamAnam tAni eva ASrayate iti BavadBiH izyate | taTA anyat api vijQAna Adikam
   kāryam | ato 'nenāpi kiñcit kāraṇamāśrayaṇīyam | tasya ca kāraṇasya pūrvaṃ	kAryam | atas anena api kiQcid kAraNam ASrayaNIyam | tasya ca kAraNasya pUrvam
   janakatvaṃ paścāt kāryaṃ pratyādhārabhāva eva, na jananam,	janaka tvam paScAt kAryam pratyADAra BAvaH eva, na jananam,
   tatastatsvabhāvasya jananādityanekāntaḥ tadavastha evetyata āha  "ta	tatas tad svaBAvasya jananAt iti anekAntaH tad avasTaH eva iti atas Aha "ta
   evaite" ye 'nantaramuktāḥ "kāraṇaśaktibhedāḥ" kāraṇānāṃ śaktiviśeṣāḥ |	eva ete" ye anantara muktAH "kAraNa Sakti BedAH" kAraNAnAm Sakti viSezAH |
   kīdṛśāḥ? "yathāsvaṃ" yeṣāṃ kāraṇaśaktibhedānāṃ sahakārilakṣaṇānāṃ	kIdRSAH? "yaTA svaM" yezAm kAraNa Sakti BedAnAm sahakAri lakzaNAnAm
   yadātmīyaṃ sāmagryantarajanyāt prativiśiṣṭaṃ kāryaṃ tasya janane	yat A AtmIyam sAmagryantara janyAt prativiSizwam kAryam tasya janane
   'vyavadheyā vyavadhātuṃ pratibandhumaśakyā śaktiryeṣāṃ tadbhāvastayā "	avyavaDeyAH vyavaDAtum pratibanDum aSakyA SaktiH yezAm tad BAvaH tayA "
   avyavadheyaśaktitayā" avaśyaṃ kāryakāriśaktitayā "pratyupasthitāḥ"	avyavaDeya Sakti tayA" avaSyam kArya kAri Sakti tayA "pratyupasTitAH"
   udyuktāḥ santaḥ "sāmagrīkāryasya" ekapratyayajanitasya kasyacidabhāvāt	udyuktAH santaH "sAmagrI kAryasya" eka pratyaya janitasya kasyacid aBAvAt
   sarvaṃ sāmagryā eva kāryamiti kṛtvā sāmagrīkāryasya svabhāvasthityāśraya	sarvam sAmagryAH eva kAryam iti kRtvA sAmagrI kAryasya svaBAva sTiti ASraya
   ityucyante | kasmāt punaravyavadheyaśaktitā? "kṣaṇikatvāt" | nahi	iti ucyante | kasmAt punar avyavaDeya Sakti tA? "kzaNika tva at" | na hi
   kṣaṇikasya śaktiḥ pratibanddhuṃ śakyate, svabhāvāntarotpādane	kzaNikasya SaktiH pratibandDum Sakyate, svaBAva antara utpAdane
   yāvatpratibandhako vyāpriyate tāvat kṣaṇikasya svakāryaṃ kṛtvaiva nirodhāt	yAvat pratibanDakaH vyApriyate tAvat kzaNikasya sva kAryam kRtvA eva niroDAt 
   kathaṃ punarasamānakālaṃ kāraṇamādhāro yujyate?, ityata āha  "tathā hi"	kaTam punar asamAna kAlam kAraNam ADAraH yujyate?, iti atas Aha "taTA hi"
   ityādi | yasmāt "tat" vijñānalakṣaṇa kāryaṃ "tebhyaḥ" cakṣurādibhya	ityAdi | yasmAt "tat" vijQAna lakzaNa kAryam "teByaH" cakzuH AdiBya
   "samastabhyo" bodharūpatayā tadanyasmāt tadajanyāt	"samastaByo" boDa rUpa tayA tad anyasmAt tad ajanyAt
   "prativiśiṣṭasvabhāvamekaṃ" khaṇḍaśaḥ kāryasyānutpādādekaikasmāt	"prativiSizwa svaBAvam ekan" KaNxaSas kAryasya anutpAdAt ekEkasmAt 
   sakalasyaiva bhāvādekaṃ jātam, tasmāt te ādhārā ucyante | nahi janakādanya	sakalasya eva BAvAt ekam jAtam, tasmAt te ADArAH ucyante | na hi janakAt anya
   evopakārakaḥ | na cānupakāraka ādhāraḥ, (Hbṭ 113) atiprasaṅgāt | tato	eva upakArakaH | na ca anupakArakaH ADAraH, (Hbj 113) atiprasaFgAt | tatas 
   bhinnakālasyādhārabhāvo na virudhyate | yadapi bhūtānāmupādāyarūpaṃ	Binna kAlasya ADAra BAvaH na viruDyate | yat api BUtAnAm upAdAya rUpam
   pratyāśrayatvamucyate tadapi svadeśasyāsya janakatvameveti na kiñcit	pratyASraya tvam ucyate tat api sva deSasya asya janaka tvam eva iti na kiQcid 
   prāgjanakaṃ bhūtvā paścāt sthāpakatāmupaiti, yato 'nekāntaḥ syāditi |	prAc janakam BUtvA paScAt sTApaka tAm upEti, yatas anekAntaH syAt iti |
   [34. atiśayotpādanaṃ na sahakāritvaṃ kintu ekārthakāritvam |]	[34. atiSaya utpAdanam na sahakAri tvam kintu eka arTa kAri tvam |]
   punaranyathā tatsvabhāvasya jananādityanekāntodbhāvanaṃ parasyāśaṅkyāha 	punar anyaTA tad svaBAvasya jananAt iti anekAnta udBAvanam parasya ASaFkya Aha 
   "apratirodhaśaktikeṣu" avidyamānaḥ pratirodhaḥpratibandho yasyāḥ śakteḥ sā	"a pratiroDa Saktikezu" avidyamAnaH pratiroDaH pratibanDaH yasyAH SakteH sA
   yeṣām | apratirodhaśaktikatvaṃ cānantarakāryatvāt | ye hyutpannāḥ	yezAm | apratiroDa Saktika tvam ca anantara kArya tvAt | ye hi utpannAH
   kālakṣepeṇa kāryaṃ kurvanti teṣāṃ syādapi śaktipratibandho, na tu ya	kAla kzepeNa kAryam kurvanti tezAm syAt api Sakti pratibanDo, na tu ya
   udayānantarameva kāryaṃ kurvanti | anena kṣaṇakṣayiṇāmupaghātakābhāvamāha	udaya anantaram eva kAryam kurvanti | anena kzaNa kzayiNAm upaGAtaka aBAvam Aha
   | anugrāhakavirahamapyāha  "anādheyaviśeṣeṣu" | taccānādheyaviśeṣatvaṃ	| anugrAhaka viraham api Aha "anADeya viSeza izu" | tat ca anADeya viSeza tvam
   "kṣaṇikeṣu" ityanenāha | nahi kṣanikānāṃ viśeṣa ādhātuṃ śakyate,	"kzaNikezu" iti anena Aha | na hi kzanikAnAm viSezaH ADAtum Sakyate,
   viśeṣādhāyakena tatsahabhāvinā tadanantaraṃ tadutpādanāt | tadā ca tasya	viSeza ADAyakena tad sahaBAvinA tad anantaram tad utpAdanAt | tadA ca tasya
   nirodhāt | teṣvevaṃvidheṣu "pratyayeṣu parasparaṃ kaḥ sahakārārthaḥ" yena	niroDAt | tezu evaMviDezu "pratyayezu parasparam kaH sahakAra arTaH" yena
   sahakāriṇa ucyante? | nanvanādheyaviśeṣatvenaiva sahakāritvābhāvaḥ	sahakAriNaH ucyante? | nanu anADeya viSeza tvena eva sahakAri tva aBAvaH
   pratipādita iti kimarthamidamapratirodhaśaktikeṣviti? | nahi	pratipAditaH iti kimarTam idam apratiroDa Saktikezu iti? | na hi
   śaktipratirodhakaḥ sahakāri bhaṇyate | satyam | sarvathā tu	Sakti pratiroDakaH sahakAri BaNyate | satyam | sarvaTA tu
   tatrākiñcitkaratvajñāpanārthametaduktam | śaktipratibandhakāpanayanena	tatra akiQcitkara tva jQApana arTam etat uktam | Sakti pratibanDa ka apanayanena
   copakāritvakalpanāṃ sahakāriṇāṃ nirasyati | tasmādatiśayādhāyinaḥ	ca upakAri tva kalpanAm sahakAriNAm nirasyati | tasmAt atiSaya ADAyinaH
   sahakāriṇo 'sambhavāt kṣaṇikānāṃ svahetumātrapratibaddhameva janakatvam |	sahakAriNaH asamBavAt kzaNikAnAm sva hetu mAtra pratibadDam eva janaka tvam |
   taccaivaṃvidhaṃ sarvadāsti | na ca kevalā janayantīti tatsvabhāvasya	tat ca evaMviDam sarvadA asti | na ca kevalAH janayanti iti tad svaBAvasya
   jananādityanekānta eveti manyate |	jananAt iti anekAnte eva iti manyate |
   etat pariharati  "na vai" naiva atiśayotpādanaṃ sahakriyā yatastadabhāvāt	etat pariharati "na vE" na eva atiSaya utpAdanam sahakriyA yatas tad aBAvAt
   sahakāriṇo na syuḥ | kva punaratiśayotpādanaṃ sahakriyā pratyayānāṃ na	sahakAriNaH na syuH | kva punar atiSaya utpAdanam sahakriyA pratyayAnAm na
   bhavati? | "sarvatra" | nahi kvacidapi sahabhāvināmatiśyotpādanalakṣaṇā	Bavati? | "sarvatra" | na hi kvacid api sahaBAvinAm atiSya utpAdana lakzaNA
   sahakriyā sambhavati | (Hbṭ 114) kā tarhi sahakriyā? ityāha 	sahakriyA samBavati | (Hbj 114) kA tarhi sahakriyA? iti Aha 
   "ekārthakaraṇam" ekakāryaniṣpādanaṃ yad "bahūnām" | "apiḥ" sambhāvanāyām |	"eka arTa karaNam" eka kArya nizpAdanam yat "bahUnAm" | "apiH" samBAvanAyAm |
   nyāyabalādevaṃvidhāmeva sarvatra sahakriyāṃ sambhāvayāmaḥ, nānyamiti |	nyAya balAt evaMviDAm eva sarvatra sahakriyAm samBAvayAmaH, na anyam iti |
   atrodāharaṇam  "yathā antyasya" anantarāṅkurādikāryasya "kāraṇakalāpasya"	atra udAharaNam "yaTA antyasya" anantara aFkura Adi kAryasya "kAraNa kalApasya"
   pratyayasāmagryā iti |	pratyaya sAmagryAH iti |
   [35. ekakāryakāritvameva mukhyaṃ sahakāritvamitarattu gauṇam |]	[35. eka kArya kAri tvam eva muKyam sahakAri tvam itarat tu gONam |]
   syādetat  aupacārikametat sahakāritvam, atiśayotpādanameva tu mukhyam	syAt etat OpacArikam etat sahakAri tvam, atiSaya utpAdanam eva tu muKyam
   ityat āha  "tadeva" ekakāryakaraṇalakṣaṇaṃ "mukhyaṃ sahakāritvam"	ityat Aha "tadeva" eka kArya karaNa lakzaNam "muKyam sahakAri tvam"
   nātiśayotpādanalakṣaṇam, tasyaiva gauṇatvāt | etaccottaratra vakṣyate |	na atiSaya utpAdana lakzaNam, tasya eva gONa tvAt | etat ca uttaratra vakzyate |
   kuta etat? ityāha  "tasyaiva antyasya" vivakṣitakāryaṃ prati "kāraṇatvāt"	kutas etat? iti Aha "tasya eva antyasya" vivakzita kAryam prati "kAraNa tvAt"
   | kāraṇasya ca sahakārivyapadeśaḥ nākāraṇasya | yataḥ saha  yugapat	| kAraNasya ca sahakAri vyapadeSaH na akAraNasya | yatas saha yugapad 
   kurvantaḥ sahakāriṇa ucyante, antyaśca kāraṇakalāpa evaṃvidha iti | yathā	kurvantaH sahakAriNaH ucyante, antyaH ca kAraNa kalApaH evaMviDaH iti | yaTA
   cāntyasyaikārthakaraṇaṃ sahakāritvam evaṃ pūrvasyāpi	ca antyasya eka arTa karaNam sahakAri tvam evam pUrvasya api
   kāraṇakalāpasyottarottaraviśiṣṭakṣaṇāntarārambhiṇa ityavaseyam,	kAraNa kalApasya uttarottara viSizwa kzaNa antara AramBiNaH iti avaseyam,
   antyasyodāharaṇatayā nirddeśāt | tasmāt sarvaṃ kāryamaṅkurādikaṃ	antyasya udAha raNa tayA nirddeSAt | tasmAt sarvam kAryam aFkura Adikam
   viśeṣalakṣaṇaṃ vānekapratyayajanyamiti | sarvatraikārthakriyaiva	viSeza lakzaNam vA aneka pratyaya janyam iti | sarvatra eka arTa kriyA eva
   copacīyamānāpacīyamānakāryakāriṇaḥ kāraṇakalāpasya sahakāritvam, na	ca upacIyamAna apacIyamAna kArya kAriNaH kAraNa kalApasya sahakAri tvam, na
   viśeṣotpādanamiti |	viSeza utpAdanam iti |
   syādetat  ekārthakaraṇamapi tatra sahakāritvamastu	syAt etat eka arTa karaNam api tatra sahakAri tvam astu
   atiśayotpādanalakṣaṇamapītyata āha  "tatra ca" kṣaṇe 'ntye "viśeṣasya	atiSaya utpAdana lakzaNam api iti atas Aha "tatra ca" kzaNe antye "viSezasya
   kartumaśakyatvāt" nātiśayotpādanamapi sahakāritvam | kuto viśeṣasya	kartum aSakyatvAt" na atiSaya utpAdanam api sahakAri tvam | kutas viSezasya
   kartumaśakyatvam? ityata āha  "ekasya" anaṃśasya "svabhāvasyāvivekāt | na	kartum aSakyatvam? iti atas Aha "ekasya" anaMSasya "svaBAvasya avivekAt | na
   hi tatra ‘ayamanāhitātiśayo bhāgaḥ svahetubhyo jātaḥ, ayaṃ tu	hi tatra ‘ayam anAhita atiSayaH BAgaH sva hetuByaH jAtaH, ayam tu
   sahakāribhirāhitātiśayaḥ'; iti viveko 'sti | yadi nāmavivekaḥ, viśeṣastu	sahakAriBiH Ahita atiSayaH a; iti vivekaH asti | yadi nAma vivekaH, viSezaH tu
   kimiti na kriyate? ityata āha  "svabhāvāntarotpattilakṣaṇatvād	kim iti na kriyate? iti atas Aha "svaBAva antara utpatti lakzaNa tvAt 
   viśeṣotpatteḥ", nirbhāge ca kutaḥ svabhāvāntarasya vyavasthā? |	viSeza utpatteH", nirBAge ca kutas svaBAva antarasya vyavasTA? |
   syānmatam  bhinnasvabhāva evāntyasya viśeṣo 'stu ityata āha  "bhavāntara" 	syAt matam Binna svaBAvaH eva antyasya viSezaH astu iti atas Aha "Bava antara" 
   ityādi | yadi bhāvāntaralakṣaṇo viśeṣo (Hbṭ 115) bhavet tadā	ityAdi | yadi BAva antara lakzaNaH viSezaH (Hbj 115) Bavet tadA
   tasyāntyatvameva hīyeta | hīyenāṃ (hīyatāṃ) ko doṣaḥ? iti cet; "tataśca"	tasya antya tvam eva hIyeta | hIyenAm (hIyatAn) kaH dozaH? iti cet; "tatas ca"
   anantyatvāt "na sākṣāt kāraṇaṃ syāt" | yata evaṃ "tasmānna kāraṇasya"	anantya tvAt "na sAkzAt kAraNam syAt" | yatas evam "tasmAt na kAraNasya"
   mukhyasya "sahakāribhyaḥ" sakāśād "viśeṣasyotpattiḥ" ityekārthakriyaiva	muKyasya "sahakAriByaH" sakASAt "viSezasya utpattiH" iti eka arTa kriyA eva
   sahakāritvamiti |	sahakAri tvam iti |
   nanvasatyāṃ sahakāribhyo viśeṣotpattau kāryajanane sāmarthyameṣāṃ na	nanu asatyAm saha kAriByaH viSeza utpattO kArya janane sAmarTyam ezAm na
   yujyata ityata āha  "te samarthāḥ" ityādi | yadi hi te svabhāvenāsamarthā	yujyate iti atas Aha "te samarTAH" ityAdi | yadi hi te svaBAvena asamarTA
   utpadyeran tadaiṣāṃ sahakāribhyaḥ sāmarthyotpattirabhyupagamyeta | yāvatā	utpadyeran tadA ezAm saha kAriByaH sAmarTya utpattiH aByupagamyeta | yAvatA
   "te 'ntyāḥ svabhāvenaiva samarthāḥ pratyayāḥ sahitā jāyante"	"te antyAH svaBAvena eva samarTAH pratyayAH sahitAH jAyante"
   kṣaṇamātravilambino | "yeṣā"mekakṣaṇaniyatatvāt tataḥ	kzaNa mAtra vilambinaH | "yezA"meka kzaNa niyata tvAt tatas 
   "prākpaścātpṛthaktvabhāvo nāsti | yebhyaścānantarameva kāryamutpadyate" na	"prAk paScAt pRTaktva BAvaH na asti | yeByaH ca anantaram eva kAryam utpadyate" na
   kālāntareṇa "tatra" teṣvevaṃvidheṣu "ekārthakriyaiva sahakāritvam"	kAla antareNa "tatra" tezu evaMviDezu "eka arTa kriyA eva sahakAri tvam"
   nātiśayotpādanalakṣaṇam |	na atiSaya utpAdana lakzaNam |
   svabhāvataḥ sāmarthyasya bhāvavirodhāt, parasparataścānabhyupagamāt	svaBAvataH sAmarTyasya BAva viroDAt, parasparataH ca anaByupagamAt 
   samarthasya janmaivāyuktamiti manvānaḥ paraḥ āha  "samarthaḥ kutaḥ" ityādi	samarTasya janma eva ayuktam iti manvAnaH paraH Aha "samarTaH kutas " ityAdi
   | siddhāntavādyāha  "svakāraṇebhyaḥ" iti | paramatāpekṣayā tu svabhāvata	| sidDAntavAdya aha "sva kAraNeByaH" iti | parama tApekzayA tu svaBAvata
   ityuktam | paro hyatyantasya (hyutpannasya) kāraṇasya sahakāribhyaḥ	iti uktam | paraH hi atyantasya (hi utpannasya) kAraNasya saha kAriByaH
   sāmarthyamicchatīti tanniṣedhaparaṃ svabhāvata iti vacanam | na tu	sAmarTyam icCati iti tat nizeDa param svaBAvataH iti vacanam | na tu
   svabhāvataḥ kiñcijjāyate, tasyāhetukatvaprasaṅgāt |	svaBAvataH kiQcid jAyate, tasya ahetuka tva prasaFgAt |
   [36. kṣaṇikeṣvekārthakriyāniyamasya vyavasthāpanam |]	[36. kzaNikezu eka arTa kriyA niyamasya vyavasTApanam |]
   ekārthakriyāniyama eva kṣaṇikānāmayuktaḥ, kevalānāmapyaṃtyakṣaṇasarūpāṇāṃ	eka arTa kriyA niyamaH eva kzaNikAnAm ayuktaH, kevalAnAm api aMti akzaNa sarUpANAm
   darśanāt | tathāhi  ‘idamevaṃrūpaṃ naiva ca'; iti darśanādarśanābhyāṃ	darSanAt | taTA hi ‘idam evaMrUpam na eva ca a; iti darSana adarSanAByAm
   vibhajyate | tatra yādṛśaḥ kṣityādayastadanyapratyayasannidhāvupalabhyante	viBajyate | tatra yAdRSaH kziti AdayaH tad anya pratyaya sanniDO= upalaByante
   tādṛśā eva kevalā api | tatastadanyasahitā iva kevalā api	tAdRSAH eva kevalAH api | tatas tad anya sahitAH iva kevalAH api
   samarthamaṅkurajanane svaṃ svaṃ kṣaṇāntaramārabheran | tataḥ	samarTam aFkura janane svam svam kzaNa antaram AraBeran | tatas 
   kevalasyāpyaṅkurādijananasvābhāvyādajananācca ‘tatsvabhāvasya	kevalasya api aFkura Adi janana svABA vyAt ajananAt ca ‘tad svaBAvasya
   jananāt'ityanekānta eveti manyamānaḥ para (Hbṭ 116) āha  "tāni"	jananAt aiti anekAntaH eva iti manyamAnaH para (Hbj 116) Aha "tAni"
   svakāraṇāni kṣitibījādīni "enaṃ" samartham "aparasya" anyasya pratyayasya	sva kAraNAni kziti bIja AdIni "enaM" samarTam "aparasya" anyasya pratyayasya
   "sannidhāna eva kiṃ" kasmāt "janayanti"? na kevalāni?, sahitānāmeva	"sanniDAnaH eva kiM" kasmAt "janayanti"? na kevalAni?, sahitAnAm eva
   sarvadā sambhavāt iti cet āha  "kadācit" kasmiṃścit kāle "anyathāpi"	sarvadA samBavAt iti ced Aha "kadAcit" kasmiMScid kAle "anyaTA api"
   kevalā api "syuḥ" bhaveyuḥ | tathā hi  dṛśyanta evādhyātmikabāhyāḥ kvacit	kevalAH api "syuH" BaveyuH | taTA hi dRSyante eva ADyAtmika bAhyAH kvacid 
   kārye yādṛśā yatsahitāḥ tādṛśā eva tadrahitā apīti | janayantu kevalā api	kArye yAdRSAH yat sahitAH tAdRSAH eva tat rahitAH api iti | janayantu kevalAH api
   sambhavantaḥ samartham, ko doṣaḥ? iti cedāha  "tataśca" kevalānāmapi	samBavantaH samarTam, kaH dozaH? iti ced Aha "tataH ca" kevalAnAm api
   samarthajanakānāṃ sambhavāt "eko 'pi" na kevalamanekaḥ "kvaci" ddeśādau	samarTa janakAnAm samBavAt "ekaH api" na kevalam anekaH "kvaci" ddeSa AdO
   samarthaḥ utpannaḥ kṣitibījādoiraṅkurādikāryaṃ "janayet" yadi	samarTaH utpannaH kziti bIjAdoiH aFkura Adi kAryam "janayet" yadi
   tatsvabhāvasyāvaśyaṃ janakatvam | na ca kevalo janayati	tad svaBAvasya avaSyam janaka tvam | na ca kevalaH janayati
   tatsvabhāvasambhave 'pi tato 'nekāntaḥ iti paraḥ |	tad svaBAva samBave api tatas anekAntaH iti paraH |
   etat pariharannāha  "aparāpara  " ityādi | aparaiścāparaiśca	etat pariharan = Aha "apara apara " ityAdi | aparEH ca aparEH ca
   kuśūlatadapanetṛpuruṣaprayatnapiṭakādiprakṣepakṣetranayanaprakiraṇādibhiḥ	kuSUla tad apanetR puruza prayatna piwaka Adi prakzepa kzetra nayana prakiraNa AdiBiH
   "pratyayai"ryo "yogaḥ" tena kāraṇena "pratikṣaṇaṃ bhinnaśaktayo" na	"pratyaya E"ryaH "yogaH" tena kAraNena "pratikzaNam Binna Saktayo" na
   kadācit pūrvāparakālabhāvina ekaśaktayaḥ	kadAcid pUrva apara kAla BAvinaH eka SaktayaH
   aparāparapratyayayogalakṣaṇahetubhede	apara apara pratyaya yoga lakzaNa hetu Bede
   'pyabhinnaśaktitāyāmahetukatvaprasaṅgāt | anyatrāpi ca śāliyavabījādau	api aBinna Sakti tAyAma hetuka tva prasaFgAt | anyatra api ca SAli yava bIja AdO
   śaktibhedasya hetubhedanibandhanatvāt |	Sakti Bedasya hetu Beda nibanDana tvAt |
   "saṃskārāḥ" sametya sambhūya ca pratyayaiḥ kriyamāṇāḥ "santanvantaḥ"	"saMskArAH" sametya samBUya ca pratyayEH kriyamANAH "santanvantaH"
   santānena bhavanto "yadyapi kutaścit sāmyād" varṇena saṃsthānena anyena vā	santAnena BavantaH "yadi api kutaScid sAmya Ad" varNena saMsTAnena anyena vA
   kenacitprakāreṇa sādṛśyādekākaraparāmarśapratyayajananalakṣaṇāt samānaṃ	kenacid prakAreNa sAdRSyAt ekAkara parAmarSa pratyaya janana lakzaNAt samAnam
   rūpameṣāmiti "sarūpāḥ" sadṛśāḥ "pratīyante" pratyabhijñāyante "tathāpi"	rUpam ezAm iti "sarUpAH" sadRSAH "pratIyante" pratyaBijQAyante "taTA api"
   kṛtrimākṛtrimāṇāmiva maṇimuktādīnāmaparāparapratyayogalakṣaṇasāmagrībhedād	kRtrima akRtrimANAm iva maNi muktA AdInAm aparApara pratyayoga lakzaNa sAmagrI BedAt 
   "bhinna eva" visadṛśa eva na pratyabhijñānavaśādabhinnaḥ tulyarūpa "eṣāṃ"	"BinnaH eva" visadRSaH eva na pratyaBijQAna vaSAt aBinnaH tulya rUpaH "ezAM"
   bījādīnāṃ "svabhāvaḥ" yata evaṃ "tena" bhinnasvabhāvatvena bhinnaśaktitayā	bIja AdInAm "svaBAvaH" yatas evam "tena" Binna svaBAva tvena Binna Sakti tayA
   vāparāparasāmagrījanyatvena kṣaṇānāṃ siddhyā "kiñcideva" kṣitibījādikaṃ	vA aparApara sAmagrI janya tvena kzaNAnAm sidDyA "kiQcideva" kziti bIja Adikam
   "kasyaci"deva kāryasyāṅkurādestajjananasamarthasya (Hbṭ 117) vā "kāraṇam"	"kasyaci"deva kAryasya aFkura AdeH tad janana samarTasya (Hbj 117) vA "kAraNam"
   | na sarvaṃ sarvasya | tathā ca vyagrāṇāṃ	| na sarvam sarvasya | taTA ca vyagrANAm
   kṣitibījādīnāmaṅkurajananasvabhāvatā samarthakṣaṇajānanasvabhāvatā vā	kziti bIja AdInAm aFkura janana svaBAva tA samarTa kzaNa ja Anana svaBAva tA vA
   nāstyeveti tatsvabhāvasya jananādajanakasya cātatsvabhāvatvādityatra	na asti eva iti tad svaBAvasya jananAt a janakasya ca Atad svaBAva tva At iti atra
   nānekāntaḥ yato yo yatsvabhāvaḥ sa svahetorevotpadyamānaḥ tādṛśo bhavati	na anekAntaH yatas yaH yat svaBAvaH sa sva hetoH eva utpadyamAnaH tAdRSaH Bavati
   na punastadbhāve hetvantaramapekṣata ityatrānekāntaḥ syāditi |	na punar tad BAve hetu antaram apekzate iti atra anekAntaH syAt iti |
   pratyabhijñānasya ca sarūpatāviṣayasya	pratyaBijQAnasya ca sarUpa tA vizayasya
   sāmagrībhedādanumitabhinnaśaktisvabhāvatvena bādhyamānatayā prāmāṇyābhāvāt	sAmagrI BedAt anumita Binna Sakti svaBAva tvena bADyamAna tayA prAmANya aBAvAt
   na tataḥ sarūpatāsiddhiḥ kṣaṇakṣayiṇāmiti |	na tatas sarUpa tA sidDiH kzaNa kzayiNAm iti |
   pūrvaṃ ca ‘ata evāna(eva ta)yoravasthayorvastubhedo niśceyaḥ ityādinā	pUrvam ca ‘ataH eva ana(A iva ta)yoH avasTayoH vastu BedaH niSceyaH ityAdinA
   ekatvaviṣayaṃ pratyabhijñānaṃ nirastam | adhunā tu	ekatva vizayam pratyaBijQAnam nirastam | aDunA tu
   tulyasvabhāvatāviṣayamiti bhedaḥ | etadapi tatra ‘aparāparotpatteḥ';	tulya svaBAvatA vizayam iti BedaH | etat api tatra ‘apara apara utpatteH a;
