   The Adhikaraṇavastu	The ADikaraNa-vastu
   adhārmikāṇi śalākāgrahaṇāni	aDArmikANi SalAkA-grahaNAni
   The ten distributions of voting tickets that are legally valid	The tet diH-tri-butia-unH of voting ticketH Tat are legallI valid
        daśa dhārmikāṇi śalākāgrahaṇāni katamāni? dharmaśalākāṃ gṛhṇanti,	daSa DArmikANi SalAkA-grahaNAni katamAni? Darma-SalAkAm gRhNanti,
   samagrāḥ śalākāṃ gṛhṇanti, nālpamātrāvaramātrakeṇa śalākāṃ gṛhṇanti, na	samagrAH SalAkAm gRhNanti, na-alpa-mAtra-avara-mAtrakeNa SalAkAm gRhNanti, na
   bhedāśaṅkinaḥ śalākāṃ gṛhṇanti, na parāvṛttaprayogeṇa śalākāṃ gṛhṇanti,	Beda-aSaFkinaH SalAkAm gRhNanti, na parAvRtta-prayogeNa SalAkAm gRhNanti,
   gatiṃgatisārathitayā śalākāṃ gṛhṇanti, nāpy eva ḥśalākāgrahaṇena saṃgho	gatiMgati-sAraTitayA SalAkAm gRhNanti, na-api eva HSalAkA-grahaNena saMGaH-
   bhetsyatīti śalākāṃ gṛhṇanti; nāpy evaḥ śalākāgrahaṇena prabhūtatarā	Betsyati-iti SalAkAm gRhNanti; na-api evaH SalAkA-grahaNena praBUtatarA
   bhikṣavaḥ adharmavādino bhaviṣyantīti śalākāṃ gṛhṇanti; ḥnaḥ jānaṃ	BikzavaH aDarma-vAdinaH Bavizyanti-iti SalAkAm gRhNanti; HnaH jAnam
   śalākāgrahāṇena saṃgho bhetsyatīti śalākāṃ gḥṇanti; (A 344a) nāpy eva	SalAkA-grahANena saMGaH Betsyati-iti SalAkAm gHNanti; (A 344a) na-api eva
   jānaṃ chalākāgrahaṇena prabhūtatarā bhikṣavaḥ adharmavādino bhaviṣyantīti	jAnam CalAkA-grahaNena praBUtatarAH BikzavaH aDarma-vAdinaH Bavizyanti-iti
   śalākāṃ gṛhānti?	SalAkAm gRha-anti?
        kathaṃ dharmeṇa śalākāṃ gṛhṇanti? vinayānulomena śalākāṃ gṛhṇanti,	kaTam DarmeNa SalAkAm gRhNanti? vinaya-anulomena SalAkAm gRhNanti,
   evaṃ dharmeṇa śalākāṃ gṛhṇanti; kathaṃ samagrāḥ śalākāṃ gṛhṇanti?	evam DarmeNa SalAkAm gRhNanti; kaTam samagrAH SalAkAm gRhNanti?
   saṃghasāmagryā śalākāṃ gṛhṇanti; kathaṃ nālpāvaramātrakeṇa (Adhik-v 93)	saMGa-sAmagryA SalAkAm gRhNanti; kaTam na-alpAvara-mAtrakeNa (a-aDik-u 93)
   śalākāṃ gṛhṇanti? na saṃvarakaraṇīyaṃ na deśanākaraṇīyam iti kṛtvā śalākāṃ	SalAkAm gRhNanti? na saMvara-karaNIyam na deSanA-karaNIyam iti kRtvA SalAkAm
   gṛhṇanti; evaṃ nālpāmātrāvaramātrakeṇa śalākāṃ gṛhṇanti; kathaṃ na	gRhNanti; evam na-alpa-amAtra-avara-mAtrakeNa SalAkAm gRhNanti; kaTam na
   bhedāśaṅkinaḥ śalākāṃ gṛhṇanti? caturdaśānāṃ bhedakarāṇāṃ vastūnām	Beda-aSaFkinaH SalAkAm gRhNanti? caturdaSAnAm Beda-karANAm vastUnAm
   anyatamānyatamad bhedakaraṃ vastu sādhu ca suṣṭhu ca sūdgṛhītaṃ bhavati;	anyatama-anyatamat Beda-karam vastu sADu ca suzWu ca su-udgRhItam Bavati;
   evaṃ na bhedāśaṅkinaḥ śalākāṃ gṛhṇanti; kathaṃ na parāvṛttaprayogena	evam na Beda-aSaFkinaH SalAkAm gRhNanti; kaTam na parAvRtta-prayogena
   śalākāṃ gṛhṇanti? sthalasthān upādāya yāvat sthaviraḥ; evaṃ na	SalAkAm gRhNanti? sTala-sTAn upAdAya yAvat sTaviraH; evam na
   parāvṛttaprayogena śalākāṃ gṛhṇanti; kathaṃ gatiṃgatisārathitayā śalākāṃ	parAvRtta-prayogena SalAkAm gRhNanti; kaTam gatiMgati-sAraTitayA SalAkAm
   gṛhṇanti? ye te bhikṣavo bhavanti sūtradharā vinayadharāḥ mātṛkādharās	gRhNanti? ye te BikzavaH Bavanti sUtraDarAH vinaya-DarAH mAtRkADarAH-
   tasmin dharmavinaye gataya ucyante; sārathayas tān avalokya śalākāṃ	tasmin Darma-vinaye gatayaH ucyante; sAraTayaH tAn avalokya SalAkAm
   gṛhnanti; evaṃ gatiṃgatisārathitayaiva śalākāṃ gṛhṇanti; kathaṃ nāpi	gRhnanti; evam gatiMgati-sAraTitayA-eva SalAkAm gRhNanti; kaTam na-api
   śalākāgrahaṇena saṃgho ḥbhetsyatīti śalākāṃ gṛhnanti; nāpy eva	SalAkA-grahaNena saMGaH HBetsyati-iti SalAkAm gRhnanti; na-api eva
   śalākāgrahaṇena saṃghoḥ bhedaṃ gamiṣyatīty evaṃcittāḥ śalākāṃ gṛhṇanti;	SalAkA-grahaNena saMGoH Bedam gamizyati-iti evaMcittAH SalAkAm gRhNanti;
   evaṃ nāpy eva śalākāgrahaṇena saṃgho bhetsyatīti śalākāṃ gṛhṇanti; kathaṃ	evam na-api eva SalAkA-grahaNena saMGaH Betsyati-iti SalAkAm gRhNanti; kaTam
   nāpy eva śalākāgrahaṇena prabhūtatarā bhikṣavaḥ adharmavādino	na-api eva SalAkA-grahaNena praBUtatarA BikzavaH aDarma-vAdinaH-
   bhaviṣyantīti śalākāṃ gṛhṇanti; nāpy eva śalākāgrahaṇena prabhūtatarā	Bavizyanti-iti SalAkAm gRhNanti; na-api eva SalAkA-grahaNena praBUtatarA
   bhikṣavaḥ adharmaṃ samādāya vartiṣyante iti śalākāṃ gṛhṇanti; evaṃ nāpy	BikzavaH aDarmam samAdAya vartizyante iti SalAkAm gRhNanti; evam na-api-
   eva śalākāgrahaṇena prabhūtatarā bhikṣavaḥ adharmavādino bhaviṣyantīti	eva SalAkA-grahaNena praBUtatarAH BikzavaH aDarma-vAdinaH Bavizyanti-iti
   śalākāṃ gṛhṇanti; kathaṃ ḥnaḥ jānaṃś śalākāgrahaṇena saṃgho bhetsyatīti	SalAkAm gRhNanti; kaTam HnaH jAnan SalAkA-grahaNena saMGaH Betsyati-iti
   śalākāṃ gṛhṇanti; na jānan śalākāgrahaṇena saṃgho bhedaṃ gamiṣyatīti	SalAkAm gRhNanti; na jAnan SalAkA-grahaNena saMGaH Bedam gamizyati-iti
   evaṃcittā śalākāṃ gṛhṇanti; evaṃ na jānan ḥśalākāgrahaṇena saṃgho	evaMcittA SalAkAm gRhNanti; evam na jAnan HSalAkA-grahaNena saMGaH-
   bhetsyatīti śalakāṃ gṛhṇanti; kathaṃ na jānanḥ śalākāgrahaṇena	Betsyati-iti SalakAm gRhNanti; kaTam na jAnanH SalAkA-grahaNena
   prabhūtatarā bhikṣavaḥ śalākāgrahaṇena adharmavādino bhaviṣyantīti śalākāṃ	praBUtatarAH BikzavaH SalAkA-grahaNena aDarma-vAdinaH Bavizyanti-iti SalAkAm
   gṛhṇanti; na jānan śalākāgrahaṇena prabhūtatarā bhikṣavaḥ adharmaṃ	gRhNanti; na jAnan SalAkA-grahaNena praBUtatarA BikzavaH aDarmam
   samādāya vartiṣyante ity evaṃcittā śalākāṃ gṛhṇanti; evaṃ ḥnaḥ jānan	samAdAya vartizyante iti evaMcittA SalAkAm gRhNanti; evam HnaH jAnan
   śalākāgrahaṇena prabhūtatarā bhikṣavaḥ adharmavādino bhaviṣyantīti śalākāṃ	SalAkA-grahaNena praBUtatarAH BikzavaH aDarma-vAdinaH Bavizyanti-iti SalAkAm
   gṛhṇanti; imāni daśa dhārmikāṇi śalākāgrahaṇāni; śalākācārakasya bhikṣor	gRhNanti; imAni daSa DArmikANi SalAkA-grahaNAni; SalAkA-cArakasya BikzoH-
   āsamudācārikān dharmān prajñāpayāmi	AsamudAcArikAn DarmAn prajQApayAmi
   Methods fo votation	MeTa-udH faH vA-utation
        śalākācārakeṇa bhikṣuṇa dvividhā (A 344b) śalākā upasthāpayitavyā,	SalAkA-cArakeNa BikzuNa dviviDA (A 344b) SalAkAH upasTApayitavyA,
   dharmaśalākā adharmaśalākā ca; dharmaśalākā ajihmā avakrā (Adhik-v 94)	Darma-SalAkA aDarma-SalAkA ca; Darma-SalAkAH ajihmA avakrAH (a-aDik-u 94)
   akuṭilā ḥsuvarṇāḥ sukhasaṃsparśā ca; adharmaśalākā jihmā vakrāḥ kuṭilā	akuwilAH HsuvarNAH suKa-saMsparSA ca; aDarma-SalAkA jihmA vakrAH kuwilA
   durvarṇā duḥkhasaṃsparśā ca; tataḥ śalākācārakeṇa bhikṣuṇā dakṣiṇena	durvarNAH duHKa-saMsparSA ca; tatas SalAkA-cArakeNa BikzuNA dakziNena
   pāṇinā dharmaśalākā gṛhītvā vāmena cādharmaśalākā saṃghasthavirasya	pANinA Darma-SalAkA gRhItvA vAmena ca-aDarma-SalAkA saMGa-sTavirasya
   purastāt sthitvā dharmaśalākānāṃ varṇo bhāṣitavyaḥ, adharmaśalākānāṃ	purastAt sTitvA Darma-SalAkAnAm varNaH BAzitavyaH, aDarma-SalAkAnAm
   cāvarṇaḥ, sthavira imā dharmaśalākā ajihmā avakrā akuṭilāḥ suvarṇāḥ	ca-avarNaH, sTaviraH imAH Darma-SalAkAH ajihmAH avakrAH akuwilAH suvarNAH
   sukhasaṃsparśāś ca gṛhāṇa, imās tv adharmaśalākā jihmā vakrā kuṭilā	suKa-saMsparSAH ca gRhANa, imAH tu aDarma-SalAkA jihmA vakrA kuwilA
   durvarṇā duḥkhasaṃsparśāś ca gṛhāṇa; ḥyadiḥ yenādharmaśalākā tena hastaṃ	durvarNAH duHKa-saMsparSAH ca gRhANa; HyadiH yena-aDarma-SalAkA tena hastam
   ḥpraḥsārayati, prathamāyāṃ vāci na dātavyā, dvitīyāyāṃ na dātavyā,	HpraHsArayati, praTamAyAm vAci na dAtavyA, dvitIyAyAm na dAtavyA,
   tṛtīyāyāṃ dātavyā; saṃghasthavireṇa vinayātisāriṇī duṣkṛtā āpattiḥ	tRtIyAyAm dAtavyA; saMGa-sTavireNa vinaya-atisAriNI duzkRtA ApattiH
   deśayitavyā; evaṃ yāvat saṃghanavakasya purataḥ sthitvā dharmaśalākānāṃ	deSayitavyA; evam yAvat saMGanavakasya puratas sTitvA Darma-SalAkAnAm
   varṇo bhāṣitavyaḥ adharmaśalākānāṃ cāvarṇaḥ, imā dharmaśalākā ajihmā	varNaH BAzitavyaH aDarma-SalAkAnAm ca-avarNaH, imAH Darma-SalAkA ajihmA
   avakrā ḥakuṭilāḥḥ suvarṇāḥ sukhasaṃsparśāś ca gṛhāṇa, imās tv	avakrAH HakuwilAHH suvarNAH suKa-saMsparSAH ca gRhANa, imAH tu-
   adharmaśalākā jihmā vakrāḥ kuṭilā durvarṇā duḥsaṃsparśā gṛhāṇa; yadi yena	aDarma-SalAkAH jihmAH vakrAH kuwilA durvarNAH duHsaMsparSAH gRhANa; yadi yena
   adharmaśalākās ḥtenaḥ hastaṃ prasārayati prathamāyāṃ vāci na dātavyā,	aDarma-SalAkAH HtenaH hastam prasArayati praTamAyAm vAci na dAtavyA,
   dvitīyāyāṃ na dātavyā, ḥtṛtīyāyāṃ dātavyāḥ; evaṃ saṃghanavakena	dvitIyAyAm na dAtavyA, HtRtIyAyAm dAtavyAH; evam saMGanavakena
   vinayātisāriṇī duṣkṛtā āpattir deśayitavyā; yadi dharmaśalākā nyūnā	vinaya-atisAriNI duzkRtA ApattiH deSayitavyA; yadi Darma-SalAkA nyUnA
   bhavati, ajñātakauṇḍinyasya śalākā grahītavyā; yady ekaśalākā adhikā	Bavati, ajQAta-kONxinyasya SalAkA grahItavyA; yadi ekaSalAkA aDikA
   bhavati evaṃ ḥtad adhikaraṇaṃḥ vyupaśāntaṃ yaduta dharmeṇa; evaṃ tasminn	Bavati evam Htat aDikaraNanH vyupaSAntam yat-uta DarmeNa; evam tasmin=-
   adhikaraṇe vyupaśānte sacet kaścit khoṭayati āpadyate duṣkṛtām; evaṃ yady	aDikaraNe vyupaSAnte saced kaScid Kowayati Apadyate duzkRtAm; evam yadi-
   ekāpy adharmaśalākā adhikā bhavati evam api tad adhikaraṇaṃ vyupaśāntaṃ	ekA-api aDarma-SalAkAH aDikA Bavati evam api tat aDikaraNam vyupaSAntam
   yaduta adharmeṇa; evaṃ tasminn adhikaraṇe vyupaśānte kaścit khoṭayati	yat-uta aDarmeNa; evam tasmin aDikaraNe vyupaSAnte kaScid Kowayati
   āpadyate duṣkṛtām; evaṃ yadbhūyaiṣīkaśalākāgrahaṇādhikaraṇaśamatho	Apadyate duzkRtAm; evam yat-BUya-ezIka-SalAkA-grahaNa-aDikaraNa-SamaTo
   bhavati; ḥevamḥ ihaikeṣām adhikaraṇānāṃ damaś ca bhavati śamaś ca (Adhik-v	Bavati; HevamH iha-ekezAm aDikaraNAnAm damaH ca Bavati SamaH ca (a-aDik--v
   95) vyupaśamaś ca yaduta yadbhūyaiṣīkaśalākāgrahaṇena adhikaraṇaśamathena	95) vyupaSamaH ca yat-uta yat-BUya-ezIka-SalAkA-grahaNena aDikaraNa-SamaTena
   The legal question arising from vivāda and anavavāda can be settled in two	The legat question ari-sinc from vivAda and anavavAda can be set-tlet id two
   and three ways respectively. The smṛtivinaya.	and Tree wayH respet-ti-vely. The smRti-vinaya.
        vivādādhikaraṇaṃ bhikṣavo dvābhyām adhikaraṇaśamathābhyāṃ	vivAda-aDikaraNam BikzavaH dvAByAm aDikaraNa-SamaTAByAm
   damayitavyaṃ śamayitavyaṃ vyupaśamayitavyaṃ, saṃmukhavinayena	damayitavyam Samayitavyam vyupaSamayitavyan, saMmuKa-vinayena
   yadbhūyaiṣīkaśalākāgrahaṇena ca; anavavādādhikaraṇaṃ bhikṣavas tribhir	yat-BUya-ezIka-SalAkA-grahaNena ca; anavavAda-aDikaraNam BikzavaH triBiH-
   adhikaraṇaśamathair dharmair damayitavyaṃ śamayitavyaṃ vyupaśamayitavyam;	aDikaraNa-SamaTEH DarmEH damayitavyam Samayitavyam vyupaSamayitavyam;
   katamais tribhiḥ? saṃmukhavinayena smṛtivinayena amūḍhavinayena; kathaṃ ca	katamEH triBiH? saMmuKa-vinayena smRti-vinayena amUXa-vinayena; kaTam ca
   bhikṣavaḥ saṃmukhavinayenādhikaraṇaśamatho bhavati? kathaṃ ca punar	BikzavaH saMmuKa-vinayena-aDikaraNa-SamaTaH Bavati? kaTam ca punar-
   iahaikeṣām adhikaraṇānāṃ damaś ca bhavati śamaś ca vyupaśamaś ca yaduta	iaha-ekezAm aDikaraNAnAm damaH ca Bavati SamaH ca vyupaSamaH ca yat-uta
   saṃmukhavinayenādhikaraṇaśamathena? pūrvavat sthalastham upādāya yāvat	saMmuKa-vinayena-aDikaraNa-SamaTena? pUrvavat sTala-sTam upAdAya yAvat-
   sthaviraḥ; evaṃ hi bhikṣavaḥ saṃmukhavinaya (A 345a) adhikaraṇaśamatho	sTaviraH; evam hi BikzavaH saMmuKa-vinaya (A 345a) aDikaraNa-SamaTo
   bhavati; evaṃ punar ikaikeṣām adhikaraṇaśamathānāṃ damaś ca bhavati ḥśamaś	Bavati; evam punar ikA-ekezAm aDikaraNa-SamaTAnAm damaH ca Bavati HSamaS
   caḥ vyupaśamaś ca yaduta saṃmukhavinayenādhikaraṇaḥśamathenaḥ; kathaṃ ca	caH vyupaSamaH ca yat-uta saMmuKa-vinayena-aDikaraNaH-SamaTenaH; kaTam ca
   bhikṣavaḥ smṛtivinaya adhikaraṇaśamatho bhavati? kathaṃ ca punaḥ ihaikeṣām	BikzavaH smRti-vinaya aDikaraNa-SamaTaH Bavati? kaTam ca punar iha-ekezAm
   adhikaraṇaśamathānāṃ damaś ca bhavati śamaś ca vyupaśamaś ca yaduta	aDikaraNa-SamaTAnAm damaH ca Bavati SamaH ca vyupaSamaH ca yat-uta
   smṛtivinayenādhikaraṇaḥśamathenaḥ? yathāpitad āyuṣmān dravyo mallaputraḥ	smRti-vinayena-aDikaraNaH-SamaTenaH? yaTApitat AyuzmAn dravyaH malla-putraH
   mitrayā bhikṣuṇyā abhūtenābhyākhyātaḥ; tam enaṃ bhikṣavas tena vastunā	mitrayA BikzuNyA aBUtena-aByAKyAtaH; tam enam BikzavaH tena vastunA
   codayanti; sa tena vastunā ḥcodyamānoḥ jihreti; etat prakaraṇaṃ bhikṣavo	codayanti; sa tena vastunA HcodyamAnoH jihreti; etat prakaraNam BikzavaH-
   bhagavata ārocayanti; bhagavān āha: dadata bhikṣavo dravyasya	BagavataH Arocayanti; BagavAn Aha: dadata BikzavaH dravyasya
   mallaputrasya smṛtivinayam iti punar anyo 'py evaṃjātīya evaṃ ca punar	malla-putrasya smRti-vinayam iti punar anyaH api evaMjAtIyaH evam ca punar-
   dātavyaḥ; śayanāsanaprajñaptiṃ kṛtvā gaṇḍīm ākoṭya pṛṣṭhavācikayā bhikṣūn	dAtavyaH; Sayana-Asana-prajQaptim kRtvA gaNxIm Akowya pRzWa-vAcikayA BikzUn
   samanuyujya sarvasaṃghe saṃniṣaṇṇe saṃnipatite (Adhik-v 96) dravyeṇa	samanuyujya sarva-saMGe saMnizaNNe saMnipatite (a-aDik-u 96) dravyeNa
   mallaputreṇa ekāṃśam uttarāsaṅgaṃ kṛtvā utkuṭukena sthitvā añjaliṃ	malla-putreNa eka-aMSam uttarAsaFgam kRtvA utkuwukena sTitvA aQjalim
   pragṛhya idaṃ syād vedanīyam: śrṇotu bhadantāḥ saṃghaḥ, ahaṃ dravyo	pragRhya idam syAt vedanIyam: SrNotu BadantAH saMGaH, aham dravyaH-
   mallaputro mitrayā bhikṣuṇyā abhūtenābhyākhyātaḥ; taṃ māṃ bhikṣavas tena	malla-putraH mitrayA BikzuNyA aBUtena-aByAKyAtaH; tam mAm BikzavaH tena
   vastunā codayanti; so 'haṃ tena vastunā codyamānaḥ saṃghāt smṛtivinayaṃ	vastunA codayanti; saH aham tena vastunA codyamAnaH saMGAt smRti-vinayam
   yāce; dadātu bhadantāḥ saṃghaḥ mama dravyasya mallaputrasya smṛtivinayam	yAce; dadAtu BadantAH saMGaH mama dravyasya malla-putrasya smRti-vinayam
   anukampām upādāya; evaṃ dvir apy evaṃ trir api; tataḥ paścād ekena	anukampAm upAdAya; evam dvis api evam tris api; tatas paScAt ekena
   bhikṣuṇā jñaptiṃ kṛtvā karma kartavyam; śrṇotu bhadantāḥ saṃghaḥ, ayaṃ	BikzuNA jQaptim kRtvA karma kartavyam; SrNotu BadantAH saMGaH, ayam
   dravyo mallaputro mitrayā bhikṣuṇyā abhūtenābhyākhyātaḥ; tam enaṃ	dravyaH malla-putraH mitrayA BikzuNyA aBUtena-aByAKyAtaH; tam enam
   bhikṣavas tena vastunā codayanti; so 'yaṃ tena vastunā codyamānaḥ saṃghān	BikzavaH tena vastunA codayanti; saH ayam tena vastunA codyamAnaH saMGAn
   smṛtivinayaṃ yācate; sacet saṃghasya prāptakālaṃ kṣametānujānīyāt saṃgho	smRti-vinayam yAcate; saced saMGasya prApta-kAlam kzameta-anujAnIyAt saMGaH-
   yat saṃghaḥ dravyasya mallaputrasya smṛtivinayaṃ dadyāt ity eṣā jñaptiḥ;	yat saMGaH dravyasya malla-putrasya smRti-vinayam dadyAt iti ezA jQaptiH;
   karma kartavyam; śṛṇotu bhadantāḥ saṃghaḥ, ayaṃ dravyo mallaputro mitrayā	karma kartavyam; SRNotu BadantAH saMGaH, ayam dravyaH malla-putraH mitrayA
   bhikṣuṇyā abhūtenābhyākhyātaḥ; tam enaṃ bhikṣavas tena vastunā codayanti;	BikzuNyA aBUtena-aByAKyAtaH; tam enam BikzavaH tena vastunA codayanti;
   so 'yaṃ tena vastunā codyamānaḥ saṃghāt smṛtivinayaṃ yācate; tat saṃgho	saH ayam tena vastunA codyamAnaH saMGAt smRti-vinayam yAcate; tat saMGaH-
   dravyasya mallaputrasya smṛtivinayaṃ dadāti; yeṣām āyuṣmatāṃ kṣamate	dravyasya malla-putrasya smRti-vinayam dadAti; yezAm AyuzmatAm kzamate
   dravyasya mallaputrasya smṛtivinayaṃ dātuṃ te tūṣṇīm; na kṣamate,	dravyasya malla-putrasya smRti-vinayam dAtum te tUzNIm; na kzamate,
   bhāśantām; ḥiyam prathamā karmavācanā; evaṃ dvitīyā tṛtīyā karmavācanā	BASantAm; Hiyam praTamA karma-vAcanA; evam dvitIyA tRtIyA karma-vAcanA
   kartavyāḥ; dattaḥ saṃghena dravyasya mallaputrasya smṛtivinayaḥ; kṣāntam	kartavyAH; dattaH saMGena dravyasya malla-putrasya smRti-vinayaH; kzAntam
   anujñātaṃ saṃgheḥnaḥ yasmāt tūṣṇīm; evam etad dhārayāmi	anujQAtam saMGeHnaH yasmAt tUzNIm; evam etat DArayAmi
   Three forms of smṛtivinaya not legally valid	Three fA-Urms of smRti-vinaya na-ut legallI valid
        trīṇy adhārmikāṇi smṛtivinayadānāni, trīṇi dhārmikāṇi; trīṇy	trINi aDArmikANi smRti-vinaya-dAnAni, trINi DArmikANi; trINi-
   adhārmikāṇi smṛtivinayadānāni ḥkatamāni?ḥ yathāpitad bhikṣuḥ pārājikām	aDArmikANi smRti-vinaya-dAnAni Hkata-mAni?H yaTApitat BikzuH pArAjikAm
   āpattim āpannaḥ, tam enaṃ bhikṣavas tena vastunā codayanti, sa tena	Apattim ApannaH, tam enam BikzavaH tena vastunA codayanti, sa tena
   vastunā codyamānaḥ saṃghāt smṛtivinayaṃ yācate, (Adhik-v 97) tasya saṃghaḥ	vastunA codyamAnaH saMGAt smRti-vinayam yAcate, (a-aDik-u 97) tasya saMGaH
   smṛtivinayaṃ dadyāt; adhārmikaṃ smṛtivinayadānam; tat kasya ketoḥ?	smRti-vinayam dadyAt; aDArmikam smRti-vinaya-dAnam; tat kasya ketoH?
   nāśanārhaḥ sa; yathāpitad bhikṣuḥ saṃghāvaśeṣāṃ pāyattikāṃ pratideśanikāṃ	nASana-arhaH sa; yaTApitat BikzuH saMGa-avaSezAm pAyattikAm pratideSa-nikAm
   duṣkṛtām āpattim apannaḥ tam (A 345b) enaṃ bhikṣavas tena vastunā	duzkRtAm Apattim apannaH tam (A 345b) enam BikzavaH tena vastunA
   codayanti; sa tena vastunā codyamānaḥ saṃghāt smṛtivinayaṃ yācate; tasya	codayanti; sa tena vastunA codyamAnaH saMGAt smRti-vinayam yAcate; tasya
   saṃghaḥ smṛtivinayaṃ dadāti, adhārmikaṃ smṛtivinayadānaṃ; tat kasya hetoḥ?	saMGaH smRti-vinayam dadAti, aDArmikam smRti-vinaya-dAnan; tat kasya hetoH?
   deśanārhaḥ sa; yathāpitat sekatena bhikṣuṇā nagnenonmattakena	deSanA-arhaH sa; yaTApitat sekatena BikzuNA nagnena-unmattakena
   kṣiptacittena vedanābhinunnena bahv aśrāmaṇakam anānulomikam ācaritaṃ	kzipta-cittena vedanA-aBinunnena bahu aSrAmaNakam anAnulomikam Acaritam
   bhāṣitaṃ parākrāntam, lālā vāhitā, akṣiṇī visphārite, mukhaṃ vibhaṇḍitam,	BAzitam parAkrAntam, lAlA vAhitA, akziNI visPArite, muKam viBaNxitam,
   asuptena supta iti matam, parair apravyāhṛtena pravyāhṛta iti matam; tena	asuptena suptaH iti matam, parEH apravyAhRtena pravyAhRtaH iti matam; tena
   cāpareṇa samayena svacittaṃ pratilabdham; tam enaṃ bhikṣavas tena vastunā	ca-apareNa samayena sva-cittam pratilabDam; tam enam BikzavaH tena vastunA
   codayanti, ḥsa tena vastunā codyamānaḥ saṃghāt smṛtivinayaṃ yācateḥ;	codayanti, Hsa tena vastunA codyamAnaH saMGAt smRti-vinayam yAcateH;
   saṃghaḥ smṛtivinayaṃ dadāti; adhārmikaṃ smṛtivinayadānam; tat kasya hetoḥ?	saMGaH smRti-vinayam dadAti; aDArmikam smRti-vinaya-dAnam; tat kasya hetoH?
   amūḍhavinayārhaḥ sa; yathāpitad vastuko bhikṣuḥ saṃghamadhye āpattim	amUXa-vinaya-arhaH sa; yaTApitat vastukaH BikzuH saMGa-maDye Apattim
   avajānāti, avajñāya pratijānāti, pratijñāya punar apy avajānāti, ḥtasya	avajAnAti, avajQAya pratijAnAti, pratijQAya punar api avajAnAti, Htasya
   bhikṣavaḥ smṛtivinayaṃ dadati, adhārmikaṃ smṛtivinayadānam; tat kasya	BikzavaH smRti-vinayam dadati, aDArmikam smRti-vinaya-dAnam; tat kasya
   hetoḥ?ḥ tatsvabhāvaiṣīyārhaḥ sa; itīmāmi trīṇy adhārmikāṇi	hetoH?H tad-svaBAva-ezIya-arhaH sa; iti-imAmi trINi aDArmikANi
   smṛtivinayadānāni (Adhik-v 98)	smRti-vinaya-dAnAni (a-aDik-u 98)
   Three forms of smṛtivinaya legally valid	Three fA-Urms of smRti-vinaya legallI valid
        ḥtrīṇi dhārmikāṇi smṛtivinayadānāni katamāni?ḥ yathāpitad dravyo	HtrINi DArmikANi smRti-vinaya-dAnAni katamAni?H yaTApitat dravyaH-
   mallaputro mitrayā bhikṣuṇyā abhūtenābhyākhyātaḥ; tam enaṃ bhikṣavas tena	malla-putraH mitrayA BikzuNyA aBUtena-aByAKyAtaH; tam enam BikzavaH tena
   vastunā codayanti; sa tena vastunā codyamānaḥ saṃghāt smṛtivinayaṃ yācate;	vastunA codayanti; sa tena vastunA codyamAnaH saMGAt smRti-vinayam yAcate;
   tasya saṃghaḥ smṛtivinayaṃ dadāti; dhārmikaṃ smṛtivinayadānam; yathāpitad	tasya saMGaH smRti-vinayam dadAti; DArmikam smRti-vinaya-dAnam; yaTApitat-
   bhikṣur anyām evāpattim āpanno bhavati; tam enaṃ bhikṣavo 'nyena vastunā	BikzuH anyAm eva-Apattim ApannaH Bavati; tam enam BikzavaH anyena vastunA
   codayanti; sa tena vastunā codyamānaḥ saṃghāt smṛtivinayaṃ yācate; tasya	codayanti; sa tena vastunA codyamAnaH saMGAt smRti-vinayam yAcate; tasya
   saṃghaḥ smṛtivinayaṃ dadāti; dhārmikaṃ smṛtivinayadānam; yathāpitad	saMGaH smRti-vinayam dadAti; DArmikam smRti-vinaya-dAnam; yaTApitat-
   bhikṣur āpattim āpanno bhavati; sā tena bhikṣoḥ purastād deśitā bhavati	BikzuH Apattim ApannaH Bavati; sA tena BikzoH purastAt deSitA Bavati
   pratikṛtā vā; tam enam bhikṣavas tena vastunā codayanti, sa tena vastunā	pratikRtAH vA; tam enam BikzavaH tena vastunA codayanti, sa tena vastunA
   codyamānaḥ saṃghāt smṛtivinayaṃ yācate, tasya saṃghaḥ smṛtivinayaṃ dadāti,	codyamAnaH saMGAt smRti-vinayam yAcate, tasya saMGaH smRti-vinayam dadAti,
