   āryaśālistambakamahāyānasūtraṭīkā	Arya-SAli-stambaka-mahAyAna-sUtrawIkA
   parīttābha-apramāṇābha-ābhāsvarāḥ | tṛtīyestu	parItta-ABa-a-pramANa-ABa-A-BAsvarAH | tRtIyeH-tu
   parīttaśubha-apramāṇaśubha-śubhakṛtsnāḥ | caturthe	parIttaSu-Ba-a-pramANa-SuBa-SuBa-kRtsnAH | caturTe
   -anabhraka-puṇyaprasava-bṛhatphalāḥ | śuddhāvāsāstu	-anaBraka-puNya-prasava--bRhat-PalAH | SudDAvAsAH-tu
   avṛha-atapa-sudarśana-sudṛga-kaniṣṭhāḥ |	avRha-a-tapa--su-darSana--su-dRS-a-ka-nizWAH |
   caturdhyānabhūmayaḥ-savitarka-avitarka-sukha-upekṣāsaṃprayuktāḥ-dhyānāntara-anāgamyabhūmaya	catur-DyAna-BUmayaH--sa-vitarka--avitarka--suKa--upekzA-saMprayuktAH-DyAna-antara-ana-agami-aBUmaya
   imā yā ajñānam, adarśanam, anabhisamitā imā apyavidyetyucyante | yāśca	imAH yAH ajQAnam, adarSanam, anaBisamitAH imAH api-avidyA-iti-ucyante | yAH-ca
   nāmamātraṃ saṃjñāvabhāsa-vijñapti-vikalpodbhavāḥ catasra ārūpyasamāpattaya	nAma-mAtram saMjQA-avaBAsa--vijQapti-vikalpa-udBavAH catasraH ArUpya-samApattaya
   ākāśa-vijñānākiñcana-naivasaṃjñānāsaṃjñāyatanam	AkASa-vijQAna-AkiQcana-na-eva-saMjQAna-asaMjQA-Ayatanam
   yaccājñāna-anabhisamiti-adarśana-midamapyavidyetyucyate | tasmādeva	yat-ca-ajQAna--anaBi-samiti-adarSa-na-m-idam-api-avidyA-iti-ucyate | tasmAt-eva
   bhagavatā-	BagavatA-
   caturdhyānānyānāgamyamāntarā bhūmayastathā |	catur-DyAnAn-yAna-agamyam-AntarAH BUmayaH-taTA |
   ārūpyāyāḥ samāpatteḥ pṛthaksaṃjñācatuṣṭayam |	ArUpyAyAH samApatteH pRTak-saMjQA-catuzwayam |
   caturbhuvo viśuddhīnāṃ daśabhūdeśanātmikam |	caturBuvaH viSudDInAm daSa-BUdeSana-Atmikam |
   maheśaprāptisaṃsthānaṃ tattu nānyattridhātutaḥ |	maheSa-prApti-saMsTAnam tat-tu na-anyat-triDA-tutaH |
   svacittayogayogeśo viśuddhayudbhavabhūstathā |	sva-citta-yoga-yoga-ISaH viSudDayudBavaBUH-taTA |
   jñānaṃ samādhiḥ rūpaṃ ca vaśitāprativedinaḥ | ityuktam |	jQAnam samADiH rUpam ca vaSitA-prativedinaH | iti-uktam |
   tatrāpi yadakliṣṭamajñānam, adarśanam, anabhisaṃmatam,	tatra-api yat-aklizwam-ajQAnam, adarSanam, anaBisaMmatam,
   anavabodhabhāvanāmārga-jñānotpāda-bādhakaṃ tadapyavidyā ityucyate |	anavaboDa-BAvanA-mArga--jQAna-utpAda--bADakam tat-api-avidyA iti-ucyate |
   tasmādavidyātamastimirapaṭalena nayanāvṛtatvād viṣayeṣu	tasmAt-avidyA-tamaH-timira-pawalena nayana-AvRta-tvAt vizayezu
   rūpa-śabda-gandha-rasa-sparśa-dharmākāravijñaptiviparyaya-vikalpavāsanāvabhāsatvena	rUpa--Sabda--ganDa--rasa--sparSa--Darma-AkAra-vijQapti-viparyaya--vikalpa-vAsanA-avaBAsa-tvena
   nitya-ātma-sukha-śucyādi-viparyāsatvād rāga-dveṣa-moha-vistārād rāgajaṃ	nitya--Atma--suKa--Suci-Adi--viparyAsa-tvAt rAga--dveza--moha--vistArAt rAga-jam
   karmāpi abhisaṃskaroti | iṣṭavighātakatvād dveṣotpannaṃ karmāpi	karma-api aBisaMskaroti | izwa-viGAtaka-tvAt dveza-utpannam karma-api
   abhisaṃskaroti | amārge mārgasaṃjñatvād, aśuciṣu śucisaṃjñatvād, amuktau	aBisaMskaroti | amArge mArga-saMjQa-tvAd, aSucizu Suci-saMjQa-tvAd, amuktO
   mukti saṃjñatvācca mohajamapi abhisaṃskaroti | taddvayavyāvṛttyā	mukti saMjQa-tvAt-ca moha-jam-api aBisaMskaroti | tad-dvaya-vyAvRttyA
   aniñjyamapi abhisaṃskaroti |	aniQjyam-api aBisaMskaroti |
   tatpratyayāt tannidānācca vidyāyāṃ	tad-pratyayAt tat-nidAnAt-ca vidyAyAm
   rāga-dveṣa-moha-ahaṃkāra-dṛṣṭi-saṃśaya-īrṣyā-mātsaryānugāmanād	rAga--dveza--moha--ahaMkAra--dRzwi--saMSaya--IrzyA--mAtsarya-anugAmanAt-
   akuśala-kāyakarmata ātmano jñānasya ca paritrāṇārtha prāṇātipātaḥ	akuSala-kAya-karmataH AtmanaH jQAnasya ca paritrANa-arTa prANa-atipAtaH
   adattādānaṃ, kāmamithyācāraḥ, unmādahetukaṃ madyapānam	adatta-AdAnaM, kAma-miTyA-AcAraH, unmAda-hetukam madya-pAnam
   anyathā-nīpsita-vipākābhinirvartanamapi abhisaṃskaroti | vāco	anyaTA-a-nIpsita--vipAka-aBinirvartanam-api aBisaMskaroti | vAcaH-
   mṛṣāvāda-paiśunya-pāruṣya-pralāpairaniṣṭavipākābhinirvartanamapi	mRzA-vAda--pESunya--pAruzya--pralApEH-anizwa-vipAka-aBinirvartanam-api
   abhisaṃskaroti | mānasa-karmaṇo 'bhidhyā-vyāpāda-mithyādṛṣṭi-samprayogo	aBisaMskaroti | mAnasa-karmaNaH aBiDyA--vyApAda--miTyA-dRzwi--samprayogaH-
   'pi abhisaṃskaroti | kāya-vāk-citta-duścarita-dharma-samādāna-hetubhiḥ	api aBisaMskaroti | kAya--vAk--citta-duScarita--Darma--samAdAna--hetuBiH
   sattvāḥ naraka-preta-tiryag-deva-manuṣyāsureṣu utpatsyante |	sattvAH naraka-preta-tiryag--deva--manuzya-asurezu utpatsyante |
   tasmāda-jñāna-viṣaye rāga-dveṣa mohādiḥ pratyakṣaḥ, ityuktam | tatra	tasmAt-a-jQAna--vizaye rAga--dveza moha-AdiH pratyakzaH, iti-uktam | tatra
   avidyayā iti avidyā-pratyayena saṃskārabhāvābhisaṃskāritvād vibhāvitaṃ	avidyayA iti avidyA--pratyayena saMskAra-BAva-aBisaMskAri-tvAt viBAvitam
   saṃskārabhāva-prativijñaptisvabhāvaṃ vijñānamabhinirvartate | tasmādeva	saMskAra-BAva--prativijQapti-svaBAvam vijQAnam-aBinirvartate | tasmAt-eva
   tataḥ saṃskṛtabhāvānāṃ jñaptirvijñānasaṃbhavā |	tatas saMskRta-BAvAnAm jQaptiH-vijQAna-saMBavAH |
   iti uktam | tataḥ iti tu saṃskāramāśritya bhāvānāṃ vijñaptiriti tu	iti uktam | tatas iti tu saMskAram-ASritya BAvAnAm vijQaptiH-iti tu
   vijñāpakatvād vijñaptiḥ | vijñāne karmavāsanā-sthāpanam ityadhivacanam |	vijQApaka-tvAt vijQaptiH | vijQAne karma-vAsanA--sTApanam iti-aDivacanam |
   vijñānena sahodbhūtāścatusskandhā arūpiṇaḥ |	vijQAnena saha-udBUtAH-catusskanDAH arUpiNaH |
   iti vijñānena sahodgatā iti tu vijñānasya hetuta udbhūtāḥ | catuḥskandhā	iti vijQAnena saha-udgatAH iti tu vijQAnasya hetutaH udBUtAH | catur-skanDA
   arūpiṇaḥ | iti tu catvāro vijñāna-skandhāḥ	arUpiNaH | iti tu catvAraH vijQAna--skanDAH
   vedanā-saṃjñā-saṃskāra-vijñānamityādayaḥ |	vedanA--saMjQA--saMskAra-vijQAnam-ityAdayaH |
   arūpiṇastu-bhūta-bhautika-saṃcayākāra-rahitatvāt santi, na tu nityam |	arUpiNA-stu--BUta-BOtika--saMcaya-AkAra--rahita-tvAt santi, na tu nityam |
   atha kimiti cet? cittacaitasikasvabhāvo 'sti | skandhatvaṃ tu	aTa kim-iti cet? citta-cEtasika-svaBAvaH asti | skanDa-tvam tu
   vipula-dravyātmakatvāt | rūpaṃ tu dhātucatuṣṭayam |	vipula--dravya-Atmaka-tvAt | rUpam tu DAtu-catuzwayam |
   pitṛmātṛ-śukraśoṇitodbhūtāḥ pṛthivyāpte-jovāyudhātavaḥ | tān saṃgṛhya	pitR-mAtR--Sukra-SoNita-udBUtAH pRTivI-Apte--jaH-vAyu-DAtavaH | tAn saMgRhya
   vijñānapratyayaṃ nāmarūpamityucyate |	vijQAna-pratyayam nAma-rUpam-iti-ucyate |
   nāmarūpamupādāya cendriyāyatanodbhavaḥ |	nAma-rUpam-upAdAya ca-indriya-Ayatana-udBavaH |
   iti yatpūrvaṃ indriye satṛṣṇavāsanānāmarūpaṃ sthāpitaṃ tannāmarūpaṃ	iti yat-pUrvam indriye sa-tRzNa-vAsanAnAma-rUpam sTApitam tad-nAma-rUpam
   saṃniśritya cakṣurādi-ṣaḍindriyābhinirvartanena indriyasya ṣaḍāyatanāni	saMniSritya cakzuH-Adi--zaz-indriya-aBinirvartanena indriyasya zaz-AyatanAni
   prādurbhavantīti | indriya-ṣaḍāyatanāni ṣaḍvijñānāśritāni |	prAdurBavanti-iti | indriya--zaz-AyatanAni zaz-vijQAna-ASritAni |
   rūpādi-viṣayālambana-vijñaptyavabhāsagrahaṇa-svabhāvānāmabhinirvartanād	rUpa-Adi--vizaya-Alambana--vijQapti-avaBAsa-grahaNa--svaBAvAnAm-aBinirvartanAt-
   bhagavatā	BagavatA
   nāmarūpasaṃniśritānīndriyāṇi ṣaḍāyatanamityuktam |	nAma-rUpa-saMniSritAni-indriyANi zaz-Ayatanam-iti-uktam |
   viṣayendriyavijñāna-saṃghātāt sparśa sambhavaḥ |	vizaya-indriya-vijQAna--saMGAtAt sparSa samBavaH |
   ṣaḍindriyāyatanam apekṣya viṣayeṣu indriyavijñānasaṃnipātāt sparśaḥ |	zaz-indriya-Ayatanam apekzya vizayezu indriya-vijQAna-saMnipAtAt sparSaH |
   indriyavijñānaṃ rūpādiviṣayeṣu sparśa iva nirāntarameva pravartate | atra	indriya-vijQAnam rUpa-Adi-vizayezu sparSaH iva nirAntaram-eva pravartate | atra
   sparśastu kiñcidapi nāsti | asaṃcita-pañcavijñānāni saṃcita viṣayendriyaiḥ	sparSaH-tu kiQcid-api na-asti | asaMcita--paQca-vijQAnAni saMcita vizaya-indriyEH
   saha yugapadekatra bhūtatvāt sparśavanti santi, na tu sparśa ityucyate |	saha yugapad-ekatra BUta-tvAt sparSavanti santi, na tu sparSaH iti-ucyate |
   tasmādeva bhagavatāpi trayāṇāṃ dharmāṇāṃ saṃnipātaḥ sparśa ityuktam |	tasmAt-eva BagavatA-api trayANAm DarmANAm saMnipAtaH sparSaH iti-uktam |
   ālambanāvabhāsākāreṇa sparśo jātaḥ | tadvat sparśarasāsvādaniyantraṇe	Alambana-avaBAsa-AkAreNa sparSaH jAtaH | tadvat sparSa-rasa-AsvAda-niyantraNe
   ṣaṭsparśā kāyānāśritya ṣaḍvedanākāyā utpadyante | tasmād vedanā sparśajā	zaz-sparSA kAyAn-ASritya zaz-vedanA-kAyAH utpadyante | tasmAt vedanA sparSa-jA
   jñeyā | ityuktam | vedanā tu sparśeṇa janitā sparśahetūdbhavā	jQeyA | iti-uktam | vedanA tu sparSeNa janitA sparSa-hetu-udBavA
   ityadhivacanam |	iti-aDivacanam |
   tatra vedaneti tadvedayitṛtvād vedanā | vedanānubhavaḥ |	tatra vedanA-iti tad-vedayitR-tvAt vedanA | vedanA-anuBavaH |
   sukha-duḥkha-aduḥkhāsukhā-saumanasya-daurmanasya-viśiṣṭāḥ |	suKa--duHKa-a-duHKa-asuKA--sOmanasya--dOrmanasya--viSizwAH |
   vedanāvabhāsākāravijñapti vikalpanāvaśodbhūtānāṃ trivargabhedena	vedanA-avaBAsa-AkAra-vijQapti vikalpanA-vaSa-udBUtAnAm trivarga-Bedena
   ṣaḍvedanākāyotpādād bhagavatā sparśasahabhavā vedanetyuktam | tadvat	zaz-vedanA-kAya-utpAdAt BagavatA sparSa-sahaBavAH vedanA-iti-uktam | tadvat-
   kiñcidvedanāsvādasaktā abhiniveśātmikā hi vedanāhetukī tṛṣṇeti	kiQcid-vedanA-svAda-saktA aBiniveSa-AtmikA hi vedanA-hetukI tRzNA-iti
   tṛṣṇodbhavaḥ | tasmādeva tṛṣṇa ca vedanodgatā ityuktam |	tRzNA-udBavaH | tasmAt-eva tRzNa ca vedanA-udgatAH iti-uktam |
   tṛṣṇeti tridhāturāgaḥ | rāgo 'dhyavasānam, abhilāṣaḥ,	tRzNA-iti triDAtu-rAgaH | rAgaH aDyavasAnam, aBilAzaH,
   āsaktiraviyogākāṃkṣā, nandanaṃ, prema ityadhivacanam | sā ca	AsaktiH-aviyoga-akAMkzA, nandanan, premaH iti-aDivacanam | sA ca
   indriyaviṣayavijñānabhedena tṛṣṇākāyaḥ ṣaḍdhā vyavasthāpitā |	indriya-vizaya-vijQAna-Bedena tRzNA-kAyaH zaxDA vyavasTApitA |
   tṛṣṇāvabhāsākāra-vijñapti-vaśodbhūta ṣaṭtṛṣṇā-kāyotpādāt sugatena	tRzNA-avaBAsa-AkAra-vijQapti-vaSa-udBUta zaz-tRzNA-kAya-utpAdAt sugatena
   vedanādhyavasānā tṛṣṇetyuktam | evam adhyavasita-tṛṣṇāvṛddhirupādānam |	vedanA-aDyavasAnA tRzNA-iti-uktam | evam aDyavasita-tRzNA-vRdDiH-upAdAnam |
   tasmāt tṛṣṇāvṛddhirupādānam ityuktam |	tasmAt tRzNA-vRdDiH-upAdAnam iti-uktam |
   tṛṣṇā rāgāliṅgitasya iṣṭāviyogasya hetuḥ | kuśalamakuśalama-vyākṛtādi	tRzNA rAga-AliFgitasya izwa-aviyogasya hetuH | kuSalam-akuSalam-a-vyAkRta-Adi
   tūpādānam | upādānārthena upādānam | upapañcamādānaṃ upādānam |	tu-upAdAnam | upAdAna-arTena upAdAnam | upapaQcam-AdAnam upAdAnam |
   yathāgṛhīta-svakarma-pathyadanasya paravaśād upādānādutpādaḥ punarbhava	yaTA-gRhIta--sva-karma--paTya-danasya para-vaSAt upAdAnAt-utpAdaH punar-Bava
   ityucyate | tasmādeva upādānodgato bhava ityuktam |	iti-ucyate | tasmAt-eva upAdAna-udgataH BavaH iti-uktam |
   svakarmavāsanāyā yathāvadavabhāsākāra-vijñapti-vikalpanā-vaśenodbhūtasya	sva-karma-vAsanAyAH yaTAvat-avaBAsa-AkAra--vijQapti-vikalpanA-vaSena-udBUtasya
   punarbhavasyābhinirvartanād bhava iti, purnarbhūtatvāt | yathāvat	punarBavasya-aBinirvartanAt BavaH iti, purnarBUta-tvAt | yaTAvat-
   svakarma-vāsanāvaśena iti	sva-karma-vAsanA-vaSenaH iti
   kuśalākuśalāneñjya-karmavāsanāvaśenetyadhivacanam | evaṃ karmabhavastu	kuSala-akuSalAneQjya--karma-vAsanA-vaSena-iti-aDivacanam | evam karma-BavaH-tu
   hetuḥ syāt | skandhotpādo bhavājjātaḥ | karmabhavasya taddhetoḥ	hetuH syAt | skanDa-utpAdaH BavAt-jAtaH | karma-Bavasya tad-hetoH
   skandhotpādo jātirityucyate | tatra skandhotpādastu skandhānāmutpādaḥ|	skanDa-utpAdaH jAtiH-iti-ucyate | tatra skanDa-utpAdaH-tu skanDAnAm-utpAdaH|
   dhātvāyatanaprāptirapi saṃkṣepeṇa jātirityucyate | tatra skandhastu	DAtu-Ayatana-prAptiH-api saMkzepeNa jAtiH-iti-ucyate | tatra skanDaH-tu
   anekadravyasaṃrāśyarthastu skandhārthaḥ | athavā anityatayaiva	aneka-dravya-saMrASi-arTaH-tu skanDa-arTaH | aTavA anitya-tayA-eva
   dhvaṃsatvāt, utpādānantarameva anityatārākṣasena bhakṣaṇaṃ, pratihananaṃ,	DvaMsa-tva-at, utpAda-anantaram-eva anitya-tA-rAkzasena BakzaNaM, pratihananaM,
   vināśanam ityadhivacanam | evamabhinirvṛttau utpādahetunā jātipratyayena	vinASanam iti-aDivacanam | evam-aBinirvRttO utpAda-hetunA jAti-pratyayena
   jaraiva abhinirvartate, tasmādeva jāterevaṃ jarāpi ca ityuktam |	jarA-eva aBinirvartate, tasmAt-eva jAteH-evam jarA-api ca iti-uktam |
   jātipratyayābhinirvartitaskandhānāṃ jīrṇatā tu jarā |	jAti-pratyaya-aBinirvartita-skanDAnAm jIrNa-tA tu jarA |
   daurbalya-khālitya-pālitya-balikāpūrṇatā-vibhugnatā-kubjatva-daurbalya-kharakharatva-daṇḍāvaṣṭambha	dOrbalya--KAlitya--pAlitya--balikA-pUrNa-tA--viBugna-tA-kubja-tva--dOrbalya--Kara-Kara-tva--daNxa-avazwamBa
   caryāvyakti-indriyabhraṃśa-smṛtibhraṃśāḥ iti tādṛśī tu jāti-pratyayena	caryA-vyakti--indriya-BraMSa--smRti-BraMSAH iti tAdRSI tu jAti--pratyayena
   bhinirvartita-skandhānāṃ svakarmākāriṇī	BiniH-vartita--skanDAnAm sva-karma-AkAriNI
   vijñaptyavabhāsa-vikalpanāvāsanā-vaśenotpannā jīrṇatā jaretyucyate | evaṃ	vijQapti-avaBAsa--vikalpanA-vAsanA--vaSena-utpannA jIrNa-tA jarA-iti-ucyate | evam
   jarājīrṇa-skandhānyathātvaṃ maraṇamityucyate | tasmādevoktam -	jarA-jIrNa--skanDAn-yaTAtvam maraNam-iti-ucyate | tasmAt-eva-uktam -
   skandhābhāvo jarāyā yaḥ sa mṛtyuścetyudīryate |	skanDa-aBAvaH jarAyAH yaH sa mRtyuH-ca-iti-udIryate |
   tatra jareti ślathībhūta-jarāpratyayena maraṇasaṃbhavaḥ | tatra maraṇamiti	tatra jarA-iti SlaTIBUta-jarA-pratyayena maraNa-saMBavaH | tatra maraNam-iti
   skandhānyathātvam |	skanDAnyaTAtvam |
   maraṇa-mṛta-kālakṛta-paralokagamana-saṃkrānti-gati-skandha-vidhvaṃsana-skandhanāśa-āyuḥkṣaya-jīvendriyanirodhetyetādṛśādi-saṃgraho	maraNa-mRta-kAla-kRta-para-loka-gamana--saMkrAnti--gati--skanDa--viDvaMsana-skanDanASa-a-AyuH-kzaya-jIva-indriya-niroDa-iti-etAdRSa-Adi-saMgrahaH-
   jarāmaraṇam | maraṇāvabhāsākāra-vijñaptivikalpanāvaśena udbhūtaḥ	jarA-maraNam | maraNa-avaBAsa-AkAra--vijQapti-vikalpanA-vaSena udBUtaH
   skandhanāśo maraṇam | antāvasthā, antaśayanaṃ, vijñānasaṃkramaṇaṃ,	skanDa-nASaH maraNam | anta-avasTA, anta-SayanaM, vijQAna-saMkramaNaM,
   ūṣmahāniḥ, āyurviyogaḥ, kāyikānukaulyatyāgaḥ, bhavasaṃkrāntiḥ, yaśca	Uzma-hAniH, AyuH-viyogaH, kAyika-anukOlya-tyAgaH, Bava-saMkrAntiH, yaH-ca
   vijñānāntimāvasthāśrayocchedādyutpanno bahudhāpralāpaḥ, grahaṇam,	vijQAna-antimAvasTA-ASraya-ucCeda-Adi-utpannaH bahuDA-pralApaH, grahaNam,
   daurbalyaṃ, parijīrṇatā, dainyaṃ, nirodhānirodhakaḥ, mukhadaurvarṇyaṃ,	dOrbalyaM, parijIrNa-tA, dEnyaM, niroDa-aniroDakaH, muKa-dOrvarNyaM,
   anāthatā, svakarmavikalpanodbhūta-yamapuruṣaiḥ	anATatA, sva-karma-vikalpana-udBUta-yama-puruzEH
   paraspara-samādānāvabhāsavijñaptiḥ, svalpamātrao-prāṇāvaśeṣe	paraspara--samAdAna-avaBAsa-vijQaptiH, su-alpa-mAtrao-prANa-avaSeze
   śvāsapraśvāsodbhavā aratiḥ, prakampaḥ, kaṇṭhapariśoṣaṇam, nāsikācchedaḥ,	SvAsa-praSvAsa-udBavAH aratiH, prakampaH, kaNWa-pariSozaNam, nAsikA-AcCedaH,
   svedaḥ, kledo malaṃ, svamūtroccāra-lālāśarīralepaḥ, niḥsahāyo,	svedaH, kledaH malaM, sva-mUtra-uccAra-lAlA-SarIra-lepaH, niHsahAyo,
   mahāndhakāra-prapāta-parvata-pariṣaṇḍa-gahanāṭavī-śūnyālaya-gṛha-prāsāda-ūrdhva-maṇḍapa-kūṭāgāra-agni-kuṇḍa-mahāhrada-palālaskandhagamanam	mahA-anDakAra--prapAta--parvata-parizaNxa--gahana-awavI--SUnya-Alaya--gRha--prAsAda---UrDva--maNxapa-kUwa-AgAra--agni-kuNxa--mahAhrada--palAla-skanD
   iva cittaviparyastasya skandhāntaragrahaṇaṃ maraṇamityucyate |	iva citta-viparyastasya skanDa-antara-grahaNam maraNam-iti-ucyate |
   mūḍhe tu maraṇācchokaḥ | iti satṛṣṇasya antardāhaḥ śokaḥ | antardāhaśca	mUXe tu maraNAt-SokaH | iti sa-tRzNasya antardAhaH SokaH | antardAhaH-ca
   cittaparitāpaḥ | śocanārthena śokaḥ | atha mama	citta-paritApaH | Socana-arTena SokaH | aTa mama
   priyavastu-iṣṭavastu-viyogo bhaviṣyati iti khidyamānasya santāpācchoka	priya-vastu--izwa-vastu--viyogaH Bavizyati iti KidyamAnasya santApAt-Soka
   ityucyate | yathākarmodgatākārāvabhāsa-vijñaptyābhibhūtasya	iti-ucyate | yaTA-karma-udgata-AkAra-avaBAsa--vijQaptyA-aBiBUtasya
   ānanda-bhaya-aniṣṭākārotpanno	Ananda--Baya--anizwa-AkAra-utpanno
   marmoccheda-duḥkha-citta-khedodbhūta-śokāntarotthaḥ-aho, hāhā, kiṃ, kena,	marma-ucCeda--duHKa---citta---Keda-udBUta--Soka-antara-utTaH-aho, hAhA, kiM, kena,
   katham, kutra śaraṇaṃ gatvā paśyāmi, iha gacchāmi, gato 'ham, gṛhītaḥ,	kaTam, kutra SaraNam gatvA paSyAmi, iha gacCAmi, gataH aham, gRhItaH,
   hataḥ, mṛtaḥ, bhakṣitaḥ, vinaṣṭaḥ, pranaṣṭaḥ, aho mātaḥ, aho pitaḥ,	hataH, mRtaH, BakzitaH, vinazwaH, pranazwaH, aho mAtaH, aho pitar-,
   bhrātaḥ, bhagini, putra, putri, he bhārya iti anekadhā pralāpo	BrAtaH, Bagini, putra, putri, he BAryaH iti anekaDA pralApaH-
   mithyāpadanirnādotpannaḥ pailottakasaṃtāpo daurmanasyam | tasmāt	miTyA-pada-nirnAda-utpannaH pEla-uttaka-saMtApaH dOrmanasyam | tasmAt-
   śokataścāpalāpo yo daurmanasyaṃ sa ucyate | ityuktam |	SokataH-ca-ApalApaH yaH dOrmanasyam saH ucyate | iti-uktam |
   daurmanasyasamudbhūtaṃ pañcavijñānakāyikam |	dOrmanasya-samudBUtam paQca-vijQAna-kAyikam |
   āsātaṃ duḥkhamityuktaṃ kāyasaukhyavidhātakam |	AsAtam duHKam-iti-uktam kAya-sOKya-viDAtakam |
   daurmanasya-samudbhūtam iti tu daurmanasyād eva | paṃcavijñānakāyikamiti	dOrmanasya--samudBUtam iti tu dOrmanasyAt eva | paMcavijQAna-kAyikam-iti
   tu manojña-rūpa-śabda-gandha-rasa-sparśānusmaraṇopapannaṃ	tu manojQa--rUpa--Sabda--ganDa--rasa--sparSa-anusmaraNa-upapannam
   pañcavijñānakāyaduḥkham upaghātakam |	paQca-vijQAna-kAya-duHKam upaGAtakam |
   āsātamanubhava-kāyasaukhya-vighātātmakaṃ	AsAtam-anuBava--kAya-sOKya-viGAta-Atmakam
   duḥkhākārāvabhāsa-vijñapti-vaśenodbhūtaṃ duḥkhamityucyate |	duHKa-AkAra-avaBAsa--vijQapti-vaSena-udBUtam duHKam-iti-ucyate |
   duḥkhaṃ manasikārāravyaṃ manasastūpaghātakam |	duHKam manasikAra-aravyam manasaH-tu-upaGAtakam |
   daurmanasyaṃ ca tajjñeyamanyopakleśahetu yat |	dOrmanasyam ca tat-jQeyam-anya-upakleSa-hetu yat |
   mānasaṃ sukhaṃ duḥkhañcānusmṛtya	mAnasam suKam duHKaQcA-anusmRtya
   pūrvahasana-nandana-krīḍana-vistāra-cittavikṣepādi-ayoniśomanasikārasaṃprayuktaṃ	pUrva-hasana--nandana--krIxana--vistAra--citta-vikzepa-Adi--ayoni-Somana-sikAra-saMprayuktam
   mānasaduḥkham | daurmanasyādi upa-saṃkleśajanitvād anyopakleśa hetu yat |	mAnasa-duHKam | dOrmanasya-Adi upa-saMkleSa-jani-tvAt anya-upakleSa hetu yat |
   ityuktam | yad anyadetādṛśādi upakleśaḥ, sa tu kleśo 'pyucyate, upāyāsa	iti-uktam | yat anyat-etAdRSa-Adi upakleSaH, sa tu kleSaH api-ucyate, upAyAsa
   ityucyate | tatra eṣāṃ dvādaśabhavāṅgānām anvartha nāmāni darśayituṃ -	iti-ucyate | tatra ezAm dvAdaSa-Bava-aFgAnAm anvarTa nAmAni darSayitum -
   tamo 'bhijñānāmarūpāyatasparśavittarṣataḥ | ityuktam |	tamaH aBijQAnAmarUpa-Ayata-sparSa-vittarzataH | iti-uktam |
   tatra andhakārārthenāvidyā | abhīti abhisaṃskārārthena saṃskārāḥ |	tatra anDakAra-arTena-avidyA | aBi-iti aBisaMskAra-arTena saMskArAH |
   pravaṇatvānnāma | ropaṇārthena rūpam | āyatasparśavittarṣataḥ | iti	pravaNa-tvAt-nAma | ropaNa-arTena rUpam | Ayata-sparSa-vittarzataH | iti
   āyadvārārthe nāyatanam | sparśanārthena sparśaḥ | anubhavanārthena vedanā	Aya-dvAra-arTe na-Ayatanam | sparSana-arTena sparSaH | anuBavana-arTena vedanA
   | paritarṣaṇārthena tṛṣṇā |	| paritarzaNa-arTena tRzNA |
   tṛṣṇādānabhavotpādaḥ pākanāśa viśokataḥ |	tRzNA-dAna-Bava-utpAdaH pAkanASa viSokataH |
   upādānārthena upādānam | punarbhavajananārthena bhavaḥ |	upAdAna-arTena upAdAnam | punarBava-janana-arTena BavaH |
   bhāvārthena jātiḥ, pākārthena jarā | vināśārthena maraṇam | śocanārthena	BAva-arTena jAtiH, pAka-arTena jarA | vinASa-arTena maraNam | Socana-arTena
   śokaḥ |	SokaH |
   vacanādi kāyasaṃpīḍā cittadaurmānasaṃ tathā |	vacana-Adi kAya-saMpIxA citta-dOrmAnasam taTA |
   kleśādanvarthakaṃ nāma yathākramamudīritam |	kleSAt-anvarTakam nAma yaTAkramam-udIritam |
   vacanaparidevanārthena paridevaḥ | kāyasaṃpīḍanārthena duḥkham |	vacana-paridevana-arTena paridevaH | kAya-saMpIxana-arTena duHKam |
   cittasaṃpīḍanārthena daurmanasyam | upakleśārthena upāyāsāḥ |	citta-saMpIxana-arTena dOrmanasyam | upakleSa-arTena upAyAsAH |
   punastattvāparijñetyādi tu parīkṣārthaṃ pradarśanārtham uktam |	punar-tattva-aparijQA-ityAdi tu parIkzA-arTam pradarSana-arTam uktam |
   punastattvāparijñānāda vidyāderyathākramam |	punar-tattva-aparijQAnAda vidyA-AdeH-yaTAkramam |
   pūrvapūrvebhya utpādo 'pyākhyātaścottarottaraḥ |	pUrva-pUrveByaH utpAdaH api-AKyAtaH-ca-uttara-uttaraH |
   tattvāparijñānaṃ tu apratipattirvipratipattiśca |	tattva-aparijQAnam tu apratipattiH-vipratipattiH-ca |
   ayoniśomanasikārahetutvād ajñānamaṃ avidyā | avidyāyāṃ satyāṃ vibhinnāḥ	ayoni-Somana-sikAra-hetu-tvAt ajQAnam-am avidyA | avidyAyAm satyAm viBinnAH
   saṃskārā abhinirvartante puṇyopagāḥ, apuṇyopagāḥ, āneñjyopagāḥ| tatra	saMskArAH aBinirvartante puNya-upagAH, apuNya-upagAH, Anen-jya-upagAH| tatra
   puṇyopagānāṃ saṃskārāṇāṃ puṇyopagameva vijñānaṃ bhavati | apuṇyopagānāṃ	puNya-upagAnAm saMskArANAm puNya-upagamA-iva vijQAnam Bavati | apuNya-upagAnAm
