   bodhicittotpādasūtraśāstra	boDi-citta-utpAda-sUtra-SAstra
   nirantaramanucchinnam | paripālayati sattvānaprameyaduḥkhaduḥkhitān |	nirantaram-anucCinnam | paripAlayati sattvAn-aprameya-duHKa-duHKitAn |
   avabhāsayati sarvamavidyāmohāndhakāram | bhinatti caturo mārānmārakarmāṇi	avaBAsayati sarvam-avidyA-moha-anDakAram | Binatti caturaH mArAn-mAra-karmANi
   ca | nāśāyati sarva tīrthikāṇāṃ mithyādṭaṣṭim | nirvāpayati sarvaṃ	ca | nASAyati sarva tIrTikANAm miTyAt-wazwim | nirvApayati sarvam
   kleśamahājvanalam | apanayati [avidyā-]pratyayajanitānsaṃskārān | chinatti	kleSa-mahA-jvanalam | apanayati [avidyA-]pratyaya-janitAn-saMskArAn | Cinatti
   lobhaṃ mātsaryaṃ śīlabhedaṃ dveṣaṃ kausīdyaṃ vikṣepaṃ mūḍhatāṃ (ca) ṣaḍ	loBam mAtsaryam SIlaBedam dvezam kOsIdyam vikzepam mUXa-tAm (ca) zaz-
   guruvyādhīn | apanayati karmāvaraṇaṃ vipakāvaraṇaṃ kleśāvaraṇaṃ	guru-vyADIn | apanayati karma-AvaraNam vipaka-AvaraNam kleSa-AvaraNam
   dṭaṣṭyāvaraṇamavidyāvaraṇaṃ jñānāvaraṇaṃbhāvānāvaraṇaṃ | saṃkṣepata ucyate	dwazwi-AvaraNam-avidyA-AvaraNam jQAna-AvaraNaMBAvAn-AvaraNam | saMkzepataH ucyate
   | idaṃ sūtraṃ nirvāpayati niravaśeṣaṃ sarvākuśaladharmān | samedhayati	| idam sUtram nirvApayati niravaSezam sarva-akuSala-DarmAn | sameDayati
   sarvakuśaladharmāgniskandham | kulaputrāḥ kuladuhitaraścetsūtramidaṃ	sarva-kuSala-Darma-agni-skanDam | kula-putrAH kula-duhitaraH-ced-sUtram-idam
   śrutvārocayantyanumodayantyāścaryacittamutpādayanti jñātavyaṃ taiḥ pūjitā	SrutvA-Arocayanti-anumodayanti-AScarya-cittam-utpAdayanti jQAtavyam tEH pUjitA
   aprameyā buddhāḥ | gambhīramavaropitaṃ kuśalamūlam | tatkasya hetoḥ asya	aprameyAH budDAH | gamBIram-avaropitam kuSala-mUlam | tat-kasya hetoH asya
   sūtrasya triṣvadhvasu buddhairācaritatvādyaḥ khalu (mārgā-)vacaraḥ śṛṇoti	sUtrasya trizu-aDvasu budDEH-Acarita-tvAt-yaH Kalu (mArga-a-)vacaraH SRNoti
   cedaṃ sūtraṃ svātmānaṃ dhanyaṃ manyate | labhate ca mahākuśalalābham | yaḥ	ca-idam sUtram sva-AtmAnam Danyam manyate | laBate ca mahA-kuSala-lABam | yaH
   kaścillikhatīdaṃ vācayatīdaṃ sūtraṃ jñātavyaṃ sa puruṣaḥ	kaScid-liKati-idam vAcayati-idam sUtram jQAtavyam sa puruzaH
   prāpnotyaprameyamaparyantaṃ puṇyaphalavipākam | tatkasya hetoḥ | asya	prApnoti-aprameyam-aparyantam puNya-Pala-vipAkam | tat-kasya hetoH | asya
   sūtrasyāparyantā	sUtrasya-aparyantA
   lambanatvādapramayamahāpraṇidhānotpādakatvātsarvasattvānugrāhakatvādanuttarasambodhiniṣpādakatvāllabdhaḥ	lambana-tvAt-apramaya-mahA-praNiDAna-utpAdaka-tvAt-sarva-sattva-anugrAhaka-tvAt-anuttara-samboDi-nizpAdaka-tvAt-labDaH
   puṇyaphalavipāko 'pyevayameyaḥ | yadi kaścidavabudhyārthaṃ tathācarati	puNya-Pala-vipAkaH api-evayameyaH | yadi kaScid-avabuDya-arTam taTA-Acarati
   yathā sarvabuddhairasaṃkhyeyeṣu kalpeṣvakṣayaprajñayā bhāṣitaṃ tasya	yaTA sarva-budDEH-asaMKyeyezu kalpezu-akzaya-prajQayA BAzitam tasya
   puṇyaphalavipāko 'pyakṣayo bhavati | yasminpradeśe dharmaśāstā deśayatīdaṃ	puNya-Pala-vipAkaH api-akzayaH Bavati | yasmin-pradeSe Darma-SAstA deSayati-idam
   sūtraṃ jñātavyaṃ tasminpradeśe stūpaḥ kārayitavyaḥ | kasmāt |	sUtram jQAtavyam tasmin-pradeSe stUpaH kArayitavyaH | kasmAt |
   samyagdharmasya tatra janitatvāt | edaṃ sūtraṃ yasmindeśe nagarai grāme	samyak-Darmasya tatra janita-tvAt | edam sUtram yasmin-deSe nagarEH grAme
   vihāre kuṭayāṃ vā bhavati jñātavyaṃ tatra bhavati [3 tathāgatasya]	vihAre kuwayAm vA Bavati jQAtavyam tatra Bavati [3 taTAgatasya]
   dharmakāyaḥ | yadi puruṣaḥ pūjayati gandhapuṣpaiḥ saṃgītena vitānena	Darma-kAyaH | yadi puruzaH pUjayati ganDa-puzpEH saMgItena vitAnena
   camaracchatrairgītaiḥ stautrairnamaskāraiḥ jñātavyaṃ sa puruṣa buddhabījaṃ	camara=-CatrEH-gItEH stOtrEH-namaskArEH jQAtavyam sa puruza budDa-bIjam
   bahulikaroti ki punarvaktavyaṃ yo niravaśeṣaṃ gṛhṇati dhārayati sūtramidam	bahulikaroti ki punar-vaktavyam yaH niravaSezam gRhNati DArayati sUtram-idam
   | sa puruṣaḥ pūrayati puṇyaprajñāniṣpattimanāgate 'dhvani labhate	| sa puruzaH pUrayati puNya-prajQA-nizpattim-anAgate aDvani laBate
   vyākaraṇaṃ prāpnityanuttarāṃ samyaksambodhim ||	vyAkaraNam prApniti-anuttarAm samyaksamboDim ||
   (iti bodhicittotpādasūtraśāstre puṇyaparigraho nāma dvādaśo vargaḥ ||)	(iti boDi-citta-utpAda-sUtra-SAstre puNyaparigrahaH nAma dvAdaSaH vargaH ||)
   pariniṣṭhitaṃ bodhicittotpādasūtraśāstram ||	parinizWitam boDi-citta-utpAda-sUtra-SAstram ||
