   akāmaḥ svayam arjitam Vi_18.43d	akAmaH svayam arjitam Vi_18.43d
   śeṣaṃ vastreṇa śodhayet Vi_23.44d	Sezam vastreNa SoDayet Vi_23.44d
   śeṣāṇāṃ mantravarjitam Vi_75.7d	SezANAm mantra-varjitam Vi_75.7d
   śeṣāhiphaṇaratnāṃśu- Vi_1.41a	Seza-ahi-PaNa-ratna-aMSu Vi_1.41a
   śokaṃ tyaktvā nirarthakam Vi_20.36d	Sokam tyaktvA nirarTakam Vi_20.36d
   śocadbhir atha vā na vā Vi_20.31d	SocadBiH aTa vA na vA Vi_20.31d
   śocanto nopakurvanti Vi_20.30a	SocantaH na-upakurvanti Vi_20.30a
   śaucaṃ nityam atandritam Vi_23.42d	SOcam nityam atandritam Vi_23.42d
   śyeno gṛdhrāṇāṃ svadhitir vanānāṃ Vi_48.6c	SyenaH gRDrANAm svaDitiH vanAnAm Vi_48.6c
   śraddadhānaḥ samāhitaḥ Vi_88.4d	SraddaDAnaH samAhitaH Vi_88.4d
   śraddhadhāno 'nasūyaś ca Vi_71.93c	SradDaDAnaH anasUyaH ca Vi_71.93c
   śraddhā ca no mā vyagamad Vi_73.28c	SradDA ca naH mA vyagamat Vi_73.28c
   śrameṇa yad upārjayet Vi_18.42b	SrameNa yat upArjayet Vi_18.42b
   śrāddham ācandratārakam Vi_77.9b	SrAdDam AcandratArakam Vi_77.9b
   śrāddham eteṣu yad dattaṃ Vi_77.7c	SrAdDam etezu yat dattam Vi_77.7c
   śrāddham eteṣv akurvāṇo Vi_76.2c	SrAdDam etezu akurvANaH Vi_76.2c
   śrāddhaṃ kuryād vicakṣaṇaḥ Vi_75.7b	SrAdDam kuryAt vicakzaNaH Vi_75.7b
   śrāddhaṃ khalu vicakṣaṇaiḥ Vi_77.8b	SrAdDam Kalu vicakzaNEH Vi_77.8b
   śrāddhaṃ dattaṃ svabāndhavaiḥ Vi_20.35d	SrAdDam dattam sva-bAnDavEH Vi_20.35d
   śrāddhe bhuṅkte svadhāsamam Vi_20.34b	SrAdDe BuFkte svaDA-samam Vi_20.34b
   śrāddheṣu śrāvaṇīyaṃ ca Vi_100.3c	SrAdDezu SrAvaNIyam ca Vi_100.3c
   śrāvyaṃ śrotavyam eva ca Vi_100.3b	SrAvyam Srotavyam eva ca Vi_100.3b
   śriyā yutaṃ taṃ pravadanti santaḥ Vi_99.8b	SriyA yutam tam pravadanti santaH Vi_99.8b
   śrutismṛtyuditaṃ dharmyaṃ Vi_71.90a	Sruti-smRti-uditam Darmyam Vi_71.90a
   śleṣmāśru dūṣikā svedo Vi_22.81c	Slezma-aSru dUzikA svedaH Vi_22.81c
   śvagṛdhrair jagdhim ātmanaḥ Vi_67.40d	Sva-gRDrEH jagDim AtmanaH Vi_67.40d
   śvabhir hatasya yan māṃsaṃ Vi_23.50a	SvaBiH hatasya yat mAMsam Vi_23.50a
   śvabhiḥ śṛgālaiḥ kravyādaiḥ Vi_43.34a	SvaBiH SRgAlEH kravyAdEH Vi_43.34a
   śvasūkarāvalīḍhaṃ ca Vi_48.20a	Sva-sUkara-avalIXam ca Vi_48.20a
   śvaḥ kāryam adya kurvīta Vi_20.41a	Svas kAryam adya kurvIta Vi_20.41a
   śvā mṛgagrahaṇe śuciḥ Vi_23.49d	SvA mRga-grahaNe SuciH Vi_23.49d
   śvo dāsyāmīti sāmakam Vi_6.40b	Svas dAsyAmi-iti sAmakam Vi_6.40b
   ṣaḍaṅgam etat paramaṃ Vi_23.59a	zaz-aFgam etat paramam Vi_23.59a
   sa kīrtiyukto loke 'smin Vi_3.98c	sa kIrti-yuktaH loke asmin Vi_3.98c
   sakūrcaṃ dvādaśāṅgulam Vi_61.16b	sa-kUrcam dvAdaSa-aFgulam Vi_61.16b
   sakṛcchreṇānukāreṇa Vi_43.33c	sakRcCreNa-anukAreNa Vi_43.33c
   sakṛt spṛṣṭābhir antataḥ Vi_62.9d	sakRt spRzwABiH antatas Vi_62.9d
   sakhuraṃ śṛṅgasaṃyutam Vi_87.8b	sa-Kuram SRFga-saMyutam Vi_87.8b
   sa gacchaty uttamaṃ sthānaṃ Vi_28.47c	sa gacCati uttamam sTAnam Vi_28.47c
   sacailasnātam āhūya Vi_9.33a	sa-cEla-snAtam AhUya Vi_9.33a
   sa jīvaṃś ca mṛtaś caiva Vi_51.68c	sa jIvan ca mRtaH ca-eva Vi_51.68c
   sa tad gṛhṇīta netaraḥ Vi_17.23d	sa tat gRhNIta na-itaraH Vi_17.23d
   satām annaṃ vidhīyate Vi_67.43d	satAm annam viDIyate Vi_67.43d
   satālavṛnteṣu vibhūṣiteṣu Vi_99.13b	sa-tAlavRntezu viBUzitezu Vi_99.13b
   satāṃ dharmam anusmaran Vi_32.15d	satAm Darmam anusmaran Vi_32.15d
   sa te vakṣyaty aśeṣeṇa Vi_1.31c	sa te vakzyati aSezeNa Vi_1.31c
   sat kuryād dhārmiko nṛpaḥ Vi_14.5d	sat kuryAt DArmikaH nRpaH Vi_14.5d
   satkṛtya vidhipūrvakam Vi_67.45d	satkRtya viDi-pUrvakam Vi_67.45d
   satyam eva viśiṣyate Vi_8.36d	satyam eva viSizyate Vi_8.36d
   satyaṃ ca tulayā dhṛtam Vi_8.36b	satyam ca tulayA DRtam Vi_8.36b
   satye sthite bhūtahite niviṣṭe Vi_99.20a	satye sTite BUta-hite nivizwe Vi_99.20a
   sadā pretasya bandhubhiḥ Vi_20.37b	sadA pretasya banDuBiH Vi_20.37b
   sadā sapuṣpe sasugandhigātre Vi_99.19c	sadA sa-puzpe sa-suganDi-gAtre Vi_99.19c
   sadā sthitāhaṃ madhusūdanasya Vi_99.7c	sadA sTitA-aham maDusUdanasya Vi_99.7c
   sadyaḥ kṛte cāpy atha gomaye ca Vi_99.11a	sadyas kRte ca-api aTa gomaye ca Vi_99.11a
   santas teṣāṃ parāyaṇān Vi_1.64b	santaH tezAm parAyaNAn Vi_1.64b
   santaḥ śāstraikatatparāḥ Vi_1.47b	santaH SAstra-eka-tatparAH Vi_1.47b
   sapadmām iva kurvatīṃ Vi_1.29b	sa-padmAm iva kurvatIm Vi_1.29b
   sapiṇḍīkaraṇaṃ strīṇāṃ Vi_21.22a	sapiNxIkaraNam strINAm Vi_21.22a
   saptaśīrṣādhvaraguro Vi_1.56c	sapta-SIrza-aDvara-guraH Vi_1.56c
   saptāgāraṃ cared bhaikṣaṃ Vi_28.49c	saptAgAram caret BEkzam Vi_28.49c
   sa phalaṃ pretya ceha ca Vi_58.12d	sa Palam pretya ca-iha ca Vi_58.12d
   sa brahma param abhyeti Vi_55.16c	sa brahma param aByeti Vi_55.16c
   samayasyāviśodhanāt Vi_11.9d	samayasya-aviSoDanAt Vi_11.9d
   samarthas tatpratigrahe Vi_57.14b	samarTaH tad-pratigrahe Vi_57.14b
   samas tatra vibhāgaḥ syāj Vi_18.41c	samaH tatra viBAgaH syAt Vi_18.41c
   samāpte tūdakaṃ kṛtvā Vi_22.87c	samApte tu-udakam kRtvA Vi_22.87c
   samīpam āgatāṃ dṛṣṭvā Vi_1.30a	samIpam AgatAm dRzwvA Vi_1.30a
   samutpattiṃ ca māṃsasya Vi_51.72a	samutpattim ca mAMsasya Vi_51.72a
   samutsṛjed bhuktavatām Vi_81.22c	samutsRjet BuktavatAm Vi_81.22c
   samudram āpaḥ praviśanti yadvat Vi_72.7b	samudram ApaH praviSanti yadvat Vi_72.7b
   sa me rakṣatu sarvataḥ Vi_86.15d	sa me rakzatu sarvatas Vi_86.15d
   sa me vakṣyaty asaṃśayam Vi_1.20b	sa me vakzyati asaMSayam Vi_1.20b
   sameṣu ca guṇotkṛṣṭān Vi_8.40c	samezu ca guNa-utkRzwAn Vi_8.40c
   samau pīnau nirantarau Vi_1.24b	samO pInO nirantarO Vi_1.24b
   sa mlecchadeśo jijñeya Vi_84.4c	sa mlecCa-deSaH jijQeyaH Vi_84.4c
   sarasvatī vāg atha pāvanī ca Vi_99.4d	sarasvatI vAc aTa pAvanI ca Vi_99.4d
   sarahasyān sasaṃgrahān Vi_1.62b	sa-rahasyAn sa-saMgrahAn Vi_1.62b
   sarahasyān sasaṃgrahān Vi_1.63d	sa-rahasyAn sa-saMgrahAn Vi_1.63d
   saraḥsu ca sarobhavāḥ Vi_1.14d	saraHsu ca saraH-BavAH Vi_1.14d
   saraḥsu pūrṇeṣu tathā jaleṣu Vi_99.17a	saraHsu pUrNezu taTA jalezu Vi_99.17a
   sa rājā śakralokabhāk Vi_5.197d	sa rAjA Sakra-loka-BAj Vi_5.197d
   sarvakalmaṣanāśanam Vi_23.60b	sarva-kalmaza-nASanam Vi_23.60b
   sarvakṣetreṣu bhāvini Vi_96.98b	sarva-kzetrezu BAvini Vi_96.98b
   sarvatattvavivarjitam Vi_97.17b	sarva-tattva-vivarjitam Vi_97.17b
   sarvataḥ pratigṛhṇīyān Vi_57.13c	sarvatas pratigRhNIyAn Vi_57.13c
   sarvapāpāpanuttaye Vi_55.8b	sarva-pApa-apanuttaye Vi_55.8b
   sarvapāpāpanodakam Vi_55.7d	sarva-pApa-apanodakam Vi_55.7d
   sarvapāpāpanodakaḥ Vi_55.7b	sarva-pApa-apanodakaH Vi_55.7b
   sarvapāpaiḥ pramucyate Vi_89.4d	sarva-pApEH pramucyate Vi_89.4d
   sarvamāṃsasya bhakṣaṇāt Vi_51.72d	sarva-mAMsasya BakzaNAt Vi_51.72d
   sarvam eva nivedayet Vi_66.16b	sarvam eva nivedayet Vi_66.16b
   sarvaratnavibhūṣitam [savaratna] Vi_1.42b	sarva-ratna-viBUzitam [sava-ratna] Vi_1.42b
   sarvaratnair alaṃkṛtam Vi_87.8d	sarva-ratnEH alaMkRtam Vi_87.8d
   sarvalakṣanahīno 'pi Vi_71.93a	sarva-lakzana-hInaH api Vi_71.93a
   sarvalokapradhānāś ca Vi_20.24c	sarva-loka-praDAnAH ca Vi_20.24c
   sarva sarvābhayaprada Vi_1.55b	sarva sarva-aBaya-prade Vi_1.55b
   sarvaṃ tat tapasā sādhyaṃ Vi_95.16c	sarvam tat tapasA sADyam Vi_95.16c
   sarvaṃ tarati duṣkṛtam Vi_87.10d	sarvam tarati duzkRtam Vi_87.10d
   sarvāghaviniṣūdanam Vi_23.59d	sarva-aGa-vinizUdanam Vi_23.59d
   sarvāsu dravyaśuddhiṣu Vi_23.39d	sarvAsu dravya-SudDizu Vi_23.39d
   sarvās tasyāphalāḥ kriyāḥ Vi_31.9d	sarvAH tasya-aPalAH kriyAH Vi_31.9d
   sarve tasyādṛtā dharmā Vi_31.9a	sarve tasya-AdRtAH DarmAH Vi_31.9a
   sarve punīta me pāpaṃ Vi_48.18c	sarve punIta me pApam Vi_48.18c
   sarveṣām aparādhānāṃ Vi_5.194c	sarvezAm aparADAnAm Vi_5.194c
   sarveṣām eva śaucānām Vi_22.89a	sarvezAm eva SOcAnAm Vi_22.89a
   sarvaiḥ samuditā guṇaiḥ Vi_20.26b	sarvEH samuditA guNEH Vi_20.26b
   sa liṅgināṃ haraty enas Vi_93.13c	sa liFginAm harati enaH Vi_93.13c
   salilārṇavaśāyaka Vi_1.52d	salila-arNava-SAyakaH Vi_1.52d
   sa loke priyatāṃ yāti Vi_51.73c	sa loke priya-tAm yAti Vi_51.73c
   savatsāromatulyāni Vi_88.4a	sa-vatsA-roma-tulyAni Vi_88.4a
   sa viśuddho bhaven naraḥ Vi_11.8d	sa viSudDaH Bavet naraH Vi_11.8d
   savyāhṛtiṃ sapraṇavāṃ Vi_55.9a	sa-vyAhRtim sa-praNavAm Vi_55.9a
   saśādvalāyāṃ bhuvi padmakhaṇḍe Vi_99.17b	sa-SAdvalAyAm Buvi padma-KaNxe Vi_99.17b
   sa śāntim āpnoti na kāmakāmī Vi_72.7d	sa SAntim Apnoti na kAma-kAmI Vi_72.7d
   sa śuddhaḥ parikīrtitaḥ Vi_12.6b	sa SudDaH parikIrtitaH Vi_12.6b
   saśailavanakānanā Vi_87.9b	sa-SEla-vana-kAnanA Vi_87.9b
   saśailavanakānanāṃ Vi_1.10b	sa-SEla-vana-kAnanAm Vi_1.10b
   sasamudraguhā tena Vi_87.9a	sa-samudra-guhA tena Vi_87.9a
   sa sarvasya hitaprepsuḥ Vi_51.69c	sa sarvasya hita-prepsuH Vi_51.69c
   sasaṃtānāni śūdratāṃ Vi_26.6d	sa-saMtAnAni SUdra-tAm Vi_26.6d
   sahasrakṛtvas tv abhyasya Vi_55.13a	sahasra-kRtvas tu aByasya Vi_55.13a
   sahasrasya pramāpaṇe Vi_50.46b	sahasrasya pramApaNe Vi_50.46b
   sahasraṃ tv eṣa cottamaḥ Vi_4.14d	sahasram tu eza ca-uttamaH Vi_4.14d
   sahasrāṇi samāhitaḥ Vi_54.24b	sahasrANi samAhitaH Vi_54.24b
   sahasro mānasaḥ smṛtaḥ Vi_55.19d	sahasraH mAnasaH smRtaH Vi_55.19d
   sahāyau yasya gacchataḥ Vi_20.31b	sahAyO yasya gacCataH Vi_20.31b
   saṃkarīkaraṇaṃ kṛtvā Vi_39.2a	saMkarIkaraNam kRtvA Vi_39.2a
   saṃkare jātayas tv etāḥ Vi_16.17a	saMkare jAtayaH tu etAH Vi_16.17a
   saṃdigdhaṃ sādhayel lekhyaṃ Vi_7.12c	saMdigDam sADayet leKyam Vi_7.12c
   saṃdhyayor na ca bhasmani Vi_70.17b	saMDyayoH na ca Basmani Vi_70.17b
   saṃdhyayor vedavid vipro Vi_55.12c	saMDyayoH veda-vid vipraH Vi_55.12c
   saṃdhyārātryor na kartavyaṃ Vi_77.8a	saMDyA-rAtryoH na kartavyam Vi_77.8a
   saṃnīyāplāvya vāriṇā Vi_81.22b	saMnIya-AplAvya vAriNA Vi_81.22b
   saṃnyāsena dvijottamāḥ Vi_22.91d	saMnyAsena dvijottamAH Vi_22.91d
   saṃprītyā gṛham āgatān Vi_67.38b	saMprItyA gRham AgatAn Vi_67.38b
   saṃbhūtiṃ tasya tāṃ vidyād Vi_30.45c	saMBUtim tasya tAm vidyAt Vi_30.45c
   saṃmantrya brāhmaṇaiḥ saha Vi_5.195d	saMmantrya brAhmaNEH saha Vi_5.195d
   saṃmārjanenāñjanena Vi_23.56c	saMmArjanena-aQjanena Vi_23.56c
   saṃmṛṣṭaveśmāsu jitendriyāsu Vi_99.22a	saMmRzwa-veSmAsu jita-indriyAsu Vi_99.22a
   saṃvāhyamānāṅghriyugaṃ Vi_1.43a	saMvAhyamAna-aFGri-yugam Vi_1.43a
   saṃsṛṣṭinas tu saṃsṛṣṭī Vi_17.17a	saMsRzwinaH tu saMsRzwI Vi_17.17a
   saṃskartā copahartā ca Vi_51.74c	saMskartA ca-upahartA ca Vi_51.74c
   saṃsmāraṇe cāpy atha yatra cāhaṃ Vi_99.8c	saMsmAraNe ca-api aTa yatra ca-aham Vi_99.8c
   sā kanyā vṛṣalī jñeyā Vi_24.41c	sA kanyA vRzalI jQeyAH Vi_24.41c
   sākṣidvaidhe narādhipaḥ Vi_8.40b	sAkzi-dvEDe narADipaH Vi_8.40b
   sākṣī vā lekhako 'pi vā Vi_7.13b	sAkzI vA leKakaH api vA Vi_7.13b
   sāgamena tu bhogena Vi_5.186a	sa-Agamena tu Bogena Vi_5.186a
   sā dadarśāmṛtanidhiṃ Vi_1.34a	sA dadarSa-amRta-niDim Vi_1.34a
   sādhubhiś ca niṣevitam Vi_71.90b	sADuBiH ca nizevitam Vi_71.90b
   sādhau nare dharmaparāyaṇe ca Vi_99.17d	sADO nare Darma-parAyaNe ca Vi_99.17d
   sāmaghoṣasvano mahān Vi_1.4d	sAma-Goza-svanaH mahAn Vi_1.4d
   sāmudryaś ca samudreṣu Vi_1.14a	sAmudryaH ca samudrezu Vi_1.14a
   sāyaṃ prātas tv atithaye Vi_67.45a	sAyam prAtar tu atiTaye Vi_67.45a
   sārvavarṇikam annādyaṃ Vi_81.22a	sArvavarNikam annAdyam Vi_81.22a
   sāvitrī nātivartate Vi_27.26b	sAvitrI na-ativartate Vi_27.26b
   sāvitrīpatitā vrātyā Vi_27.27c	sAvitrIpatitA vrAtyAH Vi_27.27c
   sāvitreṇaiva tat sarvaṃ Vi_65.14c	sAvitreNa-eva tat sarvam Vi_65.14c
   sāvitryās tu paraṃ nānyan Vi_55.17c	sAvitryAH tu param na-anyan Vi_55.17c
   sā satyā sājarāmarā Vi_30.46d	sA satyA sA-ajara-amarAH Vi_30.46d
   siṃhāsane cāmalake ca bilve Vi_99.12a	siMhAsane ca-Amalake ca bilve Vi_99.12a
   sukṛtaṃ duṣkṛtaṃ cobhau Vi_20.31a	sukRtam duzkRtam ca-uBO Vi_20.31a
   sukham atyantam aśnute Vi_51.69d	suKam atyantam aSnute Vi_51.69d
   sukhāsīnā dharā tadā Vi_1.65d	suKa-AsInA DarA tadA Vi_1.65d
   sukhāsīnā nibodha tvaṃ Vi_1.65a	suKa-AsInAH niboDa tvam Vi_1.65a
   sukhena yadi jīryate Vi_13.5b	suKena yadi jIryate Vi_13.5b
   sugandhalipte ca vibhūṣite ca Vi_99.19d	suganDa-lipte ca viBUzite ca Vi_99.19d
   suguptabhāṇḍāsu balipriyāsu Vi_99.21d	su-gupta-BANxAsu bali-priyAsu Vi_99.21d
   sutaptajāmbūnadacāruvarṇāṃ Vi_99.1c	su-tapta-jAmbUnada-cAru-varNAm Vi_99.1c
   subrahmaṇyam anādhṛṣyaṃ Vi_1.59a	subrahmaNyam anADRzyam Vi_1.59a
   subhrūṃ susūkṣmadaśanāṃ Vi_1.23a	suBrUm su-sUkzma-daSanAm Vi_1.23a
   surārcanaṃ brāhmaṇapūjanaṃ ca Vi_59.29b	sura-arcanam brAhmaNa-pUjanam ca Vi_59.29b
   surāsuraguruṃ devaṃ Vi_1.60c	sura-asura-gurum devam Vi_1.60c
   suvarṇastainyam avrātyam Vi_48.22c	suvarNa-stEnyam avrAtyam Vi_48.22c
   suvarṇaṃ kāṃsyam eva ca Vi_86.17d	suvarNam kAMsyam eva ca Vi_86.17d
   suśuklāṃ tanum ūrjitām Vi_1.37b	su-SuklAm tanum UrjitAm Vi_1.37b
   suśuddhadānte malavarjite ca Vi_99.18c	su-SudDa-dAnte mala-varjite ca Vi_99.18c
   susūkṣmaśuklavasanāṃ Vi_1.28c	su-sUkzma-Sukla-vasanAm Vi_1.28c
   suhṛtsv ajihmaḥ snigdheṣu Vi_3.96c	suhRtsu ajihmaH snigDezu Vi_3.96c
   sūktaṃ vai pauruṣaṃ tataḥ Vi_65.15b	sUktam vE pOruzam tatas Vi_65.15b
   sūkṣmatvāt tadavijñeyaṃ Vi_97.18c	sUkzma-tvAt tat-avijQeyam Vi_97.18c
   sūcīkaṇṭhāḥ sudāruṇāḥ Vi_43.44b	sUcI-kaNWAH su-dAruNAH Vi_43.44b
   sūryāyutasamaprabham Vi_1.41d	sUrya-ayuta-sama-praBam Vi_1.41d
   sūryodaya upoṣitam Vi_9.33b	sUrya-udayaH upozitam Vi_9.33b
   sṛṣṭisaṃhārakāraka Vi_1.53d	sRzwi-saMhAra-kArakaH Vi_1.53d
   sṛṣṭisaṃhārakāraṇe Vi_20.27b	sRzwi-saMhAra-kAraNe Vi_20.27b
   sekenollekhanena ca Vi_23.56d	sekena-ulleKanena ca Vi_23.56d
   sevyamānaṃ samantataḥ Vi_1.43d	sevyamAnam samantataH Vi_1.43d
   sodakumbhaṃ prayacchata Vi_20.33d	sa-udakumBam prayacCate Vi_20.33d
   sodarasya tu sodaraḥ Vi_17.17b	sodarasya tu sodaraH Vi_17.17b
   somasūryāṃśumārutaiḥ Vi_23.40d	soma-sUrya-aMSu-mArutEH Vi_23.40d
   somaḥ pavitram atyeti rebhan Vi_48.6d	somaH pavitram atyeti reBan Vi_48.6d
   saubhāgyam etat paramaṃ yaśasyam Vi_100.5b	sOBAgyam etat paramam yaSasyam Vi_100.5b
   sauvarṇarājatābhyāṃ ca Vi_79.24a	sOvarNa-rAjatAByAm ca Vi_79.24a
   stutvā tv evaṃ prasannena Vi_98.102a	stutvA tu evam prasannena Vi_98.102a
   stokā vā yadi vā bahu Vi_5.184d	stokAH vA yadi vA bahu Vi_5.184d
   striyo 'py etena kalpena Vi_44.45a	striyaH api etena kalpena Vi_44.45a
   striyo rogiṇa eva ca Vi_54.33d	striyaH rogiNaH eva ca Vi_54.33d
   strībālādyavapattau ca Vi_16.18c	strI-bAla-Adi-avapattO ca Vi_16.18c
   strīrogivaracakriṇām Vi_63.50b	strI-rogi-vara-cakriNAm Vi_63.50b
   strīśūdrapatitānāṃ ca Vi_46.25a	strI-SUdra-patitAnAm ca Vi_46.25a
   strīhantṝṃś ca na saṃvaset Vi_54.32d	strI-hantLn ca na saMvaset Vi_54.32d
   sthānapālān lokapālān Vi_1.16a	sTAna-pAlAn lokapAlAn Vi_1.16a
   sthānāni vividhāni ca Vi_1.15d	sTAnAni viviDAni ca Vi_1.15d
   sthāpayitvā tathā svake Vi_1.13b	sTApayitvA taTA svake Vi_1.13b
   sthāvareṣu vasuṃdhare Vi_23.46b	sTAvarezu vasuMDare Vi_23.46b
   sthitā mṛte svargasadaḥprayāte Vi_99.15b	sTitAH mRte svarga-sadaH-prayAte Vi_99.15b
   sthitā sadā tac chṛṇu lokadhātri Vi_99.8d	sTitA sadA tat SRNu lokaDAtri Vi_99.8d
   sthitā sadāhaṃ madhusūdane ca Vi_99.22d	sTitA sa-dAham maDusUdane ca Vi_99.22d
   sthitir yasya bhaved dhruvā Vi_20.22d	sTitiH yasya Bavet DruvAH Vi_20.22d
   sthitiṃ preto na vindati Vi_20.32b	sTitim pretaH na vindati Vi_20.32b
   sthitiḥ sudīkṣā ca tathā sunītiḥ Vi_99.5b	sTitiH sudIkzA ca taTA sunItiH Vi_99.5b
   snātakavratalope ca Vi_54.29c	snAtaka-vrata-lope ca Vi_54.29c
   snāto 'dhikārī bhavati Vi_64.40a	snAtaH aDikArI Bavati Vi_64.40a
   snātvārkam arcayitvā triḥ Vi_28.51c	snAtvA-arkam arcayitvA tris Vi_28.51c
   spṛśanti bindavaḥ pādau Vi_23.54a	spRSanti bindavaH pAdO Vi_23.54a
   spṛṣṭāny antyaśvavāyasaiḥ Vi_23.41b	spRzwAni antya-Sva-vAyasEH Vi_23.41b
   spṛṣṭvaitāni na duṣyataḥ Vi_22.84d	spRzwvA-etAni na duzyataH Vi_22.84d
   svakarma parikīrtayan Vi_28.49d	sva-karma parikIrtayan Vi_28.49d
   svakāryadakṣe parakāryadakṣe Vi_99.20c	sva-kArya-dakze para-kArya-dakze Vi_99.20c
   svadāratuṣṭe nirate ca dharme Vi_99.19a	sva-dAra-tuzwe nirate ca Darme Vi_99.19a
   svadhā titikṣā vasudhā pratiṣṭhā Vi_99.5a	svaDA titikzA vasuDA pratizWA Vi_99.5a
   svapne siktvā brahmacārī Vi_28.51a	svapne siktvA brahmacArI Vi_28.51a
   svamāṃsaṃ paramāṃsena Vi_51.75a	sva-mAMsam para-mAMsena Vi_51.75a
   svayam īhitalabdhaṃ tan Vi_18.42c	svayam Ihita-labDam tat Vi_18.42c
   svayam eva svayaṃbhuvā Vi_15.44d	svayam eva svayaMBuvA Vi_15.44d
   svayam eva svayaṃbhuvā Vi_51.61b	svayam eva svayaMBuvA Vi_51.61b
   svayaṃ devena bhāṣitam Vi_100.1b	svayam devena BAzitam Vi_100.1b
   svarāṣṭro nyāyadaṇḍaḥ syād Vi_3.96a	sva-rAzwraH nyAya-daNxaH syAt Vi_3.96a
   svargaloke mahīyate Vi_23.60d	svarga-loke mahIyate Vi_23.60d
   svargaṃ gacchaty aputrāpi Vi_25.17c	svargam gacCati aputrA-api Vi_25.17c
   svargyam āyuṣyam eva ca Vi_100.2b	svargyam Ayuzyam eva ca Vi_100.2b
   svavāsinīṃ kumārīṃ ca Vi_67.39a	sva-vAsinIm kumArIm ca Vi_67.39a
   svasthāne sthāpitā viṣṇo Vi_1.45c	sva-sTAne sTApitAH vizNo Vi_1.45c
   svādhyāyasevāṃ pitṛtarpaṇaṃ ca Vi_59.29c	svADyAya-sevAm pitR-tarpaNam ca Vi_59.29c
   svādhyāyenāgnihotreṇa Vi_67.44a	svADyAyena-agnihotreNa Vi_67.44a
   svārthasādhanatatparaḥ Vi_93.9b	sva-arTa-sADana-tatparaH Vi_93.9b
   svāhā ca medhā ca tathaiva buddhiḥ Vi_99.5d	svAhA ca meDA ca taTA-eva budDiH Vi_99.5d
   svāhāsvadhāyām atha vādyaśabde Vi_99.15d	svAhA-svaDAyAm aTa vAdya-Sabde Vi_99.15d
   sveṣu bhṛtyeṣu caiva hi Vi_67.41b	svezu BRtyezu ca-eva hi Vi_67.41b
   hantur bhavati kaścana Vi_5.191b	hantuH Bavati kaScana Vi_5.191b
   hanyād evāvicārayan Vi_5.190d	hanyAt eva-avicArayan Vi_5.190d
   haraṃs tāṃ na viduṣyati Vi_24.41d	haran tAm na viduzyati Vi_24.41d
   havyakavyādivegavān Vi_1.7b	havya-kavya-Adi-vegavAn Vi_1.7b
   hastyaśvānāṃ tathānyeṣāṃ Vi_5.189c	hasti-aSvAnAm taTA-anyezAm Vi_5.189c
   hinasty ātmasukhecchayā Vi_51.68b	hinasti Atma-suKa-icCayA Vi_51.68b
   himavacchatasaṃkāśaṃ Vi_1.35a	himavat-Sata-saMkASam Vi_1.35a
   hiraṇyakeśa viśvākṣa Vi_1.52a	hiraNyakeSa viSvAkzaH Vi_1.52a
   hiraṇyaṃ madhusarpiṣī Vi_87.10b	hiraNyam maDu-sarpizI Vi_87.10b
   hiṃsraḥ sarvābhisaṃdhakaḥ Vi_93.8d	hiMsraH sarva-aBisaMDakaH Vi_93.8d
   hīnajātiṃ striyaṃ mohād Vi_26.6a	hIna-jAtim striyam mohAt Vi_26.6a
   hṛtkaṇṭhatālugābhiś ca Vi_62.9a	hRd-kaNWa-tAlu-gABiH ca Vi_62.9a
   hṛtvā doṣam avāpnuyuḥ Vi_44.45b	hRtvA dozam avApnuyuH Vi_44.45b
   hṛdi sarvasya dhiṣṭhitam Vi_97.20d	hRdi sarvasya DizWitam Vi_97.20d
   hotur vastrayugaṃ dadyāt Vi_86.17c	hotuH vastra-yugam dadyAt Vi_86.17c
