   Mahāyānasūtrālaṃkāraḥ	MahAyAna sUtra alaMkAraH
   suvipulamapi vittaṃ prāpya naivopakāraṃ vigaṇayati tathāthī	su vipulam api vittam prApya na eva upakAram vigaNayati taTA aTI
   dāyakāllābhahetoḥ /	dAyakAt lABa hetoH /
   vidhivadiha sudānairarthinastarpayitvā mahadupakarasaṃjñāṃ teṣu	viDivat iha su dAnEH arTinaH tarpayitvA mahat upakara saMjQAm tezu
   dhīmānyathaiti // MSA_16.62 //	DImAni aTa eti // MSAH _16.62 //
   svayamapagataśokā dehinaḥ svastharūpā vipulamapi gṛhītvā bhuñjate yasya	svayam apagata SokAH dehinaH svasTa rUpA vipulam api gRhItvA BuQjate yasya
   vittaṃ /	vittam /
   pathi paramaphalāḍhyādbhogavṛkṣādyathaiva pravisṛtiratibhogī	paTi parama Pala AXyAt Boga vRkzAt yaTA eva pravisRtiH ati BogI
   bodhisattvānna so 'nyaḥ // MSA_16.63 //	boDisattvAt na saH anyaH // MSAH _16.63 //
   prādhānyatatkāraṇakarmabhedāt prakārabhedāśrayabhedataśca /	prADAnya tad kAraNa karma BedAt prakAra Beda ASraya BedataH ca /
   caturvibandhapratipakṣabhedāt vīryaṃ parijñeyamiti pradiṣṭam // MSA_16.64	catur vibanDa pratipakza BedAt vIryam parijQeyam iti pradizwam // MSAH _16.64
   vīryaṃ paraṃ śuklagaṇasya madhye tanniśritastasya yato 'nulābhaḥ /	vIryam param Sukla gaNasya maDye tat niSritaH tasya yatas anulABaH /
   vīryeṇa sadyaḥ susukho vihāro lokottarā lokagatāṃ ca siddhiḥ // MSA_16.65	vIryeNa sadyas su suKaH vihAraH loka uttarA loka gatAm ca sidDiH // MSAH _16.65
   vīryāvadavāptaṃ bhavabhogamiṣṭaṃ vīryeṇa śuddhiṃ prabalāmupetāḥ /	vIryAvat avAptam Bava Bogam izwam vIryeNa SudDim prabalAm upetAH /
   vīryeṇa satkāyamatītya muktā vīryeṇa bodhiṃ paramāṃ vibuddhāḥ // MSA_16.66	vIryeNa satkAyam atItya muktAH vIryeNa boDim paramAm vibudDAH // MSAH _16.66
   punarmataṃ hānivivṛddhivīryaṃ mokṣādhipaṃ pakṣavipakṣamanyat /	punar matam hAni vivRdDi vIryam mokza aDipam pakza vipakzam anyat /
   tattve praviṣṭaṃ parivartakaṃ ca vīryaṃ mahārthaṃ ca niruktamanyat //	tattve pravizwam parivartakam ca vIryam mahA arTam ca niruktam anyat //
   MSA_16.67 //	MSAH _16.67 //
   saṃnāhavīryaṃ prathamaṃ tataśca prayogavīryaṃ vidhivatprahitaṃ /	saMnAha vIryam praTamam tatas ca prayoga vIryam viDivat prahitam /
   alīnamakṣobhyamatuṣṭivīryaṃ sarvaprakāraṃ pravadanti buddhāḥ // MSA_16.68	alInam akzoByam atuzwi vIryam sarva prakAram pravadanti budDAH // MSAH _16.68
   nikṛṣṭamadhyottamavīryamanyat yānatraye yuktajanāśrayeṇa /	nikRzwa maDya uttama vIryam anyat yAna traye yukta jana ASrayeNa /
   līnātyudārāśayabuddhiyogāt vīryaṃ tadalpārthamahārthamiṣṭam // MSA_16.69	lIna ati udAra ASaya budDi yogAt vIryam tad alpa arTa mahA arTam izwam // MSAH _16.69
   na vīryavānbhogaparājito 'sti no vīryavān kleśaparājito 'sti /	na vIryavAn Boga parAjitaH asti naH vIryavAn kleSa parAjitaH asti /
   na vīryavān khedaparājito 'sti no vīryavān prāptiparājito 'sti //	na vIryavAn Keda parAjitaH asti naH vIryavAn prApti parAjitaH asti //
   MSA_16.70 //	MSAH _16.70 //
   anyonyaṃ saṃgrahataḥ prabhedato dharmato nimittācca /	anyonyam saMgrahataH praBedataH DarmataH nimittAt ca /
   ṣaṇāṃ pāramitānāṃ viniścayaḥ sarvathā jñeyaḥ // MSA_16.71 //	zaNAm pAramitAnAm viniScayaH sarvaTA jQeyaH // MSAH _16.71 //
   dānaṃ samaṃ priyākhyānamarthacaryā samārthatā /	dAnam samam priya AKyAnam arTa caryA samArTa tA /
   taddeśanā samādāya svānuvṛttibhiriṣyate // MSA_16.72 //	tad deSanA samAdAya sva anuvRttiBiH izyate // MSAH _16.72 //
   upāyo 'nugrahakaro grāhako 'tha pravartakaḥ /	upAyaH anugraha karaH grAhakaH aTa pravartakaH /
   tathānuvartako jñeyaścatuḥsaṃgrahavastutaḥ // MSA_16.73 //	taTA anuvartakaH jQeyaH catur saMgraha vastutas // MSAH _16.73 //
   ādyena bhājanībhāvo dvitīyenādhimucyanā /	Adyena BAjanIBAvaH dvitIyena aDimucyanA /
   pratipattistṛtīyena caturthena viśodhanā // MSA_16.74 //	pratipattiH tRtIyena caturTena viSoDanAH // MSAH _16.74 //
   catuḥ saṃgrahavastutvaṃ saṃgrahadvayato mataṃ /	catuH saMgraha vastu tvam saMgraha dvayataH matam /
   āmiṣeṇāpi dharmeṇa dharmeṇālambanādapi [dinā] // MSA_16.75 //	AmizeNa api DarmeNa DarmeNa AlambanAt api [dinA] // MSAH _16.75 //
   hīnamadhyottamaḥ prāyo vandhyo 'vandhyaśca saṃgrahaḥ /	hIna maDya uttamaH prAyas vanDyaH avanDyaH ca saMgrahaH /
   abandhyaḥ sarvathā caiva jñeyo hyākārabhedataḥ // MSA_16.76 //	abanDyaH sarvaTA ca eva jQeyaH hi AkAra BedataH // MSAH _16.76 //
   parṣatkarṣaṇaprayuktairvidhireṣa samāśritaḥ /	parzad karzaNa prayuktEH viDiH eza samASritaH /
   sarvārthasiddhau sarveṣāṃ sukhopāyaśca śasyate // MSA_16.77 //	sarva arTa sidDO sarvezAm suKa upAyaH ca Sasyate // MSAH _16.77 //
   saṃgṛhītā grahīṣyante saṃgṛhyante ca ye 'dhunā /	saMgRhItAH grahIzyante saMgRhyante ca ye aDunA /
   sarve ta evaṃ tasmācca vartma tatsatvapācane // MSA_16.78 //	sarve te evam tasmAt ca vartma tad satva pAcane // MSAH _16.78 //
   iti satatamasaktabhogabuddhiḥ śamayamanodyamapāragaḥ sthitātmā /	iti satatam asakta Boga budDiH Samaya mana udyama pAragaH sTita AtmA /
   bhavaviṣayanimittanirvikalpo bhavati sa satvagaṇasya saṃgṛhītā //	Bava vizaya nimitta nirvikalpaH Bavati sa satva gaNasya saMgRhItAH //
   MSA_16.79 //	MSAH _16.79 //
   mahāyānasūtrālaṃkāre pāramitādhikāraḥ [ṣoḍaśaḥ] samāptaḥ	mahAyAna sUtra alaMkAre pAramitA aDikAraH [zoxaSaH] samAptaH
   saptadaśo 'dhikāraḥ	saptadaSaH aDikAraH
   buddhapūjāvibhāge sapta ślokāḥ /	budDa pUjA viBAge sapta SlokAH /
   saṃmukhaṃ vimukhaṃ pūjā buddhānāṃ cīvarādibhiḥ /	saMmuKam vimuKam pUjA budDAnAm cIvara AdiBiH /
   gāḍhaprasannacittasya saṃbhāradvayapūraye // MSA_17.1 //	gAXa prasanna cittasya saMBAra dvaya pUraye // MSAH _17.1 //
   abandhyabuddhajanmatve praṇidhānavataḥ sataḥ /	abanDya budDa janma tve praNiDAnavataH sataH /
   trayasyānupalambhastu niṣpannā buddhapūjā // MSA_17.2 //	trayasya anupalamBaH tu nizpannAH budDa pUjA // MSAH _17.2 //
   satvānāmaprameyānāṃ paripākāya cāparā /	satvAnAm aprameyAnAm paripAkAya ca aparAH /
   upadheścittataścānyā adhimukternidhānataḥ // MSA_17.3 //	upaDeH cittataH ca anyAH aDimukteH niDAnataH // MSAH _17.3 //
   anukampākṣamābhyāṃ ca samudācārato 'parā /	anukampA kzamAByAm ca samudAcArataH aparAH /
   vastvābhogāvabodhācca vimukteśca tathātvataḥ // MSA_17.4 //	vastu ABoga avaboDAt ca vimukteH ca taTA tvataH // MSAH _17.4 //
   āśrayādvastutaḥ pūjā nimittātpariṇāmanāt /	ASrayAt vastutas pUjA nimittAt pariNAmanAt /
   hetuto jñānataḥ kṣetrānniśrayācca pradarśitā // MSA_17.5 //	hetutaH jQAnataH kzetrAt niSrayAt ca pradarSitAH // MSAH _17.5 //
   hetutaḥ phalataścaiva ātmanā ca parairapi /	hetutaH PalataH ca eva AtmanA ca parEH api /
   lābhasatkārataścaiva pratipatterdvidhā ca sā // MSA_17.6 //	lABa satkArataH ca eva pratipatteH dviDA ca sA // MSAH _17.6 //
   parīttā mahatī pūjā samānāmānikā ca sā /	parIttA mahatI pUjA samAnAmAnikA ca sA /
   prayogādgatitaścaiva praṇidhānācca sā matā // MSA_17.7 //	prayogAt gatitaH ca eva praNiDAnAt ca sA matA // MSAH _17.7 //
   buddheṣu pūjā paramā svacittāt dharmādhimuktyāśayato vibhutvāt /	budDezu pUjA paramA sva cittAt Darma aDimukti ASayataH viBu tvAt /
   akalpanopāyaparigraheṇa sarvaikakāryatvaniveśataśca // MSA_17.8 //	akalpanA upAya parigraheNa sarva eka kArya tva niveSataH ca // MSAH _17.8 //
   āśrayādvastutaḥ sevā nimittātpariṇāmanāt /	ASrayAt vastutas sevA nimittAt pariNAmanAt /
   hetuto jñānataḥ kṣetrānniśrayācca pradarśitā // MSA_17.9 //	hetutaH jQAnataH kzetrAt niSrayAt ca pradarSitAH // MSAH _17.9 //
   mitraṃ śrayeddāntaśamopaśāntaṃ guṇādhikaṃ sodyamamāgamāḍhyaṃ /	mitram Srayet dAnta Sama upaSAntam guNa aDikam sa udyamam Agama AXyam /
   prabuddhatatvaṃ vacasābhyupetaṃ kṛpātmakaṃ khedavivarjitaṃ ca // MSA_17.10	prabudData tvam vacasA aByupetam kRpA Atmakam Keda vivarjitam ca // MSAH _17.10
   satkāralābhaiḥ paricaryayā ca seveta mitraṃ pratipattitaśca /	satkAra lABEH paricaryayA ca seveta mitram pratipattitaH ca /
   dharme tathājñāśaya eva dhīmān mitraṃ pragacchetsamaye nataśca //	Darme taTA AjQA SayaH eva DImAn mitram pragacCet samaye nataH ca //
   MSA_17.11 //	MSAH _17.11 //
   satkāralābheṣu gataspṛho 'sau prapattaye taṃ pariṇāmayecca /	satkAra lABezu gata spRhaH asO prapattaye tam pariNAmayet ca /
   yathānuśiṣṭapratipattitaśca saṃrādhayeccittamato 'sya dhīraḥ // MSA_17.12	yaTA anuSizwa pratipattitaH ca saMrADayet cittam atas asya DIraH // MSAH _17.12
   yānatraye kauśalametya buddhyā svasyaiva yānasya yateta siddhau /	yAna traye kOSalam etya budDyA svasya eva yAnasya yateta sidDO /
   iti mānatrayakauśalāt jñānaṃ /	iti mAna traya kOSalAt jQAnam /
   satvānameyānparipācanāya kṣetrasya śuddhasya ca sādhanāya // MSA_17.13 //	satvAnameyAn paripAcanAya kzetrasya SudDasya ca sADanAya // MSAH _17.13 //
   dharmeṣu dāyādaguṇena yukto naivāmiṣeṇa pravesatsa mitram /	Darmezu dAyAda guNena yuktaH na eva AmizeNa pravesat sa mitram /
   hetoḥ phalāddharmamukhānuyānātseveta mitraṃ bahitaśca dhīmān // MSA_17.14	hetoH PalAt Darma muKa anuyAnAt seveta mitram bahitaH ca DImAn // MSAH _17.14
   śrutaśravāccetasi yogataśca samānanirmānamano 'nuyogāt /	SrutaSravAt cetasi yogataH ca samAna nirmAna manaH anuyogAt /
   gatiprayogapraṇidhānataśca kalyāṇamitraṃ hi bhajet dhīmān // MSA_17.15 //	gati prayoga praNiDAnataH ca kalyANa mitram hi Bajet DImAn // MSAH _17.15 //
   sanmitrasevā paramā svacittād dharmādhimuktyāśayato vibhutvaiḥ /	sat mitra sevA paramA sva cittAt Darma aDimukti ASayataH viBu tvEH /
   akalpanopāyaparigraheṇa sarvaikakāryatvaniveśataśca // MSA_17.16 //	akalpanA upAya parigraheNa sarva eka kArya tva niveSataH ca // MSAH _17.16 //
   brāhmā vipakṣahīnā jñānena gatāśca nirvikalpena /	brAhmAH vipakza hInAH jQAnena gatAH ca nirvikalpena /
   trividhālambanavṛttāḥ satvānāṃ pācakā dhīre // MSA_17.17 //	triviDa Alambana vRttAH satvAnAm pAcakAH DIre // MSAH _17.17 //
   saukhyārthini duḥkhārte sukhite kliṣṭe ca te pravartante /	sOKya arTini duHKa Arte suKite klizwe ca te pravartante /
   taddeśite ca dharme tattathatāyāṃ ca dhīrāṇām // MSA_17.18 //	tad deSite ca Darme tat taTatAyAm ca DIrANAm // MSAH _17.18 //
   tasyāśca tathatārthatvāt kṣāntilābhādviśuddhitaḥ /	tasyAH ca taTatA arTa tvAt kzAnti lABAt viSudDitaH /
   karmadvayādanālambā maitrī kleśakṣayādapi // MSA_17.19 //	karma dvayAt anAlambA mEtrI kleSa kzayAt api // MSAH _17.19 //
   te niścalāśca calāśca kṛpaṇairāsvāditā na ca jñeyāḥ /	te niScalAH ca calAH ca kRpaNEH AsvAditAH na ca jQeyAH /
   acaleṣu bodhisattvāḥ pratiṣṭhitāḥ saktivigateṣu // MSA_17.20 //	acalezu boDisattvAH pratizWitAH sakti vigatezu // MSAH _17.20 //
   asamāhitasvabhāvā mṛdumadhyā hīnabhūmikā ye 'pi /	asamAhita svaBAvAH mRdu maDyAH hIna BUmikAH ye api /
   hīnāśayāḥ samānā hīnāste hyanyathā tvadhikāḥ // MSA_17.21 //	hIna ASayAH samAnAH hInAH te hi anyaTA tu aDikAH // MSAH _17.21 //
   brāhmyairvihṛtavihāraḥ kāmiṣu saṃjāyate yadā dhīmān /	brAhmyEH vihRta vihAraH kAmizu saMjAyate yadA DImAn /
   saṃbhārānpūrayate satvāṃśca vipācayati tena // MSA_17.22 //	saMBArAn pUrayate satvAn= ca vipAcayati tena // MSAH _17.22 //
   sarvatra cāvirahito brāhmyai rahitaśca tadvipakṣeṇa /	sarvatra ca avirahitaH brAhmyEH rahitaH ca tad vipakzeNa /
   tatpratyayairapi bhṛśairna yāti vikṛtiṃ pramatto 'pi // MSA_17.23 //	tad pratyayEH api BRSEH na yAti vikRtim pramattaH api // MSAH _17.23 //
   vyāpādavihiṃsābhyāmarativyāpādakāmarāgaiśca /	vyApAda vihiMsAByAm arati vyApAda kAma rAgEH ca /
   yukto hi bodhisattvo bahuvidhamādīnavaṃ spṛśati // MSA_17.24 //	yuktaH hi boDisattvaH bahuviDam AdInavam spRSati // MSAH _17.24 //
   kleśairhantyātmānaṃ satvānupahanti śīlamupahanti /	kleSEH hanti AtmAnam satvAnupahanti SIlam upahanti /
   savilekhalābhahīno rakṣāhīnastathā śāstrā[tā] // MSA_17.25 //	sa vileKa lABa hInaH rakzA hInaH taTA SAstra a[tA] // MSAH _17.25 //
   sādhikaraṇo 'śayasvī paratra saṃjāyate 'kṣaṇeṣu sa ca /	sADikaraNaH aSayasvI paratra saMjAyate akzaNezu sa ca /
   prāptāprāptavihīno manasi mahad duḥkhamāpnoti // MSA_17.26 //	prApta aprApta vihInaH manasi mahat duHKam Apnoti // MSAH _17.26 //
   ete sarve doṣā maitryādiṣu susthitasya na bhavanti /	ete sarve dozAH mEtrI Adizu susTitasya na Bavanti /
   akliṣṭaḥ saṃsāraṃ satvārthaṃ no ca saṃtyajati // MSA_17.27 //	aklizwaH saMsAram satva arTam no ca saMtyajati // MSAH _17.27 //
   na tathaikaputrakeṣvapi guṇavatsvapi bhavati sarvasatvānāṃ /	na taTA eka putrakezu api guNavatsu api Bavati sarva satvAnAm /
   maitryādicetaneyaṃ satveṣu yathā jinasutānāṃ // MSA_17.28 //	mEtrI Adi cetanA iyam satvezu yaTA jinasutAnAm // MSAH _17.28 //
   pradīptān śatruvaśagān duḥkhākrāntāṃstamovṛtān /	pradIptAn Satru vaSa gAn duHKa AkrAntAn= tamaH vRtAn /
   durgamārgasamārūḍhānmahābandhanasaṃyutān // MSA_17.29 //	durga mArga samArUXAn mahA banDana saMyutAn // MSAH _17.29 //
   mahāśanaviṣākrāntalolānmārgapranaṣṭakān /	mahA aSana viza AkrAnta lolAt mArga pranazwakAn /
   utpathaprasthitān satvāndurbalān karuṇāyate // MSA_17.30 //	utpaTa prasTitAn satvAn durbalAn karuNAyate // MSAH _17.30 //
   heṭhāpahaṃ hyuttamabodhibījaṃ sukhāvahaṃ tāya[pa]kamiṣṭahetuṃ /	heWa apaham hi uttama boDi bIjam suKa Avaham tAya[ pa]kam izwa hetum /
   svabhāvadaṃ dharmamupāśritasya bodhirna dūre jinātmajasya // MSA_17.31 //	svaBAva dam Darmam upASritasya boDiH na dUre jina Atmajasya // MSAH _17.31 //
   vijñāya saṃsāragataṃ samagraṃ duḥkhātmakaṃ caiva nirātmakaṃ ca /	vijQAya saMsAra gatam samagram duHKa Atmakam ca eva nirAtmakam ca /
   nodvegamāyāti na cāpi doṣaiḥ prabādhyate kāruṇiko 'grabuddhiḥ // MSA_17.32	na udvegam AyAti na ca api dozEH prabADyate kAruNikaH agra budDiH // MSAH _17.32
   duḥkhātmakaṃ lokamavekṣamāṇo duḥkhāyate vetti ca tadyathāvat /	duHKa Atmakam lokam avekzamANaH duHKAyate vetti ca tat yaTAvat /
   tasyābhyupāyaṃ parivarjane ca na khedamāyatyapi vā kṛpāluḥ // MSA_17.33 //	tasya aByupAyam parivarjane ca na Kedam Ayati api vA kRpAluH // MSAH _17.33 //
   kṛpā prakṛtyā pratisaṃkhyayā ca pūrvaṃ tadabhyāsavidhānayogāt /	kRpA prakRtyA pratisaMKyayA ca pUrvam tad aByAsa viDAna yogAt /
   vipakṣahīnā ca viśuddhilābhāt caturvidheyaṃ karūṇātmakānāṃ // MSA_17.34 //	vipakza hInA ca viSudDi lABAt caturviDA iyam karUNa AtmakAnAm // MSAH _17.34 //
   na sā kṛpā yā na samā sadā vā nādhyāśayādvā pratipattito vā /	na sA kRpA yA na samA sadA vA na aDyASayAt vA pratipattitaH vA /
   vairāgyato nānupalambhato vā na bodhisattvo hyakṛpastathā yaḥ // MSA_17.35	vErAgyataH na anupalamBataH vA na boDisattvaH hi akRpaH taTA yaH // MSAH _17.35
   karuṇā kṣāntiścintā praṇidhānaṃ janmasatvaparipākaḥ /	karuNA kzAntiH cintA praNiDAnam janma satva paripAkaH /
   karuṇātarureṣa mahānmūlādiḥ puṣpapatra[paścimāgra] (paścimānta)phalaḥ //	karuNA taruH eza mahAn mUla AdiH puzpa patra[paScima agra] (paScima anta)PalaH //
   MSA_17.36 //	MSAH _17.36 //
   mūlaṃ karuṇā na bhaved duṣkaracaryāsahiṣṇutā na bhavet /	mUlam karuNA na Bavet duzkara caryA sahizNu tA na Bavet /
   duḥkhākṣamaśca dhīmān satvārthaṃ cintayennaiva // MSA_17.37 //	duHKa akzamaH ca DImAn satva arTam cintayet na eva // MSAH _17.37 //
   cintāvihīnabuddhiḥ praṇidhānaṃ śuklajanmasu na kuryāt /	cintA vihIna budDiH praNiDAnam Sukla janmasu na kuryAt /
   śubhajanmānanugacchansatvānparipācayennaiva // MSA_17.38 //	SuBa janma ananuga= Cansa tvAn paripAcayet na eva // MSAH _17.38 //
   karuṇāseko maitrī tadduḥkhe saukhyato vipulapuṣṭiḥ /	karuNA AsekaH mEtrI tad duHKe sOKyataH vipula puzwiH /
   śākhāvṛddhirviśadā yonimanaskārato jñeyā // MSA_17.39 //	SAKA vRdDiH viSadA yonimanaskArataH jQeyAH // MSAH _17.39 //
   parṇatyāgādānaṃ praṇidhīnāṃ saṃtateranucchedāt /	parNa tyAga AdAnam praNiDInAm saMtateH anucCedAt /
   dvividhapratyayasiddheḥ puṣpamabandhyaṃ phalaṃ cāsmāt // MSA_17.40 //	dviviDa pratyaya sidDeH puzpam abanDyam Palam ca asmAt // MSAH _17.40 //
   kaḥ kurvīta na karuṇāṃ satveṣu mahākṛpāguṇakareṣu /	kaH kurvIta na karuNAm satvezu mahA kRpA guNa karezu /
   duḥkhe 'pi saukhyamatulaṃ bhavati yadeṣāṃ kṛpājanitaṃ // MSA_17.41 //	duHKe api sOKyam atulam Bavati yat ezAm kRpA janitam // MSAH _17.41 //
   aviṣṭānāṃ kṛpayā na tiṣṭhati manaḥ śame kṛpālūnāṃ /	avizwAnAm kRpayA na tizWati manaH Same kRpAlUnAm /
   kuta eva lokasaukhye svajīvite vā bhavetsnehaḥ // MSA_17.42 //	kutas eva loka sOKye sva jIvite vA Bavet snehaH // MSAH _17.42 //
   sneho na vidyate 'sau yo 'niravadyo na laukiko yaśca /	snehaH na vidyate asO yaH aniravadyaH na lOkikaH yaH ca /
   dhīmatsu kṛpāsneho niravadyo lokasamatītaḥ // MSA_17.43 //	DImatsu kRpA snehaH niravadyaH loka samatItaH // MSAH _17.43 //
   duḥkhājñānamahaughe mahāndhakāre ca niśritaṃ lokaṃ /	duHKa ajQAna mahA oGe mahA anDakAre ca niSritam lokam /
   uddhartuṃ ya upāyaḥ kathamiva na syātsa niravadyaḥ // MSA_17.44 //	udDartum yaH upAyaH kaTam iva na syAt sa niravadyaH // MSAH _17.44 //
   sneho na so 'styarihatāṃ loke pratyekabodhibuddhānāṃ /	snehaH na saH asti ari hatAm loke pratyeka boDi budDAnAm /
   prāgeva tadanyeṣāṃ kathamiva lokottaro na syāt // MSA_17.45 //	prAk eva tad anyezAm kaTam iva lokottaraH na syAt // MSAH _17.45 //
   duḥkhābhāve duḥkhaṃ yatkṛpayā bhavati bodhisattvānāṃ /	duHKa aBAve duHKam yat kRpayA Bavati boDisattvAnAm /
   saṃtrāsayati tadādau spṛṣṭaṃ tvabhinandayati gāḍhaṃ // MSA_17.46 //	saMtrAsayati tad AdO spRzwam tu aBinandayati gAXam // MSAH _17.46 //
   kimataḥ paramāścaryaṃ yad duḥkhaṃ saukhyamabhibhavati sarva /	kim atas parama AScaryam yat duHKam sOKyam aBiBavati sarve /
   kṛpayā janitaṃ laukyaṃ yena vimukto api kṛtārthaḥ // MSA_17.47 //	kRpayA janitam lOkyam yena vimuktaH api kRtArTaH // MSAH _17.47 //
   kṛpayā sahitaṃ dānaṃ yaddānasukhaṃ karoti dhīrāṇāṃ /	kRpayA sahitam dAnam yat dAna suKam karoti DIrANAm /
   traidhātukamupabhogairna tatsukhaṃ tatkalāṃ spṛśati // MSA_17.48 //	trEDAtukam upaBogEH na tat suKam tad kalAm spRSati // MSAH _17.48 //
   duḥkhamayaṃ saṃsāraṃ yatkṛpayā na tyajati satvārthaṃ /	duHKa mayam saMsAram yat kRpayA na tyajati satva arTam /
   parahitahetorduḥkhaṃ kiṃ kārūṇikairna samupetam // MSA_17.49 //	para hita hetoH duHKam kim kArUNikEH na samupetam // MSAH _17.49 //
   karūṇā dānaṃ bhogāḥ sadā kṛpālorvivṛddhimupayānti /	karUNAH dAnam BogAH sadA kRpAloH vivRdDim upayAnti /
   snehānugrahajanitaṃ tacchaktikṛtaṃ sukhaṃ cāsmāt // MSA_17.50 //	sneha anugraha janitam tat Sakti kRtam suKam ca asmAt // MSAH _17.50 //
   vardhe ca vardhayāmi ca dāne paripācayāmi sukhayāmi /	varDe ca varDayAmi ca dAne paripAcayAmi suKayAmi /
   ākarṣāmi nayāmi ca karuṇā sannānpravadatīva // MSA_17.51 //	AkarzAmi nayAmi ca karuNA sannAn pravadati iva // MSAH _17.51 //
   duḥkhe duḥkhī kṛpayā sukhānyanādhāya kena sukhitaḥ syāt /	duHKe duHKI kRpayA suKAni anADAya kena suKitaH syAt /
   sukhayatyātmānamataḥ kṛpālurādhāya parasaukhyam // MSA_17.52 //	suKayati AtmAnam atas kRpA AlurADAya para sOKyam // MSAH _17.52 //
   svaṃ dānaṃ kārūṇikaḥ śāstīva sadaiva niḥsvasukhakāmaḥ /	svam dAnam kArUNikaH SAsti iva sadA eva niHsva suKa kAmaH /
   bhogaiḥ sukhaya paraṃ vā māmapyayutasaukhyam // MSA_17.53 //	BogEH suKaya param vA mAm api ayuta sOKyam // MSAH _17.53 //
   saphalaṃ dānaṃ dattaṃ tanme satveṣu tatsukhasukhena /	saPalam dAnam dattam tat me satvezu tad suKa suKena /
   phala teṣveva nikāmaṃ yadi me kartavyatā te 'sti // MSA_17.54 //	Pala tezu eva nikAmam yadi me kartavyatA te asti // MSAH _17.54 //
   bhogedveṣṭurdāturbhogā bahuśubhataropasarpanti /	Boget vezwuH dAtuH BogAH bahu SuBa tara upasarpanti /
   na hi tatsukhaṃ mataṃ me dāne pāraṃparo 'smi yataḥ // MSA_17.55 //	na hi tat suKam matam me dAne pAraMparaH asmi yatas // MSAH _17.55 //
   sarvāstiparityāge yatkṛpayā māṃ nirīkṣase satataṃ /	sarvAsti parityAge yat kRpayA mAm nirIkzase satatam /
   nanu te tena jñeyaṃ na matphalenārthitā 'syeti // MSA_17.56 //	nanu te tena jQeyam na mad Palena arTitA asya iti // MSAH _17.56 //
   dānābhirato na syāṃ prāptaṃ cettatphalaṃ na visṛjeyaṃ /	dAna aBiratas na syAm prAptam ced tat Palam na visRjeyam /
   kṣaṇamapi dānena vinā dānābhirato bhavati naiva // MSA_17.57 //	kzaNam api dAnena vinA dAna aBiratas Bavati na eva // MSAH _17.57 //
   akṛtaṃ na phalasi yasmātpratikārāpekṣayā na me tulyaṃ /	akRtam na Palasi yasmAt pratikAra apekzayA na me tulyam /
