   śrīśivamahāpurāṇam	SrI-Siva-mahApurANam
   tilādīnāṃ ca dravyāṇāṃvastrādīnāṃtathaiva ca // ŚivP_1,18.59ab/	tila-AdInAm ca dravyANAMvastra-AdInAMtaTA-eva ca // ŚivS-_1,18.59ab/
   tathāparyuṣitānāṃcabhasmanāśiddhiriṣyate // ŚivP_1,18.59cd/	taTA-aparyuzita-anAMcaBasmanA-Sit-DiH-izyate // ŚivS-_1,18.59cd/
   śvādibhirdūṣitānāṃcabhasmanāśuddhiriṣyate // ŚivP_1,18.60ab/	Sva-AdiBiH-dUzitAnAMca-Basmana-aSudDiH-izyate // ŚivS-_1,18.60ab/
   sajalaṃnirjalaṃbhasma yathāyogyaṃ tu yojayet // ŚivP_1,18.60cd/	sa-jalaMnirjalaMBasma yaTAyogyam tu yojayet // Śivj-_1,18.60cd/
   vedāgnijaṃtathābhasmatatkarmāṃteṣu dhārayet // ŚivP_1,18.61ab/	veda-agni-jaMtaTA-Basma-tad-karmAMtezu DArayet // ŚivS-_1,18.61ab/
   maṃtreṇakriyayājanyaṃkarmāgnau bhasmarūpadhṛk // ŚivP_1,18.61cd/	maMtreNa-kriyayA-ajanyaMkarma-agnO Basma-rUpa-DRk // ŚivS-_1,18.61cd/
   tadbhasmadhāraṇātkarma svātmanyāropitaṃ bhavet // ŚivP_1,18.62ab/	tad-Basma-DAraNAt-karma sva-Atmani-Aropitam Bavet // ŚivS-_1,18.62ab/
   aghoreṇātmaṃtreṇa bilvakāṣṭhaṃpradāhayet // ŚivP_1,18.62cd/	aGoreNa-AtmaMtreNa bilva-kAzWaMpradAhayet // Śivj-_1,18.62cd/
   śivāgniritisaṃproktastenadagdhaṃśivāgnijam // ŚivP_1,18.63ab/	Siva-agniH-iti-saMprokta-H-tena-dagDaMSiva-agni-jam // ŚivS-_1,18.63ab/
   kapilāgomayaṃ pūrvaṃ kevalaṃ gavyameva vā // ŚivP_1,18.63cd/	kapilA-gomayam pUrvam kevalam gavyam-eva vA // Śivj-_1,18.63cd/
   śamyasvatthapalāśānvāvaṭāramvadhabilvakān // ŚivP_1,18.64ab/	Samya-svatTa-palASa-anvAvawa-Aram-vaDa-bilvakAn // ŚivS-_1,18.64ab/
   śivāgninādahecchuddhaṃtadvaibhasma śivāgnijam // ŚivP_1,18.64cd/	Siva-agninAt-ahet-SudDaMtad-vEBasma Siva-agni-jam // Śivj-_1,18.64cd/
   darbhāgnau vādahetkāṣṭhaṃśivamaṃtraṃsamuccaran // ŚivP_1,18.65ab/	darBa-agnO vAda-het-kAzWaMSivam-aMtraMsam-uccaran // ŚivS-_1,18.65ab/
   samyaksaṃśodhyavastreṇanavakuṃbhenidhāpayet // ŚivP_1,18.65cd/	samyak-saMSoDya-vastreNa-navakuMBeni-DApayet // Śivj-_1,18.65cd/
   dīptyarthaṃ tattu saṃgrāhyaṃ manyate pūjyatepi ca // ŚivP_1,18.66ab/	dIpti-arTam tat-tu saMgrAhyam manyate pUjyatepi ca // ŚivS-_1,18.66ab/
   bhasmaśabdārtha evaṃ hi śivaḥpūrvaṃtathā 'karot // ŚivP_1,18.66cd/	Basma-Sabda-arTaH evam hi SivaH-pUrvaMtaTA akarot // ŚivS-_1,18.66cd/
   yathāsvaviṣayerājāsāraṃgṛhṇātiyatkaram // ŚivP_1,18.67ab/	yaTAsva-vizayerAjA-sAraMgRhNAtiyat-karam // ŚivS-_1,18.67ab/
   yathāmanuṣyāḥsasyādīndagdhvāsāraṃbhajaṃtivai // ŚivP_1,18.67cd/	yaTA-manuzyAH-sasya-AdIn-dagDvA-sAraMBa-jaMti-vE // Śivj-_1,18.67cd/
   yathāhijāṭharāgniścabhakṣyādīnvividhānbahūn // ŚivP_1,18.68ab/	yaTA-ahi-jAWara-agniH-caBakzya-AdIn-viviDAn-bahUn // ŚivS-_1,18.68ab/
   dagdhvāsārataraṃsārātsvadehaṃparipuṣyati // ŚivP_1,18.68cd/	dagDvA-sAra-taraMsArAt-sva-dehaMparipuzyati // Śivj-_1,18.68cd/
   tathāprapañcakartāpisaśivaḥparameśvaraḥ // ŚivP_1,18.69ab/	taTA-aprapaQca-kartA-pi-sa-SivaH-parameSvaraH // ŚivS-_1,18.69ab/
   svādhiṣṭheyaprapañcasyadagdhvāsāraṃgṛhītavān // ŚivP_1,18.69cd/	svADizWeya-prapaQcasyadagDvA-sAraMgRhItavAn // Śivj-_1,18.69cd/
   dagdhvāprapañcaṃtadbhasmasvātmanyāropayacchivaḥ // ŚivP_1,18.70ab/	dagDvA-prapaQcaMtad-Basmasva-Atmani-Aropayat-SivaH // ŚivS-_1,18.70ab/
   uddhūlanenavyājena jagatsāraṃ gṛhītavān // ŚivP_1,18.70cd/	udDUlanena-vyAjena jagat-sAram gRhItavAn // Śivj-_1,18.70cd/
   svaratnaṃsthāpayāmāsa svakīyehiśarīrake // ŚivP_1,18.71ab/	sva-ratnaMsTApayAmAsa svakIyehi-SarIrake // ŚivS-_1,18.71ab/
   keśamākāśasāreṇavāyusāreṇavaimukham // ŚivP_1,18.71cd/	keSam-AkASa-sAreNa-vAyu-sAreNa-vEmuKam // Śivj-_1,18.71cd/
   hṛdayaṃcāgnisāreṇatvapāṃsāreṇavaikaṭim // ŚivP_1,18.72ab/	hRdayaMca-agni-sAreNa-tva-pAMsAreNa-vEkawim // ŚivS-_1,18.72ab/
   jānucāvanisāreṇatadvatsarvaṃ tadaṃgakam // ŚivP_1,18.72cd/	jAnu-cAvani-sAreNa-tadvat-sarvam tad-aMgakam // ŚivS-_1,18.72cd/
   brahmaviṣṇvoścarudrāṇāṃsāraṃcaivatripuṃḍrakam // ŚivP_1,18.73ab/	brahma-vizNvoH-carudrANa-aMsAraMcEva-tripuMxrakam // ŚivS-_1,18.73ab/
   tathātilakarūpeṇalalāṭāntemaheśvaraḥ // ŚivP_1,18.73cd/	taTA-tilaka-rUpeNa-lalAwa-antemaheSvaraH // Śivj-_1,18.73cd/
   bhavṛddhyāsarvametaddhimanyatesvayamaityasau // ŚivP_1,18.74ab/	BavRdDyA-sarvam-etat-himanyatesvayam-Eti-asO // ŚivS-_1,18.74ab/
   prapañcasārasarvasvamanenaivavaśīkṛtam // ŚivP_1,18.74cd/	prapaQca-sAra-sarva-svam-anena-eva-vaSIkRtam // ŚivS-_1,18.74cd/
   tasmādasyavaśīkartānāstītisaśivaḥsmṛtaḥ // ŚivP_1,18.75ab/	tasmAt-asya-vaSIkartAnAH-ti-iti-sa-SivaH-smRtaH // ŚivS-_1,18.75ab/
   yathāsarvamṛgāṇāṃcahiṃsakomṛgahiṃsakaḥ // ŚivP_1,18.75cd/	yaTA-sarva-mRgANAMca-hiMsa-kaH-mRga-hiMsakaH // Śivj-_1,18.75cd/
   asyahiṃsāmṛgonāstitatasmātsiṃha itīritaḥ // ŚivP_1,18.76ab/	asyahiMsA-mRgonAstita-tasmAt-siMhaH iti-IritaH // ŚivS-_1,18.76ab/
   śaṃ nityaṃsukhamānaṃdamikāraḥ puruṣaḥ smṛtaḥ // ŚivP_1,18.76cd/	Sam nityaMsuKa-m-AnaMdamikAraH puruzaH smRtaH // Śivj-_1,18.76cd/
   vakāraḥ śaktiramṛtaṃmelanaṃśiva ucyate // ŚivP_1,18.77ab/	vakAraH SaktiH-amRtaM-melanaMSivaH ucyate // ŚivS-_1,18.77ab/
   tasmādevaṃsvamātmānaṃ śivaṃkṛtvārcayecchivam // ŚivP_1,18.77cd/	tasmAt-evaMsvam-AtmAnam SivaMkRtvA-arcayet-Sivam // Śivj-_1,18.77cd/
   tasmāduddhūlanaṃpūrvaṃ tripuṃḍraṃdhārayetparam // ŚivP_1,18.78ab/	tasmAt-udDUla-naMpUrvam tri-puMxraMDArayet-param // ŚivS-_1,18.78ab/
   pūjākālehisajalaṃśuddhyarthaṃnirjalaṃbhavet // ŚivP_1,18.78cd/	pUjA-kAlehi-sa-jalaMSudDi-arTaMnirjalaMBavet // Śivj-_1,18.78cd/
   divāvā yadivārātraunārīvāthanaropivā // ŚivP_1,18.79ab/	divAvA yat-iva-arAtra-OnArI-vATa-nara-upivA // ŚivS-_1,18.79ab/
   pūjārthaṃsajalaṃbhasmatripuṃḍreṇaivadhārayet // ŚivP_1,18.79cd/	pUjA-arTaMsa-jalaMBasma-tripuMxreNa-eva-DArayet // Śivj-_1,18.79cd/
   tripuṃḍraṃsajalaṃbhasmadhṛtvāpūjāṃkarotiyaḥ // ŚivP_1,18.80ab/	tri-puMxR-aMsa-jalaMBasma-DRtvA-pUja-aMkarotiyaH // ŚivS-_1,18.80ab/
   śivapūjāṃphalaṃsāṃgaṃtasyaivahisuniścitam // ŚivP_1,18.80cd/	Siva-pUjA-aMPalaMsa-aMgaMtasya-eva-hisu-niScitam // ŚivS-_1,18.80cd/
   bhasmavaiśivamaṃtreṇadhṛtvāhyatyāśramībhavet // ŚivP_1,18.81ab/	Basma-vESivam-aMtreNa-DRtvA-Ahyati-ASramIBavet // ŚivS-_1,18.81ab/
   śivāśramītisaṃproktaḥ śivaikaparamoyataḥ // ŚivP_1,18.81cd/	Siva-ASramIti-saMproktaH Siva-eka-paramaH-yataH // Śivj-_1,18.81cd/
   śivavrataikaniṣṭhasyanāśaucaṃnacasūtakam // ŚivP_1,18.82ab/	Siva-vrata-eka-nizWasi-anASOcaMna-casUtakam // ŚivS-_1,18.82ab/
   lalāṭe 'gresitaṃbhasmatilakaṃdhārayenmṛdā // ŚivP_1,18.82cd/	lalAwe agresitaMBasma-tila-kaMDArayet-mRdA // ŚivS-_1,18.82cd/
   svahastādguruhastādvāśivabhaktasyalakṣaṇam // ŚivP_1,18.83ab/	sva-hastAt-guru-hastAt-vASiva-Baktasya-lakzaNam // ŚivS-_1,18.83ab/
   guṇānruṃdha iti proktoguruśabdasyavigrahaḥ // ŚivP_1,18.83cd/	guNAn-ruMDaH iti prokta-uguru-Sabdasya-vigrahaH // Śivj-_1,18.83cd/
   savikārānrājasādīnguṇānruṃdhevyapohati // ŚivP_1,18.84ab/	sa-vikArAn-rAjasAdIn-guNAnruMDevi-apohati // ŚivS-_1,18.84ab/
   guṇātītaḥ paraśivogururūpaṃsamāśritaḥ // ŚivP_1,18.84cd/	guNa-atItaH para-Siva-uguru-rUpaMsam-ASritaH // Śivj-_1,18.84cd/
   guṇatrayaṃvyapohyāgreśivaṃbodhayatītisaḥ // ŚivP_1,18.85ab/	guNatrayaMvyapohya-agreSivaMboDayati-itisaH // ŚivS-_1,18.85ab/
   viśvastānāṃtuśiṣyāṇāṃgururityabhidhīyate // ŚivP_1,18.85cd/	viSvastAnAMtu-SizyANa-aMguruH-iti-aBiDIyate // ŚivS-_1,18.85cd/
   tasmādguruśarīraṃtuguruliṃgaṃbhavedbudhaḥ // ŚivP_1,18.86ab/	tasmAt-guru-SarIraMtu-guru-liMgaMBavet-buDaH // ŚivS-_1,18.86ab/
   guruliṃgasyapūjātuguruśuśrūṣaṇaṃ bhavet // ŚivP_1,18.86cd/	guru-liMgasya-pUjA-tu-guru-SuSrUzaNam Bavet // Śivj-_1,18.86cd/
   śrutaṃkarotiśuśrūṣākāyenamanasāgirā // ŚivP_1,18.87ab/	SrutaMka-roti-SuSrUzA-kAyena-manasA-girAH // ŚivS-_1,18.87ab/
   uktaṃ yadguruṇāpūrvaṃ śakyaṃvā 'śakyamevavā // ŚivP_1,18.87cd/	uktam yat-guruNA-pUrvam SakyaMvA aSakyam-evavA // Śivj-_1,18.87cd/
   karotyevahipūtātmāprāṇairapidhanairapi // ŚivP_1,18.88ab/	karoti-evahipUta-Atma-aprANEH-api-DanEH-api // ŚivS-_1,18.88ab/
   tasmādvaiśāsaneyogyaḥ śiṣya ityabhidhīyate // ŚivP_1,18.88cd/	tasmAt-vESAsaneyogyaH SizyaH iti-aBiDIyate // ŚivS-_1,18.88cd/
   śarīrādyarthakaṃsarvaṃgurordattvāsuśiṣyakaḥ // ŚivP_1,18.89ab/	SarIra-Adi-arTa-kaMsarvaMguroH-dattva-asuSizyakaH // ŚivS-_1,18.89ab/
   agrapākaṃnivedyāgrebhuṃjīyādgurvanujñayā // ŚivP_1,18.89cd/	agra-pA-kaMnivedya-agreBuMjIyAt-guru-anujQayA // ŚivS-_1,18.89cd/
   śiṣyaḥputra iti proktaḥ sadāśiṣyatvayogataḥ // ŚivP_1,18.90ab/	SizyaH-putraH iti proktaH sadASizya-tva-yogataH // ŚivS-_1,18.90ab/
   jihvāliṃgānmaṃtraśukraṃkarṇayonauniṣicyavai // ŚivP_1,18.90cd/	jihvA-AliMgAn-maMtra-SukraMkarNa-yona-onizicya-vE // Śivj-_1,18.90cd/
   jātaḥputromaṃtraputraḥpitaraṃpūjayedgurum // ŚivP_1,18.91ab/	jAtaH-putraH-maMtra-putraH-pitaraMpUjayet-gurum // ŚivS-_1,18.91ab/
   nimajjayatiputraṃvaisaṃsārejanakaḥpitā // ŚivP_1,18.91cd/	nimajja-yati-putraM-vEsaMsArejana-kaHpitA // Śivj-_1,18.91cd/
   saṃtārayatisaṃsārādgururvaibodhakaḥ pitā // ŚivP_1,18.92ab/	saMtArayati-saMsArAt-guruH-vEboDakaH pitA // ŚivS-_1,18.92ab/
   ubhayoraṃtaraṃjñātvāpitaraṃgurumarcayet // ŚivP_1,18.92cd/	uBayoH-aMtaraMjQAtvA-apitaraMgurum-arcayet // Śivj-_1,18.92cd/
   aṃgaśuśrūṣayācāpi dhanādyaiḥ svārjitairgurum // ŚivP_1,18.93ab/	aMga-SuSrUzayAca-api Dana-AdyEH sva-arjitEH-gurum // ŚivS-_1,18.93ab/
   pādādikeśaparyaṃtaṃliṃgānyaṃgāniyadguroḥ // ŚivP_1,18.93cd/	pAda-Adi-keSa-paryaMtaMliMgAni-aMga-aniyat-guroH // Śivj-_1,18.93cd/
   dhanarūpaiḥ pādukādyaiḥ pādasaṃgraṇādibhiḥ // ŚivP_1,18.94ab/	Dana-rUpEH pAdukA-AdyEH pAda-saMgraNa-AdiBiH // ŚivS-_1,18.94ab/
   snānābhiṣekanaivedyairbhojanaiścaprapūjayet // ŚivP_1,18.94cd/	snAna-aBizeka-nEvedyEH-BojanEH-ca-prapUjayet // Śivj-_1,18.94cd/
   gurupūjaivapūjāsyācchivasyaparamātmanaḥ // ŚivP_1,18.95ab/	guru-pUjA-evapUjA-asyAt-Sivasya-paramAtmanaH // ŚivS-_1,18.95ab/
   guruśeṣaṃtuyatsarvamātmaśuddhikaraṃbhavet // ŚivP_1,18.95cd/	guru-SezaMtuyat-sarvam-Atma-SudDi-karaMBavet // Śivj-_1,18.95cd/
   guroḥśeṣaḥśivocchiṣṭaṃjalamannādinirmitam // ŚivP_1,18.96ab/	guroH-SezaH-Siva-ucCizwaMjalam-anna-Adi-nirmitam // ŚivS-_1,18.96ab/
   śiṣyāṇāṃśivabhaktānāṃgrāhyaṃbhojyaṃbhaveddvijāḥ // ŚivP_1,18.96cd/	SizyANAMSiva-BaktAnAMgrAhi-aMBojyaMBavet-dvijAH // ŚivS-_1,18.96cd/
   gurvanujñāvirahitaṃcoravatsakalaṃbhavet // ŚivP_1,18.97ab/	guru-anujQA-virahitaMcora-vatsa-kalaMBavet // ŚivS-_1,18.97ab/
   gurorapiviśeṣajñaṃyatnādgṛhṇītavaigurum // ŚivP_1,18.97cd/	guroH-api-viSeza-jQaMyatnAt-gRhNIta-vEgurum // ŚivS-_1,18.97cd/
   ajñānamocanaṃsādhyaṃviśeṣajñohimocakaḥ // ŚivP_1,18.98ab/	ajQAna-m-ocanaMsADyaMviSeza-jQohi-mocakaH // ŚivS-_1,18.98ab/
   ādaucavighnaśamanaṃkartavyaṃkarmapūrtaye // ŚivP_1,18.98cd/	AdOca-viGna-SamanaMkartavyaMkarma-pUrtaye // ŚivS-_1,18.98cd/
   nirvighnenakṛtaṃsāṃgaṃkarmavaisaphalaṃ bhavet // ŚivP_1,18.99ab/	nirviGnena-kRtaMsAMgaMkarma-vEsa-Palam Bavet // ŚivS-_1,18.99ab/
   tasmātsakalakarmādauvighneśaṃ pūjayed budhaḥ // ŚivP_1,18.99cd/	tasmAt-sakala-karma-AdOviGneSam pUjayet buDaH // ŚivS-_1,18.99cd/
   sarvabādhānivṛttyarthaṃsarvāndevānyajedbudhaḥ // ŚivP_1,18.100ab/	sarva-bADA-nivRtti-arTaMsarvAn-devAn-yajet-buDaH // ŚivS-_1,18.100ab/
   jvarādigraṃthirogāścabādhāhyādhyātmikāmatā // ŚivP_1,18.100cd/	jvara-Adi-graMTi-rogAH-cabADa-ahya-aDyAtmi-kAma-tA // ŚivS-_1,18.100cd/
   piśācajaṃbukādīnāṃvalmīkādyudbhavetathā // ŚivP_1,18.101ab/	piSAca-jaMbuka-AdInAMvalmIka-Adi-udBavetaTA // ŚivS-_1,18.101ab/
   akasmādevagodhādijaṃtūnāṃpatanepica // ŚivP_1,18.101cd/	akasmAt-eva-goDA-Adi-jaMtUnA-aMpatanepicaH // ŚivS-_1,18.101cd/
   gṛhekacchapasarpastrīdurjanādarśanepica // ŚivP_1,18.102ab/	gRheka=-Capa-sarpa-strI-durjana-adarSa-nepicaH // ŚivS-_1,18.102ab/
   vṛkṣanārīgavādīnāṃprasūtiviṣayepica // ŚivP_1,18.102cd/	vRkza-nArI-gava-AdInAMprasUti-vizaya-IpicaH // ŚivS-_1,18.102cd/
   bhāviduḥkhaṃsamāyātitasmāttebhautikāmatā // ŚivP_1,18.103ab/	BAvi-duHKaMsam-AyAti-tasmAt-teBOti-kAma-tA // ŚivS-_1,18.103ab/
   amedhyā śanipātaścamahāmārītathaivaca // ŚivP_1,18.103cd/	ameDyA SanipAtaH-ca-mahAmArI-taTA-eva-ca // ŚivS-_1,18.103cd/
   jvaramārīviṣūciścagomārīcamasūrikā // ŚivP_1,18.104ab/	jvara-mArI-vizU-ciH-ca-gomArIca-masUrikAH // ŚivS-_1,18.104ab/
   janmarkṣagrahasaṃkrāṃtigrahayogāsvarāśike // ŚivP_1,18.104cd/	janma-Rkza-graha-saMkrAMtigraha-yoga-asvarASike // ŚivS-_1,18.104cd/
   duḥsvapnadarśanādyāścamatāvaihyadhidaivikāḥ // ŚivP_1,18.105ab/	duHsvapna-darSana-AdyAH-ca-matA-vEhyaDidEvikAH // ŚivS-_1,18.105ab/
   śavacāṃḍālapatitasparśādyeṃtargṛhegate // ŚivP_1,18.105cd/	Sava-cAMxAla-patita-sparSa-AdyeMtargRhegate // ŚivS-_1,18.105cd/
   etādṛśesamutpannebhāviduḥkhasyasūcake // ŚivP_1,18.106ab/	etAdRSesamutpannA-iBa-avi-duHKasya-sUcake // ŚivS-_1,18.106ab/
   śāṃtiyajñaṃtumatimānkuryāttaddoṣaśāṃtaye // ŚivP_1,18.106cd/	SAMti-yajQaMtumatimAn-kuryAt-tad-doza-SAMtaye // ŚivS-_1,18.106cd/
   devālaye 'thagoṣṭhevācaityevāpigṛhāṃgaṇe // ŚivP_1,18.107ab/	devAlaye aTa-gozWA-ivAca-eti-eva-api-gRhAMgaNe // ŚivS-_1,18.107ab/
   prādeśonnatadhiṣṇyevaidvihasteyasvalaṃkṛte // ŚivP_1,18.107cd/	prAdeSa-unnata-DizNyA-iva-Edvihasteyasu-alaMkRte // ŚivS-_1,18.107cd/
   bhāramātravrīhidhānyaṃprasthāpyaparisṛtyaca // ŚivP_1,18.108ab/	BAra-mAtra-vrIhi-DAnyaMprasTApya-parisRtya-ca // ŚivS-_1,18.108ab/
   madhyevilikhyakamalaṃtathādikṣuvilikhyavai // ŚivP_1,18.108cd/	maDyeviliKya-kamalaMtaTAt-ikzu-viliKya-vE // ŚivS-_1,18.108cd/
   taṃtunāveṣṭitaṃkuṃbhaṃ navagugguladhūpitam // ŚivP_1,18.109ab/	taMtunA-AvezwitaMkuMBam nava-guggula-DUpitam // ŚivS-_1,18.109ab/
   madhyesthāpyamahākuṃbhaṃtathādikṣvapivinyaset // ŚivP_1,18.109cd/	maDyesTApya-mahA-kuMBaMtaTA-Adikzu-apivinyaset // ŚivS-_1,18.109cd/
   sanālāmrakakūrcādīnkalaśāṃśca tathāṣṭasu // ŚivP_1,18.110ab/	sa-nAla-Amraka-kUrca-AdIn-kalaSAn=-ca taTA-azwasu // ŚivS-_1,18.110ab/
   pūrayenmaṃtrapūtenapañcadravyayutenahi // ŚivP_1,18.110cd/	pUrayet-maMtra-pUtenapaQca-dravya-yutena-hi // ŚivS-_1,18.110cd/
   prakṣipennavaratnāninīlādīnkramaśastathā // ŚivP_1,18.111ab/	prakzipet-navaratna-ani-nIla-AdIn-kramaSas-taTA // ŚivS-_1,18.111ab/
   karmajñaṃcasapatnīkamācāryaṃvarayedbudhaḥ // ŚivP_1,18.111cd/	karma-jQaMcasa-patnIkam-AcArI-aMvarayet-buDaH // ŚivS-_1,18.111cd/
   suvarṇapratimāṃ viṣṇoriṃdrādīnāṃca nikṣipet // ŚivP_1,18.112ab/	suvarNa-pratimAm vizNoH-iMdra-AdInAMca nikzipet // ŚivS-_1,18.112ab/
   saśiraskemadhyakuṃbheviṣṇumābāhyapūjayet // ŚivP_1,18.112cd/	sa-SiraskemaDya-kuMBevizNum-AbAhya-pUjayet // ŚivS-_1,18.112cd/
   prāgādiṣuyathāmaṃtramiṃdrādīnkramaśoyajet // ŚivP_1,18.113ab/	prAc-Adizu-yaTA-maMtramiMdra-AdIn-krama-Soya-jet // ŚivS-_1,18.113ab/
   tattannāmnācaturthyāṃcanamonte nayathākramam // ŚivP_1,18.113cd/	tad-tad-nAmnA-caturTyAMcanamonte nayaTAkramam // ŚivS-_1,18.113cd/
   āvāhanādikaṃsarvamācāryeṇaivakārayet // ŚivP_1,18.114ab/	AvAhana-Adi-kaMsarvam-AcAryeNa-eva-kArayet // ŚivS-_1,18.114ab/
   ācārya ṛtvijā sārdhaṃ tanmātrānprajapecchatam // ŚivP_1,18.114cd/	AcAryaH RtvijA sArDam tanmAtrAn-prajapet-Satam // ŚivS-_1,18.114cd/
   kuṃbhasya paścime bhāgejapāṃtehomamācaret // ŚivP_1,18.115ab/	kuMBasya paScime BAgejapa-aMtehomam-Acaret // ŚivS-_1,18.115ab/
   koṭiṃlakṣaṃsahasraṃvāśatamaṣṭottaraṃ budhāḥ // ŚivP_1,18.115cd/	kowiMlakzaMsahasraMvASatam-azwa-uttaram buDAH // ŚivS-_1,18.115cd/
   ekāhaṃvānavāhaṃvātathāmaṃḍalameva vā // ŚivP_1,18.116ab/	eka-ahaMvAn-avAhaMvA-taTA-maMxalam-eva vA // ŚivS-_1,18.116ab/
   yathāyogyaṃprakurvītakāladeśānusārataḥ // ŚivP_1,18.116cd/	yaTAyogyaMprakurvIta-kAla-deSa-anusArataH // ŚivS-_1,18.116cd/
   śamīhomaśca śāṃtyarthe vṛttyarthecapalāśakam // ŚivP_1,18.117ab/	SamI-homaH-ca SAMti-arTe vRtti-arTeca-palASakam // ŚivS-_1,18.117ab/
   samidannājyakairdravyairnāmnāmaṃtreṇa vā hunet // ŚivP_1,18.117cd/	samidat-=-AjyakEH-dravyEH-nAmnA-amaMtreNa vA hunet // ŚivS-_1,18.117cd/
   prāraṃbheyatkṛtaṃdravyaṃtatkriyāṃtaṃsamācaret // ŚivP_1,18.118ab/	prAraMBeyat-kRtaMdravyaMtad-kriyA-aMtaMsam-Acaret // ŚivS-_1,18.118ab/
   puṇyāhaṃvācayitvāṃte dinesaṃprokṣyayejjalaiḥ // ŚivP_1,18.118cd/	puNya-ahaMvAcayitvA-aMte dinesaMprokzyayet-jalEH // ŚivS-_1,18.118cd/
   brāhmaṇānbhojayetpaścādyāvadāhutisaṃkhyayā // ŚivP_1,18.119ab/	brAhmaNAn-Bojayet-paScAt-yAvat-Ahuti-saMKyayA // ŚivS-_1,18.119ab/
   ācāryaścahaviṣyāśītvijaścabhavedbudhāḥ // ŚivP_1,18.119cd/	AcAryaH-ca-havizya-ASI-tvijaH-caBavet-buDAH // ŚivS-_1,18.119cd/
   ādityādīngrahāniṣṭvāsarvahomāṃta evahi // ŚivP_1,18.120ab/	Aditya-AdIn-grahAn-izwvA-sarva-homAMte eva-hi // ŚivS-_1,18.120ab/
   ṛtvibhyodakṣiṇāṃdadyānnavaratnaṃyathā kramam // ŚivP_1,18.120cd/	Rtu-iByaH-dakziNAMdadyAt-navaratnaMyaTA kramam // ŚivS-_1,18.120cd/
   daśadānaṃtataḥkuryādbhūridānaṃtataḥ param // ŚivP_1,18.121ab/	daSa-da-an-aMtataHkuryAt-BUrida-anaMtataH param // ŚivS-_1,18.121ab/
   bālānāmupanītānāṃgṛhiṇāṃvanināṃdhanam // ŚivP_1,18.121cd/	bAlAnAm-upanItAnAMgRhiNAMvanina-aMDanam // ŚivS-_1,18.121cd/
   kanyānāṃcasabhartḥṇāṃvidhavānāṃtataḥparam // ŚivP_1,18.122ab/	kanyA-nAMcasa-BartHNAMviDavAnAMtatas-param // ŚivS-_1,18.122ab/
   taṃtropakaraṇaṃsarvamācāryāyanivedayet // ŚivP_1,18.122cd/	taMtra-upakaraNaMsarvam-AcAryAya-nivedayet // ŚivS-_1,18.122cd/
   utpātānāṃcamārīṇāṃduḥkhasvāmīyamaḥsmṛtaḥ // ŚivP_1,18.123ab/	utpAtAnAMca-mArINAMduHKa-svAmI-yamaH-smRtaH // ŚivS-_1,18.123ab/
   tasmādyamasyaprītyarthaṃkāladānaṃpradāpayet // ŚivP_1,18.123cd/	tasmAt-yamasya-prIti-arTaMkAla-dAnaMpradApayet // ŚivS-_1,18.123cd/
   śataniṣkeṇa vā kuryāddaśaniṣkeṇa vā punaḥ // ŚivP_1,18.124ab/	Sata-nizkeNa vA kuryAt-daSa-nizkeNa vA punar // ŚivS-_1,18.124ab/
   pāśāṃkuśadharaṃ kālaṃ kuryātpuruṣarūpiṇam // ŚivP_1,18.124cd/	pASa-aMkuSa-Daram kAlam kuryAt-puruza-rUpiNam // ŚivS-_1,18.124cd/
   tatsvarṇapratimādānaṃkuryāddakṣiṇayāsaha // ŚivP_1,18.125ab/	tad-svarNa-pratimAda-anaMkuryAt-dakziNayA-asaha // ŚivS-_1,18.125ab/
   tiladānaṃtataḥkuryātpūrṇāyuṣyaprasiddhaye // ŚivP_1,18.125cd/	tila-dA-anaMtataHkuryAt-pUrNa-Ayuzya-prasidDaye // ŚivS-_1,18.125cd/
   ājyāvekṣaṇadānaṃcakuryādvyādhinivṛttaye // ŚivP_1,18.126ab/	Ajya-avekzaNa-dAnaMcakuryAt-vyADi-nivRttaye // ŚivS-_1,18.126ab/
   sahasraṃbhojayedviprāndaridraḥśatamevavā // ŚivP_1,18.126cd/	sahasraMBojayet-viprAn-daridraH-Satam-evavA // ŚivS-_1,18.126cd/
   vittābhāvedaridrastuyathāśaktisamācaret // ŚivP_1,18.127ab/	vitta-ABA-vedaridraH-tuyaTASakti-samAcaret // ŚivS-_1,18.127ab/
   bhairavasyamahāpūjāṃkuryādbhūtādiśāṃtaye // ŚivP_1,18.127cd/	BEravasya-mahA-pUjA-aMkuryAt-BUtAdi-SAMtaye // ŚivS-_1,18.127cd/
   mahābhiṣekaṃnaivedyaṃśivasyāntetukārayet // ŚivP_1,18.128ab/	mahA-aBizekaMnEvedyaMSivasya-antetukArayet // ŚivS-_1,18.128ab/
   brāhmaṇānbhojayetpaścādbhūribhojanarūpataḥ // ŚivP_1,18.128cd/	brAhmaNAn-Bojayet-paScAt-BUri-Bojana-rUpataH // ŚivS-_1,18.128cd/
   evaṃkṛtenayajñenadoṣaśāṃtimavāpnuyāt // ŚivP_1,18.129ab/	evaMkRtena-yajQena-doza-SAMtim-avApnuyAt // ŚivS-_1,18.129ab/
   śāṃtiyajñamimaṃkuryādvarṣevarṣetuphālgune // ŚivP_1,18.129cd/	SAMti-yajQam-imaMkuryAt-varzeva-rzetu-PAlgune // ŚivS-_1,18.129cd/
