   praśnopaniṣad	praSna-upanizad
   kalpayanto 'nyatārkikakṛtabuddhiviṣayāḥ santo vihanyante /	kalpayantaH anya-tArkika-kRta-budDi-vizayAH santaH vihanyante /
   tathetare tārkikāḥ sāṃkhyaiḥ /	taTA-itare tArkikAH sAMKyEH /
   ityevaṃ parasparaviruddhārthakalpanāt āmiṣārthina iva prāṇino	iti-evam paraspara-virudDa-arTa-kalpanAt Amiza-arTinaH iva prANinaH-
   'nyonyaviruddhamānārthadarśitvāt paramārthatattvāddūram evāpakṛṣyante /	anyonya-virudDa-mAna-arTa-darSi-tvAt parama-arTa-tattvAt-dUram eva-apakRzyante /
   atastanmatamanādṛtya vedāntārthatattvamekatvadarśanaṃ prati ādaravanto	atas-tat-matam-anAdRtya vedAnta-arTa-tattvam-ekatva-darSanam prati AdaravantaH-
   mumukṣavaḥ syuriti tārkikamatadoṣapradarśanaṃ kiñciducyata asmābhirna tu	mumukzavaH syuH-iti tArkika-mata-doza-pradarSanam kiQcid-ucyata asmABiH-na tu
   tārkikavattātparyeṇa /	tArkika-vat-tAtparyeNa /
   tadaitadatroktam -	tadA-etat-atra-uktam -
   'vivadatsveva nikṣipya virodhodbhavakāraṇam /	avivadatsu-eva nikzipya viroDa-udBava-kAraNam /
   taiḥ saṃrakṣitasadbuddhiḥ sukhaṃ nirvāti vedavitṭa //	tEH saMrakzita-sat-budDiH suKam nirvAti veda-vitwaH //
   iti /	iti /
   kiṃ ca bhoktṛtvakartṛtvayorvikriyayorviśeṣānupapattiḥ /	kim ca BoktR-tva-kartR-tvayoH-vikriyayoH-viSeza-anupapattiH /
   kā nāmāsau kartṛtvājjātyantarabhūtā bhoktṛtvaviśiṣṭā vikriyā yato	kA nAma-asO kartR-tvAt-jAti-antara-BUtA BoktR-tva-viSizwAH vikriyA yatas-
   bhoktaiva puruṣaḥ kalpyate na kartā pradhānaṃ tu kartreva na bhoktriti /	BoktA-eva puruzaH kalpyate na kartA praDAnam tu kartR-A-iva na BoktR-iti /
   nanūktaṃ puruṣaścinmātra eva sa ca svātmastho vikriyate bhuñjāno na	nanu-uktam puruzaH-cit-mAtraH eva sa ca sva-Atma-sTaH vikriyate BuQjAnaH na
   tattvāntarapariṇāmena pradhānaṃ tu tattvāntarapariṇāmena pradhānaṃ tu	tattva-antara-pariNAmena praDAnam tu tattva-antara-pariNAmena praDAnam tu
   tattvāntarapariṇāmena vikriyate 'to 'nekamaśuddhamacetanaṃ	tattva-antara-pariNAmena vikriyate atas anekam-aSudDam-acetanam
   cetyādidharmavattadviparītaḥ puruṣaḥ /	ca-ityAdi-Darmavat-tad-viparItaH puruzaH /
   nāsau viśeṣo vāṅmātratvāt /	na-asO viSezaH vAc-mAtra-tvAt /
   prāgbhogotpatteḥ kevalacinmātrasya puruṣasya bhoktṛtvaṃ nāma viśeṣo	prAc-Boga-utpatteH kevala-cit-mAtrasya puruzasya BoktR-tvam nAma viSezaH-
   bhogotpattikāle cejjāyate nivṛtte ca bhoge punastadviśeṣādapetaścinmātra	Boga-utpatti-kAle ced-jAyate nivRtte ca Boge punar-tad-viSezAt-apetaH-cit-mAtra
   eva bhavatīti cenmahadādyākāreṇa ca pariṇamya pradhānaṃ tato 'petya punaḥ	eva Bavati-iti ced-mahat-Adi-AkAreNa ca pariNamya praDAnam tatas apetya punar-
   pradhānaṃ tato 'petya punaḥ pradhānaṃ svarūpeṇāvatiṣṭhata ityasyāṃ	praDAnam tatas apetya punar praDAnam sva-rUpeNa-avatizWate iti-asyAm
   kalpanāyāṃ na kaścidviśeṣa iti vāṅmātreṇa pradhānapuruṣayorviśiṣṭavikriyā	kalpanAyAm na kaScid-viSezaH iti vAc-mAtreNa praDAna-puruzayoH-viSizwa-vikriyA
   kalpyate /	kalpyate /
   atha bhogakāle 'pi cinmātra eva prāgvatpuruṣa iti cet /	aTa Boga-kAle api cit-mAtre eva prAgvat-puruzaH iti ced /
   na tarhi paramārthato bhogaḥ puruṣasya /	na tarhi paramArTataH BogaH puruzasya /
   bhogakāle cinmātrasya vikriyā paramārthaiva tena bhogaḥ puruṣasyeti cet /	Boga-kAle cit-mAtrasya vikriyA parama-arTa-eva tena BogaH puruzasya-iti ced /
   na, pradhānasyāpi bhogakāle vikriyāvattvādbhoktṛtvaprasaṅgaḥ /	na, praDAnasya-api Boga-kAle vikriyAvat-tvAt-BoktR-tva-prasaFgaH /
   cinmātrasyaiva vikriyā bhoktṛtvam iti	cit-mAtrasya-eva vikriyA BoktR-tvam iti
   cedauṣṇyādyasādhāraṇadharmavatāmagnyādīnāmabhoktṛtve hetvanupapattiḥ /	ced-OzNya-Adi-asADAraNa-DarmavatAm-agni-AdInAm-aBoktR-tve hetu-anupapattiH /
   pradhānapuruṣasyordvayoryugapadbhoktṛtvamiti cet /	praDAna-puruzasyoH-dvayoH-yugapad-BoktR-tvam-iti ced /
   na, pradhānasya parārthyānupapatteḥ /	na, praDAnasya parArTya-anupapatteH /
   na hi bhoktṛrtrordvayoritaretaraguṇapradhānabhāva upapadyate	na hi BoktRrtroH-dvayoH-itaretara-guNa-praDAna-BAvaH upapadyate
   prakāśayorivetaretaraprakāśane /	prakASayoH-iva-itaretara-prakASane /
   bhogadharmavati sattvāṅgini cetasi puruṣasya caitanyapratibimbodayo	Boga-Darmavati sattva-aFgini cetasi puruzasya cEtanya-pratibimba-udayaH-
   'vikriyasya puruṣasya bhoktṛtvamiti cet /	avikriyasya puruzasya BoktR-tvam-iti ced /
   na, puruṣasya viśeṣābhāve bhoktṛtvakalpanānarthakyāt /	na, puruzasya viSeza-aBAve BoktR-tva-kalpanA-narTakyAt /
   bhogarūpaścedanarthaḥ puruṣasya nāsti sadā nirviśeṣatvātpuruṣasya kasya	Boga-rUpaH-ced-anarTaH puruzasya na-asti sadA nirviSeza-tvAt-puruzasya kasya
   apanayārthaṃ mokṣasādhanaṃ śāstraṃ praṇīyate /	apanaya-arTam mokza-sADanam SAstram praNIyate /
   avidyādhyāropitānarthāpanayanāya śāstrapraṇayanamiti cetparamārthataḥ	avidyA-aDyAropita-anarTa-apanayanAya SAstra-praNayanam-iti ced-paramArTataH
   puruṣo bhoktaiva na kartā pradhānaṃ kartreva na	puruzaH BoktA-eva na kartA praDAnam kartR-A-iva na
   bhoktṛparamārthasadvastvantaraṃ puruṣāccetīyaṃ kalpanāgamabāhyāvyarthā	BoktR-parama-arTa-sadvastu-antaram puruzAt-cetIyam kalpanA-Agama-bAhya-avyarTA
   nirhetukā ceti nādartavyā mumukṣubhiḥ /	nirhetukA ca-iti na-AdartavyA mumukzuBiH /
   ekatve 'pi śāstrapraṇāyanādyānarthakyamiti cet /	eka-tve api SAstra-praNAyana-Adi-AnarTakyam-iti ced /
   na abhāvāt /	na aBAvAt /
   satsu hi śāstrapraṇetrādiṣu tatphalārthiṣu ca śāstrasya	satsu hi SAstra-praNetra-Adizu tad-Pala-arTizu ca SAstrasya
   praṇayanamanarthakaṃ sārthakaṃ veti vikalpanā syāt /	praNayanam-anarTakam sArTakam vA-iti vikalpanA syAt /
   na hyātmaikatve śāstrapraṇetrādayastato bhinnāḥ santi tadabhāva evaṃ	na hi-AtmA-eka-tve SAstra-praNetra-AdayaH-tatas BinnAH santi tad-aBAvaH evam
   vikalphanaivānupapannā /	vikalPana-eva-anupapannAH /
   abhyupagata ātmaikatve pramāṇārthaścābhyupagato bhavatā	aByupagataH AtmA-ekatve pramANa-arTaH-ca-aByupagataH BavatA
   yadātmaikatvamabhyupagacchatā, tadabhyupagame ca vikalpānupapattimāha	yat-AtmA-eka-tvam-aByupagacCatA, tad-aByupagame ca vikalpa-anupapattim-Aha
   śāstram"yatra tvasya sarvamātmaivābhūttatkena kaṃ paśyet"(bṛ.u.2 / 4 / 14)	SAstram-"yatra tu-asya sarvam-AtmA-eva-aBUt-tat-kena kam paSyet-"(bR.u.2 / 4 / 14)
   ityādi /	ityAdi /
   śāstrapraṇayanādyupapattiṃ cāhānyatra paramārthavastusvarūpādavidyāviṣaye	SAstra-praNayana-Adi-upapattim ca-aha-anyatra parama-arTa-vastu-svarUpAt-avidyA-vizaye
   "yatra hi dvaitamiva bhavati"(bṛ.u.2 / 4 / 14) ityādi vistarato	"yatra hi dvEtam-iva Bavati-"(bR.u.2 / 4 / 14) ityAdi vistarataH-
   vājasaneyake /	vAjasaneyake /
   atra ca vibhakte vidyāvidye parāpare ityādāveva śāstrasya /	atra ca viBakte vidyA-avidye para-apare iti-AdO=-eva SAstrasya /
   ato na tārkikavādabhaṭapraveśo vedāntarājapramāṇabāhugupta	atas na tArkika-vAda-Bawa-praveSaH vedAnta-rAja-pramANa-bAhu-gupta
   ihātmaikatvaviṣaya iti /	iha-AtmA-eka-tva-vizayaH iti /
   etenāvidyākṛtanāmarūpādyupādhikṛtānekaśaktisādhanaśrutabhedavattvādbrāhmaṇaḥ	etena-avidyA-kRta-nAma-rUpa-Adi-upADi-kRta-aneka-Sakti-sADana-Sruta-Bedavat-tvAt-brAhmaNaH
   sṛṣṭyādikartṛtve sādhanādyabhāvo doṣaḥ pratyukto veditavyaḥ parairukta	sRzwi-Adi-kartR-tve sADana-Adi-aBAvaH dozaH pratyuktaH veditavyaH parEH-ukta
   ātmānarthakartṛtvādidoṣaśca /	Atma-anarTa-kartR-tva-Adi-dozaH-ca /
   yastu dṛṣṭānto rājñaḥ sarvārthakāriṇi kartaryupacārādrājā karteti so	yaH-tu dRzwAntaH rAjQaH sarva-arTa-kAriNi kartari-upacArAt-rAjA kartA-iti saH-
   'trānubhapapannaḥ"sa īkṣāñcakre"iti	atra-anuBapa-pannaH"saH IkzAQcakre"iti
   śrutermukhyārthabādhanātpramāṇabhūtāyāḥ /	SruteH-muKyA-arTa-bADanAt-pramANa-BUtAyAH /
   tatra hi gauṇī kalpanā śabdasya yatra mukhyārtho na sambhavati /	tatra hi gONI kalpanA Sabdasya yatra muKya-arTaH na samBavati /
   iha tvacetanasya muktabaddhapuruṣaviśeṣāpekṣayā	iha tu-acetanasya mukta-badDa-puruza-viSeza-apekzayA
   kartṛkarmadeśakālanimittāpekṣayā ca bandhamokṣādiphalārthā niyatā puruṣaṃ	kartR-karma-deSa-kAla-nimitta-apekzayA ca banDa-mokza-Adi-Pala-arTAH niyatA puruzam
   prati pravṛttirnopapadyate /	prati pravRttiH-na-upapadyate /
   yathoktasarvajñeśvarakartṛtvapakṣe tūpapannā īśvareṇeva sarvādhikāri	yaTA-ukta-sarva-jQa-ISvara-kartR-tva-pakze tu-upapannAH ISvareNa-iva sarva-aDikAri
   prāṇaḥ puruṣeṇa sṛjyate /	prANaH puruzeNa sRjyate /
   katham sa puruṣa uktaprakāreṇekṣitvā sarvaprāṇaṃ hiraṇyagarbhākhyaṃ	kaTam sa puruzaH ukta-prakAreNa-IkzitvA sarva-prANam hiraNyagarBa-AKyam
   sarvaprāṇikaraṇādhāram ātmānam asṛjata sṛṣṭavān /	sarva-prANi-karaNa-ADAram AtmAnam asRjata sRzwavAn /
   ataḥ prāṇācchraddhāṃ sarvaprāṇināṃ śubhakarmapravṛttihetubhūtām /	atas prANAt-SradDAm sarva-prANinAm SuBa-karma-pravRtti-hetu-BUtAm /
   tataḥ karmaphalopabhogasādhanādhiṣṭhānāni kāraṇabhūtāni mahābhūtānyasṛjata	tatas karma-Pala-upaBoga-sADana-aDizWAnAni kAraNa-BUtAni mahABUtAni-asRjata
   svaṃ śabdaguṇam, vāyuṃ svena sparśena kāraṇaguṇena ca viśiṣṭaṃ triguṇaṃ	svam Sabda-guNam, vAyum svena sparSena kAraNa-guNena ca viSizwam triguNam
   śabdasparśābhyām /	Sabda-sparSAByAm /
   tathāpo rasena guṇena sādhāraṇena pūrvaguṇānupraveśena ca caturguṇāḥ /	taTA-apaH rasena guNena sADAraNena pUrva-guNa-anupraveSena ca caturguNAH /
   tathā gandhaguṇena pūrvaguṇānupraveśena ca caturguṇāḥ /	taTA ganDa-guNena pUrva-guNa-anupraveSena ca caturguNAH /
   tathā gandhaguṇena pūrvaguṇānupraveśena ca pañcaguṇā pṛthivī /	taTA ganDa-guNena pUrva-guNa-anupraveSena ca paQcaguNA pRTivI /
   tathā taireva bhūtairārabdhamindriyaṃ dviprakāraṃ buddhyarthaṃ karmārthaṃ	taTA tEH-eva BUtEH-ArabDam-indriyam dvi-prakAram budDi-arTam karma-arTam
   ca daśasaṃkhyākaṃ tasya ceśvaramantaḥsthaṃ saṃśayasaṅkalpalakṣaṇaṃ manaḥ /	ca daSa-saMKyAkam tasya ca-ISvaram-antaHsTam saMSaya-saFkalpa-lakzaNam manaH /
   evaṃ prāṇināṃ kāryaṃ karaṇaṃ ta sṛṣṭvā tatsthityarthaṃ	evam prANinAm kAryam karaNam te sRzwvA tad-sTiti-arTam
   vrīhiyavādilakṣaṇamannam /	vrIhi-yava-Adi-lakzaNam-annam /
   tataścānnādadyamānādvīryaṃ sāmarthyaṃ balaṃ sarvakarmapravṛttisādhanam /	tatas-ca-anna-adadyamAnAt-vIryam sAmarTyam balam sarva-karma-pravRtti-sADanam /
   tadvīryavatāṃ ca prāṇināṃ tapo viśuddhisādhanaṃ saṅkīryamāṇānām /	tat-vIryavatAm ca prANinAm tapaH viSudDi-sADanam saFkIryamANAnAm /
   mantrastapoviśuddhāntarbahiḥkaraṇebhyaḥ karmasādhanabhūtāṛgyajuḥ	mantraH-tapaH-viSudDa-antar-bahis-karaNeByaH karma-sADana-BUta-aRk-yajuH
   sāmātharvāṅgirasaḥ tataḥ /	sAma-aTarva-aFgirasaH tatas /
   karmāgnihotrādilakṣaṇam /	karma-agnihotra-Adi-lakzaNam /
   tapo lokāḥ karmaṇāṃ phalam /	tapaH lokAH karmaNAm Palam /
   teṣu ca sṛṣṭānāṃ prāṇināṃ nāma ca devadatto yajñadatta ityādi /	tezu ca sRzwAnAm prANinAm nAma ca devadattaH yajQadattaH ityAdi /
   evam etāḥ kalāḥ prāṇināmavidyādidoṣabījāpekṣayā sṛṣṭāḥ taimirikadṛṣṭisṛṣṭā	evam etAH kalAH prANinAm-avidyA-Adi-doza-bIja-apekzayA sRzwAH tEmirika-dRzwi-sRzwA
   iva dvicandramaśakamakṣikādyāḥ svapnadṛksṛṣṭā iva ca sarvapadārthaḥ	iva dvi-candra-maSaka-makzika-AdyAH svapna-dRS-sRzwAH iva ca sarva-padArTaH
   punastasminneva puruṣe pralīyante hitvā nāmarūpādi vibhāgam //4//	punar-tasmin=-eva puruze pralIyante hitvA nAma-rUpa-Adi viBAgam //4//
   START PrUp 6.5	START PrUp 6.5
   katham -	kaTam -
   sa yathemā nadyaḥ syandamānāḥ samudrāyaṇāḥ samudraṃ prāpyāstaṃ gacchanti |	sa yaTA-imAH nadyaH syandamAnAH samudrAyaNAH samudram prApya-astam gacCanti |
   bhidyete tāsāṃ nāmarūpe |	Bidyete tAsAm nAma-rUpe |
   samudra ity evaṃ procyate |	samudraH iti evam procyate |
   evam evāsya paridraṣṭur imāḥ ṣoḍaśa kalāḥ puruṣāyaṇāḥ puruṣaṃ prāpyāstaṃ	evam eva-asya paridrazwuH imAH zoxaSa kalAH puruzAyaNAH puruzam prApya-astam
   gacchanti |	gacCanti |
   bhidyete cāsāṃ nāmarūpe |	Bidyete ca-AsAm nAma-rUpe |
   puruṣa ity evaṃ procyate |	puruzaH iti evam procyate |
   sa eṣo 'kalo 'mṛto bhavati tadeṣa ślokaḥ || PrUp_6.5 ||	saH ezaH akalaH amRtaH Bavati tat-eza SlokaH || PrUp_6.5 ||
   PrUpBh_6.5	PrUpB=-_6.5
   sa dṛṣṭānto yathā loka imā nadyaḥ syandamānāḥ sravantyaḥ samudrāyaṇāḥ	sa dRzwAntaH yaTA loke imAH nadyaH syandamAnAH sravantyaH samudrAyaNAH
   samudro 'yanaṃ gatiḥ ātmabhovo yāsāṃ tāḥ samudrāyaṇāḥ samudraṃ	samudraH ayanam gatiH Atma-BovaH yAsAm tAH samudrAyaNAH samudram
   prāpyopagamyāstaṃ nāmarūpatiraskāraṃ gacchanti /	prApya-upagamyAH-tam nAma-rUpa-tiraskAram gacCanti /
   tāsāṃ cāstaṃ gatānāṃ bhidyete vinaśyato nāmarūpe gaṅgāyamunetyādilakṣaṇe /	tAsAm ca-astam gatAnAm Bidyete vinaSyataH nAma-rUpe gaFgA-yamunA-ityAdi-lakzaNe /
   tadabhede samudra ityevaṃ procyate tadvastūdakalakṣaṇam /	tad-aBede samudraH iti-evam procyate tad-vastu-udaka-lakzaNam /
   evaṃ yathāyaṃ dṛṣṭāntaḥ, uktalakṣaṇasya prakṛtasyāsya puruṣasya	evam yaTA-ayam dRzwAntaH, ukta-lakzaNasya prakRtasya-asya puruzasya
   paridraṣṭuḥ parisamantād draṣṭurdarśanasya kartuḥ svarūpabhūtasya	paridrazwuH parisamantAt drazwuH-darSanasya kartuH sva-rUpa-BUtasya
   yathārkaḥ svātmaprakāśasya kartā sarvataḥ tadvadimāḥ ṣoḍaśa kalāḥ prāṇādyā	yaTA-arkaH sva-Atma-prakASasya kartA sarvatas tadvat-imAH zoxaSa kalAH prANa-AdyA
   uktāḥ kalāḥ puruṣāyaṇā nadīnāmiva samudraḥ puruṣo 'yanamātmabhāvagamanaṃ	uktAH kalAH puruzAyaNAH nadInAm-iva samudraH puruzaH ayanam-Atma-BAva-gamanam
   yāsāṃ kalānāṃ tāḥ puruṣāyaṇāḥ puruṣaṃ prāpya puruṣātmabhāvamupagamya	yAsAm kalAnAm tAH puruzAyaNAH puruzam prApya puruza-Atma-BAvam-upagamya
   tathaivāstaṃ gacchanti /	taTA-eva-astam gacCanti /
   bhidyete cāsāṃ nāmarūpe kalānāṃ prāṇādyākhyā rūpaṃ ca yathāsvam /	Bidyete ca-AsAm nAma-rUpe kalAnAm prANa-Adi-AKyA rUpam ca yaTAsvam /
   bhede ca nāmarūpayoryadanaṣṭaṃ tattvaṃ puruṣa ityevaṃ procyate	Bede ca nAma-rUpayoH-yat-anazwam tattvam puruzaH iti-evam procyate
   brahmavidbhiḥ /	brahma-vidBiH /
   ya evaṃ vidvānguruṇā pradarśitakalāpralayamārgaḥ sa eṣa vidyayā	yaH evam vidvAn-guruNA pradarSita-kalA-pralaya-mArgaH saH eza vidyayA
   pravilāpitāsvavidyākāmakarmajanitāsu prāṇādikalāsvakalaḥ	pravilApita-Asu-avidyA-kAma-karma-janitAsu prANa-Adi-kalA-su-akalaH
   avidyākṛtakalānimitto hi mṛtyuḥ tadapagame 'kalatvādevāmṛto bhavati	avidyA-kRta-kalA-nimittaH hi mRtyuH tad-apagame akala-tvAt-eva-amRtaH Bavati
   tadetasminnartha eṣa ślokaḥ //5//	tat-etasmin=-arTaH eza SlokaH //5//
   START PrUp 6.6	START PrUp 6.6
   arā iva rathanābhau kalā yasmin pratiṣṭhitāḥ /	arAH iva raTa-nABO kalAH yasmin pratizWitAH /
   taṃ vedyaṃ puruṣaṃ veda yathā mā vo mṛtyuḥ parivyathā iti // PrUp_6.6 //	tam vedyam puruzam veda yaTA mA vaH mRtyuH parivyaTAH iti // PrUp_6.6 //
   PrUpBh_6.6	PrUpB=-_6.6
   arā rathacakraparivārā iva rathanābhau rathacakrasya nābhau yathā	arAH raTa-cakra-parivArAH iva raTa-nABO raTa-cakrasya nABO yaTA
   praveśitāstadāśrayā bhavanti yathā tathetyarthaḥ, kalāḥ prāṇādyā	praveSitAH-tad-ASrayAH Bavanti yaTA taTA-iti-arTaH, kalAH prANa-AdyA
   yasminpuruṣe pratiṣṭhitā utpattisthitilayakāleṣu taṃ puruṣaṃ	yasmin-puruze pratizWitAH utpatti-sTiti-laya-kAlezu tam puruzam
   kalānāmātmabhūtaṃ vedyaṃ vedanīyaṃ pūrṇatvāt puruṣaṃ puri śayanādvā veda	kalAnAm-Atma-BUtam vedyam vedanIyam pUrNa-tvAt puruzam puri SayanAt-vA veda
   jānīyāt, yathā he śiṣyā mā vo yuṣmānmṛtyuḥ parivyathā mā parivyathayatu /	jAnIyAt, yaTA he SizyAH mA vaH yuzmAn-mRtyuH parivyaTA mA parivyaTayatu /
   na cedvijñāyeta puruṣo mṛtyunimittāṃ vyathāmāpannā duḥkhina eva yūyaṃ stha	na ced-vijQAyeta puruzaH mRtyu-nimittAm vyaTAm-ApannAH duHKinaH eva yUyam sTa
   atastanmā bhudyuṣmākamityabhiprāyaḥ //6//	atas-tat-mA BudyuzmAkam-iti-aBiprAyaH //6//
   START PrUp 6.7	START PrUp 6.7
   tān hovāca |	tAn ha-uvAca |
   etāvad evāham etat paraṃ brahma veda |	etAvat eva-aham etat param brahma veda |
   nātaḥ param astīti || PrUp_6.7 ||	na-atas param asti-iti || PrUp_6.7 ||
   PrUpBh_6.7	PrUpB=-_6.7
   tānevamanuśiṣya śiṣyāṃstān hovāca pippalādaḥ kilaitāvadeva vedyaṃ paraṃ	tAn-evam-anuSizya SizyAn=-tAn ha-uvAca pippalAdaH kila-etAvat-eva vedyam param
   brahma veda vijānāmyahametat /	brahma veda vijAnAmi-aham-etat /
   nāto 'smātparamastiprakṛṣṭataraṃ	na-atas asmAt-paramasti-prakRzwataram
   veditavyamityevamuktavāñśiṣyāṇāmaviditaśeṣāstitvāśaṅkānivṛttaye	veditavyam-iti-evam-uktavAn-SizyANAm-avidita-Seza-astitva-ASaFkA-nivRttaye
   kṛtārthabuddhijananārthaṃ ca //7//	kRtArTa-budDi-janana-arTam ca //7//
   START PrUp 6.8	START PrUp 6.8
   te tam arcayantas tvaṃ hi naḥ pitā yo 'smākam avidyāyāḥ paraṃ pāraṃ	te tam arcayantaH tvam hi naH pitA yaH asmAkam avidyAyAH param pAram
   tārayasīti namaḥ |	tArayasi-iti namaH |
   paramaṛṣibhyo namaḥ paramaṛṣibhyaḥ || PrUp_6.8 ||	parama-RziByaH namaH parama-RziByaH || PrUp_6.8 ||
   PrUpBh_6.8	PrUpB=-_6.8
   tataste śiṣyā guruṇānuśiṣṭāstaṃ guruṃ kṛtārthāḥ santo	tatas-te SizyAH guruNA-anuSizwAH-tam gurum kRtArTAH santaH-
   vidyāniṣkrayamapaśyantaḥ kiṃ kṛtavanta ityucyate - arcayantaḥ pūjayantaḥ	vidyA-nizkrayam-apaSyantaH kim kRtavantaH iti-ucyate  arcayantaH pUjayantaH
   pādayoḥ puṣpāñjaliprakiraṇena praṇipātena ca śirasā /	pAdayoH puzpa-aQjali-prakiraNena praNipAtena ca SirasA /
   kimūcirityāha - tvaṃ hi no 'smākaṃ pitā brahmaśarīrasya vidyayā	kim-UciH-iti-Aha  tvam hi naH asmAkam pitA brahma-SarIrasya vidyayA
   janayitṛtvānnityasyājarāmarasyābhayasya yastvameva asmākavidyāyā	janayitR-tvAt-nityasya-ajara-amarasya-aBayasya yaH-tvam-eva asmAka-vidyAyAH-
   viparītajñānāt	viparIta-jQAnAt-
   janmajarāmaraṇarogaduḥkhādigrāhādapārādavidyāmahodadhervidyāplavena	janma-jarA-maraNa-roga-duHKa-Adi-grAhAt-apArAdavidyA-mahodaDeH-vidyA-plavena
   paramapunarāvṛttilakṣaṇaṃ mokṣākhyaṃ mahodadheriva pāraṃ	parama-punarAvRtti-lakzaNam mokza-AKyam mahA-udaDeH-iva pAram
   tārayasyasmānityataḥ pitṛtvaṃ tavāsmān pratyapapannamitarasmāt /	tArayasi-asmAn-iti-atas pitR-tvam tava-asmAn pratyapapannam-itarasmAt /
   itaro 'pi hi pitā śarīramātraṃ janayati /	itaraH api hi pitA SarIra-mAtram janayati /
   tathāpi sa prapūjyatamo loke kimu	taTA-api sa prapUjyatamaH loke kimu
   vaktavyamātyantikābhayadāturityabhiprāyaḥ /	vaktavyam-AtyantikA-aBaya-dAtuH-iti-aBiprAyaH /
   namaḥ parama ṛṣibhyo brahmavidyāsampradāyakartṛbhyo namaḥ paramaṛṣibhya	namaH paramaH RziByaH brahma-vidyA-sampradAya-kartRByaH namaH parama-RziBya
   iti dvirvacanamādarārtham //8//	iti dvis-vacanam-Adara-arTam //8//
   iti ṣaṣṭhaḥ praśnaḥ /	iti zazWaH praSnaH /
   iti praśnopaniṣatsamāptā //	iti praSna-upanizad-samAptAH //
