   (Vajraṭ_95)	(Vajraj-_95)
   | anena dharmapudgalavikalpayorvipakṣatayā nirdeśena vineyāstatprahāṇe	| anena Darma-pudgala-vikalpayoH-vipakza-tayA nirdeSena vineyAH-tad-prahANe
   yathoktakṣāntyutpāde samyaggrahaṇe cāvataranti | tadevam, vineyajanāḥ	yaTA-ukta-kzAnti-utpAde samyak-grahaNe ca-avataranti | tat-evam, vineya-janAH
   'yadā bhagavāneva bodhyarthamevaṃvidhāṃ parāṃ kṣāntiṃ bhāvitavān,	ayadA BagavAn-eva boDi-arTam-evaMviDAm parAm kzAntim BAvitavAn-,
   tatkathamasmābhirna bhāvanīyā, duṣkarakarmaṇyananuṣṭhite durlabhapadaṃ	tat-kaTam-asmABiH-na BAvanIyA, duzkara-karmaNi-ananuzWite durlaBa-padam
   nādhigamyate'; iti vicārayanti | tataste vineyāstasyāṃ praotsāhyante |	na-aDigamyate-a; iti vicArayanti | tatas-te vineyAH-tasyAm praotsAhyante |
   aṅga-pratyaṅgeti nimittamātrābhidhānena sarvaduḥkhādhivāsanakṣāntiḥ	aFga-pratyaFga-iti nimitta-mAtra-aBiDAnena sarva-duHKa-aDivAsana-kzAntiH
   samudīrītā |	samudIrItA |
   samprati yadākārā sā kṣāntiḥ, tathā darśayitum- abhijānāmyahaṃ subhūte	samprati yat-AkArA sA kzAntiH, taTA darSayitum aBijAnAmi-aham suBUte
   ityāha | tadapi kaliṅgarājā me aṅgapratyaṅgamāṃsānyacchetsīt	iti-Aha | tat-api kaliFga-rAjA me aFga-pratyaFga-mAMsAni-acCetsIt
   ityetatprasaṅgaprāptam, sākṣānnoktam | sā ca kṣāntiḥ dvividhā	iti-etad-prasaFga-prAptam, sAkzAt-na-uktam | sA ca kzAntiH dviviDA
   dīpitānirantaraparāpakāraduḥkhaviṣayikā parāpakārāsahyaduḥkhaviṣayikā ca |	dIpita-anirantara-para-apakAra-duHKa-vizayikA para-apakAra-asahya-duHKa-vizayikA ca |
   tatra nirantaraduḥkhaviṣayastu yat pañcajātiśatāni iti | etena asyaudāryam	tatra nirantara-duHKa-vizayaH-tu yat paQca-jAti-SatAni iti | etena asya-OdAryam
   abhihitam | asahyaduḥkhaviṣayastu yat aṅga-pratyaṅgānīti kathitam |	aBihitam | asahya-duHKa-vizayaH-tu yat aFga--pratyaFgAni-iti kaTitam |
   trividhaṃ (hi) duḥkhaṃ tāvad asahyaṃ vastu, tadyathā- saṃsāraduḥkhaṃ	triviDam (hi) duHKam tAvat asahyam vastu, tat-yaTA saMsAra-duHKam
   sattvapratikūlapravṛttiduḥkhaṃ paribhogavaikalyaduḥkhaṃ ca | tatra	sattva-pratikUla-pravRtti-duHKam pariBoga-vEkalya-duHKam ca | tatra
   prathamasyāsahyavastunaḥ pratipakṣatvena tasmāttarhi ityuktam |	praTamasya-asahya-vastunaH pratipakza-tvena tasmAt-tarhi iti-uktam |
   samastenānena asahyaprahāṇāt bodhau chandena (Vajraṭ_171) praṇidhānena ca	samastena-anena asahya-prahANAt boDO Candena (Vajraj-_171) praNiDAnena ca
   sthātavyamiti darśitam | bodhicittotpāde sati na kenāpi saṃsāraduḥkhena	sTAtavyam-iti darSitam | boDi-citta-utpAde sati na kena-api saMsAra-duHKena
   spṛṣṭo bhaviṣyatītyabhiprāyaḥ | bodhicittotpāde 'pi ātmābhiniviṣṭatayā	spRzwaH Bavizyati-iti-aBiprAyaH | boDi-citta-utpAde api Atma-aBinivizwa-tayA
   trividhaduḥkhasaṃjñābhiḥ santrasya kadācit punarnotpādaḥ syādataḥ	triviDa-duHKa-saMjQABiH santrasya kadAcid punar-na-utpAdaH syAt-atas-
   sarvasaṃjñā vivarjayitvā ityāha | sarvasaṃjñāścātra ātmādisaṃjñāḥ	sarva-saMjQAH vivarjayitvA iti-Aha | sarva-saMjQAH-ca-atra Atma-Adi-saMjQAH
   trividhaduḥkhasaṃjñāśca | rūpādyabhiniveśena śrāvakādivat saṃsāraṃ	triviDa-duHKa-saMjQAH-ca | rUpa-Adi-aBiniveSena SrAvaka-Adi-vat saMsAram
   parikalpya tadduḥkhasantaptāḥ na kadācidapi bodhicittamutpādayanti, ataḥ	parikalpya tad-duHKa-santaptAH na kadAcid-api boDi-cittam-utpAdayanti, atas-
   na rūpapratiṣṭhitam ityādyūktam |	na rUpa-pratizWitam iti-Adyu-uktam |
   rūpādiṣu satābhiniveśo hi tatra pratiṣṭhita iti pūrvavadatrāpyuktaḥ, na	rUpa-Adizu satA-aBiniveSaH hi tatra pratizWitaH iti pUrvavat-atra-api-uktaH, na
   cātrapunaruktirapi | anena asahyavastunaḥ pratipakṣo 'bhihitaḥ | pūrveṇa	ca-atra-punaruktiH-api | anena asahya-vaH-tunaH pratipakzaH aBihitaH | pUrveNa
   tu pāramitāyāṃ yogaḥ karaṇīyaḥ | atra vineyaiḥ nādharmapratiṣṭhitam iti	tu pAramitAyAm yogaH karaNIyaH | atra vineyEH na-aDarma-pratizWitam iti
   śeṣaḥ | anena tāvadabhāve 'bhiniveśaḥ pratiṣidhyate | na kvacit	SezaH | anena tAvat-aBAve aBiniveSaH pratiziDyate | na kvacid-
   pratiṣṭhitam ityanena rūpādiṣu nāmamātrasattābhiniveśaḥ pratiṣidhyate,	pratizWitam iti-anena rUpa-Adizu nAma-mAtra-satta-aBiniveSaH pratiziDyate,
   yogasamāpattiścodīritā bhavati |	yoga-samApattiH-ca-udIritA Bavati |
   kiṃ rūpādīnāṃ satāṃ tatsattvasya prahāṇārtham, yaduta asatāṃ	kim rUpa-AdInAm satAm tat-sattvasya prahANa-arTam, yat-uta asatAm
   vitathābhiniveśasya prahāṇārthaṃ pratiṣedhaḥ kriyate? iti cittotthitaṃ	vitaTa-aBiniveSasya prahANa-arTam pratizeDaH kriyate? iti citta-utTitam
   praśnaṃ vitarkya tatkasya hetoḥ? ityapṛcchat | uttarārthamāha-	praSnam vitarkya tat-kasya hetoH? iti-apRcCat | uttara-arTam-Aha-
   yatpratiṣṭhitaṃ tadevāpratiṣṭhitam iti | atrāyamarthaḥ- anādikālastaccitaṃ	yat-pratizWitam tat-eva-apratizWitam iti | atra-ayam-arTaH anAdi-kAlaH-tad-citam
   rūpādiṣu bhāvābhiniveśabalena rūpādau pratiṣṭhitam, yaḥ khalu	rUpa-Adizu BAva-aBiniveSa-balena rUpa-AdO pratizWitam, yaH Kalu
   satyābhiniveśaḥ, sa tasya rūpādivastuno 'bhāvāt paramārthato na	satya-aBiniveSaH, sa tasya rUpa-Adi-vastunaH aBAvAt paramArTataH na
   pratiṣṭhitaḥ | tasmādeva ityanenopasaṃhāreṇātra dvitīye pakṣe	pratizWitaH | tasmAt-eva iti-anena-upasaMhAreNa-atra dvitIye pakze
   pratisṭhitatvameva darśitaṃ bhavati | dānaśabdenātrāpi pūrvavat ṣaṭ	pratisWita-tvam-eva darSitam Bavati | dAna-Sabdena-atra-api pUrvavat zax-
   pāramitā evābhipretāḥ |	pAramitAH eva-aBipretAH |
   dvitīyāsahyavastuna pratipakṣatvena api tu khalu punaḥ subhūte ityādyāha |	dvitIya-asahya-vaH-tuna pratipakza-tvena api tu Kalu punar suBUte iti-Adi-Aha |
   samastenānena bodhisattvā	samastena-anena boDisattvA
   yeṣāmarthāyātiduṣkarapāramitāyogamārabdhumutsahante, te 'pi sattvā yadi	yezAm-arTAya-ati-duzkara-pAramitA-yogam-ArabDum-utsahante, te api sattvAH yadi
   paramārthato na syuḥ, sattvasaṃjñāpi paramārthato na syāt, kathaṃ te	paramArTataH na syuH, sattva-saMjQA-api paramArTataH na syAt, kaTam te
   tathāvidheṣu mithyāpravṛtteṣu sattveṣu khinnā bhaveyuḥ (Vajraṭ_172)	taTAviDezu miTyA-pravRttezu sattvezu KinnA BaveyuH (Vajraj-_172)
   ityādarśitam | tatra sattvaṃ saṃjñāṃ ca pratiṣidhya	iti-AdarSitam | tatra sattvam saMjQAm ca pratiziDya
   nairātmyadvayamudīritam | sarvasattvānāmarthāya ityanenātraudārya darśitam	nErAtmya-dvayam-udIritam | sarva-sattvAnAm-arTAya iti-anena-atra-OdArya darSitam
   | avaśiṣṭena sakalena gāmbhīryaṃ sandarśitam |	| avaSizwena sakalena gAmBIryam sandarSitam |
   evaṃ tāvad yuktyā kṣāntiryujyata iti nirdiśya sāmprataṃ tathāgate	evam tAvat yuktyA kzAntiH-yujyate iti nirdiSya sAmpratam taTAgate
   sampratyayo 'pi yujyata iti nirūpayan bhūtavādī ityādyāha | prathamam	sampratyayaH api yujyate iti nirUpayan BUta-vAdI iti-Adi-Aha | praTamam
   uddeśaḥ, śeṣaḥ vidheyam | athavā satyacatuṣṭayamuddeśaḥ, kramaśaḥ	uddeSaH, SezaH viDeyam | aTavA satya-catuzwayam-uddeSaH, kramaSas-
   abhisambadhyate | athavā bhūtavādī iti sādhyam, tathāgataḥ iti	aBisambaDyate | aTavA BUta-vAdI iti sADyam, taTAgataH iti
   jñāpakanirdeśaḥ | yathānye buddhā bhagavantaḥ kleśajñeyāvaraṇāni	jQApaka-nirdeSaH | yaTA-anye budDAH BagavantaH kleSa-jQeya-AvaraNAni
   prahīṇavantastathaiva tathāgato 'pyayaṃ gataḥ prāptaḥ, tena tathāgataḥ |	prahINavantaH-taTA-eva taTAgataH api-ayam gataH prAptaH, tena taTAgataH |
   tasmādaviparyastatvena bhūtavādīti, viparītadeśanāyāśca	tasmAt-aviparyasta-tvena BUta-vAdI-iti, viparIta-deSanAyAH-ca
   hetorāvaraṇasyābhāvaḥ sidhyati hetvanupalabdheḥ |	hetoH-AvaraNasya-aBAvaH siDyati hetu-anupalabDeH |
   tathāgata evāyamiti kathaṃ sidhyatītyāha- satyavādī iti | 'satyam';	taTAgataH eva-ayam-iti kaTam siDyati-iti-Aha satya-vAdI iti | asatyam-a;
   caturāryasatyalakṣaṇam, tasya yo vādī, sa tathāgata iti nirdhāryate |	catur-Arya-satya-lakzaNam, tasya yaH vAdI, sa taTAgataH iti nirDAryate |
   atyantaparokṣārthastu sarvathā samyak kathayituṃ na śakyate, yathoktam-	atyanta-parokza-arTaH-tu sarvaTA samyak kaTayitum na Sakyate, yaTA-uktam-
   parokṣopeyataddhetostadākhyānaṃ hi duṣkaram |	parokza-upeya-tad-hetoH-tat-AKyAnam hi duzkaram |
   (Vajraṭ_173)	(Vajraj-_173)
   ayaṃ satyavādī satyaṃ kena rūpeṇa jānātityāha- tathāvādī iti | sa	ayam satya-vAdI satyam kena rUpeNa jAnAtiti-a-aha taTA-vAdI iti | sa
   vastutattvamaviparītatayā yathāvad vadatīti tathāvādī | sa	vastu-tattvam-aviparIta-tayA yaTAvat vadati-iti taTA-vAdI | sa
   heyopādeyatattvaṃ sopāyaṃ yathāsthitaṃ tathaiva bhāṣate 'taḥ sa kathaṃ na	heya-upAdeya-tattvam sa-upAyam yaTAsTitam taTA-eva BAzate atas sa kaTam na
   satyavādī syāditi | evaṃbhūte 'pi taddeśitāni catvāri satyāni kiṃ tathaiva	satya-vAdI syAt-iti | evaMBUte api tad-deSitAni catvAri satyAni kim taTA-eva
   pratiṣṭhitānīti? ityata āha- na vitathavādī iti | yato	pratizWita-Ani-iti? iti-atas Aha na vitaTa-vAdI iti | yatas-
   'viparītapramāṇopapannāni, na pramāṇabādhitāni uktānyataḥ satyānītyarthaḥ	aviparIta-pramANa-upapannAni, na pramANa-bADitAni uktA-ani-atas satyAni-iti-arTaH
   etena samagreṇa kāryakāraṇena bhagavataḥ prāmāṇyaṃ sādhitam | ata evoktam-	etena samagreNa kArya-kAraNena BagavataH prAmANyam sADitam | atas eva-uktam-
   tāyāt tattvasthirāśeṣaviśeṣajñānasādhanam |	tAyAt tattva-sTira-aSeza-viSeza-jQAna-sADanam |
   ekasyāpi bhāvasvabhāvasya paramārthato 'siddhatvād ekamapi satyaṃ tāvad	ekasya-api BAva-svaBAvasya paramArTataH asidDa-tvAt ekam-api satyam tAvat-
   duḥsādhyam, kimiti satyacatuṣṭayamiti catuḥsatyābhidhānācca bhūtavādīti |	duHsADyam, kim-iti satya-catuzwayam-iti catur-satya-aBiDAnAt-ca BUtavAdI-iti |
   evaṃ bhagavatā 'māyopamāḥ pañcaskandhāḥ'; ityukte sati kathaṃ teṣāṃ	evam BagavatA amAya-upamAH paQca-skanDAH-a; iti-ukte sati kaTam tezAm
   duḥkhasatyasvabhāvatvam, duḥkhasyāpi paramārthato 'nṛtatvāt	duHKa-satya-svaBAva-tvam, duHKasya-api paramArTataH anRta-tvAt-
   tatsamudayanirodhayopyasattvameva, atyantābhāvabhūte śaśaśrṛṅgādau	tat-samudaya-niroDayA-upya-sattvam-eva, atyanta-aBAva-BUte SaSaSrRFga-AdO
   tāvattau (samudaya-nirodhau) na sambhavataḥ | nirodhasya tvabhāvāt	tAvat-tO (samudaya--niroDO) na samBavataH | niroDasya tu-aBAvAt
   tatprāpako mārgo 'pi naiva paramārthataḥ, gamyābhāve naiva gamako 'pi |	tad-prApakaH mArgaH api na-eva paramArTataH, gamya-aBAve na-eva gamakaH api |
   tathoktam- 'bodhiṃ pratiṣṭhāya ekasyāpi satyasya siddhirna dṛṣṭā, kimiti	taTA-uktam aboDim pratizWAya ekasya-api satyasya sidDiH-na dRzwA, kim-iti
   caturṇām?'; iti deśanāvat |	caturNAm?-a; iti deSanA-vat |
   etat pravicintya ye bhūtavādini śabdaśo	etat pravicintya ye BUta-vAdini SabdaSas-
   'bhiniviṣṭāsteṣāmadhyāropāntaparihārārtham api tu khalu punaḥ subhūte	aBinivizwAH-tezAm-aDyAra-upAnta-parihAra-arTam api tu Kalu punar suBUte
   ityādyāha | na tatra satyam iti paramārthataḥ kasyacidapi	iti-Adi-Aha | na tatra satyam iti paramArTataH kasyacid-api
   svabhāvasyāsiddheḥ | na mṛṣā ityatra satyavyavacchedena (Vajraṭ_174)	svaBAvasya-asidDeH | na mRzA iti-atra satya-vyavacCedena (Vajraj-_174)
   sthitatvāt tadvyavacchedyatvābhāvād yena mṛṣāatvaṃ bhavet tanmṛṣā | atha	sTita-tvAt tad-vyavacCedya-tva-aBAvAt yena mRzAa-tvam Bavet tat-mRzA | aTa
   vā na satyam iti yathā māyopamā mṛṣā jñānarūpāḥ | avicāraramaṇīyamātratayā	vA na satyam iti yaTA mAyA-upamAH mRzA jQAna-rUpAH | avicAra-ramaNIya-mAtra-tayA
   sthitatvād na mṛṣā iti | anena tāvad antadvayapratiṣedhena madhyamā	sTita-tvAt na mRzA iti | anena tAvat anta-dvaya-pratizeDena maDyamA
   pratipad eva nirdiśyate | śrāvakāṇāmātmābhiniveśasya prahāṇārthaṃ	pratipad eva nirdiSyate | SrAvakANAm-Atma-aBiniveSasya prahANa-arTam
   pudgalanairātmyāṃśamātreṇa catvāryāryasatyāni deśitāni, na tu sarvebhya	pudgala-nErAtmya-aMSa-mAtreNa catvAri-Arya-satyAni deSitAni, na tu sarveBya
   ityavirodhaḥ |	iti-aviroDaH |
   kāyādikamupalabhya tadarthako dānaṃ dadāti, anupalabhya atadarthako vā,	kAya-Adikam-upalaBya tad-arTakaH dAnam dadAti, anupalaBya atad-arTakaH vA,
   tayoḥ ko viśeṣa iti yaccintanaṃ tat tṛtīyasyāsahyavastunaḥ	tayoH kaH viSezaH iti yat-cintanam tat tRtIyasya-asahya-vastunaH
   pratipakṣatvenāha tadyathāpi nāma ityādi | yaḥ	pratipakza-tvena-Aha tat-yaTA-api nAma ityAdi | yaH
   kāya-bhava-bhogātmakavastuṣu sukhamātratvenābhiniviśya	kAya--Bava--Boga-Atmaka-vastuzu suKa-mAtra-tvena-aBiniviSya
   (satyatvenaivābhiniviśya) tadarthikastatra patitvā dānaṃ dadāti, sa	(satya-tvena-eva-aBiniviSya) tad-arTikaH-tatra patitvA dAnam dadAti, sa
   andhakārapraviṣṭapuruṣasadṛśaḥ, satorapi cakṣuṣoḥ vastvarthānupalambhena	anDakAra-pravizwa-puruza-sadRSaH, satoH-api cakzuzoH vastu-arTa-anupalamBena
   heyopādeyārthānabhijñatayā viparyastārtheṣu samastaduḥkhasthāneṣu patito	heya-upAdeya-arTa-anaBijQa-tayA viparyasta-arTezu samasta-duHKa-sTAnezu patitaH-
   bhavati | tataḥ bodhisattvā mahāsukhabhogāt pracyutā bhaviṣyanti |	Bavati | tatas boDisattvAH mahA-suKa-BogAt pracyutAH Bavizyanti |
   tadviyogena śrāvakādivat duḥkhasantaptatayā bodhervyāvṛtā bhaviṣyanti |	tad-viyogena SrAvaka-Adi-vat duHKa-santapta-tayA boDeH-vyAvRtAH Bavizyanti |
   yo vastvapatioto dānaṃ dadāti, kāyādivastvanupalabhya tadanarthī bhūtvā	yaH vastu-apatiotaH dAnam dadAti, kAya-Adi-vaH-tu-anupalaBya tad-anarTI BUtvA
   dānaṃ dadāti tattu yathāpi nāma cakṣuṣmān puruṣaḥ nānāvidhāni rūpāṇi	dAnam dadAti tat-tu yaTA-api nAma cakzuzmAn puruzaH nAnAviDAni rUpANi
   paśyet dṛṣṭvā ca heyasya hānam upādeyasya copādānamiva | (atha) tadapi	paSyet dRzwvA ca heyasya hAnam upAdeyasya ca-upAdAnam-iva | (aTa) tat-api
   asatyaruṇodaye kadācinna dṛśyata iti? sūrye 'bhyudgate ityāha | sūrye	asati-a-ruNa-udaye kadAcid-na dRSyate iti? sUrye aByudgate iti-Aha | sUrye
   'bhyudgate 'pi andhakārapūrṇeṣu gṛhādiṣu na paśyatīti matvāha prabhātāyām	aByudgate api anDakAra-pUrNezu gRha-Adizu na paSyati-iti matvA-Aha praBAtAyAm
   iti | (Vajraṭ_175) prabhāteti śabdaḥ andhakāradyotanārthamuktaḥ	iti | (Vajraj-_175) praBAta-iti SabdaH anDakAra-dyotana-arTa-m-uktaH
   tasmānnirandhakārāyāṃ diśāyāmityarthaḥ |	tasmAt-niranDakArAyAm diSAyAm-iti-arTaH |
   tatsāmagrye 'pi yo 'ndhaḥ, sa kadācidapi na paśyatītyāśaṅkāyāṃ cakṣuṣmān	tad-sAmagrye api yaH anDaH, sa kadAcid-api na paSyati-iti-ASaFkAyAm cakzuzmAn
   ityāha | evamavastupatito bodhisattvo draṣṭavyaḥ, saḥ	iti-Aha | evam-avastu-patitaH boDisattvaH drazwavyaH, saH
   avidyātāmisraprabodhena jñānasūryābhyudgamena ca nānāvidhāni jñeyāni	avidyA-tAmisra-praboDena jQAna-sUrya-aByudgamena ca nAnAviDAni jQeyAni
   yathāvat sampaśyati, viparyastavastūni samastaduḥkhasthānāni heyaduḥkhāni	yaTAvat sampaSyati, viparyasta-vastUni samasta-duHKa-sTAnAni heya-duHKAni
   cāpi mṛṣātvāt parivarjayati,	ca-api mRzA-tvAt parivarjayati,
   samastasukhasthānasyānurasamyaksambodhilakṣaṇasyopādeyasyottamapadasyāpi	samasta-suKa-sTAnasya-anura-samyaksamboDi-lakzaNasya-upAdeyasya-uttama-padasya-api
   kāmanayā tatra pravartate |	kAmanayA tatra pravartate |
   tasmād bodhisattvā mahābhogasampadanuprāpya anuttarasukhena kāyaṃ	tasmAt boDisattvAH mahA-Boga-sampad-anuprApya anuttara-suKena kAyam
   sthirīkṛtya bodheravinivṛttā bhavantītyabhiprāyaḥ, ata eva avinivṛtā iti |	sTirIkRtya boDeH-avinivRttAH Bavanti-iti-aBiprAyaH, atas eva avinivRtAH iti |
   pūrvaṃ tvālambanamātreṇa tasmin sthitirādarśitā, atra tu ālambanapūrvakaṃ	pUrvam tu-Alambana-mAtreNa tasmin sTitiH-AdarSitA, atra tu Alambana-pUrvakam
   tasminnanurāgalakṣaṇe patanam | tasmādatra patita ityuktam, pūrvaṃ tu	tasmin=-anurAga-lakzaNe patanam | tasmAt-atra patitaH iti-uktam, pUrvam tu
   pratiṣṭhita ityuktam | anena sakalena cittapragrahaḥ paridīpitaḥ |	pratizWitaH iti-uktam | anena sakalena citta-pragrahaH paridIpitaH |
   14. dhyānasāsvādavirati-sthānam :	14. DyAna-sa-AsvAda-virati--sTAnam :
   anena prakāreṇa kṣāntipravṛtā api ye dhyānasamāsvādayantastatraivāsaktā	anena prakAreNa kzAnti-pravRtAH api ye DyAna-samAsvAdayantaH-tatra-eva-AsaktA
   jñānasambhārapāripūraye hetubhūtaṃ mahāyānadharmamanārabdhāsteṣāṃ	jQAna-samBAra-pAripUraye hetu-BUtam mahAyAna-Darmam-anArabDAH-tezAm
   jñānasambhāraviyogaparihārārthaṃ caturdaśasthānamadhikṛtya api tu khalu	jQAna-samBAra-viyoga-parihAra-arTam caturdaSa-sTAnam-aDikRtya api tu Kalu
   punaḥ subhūte ityādyāha | sthānenānena dhyānarasāsvādāpagamāya pañcabhiḥ	punar suBUte iti-Adi-Aha | sTAnena-anena DyAna-rasa-AsvAda-apagamAya paQcaBiH
   prakāraiḥ saddharmaṃ prati vīryārthaṃ guṇaviśeṣaḥ paridīpitaḥ, (yathā)- 1.	prakArEH sat-Darmam prati vIrya-arTam guNa-viSezaH paridIpitaH, (yaTA) 1.
   tathāgatānubhāvaḥ, 2. viśiṣṭapuṇyasañcayaḥ, 3. dharmatatsādhanayoḥ	taTAgata-anuBAvaH, 2. viSizwa-puNya-saQcayaH, 3. Darma-tad-sADanayoH
   praśaṃsanam, 4. devādibhiḥ satkāraḥ, 5. pāpapariśodhanaṃ ca |	praSaMsanam, 4. deva-AdiBiH satkAraH, 5. pApa-pariSoDanam ca |
   (Vajraṭ_176)	(Vajraj-_176)
   tatra tathāgatānubhāvastu jñātāste tathāgatena ityādi yadāha |	tatra taTAgata-anuBAvaH-tu jQAtAH-te taTAgatena ityAdi yat-Aha |
   udgrahīṣyanti ityādipadānāṃ vyākhyānaṃ pūrvavadeva | bhagavān hi sarvaṃ	udgrahIzyanti ityAdi-padAnAm vyAKyAnam pUrvavat-eva | BagavAn hi sarvam
   vijānātīti sarvajñaḥ draṣṭā ca | tatra kiṃ mahad āścaryaṃ	vijAnAti-iti sarvajQaH drazwA ca | tatra kim mahat AScaryam
   teṣvityanveṣaṇāyāṃ puṇyasañcayavaiśiṣṭyamādarśayitumāha sarve te sattvāḥ	tezu-iti-anvezaNAyAm puNya-saQcaya-vESizwyam-AdarSayitum-Aha sarve te sattvAH
   iti | aprameyapuṇyaskandhānāṃ prasavanād jñātāste bhāgyavanta iti	iti | aprameya-puNya-skanDAnAm prasavanAt jQAtAH-te BAgyavantaH iti
   vākyaśeṣaḥ |	vAkya-SezaH |
   kiṃ ca tāvat puṇyaskandhasya vaiśiṣṭyam, yena (saḥ puṇyaskandhaḥ)	kim ca tAvat puNya-skanDasya vESizwyam, yena (saH puNya-skanDaH)
   aparimito bhavatīti vicintya viśiṣṭapuṇyasaṃgrahaṃ darśayan paśca khalu	aparimitaH Bavati-iti vicintya viSizwa-puNya-saMgraham darSayan paSca Kalu
   punaḥ subhūte ! strī vā puruṣo vā ityādyāha |	punar suBUte ! strI vA puruzaH vA iti-Adi-Aha |
   sūrya-prabhā-pṛthvījalādyavasthāviśeṣaḥ pūrvāhṇaḥ |	sUrya--praBA--pRTvI-jala-Adi-avasTA-viSezaH pUrvAhNaH |
   evambhūteṣvavasthāviśeṣeṣveva kālaḥ iti prajñapyate, na tu viśiṣṭatvena	evamBUtezu-avasTA-viSezezu-eva kAlaH iti prajQapyate, na tu viSizwa-tvena
   parikalpita iveti darśayituṃ kālaśabdastatsāmānyādhikaraṇyena viśeṣyate |	parikalpitaH iva-iti darSayitum kAla-SabdaH-tad-sAmAnya-aDikaraNyena viSezyate |
   anyathaikātmyād ayaṃ pūrvāhṇa ityādibhedā na syuḥ | viśeṣaṇāntarairbhede	anyaTA-ekAtmyAt ayam pUrvAhNe ityAdi-BedAH na syuH | viSezaNa-antarEH-Bede
   'bhyupagate sa eva viśeṣaḥ sūryādyavasthānāṃ viśeṣaḥ	aByupagate saH eva viSezaH sUrya-Adi-avasTAnAm viSezaH
   pūrvāhṇādivyavahāraprajñaptīnāṃ ca hetuḥ syāt, akiñcitkaratve	pUrvAhNa-Adi-vyavahAra-prajQaptInAm ca hetuH syAt, akiQcitkara-tve
   kimadṛṣṭasāmārthyena kālena prajñaptenetyabhiprāyaḥ | na ca sa	kim-adRzwa-sAmArTyena kAlena prajQaptena-iti-aBiprAyaH | na ca sa
   mandatīvrabuddhayādiliṅgavānapi yujyate, mandādibuddhīnāṃ taddhetutaḥ	manda-tIvra-budDayA-Adi-liFgavAn-api yujyate, manda-Adi-budDInAm tad-hetutaH
   samudbhave kramoṇotpattivirodhād, etacca pūrvaṃ darśitameva |	samudBave kramoNa-utpatti-viroDAd, etat-ca pUrvam darSitam-eva |
   bādhakapramāṇasyāpi prāgevātmadūṣaṇaprasaṅge darśitatvāt kimadhikena |	bADaka-pramANasya-api prAk-eva-Atma-dUzaNa-prasaFge darSita-tvAt kim-aDikena |
   (Vajraṭ_177)	(Vajraj-_177)
   sāmānyajanaiḥ saṅketavaśenotpannastathāvidhaḥ praṇināmavasthāviśeṣaḥ kālaḥ	sAmAnya-janEH saFketa-vaSena-utpannaH-taTAviDaH praNinAm-avasTA-viSezaH kAlaH
   iti vyavahāre prajñapyate, na tu śabdārthasambandhaprajñaptivaśeneti	iti vyavahAre prajQapyate, na tu Sabda-arTa-sambanDa-prajQapti-vaSena-iti
   darśayituṃ samaye iti śabdena viśeṣyate | kasyacidekasyāpyakathanena	darSayitum samaye iti Sabdena viSezyate | kasyacid-ekasya-api-akaTanena
   yathoktadeśanābhiprāyasya pratipādanābhāvāt padatrayamuktam |	yaTA-ukta-deSanABiprAyasya pratipAdana-aBAvAt pada-trayam-uktam |
   saṅketaviṣayatvena prajñāpakaṃ śabdamāropya samānādhikaraṇyaṃ kṝtam |	saFketa-vizaya-tvena prajQApakam Sabdam-Aropya samAna-ADikaraNyam kLtam |
   dhyānarasāsvādavirāgāyātredamuktam | pūrvaṃ deyasya evaṃvidhasya ca	DyAna-rasa-AsvAda-virAga-AyAtra-it-am-uktam | pUrvam deyasya evaMviDasya ca
   kālasyānirdeśānnaiva tāvat punaruktidoṣaḥ |	kAlasya-anirdeSAt-na-eva tAvat punarukti-dozaH |
   ayameva tato nidānaṃ bahutaraṃ puṇyaskandhaṃ prasunuyād	ayam-eva tatas nidAnam bahutaram puNya-skanDam prasunuyAt-
   aprameyamasaṃkhyeyam ityanena audāryaṃ paridīpyate |	aprameyam-asaMKyeyam iti-anena OdAryam paridIpyate |
   saṃkhyā-dravyakāla-viśeṣairviśiṣṭaṃ dānodbhūtaṃ puṇyamabhibhūyate | evaṃ	saMKyA--dravya-kAla--viSezEH-viSizwam dAna-udBUtam puNyam-aBiBUyate | evam
