   śrīrāmajayam	SrI-rAma-jayam
   vedānti naye prārabdhasya vikṣepasthiti niyāmakatvaṃ ca prasiddhameva/	vedAnti naye prArabDasya vikzepa-sTiti niyAmaka-tvam ca prasidDam-eva/
   dvitīyaṃ yathā daṇḍādi, tannāśe 'pi ghaṭanāśadarśanāt/ śāstre	dvitIyam yaTA daNxa-Adi, tad-nASe api Gawa-nASa-darSanAt/ SAstre
   lakṣyānurodhād vyavasthā/	lakzya-anuroDAt vyavasTA/
   bhāvinimittavināśe pūrvamanutpattau tu na kaścinnyāyaḥnāpi sampratipanno	BAvi-nimitta-vinASe pUrvam-anutpattO tu na kaScid-nyAyaHnA-api sampratipannaH-
   dṛṣṭāntaḥ/ samarthānāmityasyāpi lokasiddhārthajñāpanena cartārthyasambhave	dRzwAntaH/ samarTAnAm-iti-asya-api loka-sidDArTa-jQApanena ca-rtA-arTya-samBave
   lokasiddhāpūrvatādṛśārthajñapakatve mānābhāva iti tadāśaya iti bodhyam/	loka-sidDa-apUrva-tAdRSa-arTa-jQapaka-tve mAna-aBAvaH iti tad-ASayaH iti boDyam/
   pare tu 'seduṣaḥ' ityādau padāvadhike 'nvākhyāne 'sed vas as' iti sthite	pare tu aset-uzaH-a ityAdO padO=-aDike anvAKyAne aset vaH asa iti sTite
   iṭ samprasāraṇayoḥ praptau pratipadavidhitvāt pūrvaṃ samprasāraṇe	iS samprasAraNayoH praptO pratipada-viDi-tvAt pUrvam samprasAraNe
   valāditvābhādiṭaḥ prāptireva neti tatsiddhiriti spaṣṭam"samarthānām"iti	vala-Adi-tva-ABa-AdiwaH prAptiH-eva na-iti tad-sidDiH-iti spazwam-"samarTAnAm-"iti
   sūtre kaiyaṭe,"asiddhavat"sūtre kaiyaṭe ca spaṣṭametat/	sUtre kEyawe,"a-sidDavat"-sUtre kEyawe ca spazwam-etat-/
   yadyapi pratipadavidhitvamanavakāśatve satyeva bādhakatve bījam, tathāpi	yadi-api pratipada-viDi-tvam-anavakASa-tve satyeva bADaka-tve bIjam, taTA-api
   pūrvapravṛttau sāvakāśatve 'pi niyāmakaṃ bhavatyeveti tadāśayaḥ/ nirūpitaṃ	pUrva-pravRttO sa-avakASa-tve api niyAmakam Bavati-eva-iti tad-ASayaH/ nirUpitam
   caitad bahuśaḥ śabdenduśekharādau/	ca-etat bahuSas Sabda-indu-SeKara-AdO/
   "samarthānām"iti sūtrasthasamarthagrahaṇaṃ tu 'viṣuṇaḥ'	"samarTAnAm-"iti sUtra-sTa-samarTa-grahaNam tu avizuNaH-a
   ityādāvakṛtasandheḥ pratyayadarśanena sarvatra tathā bhramavāraṇāya	iti-AdO=-akRta-sanDeH pratyaya-darSanena sarvatra taTA Brama-vAraNAya
   nyāyasiddhārthānuvāda eva/	nyAya-sidDArTa-anuvAdaH eva/
   dhvanitaṃ cedam"vipratiṣedha"sūtre bhāṣye/ tatra hi 'vaikṣamaṇiḥ'	Dvanitam ca-idam-"vipratizeDa"-sUtre BAzye/ tatra hi avEkzamaNiH-a
   ityantaraṅga	iti-antaraFga
   paribhāṣodāharaṇamuktam/	pariBAzA-udAharaNam-uktam/
   kiñca vibhajyānvākhyāne 'su utthita as i' it sthite 'vārṇādāṅgaṃ balīyaḥ'	kiQca viBajya-anvAKyAne asu utTitaH as ia id sTite avArNAda-aFgam balIyaH-a
   iti prāpta vṛddhi	iti prApta vRdDi
   vāraṇāya samarthagrahaṇamityatraiva kaiyaṭe spaṣṭam/	vAraNAya samarTa-grahaNam-iti-atra-eva kEyawe spazwam/
   ata eva"asiddhavat"sūtre 'vasusamprasāraṇamajvidhau siddhaṃ vaktavyam'	atas eva"-a-sidDavat"-sUtre avasu-samprasAraNam-ajviDO sidDam vaktavyam-a
   'papuṣaḥ' ityādau vasoḥ	apapuzaH-a ityAdO vasoH
   samprasāraṇe kṛte āto lopo yathā syāt' iti bhāṣye uktam/ padasya	samprasAraNe kRte Atas lopaH yaTA syAt-a iti BAzye uktam/ padasya
   vibhajyānvākhyāne pūrvoktakaiyaṭarītyā pūrvaṃ samprasāraṇe	viBajya-anvAKyAne pUrva-ukta-kEyawarItyA pUrvam samprasAraNe
   iṭoprāptāvusnimittaka evā'to lopa iti tadasaṅgatiḥ/	iwA-uprAptO=-usnimittakaH evA-atas lopaH iti tad-asaFgatiH/
   ata eva 'caupratyaṅgastapratiṣedhaḥ' iti vacanaṃ vārtikakṛtā'rabdham,	atas eva acOpratyaFgaH-ta-pratizeDaHa iti vacanam vArtika-kRtA-arabDam,
   bhāṣyakṛtā ca na pratyākhyātam/ pratyaṅgaṃ antaraṅgam/ asyāṃ paribhāṣāyāṃ	BAzya-kRtA ca na pratyAKyAtam/ pratyaFgam antaraFgam/ asyAm pariBAzAyAm
   satyāṃ tu tadvaiyarthyaṃ spaṣṭameva/	satyAm tu tad-vEyarTyam spazwam-eva/
   ata eva"chvoḥ"iti sūtre 'avaśyamatra tugabhāvārtho yatnaḥ kāryaḥ'	atas eva"-SvoH"iti sUtre aavaSyam-atra tuga-BAva-arTaH yatnaH kAryaH-a
   antaraṅgatvāddhi tuk prāpnoti' iti bhāṣye uktam/ etatsatve tu tuko	antaraFga-tvAt-hi tuj prApnoti-a iti BAzye uktam/ etat-satve tu tuko
   'prāptyā yatnāvaśyakatvakathanamasaṅgatamiti spaṣṭameva/	aprAptyA yatna-AvaSyaka-tva-kaTanam-asaFgatam-iti spazwam-eva/
   na caitadanityatvajñāpanārthameva taditi tadāśayaḥ,	na ca-etat-anitya-tva-jQApana-arTam-eva tat-iti tad-ASayaH,
   avaśyamatretyakṣarasvārasyabhaṅgāpatteḥ/	avaSyam-atra-iti-akzara-svArasya-BaFga-ApatteH/
   kiñcānayaiva"pratyayottarapadayośca" "ado jagdhirlyapti	kiQca-AnayA-eva"-pratyaya-uttara-padayoH-ca" "adaH jagDiH-lyapti
   kiti"itiyanayoścāritārthyena tajjñāpakavaśālluglyaporantaraṅgabādhakatā	kiti-"itiyanayoH-cAritArTyena tad-jQApaka-vaSAt-luglyaporantaraFga-bADaka-tA
   bhāṣyoktā bhajyeta/	BAzya-uktA Bajyeta/
   kiñcaiṣā bhāṣye na dṛśyate/ taduktam"asiddhavat"sūtre kaiyaṭena	kiQca-ezA BAzye na dRSyate/ tad-uktam-"a-sidDavat"-sUtre kEyawena
   'nimittāpāye naimittikasyāpyapāyaḥ' iti paribhāṣāyāḥ	animitta-apAye nEmittikasya-api-apAyaH-a iti pariBAzAyAH
   'bhaṣyakṛtānāśrayaṇāt' iti/ padasaṃskāra pakṣe 'hariḥ' ityādau visarge	aBazya-kRta-anASrayaNAt-a iti/ pada-saMskAra pakze ahariHa ityAdO visarge
   kṛte	kRte
   tato gacchatītyādi sambandhe 'hariḥ gacchati' ityādyeva sādhu/ tadviṣaye	tatas gacCati-ityAdi sambanDe ahariH gacCati-a iti-Adi-eva sADu/ tad-vizaye
   padasaṃskārapakṣānāśrayaṇaṃ veti dik//	pada-saMskAra-pakzAn-ASrayaNam vA-iti dik//
   "antaraṅgādapyapavādo balīyān"/--- tatra apavāda padārthamāha ---	"antaraFgAt-api-apavAdaH balIyAn-"/-- tatra apavAda padArTam-Aha ---
   yena nāprāpte yo vidhirārabhyate sa tasya bādhako bhavati // Paribh_57 //	yena na-aprApte yaH viDiH-AraByate sa tasya bADakaH Bavati // PariB_57 //
   prāpta iti bhāve ktaḥ, yena nāprāpta ityasya	prAptaH iti BAve ktaH, yena na-aprAptaH iti-asya
   yatkartṛkāvaśyaprāptāvityarthaḥ/ nañ dvayasya	yad-kartRkA-vaSya-prAptO=-iti-arTaH/ nan dvayasya
   prakṛtārthadārḍhyabodhakatvāt/	prakRta-arTa-dArXya-boDaka-tvAt/
   evañca	evaQca
   viśeṣaśāstroddeśyaviśeṣadharmāvacchinnavṛttisāmānyadharmāvacchinnoddeśyakaśāstrasya	viSeza-SAstra-uddeSya-viSeza-Darma-avacCinna-vRtti-sAmAnya-Darma-avacCinna-uddeSyaka-SAstrasya
   viśeṣaśāstreṇa	viSeza-SAstreNa
   bādhaḥ/	bADaH/
   tadaprāptiyogye 'cāritārthyaṃ hyetasya bādhakatve bhījam/ ata	tad-aprApti-yogye acArita-arTyam hi-etasya bADaka-tve BIjam/ ata
   eva"āyādayaḥ"iti sūtre 'gopāyiṣyati' ityādāvāyādīn bādhitvā paratvāt	eva"Aya-AdayaH"iti sUtre agopAyizyati-a iti-AdA=-Aya-AdIn bADitvA paratvAt-
   syādayaḥ prāpnuvantītyāśaṅkya"anavakāśāḥ āyādayaḥ"'gopāyati' ityādāvapi	sya-AdayaH prApnuvanti-iti-ASaFkya"anavakASAH AyAdayaH"-agopAyati-a iti-AdO=-api
   śap syādiḥ prapnoti/	SaB sya-AdiH prapnoti/
   na ca sati śapyasati vā na viśeṣaḥ/ anyādidānīmidamucyate--nāsti viśeṣa	na ca sati Sapyasati vA na viSezaH/ anyAt-idAnIm-idam-ucyate--na-asti viSeza
   iti/ yaduktam"āyādīnāṃ syādibhiravyāpto 'vakāśa iti sa nāstyavakāśa"iti	iti/ yat-uktam"Aya-AdInAm sya-AdiBiH-avyAptaH avakASaH iti sa na-asti-avakASa"-iti
   bhāṣye uktam/	BAzye uktam/
   evamatra tatpravṛtyuttaraṃ cāritārthye 'pi tadavyāpto 'vakśo nāstīti	evam-atra tad-pravRti-uttaram cAritArTye api tat-avyAptaH avakSaH na-asti-iti
   samameva/	samam-eva/
   kiñca tatpravṛtyuttaramapi cāritārthye tadbādhabodhanam/	kiQca tad-pravRti-uttaram-api cAri-tArTye tad-bADa-boDanam/
   anyathānavakāśatvenaiva bādhe siddhe	anyaTA-anavakASa-tvena-eva bADe sidDe
   etatkathanavaiyarthyāpatteḥ,"takrakauṇḍinya"nyāyapradarśanasyāpi	etad-kaTana-vEyarTya-ApatteH,"-takra-kONxinI-a"nyAya-pradarSanasya-api
   vaiyarthyāpatteśca/ tathā prathamadvirvacanasya taduttaraṃ sāvakāśenāpi	vEyarTya-ApatteH-ca/ taTA praTama-dvis-vacanasya tad-uttaram sa-avakASena-api
   dvitīyadvirvacanena bādhaḥ/ yathā vā'derapi pravṛtyā caritārthena 'ādeḥ	dvitIya-dvis-vacanena bADaH/ yaTA vA-adeH-api pravRtyA caritArTena aAdeH
   parasya' ityanena 'alo 'ntyasya' ityasya bādhaḥ/	parasya-a iti-anena aalaH antyasya-a iti-asya bADaH/
   taduktam"midaco 'ntyāt"iti sūtre bhāṣye"satyapi sambhave bādhanaṃ	tat-uktam-"midacaH antyAt"iti sUtre BAzye"sati-api samBave bADanam
   bhavati"iti/ anyathā"brāmhaṇebhyo dadhi dīyatām, takraṃ	Bavati-"iti/ anyaTA-a"brAmhaNeByaH daDi dIyatAm, takram
   kauṇḍinyāya"ityatra takradānena dadhidānasya bādho na syāt/ taddanottaraṃ	kONxinyAya"-iti-atra takra-dAnena daDi-dAnasya bADaH na syAt/ tat-dana-uttaram
   tatpūrvaṃ vā taddanasya cāritārthyasambhavāt/ ata eva viṣayabhede	tat-pUrvam vA tad-danasya cArita-arTya-samBavAt/ atas eva vizaya-Bede
   'pyapavādatvam/	api-apavAda-tvam/
   ata evācirādeśena nuṭo 'pyapavādatvāt bādhamāśaṅkya 'na tisṛ' iti	atas eva-acira-AdeSena nuwaH api-apavAda-tvAt bADam-ASaFkya ana tisRa iti
   jñāpakena samāhitam"tṛjvat" sūtre bhāṣye/ tena viṣayabhede 'pavādatvābhāva	jQApakena samAhitam-"tR-jvat" sUtre BAzye/ tena vizaya-Bede apavAda-tva-aBAva
   eva bodhyata iti kaścit, tanna ; vinmatorlukā ṭilopamātrasya	eva boDyate iti kaScit, tat-naH ; vinmatorlukA wila-upamAtrasya
   bādhānāpatteḥ/	bADAnApatteH/
   /katipayasaṃskaraṇe yadyapi"antaraṅgādapyapavādo balīyān"ityapi	/kati-paya-saMskaraNe yadi-api"antaraFgAt-api-apavAdaH balIyAn"iti-api
   paribhāṣārūpeṇāṅgīkṛtam, kintu 'paranityāntaraṅgāpavādānāmuttarottaraṃ	pariBAzA-rUpeNa-aFgIkRtam, kintu apara-nitya-antaraFga-apavAdAnAm-uttarottaram
   balīyaḥ' ityanena gatārthatvāt, nāgeśalekhanasvarasāt, paribhāṣāpāṭhe	balIyaH-a iti-anena gata-arTa-tvAt, nAgeSa-leKana-svara-sAt, pariBAzA-pAWe
   paṭhitatvāt,	paWita-tva-at,
   candrikākāreṇa dhṛtatvāt, siddhānta kaunudyāṃ bhaṭṭoji dīkṣitenāpi	candrikA-AkAreNa DRta-tva-at, sidDAnta kOnudyAm Bawwoji dIkzitena-api
   svīkṛtatvāt, yenanāprāpte yovidhirārabhyate sa	svIkRta-tva-at, yenana-aprApte yoviDiH-AraByate sa
   tasya bādhako bhavati ityevātra paribhāṣārūpeṇa paṭhyate//	tasya bADakaH Bavati iti-eva-atra pariBAzA-rUpeNa paWyate//
   yattu 'dayaterdigi' iti sūtre dvitvottaraṃ digyādeśasya cāritārthyaṃ	yat-tu adayateH-digi-a iti sUtre dvi-tva-uttaram digyAdeSasya cAritArTyam
   kaiyaṭenoktam, tat prauḍhyā/	kEyawena-uktam, tat prOXyA/
   dhvanitañca tenāpi tasya tathātvaṃ taduttaragranthena/	Dvani-taQca tena-api tasya taTAtvam tad-uttara-granTena/
   "asambhava eva bādhakatvam, virodhasya tadbījatvāt"iti vārtikamataṃ tu	"a-samBavaH eva bADaka-tvam, viroDasya tad-bIja-tvAt"iti vArtika-matam tu
   bhāṣyakṛtā dūṣitatvānna lakṣyasiddhyupayogi/	BAzya-kRtA dUzita-tvAt-na lakzya-sidDi-upayogi/
   "takrakauṇḍinya"nyāyopi tadaprāptiyogye 'caritārthaviṣayo vidheyaviṣaya	"takra-kONxinI-a"nyAya-upi tad-aprApti-yogye acarita-arTa-vizayaH viDeya-vizaya
   eva ceti"taddhiteṣvacāmādeḥ" "dhātorekācaḥ"ityādi sūtreṣu bhāṣye spaṣṭam/	eva ca-iti"tad-hitezu-acAm-AdeH" "DAtos-ekAcaH"ityAdi sUtrezu BAzye spazwam/
   kvacittu sarvathānavakāśatvādeva bādhakatvam/ yathā ṅerāmo	kvacid-tu sarvaTA-anavakASa-tvAt-eva bADaka-tvam/ yaTA FerAmaH-
   yāḍādibādhakatvam/ na hi yāḍādiṣu kṛteṣu ṅerām prapnoti, nirdiśyamānasya	yAxa-Adi-bADaka-tvam/ na hi yAj-a-Adizu kRtezu FerAm prapnoti, nirdiSyamAnasya
   vyavadhānāt/ tatra svasya pūrvaṃ pravṛttirityeva teṣāṃ bādhaḥ/ tatra	vyavaDAnAt/ tatra svasya pUrvam pravRttiH-iti-eva tezAm bADaH/ tatra
   bādhake pravṛtte yadyutsargaprāptirbhavati tadā bhavatyeva/ yathā tatraiva	bADake pravRtte yadi-utsarga-prAptiH-Bavati tadA Bavati-eva/ yaTA tatra-eva
   yāḍāgamaḥ/ aprāptau tu na, yathā 'paceyuḥ' ityādau dīrghavādhake	yAj-AgamaH/ aprAptO tu na, yaTA apaceyuH-a ityAdO dIrGa-vADake
   niravakāśa iyādeśe dīrghābhāvaḥ//	niravakASaH iyA-deSe dIrGa-aBAvaH//
   tadetat paṭhyate --	tat-etat paWyate --
   kvacidapavādaviṣaye 'pyutsargo 'bhiniviśata iti // Paribh_58 //	kvacid-apavAda-vizaye api-utsargaH aBiniviSataH iti // PariB_58 //
   apavādaśabdo 'tra bādhakaparaḥ/ taduktam"guṇo yaṅlukoḥ"ityatra bhāṣye/	apavAda-SabdaH atra bADaka-paraH/ tat-uktam"guNaH yaFlukoH"iti-atra BAzye/
   abhyāsavikāreṣvapavādā utsargānna bādhante/ 'ajīgaṇat'/ atra	aByAsa-vikArezu-apavAdAH utsargAt-na bADante/ aajI-gaNat-a/ atra
   gaṇerītvamapavādatvāddhalādiḥśeṣaṃ bādhate/	gaNerI-tvam-apavAda-tvAt-hala-AdiH-Sezam bADate/
   nagaṇerītvamapavādatvāddhalādiḥśeṣaṃ bādhate/ kiṃ tarha? anavakāśatvāditi	nagaNerI-tvam-apavAda-tvAt-hala-AdiH-Sezam bADate/ kim tarha? anavakASa-tvAt-iti
   granthena gaṇarūpābhyāsāntyaṇasyetvamityarthe halādiḥśeṣa tannivṛttau	granTena gaNa-rUpa-aByAsa-antyaNasya-Itvam-iti-arTe halAdiHSeza tad-nivRttO
   tadanavakāśam, ītve tu kṛte tasya praptiḥ, antya halo 'bhāvāt/	tad-anavakASam, Itve tu kRte tasya praptiH, antya halaH aBAvAt-/
   abhyāsavikāreṣu bādhyabādhakabhāvābhāvena ca sādhitam/ tasmiṃśca sati lope	aByAsa-vikArezu bADya-bADaka-BAva-aBAvena ca sADitam/ tasmin=-ca sati lope
   kṛte sāmarthyācchiṣṭasyāntyasyetvamiti na doṣaḥ/	kRte sAmarTyAt-Sizwasya-antyasyetvam-iti na dozaH/
   na ca 'yena nāprāpti' nyāyenāpavādatvamapyasya suvacam, tasya	na ca ayena na-aprApti-a nyAyena-apavAda-tvam-api-asya su-vacam, tasya
   caritārthaviṣayatāyā uktatvāt/	caritArTa-vizaya-tAyAH ukta-tvAt-/
   "iko jhal"ityatra bhāṣyepi dhvanitametat/ tatra hi 'ajjhana' iti dīrdheṇa	"ikaH Jal"iti-atra BAzya-ipi Dvanitam-etat/ tatra hi aajJana-a iti dIrDeNa
   guṇottaraṃ phalābhāvenānavakāśatvād guṇo bādhite dīrghottaraṃ guṇaḥ syāt,	guNa-uttaram Pala-aBAvena-anavakASa-tvAt guNaH bADite dIrGa-uttaram guNaH syAt-,
   dīrghavidhānaṃ tu minoterdīrdhe kṛte"sani mīmā"ityatra mīgrahaṇena	dIrGa-viDAnam tu minoteH-dIrDe kRte"-sani mImA"-iti-atra mIgrahaNena
   grahaṇer'thavattatra paścāt praptaguṇabādhanārtham,"iko jhal"iti	grahaNer-aTavat-tatra paScAt prapta-guNa-bADana-arTam,"ikaH Jal"iti
   kitvamityuktam/ anyathāpavādatvena bādhe tadviṣaye	kitvam-iti-uktam/ anyaTA-apavAda-tvena bADe tad-vizaye
   utsargāpravṛtterbhāṣyasya sūtrasya cāsaṅgatiriti spaṣṭameva/	utsarga-apravRtteH-BAzyasya sUtrasya ca-asaFgatiH-iti spazwam-eva/
   yattu kāñcanītyādāvapavādamayaḍviṣaye 'yaṇ bhavati, 'kvacidapavādaviṣaye	yat-tu kAQcanI-iti-AdO=-apavAdam-ayaxvizaye ayaN Bavati, akvacit-apavAda-vizaye
   'pi' iti nyāyāditi tanna ;"aṇaḥ karmaṇica"iti sūtrasthabhāṣyavirodhāt/	api-a iti nyAyAt-iti tat-naH ;"aNaH karmaNica"iti sUtra-sTa-BAzya-viroDAt/
   tatra hi 'aṇaḥ punarvacanamapavādaviṣaye 'nivṛtyartham' 'godāyo vrajati'	tatra hi aaNaH punarvacanam-apavAda-vizaye anivRti-arTam-a agodAyaH vrajati-a
   ityādyuktam/	iti-Adi-uktam/
   'kāñcanī' ityādau kāñcanenanirmitetyarthe śaiṣiko 'ṇ bodhyaḥ/	akAQcanI-a ityAdO kAQcanena-nirmitA-iti-arTe SEzikaH aN boDyaH/
   atredaṃ bodhyam -- 'yenanāprapte' ityatra yenetyasya yadi	atra-idam boDyam -- ayenana-aprapte-a iti-atra yena-iti-asya yadi
   svetareṇetyarthaḥ, tadā sva viṣaye svataradyadyat prāpnoti tad bādhyam,	svetareNa-iti-arTaH, tadA sva vizaye svatarat-yat-yat prApnoti tat bADyam,
   vidhyantarāprāptaviṣayābhāvāt/	viDi-antarA-prApta-vizaya-aBAvAt/
   iyameva bādhyasāmānyacinteti vyavahriyate/ anavakāśatvena bādhe 'pyeṣā	iyam-eva bADya-sAmAnya-cintA-iti vyavahriyate/ anavakASa-tvena bADe api-ezA
   vaktuṃ śakyā yadyudāharaṇamasti, vinigamanāvirahāt/	vaktum SakyA yadi-udAharaNam-asti, vinigamanA-virahAt/
   yadi tu yenetyasya lakṣaṇenetyarthaḥ, kāryeṇetyartho vā tadā	yadi tu yena-iti-asya lakzaNena-iti-arTaH, kAryeNa-iti-arTaH vA tadA
   bādhyaviśeṣacintā/ anavakāśatvena bādhe 'pyetadbādhena sārthakyam, uta	bADya-viSeza-cintA/ anavakASa-tvena bADe api-etat-bADena sArTakyam, uta
   tadbādhenetyevaṃ viśeṣacintā sambhavati, yadyudāharaṇamasti//	tad-bADena-iti-evam viSeza-cintA samBavati, yadi-udAharaNam-asti//
   tatra kāryeṇetyarthe pararūpatvavacchinne kātya ārabhyamāṇāyā	tatra kAryeNa-iti-arTe para-rUpa-tva-vacCinne kAtyaH AraByamANAyAH-
   vṛddhestadbādhakatve na nirṇīte kiṃ śāstravihitasyetyevaṃ	vRdDeH-tat-bADaka-tve na nirNIte kim SAstra-vihitasya-iti-evam
   tadviśeṣacintāyāmāha --	tad-viSeza-cintAyAm-Aha --
   purastādapavādāḥ anantarān vidhīn bādhante, nottarān // Paribh_59 //	purastAt-apavAdAH anantarAn viDIn bADante, na-uttarAn // PariB_59 //
   avaśyaṃ svaparasmin bādhanīye prathamopasthitānantarabādhena cāritārthye	avaSyam svaparasmin bADanIye praTama-upasTita-anantara-bADena cAritArTye
   paścādupasthitasya tataḥ parasya bādhe mānābhāva ākāṅkṣāyā	paScAt-upasTitasya tatas parasya bADe mAna-aBAvaH AkAFkzAyA
   nivṛttervipratiṣedhaśāstrabādhe mānābhāvāccetyetasya bījam//	nivRtteH-vipratizeDa-SAstra-bADe mAna-aBAvAt-ca-iti-etasya bIjam//
   "nāsikodarauṣṭhajaṅghādante"ityauṣṭhādyaṃśe	"nAsikA-udara-ozWa-jaFGA-t-ante"iti-OzWa-Adi-aMSe
   ṅīṣniṣedhatvāvacchinnahādhakatve nirṇīte kiṃ	FIH-nizeDa-tva-avacCinna-hADaka-tve nirNIte kim
   nihitasyetyākāṅkṣāyāmāha :--	nihitasya-iti-AkAFkzAyAm-Aha :--
   madye 'pavādāḥ pūrvān vidhīn bādhante, nottarān // Paribh_60 //	madye apavAdAH pUrvAn viDIn bADante, na-uttarAn // PariB_60 //
   tenauṣṭhādiṣu pañcasu"asaṃyogopadhāt"iti pratiṣedha eva bādhyate, na tu	tena-ozWa-Adizu paQca-su"a-saMyoga-upaDAt"-iti pratizeDaH eva bADyate, na tu
   sahanañvidyamānalakṣaṇa iti	sahanaQvidyamAna-lakzaNaH iti
   "nāsikodara"itytra bhāṣye spaṣṭam/ pūrvopasthita bādhena nairākāṅkṣyamasyā	"nAsikA-udara-"iti-tra BAzye spazwam/ pUrva-upasTita bADena nErAkAFkzyam-asya-a
   bījam//	bIjam//
   nanu"vā chandasi"ityanena"serhyapicca"ityanantarasyāpitvasyeva herapi	nanu"vA Candasi"iti-anena"seH-hi-apicca"-iti-anantarasya-api-tvasya-iva heH-api
   vikalapaḥ syāt/ tathā"noṭa"iti niṣedho 'nantarahalantalakṣaṇāyā iva	vikalapaH syAt/ taTA-A"nowa"-iti nizeDaH anantarahalanta-lakzaNAyAH iva
   sicivṛddhimṛjivṛddhayorapi syāt, ata uktanyāyamūlakamevāha :-	sici-vRdDi-mRji-vRdDayoH-api syAt, atas ukta-nyAya-mUlakam-eva-Aha :-
   anantarasya vidhirvā bhavati pratiṣedho veti // Paribh_61 //	anantarasya viDiH-vA Bavati pratizeDaH vA-iti // PariB_61 //
   ata eva"saṃkhyāvyayādeḥ"iti ṅībgrahaṇaṃ caritārtham/	atas eva"-saMKyA-avyaya-AdeH"-iti FIbgrahaNam caritArTam/
   taddhyanantasyaṅīṣovidhyabhāvāya/"na ktici"iti sūtre dīrghagrahaṇañca --	tat-hi-anantasyaFIzaH-viDi-aBAvAya/"na ktici"-iti sUtre dIrGa-grahaNaQca --
   caritārtham/ taddhyanantarasyānudāttopadeśetyasyaiva niṣedhābhāvāya/	caritArTam/ tat-hi-anantarasya-anudAtta-upadeSa-iti-asya-eva nizeDa-aBAvAya/
   madhye 'pavādanyayāpekṣayānantarasyeti nyāyaḥ prabala iti"aṣṭābhyaḥ"iti	maDye apavAda-nyaya-apekzayA-anantarasya-iti nyAyaH prabalaH iti"azwAByaH"iti
   sūtre kaiyaṭaḥ/	sUtre kEyawaH/
   pratyāsattimūlako 'yam/ lakṣyānurodhātta vyavasthetyapi pakṣāntaram/ tatra	pratyAsatti-mUlakaH ayam/ lakzya-anuroDAtta vyavasTA-iti-api pakza-antaram/ tatra
   tatra kvacit svaritatvapratijñānāt, sāmarthyena vā bādhyate 'yaṃ nyāyaḥ/	tatra kvacid svarita-tva-pratijQAnAt, sAmarTyena vA bADyate ayam nyAyaH/
   yathā"ṭiḍiḍhā"iti sūtreṇa ḍāpāvyavahitasyāpi ṅīpo vidhiḥ/"na ṣaṭ"ityādinā	yaTA-a"wixiXA"-iti sUtreNa xApa-avyavahitasya-api FIpaH viDiH/"na zaw"-ityAdinA
   dvayorapi ṭābṅīpoḥ pratiṣedhaḥ/ iyañca"śi sarvanāmasthānam"ityādau bhāṣye	dvayoH-api wA-bFIpoH pratizeDaH/ iyaQca"Si sarvanAmasTAnam-"ityAdO BAzye
   spaṣṭetyanyatra vistaraḥ//	spazwa-iti-anyatra vistaraH//
   nanu dadhatītyādāvantaraṅgatvādantādeśe 'lvidhau, sthānivatvābhāvādādeśo	nanu daDati-iti-AdO=-antaraFga-tvAt-anta-AdeSe alviDO, sTAniva-tva-aBAvAt-AdeSaH-
   na syāditi tadvaiyarthyāpattiḥ, ata āha :-	na syAt-iti tad-vEyarTya-ApattiH, atas Aha :-
   pūrvaṃ hyapavādā abhiniviśante paścādutsargāḥ // Paribh_62 //	pUrvam hi-apavAdAH aBiniviSante paScAt-utsargAH // PariB_62 //
   lakṣaṇaikacakṣuṣako hyapavādaviṣayaṃ paryālocya tadviṣayatvābhāvaniṣcaya	lakzaNa-eka-cakzuzakaH hi-apavAda-vizayam paryAlocya tad-vizaya-tva-aBAva-nizcaya
   utsargeṇa tattallakṣyaṃ saṃskaroti/ anyathā vikalpāpattirityarthaḥ/	utsargeNa tat-tat-lakzyam saMskaroti/ anyaTA vikalpa-ApattiH-iti-arTaH/
   abhiniviśanta ityasya buddhyārūḍhā bhavantītyarthaḥ/ 'apavādo yadyanyatra	aBiniviSantaH iti-asya budDi-ArUXAH Bavanti-iti-arTaH/ aapavAdaH yadi-anyatra
   caritārthaḥ' iti nyāyasya tu nātra praptiḥ, antādeśaprāptiviṣaye	caritArTaH-a iti nyAyasya tu na-atra praptiH, antA-deSa-prApti-vizaye
   cāritārthyābhāvāt//	cArita-arTya-aBAva-at//
   lakṣyaikacakṣuṣkastu tacchāstra paryālocanaṃ vināpyapavādaviṣayaṃ	lakzya-eka-cakzuzkaH-tu tat-SAstra paryAlocanam vinA-api-apavAda-vizayam
   parityajyotsargeṇa lakṣyaṃ saṃskaroti,	parityajya-utsargeNa lakzyam saMskaroti,
   tasyāpi śāstraprakriyāsmaraṇapūrvakaprayoga eva dharmotpatteḥ, tadāha :-	tasya-api SAstra-prakriyA-smaraNa-pUrvaka-prayogaH eva Darma-utpatteH, tat-Aha :-
   prakalpya cāpavādaviṣayaṃ tata utsargo 'bhiniviśante // Paribh_63 //	prakalpya ca-apavAda-vizayam tatas utsargaH aBiniviSante // PariB_63 //
   tata ityasyāpavādaśāstraparyālocanāt prāgapītyarthaḥ/ prakalpyetyasya	tatas iti-asya-apavAda-SAstra-paryAlocanAt prAk-api-iti-arTaH/ prakalpya-iti-asya
   parityajyetyarthaḥ/ ata eva prātipadikārtha sūtre bhāṣye"idaṃ dvayapyuktvā	parityajya-iti-arTaH/ atas eva prAtipadikA-arTa sUtre BAzye"idam dvayapi-uktvA
   na kadācittāvadutsargo bhavati, apavādaṃ	na kadAcid-tAvat-utsargaH Bavati, apavAdam
