   // nyāyavārttikatātparyapariśuddhiḥ //	// nyAyavArttika tAtparya pariSudDiH //
   ata evānutpannapādavihārasya acalacakṣuṣa ityādi vyadhikaraṇameva	atas eva anutpanna pAda vihArasya acala cakzuzaH ityAdi vyaDikaraNam eva
   darśayati sma vārttikakāraḥ /	darSayati sma vArttikakAraH /
   ṭīkākāro 'pi tathā anumene, yato nānyathākṛtavān /	wIkAkAraH api taTA anumene, yatas na anyaTA kRtavAn /
   parairapi yadyadā yajjānanasamarthamiti vadabhdiḥ svīkṛtamevaitat /	parEH api yat yadA yat jAnana samarTam iti vadaBdiH svIkRtam eva etat /
   tat kasya hetoḥ? tathaiva pratibandhasiddheḥ //	tat kasya hetoH? taTA eva pratibanDa sidDeH //
   nanvindriyārthasannikarṣavyabhicārastadavastha ityata āha   na ca yaditi /	nanu indriya arTa sannikarza vyaBicAraH tad avasTaH iti atas Aha   na ca yat iti /
   sākṣātkāriṇī hi	sAkzAtkAriNI hi
   pratītirasmadādīnāmindriyārthasannikarṣaṃ na vyabhicarati, iyaṃ	pratItiH asmad AdInAm indriya arTa sannikarzam na vyaBicarati, iyam
   tvānumānikī pārokṣyavatī tasmānna kvacid vyabhicāraśaḍkā /	tvA anumAnikI pArokzyavatI tasmAt na kvacid vyaBicAra SaxkAH /
   yadyanumānagamyo 'bhāvaḥ, kathaṃ pratyakṣasya tatra pravṛtti?	yadi anumAna gamyaH aBAvaH, kaTam pratyakzasya tatra pravRtti?
   anayorasaḍkīrṇaviṣayatvāditi tu kadācid brūyāt /	anayoH asaxkIrNa vizaya tvAt iti tu kadAcid brUyAt /
   tacca saṃplavavyavasthāpanayaiva samāhitamityarthaḥ //	tat ca saMplava vyavasTApanayA eva samAhitam iti arTaH //
   na tarhi ityādibhāṣyeṇa kaḥ sūtrāvayavo vyākhyāta iti śaḍkāmapanayanneva	na tarhi ityAdi BAzyeNa kaH sUtra avayavaH vyAKyAtaH iti SaxkAm apanayan= eva
   vārttikamavatārayati   saṃpratīti /	vArttikam avatArayati   saMprati iti /
   nanu lakṣaṇaṃ tathāpyaduṣṭamityata āha   pratyakṣakāraṇeti /	nanu lakzaNam taTA api aduzwam iti atas Aha    pratyakza kAraNA iti /
   kāraṇāvadhāraṇābhimāninaścodyamityarthaḥ /	kAraNa avaDAraNa aBimAninaH codyam iti arTaH /
   viṣayasaṃyogicakṣurālokaśceti vadatā viṣayasaṃyogenaivālokavyāpāro na	vizaya saMyogi cakzuH AlokaH ca iti vadatA vizaya saMyogena eva Aloka vyApAraH na
   tvagindriyādhiṣṭhānasaṃyogenetyuktam //	tvac indriya aDizWAna saMyogena iti uktam //
   etaccāndhakāramadhyavartināpyālokamadhyavartiviṣayopalabdherālokamadhyavartināpi	etat ca anDakAra maDya vartinA api Aloka maDya varti vizaya upalabDeH Aloka maDya vartinA api
   cāndhakāramadhyasthānupalabdherūnneyam /	ca anDakAra maDya sTa anupalabDeH Unneyam /
   nanu mahattvānekadravyavattvayoḥ	nanu mahattva aneka dravyavat tvayoH
   parasparāvinābhūtayoragṛhyamāṇaviśeṣatvenobhayorapi cākṣaṣatvaṃ prati	paraspara avinABUtayoH agRhyamANa viSeza tvena uBayoH api ca akzaza tvam prati
   kāraṇatvāt samuccaya eva /	kAraNa tvAt samuccayaH eva /
   viśeṣe vā ekasyaiva kāraṇatvam, kuto vikalpaḥ? parasparavyabhicāriṇo	viSeze vE ekasya eva kAraNa tvam, kutas vikalpaH? paraspara vyaBicAriNaH 
   hyarthakriyāyāṃ vikalpasambhavo na tvime tathā /	hi arTa kriyAyAm vikalpa samBavaH na tu ime taTA /
   tasmāccākṣuṣadravyalakṣaṇe kartavye 'nayorvikalpopanyāsaḥ kartavyaḥ /	tasmAt cAkzuza dravya lakzaNe kartavye anayoH vikalpa upanyAsaH kartavyaH /
   ubhayopādāne cāsamarthaviśeṣaṇaṃ lakṣaṇaṃ bhavedityarthaḥ /	uBaya upAdAne ca asamarTa viSezaNam lakzaNam Bavet iti arTaH /
   ata evāgre satyapyevaṃ lakṣaṇakatva ityāha uktasāmagrīsambhave 'pi	atas eva agre sati api evam lakzaNaka tvaH iti Aha ukta sAmagrI samBave api
   cakṣuravayavino na pratyakṣatā, ata uktaṃ vārttikakṛtā upalabdhiphalaḥ	cakzuH avayavinaH na pratyakzatA, atas uktam vArttika kRtA upalabDiPalaH
   saṃskāra iti /	saMskAraH iti /
   sa ca durnirūpaḥ /	sa ca durnirUpaH /
   tathāhi guṇidharmo vāsau syāt, guṇadharmo vā syāt? tatra guṇidharmatve	taTA hi guNi DarmaH vA asO syAt, guNa DarmaH vA syAt? tatra guNi Darma tve
   tabdale rūpasparśayoraviśeṣeṇa grahaṇam, na tu kvacid grahaṇam agrahaṇaṃ	tabdale rUpa sparSayoH aviSezeNa grahaNam, na tu kvacid grahaNam agrahaNam
   ca kvaciditi /	ca kvacid iti /
   tadekārthasamavetayorgrahaṇameveti cet   na, niśi nidāghasamaye	tad eka arTa samavetayoH grahaNam eva iti cet   na, niSi nidAGa samaye
   tejaḥ sparśagrahe 'pi rūpāgrahāt, candrātaparūpagrahe 'pi sparśāgrahāt,	tejaH sparSa grahe api rUpa agrahAt, candra Atapa rUpa grahe api sparSa agrahAt,
   guṇadharmastvanityo na bhavatyeva, nityastu sāmānyarūpo na	guNa DarmaH tu anityaH na Bavati eva, nityaH tu sAmAnya rUpaH na
   saṃskāraśabdavācyo nāpyupalabdhiphalaḥ, tasya	saMskAra Sabda vAcyaH na api upalabDi PalaH, tasya
   svepalabdheranyatrānimittatvādityata āha  dharmādharmanimitta	svepa labDeH anyatra animitta tvAt iti atas Aha   Darma aDarma nimitta
   ubhdavasamākhyāta iti /	uBdava samAKyAtaH iti /
   rūpādīnā svakāraṇavaśādeva sa svabhāvabhedo jāyate keṣāñcit,	rUpa AdInA sva kAraNa vaSAt eva sa svaBAva BedaH jAyate kezAn cit,
   yatrobhdavatvaṃ nāma sāmānyaviśeṣaḥ samavaiti /	yatra uBdava tvam nAma sAmAnya viSezaH samavEti /
   sa ca dharmādharmajanyatayā saṃskāra ityucyate, upalabdhiphalaśca	sa ca Darma aDarma janya tayA saMskAraH iti ucyate, upalabDiPalaH ca
   bhavatītyarthaḥ /	Bavati iti arTaH /
   pratyakṣalakṣaṇatayā tatkāraṇamuktam, na tu kāraṇatayaiva /	pratyakza lakzaNa tayA tad kAraNam uktam, na tu kAraNa tayA eva /
   na ca kāraṇaṃ lakṣaṇamityekam /	na ca kAraNam lakzaNam iti ekam /
   utpattivyavasthāpakaṃ hi lakṣaṇamalakṣaṇaṃ vā, kāraṇasvarūpavyavasthāpakaṃ	utpatti vyavasTApakam hi lakzaNam alakzaNam vA, kAraNa svarUpa vyavasTApakam
   tu kārakamakārakaṃ vā lakṣaṇam /	tu kArakam akArakam vA lakzaNam /
   na caivamālokādayaḥ, teṣāmativyāpakatayā avyāpakatayā ca	na ca evam Aloka AdayaH, tezAm ati vyApaka tayA avyApaka tayA ca
   pratyakṣasvarūpāvyavasthāpakatvāt /	pratyakza svarUpa avyavasTApaka tvAt /
   utpattivyavasthāpakāḥ punarete bhavanti /	utpatti vyavasTApakAH punar ete Bavanti /
   teṣāmanyatamāpāye 'pi pratyakṣānupapatterityāśayavān parihāraṃ	tezAm anyatama apAye api pratyakza anupapatteH iti ASayavAn parihAram
   vyācaṣṭe   pratyakṣalakṣaṇeti //	vyAcazwe    pratyakza lakzaNa iti //
   nanu yadyapi svarūpataḥ santānato vā	nanu yadi api svarUpataH santAnataH vA
   indriyābhedādindriyamanaḥsannikarṣābhedo yathāyathaṃ saṃbhavati, tathāpi	indriya aBedAt indriya manaH sannikarzA BedaH yaTAyaTam saMBavati, taTA api
   vijñānābhedo vyaktikṛto jātikṛto vā syāt /	vijQAna aBedaH vyaktikRtaH jAti kRtaH vA syAt /
   pūrvasminnindriyārthasannikarṣābhede 'pi dhārāvāhikavijñānāni bhidyante /	pUrvasmin= indriya arTa sannikarzA Bede api DArAvAhika vijQAnAni Bidyante /
   uttaratra tu indriyārthasannikarṣabhede pyabheda eva, sarveṣāṃ	uttaratra tu indriya arTa sannikarza Bede pyaBedaH eva, sarvezAm
   sākṣātkārijātīyatvāditi /	sAkzAt kAri jAtIya tvAt iti /
   tat ekadeśiparihāro garbhastrāveṇaiva gata upanyāsayogyo 'pi na	tat eka deSi parihAraH garBaH trA= eNa eva gataH upanyAsa yogyaH api na
   bhavatītyāśayavānāha   yadā hīti //	Bavati iti ASa yavAn Aha   yadA hi iti //
   asti hi svarūpajātikṛtabhedātirikto viṣayakṛto viśeṣo buddhīnām /	asti hi svarUpa jAti kRta Beda atiriktaH vizaya kRtaH viSezaH budDInAm /
   sa cendriyārthasannikarṣabhedādeva dṛṣṭaḥ, nendriyamanaḥsannikarṣabhedāt /	sa ca indriya arTa sannikarza BedAt eva dRzwaH, na indriya manaH sannikarza BedAt /
   yatra tu dhārāvāhijñāne nendriyārthasannikarṣo bhidyate, tatra jñānasyāpi	yatra tu DArAvAhi jQAne na indriya arTa sannikarzaH Bidyate, tatra jQAnasya api
   na viṣayakṛto bheda ityarthaḥ /	na vizaya kRtaH BedaH iti arTaH /
   tadidamuktam   kramavanti hāstikāśvīyādivijñānānīti /	tat idam uktam    kramavanti hAstika ASvIya Adi vijQAnAni iti /
   nirākaraṇe 'pyetadanurūpamudāharati   yadā iti /	nirAkaraNe api etat anurUpam udAha rati    yadA iti /
   tasyaiva goścakṣuṣā saṃyogena tatraiva gavi samavāyena prathamaṃ	tasya eva goH cakzuzA saMyogena tatra eva gavi samavAyena praTamam
   śuklaguṇajñānaṃ paścād gamanakarmajñānamiti bhede 'bhedāditi /	Sukla guNa jQAnam paScAt gamana karma jQAnam iti Bede aBedAt iti /
   samānamityarthaḥ //	samAnam iti arTaH //
   yadyapyaprasiddhatvamavyapadeśakatvavyāpakatvāt tadabhidhānenaiva labdham,	yadi api aprasidDa tvam avyapadeSaka tva vyApaka tvAt tad aBiDAnena eva labDam,
   tathāpyālokaviṣayasannikarṣo 'vyapadeśakatve 'pi prasiddhaḥ,	taTA api Aloka vizaya sannikarzaH avyapadeSaka tve api prasidDaH,
   indriyamanaḥsannikarṣastvavyapadeśako 'prasiddhaśca ityetāvatā	indriya manaH sannikarzaH tu avyapadeSakaH aprasidDaH ca iti etAvatA
   prakārāntaratvam //	prakAra antara tvam //
   nanvanyatarātīndriyādhāratvamindriyārthasannikarṣasyāpyasti,	nanu anyatara ati indriya ADAra tvam indriya arTa sannikarzasya api asti,
   ubhayātīndriyādhāratā tu ātmamanaḥsannikarṣasyāpi nāstītyata āha  ātmā tu	uBaya ati indriya ADAra tA tu Atma manaH sannikarzasya api na asti iti atas Aha  a AtmA tu
   yadyapīti //	yadi api iti //
   nanu viśiṣṭakarmābhinirvartitatvena prasannāndhānandhakṛṣṇasārāṇāṃ na	nanu viSizwa karma aBinirvartita tvena prasanna anDa ananDa kRzNa sArANAm na
   kaścidviśeṣaḥ, na hi rūpopabhogānarthinaḥ kṛṣṇasāre tṛṣṇā	kaScid viSezaH, na hi rUpa upaBoga an arTinaH kRzNasAre tRzNA
   tatkarmasaṃbhavaḥ /	tad karma saMBavaH /
   asaṃbhave ca kathamasyotpattiriti? ataḥ kārye 'pi karmaṇaḥ	asaMBave ca kaTam asya utpattiH iti? atas kArye api karmaNaH
   sahakāritāmāha  etaduktaṃ bhavatīti /	sahakAritAm Aha  etat uktam Bavati iti /
   karmakṣayāt ityupalakṣaṇam, pratibandhāt, sahakārivirahāccetyapi	karma kzayAt iti upalakzaNam, pratibanDAt, sahakAri virahAt ca iti api
   draṣṭavyam /	drazwavyam /
   yadi hi rathādisaṃyogānāṃ nabhovyāpakatvaṃ bhavet tadā tatkāryasyapi	yadi hi raTa Adi saMyogAnAm naBaH vyApaka tvam Bavet tadA tad kAryasi api
   śabdasya sarvatrotpādaprasaḍgeḥ /	Sabdasya sarvatra utpAda prasaxgeH /
   asamavāyikāraṇaprādeśikatvānurodhena hi	asamavAyi kAraNa prAdeSika tva anuroDena hi
   vyāpakaguṇāḥ pradeśāvacchedena jāyante /	vyApaka guNAH pradeSa avacCedena jAyante /
   iha tu tadabhāvādanavacchinnadeśataiva syāt /	iha tu tad aBAvAt anavacCinna deSa tA eva syAt /
   tataśca taddvāreṇopalamyamānā rathādayastatsaṃyogāśca na niyatadeśatayā	tatas ca tad dvAreNa upalamyamAnAH raTa AdayaH tad saMyogAH ca na niyata deSa tayA
   pratīyerannityāśayavānāha   mā bhūtasarvatreti //	pratIyerannitya ASaya vAn Aha   mA BUta sarvatra iti //
   nanvākāśapratyakṣatāpakṣaḥ kimiti nāśaḍkita iti pariharatnāha  nāsmākamiti	nanu AkASa pratyakza tApakzaH kim iti na aSaxkitaH iti pariharatna aha  na asmAkam iti
   tvagādibhiriti tatra tvagudāhaṇamuktam /	tvac AdiBiH iti tatra tvac udAhaNam uktam /
   rasanodāharaṇaṃ tu tiktatvābhāvaviśiṣṭo madhurataro guḍaḥ /	rasanA udAharaNam tu tikta tva aBAva viSizwaH maDurataraH guxaH /
   tathā ghrāṇodāharaṇaṃ pūtigrandhābhāvaviśiṣṭā surabhitarā kastūriketyato	taTA GrANa udAharaNam pUti granDA BAva viSizwA suraBitarA kastUrikA iti atas 
   bahuvacanāvirodhaḥ /	bahuvacana aviroDaH /
   bauddhasiddhānte ca guṇaguṇinorabhedād guṇimūrtatvameva guṇamūrtatvam /	bOdDa sidDAnte ca guNa guNinA UH aBedAt guNi mUrta tvam eva guNa mUrta tvam /
   guṇagrāhakamevendriyaṃ guṇigrāhakam /	guNa grAhakam eva indriyam guNi grAhakam /
   guṇābhāva eva ca guṇyabhāvaḥ /	guNa aBAvaH eva ca guNya BAvaH /
   ato mūrtābhāvaviśiṣṭagrahe udāharaṇīye	atas mUrta aBAva viSizwa grahe udAharaNIye
   alpābhāvaviśiṣṭagrahamāheti //	alpa aBAva viSizwa grahamAhA iti //
   nanu mā bhūt sahāntareṇa grahaṇaṃ sāntara iti vā grahaṇaṃ hetvarthaḥ,	nanu mA BUt saha antareNa grahaNam sAntaraH iti vA grahaNam hetu arTaH,
   śarīrendriyādhiṣṭhānāsambandhasya grahaṇamartho bhaviṣyati /	SarIra indriya aDizWAna asambanDasya grahaNam arTaH Bavizyati /
   na hyayamanyathāsiddhaḥ, etasyaivottaropādhitvena prayojakatvādityata	na hi ayam anyaTA asidDaH, etasya eva uttara upADi tvena prayojaka tvAt ityata
   āha   indriyasambandho bhavatu mā veti /	Aha    indriya sambanDaH Bavatu mA vA iti /
   yaccharīrasambddhaṃ tadavaśyamindriyasambaddhamiti /	yat SarIra sambdDam tat avaSyam indriya sambadDam iti /
   yadindriyasambaddhaṃ tadavaśyaṃ śarīrasambaddhamiti vā na pramāṇamasti,	yat indriya sambadDam tat avaSyam SarIra sambadDam iti vA na pramANam asti,
   tayorvibhinnatvāt, vibhinnāśrayatvācca /	tayoH viBinna tvAt, viBinna ASraya tvAt ca /
   na hyasti niyamo yat pradīpena sambaṇsate tadavaśyaṃ mallimayāpi yad vā	na hi asti niyamaH yat pradIpena sambaNsate tat avaSyam malli mayA api yat vA
   mallimayā tadavaśyaṃ pradīpenāpi /	malli mayA tat avaSyam pradIpena api /
   tasmāt tatra sādhākabādhakapramāṇābhāvāt sandeha evetyarthaḥ /	tasmAt tatra sADAka bADaka pramANa aBAvAt sandehaH eva iti arTaH /
   tasmāt tadanyathāsiddhirevetyasiddhivyavacchedārthaṃ	tasmAt tad anyaTA sidDiH eva iti asidDi vyavacCeda arTam
   sajalasatejaḥpaṭādigrāhiṇā prāpyakāriṇā tvagindriyeṇa viruddhamapi	sa jalasa tejaH pawa Adi grAhiNA prApya kAriNA tvac indriyeNa virudDam api
   sahāntareṇa grahaṇaṃ draṣṭavyam //	saha antareNa grahaNam drazwavyam //
   āvaraṇānupapattirūpasya tarkasyopaskurvāṇaḥ prayogeṇa	AvaraNa anupapatti rUpasya tarkasya upaskurvANaH prayogeNa
   pramāṇamāha  prayogastviti //	pramANam Aha   prayogaH tu iti //
   iha dvividhaḥ sambandhaḥ prāptilakṣaṇo yathā, ālokādīnāṃ ghaṭādibhiḥ /	iha dviviDaH sambanDaH prApti lakzaNaH yaTA, Aloka AdInAm Gawa AdiBiH /
   tadviparītaśca yathā, abhidhānajñānādīnāmabhidhayajñeyādibhaḥ /	tad viparItaH ca yaTA, aBiDAna jQAna AdInAm aBiDayajQeya Adi BaH /
   tatra svaviṣayaṃ prāpyeti siddhasādhanavyudāsārtham /	tatra sva vizayam prApya iti sidDa sADana vyudAsa arTam /
   janakatvādityukte	janakatvAt iti ukte
   śabdādibhiraprāptasvaviṣayapratipattyādijanakairanaikāntikamatastadaprāptāvajanakatvāditi	Sabda AdiBiH aprApta sva vizaya pratipatti Adi janakEH anEkAntikam atas tad aprApta avajanaka tvAt iti
   etāvanmātreṇa tu sarvathā	etAvat mAtreNa tu sarvaTA
   ajanakairanaikāntikamato janakatve satīti /	ajanakEH anEkAntikam atas janaka tve sati iti /
   yuktyantaram tarkāntaram, dūrāntikānanuvidhānaprasaṅgaḥ /	yukti antaram tarka antaram, dUra antikAn anuviDAna prasaFgaH /
   asyāpi viparyayeṇa prayogo draṣṭavyaḥ //	asya api viparyayeNa prayogaH drazwavyaH //
   nanu prāptatvāviśeṣe sūryamaṇḍalavanmerūpṛṣṭhamadhyandinolkāprakāśāvapi	nanu prApta tva aviSeze sUrya maNxala vat merU pRzWa maDyandina ulkA prakASO= api
   gṛhṇīyāt /	gRhNIyAt /
   athānubhdūtābhibhūtatayā na sūrasadanādīnāṃ grahaṇam,	aTa anuBdUta aBiBUta tayA na sUra sadana AdInAm grahaNam,
   ubhdūtānabhibhūtatvāt sūryamaṇḍalaṃ gṛhyata iti, evaṃ tarhi viṣaya eva sa	uBdUta anaBiBUta tvAt sUrya maNxalam gRhyate iti, evam tarhi vizayaH eva sa
   kaścit tādṛśo yo gṛhyate netara ityabhyupeyatām, kiṃ	kaScid tAdRSaH yaH gRhyate na itaraH iti aByupeyatAm, kim
   vyabhicāriprāptiparigrahegotyata āha   prāptau tviti /	vyaBicAri prApti parigrahegoti atas Aha    prAptO tu iti /
   viṣayamāhātmyaṃ hi prāptisahakāri, na tu svatantram /	vizaya mAhAtmyam hi prApti sahakAri, na tu svatantram /
   na hi sparśarasādayo grahaṇayogyā ityaprāptaireva tvagādibhirgṛhyante,	na hi sparSa rasa AdayaH grahaNa yogyAH iti aprAptEH eva tvac AdiBiH gRhyante,
   prāpyakāritvād vā tairanubhdūtābhibhūtā api te prāptatvamātreṇa gṛhyanta	prApya kAri tvAt vA tEH anuBdUta aBiBUtAH api te prApta tva mAtreNa gRhyanta
   ityarthaḥ //	iti arTaH //
   yadyapi kṣaṇabhaṅgapariṇāmanaye 'pi prāptānāmeva parasparaṃ	yadi api kzaNa BaFga pariNAma naye api prAptAnAm eva parasparam
   kartṛkaraṇakarmaṇāṃ kāryajananam, na tvaprāptānāmapi, na hi	kartR karaNa karmaNAm kArya jananam, na tu aprAptAnAm api, na hi
   parasparamapratyāsīdantaḥ sahakāripratyayā bhāvānatiśāyayanto dṛśyante /	parasparam apratyAsIdantaH sahakAri pratyayAH BAvAn atiSAyayantaH dRSyante /
   pratyāsattistu nirantarotpāda eva teṣām /	pratyAsattiH tu nirantara utpAdaH eva tezAm /
   saiva ca svarūpyogyatā /	sA eva ca svarUpya ugya tA /
   tathā ca svarūpayogyatāmindriyārthayobruvatā nirantarotpāda eva vaktavyaḥ,	taTA ca svarUpa yogya tAm indriya arTayA ubruvatA nirantara utpAdaH eva vaktavyaH,
   na punarvyavahitaviprakṛṣṭotpannānāṃ kvacidapi svarūpayogyatā nāma /	na punar vyavahita viprakRzwa utpannAnAm kvacid api svarUpa yogyatA nAma /
   tasmāt prāptau svarūpātiriktāyāṃ vipratipadyeta, na tu nirantarotpāde 'pi	tasmAt prAptO svarUpa atiriktAyAm vipratipadyeta, na tu nirantara utpAde api
   tatrādhikāprāptiḥ sādhanamarhatītyāśayavānāha   niṣetsyete hīti //	tatra aDika aprAptiH sADanam arhati iti ASa yavAn Aha    nizetsyete hi iti //
   evaṃ nivāritābhimānaḥ paradarśane 'pi pramāṇamapaśyan sandigdha iti //	evam nivArita aBimAnaH para darSane api pramANam apaSyan sandigDaH iti //
   nanu janakatve satīti nirṇayahetuṃ paśyan kathaṃ nāma sandigdha ityata	nanu janaka tve sati iti nirNaya hetum paSyan kaTam nAma sandigDaH iti ata
   āha   ayamabhisandhiriti /	Aha   ayam aBisanDiH iti /
   adṛśyamānaprāptāvayaskānte 'pi dṛṣṭatvādanaikāntikasyābhimanyate para	adRSyamAna prAptO= ayaska ante api dRzwa tvAt anEkAntikasya aBimanyate para
   ityarthaḥ /	iti arTaH /
   tvagādīnāṃ daṇḍādīnāṃ ca prāptānāmeva kāryajanakatvaṃ paśyan kathamiva	tvac AdInAm daNxa AdInAm ca prAptAnAm eva kArya janaka tvam paSyan kaTam iva
   sarvatra vipratipadyata ityato vipratipattibījamāha   yogyatayaiveti /	sarvatra vipratipadyate iti atas vipratipatti bIjamAha    yogya tayA eva iti /
   nanvayaskāntasyāprāpyakāritve hetvantare 'pi kaḥ pratīkāra ityata	nanu ayaskAntasya aprApya kAri tve hetu antare api kaH pratIkAraH iti ata
   āha   ayaskāntamaṇeriti /	Aha   ayaska anta maNeH iti /
   nanu tasya vṛttibhedaḥ anupalambhabādhita ityata uktam   cakṣuṣa iveti /	nanu tasya vRtti BedaH anupalamBa bADitaH iti atas uktam   cakzuzaH iva iti /
   tulyayogakṣematvādityarthaḥ //	tulya yogakzema tvAt iti arTaH //
   vyavadhānaviprakarṣau hi anirantarotpādo vā syādaprāptirvā, svarūpayogyatā	vyavaDAna vipra karzO hi anirantara utpAdaH vA syAt aprAptiH vA, sva rUpa yogya tA
   vā? tatrānirantarotpādābhāvo	vA? tatra anirantara utpAda aBAvaH 
   nirantarotpādaḥ syāt /	nirantara utpAdaH syAt /
   na ca kṛṣpāsārasyārthena maṇervā lohena nirantarotpādaḥ saṃbhavati /	na ca kRzpAsArasya arTena maNeH vA lohena nirantara utpAdaH saMBavati /
   aprāptyabhāvastu prāptireva, tathā ca kaḥ pratikūlo 'nukūlamācarati?	aprApti aBAvaH tu prAptiH eva, taTA ca kaH pratikUlaH anukUlam Acarati?
   ayogyatābhāvastu yogyataiva /	ayogya tA BAvaH tu yogya tA eva /
   sa ca bauddhanaye kāraṇajātīyasya nirantarotpādānna bhidyata ityuktam /	sa ca bOdDa naye kAraNa jAtIyasya nirantara utpAdAt na Bidyate iti uktam /
   tasmāt sthiranaye kāryaṃ janayanti kāraṇāni parasparaprāptiṃ vā	tasmAt sTira naye kAryam janayanti kAraNAni paraspara prAptim vA
   vyabhicaranti,	vyaBicaranti,
   prāptirvā svarūpayogyatāprayuktāṃ vyāptimupajīvatītyavaśiṣyate /	prAptiH vA sva rUpa yogya tA prayuktAm vyAptim upajIvati iti avaSizyate /
   tatrāha   prāptereveti //	tatra aha   prApteH eva iti //
   nanu lakṣaṇāntareṇa vyavasthite lakṣye kathamanyonyāśrayatvamityata	nanu lakzaNa antareNa vyavasTite lakzye kaTam anyonya ASraya tvam iti ata
   āha   agatirveti /	Aha   agatiH vA iti /
   taddhi lakṣyasāpekṣamanapekṣaṃ vā? ādye anyonyāśrayatvadoṣādevāgatiḥ /	tat hi lakzyasApekzam anapekzam vA? Adye anyonya ASraya tva dozAt eva AgatiH /
   uttaratra tu avagate lakṣye tatsāpekṣeṇa lakṣaṇena kiṃ	uttaratra tu avagate lakzye tad sApekzeNa lakzaNena kim
   gamayitavyamityagatirevetyarthaḥ /	gamayitavyam iti agatiH eva iti arTaH /
   asti hīti /	asti hi iti /
   yadi vijñānābhinnahetujatvāt sukhaṃ vijñānajātīyaṃ syāt	yadi vijQAna aBinna hetu ja tvAt suKam vijQAna jAtIyam syAt 
   sukhābhinnahetujatvāt tadapi sukhajātīyaṃ bhavet /	suKa aBinna hetu ja tvAt tat api suKa jAtIyam Bavet /
   vijñānaṃ na sukhenābhinnahetujamiti cet? evaṃ tarhi kathaṃ sukhamapi	vijQAnam na suKena aBinna hetu jam iti cet? evam tarhi kaTam suKam api
   vijñānenābhinnahetujamityarthaḥ /	vijQAnena aBinna hetu jam iti arTaH /
   nanu jñānahetvanugamaḥ sukhe 'pyasti, na tu sukhahetvanugamo jñāne, ato	nanu jQAna hetu anugamaH suKe api asti, na tu suKa hetu anugamaH jQAne, atas 
