   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati sAhasrikA PrajQApAramitA
   prajñāpāramitāyāṃ carato dānaṃ dadato vīryapāramitāsannāhaḥ.	prajQApAramitAyAm carataH dAnam dadataH vIrya pAramitA AsannAhaH.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carato dānaṃ dadato yā cittasyaikāgratā sarvākārajñatāpratisaṃyuktair	carataH dAnam dadataH yA cittasya ekAgra tA sarva AkAra jQa tA pratisaMyuktEH 
   manasikāraiḥ śrāvakapratyekabuddhacittasyānavakāśaṃ dānatā tat kuśalamūlaṃ	manasikArEH SrAvaka pratyekabudDa cittasya anavakASam dAna tA tat kuSala mUlam
   sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   ayaṃ bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carato dānaṃ dadato	ayam boDisattvasya mahAsattvasya prajQApAramitAyAm carataH dAnam dadataH 
   dhyānapāramitāsannāhaḥ.	DyAna pAramitA AsannAhaH.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya prajQApAramitAyAm
   carato dānaṃ dadataḥ sarvākārajñatāpratisaṃyuktair manasikārair yā	carataH dAnam dadataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH yA
   māyākṛtasaṃjñopasthitā naiva dāyakam upalabhate na pratigrāhakaṃ na deyaṃ,	mAyA kRta saMjQA upasTitA na eva dAyakam upalaBate na pratigrAhakam na deyaM,
   ayaṃ bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carato dānaṃ dadataḥ	ayam boDisattvasya mahAsattvasya prajQApAramitAyAm carataH dAnam dadataH
   prajñāpāramitāsannāhaḥ, yad āyuṣman śāriputra bodhisattvo mahāsattvaḥ	prajQApAramitA AsannAhaH, yat Ayuzman SAriputra boDisattvaH mahAsattvaH
   sarvākārajñatāpratisaṃyuktena cittena tāḥ ṣaṭ pāramitā na nimittīkaroti	sarva AkAra jQa tA pratisaMyuktena cittena tAH zaw pAramitA na nimittIkaroti
   nopalabhate.	na upalaBate.
   evaṃ hy āyuṣman śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	evam hi Ayuzman SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   mahāsannāhasannaddho bhavati.	mahAsannAhasat nadDaH Bavati.
   iti dānapāramitāsannāhaṣaṭkaṃ prathamam	iti dAna pAramitA sannAha zawkam praTamam
   punar aparaṃ śāriputra bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ caran	punar aparam SAriputra boDisattvaH mahAsattvaH SIla pAramitAyAm caran
   sarvākārajñatāpratisaṃyuktair manasikārair dānaṃ dadāti	sarva AkAra jQa tA pratisaMyuktEH manasikArEH dAnam dadAti
   sarvasattvasādhāraṇaṃ kṛtvā anuttrāyai samyaksaṃbodhaye pariṇāmayaty	sarva sattva sADAraNam kRtvA anuttrAyE samyaksaMboDaye pariNAmayati 
   anupalambhayogena, iyaṃ śāriputra bodhisattvasya mahāsattvasya	anupalamBa yogena, iyam SAriputra boDisattvasya mahAsattvasya
   śīlapāramitāyāṃ carato dānapāramitā.	SIla pAramitAyAm carataH dAna pAramitA.
   (PvsP1 2: 36)	(Pu sP1 2: 36)
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya	punar aparam SAriputra boDisattvasya mahAsattvasya
   sarvākārajñatāpratisaṃyuktair manasikāraiḥ śīlapāramitāyāṃ carato yā	sarva AkAra jQa tA pratisaMyuktEH manasikArEH SIla pAramitAyAm carataH yA
   śrāvakapratyekabuddhabhūmyaspṛhaṇatā prāg eva pṛthagjanabhūmeḥ, iyaṃ	SrAvaka pratyekabudDa BUmi aspRhaNa tA prAk eva pRTagjana BUmeH, iyam
   bodhisattvasya mahāsattvasya śīlapāramitāyāṃ carataḥ śīlapāramitā.	boDisattvasya mahAsattvasya SIla pAramitAyAm carataH SIla pAramitA.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya śīlapāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya SIla pAramitAyAm
   carataḥ sarvākārajñatāpratisaṃyuktair manasikārair yā dharmāṇāṃ kṣamaṇā	carataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH yA DarmANAm kzamaNA
   rocanā vyupaparīkṣaṇā, iyaṃ bodhisattvasya mahāsattvasya śīlapāramitāyāṃ	rocanA vyupaparIkzaNA, iyam boDisattvasya mahAsattvasya SIla pAramitAyAm
   carataḥ kṣāntipāramitā.	carataH kzAnti pAramitA.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya śīlapāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya SIla pAramitAyAm
   carataḥ sarvākārajñatāpratisaṃyuktair manasikārair yā vīryāsraṃsanatā	carataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH yA vIrya AsraMsana tA
   anavalīnatā, iyaṃ bodhisattvasya mahāsattvasya śīlapāramitāyāṃ carato	anavalInatA, iyam boDisattvasya mahAsattvasya SIla pAramitAyAm carataH 
   vīryapāramitā.	vIrya pAramitA.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya śīlapāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya SIla pAramitAyAm
   carataḥ sarvākārajñatāpratisaṃyuktair manasikārair viharato yac	carataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH viharataH yat 
   chrāvakapratyekabuddhapratisaṃyuktānāṃ cittotpādānām anavakāśadānaṃ tasya	CrAvaka pratyekabudDa pratisaMyuktAnAm citta utpAdAnAm anavakASa dAnam tasya
   kṛtaśaḥ kuśalamūlasya sarvasattvasādhāraṇī kṛtasyānuttarāyai	kRtaSas kuSala mUlasya sarva sattva sADAraNI kRtasya anuttarAyE
   samyaksaṃbodhaye pariṇāmanā, iyaṃ bodhisattvasya mahāsattvasya	samyaksaMboDaye pariNAmanA, iyam boDisattvasya mahAsattvasya
   śīlapāramitāyāṃ carato dhyānapāramitā.	SIla pAramitAyAm carataH DyAna pAramitA.
   punar aparaṃ śāriputra bodhisattvasya mahāsattvasya śīlapāramitāyāṃ	punar aparam SAriputra boDisattvasya mahAsattvasya SIla pAramitAyAm
   carataḥ sarvākārajñatāpratisaṃyuktair manasikāraiḥ sarvadharmeṣu	carataH sarva AkAra jQa tA pratisaMyuktEH manasikArEH sarva Darmezu
   māyākṛtasaṃjñāpratyupasthitā bhavati, tac ca śīlaṃ na manyate nopalabhate,	mAyA kRta saMjQA pratyupasTitA Bavati, tat ca SIlam na manyate na upalaBate,
   iyam āyuṣman śāriputra bodhisattvasya mahāsattvasya śīlapāramitayāṃ	iyam Ayuzman SAriputra boDisattvasya mahAsattvasya SIla pAramitayAm
   carataḥ prajñāpāramitā.	carataH prajQApAramitA.
   evaṃ hi śāriputra bodhisattvo mahāsattvaḥ śīlapāramitāyāṃ caran ṣaṭ	evam hi SAriputra boDisattvaH mahAsattvaH SIla pAramitAyAm caran zax 
   pāramitāḥ parigṛhṇāti, tena mahāsannāhasannaddha iti saṃkhyāṃ gacchati.	pAramitAH parigRhNAti, tena mahAsannAha sat nadDaH iti saMKyAm gacCati.
   iti śīlapāramitāsannāhaṣaṭkaṃ dvitīyam	iti SIla pAramitA sannAha zawkam dvitIyam
   punar aparaṃ śāriputra bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ caran	punar aparam SAriputra boDisattvaH mahAsattvaH kzAnti pAramitAyAm caran
   dānaṃ dadāti sarvākārajñatāpratisaṃyuktair manasikārair na	dAnam dadAti sarva AkAra jQa tA pratisaMyuktEH manasikArEH na
   śrāvakapratyekabuddhapratisaṃyuktair manasikārais tac ca kuśalamūlaṃ	SrAvaka pratyekabudDa pratisaMyuktEH manasikArEH tat ca kuSala mUlam
   sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   (PvsP1 2: 37) iyaṃ bodhisattvasya mahāsattvasya kṣāntipāramitāyāṃ carato	(Pu sP1 2: 37) iyam boDisattvasya mahAsattvasya kzAnti pAramitAyAm carataH 
   dānapāramitā, evaṃ kṣāntipāramitāyāṃ carataḥ śīlapāramitā kṣāntipāramitā	dAna pAramitA, evam kzAnti pAramitAyAm carataH SIla pAramitA kzAnti pAramitA
   vīryapāramitā dhyānapāramitā.	vIrya pAramitA DyAna pAramitA.
   punar aparam āyuṣman śāriputra bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ	punar aparam Ayuzman SAriputra boDisattvaH mahAsattvaH kzAnti pAramitAyAm
   caran sarvabuddhadharmasamudānayanatāyai sarvasattvaparipākāya ca	caran sarva budDa Darma samudAna yana tAyE sarva sattva paripAkAya ca
   prayujyate prajñayā sarvākārajñatāpratisaṃyuktair manasikārair na	prayujyate prajQayA sarva AkAra jQa tA pratisaMyuktEH manasikArEH na
   śrāvakapratyekabuddhapratisaṃyuktair manasikārais tac cakuśalamūlaṃ	SrAvaka pratyekabudDa pratisaMyuktEH manasikArEH tat cakuSala mUlam
   sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   iyaṃ bodhisattvasya mahāsattvasya kṣāntipāramitāyāṃ carataḥ	iyam boDisattvasya mahAsattvasya kzAnti pAramitAyAm carataH
   prajñāpāramitā.	prajQApAramitA.
   evaṃ hi śāriputra bodhisattvo mahāsattvaḥ kṣāntipāramitāyāṃ caran ṣaṭ	evam hi SAriputra boDisattvaH mahAsattvaH kzAnti pAramitAyAm caran zax 
   pāramitāḥ parigṛhṇāti, tena mahāsannāhasannaddha iti saṃkhyāṃ gacchati.	pAramitAH parigRhNAti, tena mahAsannAha sat nadDaH iti saMKyAm gacCati.
   iti kṣāntipāramitāsannāhaṣaṭkaṃ tṛtīyam	iti kzAnti pAramitA sannAha zawkam tRtIyam
   punar aparam āyuṣman śāriputra bodhisattvo mahāsattvo vīryapāramitāyāṃ	punar aparam Ayuzman SAriputra boDisattvaH mahAsattvaH vIrya pAramitAyAm
   caran dānaṃ dadāti sarvākārajñatāpratisaṃyuktair manasikārair na	caran dAnam dadAti sarva AkAra jQa tA pratisaMyuktEH manasikArEH na
   śrāvakapratyekabuddhapratisaṃyuktair manasikārais tac ca kuśalamūlaṃ	SrAvaka pratyekabudDa pratisaMyuktEH manasikArEH tat ca kuSala mUlam
   sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   iyaṃ bodhisattvasya mahāsattvasya vīryapāramitāyāṃ carato dānapāramitā,	iyam boDisattvasya mahAsattvasya vIrya pAramitAyAm carataH dAna pAramitA,
   evaṃ vīryapāramitāyāṃ carataḥ śīlapāramitā kṣāntipāramitā vīryapāramitā	evam vIrya pAramitAyAm carataH SIla pAramitA kzAnti pAramitA vIrya pAramitA
   dhyānapāramitā.	DyAna pAramitA.
   punar aparam āyuṣman śāriputra bodhisattvo mahāsattvo vīryapāramitāyāṃ	punar aparam Ayuzman SAriputra boDisattvaH mahAsattvaH vIrya pAramitAyAm
   caran prajñāpāramitāṃ bhāvayan sarvadharmeṣu māyākṛtasaṃjñām	caran prajQApAramitAm BAvayan sarva Darmezu mAyA kRta saMjQAm
   upasthāpayati, sarvākārajñatāpratisaṃyuktair manasikārair na	upasTApayati, sarva AkAra jQa tA pratisaMyuktEH manasikArEH na
   śrāvakapratyekabuddhapratisaṃyuktair manasikārais tac ca kusalamūlaṃ	SrAvaka pratyekabudDa pratisaMyuktEH manasikArEH tat ca kusala mUlam
   sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   iyaṃ bodhisattvasya mahāsattvasya vīryapāramitāyāṃ carataḥ prajñāpāramitā.	iyam boDisattvasya mahAsattvasya vIrya pAramitAyAm carataH prajQApAramitA.
   evaṃ hi śāriputra bodhisattvo mahāsattvo vīryapāramitāyāṃ caran ṣaṭ	evam hi SAriputra boDisattvaH mahAsattvaH vIrya pAramitAyAm caran zax 
   pāramitāḥ parigṛhṇāti, tena mahāsannāhasannaddha iti saṃkhyāṃ gacchati.	pAramitAH parigRhNAti, tena mahAsannAha sat nadDaH iti saMKyAm gacCati.
   iti vīryapāramitāsannāhaṣaṭkaṃ caturtham	iti vIrya pAramitA sannAha zawkam caturTam
   punar aparam āyuṣman śāriputra bodhisattvo mahāsattvo dhyānapāramitāyāṃ	punar aparam Ayuzman SAriputra boDisattvaH mahAsattvaH DyAna pAramitAyAm
   (PvsP1 2: 38) caran dānaṃ dadāti sarvākārajñatāpratisaṃyuktair	(Pu sP1 2: 38) caran dAnam dadAti sarva AkAra jQa tA pratisaMyuktEH 
   manasikārair na śrāvakapratyekabuddhapratisaṃyuktair manasikārais tac ca	manasikArEH na SrAvaka pratyekabudDa pratisaMyuktEH manasikArEH tat ca
   kuśalamūlaṃ sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye	kuSala mUlam sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye
   pariṇāmayati, iyaṃ bodhisattvasya mahāsattvasya dhyānapāramitāyāṃ carato	pariNAmayati, iyam boDisattvasya mahAsattvasya DyAna pAramitAyAm carataH 
   dānapāramitā, evaṃ dhyānapāramitāyāṃ carataḥ śīlapāramitā kṣāntipāramitā	dAna pAramitA, evam DyAna pAramitAyAm carataH SIla pAramitA kzAnti pAramitA
   vīryapāramitā dhyānapāramitā.	vIrya pAramitA DyAna pAramitA.
   punar aparaṃ śāriputra bodhisattvo mahāsattvo dhyānapāramitāyāṃ caran	punar aparam SAriputra boDisattvaH mahAsattvaH DyAna pAramitAyAm caran
   prajñāpāramitāṃ bhāvayan sarvadharmeṣu māyākṛtasaṃjñām upasthāpayati,	prajQApAramitAm BAvayan sarva Darmezu mAyA kRta saMjQAm upasTApayati,
   sarvākārajñatāpratisaṃyuktair manasikārair na	sarva AkAra jQa tA pratisaMyuktEH manasikArEH na
   śrāvakapratyekabuddhapratisaṃyuktair manasikārais tac ca kuśalamūlaṃ	SrAvaka pratyekabudDa pratisaMyuktEH manasikArEH tat ca kuSala mUlam
   sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   iyaṃ bodhisattvasya mahāsattvasya dhyānapāramitāyāṃ carataḥ	iyam boDisattvasya mahAsattvasya DyAna pAramitAyAm carataH
   prajñāpāramitā.	prajQApAramitA.
   evaṃ hi śāriputra bodhisattvo mahāsattvo dhyānapāramitāyāṃ caran ṣaṭ	evam hi SAriputra boDisattvaH mahAsattvaH DyAna pAramitAyAm caran zax 
   pāramitāḥ parigṛhṇāti, tena mahāsannāhasannaddha iti saṃkhyāṃ gacchati.	pAramitAH parigRhNAti, tena mahAsannAha sat nadDaH iti saMKyAm gacCati.
   iti dhyānapāramitāsannāhaṣaṭkaṃ pañcamam	iti DyAna pAramitA sannAha zawkam paQcamam
   punar aparam āyuṣman śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ	punar aparam Ayuzman SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm
   caraṃs trimaṇḍalapariśuddhaṃ dānaṃ dadāti sarvākārajñatāpratisaṃyuktair	caran tri maNxala pariSudDam dAnam dadAti sarva AkAra jQa tA pratisaMyuktEH 
   manasikārair na śrāvakapratyekabuddhapratisaṃyuktair manasikārais tac ca	manasikArEH na SrAvaka pratyekabudDa pratisaMyuktEH manasikArEH tat ca
   kuśalamūlaṃ sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye	kuSala mUlam sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye
   pariṇāmayati, iyaṃ bodhisattvasya mahāsattvasya prajñāpāramitāyāṃ carato	pariNAmayati, iyam boDisattvasya mahAsattvasya prajQApAramitAyAm carataH 
   dānapāramitā, evaṃ prajñāpāramitāyāṃ carataḥ śīlapāramitā kṣāntipāramitā	dAna pAramitA, evam prajQApAramitAyAm carataH SIla pAramitA kzAnti pAramitA
   vīryapāramitā dhyānapāramitā.	vIrya pAramitA DyAna pAramitA.
   punar aparam āyuṣman śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ	punar aparam Ayuzman SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm
   caran prajñāpāramitāṃ bhāvayati, tasya sarvapāramitāsu sarvadharmeṣu ca	caran prajQApAramitAm BAvayati, tasya sarva pAramitAsu sarva Darmezu ca
   māyāsvapnapratibhāsapratiśrutkāpratibimbanirmāṇasaṃjñā pratyupasthitā	mAyA svapna pratiBAsa pratiSrutka apratibimba nirmANa saMjQA pratyupasTitA
   bhavati sarvākārajñatāpratisaṃyuktair manasikārair na	Bavati sarva AkAra jQa tA pratisaMyuktEH manasikArEH na
   śrāvakapratyekabuddhapratisaṃyuktair manasikārais tac ca kuśalamūlaṃ	SrAvaka pratyekabudDa pratisaMyuktEH manasikArEH tat ca kuSala mUlam
   sarvasattvasādhāraṇaṃ kṛtvā anuttarāyai samyaksaṃbodhaye pariṇāmayati,	sarva sattva sADAraNam kRtvA anuttarAyE samyaksaMboDaye pariNAmayati,
   evaṃ hi śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	evam hi SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   prajñāpāramitāṃ paripūrayati, yad āyuṣman śāriputra bodhisattvo	prajQApAramitAm paripUrayati, yat Ayuzman SAriputra boDisattvaH 
   mahāsattvaḥ sarvākārajñatāpratisaṃyuktena cittenaitāḥ ṣaṭ (PvsP1 2: 39)	mahAsattvaH sarva AkAra jQa tA pratisaMyuktena cittena etAH zaw (PvsP1 2: 39)
   pāramitā na nimittīkaroti nopalabhate.	pAramitA na nimittIkaroti na upalaBate.
   evaṃ hy āyuṣman śāriputra bodhisattvo mahāsattvaḥ prajñāpāramitāyāṃ caran	evam hi Ayuzman SAriputra boDisattvaH mahAsattvaH prajQApAramitAyAm caran
   mahāsannāhasannaddho bhavati, evaṃ ca punar āyuṣman śāriputra bodhisattvo	mahAsannAhasat nadDaH Bavati, evam ca punar Ayuzman SAriputra boDisattvaH 
   mahāsattva ekaikasyāṃ pāramitāyāṃ sthitvā ṣaṭ pāramitāḥ paripūrayati.	mahAsattvaH ekEkasyAm pAramitAyAm sTitvA zax pAramitAH paripUrayati.
   iti prajñāpāramitāsannāhaṣaṭkaṃ ṣaṣṭham	iti prajQApAramitA sannAha zawkam zazWam
   punar aparaṃ śāriputra bodhisattvo mahāsattvo dhyānāni ca samāpadyate na	punar aparam SAriputra boDisattvaH mahAsattvaH DyAnAni ca samApadyate na
   ca dhyānāny āsvādayati na ca taiḥ saṃhriyate na ca teṣāṃ vaśenopapadyate,	ca DyAnAni AsvAdayati na ca tEH saMhriyate na ca tezAm vaSena upapadyate,
   evam apramāṇāni cārūpyasamāpattīś ca samāpadyate na ca tā āsvādayati na ca	evam apramANAni ca ArUpya samApattIH ca samApadyate na ca tAH AsvAdayati na ca
   tābhiḥ saṃhriyate na ca tāsāṃ vaśenopapadyate, iyaṃ bodhisattvasya	tABiH saMhriyate na ca tAsAm vaSena upapadyate, iyam boDisattvasya
   mahāsattvasyopāyakauśalagatā prajñāpāramitā veditavyā.	mahAsattvasya upAya kOSala gatA prajQApAramitA veditavyA.
   punar aparaṃ śāriputra bodhisattvo mahāsattvo dhyānārūpyasamāpattiṣu	punar aparam SAriputra boDisattvaH mahAsattvaH DyAna ArUpya samApattizu
   vivekadarśanena ca viharati śūnyatānimittāpraṇihitadarśanena ca viharati	viveka darSanena ca viharati SUnyatA nimitta apraNihita darSanena ca viharati
   na ca bhūtakoṭiṃ sākṣātkaroti, ayaṃ bodhisattvasya mahāsattvasya	na ca BUtakowim sAkzAtkaroti, ayam boDisattvasya mahAsattvasya
   prajñāpāramitāyāṃ carata upāyakauśalasannāhaḥ.	prajQApAramitAyAm carataH upAya kOSala sannAhaH.
   evam āyuṣman śāriputra bodhisattvo mahāsattvo mahāsannāhasannaddhas	evam Ayuzman SAriputra boDisattvaH mahAsattvaH mahAsannAha sannadDas
   tenocyate bodhisattvo mahāsattva iti, evaṃ mahāsannāhasannaddhasyāyuṣman	tena ucyate boDisattvaH mahAsattvaH iti, evam mahA sannAha sannadDasya Ayuzman
   śāriputra bodhisattvasya mahāsattvasya daśasu dikṣu buddhā bhagavanta	SAriputra boDisattvasya mahAsattvasya daSasu dikzu budDAH Bagavanta
   udānam udānayanti varṇam udīrayanti nāmadheyaṃ parikīrtayamānās tasya	udAnam udAnayanti varNam udIrayanti nAmaDeyam parikIrtayamAnAH tasya
   bodhisattvasya mahāsattvasya śabdam anuśrāvayanti ghoṣam udīrayanti,	boDisattvasya mahAsattvasya Sabdam anuSrAvayanti Gozam udIrayanti,
   amuṣmin lokadhātuprasare bodhisattvo mahāsattvo mahāsannāhasannaddha iti	amuzmin lokaDAtu prasare boDisattvaH mahAsattvaH mahAsannAha sat nadDaH iti
   sattvāṃś ca paripācayati buddhakṣetraṃ ca pariśodhayati.	sattvAn ca paripAcayati budDa kzetram ca pariSoDayati.
   iti sannāhaṣaṭkopasaṃhāraḥ	iti sat nAha zawkopa saMhAraH
   ity uktā sannāhapratipattiḥ	iti uktA sannAha pratipattiH
   śāriputra āha: kiyat āyuṣman pūrṇa bodhisattvo mahāsattvo	SAriputraH Aha: kiyat Ayuzman pUrNa boDisattvaH mahAsattvaH 
   mahāyānasaṃprasthito mahāyānasamārūḍho bhavati?	mahAyAna saMprasTitaH mahAyAna samArUXaH Bavati?
   pūrṇa āha: ihāyuṣman śāriputra bodhisattvo mahāsattvo dānapāramitāyāṃ	pUrNaH Aha: iha Ayuzman SAriputra boDisattvaH mahAsattvaH dAna pAramitAyAm
   caran viviktaṃ kāmair viviktaṃ pāpakair akuśalair dharmaiḥ	caran viviktam kAmEH viviktam pApakEH akuSalEH DarmEH
   savitarkasavicāraṃ vivekajaṃ prītisukhaṃ prathamaṃ dhyānam (PvsP1 2: 40)	sa vitarka sa vicAram viveka jam prIti suKam praTamam DyAnam (PvsP1 2: 40)
   upasaṃpadya viharati, evaṃ dvitīyaṃ tṛtīyaṃ caturthaṃ dhyānaṃ, evam	upasaMpadya viharati, evam dvitIyam tRtIyam caturTam DyAnan, evam
   ākāśānantyāyatanaṃ vijñānānantyāyatanam ākiñcanyāyatanaṃ	AkASAnantya Ayatanam vijQAna Ananti Ayatanam AkiQcani Ayatanam
   naivasaṃjñānāsaṃjñāyatanam upasaṃpadya viharati, imāni bodhisattvasya	na eva saMjQAna asaMjQA Ayatanam upasaMpadya viharati, imAni boDisattvasya
   mahāsattvasya dhyānārūpyāṇi yadā bodhisattvo mahāsattva etaiś ca dhyānair	mahAsattvasya DyAna ArUpyANi yadA boDisattvaH mahAsattvaH etEH ca DyAnEH 
   etaiś cārūpyair dānapāramitāyāṃ carann ākāśākāraliṅganimittaiḥ	etEH ca ArUpyEH dAna pAramitAyAm caran AkASa AkAra liFga nimittEH
   samāpadyamāno vyuttiṣṭhamānaś ca tāni ca kuśalamūlāni	samApadyamAnaH vyuttizWamAnaH ca tAni ca kuSala mUlAni
