   dvitīya uddyotaḥ	dvitIyaH uddyotaH
   mukhaṃ devyāḥ kariṣyāmyaham //	muKam devyAH karizyAmi aham //
   locanam tathā ca granthakāra evamagre darśayiṣyati /	locanam taTA ca granTakAraH evam agre darSayizyati /
   mahātmanāṃ dūṣaṇoddhoṣaṇamātmana eva dūṣaṇamiti nedaṃ dūṣaṇodāharaṇaṃ	mahAtmanAm dUzaNa udDa UzaNam AtmanaH eva dUzaNam iti na idam dUzaNa udAha raNam
   dattam /	dattam /
   uddāmā udgatāḥ kalikā yasyāḥ /	uddAmAH udgatAH kalikAH yasyAH /
   utkalikāśca ruharuhikāḥ /	utkalikAH ca ruharuhikAH /
   kṣaṇāttasminnevāvasare prārabdhā jṛmbhā vikāso yayā /	kzaNAt tasmin= eva avasare prArabDA jRmBA vikAsaH yayA /
   jṛmbhā ca manmathakṛto 'ṅgamardaḥ /	jRmBA ca manmaTa kRtaH aFgamardaH /
   śvasanodgamairvasantamārutollāsairātmano āyāsaṃ hṛdayasthitaṃ	Svasana udgamEH vasanta mAruta ullAsEH AtmanaH AyAsam hRdaya sTitam
   santāpamātanvatīṃ prakaṭīkurvāṇām /	santApam AtanvatIm prakawIkurvANAm /
   saha madanākhyena vṛkṣaviśeṣema madanena kāmena ca /	saha madana AKyena vRkza viSezema madanena kAmena ca /
   atropamāśleṣar irṣyāvipralambhasya bhāvino mārgapariśodhaktvena	atra upama ASlezar irzyA vipralamBasya BAvinaH mArga pariSoDaktvena
   sthitastaccarvaṇābhimukhyaṃ kurvannavasare rasasya pramukhībhāvadaśāyāṃ	sTitaH tad carvaNABimuKyam kurvan= avasare rasasya pramuKIBAva daSAyAm
   puraḥsarāyamāṇo gṛhīta iti bhāvaḥ /	puraHsarAyamANaH gRhItaH iti BAvaH /
   abhinayo 'pyatra prākaraṇike pratipadam /	aBinayaH api atra prAkaraNike pratipadam /
   aprākaraṇike bālapriyā kathaṃ darśayiṣyatītyatrāha   mahātmanāmityādi	aprAkaraNike bAla priyA kaTam darSayizyati iti atra aha    mahAtmanAm ityAdi
   dattamityantam /	dattam iti antam /
   uddāmeti /	uddAmA iti /
   ratnāvalīnāṭikāsthamidam /	ratna AvalI nAwikA sTam idam /
   svaparigṛhītāṃ nabamālikālatāṃ dohadaviśeṣeṇa puṣpitāmavagatavato	sva parigRhItAm nabamAlikA latAm dohada viSezeNa puzpitAm avagatavataH 
   vatsarājasya narmasacivaṃ prati vacanam /	vatsa rAjasya narma sacivam prati vacanam /
   'ahamadya imāmudyānalatāmanyāṃ nārīmiva paśyan devyā mukhaṃ	aaham adya imAm udyAna latAm anyAm nArIm iva paSyan devyA muKam
   kopavipāṭaladyuti kariṣyāmī'tyanvayaḥ /	kopa vipAwala dyuti karizyAmI atyanvayaH /
   mayi anyanārīmiva puṣpitāṃ madīyalatāṃ paśyati, tatpaśyantyā	mayi anya nArIm iva puzpitAm madIyalatAm paSyati, tad paSyantyA
   svaparigṛhītamādhavīlatāyāḥ puṣpodgamābhāvena janitakopāyā vāsavadattāyā	sva parigRhIta mADa vIlatAyAH puzpa udgama aBAvena janita kopAyAH vAsavadattAyA
   mukhamātāmradyupi yathā bhaviṣyati tathā kariṣyāmītyarthaḥ /	muKam AtAmra dyupi yaTA Bavizyati taTA karizyAmi iti arTaH /
   dhruvamiti niścaye /	Druvam iti niScaye /
   uttarārdhasya spaṣṭārthakatvaṃ manyamānaḥ pūrvārdhaṃ vyācaṣṭe   uddāmā	uttara arDasya spazwa arTaka tvam manyamAnaH pUrva arDam vyAcazwe   uddAmA
   ityādi /	ityAdi /
   uddāmāḥ udbhaṭāḥ, yadvā bahvyaḥ /	uddAmAH udBawAH, yat vA bahvyaH /
   nārīpakṣe vyācaṣṭe  utkalikāśceti /	nArI pakze vyAcazwe  utkalikAH ca iti /
   ruharuhikāḥ utkaṇṭhāḥ /	ruharuhikAH utkaNWAH /
   āyāsanamityasyaiva vivaraṇam   āndolaneti /	AyAsanam iti asya eva vivaraNam    Andolana iti /
   vṛttau 'ityatropamāśleṣasye'tyuktaṃ vivṛṇoti   atretyādi /	vRttO aiti atra upama ASlezasye ati uktam vivRNoti   atra ityAdi /
   upamāsahitaḥ śleṣa upamāśleṣarḥ /	upamA sahitaH SlezaH upamA SlezarH /
   irṣyepi /	irzyepi /
   vāsavadattāgatervyetyarthaḥ /	vAsavadatta AgatA iH vyA iti arTaH /
   bhāvina iti /	BAvinaH iti /
   dvitāyāṅkāvasāne varmayiṣyamāmasyetyarthaḥ /	dvitAya aFka avasAne varmayizyamAmasya iti arTaH /
   mārgetyādi /	mArga ityAdi /
   vyañjakatvenetyarthaḥ /	vyaQjaka tvena iti arTaH /
   taccarvaṇeti /	tat carvaNA iti /
   sahṛdayānāmiti śeṣaḥ /	sahRdayAnAm iti SezaH /
   'avasara' ityasya vyākhyānam   rasasyetyādi /	aavasara a iti asya vyAKyAnam    rasasya ityAdi /
   rasasya rasacarvaṇāyāḥ /	rasasya rasa carvaNAyAH /
   puraḥsarāyamāṇaḥ purassaratulyaḥ /	puraHsarAyamANaH purassara tulyaH /
   naṭaśikṣārthamāha   abhinaya ityādi /	nawa SikzA arTam Aha   aBinayaH ityAdi /
   aprākaraṇika iti /	aprAkaraNikaH iti /
   nārīrūpāprakṛtārtha ityarthaḥ /	nArI rUpA prakRta arTaH iti arTaH /
   ityatra upamā śleṣasya /	iti atra upamA Slezasya /
   gṛhītamapi ca yamavasare tyajati tadrasānuguṇatayālaṅkārāntarāpekṣayā /	gRhItam api ca yama vasare tyajati tad rasa anuguNa tayA alaFkAra antara apekzayA /
   yathā     raktastvaṃ navapallavairahamapi ślādhyaiḥ priyāyā guṇai 	yaTA    raktaH tvam nava pallavEH aham api SlADyEH priyAyAH guNE 
   stvāmāyānti śilīmukhāḥ smaradhanurmuktāstathā māmapi /	stvAm AyAnti SilImuKAH smara DanuH muktAH taTA mAm api /
   kāntāpādatalāhītastava mude tadvanmamāpyāvayoḥ sarvaṃ tulyamaśoka	kAntA pAda tala AhItaH tava mude tadvat mama api AvayoH sarvam tulyam aSoka
   kevalamahaṃ dhātrā saśokaḥ kṛtaḥ //	kevalam aham DAtrA sa SokaH kRtaH //
   locanam tu vākyārthābhinayenopāṅgādinā /	locanam tu vAkya arTa aBinayena upAFga AdinA /
   na tu sarvathā nābhinaya ityalabhavāntareṇa /	na tu sarvaTA na aBinayaH iti alaBava antareNa /
   dhruvaśabdaśca bhāvīrṣyāvakāśapradānajīvitam /	Druva SabdaH ca BAvIrzyA avakASa pradAna jIvitam /
   rakto lohitaḥ /	raktaH lohitaH /
   ahamapi raktaḥ prabuddhānurāgaḥ /	aham api raktaH prabudDa anurAgaH /
   tatra ca prabodhako vibhāvastadīyaṣallavarāga iti mantavyam /	tatra ca praboDakaH viBAvaH tadIyazat lava rAgaH iti mantavyam /
   evaṃ pratipādamādyo 'rtho vibhāvatvena vyākhyeyaḥ /	evam pratipAdam AdyaH arTaH viBAva tvena vyAKyeyaH /
   ata eva hetuśleṣo 'yam /	atas eva hetu SlezaH ayam /
   sahokttyupamāhetvalaṅkārāṇāṃ hi bhūyasā śleṣānugrāhakatvam /	saha uktti upamA hetu alaFkArANAm hi BUyasA Sleza anugrAhaka tvam /
   anenaivābhiprāyeṇa bālapriyā upāṅgādineti /	anena eva aBiprAyeNa bAla priyA upAFga AdinA iti /
   abhinaya ityanuṣajyate /	aBinaya iti anuzajyate /
   prabuddhānurāga iti /	prabudDa anurAgaH iti /
   priyāyā guṇairanurakto 'hamudbuddhānurāga iti tantrādinā arthaṃ iti bhāvaḥ	priyAyAH guNEH anuraktaH aham udbudDa anurAgaH iti tantra AdinA arTam iti BAvaH
   kaḥ prabodhaka ityatra vyākhyātāha  tatra cetyādi /	kaH praboDakaH iti atra vyAKyAta Aha   tatra ca ityAdi /
   vibhāva iti /	viBAvaH iti /
   uddīpanavibhāva ityarthaḥ /	uddIpana viBAvaH iti arTaH /
   tadīyeti /	tadIyA iti /
   aśokasambandhītyarthaḥ /	aSoka sambanDi iti arTaH /
   pratipādamiti /	pratipAdam iti /
   dvitīye tṛtīye ca pāda ityarthaḥ /	dvitIye tRtIye ca pAdaH iti arTaH /
   vibhāvatveneti /	viBAva tvena iti /
   uddīpanavibhāvatvenetyarthaḥ /	uddIpana viBAva tvena iti arTaH /
   vyākhyeya iti /	vyAKyeyaH iti /
   yatastvāṃ smadhanurmuktāḥ kāmacāpānnirgatāḥ śilīmukhāḥ bhramarā āyānti,	yatas tvAm sma DanuH muktAH kAma cApAt nirgatAH SilImuKAH BramarAH AyAnti,
   tato māmapi tathā smaradhanurmuktāḥ kāmacāpānnirgatāḥ śilīmukhāḥ śarā	tatas mAm api taTA smara DanuH muktAH kAma cApAt nirgatAH SilImuKAH SarA
   āyānti /	AyAnti /
   'kānte'tyādi /	akAnte atyAdi /
   yadyapyatra kāntāpādatalenāhatiḥ tava mude puṣpavikāsāya bhavati,	yadi api atra kAntA pAda talena AhatiH tava mude puzpa vikAsAya Bavati,
   tadvattathā kāntāpādatalāhatiḥ ratabandhaviśeṣaḥ mama mude santoṣāya	tadvat taTA kAntA pAda talAhatiH rata banDa viSezaH mama mude santozAya
   bhavatīti yatāśrutārthaḥ, tatāpi svakāntāpādatalāhananenāśokasya	Bavati iti yata aSruta arTaH, tata api sva kAnta ApAda talAhana nena aSokasya
   puṣpavikāse sati nāyakasya santīṣo bhavatīti yatastava mude tato mamāpi	puzpa vikAse sati nAyakasya santIzaH Bavati iti yatas tava mude tatas mama api
   mude iti hetutvena vyākhyeya iti bhāvaḥ /	mude iti hetu tvena vyAKyeyaH iti BAvaH /
   atra hi prabandhapravṛtto 'pi śloṣo vyatirekavivakṣayā tyajyamāno	atra hi prabanDa pravRttaH api SlozaH vyatireka vivakzayA tyajyamAnaH 
   rasaviśeṣaṃ puṣṇāti /	rasa viSezam puzNAti /
   nātrālaṅkāradvayasannipātaḥ, kiṃ tarhi? alaṅkārāntarameva	na atra alaFkAra dvaya sannipAtaH, kim tarhi? alaFkAra antaram eva
   śleṣavyatirekalakṣamaṃ narasiṃhavaditi cet  na; tasya prakārāntarema	Sleza vyatireka lakzamam narasiMha vat iti cet  na; tasya prakAra antarema
   vyavasthāpanāt /	vyavasTApanAt /
   yatra hi śleṣaviṣaya eva śabde prākarāntareṇa vyatirekapratītirjāyate sa	yatra hi Sleza vizayaH eva Sabde prAkara antareNa vyatireka pratItiH jAyate sa
   tasya viṣayaḥ /	tasya vizayaH /
   yathā   'sa harirnāmnā devaḥ saharirvaraturaganivahena' ityādau /	yaTA a    asa hariH nAmnA devaH sa hariH vara turaga nivahena a ityAdO /
   locanam bhāmaho nyarūpayat   'tatsahoktyupamāhetunirdeśātrrividham'	locanam BAm ahaH nyarUpayat    atad sahokti upamA hetu nirdeSa atrriviDam a
   ityuktyā na tvanyālaṅkārānugrahanirācikīrṣayā /	iti uktyA na tu anya alaFkAra anugraha nirAcikIrzayA /
   rasaviśeṣamiti vipralambham /	rasa viSezam iti vipralamBam /
   saśokaśabdena vyatirekamānayatā śokasahabhūtānāṃ nirvedacintādīnāṃ	sa Soka Sabdena vyatirekam AnayatA Soka saha BUtAnAm nirveda cintA AdInAm
   vyabhicāriṇāṃ vipralambhaparipoṣakāṇāmavakāśo dattaḥ /	vyaBicAriNAm vipralamBa paripoza kANAm avakASaH dattaH /
   kiṃ tarhīti /	kim tarhi iti /
   saṅkārālaṅkāra eka evāyam; tatra kiṃ tyaktaṃ kiṃ vā gṛhītamiti	saFkAra alaFkAraH ekaH eva ayam; tatra kim tyaktam kim vA gRhItam iti
   parasyābhiprāyaḥ /	parasya aBiprAyaH /
   tasyeti saṅkarasya /	tasya iti saFkarasya /
   ekatra hi viṣaye 'laṅkāradvayapratibhollāsaḥ saṅkaraḥ /	ekatra hi vizaye alaFkAra dvaya pratiBA ullAsaH saFkaraH /
   sahariśabda eko viṣayaḥ /	sa hari SabdaH ekaH vizayaH /
   saḥ hariḥ, yadi vā saha haribhiḥ sahaririti /	saH hariH, yadi vA saha hariBiH sahariH iti /
   bālapriyā hetuśleṣa iti /	bAla priyA hetu SlezaH iti /
   hetvalaṅkārasahitaḥ śleṣa ityarthaḥ /	hetu alaFkAra sahitaH SlezaH iti arTaH /
   uktamupapādayati   sahoktītyādi /	uktam upapAdayati   sahokti ityAdi /
   anenaiveti /	anena eva iti /
   bhūyasā śleṣānugrāhakatvābhiprāyeṇaivetyarthaḥ /	BUyasA Sleza anugrAhaka tva aBiprAyeNa eva iti arTaH /
   ityuktyā nyarūpayadityanvayaḥ /	iti uktyA nyarUpayat iti anvayaH /
   tatsahoktīti /	tat sahoktI iti /
   tat śliṣṭaṃ vacaḥ /	tat Slizwam vacaH /
   'anenai'vetyevakāravyavacchedyamāha  na tvityādi /	aanena EavA iti evakAra vyavacCedyam Aha  na tu ityAdi /
   prakṛtarasānuguṇālaṅkārāntaravivakṣayā gṛhītapūrvasyālaṅkārasya tyāgaḥ	prakRta rasa anuguNa alaFkAra antara vivakzayA gRhIta pUrvasya alaFkArasya tyAgaH
   prakṛtarasāṅgaṃ bhavatīti prakṛte vyatirekasya vipralambhapoṣakatvaṃ	prakRta rasa aFgam Bavati iti prakRte vyatirekasya vipralamBa pozaka tvam
   vivṛṇoti   saśokaśabdenetyādi /	vivRNoti   sa Soka Sabdena ityAdi /
   vyatirekamānayateti /	vyatirekam Anayata iti /
   vakturaśokādvyatirekaṃ darśayatetyarthaḥ /	vaktuH aSokAt vyatirekam darSayata iti arTaH /
   avakāśo datta iti /	avakASaH dattaH iti /
   sthitirdarśitetyarthaḥ /	sTitiH darSitA iti arTaH /
   vṛttau 'śleṣa' iti /	vRttO aSleza a iti /
   śleṣopametyarthaḥ /	Sleza upamA iti arTaH /
   'nātre'tyādiḥ 'cedi'tyantaḥ śaṅkāgranthaḥ /	anAtre atyAdiH acedi atyantaH SaFkA granTaH /
   tatra kiṃ tahīntyādeḥ bhāvamāha   saṅkaretyādi /	tatra kim tahInti AdeH BAvam Aha    saFkara ityAdi /
   saṅkareti /	saFkara iti /
   ekavākyānupraveśasaṅkaretyarthaḥ /	eka vAkya anupraveSa saFkara iti arTaH /
   vṛttau samādhatte   'ne'tyādi /	vRttO samADatte    ane atyAdi /
   prakārāntareṇa vyavasthāpanameva daśaṃyati  'yatre'tyādi /	prakAra antareNa vyavasTApanam eva daSaMyati   ayatre atyAdi /
   bhāvaṃ vyācaṣṭe ekatretyādi /	BAvam vyAcazwe ekatra ityAdi /
   alaṅkāreti /	alaFkAra iti /
   alaṅkāradvayasya yā pratibhā pratītistasyā ullāsaḥ udaya ityarthaḥ /	alaFkAra dvayasya yA pratiBA pratItiH tasyAH ullAsaH udayaH iti arTaH /
   saṅkaraḥ ekavākyānupraveśasaṅkaraḥ /	saFkaraH eka vAkya anupraveSa saFkaraH /
   sa haririti rājavarṇanam /	sa hariH iti rAja varNanam /
   'yadyapyanupamacaritastathāpi tava nācyutastulāṃ labhate'iti pūrvārdham /	ayadi api anupama caritaH taTA api tava na acyutaH tulAm laBate aiti pUrva arDam /
   atraikaviṣayakatvaṃ darśayati  sa harītyādi /	atra eka vizayaka tvam darSayati  sa hari ityAdi /
   viṣaya iti /	vizayaH iti /
   śleṣavyatirekayoriti śeṣaḥ /	Sleza vyatirekayoH iti SezaH /
   saharirnāmnetyatra sa haririti padadvayamityāha  saḥ haririti /	sahariH nAmnA iti atra sa hariH iti pada dvayam iti Aha  saH hariH iti /
   saḥ acyutaḥ /	saH acyutaH /
   nāmnā hariḥ harināmaka ityarthaḥ /	nAmnA hariH harinAmakaH iti arTaH /
   aśvavācino hariśabdasya sahaśabdena samāsa ityāśayena dvitīyaṃ	aSva vAcinaH hari Sabdasya saha Sabdena samAsaH iti ASayena dvitIyam
   sahariśabdaṃ vyācaṣṭe  yadi vetyādi /	sa hari Sabdam vyAcazwe  yadi vA ityAdi /
   yadi veti /	yadi vA iti /
   atha cetyarthaḥ, avyayānāmanekārthatvāt /	aTa ca iti arTaH, avyayAnAm aneka arTa tvAt /
   yadvā  yadivetyapapāṭhaḥ /	yat vA  yat ivA iti apapAWaH /
   haribhiḥ aśvaiḥ /	hariBiH aSvEH /
   nivaheneti hetau abhede vā tṛyīyā /	nivahena iti hetO aBede vA tRyIyA /
   antyapāde atra hyanya eva śabdaḥ śleṣasya viṣayo 'nyaśca vyatirekasya /	antya pAde atra hi anyaH eva SabdaH Slezasya vizayaH anyaH ca vyatirekasya /
   yadi caivaṃvidhe viṣaye 'laṅkārāntaratvakalpanā kriyate	yadi ca evaMviDe vizaye alaFkAra antara tva kalpanA kriyate
   tatsaṃsṛṣṭerviṣayāpahāra eva syāt /	tad saMsRzweH vizaya apahAraH eva syAt /
   śleṣamukhainaivātra vyatirekasyātmalābha iti nāyaṃ saṃsṛṣṭerviṣaya iti	Sleza muKa ena eva atra vyatirekasya Atma lABaH iti na ayam saMsRzweH vizayaH iti
   cet  na; vyatirekasya prakārāntareṇāpi darśanāt /	cet  na; vyatirekasya prakAra antareNa api darSanAt /
   yathā    cet  na; vyatirekasya prakārāntareṇāpi darśanāt /	yaTA   cet  na; vyatirekasya prakAra antareNa api darSanAt /
   yathā    no kalpāpāyavāyoradayarayadalatkṣyādhārasyāpi śamyā locanam atra	yaTA   no kalpa apAya vAyoH adaya raya dalatkzi ADArasya api SamyA locanam atra
   hīti /	hi iti /
   hiśabdastuśabdasyārthe, 'raktastva'mityatretyarthaḥ /	hi SabdaH tuSabdasya arTe, araktaH tu a amiti atra ityarTaH /
   anya iti rakta ityādiḥ /	anyaH iti raktaH ityAdiH /
   anyaśca aśokasaśokādiḥ /	anyaH ca aSoka sa Soka AdiH /
   nanvekaṃ vākyātmakaṃ viṣayamāśrityaikaviṣayatvādastu saṅkara	nanu ekam vAkya Atmakam vizayam ASritya eka vizaya tvAt astu saFkara
   ityāśaṅkyāha  yadīti /	iti ASaFkya aha  yadi iti /
   evaṃvidhe vākyalakṣaṇe viṣaye viṣaya ityekatvaṃ vivakṣitaṃ bodhyam /	evaMviDe vAkya lakzaNe vizaye vizayaH iti eka tvam vivakzitam boDyam /
   ekavākyāpekṣayā yadyekaviṣayatvamucyate tanna kvacitsaṃsṛṣṭiḥ syāt,	eka vAkya apekzayA yadi eka vizaya tvam ucyate tat na kvacid saMsRzwiH syAt ,
   saṅkareṇa vyāptatvāt /	saFkareNa vyApta tvAt /
   nanūpamāgarbho vyatirekaḥ; upamā ca śleṣamukhenaivāyāteti śleṣo 'tra	nanUpam AgarBaH vyatirekaH; upamA ca Sleza muKena eva AyAta iti SlezaH atra
   vyatirekasyānugrāhaka iti saṅkarasyaivaiṣa viṣayaḥ /	vyatirekasya anugrAhakaH iti saFkarasya eva eza vizayaH /
   yatra tvanugrāhmānugrāhakabhāvonāsti tatraikavākyagāmitve 'pi	yatra tu anugrAhma anugrAhaka BAvonA asti tatra eka vAkya gAmi tve api
   saṃsṛṣṭireva; tadetadāha   śleṣeti /	saMsRzwiH eva; tat etat Aha   Sleza iti /
   śleṣabalānītopamāmukhenetyarthaḥ /	Sleza balA nIta upamA muKena iti arTaH /
   etatpariharati  neti /	etat pariharati  nA iti /
   ayaṃ bhāvaḥ   kiṃ sarvatropamāyāḥ svaśabdenābhidhāne vyatireko bhavatyuta	ayam BAvaH   kim sarvatra upamAyAH sva Sabdena aBiDAne vyatirekaH Bavati uta
   gamyamānatve /	gamyamAna tve /
   tatrādyaṃ pakṣaṃ dūṣayati prakārāntareṇeti /	tatra Adyam pakzam dUzayati  prakAra antareNa iti /
   upamābhidhānena vināpītyarthaḥ /	upamA aBiDAnena vinA api iti arTaH /
   śamyā śamayituṃ śakyetyarthaḥ /	SamyA Samayitum SakyA iti arTaH /
   dīpavartistu vāyumātreṇa śamayituṃ śakyate /	dIpa vartiH tu vAyu mAtreNa Samayitum Sakyate /
   bālapriyā tvamiti śeṣaḥ /	bAla priyA tvam iti SezaH /
   deva iti dvayorviśeṣaṇam /	devaH iti dvayoH viSezaNam /
   yadyapyatra sahariḥ sahaririti dve upātte, tathāpi	yadi api atra sahariH sahariH iti dve upAtte, taTA api
   tayorekānupūrvīṅkatvenaikaviṣayakatvamiti bhāvaḥ /	tayoH eka AnupUrvIFka tvena eka vizayaka tvam iti BAvaH /
   vṛttigatānyapade vyācaṣṭe   raktetyādi /	vRtti gata ani apade vyAcazwe    rakta ityAdi /
   vākyalakṣaṇe vākyātmake /	vAkya lakzaNe vAkya Atmake /
   ekatvavivakṣāyāḥ phalaṃ darśayaṃstadityādivṛtyarthaṃ	eka tva vivakzAyAH Palam darSayan= tat iti Adi vRti arTam
   vivṛṇoti   ekavākyetyādi /	vivRNoti   eka vAkya ityAdi /
   saṅkarasyaivaiṣa viṣaya iti /	saFkarasya eva eza vizayaH iti /
   saṅkarasya anugrāhyanugrāhakabhāvena saṅkarasya /	saFkarasya anugrAhi anugrAhaka BAvena saFkarasya /
   saṃsṛṣṭeśva nāsti viṣayāpahāra ityāha   yatretyādi /	saMsRzweSva na asti vizaya apahAraH iti Aha   yatra ityAdi /
   tadetadāheti /	tat etat Aha iti /
   tāmimāṃ śaṅkāṃ darśayatītyarthaḥ /	tAm imAm SaFkAm darSayati iti arTaH /
   netyādiparihāragranthasya bhāvaṃ darśayati   ayamityādi /	na ityAdi parihAra granTasya BAvam darSayati    ayam ityAdi /
   kimiti praśne /	kim iti praSne /
   gamyamānatve vyaṅgyatve /	gamyamAna tve vyaFgya tve /
   upamābhidhānena upamāvācakena /	upamA aBiDAnena upamA vAcakena /
   nokalpeti /	na ukalpA iti /
   sūryaśatakastham /	sUrya Sataka sTam /
   uṣṇātviṣaḥ sūryasyaiva /	uzNa atvizaH sUryasya eva /
   nikhiladvīpadīpasya dīptireva anyarūpā, sā prasiddhā eva vartiḥ vaḥ	niKila dvIpa dIpasya dIptiH eva anya rUpA, sA prasidDAH eva vartiH vaH
   sukhayatviti sambandhaḥ /	suKayatu iti sambanDaH /
   anyarūpetyanena darśitaṃ dīptervaidharmyaṃ no katpetyādinā kathyate /	anya rUpa iti anena darSitam dIpteH vEDarmyam no katpa ityAdinA kaTyate /
   adayarayena prauḍhavegena dalan kṣmādharo yasya /	adaya rayena prOXa vegena dalan kzmADaraH yasya /
   vāyoriti kartari ṣaṣṭī gāḍhamudgīrṇā gāḍhodgīrṇojjvalaśrīrahani na rahitā	vAyoH iti kartari zazwI gAXam udgIrNA gAXa udgIrNa ujjvala SrIH ahani na rahitA
   no tamaḥkajjalena /	no tamaH kajjalena /
   prāptotpattiḥ pataṅgānna punarupagatā moṣamuṣṇātviṣo vo vartiḥ	prApta utpattiH pataFgAn na punar upagatA mozam uzNa atvizaH vaH vartiH
   saivānyarūpā sukhayatu nikhiladvīpadīpasya dīptiḥ //	sA eva anya rUpA suKayatu niKila dvIpa dIpasya dIptiH //
   atra hi sāmyaprapañjapratipādanaṃ vinaiva vyatareko darśitaḥ /	atra hi sAmya prapaQja pratipAdanam vinA eva vyatarekaH darSitaH /
   nātra locanam tama eva kajjalaṃ tena /	na atra locanam tamaH eva kajjalam tena /
   na no rahitāṃ api tu rahitaiva /	na naH rahitAm api tu rahitA eva /
   dīpavartistu tamasāpi yuktā bhavati /	dIpa vartiH tu tamasA api yuktA Bavati /
   atyantamaprakaṭatvatkajjalena coparicarema /	atyantam aprakawa tvat kajjalena ca upari carema /
   patāṅgādarkāt /	pata aFgAt arkAt /
   dīpavartiḥ punaḥ śalabhāddhvaṃsate notpadyate /	dIpa vartiH punar SalaBAt DvaMsate na utpadyate /
   sāmyeti /	sAmya iti /
   sāmyasyopamāyāḥ prapañcena prabandhena yatpratipādanaṃ svaśbadena tena	sAmyasya upamAyAH prapaQcena prabanDena yat pratipAdanam svaSbadena tena
   vināpītyarthaḥ /	vinA api iti arTaH /
   etaduktaṃ bhavati   pratīyamānaivopamā vyatirekasyānugrāhiṇī bhavantī	etat uktam Bavati     pratIyamAnA eva upamA vyatirekasya anugrAhiNI BavantI
   nābhidhānaṃ svakaṇṭhenāpekṣate /	na aBiDAnam sva kaNWena apekzate /
   tasmānāna śleṣāpamā vyatirekasyānugrāhitvenopāttā /	tasmAnAna Sleza apamA vyatirekasya anugrAhi tvena upAttAH /
   nanu yadyapyanyatra naivaṃ, tatāpīha tatprāvaṇyenaiva sopāttā;	nanu yadi api anyatra na evaM, tata api iha tad prAvaNyena eva sa upAttA;
   tadaprāvaṇye svayaṃ cārutvahetutvābhāvāditi śleṣopamātra	tad aprAvaNye svayam cAru tva hetutva aBAvAt iti Sleza upamAtra
   pṛthagalaṅkārabhāvameva na bhajate /	pRTak alaFkAra BAvam eva na Bajate /
   tadāha  nātreti /	tadA aha  nAtrA iti /
