   (KpSū 1)	(KpSU 1)
   sālendraḥ nārāyaṇagataḥ jyotigarbhaḥ / yastu tatra kulaputra	sAla indraH nArAyaNa gataH jyoti garBaH / yaH tu tatra kula putra
   sarvapaścimakaḥ purohitaputraḥ vigatabhyasaṃtāpo nāma, sa ratnagarbhasya	sarva paScimakaH purohita putraH vigataBya saMtApaH nAma, sa ratna garBasya
   tathāgatasya purutaḥ sthitvāha / "ime bhadanta	taTAgatasya purutaH sTitvA Aha / "ime Badanta
   bhagavannekonāśītirmāṇavakāḥ sarve vyākṛtā utpalasaṃtīraṇe kalpe	Bagavan= ekona aSItiH mANavakAH sarve vyAkRtAH utpala saMtIraNe kalpe
   vardhamānadvaye 'nuttarāṃ samyaksaṃbodhimabhisaṃbhotsyante /	varDamAna dvaye anuttarAm samyaksaMboDim aBisaMBotsyante /
   utpādayāmyahaṃ bhagavannanuttarāyāṃ samyaksaṃbodhau cittaṃ, kṣīyamāṇe	utpAdayAmi aham Bagavan= anuttarAyAm samyaksaMboDO cittaM, kzIyamANe
   bhadanta bhagavannutpalasaṃtīraṇe (KpSū 184) kalpe sarvapaścimako 'haṃ	Badanta Bagavat = utpala saMtIraNe (KpSU 184) kalpe sarva paScimakaH aham
   varāgrabodhiṃ spṛśeyaṃ / yāntakaṃ teṣāmekonāśītīnāṃ buddhānāmāyuḥpramāṇaṃ	vara agra boDim spRSeyam / yAntakam tezAm ekonASItInAm budDAnAm AyuH pramANam
   tāntakaṃ mamaikasya bodhiprāptasya bhavet / yāntakāśca teṣāṃ vaineyā	tAntakam mama ekasya boDi prAptasya Bavet / yAntakAH ca tezAm vEneyA
   bhaveyustāntakā mamaikasya bhaveyuḥ, yathā ca te tribhiryānairdharmaṃ	BaveyuH tAntakAH mama ekasya BaveyuH, yaTA ca te triBiH yAnEH Darmam
   deśayeyuḥ, yathā ca teṣāṃ śrāvakasaṅgho bhavet, tāntako mama	deSayeyuH, yaTA ca tezAm SrAvaka saFGaH Bavet, tAntakaH mama
   bodhiprāptasya ekaśrāvakasaṅgho bhavet / ye ca teṣāmekonāśītīnāṃ	boDi prAptasya eka SrAvaka saFGaH Bavet / ye ca tezAm ekona aSItInAm
   buddhānāmutpannānāṃ sattvāstasminnutpalasaṃtīraṇe kalpe manuṣyalābhaṃ	budDAnAm utpannAnAm sattvAH tasmin= utpala saMtIraNe kalpe manuzya lABam
   pratigṛhṇīyuḥ, kṣīyamāṇe kalpe 'hamanuttarāṃ samyaksaṃbodhimabhisaṃbuddhaḥ	pratigRhNIyuH, kzIyamANe kalpe aham anuttarAm samyaksaMboDim aBisaMbudDaH
   sarvāṃstān sattvāṃstribhiryānairniyatāṃ vyavasthāpayeyaṃ / yadi me	sarvAn= tAn sattvAn= triBiH yAnEH niyatAm vyavasTApayeyam / yadi me
   bhadanta bhagavannevaṃrūpā āśā paripūryeta tadvyākuruṣva māṃ bhadanta	Badanta Bagavan= evaMrUpA ASA paripUryeta tat vyAkuruzva mAm Badanta
   bhagavannanuttarāyāṃ samyaksaṃbodhau" /	Bagavan= anuttarAyAm samyaksaMboDO" /
   atha khalu kulaputra ratnagarbhastathāgato vigatabhayasaṃtāpasya	aTa Kalu kula putra ratnagarBaH taTAgataH vigata Baya saMtApasya
   sādhukāramadāt / "sādhu sādhu satpuruṣa, gaṇanātikrāntānāṃ sattvānāṃ	sADukAram adAt / "sADu sADu sat puruza, gaNanA atikrAntAnAm sattvAnAm
   kāruṇikahitakaraścotpanno, bhaviṣyasi tvaṃ māṇavakānāgate 'dhvanyatikrānta	kAruNika hita karaH ca utpanno, Bavizyasi tvam mANavakAn Agate aDvani atikrAnta
   ekagaṅgānadīvālikāsame 'saṃkhyeye 'nupraviṣṭe dvitīye gaṅgānadīvālikāsame	ekagaFgA nadI vAlikA same asaMKyeye anupravizwe dvitIye gaFgA nadI vAlikA same
   'saṃkhyeye tatrotpalasaṃtīraṇe kalpe kṣīyamāṇe	asaMKyeye tatra utpala saMtIraNe kalpe kzIyamANe
   sarvapaścimakastvamanuttarāṃ samyaksaṃbodhimabhisaṃbhotsyase, (KpSū 185)	sarva paScimakaH tvam anuttarAm samyaksaMboDim aBisaMBotsyase, (KpSU 185)
   viagatarajasamudgatābhyudgatarājā nāma tathāgato bhaviṣyasi yāvadbuddho	viagata raja samudgata aByudgata rAjA nAma taTAgataH Bavizyasi yAvat budDaH 
   bhagavān / yathā ca teṣāmekonāśītīnāṃ buddhānāmardhakalpamāyurbhaviṣyati,	BagavAn / yaTA ca tezAm ekonASItInAm budDAnAm arDa kalpam AyuH Bavizyati,
   evaṃ tavaivaikasyāyurardhakalpaṃ bhaviṣyati / yāvat sarve te	evam tava eva ekasya AyuH arDa kalpam Bavizyati / yAvat sarve te
   tvatpraṇidhānāḥ saṃpatsyante yathā praṇidhānaṃ kṛtaṃ" /	tvad praNiDAnAH saMpatsyante yaTA praNiDAnam kRtaM" /
   sa āha   "yadi me bhadanta bhagavannevaṃrūpā āśā paripuryeta yadāhaṃ	saH Aha  "yadi me Badanta Bagavan= evaMrUpA ASA paripuryeta yadA aham
   bhagavataḥ pañcamaṇḍalena pādau vandāmi tadā sarvatrāsmin buddhakṣetre	BagavataH paQcamaNxalena pAdO vandAmi tadA sarvatra asmin budDa kzetre
   nīlakusumāḥ pravarṣantu paramasugandhā, ye ca sattvāstaṃ gandhamāghrāyeyuḥ	nIla kusumAH pravarzantu parama suganDA, ye ca sattvAH tam ganDam AGrAyeyuH
   teṣāṃ sarveṣāṃ dhātavaḥ prasannā aviruddhā bhaveyuḥ, sarveṣāṃ ca	tezAm sarvezAm DAtavaH prasannAH avirudDAH BaveyuH, sarvezAm ca
   sarvavyādhyaḥ praśāmyeyuḥ / yadā ca kulaputra vigatabhayasaṃtāpo māṇavo	sarva vyADyaH praSAmyeyuH / yadA ca kula putra vigata Baya saMtApaH mANavaH 
   ratnagarbhasya tathāgatasya pañcamaṇḍalena pādau vandati tadā sarvatra	ratna garBasya taTAgatasya paQcamaNxalena pAdO vandati tadA sarvatra
   tasmin buddhakṣetre nīlakusumavṛṣṭiḥ pravarṣitā, ye ca sattvāstaṃ gandhaṃ	tasmin budDa kzetre nIla kusuma vRzwiH pravarzitA, ye ca sattvAH tam ganDam
   ghrātavantasteṣāṃ sarve dhātavaḥ samā aviruddhāḥ saṃsthitāḥ, sarve ca	GrAtavantaH tezAm sarve DAtavaH samAH avirudDAH saMsTitAH, sarve ca
   tatra sattvā arogā alpābādhāśca saṃvṛttāḥ /	tatra sattvAH arogAH alpa AbADAH ca saMvRttAH /
   ratnagarbhastathāgata āha  	ratnagarBaH taTAgataH Aha  
   "uttiṣṭha karuṇavratadāntacittā pūjayiṣyasi bahava lokanāthān /	"uttizWa karuNa vrata dAnta cittA pUjayizyasi bahava loka nATAn /
   (KpSū 186)	(KpSU 186)
   chetsyasi dṛḍhāṃ śaṭhakleśabandhanāṃ bhaviṣyase śubhavaraprajñakośaḥ" //	Cetsyasi dRXAm SaWa kleSa banDanAm Bavizyase SuBa vara prajQa koSaH" //
   tasya ca kulaputra brāhmaṇasya trayaḥ koṭyo 'ntavāsināmārāmadvāre	tasya ca kula putra brAhmaNasya trayaH kowyaH anta vAsinAm ArAma dvAre
   niṣaṇṇāste āgatāṃ sattvāṃstriśaraṇagamane sthāpayanti, bodhāya ca	nizaNNAH te AgatAm sattvAn= tri SaraNa gamane sTApayanti, boDAya ca
   samādāpayanti /	samAdApayanti /
   atha khalu samudrareṇurbrāhmaṇastāṃ śiṣyānāmantrayate sma / "utpādayatha	aTa Kalu samudra reNuH brAhmaNaH tAm SizyAn Amantrayate sma / "utpAdayaTa
   bho māṇavakā anuttarāyāṃ samyaksaṃbodhau cittaṃ, gṛhṇatha	Bo mANavakAH anuttarAyAm samyaksaMboDO cittaM, gRhNaTa
   buddhakṣetraguṇāṃ yādṛśānākāṅkṣatha, kuruta bhagavataḥ sakāśe praṇidhānaṃ	budDa kzetra guNAm yAdRSAn AkAFkzaTa, kuruta BagavataH sakASe praNiDAnam
   yādṛśamevākāṅkṣatha" /	yAdRSam eva AkAFkzaTa" /
   tatra jyotikṣabhako nāma māṇavaḥ, sa āha   "kīdṛśena mārgeṇa kīdṛśena	tatra jyotikzaBakaH nAma mANavaH, saH Aha  "kIdRSena mArgeNa kIdRSena
   saṃbhāreṇa kīdṛśyā caryayā kīdṛśyā saṃṛtyā bodhirlabhyate?" / purohita āha	saMBAreNa kIdRSyA caryayA kIdRSyA saMRtyAH boDiH laByate?" / purohitaH Aha
     "catvāra ime māṇavakā bodhimārgapratipannena bodhisattvenākṣayakośāḥ	 "catvAraH ime mANavakAH boDi mArga pratipannena boDisattvena akzaya koSAH
   samudānayitavyāḥ / katame catvāraḥ?" akṣayaḥ puṇyasaṃbhāraḥ, akṣayo	samudAnayitavyAH / katame catvAraH?" akzayaH puNya saMBAraH, akzayaH 
   jñānasaṃbhāraḥ, akṣayaḥ prajñāsaṃbhāraḥ, akṣayaḥ (KpSū 187)	jQAna saMBAraH, akzayaH prajQA saMBAraH, akzayaH (KpSU 187)
   sarvadharnasamudānayanasaṃbhāraḥ / īdṛśaḥ kulaputra mārgaḥ / uktaṃ caivaṃ	sarva Darna samudAnayana saMBAraH / IdRSaH kula putra mArgaH / uktam ca evam
   māṇava tathāgatena saṃbhāraviśuddhisaṅgraho nāma	mANava taTAgatena saMBAra viSudDi saFgrahaH nAma
   saṃsārottaraṇadharmadvāraṃ; dānasaṃbhāraṃ bodhisattvā ye parityajanti, sa	saMsAra uttaraNa Darma dvAran; dAna saMBAram boDisattvAH ye parityajanti, sa
   ca vaineyasattvaparipācanāya saṃvartate; śīlasaṃbhāro bodhisattvānāṃ	ca vEneya sattva paripAcanAya saMvartate; SIla saMBAraH boDisattvAnAm
   praṇidhānapūryai saṃvartate; kṣāntisaṃbhāro bodhisattvānāṃ	praNiDAna pUryE saMvartate; kzAnti saMBAraH boDisattvAnAm
   lakṣaṇānuvyañjanaparipūryai saṃvartate; vīryasaṃbhāro bodhisattvānāṃ	lakzaNa anuvyaQjana paripUryE saMvartate; vIrya saMBAraH boDisattvAnAm
   sarvakāmakaraṇāya saṃvartate; dhyānasaṃbhāro	sarva kAma karaNAya saMvartate; DyAna saMBAraH 
   bodhisattvānāmājāneyacittatāyai saṃvartate; prajñāsaṃbhāro bodhisattvānāṃ	boDisattvAnAm AjAneya citta tAyE saMvartate; prajQA saMBAraH boDisattvAnAm
   sarvakleśaparijñāyai saṃvartate; śrutasaṃbhāro	sarva kleSa parijQAyE saMvartate; Sruta saMBAraH 
   bodhisattvānāmasaṅgapratibhānatāyai saṃvartate; puṇyasaṃbhāro	boDisattvAnAm asaFga pratiBAna tAyE saMvartate; puNya saMBAraH 
   bodhisattvānāṃ sarvasattvopajīvyatāyai saṃvartate; jñānasaṃbhāro	boDisattvAnAm sarva sattva upajIvyatAyE saMvartate; jQAna saMBAraH 
   bodhisattvānāmasaṃśayajñānatāyai saṃvartate: śamathasaṃbhāro	boDisattvAnAm asaMSaya jQAna tAyE saMvartate: SamaTa saMBAraH 
   bodhisattvānāṃ karmaṇacittatāyai saṃvartate; vipaśyanāsaṃbhāro	boDisattvAnAm karmaNa citta tAyE saMvartate; vipaSyana asaMBAraH 
   bodhisattvānāṃ vigatakathaṃkathāyai saṃvartate; (KpSū 188) maitrīsaṃbhāro	boDisattvAnAm vigata kaTaMkaTAyE saMvartate; (KpSU 188) mEtrI saMBAraH 
   bodhisattvānāmapratihatacittatāyai saṃvartate; karuṇāsaṃbhāro	boDisattvAnAm apratihata citta tAyE saMvartate; karuNA saMBAraH 
   bodhisattvānāṃ vaineyākhedatāyai saṃvartate; muditāsaṃbhāro bodhisattvānām	boDisattvAnAm vEneya AKedatAyE saMvartate; mudita asaMBAraH boDisattvAnAm
   dharmārāmaratiramaṇatāyai saṃvartate; upekṣāsaṃbhāro	Darma ArAm a rati ramaNa tAyE saMvartate; upekzA saMBAraH 
   bodhisattvānāmanunayapratighaprahāṇatāyai saṃvartate;	boDisattvAnAm anunaya pratiGa prahANa tAyE saMvartate;
   dharmaśravaṇasaṃbhāro bodhisattvānāṃ nivaraṇaprahāṇāya saṃvartate;	Darma SravaNa saMBAraH boDisattvAnAm nivaraNa prahANAya saMvartate;
   naiṣkramyasaṃbhāro bodhisattvānāṃ sarvaparigrahāvasaraṇatāyai saṃvartate;	nEzkramya saMBAraH boDisattvAnAm sarva parigraha avasaraNa tAyE saMvartate;
   araṇyavāsasaṃbhāro bodhisattvānāṃ kṛtakuśalamūlakarmāvipraṇāśatāyai	araNya vAsa saMBAraH boDisattvAnAm kRta kuSala mUla karma avipraNASa tAyE
   saṃvartate; kuśalavṛddhibhāvanatāsaṃbhāro bodhisattvānāṃ sarvakuśalatāyai	saMvartate; kuSala vRdDi BAvanatA saMBAraH boDisattvAnAm sarva kuSala tAyE
   saṃvartate; smṛtisaṃbhāro bodhisattvānāṃ dhāraṇīpratilābhatāyai	saMvartate; smRti saMBAraH boDisattvAnAm DAraNI pratilABa tAyE
   saṃvartate; matisaṃbhāro bodhisattvānāṃ bodhiprabhedanatāyai saṃvartate;	saMvartate; mati saMBAraH boDisattvAnAm boDi praBedanatAyE saMvartate;
   dhṛtisaṃbhāro bodhisattvānāmarthagatyanubudhyanatāyai saṃvartate;	DRti saMBAraH boDisattvAnAm arTa gati anubuDyanatAyE saMvartate;
   smṛtyupasthānasaṃbhāro bodhisattvānāṃ	smRti upasTAna saMBAraH boDisattvAnAm
   kāyavedanācittadharmapratyavekṣaṇatāyai saṃvartate; samyakprahāṇasaṃbhāro	kAya vedanA citta Darma pratyavekzaNa tAyE saMvartate; samyak prahANa saMBAraH 
   bodhisattvānāṃ sarvakuśaladharmabhāvanāparipūraṇāya (KpSū 189) saṃvartate;	boDisattvAnAm sarva kuSala Darma BAvanA paripUraNAya (KpSU 189) saMvartate;
   ṛddhipādasaṃbhāro bodhisattvānāṃ kāyacittalaghutāyai saṃvartate;	RdDipAda saMBAraH boDisattvAnAm kAya citta laGu tAyE saMvartate;
   indriyasaṃbhāro bodhisattvānāṃ saṃvaraparipūryai saṃvartate; balasaṃbhāro	indriya saMBAraH boDisattvAnAm saMvara paripUryE saMvartate; bala saMBAraH 
   bodhisattvānāṃ sarvakleśāvamardanatāyai saṃvartate; bodhyaṅgasaṃbhāro	boDisattvAnAm sarva kleSa avamardana tAyE saMvartate; boDi aFga saMBAraH 
   bodhisattvānāṃ dharmasvabhāvāvabodhanatāyai saṃvartate;	boDisattvAnAm Darma svaBAva avaboDana tAyE saMvartate;
   ṣaṭparāyaṇīyasaṃbhāro bodhisattvānāṃ vaineyasattvapariśodhanatāyai	zaz parAyaNIya saMBAraH boDisattvAnAm vEneya sattva pariSoDana tAyE
   saṃvartate / ayaṃ māṇavakāḥ saṃbhāraviśuddhimukhasaṃgraho nāma	saMvartate / ayam mANavakAH saMBAra viSudDi muKa saMgrahaH nAma
   saṃsārottaraṇadharmadvāraṃ" / sa āha   "dānasaṃbhāro bhagavatā	saMsAra uttaraNa Darma dvAran" / saH Aha  "dAnasaMBAraH BagavatA
   mahābhogamahāparivāratāyāyuktaḥ, śīlaṃ svargopapattaye, śrutaṃ	mahA Boga mahA parivAra tAya ayuktaH, SIlam svarga upapattaye, Srutam
   mahāprajñatāyai; śraddhājīvabhāvanā bhagavatā svaṃsārottaraṇārthaṃ	mahA prajQa tAyE; SradDAjIva BAvanA BagavatA svaMsAra uttaraNa arTam
   nirdiṣṭā" / purohitā āha   "ye māṇavāḥ saṃsārābhiratā dānaṃ dadanti,	nirdizwA" / purohitAH Aha  "ye mANavAH saMsAra aBiratAH dAnam dadanti,
   evametad yathoktaṃ / ye māṇavaka kulaputrā vā kuladuhitaro vā	evam etat yaToktam / ye mANavaka kula putrAH vA kula duhitaraH vA
   bodhimārgapratipannāstairdānaṃ damacittatayā dātavyaṃ, śīlaṃ	boDi mArga pratipannAH tEH dAnam dama citta tayA dAtavyan, SIlam
   śamathacittatayā rakṣitavyaṃ, śrutamakaluṣacittatayā paryeṣitavyaṃ,	SamaTa citta tayA rakzitavyan, Srutam akaluza citta tayA paryezitavyaM,
   bhāvanā mahākaruṇācittatāyai bhāvayitavyā, pariśeṣā (KpSū 190) dharmāḥ	BAvanA mahA karuNA citta tAyE BAvayitavyA, pariSezAH (KpSU 190) DarmAH
   prajñājñānopāyasaṃbhārasamudānayatāyai paryeṣṭavyāḥ / ayaṃ māṇavakā	prajQA jQAna upAya saMBAra samudAnayatAyE paryezwavyAH / ayam mANavakA
   bodhimārgaḥ / īdṛśena saṃbhāreṇa bodhirlabhyata iti, īdṛśī bhāvanā, īdṛśī	boDi mArgaH / IdRSena saMBAreNa boDiH laByate iti, IdRSI BAvanA, IdRSI
   smṛtiḥ, īdṛśī māṇavakā bodhimārgacaryā; janayata māṇavakā bodhau chandaṃ /	smRtiH, IdRSI mANavakAH boDi mArga caryA; janayata mANavakAH boDO Candam /
   śuddho māṇavakā bodhimārga āśayena praṇidhānaṃ kartavyaṃ paripūryate;	SudDaH mANavakAH boDimArgaH ASayena praNiDAnam kartavyam paripUryate;
   prasanno māṇavakā bodhimārga āśayaviśuddhyā; ṛjukā māṇavakā bodhimārga	prasannaH mANavakAH boDimArgaH ASaya viSudDyA; RjukA mANavakAH boDimArga
   aśaṭhyaviśuddhikleśapravāhaṇatayā; yogakṣemo māṇavakā bodhimārgaḥ	aSaWya viSudDi kleSa pravAhaNa tayA; yogakzemaH mANavakAH boDi mArgaH
   anuttaranirvāṇaparyavasānaḥ / kuruta praṇidhānaṃ, gṛhṇata	anuttara nirvANa paryavasAnaH / kuruta praNiDAnaM, gRhNata
   buddhakṣetraguṇavyūhaṃ pariśuddhamapariśuddhaṃ vā yathābhipretā" /	budDa kzetra guNa vyUham pariSudDam apariSudDam vA yaTA aBipretA" /
   atha khalu kulaputra jyotikṣabhako māṇavako ratnagarbhasya	aTa Kalu kula putra jyotikzaBakaH mANavakaH ratna garBasya
   tathāgatasyāgrato dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpyāha /	taTAgatasya agratas dakziNam jAnu maNxalam pRTivyAm pratizWApi Aha /
   "utpādayāmyahaṃ bhadanta bhagavannanuttarāyāṃ samyaksaṃbodhau cittaṃ /	"utpAdayAmi aham Badanta Bagavan= anuttarAyAm samyaksaMboDO cittam /
   asmiṃ kliṣṭe buddhakṣetre maṇḍarāgāṇāṃ sattvānāṃ maṇḍadveṣāṇāṃ	asmim klizwe budDa kzetre maNxa rAgANAm sattvAnAm maNxa dvezANAm
   maṇḍamohānāṃ askhalitāluḍitacittānāṃ avairacittānāṃ	maNxa mohAnAm asKalita Aluxita cittAnAm avEra cittAnAm
   īrṣyāmātsaryacittavivarjitānāṃ mithyādṛṣṭiparivarjitacittānāṃ	IrzyA mAtsarya citta vivarjitAnAm miTyA dRzwi parivarjita cittAnAm
   samyagdṛṣṭivyavasthitacittānāṃ kuśalacittānāṃ kuśalaparyeṣṭicittānāṃ	samyak dRzwi vyavasTita cittAnAm kuSala cittAnAm kuSala paryezwi cittAnAm
   apāyapathavivarjitacittānāṃ (KpSū 191) triḥsvargapathodyuktacittānāṃ	apAya paTa vivarjita cittAnAm (KpSU 191) tris svarga paTa udyukta cittAnAm
   tribhiḥ puṇyakriyāvastubhiḥ samudānītakuśalamūlānāṃ triṣu yāneṣu	triBiH puNya kriyA vastuBiH samudAnIta kuSala mUlAnAm trizu yAnezu
   prayuktacittānāmanuttarāṃ samyaksaṃbodhimabhisaṃbudhyeyaṃ / yadi me	prayukta cittAnAm anuttarAm samyaksaMboDim aBisaMbuDyeyam / yadi me
   bhadanta bhagavannevaṃrūpā āśā paripūryeta tadā me ubhayoḥ	Badanta Bagavan= evaMrUpA ASA paripUryeta tadA me uBayoH
   pāṇyorhastināgāḥ prādurbhavantu" / sahapravyāhṛte vākye bhagavato	pANyoH hasti nAgAH prAdurBavantu" / saha pravyAhRte vAkye BagavataH 
   'nubhāvena ubhayoḥ pāṇyorhastināgāḥ prādurbhūtāḥ sarvaśvetāḥ	anuBAvena uBayoH pANyoH hasti nAgAH prAdurBUtAH sarva SvetAH
   saptāṅgasupratiṣṭhitāḥ / dṛṣṭvā āha   "gacchata yūyaṃ gaganatalaṃ /	sapta aFga supratizWitAH / dRzwvA Aha  "gacCata yUyam gagana talam /
   sarvāvantamidaṃ buddhakṣetramaṣṭāṅgopetena varṣeṇa paramasugandhena	sarvOvantam idam budDa kzetram azwa aFga upetena varzeNa parama suganDena
   sarvasattvānito buddhakṣetrāt prabodhayata / yeṣāṃ sattvānāṃ kāye tato	sarva sattva Anitas budDa kzetrAt praboDayata / yezAm sattvAnAm kAye tatas 
   bindu nipate ye vā gandhamājighreyusteṣāṃ pañcanīvaraṇāḥ prahīyantu;	bindu nipate ye vA ganDam AjiGreyuH tezAm paQcanIvaraNAH prahIyantu;
   tadyathā kāmacchandanīvaraṇaṃ prahīyatu,	tat yaTA kAma= CandanIvaraNam prahIyatu,
   vyāpādastyānamiddhauddhatyakaukṛtyavicikitsānīvaraṇaṃ prahīyatu" /	vyApAda styAnam idDa OdDatya kOkRtya vicikitsA nIvaraNam prahIyatu" /
   sahapravyāhṛte vākye nāgā uparyantarīkṣe evaṃrūpeṇa javena gacchanti,	saha pravyAhRte vAkye nAgAH upari antarIkze evaMrUpeNa javena gacCanti,
   tadyathāpi nāma balavān puruṣaḥ prasāritāṃ bāhu saṃkocayet saṃkocitaṃ bāhu	tat yaTA api nAma balavAn puruzaH prasAritAm bAhu saMkocayet saMkocitam bAhu
   prasārayet / evameva te hastināgāḥ kṛtakāryā yathā pūrvoktaṃ vivarttitvā	prasArayet / evam eva te hasti nAgAH kRta kAryA yaTA pUrva uktam vivartti tvA
   tasyāgrataḥ sthitāḥ /	tasya agratas sTitAH /
   atha khalu kulaputra jyotikṣabho māṇavakaḥ paramaprītimanāḥ; (KpSū 192)	aTa Kalu kula putra jyotikzaBaH mANavakaH parama prIti manAH; (KpSU 192)
   taṃ ratnagarbhastathāgata āha   "bhaviṣyasi tvaṃ kulaputrānāgate 'dhvani	tam ratnagarBaH taTAgataH Aha  "Bavizyasi tvam kula putrAn Agate aDvani
   anupraviṣṭe dvitīye gaṅgānadīvālikāsame 'saṃkhyeye ratnaprabhāse kalpe	anupravizwe dvitIye gaFgA nadI vAlikA same asaMKyeye ratna praBAse kalpe
   ratnasañcayaṃ nāma buddhakṣetraṃ bhaviṣyati, asmiṃ cāturdvīpike	ratnasaQcayam nAma budDa kzetram Bavizyati, asmim cAturdvIpike
   ratnacchatrābhyudgataraśmirbhaviṣyasi tathāgato yāvadbuddho bhagavān" /	ratna= Catra aByudgata raSmiH Bavizyasi taTAgataH yAvat budDaH BagavAn " /
   atha kulaputra jyotikṣabho bodhisattvo ratnagarbhasya tathāgatasya	aTa kula putra jyotikzaBaH boDisattvaH ratna garBasya taTAgatasya
   pañcamaṇḍalena pādau śirasā nipapāta /	paQcamaNxalena pAdO SirasA nipapAta /
   ratnagarbhastathāgata āha  	ratnagarBaH taTAgataH Aha  
   "uttiṣṭha vigatarajā śuddhasattvā vyākṛta bahusattvakoṭīḥ sā /	"uttizWa vigata rajA SudDa sattvAH vyAkRta bahu sattva kowIH sA /
   bhaviṣyasi varaśuddhamārgaḥ bodhaye bhaviṣyasi varajinaḥ sattvanāyakaḥ" //	Bavizyasi vara SudDa mArgaH boDaye Bavizyasi varajinaH sattva nAyakaH" //
   peyālaṃ, sahasro māṇavakānāṃ trayaḥ koṭyo māṇavakānāṃ yairasmin	peyA alaM, sahasraH mANavakAnAm trayaH kowyaH mANavakAnAm yEH asmin
   buddhakṣetre 'nuttarāyāṃ samyaksaṃbodhau (KpSū 193) praṇidhānaṃ kṛtaṃ;	budDa kzetre anuttarAyAm samyaksaMboDO (KpSU 193) praNiDAnam kRtaM;
   sarve ca te ratnagarbheṇa tathāgatena vyākṛtāḥ, yāvadvipaśyī śikhī	sarve ca te ratna garBeNa taTAgatena vyAkRtAH, yAvat vipaSyI SiKI
   viśvabhuvaḥ paścimā buddhā babhūvuḥ / sarve māṇavakā vyākṛtāḥ /	viSvaBuvaH paScimAH budDAH baBUvuH / sarve mANavakAH vyAkRtAH /
   tatra sahasravedapāṭhakānāṃ brāhmaṇānāṃ yasteṣāṃ jyeṣṭhaḥ gurusaṃmato	tatra sahasra veda pAWakAnAm brAhmaNAnAm yaH tezAm jyezWaH guru saMmataH 
   vāyuviṣṇurnāma / sa āha   "ahaṃ punaḥ pañcakaṣāye buddhakṣetre 'nuttarāṃ	vAyu vizNuH nAma / saH Aha  "aham punar paQca kazAye budDa kzetre anuttarAm
   samyaksaṃbodhiṃ spṛśyeyaṃ / tīvrarāgānāṃ tīvradveṣāṇāṃ tīvramohānāṃ	samyaksaMboDim spRSyeyam / tIvra rAgAnAm tIvra dvezANAm tIvra mohAnAm
   sattvānāṃ dharmaṃ deśayeyaṃ" /	sattvAnAm Darmam deSayeyan" /
   jyotipālo nāma māṇavakaḥ / sa āha   "kimarthavaśaṃ samanupaśyamāno 'yaṃ	jyotipAlaH nAma mANavakaH / saH Aha  "kimarTa vaSam samanupaSyamAnaH ayam
   bho upādhyāya vāyuviṣṇuḥ pañcakaṣāye buddhakṣetre praṇidadhāti?" /	Bo upADyAya vAyu vizNuH paQca kazAye budDa kzetre praNidaDAti?" /
   purohita āha   "sakalamahākaruṇāsamanvāgato bodhisattvaḥ pañcakaṣāye	purohitaH Aha  "sakala mahA karuNA samanvAgataH boDisattvaH paQcakazAye
   buddhakṣetre bodhimanuprāpnoti; atrāṇānāmaparāyaṇānāṃ kleśairupadrutānāṃ	budDa kzetre boDim anuprApnoti; atrANAnAm aparAyaNAnAm kleSEH upadrutAnAm
   dṛṣṭivyasanaprāptānāṃ sattvānāmarthakaro bhavati; trāṇam parāyaṇaṃ	dRzwi vyasana prAptAnAm sattvAnAm arTa karaH Bavati; trANam parAyaNam
