   śrīgaṇeśāya namaḥ	SrI gaNeSAya namaH
   evaṃ dvīpāḥ samudraistu sapta saptabhirāvṛtāḥ /	evam dvIpAH samudrEH tu sapta saptaBiH AvRtAH /
   dvīpasyānantaro yastu sāmudrastatsamastu saḥ // BndP_1,19.127 //	dvIpasya anantaraH yaH tu sAmudraH tad samaH tu saH // Bndu _1,19.127 //
   evaṃ dvīpasamudrāṇāṃ vṛddhirjñeyā parasparāt /	evam dvIpa samudrANAm vRdDiH jQeyA parasparAt /
   apāṃ caiva samudrekātsāmudra iti saṃjñitaḥ // BndP_1,19.128 //	apAm ca eva samudrekAt sAmudraH iti saMjQitaH // Bndu _1,19.128 //
   viśantirnivasaṃtyasminprajā yasmāccaturvidhāḥ /	viSantiH nivasaMti asmin prajAH yasmAt caturviDAH /
   tasmādvarṣamiti proktaṃ prajānāṃ sukhadaṃ yataḥ // BndP_1,19.129 //	tasmAt varzam iti proktam prajAnAm suKa dam yatas // Bndu _1,19.129 //
   ṛṣa ityeṣa ramaṇe vṛṣaśaktiprabandhane /	RzaH iti eza ramaNe vRza Sakti prabanDane /
   ratiprabadhanātmiddhaṃ varṣaṃ tatteṣu tena vai // BndP_1,19.130 //	rati prabaDana AtmidDam varzam tat tezu tena vE // Bndu _1,19.130 //
   śuklapakṣe candravṛddhyā samudraḥ pūryate sadā /	Sukla pakze candra vRdDyA samudraH pUryate sadA /
   prakṣīyamāṇe bahule kṣīyate 'stamite khage // BndP_1,19.131 //	prakzIyamANe bahule kzIyate astamite Kage // Bndu _1,19.131 //
   āpūryamāṇo hyudadhiḥ svata evābhipūryate /	ApUryamANaH hi udaDiH svatas eva aBipUryate /
   tathopakṣīyamāṇe 'pi svātmanyevāvakṛṣyate // BndP_1,19.132 //	taTA upakzIyamANe api sva Atmani eva avakRzyate // Bndu _1,19.132 //
   ukhāsthamagnisaṃyogādudriktaṃ dṛśyate yathā /	uKA sTam agni saMyogAt udriktam dRSyate yaTA /
   mahodadhigataṃ toyaṃ svata udricyate tathā // BndP_1,19.133 //	mahodaDi gatam toyam svataH udricyate taTA // Bndu _1,19.133 //
   anyūnānatiriktāṃśca varndvatyāpo hrasaṃti ca /	anyUna an atiriktAn= ca varndvatyApaH hrasaMti ca /
   udayāstamaye tvindau pakṣayoḥ śuklakṛṣṇayoḥ // BndP_1,19.134 //	udaya astamaye tu indO pakzayoH Sukla kRzNayoH // Bndu _1,19.134 //
   kṣayavṛddhatvamudadheḥ somavṛddhikṣayātpunaḥ /	kzaya vRdDa tvam udaDeH soma vRdDi kzayAt punar /
   daśottarāṇi pañcaiva hyaṅgulāni śatāni ca // BndP_1,19.135 //	daSa uttarANi paQca eva hi aFgulAni SatAni ca // Bndu _1,19.135 //
   apāṃ vṛddhiḥ kṣayo dṛṣṭaḥ sāmudrīṇāṃ tu parvasu /	apAm vRdDiH kzayaH dRzwaH sAmudrINAm tu parvasu /
   dvirāpkatvātsmṛtā dvīpāḥ sarvataścodakāvṛtāḥ // BndP_1,19.136 //	dvis Apka tvAt smRtAH dvIpAH sarvatas ca udaka AvRtAH // Bndu _1,19.136 //
   udakasyāyanaṃ yasmāttasmādudadhirucyate /	udakasya ayanam yasmAt tasmAt udaDiH ucyate /
   aparvāṇastu girayaḥ parvabhiḥ parvatāḥ smṛtāḥ // BndP_1,19.137 //	aparvANaH tu girayaH parvaBiH parvatAH smRtAH // Bndu _1,19.137 //
   plakṣadvīpe tu gomedaḥ parvatastena caucyate /	plakzadvIpe tu gomedaH parvataH tena ca Ocyate /
   śālmaliḥ śālmale dvīpe pūjyate sumahāvrataiḥ // BndP_1,19.138 //	SAlmaliH SAlmale dvIpe pUjyate su mahA vratEH // Bndu _1,19.138 //
   kuśadvīpe kuśastaṃbastasyanāmnā sa ucyate /	kuSadvIpe kuSa staMbaH tasya nAmnA saH ucyate /
   kraiñcadvīpe giriḥ kaiñco madhye janapadasya ha // BndP_1,19.139 //	krEQcadvIpe giriH kEQcaH maDye janapadasya ha // Bndu _1,19.139 //
   śākadvīpe drumaḥ śākastasya nāmnā sa ucyate /	SAkadvIpe drumaH SAkaH tasya nAmnA saH ucyate /
   nyagrodhaḥ puṣkaradvīpe tatratyaiḥ sa namaskṛtaḥ // BndP_1,19.140 //	nyagroDaH puzkaradvIpe tatratyEH sa namaskRtaH // Bndu _1,19.140 //
   mahādevaḥ pūjyate tu brahmā tribhuvaneśvaraḥ /	mahAdevaH pUjyate tu brahmA triBuvana ISvaraH /
   tasminni vasati brahmā sādhyaiḥ sārddhaṃ prajāpatiḥ // BndP_1,19.141 //	tasminni vasati brahmA sADyEH sArdDam prajApatiH // Bndu _1,19.141 //
   upāsaṃte tatra devāstrayastriṃśanmaharṣibhiḥ /	upAsaMte tatra devAH trayastriMSat mahA RziBiH /
   sa tatra pūjyate caiva deverdevotamotamaḥ // BndP_1,19.142 //	sa tatra pUjyate ca eva deveH devotamotamaH // Bndu _1,19.142 //
   jaṃbūdvīpātpravarttante ratnāni vividhāni ca /	jaMbUdvIpAt pravarttante ratnAni viviDAni ca /
   dvīpeṣu teṣu sarveṣu prajānāṃ kramatastu vai // BndP_1,19.143 //	dvIpezu tezu sarvezu prajAnAm kramatas tu vE // Bndu _1,19.143 //
   sarvaśo brahmavaryeṇa satyena ca damena ca /	sarvaSas brahma varyeNa satyena ca damena ca /
   ārogyayuḥpramāṇābhyāṃ pramāṇaṃ dviguṇaṃ tataḥ // BndP_1,19.144 //	Arogya yuH pramANAByAm pramANam dviguNam tatas // Bndu _1,19.144 //
   etasminpuṣkaradvīpe yaduktaṃ varṣakadvayam /	etasmin puzkara dvIpe yat uktam varzaka dvayam /
   gopāyati prajāstatra svayaṃbhūrjaḍa paṇḍitāḥ // BndP_1,19.145 //	gopAyati prajAH tatra svayaMBUH jaxa paNxitAH // Bndu _1,19.145 //
   īśvaro daṇḍasudyamya brahmā tribhuvaneśvaraḥ /	ISvaraH daNxasudyamya brahmA triBuvana ISvaraH /
   sa viṣṇoḥ sacivo devaḥ sa pitā sa pitāmahaḥ // BndP_1,19.146 //	sa vizNoH sacivaH devaH sa pitA sa pitAmahaH // Bndu _1,19.146 //
   bhojanaṃ cāprayatnena tatra svayamupasthitam /	Bojanam ca aprayatnena tatra svayam upasTitam /
   ṣaḍrasaṃ sumahāvīryaṃ bhuñjate tu prajāḥ sadā // BndP_1,19.147 //	zaz rasam su mahA vIryam BuQjate tu prajAH sadA // Bndu _1,19.147 //
   pareṇa puṣkarasyārddhe āvṛtyāvasthito mahān /	pareNa puzkarasya ardDe AvRtya avasTitaH mahAn /
   svādūdakaḥ samudrastu samantātpariveṣṭya tam // BndP_1,19.148 //	svAdu udakaH samudraH tu samantAt parivezwya tam // Bndu _1,19.148 //
   pareṇa tasya mahatī dṛśyate lokasaṃsthitiḥ /	pareNa tasya mahatI dRSyate loka saMsTitiH /
   kāñcanī dviguṇā bhūmiḥ sarvāhyekaśilopamā // BndP_1,19.149 //	kAQcanI dviguNA BUmiH sarvAhi eka SilA upamA // Bndu _1,19.149 //
   tasyāpareṇa śailaśca paryāsātpasmiṇḍalaḥ /	tasya apareNa SElaH ca paryAsAt pasmiNxalaH /
   prakāśaścāprakāśaśca lokālokaḥ sa ucyate // BndP_1,19.150 //	prakASaH ca aprakASaH ca lokAlokaH saH ucyate // Bndu _1,19.150 //
   ālokastasya cārvaktu nirālokastataḥ param /	AlokaH tasya cArvaktu nirAlokaH tatas param /
   yojanānāṃ sahasrāṇi daśa tasyocchrayaḥ samṛtaḥ // BndP_1,19.151 //	yojanAnAm sahasrANi daSa tasya ucCrayaH sa mRtaH // Bndu _1,19.151 //
   tāvāṃśca vistarastasya pṛthivyāṃ kāmagaśca saḥ /	tAvAn= ca vistaraH tasya pRTivyAm kAmagaH ca saH /
   āloko lokavṛttistho nirāloko hyalaukikaḥ // BndP_1,19.152 //	AlokaH loka vRtti sTaH nirAlokaH hi alOkikaH // Bndu _1,19.152 //
   lokārddhe saṃmitā lokā nirālokāstu bāhyataḥ /	loka ardDe saMmitAH lokAH nirAlokAH tu bAhyatas /
   lokavistāramātraṃ tu hyalokaḥ sarvato bahiḥ // BndP_1,19.153 //	loka vistAra mAtram tu hi alokaH sarvatas bahis // Bndu _1,19.153 //
   paricchinnaḥ samantācca udakenāvṛtastu saḥ /	paricCinnaH samantAt ca udakena AvRtaH tu saH /
   ālokātparataścāpi hyaṇḍamā vṛtya tiṣṭhati // BndP_1,19.154 //	AlokAt paratas ca api hi aNxamAH vRtya tizWati // Bndu _1,19.154 //
   aṇḍasyāntastvime lokāḥ saptadvīpā ca medinī /	aNxasya antaH tu ime lokAH saptadvIpA ca medinI /
   bhūrloko 'tha bhuvarllokaḥ svarloko 'tha mahastathā // BndP_1,19.155 //	BUrlokaH aTa Buvart lokaH svarlokaH aTa mahaH taTA // Bndu _1,19.155 //
   janastapastathā satyametāvāṃllokasaṃgrahaḥ /	janaH tapaH taTA satyam etAvAn= loka saMgrahaH /
   etāvāneva vijñeyo lokāntaścaiva yaḥ paraḥ // BndP_1,19.156 //	etAvAn eva vijQeyaH loka antaH ca eva yaH paraH // Bndu _1,19.156 //
   kuṃbhasthāyī bhavedyādṛvapratīcyāṃ diśi candramāḥ /	kuMBa sTAyI Bavet yAdRva pratIcyAm diSi candramAH /
   āditaḥ śuklapakṣasya vapuścāṇḍasya tadvidham // BndP_1,19.157 //	Aditas Sukla pakzasya vapuH ca aNxasya tadviDam // Bndu _1,19.157 //
   aṇḍānāmīdṛśānāṃ tu koṭyo jñeyāḥ sahasraśaḥ /	aNxAnAm IdRSAnAm tu kowyaH jQeyAH sahasraSas /
   tiryagūrdhvamadho vāpi kāraṇasyāvyayātmanaḥ // BndP_1,19.158 //	tiryak UrDvam aDas vA api kAraNasya avyaya AtmanaH // Bndu _1,19.158 //
   dharaṇaiḥ prākṛtaistattadāvṛtaṃ prati saptabhiḥ /	DaraNEH prAkRtEH tat tat AvRtam prati saptaBiH /
   daśādhikyena cānyonyaṃ dhārayanti parasparam // BndP_1,19.159 //	daSa ADikyena ca anyonyam DArayanti parasparam // Bndu _1,19.159 //
   parasparāvṛtāḥ sarve utpannāśca parasparam /	paraspara AvRtAH sarve utpannAH ca parasparam /
   aṇḍasyāsya samantāttu sanniviṣṭo ghanodadhiḥ // BndP_1,19.160 //	aNxasya asya samantAt tu sannivizwaH Gana udaDiH // Bndu _1,19.160 //
   samantāttu vanodena dhāryamāṇaḥ sa tiṣṭati /	samantAt tu vanodena DAryamANaH sa tizwati /
   bāhyato ghanato yasya tiryagūrddhvaṃ tu maṇḍalam // BndP_1,19.161 //	bAhyatas GanataH yasya tiryak UrdDvam tu maNxalam // Bndu _1,19.161 //
   dhāryamāṇaṃ samantāttu tiṣṭhate yattu tejasā /	DAryamANam samantAt tu tizWate yat tu tejasA /
   ayoguḍanibho vāhnaḥ samantā nmaṇḍalākṛtiḥ // BndP_1,19.162 //	ayaH guxa niBaH vA ahnaH samantA nmaNxala AkRtiH // Bndu _1,19.162 //
   samantāddhanavātena dhāryamāṇaḥ sa tiṣṭhati /	samantAt Dana vAtena DAryamANaH sa tizWati /
   ghanavātaṃ tathākāśo dadhānaḥ khalu tiṣṭhati // BndP_1,19.163 //	Gana vAtam taTA AkASaH daDAnaH Kalu tizWati // Bndu _1,19.163 //
   bhūtādiśca tathā kāśaṃ bhūtādiścāpyasau mahān /	BUtAdiH ca taTA kASam BUtAdiH ca api asO mahAn /
   mahāśca so 'pyanantena hyavyaktena tu dhāryate // BndP_1,19.164 //	mahAH ca saH api anantena hi avyaktena tu DAryate // Bndu _1,19.164 //
   anantamaparivyaktaṃ daśadhā sūkṣmameva ca /	anantam aparivyaktam daSaDA sUkzmam eva ca /
   anantama kṛtātmānamanādinidhanaṃ ca yat // BndP_1,19.165 //	anantama kRtAtmAnam anAdiniDanam ca yat // Bndu _1,19.165 //
   anityaṃ parato 'ghoramanālaṃbamanāmayam /	anityam paratas aGoram anAlaMbamanAmayam /
   naikayojanasāhasraṃ viprakṛṣṭamanāvṛtam // BndP_1,19.166 //	na eka yojana sAhasram viprakRzwam anAvRtam // Bndu _1,19.166 //
   tama eva nirālokamamaryyādamadaiśikam /	tamaH eva nirAlokam amaryyAdam adESikam /
   devānāmapyaviditaṃ vyavahāravivarjitam // BndP_1,19.167 //	devAnAm api aviditam vyavahAra vivarjitam // Bndu _1,19.167 //
   tamasoṃte ca viśyātamākāśānte hyabhāsvaram /	tamasA uMte ca viSyAtam AkASa ante hi aBAsvaram /
   maryādāyāmanantasya devasyāyatanaṃ mahat // BndP_1,19.168 //	maryAdAyAm anantasya devasya Ayatanam mahat // Bndu _1,19.168 //
   tridaśānāmagamyaṃ tatasthānaṃ divyamiti śrutiḥ /	tridaSAnAm agamyam tatasTAnam divyam iti SrutiH /
   mahato devadevasya maryādā yā vyavasthitāḥ // BndP_1,19.169 //	mahataH devadevasya maryAdA yAH vyavasTitAH // Bndu _1,19.169 //
   candrādityāvadhastāttu ye lokāḥ prathitā budhaiḥ /	candra AdityO= aDastAt tu ye lokAH praTitAH buDEH /
   te lokā ityabhihitā jagatasca na saṃśayaḥ // BndP_1,19.170 //	te lokAH iti aBihitAH jagataH ca na saMSayaH // Bndu _1,19.170 //
   rasātalatalāḥ saptasaptaivorddhvatalāśca ye /	rasAtala talAH sapta sapta eva UrdDva talAH ca ye /
   saptaskandhastathā vāyoḥ sabrahmasadanā dvijāḥ // BndP_1,19.171 //	sapta skanDaH taTA vAyoH sa brahma sadanAH dvijAH // Bndu _1,19.171 //
   āpātālāddivaṃ yāvadatra pañcavidhā gatiḥ /	ApAtAlAt divam yAvat atra paQcaviDA gatiH /
   pramāṇametajjagata eṣa saṃsārasāgaraḥ // BndP_1,19.172 //	pramANam etat jagataH eza saMsAra sAgaraH // Bndu _1,19.172 //
   anādyantāṃ vrajantyeva naikajātisamudbhavāḥ /	anAdi antAm vrajanti eva na eka jAti samudBavAH /
   vicitrā jagataḥ sā vai prakṛtirbrahmaṇaḥ sthitā // BndP_1,19.173 //	vicitrA jagataH sA vE prakRtiH brahmaNaH sTitAH // Bndu _1,19.173 //
   yaccaiha daivikaṃ vātha nisargaṃ bahuvistaraḥ /	yat ca eha dEvikam vA aTa nisargam bahu vistaraH /
   atīndriyermahābhāgaiḥ siddhairapi na lakṣitaḥ // BndP_1,19.174 //	atIndriyeH mahABAgEH sidDEH api na lakzitaH // Bndu _1,19.174 //
   pṛthivyaṃbvagnivāyūnāṃ nabhasastamasastathā /	pRTivI aMbu agni vAyUnAm naBasaH tamasaH taTA /
   mānasasya tu dehasya anantasya dvijottamāḥ // BndP_1,19.175 //	mAnasasya tu dehasya anantasya dvijottamAH // Bndu _1,19.175 //
   kṣayo vā pariṇāmo vā anto vāpi na vidyate /	kzayaH vA pariNAmaH vE antaH vA api na vidyate /
   ananta eṣa sarvatra evaṃ jñāneṣu paṭhyate // BndP_1,19.176 //	anantaH eza sarvatra evam jQAnezu paWyate // Bndu _1,19.176 //
   tasya coktaṃ mayā pūrva tasminnāmānukīrtane /	tasya ca uktam mayA pUrva tasminnAma anukIrtane /
   yaḥ padmanābhanāmnā tu tatkārtsnyena ca kīrttitaḥ // BndP_1,19.177 //	yaH padmanABa nAmnA tu tad kArtsnyena ca kIrttitaH // Bndu _1,19.177 //
   sa eva sarvatra gataḥ sarvasthāneṣu pūjyate /	saH eva sarvatra gataH sarva sTAnezu pUjyate /
   bhūmau rasātale caiva ākāśe pavane 'nale // BndP_1,19.178 //	BUmO rasAtale ca eva AkASe pavane anale // Bndu _1,19.178 //
   arṇaveṣu ca sarveṣu divi caiva na saṃśayaḥ /	arNavezu ca sarvezu divi ca eva na saMSayaH /
   tathā tamasi vijñeya eṣa eva mahādyutiḥ // BndP_1,19.179 //	taTA tamasi vijQeyaH ezaH eva mahA dyutiH // Bndu _1,19.179 //
   anekadhā vibhaktāṅgo mahāyogī janārdanaḥ /	anekaDA viBakta aFgaH mahA yogI janArdanaH /
   sarvalokeṣu lokeśa ijyate bahudhā prabhuḥ // BndP_1,19.180 //	sarva lokezu lokeSaH ijyate bahuDA praBuH // Bndu _1,19.180 //
   evaṃ parasparotpanna dhāryante ca parasparam /	evam paraspara utpanna DAryante ca parasparam /
   ādhārādheyabhāvena vikārāste 'vikāriṇaḥ // BndP_1,19.181 //	ADAra ADeya BAvena vikArAH te avikAriNaH // Bndu _1,19.181 //
   pṛthvyādayo vikārāste paricchinnāḥ parasparam /	pRTvI AdayaH vikArAH te paricCinnAH parasparam /
   parasparadhikāścaiva praviṣṭāste parasparam // BndP_1,19.182 //	parasparaDikAH ca eva pravizwAH te parasparam // Bndu _1,19.182 //
   yasmātsṛṣaṭāstu te 'nyonyaṃ tasmātsthairyamupāgatāḥ /	yasmAt sRzawAH tu te anyonyam tasmAt sTEryam upAgatAH /
   prāgāsannaviśeṣāstu viśeṣo 'nyaviśeṣaṇāt // BndP_1,19.183 //	prAc Asanna viSezAH tu viSezaH anya viSezaNAt // Bndu _1,19.183 //
   pṛthivyādyāstu vādyantāparicchinnāstrayastu te /	pRTivI AdyAH tu vAdyanta aparicCinnAH trayaH tu te /
   guṇopacayasāreṇa paricchedo viśeṣataḥ // BndP_1,19.184 //	guNa upacaya sAreNa paricCedaH viSezataH // Bndu _1,19.184 //
   śeṣāṇāṃ tu paricchedaḥ saukṣmyānneha vibhāvyate /	SezANAm tu paricCedaH sOkzmyAt na iha viBAvyate /
   bhūtebhyaḥ paratastebhyo vyālokā sā dharā smṛtā // BndP_1,19.185 //	BUteByaH paratas teByaH vyAlokA sA DarA smRtAH // Bndu _1,19.185 //
   bhūtānyāloka ākāśe paricchinnāni sarvaśaḥ /	BUtAni Aloke AkASe paricCinnAni sarvaSas /
   pātre mahati pātrāṇi yathaivāntargatāni tu // BndP_1,19.186 //	pAtre mahati pAtrANi yaTA eva antargatAni tu // Bndu _1,19.186 //
   bhavantyanyonyahīnāni parasparasamāśrayāt /	Bavanti anyonya hInAni paraspara samASrayAt /
   tathā hyāloka ākāśe bhedāstvantargatā matāḥ // BndP_1,19.187 //	taTA hi Aloke AkASe BedAH tu antargatAH matAH // Bndu _1,19.187 //
   kṛttnānyetāni catvāri hyanyonyasyādhikāni tu /	kRttnAni etAni catvAri hi anyonyasya aDikAni tu /
   yāvadetāni bhūtāni tāvadutpattirucyate // BndP_1,19.188 //	yAvat etAni BUtAni tAvat utpattiH ucyate // Bndu _1,19.188 //
   tantunāmiva saṃtāro bhūteṣvantargato mataḥ /	tantunAm iva saMtAraH BUtezu antargataH mataH /
   pratyā khyāya tu bhūtāni kāryotparttina vidyate // BndP_1,19.189 //	pratyA KyAya tu BUtAni kArya utparttina vidyate // Bndu _1,19.189 //
   tasmātparimitā bhedāḥ smṛtāḥ kāryyātmakāstu te /	tasmAt parimitAH BedAH smRtAH kAryya AtmakAH tu te /
   kāraṇātmakāstathaika syurbhedā ye mahadādayaḥ // BndP_1,19.190 //	kAraNa AtmakAH taTA eka syuH BedAH ye mahat AdayaH // Bndu _1,19.190 //
   ityeṣa saṃniveśo vai mayā prokto vibhāgaśaḥ /	iti eza saMniveSaH vE mayA proktaH viBAgaSaH /
   saptadvīpasamudrāḍyo yāthātathyana vai dvijāḥ // BndP_1,19.191 //	sapta dvIpa samudrAxyaH yATAtaTyana vE dvijAH // Bndu _1,19.191 //
   vistarānmaṇḍalāścaiva prasaṃkhyānena caiva hi /	vistarAn maNxalAH ca eva prasaMKyAnena ca eva hi /
   vaiśvarūpradhānasya pariṇāmaikadeśikaḥ // BndP_1,19.192 //	vESvarUpraDAnasya pariNAma eka deSikaH // Bndu _1,19.192 //
   adhiṣṭhitaṃ bhagavatā yasya sarvamidaṃ jagat /	aDizWitam BagavatA yasya sarvam idam jagat /
   evaṃbhūtagaṇāḥ sapta sanniviṣṭāḥ parasparam // BndP_1,19.193 //	evaMBUta gaNAH sapta sannivizwAH parasparam // Bndu _1,19.193 //
   etāvānsaṃniveśastu mayā śakyaḥ prabhāṣitum /	etAvAn saMniveSaH tu mayA SakyaH praBAzitum /
   etāvadeva śrotavyaṃ saṃniveśe tu pārtheve // BndP_1,19.194 //	etAvat eva Srotavyam saMniveSe tu pArTeve // Bndu _1,19.194 //
   sapta prakṛtayastvetā dhārayanti parasparam /	sapta prakRtayaH tu etAH DArayanti parasparam /
   tāstvahaṃ parimāṇena naṃ saṃkhyātumihotsahe // BndP_1,19.195 //	tAH tu aham parimANena nam saMKyAtum iha utsahe // Bndu _1,19.195 //
   asaṃkhyātāḥ prakṛtayastiryyagūrddhvamadhastathā /	asaMKyAtAH prakRtayaH tiryyagu urdDvam aDas taTA /
   tārakāsaṃniveśaśca yāvaddivyānumaṇḍalam // BndP_1,19.196 //	tArakA saMniveSaH ca yAvat divya anumaNxalam // Bndu _1,19.196 //
   paryyā yasanniveśastu bhūmestadanu maṇḍalaḥ /	paryyA yasat niveSaH tu BUmeH tadanu maNxalaH /
   ata ūrdhvaṃ pravakṣyāmi kṛthivyā vai vicakṣaṇāḥ // BndP_1,19.197 //	atas UrDvam pravakzyAmi kRTivyAH vE vicakzaNAH // Bndu _1,19.197 //
   iti śrībrahmāṇḍe mahāpurāṇe vāyuprokte pūrvabhāge dvitīye 'nuṣaṅgapāde	iti SrI brahmANxe mahApurANe vAyu prokte pUrva BAge dvitIye anuzaFga pAde
   plakṣādidvīpavarṇanaṃ nāmaikonaviṃśatitamo 'dhyāyaḥ	plakzAdidvIpavarNanam nAma ekonaviMSatitamaH aDyAyaH
   sūta uvāca	sUtaH uvAca
   adhaḥpramāṇamūrddhva ca vakṣyamāṇaṃ nibodhata /	aDas pramANam UrdDva ca vakzyamANam niboData /
   pṛthivī vāyurākāśamāpo jyotiśca pañcamam // BndP_1,20.1 //	pRTivI vAyuH AkASam ApaH jyotiH ca paQcamam // Bndu _1,20.1 //
   anantā dhātavo hyetaṃ vyāpakāstu prakīrttitāḥ /	anantAH DAtavaH hi etam vyApakAH tu prakIrttitAH /
   jananī sarvabhūtānāṃ sarvasattvadharā dharā // BndP_1,20.2 //	jananI sarva BUtAnAm sarva sattva DarA DarA // Bndu _1,20.2 //
   nānājanapadākīrṇā nānādhiṣṭhānapattanā /	nAnA janapada AkIrNA nAnA aDizWAna pattanA /
   nānānadanadīśailā naikajātisamākulā // BndP_1,20.3 //	nAnA nada nat ISElAH na eka jAti samAkulAH // Bndu _1,20.3 //
   anantā gīyate devī pṛthivī bahuvistarā /	anantA gIyate devI pRTivI bahu vistarAH /
   nadīnadasasudrasthāstanthā kṣudrāśrayasthitāḥ // BndP_1,20.4 //	nadInada sa sudra sTAH tanTA kzudra ASraya sTitAH // Bndu _1,20.4 //
   parvatākāśasaṃsthāśca antarbhūmigātāśca yāḥ /	parvata AkASa saMsTAH ca antar BUmi gAtAH ca yAH /
   āpo 'nantā hi vijñeyāstathāgniḥ sarvalokagaḥ // BndP_1,20.5 //	ApaH anantAH hi vijQeyAH taTA agniH sarva loka gaH // Bndu _1,20.5 //
   anantaḥ paṭhyate caiva vyāpakaḥ sarvasaṃbhavaḥ /	anantaH paWyate ca eva vyApakaH sarva saMBavaH /
   tathākāśamanālekhyaṃ ramyaṃ nānāśrayaṃ smṛtam // BndP_1,20.6 //	taTA AkASam anAleKyam ramyam nAnA ASrayam smRtam // Bndu _1,20.6 //
   anantaṃ paṭhyate caiva vāyuścākāśasambhavaḥ /	anantam paWyate ca eva vAyuH ca AkASa samBavaH /
   āpaḥ pṛthivyāmudake pṛthivyupari saṃsthitāḥ // BndP_1,20.7 //	ApaH pRTivyAm udake pRTivI upari saMsTitAH // Bndu _1,20.7 //
   ākāśaścāparamatha punarbhūmiḥ punarjalam /	AkASaH ca aparam aTa punarBUmiH punar jalam /
   evaṃ matamanantasya bhautikasya na vidyate // BndP_1,20.8 //	evam matam anantasya BOtikasya na vidyate // Bndu _1,20.8 //
   parasparaiḥ sopacitā bhūmiścaiva nibodhata /	parasparEH sa upacitA BUmiH ca eva niboData /
   bhūmirjalamathā kāśamiti yā yā paraṃparā // BndP_1,20.9 //	BUmiH jalam aTA kASam iti yA yA paraMparA // Bndu _1,20.9 //
   sthitireṣā tu vikhyātā saptame 'sminnasātale /	sTitiH ezA tu viKyAtA saptame asmin= asAtale /
   daśayojanasāhasramekaṃ bhaumaṃ rasātalam // BndP_1,20.10 //	daSa yojana sAhasram ekam BOmam rasAtalam // Bndu _1,20.10 //
   sādhubhiḥ parisaṃkhyātamekaikenaiva vistaram /	sADuBiH parisaMKyAtam ekEkena eva vistaram /
   prathamaṃ tatvalaṃ nāma sutalaṃ tu tataḥ param // BndP_1,20.11 //	praTamam tatvalam nAma sutalam tu tatas param // Bndu _1,20.11 //
   tatastalātalaṃ vidyādatalaṃ bahuvistaram /	tatas talAtalam vidyAt atalam bahu vistaram /
   tator'vākca talaṃ nāma parataśca rasātalam // BndP_1,20.12 //	tator avAk ca talam nAma paratas ca rasAtalam // Bndu _1,20.12 //
   eteṣāmapyadhobhāge pātālaṃ saptamaṃ smṛtam /	etezAm api aDoBAge pAtAlam saptamam smRtam /
   kṛṣṇabhaumaśca prathamo bhūmibhāgaḥ prakīrttitaḥ // BndP_1,20.13 //	kRzNaBOmaH ca praTamaH BUmi BAgaH prakIrttitaH // Bndu _1,20.13 //
   pāṇḍubhūmirdvitīyastu tṛtīyo nīlamṛttikaḥ /	pANxu BUmiH dvitIyaH tu tRtIyaH nIlamRttikaH /
   pītabhaumaścaturthastu pañcamaḥ śarkarāmayaḥ // BndP_1,20.14 //	pIta BOmaH caturTaH tu paQcamaH SarkarA mayaH // Bndu _1,20.14 //
   ṣaṣṭhaḥ śilāmayo jñeyaḥ sauvarṇaḥ saptamaḥ smṛtaḥ /	zazWaH SilA mayaH jQeyaH sOvarNaH saptamaH smRtaH /
   prathame 'smiṃstale khyātamasuredrasya mandiram // BndP_1,20.15 //	praTame asmin= tale KyAtam asuredrasya mandiram // Bndu _1,20.15 //
   namucerindraśatrośca mahānādasya cālayam /	namuceH indra SatroH ca mahA nAdasya ca Alayam /
