   prathamaṃ kośasthānam	praTamam koSa sTAnam
   dārṣṭāntikāstu catuṣkoṭikaṃ kurvanti /	dArzwa antikAH tu catuzkowikam kurvanti /
   asti karmāvasthāniyataṃ na vipāke niyatam /	asti karma avasTA niyatam na vipAke niyatam /
   yatkarma dṛṣṭadharmādivedanīyaṃ vipāke 'nīyatam /	yat karma dRzwa Darma Adi vedanIyam vipAke anIyatam /
   asti vipāke niyataṃ nāvasthāyām /	asti vipAke niyatam na avasTAyAm /
   yatkarmāniyatavedanīyaṃ vipāke niyatam /	yad karma aniyata vedanIyam vipAke niyatam /
   astyubhayaniyataṃ yadṛṣṭadharmādivedanīyaṃ vipāke niyatam /	asti uBaya niyatam yadRzwa Darma Adi vedanIyam vipAke niyatam /
   asti nobhayaniyataṃ yatkarmāniyatavedanīyaṃ vipāke aniyatam /	asti na uBaya niyatam yat karma aniyata vedanIyam vipAke aniyatam /
   teṣāṃ tatkarmāṣṭavidhaṃ dṛṣṭadharmavedanīyaṃ niyatamaniyataṃ ca /	tezAm tat karma azwaviDam dRzwa Darma vedanIyam niyatam aniyatam ca /
   evaṃ yāvadaniyatavedanīyam /	evam yAvat aniyata vedanIyam /
   niyatameva tu dṛṣṭadharmādivedanīyamaniyataṃ caturthamiti varṇayanti /	niyatam eva tu dRzwa Darma Adi vedanIyam aniyatam caturTam iti varNayanti /
   syādekasmin kṣaṇe caturvidhaṃ karmākṣipet /	syAt ekasmin kzaNe caturviDam karma Akzipet /
   syāttriṣu paraṃ prayojya kāmamithyācāre svayaṃ prayuktasteṣāṃ	syAt trizu param prayojya kAma miTyA AcAre svayam prayuktaH tezAm
   yugapatsamāptau /	yugapad samAptO /
   eṣāṃ ca punaścaturṇāṃ karmaṇāṃ /	ezAm ca punar caturNAm karmaNAm /
        nikāyākṣepaṇaṃ tribhiḥ /	nikAya AkzepaNam triBiH /
   nahi dṛṣṭadharmavedanīyena karmaṇā nikāyasabhāga ākṣipyate /	na hi dRzwa Darma vedanIyena karmaNA nikAya sa BAgaH Akzipyate /
   katamasmindhātau katividhaṃ karmākṣipyate kasyāṃ vā gatau /	katamasmin DAtO kativiDam karma Akzipyate kasyAm vA gatO /
        sarvatra caturākṣepaḥ /	sarvatra catur AkzepaH /
   sarveṣu triṣu dhātuṣu sarvāsu ca gatiṣu caturṇāṃ karmaṇāmākṣepaḥ	sarvezu trizu DAtuzu sarvAsu ca gatizu caturNAm karmaNAm AkzepaH
   kuśalānāmakuśalānāṃ ca yathāsaṃbhavam /	kuSalAnAm akuSalAnAm ca yaTAsaMBavam /
   asyotsargasyāyamapavādaḥ /	asya utsargasya ayam apavAdaH /
        śubhasya narake tridhā // VAkK_4.51 //	SuBasya narake triDA // VAkK_4.51 //
   narakeṣu kuśalasya karmaṇastrividhasyā kṣepo na dṛṣṭadharmavedanīyasya /	narakezu kuSalasya karmaNaH triviDasyA kzepaH na dRzwa Darma vedanIyasya /
   tatreṣṭavipākābhāvāt /	tatra izwa vipAkA BAvAt /
        yadviraktaḥ sthiro bālastatra notpadyavedyakṛt /	yat viraktaH sTiraH bAlaH tatra na utpadya vedya kRt /
   yato bhūmeḥ vītarāgapṛthagjano bhavatyasau ca sthiro	yatas BUmeH vIta rAga pRTagjanaH Bavati asO ca sTiraH 
   bhavatyaparihāṇadharmā sa tatropapadyavedanīyaṃ karma na karoti /	Bavati aparihANa DarmA sa tatra upapadya vedanIyam karma na karoti /
   kimanyatkaroti /	kim anyat karoti /
        nānyavedyakṛdapyāryaḥ	na anya vedya kRt api AryaH
   thara iti vartate /	TaraH iti vartate /
   āryapudgalastu yato vītarāgo na ca parihāṇadharmā sa tatropapadyadanīyaṃ	Arya pudgalaH tu yatas vIta rAgaH na ca parihANa DarmA sa tatra upapadyadanIyam
   cāparaparyāyavedanīyaṃ ca karma na karoti /	ca apara paryAya vedanIyam ca karma na karoti /
   na hyasau bhavyaḥ punarādhastanīṃ bhūmimāyātumaniyataṃ	na hi asO BavyaH punar ADa stanIm BUmim AyAtum aniyatam
   kuryāddṛṣṭadharmavedanīyaṃ cātropapannaḥ /	kuryAt dRzwa Darma vedanIyam ca atra upapannaH /
        kāme 'gre vā 'sthiro 'pi na // VAkK_4.52 //	kAme agre vA asTiraH api na // VAkK_4.52 //
   parihāṇadharmāpi tvāryapudgalaḥ kāmadhātorbhavāgrā dvītarāgaḥ	parihANa DarmA api tu Arya pudgalaH kAmaDAtoH Bava agrA dvIta rAgaH
   tayorūpapadyāparaparyāyavedanīyaṃ karmābhavyaḥ karttum /	tayorUpa padya apara paryAya vedanIyam karma aBavyaH karttum /
   kiṃ kāraṇam /	kim kAraNam /
   phalāddhi sa parihīṇo bhavati /	PalAt hi sa parihINaH Bavati /
   na cāsti laparihīṇasya kālakriyeti paścātpravedayiṣyāmaḥ /	na ca asti lapari hINasya kAla kriyA iti paScAt pravedayizyAmaH /
   kimantarābhave 'pyasti karmaṇa ākṣepaḥ /	kim antarABave api asti karmaNaH AkzepaH /
   astītyāha /	asti iti Aha /
        dvāviṃśatividhaṃ kāmeṣvākṣipatyantarābhavaḥ /	dvAviMSativiDam kAmezu Akzipati antarABavaH /
   gāmāvacaro hyantarābhavo dvāviṃśatividhaṃ karmākṣipati /	gAmAvacaraH hi antarABavaH dvAviMSativiDam karma Akzipati /
   kathaṃ kṛtvā /	kaTam kRtvA /
   pañca hi garbhāvasthāḥ /	paQca hi garBa avasTAH /
   kalalārvudapeśīghanapraśākhāvasthāḥ /	kalalAru udapeSI Gana praSAKA avasTAH /
   pañca jātāvasthāḥ /	paQca jAta avasTAH /
   bālakumāravamadhyavṛddhāvasthāḥ /	bAla kumArava maDya vRdDa avasTAH /
   tatrāntarābhavaḥ kalalavedanīyaṃ karmākṣipatyaniyataṃ niyataṃ ca /	tatra antarABavaH kalala vedanIyam karma akzipati aniyatam niyatam ca /
   evaṃ yāvadvṛddhavedanīyamantarābhavavedanīyaṃ ca /	evam yAvat vRdDavedanIyam antarA aBava vedanIyam ca /
        dṛṣṭadharma phalaṃ tacca	dRzwa Darma Palam tat ca
   taccaitadantarābhavikaṃ karma yanniyatamekādaśavidhamuktaṃ	tat ca etat antarABavikam karma yat niyatam ekAdaSaviDam uktam
   dṛṣṭadharmavedanīyaṃ tadveditavyam /	dRzwa Darma vedanIyam tat veditavyam /
   kiṃ kāraṇam /	kim kAraNam /
        nikāyo hyeka eva saḥ // VAkK_4.53 //	nikAyaH hi ekaH eva saH // VAkK_4.53 //
   eka eva hyasau nikāyasabhāga ekakarmākṣipto yaścāntarābhavo yāśca	ekaH eva hi asO nikAya sa BAgaH eka karma AkziptaH yaH ca antarABavaH yAH ca
   tadanvayā daśāvasthāḥ /	tad anvayAH daSa avasTAH /
   ata evānyadantarābhavavedanīyaṃ karma noktam /	atas eva anyat antarA Bava vedanIyam karma na uktam /
   upapadyavedanīyena ca tasyākṣepāt /	upapadya vedanIyena ca tasya AkzepAt /
   kīdṛśaṃ karma niyataṃ veditavyam /	kIdRSam karma niyatam veditavyam /
        tīvrakleśaprasādena sātatyena ca yatkṛtam /	tIvra kleSa prasAdena sAtatyena ca yat kRtam /
        guṇakṣetre ca niyataṃ tatpitrorghātakaṃ ca yat // VAkK_4.54 //	guNa kzetre ca niyatam tat pitroH GAtakam ca yat // VAkK_4.54 //
   yaddhi karma tīvreṇa kleśena kṛtaṃ yacca tīvreṇa prasādena yacca sātatyena	yat hi karma tIvreNa kleSena kRtam yat ca tIvreNa prasAdena yat ca sAtatyena
   gunakṣetre ca tanniyataṃ veditavyam /	gunakzetre ca tat niyatam veditavyam /
   tatra guṇakṣetraṃ trīṇi ratnāni /	tatra guNa kzetram trINi ratnAni /
   pudgalaviśeṣo vā kaścitphalasamāpattiviśeṣaprāptaḥ /	pudgala viSezaH vA kaScid Pala samApatti viSeza prAptaH /
   tatra hyantareṇāpi tīvrakleśaprasādānāṃ sātatyaṃ ca kuśalamakuśalaṃ ca	tatra hi antareNa api tIvra kleSa prasAdAnAm sAtatyam ca kuSalam akuSalam ca
   karma niyataṃ saṃpadyate /	karma niyatam saMpadyate /
   pitarau punarmātā ca pitā ca /	pitarO punar mAtA ca pitA ca /
   tayoścāpi yatra ghātikaṃ karma yathā tathā vā tanniyataṃ saṃpadyate nānyat	tayoH ca api yatra GAtikam karma yaTA taTA vA tat niyatam saMpadyate na anyat 
   atha dṛṣṭadharmavedanīyaṃ karma kīdṛśaṃ veditavyam /	aTa dRzwa Darma vedanIyam karma kIdRSam veditavyam /
        dṛṣṭadharmaphalaṃ karma kṣetrāśayaviśeṣataḥ /	dRzwa Darma Palam karma kzetra ASaya viSezataH /
   dṛṣṭadharmavedanīyaṃ karma kṣetraviśeṣādvā bhavati /	dRzwa Darma vedanIyam karma kzetra viSezAt vA Bavati /
   yathā saṃghastrīvādasamudācārādvyañjanaparivṛttiḥ śrūyate /	yaTA saMGa strI vAda samudAcArAt vyaQjana parivRttiH SrUyate /
   āśayaviśeṣādvā /	ASaya viSezAt vA /
   yathā śaṇḍhasya gavāmapuṃstvapratimokṣaṇātpumbhāvaḥ /	yaTA SaNXasya gavAma puMstva pratimokzaNAt pumBAvaH /
   athavā	aTavA
        tadbhūmyatyantavairāgyāt	tat BUmi atyanta vErAgyAt 
   tasya vā karmaṇo yā bhūmiḥ kuśalasyākuśalasya vā tato	tasya vA karmaNaH yA BUmiH kuSalasya akuSalasya vA tatas 
   'tyantavairāgyāttatkarma dṛṣṭadharmavedanīyaṃ karma saṃpadyate /	atyanta vErAgyAt tat karma dRzwa Darma vedanIyam karma saMpadyate /
   tasyāṃ bhūmau jātasya kīdṛśaṃ karmetyāha	tasyAm BUmO jAtasya kIdRSam karma iti Aha
        vipāke niyataṃ hi yat // VAkK_4.55 //	vipAke niyatam hi yat // VAkK_4.55 //
   yaddhi karma niyataṃ vipāke na tvavasthāyāṃ nāpyaniyataṃ tatyaiṣa niyamaḥ	yat hi karma niyatam vipAke na tu avasTAyAm na api aniyatam tatya eza niyamaH
   yatpunaravasthāntaraniyataṃ tasya tatraiva niyato vipākastadvato	yat punar avasTA antara niyatam tasya tatra eva niyataH vipAkaH tadvataH 
   'tyantavairāgyāsaṃbhavāt /	atyanta vErAgya asaMBavAt /
   yaccāniyataṃ tasyāvipāka evātyantavairāgyāt /	yat ca aniyatam tasya avipAkaH eva atyanta vErAgyAt /
   kīdṛśaṃ punaḥ kṣetraṃ yatrāvaśyaṃ dṛṣṭadharmavedanīyaṃ karma saṃpadyate /	kIdRSam punar kzetram yatra avaSyam dRzwa Darma vedanIyam karma saMpadyate /
   āha /	Aha /
   buddhapramukho bhikṣusaṃghaḥ pudgalāstu pañca /	budDa pramuKaH Bikzu saMGaH pudgalAH tu paQca /
        ye nirodhāraṇāmaitrīdarśanārhatphalotthitāḥ /	ye niroDAraNA mEtrI darSana arhat Pala utTitAH /
        teṣu kārāpakārasya phalaṃ sadyo 'nubhūyate // VAkK_4.56 //	tezu kAra apakArasya Palam sadyas anuBUyate // VAkK_4.56 //
   nirodhasamāpattivyutthitaḥ parāṃ cittaśāntiṃ labhate /	niroDa samApatti vyutTitaH parAm citta SAntim laBate /
   nirvāṇasadṛśatvātsamāpatteḥ /	nirvANa sadRSa tvAt samApatteH /
   sa hi gatapratyāgata eva nirvāṇādbhavati /	sa hi gata pratyAgataH eva nirvANAt Bavati /
   araṇāvyutthitasyāpramāṇasattvāraṇāhitādhyāśayānugatātyudagrāpramāṇapuṇyaparibhāvanānugatā	araNa avyutTitasya apramANa sattva AraNa Ahita aDyASaya anugata ati udagra apramANa puNya pariBAvanA anugatA
   ca saṃtatirvartate /	ca saMtatiH vartate /
   maitrīvyutthitasyāpramāṇasattvasukhādhyāśayānugatātyudagrāpramāṇapuṇyaparibhāvanānugatā	mEtrI vyutTitasya apramANa sattva suKa aDyASaya anugata ati udagrA pramANa puNya pariBAvanA anugatA
   ca saṃtativartate /	ca saMtativartate /
   darśanamārgavyutthitasyāśeṣadarśanaprahātavyaprahāṇāt	darSana mArga vyutTitasya aSeza darSana prahAtavya prahANAt
   pratyagrāśrayaparivṛttinirmalā saṃtatirvartate /	pratyagra ASraya parivRtti nirmalA saMtatiH vartate /
   arhatphalavyutthitasyāśeṣabhāvanāprahātavyaprahāṇātpratyagrāśrayaparivṛttiśuddhā	arhat Pala vyutTitasya aSeza BAvanA prahAtavya prahANAt pratyagra ASraya parivRtti SudDA
   saṃtatirvartate /	saMtatiH vartate /
   ata eteṣu kṛtānāṃ kārāpakārāṇāṃ phalaṃ dṛṣṭa eva dharme niyataṃ prāpyate /	atas etezu kRtAnAm kAra apakArANAm Palam dRzwaH eva Darme niyatam prApyate /
   śeṣasya tu bhāvanāmārgasyāparipūrṇasvabhāvaphalatvācca tadvyutthitānāṃ na	Sezasya tu BAvanA mArgasya aparipUrNa svaBAva Pala tvAt ca tad vyutTitAnAm na
   tathā pratyagrāśrayaparivṛttiśuddhāśayasaṃtatirvartata iti na te tathā	taTA pratyagra ASraya parivRtti SudDa ASaya saMtatiH vartate iti na te taTA
   puṇyakṣetraṃ bhavati /	puNya kzetram Bavati /
   vipākaḥ punarvedanāpradhānaḥ /	vipAkaH punar vedanA praDAnaH /
   tadidānīṃ vicāryate /	tat idAnIm vicAryate /
   syāt karmaṇaścaitasikyeva vedanā vipāko vipacyeta na kāyikī /	syAt karmaNaH cEtasikyA iva vedanA vipAkaH vipacyeta na kAyikI /
   syāt kāyikyeva na caitasikī syādityāha	syAt kAyikI A iva na cEtasikI syAt iti Aha
        kukśalasyāvitarkasya karmaṇo vedanā matā /	kukSalasya avitarkasya karmaNaH vedanA matA /
        vipākaścaitasikyeva	vipAkaH cEtasikI A iva
   avitarkaṃ karma dhyānāntarāt prabhṛti yāvat bhavāgre /	avitarkam karma DyAna antarAt praBRti yAvat Bava agre /
   tasyāvitarkasya kuśalasya karmaṇaścaitasikyeva vedanā vipākaḥ /	tasya avitarkasya kuSalasya karmaNaH cEtasikyA iva vedanA vipAkaH /
   kasmānna kāyikī /	kasmAt na kAyikI /
   tasyā avaśyaṃ savitarkavicāratvāt /	tasyAH avaSyam sa vitarka vicAra tvAt /
        kāyikyevāśubhasya tu // VAkK_4.57 //	kAyikI A iva aSuBasya tu // VAkK_4.57 //
   akuśalasya karmaṇaḥ kāyikyeva vedanā vipākaḥ /	akuSalasya karmaNaH kAyikI eva vedanA vipAkaH /
   kasmānna caitasikī /	kasmAt na cEtasikI /
   tasya hi duḥkhā vedanā vipākaścaitasikī ca duḥkhā vedanā daurmanasyaṃ na	tasya hi duHKA vedanA vipAkaH cEtasikI ca duHKAH vedanA dOrmanasyam na
   ca daurmanasyaṃ vipāka iti vyākhyātametat /	ca dOrmanasyam vipAkaH iti vyAKyAtam etat /
   yattarhi sattvānāṃ cittakṣepo bhavati /	yat tarhi sattvAnAm citta kzepaH Bavati /
   katamasminnasau citte bhavati kena vā kāraṇena /	katamasmin= asO citte Bavati kena vA kAraNena /
        cittakṣepo manaścitte /	citta kzepaH manaH citte /
   manovijñāna ityarthaḥ /	manaH vijQAnaH iti arTaH /
   nahi pañcasu vijñānakāyeṣu cittaṃ kṣipyate /	na hi paQcasu vijQAna kAyezu cittam kzipyate /
   avikalpakatvāt /	avikalpaka tvAt /
        sa ca karmavipākajaḥ /	sa ca karma vipAka jaH /
   sa caiṣa cittakṣepaḥ sattvānāṃ karmajaḥ /	sa ca eza citta kzepaH sattvAnAm karma jaH /
   ye hi dravyamantraprayogeṇa vā pareṣāṃ cittaṃ kṣepayanti akāmakaṃ vā viṣaṃ	ye hi dravya mantra prayogeNa vA parezAm cittam kzepayanti akAmakam vA vizam
   madyaṃ vā pāyayanti trāsayanti vā mṛgayādiṣvagnim vā dāveṣutsṛjanti	madyam vA pAyayanti trAsayanti vA mRgayA Adizu agnim vA dAvezutsRjanti
   prapātādvā pātayantyanyena vā kenacitpareṣāṃ smṛtiṃ bhraṃśayanti teṣāṃ	prapAtAt vA pAtayanti anyena vA kenacid parezAm smRtim BraMSayanti tezAm
   tasya karmaṇo vipākenāyatyāṃ cittaṃ kṣipyate /	tasya karmaNaH vipAkena AyatyAm cittam kzipyate /
        bhayopaghātavaiṣamyaśokaiśca	Baya upaGAta vEzamya SokEH ca
   kathaṃ tāvadbhayena /	kaTam tAvat Bayena /
   amanuṣyādayo manuṣyānvirūpeṇa rūpeṇopasaṃkrāmanti /	amanuzya AdayaH manuzyAn virUpeNa rUpeNa upasaMkrAmanti /
   tebhyo bhītānāṃ cittaṃ kṣīpyate /	teByaH BItAnAm cittam kzIpyate /
   kathamupaghātena /	kaTam upaGAtena /
   amanuṣyā eva kupitā manuṣyāṇāṃ marmasu praharanti /	amanuzyAH eva kupitAH manuzyANAm marmasu praharanti /
   kathaṃ mahābhūtavaiṣamyeṇa /	kaTam mahABUta vEzamyeNa /
   vātapittaśleṣmāṇaḥ prakopamāpadyante /	vAta pitta SlezmANaH prakopam Apadyante /
   kathaṃ śokena /	kaTam Sokena /
   yathā vāsiṣṭhīprabhṛtīnām /	yaTA vAsizWI praBRtInAm /
   yadi mano vikṣipyate karmavipākajaśca cittakṣepaḥ /	yadi manaH vikzipyate karma vipAka jaH ca citta kzepaH /
   kathaṃ na caitasikī vedanā vipākaḥ prāpnoti /	kaTam na cEtasikI vedanA vipAkaH prApnoti /
   nahi brūmastadeva cittavipāka ityapi tu yo mahābhūtānāṃ prakopaḥ sa	na hi brUmaH tat eva citta vipAkaH iti api tu yaH mahABUtAnAm prakopaH sa
   vipākaḥ /	vipAkaH /
   tasmājjātamato vipākajam /	tasmAt jAtam atas vipAka jam /
   karmajena hi dhātunā vaiṣamyeṇa vyākulamavaśaṃ bhraṣṭasmṛtikaṃ cittaṃ	karma jena hi DAtunA vEzamyeNa vyAkulam avaSam Brazwa smRtikam cittam
   vartata iti kṣiptamityucyate /	vartate iti kziptam iti ucyate /
   evaṃ cedaṃ catuṣkoṭikaṃ yujyate /	evam ca idam catuzkowikam yujyate /
   asti cittaṃ kṣiptaṃ na vikṣiptamiti vistaraḥ /	asti cittam kziptam na vikziptam iti vistaraH /
   kṣiptaṃ tāvanna kṣiptaṃ vikṣiptacittasya /	kziptam tAvat na kziptam vikzipta cittasya /
   kliṣṭaṃ cittaṃ vikṣiptaṃ na kṣiptaṃ svasthacittasya kliṣṭam /	klizwam cittam vikziptam na kziptam svasTa cittasya klizwam /
   ubhayaṃ kṣiptacittasya kliṣṭam /	uBayam kzipta cittasya klizwam /
   nobhayaṃ svasthacittasyākliṣṭam /	na uBayam svasTa cittasya aklizwam /
   katameṣāṃ punaḥ sattvānāṃ cittaṃ kṣipyate /	katamezAm punar sattvAnAm cittam kzipyate /
        akurukāminām // VAkK_4.58 //	akuru kAminAm // VAkK_4.58 //
   akuruṇāṃ kāminām /	akuruNAm kAminAm /
   deveṣvapi hi deva /	devezu api hi deva /
   unmattāḥ santi prāgeva manuṣyatiryakpreteṣu /	unmattAH santi prAk eva manuzya tiryak pretezu /
   nārakāstu nityaṃ kṣiptacittā eva /	nArakAH tu nityam kzipta cittAH eva /
   te hi vividhayātanāsahasravyatibhinnamarmāṇastīrvābhirvedanābhirabhitunnā	te hi viviDa yAtanA sahasra vyatiBinna marmANaH tIrvABiH vedanABiH aBitunnA
   ātmānamapi tāvannābhicetayanti kiṃ punaḥ kāryamakāryaṃ vā /	AtmAnam api tAvat na aBicetayanti kim punar kAryam akAryam vA /
   hācittaparidevakaścātra nāraka udāhāryaḥ /	hAcitta paridevakaH ca atra nArakaH udAhAryaH /
   āryāṇāmapi cittaṃ kṣipyate bhūtavaiṣamyeṇānyatra buddhāt /	AryANAm api cittam kzipyate BUta vEzamyeNa anyatra budDAt /
   na karmaṇā niyatasya pūrvaṃ vipākādaniyatasyāvipākāt /	na karmaNA niyatasya pUrvam vipAkAt aniyatasya avipAkAt /
   na bhayena /	na Bayena /
   pañcabhayasamatikramāt /	paQca Baya samatikramAt /
   nopaghātena /	na upaGAtena /
   manuṣyaprakopakāraṇasyāprāsādikasyākaraṇāt /	manuzya prakopa kAraNasya aprAsAdikasya akaraNAt /
   na śokena /	na Sokena /
   dharmatābhijñatvāt /	DarmatA aBijQa tvAt /
   punastrayo vaṅkā uktāḥ sūtre /	punar trayaH vaFkAH uktAH sUtre /
   kāyavaṅkok vāgvaṅko manovaṅkaḥ /	kAya vaFkoS vAc vaFkaH manaH vaFkaH /
   trayo doṣāḥ /	trayaH dozAH /
   kāyadoṣo vāgdoṣo manodoṣaḥ /	kAya dozaH vAc dozaH manaH dozaH /
   trayaḥ kaṣāyāḥ /	trayaH kazAyAH /
   kāyakaṣāyo vākkaṣāyo manaḥ kaṣāyaḥ iti /	kAya kazAyaH vAkkazAyaH manaH kazAyaH iti /
   tatra yathākramaṃ veditavyāḥ /	tatra yaTAkramam veditavyAH /
        vaṅkadoṣakaṣāyoktiḥ śāṭhyadveṣajarāgaje /	vaFka doza kazAya uktiH SAWya dveza ja rAgaje /
   śaṭhyajaṃ kāyakarma kāyavaṅka ityuktam /	SaWya jam kAya karma kAya vaFkaH iti uktam /
   kuṭilānvayatvāt /	kuwila anvaya tvAt /
   evaṃ vāṅmanovaṅkau /	evam vAc manaH vaFkO /
   dveṣajaṃ kāyakarma kāyadoṣa ityuktam /	dveza jam kAya karma kAya dozaH iti uktam /
   cittapradoṣānvayatvāt /	citta pradoza anvaya tvAt /
   evaṃ vāṅmanodoṣau /	evam vAc manaH dozO /
   rāgajaṃ kāyakarma kāyakaṣāya ityuktam /	rAga jam kAya karma kAya kazAyaH iti uktam /
   rāñjanānvayatvāt /	rAQjana anvaya tvAt /
   evaṃ vāṅmanaḥkaṣāyau /	evam vAc manaH kazAyO /
        kṛṣṇaśuklādibhedena punaḥḥ karma caturvidham // VAkK_4.59 //	kRzNa Sukla Adi Bedena punaHH karma caturviDam // VAkK_4.59 //
   "asti karma kṛṣṇaṃ kṛṣṇavipākam /	"asti karma kRzNam kRzNa vipAkam /
   asti karma śuklaṃ śuklavipākam /	asti karma Suklam Sukla vipAkam /
   asti karma kṛṣṇaśuklaṃ kṛṣṇaśuklavipākam /	asti karma kRzNa Suklam kRzNa Sukla vipAkam /
   asti karmākṛṣṇamaśuklamavipākam /	asti karma akRzNam aSu klam avipAkam /
   yattatkarma karmakṣayāya saṃvartata" iti /	yat tat karma karma kzayAya saMvartata" iti /
   tatra	tatra
        aśubhaṃ rūpakāmāptaṃ śubhaṃ caiva yathākramam /	aSuBam rUpa kAma Aptam SuBam ca eva yaTAkramam /
        kṛṣṇaśuklobhayaṃ karma tatkṣayāya nirāsravam // VAkK_4.60 //	kRzNa Sukla uBayam karma tad kzayAya nirAsravam // VAkK_4.60 //
   aśubhaṃ karma ekāntena kṛṣṇaṃ kliṣṭatvāt kṛṣṇavipākaṃ cāmanojñavipākatvāt	aSuBam karma ekAntena kRzNam klizwa tvAt kRzNa vipAkam ca amanojQa vipAka tvAt
   rūpāptaṃ śubhamekāntena śuklamakuśalenāvyatibhedāt /	rUpa Aptam SuBam ekAntena Suklam akuSalena avyatiBedAt /
   śuklavipākaṃ ca manojñavipākatvāt /	Sukla vipAkam ca manojQa vipAka tvAt /
   ārupyāptaṃ kasmānnocyate /	Arupya Aptam kasmAt na ucyate /
   yatra kila dvividho 'sti vipāka āntarābhavika aupapattibhavikaśca /	yatra kila dviviDaH asti vipAkaH AntarABavikaH Opapatti BavikaH ca /
   trividhasya kāyavāṅmanaskarmaṇo yatraiva saṃbhavastatraivoktamiti /	triviDasya kAya vAc manaskarmaNaH yatra eva saMBavaH tatra eva uktam iti /
   tadapi tūktaṃ sūtrāntare /	tat api tu uktam sUtra antare /
   "kāmāptaṃ śubhaṃ karma kṛṣṇaśuklamakuśalavyavakīrṇatvat kṛṣṇaśuklavipākaṃ	"kAma Aptam SuBam karma kRzNa Suklam akuSala vyavakIrNa tvat kRzNa Sukla vipAkam
   vyavakīrṇavipākatvāt" /	vyavakIrNa vipAka tva at" /
   saṃtānata etadvyavasthāpitaṃ na svabhāvataḥ /	saMtAnate etat vyavasTApitam na svaBAvataH /
   na hyevañjātīyakamekaṃ karmāsti vipāko vā yat kṛṣṇaṃ ca syāt śuklaṃ	na hi evan jAtIyakam ekam karma asti vipAkaH vA yat kRzNam ca syAt Suklam
   cānyonyavirodhāt /	ca anyonya viroDAt /
   nanu caivamakuśalasyāpi karmaṇaḥ kuśalavyavakīrṇatvāt kṛṣṇaśuklatvaṃ	nanu ca evam akuSalasya api karmaNaH kuSala vyavakIrNa tvAt kRzNa Sukla tvam
   prāpnoti /	prApnoti /
   nāvaśyamakuśalaṃ kuśalena vyavakīryate /	na avaSyam akuSalam kuSalena vyavakIryate /
   kāmadhātau tasya balavattvāt /	kAmaDAtO tasya balavat tvAt /
   kukśalaṃ tu vyavakīryate /	kukSalam tu vyavakIryate /
   durbalatvāditi /	durbala tvAt iti /
