   Sātvatatantra, prathamaḥ paṭalaḥ	SAtvata-tantra, praTamaH pawalaH
   śatrughno 'mitraśamano lavaṇāntakakārakaḥ /	SatruGnaH amitra-SamanaH lavaNa-antaka-kArakaH /
   āryabhrātṛjanaślāghyaḥ satāṃ ślāghyaguṇākaraḥ // SatvT_6.99	Arya-BrAtR-jana-SlAGyaH satAm SlAGya-guNa-AkaraH // SatvT_6.99
   vaṭapattrapuṭasthāyī śrīmukundo 'khilāśrayaḥ /	vawa-pattra-puwa-sTAyI SrI-mukundaH aKila-ASrayaH /
   tanūdarārpitajaganmṛkaṇḍatanayaḥ khagaḥ // SatvT_6.100	tanu-udara-arpita-jagat-mRkaNxa-tanayaH KagaH // SatvT_6.100
   ādyo devagaṇāgraṇyo mitastutinatipriyaḥ /	AdyaH deva-gaNa-agraNyaH mita-stutinati-priyaH /
   vṛtraghoratanutrastadevasanmantrasādhakaḥ // SatvT_6.101	vRtra-Gora-tanutraH-tat-eva-sat-mantra-sADakaH // SatvT_6.101
   brahmaṇyo brāhmaṇaślāghī brahmaṇyajanavatsalaḥ /	brahmaNyaH brAhmaNa-SlAGI brahmaNi-ajana-vatsalaH /
   goṣpadāpsugaladgātravālakhilyajanāśrayaḥ // SatvT_6.102	gozpadAp-sugalat-gAtra-vAla-Kilya-jana-ASrayaH // SatvT_6.102
   dausvastir yajvanāṃ śreṣṭho nṛpavismayakārakaḥ /	dOsvastiH yajvanAm SrezWaH nRpa-vismaya-kArakaH /
   turaṃgamedhabahukṛd vadānyagaṇaśekharaḥ // SatvT_6.103	turaMga-meDa-bahu-kRt vadAnya-gaNa-SeKaraH // SatvT_6.103
   vāsavītanayo vyāso vedaśākhānirūpakaḥ /	vAsavI-tanayaH vyAsaH veda-SAKA-nirUpakaH /
   purāṇabhāratācāryaḥ kalilokahitaiṣaṇaḥ // SatvT_6.104	purANa-BArata-AcAryaH kali-loka-hita-ezaNaH // SatvT_6.104
   rohiṇīhṛdayānando balabhadro balāśrayaḥ /	rohiNI-hRdaya-AnandaH balaBadraH bala-ASrayaH /
   saṃkarṣaṇaḥ sīrapāṇiḥ musalāstro 'maladyutiḥ // SatvT_6.105	saMkarzaNaH sIra-pANiH musala-astraH amala-dyutiH // SatvT_6.105
   śaṅkhakundenduśvetāṅgas tālabhid dhenukāntakaḥ /	SaFKa-kunda-indu-Sveta-aFgaH tAla-Bid DenukAntakaH /
   muṣṭikāriṣṭahanano lāṅgalākṛṣṭayāmunaḥ // SatvT_6.106	muzwikA-arizwa-hananaH lAFgala-AkRzwa-yAmunaH // SatvT_6.106
   pralambaprāṇahā rukmīmathano dvividāntakaḥ /	pralamba-prANa-hA rukmImaTanaH dvivida-antakaH /
   revatīprītido rāmāramaṇo balvalāntakaḥ // SatvT_6.107	revatI-prIti-daH rAmAramaNaH balvala-antakaH // SatvT_6.107
   hastināpurasaṃkarṣī kauravārcitasatpadaḥ /	hastinApura-saMkarzI kOrava-arcita-sat-padaH /
   brahmādistutapādābjo devayādavapālakaḥ // SatvT_6.108	brahma-Adi-stuta-pAda-abjaH devayAt-ava-pAlakaH // SatvT_6.108
   māyāpatir mahāmāyo mahāmāyānideśakṛt /	mAyA-patiH mahA-mAyaH mahA-mAyA-nideSa-kRt /
   yaduvaṃśābdhipūrṇendur baladevapriyānujaḥ // SatvT_6.109	yadu-vaMSa-abDi-pUrNa-induH baladeva-priya-anujaH // SatvT_6.109
   narākṛtiḥ paraṃ brahma paripūrṇaḥ parodayaḥ /	nara-AkRtiH param brahma paripUrNaH para-udayaH /
   sarvajñānādisampūrṇaḥ pūrṇānandaḥ purātanaḥ // SatvT_6.110	sarva-jQAna-Adi-sampUrNaH pUrNAnandaH purAtanaH // SatvT_6.110
   pītāmbaraḥ pītanidraḥ pītaveśmamahātapāḥ /	pIta-ambaraH pIta-nidraH pIta-veSma-mahA-tapAH /
   mahoraskomahābāhur mahārhamaṇikuṇḍalaḥ // SatvT_6.111	mahA-uraskaH-mahA-bAhuH mahArha-maNi-kuNxalaH // SatvT_6.111
   lasadgaṇḍasthalīhaimamaulimālāvibhūṣitaḥ /	lasat-gaNxa-sTalI-hEma-mOli-mAlA-viBUzitaH /
   sucārukarṇaḥ subhrājanmakarākṛtikuṇḍalaḥ // SatvT_6.112	sucAru-karNaH suBrA-jat-ma-kara-AkRti-kuNxalaH // SatvT_6.112
   nīlakuñcitasusnigdhakuntalaḥ kaumudīmukhaḥ /	nIla-kuQcita-su-snigDa-kuntalaH kOmudImuKaH /
   sunāsaḥ kundadaśano lasatkokanadādharaḥ // SatvT_6.113	sunAsaH kunda-daSanaH lasat-kokanadA-DaraH // SatvT_6.113
   sumandahāso rucirabhrūmaṇḍalavilokanaḥ /	sumanda-hAsaH rucira-BrU-maNxala-vilokanaH /
   kambukaṇṭho bṛhadbrahmā valayāṅgadabhūṣaṇaḥ // SatvT_6.114	kambu-kaNWaH bRhadbrahmA valaya-aFgada-BUzaNaH // SatvT_6.114
   kaustubhī vanamālī ca śaṅkhacakragadābjabhṛt /	kOstuBI vanamAlI ca SaFKa-cakra-gadA-abja-BRt /
   śrīvatsalakṣmyālakṣyāṅgaḥ sarvalakṣaṇalakṣaṇaḥ // SatvT_6.115	SrIvatsa-lakzmyA-lakzya-aFgaH sarva-lakzaNa-lakzaNaH // SatvT_6.115
   dalodaro nimnanābhir niravadyo nirāśrayaḥ /	dala-udaraH nimna-nABiH niravadyaH nirASrayaH /
   nitambabimbavyālabbikiṅkiṇīkāñcimaṇḍitaḥ // SatvT_6.116	nitamba-bimbavyAlabbikiFkiNI-kAQci-maNxitaH // SatvT_6.116
   samajaṅghājānuyugmaḥ sucārurucirājitaḥ /	samajaFGA-jAnu-yugmaH su-cAru-ruci-rAjitaH /
   dhvajavajrāṅkuśāmbhojaśarāṅkitapadāmbujaḥ // SatvT_6.117	Dvaja-vajra-aFkuSa-amBoja-Sara-aFkita-pada-ambujaH // SatvT_6.117
   bhaktabhramarasaṃghātapītapādāmbujāsavaḥ /	Bakta-Bramara-saMGAta-pIta-pAda-ambuja-asavaH /
   nakhacandramaṇijyotsnāprakāśitamahāmanāḥ // SatvT_6.118	naKa-candra-maNi-jyotsnA-prakASita-mahA-manAH // SatvT_6.118
   pādāmbujayuganyastalasanmañjīrarājitaḥ /	pAda-ambuja-yuganyastalasat-maQjIra-rAjitaH /
   svabhaktahṛdayākāśalasatpaṅkajavistaraḥ // SatvT_6.119	sva-Bakta-hRdayAkASa-lasat-paFkaja-vistaraH // SatvT_6.119
   sarvaprāṇijanānando vasudevanutipriyaḥ /	sarva-prANi-jana-AnandaH vasudeva-nuti-priyaH /
   devakīnandano lokanandikṛd bhaktabhītibhit // SatvT_6.120	devakInandanaH loka-nandi-kRt Bakta-BIti-Bid // SatvT_6.120
   śeṣānugaḥ śeṣaśāyī yaśodānatimānadaḥ /	Seza-anugaH Seza-SAyI yaSoda-anati-mAnadaH /
   nandānandakaro gopagopīgokulabāndhavaḥ // SatvT_6.121	nanda-Ananda-karaH gopa-gopI-gokula-bAnDavaH // SatvT_6.121
   sarvavrajajanānandī bhaktavallabhavavallabhaḥ /	sarva-vraja-jana-AnandI Bakta-valla-Bava-vallaBaH /
   valyavyaṅgalasadgātro ballavībāhumadhyagaḥ // SatvT_6.122	valya-vyaFga-lasat-gAtraH ballavI-bAhu-maDya-gaH // SatvT_6.122
   pītapūtanikāstanyaḥ pūtanāprāṇaśoṣaṇaḥ /	pIta-pUta-nikAstanyaH pUtanA-prANa-SozaNaH /
   pūtanorasthalasthāyī pūtanāmokṣadāyakaḥ // SatvT_6.123	pUtanA-uH-asTala-sTAyI pUtanAmokza-dAyakaH // SatvT_6.123
   samāgatajanānandī śakaṭoccāṭakārakaḥ /	samAgata-jana-AnandI Sakawa-uccAwa-kArakaH /
   prāptaviprāśiṣodhīśo laghimādiguṇāśrayaḥ // SatvT_6.124	prApta-vipra-aSizoDISaH laGima-Adi-guNa-ASrayaH // SatvT_6.124
   tṛṇāvartagalagrāhī tṛṇāvartaniṣūdanaḥ /	tRNa-Avarta-gala-grAhI tRNa-Avarta-nizUdanaH /
   jananyānandajanako jananyāmukhaviśvadṛk // SatvT_6.125	jananI-Ananda-janakaH jananyA-muKa-viSva-dRS // SatvT_6.125
   bālakrīḍārato bālabhāṣālīlādinirvṛtaḥ /	bAla-krIxA-rataH bAla-BAzA-lIlA-Adi-nirvRtaH /
   gopagopīpriyakaro gītanṛtyānukārakaḥ // SatvT_6.126	gopa-gopI-priya-karaH gIta-nRtya-anukArakaH // SatvT_6.126
   navanītaviliptāṅgo navanītalavapriyaḥ /	navanIta-vilipta-aFgaH navanIta-lava-priyaH /
   navanītalavāhārī navanītānutaskaraḥ // SatvT_6.127	navanIta-lava-AhArI navanIta-anutaskaraH // SatvT_6.127
   dāmodaro 'rjunonmūlo gopaikamatikārakaḥ /	dAmodaraH arjuna-unmUlaH gopa-ekam-atikArakaH /
   vṛndāvanavanakrīḍo nānākrīḍāviśāradaḥ // SatvT_6.128	vRndAvana-vana-krIxaH nAnA-krIxA-viSAradaH // SatvT_6.128
   vatsapucchasamākarṣī vatsāsuraniṣūdanaḥ /	vatsa-pucCa-samAkarzI vatsa-asura-nizUdanaH /
   bakārir aghasaṃhārī bālādyantakanāśanaḥ // SatvT_6.129	bakAriH aGa-saMhArI bAla-Adi-antaka-nASanaH // SatvT_6.129
   yamunānilasaṃjuṣṭasumṛṣṭapulinapriyaḥ /	yamunA-anila-saMjuzwa-su-mRzwa-pulina-priyaH /
   gopālabālapūgasthaḥ snigdhadadhyannabhojanaḥ // SatvT_6.130	gopAla-bAla-pUga-sTaH snigDa-daDi-anna-BojanaH // SatvT_6.130
   gogopagopīpriyakṛd dhanabhṛn mohakhaṇḍanaḥ /	go-gopa-gopI-priya-kRt Dana-BRt moha-KaNxanaH /
   vidhātur mohajanako 'tyadbhutaiśvaryadarśakaḥ // SatvT_6.131	viDAtuH moha-janakaH ati-adButa-ESvarya-darSakaH // SatvT_6.131
   vidhistutapadāmbhojo gopadārakabuddhibhit /	viDi-stuta-pada-amBojaH gopa-dAraka-budDi-Bid /
   kālīyadarpadalano nāganārīnutipriyaḥ // SatvT_6.132	kAlIya-darpa-dalanaH nAga-nArInuti-priyaH // SatvT_6.132
   dāvāgniśamanaḥ sarvavrajabhṛj janajīvanaḥ /	dAva-agni-SamanaH sarva-vraja-BRt jana-jIvanaH /
   muñjāraṇyapraveśāptakṛcchradāvāgnidāraṇaḥ // SatvT_6.133	muQja-araNya-praveSa-Apta-kRcCra-dAva-agni-dAraNaH // SatvT_6.133
   sarvakālasukhakrīḍo barhibarhāvataṃsakaḥ /	sarva-kAla-suKa-krIxaH barhi-barha-avataMsakaH /
   godhugvadhūjanaprāṇo veṇuvādyaviśāradaḥ // SatvT_6.134	goDugvaDU-jana-prANaH veNuvAdya-viSAradaH // SatvT_6.134
   gopīpidhānārundhāno gopīvratavarapradaḥ /	gopI-piDAna-ArunDAnaH gopI-vrata-vara-pradaH /
   vipradarpapraśamano viprapatnīprasādadaḥ // SatvT_6.135	vipradarpa-praSamanaH vipra-patnI-prasAda-daH // SatvT_6.135
   śatakratuvaradhvaṃsī śakradarpamadāpahaḥ /	Satakratu-vara-DvaMsI Sakra-darpa-mada-apahaH /
   dhṛtagovardhanagirir vrajalokābhayapradaḥ // SatvT_6.136	DRta-govarDana-giriH vraja-loka-aBaya-pradaH // SatvT_6.136
   indrakīrtilasatkīrtir govindo gokulotsavaḥ /	indra-kIrtilasat-kIrtiH govindaH gokula-utsavaH /
   nandatrāṇakaro devajaleśeḍitasatkathaḥ // SatvT_6.137	nanda-trANa-karaH deva-jaleSa-Ixita-sat-kaTaH // SatvT_6.137
   vrajavāsijanaślāghyo nijalokapradarśakaḥ /	vraja-vAsi-jana-SlAGyaH nija-loka-pradarSakaH /
   suveṇunādamadanonmattagopīvinodakṛt // SatvT_6.138	suveNu-nAda-madana-unmatta-gopIvinoda-kRt // SatvT_6.138
   godhugvadhūdarpaharaḥ svayaśaḥkīrtanotsavaḥ /	goDugvaDU-darpa-haraH sva-yaSaH-kIrtana-utsavaH /
   vrajāṅganājanārāmo vrajasundarīvallabhaḥ // SatvT_6.139	vraja-aFganA-jana-ArAmaH vrajasundarI-vallaBaH // SatvT_6.139
   rāsakrīḍārato rāsamahāmaṇḍalamaṇḍanaḥ /	rAsa-krIxA-rataH rAsa-mahA-maNxala-maNxanaH /
   vṛndāvanavanāmodī yamunākūlakelikṛt // SatvT_6.140	vRndA=-ana-vanAmodI yamunA-kUla-keli-kRt // SatvT_6.140
   gopikāgītikāgītaḥ śaṅkhacūḍaśiroharaḥ /	gopikAgItikAgItaH SaFKacUxa-SiraH-haraH /
   mahāsarpamukhagrastatrastanandavimocakaḥ // SatvT_6.141	mahA-sarpa-muKa-grasta-trasta-nanda-vimocakaH // SatvT_6.141
   sudarśanārcitapado duṣṭāriṣṭavināśakaḥ /	sudarSana-arcita-padaH duzwa-arizwa-vinASakaH /
   keśidveṣo vyomahantā śrutanāradakīrtanaḥ // SatvT_6.142	keSi-dvezaH vyomahantA Sruta-nArada-kIrtanaH // SatvT_6.142
   akrūrapriyakṛt krūrarajakaghnaḥ suveśakṛt /	akrUra-priya-kRt krUra-rajaka-GnaH su-veSa-kRt /
   sudāmadattamālāḍhyaḥ kubjācandanacarcitaḥ // SatvT_6.143	sudAma-datta-mAlA-AXyaH kubjA-candana-carcitaH // SatvT_6.143
   mathurājanasaṃharṣī caṇḍakodaṇḍakhaṇḍakṛt /	maTurAjana-saMharzI caNxa-kodaNxa-KaNxa-kRt /
   kaṃsasainyasamucchedī vaṇigvipragaṇārcitaḥ // SatvT_6.144	kaMsa-sEnya-samucCedI vaNij-vipra-gaNa-arcitaH // SatvT_6.144
   mahākuvalayāpīḍaghātī cāṇuramardanaḥ /	mahAkuvalaya-ApIxaGAtI cANuramardanaH /
   rāgaśālāgatāpāranaranārīkṛtotsavaḥ // SatvT_6.145	rAga-SAla-AgatA-pAra-nara-nArIkRta-utsavaH // SatvT_6.145
   kaṃsadhvaṃsakaraḥ kaṃsasvasārūpyagatipradaḥ /	kaMsa-DvaMsa-karaH kaMsa-sva-sa-ArUpya-gati-pradaH /
   kṛtograsenanṛpatiḥ sarvayādasaukhyakṛt // SatvT_6.146	kRta-ugrasena-nRpatiH sarva-yAda-sOKya-kRt // SatvT_6.146
   tātamātṛkṛtānando nandagopaprasādadaḥ /	tAta-mAtR-kRta-AnandaH nanda-gopa-prasAda-daH /
   śritasāṃdīpanigurur vidyāsāgarapāragaḥ // SatvT_6.147	Srita-sAMdIpa-niguruH vidyA-sAgara-pAragaH // SatvT_6.147
   daityapañcajanadhvaṃsī pāñcajanyadarapriyaḥ /	dEtya-paQca-jana-DvaMsI pAQcajanya-dara-priyaH /
   sāṃdīpanimṛtāpatyadātā kālayamārcitaḥ // SatvT_6.148	sAMdIpanimRta-apatya-dAtA kAla-yama-arcitaH // SatvT_6.148
   sairandhrīkāmasaṃtāpaśamano 'krūraprītidaḥ /	sEranDrI-kAma-saMtApa-SamanaH akrUra-prIti-daH /
   śārṅgacāpadharo nānāśarasaṃdhānakovidaḥ // SatvT_6.149	SArFga-cApa-DaraH nAnA-Sara-saMDAna-kovidaH // SatvT_6.149
   abhedyadivyakavacaḥ śrīmaddārukasārathiḥ /	aBedya-divya-kavacaH SrImat-dAruka-sAraTiH /
   khagendracihnitadhvajaś cakrapāṇir gadādharaḥ // SatvT_6.150	Kaga-indra-cihnita-DvajaH cakrapANiH gadADaraH // SatvT_6.150
   nandakīyadusenāḍhyo 'kṣayabāṇaniṣaṅgavān /	nandakIyadu-sena-AXyaH akzaya-bANa-nizaFgavAn /
   surāsurājeyaraṇyo jitamāgadhayūthapaḥ // SatvT_6.151	sura-asura-ajeya-raNyaH jita-mAgaDa-yUTapaH // SatvT_6.151
   māgadhadhvajinīdhvaṃsī mathurāpurapālakaḥ /	mAgaDa-DvajinI-DvaMsI maTurA-purapAlakaH /
   dvārakāpuranirmātā lokasthitiniyāmakaḥ // SatvT_6.152	dvArakApura-nirmAtA loka-sTiti-niyAmakaH // SatvT_6.152
   sarvasampattijananaḥ svajanānandakārakaḥ /	sarva-sampatti-jananaH sva-jana-Ananda-kArakaH /
   kalpavṛkṣākṣitamahiḥ sudharmānītabhūtalaḥ // SatvT_6.153	kalpavRkza-Akzita-mahiH suDarma-AnIta-BU-talaH // SatvT_6.153
   yavanāsurasaṃhartā mucukundeṣṭasādhakaḥ /	yavana-asura-saMhartA mucukunda-izwa-sADakaH /
   rukmiṇīdvijasaṃmantrarathaikagatakuṇḍinaḥ // SatvT_6.154	rukmiNI-dvija-saMmantra-raTa-eka-gata-kuNxinaH // SatvT_6.154
   rukmiṇīhārako rukmimuṇḍamuṇḍanakārakaḥ /	rukmiNI-hArakaH rukmi-muNxa-muNxana-kArakaH /
   rukmiṇīpriyakṛt sākṣād rukmiṇīramaṇīpatiḥ // SatvT_6.155	rukmiNI-priya-kRt sAkzAt rukmiNI-ramaNIpatiH // SatvT_6.155
   rukmiṇīvadanāmbhojamadhupānamadhuvrataḥ /	rukmiNI-vadana-amBoja-maDu-pAna-maDu-vrataH /
   syamantakanimittātmabhaktarkṣādhipajit śuciḥ // SatvT_6.156	syamantaka-nimitta-Atma-Bakta-Rkza-aDipa-jit SuciH // SatvT_6.156
   jāmbavārcitapādābjaḥ sākṣāj jāmbavatīpatiḥ /	jAmbava-arcita-pAda-abjaH sAkzAt jAmbavatI-patiH /
   satyabhāmākaragrāhī kālindīsundarīpriyaḥ // SatvT_6.157	satyaBAmA-kara-grAhI kAlindI-sundarI-priyaH // SatvT_6.157
   sutīkṣṇaśṛṅgavṛṣabhasaptajid rājayūthabhit /	su-tIkzNa-SRFga-vRzaBa-sapta-jit rAja-yUTa-Bid /
   nagnajit tanayāsatyānāyikānāyakottamaḥ // SatvT_6.158	nagnajit tanayA-asatya-AnAyikA-nAyaka-uttamaH // SatvT_6.158
   bhadreśo lakṣmaṇākānto mitravindāpriyeśvaraḥ /	BadreSaH lakzmaNA-kAntaH mitravindA-priya-ISvaraH /
   murujit pīṭhasenānīnāśano narakāntakaḥ // SatvT_6.159	murujit pIWasenAnInASanaH naraka-antakaH // SatvT_6.159
   dharārcitapadāmbhojo bhagadattabhayāpahā /	DarA-arcita-pada-amBojaH Bagadatta-Baya-apahA /
   narakāhṛtadivyastrīratnavāhādināyakaḥ // SatvT_6.160	naraka-AhRta-divya-strI-ratna-vAha-Adi-nAyakaH // SatvT_6.160
   aṣṭottaraśatadvyaṣṭasahastrastrīvilāsavān /	azwottaraSatad-vi-azwa-sahastra-strI-vilAsavAn /
   satyabhāmābalāvākyapārijātāpahārakaḥ // SatvT_6.161	satyaBAmA-balA-vAkya-pArijAta-apahArakaH // SatvT_6.161
   devendrabalabhij jāyājātanānāvilāsavān /	deva-indra-balaBid jAyA-jAta-nAnA-vilAsavAn /
   rukmiṇīmānadalanaḥ strīvilāsāvimohitaḥ // SatvT_6.162	rukmiNI-mAna-dalanaH strI-vilAsa-avimohitaH // SatvT_6.162
   kāmatātaḥ sāmbasuto 'saṃkhyaputraprapautravān /	kAma-tAtaH sa-amba-sutaH asaMKya-putra-prapOtravAn /
   uśāśāgatapautrārthabāṇabāhusasrachit // SatvT_6.163	uSASA-gata-pOtra-arTa-bANa-bAhu-sa-sra-Cid // SatvT_6.163
   nandyādipramathadhvaṃsī līlājitamaheśvaraḥ /	nandyAdi-pramaTa-DvaMsI lIlA-ajita-maheSvaraH /
   mahādevastutapado nṛgaduḥkhavimocakaḥ // SatvT_6.164	mahAdeva-stutapadaH nRga-duHKa-vimocakaH // SatvT_6.164
   brahmasvāpaharakleśakathāsvajanapālakaḥ /	brahma-sva-apa-hara-kleSa-kaTA-sva-jana-pAlakaH /
   pauṇḍrakāriḥ kāśirājaśirohartā sadājitaḥ // SatvT_6.165	pONxrakAriH kASi-rAja-SiraH-hartA sadA-ajitaH // SatvT_6.165
   sudakṣiṇāvratārādhyaśivakṛtyānalāntakaḥ /	su-dakziNa-avrata-ArADya-Siva-kRtyA-anala-antakaH /
   vārāṇasīpradahano nāradekṣitavaibhavaḥ // SatvT_6.166	vArANasI-pradahanaH nArada-Ikzita-vEBavaH // SatvT_6.166
   adbhutaiśvaryamahimā sarvadharmapravartakaḥ /	adButa-ESvarya-mahimA sarva-Darma-pravartakaH /
   jarāsaṃdhanirodhārtabhūbhujeritasatkathaḥ // SatvT_6.167	jarAsaMDa-niroDa-Arta-BUBuja-Irita-sat-kaTaH // SatvT_6.167
   nāraderitasanmitrakāryagauravasādhakaḥ /	nArada-Irita-sat-mitra-kArya-gOrava-sADakaH /
   kalatraputrasanmitrasadvṛttāptagṛhānugaḥ // SatvT_6.168	kalatra-putra-sanmitra-sat-vRtta-Apta-gRha-anugaH // SatvT_6.168
   jarāsaṃdhavadhodyogakartā bhūpatiśarmakṛt /	jarAsaMDa-vaDa-udyoga-kartA BUpati-Sarma-kRt /
   sanmitrakṛtyācarito rājasūyapravartakaḥ // SatvT_6.169	sat-mitra-kRtya-AcaritaH rAjasUya-pravartakaH // SatvT_6.169
   sarvarṣigaṇasaṃstutyaś caidyaprāṇanikṛntakaḥ /	sarva-Rzi-gaNa-saMstutyaH cEdya-prANa-nikRntakaH /
   indraprasthajanaiḥ pūjyo duryodhanavimohanaḥ // SatvT_6.170	indraprasTa-janEH pUjyaH duryoDana-vimohanaH // SatvT_6.170
   maheśadattasaubhāgyapurabhit śatrughātakaḥ /	maheSa-datta-sOBAgya-puraBid Satru-GAtakaH /
   dantavakraripucchettā dantavakragatipradaḥ // SatvT_6.171	dantavakra-ripucCettAH danta-vakra-gati-pradaH // SatvT_6.171
   vidūrathapramathano bhūribhārāvatārakaḥ /	vidUraTa-pramaTanaH BUri-BAra-avatArakaH /
   pārthadūtaḥ pārthahitaḥ pārthārthaḥ pārthasārathiḥ // SatvT_6.172	pArTa-dUtaH pArTa-hitaH pArTa-arTaH pArTa-sAraTiH // SatvT_6.172
   pārthamohasamucchedī gītāśāstrapradarśakaḥ /	pArTa-moha-samucCedI gIta-aSAstra-pradarSakaH /
   pārthabāṇagataprāṇavīrakaivalyarūpadaḥ // SatvT_6.173	pArTa-bANa-gata-prANa-vIra-kEvalya-rUpa-daH // SatvT_6.173
   duryodhanādidurvṛttadahano bhīṣmamuktidaḥ /	duryoDana-Adi-durvRtta-dahanaH BIzma-mukti-daH /
   pārthāśvamedhāharakaḥ pārtharājyaprasādhakaḥ // SatvT_6.174	pArTa-aSvameDa-AharakaH pArTa-rAjya-prasADakaH // SatvT_6.174
   pṛthābhīṣṭaprado bhīmajayado vijayapradaḥ /	pRTA-aBIzwa-pradaH BIma-jaya-daH vijaya-pradaH /
   yudhiṣṭhireṣṭasaṃdātā draupadīprītisādhakaḥ // SatvT_6.175	yuDizWira-izwa-saMdAtA drOpadI-prIti-sADakaH // SatvT_6.175
   sahadeveritapado nakulārcitavigrahaḥ /	sahadeva-Irita-padaH nakula-arcita-vigrahaH /
   brahmāstradagdhagarbhasthapuruvaṃśaprasādhakaḥ // SatvT_6.176	brahmAstra-dagDa-garBa-sTa-puru-vaMSa-prasADakaH // SatvT_6.176
   pauravendrapurastrībhyo dvārakāgamanotsavaḥ /	pOrava-indra-pura-strIByaH dvArakA-gamana-utsavaH /
   ānartadeśanivasatprajeritamahatkathaḥ // SatvT_6.177	Anarta-deSa-nivasat-prajA-Irita-mahat-kaTaH // SatvT_6.177
   priyaprītikaro mitravipradāridryabhañjanaḥ /	priya-prIti-karaH mitra-vipradAridrya-BaQjanaH /
   tīrthāpadeśasanmitrapriyakṛn nandanandanaḥ // SatvT_6.178	tIrTa-apadeSa-sat-mitra-priya-kRt nanda-nandanaH // SatvT_6.178
   gopījanajñānadātā tātakratukṛtotsavaḥ /	gopI-jana-jQAna-dAtA tAta-kratu-kRta-utsavaH /
   sadvṛttavaktā sadvṛttakartā sadvṛttapālakaḥ // SatvT_6.179	sat-vRtta-vaktA sat-vRtta-kartA sat-vRtta-pAlakaH // SatvT_6.179
   tātātmajñānasaṃdātā devakīmṛtaputradaḥ /	tAta-Atma-jQAna-saMdAtAH devakImRta-putra-daH /
   śrutadevapriyakaro maithilānandavardhanaḥ // SatvT_6.180	Srutadeva-priya-karaH mETila-Ananda-varDanaH // SatvT_6.180
   pārthadarpapraśamano mṛtaviprasutapradaḥ /	pArTa-darpa-praSamanaH mRta-viprasuta-pradaH /
   strīratnavṛndasaṃtoṣī janakelikalotsavaḥ // SatvT_6.181	strI-ratna-vRnda-saMtozI jana-keli-kalA-utsavaH // SatvT_6.181
   candrakoṭijanānandī bhānukoṭisamaprabhaḥ /	candra-kowi-jana-AnandI BAnu-kowi-sama-praBaH /
   kṛtāntakoṭidurlaṅghyaḥ kāmakoṭimanoharaḥ // SatvT_6.182	kRtAnta-kowi-durlaFGyaH kAma-kowi-manoharaH // SatvT_6.182
   yakṣarāṭkoṭidhanavān marutkoṭisvavīryavān /	yakza-rAj-kowi-DanavAn marut-kowi-sva-vIryavAn /
   samudrakoṭigambhīro himavatkoṭyakampanaḥ // SatvT_6.183	samudra-kowi-gamBIraH himavat-kowi-akampanaH // SatvT_6.183
   koṭyaśvamedhāḍhyaharaḥ tīrthakoṭyadhikāhvayaḥ /	kowI-aSvameDa-AXya-haraH tIrTa-kowI-aDika-AhvayaH /
   pīyūṣakoṭimṛtyughnaḥ kāmadhukkoṭyabhīṣṭadaḥ // SatvT_6.184	pIyUza-kowi-mRtyu-GnaH kAmaDuk-kowi-aBIzwa-daH // SatvT_6.184
   śakrakoṭivilāsāḍhyaḥ koṭibrahmāṇḍanāyakaḥ /	Sakra-kowi-vilAsa-AXyaH kowi-brahmANxa-nAyakaH /
   sarvāmoghodyamo 'nantakīrtiniḥsīmapauruṣaḥ // SatvT_6.185	sarva-amoGa-udyamaH ananta-kIrti-niHsIma-pOruzaH // SatvT_6.185
   sarvābhīṣṭapradayaśāḥ puṇyaśravaṇakīrtanaḥ /	sarva-aBIzwa-pradayaSAH puNya-SravaNa-kIrtanaH /
   brahmādisurasaṃgītavītamānuṣaceṣṭitaḥ // SatvT_6.186	brahma-Adi-sura-saMgIta-vIta-mAnuza-cezwitaH // SatvT_6.186
   anādimadhyanidhano vṛddhikṣayavivarjitaḥ /	anAdi-maDya-niDanaH vRdDi-kzaya-vivarjitaH /
   svabhaktoddhavamukhyaikajñānado jñānavigrahaḥ // SatvT_6.187	sva-Bakta-udDava-muKya-eka-jQAna-daH jQAna-vigrahaH // SatvT_6.187
   vipraśāpacchaladhvastayaduvaṃśogravikramaḥ /	vipra-SApa=-Cala-Dvasta-yadu-vaMSa-ugra-vikramaH /
   saśarīrajarāvyādhasvargadaḥ svargisaṃstutaḥ // SatvT_6.188	sa-SarIra-jarA-vyADa-svarga-daH svargi-saMstutaH // SatvT_6.188
   mumukṣumuktaviṣayijanānandakaro yaśaḥ /	mumukzu-mukta-vizayi-jana-Ananda-karaH yaSaH /
   kalikālamaladhvaṃsiyaśāḥ śravaṇamaṅgalaḥ // SatvT_6.189	kali-kAla-mala-DvaMsi-yaSAH SravaNa-maFgalaH // SatvT_6.189
   bhaktapriyo bhaktahito bhaktabhramarapaṅkajaḥ /	Bakta-priyaH Bakta-hitaH Bakta-Bramara-paFkajaH /
   smṛtamātrākhilatrātā yantramantraprabhañjakaḥ // SatvT_6.190	smRta-mAtra-aKila-trAtA yantra-mantra-praBaQjakaH // SatvT_6.190
   sarvasampatsrāvināmā tulasīdāmavallabhaḥ /	sarva-sampad-srAvinAmA tulasI-dAma-vallaBaH /
