   1st kāṇḍa	1st kANxa
   ekatvam iva tā vyaktīr āpādayati kāraṇaiḥ // BVaky_3,9.18 //	eka tvam iva tAH vyaktIH ApAdayati kAraNEH // BVakI _3,9.18 //
   athāsmān niyamād ūrdhvaṃ jātayo yāḥ prayojikāḥ /	aTa asmAn niyamAt UrDvam jAtayaH yAH prayojikAH /
   tāḥ sarvā vyaktim āyānti svacche chāyā ivāmbhasi // BVaky_3,9.19 //	tAH sarvAH vyaktim AyAnti svacCe CAyA iva amBasi // BVakI _3,9.19 //
   kāraṇānuvidhāyitvād atha kāraṇa pūrvakāḥ /	kAraNa anuviDAyi tvAt aTa kAraNa pUrvakAH /
   guṇās tatropajāyante svajātivyaktihetavaḥ // BVaky_3,9.20 //	guNAH tatra upajAyante sva jAti vyakti hetavaH // BVakI _3,9.20 //
   āśrayāṇāṃ ca nityatvam āśritānāṃ ca nityatā /	ASrayANAm ca nitya tvam ASritAnAm ca nitya tA /
   tā vyaktīr anugṛhṇāti sthitis tena prakalpate // BVaky_3,9.21 //	tAH vyaktIH anugRhNAti sTitiH tena prakalpate // BVakI _3,9.21 //
   anityasya yathotpāde pāratantryaṃ tathā sthitau /	anityasya yaTA utpAde pAratantryam taTA sTitO /
   vināśāyaiva tat śṛṣṭam asvādhīnasthitiṃ viduḥ // BVaky_3,9.22 //	vinASAya eva tat SRzwam asvADIna sTitim viduH // BVakI _3,9.22 //
   sthitaḥ saṃsargibhir bhāvaiḥ svakriyāsv anugṛhyate /	sTitaH saMsargiBiH BAvEH sva kriyAsu anugRhyate /
   naiṣāṃ sattām anudgṛhya vṛttir janmavatāṃ smṛtā // BVaky_3,9.23 //	na ezAm sattAm anudgRhya vRttiH janmavatAm smRtAH // BVakI _3,9.23 //
   jarākhyā kālaśaktir yā śaktyantaravirodhinī /	jarA AKyA kAla SaktiH yA Sakti antara viroDinI /
   sā śaktīḥ pratibadhnāti jāyante ca virodhinaḥ // BVaky_3,9.24 //	sA SaktIH pratibaDnAti jAyante ca viroDinaH // BVakI _3,9.24 //
   prayojakās tu ye bhāvāḥ sthitibhāgasya hetavaḥ /	prayojakAH tu ye BAvAH sTiti BAgasya hetavaH /
   tirobhavanti te sarve yata ātmā prahīyate // BVaky_3,9.25 //	tiroBavanti te sarve yatas AtmA prahIyate // BVakI _3,9.25 //
   yathaivādbutayā vṛttyā niṣkramaṃ nirnibandhanam /	yaTA eva adbutayA vRttyA nizkramam nirnibanDanam /
   apadaṃ jāyate sarvaṃ tathāsyātmā prahīyate // BVaky_3,9.26 //	apadam jAyate sarvam taTA asya AtmA prahIyate // BVakI _3,9.26 //
   kriyayor apavargiṇyor nānārthasamavetayoḥ /	kriyayoH apavargiNyoH nAnA arTa samavetayoH /
   saṃbandhinā vinaikena paricchedaḥ kathaṃ bhavet // BVaky_3,9.27 //	saMbanDinA vinA ekena paricCedaH kaTam Bavet // BVakI _3,9.27 //
   yathā tulāyāṃ haste vā nānādravyavyavasthitam /	yaTA tulAyAm haste vA nAnA dravya vyavasTitam /
   gurutvaṃ parimīyeta kālād evaṃ kriyāgatiḥ // BVaky_3,9.28 //	guru tvam parimIyeta kAlAt evam kriyA gatiH // BVakI _3,9.28 //
   jahāti sahavṛttāś ca kriyāḥ sa samavasthitāḥ /	jahAti saha vRttAH ca kriyAH sa samavasTitAH /
   vrīhir yathodakaṃ tena hāyanākhyāṃ prapadyate // BVaky_3,9.29 //	vrIhiH yaTA udakam tena hAyana AKyAm prapadyate // BVakI _3,9.29 //
   pratibandhābhyanujñābhyāṃ vṛttir yā tasya śāsvatī /	pratibanDa aByanujQAByAm vRttiH yA tasya SAsvatI /
   tayā vibhajyamāno 'sau bhajate kramarūpatāṃ // BVaky_3,9.30 //	tayA viBajyamAnaH asO Bajate krama rUpa tAm // BVakI _3,9.30 //
   kartṛbhedāt tadartheṣu pracayāpacayau gataḥ /	kartR BedAt tad arTezu pracaya apacayO gataH /
   samatvaṃ viṣamatvaṃ vā sa ekaḥ pratipadyate // BVaky_3,9.31 //	sama tvam vizama tvam vA saH ekaH pratipadyate // BVakI _3,9.31 //
   kriyābhedād yathaikasmiṃs takṣādyākhyā pravartate /	kriyA BedAt yaTA ekasmin takza Adi AKyA pravartate /
   kriyābhedāt tathaikasminn ṛtvādyākhyopajāyate // BVaky_3,9.32 //	kriyA BedAt taTA ekasmin RtvA adi AKyA upajAyate // BVakI _3,9.32 //
   ārambhaś ca kriyā caiva niṣṭhā cety abhidhīyate /	AramBaH ca kriyA ca eva nizWA ca iti aBiDIyate /
   dharmāntarāṇām adhyāsa  bhedāt sadasadātmanaḥ // BVaky_3,9.33 //	Darma antarANAm aDyAsa BedAt sat asat AtmanaH // BVakI _3,9.33 //
   yāvāṃś ca dvyaṇukādīnāṃ tāvān himavato 'py asau /	yAvAn ca dvi aNuka AdInAm tAvAn himavataH api asO /
   na hy ātmā kasya cid bhettuṃ pracetuṃ vāpi śakyate // BVaky_3,9.34 //	na hi AtmA kasya cit Bettum pracetum vA api Sakyate // BVakI _3,9.34 //
   anyais tu bhāvair anyeṣāṃ pracayaḥ parikalpyate /	anyEH tu BAvEH anyezAm pracayaH parikalpyate /
   śanair idam idaṃ kṣipram iti tena pratīyate // BVaky_3,9.35 //	SanEs idam idam kzipram iti tena pratIyate // BVakI _3,9.35 //
   asataś ca kramo nāsti sa hi bhettuṃ na śakyate /	asataH ca kramaH na asti sa hi Bettum na Sakyate /
   sato 'pi cātmatattvaṃ yat tat tathaivāvatiṣṭhate // BVaky_3,9.36 //	sataH api ca Atma tattvam yat tat taTA eva avatizWate // BVakI _3,9.36 //
   kriyopādhiś ca san bhūta  bhaviṣyadvartamānatāḥ /	kriyA upADiH ca san BUta Bavizyat vartam AnatAH /
   ekādaśābhir ākārair vibhaktāḥ pratipadyate // BVaky_3,9.37 //	ekAdaSABiH AkArEH viBaktAH pratipadyate // BVakI _3,9.37 //
   bhūtaḥ pañcavidhas tatra bhaviṣyaṃś ca caturvidhaḥ /	BUtaH paQcaviDaH tatra Bavizyan ca caturviDaH /
   vartamāno dvidhākhyāta ity ekādaśa kalpanāḥ // BVaky_3,9.38 //	vartamAnaH dviDA AKyAtaH iti ekAdaSa kalpanAH // BVakI _3,9.38 //
   kāle nidhāya svaṃ rūpaṃ prajñayā yan nigṛhyate /	kAle niDAya svam rUpam prajQayA yat nigRhyate /
   bhāvās tato nivartante tatra saṃkrāntaśaktayaḥ // BVaky_3,9.39 //	BAvAH tatas nivartante tatra saMkrAnta SaktayaH // BVakI _3,9.39 //
   bhāvināṃ caiva yad rūpaṃ tasya ca pratibimbakam /	BAvinAm ca eva yat rUpam tasya ca pratibimbakam /
   sunirmṛṣṭa ivādarśe kāla evopapadyate // BVaky_3,9.40 //	su nirmRzwaH iva AdarSe kAlaH eva upapadyate // BVakI _3,9.40 //
   tṛṇaparṇalatādīni yathā sroto 'nukarṣati /	tRNa parNa latA AdIni yaTA srotaH anukarzati /
   pravartayati kālo 'pi mātrā mātrāvatāṃ tathā // BVaky_3,9.41 //	pravartayati kAlaH api mAtrA mAtrAvatAm taTA // BVakI _3,9.41 //
   āviśyevānusaṃdhatte yathā gatimatāṃ gatīḥ /	AviSya iva anusaMDatte yaTA gatimatAm gatIH /
   vāyus tatraiva kālātmā vidhatte kramarūpatām // BVaky_3,9.42 //	vAyuH tatra eva kAla AtmA viDatte krama rUpa tAm // BVakI _3,9.42 //
   ayanapravibhāgaś ca gatīś ca jyotiṣāṃ dhruvā /	ayana praviBAgaH ca gatIH ca jyotizAm DruvA /
   nivṛttiprabhavāś caiva bhūtānāṃ tannibandhanāḥ // BVaky_3,9.43 //	nivRtti praBavAH ca eva BUtAnAm tad nibanDanAH // BVakI _3,9.43 //
   mātrāṇāṃ pariṇāmā ye kālavṛttyanupātinaḥ /	mAtrANAm pariNAmAH ye kAla vRtti anupAtinaH /
   nakṣatrākhyā pṛthak teṣu cihnamātraṃ tu tārakāḥ // BVaky_3,9.44 //	nakzatra AKyA pRTak tezu cihna mAtram tu tArakAH // BVakI _3,9.44 //
   rutair mṛgaśakuntānāṃ sthāvarāṇāṃ ca vṛttibhiḥ /	rutEH mRga SakuntAnAm sTAvarANAm ca vRttiBiH /
   chāyādipariṇāmaiś ca ṛtudhāmā nirūpyate // BVaky_3,9.45 //	CAyA Adi pariNAmEH ca RtuDAmA nirUpyate // BVakI _3,9.45 //
   nirbhāsopagamo yo 'yaṃ kramavān iva dṛśyate /	nirBAsa upagamaH yaH ayam kramavAn iva dRSyate /
   akramasyāpi viśvasya tat kālasya viceṣṭitam // BVaky_3,9.46 //	akramasya api viSvasya tat kAlasya vicezwitam // BVakI _3,9.46 //
   dūrāntikavyavasthānam adhvādhikaraṇaṃ yathā /	dUra antika vyavasTAnam aDva aDikaraNam yaTA /
   cirakṣipravyavasthānaṃ kālādhikaraṇaṃ tathā // BVaky_3,9.47 //	cira kzipra vyavasTAnam kAla aDikaraNam taTA // BVakI _3,9.47 //
   tasyābhinnasya kālasya vyavahāre kriyākṛtāḥ /	tasya aBinnasya kAlasya vyavahAre kriyA kRtAH /
   bhedā iva trayaḥ siddhā yāṃl loko nātivartate // BVaky_3,9.48 //	BedAH iva trayaH sidDAH yAn lokaH na ativartate // BVakI _3,9.48 //
   ekasya śaktayas tisraḥ kālasya samavasthitāḥ /	ekasya SaktayaH tisraH kAlasya samavasTitAH /
   yatsaṃbandhena bhāvānāṃ darśanādarśane satām // BVaky_3,9.49 //	yad saMbanDena BAvAnAm darSana adarSane satAm // BVakI _3,9.49 //
   dvābhyāṃ sa kila śaktibhyāṃ bhāvānāṃ varaṇātmakaḥ /	dvAByAm sa kila SaktiByAm BAvAnAm varaNa AtmakaH /
   śaktis tu vartamānākhyā bhāvarūpaprakāśinī // BVaky_3,9.50 //	SaktiH tu vartamAna AKyA BAva rUpa prakASinI // BVakI _3,9.50 //
   anāgatā janmaśakteḥ śaktir apratibandhikā /	anAgatA janma SakteH SaktiH apratibanDikAH /
   atītākhyā tu yā śaktis tayā janma virudhyate // BVaky_3,9.51 //	atIta AKyA tu yA SaktiH tayA janma viruDyate // BVakI _3,9.51 //
   tamaḥprakāśavat tv ete trayo 'dhvāno vyavasthitāḥ /	tamaH prakASa vat tu ete trayaH aDvAnaH vyavasTitAH /
   akramās teṣu bhāvānāṃ kramaḥ samupalabhyate // BVaky_3,9.52 //	akramAH tezu BAvAnAm kramaH samupalaByate // BVakI _3,9.52 //
   dvau tu tatra tamorūpāv ekasyālokavat sthitiḥ /	dvO tu tatra tamaH rUpO ekasya Aloka vat sTitiH /
   atītam api keṣāṃ cit punar viparivartate // BVaky_3,9.53 //	atItam api kezAm cit punar viparivartate // BVakI _3,9.53 //
   yugapad vartamānatvaṃ taddharmā pratipadyate /	yugapad vartamAna tvam tat DarmA pratipadyate /
   keṣāṃ cid vartamānatvāc caiti tadvad atītatām // BVaky_3,9.54 //	kezAm cit vartamAna tvAt ca eti tadvat atItatAm // BVakI _3,9.54 //
   hetupakārād ākṣipto vartamānatvam āgataḥ /	hetu pakArAt AkziptaH vartamAna tvam AgataH /
   śāntahetūpakāraḥ san punar nopaiti darśanam // BVaky_3,9.55 //	SAnta hetu upakAraH san punar na upEti darSanam // BVakI _3,9.55 //
   dve eva kālasya vibhoḥ keṣāṃ cic chaktivartmanī /	dve eva kAlasya viBoH kezAm cit Sakti vartmanI /
   karoti yābhyāṃ bhāvānām unmīlananimīlane // BVaky_3,9.56 //	karoti yAByAm BAvAnAm unmIlana nimIlane // BVakI _3,9.56 //
   kalābhiḥ pṛthagarthābhiḥ pravibhaktaṃ svabhāvataḥ /	kalABiH pRTak arTABiH praviBaktam svaBAvataH /
   ke cid buddhyanusaṃhāra  lakṣaṇaṃ taṃ pracakṣate // BVaky_3,9.57 //	ke cit budDi anusaMhAra lakzaNam tam pracakzate // BVakI _3,9.57 //
   jñānānugataśaktiṃ vā bāhyaṃ vā satyataḥ sthitam /	jQAna anugata Saktim vA bAhyam vA satyataH sTitam /
   kālātmānam anāśritya vyavahartuṃ na śakyate // BVaky_3,9.58 //	kAla AtmAnam anASritya vyavahartum na Sakyate // BVakI _3,9.58 //
   tisro bhāvasya bhāvasya keṣāṃ cid bhāvaśaktayaḥ /	tisraH BAvasya BAvasya kezAm cit BAva SaktayaH /
   tābhiḥ svaśaktibhiḥ sarvaṃ sadaivāsti ca nāsti ca // BVaky_3,9.59 //	tABiH sva SaktiBiH sarvam sadA eva asti ca na asti ca // BVakI _3,9.59 //
   sattvād avyatirekeṇa tās tisro 'pi vyavasthitāḥ /	sattvAt avyatirekeNa tAH tisraH api vyavasTitAH /
   kramas tās tadabhedāc ca sadasattvaṃ na bhidyate // BVaky_3,9.60 //	kramaH tAH tad aBedAt ca sat asat tvam na Bidyate // BVakI _3,9.60 //
   darśanādarśanenaikaṃ dṛṣṭādṛṣṭaṃ tad eva tu /	darSana adarSanena ekam dRzwa adRzwam tat eva tu /
   adhvanām ekatā nāsti na ca kiṃ cin nivartate // BVaky_3,9.61 //	aDvanAm ekatA na asti na ca kim cit nivartate // BVakI _3,9.61 //
   śaktyātmadevatāpakṣair bhinnaṃ kālasya darśanam /	Sakti Atma devatA pakzEH Binnam kAlasya darSanam /
   prathamaṃ tad avidyāyāṃ yad vidyāyāṃ na vidyate // BVaky_3,9.62 //	praTamam tat avidyAyAm yat vidyAyAm na vidyate // BVakI _3,9.62 //
   abhede yadi kālasya hrasvadīrghaplutādiṣu /	aBede yadi kAlasya hrasva dIrGa pluta Adizu /
   dṛśyate bhedanirbhāsaḥ sa cirakṣiprabuddhivat // BVaky_3,9.63 //	dRSyate Beda nirBAsaH sa cira kzipra budDi vat // BVakI _3,9.63 //
   hrasvadīrghaplutāvṛttyā nālikāsalilādiṣu /	hrasva dIrGa pluta AvRttyA nAlikA salila Adizu /
   kathaṃ pracayayogaḥ syāt kalpanāmātrahetukaḥ // BVaky_3,9.64 //	kaTam pracaya yogaH syAt kalpanA mAtra hetukaH // BVakI _3,9.64 //
   abhivyaktinimittasya pracayena pracīyate /	aBivyakti nimittasya pracayena pracIyate /
   abhinnam api śabdasya tattvam apracayātmakam // BVaky_3,9.65 //	aBinnam api Sabdasya tattvam apracaya Atmakam // BVakI _3,9.65 //
   evaṃ mātrāturīyasya bhedo dāśatayasya vā /	evam mAtrAturIyasya BedaH dASatayasya vA /
   parimāṇavikalpena śabdātmani na vidyate // BVaky_3,9.66 //	parimANa vikalpena Sabda Atmani na vidyate // BVakI _3,9.66 //
   anuniṣpādikalpena ye 'ntarāla iva sthitāḥ /	anunizpAdi kalpena ye antarAlaH iva sTitAH /
   śabdās te pratipattṝṇām upāyāḥ pratipattaye // BVaky_3,9.67 //	SabdAH te pratipattLNAm upAyAH pratipattaye // BVakI _3,9.67 //
   viśiṣṭam avadhiṃ taṃ tam upādāya prakalpate /	viSizwam avaDim tam tam upAdAya prakalpate /
   kālaḥ kālavatām ekaḥ kṣaṇamāsartubhedabhāk // BVaky_3,9.68 //	kAlaH kAlavatAm ekaH kzaNam AsaRtu Beda BAj // BVakI _3,9.68 //
   buddhyavagrahabhedāc ca vyavahārātmani sthitaḥ /	budDi avagraha BedAt ca vyavahAra Atmani sTitaH /
   tāvān eva kṣaṇaḥ kālo yugamanvantarāṇi vā // BVaky_3,9.69 //	tAvAn eva kzaNaH kAlaH yuga manvantarANi vA // BVakI _3,9.69 //
   pratibandhābhyanujñābhyāṃ nālikāvivarāśrite /	pratibanDa aByanujQAByAm nAlikA vivara ASrite /
   yad ambhasi prakṣaraṇaṃ tat kālasyaiva ceṣṭitam // BVaky_3,9.70 //	yat amBasi prakzaraNam tat kAlasya eva cezwitam // BVakI _3,9.70 //
   alpe mahati vā chidre tatsaṃbandhe na bhidyate /	alpe mahati vA Cidre tad saMbanDe na Bidyate /
   kālasya vṛttir ātmāpi tam evāsyānuvartate // BVaky_3,9.71 //	kAlasya vRttiH AtmA api tam eva asya anuvartate // BVakI _3,9.71 //
   ākrīḍa iva kālasya dṛśyate yaḥ svaśaktibhiḥ /	AkrIxaH iva kAlasya dRSyate yaH sva SaktiBiH /
   bahurūpasya bhāveṣu bahudhā tena bhidyate // BVaky_3,9.72 //	bahu rUpasya BAvezu bahuDA tena Bidyate // BVakI _3,9.72 //
   tvacisārasya vā vṛddhiṃ tṛṇarājasya vā dadhat /	tvacisArasya vA vRdDim tRNarAjasya vA daDat /
   tāvat tadvṛddhiyogena kālatattvaṃ vikalpate // BVaky_3,9.73 //	tAvat tad vRdDi yogena kAla tattvam vikalpate // BVakI _3,9.73 //
   vyatikrame 'pi mātrāṇāṃ tasya nāsti vyatikramaḥ /	vyatikrame api mAtrANAm tasya na asti vyatikramaH /
   na gantṛgatibhedena mārgabhedo 'sti kaś cana // BVaky_3,9.74 //	na gantR gati Bedena mArga BedaH asti kaH cana // BVakI _3,9.74 //
   udayāstamayāvṛttyā jyotiṣāṃ lokasiddhayā /	udaya astamaya AvRttyA jyotizAm loka sidDayA /
   kālasyāvyatipāte 'pi tāddharmyam iva lakṣyate // BVaky_3,9.75 //	kAlasya avyatipAte api tAdDarmyam iva lakzyate // BVakI _3,9.75 //
   ādityagrahanakṣatra  parispandam athāpare /	Aditya graha nakzatra parispandam aTa apare /
   bhinnam āvṛttibhedena kālaṃ kālavido viduḥ // BVaky_3,9.76 //	Binnam AvRtti Bedena kAlam kAla vidaH viduH // BVakI _3,9.76 //
   kriyāntarapariccheda  pravṛttā yā kriyāṃ prati /	kriyA antara paricCeda pravRttA yA kriyAm prati /
   nirjñātaparimāṇā sā kāla ity abhidhīyate // BVaky_3,9.77 //	nirjQAta parimANA sA kAlaH iti aBiDIyate // BVakI _3,9.77 //
   jñāne rūpasya saṃkrāntir jñānenaivānusaṃhṛtiḥ /	jQAne rUpasya saMkrAntiH jQAnena eva anusaMhRtiH /
   ataḥ kriyāntarābhāve sā kriyā kāla iṣyate // BVaky_3,9.78 //	atas kriyA antara aBAve sA kriyA kAlaH izyate // BVakI _3,9.78 //
   bhūto ghaṭa itīyaṃ ca sattāyā eva bhūtatā /	BUtaH GawaH iti iyam ca sattAyAH eva BUta tA /
   bhūtā satteti sattāyāḥ sattā bhūtābhidhīyate // BVaky_3,9.79 //	BUtA sattA iti sattAyAH sattA BUta aBiDIyate // BVakI _3,9.79 //
   parato bhidyate sarvam ātmā tu na vikalpyate /	paratas Bidyate sarvam AtmA tu na vikalpyate /
   parvatādisthitis tasmāt pararūpeṇa bhidyate // BVaky_3,9.80 //	parvata Adi sTitiH tasmAt para rUpeNa Bidyate // BVakI _3,9.80 //
   prasiddhabhedā vyāpārā virūpāvayavakriyāḥ /	prasidDa BedAH vyApArAH virUpa avayava kriyAH /
   sāhacaryeṇa bhidyante sarūpāvayavakriyāḥ // BVaky_3,9.81 //	sAhacaryeNa Bidyante sarUpa avayava kriyAH // BVakI _3,9.81 //
   *vyavadhānam ivopaiti nivṛtta iva dṛśyate /	*vyavaDAnam iva upEti nivRttaH iva dRSyate /
   kriyāsamūho bhujyādir antarālapravṛttibhiḥ // BVaky_3,9.82 *//	kriyA samUhaH Bujya AdiH antarAla pravRttiBiH // BVakI _3,9.82 *//
   *na ca vicchinnarūpo 'pi so 'virāmān nivartate /	*na ca vicCinna rUpaH api saH avirAmAn nivartate /
   sarvaiva hi kriyānyena samkīrṇevopalabhyate // BVaky_3,9.83 *//	sarvA eva hi kriyA anyena samkIrNA iva upalaByate // BVakI _3,9.83 *//
   *tadantarāladṛṣṭā vā sarvaivāvayavakriyā */	*tad antarAla dRzwA vA sarvA eva avayava kriyA */
   sādṛśyāt sati bhede tu tadaṅgatvena gṛhyate // BVaky_3,9.84 //	sAdRSyAt sati Bede tu tad aFga tvena gRhyate // BVakI _3,9.84 //
   sad asad vāpi vastu syāt tṛtīyaṃ nāsti kiṃ cana /	sat asat vA api vastu syAt tRtIyam na asti kim cana /
   tena bhūtabhaviṣyantau muktvā madhyaṃ na vidyate // BVaky_3,9.85 //	tena BUta BavizyantO muktvA maDyam na vidyate // BVakI _3,9.85 //
   nirvṛttirūpam ekasya bhedābhāvān na kalpate /	nirvRtti rUpam ekasya Beda aBAvAt na kalpate /
   sad asad vāpi tenaikaṃ kramarūpaṃ kathaṃ bhavet // BVaky_3,9.86 //	sat asat vA api tena ekam krama rUpam kaTam Bavet // BVakI _3,9.86 //
   bahūnāṃ cānavasthānād ekam evopalabhyate /	bahUnAm ca anavasTAnAt ekam eva upalaByate /
   yathopalabdhi smaraṇaṃ tatra cāpy upapadyate // BVaky_3,9.87 //	yaTA upalabDi smaraNam tatra ca api upapadyate // BVakI _3,9.87 //
   sadasadrūpam ekaṃ syād sarvasyaikatvakalpane /	sat asat rUpam ekam syAt sarvasya ekatva kalpane /
   nirvṛttirūpaṃ nirvṛtteḥ sāmānyam atha vā bhavet // BVaky_3,9.88 //	nirvRtti rUpam nirvRtteH sAmAnyam aTa vA Bavet // BVakI _3,9.88 //
   kāryotpattau samarthaṃ vā svena dharmeṇa tat tathā /	kArya utpattO samarTam vA svena DarmeNa tat taTA /
   ātmatattvena gṛhyeta sā cāsmin vartamānatā // BVaky_3,9.89 //	Atma tattvena gRhyeta sA ca asmin vartamAna tA // BVakI _3,9.89 //
   kriyāprabandharūpaṃ yad adhyātmaṃ vinigṛhyate /	kriyA prabanDa rUpam yat aDyAtmam vinigRhyate /
   saṃkrāntarūpam ekatra tām āhur vartamānatām // BVaky_3,9.90 //	saMkrAnta rUpam ekatra tAm AhuH vartamAna tAm // BVakI _3,9.90 //
   kriyātipattir atyantaṃ kriyānutpattilakṣaṇā /	kriyA atipattiH atyantam kriyA anutpatti lakzaNAH /
   na ca bhūtam anutpannaṃ na bhaviṣyat tathāvidham // BVaky_3,9.91 //	na ca BUtam anutpannam na Bavizyat taTAviDam // BVakI _3,9.91 //
   prāg viruddhakriyotpādān nirvṛtte vā virodhini /	prAk virudDa kriyA utpAdAt nirvRtte vA viroDini /
   vyāpāre 'vadhibhedena viṣayas tatra bhidyate // BVaky_3,9.92 //	vyApAre avaDi Bedena vizayaH tatra Bidyate // BVakI _3,9.92 //
   vyabhicāre nimittasya sādhutvaṃ na prakalpate /	vyaBicAre nimittasya sADu tvam na prakalpate /
   bhāvy āsīd iti sūtreṇa tat kāle 'nyatra śiṣyate // BVaky_3,9.93 //	BAvi AsIt iti sUtreNa tat kAle anyatra Sizyate // BVakI _3,9.93 //
   svakāla eva sādhutve kālabhede gatiḥ katham /	sva kAlaH eva sADu tve kAla Bede gatiH kaTam /
   vākyārthād atadartheṣu viśiṣṭatvaṃ na sidhyati // BVaky_3,9.94 //	vAkya arTAt atad arTezu viSizwa tvam na siDyati // BVakI _3,9.94 //
   tadarthaś ced avayavo bhāvino bhūtatāgatiḥ /	tad arTaH ced avayavaH BAvinaH BUta tA gatiH /
   na syād atyantabhūtatvam evaikaṃ tatra saṃbhavet // BVaky_3,9.95 //	na syAt atyanta BUta tvam eva ekam tatra saMBavet // BVakI _3,9.95 //
   viśiṣṭakālatā pūrvaṃ tathāpi tu viśeṣaṇe /	viSizwa kAlatA pUrvam taTA api tu viSezaNe /
   āśrayāt so 'ntaraṅgatvāt tatra sādhur bhaviṣyati // BVaky_3,9.96 //	ASrayAt saH antaraFga tvAt tatra sADuH Bavizyati // BVakI _3,9.96 //
   āmiśra eva prakrāntaḥ sa padārthas tathāvidhaḥ /	AmiSraH eva prakrAntaH sa padArTaH taTAviDaH /
   kevalasya vimiśratvaṃ nitye 'rthe nopapadyate // BVaky_3,9.97 //	kevalasya vimiSra tvam nitye arTe na upapadyate // BVakI _3,9.97 //
   śuddhe ca kāle vyākhyātam āmiśre na prasidhyati /	SudDe ca kAle vyAKyAtam AmiSre na prasiDyati /
   sādhutvam ayathākālaṃ tat sūtreṇopadiśyate // BVaky_3,9.98 //	sADu tvam ayaTAkAlam tat sUtreNa upadiSyate // BVakI _3,9.98 //
   ākhyātapadavācye 'rthe nirvartyatvāt pradhānatā /	AKyAta pada vAcye arTe nirvartya tvAt praDAna tA /
   viśeṣaṇaṃ tadākṣepāt tatkāle vyavatiṣṭhate // BVaky_3,9.99 //	viSezaNam tad AkzepAt tad kAle vyavatizWate // BVakI _3,9.99 //
   saṃpratyayānukāro vā śabdavyāpāra eva vā /	saMpratyaya anukAraH vA Sabda vyApAraH eva vA /
   adhyasyate viruddhe 'rthe na ca tena virudhyate // BVaky_3,9.100 //	aDyasyate virudDe arTe na ca tena viruDyate // BVakI _3,9.100 //
   bhūtaṃ bhaviṣyad ity etau pratyayau vartamānatām /	BUtam Bavizyat iti etO pratyayO vartamAna tAm /
   atyajantau prapadyete viruddhāśrayarūpatām // BVaky_3,9.101 //	atyajantO prapadyete virudDa ASraya rUpa tAm // BVakI _3,9.101 //
   adhvano vartamānasya viṣayeṇa bhaviṣyatā /	aDvanaH vartamAnasya vizayeNa BavizyatA /
   bhāṣye bhaviṣyatkāleti kāryārthaṃ vyapadiśyate // BVaky_3,9.103 //	BAzye Bavizyat kAla iti kArya arTam vyapadiSyate // BVakI _3,9.103 //
   icchā cikīrśatīty atra svakālam anurudhyate /	icCA cikIrSati iti atra sva kAlam anuruDyate /
   bhaviṣyati prakṛtyarthe tatkālaṃ nānurudhyate // BVaky_3,9.104 //	Bavizyati prakRti arTe tad kAlam na anuruDyate // BVakI _3,9.104 //
   āśāsyamānatantratvād āśaṃsāyāṃ viparyayaḥ /	ASAsyamAna tantra tvAt ASaMsAyAm viparyayaH /
   prayoktṛdharmaḥ śabdārthe śabdair evānuśajyate // BVaky_3,9.105 //	prayoktR DarmaH Sabda arTe SabdEH eva anuSajyate // BVakI _3,9.105 //
   apchālibījasaṃyoge vartate niṣpadir yadā /	ap CAli bIja saMyoge vartate nizpadiH yadA /
