   Ḍhuṇḍhukanātha: Rasendracintāmaṇi	ḌhuNXuka-nATa: RasendracintAmaNi
   viṣavegāniti jñātvā mantratantrairvināśayet // RCint_7.40 //	viza-vegAn-iti jQAtvA mantra-tantrEH-vinASayet // RCint-_7.40 //
   atimātraṃ yadā bhuktaṃ vamanaṃ kārayettadā // RCint_7.41 //	atimAtram yadA Buktam vamanam kArayet-tadA // RCint-_7.41 //
   tāvaddadyādajādugdhaṃ yāvad vāntirna jāyate /	tAvat-dadyAt-ajA-dugDam yAvat vAntiH-na jAyate /
   ajādugdhaṃ yadā koṣṭhe sthirībhavati dehinaḥ /	ajA-dugDam yadA kozWe sTirIBavati dehinaH /
   viṣavegaṃ tadottīrṇaṃ jānīyātkuśalo bhiṣak // RCint_7.42 //	viza-vegam tadA-uttIrNam jAnIyAt-kuSalaH Bizaj // RCint-_7.42 //
   viṣaṃ hanyādrasaḥ pīto rajanīmeghanādayoḥ /	vizam hanyAt-rasaH pItaH rajanI-meGanAdayoH /
   sarpākṣī ṭaṅkaṇaṃ vāpi ghṛtena viṣahṛtparam // RCint_7.43 //	sarpAkzI waFkaNam vA-api GRtena viza-hRt-param // RCint-_7.43 //
   putrajīvakamajjā vā pīto nimbukavāriṇā /	putrajIvaka-majjA vA pItaH nimbuka-vAriNA /
   viṣavegaṃ nihantyeva vṛṣṭirdāvānalaṃ yathā // RCint_7.44 //	viza-vegam nihanti-eva vRzwiH-dAva-analam yaTA // RCint-_7.44 //
   na krodhite na pittārte na klībe rājayakṣmaṇi /	na kroDite na pitta-Arte na klIbe rAjayakzmaNi /
   kṣuttṛṣṇāśramagharmādhvasevini kṣayarogiṇi /	kzut-tRzNA-Srama-Garma-aDva-sevini kzaya-rogiNi /
   garbhiṇībālavṛddheṣu na viṣaṃ rājamandire // RCint_7.45 //	garBiNI-bAla-vRdDezu na vizam rAja-mandire // RCint-_7.45 //
   na dātavyaṃ na bhoktavyaṃ viṣaṃ vāde kadācana /	na dAtavyam na Boktavyam vizam vAde kadAcana /
   ācāryeṇa tu bhoktavyaṃ śiṣyapratyayakārakam // RCint_7.46 //	AcAryeNa tu Boktavyam Sizya-pratyaya-kArakam // RCint-_7.46 //
   <poison:: subtypes>	<poison:: subti-pes>
   kālakūṭo vatsanābhaḥ śṛṅgikaśca pradīpanaḥ /	kAlakUwaH vatsanABaH SRFgikaH-ca pradIpanaH /
   hālāhalo brahmaputro hāridraḥ saktukastathā /	hAlAhalaH brahma-putraH hAridraH saktukaH-taTA /
   saurāṣṭrikaḥ iti proktā viṣabhedā amī nava // RCint_7.47 //	sOrAzwrikaH iti proktA viza-BedAH amI nava // RCint-_7.47 //
   <upaviṣa>	<upaviza>
   arkasehuṇḍadhustūralāṅgalīkaravīrakāḥ /	arka-sehuNxa-DustUra-lAFgalI-karavIrakAH /
   guñjāhiphenāvityetāḥ saptopaviṣajātayaḥ // RCint_7.48 //	guQjA-ahiPenO=-iti-etAH sapta-upaviza-jAtayaH // RCint-_7.48 //
   <mercury:: pakṣacheda:: by poison>	<mercuH-y:: pakza-Ceda:: bi poison>
   etairvimarditaḥ sūtaśchinnapakṣaḥ prajāyate /	etEH-vimarditaH sUtaH-CinnapakzaH prajAyate /
   mukhaṃ ca jāyate tasya dhātūṃśca grasatetarām // RCint_7.49 //	muKam ca jAyate tasya DAtUn=-ca grasatA-itarAm // RCint-_7.49 //
   <vajra:: subtypes:: colour>	<vajra:: subti-pes:: ca-ulouH->
   śvetaraktapītakṛṣṇā dvijādyā vajrajātayaḥ /	Sveta-rakta-pIta-kRzNAH dvija-AdyAH vajra-jAtayaH /
   strīpuṃnapuṃsakātmāno lakṣaṇena tu lakṣayet // RCint_7.50 //	strI-puMnapuMsaka-AtmAnaH lakzaNena tu lakzayet // RCint-_7.50 //
   <vajra:: puṃvajra>	<vajra:: puMvajra>
   vṛttāḥ phalakasampūrṇāstejovanto bṛhattarāḥ /	vRttAH Palaka-sampUrNAH-tejovantaH bRhattarAH /
   puruṣāste samākhyātā rekhābinduvivarjitāḥ // RCint_7.51 //	puruzAH-te samAKyAtAH reKA-bindu-vivarjitAH // RCint-_7.51 //
   <vajra:: strīvajra>	<vajra:: strI-vajra>
   rekhābindusamāyuktāḥ ṣaṭkoṇāste striyo matāḥ // RCint_7.52 //	reKA-bindu-samAyuktAH zaz-koNAH-te striyaH matAH // RCint-_7.52 //
   <vajra:: napuṃsaka>	<vajra:: napuMsaka>
   trikoṇāḥ pattalā dīrghā vijñeyāste napuṃsakāḥ // RCint_7.53 //	tri-koNAH pattalAH dIrGAH vijQeyAH-te napuMsakAH // RCint-_7.53 //
   <vajra:: properties of genders>	<vajra:: propertieH of gendeH-s>
   sarveṣāṃ puruṣāḥ śreṣṭhā vedhakā rasabandhakāḥ /	sarvezAm puruzAH SrezWAH veDakAH rasa-banDakAH /
   strīvajraṃ dehasiddhyarthaṃ krāmaṇe syānnapuṃsakam // RCint_7.54 //	strIvajram deha-sidDi-arTam krAmaNe syAt-napuMsakam // RCint-_7.54 //
   vipro rasāyane proktaḥ kṣatriyo roganāśane /	vipraH rasAyane proktaH kzatriyaH roga-nASane /
   vāde vaiśyaṃ vijānīyād vayaḥstambhe turīyakam // RCint_7.55 //	vAde vESyam vijAnIyAt vayaH-stamBe turIyakam // RCint-_7.55 //
   strī tu strīṇāṃ pradātavyā klībe klībaṃ tathaiva ca /	strI tu strINAm pradAtavyA klIbe klIbam taTA-eva ca /
   sarveṣāṃ sarvadā yojyāḥ puruṣā balavattarāḥ // RCint_7.56 //	sarvezAm sarvadA yojyAH puruzAH balavattarAH // RCint-_7.56 //
   <vajra:: śodhana>	<vajra:: SoDana>
   vyāghrīkandodare kṣiptvā saptadhā puṭitaḥ paviḥ /	vyAGrI-kanda-udare kziptvA saptaDA puwitaH paviH /
   hayamūtrasya nirvāpācchuddhaḥ pratipuṭaṃ bhavet // RCint_7.57 //	haya-mUtrasya nirvApAt-SudDaH pratipuwam Bavet // RCint-_7.57 //
   <vajra:: māraṇam>	<vajra:: mAraNam>
   trivarṣanāgavallyāśca kārpāsyā vātha mūlikām /	tri-varza-nAgavallyAH-ca kArpAsyA vA-aTa mUlikAm /
   piṣṭvā tanmadhyagaṃ vajraṃ kṛtvā mūṣāṃ nirodhayet /	pizwvA tad-maDya-gam vajram kRtvA mUzAm niroDayet /
   munisaṃkhyair gajapuṭairmriyate hyavicāritam // RCint_7.58 //	muni-saMKyEH gajapuwEH-mriyate hi-avicAritam // RCint-_7.58 //
   <vajra:: māraṇa>	<vajra:: mAraNa>
   maṇḍūkaṃ kāṃsyaje pātre nigṛhya sthāpayetsudhīḥ /	maNxUkam kAMsya-je pAtre nigRhya sTApayet-suDIH /
   sa bhīto mūtrayettatra tanmūtre vajramāvapet /	sa BItaH mUtrayet-tatra tad-mUtre vajram-Avapet /
   taptaṃ taptaṃ ca bahudhā vajrasyaivaṃ mṛtirbhavet // RCint_7.59 //	taptam taptam ca bahuDA vajrasya-evam mRtiH-Bavet // RCint-_7.59 //
   <vajra:: māraṇa>	<vajra:: mAraNa>
   hiṅgusaindhavasaṃyukte kvāthe kaulatthake kṣipet /	hiFgu-sEnDava-saMyukte kvATe kOlatTake kzipet /
   taptaṃ taptaṃ punarvajraṃ bhavedbhasma trisaptadhā // RCint_7.60 //	taptam taptam punar-vajram Bavet-Basma tri-saptaDA // RCint-_7.60 //
   <vajra:: bhasman:: use>	<vajra:: Basman:: use>
   rase yatra bhavedvajraṃ rasaḥ so'mṛtamucyate /	rase yatra Bavet-vajram rasaH saH-amRtam-ucyate /
   bhasmībhāvagataṃ yuktyā vajravat kurute tanum // RCint_7.61 //	BasmIBAva-gatam yuktyA vajra-vat kurute tanum // RCint-_7.61 //
   <vaikrānta:: śodhana>	<vEkrAnta:: SoDana>
   vaikrāntaṃ vajravacchodhyaṃ nīlaṃ śvetaṃ ca lohitam /	vEkrAntam vajra-vat-SoDyam nIlam Svetam ca lohitam /
   <vaikrānta:: phys. properties>	<vEkrAnta:: Pys. properties>
   vajralakṣaṇasaṃyuktaṃ dāhaghātāsahiṣṇu tat // RCint_7.62 //	vajra-lakzaNa-saMyuktam dAha-GAta-asahizNu tat // RCint-_7.62 //
   <vaikrānta:: māraṇa>	<vEkrAnta:: mAraNa>
   hayamūtreṇa tatsiñcettaptaṃ taptaṃ trisaptadhā /	haya-mUtreNa tat-siQcet-taptam taptam tri-saptaDA /
   pañcāṅgottaravāruṇyā liptaṃ mūṣāgataṃ puṭaiḥ // RCint_7.63 //	paQcAFga-uttaravAruNyA liptam mUzA-gatam puwEH // RCint-_7.63 //
   kuñjarākhyairmṛtiṃ yāti vaikrāntaṃ saptabhistathā /	kuQjara-AKyEH-mRtim yAti vEkrAntam saptaBiH-taTA /
   <vaikrānta:: substitute for vajra>	<vEkrAnta:: substitute foH vajra>
   bhasmībhūtaṃ tu vaikrāntaṃ vajrasthāne niyojayet // RCint_7.64 //	BasmIBUtam tu vEkrAntam vajra-sTAne niyojayet // RCint-_7.64 //
   <navaratnāni>	<navaratnAni>
   puṃvajraṃ garuḍodgāraṃ māṇikyaṃ vāsavopalam /	puMvajram garuxodgAram mANikyam vAsava-upalam /
   vaidūryapuṣpe gomedaṃ mauktikaṃ ca pravālakam /	vEdUrya-puzpe gomedam mOktikam ca pravAlakam /
   etāni navaratnāni sadṛśāni sudhārasaiḥ // RCint_7.65 //	etAni navaratnAni sadRSAni suDA-rasEH // RCint-_7.65 //
   <jewels:: śodhana>	<jewels:: SoDana>
   svedayeddolikāyantre jayantyā svarasena ca /	svedayet-dolikAyantre jayantyA svarasena ca /
   maṇimuktāpravālānāṃ yāmaike śodhanaṃ bhavet // RCint_7.66 //	maNi-muktA-pravAlAnAm yAma-eke SoDanam Bavet // RCint-_7.66 //
   <jewels:: special śodhana>	<jewet-s:: speciat SoDana>
   śudhyatyamlena māṇikyaṃ jayantyā mauktikaṃ tathā /	SuDyati-amlena mANikyam jayantyA mOktikam taTA /
   vidrumaṃ kṣāravargeṇa tārkṣyaṃ godugdhatastathā // RCint_7.67 //	vidrumam kzAravargeNa tArkzyam go-dugDataH-taTA // RCint-_7.67 //
   puṣyarāgaṃ ca saṃdhānaiḥ kulatthakvāthasaṃyutaiḥ /	puzyarAgam ca saMDAnEH kulatTa-kvATa-saMyutEH /
   taṇḍulīyajalairvajraṃ nīlaṃ nīlīrasena ca // RCint_7.68 //	taNxulIya-jalEH-vajram nIlam nIlI-rasena ca // RCint-_7.68 //
   rocanābhiśca gomedaṃ vaidūryaṃ triphalājalaiḥ /	rocanABiH-ca gomedam vEdUryam triPalA-jalEH /
   <jewels:: śodhana:: imparts additional qualities>	<jewels:: SoDana:: impartH additiaH-nal qualities>
   muktādiṣvaviśuddheṣu na doṣaḥ syācca śāstrataḥ /	mukta-Adizu-aviSudDezu na dozaH syAt-ca SAstrataH /
   tathāpi guṇavṛddhiḥ syācchodhanena viśeṣataḥ // RCint_7.69 //	taTA-api guNa-vRdDiH syAt-SoDanena viSezataH // RCint-_7.69 //
   <dhātu, uparasa:: śodhana>	<DAtu, uparasa:: SoDana>
   amlakṣāravipācitaṃ tu sakalaṃ lauhaṃ viśuddhaṃ bhavenmākṣīko'pi śilāpi	amla-kzAra-vipAcitam tu sakalam lOham viSudDam Bavet-mAkzIkaH-api SilA-api
   tutthagaganaṃ tālaṃ ca samyaktathā /	tutTa-gaganam tAlam ca samyak-taTA /
   muktāvidrumaśuktikātha capalāḥ śaṅkhā varāṭāḥ śubhā jāyante'mṛtasannibhāḥ	muktA-vidruma-SuktikA-aTa capalAH SaFKAH varAwAH SuBAH jAyante-amRta-sanniBAH
   payasi ca kṣiptaḥ śubhaḥ syādbaliḥ // RCint_7.70 //	payasi ca kziptaH SuBaH syAt-baliH // RCint-_7.70 //
   <jewels:: māraṇa>	<jewet-s:: mAraNa>
   lakucadrāvasampiṣṭaiḥ śilāgandhakatālakaiḥ /	lakuca-drAva-sampizwEH SilA-ganDaka-tAlakEH /
   vajraṃ vinānyaratnāni mriyante'ṣṭapuṭaiḥ khalu // RCint_7.71 //	vajram vinA-anya-ratnAni mriyante-azwa-puwEH Kalu // RCint-_7.71 //
   <jewels:: māraṇa>	<jewet-s:: mAraNa>
   kumāryā taṇḍulīyena stanyena ca niṣecayet /	kumAryA taNxulIyena stanyena ca nizecayet /
   pratyekaṃ saptavelaṃ ca taptataptāni kṛtsnaśaḥ // RCint_7.72 //	pratyekam sapta-velam ca tapta-taptAni kRtsnaSas // RCint-_7.72 //
   mauktikāni pravālāni tathā ratnānyaśeṣataḥ /	mOktikAni pravAlAni taTA ratnAni-aSezatas /
   kṣaṇādvividhavarṇāni mriyante nātra saṃśayaḥ // RCint_7.73 //	kzaNAt-viviDa-varNAni mriyante na-atra saMSayaH // RCint-_7.73 //
   <jewels:: śodhana, māraṇa>	<jewels:: SoDana, mAraNa>
   vajravat sarvaratnāni śodhayenmārayet tathā // RCint_7.74 //	vajra-vat sarva-ratnAni SoDayet-mArayet taTA // RCint-_7.74 //
   <haritāla:: śodhana>	<haritAla:: SoDana>
   tālakaṃ poṭṭalīṃ baddhvā sacūrṇe kāñjike kṣipet /	tAlakam powwalIm badDvA sa-cUrNe kAQjike kzipet /
   dolāyantreṇa yāmaikaṃ tataḥ kūṣmāṇḍaje rase // RCint_7.75 //	dolAyantreNa yAma-ekam tatas kUzmANxa-je rase // RCint-_7.75 //
   tilataile pacedyāmaṃ yāmaṃ tattraiphale jale /	tila-tEle pacet-yAmam yAmam tat-trEPale jale /
   dolāyantre caturyāmaṃ pakvaṃ śudhyati tālakam // RCint_7.76 //	dolAyantre catur-yAmam pakvam SuDyati tAlakam // RCint-_7.76 //
   <haritāla:: śuddha:: medic. properties>	<haritAla:: SudDa:: medic. properties>
   sa śuddhaḥ kāntivīrye ca kurute mṛtyunāśanaḥ // RCint_7.77 //	sa SudDaH kAnti-vIrye ca kurute mRtyu-nASanaH // RCint-_7.77 //
   <haritāla:: sattva:: pātanam>	<haritAla:: sattva:: pAtanam>
   lākṣārājī tilāḥ śigruṣṭaṅkaṇaṃ lavaṇaṃ guḍam /	lAkzA-rAjI tilAH SigruH-waFkaNam lavaNam guxam /
   tālakārdhena saṃmiśrya chidramūṣyāṃ nirodhayet /	tAlaka-arDena saMmiSrya CidramUzyAm niroDayet /
   puṭetpātālayantreṇa sattvaṃ patati niścitam // RCint_7.78 //	puwet-pAtAlayantreNa sattvam patati niScitam // RCint-_7.78 //
   <haritāla:: sattva:: pātana>	<haritAla:: sattva:: pAtana>
   jaipālasattvavātāribījamiśraṃ ca tālakam /	jEpAla-sattva-vAtAri-bIja-miSram ca tAlakam /
   kūpīsthaṃ vālukāyantre sattvaṃ muñcati yāmataḥ // RCint_7.79 //	kUpI-sTam vAlukAyantre sattvam muQcati yAmataH // RCint-_7.79 //
   <indusundarī>	<indusundarI>
   bhṛṣṭaṭaṅkaṇatālasya lauhaparpaṭaveṣṭitā /	BRzwa-waFkaNa-tAlasya lOha-parpawa-vezwitAH /
   guṭikā gurumārgeṇa dhmātā syād indusundarī // RCint_7.80 //	guwikA guru-mArgeNa DmAtA syAt indusundarI // RCint-_7.80 //
   hiṅgulasya ca dārasya tālakādeśca bandhane /	hiFgulasya ca dArasya tAlaka-AdeH-ca banDane /
   lauhapattryā bahirlepo bhaktāṅgārarasena ca // RCint_7.81 //	lOha-pattryA bahis-lepaH Bakta-aFgAra-rasena ca // RCint-_7.81 //
   <manaḥśilā:: sattva:: pātana>	<manaHSilA:: sattva:: pAtana>
   tālavacca śilāsattvaṃ grāhyaṃ taireva bheṣajaiḥ // RCint_7.82 //	tAla-vat-ca SilA-sattvam grAhyam tEH-eva BezajEH // RCint-_7.82 //
   <tuttha:: sattva:: pātana>	<tutTa:: sattva:: pAtana>
   tulyaṃ ṭaṅkaṇakaṃ grāhyaṃ dhmāte sattvaṃ ca tutthake // RCint_7.83 //	tulyam waFkaNakam grAhyam DmAte sattvam ca tutTake // RCint-_7.83 //
   <mākṣika:: sattva:: pātana>	<mAkzika:: sattva:: pAtana>
   ūrṇā lākṣā guḍaśceti puraṭaṅkaṇakaiḥ saha /	UrNA lAkzA guxaH-ca-iti pura-waFkaNakEH saha /
   saṃmardyaṃ vaṭikāḥ kāryāśchāgīdugdhena yatnataḥ /	saMmardyam vawikAH kAryAH-CAgI-dugDena yatnatas /
   dhmātāstāpyasya tīvrāgnau sattvaṃ muñcati lohitam // RCint_7.84 //	DmAtAH-tApyasya tIvra-agnO sattvam muQcati lohitam // RCint-_7.84 //
   <mahārasa:: sattva:: pātana>	<mahArasa:: sattva:: pAtana>
   evaṃ tālaśilādhātur vimalākharparādayaḥ /	evam tAla-SilADAtuH vimalA-Karpara-AdayaH /
   muñcanti nijasattvāni dhamanāt koṣṭhikāgninā // RCint_7.85 //	muQcanti nija-sattvAni DamanAt kozWikA-agninA // RCint-_7.85 //
   <kāsīsa:: sattvapātana (?), mṛdūkaraṇa (?)>	<kAsIsa:: sattva-pAtana (?), mRdUkaraNaH (?)>
   śilayā gandhakenāpi bharjitaḥ kṣoditaḥ khagaḥ /	SilayA ganDakena-api BarjitaH kzoditaH KagaH /
   mudritastāmrapātreṇa liptaḥ syād dhmāpito mṛduḥ // RCint_7.86 //	mudritaH-tAmra-pAtreNa liptaH syAt DmApitaH mRduH // RCint-_7.86 //
   <mākṣika:: sattva:: pātana>	<mAkzika:: sattva:: pAtana>
   samagandhaṃ caturyāmaṃ paktvā tāpyaṃ tataḥ pacet /	sama-ganDam catur-yAmam paktvA tApyam tatas pacet /
   ardhagandhaṃ yāmayugmaṃ bhṛṣṭaṭaṅkārdhasaṃyutam /	arDa-ganDam yAma-yugmam BRzwa-waFka-arDa-saMyutam /
   andhamūṣāgataṃ dhmātaṃ sattvaṃ muñcati śulvavat // RCint_7.87 //	anDamUzA-gatam DmAtam sattvam muQcati Sulva-vat // RCint-_7.87 //
   <guṭī aus versch. Stoffen -> varṇotkarṣa (Goldherstellung)>	<guwI OH versC. Stoffet -> varNa-utkarzaH (Ga-ulDeH-H-tellung)>
   bhrāmayedbhasmamūṣāyāṃ tāpyaṃ gandhakaṭaṅkaṇam /	BrAmayet-BasmamUzAyAm tApyam ganDaka-waFkaNam /
   guṭī bhavati pītābhā varṇotkarṣavidhāyinī // RCint_7.88 //	guwI Bavati pIta-ABA varNa-utkarza-viDAyinI // RCint-_7.88 //
   <guṭī:: for varṇotkarṣa>	<guwI:: foH varNa-utkarza>
   tāpyasya khaṇḍakānsapta dahennāgamṛdantare /	tApyasya KaNxakAn-sapta dahet-nAga-mRd-antare /
   dhmāpitā ṭaṅkaṇenaiva guṭībhavati pūrvavat // RCint_7.89 //	DmApitA waFkaNena-eva guwIBavati pUrvavat // RCint-_7.89 //
   <bhūnāga:: sattva:: pātana>	<BUnAga:: sattva:: pAtana>
   sadyo bhūnāgamādāya cārayecchikhinaṃ budhaḥ /	sadyas BUnAgam-AdAya cArayet-SiKinam buDaH /
   athavā kukkuṭaṃ vīraṃ kṛtvā mandiramāgatam // RCint_7.90 //	aTavA kukkuwam vIram kRtvA mandiram-Agatam // RCint-_7.90 //
   malaṃ mūtraṃ gṛhītvāsya saṃtyajya prathamāṃśikam /	malam mUtram gRhItvA-asya saMtyajya praTama-aMSikam /
   āloḍya kṣāramadhvājyair dhamet sattvārtham ādarāt // RCint_7.91 //	Aloxya kzAra-maDu-AjyEH Damet sattva-arTam AdarAt // RCint-_7.91 //
   muñcati tāmravatsattvaṃ tanmudrājalapānataḥ /	muQcati tAmra-vat-sattvam tad-mudrA-jala-pAnataH /
   naśyati jaṅgamaviṣaṃ sthāvaraṃ ca na saṃśayaḥ // RCint_7.92 //	naSyati jaFgama-vizam sTAvaram ca na saMSayaH // RCint-_7.92 //
   <bhūnāga:: sattva:: pātana>	<BUnAga:: sattva:: pAtana>
   kṣīreṇa paktvā bhūnāgāṃstanmṛdā vātha ṭaṅkaṇaiḥ /	kzIreNa paktvA BUnAgAn=-tad-mRdA vA-aTa waFkaNEH /
   bhṛṣṭaiścakrīṃ vidhāyātha pātyaṃ sattvaṃ prayatnataḥ // RCint_7.93 //	BRzwEH-cakrIm viDAya-aTa pAtyam sattvam prayatnataH // RCint-_7.93 //
   yatroparasabhāgo'sti rase tatsattvayojanam /	yatra-uparasa-BAgaH-asti rase tad-sattva-yojanam /
   kartavyaṃ tatphalādhikyaṃ rasajñatvam abhīpsatā // RCint_7.94 //	kartavyam tad-Pala-ADikyam rasa-jQa-tvam aBIpsatA // RCint-_7.94 //
   <manaḥśilā:: śodhanam>	<manaHSilA:: SoDanam>
   jayantikādrave dolāyantre śudhyenmanaḥśilā /	jayantikA-drave dolAyantre SuDyet-manaHSilA /
   dinamekamajāmūtre bhṛṅgarājarase'pi vā // RCint_7.95 //	dinam-ekam-ajA-mUtre BRFgarAja-rase-api vA // RCint-_7.95 //
   <manaḥśilā:: śuddha:: medic. properties>	<manaHSilA:: SudDa:: medic. properties>
   śilā snigdhā kaṭustiktā kaphaghnī lekhanī sarā // RCint_7.96 //	SilA snigDA kawuH-tiktA kaPa-GnI leKanI sarAH // RCint-_7.96 //
   <manaḥśilā:: removes kālimā>	<manaHSilA:: removeH kAlimA>
   kūpikādau parīpākātsvarṇasya kālimāpahā /	kUpikA-AdO parIpAkAt-svarNasya kAlima-apahA /
   <manaḥśilā:: drāvaṇa>	<manaHSilA:: drAvaNa>
   kaṭutaile śilācampakadalyantaḥ saratyapi // RCint_7.97 //	kawutEle SilA-campa-kadalI-antar sarati-api // RCint-_7.97 //
   <rasaka:: śodhanam>	<rasaka:: SoDanam>
   naramūtre ca gomūtre jalāmle vā sasaindhave /	nara-mUtre ca go-mUtre jala-amle vA sa-sEnDave /
   saptāhaṃ tridinaṃ vāpi pakvaḥ śudhyati kharparaḥ // RCint_7.98 //	sapta-aham tri-dinam vA-api pakvaH SuDyati KarparaH // RCint-_7.98 //
   <tuttha:: śodhana>	<tutTa:: SoDana>
   ekaḥ sūtastathā pītiścaturbhekāstridārakaḥ /	ekaH sUtaH-taTA pItiH-catur-BekAH-tri-dArakaH /
   bījapiṣṭaḥ pikajvālair bheko baddho'ndhaveśmani // RCint_7.99 //	bIja-pizwaH pika-jvAlEH BekaH badDaH-anDa-veSmani // RCint-_7.99 //
   viṣṭhayā mardayettutthaṃ samam otor daśāṃśatā /	vizWayA mardayet-tutTam samam otoH daSa-aMSa-tA /
   ṭaṅkaṇena samaṃ piṣṭvāthavā laghupuṭe pacet /	waFkaNena samam pizwvA-aTavA laGu-puwe pacet /
   tutthaṃ śuddhaṃ bhavetkṣaudre puṭitaṃ vā viśeṣataḥ // RCint_7.100 //	tutTam SudDam Bavet-kzOdre puwitam vA viSezataH // RCint-_7.100 //
   <tuttha:: śuddha:: bodily reaction>	<tutTa:: SudDa:: bodilI reaction>
   vāntirbhrāntiryadā na stastadā śuddhiṃ vinirdiśet // RCint_7.101 //	vAntiH-BrAntiH-yadA na staH-tadA SudDim vinirdiSet // RCint-_7.101 //
   <tuttha:: śuddha:: medic. properties>	<tutTa:: SudDa:: medic. properties>
   lekhanaṃ bhedi ca jñeyaṃ tutthaṃ kaṇḍukrimipraṇut // RCint_7.102 //	leKanam Bedi ca jQeyam tutTam kaNxu-krimi-praNud // RCint-_7.102 //
   <mākṣika:: śodhana>	<mAkzika:: SoDana>
   agastyapatraniryāsaiḥ śigrumūlaṃ supeṣitam /	agastya-patra-niryAsEH Sigru-mUlam su-pezitam /
   tanmadhye puṭitaṃ śudhyet tāpyaṃ tvamlena pācitam // RCint_7.103 //	tad-maDye puwitam SuDyet tApyam tu-amlena pAcitam // RCint-_7.103 //
   <mākṣika:: śodhana>	<mAkzika:: SoDana>
   sindhūdbhavasya bhāgaikaṃ tribhāgaṃ mākṣikasya ca /	sinDUdBavasya BAga-ekam tri-BAgam mAkzikasya ca /
   mātuluṅgarasairvāpi jambīrotthadraveṇa vā // RCint_7.104 //	mAtuluFga-rasEH-vA-api jambIra-utTa-draveNa vA // RCint-_7.104 //
   kṛtvā tadāyase pātre lauhadarvyā ca cālayet /	kRtvA tat-Ayase pAtre lOha-darvyA ca cAlayet /
   sindūrābhaṃ bhavedyāvat tāvanmṛdvagninā pacet /	sindUra-ABam Bavet-yAvat tAvat-mRdu-agninA pacet /
   suśuddhaṃ mākṣikaṃ vidyātsarvarogeṣu yojayet // RCint_7.105 //	su-SudDam mAkzikam vidyAt-sarva-rogezu yojayet // RCint-_7.105 //
   <mākṣika:: māraṇa>	<mAkzika:: mAraNa>
   mākṣikasya caturthāṃśaṃ gandhaṃ dattvā vimardayet /	mAkzikasya caturTa-aMSam ganDam dattvA vimardayet /
   urūvūkasya tailena tataḥ kuryātsucakrikām // RCint_7.106 //	urUvUkasya tElena tatas kuryAt-su-cakrikAm // RCint-_7.106 //
   śarāvasaṃpuṭe dhṛtvā puṭedgajapuṭena ca /	SarAva-saMpuwe DRtvA puwet-gajapuwena ca /
   sindūrābhaṃ bhavedbhasma mākṣikasya na saṃśayaḥ // RCint_7.107 //	sindUra-ABam Bavet-Basma mAkzikasya na saMSayaH // RCint-_7.107 //
   <mākṣika:: mṛta:: medic. properties>	<mAkzika:: mRta:: medic. properties>
   mākṣikaṃ tiktamadhuraṃ mohārśaḥkrimikuṣṭhanut /	mAkzikam tikta-maDuram moha-arSaH-krimi-kuzWa-nud /
   kaphapittaharaṃ balyaṃ yogavāhi rasāyanam // RCint_7.108 //	kaPa-pitta-haram balyam yogavAhi rasAyanam // RCint-_7.108 //
   <vimala:: śodhana>	<vimala:: SoDana>
   jambīrasya rase svedo meṣaśṛṅgīrase 'thavā /	jambIrasya rase svedaH mezaSRFgI-rase aTavA /
   rambhātoyena vā pāko ghasraṃ vimalaśuddhaye // RCint_7.109 //	ramBA-toyena vA pAkaH Gasram vimala-SudDaye // RCint-_7.109 //
   <kāsīsa:: śodhana>	<kAsIsa:: SoDana>
   sakṛdbhṛṅgāmbunā svinnaṃ kāsīsaṃ nirmalaṃ bhavet // RCint_7.110 //	sakRt-BRFga-ambunA svinnam kAsIsam nirmalam Bavet // RCint-_7.110 //
   <kāsīsa:: śuddha:: medic. properties>	<kAsIsa:: SudDa:: medic. properties>
   kāsīsaṃ śītalaṃ snigdhaṃ śvitranetrarujāpaham /	kAsIsam SItalam snigDam Svitra-netra-rujA-apaham /
   pittāpasmāraśamanaṃ rasavad guṇakārakam // RCint_7.111 //	pitta-apasmAra-Samanam rasa-vat guNa-kArakam // RCint-_7.111 //
   <kānta:: śodhanam>	<kAnta:: SoDanam>
   lavaṇāni tathā kṣārau śobhāñjanarase kṣipet /	lavaNAni taTA kzArO SoBAQjana-rase kzipet /
   amlavargayutenādau dine gharme vibhāvayet // RCint_7.112 //	amlavarga-yutena-AdO dine Garme viBAvayet // RCint-_7.112 //
   taddravairdolikāyantre divasaṃ pācayet sudhīḥ /	tad-dravEH-dolikAyantre divasam pAcayet suDIH /
   kāntapāṣāṇaśuddhau tu rasakarma samācaret // RCint_7.113 //	kAntapAzANa-SudDO tu rasakarma samAcaret // RCint-_7.113 //
   <money cowrie:: phys. properties>	<moneH cowrie:: Pys. properties>
   pītābhā granthilā pṛṣṭhe dīrghavṛttā varāṭikā /	pIta-ABA granTilA pRzWe dIrGavRttA varAwikA /
   <money cowrie:: optimal weight>	<moneH cowrie:: opti-mat weiGt>
   sārdhaniṣkabharā śreṣṭhā niṣkabhārā ca madhyamā /	sArDa-nizka-BarA SrezWA nizka-BArA ca maDyamA /
   pādonaniṣkabhārā ca kaniṣṭhā parikīrtitā // RCint_7.114 //	pAda-Una-nizka-BArA ca kanizWA parikIrtitAH // RCint-_7.114 //
