   atha trayoviṃśaṃ pūraṇam	aTa trayoviMSam pUraNam
   mayāvajñayā nātiyogyā eva tatra viniyogyāḥ kṛtāḥ | sa tu dāraka iti	mayA avajQayA na atiyogyAH eva tatra viniyogyAH kRtAH | sa tu dArakaH iti
   buddhyā | kintu sphuṭam asau sarveṣāṃ dāraka eva jātaḥ | tataḥ	budDyA | kintu sPuwam asO sarvezAm dArakaH eva jAtaH | tatas 
   kausīdya khidyamānatayā bhavantāv anuyujyete | kim iha yujyata iti |	kOsIdya  KidyamAna tayA BavantO anuyujyete | kim iha yujyate iti |
   [4] tāv ūcatuḥ deva tad etad eva pratīkṣya sthiratayābhīkṣṇaṃ vartāvahe |	[4] tO UcatuH deva tat etat eva pratIkzya sTira tayA aBIkzNam vartAvahe |
   sāmprataṃ tu sāmpratam ājñāpyatām | athavā kim ājñāpanayā | vināpi tāṃ	sAmpratam tu sAmpratam AjQApyatAm | aTavA kim AjQApanayA | vinA api tAm
   viniyuktā eva yukta sevakatayā vayam ity utthāya sābhyutthāna praṇāmaṃ	viniyuktAH eva yukta  sevaka tayA vayam iti utTAya sa aByutTAna  praNAmam
   prasthitayos tayoḥ kaṃsaḥ śaśaṃsa |	prasTitayoH tayoH kaMsaH SaSaMsa |
   [5] ariṣṭas tāvat pratiṣṭhatām | iṣṭāpatti vipattitas tu keśī ca	[5] arizwaH tAvat pratizWatAm | izwApatti vipattitaH tu keSI ca
   tat prativeśa veśī bhavitā | tad etad avadhāya tau ca gṛham āgatya	tat  prativeSa  veSI BavitA | tat etat avaDAya tO ca gRham Agatya
   sātatyata eva tad artham ājagṛhatuḥ |	sAtatyate eva tad  arTam AjagRhatuH |
   [6] atha kadācil lohitāyamāne sāyaṃ mārtaṇḍa raśmi maṇḍale nāmnāriṣṭaḥ	[6] aTa kadAcid lohitAyamAne sAyam mArtaNxa  raSmi  maNxale nAmnA arizwaH
   sarva diviṣa dariṣṭaḥ sarvatra ca raṃhasā jaṅghanyamānaḥ sarvāṃś cāghnā	sarva di viza darizwaH sarvatra ca raMhasA jaFGanyamAnaH sarvAn ca aGnA
   jeghnīyamānaḥ śrīmantaṃ goṣṭha dvārāntam ājagāma |	jeGnIyamAnaH SrImantam gozWa dvAra antam AjagAma |
   [8] yadā hi citrāyuta pūrṇa candrāṃ pūrṇimām anu turṇita cetāḥ	[8] yadA hi citra ayuta  pUrNa  candrAm pUrNimAm anu turNita  cetAH
   sva sukha vardhana govardhana vilokana kāmanayā śrī rāma kaniṣṭhaḥ kiṃcid	sva  suKa varDana  govarDana  vilokana kAmanayA SrI rAma  kanizWaH kiMcid 
   dūraṃ praviṣṭa āsīt | tataś ca 	dUram pravizwaH AsIt | tatas ca 
   bhū kampa kramaṇān mahīdhra calanaṃ tasyāgater vāri bhṛd 	BU kampa kramaNAt mahIDra  calanam tasya AgateH vAri BRt  
   vikṣobhaṃ nadanān niśācara varaṃ vaikṛtyabhāg ākṛteḥ |	vikzoBam nadanAt niSAcara varam vEkRtya BAg A kRteH |
   tad rūpādri viniścayaṃ kakudi vār mug vṛnda saṅghaṭṭanād unnīya	tad  rUpa adri  viniScayam kakudi vAr mug  vRnda  saFGawwanAt unnIya
   vrajaga prajā diśi diśi drāk kāndiśīkyaṃ gatāḥ ||JGc_1,31.1|| kiṃcit	vraja ga  prajAH diSi diSi drAk kAndiSIkyam gatAH ||JGc_1,31.1|| kiMcid 
   kiṃcin mūtraṇād āpagānāṃ	kiMcid mUtraNAt ApagAnAm
   gūtha tyāgād gaṇḍa śailāvalīnām | sṛṣṭiṃ kartā paśyatāriṣṭa nāmā	gUTa tyAgAt gaNxa  SEla avalInAm | sRzwim kartA paSyatA arizwa nAmA
   devāriṣṭaḥ parvatātmā pratītaḥ ||JGc_1,31.2|| vṛṣa dambhī sa saṃrambhaṃ	deva arizwaH parvata AtmA pratItaH ||JGc_1,31.2|| vRza damBI sa  saMramBam
   rambhaṇaṃ yad vyadhād asau | tenāsīd vyakta sandarbhaḥ svayaṃ	ramBaNam yat  vyaDAt asO | tena AsIt vyakta  sandarBaH svayam
   go garbha pātinā ||JGc_1,31_3|| vapraṃ yadāpaskirate sma śṛṅgā 	go garBa  pAtinA ||Ju c_1,31_3|| vapram yadA apaskirate sma SRFgA 
   dibhir vikurvāṇatā vṛṣaḥ saḥ | tadākhilaṃ gokulam āśu mṛdbhiḥ	diBiH vikurvANa tA vRzaH saH | tadA aKilam gokulam ASu mRdBiH
   pracchannam āsīd vana maṇḍalaṃ ca ||JGc_1,31.4|| yatra tatra khuram	pracCannam AsIt vana  maNxalam ca ||Ju c_1,31.4|| yatra tatra Kuram
   ādadhāti	AdaDAti
   sa kṣmāpi tatra valate vidīrṇatām | netra tulya vilataḥ samucchritaṃ	sa kzmA api tatra valate vidIrNa tAm | netra  tulya  vilataH samucCritam
   vāri rodana nibhaṃ bibharti ca ||JGc_1,31.5|| [9] tatra lokānāṃ vacanaṃ 	vAri rodana  niBam biBarti ca ||JGc_1,31.5|| [9] tatra lokAnAm vacanaM 
   jātu mātu girireṣa samantād  uccalann api tathāvidha mūrteḥ | kiṃ tu	jAtu mAtu giriH eza samantAd uccalan api taTAviDa mUrteH | kim tu
   śṛṅga talagaṃ ravi yugmaṃ	SRFga tala gam ravi  yugmam
   hā vyasismayata gokula lokam ||JGc_1,31.6|| iti |	hA vyasismayata go kula  lokam ||Ju c_1,31.6|| iti |
   [10] evam udghnatā gavām udghnān nighnatā ca sarvaṃ vastu prastubhyatā	[10] evam udGnatA gavAm udGnAt niGnatA ca sarvam vastu prastuBya tA
   cāriṣṭena kṛtād ākruṣṭāt kaṣṭam anuspṛṣṭavantas te goṣṭha niṣṭhā	ca arizwena kRtAt AkruzwAt kazwam anuspRzwavantaH te gozWa nizWA
   go nara prakṛṣṭāḥ kṛṣṇāya muhur vikṛṣṭavantaḥ |	go nara  prakRzwAH kRzNAya muhur vikRzwavantaH |
   [11] sūrataḥ sa tu dūratas teṣām avagata vikrośana leśa mātraṃ kutrāpy	[11] sUrataH sa tu dUratas tezAm avagata  vikroSana  leSa  mAtram kutra api 
   akṛta yātra iva saṃmukhata evāvatasthe | avasthāya ca mā bhaiṣṭety abhayam	akRta yAtraH iva saMmuKataH eva avatasTe | avasTAya ca mA BEzwa iti aBayam
   uddiṣṭaṃ vidhāya krodhāviṣṭas tam ariṣṭam ājuhāva	uddizwam viDAya kroDa AvizwaH tam arizwam AjuhAva
   balīvarda krodha vardhana narda viśeṣeṇa | tad idaṃ tu taṃ prati samprati	balIvarda   kroDa varDana  narda  viSezeNa | tat idam tu tam prati samprati
   sukarārdanas tvam asīti jñāpanāya |	sukara ardanaH tvam asi iti jQApanAya |
   [12] atha covāca, yathā 	[12] aTa ca uvAca, yaTA 
   sapālaiḥ paśubhir manda trāsitaiḥ kim asattama | mayi śāstari duṣṭānāṃ	sa pAlEH paSuBiH manda trAsitEH kim asattamaH | mayi SAstari duzwAnAm
   tvad vidhānāṃ durātmanām ||[BhP 10.36.7] iti |	tvad  viDAnAm durAtmanAm ||[Bhj 10.36.7] iti |
   punaś ca 	punar ca 
   piṇḍīśūra vidūraḥ san krūratāṃ tvaṃ kim ṛcchasi | sāmudra pūra iva māṃ	piNxI SUra vidUraH san krUra tAm tvam kim RcCasi | sAmudra  pUraH iva mAm
   kumbha jātaṃ prapūrayeti ||JGc_1,31.7||[13] tad idaṃ ca tasya gāṃ manyasya	kumBa jAtam prapUraya iti ||Ju c_1,31.7||[13] tat idam ca tasya gAM m anyasya
   jighāṃsayā lokānāṃ gotva bhramāpagamanayā coktavān iti gamyate | kiṃ ca 	jiGAMsayA lokAnAm go tva  Brama apagamanayA ca uktavAn iti gamyate | kim ca 
   āsphoṭanaṃ kṛtam anena tadā yad asmād  āsphoṭanaṃ samabhavad	AsPowanam kRtam anena tadA yat asmAd AsPowanam samaBavat 
   danuja śrutīnām | ko' yaṃ cakāra sa tu yad vṛsabhas tad	danuja  SrutInAm | kaH a yam cakAra sa tu yat vRsaBaH tat 
   uccaiḥ kopaṃ ca varṣa śiśuvan nahi jāhasīti ||JGc_1,31.8|| kṛṣṇaḥ sakhyuḥ	uccEs kopam ca varza SiSu vat na hi jAhasi iti ||JGc_1,31.8|| kRzNaH saKyuH
   skandha deśe sva bāhuṃ	skanDa  deSe sva bAhum
   nikṣipyāsāv uddhasann eva tasthau | yena krodhaṃ vardhayāmāsa tasya	nikzipya asO udDasan eva tasTO | yena kroDam varDayAmAsa tasya
   preyo vargāṇāṃ ca sandeha sargam ||JGc_1,31.9|| vṛṣas tv asau raja iva	preyo vargANAm ca sandeha  sargam ||JGc_1,31.9|| vRzaH tu asO rajaH iva
   puccha mārjanī  paribhramair ghana gaṇa lakṣam utkṣipan | kṣitiṃ kṣatām	pucCa  mArjanI pariBramEH Gana  gaNa lakzam utkzipan | kzitim kzatAm
   atha khura vajra vijvalat  khanitrakair vidadhad agād dhariṃ prati	aTa Kura  vajra  vijvalat KanitrakEH vidaDat agAt Darim prati
   ||JGc_1,31_10|| sa vajrati sma na param āśu vidravaṃ	||JGc_1,31_10|| sa vajrati sma na param ASu vidravam
   prati dviṣat pratirutatī vratāṃ prati | na kevalaṃ harir iha hā samāyayau	prati dvizat  pratirutatI vratAm prati | na kevalam hariH iha hA samAyayO
   sakhāpi yaḥ parikṛta tad bhujāṃsakaḥ ||JGc_1,31.11||[14] tādṛśatayā	saKA api yaH parikRta  tad Buja aMsakaH ||JGc_1,31.11||[14] tAdRSa tayA
   spaṣṭam aviprakṛṣṭe ca tasmin śrīmān kṛṣṇas tu śṛṅga dvayam evābhijagrāha,	spazwam aviprakRzwe ca tasmin SrImAn kRzNaH tu SRFga dvayam eva aBijagrAha,
   yathā 	yaTA 
   śṛṅge ye pūrvatāṃ nīte jayāya vṛṣa rakṣasā | sva sandānāya te sṛṣṭe	SRFge ye pUrva tAm nIte jayAya vRza rakzasA | sva sandAnAya te sRzwe
   kṛṣṇa doṣṇor vaśaṃ gate ||JGc_1,31.12||	kRzNa dozNoH vaSam gate ||JGc_1,31.12||
   bāhu pāśa sita tīvra śṛṅgakaḥ	bAhu  pASa sita  tIvra SRFgakaH
   sa sphuṭaṃ pratimukhaṃ sarann api | pratyag aṣṭādaśa ca kramān balād	sa sPuwam pratimuKam saran api | pratyak azwAdaSa ca kramAn balAt 
   dity apatya ripuṇāpayāpitaḥ ||JGc_1,31.13|| ayam uddhutas tad iha nāsti	dity apatya ripuNA apayApitaH ||JGc_1,31.13|| ayam udDutaH tat iha na asti
   bhāratā	BAratA
   na phalaṃ vinodana kalā vinodataḥ | iti mādhavaḥ sphuṭam ariṣṭam utkṣipan	na Palam vinodana kalA  vinodataH | iti mADavaH sPuwam arizwam utkzipan
   nati rīḍhayā bata vivṛttim āṭiṭat ||JGc_1,31.14|| vyavartata hari kṣiptaḥ	nati  rIXayA bata vivRttim Awiwat ||JGc_1,31.14|| vyavartata hari kziptaH
   paraṃ nokṣāsuraḥ kṣitau | hāsāveśa vaśe kṣiptaḥ svarge' pi svargiṇāṃ gaṇaḥ	param na ukza AsuraH kzitO | hAsa AveSa  vaSe kziptaH svarge a pi svargiNAm gaNaH
   ||JGc_1,31_15|| papāta pucchaṃ bhuvi śṛṅgayor balāc	||JGc_1,31_15|| papAta pucCam Buvi SRFgayoH balAt 
   chṛṅge tu pucchasya nipetatur bhuvi | pṛṣṭhāṅghri caivaṃ vṛṣa rakṣasas	CRFge tu pucCasya nipetatuH Buvi | pRzWa aFGri ca evam vRza rakzasas
   tadā	tadA
   yuktaṃ tad asmin viparīta kāriṇi ||JGc_1,31.16|| tajjā lajjāpy utthitā	yuktam tat asmin viparIta  kAriNi ||JGc_1,31.16|| tad jAH lajjA api utTitA
   tasya so' pi	tasya saH a pi
   pratyuttasthāv abhyayuṅktāpi bhūyaḥ | kṛṣṇas tv enaṃ pātayan vāma śṛṅge 	pratyutta sTO aByayuFktA api BUyas | kRzNaH tu enam pAtayan vAma SRFge 
   ṇotkṛttenāmuṣya vaktraṃ cukuṭṭa ||JGc_1,31.17||[14] śṛṅgotpāṭaṇaṃ	Na utkRttena amuzya vaktram cukuwwaH ||JGc_1,31.17||[14] SRFga utpAwaNam
   ghaṭayaṃs tv idam ācaṣṭa 	Gawayan tu idam Acazwa 
   abhadrasyāpi bhavato bhadrākṛti vidha sariṇaḥ | viṣāṇa muṇḍanād	aBadrasya api BavataH Badra AkRti viDa  sariNaH | vizANa  muNxanAt 
   bhadrākṛtir eva praśasyate ||JGc_1,31.18|| athārdra vasanaṃ yathā	Badra AkRtiH eva praSasyate ||JGc_1,31.18|| aTa Ardra vasanam yaTA
   parinipīḍayan jīvanaṃ	parinipIxayan jIvanam
   vikarṣati janas tathā tam akarod ariṣṭaṃ hariḥ | malāni ca yadākirac	vikarzati janaH taTA tam akarot arizwam hariH | malAni ca yadAkirac
   chamala mūtra raktādikāny	Camala  mUtra  rakta AdikAni 
   asyau parama śuddhatām api jagāma kaivalyataḥ ||JGc_1,31.19|| layaṃ	asyO parama  SudDa tAm api jagAma kEvalyataH ||JGc_1,31.19|| layam
   paramam āgatas tad api yat padaṃ nairṛtaṃ	paramam AgataH tat api yat padam nErRtam
   yayāvayam iti smṛtaṃ munibhir etad uccai ruṣā | prasūnam atha yan mudā	yayO= ayam iti smRtam muniBiH etat uccEs ruzA | prasUnam aTa yat mudA
   vavṛṣur āditeyās tad apy	vavRzuH AditeyAH tat api 
   amitra vilayād bhaved ucitam īdṛśāt kiṃ punaḥ ||JGc_1,31.20||	amitra  vilayAt Bavet ucitam IdRSAt kim punar ||JGc_1,31.20||
   [15] atra ca śrī gokula prāṇābhiprāyam abhiprayadbhis tad eva	[15] atra ca SrI  gokula  prANa aBiprAyam aBiprayadBiH tat eva
   cānuvadadbhir diviṣadbhir upahasitam 	ca anuvadadBiH divizadBiH upahasitam 
   vatsaṃ laghuṃ daityatayāvagacchan	vatsam laGum dEtya tayA avagacCan
   jaghāna bāle' py aham ukṣa daitya | prauḍhaḥ kathaṃ tvām atibhīṣma varṣma 	jaGAna bAle a pi aham ukza dEtyaH | prOXaH kaTam tvAm ati BIzma  varzma 
   praṣṭhaṃ na jānāni na ghātayānīti ||JGc_1,31.21||	prazWam na jAnAni na GAtayAni iti ||JGc_1,31.21||
   [16] atra gokula janasya gokula jīvanasya ca bhāvam āviśann eva	[16] atra go kula janasya go kula  jIvanasya ca BAvam AviSan eva
   śrī śukadevas tad idaṃ vadati sma 	SrI  SukadevaH tat idam vadati sma 
   evaṃ kukudminaṃ hatvā	evam kukudminam hatvA
   stūyamānaṃ svajātibhiḥ | viveśa goṣṭhaṃ sabalo	stUyamAnam sva jAtiBiH | viveSa gozWam sa balaH 
   gopīnāṃ nayanotsavaḥ ||[BhP 10.36.15] iti |	gopInAm nayana utsavaH ||[Bhj 10.36.15] iti |
   āyāte vrajam acyute ripu jaya svasti praśastīḍite	AyAte vrajam acyute ripu  jaya  svasti praSaH tIxite
   sarve' py unmadatāṃ gatā bahu vidhaṃ saṃvādam unnirmamuḥ | kiṃ tu drāk	sarve a pi unmada tAm gatAH bahu viDam saMvAdam unnirmamuH | kim tu drAk 
   pitarāv amuṣya vadanaṃ tad vīkṣyamāṇāv amū	pitarO amuzya vadanam tat vIkzyamANO amU
   svair bāṣpāmbubhir āplutaṃ mamṛjatur vikruśya mūkāv iva ||JGc_1,31.22||	svEH bAzpa ambuBiH Aplutam mamRjatuH vikruSya mUkO iva ||JGc_1,31.22||
   [17] atha samāpanam 	[17] aTa samApanam 
   ayaṃ sa stava bhāk sūnus tava gopa narādhipa | pūṣitās tridaśā yena	ayam sa stava  BAj sUnuH tava gopa  narADipa | pUzitAH tridaSAH yena
   mūṣitās tridaśārayaḥ ||JGc_1,31.23||	mUzitAH tridaSa arayaH ||JGc_1,31.23||
   [18] atha rātri kathāyām api snigdhakaṇṭha evābhidadhe [19] evaṃ	[18] aTa rAtri  kaTAyAm api snigDa kaNWaH eva aBidaDe [19] evam
   horikā prānta kānta krīḍāntarānusāreṇābhira vīra sarasijākṣīṇām	horikA  prAnta ka anta  krIxA antara anusAreNa aBira vIra  sarasijA akzINAm
   akṣīṇānaṅgānāṃ vṛtta kṛṣṇa saṅgānāṃ bahudhā nivṛttaṃ rātri vṛttaṃ svayam	akzINa anaFgAnAm vRtta  kRzNa saFgAnAm bahuDA nivRttam rAtri vRttam svayam
   eva sakhībhir anusandhīyatām |	eva saKIBiH anusanDIyatAm |
   [20] vāsarāvasaraś cāyaṃ mad ukti nidigdha dig darśanataḥ parāmarśam	[20] vAsara avasaraH ca ayam mad  ukti  nidigDa  diS  darSanataH parAmarSam
   ānīyatām | yathā cāha śrī parāśaraḥ 	AnIyatAm | yaTA ca Aha SrI  parASaraH 
   sa tathā saha gopībhī rarāma madhusūdanaḥ | yathābda koṭi pratimaḥ kṣaṇas	sa taTA saha gopIBiH rarAma maDusUdanaH | yaTA abda kowi  pratimaH kzaNas
   tena vinābhavat ||[ViP 5.13.57]	tena vinA aBavat ||[ViS 5.13.57]
   yathā ca śrī śukaḥ 	yaTA ca SrI SukaH 
   gopyaḥ kṛṣṇe vanaṃ yāte tam anudruta cetasaḥ | kṛṣṇa līlāḥ pragāyantyo	gopyaH kRzNe vanam yAte tam anudruta  cetasaH | kRzNa  lIlAH pragAyanti aH 
   ninyur duḥkhena vāsarān ||[BhP 10.35.1] iti |	ninyuH duHKena vAsarAn ||[Bhj 10.35.1] iti |
   [22] tathā hi yadā khalv aharahaḥ kṣayam āsādya vādya gīta nṛtyaṃ vivṛtya	[22] taTA hi yadA Kalu aharahar kzayam AsAdya vAdya  gIta nRtyam vivRtya
   sahacara saṅginībhiḥ śṛṅgiṇībhiḥ saha sa harir vraja jana sneha dhanaḥ	sahacara  saFginIBiH SRFgiNIBiH saha sa hariH vraja  jana  sneha  DanaH
   sva veśma praviśati tadā vigata parimāṇā vimānānucāriṇaḥ sarva eva samam	sva veSma praviSati tadA vigata  parimANAH vimAna anucAriNaH sarve eva samam
   upary upari cariṇaḥ saha gaṇena kaṇehatya spaṣṭaṃ draṣṭum icchantas	upari  upari cariNaH saha gaNena kaNehatya spazwam drazwum icCantas
   tad abhāva labdha kadanāḥ sadanānta paryantam āyānti | kṛta veśma praveśe	tad  aBAva  labDa   kadanAH sadana anta  paryantam AyAnti | kRta veSma  praveSe
   tu tasmin vismaya sthagitatayā sa lālasatayā ca tatra tatra citrāyamāṇā	tu tasmin vismaya  sTagita tayA sa lAlasa tayA ca tatra tatra citrAyamANA
   rātriṃ gamayanti sma |	rAtrim gamayanti sma |
   [23] śaraṇāntarāt punar yāvan niḥsarati sa eṣa śaraṇāgatāyāgatānusaraṇaḥ |	[23] SaraNa antarAt punar yAvat niHsarati saH eza SaraNa AgatAya Agata anusaraNaH |
   tad evaṃ yadā niḥsarati niḥsṛtya ca gopa gogaṇa sañcaraṇāya veṇuṃ raṇayati	tat evam yadA niHsarati niHsRtya ca gopa go gaNa  saQcaraNAya veNum raNayati
   | tadātanaṃ caritaṃ gocaratām aticarad api nija bhāva prabhāva sampadā	| tadAtanam caritam gocaratAm aticarat api nija  BAva  praBAva  sampadA
   cakṣuṣīva racitaṃ vidhāya śrīmad ābhīra bhīrubhir abhigītam, yathā 	cakzuzi iva racitam viDAya SrImat  ABIra  BIruBiH aBigItam, yaTA 
   avadhāraya sakhi tava sakhi vṛttam | virahi janānāṃ janayati hṛdayam	avaDAraya saKi tava saKi vRttam | virahi  janAnAm janayati hRdayam
   vidayatayā bata kṛttam |	vidayatayA bata kRttam |
   [dhruvam idaṃ paraparatrāpi |]	[Druvam idam para paratra api |]
   vāma bhujākṛta vāma kapolakam ullala cilli bhāsam |	vAma Buja akRta vAma  kapolakam ullala  cilli BAsam |
   sukumārāṅguli vilasitam ujjvala veṇu mukhaṃ mṛdu hāsam	su kumAra aFguli  vilasitam ujjvala  veNu  muKam mRdu hAsam
   ||rāga kalā kulitākhila bhūcara gāna kalair anuviddham |	||rAga kalA  kulita aKila  BUcara gAna kalEH anuvidDam |
   vyomaga yāna janījana mohanam anugamitākhila siddham ||JGc_1,31.24|| [24]	vyoma ga yAn a janI jana  mohanam anugamita aKila  sidDam ||JGc_1,31.24|| [24]
   tataś ca muhur api tāvan mātre tāsāṃ gāna pātre sati vana vrajayor madhyam	tatas ca muhur api tAvat mAtre tAsAm gAna  pAtre sati vana vrajayoH maDyam
   adhyāsya harṣaṃ tarṣaṃ ca dhāsyan vaṃśaṃ śaṃsayati sma | [25] tatra ca	aDyAsya harzam tarzam ca DAsyan vaMSam SaMsayati sma | [25] tatra ca
   tābhir gītaṃ, yathā 	tABiH gItaM, yaTA 
   citraṃ lakṣmī rekhāsau hṛdi capalā na bhavati capalā | maṇim ambara maṇim	citram lakzmI reKA asO hRdi capalA na Bavati capalA | maNim ambara maNim
   anu tārāvalir api sā rājāti taralā ||yasya sa cāyaṃ veṇu kalāmṛta varṣī	anu tArAvaliH api sA rAjA ati taralA ||yasya sa ca ayam veNu  kalA amRta varzI
   kalayati gavyām | sa tṛṇaka daśanām unnata karṇāmatrām arthiṣu bhavyām	kalayati gavyAm | sa tRNaka daSanAm unnata karNa amatrAm arTizu BavyAm
   ||JGc_1,31.25||[25]	||JGc_1,31.25||[25]
   tataścātuccha piccha guluccha puṣpa guccha dhātu cchavibhir	tatas ca atucCa  picCa  gulu= Ca puzpa gucCa  DAtu  = CaviBiH 
   malla paricchadaṃ gacchati sma śrī gopikānāṃ pracchanna ramaṇaḥ |	malla  paricCadam gacCati sma SrI  gopikAnAm pracCanna   ramaNaH |
   [27] taṃ gatvā ca satvara prathama payaḥ pāyanāya gaṅgā yamunādi nāmnā gāḥ	[27] tam gatvA ca sa tvara  praTama  payaH pAyanAya gaFgA yamunA Adi nAmnA gAH
   su vikasvara sarasijaṃ saraḥ prati kramād veṇu gānataḥ samākārayati tasmin	su vika svara  sarasijam saraH prati kramAt veNu gAnataH samAkArayati tasmin
   vraja ramānāthe buddha nijākāraṇa iva ruddha pravāha prasaratayāsthiratām	vraja rama anATe budDa nija akAraNaH iva rudDa  pravAha  prasara tayA asTira tAm
   utkalikām apy anusarati | vidūra cara sarid visare ca punar āsāṃ gītaṃ,	utkalikAm api anusarati | vidUra  cara  sarit  visare ca punar AsAm gItaM,
   yathā 	yaTA 
   candraka dhātu dala stavakādika kṛta mallottama veśam | ākārayati sa gāḥ	candraka DAtu  dala  stavaka Adika kRta  malla uttama veSam | AkArayati sa gAH
   sarid ālī labhate tatra viśeṣam ||kamita bhaṅga bhujā kila tat pada raja	sarit  AlI laBate tatra viSezam ||kamita BaFga BujA kila tat pada  raja
   āśuga tati nītam | laghu sukṛtāsmād dṛg iva spṛhayati vidatī svam	ASu ga tati nItam | laGu sukRtA asmAt dRS iva spRhayati vidatI svam
   anabhinītam ||JGc_1,31.26||[28] atha tadā tadāhūti kṛtām ānanda vibhūtim	anaBinItam ||JGc_1,31.26||[28] aTa tadA tadAhUti kRtAm Ananda  viBUtim
   ārabhya tac caritam upalabhya kadācid vraja dharitrīśitrī sadasi gatabhiḥ	AraBya tat   caritam upalaBya kadAcid vraja  DaritrI SitrI  sadasi gataBiH
   kābhiścana tābhir utkaṇṭhayā suṣṭhu pratuṣṭuṣamāṇābhir api nija bhāvaṃ	kABiH cana tABiH utkaNWayA suzWu pratuzwuzamANABiH api nija  BAvam
   pidhāya bhāvāntara sādhāraṇyaṃ vidhāya tad idaṃ varṇanaṃ tan nirvarṇanam	piDAya BAva antara  sADAraNyam viDAya tat idam varNanam tan  nirvarNanam
   ivāsīt |	iva AsIt |
   [29] tatra gānāntaraṃ, yathā 	[29] tatra gAna antaran, yaTA 
   ādi puruṣa iva vaibhava śālī | anucara varṇita vīrya samunnatir ayam	Adi puruzaH iva vEBava  SAlI | anucara  varNita  vIrya  samunnatiH ayam
   udayati vanamālī ||dhru|| sa gavākāraṇa muralī kalam anu tanute yatra	udayati vanamAlI ||Dru|| sa gavAkAraNa  muralI kalam anu tanute yatra
   vanaṃ ca | tad rūpāntaryāmi sphuraṇaja bhāvān kalayati pañca	vanam ca | tad  rUpa antaryAmi  sPuraNa ja BAvAn kalayati paQca
   ||puṣpa hasita madhu baṣpa navāṅkura pulaka tatīr anuyātam | ejan namad	||puzpa  hasita  maDu  bazpa navAFkura  pulaka  tatIH anuyAtam | ejan namad
   api śākhā tatibhir yat kila kalayati śātam ||JGc_1,31.27||[30] tad evam	api SAKA a tatiBiH yat kila kalayati SAtam ||Ju c_1,31.27||[30] tat evam
