   akasmānmṛtyurāyāto Bca_7.8c	akasmAt-mRtyuH-AyAtaH Bca_7.8c
   paṇḍitatvānna durmanāḥ Bca_7.27b	paNxita-tvAt-na durmanAH Bca_7.27b
   paṇḍitānanuyāmyaham Bca_8.185b	paNxitAn-anuyAmi-aham Bca_8.185b
   paṇḍitān vijigīṣate Bca_8.146d	paNxitAn vijigIzate Bca_8.146d
   paṇḍitāḥ satkṛtāḥ santu Bca_10.46a	paNxitAH satkRtAH santu Bca_10.46a
   patati sutaptalohadharaṇīṣvaśubhairbahuśaḥ Bca_7.45d	patati su-tapta-loha-DaraNIzu-aSuBEH-bahuSas Bca_7.45d
   patatu kamalavṛṣṭirgandhapānīyamiśrāc Bca_10.12a	patatu kamala-vRzwiH-ganDa-pAnIya-miSrAt Bca_10.12a
   patatyeva tathā tathā Bca_8.174d	patati-eva taTA taTA Bca_8.174d
   patitasakalamāṃsāḥ kundavarṇāsthidehā Bca_10.10a	patita-sakala-mAMsAH kunda-varNa-asTi-dehA Bca_10.10a
   padmanālādibhedo hi Bca_9.117c	padma-nAla-Adi-BedaH hi Bca_9.117c
   paracakṣurnipātebhyo Bca_8.46a	para-cakzuH-nipAteByaH Bca_8.46a
   paracittavikalpo 'sau Bca_9.108a	para-citta-vikalpaH asO Bca_9.108a
   paracodanadakṣāṇām Bca_5.74a	para-codana-dakzANAm Bca_5.74a
   paratra ca mahatsukham Bca_5.78b	paratra ca mahat-suKam Bca_5.78b
   paratvamapi cātmani Bca_8.140b	paratvam-api ca-Atmani Bca_8.140b
   paratvaṃ tu svakāyasya Bca_8.112c	para-tvam tu sva-kAyasya Bca_8.112c
   paraduḥkhaśamāya ca Bca_8.136b	para-duHKa-SamAya ca Bca_8.136b
   paraduḥkhasamapriyāḥ Bca_8.107b	para-duHKa-sama-priyAH Bca_8.107b
   paraduḥkhe niyojaya Bca_8.161b	para-duHKe niyojaya Bca_8.161b
   parapaṃsanameva ca Bca_5.50b	para-paMsanam-eva ca Bca_5.50b
   parapiṇḍāśino dāsā Bca_7.57c	para-piNxa-ASinaH dAsAH Bca_7.57c
   paraśoṇitamapyeke Bca_6.17c	para-SoNitam-api-eke Bca_6.17c
   paraśramakṛtairguṇaiḥ Bca_5.77d	para-Srama-kRtEH-guNEH Bca_5.77d
   parasaukhyamapīcchasi Bca_6.79b	para-sOKyam-api-icCasi Bca_6.79b
   parasparaviruddhābhir Bca_5.56a	paraspara-virudDABiH Bca_5.56a
   paraḥ karotyayaṃ neti Bca_8.160c	paraH karoti-ayam na-iti Bca_8.160c
   paraḥ kila mayi prīta Bca_6.94c	paraH kila mayi prIta Bca_6.94c
   parātmaparivartanam Bca_7.16d	para-Atma-parivartanam Bca_7.16d
   parātmaparivartanam Bca_8.120d	para-Atma-parivartanam Bca_8.120d
   parātmasamatā caiva Bca_7.16c	parAtma-sama-tA ca-eva Bca_7.16c
   parātmasamatāmādau Bca_8.90a	parAtma-sama-tAm-AdO Bca_8.90a
   parādānaṃ ca bhāvayet Bca_8.113d	parAdAnam ca BAvayet Bca_8.113d
   parānapi guṇodadhīn Bca_8.113b	parAn-api guNa-udaDIn Bca_8.113b
   parān gṛhṇāmi cātmavat Bca_8.136d	parAn gRhNAmi ca-Atma-vat Bca_8.136d
   parāyattaḥ prasajyate Bca_9.126b	parAyattaH prasajyate Bca_9.126b
   parāyattāprasādatvād Bca_6.63a	parAyatta-aprasAda-tvAt Bca_6.63a
   parāyaśaskare 'pyevaṃ Bca_6.62c	parAyaSaskare api-evam Bca_6.62c
   parārādhanatatparam Bca_5.55d	para-ArADana-tatparam Bca_5.55d
   parārtharūkṣaṃ svārthārthi Bca_5.52a	para-arTa-rUkzam sva-arTa-arTi Bca_5.52a
   parārthaṃ tvenamājñapya Bca_8.128c	para-arTam tu-enam-AjQapya Bca_8.128c
   parārthaṃ sarvasaṃpadaḥ Bca_8.126d	para-arTam sarva-saMpadaH Bca_8.126d
   parārthe devarājatā Bca_8.125d	para-arTe devarAja-tA Bca_8.125d
   parārthe saṃbhavaḥ kutaḥ Bca_1.24d	para-arTe saMBavaH kutas Bca_1.24d
   parārthaikāntatṛṣṇayā Bca_8.109d	para-arTa-ekAnta-tRzNayA Bca_8.109d
   parārtho vā kṛto mayā Bca_6.74d	para-arTaH vA kRtaH mayA Bca_6.74d
   parāvarjanamuttamam Bca_6.77d	parAvarjanam-uttamam Bca_6.77d
   parāvṛtyeva pṛṣṭhataḥ Bca_5.37d	parAvRtya-iva pRzWatas Bca_5.37d
   parigṛhṇantu madvidhāḥ Bca_9.155b	parigRhNantu madviDAH Bca_9.155b
   parigraharakṣaṇakhedamuktaḥ Bca_8.87c	parigraha-rakzaNa-Keda-muktaH Bca_8.87c
   parigrahaṃ me kurutāgrasattvāḥ Bca_2.8c	parigraham me kuruta-agra-sattvAH Bca_2.8c
   parigraheṇāsmi bhavatkṛtena Bca_2.9a	parigraheNa-asmi Bavat-kRtena Bca_2.9a
   paritapya vicintayet Bca_7.72b	paritapya vicintayet Bca_7.72b
   paritrāyata satvaraṃ Bca_2.33b	paritrAyata sa-tvaram Bca_2.33b
   paripanthaṃ ca tiṣṭhati Bca_8.122d	paripanTam ca tizWati Bca_8.122d
   paribhokṣye sukhotsavam Bca_8.152d	pariBokzye suKa-utsavam Bca_8.152d
   parivartamakurvataḥ Bca_8.131d	parivartam-akurvataH Bca_8.131d
   parivārārthi vā punaḥ Bca_5.51b	parivAra-arTi vA punar Bca_5.51b
   pariśrāntāḥ kukāminaḥ Bca_8.73b	pariSrAntAH kukAminaH Bca_8.73b
   pariṣatkāmameva vā Bca_5.52b	parizad-kAmam-eva vA Bca_5.52b
   parihāraḥ kathaṃ bhavet Bca_6.37d	parihAraH kaTam Bavet Bca_6.37d
   parebhyo hitamācara Bca_8.139d	pareByaH hitam-Acara Bca_8.139d
   parebhyo hitamācara Bca_8.159d	pareByaH hitam-Acara Bca_8.159d
   pareṣvapakṛtaṃ tvayā Bca_8.165b	parezu-apakRtam tvayA Bca_8.165b
   pareṣvapi tathātmatvaṃ Bca_8.115c	parezu-api taTA-Atma-tvam Bca_8.115c
   parokṣaṃ ca guṇān brūyād Bca_5.76a	parokzam ca guNAn brUyAt Bca_5.76a
   paropadravakāritā Bca_6.39b	para-upadrava-kAri-tA Bca_6.39b
   parvāpi svāṃśabhedataḥ Bca_9.86d	parvA-api sva-aMSa-BedataH Bca_9.86d
   parṣacchāradyabhayamapy Bca_8.118c	parzad-SAradya-Bayam-api Bca_8.118c
   palāyante caturdiśaṃ Bca_2.53b	palAyante caturdiSam Bca_2.53b
   paśorghāsalavagrahaḥ Bca_8.80d	paSoH-GAsa-lava-grahaH Bca_8.80d
   paścāttāpānalaścittaṃ Bca_4.25c	paScAttApa-analaH-cittam Bca_4.25c
   paścāttāpena tāpitaḥ Bca_2.29d	paScAttApena tApitaH Bca_2.29d
   paśyantvenaṃ bhavantaḥ suraśatamukuṭairarcyamānāṅghripadmaṃ Bca_10.14a	paSyantu-enam BavantaH sura-Sata-mukuwEH-arcyamAna-aFGri-padmam Bca_10.14a
   paśya majjānamantataḥ Bca_5.63b	paSya majjAnam-antatas Bca_5.63b
   paśyāmo muditāstāvac Bca_8.150a	paSyAmaH muditAH-tAvat Bca_8.150a
   paśyetsūtrasamuccayam Bca_5.106b	paSyet-sUtra-samuccayam Bca_5.106b
   pāṭhasvādhyāyakalilā Bca_10.42a	pAWa-svADyAya-kalilA Bca_10.42a
   pāṇḍityena manaḥ sukhi Bca_7.28b	pANxityena manaH suKi Bca_7.28b
   pātayāsyaiva mastake Bca_8.162b	pAtaya-asya-eva mastake Bca_8.162b
   pādaduḥkhaṃ na hastasya Bca_8.99c	pAda-duHKam na hastasya Bca_8.99c
   pādo 'pi kataro bhavet Bca_9.86b	pAdaH api kataraH Bavet Bca_9.86b
   pāpakārisukhecchā tu Bca_7.43a	pApa-kAri-suKa-icCA tu Bca_7.43a
   pāpakṣayaratāḥ sadā Bca_10.45b	pApa-kzaya-ratAH sadA Bca_10.45b
   pāpakṣayaṃ ca puṇyaṃ ca Bca_6.60a	pApa-kzayam ca puNyam ca Bca_6.60a
   pāpacittasamudbhūtaṃ Bca_5.8a	pApa-citta-samudBUtam Bca_5.8a
   pāpapuṇyasamudbhavaḥ Bca_9.11d	pApa-puNya-samudBavaH Bca_9.11d
   pāpamanyatprasūyate Bca_4.22d	pApam-anyat-prasUyate Bca_4.22d
   pāpameva kutaḥ śubhaṃ Bca_4.17d	pApam-eva kutas SuBam Bca_4.17d
   pāpaṃ kṛtamanekadhā Bca_2.35b	pApam kRtam-anekaDA Bca_2.35b
   pāpaṃ cāpyupacinvataḥ Bca_4.19b	pApam ca-api-upacinvataH Bca_4.19b
   pāpaṃ tu sthāsyati dhruvam Bca_6.55d	pApam tu sTAsyati Druvam Bca_6.55d
   pāpātkāye yato vyathā Bca_7.27d	pApAt-kAye yatas vyaTA Bca_7.27d
   pāpātkā sugatau kathā Bca_4.21d	pApAt-kA sugatO kaTA Bca_4.21d
   pāpādduḥkhaṃ ca vardhate Bca_7.48b	pApAt-duHKam ca varDate Bca_7.48b
   pāpādbhītirjine spṛhā Bca_6.21d	pApAt-BItiH-jine spRhA Bca_6.21d
   pāpāni yannirdahati kṣaṇena Bca_1.14b	pApAni yat-nirdahati kzaNena Bca_1.14b
   pāpāni vividhāni ca Bca_6.25b	pApAni viviDAni ca Bca_6.25b
   pāpairātmasukhecchavaḥ Bca_9.156d	pApEH-Atma-suKa-icCavaH Bca_9.156d
   pāramparyeṇa sākṣādvā Bca_5.101a	pAramparyeNa sAkzAt-vA Bca_5.101a
   pārepsūnāṃ ca naubhūtaḥ Bca_3.17c	pAra-IpsUnAm ca nOBUtaH Bca_3.17c
   pālanīyā mayātmavat Bca_8.90d	pAlanIyAH mayA-Atma-vat Bca_8.90d
   pitarāvapi mārayet Bca_8.123b	pitarO=-api mArayet Bca_8.123b
   pitā cenna vinā putrāt Bca_9.114a	pitA ced-na vinA putrAt Bca_9.114a
   pittādiṣu na me kopo Bca_6.22a	pitta-Adizu na me kopaH Bca_6.22a
   pipāsito dīnadṛṣṭir Bca_2.44c	pipAsitaH dIna-dRzwiH Bca_2.44c
   pīḍāpyaṅgīkṛtā mayā Bca_8.144d	pIxA-api-aFgIkRtA mayA Bca_8.144d
   pīḍitānāmanekaśaḥ Bca_1.29b	pIxitAnAm-anekaSas Bca_1.29b
   puṇyakāriṇamālokya Bca_5.75c	puNya-kAriNam-Alokya Bca_5.75c
   puṇyakṣayaśca pāpaṃ ca Bca_6.60c	puNya-kzayaH-ca pApam ca Bca_6.60c
   puṇyamekaṃ tadā trāṇaṃ Bca_2.42c	puNyam-ekam tadA trANam Bca_2.42c
   puṇyameghasamudbhūtaiḥ Bca_9.167c	puNya-meGa-samudBUtEH Bca_9.167c
   puṇyavighnaṃ kariṣyati Bca_4.9b	puNya-viGnam karizyati Bca_4.9b
   puṇyavighnaḥ kṛto 'nenety Bca_6.102a	puNya-viGnaH kRtaH anena-iti Bca_6.102a
   puṇyasaṃbhāramādarāt Bca_9.168d	puNya-saMBAram-AdarAt Bca_9.168d
   puṇyahetāvupasthite Bca_6.103d	puNya-hetO=-upasTite Bca_6.103d
   puṇyaṃ vā tādṛśaṃ kutaḥ Bca_1.30d	puNyam vA tAdRSam kutas Bca_1.30d
   puṇyātmoddāhaśaṅkayā Bca_6.71d	puNya-Atma-uddAha-SaFkayA Bca_6.71d
   puṇyāmṛtaiḥ kathaṃ tṛptir Bca_7.64c	puNya-amRtEH kaTam tRptiH Bca_7.64c
   puṇyena kāyaḥ sukhitaḥ Bca_7.28a	puNyena kAyaH suKitaH Bca_7.28a
   putradārāṃstadarthinaḥ Bca_8.74d	putra-dArAn=-tad-arTinaH Bca_8.74d
   putrābhāve pitā nāsti Bca_9.114c	putra-aBAve pitA na-asti Bca_9.114c
   punarapyeṣa samāgamaḥ kutaḥ Bca_1.4d	punar-api-eza samAgamaH kutas Bca_1.4d
   punarutpadyate ratiḥ Bca_8.64d	punar-utpadyate ratiH Bca_8.64d
   punarme na bhavediti Bca_7.72d	punar-me na Bavet-iti Bca_7.72d
   punaśca kṣaṇadaurlamyaṃ Bca_9.163a	punar-ca kzaNa-dOrlamyam Bca_9.163a
   punaśca mañjughoṣāya Bca_2.50c	punar-ca maQjuGozAya Bca_2.50c
   punaḥ kartuṃ parityajet Bca_7.66b	punar kartum parityajet Bca_7.66b
   punaḥ pṛṣṭhasya puṣṭyarthaṃ Bca_3.24c	punar pRzWasya puzwi-arTam Bca_3.24c
   punaḥ saṃmohamāgataḥ Bca_2.47b	punar saMmoham-AgataH Bca_2.47b
   punaḥ sīdāmi mohitaḥ Bca_4.24b	punar sIdAmi mohitaH Bca_4.24b
   purataḥ khalu sarvatāyinām Bca_3.33c	puratas Kalu sarva-tAyinAm Bca_3.33c
   puraḥ paścānnirūpya ca Bca_5.38b	puras paScAt-nirUpya ca Bca_5.38b
   purā dṛṣṭamadṛṣṭaṃ vā Bca_8.44c	purA dRzwam-adRzwam vA Bca_8.44c
   purīṣotsargaveṣṭitaḥ Bca_2.45d	purIza-utsarga-vezwitaH Bca_2.45d
   puruṣatvaṃ vrajantu tāḥ Bca_10.30b	puruza-tvam vrajantu tAH Bca_10.30b
   puṣṇāti yastvayā poṣyaṃ Bca_6.82a	puzNAti yaH-tvayA pozyam Bca_6.82a
   puṣparatnādivarṣāśca Bca_2.21c	puzpa-ratna-Adi-varzAH-ca Bca_2.21c
   puṃsāmaikyaṃ prasajyate Bca_9.67d	puMsAm-Ekyam prasajyate Bca_9.67d
   pūjayatyarthamānairyān Bca_6.4a	pUjayati-arTa-mAnEH-yAn Bca_6.4a
   pūjayanti yathā jinān Bca_2.22b	pUjayanti yaTA jinAn Bca_2.22b
   pūjayantu jagadgurum Bca_10.38d	pUjayantu jagadgurum Bca_10.38d
   pūjāmeghā manoramāḥ Bca_2.20b	pUjA-meGAH manoramAH Bca_2.20b
   pūjāmeghairanantaiśca Bca_10.38c	pUjA-meGEH-anantEH-ca Bca_10.38c
   pūjārthamanyanmama nāsti kiṃcit Bca_2.7b	pUjA-arTam-anyat-mama na-asti kiMcid Bca_2.7b
   pūjāvimānāḥ sugataprapūrṇāḥ Bca_10.8d	pUjA-vimAnAH sugata-prapUrNAH Bca_10.8d
   pūjāṃ karomyeṣa tathāgatānāṃ Bca_2.1b	pUjAm karomi-eza taTAgatAnAm Bca_2.1b
   pūjito 'hamayaṃ na tu Bca_8.149d	pUjitaH aham-ayam na tu Bca_8.149d
   pūjyantāṃ sarvasaṃbuddhāḥ Bca_10.48a	pUjyantAm sarva-saMbudDAH Bca_10.48a
   pūjyamānāḥ sagauravaiḥ Bca_10.50d	pUjyamAnAH sa-gOravEH Bca_10.50d
   pūjyaḥ saddharmavanmayā Bca_6.111d	pUjyaH sat-Darma-vat-mayA Bca_6.111d
   pūrvameva mṛto loke Bca_8.36c	pUrvam-eva mRtaH loke Bca_8.36c
   pūrvavatpratyayotpādaṃ Bca_6.65c	pUrvavat-pratyaya-utpAdam Bca_6.65c
   pūrvavad bādhyate tṛṣā Bca_8.6d	pUrvavat bADyate tRzA Bca_8.6d
   pūrvahetuprabhāvataḥ Bca_9.118d	pUrva-hetu-praBAvataH Bca_9.118d
   pūrvahetuprabhedataḥ Bca_9.118b	pUrva-hetu-praBedataH Bca_9.118b
   pūrvaṃ ca pāpaṃ samatikramāmi Bca_2.9c	pUrvam ca pApam samatikramAmi Bca_2.9c
   pūrvaṃ tāvadidaṃ cittaṃ Bca_5.34a	pUrvam tAvat-idam cittam Bca_5.34a
   pūrvaṃ nirūpya sāmagrīm Bca_7.47a	pUrvam nirUpya sAmagrIm Bca_7.47a
   pūrvaṃ paścācca jātena Bca_9.101a	pUrvam paScAt-ca jAtena Bca_9.101a
   pūrvānubhūtanaṣṭebhyaḥ Bca_2.61a	pUrva-anuBUta-nazweByaH Bca_2.61a
   pūrvābhāṣī jagatsuhṛt Bca_5.71d	pUrva-ABAzI jagat-suhRd Bca_5.71d
   pṛthak pṛthaggamiṣyanti Bca_8.32c	pRTak pRTak-gamizyanti Bca_8.32c
   pṛthivyādīni bhūtāni Bca_3.20a	pRTivI-AdIni BUtAni Bca_3.20a
   pṛṣṭhato 'navalokayan Bca_8.27d	pRzWatas anavalokayan Bca_8.27d
   paurvikeṇa mamādhunā Bca_7.39b	pOrvikeNa mama-aDunA Bca_7.39b
   'pyāsīdyatparirakṣitam Bca_8.46b	api-AsIt-yat-parirakzitam Bca_8.46b
   prakāmaṃ saṃpariṣvajya Bca_8.43c	prakAmam saMparizvajya Bca_8.43c
   prakāśaya mahāmuneḥ Bca_8.162d	prakASaya mahA-muneH Bca_8.162d
   prakāśā vāprakāśā vā Bca_9.23a	prakASAH vA-aprakASAH vA Bca_9.23a
   prakupyanti prahṛṣyanti Bca_9.155c	prakupyanti prahRzyanti Bca_9.155c
   prakṛtimaraṇaduḥkhitāndhakārān Bca_4.37a	prakRti-maraNa-duHKita-anDakArAn Bca_4.37a
   prakṛtiripūnupahantumudyatasya Bca_4.38b	prakRti-ripUn-upahantum-udyatasya Bca_4.38b
   prakṛtyā duḥkhasaṃvāsaiḥ Bca_8.23c	prakRtyA duHKa-saMvAsEH Bca_8.23c
   prakṛtyā parinirvṛtāḥ Bca_9.104d	prakRtyA parinirvRtAH Bca_9.104d
   prakṛtyā yacca sāvadyaṃ Bca_2.64c	prakRtyA yat-ca sAvadyam Bca_2.64c
   prakṣiptaśca bhaye 'pyātmā Bca_8.42a	prakziptaH-ca Baye api-AtmA Bca_8.42a
   pragalbhaṃ mukharaṃ tathā Bca_5.53b	pragalBam muKaram taTA Bca_5.53b
   prajñaptyāvadyameva ca Bca_2.64d	prajQaptyA-avadyam-eva ca Bca_2.64d
   prajñārūpaṃ kulaṃ dhanam Bca_8.151d	prajQA-rUpam kulam Danam Bca_8.151d
   prajñārthaṃ kimakāṇḍa eva narakeṣvātmānamābādhase Bca_4.47d	prajQA-arTam kim-akANxaH eva narakezu-AtmAnam-AbADase Bca_4.47d
   prajñārthaṃ hi munirjagau Bca_9.1b	prajQA-arTam hi muniH-jagO Bca_9.1b
   prajñāśastreṇa mocaya Bca_5.62d	prajQA-SastreNa mocaya Bca_5.62d
   praṇāmaiḥ praṇamāmyahaṃ Bca_2.24b	praNAmEH praNamAmi-aham Bca_2.24b
   praṇipatya punaḥ punaḥ Bca_2.65d	praNipatya punar punar Bca_2.65d
   praṇipatyādarato 'khilāṃśca vandyān Bca_1.1b	praNipatya-AdarataH aKilAn=-ca vandyAn Bca_1.1b
   pratikurvīta satvaram Bca_7.71d	pratikurvIta sa-tvaram Bca_7.71d
   pratigṛhṇantu nāyakāḥ Bca_2.66b	pratigRhNantu nAyakAH Bca_2.66b
   pratighaḥ pratihanti tat Bca_6.1d	pratiGaH pratihanti tat Bca_6.1d
   pratijñāya mahātmāpi Bca_4.41c	pratijQAya mahAtmA-api Bca_4.41c
   pratijñāyāpi yujyate Bca_4.2d	pratijQAya-api yujyate Bca_4.2d
   pratipakṣeṇa tatsadā Bca_5.54d	pratipakzeNa tad-sadA Bca_5.54d
   pratipakṣotthameva ca Bca_5.81b	pratipakza-utTam-eva ca Bca_5.81b
   pratipakṣo 'sya bhāvyate Bca_9.93b	pratipakzaH asya BAvyate Bca_9.93b
   pratipakṣo hi śūnyatā Bca_9.55b	pratipakzaH hi SUnyatA Bca_9.55b
   pratibaddho na kasyacit Bca_8.88b	pratibadDaH na kasyacid Bca_8.88b
   pratibimbasame tasmin Bca_9.145c	pratibimba-same tasmin Bca_9.145c
   pratimāstūpasaddharma- Bca_6.64a	pratimAH-tu-upasat-Darma Bca_6.64a
   pratilabdhā puruṣārthasādhanī Bca_1.4b	pratilabDA puruza-arTa-sADanI Bca_1.4b
   pratīkāracikīrṣayā Bca_8.122b	pratIkAra-cikIrzayA Bca_8.122b
   pratīcchanto jayantyarīn Bca_6.20b	pratIcCantaH jayanti-arIn Bca_6.20b
   pratīcchan puṇyasāgarān Bca_7.29b	pratIcCan puNya-sAgarAn Bca_7.29b
   pratīcchecchirasā vākyaṃ Bca_5.74c	pratIcCet-SirasA vAkyam Bca_5.74c
   pratītyotpadyate kṣamā Bca_6.111b	pratItya-utpadyate kzamA Bca_6.111b
   pratyakṣamapi rūpādi Bca_9.6a	pratyakzam-api rUpa-Adi Bca_9.6a
   pratyayasyāsti kutracit Bca_9.13b	pratyayasya-asti kutracid Bca_9.13b
   pratyayānāmanucchede Bca_9.14c	pratyayAnAm-anucCede Bca_9.14c
   pratyayānāṃ tu vicchedāt Bca_9.15a	pratyayAnAm tu vicCedAt Bca_9.15a
   pratyayāntarayuktasya Bca_9.25a	pratyaya-antara-yuktasya Bca_9.25a
   pratyayāntarasaṅge 'pi Bca_6.29c	pratyaya-antara-saFge api Bca_6.29c
   pratyayeṣu vyavasthitam Bca_9.142d	pratyayezu vyavasTitam Bca_9.142d
   pratyavekṣā muhurmuhuḥ Bca_5.108d	pratyavekzA muhur-muhur Bca_5.108d
   pratyavekṣyaṃ tathā manaḥ Bca_5.41b	pratyavekzyam taTA manaH Bca_5.41b
   pratyekabuddhāḥ sukhino Bca_10.50a	pratyekabudDAH suKinaH Bca_10.50a
   pratyekaṃ te 'pi hi tridhā Bca_9.129d	pratyekam te api hi triDA Bca_9.129d
   pradāsyasi na saṃśayaḥ Bca_8.171d	pradAsyasi na saMSayaH Bca_8.171d
   pradhānamiti kathyante Bca_9.128c	praDAnam-iti kaTyante Bca_9.128c
   pradhārayāmyeṣa mahāmunīnāṃ Bca_2.19c	praDArayAmi-eza mahA-munInAm Bca_2.19c
   pradhūpitairdhautamalairatulyair Bca_2.12a	praDUpitEH-DOta-malEH-atulyEH Bca_2.12a
   prapāte dīrghakālike Bca_2.58d	prapAte dIrGakAlike Bca_2.58d
   prapāteṣvitareṣvapi Bca_2.58b	prapAtezu-itarezu-api Bca_2.58b
   prabhojjvalānsarvamunīndrakāyān Bca_2.14d	praBA-ujjvalAn-sarva-muni-indra-kAyAn Bca_2.14d
   pramattasyāpyanekaśaḥ Bca_1.19b	pramattasya-api-anekaSas Bca_1.19b
   pramattena mayā nāthā Bca_2.43c	pramattena mayA nATAH Bca_2.43c
   pramathnāti mahājanam Bca_6.128b	pramaTnAti mahAjanam Bca_6.128b
   pramadājanamadhye 'pi Bca_5.21c	pramadA-jana-maDye api Bca_5.21c
   pramāṇamapramāṇaṃ cen Bca_9.139a	pramANam-apramANam ced Bca_9.139a
   pramādādātmanātmānaṃ Bca_6.35a	pramAdAt-AtmanA-AtmAnam Bca_6.35a
   pramukhānāvṛtabodhisattvameghān Bca_10.15b	pramuKAn-AvRta-boDisattva-meGAn Bca_10.15b
   prayatiṣye damāya ca Bca_8.39d	prayatizye damAya ca Bca_8.39d
   pralambapādaṃ nāsīta Bca_5.92c	pralamba-pAdam na-AsIta Bca_5.92c
   pralambamuktāmaṇihāraśobhān Bca_2.18a	pralamba-muktA-maNi-hAra-SoBAn Bca_2.18a
   pravartante nabhaḥsamāḥ Bca_1.19d	pravartante naBaH-samAH Bca_1.19d
   pravartasvāvicārataḥ Bca_8.156b	pravartasva-avicArataH Bca_8.156b
   pravarttantāṃ nirantaram Bca_2.21d	pravarttantAm nirantaram Bca_2.21d
   pravāsakleśaduḥkhitāḥ Bca_8.74b	pravAsa-kleSa-duHKitAH Bca_8.74b
   praviṣṭo janmavāgurām Bca_7.4b	pravizwaH janma-vAgurAm Bca_7.4b
   pravṛttā nanu te mama Bca_6.99d	pravRttA nanu te mama Bca_6.99d
   pravṛtteṣvātmaghātane Bca_6.38b	pravRttezu-Atma-GAtane Bca_6.38b
   pravrajyāvighna ucyate Bca_6.105d	pravrajyA-viGnaH ucyate Bca_6.105d
   praṣṭukāmaśca kiṃcana Bca_10.53b	prazwu-kAmaH-ca kiMcana Bca_10.53b
   prasannān svaguṇānatha Bca_6.85b	prasannAn sva-guNAn-aTa Bca_6.85b
   prasarpati yathā tanau Bca_7.69b	prasarpati yaTA tanO Bca_7.69b
   prasavatyeva tu bodhicittavṛkṣaḥ Bca_1.12d	prasavati-eva tu boDi-citta-vRkzaH Bca_1.12d
   prasavettasya tato 'dhikaṃ phalaṃ Bca_1.35b	prasavet-tasya tatas aDikam Palam Bca_1.35b
   prasādaṃ kṣobhayedbudhaḥ Bca_6.19b	prasAdam kzoBayet-buDaH Bca_6.19b
   prasiddhiriva sā mṛṣā Bca_9.6d	prasidDiH-iva sA mRzA Bca_9.6d
   prasiddhyā na pramāṇataḥ Bca_9.6b	prasidDyA na pramANataH Bca_9.6b
   prasūyante striyo 'nyeṣām Bca_8.76c	prasUyante striyaH anyezAm Bca_8.76c
   prahṛṣṭān kiṃ na bādhate Bca_9.89b	prahRzwAn kim na bADate Bca_9.89b
   prāgavaśyaṃ niyogataḥ Bca_5.96d	prAc-avaSyam niyogataH Bca_5.96d
   prāptamārādhayet priyaiḥ Bca_8.15b	prAptam-ArADayet priyEH Bca_8.15b
   prāpnuyāṃ sarvajātiṣu Bca_10.52d	prApnuyAm sarva-jAtizu Bca_10.52d
   prāpnuvantu ca tāṃ nīcā Bca_10.30c	prApnuvantu ca tAm nIcA Bca_10.30c
   prāpnotyabhimataṃ kāryam Bca_5.73c	prApnoti-aBimatam kAryam Bca_5.73c
   prāpyāvatāraṃ muṣṇāti Bca_5.28c	prApya-avatAram muzNAti Bca_5.28c
   prāmodyaṃ cirajīvitam Bca_6.134b	prAmodyam cira-jIvitam Bca_6.134b
   prāyastulyaṃ na kiṃ matam Bca_9.50d	prAyas-tulyam na kim matam Bca_9.50d
   prārthayāmi kṛtāñjaliḥ Bca_3.4b	prArTayAmi kRtAQjaliH Bca_3.4b
   prāsādikatvamārogyaṃ Bca_6.134a	prAsAdika-tvam-Arogyam Bca_6.134a
   priyasaṃgamakāṅkṣayā Bca_8.7d	priya-saMgama-kAFkzayA Bca_8.7d
   priyāṇāmātmano vāpi Bca_6.11c	priyANAm-AtmanaH vA-api Bca_6.11c
   priyāṇāṃ cāpakāriṣu Bca_6.65b	priyANAm ca-apakArizu Bca_6.65b
   priyāpriyanimittena Bca_2.35a	priya-apriya-nimittena Bca_2.35a
   priyo me na bhaviṣyati Bca_2.37b	priyaH me na Bavizyati Bca_2.37b
   prītirātmani jāyate Bca_6.97b	prItiH-Atmani jAyate Bca_6.97b
   prītirevātra yujyate Bca_6.75d	prItiH-eva-atra yujyate Bca_6.75d
   prerake yadi kupyate Bca_6.41b	prerake yadi kupyate Bca_6.41b
   protsāraṇamahāraviḥ Bca_3.31b	protsAraNa-mahA-raviH Bca_3.31b
   phalasyādiḥ kuto bhavet Bca_9.123d	Palasya-AdiH kutas Bavet Bca_9.123d
   phalaṃ kasya bhaviṣyati Bca_9.71d	Palam kasya Bavizyati Bca_9.71d
   phalaṃ hetau yadi sthitam Bca_9.136d	Palam hetO yadi sTitam Bca_9.136d
   phalārgheṇābhipūjyate Bca_7.42d	Pala-arGeNa-aBipUjyate Bca_7.42d
   phalāśā na ca jāyate Bca_8.116d	Pala-ASA na ca jAyate Bca_8.116d
   phalena saha sarvasva- Bca_5.10a	Palena saha sarva-sva Bca_5.10a
   bako biḍālaścauraśca Bca_5.73a	bakaH bixAlaH-cOraH-ca Bca_5.73a
   baddhamārgasya sarvataḥ Bca_7.6b	badDa-mArgasya sarvatas Bca_7.6b
   baddhamutpadyate punaḥ Bca_9.49b	badDam-utpadyate punar Bca_9.49b
   baddhavairaśca vigrahī Bca_4.43b	badDa-vEraH-ca vigrahI Bca_4.43b
   baddhaśceccitamātaṅgaḥ Bca_5.3a	badDaH-ced-cita-mAtaFgaH Bca_5.3a
