   REFERENCE SYSTEM:	RA eFA eRENCE SYSTEM:
   āptavādavisaṃvādasāmānyādanumānata' // Msv_5,5.23 //	Apta vAda visaMvAda sAmAnyAt anumAnata a // Msu _5,5.23 //
   vedavākyānyapi na svārthapratipādayanāya puruṣamapekṣante,	veda vAkyAni api na sva arTa pratipAdayanAya puruzam apekzante,
   svarūpāvadhāraṇamātra eva teṣāmāptāpekṣeti ||21||	svarUpa avaDAraNa mAtraH eva tezAm AptA apekzA iti ||21||
   nanu nāgṛhītasambandhaṃ padaṃ pratyāyakaṃ bhavati /	nanu na agRhIta sambanDam padam pratyAyakam Bavati /
   na ca puruṣānapekṣā sambandhāvagatirasti /	na ca puruza anapekzA sambanDa a= agatiH asti /
   vedavākyānyapi nāgṛhīte padapadārthasambandhe svārthaṃ pratipādayanti /	veda vAkyAni api na agRhIte pada padArTa sambanDe sva arTam pratipAdayanti /
   ato 'yaṃ padapadārthasambandha' puruṣāpekṣa eveti nāvyāpakatvam /	atas ayam pada padArTa sambanDa a puruza apekzaH eva iti na avyApaka tvam /
   ata āha   sambandheti /	atas Aha    sambanDa iti /
   ayamabhiprāya'    arthapratipādane tāvadanapekṣameva padaṃ vaidikāni ca	ayam aBiprAya a   arTa pratipAdane tAvat anapekzam eva padam vEdikAni ca
   vākyāni /	vAkyAni /
   sambandhānubhavaśca yatheha puruṣāpekṣastathānyatrāpyanumāne 'sau	sambanDa anuBavaH ca yaTA iha puruza apekzaH taTA anyatra api anumAne asO
   vilakṣaṇo dṛsyata eveti /	vilakzaNaH dRsyate eva iti /
   vailakṣaṇyameva darśayati    etasminniti anyo 'ntena /	vElakzaNyam eva darSayati   etasmin= iti anyaH antena /
   etasminniti /	etasmin= iti /
   hastasaṃjñādau puruṣāpekṣa', pauruṣeyo hi samaya' /	hasta saMjQA AdO puruza apekza a, pOruzeyaH hi samaya a /
   agnidhūmayostu deśāpekṣa' /	agni DUmayoH tu deSa apekza a /
   candrodayasamudravṛddhyostu kālāpekṣa' /	candra udaya samudra vRdDyoH tu kAla apekza a /
   ādiśabdenāvasthāpekṣitāṃ darśayati /	Adi Sabdena avasTApekzitAm darSayati /
   tadanenaitaduktaṃ bhavati   anumāne 'pyanekaprakāra' sambandhāvagamo	tad anena etat uktam Bavati    anumAne api aneka prakAra a sambanDa avagamaH 
   deśādyapekṣayā bhedāt /	deSa Adi apekzayA BedAt /
   evamihāpi puruṣāpekṣo bhaviṣyati /	evam iha api puruza apekzaH Bavizyati /
   anumāne 'pi tadapekṣa' sambandhabodho dṛṣṭa iti /	anumAne api tad apekza a sambanDa boDaH dRzwaH iti /
   api ca paroktābhedahetunirāso 'pi tairna kṛta ityāha    uktā ceti ||22	api ca para uktA aBeda hetu nirAsaH api tEH na kRtaH iti Aha   uktA ca iti ||22
   tamevābhedahetumupanyasyati   āptavādeti /	tam eva aBeda hetum upanyasyati   AptavAda iti /
   ayamartha'    yathā dhumādiṣu bhedahānena	ayam arTa a   yaTA Duma Adizu Beda hAnena
   sāmānyadharmayorvyāptiravadhāryate, evaṃ śābde	sAmAnya DarmayoH vyAptiH avaDAryate, evam SAbde
   'pyāptavādāvisaṃvādasāmānyayorvyāptiravagatā /	api Apta vAda avisaMvAda sAmAnyayoH vyAptiH avagatA /
   (āptavādāvisaṃvādeti?) evaṃ ca viditvā vede 'pīśvarāptavādatvādavisaṃvādo	(Apta vAda avisaMvAda iti?) evam ca viditvA vede api ISvara AptavAda tvAt avisaMvAdaH 
   'numīyate,ato 'numānamevedam /	anumIyate,ataH anumAnam eva idam /
   yāvatvavisaṃvādo nānumīyate tāvadarthagocaraṃ	yAvatu a visaMvAdaH na anumIyate tAvat arTa gocaram
   jñānamutpannamapyaniścāyakatvādapramāṇameva /	jQAnam utpannam api aniScAyaka tvAt apramANam eva /
   sāmānyaśabda' pratyekamabhisambadhyate /	sAmAnya Sabda a pratyekam aBisambaDyate /
   lyablope pañcamī /	lya blope paQcamI /
   na cāpūrvādiśabdānāṃ bhedāt sarvatra bhinnatā /	na ca apUrva Adi SabdAnAm BedAt sarvatra Binna tA /
   na cehāśvādiśabdabhyo bhedasteṣāṃ pratīyate // Msv_5,5.24 //	na ca iha aSva Adi SabdaByaH BedaH tezAm pratIyate // Msu _5,5.24 //
   nacāpyajñātasambandhaṃ padaṃ kiñcit prakāśakamo /	naca api ajQAta sambanDam padam kiQcid prakASa kamaH /
   sambandhānanubhūtyāto na syādananumānatā // Msv_5,5.25 //	sambanDAn anuBUti Atas na syAt ananumAna tA // Msu _5,5.25 //
   tulyākāratayāpyatra śabdajñānārthataddhiyām /	tulya AkAra tayA api atra Sabda jQAna arTa tad DiyAm /
   agnidhūmeṣvadṛṣṭatvānna bhedastannivāraṇāt // Msv_5,5.26 //	agni DUmezu adRzwa tvAt na BedaH tad nivAraNAt // Msu _5,5.26 //
   tadayamanvayo bhavati    yadyapyāptavādavisaṃvādaviśeṣāṇāṃ bhedānna	tat ayam anvayaH Bavati   yadi api Apta vAda visaMvAda viSezANAm BedAn na
   sambandho 'vagantuṃ śakyate, tathāpi tayo' sāmānyapratītyānumānatā śakyate	sambanDaH avagantum Sakyate, taTA api tayaH a sAmAnya pratItyA anumAna tA Sakyate
   vaktum, sāmānyayorvyāptasambhavāditi ||23||	vaktum, sAmAnyayoH vyApta samBavAt iti ||23||
   nanvidamasti bhedakāraṇam, anumānaṃ sambandhāvadhāraṇādhīnam,	nanu idam asti Beda kAraNam, anumAnam sambanDa avaDAraNa aDInam,
   śabdāstvapūrvādaya' sambandhajñānānapekṣā eva svārthaṃ pratipādayantīti,	SabdAH tu apUrva Adaya a sambanDa jQAna anapekzAH eva sva arTam pratipAdayanti iti,
   ato bhidyate ityata āha    na ceti /	atas Bidyate iti atas Aha   na ca iti /
   gavādayastāvat viditasambandhā evārthaṃ pratipādayantīti teṣāṃ	gavA AdayaH tAvat vidita sambanDAH eva arTam pratipAdayanti iti tezAm
   durvāramanumānatvam, yadi tvapūrvādidṛṣṭāntena teṣāmapi bhedo 'bhidhīyate	durvAram anumAna tvam, yadi tu apUrva Adi dRzwAntena tezAm api BedaH aBiDIyate
   tanna /	tat na /
   śaknoti hi vaktumitaro 'pi teṣāmanumānatvaṃ sambandhāvadhīnabodhakatvād	Saknoti hi vaktum itaraH api tezAm anumAna tvam sambanDO= aDIna boDaka tvAt 
   dhūmādivaditi /	DUma Adi vat iti /
   api cāpūrvaśabdā api nāśvādiśabdebyo viśiṣyante, padatvenābhedādityāha   	api ca apUrva SabdAH api na aSvAdi SabdebyaH viSizyante, padatvena aBedAt iti Aha   
   na ceti ||24||	na ca iti ||24||
   kimato yadyevamata āha    na ceti /	kim atas yadi evam atas Aha   na ca iti /
   yata' khalvetāni padāni, na ca padamajñātasambandhaṃ prakāśakamasti /	yata a Kalu etAni padAni, na ca padam ajQAta sambanDam prakASakam asti /
   ato 'mībhirapi viditasambandhairevārtho vedanīya', padatvāt /	atas amIBiH api vidita sambanDEH eva arTaH vedanIya a, padatvAt /
   kathaṃ puna' pramāṇāntarādṛṣṭapūrveṇāpūrvasvargādinā sambandho 'nubhavituṃ	kaTam puna a pramANa antara adRzwa pUrveNa apUrva svarga AdinA sambanDaH anuBavitum
   śakyate /	Sakyate /
   na śakyetāpi, yadi pramāṇāntarāgocaratā bhavet /	na Sakyeta api, yadi pramANa antara agocara tA Bavet /
   apūrvaṃ tu śrutakarmaphalasambandhādyanyathānupapattipramāṇakam /	apUrvam tu Srutakarma Pala sambanDa Adi anyaTA anupapatti pramANakam /
   svargaśca niratiśayānandasvabhāvo vaidikavākyaśeṣebhyo 'vagamyata iti	svargaH ca niratiSaya Ananda svaBAvaH vEdika vAkya SezeByaH avagamyate iti
   tathāvagatayo' sambandhagrahaṇopapattiriti /	taTA avagatayaH a sambanDa grahaNa upapattiH iti /
   ato yat parairuktaṃ śabdo nānumānaṃ sambandhānapekṣatvādakṣavaditi	atas yat parEH uktam SabdaH na anumAnam sambanDa anapekza tvAt akza vat iti
   taddhetorasiddhyā dūṣitamityāha    sambandheti ||25||	tad hetoH asidDyA dUzitam iti Aha   sambanDa iti ||25||
   bhedakāraṇāntaramupanyasya dūṣayati   tulyeti /	Beda kAraNa antaram upanyasya dUzayati   tulyA iti /
   śabda pratyāsattyā tajjñānmarthaśca taddhīśceti vigarha' /	Sabda pratyAsattyA tad jQAn marTaH ca tat hIH ca iti vigarha a /
   ayamapyavītaheturdarśayitavya' /	ayam api avIta hetuH darSayitavya a /
   tannirākaraṇaṃ cādhyāsanirākaṇonusandhātavyam /	tad nirAkaraNam ca aDyAsa nirAkaNa Unu sanDAtavyam /
   atastulyākāratvamasiddhamiti ||26||	atas tulyAkAra tvam asidDam iti ||26||
   pratibimbeṣvanekānto bimbaṃ yādṛgdhi darpaṇe /	pratibimbezu anekAntaH bimbam yAdRS Di darpaNe /
   tādṛṅmukhādi budhyante na cātrānanumānatā // Msv_5,5.27 //	tAdRS muKa Adi buDyante na ca atra ananumAna tA // Msu _5,5.27 //
   pratyakṣatā(ta?ya) dāpyatra tadānyairanyabhicāritā /	pratyakzatA a(ta?ya) dApi atra tadA anyEranyaBicAritA /
   yatra pādādi bimbena gatānāmanumīyate // Msv_5,5.28 //	yatra pAda Adi bimbena gatAnAm anumIyate // Msu _5,5.28 //
   ekavākyāt sakṛccoktānnāpyanekasya tatkṣaṇam /	eka vAkyAt sakRt ca uktAn na api anekasya tad kzaNam /
   syādviruddhāviruddhasya bodhādetasya bhinnatā // Msv_5,5.29 //	syAt virudDa avirudDasya boDAt etasya Binna tA // Msu _5,5.29 //
   api ca vivakṣānivṛtteranaikāntiko heturityāha   pratibimbeṣviti /	api ca vivakzA nivRtteH anEkAntikaH hetuH iti Aha    pratibimbezu iti /
   ekānto nirṇaya', so 'sya kāryaṃ, tannāstītyanekānta iti /	ekAntaH nirNaya a, saH asya kAryan, tat na asti iti anekAntaH iti /
   kathamanekānta', ata āha    bimbamiti /	kaTam anekAnta a, atas Aha   bimbam iti /
   yādṛśaṃ hi darpaṇe bimbamupalabhyate tādṛśameva mukhādi budhyate, ato	yAdRSam hi darpaNe bimbam upalaByate tAdRSam eva muKa Adi buDyate, atas 
   'styatrāpi gamyagamakayo' sādṛśyamiti pratibimbeṣu vartamāno	asti atra api gamya gama kayaH a sAdRSyam iti pratibimbezu vartamAnaH 
   heturanaikāntiko bhavatīti /	hetuH anEkAntikaH Bavati iti /
   nanu naidamanumānam, ādarśatejasā hi pratihatena nāyanena tejasā	nanu nEdam anumAnam, AdarSa tejasA hi pratihatena na ayanena tejasA
   prakāśitaṃ pratyakṣameva mukhamavagamyata iti śabdādhikaraṇe vakṣyate /	prakASitam pratyakzam eva muKam avagamyate iti Sabda aDikaraNe vakzyate /
   ata āha    na ceti /	atas Aha   na ca iti /
   ayamabhiprāya'    yadā hyayaṃ paratyakṣeṣvaṅgulyādiṣvādarśavartinā	ayam aBiprAya a   yadA hi ayam paratyakzezu aFgulI Adizu AdarSa vartinA
   pratibimbena tādṛktve viditavyāptirbhavati, tadā mukhamapyādarśagataṃ	pratibimbena tAdRS tve vidita vyAptiH Bavati, tadA muKam api AdarSa gatam
   bimbānurūpamanuminoti /	bimba anurUpam anuminoti /
   itarathā tvaṅgulisannikarṣo 'pyanyarūpamanyādṛktayā bodhayatīti /	itaraTA tu aFguli sannikarzaH api anya rUpam anyAdRS tayA boDayati iti /
   sambhāvayet /	samBAvayet /
   ato na tādṛktvaṃ niścinuyāditi ||27||	atas na tAdRS tvam niScinuyAt iti ||27||
   astu vedaṃ pratyakṣaṃ, kimiti sūkṣmekṣikayā,	astu vedam pratyakzan, kim iti sUkzma IkzikayA,
   viśadataramevānumānamupadarśayāma', yatra gamyagamakayo'	viSadataram eva anumAnam upadarSayAma a, yatra gamya gamakayaH a
   sādṛśyamavagamyata	sAdRSyam avagamyata
   ityāha   pratyakṣateti /	iti Aha    pratyakza ta iti /
   gatānāmityanumānaviṣayasiddyarthamapratyakṣatāṃ darśayatīti ||28||	gatAnAm iti anumAna vizaya siddi arTam apratyakzatAm darSayati iti ||28||
   yadapīdamuktam    śābde hi sakṛduktameva vākyaṃ sahasā nānārthān	yat api idam uktam    SAbde hi sakRt uktam eva vAkyam sahasA nAnA arTAn
   pratibhāsayati viruddhānaviruddhāṃśca, codanālakṣaṇor'tho dharma', śveto	pratiBAsayati virudDa an avirudDAn= ca, codanA lakzaNor aTo Darma a, SvetaH 
   dhāvatīti ca yathā, naivamanumāne /	DAvati iti ca yaTA, na evam anumAne /
   dhūmo hi yenaiva viditavyāptistatraikatraiva dhiyamādadhāti /	DUmaH hi yena eva vidita vyAptiH tatra ekatra eva Diyam AdaDAti /
   ata' śabdānumānayorbheda' /	ata a Sabda anumAnayoH BedaH a /
   prayogaśca bhavati    śabdo 'numānād bhinna' ekadā	prayogaH ca Bavati   SabdaH anumAnAt Binna a ekadA
   nānārthapratibhāsādakṣavaditi /	nAnA arTa pratiBAsA dakza vat iti /
   anītaheturvā, liṅgamekameva	anIta hetuH vA, liFgam ekam eva
   liṅgasyāpi hi tādrūpyaṃ dṛśṭaṃ hetuviruddhayo' /	liFgasya api hi tAdrUpyam dRSwam hetu virudDayaH a /
   virodhānnānumānaṃ cet syādanāgamatāpi te // Msv_5,5.30 //	viroDAt na anumAnam ced syAt anAgamatA api te // Msu _5,5.30 //
   yatra caikārthatā vākye tatra syādanumānatā /	yatra ca ekArTa tA vAkye tatra syAt anumAna tA /
   sakṛduccarite cāsmin vivakṣaikaiva dṛśyate // Msv_5,5.31 //	sakRt uccarite ca asmin vivakzA ekA eva dRSyate // Msu _5,5.31 //
   yastvanirdhāritārthānāmanekapratibhodbhava'||	yaH tu anirDArita arTAnAm aneka pratiBA udBava a||
   sa liṅge 'pyasphuṭe dṛṣṭastasmānnaitena bhidyate // Msv_5,5.32 //	sa liFge api asPuwe dRzwaH tasmAt na etena Bidyate // Msu _5,5.32 //
   prakāśayati, yathā dhūmādi,na ca tathā śabda',ato bhidyata iti /	prakASayati, yaTA DUma Adi,na ca taTA Sabda a,atas Bidyate iti /
   tadupanyasya dūṣayati   ekavākyāditi /	tad upanyasya dUzayati   eka vAkyAt iti /
   anenāpi prakāreṇa na bhinnatetyartha iti ||29||	anena api prakAreNa na Binna tA iti arTaH iti ||29||
   kimiti na bhinnatā, ata āha   liṅgasyāpīti /	kim iti na Binna tA, atas Aha     liFgasya api iti /
   anaikāntiko hetiriti bhāva' /	anEkAntikaH hetiH iti BAva a /
   heturhi dhūmo 'gnitvamuṣṇatvaṃ dāhakatvamindhanavikāratvaṃ ca ekadaiva	hetuH hi DUmaH agni tvam uzNa tvam dAhaka tvam inDana vikAra tvam ca ekadA eva
   pratipādayati /	pratipAdayati /
   tathā viruddha'  nitya' śabda' kṛtakatvāditi, vivakṣānusāreṇa	taTA virudDaH a nitya a Sabda a kRtaka tvAt iti, vivakzA anusAreNa
   tāvannityatāṃ pratipādayati, vyāptibalena cānityatvamato 'naikāntiko	tAvat nityatAm pratipAdayati, vyApti balena ca anitya tvam atas anEkAntikaH 
   heturiti /	hetuH iti /
   nanu na viruddho 'naikamartha pratipādayati, vyāptibalena hi liṅgaṃ	nanu na virudDaH anEkam arTa pratipAdayati, vyApti balena hi liFgam
   pratipādakaṃ bhavati /	pratipAdakam Bavati /
   ata' kṛtakatvamanityatvena vyāptamiti tadeva gamayati,	ata a kRtaka tvam anitya tvena vyAptam iti tat eva gamayati,
   viruddhārthavyāptistvekasya virodhādeva na sambhavatīti /	virudDa arTa vyAptiH tu ekasya viroDAt eva na samBavati iti /
   tattāvadāśaṅkate    virodhāditi /	tad tAvat ASaFkate   viroDAt iti /
   uttaramāha    syāditi /	uttaram Aha   syAt iti /
   vivakṣitārthapratipādane hi śabdasya śaktiravagatā, ata' so	vivakzita arTa pratipAdane hi Sabdasya SaktiH avagatA, ata a saH 
   'pyekadaikamarthaṃ pratipādayati, arthāntare tvasāvapi virodhādanāgamaka	api ekadA ekam arTam pratipAdayati, arTa antare tu asO= api viroDAt anAgamaka
   eveti ||30||	eva iti ||30||
   bhūyasāṃ caikārthānāṃ vākyānāṃ nānena hetunā bheda'	BUyasAm ca eka arTAnAm vAkyAnAm na anena hetunA Beda a
   sidhyatītyāha   yatraceti /	siDyati iti Aha   yatra cA iti /
   na kevalaṃ viruddhamanekaṃ śabdo na pratipādayati, kintu aviruddhamapi /	na kevalam virudDam anekam SabdaH na pratipAdayati, kintu avirudDam api /
   uktamidaṃ    vivakṣite śabda' pramāṇamiti /	uktam idaM   vivakzite Sabda a pramANam iti /
   sakṛduccaritāñca buddho bhavati /	sakRt uccaritAn ca budDaH Bavati /
   ato na kvacidanekārthapratipādanamityasiddho heturityāha    sakṛditi	atas na kvacid aneka arTa pratipAdanam iti asidDaH hetuH iti Aha   sakRt iti
   nanvasti tāvadanekārthapratibhānaṃ śabdāta, pramāṇaṃ tvekatra bhavatu	nanu asti tAvat aneka arTa pratiBAnam SabdAta, pramANam tu ekatra Bavatu
   nāma, etāvatā ca siddhamanumānād vaidharmyamata āha   yastviti /	nAma, etAvatA ca sidDam anumAnAt vEDarmyam atas Aha   yaH tu iti /
   yathā hi	yaTA hi
   dṛṣṭāntānabhidhānaṃ dhūmādau vyabhicāritam /	dRzwAntAn aBiDAnam DUma AdO vyaBicAritam /
   prasiddhatvāddhi tatrāpi na dṛṣṭānto 'bhidhīyate // Msv_5,5.33 //	prasidDa tvAt hi tatra api na dRzwAntaH aBiDIyate // Msu _5,5.33 //
   anabhyaste tvapekṣnate śabde sambandhina' smṛtim /	anaByaste tu apekznate Sabde sambanDina a smRtim /
   atra prayukta ityevaṃ budhyante hi cirāt kvacit // Msv_5,5.34 //	atra prayuktaH iti evam buDyante hi cirAt kvacid // Msu _5,5.34 //
   paroktā hetavaścātra nābhedasya nivāritā' /	para uktA hetavaH ca atra nABedasya nivAritA a /
   śabdānumānayoraikyaṃ dhūmādagnyanumānavat // Msv_5,5.35 //	Sabda anumAnayoH Ekyam DUmAt agni anumAna vat // Msu _5,5.35 //
   anvayavyirekābyāmekapratyakṣadarśanāt /	anvayavyiH ekAbyAm eka pratyakza darSanAt /
   sambandhapūrvakatvācca pratipattirito yata' // Msv_5,5.36 //	sambanDa pUrvaka tvAt ca pratipattiH itas yata a // Msu _5,5.36 //
   nyāyyavacanavyaktiparicayāt pūrvaṃ śabdādanekārthā' pariplavante,tathā	nyAyya vacana vyakti paricayAt pUrvam SabdAt aneka arTA a pariplavante, taTA
   liṅge 'pi dhūmādāvasphuṭavidite 'nekārthapratibhānandaṣṭameva /	liFge api DUma AdO= asPuwa vidite aneka arTa pratiBA Anandazwam eva /
   bhavati hi dūrād dhūmo 'yamāhosvid dhūlisantāna iti	Bavati hi dUrAt DUmaH ayam Ahosvit DUli santAnaH iti
   saṃśayānasyāgnivātāvartayoranavasthito vitarka iti ||32||	saMSayAn asya agnivAta AvartayoH anavasTitaH vitarkaH iti ||32||
   tathā śabde dṛṣṭāntānabhidhānamapi dhūmādau vyabhicārānna	taTA Sabde dRzwAntAn aBiDAnam api DUma AdO vyaBicArAn na
   bhedaheturityāha   dṛṣṭānteti /	Beda hetuH iti Aha   dRzwAnta iti /
   kathaṃ vyabhicāra', ata āha   prasiddhatvāditi ||33||	kaTam vyaBicAra a, atas Aha    prasidDa tvAt iti ||33||
   nanvaprasiddhe tāvadasti dṛṣṭāntāpekṣā, śabde tu tadapi nāstītyata	nanu aprasidDe tAvat asti dRzwAnta apekzA, Sabde tu tat api na asti iti ata
   āha   anabhyastaiti /	Aha   anaByaH ta eti /
   apekṣāmeva darśayati    atreti /	apekzAm eva darSayati   atra iti /
   yatra hyaprasiddhapadārthagocara' saṃśayo bhavati, tatra yāvadayaṃ śabdo	yatra hi aprasidDa padArTa gocara a saMSayaH Bavati, tatra yAvat ayam SabdaH 
   'muṣminnarthe vṛddhairācarita iti cireṇa praṇidhāya na budhyate, na tāvat	amuzmin= arTe vRdDEH AcaritaH iti cireNa praNiDAya na buDyate, na tAvat 
   tamarthaṃ niścinuyāditi /	tam arTam niScinuyAt iti /
   tadevaṃ tāvad bhedavādibhirna bhedahetava' samyaguktā iti darśitam ||34||	tat evam tAvat Beda vAdiBiH na Beda hetava a samyak uktAH iti darSitam ||34||
   bauddhoktābhedahetunirāso 'pi tairna kṛta ityāha    paroktā iti /	bOdDa ukta aBeda hetu nirAsaH api tEH na kRtaH iti Aha   paroktA iti /
   tānevābhedahetūnupanyasyati    śabdānumānayoriti	tAn eva aBeda hetUn upanyasyati   Sabda anumAnayoH iti
   sārdadvayena /	sArda dvayena /
   asyārtha'    yathā dhūmādagnyanumānamanvayavyatirekajam, ekasya ca	asya arTa a   yaTA DUmAt agni anumAnam anvaya vyatireka jam, ekasya ca
   dhūmasya pratyakṣadarśanāt,	DUmasya pratyakza darSanAt,
   pratyakṣānyapramāṇatvāt tadadṛṣṭārthabodhanāt /	pratyakza anyapramANa tvAt tad adRzwa arTa boDanAt /
   sāmānyaviṣayatvācc traikālyaviṣayāśrayāt // Msv_5,5.37 //	sAmAnya vizaya tvAt c trEkAlya vizaya ASrayAt // Msu _5,5.37 //
   kaiścinmīmāṃsakairukto bhedo 'tra viṣayāntarāt /	kEScid mImAMsakEH uktaH BedaH atra vizaya antarAt /
   pūrvābhyāṃ hyapiracchinne śāstramarthe pravartate // Msv_5,5.38 //	pUrvAByAm hi apiH acCinne SAstram arTe pravartate // Msu _5,5.38 //
   sambandhapūrvakaṃ ca bhavati, evaṃ śabdādapi jñānaṃ jāyamānamevaṃ jāyate /	sambanDa pUrvakam ca Bavati, evam SabdAt api jQAnam jAyamAnam evam jAyate /
   pratyakṣācca tadanyat pramāṇaṃ, pratyakṣādṛṣṭaṃ cārthaṃ bodhayati,	pratyakzAt ca tat anyat pramANan, pratyakza adRzwam ca arTam boDayati,
   sāmānyaviṣayaṃ ca śābdaṃ, traikālyāśrayaṃ ca /	sAmAnya vizayam ca SAbdan, trEkAlya ASrayam ca /
   ato na bhidyate /	atas na Bidyate /
   idaṃ ca sādhanavākyasyārthakathanam /	idam ca sADana vAkyasya arTa kaTanam /
   sādhanaprayogāstvevaṃ darśayitavyā'     śābdaṃ	sADana prayogAH tu evam darSayitavyA a    SAbdam
   jñānamanumānamanvayavyatirekajatvāt agnyanumānavaditi /	jQAnam anumAnam anvaya vyatireka ja tvAt agni anumAna vat iti /
   ekapratyakṣadarśanotpatte', tadvadeva sambandhapūrvakatvaṃ(vā?ca) hetu' /	eka pratyakza darSana utpatte a, tadvat eva sambanDa pUrvaka tvaM(vA?ca) hetu a /
   tāveva sādhyadṛṣṭāntau /	tO= eva sADya dRzwAntO /
   na ca katavācyamanvayavyatirekajatvāt sambandhapūrvakatvaṃ na bhidyate,	na ca katavAcyam anvaya vyatireka ja tvAt sambanDa pUrvaka tvam na Bidyate,
   anvayavyatirekātmakatvādanumānasambandhasyeti /	anvaya vyatireka Atmaka tvAt anumAna sambanDasya iti /
   pūrvaṃ hi sambandhaviśeṣajatvaṃ heturukta' idānīṃ tvavivakṣitaviśeṣaṃ	pUrvam hi sambanDa viSeza ja tvam hetuH ukta a idAnIm tu avivakzita viSezam
   sambandhasāmānyapūrvakatvamiti /	sambanDa sAmAnya pUrvaka tvam iti /
   evamuttareṣvapi triṣu pūrvavatsādhyadṛṣṭāntayojanā kāryā /	evam uttarezu api trizu pUrvavat sADya dRzwAnta yojanA kAryA /
   caturthe tvagnyanumānaṃ pradarśanamātram /	caturTe tu agni anumAnam pradarSana mAtram /
   bhaviṣyadavṛttavṛ(ttya?ṣṭya) numāne api darśayitavye iti ||35 37||	Bavizyat avRtta vR(tti a?zwya) nu mAne api darSayitavye iti ||35 37||
