   Revākhaṇḍa of the Vāyupurāṇa	RevAKaNxaH of Te VAyupurANa
   jānāsi tvaṃ jagaccheṣaṃ prabho maithunasambhavāt // RKV_150.22 //	jAnAsi tvam jagat Sezam praBo mETuna samBavAt // RKV_150.22 //
   prajāḥ sarvā viśuṣyanti kāmena rahitā vibho // RKV_150.23 //	prajAH sarvAH viSuzyanti kAmena rahitAH viBo // RKV_150.23 //
   etacchrutvā vacasteṣāṃ devānāṃ prapitāmahaḥ /	etat SrutvA vacaH tezAm devAnAm prapitAmahaH /
   jagāma sahitas tatra yatra devo maheśvaraḥ // RKV_150.24 //	jagAma sahitaH tatra yatra devaH maheSvaraH // RKV_150.24 //
   atoṣayajjagannāthaṃ sarvabhūtamaheśvaram /	atozayat jagannATam sarva BUta maheSvaram /
   stutibhistaṇḍakaiḥ stotrairvedavedāṅgasambhavaiḥ // RKV_150.25 //	stutiBiH taNxakEH stotrEH veda vedAFga samBavEH // RKV_150.25 //
   tatas tuṣṭo mahādevo devānāṃ parameśvaraḥ /	tatas tuzwaH mahAdevaH devAnAm parameSvaraH /
   uvāca madhurāṃ vāṇīṃ devānbrahmapurogamān // RKV_150.26 //	uvAca maDurAm vANIm devAn brahma purogamAn // RKV_150.26 //
   kiṃ kāryaṃ kaśca santāpaḥ kiṃ vāgamanakāraṇam /	kim kAryam kaH ca santApaH kim vA Agamana kAraNam /
   devatānām ṛṣīṇāṃ ca kathyatāṃ mama māciram // RKV_150.27 //	devatAnAm RzINAm ca kaTyatAm mama mAciram // RKV_150.27 //
   devā ūcuḥ /	devAH UcuH /
   kāmanāśājjagannāśo bhavitāyaṃ carācare /	kAma nASAt jagat nASaH BavitA ayam carAcare /
   trailokyaṃ tvaṃ punaḥ śambho utpādayitum arhasi // RKV_150.28 //	trElokyam tvam punar SamBo utpAdayitum arhasi // RKV_150.28 //
   etacchrutvā vacas teṣāṃ vimṛśya parameśvaraḥ /	etat SrutvA vacaH tezAm vimRSya parameSvaraH /
   cintayāmāsa kāmasya vigrahaṃ bhuvi durlabham // RKV_150.29 //	cintayAmAsa kAmasya vigraham Buvi durlaBam // RKV_150.29 //
   ājagāma tataḥ śīghram anaṅgo hyaṅgatāṃ gataḥ /	AjagAma tatas SIGram anaFgaH hi aFga tAm gataH /
   prāṇadaḥ sarvabhūtānāṃ paśyatāṃ nṛpasattama // RKV_150.30 //	prANa daH sarva BUtAnAm paSyatAm nRpa sattamaH // RKV_150.30 //
   tataḥ śaṅkhaninādena bherīṇāṃ niḥsvanena ca /	tatas SaFKa ninAdena BerINAm niHsvanena ca /
   abhyanandaṃs tato devaṃ surāsuramahoragāḥ // RKV_150.31 //	aByanandan tatas devam sura asura mahA uragAH // RKV_150.31 //
   namaste devadeveśa kṛtārthāḥ surasattamāḥ /	namaH te devadeveSa kRtArTAH sura sattamAH /
   visarjitāḥ punarjagmur yathāgatam arindama // RKV_150.32 //	visarjitAH punar jagmuH yaTAgatam arindamaH // RKV_150.32 //
   gateṣu sarvadeveṣu kāmadevo 'pi bhārata /	gatezu sarva devezu kAmadevaH api BArata /
   tapaścacāra vipulaṃ narmadātaṭamāśritaḥ // RKV_150.33 //	tapaH cacAra vipulam narmadA tawam ASritaH // RKV_150.33 //
   tapojapakṛśībhūto divyaṃ varṣaśataṃ kila /	tapaH japa kRSIBUtaH divyam varza Satam kila /
   mahābhūtairvighnakaraiḥ pīḍyamānaḥ samantataḥ // RKV_150.34 //	mahABUtEH viGna karEH pIxyamAnaH samantataH // RKV_150.34 //
   ātmavighnavināśārthaṃ saṃsmṛtaḥ kuṇḍaleśvaraḥ /	Atma viGna vinASa arTam saMsmRtaH kuNxaleSvaraH /
   cakāra rakṣāṃ sarvatra śarapāte nṛpottama // RKV_150.35 //	cakAra rakzAm sarvatra Sara pAte nRpa uttamaH // RKV_150.35 //
   tatastuṣṭo mahādevo dṛḍhabhaktyā varapradaḥ /	tatas tuzwaH mahAdevaH dRXa BaktyA vara pradaH /
   vareṇa chandayāmāsa kāmaṃ kāmavināśanaḥ // RKV_150.36 //	vareNa CandayAmAsa kAmam kAma vinASanaH // RKV_150.36 //
   jñātvā tuṣṭaṃ mahādevamuvāca jhaṣaketanaḥ /	jQAtvA tuzwam mahAdevam uvAca Jaza ketanaH /
   praṇataḥ prāñjalir bhūtvā devadevaṃ trilocanam // RKV_150.37 //	praNataH prAQjaliH BUtvA devadevam trilocanam // RKV_150.37 //
   yadi tuṣṭo 'si deveśa yadi deyo varo mama /	yadi tuzwaH asi deveSa yadi deyaH varaH mama /
   atra tīrthe jagannātha sadā saṃnihito bhava // RKV_150.38 //	atra tIrTe jagannATa sadA saMnihitaH Bava // RKV_150.38 //
   tatheti coktvā vacanaṃ devadevo maheśvaraḥ /	taTA iti ca uktvA vacanam devadevaH maheSvaraH /
   jagāmākāśamāviśya stūyamāno 'psarogaṇaiḥ // RKV_150.39 //	jagAma AkASam AviSya stUyamAnaH apsaraH gaNEH // RKV_150.39 //
   gate cādarśanaṃ deve kāmadevo jagadgurum /	gate ca adarSanam deve kAmadevaH jagadgurum /
   sthāpayāmāsa rājendra kusumeśvarasaṃjñitam // RKV_150.40 //	sTApayAmAsa rAja indra kusumeSvara saMjQitam // RKV_150.40 //
   tatra tīrthe tu yaḥ snātvā hyupavāsaparāyaṇaḥ /	tatra tIrTe tu yaH snAtvA hi upavAsa parAyaNaH /
   caitramāse caturdaśyāṃ madanasya dine 'thavā // RKV_150.41 //	cEtra mAse caturdaSyAm madanasya dine aTavA // RKV_150.41 //
   prabhāte vimale prāpte snātvā pūjya divākaram /	praBAte vimale prApte snAtvA pUjya divAkaram /
   tilamiśreṇa toyena tarpayet pitṛdevatāḥ // RKV_150.42 //	tila miSreNa toyena tarpayet pitR devatAH // RKV_150.42 //
   kṛtvā snānaṃ vidhānena pūjayitvā ca taṃ nṛpa /	kRtvA snAnam viDAnena pUjayitvA ca tam nRpa /
   piṇḍanirvapaṇaṃ kuryāt tasya puṇyaphalaṃ śṛṇu // RKV_150.43 //	piNxa nirvapaNam kuryAt tasya puNya Palam SRNu // RKV_150.43 //
   sattrayājiphalaṃ yacca labhate dvādaśābdikam /	sattra yAji Palam yat ca laBate dvAdaSa Abdikam /
   piṇḍadānātphalaṃ tacca labhate nātra saṃśayaḥ // RKV_150.44 //	piNxa dAnAt Palam tat ca laBate na atra saMSayaH // RKV_150.44 //
   aṅkullamūle yaḥ piṇḍaṃ pitḥnuddiśya dāpayet /	aFkulla mUle yaH piNxam pitHnuddiSya dApayet /
   tasya te dvādaśābdāni tṛptiṃ yānti pitāmahāḥ // RKV_150.45 //	tasya te dvAdaSa abdAni tRptim yAnti pitAmahAH // RKV_150.45 //
   kṛmikīṭapataṅgā ye tatra tīrthe yudhiṣṭhira /	kRmi kIwa pataFgAH ye tatra tIrTe yuDizWira /
   prāpnuvanti mṛtāḥ svargaṃ kiṃ punarye narā mṛtāḥ // RKV_150.46 //	prApnuvanti mRtAH svargam kim punar ye narAH mRtAH // RKV_150.46 //
   saṃnyāsaṃ kurute yo 'tra jitakrodho jitendriyaḥ /	saMnyAsam kurute yaH atra jita kroDaH jita indriyaH /
   kusumeśe naro bhaktyā sa gacchecchivamandiram // RKV_150.47 //	kusumeSe naraH BaktyA sa gacCet Siva mandiram // RKV_150.47 //
   tatra divyāpsarobhiśca devagandharvagāyanaiḥ /	tatra divya apsaroBiH ca deva ganDarva gAyanEH /
   krīḍate sevyamānastu kalpakoṭiśataṃ nṛpa // RKV_150.48 //	krIxate sevyamAnaH tu kalpa kowi Satam nRpa // RKV_150.48 //
   pūrṇe caiva tataḥ kāla iha mānuṣyatāṃ gataḥ /	pUrNe ca eva tatas kAlaH iha mAnuzya tAm gataH /
   jāyate rājarājendraiḥ pūjyamāno nṛpo mahān // RKV_150.49 //	jAyate rAja rAja indrEH pUjyamAnaH nRpaH mahAn // RKV_150.49 //
   surūpaḥ subhago vāgmī vikrānto matimāñchuciḥ /	surUpaH suBagaH vAgmI vikrAntaH matimAn SuciH /
   jīvedvarṣaśataṃ sāgraṃ sarvavyādhivivarjitaḥ // RKV_150.50 //	jIvet varza Satam sAgram sarva vyADi vivarjitaH // RKV_150.50 //
   etatpuṇyaṃ pāpaharaṃ tīrthakoṭiśatādhikam /	etat puNyam pApa haram tIrTa kowi Sata aDikam /
   kusumeśeti vikhyātaṃ sarvadevanamaskṛtam // RKV_150.51 //	kusumeSa iti viKyAtam sarva deva namaskRtam // RKV_150.51 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe kusumeśvaratīrthamāhātmyavarṇanaṃ nāma	Avantya KaNxe revAKaNxe kusumeSvaratIrTamAhAtmyavarNanam nAma
   pañcāśadadhikaśatatamo 'dhyāyaḥ ||	paQcASat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 151	RKV aDyAya 151
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   uttare narmadākūle tīrthaṃ paramaśobhanam /	uttare narmadA kUle tIrTam parama SoBanam /
   jayavārāhamāhātmyaṃ sarvapāpapraṇāśanam // RKV_151.1 //	jaya vArAha mAhAtmyam sarva pApa praNASanam // RKV_151.1 //
   uddhṛtā jagatī yena sarvadevanamaskṛtā /	udDRtA jagatI yena sarva deva namaskRtA /
   lokānugrahabuddhyā ca saṃsthito narmadātaṭe // RKV_151.2 //	loka anugraha budDyA ca saMsTitaH narmadA tawe // RKV_151.2 //
   tatra tīrthe tu yaḥ snātvā vīkṣate madhusūdanam /	tatra tIrTe tu yaH snAtvA vIkzate maDusUdanam /
   mucyate sarvapāpebhyo daśajanmānukīrtanāt // RKV_151.3 //	mucyate sarva pApeByaH daSa janma anukIrtanAt // RKV_151.3 //
   matsyaḥ kūrmo varāhaśca narasiṃho 'tha vāmanaḥ /	matsyaH kUrmaH varAhaH ca narasiMhaH aTa vAmanaH /
   rāmo rāmaśca kṛṣṇaśca buddhaḥ kalkiśca te daśa // RKV_151.4 //	rAmaH rAmaH ca kRzNaH ca budDaH kalkiH ca te daSa // RKV_151.4 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   matsyena kiṃ kṛtaṃ tāta kūrmeṇa munisattama /	matsyena kim kRtam tAta kUrmeNa muni sattamaH /
   varāheṇa ca kiṃ karma narasiṃhena kiṃ kṛtam // RKV_151.5 //	varAheNa ca kim karma narasiMhena kim kRtam // RKV_151.5 //
   vāmanena ca rāmeṇa rāghaveṇa ca kiṃ kṛtam /	vAmanena ca rAmeNa rAGaveNa ca kim kRtam /
   buddharūpeṇa kiṃ vāpi kalkinā kiṃ kṛtaṃ vada // RKV_151.6 //	budDa rUpeNa kim vA api kalkinA kim kRtam vada // RKV_151.6 //
   evamuktastu viprendro dharmaputreṇa dhīmatā /	evam uktaH tu vipra indraH DarmaputreNa DImatA /
   uvāca madhurāṃ vāṇīṃ tadā dharmasutaṃ prati // RKV_151.7 //	uvAca maDurAm vANIm tadA Darmasutam prati // RKV_151.7 //
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   mīno bhūtvā purā kalpe prītyarthaṃ brahmaṇo vibhuḥ /	mInaH BUtvA purA kalpe prIti arTam brahmaNaH viBuH /
   samarpayatsamuddhṛtya vandānmagnānmahārṇave // RKV_151.8 //	samarpayat samudDRtya vandAt magnAn mahA arNave // RKV_151.8 //
   amṛtotpādane rājankūrmo bhūtvā jagadguruḥ /	amRta utpAdane rAjan kUrmaH BUtvA jagadguruH /
   mandaraṃ dhārayāmāsa tathā devīṃ vasuṃdharām // RKV_151.9 //	mandaram DArayAmAsa taTA devIm vasuMDarAm // RKV_151.9 //
   ujjahāra dharāṃ magnāṃ pātālatalavāsinīm /	ujjahAra DarAm magnAm pAtAla tala vAsinIm /
   vārāhaṃ rūpamāsthāya devadevo janārdanaḥ // RKV_151.10 //	vArAham rUpam AsTAya devadevaH janArdanaH // RKV_151.10 //
   narasyārddhatanuṃ kṛtvā siṃhasyārddhatanuṃ tathā /	narasya ardDa tanum kRtvA siMhasya ardDa tanum taTA /
   hiraṇyakaśiporvakṣo vidadāra nakhāṅkuśaiḥ // RKV_151.11 //	hiraNyakaSipoH vakzaH vidadAra naKa aFkuSEH // RKV_151.11 //
   jaṭī vāmanarūpeṇa stūyamāno dvijottamaiḥ /	jawI vAmana rUpeNa stUyamAnaH dvijottamEH /
   taddivyaṃ rūpamāsthāya kramitvā medinīṃ kramaiḥ // RKV_151.12 //	tat divyam rUpam AsTAya kramitvA medinIm kramEH // RKV_151.12 //
   kṛtavāṃśca baliṃ paścāt pātālatalavāsinam /	kRtavAn= ca balim paScAt pAtAla tala vAsinam /
   sthāpayitvā surān sarvān gato viṣṇuḥ svakaṃ puram // RKV_151.13 //	sTApayitvA surAn sarvAn gataH vizNuH svakam puram // RKV_151.13 //
   jamadagnisuto rāmo bhūtvā śastrabhṛtāṃ varaḥ /	jamadagni sutaH rAmaH BUtvA SastraBRtAm varaH /
   kṣatriyān pṛthivīpālān avadhīddhaihayādikān // RKV_151.14 //	kzatriyAn pRTivIpAlAn avaDIt hEhaya AdikAn // RKV_151.14 //
   kaśyapāya mahīṃ dattvā saparvatavanākarām /	kaSyapAya mahIm dattvA sa parvata vana AkarAm /
   tapastapati deveśo mahendre 'dyāpi bhārata // RKV_151.15 //	tapaH tapati deveSaH mahA indre adya api BArata // RKV_151.15 //
   tato dāśarathī rāmo rāvaṇaṃ devakaṇṭakam /	tatas dASaraTiH rAmaH rAvaNam deva kaNwakam /
   sagaṇaṃ samare hatvā rājyaṃ dattvā vibhīṣaṇe // RKV_151.16 //	sa gaNam samare hatvA rAjyam dattvA viBIzaNe // RKV_151.16 //
   pālayitvā nayādbhūmiṃ makhaiḥ saṃtarpya devatāḥ /	pAlayitvA nayAt BUmim maKEH saMtarpya devatAH /
   svargaṃ gato mahātejā rāmo rājīvalocanaḥ // RKV_151.17 //	svargam gataH mahA tejAH rAmaH rAjIva locanaH // RKV_151.17 //
   vasudevagṛhe bhūyaḥ saṃkarṣaṇasahāyavān /	vasudeva gRhe BUyas saMkarzaNa sahAyavAn /
   avatīrṇo jagannātho vāsudevo yudhiṣṭhira // RKV_151.18 //	avatIrNaH jagannATaH vAsudevaH yuDizWiraH // RKV_151.18 //
   so 'vadhīttava sāmarthyādvadhārthaṃ duṣṭabhūbhṛtām /	saH avaDIt tava sAmarTyAt vaDa arTam duzwa BUBRtAm /
   cāṇūrakaṃsakeśīnāṃ jarāsaṃdhasya bhārata // RKV_151.19 //	cANUra kaMsa keSInAm jarAsaMDasya BArata // RKV_151.19 //
   tena tvaṃ susahāyena hatvā śatrūnnareśvara /	tena tvam su sahAyena hatvA SatrUn nareSvara /
   bhokṣyase pṛthivīṃ sarvāṃ bhrātṛbhiḥ saha saṃbhṛtām // RKV_151.20 //	Bokzyase pRTivIm sarvAm BrAtRBiH saha saMBRtAm // RKV_151.20 //
   tathā buddhatvamaparaṃ navamaṃ prāpsyate 'cyutaḥ /	taTA budDa tvam aparam navamam prApsyate acyutaH /
   śāntimāndevadeveśo madhuhantā madhupriyaḥ // RKV_151.21 //	SAntimAn devadeveSaH maDuhantA maDu priyaH // RKV_151.21 //
   tena buddhasvarūpeṇa devena parameṣṭhinā /	tena budDa svarUpeNa devena paramezWinA /
   bhaviṣyati jagatsarvaṃ mohitaṃ sacarācaram // RKV_151.22 //	Bavizyati jagat sarvam mohitam sa carAcaram // RKV_151.22 //
   na śroṣyanti pituḥ putrāstadāprabhṛti bhārata /	na Srozyanti pituH putrAH tadA praBRti BArata /
   na gurorbāndhavāḥ śiṣyā bhaviṣyatyadharottaram // RKV_151.23 //	na guroH bAnDavAH SizyAH Bavizyati aDara uttaram // RKV_151.23 //
   jito dharmo hyadharmeṇa cāsatyena ṛtaṃ jitam /	jitaH DarmaH hi aDarmeNa ca asatyena Rtam jitam /
   jitāścauraiśca rājānaḥ strībhiśca puruṣā jitāḥ // RKV_151.24 //	jitAH cOrEH ca rAjAnaH strIBiH ca puruzAH jitAH // RKV_151.24 //
   sīdanti cāgnihotrāṇi gurau pūjā praṇaśyati /	sIdanti ca agnihotrANi gurO pUjA praNaSyati /
   sīdanti mānavā dharmāḥ kalau prāpte yudhiṣṭhira // RKV_151.25 //	sIdanti mAnavAH DarmAH kalO prApte yuDizWiraH // RKV_151.25 //
   dvādaśe daśame varṣe nārī garbhavatī bhavet /	dvAdaSe daSame varze nArI garBavatI Bavet /
   kanyāstatra prasūyante brāhmaṇo haripiṅgalaḥ // RKV_151.26 //	kanyAH tatra prasUyante brAhmaNaH hari piFgalaH // RKV_151.26 //
   bhaviṣyati tataḥ kalkirdaśame janmani prabhuḥ // RKV_151.27 //	Bavizyati tatas kalkiH daSame janmani praBuH // RKV_151.27 //
   etat te kathitaṃ rājandevasya parameṣṭhinaḥ /	etat te kaTitam rAjan devasya paramezWinaH /
   kāraṇaṃ daśa janmanāṃ sarvapāpakṣayaṃkaram // RKV_151.28 //	kAraNam daSa janmanAm sarva pApa kzayaMkaram // RKV_151.28 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe śvetavārāhatīrthamāhātmyavarṇanaṃ	Avantya KaNxe revAKaNxe Sveta vArAhatIrTamAhAtmya varNanam
   nāmaikapañcāśadadhikaśatatamo 'dhyāyaḥ ||	nAma ekapaQcASat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 152	RKV aDyAya 152
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   tato gacched dharāpāla bhārgaleśvaram uttamam /	tatas gacCet DarA pAla BArgaleSvaram uttamam /
   śaṅkaraṃ jagataḥ prāṇaṃ smṛtamātrāghanāśanam // RKV_152.1 //	SaFkaram jagataH prANam smRta mAtra aGa nASanam // RKV_152.1 //
   tatra tīrthe tu yaḥ snātvā pūjayet parameśvaram /	tatra tIrTe tu yaH snAtvA pUjayet parameSvaram /
   aśvamedhasya yajñasya phalaṃ prāpnoti mānavaḥ // RKV_152.2 //	aSvameDasya yajQasya Palam prApnoti mAnavaH // RKV_152.2 //
   tatra tīrthe tu yaḥ kaścit prāṇatyāgaṃ kariṣyati /	tatra tIrTe tu yaH kaScid prANatyAgam karizyati /
   anivartikā gatistasya rudralokādasaṃśayam // RKV_152.3 //	anivartikA gatiH tasya rudra lokAt asaMSayam // RKV_152.3 //
   || iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama	|| iti SrI skAnde mahApurANe ekASIti sAhasryAm saMhitAyAm paQcama
   āvantyakhaṇḍe revākhaṇḍe bhārgaleśvaratīrthamāhātmyavarṇanaṃ nāma	Avantya KaNxe revAKaNxe BArgaleSvaratIrTamAhAtmyavarNanam nAma
   dvipañcāśadadhikaśatatamo 'dhyāyaḥ ||	dvipaQcASat aDika SatatamaH aDyAyaH ||
   RKV adhyāya 153	RKV aDyAya 153
   mārkaṇḍeya uvāca:	mArkaNxeyaH uvAca:
   tasyaivānantaraṃ cānyadravitīrthamanuttamam /	tasya eva anantaram ca anyat ravitIrTam anuttamam /
   yasya saṃdarśanādeva mucyante pātakairnarāḥ // RKV_153.1 //	yasya saMdarSanAt eva mucyante pAtakEH narAH // RKV_153.1 //
   ravitīrthe tu yaḥ snātvā naraḥ paśyati bhāskaram /	ravitIrTe tu yaH snAtvA naraH paSyati BAskaram /
   tasya yatphalamuddiṣṭaṃ svayaṃ devena tacchṛṇu // RKV_153.2 //	tasya yat Palam uddizwam svayam devena tat SRNu // RKV_153.2 //
   nāndho na mūko badhiraḥ kule bhavati kaścana /	na anDaH na mUkaH baDiraH kule Bavati kaScana /
   kurūpaḥ kunakhī vāpi tasya janmāni ṣoḍaśa // RKV_153.3 //	ku rUpaH kunaKI vA api tasya janmAni zoxaSa // RKV_153.3 //
   dadrucitrakakuṣṭhāni maṇḍalāni vicarcikā /	dadru citraka kuzWAni maNxalAni vicarcikA /
   naśyanti devabhaktasya ṣaṇmāsānnātra saṃśayaḥ // RKV_153.4 //	naSyanti deva Baktasya zaz mAsAt na atra saMSayaH // RKV_153.4 //
   caritaṃ tasya devasya purāṇe yacchrutaṃ mayā /	caritam tasya devasya purANe yat Srutam mayA /
   na tatkathayituṃ śakyaṃ saṃkṣepeṇa nṛpottama // RKV_153.5 //	na tat kaTayitum Sakyam saMkzepeNa nRpa uttamaH // RKV_153.5 //
   tatra tīrthe tu yaddānaṃ ravimuddiśya dīyate /	tatra tIrTe tu yat dAnam ravim uddiSya dIyate /
   vidhinā pātraviprāya tasyānto nāsti karhicit // RKV_153.6 //	viDinA pAtra viprAya tasya antaH na asti karhicit // RKV_153.6 //
   ayane viṣuve caiva candrasūryagrahe tathā /	ayane vizuve ca eva candra sUrya grahe taTA /
   ravitīrthe pradattānāṃ dānānāṃ phalamuttamam // RKV_153.7 //	ravitIrTe pradattAnAm dAnAnAm Palam uttamam // RKV_153.7 //
   saṃkrāntau yāni dānāni havyakavyāni bhārata /	saMkrAntO yAni dAnAni havya kavyAni BArata /
   apāmiva samudrasya teṣāmanto na labhyate // RKV_153.8 //	apAm iva samudrasya tezAm antaH na laByate // RKV_153.8 //
   yena yena yadā dattaṃ yena yena yadā hutam /	yena yena yadA dattam yena yena yadA hutam /
   tasya tasya tadā kāle savitā pratidāyakaḥ // RKV_153.9 //	tasya tasya tadA kAle savitA pratidAyakaH // RKV_153.9 //
   sapta janmāni tānyeva dadātyarkaḥ punaḥ punaḥ /	sapta janmAni tAni eva dadAti arkaH punar punar /
   śatamindukṣaye dānaṃ sahasraṃ tu dinakṣaye // RKV_153.10 //	Satam indukzaye dAnam sahasram tu dinakzaye // RKV_153.10 //
   saṃkrāntau śatasāhasraṃ vyatīpāte tvanantakam // RKV_153.11 //	saMkrAntO Sata sAhasram vyatIpAte tu anantakam // RKV_153.11 //
   yudhiṣṭhira uvāca:	yuDizWiraH uvAca:
   ravitīrthaṃ kathaṃ tāta puṇyātpuṇyataraṃ smṛtam /	ravitIrTam kaTam tAta puNyAt puNyataram smRtam /
   vistareṇa mamākhyāhi śravaṇau mama lampaṭau // RKV_153.12 //	vistareNa mama AKyAhi SravaNO mama lampawO // RKV_153.12 //
   śrīmārkaṇḍeya uvāca:	SrI mArkaNxeyaH uvAca:
   śṛṇuṣvāvahito bhūtvā hyādityeśvaramuttamam /	SRNuzva avahitaH BUtvA hi AdityeSvaram uttamam /
   uttare narmadākūle sarvavyādhivināśanam // RKV_153.13 //	uttare narmadA kUle sarva vyADi vinASanam // RKV_153.13 //
   purā kṛtayugasyādau jābālirbrāhmaṇo 'bhavat /	purA kRta yugasya AdO jAbAliH brAhmaNaH aBavat /
   vasiṣṭhānvayasambhūto vedaśāstrārthapāragaḥ // RKV_153.14 //	vasizWa anvaya samBUtaH veda SAstra arTa pAragaH // RKV_153.14 //
   pativratā sādhuśīlā tasya bhāryā manasvinī /	pativratA sADu SIlA tasya BAryA manasvinI /
   ṛtukāle tu sā gatvā bhartāram idam abravīt // RKV_153.15 //	Rtu kAle tu sA gatvA BartAram idam abravIt // RKV_153.15 //
   vartate ṛtukālo me bhartāraṃ tvāmupasthitā /	vartate Rtu kAlaH me BartAram tvAm upasTitA /
   bhaja māṃ prītisaṃyuktaḥ putrakāmāṃ tu kāminīm // RKV_153.16 //	Baja mAm prIti saMyuktaH putra kAmAm tu kAminIm // RKV_153.16 //
   evamukto dvijaḥ prāha priye 'dyāhaṃ vratānvitaḥ /	evam uktaH dvijaH prAha priye adya aham vrata anvitaH /
   gacchedānīṃ varārohe dāsya ṛtvantare punaḥ // RKV_153.17 //	gacCa idAnIm varArohe dAsya Rtu antare punar // RKV_153.17 //
   punardvitīye samprāpte ṛtukāle 'pyupasthitā /	punar dvitIye samprApte Rtu kAle api upasTitA /
   punaḥ sā chanditā tena vratastho 'dyeti bhārata // RKV_153.18 //	punar sA CanditA tena vrata sTaH adya iti BArata // RKV_153.18 //
   itthaṃ vā bahuśastena chanditā ca punaḥ punaḥ /	itTam vA bahuSas tena CanditA ca punar punar /
   nirāśā cābhavattatra bhartāraṃ prati bhāminī // RKV_153.19 //	nirASA ca aBavat tatra BartAram prati BAminI // RKV_153.19 //
   duḥkhena mahatāviṣṭā vidhāyānaśanaṃ mṛtā /	duHKena mahatA AvizwAH viDAya anaSanam mRtAH /
   tena bhrūṇahatenaiva pāpena sahasā dvijaḥ // RKV_153.20 //	tena BrUNa hatena eva pApena sahasA dvijaH // RKV_153.20 //
   śīrṇaghrāṇāṅghrirabhavattapaḥ sarvaṃ nanāśa ca /	SIrNa GrANa aFGriH aBavat tapaH sarvam nanASa ca /
   dṛṣṭvātmānaṃ sa kuṣṭhena vyāptaṃ brāhmaṇasattamaḥ // RKV_153.21 //	dRzwvA AtmAnam sa kuzWena vyAptam brAhmaNa sattamaH // RKV_153.21 //
   viṣādaṃ paramaṃ gatvā narmadātaṭamāśritaḥ /	vizAdam paramam gatvA narmadA tawam ASritaH /
   apṛcchadbhāskaraṃ tīrthaṃ dvijebhyo dvijasattamaḥ // RKV_153.22 //	apRcCat BAskaram tIrTam dvijeByaH dvijasattamaH // RKV_153.22 //
   ārogyaṃ bhāskarādicchediti saṃcintya cetasi /	Arogyam BAskarAt icCet iti saMcintya cetasi /
   kutastadbhāskaraṃ tīrthaṃ bho dvijāḥ kathyatāṃ mama // RKV_153.23 //	kutas tat BAskaram tIrTam Bo dvijAH kaTyatAm mama // RKV_153.23 //
