   1. (avidyāpratyayāḥ saṃskārāḥ)	1. (avidyA-pratyayAH saMskArAH)
   13. (jātipratyayā jarāmaraṇaśokaparidevaduḥkhadaurmanasyopāyāsāḥ)	13. (jAti-pratyayAH jarA-maraNa-Soka-parideva-duHKa-dOrmanasya-upAyAsAH)
   jātipratyayaṃ jarāmaraṇam iti /	jAti-pratyayam jarA-maraNam iti /
   jarā katamā / (DhskD 16r8) āha / yat teṣāṃ teṣāṃ satvānāṃ tasmiṃ tasmiṃ	jarA katamA / (DhskD 16r8) Aha / yat tezAm tezAm satvAnAm tasmim tasmin
   satvanikāye jātiḥ saṃjātir avakrāntir abhinirvṛttir vistareṇa	satva-nikAye jAtiH saMjAtiH avakrAntiH aBinirvRttiH vistareNa
   jīvitendriyasya prādurbhāvaḥ iyam ucyate jātiḥ /	jIvita-indriyasya prAdurBAvaH iyam ucyate jAtiH /
   api khalv evam uktaṃ bhagavatā mahānidānaparyāye (DhskD 16r9) vyākaraṇe	api Kalu evam uktam BagavatA mahAnidAna-paryAye (DhskD 16r9) vyAkaraNe
   āyuṣmaty ānande /	Ayuzmati Anande /
   asti pratyayam ānanda jarāmaraṇaṃ / iti pṛṣṭair astīti syād vacanīyaṃ /	asti pratyayam Ananda jarA-maraNam / iti pRzwEH asti-iti syAt vacanIyam /
   vistareṇa yāvaj /	vistareNa yAvat /
   jātiś ced ānanda na syād api nu matsyānāṃ vā matsyatve pakṣināṃ vā (DhskD	jAtiH ced Ananda na syAt api nu matsyAnAm vA matsya-tve pakzinAm vA (DhskD
   16r10) pakṣitve vistareṇa yāvad devānāṃ devatve teṣāṃ teṣām ānanda	16r10) pakzi-tve vistareNa yAvat devAnAm deva-tve tezAm tezAm Ananda
   satvānāṃ tasmiṃ tasmin satvanikāye api nu kasya cit kā cij jātiḥ syān / no	satvAnAm tasmim tasmin satva-nikAye api nu kasya cit kA cit jAtiH syAt / no
   bhadanta / sarvaśo vā punar ānanda jātyām asatyāṃ (DhskD 16v1) api nu	Badanta / sarvaSas vA punar Ananda jAtyAm asatyAm (DhskD 16v1) api nu
   jarāmaraṇaṃ prajnāyeta / no bhadanta / tasmāt tarhy ānanda tan nidānaṃ eṣa	jarA-maraNam prajnAyeta / naH Badanta / tasmAt tarhi Ananda tat nidAnam eza
   samudaya eṣa hetur eṣa pratyayo jarāmaraṇasya yad uta jātiḥ /	samudayaH eza hetuH eza pratyayaH jarA-maraNasya yat uta jAtiH /
   jātipratyayam ānanda jarāmaraṇam iti me yad uktam (DhskD 16v2) etat	jAti-pratyayam Ananda jarA-maraNam iti me yat uktam (DhskD 16v2) etat-
   pratyuktaṃ //	pratyuktam //
   jarā katamā / yat tat khālityaṃ pālityaṃ vistareṇa yāvat saṃskārāṇāṃ	jarA katamA / yat tat KAlityam pAlityam vistareNa yAvat saMskArANAm
   purāṇībhāvo jarjarībhāva iyam ucyate jarā /	purANIBAvaH jarjarIBAvaH iyam ucyate jarA /
   maraṇaṃ katamad / āha / yat teṣāṃ teṣāṃ satvānāṃ tasmāt tasmāt	maraNam katamat / Aha / yat tezAm tezAm satvAnAm tasmAt tasmAt-
   satvanikāyāc (DhskD 16v3) cyutiś cyavanatā bhedo 'ntarhāṇiḥ saṃmoṣaḥ	satva-nikAyAt (DhskD 16v3) cyutiH cyavana-tA BedaH antarhANiH saMmozaH
   parihāṇiḥ āyuṣo hānir ūṣmaṇo hāniḥ skandhānāṃ nikṣepo	parihANiH AyuzaH hAniH UzmaNaH hAniH skanDAnAm nikzepaH-
   jīvitendriyasyoparodho maraṇaṃ kālakriyā idam ucyate maraṇaṃ /	jIvita-indriyasya-uparoDaH maraNam kAla-kriyA idam ucyate maraNam /
   śokaḥ katama / āha (DhskD 16v4) / yat tan mātṛmaraṇena pitṛmaraṇena	SokaH katamaH / Aha (DhskD 16v4) / yat tat mAtR-maraNena pitR-maraNena
   bhrātṛmaraṇena bhaginīmaraṇena jñātikṣayād dhanakṣayād bhogakṣayāt	BrAtR-maraNena BaginI-maraNena jQAti-kzayAt Dana-kzayAt Boga-kzayAt-
   spṛṣṭasya śārīrikābhir vedanābhir duḥkhābis tīvrābhiḥ kharābhiḥ kaṭukābhir	spRzwasya SArIrikABiH vedanABiH duHKAbiH tIvrABiH KarABiH kawukABiH-
   amanāpābhiḥ (DhskD 16v5) prāṇahāriṇībhir yo dāghaḥ saṃdāghaḥ śokaḥ śocanā	amana-apABiH (DhskD 16v5) prANa-hAriNIBiH yaH dAGaH saMdAGaH SokaH SocanA
   śokāyitatvam ayam ucyate śokaḥ /	SokAyita-tvam ayam ucyate SokaH /
   paridevaḥ katama / āha / tathā dahyate tathā paridahyate / hā aṃba hā tāta	paridevaH katamaH / Aha / taTA dahyate taTA paridahyate / hA aMba hA tAta
   hā bhagini hā bhrātaḥ / tad upādāya (DhskD 16v6) yad vākyaṃ vacanaṃ	hA Bagini hA BrAtar / tat upAdAya (DhskD 16v6) yat vAkyam vacanam
   vyāhāro bhāṣā gīr niruktir vākpatho vāgghoṣo vācā vākkarma vāgvijñaptir	vyAhAraH BAzA gIH niruktiH vAkpaTaH vAc-hozaH vAcA vAkkarma vAc-vijQaptiH-
   ārttir bhāṣyaṃ vipralāpo lālapyaṃ lālapyanatā paridevaḥ paridevanatā ayam	ArttiH BAzyam vipralApaH lAlapyam lAlapyanatA paridevaH paridevanatA ayam
   ucyate (DhskD 16v7) paridevaḥ /	ucyate (DhskD 16v7) paridevaH /
   duḥkhaṃ katamad / āha / paṃcavijñānasaṃprayuktam asātaṃ veditaṃ	duHKam katamat / Aha / paMca-vijQAna-saMprayuktam asAtam veditam
   vedanāgatam idam ucyate duḥkhaṃ /	vedanA-gatam idam ucyate duHKam /
   daurmanasyaṃ katarad / āha / manovijñānaṃsaprayuktaṃ asātaṃ veditaṃ	dOrmanasyam katarat / Aha / manaH-vijQAn-aMsa-prayuktam asAtam veditam
   vedanāgatam idam ucyate daurmanasyaṃ (DhskD 16v8) /	vedanA-gatam idam ucyate dOrmanasyam (DhskD 16v8) /
   upāyāsaḥ katama / āha / yaś cetasa āyāsa upāyāsaḥ upāyāsanatā ayam ucyate	upAyAsaH katamaH / Aha / yaH cetasaH AyAsaH upAyAsaH upAyAsana-tA ayam ucyate
   upāyāsaḥ //	upAyAsaH //
   14. (duḥkhaskandhasyābhinirvṛttiḥ)	14. (duHKa-skanDasya-aBinirvRttiH)
   api khalv avidyāduḥkhaskandhaṃ pratītya	api Kalu avidyA-duHKa-skanDam pratItya
   saṃskāraduḥkhaskandhasyābhinirvṛttir bhavati (DhskD 16v9) prādurbhāvaḥ /	saMskAra-duHKa-skanDasya-aBinirvRttiH Bavati (DhskD 16v9) prAdurBAvaH /
   saṃskāraduḥkhaskandhaṃ pratītya vijñānaduḥkhaskandhasyābhinirvṛttir	saMskAra-duHKa-skanDam pratItya vijQAna-duHKa-skanDasya-aBinirvRttiH-
   bhavati prādurbhāvaḥ / vijñānaduḥkhaskandhaṃ pratītya	Bavati prAdurBAvaH / vijQAna-duHKa-skanDam pratItya
   nāmarūpaduḥkhaskandhasyābhinirvṛttir bhavati prādurbhāvaḥ /	nAma-rUpa-duHKa-skanDasya-aBinirvRttiH Bavati prAdurBAvaH /
   nāmarūpaduḥkhaskandhaṃ (DhskD 16v10) pratītya	nAma-rUpa-duHKa-skanDam (DhskD 16v10) pratItya
   ṣaḍāyatanaduḥkhaskandhasyābhinirvṛttir bhavati prādurbhāvaḥ /	zaz-Ayatana-duHKa-skanDasya-aBinirvRttiH Bavati prAdurBAvaH /
   ṣaḍāyatanaduḥkhaskandhaṃ pratītya sparśaduḥkhaskandhasyābhinirvṛttir	zaz-Ayatana-duHKa-skanDam pratItya sparSa-duHKa-skanDasya-aBinirvRttiH-
   bhavati prādurbhāvaḥ / sparśaduḥkhaskandhaṃ (DhskD 17r1) pratītya	Bavati prAdurBAvaH / sparSa-duHKa-skanDam (DhskD 17r1) pratItya
   vedanāduḥkhaskandhasyābhinirvṛttir bhavati prādurbhāvaḥ /	vedanA-duHKa-skanDasya-aBinirvRttiH Bavati prAdurBAvaH /
   vedanāduḥkhaskandhaṃ pratītya tṛṣṇāduḥkhaskandhasyābhinirvṛttir bhavati	vedanA-duHKa-skanDam pratItya tRzNA-duHKa-skanDasya-aBinirvRttiH Bavati
   prādurbhāvaḥ / tṛṣṇāduḥkhaskandhaṃ	prAdurBAvaH / tRzNA-duHKa-skanDam
   pratītyopādānaduḥkhaskandhasyābhinirvṛttir (DhskD 17r2) bhavati	pratItya-upAdAna-duHKa-skanDasya-aBinirvRttiH (DhskD 17r2) Bavati
   prādurbhāvaḥ / upādānaduḥkhaskandhaṃ pratītya	prAdurBAvaH / upAdAna-duHKa-skanDam pratItya
   bhavaduḥkhaskandhasyābhinirvṛttir bhavati prādurbhāvaḥ /	Bava-duHKa-skanDasya-aBinirvRttiH Bavati prAdurBAvaH /
   bhavaduḥkhaskandhaṃ pratītya jātiduḥkhaskandhasyābhinirvittir bhavati	Bava-duHKa-skanDam pratItya jAti-duHKa-skanDasya-aBinirvittiH Bavati
   prādurbhāvaḥ / jātiduḥkhaskandham* (DhskD 17r3) pratītya	prAdurBAvaH / jAti-duHKa-skanDam* (DhskD 17r3) pratItya
   jarāmaraṇaduḥkhaskandhasyābhinirvṛttir bhavati prādurbhāvaḥ // //	jarA-maraNa-duHKa-skanDasya-aBinirvRttiH Bavati prAdurBAvaH // //
   15. (pañca bhayāni vadyāni vairāṇi)	15. (paQca BayAni vadyAni vErANi)
   evaṃ mayā śrutam ekasmin samaye bhagavāṃś chrāvastyāṃ viharati jetavane	evam mayA Srutam ekasmin samaye BagavAn CrAvastyAm viharati jetavane
   'nāthapiṇḍadasyārāme / tatra bhagavān bhikṣūn āmantrayate sma / yasya	anATapiNxadasya-ArAme / tatra BagavAn BikzUn Amantrayate sma / yasya
   kasya cid bhikṣavaḥ (DhskD 17r4) paṃca bhayāni vadyāni vairāṇi aśāntāni	kasya cit BikzavaH (DhskD 17r4) paMca BayAni vadyAni vErANi aSAntAni
   bhavanti sa dṛṣṭa eva dharme vijñānāṃ garhyo bhavati paścāc cānutāpyaḥ	Bavanti sa dRzwaH eva Darme vijQAnAm garhyaH Bavati paScAt ca-anutApyaH
   kāyasya ca bhedāt paraṃ maraṇād apāyadurgatiṃ vinipātaṃ narakeṣūpapadyate	kAyasya ca BedAt param maraNAt apAya-durgatim vinipAtam narakezu-upapadyate
   katamāni paṃca bhayāni (DhskD 17r5) vadyāni vairāṇy aśāntāni bhavanti /	katamAni paMca BayAni (DhskD 17r5) vadyAni vErANi aSAntAni Bavanti /
   yat prāṇātipātikaḥ prāṇātipātapratyayaṃ vadyaṃ vairaṃ prasavati	yat prANa-atipAtikaH prANa-atipAta-pratyayam vadyam vEram prasavati
   prāṇātipātād aprativiratasya evam asyedaṃ prathamaṃ bhayaṃ vadyaṃ vairam	prANa-atipAtAt aprativiratasya evam asya-idam praTamam Bayam vadyam vEram
   aśāntaṃ bhavati /	aSAntam Bavati /
   yad (DhskD 17r6) adattādāyikaḥ kāmamithyācāriko mṛṣāvādikaḥ	yat (DhskD 17r6) adatta-AdAyikaH kAma-miTyAcArikaH mRzAvAdikaH
   surāmaireyamadyapramādasthāyikaḥ surāmaireyamadyapramādasthānabhayaṃ	surA-mEreya-madya-pramAda-sTAyikaH surA-mEreya-madya-pramAda-sTAna-Bayam
   vadyaṃ vairaṃ prasavati surāmaireyamadyapramādasthānād aprativiratasya	vadyam vEram prasavati surA-mEreya-madya-pramAda-sTAnAt aprativiratasya
   (DhskD 17r7) evam asyedaṃ paṃcamaṃ bhayaṃ vadyaṃ vairam aśāntaṃ bhavati /	(DhskD 17r7) evam asya-idam paMcamam Bayam vadyam vEram aSAntam Bavati /
   yasya kasya cid imāni paṃca bhayāni vadyāni vairāṇy aśāntāni bhavanti sa	yasya kasya cit imAni paMca BayAni vadyAni vErANi aSAntAni Bavanti sa
   dṛṣṭa eva dharme vijñānāṃ garhyo bhavati paścāc cānutāpyaḥ / (DhskD 17r8)	dRzwaH eva Darme vijQAnAm garhyaH Bavati paScAt ca-anutApyaH / (DhskD 17r8)
   kāyasya bhedāt paraṃ maraṇād apāyadurgatiṃ vinipātaṃ narakeṣūpapadyate /	kAyasya BedAt param maraNAt apAya-durgatim vinipAtam narakezu-upapadyate /
   yasya tu kasya cit paṃca bhayāni vadyāni vairāṇi śāntāni bhavanti sa dṛṣṭa	yasya tu kasya cit paMca BayAni vadyAni vErANi SAntAni Bavanti sa dRzwa
   eva dharme vijñānāṃ praśasyo bhavati paścāc ca nānutāpyaḥ (DhskD 17r9)	eva Darme vijQAnAm praSasyaH Bavati paScAt ca na-anutApyaH (DhskD 17r9)
   kāyasya ca bhedāt sugatau svargaloke deveṣūpapadyate /	kAyasya ca BedAt sugatO svarga-loke devezu-upapadyate /
   katamāni paṃca bhayāni vadyāni vairāṇi śāntāni bhavanti /	katamAni paMca BayAni vadyAni vErANi SAntAni Bavanti /
   yat* prāṇātipātikaḥ prāṇātipātapratyayaṃ bhayaṃ vadyaṃ vairaṃ prasavati	yat* prANa-atipAtikaH prANa-atipAta-pratyayam Bayam vadyam vEram prasavati
   prāṇātipātāt (DhskD 17r10) prativiratasya evam asyedaṃ prathamaṃ vadyaṃ	prANa-atipAtAt (DhskD 17r10) prativiratasya evam asya-idam praTamam vadyam
   vairaṃ śāntaṃ bhavati /	vEram SAntam Bavati /
   yad adattādāyikaḥ kāmamithyācāriko mṛṣāvādikaḥ	yat adatta-AdAyikaH kAma-miTyAcArikaH mRzAvAdikaH
   surāmaireyamadyapramādasthāyikaḥ surāmaireyamadyapramādasthānapratyayaṃ	surA-mEreya-madya-pramAda-sTAyikaH surA-mEreya-madya-pramAda-sTAna-pratyayam
   (DhskD 17v1) bhayaṃ vadyaṃ vairaṃ prasavati surāmaireyamadyapramādasthānāt	(DhskD 17v1) Bayam vadyam vEram prasavati surA-mEreya-madya-pramAda-sTAnAt
   prativiratasya evam asyedaṃ paṃcamaṃ bhayaṃ vadyaṃ vairaṃ śāntaṃ bhavati /	prativiratasya evam asya-idam paMcamam Bayam vadyam vEram SAntam Bavati /
   yasya kasya cid imāni paṃca bhayāni vadyāni vairāṇi śāntāni bhavanti sa	yasya kasya cit imAni paMca BayAni vadyAni vErANi SAntAni Bavanti sa
   dṛṣṭa eva dharme (DhskD 17v2) vijñānāṃ praśasyo bhavati paścāc ca	dRzwaH eva Darme (DhskD 17v2) vijQAnAm praSasyaH Bavati paScAt ca
   nānutāpyaḥ kāyasya ca bhedāt sugatau svargaloke deveṣūpapadyate / idam	na-anutApyaH kAyasya ca BedAt sugatO svarga-loke devezu-upapadyate / idam
   avocad bhagavān / idam uktvā sugato hy athāparam etad uvāca śāstā //	avocat BagavAn / idam uktvA sugataH hi aTa-aparam etat uvAca SAstA //
   yaḥ prāṇam atipātayati mṛṣāvādaṃ (DhskD 17v3) ca bhāṣate /	yaH prANam atipAtayati mRzAvAdam (DhskD 17v3) ca BAzate /
   loke adattam ādatte paradāraṃ ca gacchati /	loke adattam Adatte para-dAram ca gacCati /
   surāmaireyapānaṃ ca yo naro hy adhigṛdhyati /	surA-mEreya-pAnam ca yaH naraH hi aDigRDyati /
   saktaḥ paṃcasu dharmeṣu duḥśīla iti kathyate /	saktaH paMcasu Darmezu duHSIlaH iti kaTyate /
   kāyasya bhedād duṣprajño narakeṣūpapadyate //	kAyasya BedAt duzprajQaH narakezu-upapadyate //
   yas tu prāṇaṃ nātipātayati (DhskD 17v4) mṛṣāvādaṃ na bhāṣate /	yaH tu prANam na-atipAtayati (DhskD 17v4) mRzAvAdam na BAzate /
   loke adattaṃ nādatte paradāraṃ na gacchati /	loke adattam na-Adatte para-dAram na gacCati /
   surāmaireyapānaṃ ca yo naro nādhigṛdhyati /	surA-mEreya-pAnam ca yaH naraH na-aDigRDyati /
   muktaḥ paṃcasu dharmeṣu śīlavān iti kathyate /	muktaH paMcasu Darmezu SIlavAn iti kaTyate /
   kāyasya bhedāt sugato svargaloke deveṣūpapadyate /	kAyasya BedAt sugataH svarga-loke devezu-upapadyate /
   idam (DhskD 17v5) avocat* //	idam (DhskD 17v5) avocat* //
   16. (upāsakaḥ)	16. (upAsakaH)
   kiyatā upāsako bhavati / yataś ca gṛhī avadātavasanaḥ puruṣaḥ	kiyatA upAsakaH Bavati / yatas ca gRhI avadAta-vasanaH puruzaH
   puruṣendriyeṇa samanvāgataḥ buddhaṃ śaraṇaṃ gacchati dharmaṃ saṃghaṃ	puruza-indriyeNa samanvAgataH budDam SaraNam gacCati Darmam saMGam
   śaraṇaṃ gacchati cittam utpādayati vācaṃ ca bhāṣate upāsakaṃ (DhskD 17v6)	SaraNam gacCati cittam utpAdayati vAcam ca BAzate upAsakam (DhskD 17v6)
   māṃ dhārayeti / iyatā upāsako bhavati /	mAm DArayA-iti / iyatA upAsakaH Bavati /
   kiyatā upāsakaḥ śikṣāsv ekadeśakārī bhavati / yataś copāsakaḥ buddhaṃ	kiyatA upAsakaH SikzAsu eka-deSa-kArI Bavati / yatas ca-upAsakaH budDam
   śaraṇaṃ gato bhavati dharmaṃ saṃghaṃ śaraṇaṃ gato bhavati prāṇātipātāt	SaraNam gataH Bavati Darmam saMGam SaraNam gataH Bavati prANa-atipAtAt-
   (DhskD 17v7) prativirataḥ adattādānāt kāmamithyācārān mṛṣāvādād	(DhskD 17v7) prativirataH adatta-AdAnAt kAma-miTyA-AcArAn mRzAvAdAt-
   aprativirataḥ iyatā upāsakaḥ śikṣāsv ekadeśakārī bhavati /	aprativirataH iyatA upAsakaH SikzAsu eka-deSa-kArI Bavati /
   kiyatā upāsakaḥ śikṣāsu (DhskD 17v8) pradeśakārī bhavati / yataś copāsakaḥ	kiyatA upAsakaH SikzAsu (DhskD 17v8) pradeSa-kArI Bavati / yatas ca-upAsakaH
   buddhaṃ śaraṇaṃ gato bhavati dharmaṃ saṃghaṃ śaraṇaṃ gato bhavati	budDam SaraNam gataH Bavati Darmam saMGam SaraNam gataH Bavati
   prāṇātipātād adattādānāt prativirataḥ kāmamithyācārān mṛṣāvādāt	prANa-atipAtAt adatta-AdAnAt prativirataH kAma-miTyA-AcArAn mRzAvAdAt-
   surāmaireyamadyapramādasthānād (DhskD 17v9) aprativirataḥ iyatā upāsakaḥ	surA-mEreya-madya-pramAda-sTAnAt (DhskD 17v9) aprativirataH iyatA upAsakaH
   śikṣāsu pradeśakārī bhavati /	SikzAsu pradeSa-kArI Bavati /
   kiyatā upāsakaḥ śikṣāsu yadbhūyaskārī bhavati / yataś copāsakaḥ buddhaṃ	kiyatA upAsakaH SikzAsu yat-BUyaskArI Bavati / yatas ca-upAsakaH budDam
   śaraṇaṃ gato bhavati dharmaṃ saṃghaṃ śaraṇaṃ (DhskD 17v10) gato bhavati	SaraNam gataH Bavati Darmam saMGam SaraNam (DhskD 17v10) gataH Bavati
   prāṇātipātād adattādānāt kāmamithyācārāt prativirataḥ mṛṣāvādāt	prANa-atipAtAt adatta-AdAnAt kAma-miTyA-AcArAt prativirataH mRzAvAdAt
   surāmaireyamadyapramādasthānād aprativirataḥ iyatā upāsakaḥ śikṣāsu	surA-mEreya-madya-pramAda-sTAnAt aprativirataH iyatA upAsakaH SikzAsu
   yadbhūyaskāri bhavati /	yat-BUyaskAri Bavati /
   (DhskD 18r1) kiyatā upāsakaḥ śikṣāsv aparipūrṇakārī bhavati / yataś	(DhskD 18r1) kiyatA upAsakaH SikzAsu aparipUrNa-kArI Bavati / yatas-
   copāsakaḥ buddhaṃ śaraṇaṃ gato bhavati dharmaṃ saṃghaṃ śaraṇaṃ gato	ca-upAsakaH budDam SaraNam gataH Bavati Darmam saMGam SaraNam gataH-
   bhavati prāṇātipātād adattādānāt kāmamithyācārān mṛṣāvādāt prativirataḥ	Bavati prANa-atipAtAt adatta-AdAnAt kAma-miTyA-AcArAn mRzAvAdAt prativirataH
   surāmaireyamadyapramādasthānād (DhskD 18r2) aprativirataḥ iyatā upāsakaḥ	surA-mEreya-madya-pramAda-sTAnAt (DhskD 18r2) aprativirataH iyatA upAsakaH
   śikṣāsv aparipūrṇakārī bhavati /	SikzAsu aparipUrNa-kArI Bavati /
   kiyatā upāsakaḥ śikṣāsu paripūrṇakārī bhavati / yataś copāsakaḥ buddhaṃ	kiyatA upAsakaH SikzAsu paripUrNa-kArI Bavati / yatas ca-upAsakaH budDam
   śaraṇaṃ gato bhavati dharmaṃ saṃghaṃ śaraṇaṃ gato bhavati prāṇātipātāt	SaraNam gataH Bavati Darmam saMGam SaraNam gataH Bavati prANa-atipAtAt-
   (DhskD 18r3) prativirataḥ adattādānāt kāmamithyācārān mṛṣāvādāt	(DhskD 18r3) prativirataH adatta-AdAnAt kAma-miTyA-AcArAn mRzAvAdAt-
   surāmaireyamadyapramādasthānāt prativirataḥ iyatā upāsakaḥ śikṣāsu	surA-mEreya-madya-pramAda-sTAnAt prativirataH iyatA upAsakaH SikzAsu
   paripūrṇakārī bhavati //	paripUrNa-kArI Bavati //
   paṃcabhir dharmaiḥ samanvāgataḥ upāsakaḥ (DhskD 18r4) ātmahitāya	paMcaBiH DarmEH samanvAgataH upAsakaH (DhskD 18r4) Atma-hitAya
   pratipanno bhavati na parahitāya / katamaiḥ paṃcabhiḥ / ātmanā	pratipannaH Bavati na para-hitAya / katamEH paMcaBiH / AtmanA
   prāṇātipātāt prativirato bhavati / no tu parān prāṇātipātaviratau	prANa-atipAtAt prativirataH Bavati / no tu parAn prANa-atipAta-viratO
   samādāpayati /	samAdApayati /
   ātmanā adattādānāt326 (DhskD 18r5) kāmamithyācārān mṛṣāvādāt	AtmanA adatta-AdAnAt326 (DhskD 18r5) kAma-miTyA-AcArAn mRzAvAdAt-
   surāmaireyamadyapramādasthānāt prativirato bhavati / no tu parān	surA-mEreya-madya-pramAda-sTAnAt prativirataH Bavati / no tu parAn
   surāmaireyamadyapramādasthānaviratau samādāpayati / ebhiḥ paṃcabhiḥ (DhskD	surA-mEreya-madya-pramAda-sTAna-viratO samAdApayati / eBiH paMcaBiH (DhskD
   18r6) dharmaiḥ samanvāgata upāsaka ātmahitāya pratipanno bhavati	18r6) DarmEH samanvAgataH upAsakaH Atma-hitAya pratipannaH Bavati
   parahitāya //	para-hitAya //
   daśabhir dharmaiḥ samanvāgata upāsakaḥ ātmahitāya pratipanno bhavati	daSaBiH DarmEH samanvAgataH upAsakaH Atma-hitAya pratipannaH Bavati
   parahitāya ca / ātmanā prāṇātipātāt prativirato (DhskD 18r7) bhavati	para-hitAya ca / AtmanA prANa-atipAtAt prativirataH (DhskD 18r7) Bavati
   parāṃś ca prāṇātipātaviratau samādāpayati / ātmanā adattādānāt	parAn ca prANa-atipAta-viratO samAdApayati / AtmanA adatta-AdAnAt-
   kāmamithyācārān mṛṣāvādāt surāmaireyamadyapramādasthānāt prativirato	kAma-miTyA-AcArAn mRzAvAdAt surA-mEreya-madya-pramAda-sTAnAt prativirataH-
   bhavati parāṃś ca surāmaireyamadyapramādasthānaviratau (DhskD 18r8)	Bavati parAn ca surA-mEreya-madya-pramAda-sTAna-viratO (DhskD 18r8)
   samādāpayati / ebhir daśabhir dharmais samanvāgataḥ upāsakaḥ ātmahitāya	samAdApayati / eBiH daSaBiH DarmEH samanvAgataH upAsakaH Atma-hitAya
   pratipanno bhavati parahitāya ca //	pratipannaH Bavati para-hitAya ca //
   paṃcadaśabhir dharmais samanvāgata upāsakaḥ atmāhitāya pratipanno bhavati	paMcadaSaBiH DarmEH samanvAgataH upAsakaH atma-ahitAya pratipannaH Bavati
   parahitāya ca (DhskD 18r9) bahujanahitāya bahujanasukhāya ca / ātmanā	para-hitAya ca (DhskD 18r9) bahu-jana-hitAya bahu-jana-suKAya ca / AtmanA
   prāṇātipātāt prativirato bhavati parān api prāṇātipātaviratau samādāpayati	prANa-atipAtAt prativirataH Bavati parAn api prANa-atipAta-viratO samAdApayati
   prāṇātipātavirataṃ ca dṛṣṭvā sumanojño bhavati /	prANa-atipAta-viratam ca dRzwvA su-manojQaH Bavati /
   ātmanā (DhskD 18r10) adattādānāt kāmamithyācārān mṛṣāvādāt	AtmanA (DhskD 18r10) adatta-AdAnAt kAma-miTyA-AcArAn mRzAvAdAt-
   surāmaireyamadyapramādasthānaviratau samādāpayati	surA-mEreya-madya-pramAda-sTAna-viratO samAdApayati
   surāmaireyamadyapramādasthānavirataṃ ca dṛṣṭvā sumanojño bhavaty / ebhiḥ	surA-mEreya-madya-pramAda-sTAna-viratam ca dRzwvA su-manojQaH Bavati / eBiH
   paṃcadaśabhir dharmaiḥ (DhskD 18v1) samanvāgataḥ upāsakaḥ ātmahitāya	paMcadaSaBiH DarmEH (DhskD 18v1) samanvAgataH upAsakaH Atma-hitAya
   pratipanno bhavati parahitāya bahujanahitāya bahujanasukhāya ca //	pratipannaH Bavati para-hitAya bahu-jana-hitAya bahu-jana-suKAya ca //
   aṣṭābhir dharmais samanvāgata upāsakaḥ ātmahitāya pratipanno bhavati na	azwABiH DarmEH samanvAgataH upAsakaH Atma-hitAya pratipannaH Bavati na
   parahitāya / ātmanā (DhskD 18v2) śraddhāsaṃpanno bhavati no tu parāṃ	para-hitAya / AtmanA (DhskD 18v2) SradDA-saMpannaH Bavati no tu parAm
   cchraddhāsaṃpadi samādāpayati / ātmānā śīlasaṃpannas tyāgasaṃpannaḥ /	cCradDA-saMpadi samAdApayati / AtmAnA SIla-saMpannaH tyAga-saMpannaH /
   abhīkṣṇam ārāmaṃ gantā bhavati bhikṣūṇāṃ darśanāya / avahitaśrotro dharmaṃ	aBIkzNam ArAmam gantA Bavati BikzUNAm darSanAya / avahita-SrotraH Darmam
   śṛṇoti / śrutānāṃ dharmāṇāṃ dhāraṇajātīyo bhavati (DhskD 18v3) / dhṛtānāṃ	SRNoti / SrutAnAm DarmANAm DAraNa-jAtIyaH Bavati (DhskD 18v3) / DRtAnAm
   dharmāṇām arthopaparīkṣī bhavati / ātmanā upaparīkṣitānāṃ dharmāṇām artham	DarmANAm arTa-upaparIkzI Bavati / AtmanA upaparIkzitAnAm DarmANAm arTam
   ājñāya dharmam ājñāya dharmānudharmapratipanno bhavati sāmīcīpratipanno	AjQAya Darmam AjQAya Darma-anuDarma-pratipannaH Bavati sAmIcI-pratipannaH-
