   akṣarā kuṭajā tathā YRps_9.7b	akzarA kuwajA taTA YRpH-_9.7b
   bhūpadminī gonasā ced YRps_9.2a	BU-padminI gonasA ced YRpH-_9.2a
   bhūmisthāṃ māsayugmena YRps_2.98c	BUmi-sTAm mAsa-yugmena YRpH-_2.98c
   bhūmau nikhanyamānāṃ hi YRps_10.28a	BUmO niKanyamAnAm hi YRpH-_10.28a
   bhūmau nidhāya tatpātraṃ YRps_6.34a	BUmO niDAya tat-pAtram YRpH-_6.34a
   bhūmyām āḍhālayet sattvaṃ YRps_5.127a	BUmyAm AXAlayet sattvam YRpH-_5.127a
   bhūmyāṃ vai khanayedgartaṃ YRps_10.41a	BUmyAm vE Kanayet-gartam YRpH-_10.41a
   bhūyo bhūyaḥ pibeddhīmān YRps_6.60c	BUyas BUyas pibet-DImAn YRpH-_6.60c
   bhūricchidrasamanvitam YRps_10.38d	BUri=-Cidra-samanvitam YRpH-_10.38d
   bhūrjapatramabhiveṣṭya golake YRps_7.60c	BUrja-patram-aBivezwya golake YRpH-_7.60c
   bhūrjapatreṇa veṣṭayet YRps_1.33d	BUrja-patreNa vezwayet YRpH-_1.33d
   bhūrjapatrairmukhaṃ ruddhvā YRps_1.109a	BUrja-patrEH-muKam rudDvA YRpH-_1.109a
   bhūrjavatsūkṣmapatrāṇi YRps_2.72a	BUrja-vat-sUkzma-patrANi YRpH-_2.72a
   bhṛṅgītailaṃ viṣaṃ caiva YRps_1.140c	BRFgI-tElam vizam ca-eva YRpH-_1.140c
   bhṛṅgīpattrabhavaṃ cūrṇaṃ YRps_13.8a	BRFgI-pattra-Bavam cUrNam YRpH-_13.8a
   bhṛṣṭaṃ tathājyena sitāsametam YRps_12.12d	BRzwam taTA-Ajyena sitA-sametam YRpH-_12.12d
   bhṛṃgarājarasena vai YRps_5.55b	BRMgarAja-rasena vE YRpH-_5.55b
   bhṛṃgarājarasena hi YRps_2.95d	BRMgarAja-rasena hi YRpH-_2.95d
   bhṛṃgarājarasenaiva YRps_2.30a	BRMgarAja-rasena-eva YRpH-_2.30a
   bhṛṃgarājarasenaiva YRps_6.27a	BRMgarAja-rasena-eva YRpH-_6.27a
   bhṛṃgarājarase svinnaṃ YRps_6.64a	BRMgarAja-rase svinnam YRpH-_6.64a
   bhṛṃgīrasena ca tathā YRps_2.96a	BRMgI-rasena ca taTA YRpH-_2.96a
   bhṛṃgyudbhavena ca tathā YRps_2.82c	BRMgI-udBavena ca taTA YRpH-_2.82c
   bhekaparṇyuruvubhṛṃgarājakaiḥ YRps_3.62c	BekaparNI-uruvu-BRMgarAjakEH YRpH-_3.62c
   bhedāścatvāra eva ca YRps_1.10b	BedAH-catvAraH eva ca YRpH-_1.10b
   bhedāḥ santīha ṣoḍaśa YRps_5.5d	BedAH santi-iha zoxaSa YRpH-_5.5d
   bhojayettakrabhaktaṃ ca YRps_6.43c	Bojayet-takra-Baktam ca YRpH-_6.43c
   bhrāmakaṃ tadihocyate YRps_4.60d	BrAmakam tat-iha-ucyate YRpH-_4.60d
   magadhajāmadhunā saha guñjikā- YRps_3.12c	magaDa-jAm-aDunA saha guQjikA YRpH-_3.12c
   mañjiṣṭhā citrapālikā YRps_9.17b	maQjizWA citrapAlikA YRpH-_9.17b
   mañjūṣākāramūṣā sā YRps_10.27c	maQjUzA-AkAra-mUzA sA YRpH-_10.27c
   maṇibandhastu madhyamaḥ YRps_2.5b	maNibanDaH-tu maDyamaH YRpH-_2.5b
   maṇḍūkī kṣīragandhikā YRps_9.9b	maNxUkI kzIraganDikA YRpH-_9.9b
   maṇḍūkī cottamā tathā YRps_9.17d	maNxUkI ca-uttamA taTA YRpH-_9.17d
   matsyakacchapamaṇḍūka- YRps_1.123c	matsya-kacCapa-maNxUka YRpH-_1.123c
   matsyākṣyā sapunarbhuvā YRps_5.23d	matsyAkzyA sa-punarBuvA YRpH-_5.23d
   matsyākṣyā haṃsapadyāśca YRps_5.39a	matsyAkzyAH haMsapadyAH-ca YRpH-_5.39a
   madanavṛddhikaraḥ paramo nṛṇām YRps_3.34d	madana-vRdDi-karaH paramaH nRNAm YRpH-_3.34d
   mado darpaśca vai kramāt YRps_1.26d	madaH darpaH-ca vE kramAt YRpH-_1.26d
   madhukaṃ cāśvagandhāṃ ca YRps_12.18a	maDukam ca-aSvaganDAm ca YRpH-_12.18a
   madhutailavasājyeṣu YRps_5.45c	maDu-tEla-vasA-Ajyezu YRpH-_5.45c
   madhuplutaṃ bhakṣitamardhayāmāt YRps_12.15c	maDu-plutam Bakzitam-arDa-yAmAt YRpH-_12.15c
   madhusaiṃdhavasaṃyutā YRps_2.105b	maDu-sEMDava-saMyutA YRpH-_2.105b
   madhyagartopari dṛḍham YRps_10.37b	maDya-garta-upari dRXam YRpH-_10.37b
   madhyabhājanakopari YRps_11.137b	maDya-BAjanaka-upari YRpH-_11.137b
   madhyaṃ prajvālayecca tām YRps_6.47d	maDyam prajvAlayet-ca tAm YRpH-_6.47d
   madhye tatsaṃpuṭaṃ muktvā YRps_4.10a	maDye tad-saMpuwam muktvA YRpH-_4.10a
   madhye 'timasṛṇīkṛtaḥ YRps_1.39b	maDye ati-masRNIkRtaH YRpH-_1.39b
   madhye 'timasṛṇīkṛtā YRps_1.122b	maDye ati-masRNIkRtA YRpH-_1.122b
   madhye tu kācaghaṭikāṃ YRps_2.98a	maDye tu kAca-GawikAm YRpH-_2.98a
   madhye dravyaṃ tu vinyaset YRps_10.49b	maDye dravyam tu vinyaset YRpH-_10.49b
   madhye dravyaṃ tu vinyaset YRps_10.50b	maDye dravyam tu vinyaset YRpH-_10.50b
   madhye pāradakaṃ muktvā YRps_11.129a	maDye pAradakam muktvA YRpH-_11.129a
   madhye śulbaṃ sthāpanīyaṃ prayatnāt YRps_4.51c	maDye Sulbam sTApanIyam prayatnAt YRpH-_4.51c
   madhye saṃsthāpya mudrikām YRps_11.49d	maDye saMsTApya mudrikAm YRpH-_11.49d
   madhye sūtaṃ nidhāpayet YRps_1.136b	maDye sUtam niDApayet YRpH-_1.136b
   madhvājyamiśritaṃ bhuñjyād YRps_12.6a	maDu-Ajya-miSritam BuQjyAt YRpH-_12.6a
   manaḥśilā triprakārā YRps_6.16a	manaHSilA tri-prakArAH YRpH-_6.16a
   manaḥśilā pañcaguṇā YRps_5.96a	manaHSilA paQca-guNAH YRpH-_5.96a
   manaḥśilā padmanibhā YRps_11.10a	manaHSilA padma-niBAH YRpH-_11.10a
   manaḥśilāluṅgarasaiḥ YRps_5.110a	manaHSilA-luFga-rasEH YRpH-_5.110a
   mandavahnau ca prapuṭet YRps_11.29c	manda-vahnO ca prapuwet YRpH-_11.29c
   mandāgnikṣayapittahṛt YRps_5.99d	manda-agni-kzaya-pitta-hRt YRpH-_5.99d
   mandāgnimudarāṇyevam YRps_5.51c	manda-agnim-udarANi-evam YRpH-_5.51c
   mayāpi sadvaidyahitāya nūnaṃ YRps_3.59a	mayA-api sat-vEdya-hitAya nUnam YRpH-_3.59a
   mayā saṃkṣepataḥ proktaṃ YRps_1.157a	mayA saMkzepataH proktam YRpH-_1.157a
   maricayugmamitāṃ sukhadāṃ sadā YRps_3.42b	marica-yugma-mitAm suKa-dAm sadA YRpH-_3.42b
   maricaṃ śigruṭaṃkaṇe YRps_1.67b	maricam Sigru-waMkaNe YRpH-_1.67b
   markasphoṭī dhanvayāsaḥ YRps_9.19a	marka-sPowI DanvayAsaH YRpH-_9.19a
   mardako 'tra daśāṃgulaḥ YRps_1.39d	mardakaH atra daSa-aMgulaH YRpH-_1.39d
   mardanāttīkṣṇacūrṇena YRps_1.154c	mardanAt-tIkzNa-cUrNena YRpH-_1.154c
   mardayecca samamātramekataḥ YRps_8.6c	mardayet-ca sama-mAtram-ekatas YRpH-_8.6c
   mardayetkanyakādravaiḥ YRps_4.75d	mardayet-kanyakA-dravEH YRpH-_4.75d
   mardayetkanyakādrāvair YRps_2.94a	mardayet-kanyakA-drAvEH YRpH-_2.94a
   mardayetkanyakārase YRps_2.59d	mardayet-kanyakA-rase YRpH-_2.59d
   mardayet kāñjikaistryaham YRps_1.40b	mardayet kAQjikEH-tri-aham YRpH-_1.40b
   mardayetkṛtamālakaiḥ YRps_6.40b	mardayet-kRta-mAlakEH YRpH-_6.40b
   mardayet triphalakāmbubhirdṛḍham YRps_8.10d	mardayet triPalaka-ambuBiH-dRXam YRpH-_8.10d
   mardayetpūravāriṇā YRps_4.89b	mardayet-pUra-vAriNA YRpH-_4.89b
   mardayetsaptavāsarān YRps_2.65d	mardayet-sapta-vAsarAn YRpH-_2.65d
   mardayedekavāsaram YRps_6.5d	mardayet-eka-vAsaram YRpH-_6.5d
   mardayedekavāsaram YRps_11.102b	mardayet-eka-vAsaram YRpH-_11.102b
   mardayedekaviṃśatim YRps_1.74d	mardayet-ekaviMSatim YRpH-_1.74d
   mardayed dinam ekaṃ tu YRps_4.18c	mardayet dinam ekam tu YRpH-_4.18c
   mardayed dinamekaṃ tu YRps_4.27c	mardayet dinam-ekam tu YRpH-_4.27c
   mardayeddinamekaṃ tu YRps_11.95c	mardayet-dinam-ekam tu YRpH-_11.95c
   mardayed dinasaptakam YRps_2.12d	mardayet dina-saptakam YRpH-_2.12d
   mardayeddinasaptakam YRps_2.24d	mardayet-dina-saptakam YRpH-_2.24d
   mardayeddinasaptakam YRps_2.29d	mardayet-dina-saptakam YRpH-_2.29d
   mardayeddinasaptakam YRps_11.2d	mardayet-dina-saptakam YRpH-_11.2d
   mardayeddinasaptakam YRps_11.8d	mardayet-dina-saptakam YRpH-_11.8d
   mardayed yāmamātrakam YRps_4.97d	mardayet yAma-mAtrakam YRpH-_4.97d
   mardayennimbukadravaiḥ YRps_2.103b	mardayet-nimbuka-dravEH YRpH-_2.103b
   mardayennimbukadrāvair YRps_2.73a	mardayet-nimbuka-drAvEH YRpH-_2.73a
   mardayennimbukai rasaiḥ YRps_11.12b	mardayet-nimbukEH rasEH YRpH-_11.12b
   mardayennimbunīreṇa YRps_11.24c	mardayet-nimbu-nIreNa YRpH-_11.24c
   mardayenmatimānbhiṣak YRps_5.38b	mardayet-matimAn-Bizaj YRpH-_5.38b
   mardayenmadhunā saha YRps_13.4b	mardayet-maDunA saha YRpH-_13.4b
   mardayellakucavāriṇā khalu YRps_7.57b	mardayet-lakuca-vAriNA Kalu YRpH-_7.57b
   marditaṃ puṭitaṃ ghanam YRps_5.24b	marditam puwitam Ganam YRpH-_5.24b
   marditaṃ vedhakṛd bhavet YRps_1.142b	marditam veDa-kRt Bavet YRpH-_1.142b
   marditaṃ śuṣkameva ca YRps_5.81b	marditam Suzkam-eva ca YRpH-_5.81b
   marditaṃ samamātrakam YRps_5.66b	marditam sama-mAtrakam YRpH-_5.66b
   marditaḥ pāradastryaham YRps_2.8b	marditaH pAradaH-tri-aham YRpH-_2.8b
   marditaḥ puṭito mṛtim YRps_5.93d	marditaH puwitaH mRtim YRpH-_5.93d
   marditā mahiṣīkṣīre YRps_10.12a	marditAH mahizI-kzIre YRpH-_10.12a
   marditāṃ hi śilātale YRps_4.30b	marditAm hi SilA-tale YRpH-_4.30b
   marditaiśca daśaniṃbukadravai YRps_8.4c	marditEH-ca daSa-niMbukadravEH YRpH-_8.4c
   malo viṣaṃ tathā vahnir YRps_1.26c	malaH vizam taTA vahniH YRpH-_1.26c
   malladvitayasaṃpuṭāt YRps_10.24b	malla-dvitaya-saMpuwAt YRpH-_10.24b
   masṛṇakhalvatale trivāsaram YRps_3.63d	masRNa-Kalva-tale tri-vAsaram YRpH-_3.63d
   masṛṇaṃ svarṇagairikam YRps_6.80b	masRNam svarNagErikam YRpH-_6.80b
   masṛṇāṅgī tu susnigdhā YRps_4.106c	masRNa-aFgI tu su-snigDAH YRpH-_4.106c
   masṛṇāṃ tu prakārayet YRps_11.135d	masRNAm tu prakArayet YRpH-_11.135d
   mahacca kamalacchāyaṃ YRps_7.4a	mahat-ca kamala=-CAyam YRpH-_7.4a
   mahāgirau śilāntastho YRps_6.85a	mahA-girO SilA-anta-sTaH YRpH-_6.85a
   mahāpuṭamidaṃ proktaṃ YRps_10.43a	mahApuwam-idam proktam YRpH-_10.43a
   mahābhairavapūjanāt YRps_1.100b	mahABErava-pUjanAt YRpH-_1.100b
   mahāmūṣeti sā proktā YRps_10.26c	mahAmUzA-iti sA proktA YRpH-_10.26c
   mahārase coparase YRps_5.113c	mahArase ca-uparase YRpH-_5.113c
   mahāsiddhikaraṃ yatsyāt YRps_1.120c	mahA-sidDi-karam yat-syAt YRpH-_1.120c
   mahiṣasya purīṣeṇa YRps_6.44c	mahizasya purIzeNa YRpH-_6.44c
   mahiṣīkarṇayormalam YRps_1.125b	mahizI-karNayoH-malam YRpH-_1.125b
   mahauṣadhya iti proktā YRps_1.11a	mahOzaDyaH iti proktA YRpH-_1.11a
   mahauṣadhyamarī latā YRps_9.4b	mahOzaDI-amarI latA YRpH-_9.4b
   mahauṣadhyo mahābalāḥ YRps_9.29d	mahOzaDyaH mahA-balAH YRpH-_9.29d
   maṃḍūkamabhidhīyate YRps_5.5b	maMxUkam-aBiDIyate YRpH-_5.5b
   maṃḍūkasadṛśāṃ gatim YRps_5.11d	maMxUka-sadRSAm gatim YRpH-_5.11d
   maṃḍūkābhraṃ na sevyaṃ hi YRps_5.12a	maMxUka-aBram na sevyam hi YRpH-_5.12a
   maṃḍūkābhraṃ prakurute YRps_5.11a	maMxUka-aBram prakurute YRpH-_5.11a
   maṃdāgnīnāmetadeva praśastam YRps_7.19b	maMda-agnInAm-etat-eva praSastam YRpH-_7.19b
   mākṣikaṃ kākaviṭ tathā YRps_1.135d	mAkzikam kAka-viz taTA YRpH-_1.135d
   mākṣikaṃ ca samāṃśāni YRps_5.37c	mAkzikam ca sama-aMSAni YRpH-_5.37c
   mākṣikaṃ tutthakaṃ tathā YRps_11.42b	mAkzikam tutTakam taTA YRpH-_11.42b
   mākṣikaṃ dvividhaṃ jñeyaṃ YRps_5.78a	mAkzikam dviviDam jQeyam YRpH-_5.78a
   mākṣikaṃ rasakaṃ tutthaṃ YRps_11.46c	mAkzikam rasakam tutTam YRpH-_11.46c
   mākṣike ghṛtamāne vai YRps_12.5c	mAkzike GRta-mAne vE YRpH-_12.5c
   māṇikādvayamānena YRps_10.48c	mANikA-dvaya-mAnena YRpH-_10.48c
   māṇikyaṃ cāṣṭadhā neṣṭaṃ YRps_7.6a	mANikyam ca-azwaDA na-izwam YRpH-_7.6a
   māṇikyaṃ cottamaṃ matam YRps_7.4d	mANikyam ca-uttamam matam YRpH-_7.4d
   māṇikyaṃ pūrvavacchāyaṃ YRps_7.5c	mANikyam pUrvavat-CAyam YRpH-_7.5c
   māṇikyaṃ mauktikaṃ caiva YRps_7.1a	mANikyam mOktikam ca-eva YRpH-_7.1a
   mātaluṃgarasenaiva YRps_11.12c	mAtaluMga-rasena-eva YRpH-_11.12c
   mānaṃ mānavihīnena YRps_1.86c	mAnam mAna-vihInena YRpH-_1.86c
   māraṇaṃ guṇavarṇanam YRps_1.6d	mAraNam guNa-varNanam YRpH-_1.6d
   mārayatyeva niścitam YRps_5.10b	mArayati-eva niScitam YRpH-_5.10b
   mārīcaṃ ceṭ ṭaṃkaṇaṃ hiṃgulaṃ ca YRps_8.34a	mArIcam ced waMkaNam hiMgulam ca YRpH-_8.34a
   mārīcaṃ vai hemabījena yuktam YRps_8.30b	mArIcam vE hema-bIjena yuktam YRpH-_8.30b
   mārkaṇḍī ca karīrī ca hy YRps_9.7a	mArkaNxI ca karIrI ca hi YRpH-_9.7a
   mārkavasya rasenāpi YRps_5.15e	mArkavasya rasena-api YRpH-_5.15e
   mārdavaṃ kārayetsatyaṃ YRps_5.46a	mArdavam kArayet-satyam YRpH-_5.46a
   mālārjunī veṇukā ca YRps_9.13c	mAlA-arjunI veNukA ca YRpH-_9.13c
   māṣadvayonmitamamuṃ niśi bhakṣayitvā mṛṣṭaṃ payastadanu māhiṣamāśu pīt	mAza-dvaya-unmitam-amum niSi BakzayitvA mRzwam payaH-tadanu mAhizam-ASu pIt
   YRps_13.10c	YRpH-_13.10c
   māṣamātramidaṃ cūrṇaṃ YRps_5.130c	mAza-mAtram-idam cUrNam YRpH-_5.130c
   māṣamātramuṣaṇaiḥ samaiḥ sadā YRps_8.9a	mAza-mAtram-uzaNEH samEH sadA YRpH-_8.9a
   māṣamātrarasa eṣa bhakṣitaḥ YRps_8.12a	mAza-mAtra-rasaH eza BakzitaH YRpH-_8.12a
   māṣamātraṃ pradātavyaṃ YRps_11.107a	mAza-mAtram pradAtavyam YRpH-_11.107a
   māṣasyāṣṭapalaṃ tadvaj YRps_12.1c	mAzasya-azwa-palam tadvat YRpH-_12.1c
   māṣāṇāmātmaguptāyā YRps_12.17a	mAzANAm-AtmaguptAyAH YRpH-_12.17a
   māṣaistulyāṃ kārayettadvaṭīṃ ca YRps_8.15d	mAzEH-tulyAm kArayet-tad-vawIm ca YRpH-_8.15d
   māsatrayapramāṇena YRps_2.15c	mAsa-traya-pramANena YRpH-_2.15c
   māhiṣājyamadhuplutam YRps_6.5b	mAhiza-Ajya-maDu-plutam YRpH-_6.5b
   māṃsādijāraṇaṃ samyak YRps_6.69c	mAMsa-Adi-jAraNam samyak YRpH-_6.69c
   māṃse sūkarasaṃbhave YRps_2.32b	mAMse sUkara-saMBave YRpH-_2.32b
   milatyeva na saṃdehaḥ YRps_2.53a	milati-eva na saMdehaH YRpH-_2.53a
   miśravarṇaprabhaḥ sadā YRps_5.53b	miSra-varNa-praBaH sadA YRpH-_5.53b
   miśraṃ baṃgaṃ viśudhyati YRps_4.80f	miSram baMgam viSuDyati YRpH-_4.80f
   miśraṃ svarṇaṃ hi jāyate YRps_4.7b	miSram svarNam hi jAyate YRpH-_4.7b
   muktvā saṃgharṣaṇaṃ kuru YRps_5.84b	muktvA saMGarzaNam kuru YRpH-_5.84b
   mukhacarvaṇasambhūtair YRps_2.13a	muKa-carvaNa-samBUtEH YRpH-_2.13a
   mukham utpadyate dhruvam YRps_2.84b	muKam utpadyate Druvam YRpH-_2.84b
   mukham utpadyate samyak YRps_2.91c	muKam utpadyate samyak YRpH-_2.91c
   mukhasthaṃ kurute samyak YRps_2.99c	muKa-sTam kurute samyak YRpH-_2.99c
   mukhaṃ tāmreṇa rundhayet YRps_11.116b	muKam tAmreNa runDayet YRpH-_11.116b
   mukhaṃ tenātha rundhayet YRps_2.61d	muKam tena-aTa runDayet YRpH-_2.61d
   mukhaṃ ruddhvā śarāvataḥ YRps_6.33d	muKam rudDvA SarAvataH YRpH-_6.33d
   mukhaṃ rundhyāddinatrayam YRps_12.5d	muKam runDyAt-dina-trayam YRpH-_12.5d
   mukhe kiṃcicca vistṛtā YRps_10.26b	muKe kiMcid-ca vistRtA YRpH-_10.26b
   mukhe dhṛtā dārḍhyakarī dvijānām YRps_7.37d	muKe DRtA dArXya-karI dvijAnAm YRpH-_7.37d
   mukhe vastraṃ prabandhayet YRps_6.33b	muKe vastram prabanDayet YRpH-_6.33b
   mukhe saptāṅgulāyāmā YRps_1.49a	muKe sapta-aFgula-AyAmA YRpH-_1.49a
   mukhe suvistṛtā kāryā YRps_1.121c	muKe su-vistRtA kAryA YRpH-_1.121c
   mukhotpādanakaṃ karma YRps_1.70a	muKa-utpAdanakam karma YRpH-_1.70a
   mukhopari vimudritā YRps_10.23b	muKa-upari vimudritA YRpH-_10.23b
   muñcet sattvaṃ na saṃśayaḥ YRps_6.20b	muQcet sattvam na saMSayaH YRpH-_6.20b
   mudrayetkūpikāmukhaṃ YRps_11.80b	mudrayet-kUpikA-muKam YRpH-_11.80b
   mudrayeddṛḍhamudrayā YRps_2.39d	mudrayet-dRXa-mudrayA YRpH-_2.39d
   mudrayeddṛḍhamudrayā YRps_2.47b	mudrayet-dRXa-mudrayA YRpH-_2.47b
   mudrāṃ kṛtvā śoṣayitvā YRps_11.65a	mudrAm kRtvA SozayitvA YRpH-_11.65a
   mudrāṃ tatra prakārayet YRps_1.52b	mudrAm tatra prakArayet YRpH-_1.52b
   mudrikāṃ tāṃ samuddharet YRps_11.50d	mudrikAm tAm samudDaret YRpH-_11.50d
   mudritavyā prayatnena YRps_11.130a	mudritavyA prayatnena YRpH-_11.130a
   mudritaṃ mṛtsnayā khalu YRps_1.63b	mudritam mRtsnayA Kalu YRpH-_1.63b
   mudritaṃ sudṛḍhaṃ kṛtam YRps_11.119b	mudritam su-dRXam kRtam YRpH-_11.119b
   munipatrarasenāpi YRps_6.18c	muni-patra-rasena-api YRpH-_6.18c
   munivallī ca kīrtitā YRps_9.7d	munivallI ca kIrtitAH YRpH-_9.7d
   musalīrasamarditam YRps_5.29b	musalI-rasa-marditam YRpH-_5.29b
   muṃḍācchataguṇaṃ tīkṣṇaṃ YRps_4.65a	muMxAt-SataguNam tIkzNam YRpH-_4.65a
   mūtrakṛcchrāṇyaśeṣataḥ YRps_6.66d	mUtrakRcCrANi-aSezatas YRpH-_6.66d
   mūtrakṛcchrāśmarīrogāḥ YRps_5.113a	mUtrakRcCra-aSmarI-rogAH YRpH-_5.113a
   mūtracchāyaṃ svacchametatsamaṃ ca YRps_7.46b	mUtra=-CAyam svacCam-etat-samam ca YRpH-_7.46b
   mūtre takre ca kaulatthe YRps_5.81a	mUtre takre ca kOlatTe YRpH-_5.81a
   mūrcchanaṃ tadihocyate YRps_1.44d	mUrcCanam tat-iha-ucyate YRpH-_1.44d
   mūrcchanaṃ doṣarahitaṃ YRps_1.42c	mUrcCanam doza-rahitam YRpH-_1.42c
   mūrcchanaṃ syāttadutthitam YRps_1.23b	mUrcCanam syAt-tat-utTitam YRpH-_1.23b
   mūrcchāsphoṭādi nācaret YRps_4.96d	mUrcCA-sPowa-Adi na-Acaret YRpH-_4.96d
   mūrcchāṃ mṛtyuṃ madaṃ caiva YRps_1.26e	mUrcCAm mRtyum madam ca-eva YRpH-_1.26e
   mūrchādoṣavināśanam YRps_1.46f	mUrCA-doza-vinASanam YRpH-_1.46f
   mūlakandāmbuvallī ca YRps_9.7c	mUlakanda-ambuvallI ca YRpH-_9.7c
   mūladravaistataḥ pīto YRps_6.40c	mUla-dravEH-tatas pItaH YRpH-_6.40c
   mūlaṃ tvak cābdhiśoṣasya YRps_13.7a	mUlam tvac ca-abDi-Sozasya YRpH-_13.7a
   mūlikātra maṇiścaiva YRps_2.4a	mUlikA-atra maNiH-ca-eva YRpH-_2.4a
   mūlikābaddhapāradaḥ YRps_2.22b	mUlikA-badDa-pAradaH YRpH-_2.22b
   mūlikābandhanaṃ rase YRps_2.7b	mUlikA-banDanam rase YRpH-_2.7b
   mūlikābaṃdhanaṃ satyaṃ YRps_2.22c	mUlikA-baMDanam satyam YRpH-_2.22c
   mūlikābaṃdhanaṃ hyekaṃ YRps_2.11*c	mUlikA-baMDanam hi-ekam YRpH-_2.11*c
   mūlaiścaiva palāśajaiḥ YRps_4.100b	mUlEH-ca-eva palASa-jEH YRpH-_4.100b
   mūlyairgariṣṭhaṃ vividhaṃ hi vajram YRps_7.20b	mUlyEH-garizWam viviDam hi vajram YRpH-_7.20b
   mūṣā kumudikā proktā YRps_10.9c	mUzA kumudikA proktAH YRpH-_10.9c
   mūṣāmadhye tu tāṃ muktvā YRps_4.28c	mUzA-maDye tu tAm muktvA YRpH-_4.28c
   mūṣāmadhye tu śodhayet YRps_5.44d	mUzA-maDye tu SoDayet YRpH-_5.44d
   mūṣāmadhye nidhāpayet YRps_1.123b	mUzA-maDye niDApayet YRpH-_1.123b
   mūṣāmadhye nirudhya ca YRps_5.94b	mUzA-maDye niruDya ca YRpH-_5.94b
   mūṣāmadhye rasaṃ muktvā YRps_2.20a	mUzA-maDye rasam muktvA YRpH-_2.20a
   mūṣāmācchādya vālukaiḥ YRps_10.28b	mUzAm-AcCAdya vAlukEH YRpH-_10.28b
   mūṣā yā cipiṭā mūle YRps_10.29a	mUzA yA cipiwAH mUle YRpH-_10.29a
   mūṣāyāṃ dhmāpayetsudhīḥ YRps_11.26b	mUzAyAm DmApayet-suDIH YRpH-_11.26b
   mūṣāyugmaṃ tu mudrayet YRps_1.128b	mUzA-yugmam tu mudrayet YRpH-_1.128b
   mūṣāvaktraṃ nirundhayet YRps_1.127d	mUzA-vaktram nirunDayet YRpH-_1.127d
   mūṣāścaiva hi dhātūnāṃ YRps_1.11c	mUzAH-ca-eva hi DAtUnAm YRpH-_1.11c
   mūṣāṣṭāṅguladīrghikā YRps_1.121b	mUzA-azwa-aFgula-dIrGikA YRpH-_1.121b
   mūṣā sā gostanī bhavet YRps_10.23d	mUzA sA gostanI Bavet YRpH-_10.23d
   mūṣā sā musalākhyā syāc YRps_10.29c	mUzA sA musala-AKyA syAt YRpH-_10.29c
   mūṣāstho dhmāpito'pi vai YRps_5.64d	mUzA-sTaH DmApitaH-api vE YRpH-_5.64d
   mūṣāṃ mūṣopari nyaset YRps_5.125d	mUzAm mUzA-upari nyaset YRpH-_5.125d
   mūṣāṃ vidadhyādravigharmaśoṣitām YRps_3.61b	mUzAm vidaDyAt-ravi-Garma-SozitAm YRpH-_3.61b
   mūṣikāyāstribhāgaṃ hi YRps_1.128c	mUzikAyAH-tri-BAgam hi YRpH-_1.128c
   mūṣikāṃ kārayecchuddhāṃ YRps_11.134a	mUzikAm kArayet-SudDAm YRpH-_11.134a
   mūṣikāṃ cauṣadhenātha YRps_10.45a	mUzikAm ca-OzaDena-aTa YRpH-_10.45a
   mūṣikāṃ bhūmimadhye tu YRps_10.51a	mUzikAm BUmi-maDye tu YRpH-_10.51a
   mṛcchailajalaśulbāyo- YRps_1.28a	mRd-SEla-jala-SulbAyo YRpH-_1.28a
   mṛṇmayā sāpi śuṣkā ca YRps_1.122a	mRNmayA sA-api SuzkA ca YRpH-_1.122a
   mṛṇmayī sthālikā kāryā YRps_1.48e	mRNmayI sTAlikA kAryA YRpH-_1.48e
   mṛṇmūṣā ca prakartavyā YRps_1.156a	mRNmUzA ca prakartavyA YRpH-_1.156a
   mṛtasūtena tulyāṃśaṃ YRps_5.65c	mRta-sUtena tulya-aMSam YRpH-_5.65c
   mṛtaṃ kāṃsyaṃ vātaharaṃ YRps_4.113a	mRtam kAMsyam vAta-haram YRpH-_4.113a
   mṛtaṃ baṃgaṃ tataḥ paścān YRps_4.89a	mRtam baMgam tatas paScAn YRpH-_4.89a
   mṛtaṃ vajrābhrakaṃ samyak YRps_5.26a	mRtam vajrABrakam samyak YRpH-_5.26a
   mṛtaṃ satvaṃ mṛtaṃ kāṃtaṃ YRps_5.130a	mRtam satvam mRtam kAMtam YRpH-_5.130a
   mṛtaṃ satvaṃ harenmṛtyuṃ YRps_5.50a	mRtam satvam haret-mRtyum YRpH-_5.50a
   mṛtaṃ sūtaṃ samāṃśakam YRps_4.17b	mRtam sUtam sama-aMSakam YRpH-_4.17b
   mṛtābhrasatvasaṃyuktaṃ YRps_5.66a	mRta-aBra-satva-saMyuktam YRpH-_5.66a
   mṛtkharpare pācitaṃ hi YRps_11.125c	mRd-Karpare pAcitam hi YRpH-_11.125c
   mṛttikā pakṣamātrakam YRps_10.12b	mRttikA pakza-mAtrakam YRpH-_10.12b
   mṛttikābhedataḥ kramāt YRps_10.9b	mRttikA-BedataH kramAt YRpH-_10.9b
   mṛtsamā mahiṣīkṣīrair YRps_10.18c	mRd-samA mahizI-kzIrEH YRpH-_10.18c
   mṛdā karpaṭayogataḥ YRps_2.67b	mRdA karpawa-yogataH YRpH-_2.67b
   mṛdā bhāṇḍaṃ prapūryaiva YRps_10.49a	mRdA BANxam prapUrya-eva YRpH-_10.49a
   mṛditayā sumṛdā parimudritam YRps_3.24d	mRditayA su-mRdA parimudritam YRpH-_3.24d
   mṛdudravyasya sādhane YRps_10.52d	mRdu-dravyasya sADane YRpH-_10.52d
