   atha prathamo 'dhyāyaḥ	aTa praTamaH aDyAyaH
   vaiṣṇavaṃ viṣṇusūktaṃ ca sūktaṃ pauruṣameva ca /	vEzNavam vizNu sUktam ca sUktam pOruzam eva ca /
   brāhmaṃ sārasvataṃ hutvā tānanujñāpya cācaret // BhS_27.77 //	brAhmam sArasvatam hutvA tAn anujQApya ca Acaret // BhH _27.77 //
   ācāryadakṣiṇākāle 'tīte hutvā tu vaiṣṇavam /	AcArya dakziNA kAle atIte hutvA tu vEzNavam /
   munimantrañca juhuyātpṛthagaṣṭottaraṃ śatam // BhS_27.78 //	muni mantraQca juhuyAt pRTak azwa uttaram Satam // BhH _27.78 //
   yathoktadakṣiṇāṃ dadyādarthalobhaṃ na kārayet /	yaTA ukta dakziNAm dadyAt arTa loBam na kArayet /
   brāhmaṇānāmannadāne vihīne śāntimācaret // BhS_27.79 //	brAhmaNAnAm anna dAne vihIne SAntim Acaret // BhH _27.79 //
   triyahaṃ tu mahāśānti staddoṣavinivāriṇī /	triyaham tu mahASAnti stad doza vinivAriNI /
   hantyalpadakṣiṇo yāgaḥ phalaṃ dadyātsadakṣiṇaḥ // BhS_27.80 //	hanti alpa dakziNaH yAgaH Palam dadyAt sa dakziNaH // BhH _27.80 //
   yajñasya dakṣiṇā jīvastasmādyatnena pālayet /	yajQasya dakziNA jIvaH tasmAt yatnena pAlayet /
   iyaṃ tātkālikījñeyā bhūmimagre pradāpayet // BhS_27.81 //	iyam tAtkAlikI jQeyAH BUmim agre pradApayet // BhH _27.81 //
   arcakasyārcanārdhaṃ ca kuṭuṃbārthaṃ viśeṣataḥ /	arcakasya arcana arDam ca kuwuMba arTam viSezataH /
   bhūmibhogamakalpyaiva mahāśāntiṃ samācaret // BhS_27.82 //	BUmi Bogam akalpyA eva mahA SAntim samAcaret // BhH _27.82 //
   asaṃkalpitavṛttistu devāvāso na vardhate /	asaMkalpita vRttiH tu devAvAsaH na varDate /
   arcakaḥ praṇidhiryasmādrājño rāṣṭrasya kalpate // BhS_27.83 //	arcakaH praNiDiH yasmAt rAjQaH rAzwrasya kalpate // BhH _27.83 //
   tasmātsamāhitaḥ kuryādyathā pūjā na lupyate /	tasmAt samAhitaH kuryAt yaTA pUjA na lupyate /
   āpadyapi ca kaṣṭāyāṃ pūjāmetāṃ na lopayet // BhS_27.84 //	Apadi api ca kazwAyAm pUjAm etAm na lopayet // BhH _27.84 //
   yadaiva lupyate pūjā yena kenāpi hetunā /	yadA eva lupyate pUjA yena kena api hetunA /
   agrer'cakamiyāddoṣa ārdrameṣo 'parādhyati // BhS_27.85 //	agreH acakam iyAt dozaH Ardram ezaH aparADyati // BhH _27.85 //
   tasmāddāyena bhūmyādi sthiradānena sādaram /	tasmAt dAyena BUmi Adi sTira dAnena sa Adaram /
   rūḍhādhikāra evāgre pravartetār'caner'cakaḥ // BhS_27.86 //	rUXa aDikAraH eva agre pravarteta ar acaner acakaH // BhH _27.86 //
   yasmādarcanahīne tu rājarāṣṭrādisaṃkṣayaḥ /	yasmAt arcana hIne tu rAja rAzwra Adi saMkzayaH /
   tadgrāmavāsinastasmādrājā rāṣṭragatā api // BhS_27.87 //	tad grAma vAsinaH tasmAt rAjA rAzwra gatAH api // BhH _27.87 //
   bhagavatpūjanāheto rupakuryuḥ prayatnataḥ /	Bagavat pUjana ahetaH rupakuryuH prayatnataH /
   ārdrāparādho bhavati yasmāddoṣeṣu pūjakaḥ // BhS_27.88 //	Ardra aparADaH Bavati yasmAt dozezu pUjakaH // BhH _27.88 //
   taṃ vṛttikarśitaṃ dṛṣyvā rājā ca grāmavāsinaḥ /	tam vRtti karSitam dRzyvA rAjA ca grAma vAsinaH /
   sukhitaṃ taṃ tathā kuryuryathā devastathārcakaḥ // BhS_27.89 //	suKitam tam taTA kuryuH yaTA devaH taTA arcakaH // BhH _27.89 //
   datvṛttimadhikāṃ cāpina śaṅkeyurasūyavaḥ /	datvRttim aDikAm cApina SaFkeyuH asUyavaH /
   yathārhamupayuñjīran svaśaktiṃ tatsukhāya vai // BhS_27.90 //	yaTArham upayuQjIran sva Saktim tad suKAya vE // BhH _27.90 //
   pratiṣṭhānte tu vidhivadarcake tvaprakalpite /	pratizWA ante tu viDivat arcake tu aprakalpite /
   āsurī sā bhavedarcā kartā naivāpnu yātphalam // BhS_27.91 //	AsurI sA Bavet arcA kartA na eva Apnu yAt Palam // BhH _27.91 //
   devena sārthamuddiṣṭaṃ yatkulaṃ pūjakasya tu /	devena sArTam uddizwam yat kulam pUjakasya tu /
   tadatikramya pūjāṃ tu kārayeditareṇa cet // BhS_27.92 //	tat atikramya pUjAm tu kArayet itareNa ced // BhH _27.92 //
   rauravaṃ narakaṃ yāti kartā kārayitā ca yaḥ /	rOravam narakam yAti kartA kArayitA ca yaH /
   tasmā tsarvaprayatnena śāstroktaṃ paripālayet // BhS_27.93 //	tasmE tsarva prayatnena SAstra uktam paripAlayet // BhH _27.93 //
   śvaḥ kāryamadya kurvīta pūrvāhṇe cāparāhṇikam /	Svas kAryam adya kurvIta pUrvAhNe ca aparAhNikam /
   na hi pratīkṣate mṛtyuḥ kartavyo dharmasaṃgrahaḥ // BhS_27.94 //	na hi pratIkzate mRtyuH kartavyaH Darma saMgrahaH // BhH _27.94 //
   na tya ktavibhavo jātu bhavecca vibhave sati /	na tya kta viBavaH jAtu Bavet ca viBave sati /
   yathāśakti prakurvīta vibhavāṃśca na lobhayet // BhS_27.95 //	yaTASakti prakurvIta viBavAn= ca na loBayet // BhH _27.95 //
   alābhe kautukādīnāṃ suvarṇaṃ nyasya vaiṣmavam /	alABe kOtuka AdInAm suvarNam nyasya vEzmavam /
   viṣṇusūktaṃ nṛsuktaṃ ca vāyavyaṃ digadhīśvaram // BhS_27.96 //	vizNu sUktam nR suktam ca vAyavyam digaDi ISvaram // BhH _27.96 //
   sabhye 'ntahomahīne tu vaiṣṇavaṃ pāvakaṃ tathā /	saBye anta homa hIne tu vEzNavam pAvakam taTA /
   vyāhṛtīśca hunedvidvān daśakṛtvassamāhitaḥ // BhS_27.97 //	vyAhRtIH ca hunet vidvAn daSa kRtvas samAhitaH // BhH _27.97 //
   agnigrahaṇahīne tu hutvā pūrvoktaniṣkṛtim /	agni grahaNa hIne tu hutvA pUrva ukta nizkRtim /
   śrotriyāvasathādagnimāhṛtyāghāravūrvakam // BhS_27.98 //	Srotriya AvasaTAt agnim AhRtya AGAra vUrvakam // BhH _27.98 //
   nityahomaṃ ca juhuyāttataḥ prabhṛti cācaret /	nitya homam ca juhuyAt tatas praBRti ca Acaret /
   dhruvādāvāhayedyasmātkautukādi caturṣvapi // BhS_27.99 //	DruvAt AvAhayet yasmAt kOtuka Adi caturzu api // BhH _27.99 //
   pramādātkuṃbhatīrthena teṣāmāvāhane kṛte /	pramAdAt kuMBa tIrTena tezAm AvAhane kRte /
   "iṣetve'tyādinā snāpya śīghraṃ śuddhena vāriṇā // BhS_27.100 //	"izetve atyAdinA snApya SIGram SudDena vAriNA // BhH _27.100 //
   anumānya ca deveśaṃ vaiṣṇavaṃ viṣṇusūktakam /	anumAnya ca deveSam vEzNavam vizNu sUktakam /
   juhuyātpauruṣaṃsūktaṃ dhruvādāvāhayetpunaḥ // BhS_27.101 //	juhuyAt pOruzaMsUktam DruvAt AvAhayet punar // BhH _27.101 //
   athanityārcanāyāntu prāyaścittaṃ pravakṣyate /	aTa nitya arcana AyAntu prAyaScittam pravakzyate /
   sūryodayācca madhyāhnātpūrva mastamayādapi // BhS_27.102 //	sUrya udayAt ca maDyAhnAt pUrva mastamayAt api // BhH _27.102 //
   kavāṭodghāṭane hīne nityāgnau vā mahānane /	kavAwa udGAwane hIne nitya agnO vA mahA Anane /
   vaiṣṇavaṃ dhātrādidaivatyaṃ hutvā dauvārikaṃ tathā // BhS_27.103 //	vEzNavam DAtR Adi dEvatyam hutvA dOvArikam taTA // BhH _27.103 //
   śīghramudghāṭayeddvāraṃ devadevaṃ praṇamya ca /	SIGram udGAwayet dvAram devadevam praNamya ca /
   amantrakamathānyairvā kavāṭodghāṭane kṛte // BhS_27.104 //	amantrakam aTa anyEH vA kavAwa udGAwane kRte // BhH _27.104 //
   pūrvoktaṃ juhuyācchāntiṃ japeddvādaśasūktakam /	pUrva uktam juhuyAt SAntim japet dvAdaSa sUktakam /
   mārjanādiṣu hīneṣu nirmālyecāpyaśodhite // BhS_27.105 //	mArjana Adizu hInezu nirmAlyeca api aSoDite // BhH _27.105 //
   vaiṣṇavaṃ vāruṇaṃ hutvā vāyavyaṃ śāntameva ca /	vEzNavam vAruNam hutvA vAyavyam SAntam eva ca /
   yathāvatkārayetsarvaṃ mantreṇaiva punarguruḥ // BhS_27.106 //	yaTAvat kArayet sarvam mantreNa eva punar guruH // BhH _27.106 //
   dravyapratinidhistoyamalābhe tena cācaret /	dravya pratiniDiH toyam alABe tena ca Acaret /
   devasya snapane hīne vaiṣṇave vāruṇaṃ hunet // BhS_27.107 //	devasya snapane hIne vEzNave vAruNam hunet // BhH _27.107 //
   "apo hi'ṣṭhādibhirmantraissnāvayen niṣkṛtirbhavet /	"apaH hi azWa AdiBiH mantrEH snAvayet nizkRtiH Bavet /
   paśnānnityaṃ prakurvīta snānaṃ nityārcanoditam // BhS_27.108 //	paSnAt nityam prakurvIta snAnam nitya arcana uditam // BhH _27.108 //
   aśaktausnāpane prokṣyaṃ mantreṇa kuśavāribhiḥ /	aSaktOsnApane prokzyam mantreNa kuSa vAriBiH /
   vastrādīṃśca vyapohyaiva dhautavastraṃ samarpayet // BhS_27.109 //	vastra AdIn= ca vyapohya eva DOta vastram samarpayet // BhH _27.109 //
   nityaṃ snānamaśakyaṃ cedviṣṇupañcadineṣu vai /	nityam snAnam aSakyam ced vizNu paQca dinezu vE /
   snāpayeddevadeveśamiti kecidvadantihi // BhS_27.110 //	snApayet devadeveSam iti kecid vadanti hi // BhH _27.110 //
   dhruvapīṭhetu nirmālyaṃ saṃśodhya punareva ca /	Druva pIWetu nirmAlyam saMSoDya punar eva ca /
   puṣpanyāsaṃ prakurvīta dhruve nityārcanaṃ bhavet // BhS_27.111 //	puzpa nyAsam prakurvIta Druve nitya arcanam Bavet // BhH _27.111 //
   puṣpanyāsaṃ vinākuryātkautukasyārcanaṃ yadi /	puzpa nyAsam vinAkuryAt kOtukasya arcanam yadi /
   vaiṣṇavaṃ viṣṇusūktaṃ ca puruṣasūktaṃ tadhaiva ca // BhS_27.112 //	vEzNavam vizNu sUktam ca puruzasUktam taDA eva ca // BhH _27.112 //
   hutvā ca viṣṇugāyatrīṃ puṣbanyāsaṃ kramāccaret /	hutvA ca vizNu gAyatrIm puzbanyAsam kramAt caret /
   saṃbandhakūrcahīnetu vaiṣṇavaṃ munimantrakam // BhS_27.113 //	saMbanDa kUrca hInetu vEzNavam muni mantrakam // BhH _27.113 //
   hutvāsannyasya kūrcaṃ tu paścātkāryaṃ samācaret /	hutvA Asannyasya kUrcam tu paScAt kAryam samAcaret /
   dhātrādyarcanahīne tu taddaivatyaṃ savaiṣṇavam // BhS_27.114 //	DAtR Adi arcana hIne tu tad dEvatyam sa vEzNavam // BhH _27.114 //
   hutvārcayed dhātṛmukhān tathā pariṣadaḥ kramāt /	hutvA arcayet DAtR muKAn taTA parizadaH kramAt /
   upacāraviparyāse "kṣama'nveti praṇamya ca // BhS_27.115 //	upacAra viparyAse "kzama anveti praNamya ca // BhH _27.115 //
   anumānyārcayed devaṃ hīne caiva tu vigrahe /	anumAnya arcayet devam hIne ca eva tu vigrahe /
   taddevatāmanuṃ japtvā vaiṣṇavaṃ ca viśeṣataḥ // BhS_27.116 //	tat devatA manum japtvA vEzNavam ca viSezataH // BhH _27.116 //
   punastadupacārādi pūjaye tsarvavigrahaiḥ /	punar tad upacAra Adi pUjaye tsarva vigrahEH /
   uktadravye ṣvalabdheṣu puṣpaṃ toyamathākṣatam // BhS_27.117 //	ukta dravye zu alabDezu puzpam toyam aTa akzatam // BhH _27.117 //
   gṛhītvā caiva tatsarvaṃ dhyātvā devaṃ samarcayet /	gRhItvA ca eva tat sarvam DyAtvA devam samarcayet /
   arcākāle 'nyakālaṃ vā smaye vā mūṣikādibhiḥ // BhS_27.118 //	arcA kAle anya kAlam vA smaye vA mUzika AdiBiH // BhH _27.118 //
   marutā vāpi vicchinnamajasraṃ dīpamādarāt /	marutA vA api vicCinnam ajasram dIpam AdarAt /
   dviguṇaṃ tu samuddīpya sauraṃ raudraṃ ca pāvakam // BhS_27.119 //	dviguNam tu samuddIpya sOram rOdram ca pAvakam // BhH _27.119 //
   vaiṣṇavaṃ ca tathāhutvā punararcanamācaret /	vEzNavam ca taTA AhutvA punar arcanam Acaret /
   tatkāle sarvadīpānāṃ nāśe doṣo mahattaraḥ // BhS_27.120 //	tad kAle sarva dIpAnAm nASe dozaH mahattaraH // BhH _27.120 //
   devaṃ śuddhodakaissnāpya kuśodairabhiṣicya ca /	devam SudDa udakEH snApya kuSa udEH aBizicya ca /
   pūrvoktāṃ niṣkṛtiṃ hutvā dviguṇaṃ tu nidevayet // BhS_27.121 //	pUrva uktAm nizkRtim hutvA dviguNam tu nidevayet // BhH _27.121 //
   bahudīpeṣucaikasminnaṣṭe tenana duṣyati /	bahu dIpezu ca ekasmin= azwe tena na duzyati /
   mantrāṇāṃ skhalane mūrtyāpraṇavena sahācaret // BhS_27.122 //	mantrANAm sKalane mUrtyA praNavena saha Acaret // BhH _27.122 //
   arcākāle yavanikāhīne caiva prajāpatim /	arcA kAle yavanikA hIne ca eva prajApatim /
   vaiṣṇapaṃ caiva hutvā tu paṭaṃ kṛtvār'cayetpunaḥ // BhS_27.123 //	vEzNapam ca eva hutvA tu pawam kRtvA Ar acayet punar // BhH _27.123 //
   vedadūṣaka pāṣaṇḍa pāparogānvitairjanaiḥ /	veda dUzaka pAzaNxa pApa roga anvitEH janEH /
   pratilomādibhirlmecchairantyajātibhireva ca // BhS_27.124 //	pratiloma AdiBiH lma icCEH antya jAtiBiH eva ca // BhH _27.124 //
   tatkāle darśane hutvā vaiṣṇavaṃ brāhmameva ca /	tad kAle darSane hutvA vEzNavam brAhmam eva ca /
   raudraṃ ca pāvakaṃ hutvā vyāhṛtīśca tator'cayet // BhS_27.125 //	rOdram ca pAvakam hutvA vyAhRtIH ca tator acayet // BhH _27.125 //
   yadi cāvaraṇādbāhye pañcāśaddaṇḍakāntare /	yadi ca AvaraNAt bAhye paQcASat daNxaka antare /
   manuṣyāṇāṃ mṛtissyāttaduddhṛtyaivārcayeddharim // BhS_27.126 //	manuzyANAm mRtissyAt tat udDRtya eva arcayet harim // BhH _27.126 //
   naivārcanaṃ havirdānaṃ tataḥ pūrvaṃ samācaret /	na eva arcanam haviH dAnam tatas pUrvam samAcaret /
   dhruvakautukayoḥ kuryātpuṣpanyāsāvasānakam // BhS_27.127 //	Druva kOtukayoH kuryAt puzpa nyAsa avasAnakam // BhH _27.127 //
   paścātkālātyaye śāntiṃ hutvā dviguṇamarcayet /	paScAt kAla atyaye SAntim hutvA dviguNam arcayet /
   ekakālārcane hīne dvitīye dviguṇaṃ caret // BhS_27.128 //	eka kAla arcane hIne dvitIye dviguNam caret // BhH _27.128 //
   tṛtīye triguṇaṃ kuryādekāher'cāvivarjite /	tRtIye triguNam kuryAt eka aher acA vivarjite /
   vaiṣṇavaṃ viṣṇusūktaṃ ca puruṣa sūktaṃ tathaiva ca // BhS_27.129 //	vEzNavam vizNu sUktam ca puruza sUktam taTA eva ca // BhH _27.129 //
   hunecchrībhūmidaivatyaṃ dvyahe tu dviguṇaṃ bhavet /	hunet SrI BUmi dEvatyam dvi ahe tu dviguNam Bavet /
   tṣahe triguṇamevantu dvādaśāhāntamācaret // BhS_27.130 //	tzahe triguNam evantu dvAdaSa aha antam Acaret // BhH _27.130 //
   atīte dvādaśāhetu saṃdhāyaupāsanānale /	atIte dvAdaSa ahetu saMDAya OpAsana anale /
   vaiṣṇavaṃ viṣṇusūktaṃ ca puruṣasūktaṃ tathaiva ca // BhS_27.131 //	vEzNavam vizNu sUktam ca puruzasUktam taTA eva ca // BhH _27.131 //
   ālaye pariṣaddeva mantrān hutvā ca śaktitaḥ /	Alaye parizad deva mantrAn hutvA ca Saktitas /
   kalaśaissnāpya deveśamabhyarcya havirarpayet // BhS_27.132 //	kalaSEH snApya deveSam aByarcya haviH arpayet // BhH _27.132 //
   māsaṃ hīner'cane kuryādālayābhimukhe guruḥ /	mAsam hIneH acane kuryAt Alaya aBimuKe guruH /
   sabhyāgnau vaiṣṇavaṃ viṣṇusūktaṃ sūktaṃ ca pauruṣam // BhS_27.133 //	saBya agnO vEzNavam vizNu sUktam sUktam ca pOruzam // BhH _27.133 //
   hutvā śrībhūmidaivatyaṃ sarvadaivatyameva ca /	hutvA SrI BUmi dEvatyam sarva dEvatyam eva ca /
   kalaśairaṣṭabhiśca tvāriṃśadbhissnāpayeddharim // BhS_27.134 //	kalaSEH azwaBiH ca tvAriMSat BiH snApayet harim // BhH _27.134 //
   viśeṣeṇa havirdadyāddvitīyedviguṇaṃ tathā /	viSezeNa haviH dadyAt dvitIyet viguNam taTA /
   tṛtīye triguṇaṃ caivaṃ vatsarānantu vardhayet // BhS_27.135 //	tRtIye triguNam ca evam vatsarAnantu varDayet // BhH _27.135 //
   atīte vatsare caivaṃ padmāgnau saptavāsaram /	atIte vatsare ca evam padma agnO sapta vAsaram /
   mahāśāntiṃ tu hutvaiva kṛtvā vaiṣṇavapūjanam // BhS_27.136 //	mahASAntim tu hutvA eva kRtvA vEzNava pUjanam // BhH _27.136 //
   brāhmaṇān bhojayitvaiva śatāṣṭakalaśaiḥ punaḥ /	brAhmaNAn BojayitvA eva Sata azwa kalaSEH punar /
   saṃsnāpya devadeveśaṃ punasthsāpana mācaret // BhS_27.137 //	saMsnApya devadeveSam punar TsApana mAcaret // BhH _27.137 //
   akṣyunneṣādhivāsau tu punasthsāpanakarmaṇi /	akzi unneza aDivAsO tu puna sTsApana karmaNi /
   hitvānyatsakalaṃ karma pūrvavattu samācaret // BhS_27.138 //	hitvA anyat sakalam karma pUrvavat tu samAcaret // BhH _27.138 //
   havirhīne janāssarvetadgrāmasthāssamīpagāḥ /	haviH hIne janAssarvetat grAma sTa AssamIpa gAH /
   pīḍitāḥ kṣutpipāsādyairbhaveyurvyādhitā api // BhS_27.139 //	pIxitAH kzuD pipAsA AdyEH BaveyuH vyADitAH api // BhH _27.139 //
   tasmādatiprayatnena havissamya ṅnivedayet /	tasmAt ati prayatnena havissamya Fnivedayet /
   hīne haviṣyeka kāle dvitīye dviguṇaṃ bhavet // BhS_27.140 //	hIne havizyeka kAle dvitIye dviguNam Bavet // BhH _27.140 //
   tṛtīye triguṇaṃ kuryādekasmin divase gate /	tRtIye triguNam kuryAt ekasmin divase gate /
   vaiṣṇavaṃ śrīmahīmantrān mūrti homaṃ tathā hunet // BhS_27.141 //	vEzNavam SrI mahImantrAn mUrti homam taTA hunet // BhH _27.141 //
   devaṃ śuddhodakaissnāpya prabhūtaṃ tu nivedayet /	devam SudDa udakEH snApya praBUtam tu nivedayet /
   sopadaṃśamapakvaṃ ca śītaṃ paryuṣitaṃ tathā // BhS_27.142 //	sa upadaMSam apakvam ca SItam paryuzitam taTA // BhH _27.142 //
   pātrāntareṣvanikṣiptaṃ sāvaśeṣaṃ ca laṅghitam /	pAtra antarezu anikziptam sa avaSezam ca laFGitam /
   vivṛtaṃ srāvitaṃ caiva vikṛtaṃ dṛṣṭi dūṣitam // BhS_27.143 //	vivRtam srAvitam ca eva vikRtam dRzwi dUzitam // BhH _27.143 //
   aprokṣitamathāspṛṣṭa magṛhītamamudritam /	aprokzitam aTa aspRzwa magRhItam amudritam /
   havirnivedayeccettu vaiṣṇavaṃ śrīmahīmanūn // BhS_27.144 //	haviH nivedayet ced tu vEzNavam SrI mahI manUn // BhH _27.144 //
   āgneyaṃ vāruṇaṃ caiva vāyavyaṃ daśaśo hunet /	Agneyam vAruNam ca eva vAyavyam daSaSas hunet /
   dviguṇaṃ tu punaḥkṛtvā prabhūtaṃ tu nivedayet // BhS_27.145 //	dviguNam tu punar kRtvA praBUtam tu nivedayet // BhH _27.145 //
   nivedya cāśumispṛṣṭaṃ devaṃ saṃsnāpya mantrataḥ /	nivedya ca aSumi spRzwam devam saMsnApya mantrataH /
   vaiṣṇavaṃ viṣṇugāyatrīṃ trayastriṃśatkramāddhunet // BhS_27.146 //	vEzNavam vizNu gAyatrIm trayastriMSat kramAt hunet // BhH _27.146 //
   juhuyādvidhināśāntiṃ prokṣaṇairapi prokṣayet /	juhuyAt viDinA aSAntim prokzaNEH api prokzayet /
   puṇyāhaṃ vācayitvaiva dviguṇaṃ cārcanaṃ haviḥ // BhS_27.147 //	puNya aham vAcayitvA eva dviguNam ca arcanam haviH // BhH _27.147 //
   vrīhyaṅgāratuṣairyukteśarkarādivimiśrite /	vrIhi aFgAra tuzEH yukteSarkarA Adi vimiSrite /
   nivedite tu haviṣi mantreṇāṣṭākṣareṇa tu // BhS_27.148 //	nivedite tu havizi mantreNa azwa akzareNa tu // BhH _27.148 //
   vaiṣṇapyā caiva gāyatṣā mantraissaṃstūya vaiṣṇavaiḥ /	vEzNapyA ca eva gAyatzAH mantrEH saMstUya vEzNavEH /
   "kṣama'svetyanumānyaiva praṇamayaiva ca yācayet // BhS_27.149 //	"kzama asva iti anumAnya eva praNamayA eva ca yAcayet // BhH _27.149 //
   makṣikādyairjantubhiśca keśādyairapi dūṣite /	makzikA AdyEH jantuBiH ca keSa AdyEH api dUzite /
   nivedite tu haviṣi śuddhodaissnāvyavai harim // BhS_27.150 //	nivedite tu havizi SudDa udEH snAvya vE harim // BhH _27.150 //
   vaiṣṇavaṃ viṣṇusūktaṃ ca śrībhūdaivatyameva ca /	vEzNavam vizNu sUktam ca SrI BU dEvatyam eva ca /
   aṣṭottaraśataṃ hutvā dviguṇaṃ tu nivedayet // BhS_27.151 //	azwottaraSatam hutvA dviguNam tu nivedayet // BhH _27.151 //
   mahāhaviṣi caitaintu saṃyukte tatra dūṣitam /	mahA havizi ca etEntu saMyukte tatra dUzitam /
   puruṣāśanamātraṃ tu vyapohya tadanantaram // BhS_27.152 //	puruza aSana mAtram tu vyapohya tad anantaram // BhH _27.152 //
   bhasmāṃbhasākuśai "rāpo hiraṇya pavamāna'kaiḥ /	Basma aMBasA kuSE "rApaH hiraNya pavamAna akEH /
   prokṣya devaṃ susaṃprārdhya tadgṛhītvā nivedayet // BhS_27.153 //	prokzya devam su saMprArDya tat gRhItvA nivedayet // BhH _27.153 //
   pūrvamarkodayātpakva mupadaṃśamatho haviḥ /	pUrvam arka udayAt pakva mupadaMSam aTo haviH /
   koṣṇaṃ cedarpayet prātararcanāntena doṣabhāk // BhS_27.154 //	kozNam ced arpayet prAtar arcana antena doza BAj // BhH _27.154 //
   pūrva mastamayātpakvaṃ tathā sāyaṃ nivedayet /	pUrva mastamayAt pakvam taTA sAyam nivedayet /
   asaṃskṛtaṃ tu tāṃbūlaṃ lepakeśānvitaṃ tathā // BhS_27.155 //	asaMskRtam tu tAMbUlam lepa keSa anvitam taTA // BhH _27.155 //
   jantuspṛṣṭaṃ nivedyaiva vaiṣṇavaṃśrīmahīmanun /	jantu spRzwam nivedya eva vEzNavaMSrI mahImanun /
   hutvā saṃskṛtya tāṃbūlaṃ punaranyannivedayet // BhS_27.156 //	hutvA saMskRtya tAMbUlam punar anyat nivedayet // BhH _27.156 //
   arcanāṃgeṣu cānyeṣu padārtheṣvevameva hi /	arcana aMgezu ca anyezu padArTezu evam eva hi /
   dūṣiteṣvadha hīneṣu tasya tasyādhidaivatam // BhS_27.157 //	dUzitezu aDa hInezu tasya tasya aDidEvatam // BhH _27.157 //
   mantraṃ sa vaiṣṇavaṃ hutvā punaranyaissamarcayet /	mantram sa vEzNavam hutvA punar anyEssamarcayet /
   alābhe caiva sarveṣāṃ puṣpaṃ toyaṃ pragṛhyaca // BhS_27.158 //	alABe ca eva sarvezAm puzpam toyam pragRhya ca // BhH _27.158 //
   saṃkalpyaiva pratinidhiṃ tattatsmṛtvā samarcayet /	saMkalpya eva pratiniDim tat tat smRtvA samarcayet /
   nityahome vihīnetu vaiṣṇavaṃ daśaśo hunet // BhS_27.159 //	nitya home vihInetu vEzNavam daSaSas hunet // BhH _27.159 //
   yathoktahomaṃ dviguṇamācarettadanantaram /	yaTA ukta homam dviguNam Acaret tad anantaram /
   agnisaṃrakṣaṇe 'śaktā "vayante yo'nimuccaran // BhS_27.160 //	agni saMrakzaNe aSaktAH "vayante yaH animuccaran // BhH _27.160 //
   samidhyāropayetkuṇḍātpaścātsaṃsthāpya laukike /	samiDi A Aropayet kuNxAt paScAt saMsTApya lOkike /
   nyasya "copāvaro'hetipratyahaṃ juhuyātkramāt // BhS_27.161 //	nyasya "ca upAvaraH aha iti pratyaham juhuyAt kramAt // BhH _27.161 //
   surarṣimanujānāṃ tu balaṃ yasmātpṛvardhate /	sura Rzi m anujAnAm tu balam yasmAt pRvarDate /
   tasmādbalissamākhyātastadarthaṃ pratyahaṃ harim // BhS_27.162 //	tasmAt balissamAKyAtaH tad arTam pratyaham harim // BhH _27.162 //
   uktadravyeṣu cāvāhya triṣu kāleṣu deśikaḥ /	ukta dravyezu ca AvAhya trizu kAlezu deSikaH /
   abhyarcya bhrāmayedevamaśaktaḥ kartumuttamam // BhS_27.163 //	aByarcya BrAmayet evam aSaktaH kartum uttamam // BhH _27.163 //
   yathoktapātre nikṣipya balidkavyantu kevalam /	yaTA ukta pAtre nikzipya balidkavyantu kevalam /
   tasyopari yathoktaṃ tu baliberaṃ ca vinyaset // BhS_27.164 //	tasya upari yaToktam tu bali beram ca vinyaset // BhH _27.164 //
   śirasā dhārayan pātraṃ trirdvirvā sakṛdeva vā /	SirasA DArayan pAtram tris dvis vA sakRt eva vA /
   dene tataḥ parīyācca devāgāraṃ pradakṣiṇam // BhS_27.165 //	dene tatas parIyAt ca devAgAram pradakziNam // BhH _27.165 //
