   kūrmapurāṇam 1	kUrmapurANam 1
   viveśa tad vedasāraṃ sthānaṃ vai parameṣṭhinaḥ /	viveSa tat veda sAram sTAnam vE paramezWinaH /
   bhānoḥ sa maṇḍalaṃ śubhraṃ tato yāto maheśvaram // KūrmP_1,19.74 //	BAnoH sa maNxalam SuBram tatas yAtaH maheSvaram // KUrmP_1,19.74 //
   yaḥ paṭhecchṛṇuyād vāpi rājñaścaritamuttamam /	yaH paWet SRNuyAt vA api rAjQaH caritam uttamam /
   sarvapāpavinirmukto brahmaloke mahīyate // KūrmP_1,19.75 //	sarva pApa vinirmuktaH brahma loke mahIyate // KUrmP_1,19.75 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge ekonaviśo	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge ekona viSo
   'dhyāyaḥ	aDyAyaH
   sūta uvāca	sUtaH uvAca
   tridhanvā rājaputrastu dharmeṇāpālayanmahīm /	triDanvA rAja putraH tu DarmeNa apAlayat mahIm /
   tasya putro 'bhavad vidvāṃstrayyāruṇa iti smṛtaḥ // KūrmP_1,20.1 //	tasya putraH aBavat vidvAn= trayyAruNaH iti smRtaH // KUrmP_1,20.1 //
   tasya satyavrato nāma kumāro 'bhūnmahābalaḥ /	tasya satyavrataH nAma kumAraH aBUt mahA balaH /
   bhāryā satyadhanā nāma hariścandramajījanat // KūrmP_1,20.2 //	BAryA satyaDanAH nAma hariScandram ajIjanat // KUrmP_1,20.2 //
   hariścandrasya putro 'bhūd rohito nāma vīryavān /	hariScandrasya putraH aBUt rohitaH nAma vIryavAn /
   harito rohitasyātha dhundhustasya suto 'bhavat // KūrmP_1,20.3 //	haritaH rohitasya aTa DunDuH tasya sutaH aBavat // KUrmP_1,20.3 //
   vijayaśca sudevaśca dhundhuputrau babhūvatuḥ /	vijayaH ca sudevaH ca DunDu putrO baBUvatuH /
   vijayasyābhavat putraḥ kāruko nāma vīryavān // KūrmP_1,20.4 //	vijayasya aBavat putraH kArukaH nAma vIryavAn // KUrmP_1,20.4 //
   kārukasya vṛkaḥ putrastasmād bāhurajāyata /	kArukasya vRkaH putraH tasmAt bAhuH ajAyata /
   sagarastasya putrau'bhūd rājā paramadhārmikaḥ // KūrmP_1,20.5 //	sagaraH tasya putrO aBUt rAjA parama DArmikaH // KUrmP_1,20.5 //
   dve bhārye sagarasyāpi prabhā bhānumatī tathā /	dve BArye sagarasya api praBA BAnumatI taTA /
   tābhyāmārādhitaḥ prādādaurvāgnirvaramuttamam // KūrmP_1,20.6 //	tAByAm ArADitaH prAdAt OrvAgniH varam uttamam // KUrmP_1,20.6 //
   ekaṃ bhānumatī putramagṛhṇādasamañjasam /	ekam BAnumatI putram agRhNAt asamaQjasam /
   prabhā ṣaṣṭisahastraṃ tu putrāṇāṃ jagṛhe śubhā // KūrmP_1,20.7 //	praBA zazwi sahastram tu putrANAm jagRhe SuBA // KUrmP_1,20.7 //
   asamañsasya tanayo hyaṃśumān nāma pārthivaḥ /	asamaQsasya tanayaH hi aMSumAn nAma pArTivaH /
   tasya putro dilīpastu dilīpāt tu bhagīrathaḥ // KūrmP_1,20.8 //	tasya putraH dilIpaH tu dilIpAt tu BagIraTaH // KUrmP_1,20.8 //
   yena bhāgīrathī gaṅgā tapaḥ kṛtvāvatāritā /	yena BAgIraTI gaFgA tapaH kRtvA avatAritAH /
   prasādād devadevasya mahādevasya dhīmataḥ // KūrmP_1,20.9 //	prasAdAt devadevasya mahAdevasya DImataH // KUrmP_1,20.9 //
   bhagīrathasya tapasā devaḥ prītamanā haraḥ /	BagIraTasya tapasA devaH prIta manAH haraH /
   babhāra śirasā gaṅgāṃ somānte somabhūṣaṇaḥ // KūrmP_1,20.10 //	baBAra SirasA gaFgAm soma ante soma BUzaNaH // KUrmP_1,20.10 //
   bhagīrathasutaścāpi śruto nāma babhūva ha /	BagIraTa sutaH ca api SrutaH nAma baBUva ha /
   nābhāgastasya dāyādaḥ sindhudvīpastato 'bhavat // KūrmP_1,20.11 //	nABAgaH tasya dAyAdaH sinDudvIpaH tatas aBavat // KUrmP_1,20.11 //
   ayutāyuḥ sutastasya ṛtuparṇastu tatsutaḥ /	ayutAyuH sutaH tasya RtuparNaH tu tad sutaH /
   ṛtuparṇasya putro 'bhūt sudāso nāma dhārmikāḥ /	RtuparNasya putraH aBUt sudAsaH nAma DArmikAH /
   saudāsastasya tanayaḥ khyātaḥ kalmāṣapādakaḥ // KūrmP_1,20.12 //	sOdAsaH tasya tanayaH KyAtaH kalmAzapAdakaH // KUrmP_1,20.12 //
   vasiṣṭhastu mahātejāḥ kṣetre kalmāṣapādake /	vasizWaH tu mahA tejAH kzetre kalmAzapAdake /
   aśmakaṃ janayāmasā tamikṣvākukuladhvajam // KūrmP_1,20.13 //	aSmakam janayAmasA tam ikzvAku kula Dvajam // KUrmP_1,20.13 //
   aśmakasyotkalāyāṃ tu nakulo nāma pārthivaḥ /	aSmakasya utkalAyAm tu nakulaH nAma pArTivaH /
   sa hi rāmabhayād rājā vanaṃ prāpa suduḥ khitaḥ // KūrmP_1,20.14 //	sa hi rAma BayAt rAjA vanam prApa su duH KitaH // KUrmP_1,20.14 //
   vibhrat sa nārīkavacaṃ tasmācchataratho 'bhavat /	viBrat sa nArI kavacam tasmAt SataraTaH aBavat /
   tasmād bilibiliḥ śrīmānvṛddhaśarmācatatsutaḥ // KūrmP_1,20.15 //	tasmAt bilibiliH SrImAn vRdDa SarmA catad sutaH // KUrmP_1,20.15 //
   tasmād viśvasahastasmāt khaṭvāṅga iti viśrutaḥ /	tasmAt viSvasahaH tasmAt KawvAFgaH iti viSrutaH /
   dīrghabāhuḥ sutastasya raghustasmādajāyata // KūrmP_1,20.16 //	dIrGa bAhuH sutaH tasya raGuH tasmAt ajAyate // KUrmP_1,20.16 //
   raghorajaḥ samutpanno rājā daśarathastataḥ /	raGoH ajaH samutpannaH rAjA daSaraTaH tatas /
   rāmo dāśarathirvoro dharmajño lokaviśrutaḥ // KūrmP_1,20.17 //	rAmaH dASaraTiH vA uraH Darma jQaH loka viSrutaH // KUrmP_1,20.17 //
   bharato lakṣmaṇaścaiva śatrughnaśca mahābalaḥ /	BarataH lakzmaNaH ca eva SatruGnaH ca mahA balaH /
   sarve śakrasamā yuddhe viṣṇuśaktisamanvitāḥ /	sarve Sakra samAH yudDe vizNu Sakti samanvitAH /
   jajñe rāvaṇanāśārthaṃ viṣṇuraṃśena viśvakṛt // KūrmP_1,20.18 //	jajQe rAvaNa nASa arTam vizNuH aMSena viSvakRt // KUrmP_1,20.18 //
   rāmasya subhagā bhāryā janakasyātmajā śubhā /	rAmasya suBagA BAryA janakasya AtmajA SuBA /
   sītā trilokavikhyātā śīlaudāryaguṇānvitā // KūrmP_1,20.19 //	sItA triloka viKyAtA SIla OdArya guNa anvitAH // KUrmP_1,20.19 //
   tapasā toṣitā devī janakena girīndrajā /	tapasA tozitA devI janakena girIndrajAH /
   prāyacchajjānakīṃ sītāṃ rāmamevāśritā patim // KūrmP_1,20.20 //	prAyacCat jAnakIm sItAm rAmam eva ASritA patim // KUrmP_1,20.20 //
   prītaśca bhagavānīśastriśūlī nīlalohitaḥ /	prItaH ca BagavAn ISaH triSUlI nIlalohitaH /
   pradadau śatrunāśārthaṃ janakāyādbhutaṃ dhanuḥ // KūrmP_1,20.21 //	pradadO Satru nASa arTam janakAya adButam DanuH // KUrmP_1,20.21 //
   sa rājā janako vidvān dātukāmaḥ sutāmimām /	sa rAjA janakaH vidvAn dAtu kAmaH sutAm imAm /
   aghoṣayadamitraghno loke 'smin dvijapuṅgavāḥ // KūrmP_1,20.22 //	aGozayat amitra GnaH loke asmin dvija puFgavAH // KUrmP_1,20.22 //
   idaṃ dhanuḥ samādātuṃ yaḥ śaknoti jagattraye /	idam DanuH samAdAtum yaH Saknoti jagattraye /
   devo vā dānavo vāpi sa sītāṃ labdhumarhati // KūrmP_1,20.23 //	devaH vA dAnavaH vA api sa sItAm labDum arhati // KUrmP_1,20.23 //
   vijñāya rāmo balavān janakasya gṛhaṃ prabhuḥ /	vijQAya rAmaH balavAn janakasya gRham praBuH /
   bhañjayāmāsa cādāya gatvāsau līlayaiva hi // KūrmP_1,20.24 //	BaQjayAmAsa ca AdAya gatvA asO lIlayA eva hi // KUrmP_1,20.24 //
   udvavāha ca tāṃ kanyāṃ pārvatīmiva śaṅkaraḥ /	udvavAha ca tAm kanyAm pArvatIm iva SaFkaraH /
   rāmaḥ paramadharmātmā senāmiva ca ṣaṇmukhaḥ // KūrmP_1,20.25 //	rAmaH parama Darma AtmA senAm iva ca zaNmuKaH // KUrmP_1,20.25 //
   tato bahutithe kāle rājā daśarathaḥ svayam /	tatas bahutiTe kAle rAjA daSaraTaH svayam /
   rāmaṃ jyeṣṭhaṃ sutaṃ vīraṃ rājānaṃ kartumārabhat // KūrmP_1,20.26 //	rAmam jyezWam sutam vIram rAjAnam kartum AraBat // KUrmP_1,20.26 //
   tasyātha patnī subhagā kaikeyī cārubhāṣiṇī /	tasya aTa patnI suBagA kEkeyI cAru BAziNI /
   nivārayāmāsa patiṃ prāha saṃbhrāntamānasā // KūrmP_1,20.27 //	nivArayAmAsa patim prAha saMBrAnta mAnasA // KUrmP_1,20.27 //
   matsutaṃ bharataṃ vīraṃ rājānaṃ kartumarhasi /	mad sutam Baratam vIram rAjAnam kartum arhasi /
   pūrvameva varo yasmād datto me bhavatā yataḥ // KūrmP_1,20.28 //	pUrvam eva varaH yasmAt dattaH me BavatA yatas // KUrmP_1,20.28 //
   sa tasyā vacanaṃ śrutvā rājā duḥ khitamānasaḥ /	sa tasyAH vacanam SrutvA rAjA duH Kita mAnasaH /
   bāḍhamityabravīd vākyaṃ tathā rāmo 'pi dharmavit // KūrmP_1,20.29 //	bAXam iti abravIt vAkyam taTA rAmaH api Darma vid // KUrmP_1,20.29 //
   praṇamyātha pituḥ pādau lakṣmaṇena sahācyutaḥ /	praNamya aTa pituH pAdO lakzmaNena saha acyutaH /
   yayau vanaṃ sapatnīkaḥ kṛtvā samayamātmavān // KūrmP_1,20.30 //	yayO vanam sa patnIkaH kRtvA samayam AtmavAn // KUrmP_1,20.30 //
   saṃvatsarāṇāṃ catvāri daśa caiva mahābalaḥ /	saMvatsarANAm catvAri daSa ca eva mahA balaH /
   uvāsa tatra matimān lakṣmaṇena saha prabhuḥ // KūrmP_1,20.31 //	uvAsa tatra matimAn lakzmaNena saha praBuH // KUrmP_1,20.31 //
   kadācid vasato 'raṇye rāvaṇo nāma rākṣasaḥ /	kadAcid vasataH araNye rAvaNaH nAma rAkzasaH /
   parivrājakaveṣeṇa sītāṃ hṛtvā yayau purīm // KūrmP_1,20.32 //	parivrAjaka vezeNa sItAm hRtvA yayO purIm // KUrmP_1,20.32 //
   adṛṣṭvā lakṣmaṇo rāmaḥ sītāmākulitendriyau /	adRzwvA lakzmaNaH rAmaH sItAm Akulita indriyO /
   duḥ khaśokābhisaṃtaptau babhūvaturarindamau // KūrmP_1,20.33 //	duH Ka Soka aBisaMtaptO baBUvatuH arindamO // KUrmP_1,20.33 //
   tataḥ kadācit kapinā sugrīveṇa dvijottamāḥ /	tatas kadAcid kapinA sugrIveNa dvijottamAH /
   vānarāṇāmabhūt sakhyaṃ rāmasyākliṣṭakarmaṇaḥ // KūrmP_1,20.34 //	vAnarANAm aBUt saKyam rAmasya aklizwa karmaNaH // KUrmP_1,20.34 //
   sugrīvasyānugo vīro hanumān nma vānaraḥ /	sugrIvasya anugaH vIraH hanumAn nma vAnaraH /
   vāyuputrau mahātejā rāmasyāsīt priyaḥ sadā // KūrmP_1,20.35 //	vAyuputrO mahA tejAH rAmasya AsIt priyaH sadA // KUrmP_1,20.35 //
   sa kṛtvā paramaṃ dhairyaṃ rāmāya kṛtaniścayaḥ /	sa kRtvA paramam DEryam rAmAya kRta niScayaH /
   ānayiṣyāmi tāṃ sītāmityuktvā vicacāra ha // KūrmP_1,20.36 //	AnayizyAmi tAm sItAm iti uktvA vicacAra ha // KUrmP_1,20.36 //
   mahīṃ sāgaraparyantāṃ sītādarśanatatparaḥ /	mahIm sAgara paryantAm sItA darSana tatparaH /
   jagāma rāvaṇapurīṃ laṅkāṃ sāgarasaṃsthitām // KūrmP_1,20.37 //	jagAma rAvaNa purIm laFkAm sAgara saMsTitAm // KUrmP_1,20.37 //
   tatrātha nirjane deśe vṛkṣmūle śucismitām /	tatra aTa nirjane deSe vRkzmUle Suci smitAm /
   apaśyadamalāṃ sītāṃ rākṣasībhiḥ samāvṛtām // KūrmP_1,20.38 //	apaSyat amalAm sItAm rAkzasIBiH samAvRtAm // KUrmP_1,20.38 //
   aśrupūrṇekṣaṇāṃ hṛdyāṃ saṃsmarantīmaninditām /	aSru pUrNa IkzaNAm hRdyAm saMsmarantIm aninditAm /
   rāmamindīvaraśyāmaṃ lakṣmaṇaṃ cātmasaṃsthitam // KūrmP_1,20.39 //	rAmam indIvara SyAmam lakzmaNam ca Atma saMsTitam // KUrmP_1,20.39 //
   nivedayitvā cātmānaṃ sītāyai rahasi svayam /	nivedayitvA ca AtmAnam sItAyE rahasi svayam /
   asaṃśayāya pradadāvasyai rāmāṅgulīyakam // KūrmP_1,20.40 //	asaMSayAya pradadO= asyE rAma aFgulIyakam // KUrmP_1,20.40 //
   dṛṣṭvāṅgulīyakaṃ sītā patyuḥ paramaśobhanam /	dRzwvA aFgulIyakam sItA patyuH parama SoBanam /
   mene samāgataṃ rāmaṃ prītivisphāritekṣaṇā // KūrmP_1,20.41 //	mene samAgatam rAmam prIti visPArita IkzaNA // KUrmP_1,20.41 //
   samāśvāsya tadā sītāṃ dṛṣṭvā rāmasya cāntikam /	samASvAsya tadA sItAm dRzwvA rAmasya ca antikam /
   nayiṣye tvāṃ mahābāhuruktvā rāmaṃ yayau punaḥ // KūrmP_1,20.42 //	nayizye tvAm mahA bAhuH uktvA rAmam yayO punar // KUrmP_1,20.42 //
   nivedayitvā rāmāya sītādarśanamātmavān /	nivedayitvA rAmAya sItA darSanam AtmavAn /
   tasthau rāmeṇa purato lakṣmaṇena ca pūjitaḥ // KūrmP_1,20.43 //	tasTO rAmeNa puratas lakzmaNena ca pUjitaH // KUrmP_1,20.43 //
   tataḥ sa rāmo balavān sārdhaṃ hanumatā svayam /	tatas sa rAmaH balavAn sArDam hanumatA svayam /
   lakṣmaṇena ca yuddhāya buddhiṃ cakre hi rakṣasām // KūrmP_1,20.44 //	lakzmaNena ca yudDAya budDim cakre hi rakzasAm // KUrmP_1,20.44 //
   kṛtvātha vānaraśatairlaṅkāmārgaṃ mahodadheḥ /	kRtvA aTa vAnara SatEH laFkA mArgam mahA udaDeH /
   setuṃ paramadharmātmā rāvaṇaṃ hatavān prabhuḥ // KūrmP_1,20.45 //	setum parama Darma AtmA rAvaNam hatavAn praBuH // KUrmP_1,20.45 //
   sapatnīkaṃ ca sasutaṃ sabhrātṛkamaridamaḥ /	sa patnIkam ca sa sutam sa BrAtRkamari damaH /
   ānayāmāsa tāṃ sītāṃ vāyuputrasahāyavān // KūrmP_1,20.46 //	AnayAmAsa tAm sItAm vAyuputra sahAyavAn // KUrmP_1,20.46 //
   setumadhye mahādevamīśānaṃ kṛttivāsasam /	setu maDye mahAdevam ISAnam kRttivAsasam /
   sthāpayāmāsa liṅgasthaṃ pūjayāmāsa rāghavaḥ // KūrmP_1,20.47 //	sTApayAmAsa liFga sTam pUjayAmAsa rAGavaH // KUrmP_1,20.47 //
   tasya devo mahādevaḥ pārvatyā saha śaṅkaraḥ /	tasya devaH mahAdevaH pArvatyA saha SaFkaraH /
   pratyakṣameva bhagavān dattavān varamuttamam // KūrmP_1,20.48 //	pratyakzam eva BagavAn dattavAn varam uttamam // KUrmP_1,20.48 //
   yat tvayā sthāpitaṃ liṅgaṃ drakṣyantīha dvijātayaḥ /	yat tvayA sTApitam liFgam drakzyanti iha dvijAtayaH /
   mahāpātakasaṃyuktāsteṣāṃ pāpaṃ vinaśyatu // KūrmP_1,20.49 //	mahApAtaka saMyuktAH tezAm pApam vinaSyatu // KUrmP_1,20.49 //
   anyāni caiva pāpāni snātasyātra mahodadhau /	anyAni ca eva pApAni snAtasya atra mahA udaDO /
   darśanādeva liṅgasalya nāśaṃ yānti na saṃśayaḥ // KūrmP_1,20.50 //	darSanAt eva liFga salya nASam yAnti na saMSayaH // KUrmP_1,20.50 //
   yāvat sthāsyanti girayo yāvadeṣā ca medinī /	yAvat sTAsyanti girayaH yAvat ezA ca medinI /
   yāvat setuśca tāvacca sthāsyāmyatra tirohitaḥ // KūrmP_1,20.51 //	yAvat setuH ca tAvat ca sTAsyAmi atra tirohitaH // KUrmP_1,20.51 //
   snānaṃ dānaṃ japaḥ śrāddhaṃ bhaviṣyatyakṣyaṃ kṛtam /	snAnam dAnam japaH SrAdDam Bavizyati akzyam kRtam /
   smaraṇādeva liṅgasya dinapāpaṃ praṇaśyati // KūrmP_1,20.52 //	smaraNAt eva liFgasya dina pApam praNaSyati // KUrmP_1,20.52 //
   ityuktvā bhagavāñchaṃbhuḥ pariṣvajya tu rāghavam /	iti uktvA BagavAn SaMBuH parizvajya tu rAGavam /
   sanandī sagaṇo rudrastatraivāntaradhīyata // KūrmP_1,20.53 //	sa nandI sa gaNaH rudraH tatra eva antaraDIyata // KUrmP_1,20.53 //
   rāmo 'pi pālayāmāsa rājyaṃ dharmaparāyaṇaḥ /	rAmaH api pAlayAmAsa rAjyam Darma parAyaNaH /
   abhiṣikto mahātejā bharatena mahābalaḥ // KūrmP_1,20.54 //	aBiziktaH mahA tejAH Baratena mahA balaH // KUrmP_1,20.54 //
   viśeṣāḍh brāhmaṇān sarvān pūjayāmasaceśvaram /	viSezAX brAhmaNAn sarvAn pUjayAmasaceSvaram /
   yajñena yajñahantāramaśvamedhena śaṅkaram // KūrmP_1,20.55 //	yajQena yajQa hantAram aSvameDena SaFkaram // KUrmP_1,20.55 //
   rāmasya tanayo jajñe kuśa ityabhiviśrutaḥ /	rAmasya tanayaH jajQe kuSaH iti aBiviSrutaH /
   lavaśca sumahābhāgaḥ sarvatattvārthavit sudhīḥ // KūrmP_1,20.56 //	lavaH ca su mahABAgaH sarva tattva arTa vid suDIH // KUrmP_1,20.56 //
   atithistu kuśājjajñe niṣadhastatsuto 'bhavat /	atiTiH tu kuSAt jajQe nizaDaH tad sutaH aBavat /
   nalastu niṣadhasyābhūnnabhastamādajāyata // KūrmP_1,20.57 //	nalaH tu nizaDasya aBUt naBaH tam AdajAyata // KUrmP_1,20.57 //
   nabhasaḥ puṇḍarīkākhyaḥ kṣemadhanvā ca tatsutaḥ /	naBasaH puNxarIka AKyaH kzemaDanvA ca tad sutaH /
   tasya putro 'bhavad vīro devānīkaḥ pratāpavān // KūrmP_1,20.58 //	tasya putraH aBavat vIraH devAnIkaH pratApavAn // KUrmP_1,20.58 //
   ahīnagustasya suto sahasvāṃstatsuto 'bhavat /	ahIna guH tasya sutaH sahasvAn= tad sutaH aBavat /
   tasmāccandrāvalokastu tārāpīḍastu tatsutaḥ // KūrmP_1,20.59 //	tasmAt candra avalokaH tu tArApIxaH tu tad sutaH // KUrmP_1,20.59 //
   tārāpīḍāccandragirirbhānuvittastato 'bhavat /	tArA pIxAt candragiriH BAnuvittaH tatas aBavat /
   śrutāyurabhavat tasmādete ikṣvākuvaṃśajāḥ /	SrutAyuH aBavat tasmAt ete ikzvAku vaMSa jAH /
   sarve prādhānyataḥ proktāḥ samāsena dvijottamāḥ // KūrmP_1,20.60 //	sarve prADAnyataH proktAH samAsena dvijottamAH // KUrmP_1,20.60 //
   ya imaṃ śṛṇuyānnityamikṣvākorvaṃśamuttamam /	yaH imam SRNuyAt nityam ikzvAkoH vaMSam uttamam /
   sarvapāpavinirmukto svargaloke mahīyate // KūrmP_1,20.61 //	sarva pApa vinirmuktaH svarga loke mahIyate // KUrmP_1,20.61 //
   iti śrīkūrmapurāṇe ṣaṭsāhastryāṃ saṃhitāyāṃ pūrvavibhāge viśo 'dhyāyaḥ	iti SrI kUrmapurANe zawsAhastryAm saMhitAyAm pUrva viBAge viSaH aDyAyaH
   romaharṣaṇa uvāca	romaharzaNaH uvAca
   ailaḥ purūravāścātha rājā rājyamapālayat /	ElaH purUravAH ca aTa rAjA rAjyam apAlayat /
   tasya putrā babhūvurhi ṣaḍindrasamatejasaḥ // KūrmP_1,21.1 //	tasya putrAH baBUvuH hi zaz indra sama tejasaH // KUrmP_1,21.1 //
   āyurmāyuramāvāyurviśvāyuścaiva vīryavān /	AyuH mAyuH amAvAyuH viSvAyuH ca eva vIryavAn /
   śatāyuśca śrutāyuśca divyāścaivorvaśīsutāḥ // KūrmP_1,21.2 //	SatAyuH ca SrutAyuH ca divyAH ca eva urvaSI sutAH // KUrmP_1,21.2 //
   āyuṣastanayā vīrāḥ pañcaivāsan mahaujasaḥ /	AyuzaH tanayAH vIrAH paQca eva Asan mahA ojasaH /
   svarbhānutanayāyāṃ vai prabhāyāmiti naḥ śrutam // KūrmP_1,21.3 //	svarBAnu tanayAyAm vE praBAyAm iti naH Srutam // KUrmP_1,21.3 //
   nahuṣaḥ prathamasteṣāṃ dharmajño lokaviśrutaḥ /	nahuzaH praTamaH tezAm Darma jQaH loka viSrutaH /
   nahuṣasya tu dāyādāḥ ṣaḍindropamatejasaḥ // KūrmP_1,21.4 //	nahuzasya tu dAyAdAH zaz indra upama tejasaH // KUrmP_1,21.4 //
   utpannāḥ pitṛkanyāyāṃ virajāyāṃ mahābalāḥ /	utpannAH pitR kanyAyAm virajAyAm mahA balAH /
   yatiryayātiḥ saṃyātirāyātiḥ pañcako 'śvakaḥ // KūrmP_1,21.5 //	yatiH yayAtiH saMyAtiH AyAtiH paQcakaH aSvakaH // KUrmP_1,21.5 //
   teṣāṃ yayātiḥ pañcānāṃ mahābalaparākramaḥ /	tezAm yayAtiH paQcAnAm mahA bala parAkramaH /
   devayānīmukhanasaḥ sutāṃ bhāryāmavāpa saḥ /	devayAnI muKanasaH sutAm BAryAm avApa saH /
   śarmiṣṭhāmāsurīṃ caiva tanayāṃ vṛṣaparvaṇaḥ // KūrmP_1,21.6 //	SarmizWAm AsurIm ca eva tanayAm vRzaparvaNaH // KUrmP_1,21.6 //
   yaduṃ ca turvasuṃ caiva devayānī vyajāyata /	yadum ca turvasum ca eva devayAnI vyajAyata /
   druhyuṃ cānuṃ ca pūruṃ ca śarmiṣṭhā cāpyajījanat // KūrmP_1,21.7 //	druhyum ca anum ca pUrum ca SarmizWA ca api ajIjanat // KUrmP_1,21.7 //
   so 'bhyaṣiñcadatikramya jyeṣṭhaṃ yadumaninditam /	saH aByaziQcat atikramya jyezWam yadum aninditam /
   purumeva kanīyāsaṃ piturvacanapālakam // KūrmP_1,21.8 //	purum eva kanIyAsam pituH vacana pAlakam // KUrmP_1,21.8 //
   diśi dakṣiṇapūrvasyāṃ turvasuṃ putramādiśat /	diSi dakziNa pUrvasyAm turvasum putram AdiSat /
   dakṣiṇāparayo rājā yaduṃ jyeṣṭhaṃ nyayojayat /	dakziNA parayoH rAjA yadum jyezWam nyayojayat /
   pratīcyāmuttārāyāṃ ca druhyuṃ cānumakalpayat // KūrmP_1,21.9 //	pratIcyAm uttArAyAm ca druhyum ca anum akalpayat // KUrmP_1,21.9 //
   tairiyaṃ pṛthivī sarvā dharmataḥ paripālitā /	tEH iyam pRTivI sarvAH DarmataH paripAlitAH /
   rājāpi dārasahito navaṃ prāpa mahāyaśāḥ // KūrmP_1,21.10 //	rAjA api dAra sahitaH navam prApa mahA yaSAH // KUrmP_1,21.10 //
   yadorapyabhavan putrāḥ pañca devasutopamāḥ /	yadoH api aBavan putrAH paQca deva suta upamAH /
   sahastrajit tathājyeṣṭhaḥ kroṣaṭurnālo 'jitoraghuḥ // KūrmP_1,21.11 //	sa hastrajit taTA ajyezWaH krozawuH nAlaH ajita uraGuH // KUrmP_1,21.11 //
   sahastrajitsutastadvacchatajinnāma pārthivaḥ /	sa hastrajit sutaH tadvat Satajit nAma pArTivaH /
   sutāḥ śatajito 'pyāsaṃstrayaḥ paramadhārmikāḥ // KūrmP_1,21.12 //	sutAH SatajitaH api Asan= trayaH parama DArmikAH // KUrmP_1,21.12 //
   haihayaśca hayaścaiva rājā veṇuhayaḥ paraḥ /	hEhayaH ca hayaH ca eva rAjA veNu hayaH paraH /
   haihayasyābhavat putro dharma ityabhiviśrutaḥ // KūrmP_1,21.13 //	hEhayasya aBavat putraH DarmaH iti aBiviSrutaH // KUrmP_1,21.13 //
   tasya putro 'bhavad viprā dharmanetraḥ pratāpavān /	tasya putraH aBavat viprAH DarmanetraH pratApavAn /
   dharmanetrasya kīrtistu saṃjitastatsuto 'bhavat // KūrmP_1,21.14 //	Darmanetrasya kIrtiH tu saMjitaH tad sutaH aBavat // KUrmP_1,21.14 //
   mahiṣmān saṃjitasyābhūd bhadraśreṇyastadanvayaḥ /	mahizmAn saMjitasya aBUt BadraSreNyaH tad anvayaH /
   bhadraśreṇyasya dāyādo durdamo nāma pārthivaḥ // KūrmP_1,21.15 //	BadraSreNyasya dAyAdaH durdamaH nAma pArTivaH // KUrmP_1,21.15 //
   durdamasya suto dhīmān dhanako nāma vīryavān /	durdamasya sutaH DImAn DanakaH nAma vIryavAn /
   dhanakasya tu dāyādāścatvāro lokasammatāḥ // KūrmP_1,21.16 //	Danakasya tu dAyAdAH catvAraH loka sammatAH // KUrmP_1,21.16 //
   kṛtavīryaḥ kṛtāgniśca kṛtavarmā tathaiva ca /	kRtavIryaH kRtAgniH ca kRtavarmA taTA eva ca /
   kṛtaujāśca caturtho 'bhūt kārtavīryor'juno 'bhavat // KūrmP_1,21.17 //	kRtOjAH ca caturTaH aBUt kArtavIryor ajunaH aBavat // KUrmP_1,21.17 //
   sahastrabāhurdyutimān dhanurvedavidāṃ varaḥ /	sahastra bAhuH dyutimAn Danurveda vidAm varaH /
   tasya rāmo 'bhavanmṛtyurjāmadagnyo janārdanaḥ // KūrmP_1,21.18 //	tasya rAmaH aBavat mRtyuH jAmadagnyaH janArdanaH // KUrmP_1,21.18 //
   tasya putraśatānyāsan pañca tatra mahārathāḥ /	tasya putra SatAni Asan paQca tatra mahA raTAH /
   kṛtāstrā balinaḥ śūrā dharmātmāno namasvinaḥ // KūrmP_1,21.19 //	kRtAstrAH balinaH SUrAH Darma AtmAnaH namasvinaH // KUrmP_1,21.19 //
   śūraśca śūrasenaśca dhṛṣṇaḥ kṛṣṇastathaiva ca /	SUraH ca SUrasenaH ca DRzNaH kRzNaH taTA eva ca /
   jayadhvajaśca balavān nārāyaṇaparo nṛpaḥ // KūrmP_1,21.20 //	jayaDvajaH ca balavAn nArAyaNa paraH nRpaH // KUrmP_1,21.20 //
   śūrasenādayaḥ sarve catvāraḥ prathitaujasaḥ /	SUrasena AdayaH sarve catvAraH praTita ojasaH /
   rudrabhaktā mahātmānaḥ pūjayanti sma śaṅkaram // KūrmP_1,21.21 //	rudra BaktAH mahAtmAnaH pUjayanti sma SaFkaram // KUrmP_1,21.21 //
   jayadhvajastu matimān devaṃ nārāyaṇaṃ harim /	jayaDvajaH tu matimAn devam nArAyaNam harim /
