   Kāśyapaparivarta Sūtra	KASyapa-parivarta SUtra
   vākprajñapti na cittaṃ na cittaprajñaptiḥ na loko nālokaḥ na niśrayo	vAc-prajQapti na cittam na citta-prajQaptiH na lokaH na-AlokaH na niSrayaH-
   nāniśrayaḥ nā maśīlotkarṣaṇā / na paraduḥśīlapaṃsanā / na śīlamanyanā / na	na-aniSrayaH nA maSIla-utkarzaNAH / na para-duHSIla-paMsanA / na SIla-manyanAH / na
   śīlakalpanā / vikalpanā / na saṅkalpanā na parikalpanā / iyamucyate	SIla-kalpanA / vikalpanA / na saFkalpanA na parikalpanA / iyam-ucyate
   kāśyapa āryāṇā śīla / anāsravam aparyāpannaṃ traidhātukānu gataṃ	kASyapaH AryANA SIla / anAsravam aparyApannam trEDAtuka-anu gatam
   sarvaniśrayāpagaṃ /	sarva-niSraya-Apagam /
   KP.136 atha bhagavāṃstasyāṃ velāyam imāṃ gāthām abhāṣataḥ //	KP.136 aTa BagavAn=-tasyAm velA-ayam imAm gATAm aBAzataH //
   na śīlavantasya m............... na kiñcana	na SIlavantasya m............... na kiQcana
   na śīlavantasya mado na niśrayaḥ	na SIlavantasya madaH na niSrayaH
   na śīlavantasya tamo na bandhanam /	na SIlavantasya tamaH na banDanam /
   na śīlavantasya rajo na...............	na SIlavantasya rajaH na...............
   śāntapraśānta upaśāntamānaso	SAnta-praSAntaH upaSAnta-mAnasaH-
   kalpaḥ vikalpāpagato niraṅgaṇaḥ	kalpaH vikalpa-apagataH niraFgaNaH
   sarveñjanāmanyanavipramuktaḥ	sarva-in-janAmanyana-vipramuktaH
   XśiXX n kāśyapa buddhaśāsaneḥ	XSiXX n kASyapa budDa-SAsaneH
   na kāyasāvekṣi na jīvitārthiko	na kAyasa-avekzi na jIvita-arTi-kaH-
   hyanarthikaḥ sarvabhavopapattibhiḥ	hi-anarTikaH sarva-Bava-upapattiBiH
   samyaggat. ḥ s................... pratiṣṭhitaḥ	samyak-gat. H s................... pratizWitaH
   sa śīlavān kāśyapa buddhaśāsane / 3	sa SIlavAn kASyapa budDa-SAsane / 3
   na lokalipto na ca lokaniśritoḥ	na loka-liptaH na ca loka-niSritoH
   ālokaprāpto amamo................... ñcanaḥ	Aloka-prAptaH amamo................... QcanaH
   na cātmasañjñī na pareṣu sañjñī	na ca-Atma-saQjQI na parezu saQjQI
   sañjñā parijñāya viśuddhaśīlaḥ 4	saQjQA parijQAya viSudDa-SIlaH 4
   yasyā napāraṃ na ca pāramadhy.	yasyAH na-pAram na ca pAra-maDy.
   X pārapāre ca na jātu saktaḥ	X pAra-pAre ca na jAtu saktaH
   avabaddhāsakto akuho anāsravaḥ	avabadDa-AsaktaH akuhaH anAsravaH
   sa śīlavān kāśyapa buddhaśāsane / 5	sa SIlavAn kASyapa budDa-SAsane / 5
   KP.137 nāme ca rūpe ca asaktamānasaḥ samāhitasso hi sudāntacittaḥ	KP.137 nAme ca rUpe ca asakta-mAnasaH samAhitassaH hi su-dAnta-cittaH
   yasyeha ātmā na ca ātmanīyām etāvatā śīlasthito nirucyate / 6	yasya-iha AtmA na ca AtmanIyAm etAvatA SIla-sTitaH nirucyate / 6
   na śikṣayā manyati prātimokṣe na cāpi tena bhavateha tanmayo /	na SikzayA manyati prAtimokze na ca-api tena BavatA-iha tad-mayaH /
   athottaraṃ margati āryamārge viśuddhaśīlasya ime nimittā 7	aTa-uttaram margati Arya-mArge viSudDa-SIlasya ime nimittAH 7
   na śīlaparamo na samādhitannmayoḥ paryeṣate duttari prajñābhāvanā /	na SIla-paramaH na samADi-tat-nmayoH paryezate duttari prajQA-BAvanA /
   anopalambham āryāṇa gotraṃ viśuddhaśīla sugataṃ praśastam /	anopalamBam AryANa gotram viSudDa-SIla sugatam praSastam /
   satkāyadṛṣṭe hi vimuktamānaso ahaṃ mamaitīha na tasya bhoti /	satkAya-dRzwe hi vimukta-mAnasaH aham mama-eti-iha na tasya Boti /
   adhimucyate śūnyatabuddhagocaramm imasya śīlasya samo na vidyate / 9	aDimucyate SUnyata-budDa-gocaramm imasya SIlasya samaH na vidyate / 9
   śīle pratiṣṭhāya samādhi śuddhaḥ samādhiprāptasya ca prajñabhāvanā /	SIle pratizWAya samADi SudDaH samADi-prAptasya ca prajQa-BAvanA /
   prajñāya jñānaṃ bhavate viśuddhaṃ viśuddhajñānasya ca śīlasampadā / 10 //	prajQAya jQAnam Bavate viSudDam viSudDa-jQAnasya ca SIla-sampadA / 10 //
   KP.138 asmin khalu punargāthābhinirhāre bhāṣyamāṇe aṣṭānāṃ bhikṣuśatānām	KP.138 asmin Kalu punar-gATa-aBinirhAre BAzyamANe azwAnAm Bikzu-SatAnAm
   anupādāyāsravebhyaścittāni vimuktāni / dvātriṃśatināṃ ca prāṇasahasrāṇāṃ	anupAdAya-AsraveByaH-cittAni vimuktAni / dvAtriMSatinAm ca prANa-sahasrANAm
   virajo vigatamalaṃ dharmeṣu dharmacakṣurviśuddhaṃ / pañca bhikṣuśatāni	virajaH vigata-malam Darmezu Darma-cakzuH-viSudDam / paQca Bikzu-SatAni
   dhyānalābhī uthāyāsanebhyaḥ prakrāntāni imāṃ gambhīrā dharmadeśanām	DyA-ana-lABI uTa-Aya-AsaneByaH prakrAntAni imAm gamBIrAH Darma-deSanAm
   avataranto nāvagāhamānāḥ anadhimucyamānāḥ	avatarantaH na-avagAhamAnAH anaDimucyamAnAH
   KP.139 athāyuṣmān mahākāśyapo bhagavantam etadavocat imāni bhagavan pañca	KP.139 aTa-AyuzmAn mahAkASyapaH Bagavantam etat-avocat imAni Bagavan paQca
   bhikṣuṣatāni dhyānalābhīnyutthāyāsanebhyaḥ prakrāntāni / imām gambhīrā	BikzuzatAni DyAna-lABIni-utTAya-AsaneByaH prakrAntAni / imAm gamBIrA
   dharmadeśanām avataranto nāvagāhanto manadhimucyamānāḥ bhagavān āha /	Darma-deSanAm avatarantaH na-avagAhantaH manaDimucyamAnAH BagavAn Aha /
   tathā hyete kāśyapa bhikṣuvaḥ anadhimānite manadhimucyamānā imāṃ gambhīrā	taTA hi-ete kASyapa BikzuvaH anaDimAnite manaDimucyamAnAH imAm gamBIrA
   gāthābhinirhārām anāsravaṃ śīlaviśuddhinirdeśaṃ śrutvā nāvataranti	gATA-aBinirhArAm anAsravam SIla-viSudDi-nirdeSam SrutvA na-avataranti
   nādhimucyanti nāvagāhanti tatkasmāddheto gambhīro yaṃ kāśyapa	na-aDimucyanti na-avagAhanti tat-kasmAt-hetaH gamBIraH yam kASyapa
   gāthābhinirhāraṃ gambhīraṃ buddhā bhagavantānāṃ bodhi sā na śakyam	gATA-aBinirhAram gamBIram budDAH BagavantAnAm boDi sA na Sakyam
   anavaropitakuśalamūle pāpamatraparigṛhīteranadhimuktibahule	anavaropita-kuSala-mUle pApam-atra-parigRhIteH-anaDi-mukti-bahule
   sattvairadhimucyituṃ vā paryapanituṃ vā avatarituṃ vā /	sattvEH-aDimucyitum vA paryapanitum vA avataritum vA /
   KP.140 api ca kāśyapa etāni pañca bhikṣuśatāni kāśyapasya	KP.140 api ca kASyapaH etAni paQca Bikzu-SatAni kASyapasya
   tathāgatasyārhata samyaksambuddhasya pravacane anyatīrthikaśrāvakā abhūvan	taTAgatasya-arhata samyaksambudDasya pravacane anya-tIrTika-SrAvakAH aBUvan
   / ste kāśyapasya tathāgatasyāntikāduparambhābhiprāyairekā dharmadeśanā	/ ste kASyapasya taTAgatasya-antikAt-uparamBa-aBiprAyEH-ekA Darma-deSanA
   śrutvā śrutvā ceva cittaprasādo labdha āścāryaṃ	SrutvA SrutvA ca-iva citta-prasAdaH labDaH AScAryam
   yāvanmadhurapriyabhākhalveyaṃ kāśyapastathāgato 'rhāṃ saṃyaksambuddha iti	yAvat-maDura-priya-BAKalveyam kASyapaH-taTAgataH arhAm saMyaksambudDaH iti
   / te tataścyutasamānā ekacittaprasādena kālagatāḥ trāyastriṃśeṣu	/ te tatas-cyuta-samAnAH eka-citta-prasAdena kAlagatAH trAyastriMSezu
   deveṣūpapannāḥ neva hetunā iha mamma śāsane pravrajitāḥ tānyetāni kāśyapa	devezu-upapannAH na-iva hetunA iha mamma SAsane pravrajitAH tAni-etAni kASyapa
   pañca bhikṣuśatāni dṛṣṭigatapraskanditāni imāṃ gambhīrā dharmadeśanā	paQca Bikzu-SatAni dRzwi-gata-praskanditAni imAm gamBIrA Darma-deSanA
   nāvataranti nāvagāhanti nādhimucyante na śraddadhanti / kṛtaṃ punareṣā	na-avataranti na-avagAhanti na-aDimucyante na SraddaDanti / kRtam punar-ezA
   m.... yaṃ dharmadeśanāyā parikarma na bhūyo vinipātagāmino bhaviṣyanti /	m.... yam Darma-deSanAyAH parikarma na BUyas vinipAta-gAminaH Bavizyanti /
   ebhireva skandhaiḥ parinirvāsyanti / //	eBiH-eva skanDEH parinirvAsyanti / //
   KP.141 tatra bhagavān āyuṣmantaṃ subhūtim āmantrayati sma /	KP.141 tatra BagavAn Ayuzmantam suBUtim Amantrayati sma /
   gacchastvaṃsubhūte etān bhikṣu sañjñapaya subhūtirāha / bhagavata eva	gacCaH-tu-aMsu-BUte etAn Bikzu saQjQapaya suBUtiH-Aha / BagavataH eva
   tāvadete bhikṣavo bhāṣitaṃ prativilomayanti kaḥ punarvādo mama / atha	tAvat-ete BikzavaH BAzitam prativilomayanti kaH punar-vAdaH mama / aTa
   khalu bhagavāṃstasyāṃ velāyā yena mārgeṇa te bhikṣavo gacchanti sma /	Kalu BagavAn=-tasyAm velAyAH yena mArgeNa te BikzavaH gacCanti sma /
   tasminmārge dvau bhikṣu nirmimīte sma / atha tāni pañca bhikṣuśatāni yena	tasmin-mArge dvO Bikzu nirmimIte sma / aTa tAni paQca Bikzu-SatAni yena
   mārgeṇa tau dvau bhikṣu nirmito tenopasaṅkrāmannupasaṅkramyevamavocan /	mArgeNa tO dvO Bikzu nirmitaH tena-upasaFkrAm-an=-upasaFkramya-ivam-avocan /
   kutra āyuṣmanto gamiṣyathaḥ tāvavocatāḥ gamiṣyāma vayam araṇyāyataneṣu	kutra AyuzmantaH gamizyaTaH tO=-avocatAH gamizyAma vayam araNya-Ayatanezu
   sukhaṃ phāṣaṃ vihariṣyāmaḥ tatkasmāddhetoryaṃ hi bhagavān dharmaṃ deśayati	suKam PAzam viharizyAmaH tat-kasmAt-hetoH-yam hi BagavAn Darmam deSayati
   tāmāvā dharmadeśanāṃ nāvarāvo nāvagāhāma he / nadhimucyāvahe / utrasivaḥ	tAm-AvAH Darma-deSanAm na-avarAvaH na-avagAhAma he / naDi-mucyAvahe / utrasivaH
   santrasāvaḥ santrāsamāpadyāmahe / tāvāvām āraṇyāyataneṣu sukhaṃ	santra-sAvaH santrAsam-ApadyAmahe / tO=-AvAm AraNya-Ayatanezu suKam
   vihariṣyāmaḥ	viharizyAmaH
   KP.142 tānyapi pañca bhikṣuśatānyetad avocan / vayam apyāyuṣmanto	KP.142 tAni-api paQca Bikzu-SatAni-etat avocan / vayam api-AyuzmantaH-
   bhagavato dharmadeśanā nāvatarāmo nāvagāhāmahe nādhimucyāmahe / utrasāvaḥ	BagavataH Darma-deSanA na-avatarAmaH na-avagAhAmahe na-aDimucyAmahe / utra-sAvaH
   santrasāvaḥ santrāsam āpadyāmahe / te vayam araṇyāyaneṣu	santra-sAvaH santrAsam ApadyAmahe / te vayam araNyAyanezu
   dhyānasukhavihārairvihariṣyāmaḥ nirmitakāvavocatā saṅgāyiṣyāma vayam	DyAna-suKa-vihArEH-viharizyAmaH nirmitakA-avavocatA saFgAyizyAma vayam
   āyuṣmanto na vivadiṣyāmaḥ avivāda paramo hi śramaṇadharmaḥ yadiha	AyuzmantaH na vivadizyAmaH avivAda paramaH hi SramaNa-DarmaH yat-iha
   māyuṣmanta ityucyate parinirvāṇam iti / katamaḥ sa dharmo yaḥ pari	mAyuzmantaH iti-ucyate parinirvANam iti / katamaH sa DarmaH yaH pari
   .............. syati kaścit punarasmiṃ kaye ātmā vā sattvo vā jīvo vā	.............. syati kaScid punar-asmim kaye AtmA vA sattvaH vA jIvaH vA
   janturvā pauṣau vā pudgalo vā manujo vā mānavo................... kartā vā	jantuH-vA pOzO vA pudgalaH vA manujaH vA mAnavaH-................... kartA vA
   kārako vā vedako vā jānako vā sañjānako vā utthāpako vā samutthāpako vā	kArakaH vA vedakaH vA jAnakaH vA saQjAnakaH vA utTApakaH vA samutTApakaH vA
   yaḥ parinirvāsyati /	yaH parinirvAsyati /
   KP.143 te āhu................... na kvacidasti / asmiṃ kāye ātmā vā sattvo	KP.143 te Ahu................... na kvacid-asti / asmim kAye AtmA vA sattvaH-
   vā jīvo vā janturvā puruṣo vā pudgalo vā manujo vā mānavo vā kartā vā	vA jIvaH vA jantuH-vA puruzaH vA pudgalaH vA manujaH vA mAnavaH vA kartA vA
   kārako vā vedako vā jānako vā sañjānako vā utthāpako vā yaḥ parinirvāsyati	kArakaH vA vedakaH vA jAnakaH vA saQjAnakaH vA utTApakaH vA yaH parinirvAsyati
   / nirmitakā prāhu / X puna sākṣīkṛyāyā parinirvāsyatīti / te āhuḥ	/ nirmitakA prAhu / X puna sAkzIkRyAyA parinirvAsyati-iti / te AhuH
   rāgakṣayāya dveṣakṣayāya mohakṣayāya āyuṣmanta parinirvāṇam iti /	rAga-kzayAya dveza-kzayAya moha-kzayAya Ayuzmanta parinirvANam iti /
   nirmitakā prāhuḥ kiṃ punarāyuṣmatā rāgadveṣamohāḥ saṃvidyante yāṃ	nirmitakA prAhuH kim punar-AyuzmatA rAga-dveza-mohAH saMvidyante yAm
   kṣapayiṣyatha / te āhu / na te ādhyātmena na bahirdhā nobhayam	kzapayizyaTa / te Ahu / na te ADyAtmena na bahirDA na-uBayam
   antareṇopalabhyante / nāpi te aparikalpitā utpadyante nirmitakāv avocatā /	antareNa-upalaByante / na-api te aparikalpitAH utpadyante nirmitakO avocatA /
   tena māyuṣmanto māsmān kalpayataḥ māsman vikalpayataḥ yadāyuṣmanto na	tena mAyuzmantaH mA-asmAn kalpayataH mA-asman vikalpayataH yat-A-AyuzmantaH na
   kalpayiṣyathaḥ na vikalpayiṣyathaḥ tadāyuṣmanto na raṅkṣyatha na	kalpayizyaTaH na vikalpayizyaTaH tadA-AyuzmantaH na raFkzyaTa na
   viraṅkṣyathaḥ yaścāyuṣmanto na rakto na viraktaḥ................... śānta	viraFkzyaTaH yaH-ca-AyuzmantaH na raktaH na viraktaH................... SAnta
   ityucyate /	iti-ucyate /
   KP.144 śīlam āyuṣmanto na saṃsarati na parinirvāti	KP.144 SIlam AyuzmantaH na saMsarati na parinirvAti
   samādhiprajñāvimuktivimuktijñānadarśanam āyuṣ................. na	samADi-prajQA-vimukti-vimukti-jQAna-darSanam Ayuz................. na
   saṃsarati na parinirvāti / ebhiścevāyuṣmanto dharmai nirvāṇaṃ sūcyate /	saMsarati na parinirvAti / eBiH-ca-iva-AyuzmantaH DarmE nirvANam sUcyate /
   ete ca dharmā śūnyā viviktā agrā...................... prajahīte	ete ca DarmA SUnyA viviktA agrA...................... prajahIte
   tāmāyuṣmantaḥ sañjñā yaduta parinirvāṇam iti mā ca sañjñāyā sañjñā kārṣvaḥ	tAm-AyuzmantaH saQjQA yat-uta parinirvANam iti mA ca saQjQAyA saQjQA kArzvaH
   mā asañjñāyā.................... ca sañjñayā sañjñā parijñāsiṣva / yaḥ	mA asaQjQAya-a.................... ca saQjQayA saQjQA parijQAsizva / yaH
   sañjñayā sañjñā parijānāti sañjñābandhanam evāsya tad bhavati /	saQjQayA saQjQA parijAnAti saQjQAbanDanam eva-asya tat Bavati /
   saṃ................ vedayitanirodhasamā pattimāyuṣmantaḥ samāpadyadhvaṃ mā	saM................ vedayita-niroDa-samA pattim-AyuzmantaH samApadyaDvam mA
   ca kalpayatha mā vikalpayathaḥ sañjñāvedayita...................	ca kalpayaTa mA vikalpa-yaTaH saQjQA-vedayita...................
   dhasamāpattisamāpannasya bhikṣornāstyuttare karaṇīyam iti vadāmaḥ	DasamApatti-samApannasya BikzoH-na-asti-uttare karaNIyam iti vadAmaH
   KP.145 asmiṃ khalu punardharmaparyāye	KP.145 asmim Kalu punar-Darma-paryAye
   bhāṣyamāṇe........................... ṣāṃ pañcānāṃ bhikṣuśatānām	BAzyamANe.-.......................... zAm paQcAnAm Bikzu-SatAnAm
   anupādāyāsravebhyaḥ cittāni vimuktāni / te vimuktacittā yena	anupAdAya-AsraveByaH cittAni vimuktAni / te vimukta-cittAH yena
   bhagavāṃste................... pasaṅkramannupasaṅkramya bhagavataḥ pādau	BagavAn=-te................... pasaFkram-an=-upasaFkramya BagavataH pAdO
   śirobhirvanditvā ekānte myaṣīdan / athāyuṣmān	SiroBiH-vanditvA ekAnte myazi-idan / aTa-AyuzmAn
   subhutistā....................... kṣu etad avocat / kva nu khalvāyuṣmanto	suButiH-tA.-...................... kzu etat avocat / kva nu Kalu-AyuzmantaH-
   gatā kuto vā āgatāḥ te avocanakvacidgamanāya / na	gatA kutas vA AgatAH te avocana-kvacid-gamanAya / na
   kutaścidāga........................... nāya / bhadanta subhūte bhagavatā	kutaScid-Aga........................... nAya / Badanta suBUte BagavatA
   dharmo deśitaḥ subhūtirāha / ko nāmāyuṣmantā śāstā / te āhuḥ	DarmaH deSitaH suBUtiH-Aha / kaH nAma-AyuzmantA SAstA / te AhuH
   yotpanno................. rinirvāsyati /	yA-utpanno................. rinirvAsyati /
   KP.146 subhūtirāha / kasya yuṣme śrāvakā kasya sakāśādyuṣme vinītā te	KP.146 suBUtiH-Aha / kasya yuzme SrAvakA kasya sakASAt-yuzme vinItA te
   āhuryena na prāptanābhisaṃ................... subhūtirāha / kasya	AhuH-yena na prApta-nABi-saM................... suBUtiH-Aha / kasya
   sakāśādyuṣmākaṃ dharmaṃ śrutaṃ / te āhu yasya na skandhā na dhātavo	sakASAt-yuzmAkam Darmam Srutam / te Ahu yasya na skanDAH na DAtavaH-
   nāyatanāni 3 subhūtirāha / kathaṃ punaryuṣme dharmaṃ śrutaṃ / te āhurna	na-AyatanAni 3 suBUtiH-Aha / kaTam punar-yuzme Darmam Srutam / te AhuH-na
   bandhanāya na mokṣāya / 4 subhūtirāha / kathaṃ yūyaṃ	banDanAya na mokzAya / 4 suBUtiH-Aha / kaTam yUyam
   pra................... ktā te āhu / na yogāya na prayogāya / na prahāṇāya	pra................... ktA te Ahu / na yogAya na prayogAya / na prahANAya
   / 5 subhūtirāha kena yūyaṃ vinītāḥ te āhuḥ yasya na kāyapāriniṣpattirna	/ 5 suBUtiH-Aha kena yUyam vinItAH te AhuH yasya na kAya-pArinizpattiH-na
   cittapracāraṃ / 6 subhūtirāha / kathaṃ yuṣmābhi prayujyamānā	citta-pracAram / 6 suBUtiH-Aha / kaTam yuzmABi prayujyamAnA
   vimuktāḥ.................. āhuḥ nāvidyaprabāṇāya na vidyotpādāya 7	vimuktAH.................. AhuH na-avidya-prabANAya na vidyA-utpAdAya 7
   KP.147 subhūtirāha / kasya yūyaṃ śrāvakāḥ te āhuḥ yasya na prāpto	KP.147 suBUtiH-Aha / kasya yUyam SrAvakAH te AhuH yasya na prAptaH-
   nā.................... sambuddhaḥ 8 subhūtirāha / keva cirena yūyaṃ	nA.................... sambudDaH 8 suBUtiH-Aha / kA-iva cirena yUyam
   parinirvāsyathaḥ tāhuḥ yāvaccireṇa tathāgatanirmi.................... kāḥ	parinirvAsyaTaH tAhuH yAvat-cireNa taTAgata-nirmi.................... kAH
   parinirvāsyanti tā vaccireṇa vayaṃ parinirvāsyāmaḥ 9 subhūtirāha / kṛtaṃ	parinirvAsyanti tAH vat-cireNa vayam parinirvAsyAmaH 9 suBUtiH-Aha / kRtam
   yuṣmābhi svakārtha........................... te āhuḥ arthānupalabdhatvāt	yuzmABi svaka-arTa........................... te AhuH arTa-anupalabDa-tvAt
   10 subhūtirāha / kṛtaṃ yuṣmābhiḥ karaṇīya / te āhu /	10 suBUtiH-Aha / kRtam yuzmABiH karaNIya / te Ahu /
   kārakānupa...................... bdhitvāt / subhūtirāha / keva yuṣmākaṃ	kArakAn-upa...................... bDi-tvAt / suBUtiH-Aha / kA-iva yuzmAkam
   sabrahmacāriṇa / te āhuḥ / ye traidhātuke nopa caranti / na	sabrahmacAriNaH / te AhuH / ye trEDAtuke na-upa caranti / na
   pracaraṃ.................	pracaraM.................
   KP.148 subhūtirāha / kṣīṇā yūṣmākaṃ kleśāḥ te āhuratyantakṣayatvāt	KP.148 suBUtiH-Aha / kzINAH yUzmAkam kleSAH te AhuH-atyanta-kzaya-tvAt-
   sarvadharmāṇāṃ 13 subhūtirāha / dharṣitā yu...................... r māraḥ	sarva-DarmANAm 13 suBUtiH-Aha / DarzitAH yu...................... r mAraH
   te āhuḥ skandhamārānupalabdhitvāt 14 / subhūtirāha / paricīrṇo	te AhuH skanDa-mArA-anupalabDi-tvAt 14 / suBUtiH-Aha / paricIrNaH-
   yuṣmābhistathāgataḥ te āhuḥ..................... kāyena na cittena 15	yuzmABiH-taTAgataH te AhuH..................... kAyena na cittena 15
   subhūtirāha / sthitā yuṣmākaṃ dākṣīṇeyabhūmauḥ te āhuḥ agrāhataḥ	suBUtiH-Aha / sTitAH yuzmAkam dAkzINeya-BUmOH te AhuH agrAhataH
   a........................... tigrāhataḥ 16 subhūtirāha / cchinnā yūyaṃ	a........................... tigrAhataH 16 suBUtiH-Aha / cCinnA yUyam
   saṃsāraṃ / te āhuḥ anuccheda aśāśvatatvāt 17 subhūtirāha / pratipannā	saMsAram / te AhuH anucCeda aSASvata-tvAt 17 suBUtiH-Aha / pratipannA
   yūyaṃ śramaṇaśramaṇabhūmau / tena punarāhuḥ asaṅgāvimuktau / 18	yUyam SramaNa-SramaNa-BUmO / tena punar-AhuH asaFga-avimuktO / 18
   subhūtirā........................ kigāmināyuṣmantaḥ te	suBUtiH-A........................ kigAminA-AyuzmantaH te
   āhuḥryadgaminastathāgatanirmitāḥ 19 //	AhuHH-yat-gaminaH-taTAgata-nirmitAH 19 //
   KP.149 iti hyāyuṣmantaḥ subhūti paripṛcchataḥ	KP.149 iti hi-AyuzmantaH suBUti paripRcCataH
   teṣā......................... bhikṣūṇāṃ visarjayantānāṃ / tasyā parṣadi	tezA......................... BikzUNAm visarjayantAnAm / tasyAH parzadi
   aṣṭānāṃ bhikṣuśatānāṃ pañcānāṃ ca bhikṣuṇīśatānām	azwAnAm Bikzu-SatAnAm paQcAnAm ca BikzuNI-SatAnAm
   anupādāya................. vebhyaścittāni vimuktāni / dvātriṃśatīnāṃ ca	anupAdAya................. veByaH-cittAni vimuktAni / dvAtriMSatInAm ca
   prāṇasahasrāṇāṃ sadevamānuṣikāyāṃ prajāyām virajo vigata	prANa-sahasrANAm sa-deva-mAnuzikAyAm prajAyAm virajaH vigata
   ..................... dharmeṣu dharmacakṣurviśuddham //	..................... Darmezu Darma-cakzuH-viSudDam //
   KP.150 atha khalu samantāloko nāma bodhisattvo mahāsattvo bhagavantametad	KP.150 aTa Kalu samantAlokaH nAma boDisattvaH mahAsattvaH Bagavantam-etat-
   avocat i......................... gavan mahāratnakūṭe dharmaparyāye	avocat i......................... gavat mahA-ratna-kUwe Darma-paryAye
   śikṣitukāmena bodhisattvena kathaṃ sthātavyaṃ kathaṃ pratipattavyaṃ /	Sikzitu-kAmena boDisattvena kaTam sTAtavyam kaTam pratipattavyam /
   kathaṃ śikṣitavyaṃ ....................... vānāha / udgṛhya kulaputra iha	kaTam Sikzitavyam ....................... vAn-Aha / udgRhya kula-putraH iha
   dharmaparyāye śikṣā ākhyātā pratipattisārāṇāṃ satpuruṣāṇām iyaṃ	Darma-paryAye SikzA AKyAtA pratipatti-sArANAm sat-puruzANAm iyam
   dharmaparyāyo bhavārthakaro bhaviṣyati /	Darma-paryAyaH Bava-arTa-karaH Bavizyati /
   KP.151 tadyathāpi nāma kulaputra kaścideva puruṣaḥ mṛnmayīnāvabhiruhyaṃ	KP.151 tat-yaTA-api nAma kula-putra kaScid-eva puruzaH mRd-mayInO=-aBiruhyam
   gaṅgānadīm uttartukāmo bhavet / tatkiṃ manyase kulaputra kīdṛśena vīryeṇa	gaFgA-nadIm uttartu-kAmaH Bavet / tat-kim manyase kula-putra kIdRSena vIryeNa
   tena puruṣeṇa sā nnorvāhayitavyā bhave................... ha balavatā	tena puruzeNa sA nnoH-vAhayitavyA Bave................... ha balavatA
   bhagavan vīryeṇa / tatkasmāddhetoḥ mā measamprāptapārasyevāntareṇa	Bagavan vIryeNa / tat-kasmAt-hetoH mA mea-samprApta-pArasya-iva-antareNa
   nnaurvipadyeta / mahāo....................... rṇavaprāpto smin mā	nnOH-vipadyeta / mahAo....................... rNava-prAptaH smin mA
   haivāntareṇāyaṃ nāvā vikīryeta / bhagavān āha / evameva samantāloka ato	ha-eva-antareNa-ayam nAvA vikIryeta / BagavAn Aha / evam-eva samantAloka atas-
   bahutare..................... balavantatareṇa vīryeṇa bodhisattvena bodhiḥ	bahutare..................... balavantatareNa vIryeNa boDisattvena boDiH
   samudānayitavyāḥ mahābalavīryeṇa ca buddhadharmā	samudAnayitavyAH mahA-bala-vIryeNa ca budDa-DarmA
   samudānayita........................	samudAnayita........................
   KP.152 evamanasīkāreṇa anityo batāyaṃ kāyaḥ caturmahābhūtikaḥ	KP.152 eva-manasIkAreNa anityaH bata-ayam kAyaH caturmahABUtikaH
   mātāpitṛkalalasambhūta / adhru....................... nāśvāsikaḥ	mAtA-pitR-kalala-samBUta / aDru....................... na-ASvAsikaH
   vipariṇāmadharmaḥ	vipariNAma-DarmaH
   ucchadasnapanaparimardanabhedanavikiraṇavidhvaṃsanadharmaḥ oda	ucCada-snapana-parimardana-Bedana-vikiraNa-viDvaMsana-DarmaH oda
   .......................... lmāsopacitaḥ acirasthāyi anāhāro na tiṣṭhati /	.......................... lmAsa-upacitaH acira-sTAyi anAhAraH na tizWati /
   jarjaragṛhasadṛśo durabalaḥ mā haiva anādattasā.......................	jarjara-gRha-sadRSaH durabalaH mA ha-eva anAdat-tasA.-......................
   syāntareṇa kālakriyā bhaviṣyati mahoghārṇavaprāpto 'smi	sya-antareNa kAla-kriyA Bavizyati mahaH-GArNava-prAptaH asmi
   caturottararogaśataprāptānāṃ sattvānām uhyamāna .........................	caturottara-roga-Sata-prAptAnAm sattvAnAm uhyamAnaH .........................
   m uttāraṇatāyā bodhisattvena mahādharmanāvaṃ samudānayiṣyāmi / yayā	m uttAraNa-tAyAH boDisattvena mahA-Darma-nAvam samudAnayizyAmi / yayA
   dharmanāvā sarvasattvā saṃsār......................... vaprāptān uhyamānān	DarmanAvA sarva-sattvA saMsAr......................... vapra-AptAn uhyamAnAn
   uttārayiṣyāmi /	uttArayizyAmi /
   KP.153 tatra samantāloka kīdṛśe dharmanau bodhisatvasya	KP.153 tatra samantAloka kIdRSe DarmanO boDisatvasya
   samudānayi....................... iha samantāloka bodhisattvena dharmanāvā	samudAnayi....................... iha samantAloka boDisattvena DarmanAvA
   samudānayitavyā yaduta sarvasamacittasambhārā.................... vanti	samudAnayitavyAH yat-uta sarva-sama-citta-samBArA.................... vanti
   anantapuṇyopacitā śīlaphalanirjātā dānaparivārālaṅkārālaṅkṛtāḥ	ananta-puNya-upacitA SIla-Pala-nirjAtAH dAna-parivAra-alaFkAra-alaFkRtAH
   āśayadṛḍhasārab........................ nasubaddhāḥ	ASaya-dRXa-sArab........................ nasu-badDAH
   kṣāntisoratyasmṛtiśalyabaddhāḥ	kzAnti-sorati-a-smRti-Salya-badDAH
   saptabodhyaṅgasambhāradṛḍhavīryakuśaladharmadārusamudānitā	sapta-boDi-aFga-samBAra-dRXa-vIrya-kuSala-Darma-dAru-samudAnitA
   dhyān.................... ttakramanīyakarmaṇikṛtāḥ	DyAn.................... ttakramanIya-karmaNi-kRtAH
